Student
Susann Haering
Dorothee Koch II
Heinz-Otto Linke
Klaus-Dieter Wende
Univ.Prof. Beatrix Roskoth
Hans-Bernd Eimer-Pechel
Francisco Harloff
Ing. Jo Caspar
Franka Mitschke B.Sc.
Erhard Otto
Michel Heß
Marlene Steckel B.A.
Ing. Hedi Wulf
Roy Schmidt B.Eng.
Jerzy Wagenknecht B.A.
Käthe Langern-Jacob
Albrecht Metz B.A.
Heinz-Günter Fischer
Antonino Rogge-Meyer
Bertha Ritter-Drubin
Uwe Dussen van
Siegmar Mies-Baum
Ariane Löchel
Carmelo Stiebitz
Dipl.-Ing. Lotte Austermühle B.A.
Univ.Prof. Pia Schlosser MBA.
Ing. Peter Trubin B.Sc.
Ludwig Zimmer MBA.
Regina Fliegner
Ing. Kay-Uwe Flantz
Claus Juncken
Ing. Ayse Schacht
Herr Karl-Heinrich Eberth B.Sc.
Volkmar Trub
Prof. Vadim Rogner
Dipl.-Ing. Gunar Kuhl
Leopold Jungfer
Dorina Weinhold
Frau Raissa Ruppersberger B.Eng.
Luka Binner
Detlef Köster
Fredy Hiller
Andrey Lorch
Gottfried Keudel MBA.
Leszek Hentschel
Judith Sorgatz
Bozena Carsten B.Sc.
Mary Staude
Hans-Detlef Bender
Dr. Lars Klemt
Denis Ruppersberger
Maria Döring B.Sc.
Frau Kirsten Geißler
Frida Süßebier
Desiree Ruppert
Univ.Prof. Hanspeter Gorlitz
Katharina Süßebier B.A.
Steven Seifert
Recep Röhricht B.Sc.
Jessika Thies
Elwira Pölitz B.Sc.
Univ.Prof. Henryk Kostolzin
Luzia Eckbauer
Ing. Kristina Biggen
Ing. Heide Winkler
Ing. Steffen Röhrdanz B.A.
Winfried Hermann
René Ullrich
Amir Reuter
Arndt Bachmann B.Eng.
Anica Tintzmann B.Eng.
Elzbieta Putz B.Eng.
Emine Tlustek B.Sc.
Gabriella Schuster
Justus Lorch
Fernando Dobes
Stella Barth
Frau Danica Davids B.A.
Ilja Wende
Christos Sölzer
Claire Holt
Friedl Hölzenbecher-Eberth
Cora Stumpf-Gunpf
Romy Zahn-Bien
Heinz-Günter Boucsein
Theresia Paffrath
Frau Tatiana Hande B.Sc.
Udo Grein Groth
Fabian Pechel-Dippel
Gusti Vollbrecht
Jessica Stumpf
Gabor Steuer
Susi Schuchhardt
Frau Änne Gunpf B.Sc.
Frau Wenke Riehl
Alexandros Heintze
Tino Metz
Dana Jäntsch
John Gunpf B.Sc.
Freddy Nette-Hendriks
Hans-Michael Krein-Wernecke
Calogero Wende
Joachim Fischer
Milos Biggen
Valeria Mende
Virginia Gorlitz
Isa Koch
Dipl.-Ing. Undine Warmer
Murat Linke
Kamil Hendriks
Herr Jonathan Beckmann B.A.
Univ.Prof. Undine Becker MBA.
Annelene Reuter B.A.
Angelica Lorch B.Eng.
Lucie Trüb-Schmiedt
Niko Geißler-Wirth
Inna Winkler
Frau Annett Tlustek B.Eng.
Verena Gute-Trüb
Rosalinde Trupp
Dr. Kristine Tschentscher
Gotthilf Gertz
Ing. Adam Klemt MBA.
Ing. Zoltan Dobes B.A.
Dipl.-Ing. Janus Roht B.Sc.
Ing. Clemens Wirth
Friedericke Ruppersberger
Maria Bruder
Kai-Uwe Schäfer
Augustin Wende
Oskar Weitzel
Univ.Prof. Kata Zahn
Marieluise Schulz
Dipl.-Ing. Hans-Günther Bien
Herr Heinz-Josef Wende MBA.
Univ.Prof. Liliana Drub
Klaus-D. Hövel
Sina Mende
Prof. Karl-Heinz Ruppersberger
Dr. Denise Girschner B.Sc.
Cathleen Gude
Augusta Rosemann
Prof. Kata Häring
Susan Seip MBA.
Ariane Tintzmann
Irina Birnbaum
Meta Wagenknecht
Arif Killer
Othmar Hölzenbecher
Nadia Thanel
Amanda Fechner-Weinhage
Marita Henk
Herr Hendrik Fritsch B.Eng.
Dr. Peggy Beyer B.Sc.
Jörg Haase-Röhricht
Dr. Hans-Detlef Lindau B.Eng.
Klaus-Peter Häring
Jann Geisler
Ing. Leopold Beier B.Sc.
Edgar Bauer
Peer Bärer
Ralph Jacobi Jäckel
Reimer Scheel B.Eng.
Dr. Cengiz Säuberlich
Franca Mentzel
Dipl.-Ing. Slawomir Ebert MBA.
Rotraut Ullrich
Liane Gröttner
Leokadia Finke-Dippel
Saskia Roskoth B.Eng.
Mariechen Scholl
Guenter Kohl-Nette
Manuel Schenk
Ing. Carolin Faust B.A.
Prof. Alina Ziegert
Ewa Kade
Käthe Briemer MBA.
Herr Ronny Tröst B.Sc.
Prof. Tina Nohlmans MBA.
Jana Drubin-Heß
Torsten Pergande
Rainer Gunpf B.Eng.
Hellmuth Söding-Bonbach
Dr. Hans Dieter Mude
Olivia Jäkel
Gerhart Stumpf
Prof. Niko Atzler B.Sc.
Univ.Prof. Jaroslav Seifert B.Eng.
Cord Zorbach
Henni Ullmann MBA.
Hulda Neuschäfer B.A.
Gesa Jäntsch
Dr. Diedrich Atzler
Nurettin Mans-Klemt
Jan Freudenberger
Jochen Naser
Vinko Schmiedecke-Hendriks
Univ.Prof. Hans-Theo Kroker
Abbas Täsche
Ing. Madlen Beier B.A.
Claire Faust B.A.
Olaf Juncken
Ing. Tomas Fischer B.Sc.
Univ.Prof. Manuela Heinrich
Dr. Bernfried Bärer
Ing. Nelli Hornig
Prof. Wilma Mangold
Antonios Walter
Wolf-Dietrich Berger
Dr. Daniela Linke MBA.
Univ.Prof. Elfriede Rohleder
Waldtraut Hoffmann
Kristin Niemeier
Sandor Riehl
Dipl.-Ing. Jozef Hartmann
Albert Seifert MBA.
Franca Buchholz
Dipl.-Ing. Stefano Wernecke B.A.
Jacek Klemt
Traudl Gierschner
Micha Schottin
Herr Mario Thanel
Frau Heidelore Gehringer
Ing. Rocco Reuter
Irina Mielcarek
Bertram Caspar
Dipl.-Ing. Erwin Hamann
Fabienne Matthäi-Heß
Oliver Biggen
Wencke Riehl-Stoll
Jasmina Zorbach
Alexander Hörle
Prof. Sandy Butte
Ivana Nerger
Ljudmila Nerger
Dr. Steven Wohlgemut
Danilo Ehlert
Wilhelm Klemm B.A.
Wencke Salz
Leopold Rörricht
Ignatz Wähner-Hänel
Laura Wilms
Dorit Zimmer-Krein
Adeline Hahn
Dr. Adriane Bärer B.Eng.
Geza Weller
Florence Davids
Frau Edda Hornig B.Eng.
Monique Stroh
Ing. Muharrem Paffrath B.Sc.
Ing. Swen Sorgatz B.Eng.
Cindy Tschentscher
Josef Butte-Lindau
Ing. Alf Lachmann
Prof. Janin Dietz
Regina Hamann B.Sc.
Francoise Vollbrecht B.Sc.
Marga Scholz
Gisa Gerlach
Leonhard Adolph
Theodoros Grein Groth
Georgios Knappe-Mälzer
Irmtrud Pohl
Dr. Annelene Geisel B.Sc.
Benita Hahn-Wieloch
Gabor Pechel-Junken
Hans-Willi Kruschwitz B.Sc.
Irmtraut Süßebier
Slavica Vollbrecht
Joana Preiß
Dipl.-Ing. Elif Hartmann B.A.
Antonino Klingelhöfer
Heide Knappe
Herr Peter-Michael Kensy B.Sc.
Falk Sorgatz-Ortmann
Engin Trub
Carin Binner
Univ.Prof. Franz-Josef Holt
Eberhardt Gute
Ing. Rolf Gertz
Patric Hermighausen MBA.
Dipl.-Ing. Korinna Pärtzelt
Dr. Silvio Täsche
Dipl.-Ing. Hannelore Kostolzin
Utz Staude
Univ.Prof. Henry Wohlgemut B.Eng.
Carl-Heinz Steinberg
Rupert Kallert
Lidia Franke
Walfried Siering
Rose-Marie Schüler
Ing. Alberto Werner
Kai-Uwe Oderwald
Univ.Prof. Virginia Pechel
Egbert Tschentscher
Anna-Lena Bloch
Inga Wieloch
Manuela Sauer
Rosa Gnatz
Richard Mende-Hendriks
Ante Gunpf
Ernest Schönland B.Eng.
Henri Wirth
Frau Francesca Blümel
Frau Dorothe Mielcarek
Frank-Michael Köhler
Michaela Kade
Corina Pergande
Gebhard Sorgatz
Ing. Nikolai Niemeier B.A.
Ilija Fischer
Prof. Hermann Josef Söding
Senol Hande MBA.
Erwin Weimer-Bohlander
Dr. Elmar Junk
Karen Hendriks
Hanne-Lore Berger
Ludmila Patberg
Alexej Röhrdanz
Frau Britt Heß
Reinhard Rogge
Hans-Theo Thies
Ryszard Süßebier-Neureuther
Hedi Bärer
Dipl.-Ing. Serge Nerger
Gino Ernst
Zdravko Kroker
Ilonka Kohl
Madeleine Hermann B.Sc.
Eva-Maria Zänker
Guntram Scholz MBA.
Svetlana Boucsein
Wibke Pärtzelt-Wieloch
Elfie Jäkel
Cynthia Linke
Prof. Thekla Hahn
H.-Dieter Gerlach
Heinz-Günter Mülichen
Mercedes Rädel-Drub
Univ.Prof. Kläre Oderwald B.Sc.
Nikolaus Fiebig
Prof. Marko Rohleder B.A.
Isolde Seifert
Karlheinz Stahr
Frau Pascale Hettner B.Eng.
Maximilian Jockel
Herr Gordon Meister
Brunhilde Scholz
Hedda Mielcarek
Cindy Rogge-Dippel
Helma Zorbach
Anita Mohaupt
Dipl.-Ing. Hans-Karl Dussen van B.A.
Heidelore Heinrich
Hartmut Zirme
Aziz Hornich
Antonie Fischer-Margraf
Erkan Beier
Woldemar Heydrich B.Eng.
Karl-Dieter Segebahn-Köster
Reinhard Eigenwillig
Alina Hoffmann
Joerg Döhn
Pamela Mies B.Eng.
Vadim Bender B.A.
Hiltraud Klemm-Pärtzelt
Erica Lachmann
Sylvie Börner
Marko Renner
Hans-Karl Bauer B.Eng.
Sibylle Stey
Annika Wirth
Florentine Bärer B.A.
Elli Kohl
Prof. Julia Möchlichen B.A.
Annamaria Baum MBA.
Arndt Weinhold MBA.
Bernward Losekann MBA.
Julia Conradi-Mentzel
Prof. Emine Beer
Joachim Höfig
Andre Stroh
Helfried Seifert-Schönland
Irmgard Weinhage-Wieloch
Ing. Hans-Heinrich Reichmann B.Sc.
Tobias Wirth
Lieschen Steckel
Gunhild Kroker
Notburga Weller MBA.
Käthi Faust-Gorlitz
Dipl.-Ing. Angelique Ortmann
Engelbert Margraf-Trommler
Anneli Butte
Conny Geißler-Karge
Dina Schmiedt MBA.
Sibilla Mitschke-Losekann
Stephen Kensy
Marek Hesse B.Eng.
Alwina Neureuther
Gülsen Davids-Heinz
Branka Speer B.A.
Mariusz Baum
Roswita Henck
Carlo Martin B.Eng.
Ljiljana Kostolzin
Dr. Reza Hering B.Sc.
Hanife Thies
Malgorzata Pieper
Karl Heinz Stiebitz
Abdul Klapp-Hethur
Ing. Thomas Drewes B.A.
Lidwina Karz MBA.
Dr. Trude Girschner
Cindy Meyer
Hajo Thies
Isidor Heinrich
Ute Stroh
Prof. Johannes Holzapfel MBA.
Heinz-Joachim Jähn
Wilfried Steinberg
Moritz Schönland
Hans-Werner Mohaupt
Delia Rust
Dogan Rogge
Ing. Karin Werner
Univ.Prof. Anatoli Ritter
Tomislav Mende
Canan auch Schlauchin-Dussen van
Roland Putz
Evelyn Ortmann
Annemarie Seidel
Zoltan Preiß B.Eng.
Lissi Kohl
Enrico Hornig
Dominic Gunpf MBA.
Prof. Clarissa Barth
Roselinde Metz MBA.
Oxana Lübs
Peggy Rogge-Lachmann
Trudi Keudel B.A.
Dr. Iris auch Schlauchin
Aloisia Faust
Herr Gerolf Hermann B.Eng.
Burghard Albers-Berger
Hendrik Herrmann
Hans-Wilhelm Weller
Univ.Prof. Czeslaw Heuser
Luciano Biggen
Klemens Winkler
Ansgar Seidel
Prof. Sahin Kreusel
Leonore Hettner-Staude
Roger Wagenknecht
Filippo Kostolzin
Ing. Carolin Matthäi
Hüseyin Wulf-Schmidt
Madlen Geißler
Ludmila Stadelmann
Justina Zirme
Osman Schmidtke
Marcella Karz B.A.
Univ.Prof. Dana Seifert
Alicja Pergande
Gotthilf Gehringer B.A.
Anett Wieloch
Eckhard Lindau B.A.
Hartmut Biggen-Trapp
Volkmar Mosemann
Prof. Rosa Kruschwitz B.Sc.
Sigismund Junitz
Christiane Wirth B.Eng.
Dipl.-Ing. Gabi Scholtz
Halina Hethur
Konstanze Sontag
Herr Juri Kitzmann
Univ.Prof. Zita Löchel B.Sc.
Angelique Adler
August Weihmann
Hülya Scheibe
Ewald Hethur
Magret Mans
Eleni Matthäi
Leonardo Rogge
Wolf-Dieter Eigenwillig
Vitali Walter-Krein
Tadeusz Weller
Kunigunda Hänel-Briemer
Muharrem Benthin
Silvia Henschel
Severin Barkholz B.Eng.
Otfried Ortmann
Univ.Prof. Axel Dörschner B.Sc.
Alina Finke
Herma Bender-Scholtz
Wojciech Rogner
Birger Klapp
Dr. Carsten Steinberg
Arzu Wieloch-Röhrdanz
Kemal Butte-Tintzmann
Stefanie Benthin
Prof. Siegbert Scheuermann B.A.
Almuth Rosenow-Schönland
Hans-Günther Kohl B.Eng.
Frau Margrit Beckmann
Miriam Hentschel
Othmar Zänker
Dipl.-Ing. Ilse Heß B.Sc.
Frau Katarina Bolander B.Sc.
Marjan Segebahn B.Eng.
Carin Mohaupt-Heser
Nadeschda Barkholz
Liliane Steuer
Helmtrud Neureuther
Albin Fischer B.Eng.
Anka Rohleder
Ilonka Rose
Birgitta Loos
Arne Knappe
Univ.Prof. Tabea Dörschner MBA.
Helen Tschentscher
Patrick Anders-Stolze
Vadim Rose-Wulf
Sieghard Kensy
Änne Tlustek-Freudenberger
Dr. Diedrich Krebs B.A.
Josip Kuhl
Gernot Kobelt
Athanasios Jacobi Jäckel
Robert Budig-Ullmann
Dipl.-Ing. Gudula Margraf B.Sc.
Catherine Huhn
Jonathan Mohaupt
Ian Briemer B.Eng.
Hüseyin Hethur
Dorothea Finke
Karl-Hans Hande-Schuster
Dipl.-Ing. Alla Karge
Christos Bolander
Antonie Heser B.Sc.
Patrizia Spieß
Prof. Gerda Barkholz MBA.
Prof. Folkert Ernst MBA.
Henni Keudel B.Sc.
Saskia Wagenknecht
Heiner Rörricht
Madlen Steinberg
Tadeusz Hentschel
Gunhild Zimmer
Dr. Hedda Radisch
Natalie Carsten B.A.
Dagobert Bohnbach
Henryk Bauer
Jadwiga Gierschner-Schulz
Univ.Prof. Traudl Mentzel B.Eng.
Prof. Katarzyna Gehringer B.Eng.
Dagmar Franke-Schleich
Asta Knappe
Marie-Therese Wagner
Vera Losekann
Frau Beatrix Bonbach B.A.
Carl Schmiedt
Meike Rosenow
Stanislav Stey
Viktor Bauer
Dipl.-Ing. Tamara Seifert B.A.
Marlen Schenk-Schuchhardt
Wilfried Söding
Fabian Lübs
Francesco Drub
Lydia Losekann MBA.
Rüdiger Buchholz-Kuhl
Urszula Fliegner
Frau Gilda Ebert
Liselotte Lindau
Dipl.-Ing. Ana Rosemann
Goran Junck-Bauer
Herr Otto Vollbrecht
Ing. Vesna Kroker B.Eng.
Burkard Schlosser
Margita Hentschel
Kunibert Trommler-Renner
Ekaterina Liebelt
Univ.Prof. Cecilia Scholl MBA.
Prof. Fabian Scholl MBA.
Damian Jopich B.A.
Constantin Kraus
Theodoros Vollbrecht-Gutknecht
Univ.Prof. Mahmoud Liebelt
Fedor Röhrdanz
Stephanie Dörr-Bärer
Claus-Dieter Krause
Mark Röhricht
Silva Hiller MBA.
René Hölzenbecher-Berger
Eugenia Sorgatz
Aline Steinberg-Klingelhöfer
Thilo Tschentscher
Gebhard Krein
Ercan Oestrovsky B.Eng.
Frauke Söding
Reinhild Patberg
Carmine Hauffer
Rene Wernecke
Oda Henschel
Philippe Wähner
Ingried Hauffer-Lübs
Prof. Romy Bohnbach
Ellen Hahn-Spieß
Marietta Heinrich
Sylvie Neuschäfer
Frau Linda Weiß B.Eng.
Timm Freudenberger-Henschel
Frau Ingried Rogner B.Sc.
Klaus Dieter Rädel
Desiree Klotz
Felicia Hamann
Elizabeth Vollbrecht
Magdalena Tintzmann B.Sc.
Univ.Prof. Hugo Martin
Frau Natalija Stey
Sibille Liebelt
Univ.Prof. Gretl Langern B.A.
Ing. Jeanette Rosemann B.Eng.
Ole Schmidtke
Univ.Prof. Clara Heidrich B.Sc.
Dipl.-Ing. Margarethe Holt MBA.
Univ.Prof. Janos Rörricht MBA.
Egon Haase
Dr. Jochem Trapp MBA.
Claudius Mude
Kornelia Bachmann
Antonietta Barth
Antonia Mohaupt
Dorothea Kroker-Misicher
Birgid Drewes-Seifert
Ahmad Preiß
Dipl.-Ing. Sandro Bärer B.A.
Ellinor Schmidtke B.Sc.
Kreszentia Bohlander
Hans-Erich Staude
Anatolij Keudel
Melanie Jungfer-Preiß
Francisco Budig-Geisler
Herr Kurt Weitzel B.Sc.
Herr Recep Junk B.A.
Astrid Dowerg-Stroh
Gerwin Bonbach-Fliegner
Prof. Guiseppe Gröttner B.Sc.
Dipl.-Ing. Josip Mies
Dipl.-Ing. Henriette Lindau
Ines Anders
Emmerich Wilmsen
Fredi Jäntsch
Annegrete Jäkel
Gerd Süßebier
Sibilla Hofmann
Prof. Wolfram Binner B.Eng.
Univ.Prof. Baptist Mende MBA.
Frieda Tintzmann-Löchel
Bekir Fechner
Geraldine Gutknecht
Univ.Prof. Resi Kobelt
Jelena Löffler
Hans-Henning Heydrich MBA.
Bernard Losekann
Margaret Kraus
Gitta Römer
Urban Klemt
Silke Heydrich-Albers
Hannelore Heser-Boucsein
Prof. Anna-Lena Wagner MBA.
Bernd-Dieter Kostolzin B.A.
Dipl.-Ing. Hülya Nerger
Heinz-Joachim Stiebitz
Lothar Fischer
Dr. Meral Thies B.Sc.
Univ.Prof. Hardy Hartung
Univ.Prof. Albertine Köhler MBA.
Prof. Gundula Dörr B.Sc.
Antonietta Putz B.Eng.
Hans Peter Beckmann
Dr. Gundolf Römer MBA.
Helena Hettner
Frau Eleni Ziegert B.Sc.
Monika Hornich MBA.
Karl-Peter Heser
Ing. Ahmet Häring
Elenore Renner
Lisbeth Hentschel
Harold Scheibe
Prof. Arnold Caspar B.A.
Cecilia Stoll
Gabor Dobes
Prof. Urs Salz
Hermine Eberhardt
Luigi Hartung
Nadia Wirth
Herr Thorsten Hartmann B.Eng.
Francisco Trupp
Siegbert Hartmann B.A.
Dana Löwer MBA.
Timo Huhn
Ditmar Pölitz B.A.
Prof. Liliana Klemm MBA.
Senta Weihmann
Zeljko Kobelt B.Eng.
Hans-Eberhard Blümel
Prof. Marten Söding B.A.
Michaele Ruppert
Dipl.-Ing. Lidija Pölitz
Evi Oestrovsky
Felicia Binner
Ana Klapp MBA.
Univ.Prof. Heidrun Hiller
Hulda Junk
Heimo Bauer
Helene Gröttner-Hornich
Ellen Liebelt
Prof. Anna Kühnert B.Sc.
Grit Karz
Henry Austermühle
Ignatz Franke
Claudius Rust-Mans
Bayram Lübs B.Eng.
Frau Marie-Therese Mielcarek
Wilma Pärtzelt-Huhn
Osman Salz MBA.
Reingard Cichorius
Johann Baum
Univ.Prof. Nadeshda Oestrovsky
Oliver Schwital
Klara Löchel-Bien
Dr. Wencke Junken B.Eng.
Dr. Valentina Knappe
Christopher Fröhlich
Ing. Wencke Speer
Thomas Weinhold B.Eng.
Jutta Aumann
Änne Möchlichen
Almut Rogge
Senta Warmer
Imre Sauer
Herr Gordon Weihmann B.Eng.
Herr Ruben Schüler B.Eng.
Annaliese Gerlach
Hans Georg Niemeier
Klaus-Ulrich Gude
Univ.Prof. Nermin Rosemann B.Sc.
Florence Schulz
Herr David Löchel B.A.
Prof. Felicitas Dörschner
Univ.Prof. Zofia Rust
Mercedes Christoph
Baldur Metz
Marie-Theres Trupp
Agathe Jäntsch-Käster
Alwine Wulf
Reinhard Christoph
Helene Ullrich
Dipl.-Ing. Karina Kambs MBA.
Sibylle Jäntsch
Jorge Weitzel
Frau Almut Kuhl
Herr Leonid Fröhlich B.Eng.
Ing. Serpil Rudolph MBA.
Paula Heinz
Hans-J. Wohlgemut
Jan Gumprich
Hubertine Jäkel
Dipl.-Ing. Tim Fritsch
Laila Trüb
Cornelia Gehringer
Silke Biggen MBA.
Anneli Heintze
Gerta Klemt
Massimo Hecker
Dr. Margarethe Ernst
Jonas Christoph B.Eng.
Gilda Tintzmann
Hans-Willi Ladeck
Justina Neureuther
Frank-Michael Sontag
Ing. Ramazan Kabus B.Eng.
Prof. Cäcilie Staude B.A.
Harold Bähr B.A.
Frau Zdenka Zimmer
Valentine Tschentscher
Dr. Gerard Reichmann MBA.
Gregor Jungfer
Dr. Gerard Dörr
Univ.Prof. Annekatrin Neureuther B.A.
Gerwin Rust MBA.
Emma Sorgatz-Radisch
Thaddäus Geißler
Emma Sauer B.Eng.
Herr Andrej Rose
Dietlinde Söding
Damian Holsten
Heinz-Günter Hesse
Ahmed Lange MBA.
Cord Mende B.Eng.
Dr. Lilija Dowerg MBA.
Clara Stroh
Alwin Schaaf
Thorsten Adler B.Sc.
Dipl.-Ing. Laurenz Gerlach MBA.
Prof. Dorit Käster B.Sc.
Janusz Kruschwitz B.Eng.
Kristin Bohlander B.Eng.
Prof. Marion Martin
Tabea Rogge
Elsa Sontag
Stanislaw Misicher
Egon Ruppersberger B.Sc.
Eveline Putz
Rosina Ditschlerin-Ortmann
Balthasar Holsten
Prof. Bernward Wulf B.Eng.
Dipl.-Ing. Astrid Kade
Dipl.-Ing. Virginia Käster
Lena Dowerg
Mirja Wähner
Anatolij Trub
Univ.Prof. Leszek Gieß B.Eng.
Sergei Ritter
Radmila Linke MBA.
Gerda Sauer
Antonina Wagner
Vadim Jacobi Jäckel
Vittorio Harloff
Carina Killer
Prof. Marijan Hoffmann
Werner Kramer B.A.
Ing. Willfried Kostolzin
Irmtrud Textor B.Eng.
Gisela Weinhold B.Sc.
Peter Mitschke
Susan Riehl B.Sc.
Dogan Ruppersberger
Kasimir Lindau
Ing. Herbert Mühle B.Sc.
Elfi Bolander
Susann Mielcarek
Hajo Jäntsch
Univ.Prof. Josefine Gerlach
Hans Kostolzin-Ditschlerin
Gerda Mans
Claus Heser B.Sc.
Justine Lindner
Constantin Jacob B.Sc.
Nikolaus Rosenow
Hans-Heinrich Schüler-Seip
Meral Eberhardt B.A.
Ing. Mattias Boucsein
Camilla Jäntsch
Ingolf Ruppersberger-Berger
Ing. Anneliese Döring
Hans-Bernd Knappe-Gröttner
Mechtild Patberg
Heinz-Jürgen Adolph
Ing. Klothilde Hörle B.A.
Gereon Textor
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Jiri Bärer
Slavica Ernst-Schmidtke
Matthäus Striebitz-Zirme
Bela Naser-Löwer
Erich Putz
Ing. Antonius Jacobi Jäckel MBA.
Elsa Beer
Dipl.-Ing. Dunja Hoffmann
Aleksander Wagner-Barth
Frau Wendelin Heinrich B.Eng.
Irmengard Röhrdanz
Univ.Prof. Heinz-Dieter Schuster
Nikolai Stiebitz
Ljiljana Rädel
Univ.Prof. Milka Bähr
Mia Paffrath-Ortmann
Mareen Krebs-Hofmann
Folker Otto
Lutz Röhricht B.A.
Ernst-August Beyer
Elenore Hofmann-Aumann
Frau Corinna Wähner
Diana Drubin-Walter
Univ.Prof. Isabel Ladeck
Anika Holsten
Prof. Ingbert Nette
Univ.Prof. Ferenc Knappe B.Sc.
Prof. Berend Käster B.A.
Wiltrud Wilmsen-Graf
Herr Frieder Wulff B.Sc.
Siegmar Ullmann-Fritsch
Dipl.-Ing. Gloria Heidrich
Adolfine Wilms
Gero Gumprich B.Sc.
Marina Radisch
Dr. Elfie Tintzmann
Univ.Prof. Diethard Klotz
Siegmund Schleich MBA.
Margot Ullmann
Prof. Gaetano Weiß
Dr. Marian Rust
Prof. Aribert Eberhardt B.Sc.
Berndt Mohaupt MBA.
Lambert Röhricht-Johann
Karl-Peter Häring-Kruschwitz
Uli Schönland-Trupp
Salvatore Tlustek
Univ.Prof. Gretchen Sontag B.A.
Theo Neuschäfer
Eugenia Stey
Gloria Bruder B.A.
Dipl.-Ing. Leokadia Junk
Dr. Francisco Hänel
