Student
Cläre Heser
Corinne Berger
Irmtraud Hauffer-Matthäi
Hulda Neuschäfer B.A.
Utz Christoph-Henck
Isa Knappe-Biggen
Hubert Hertrampf
Dipl.-Ing. Hans-Erich Klemm
Aysel Bruder MBA.
Annelore Bolander
Bertram Caspar
Thekla Schäfer
Ernst Henschel
Ekkehart Grein Groth
Carolin Holt
Achim Mülichen-Schleich
Ilija Lindner
Anatolij Peukert
Dipl.-Ing. Milos Klemt
Franz Löwer
Annelie Metz
Gereon Jacob
Dr. Lidija Metz
Lothar Fischer
Ingetraut Jopich
Dipl.-Ing. Charles Täsche
Alfredo Bolzmann B.A.
Sören Trommler
Rosalia Johann
Univ.Prof. Aleksander Wiek B.A.
Herr Gordon Heintze B.Eng.
Patrick Wohlgemut
Herr Thorben Jacob
Caroline Wende
Rebecca Geißler
Ulrike Albers
Jolanta Nohlmans-Tschentscher
Tatiana Pechel
Univ.Prof. Hans-Albert Ruppert
Baldur Metz
Hanne Gierschner
Mark Röhricht
Baldur Knappe
Natalie Bender MBA.
Ing. Gerti Franke
Reinhold Bloch
Lieschen Kusch-Pechel
Frau Xenia Blümel
Lilija Kensy
Annelene Zänker
Dr. Hans-Detlef Lindau B.Eng.
Gesine Graf
Kornelia Kade
Johanna Stumpf
Marjan Pölitz B.Eng.
Heinrich Putz B.Sc.
Mirjana Drub
Elfie Jäkel
Dipl.-Ing. Julian Mühle
James Kostolzin-Staude
Univ.Prof. Walfried Hövel
Wolfgang Beier-Mohaupt
Univ.Prof. Gönül Meister B.Sc.
Kevin Trubin
Imke Austermühle-Löwer
Maria-Luise Schaaf
Univ.Prof. Emine Vogt B.Sc.
Herr Maik Klemt MBA.
Corinne Koch II
Bernhard Becker
Ruth Mangold B.Sc.
Univ.Prof. Conny Wagner MBA.
Jann Fröhlich
Dr. Carmela Rudolph
Karl-August Döhn B.A.
Virginia Gieß
Cindy Stahr
Helmut Renner
Mary Reuter B.Sc.
Swetlana Binner
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Roland Putz
Univ.Prof. Philomena Kensy
Stilla Dobes
Ing. Hartmuth Gute B.A.
Roland Ring
Helene Keudel
Ehrentraud Kroker
Danny auch Schlauchin
Undine Dehmel
Gino Ernst
Alicja Sorgatz
Heinz-Günter Fischer
Kristin Niemeier
Tomasz Bolnbach
Sylvester Hamann
René Ehlert
Francesco Drub
Nicolaus Jessel
Univ.Prof. Ortwin Geisler MBA.
Antonietta Hübel
Prof. Kordula Vollbrecht B.A.
Frau Anka Hering
Gönül Barth-Zobel
Brigitta Walter
Guiseppe Rust
Janko Rose
Knut Jacob
Prof. Luzie Killer B.Sc.
Prof. Robert Heintze
Christa Säuberlich
Hans-Uwe Sager
Paulina Oderwald
Marlies Mude
Annemie Kade-Kuhl
Annita Jähn
Harro Gunpf
Frau Mirja Jüttner B.Eng.
Mechtild Hering
Dominic auch Schlauchin
Bernward Losekann MBA.
Ralph Stahr
Rüdiger Geisler
Theresia Henck
Kathi Häring
Lia Zänker
Heiderose Lange-Schüler
Damaris Eigenwillig
Olaf Juncken
Mary Staude
Celal Pohl
Dr. Michel Pruschke B.Eng.
Therese Neureuther
Univ.Prof. Heinrich Knappe B.A.
Aribert Putz
Murat Meister
Univ.Prof. Heimo Dobes B.A.
Maja Fischer B.A.
Lothar Birnbaum
Hansgeorg Klotz
Ing. Karl-Peter Weinhold B.Sc.
Sergio Schleich
Czeslaw Jacob B.Eng.
Fabienne Conradi B.Eng.
Hellmuth Hörle
Sami Stolze-Döhn
Ryszard Lehmann
Ludwina Fritsch
Ernst-Dieter Rörricht B.Eng.
Heidemarie Junitz
Robin Sölzer
Rolf-Dieter Kensy
Reni Putz-Tintzmann
Nikolai Stiebitz
Kunigunda Zimmer
Herr Jens Becker MBA.
Sigrun Weinhold
Vesna Bähr
Annelene Reuter B.A.
Lene Sauer
Univ.Prof. Metin Martin B.Sc.
Diethelm Hübel MBA.
Falk Wagenknecht B.Eng.
Marlis Wiek
Willy Hornig
Jasmina Bolzmann
Ernest Schönland B.Eng.
Heinz Dieter Trubin
Rosina Ortmann
Ing. Hans-Wolfgang Weitzel B.Sc.
Cord Zorbach
Franz Josef Girschner
Elise Trupp
Sibylle Jäntsch
Prof. Pascale Kruschwitz
Mike Matthäi
Adam Krein-Karge
Ing. Krzysztof Kambs B.Eng.
Thoralf Geisel
Elizabeth Schlosser B.A.
Carsten Hartmann
Prof. Ruth Gehringer
Ekkehard Holzapfel
Hans-Helmut Eimer MBA.
Janin Hermann
Hans-Ulrich Plath B.A.
Zeynep Lehmann
Dipl.-Ing. Matteo Baum
Lilly Seifert
Peggy Rogge-Lachmann
Univ.Prof. Undine Becker MBA.
Renate Bärer
Alois Jungfer B.Eng.
Frau Ariane Weinhage MBA.
Ben Ullmann MBA.
Hans-Bernd Knappe-Gröttner
Luzia Kranz
Betty Steinberg
Katerina Barkholz
Mina Beyer
Ing. Anatolij Heintze
Adelbert Austermühle
Vito Gorlitz
Heide-Marie Zirme
Wenke Patberg
Univ.Prof. Beatrix Roskoth
Friederike Sölzer-Hentschel
Herr Tony Lindner
Friedemann Klingelhöfer
Wiltrud Ladeck MBA.
Univ.Prof. Hardy Hartung
Frau Stella Plath B.A.
Wibke Reuter
Anatolij Trub
Lore Margraf
Elias Gierschner
Prof. Irena Höfig
Björn Steckel B.Eng.
Massimo Hecker
Karl Heinz Eigenwillig
Siegmar Pergande
Prof. Joanna Kreusel
Ing. Tilman Kitzmann
Karl-Peter Kramer
Balthasar Müller-Drub
Gesa Keudel-Bauer
Otmar Ditschlerin
Dr. Baldur Johann B.Eng.
Kay-Uwe Finke
Dipl.-Ing. Henriette Schmidtke MBA.
Katja Heidrich
Anastasios Kuhl
Prof. Ana Textor
Ing. Carolin Anders
Kläre Mohaupt-Salz
Friedrich-Karl Zorbach
Univ.Prof. Kreszenz Wulf B.A.
Ilonka Noack
Dr. Torben Stey
Salih Eckbauer-Renner
Magdalena Löwer B.Eng.
Mariola Gnatz
Regina Hamann B.Sc.
Gilda Scholz
Leszek Wagner-Häring
Bianka Holsten
Univ.Prof. Sahin Freudenberger B.A.
Celal Scheel B.A.
Liesa Sauer
Alice Lachmann-Finke
Cord Benthin
Cindy Tschentscher
Swantje Binner B.A.
Judith Koch-Mude
Dr. Hans-Albert Stroh
Bernhardine Pechel
Alla Rohleder
Cecilia Eigenwillig
Heidrun Lindner-Bolnbach
Friedo Lorch
Marlen Schenk-Schuchhardt
Univ.Prof. Birger Weihmann MBA.
Ercan Oestrovsky B.Eng.
Wieslaw Löchel
Sylke Ehlert
Hans-Josef Butte-Dussen van
Ing. Catrin Dippel MBA.
Univ.Prof. Dogan Mielcarek
Gabriele Schmidt
Zenta Mende
Marcel Oestrovsky
Edeltrud Margraf
Anni Kraus
Prof. Amir Reising MBA.
Catharina auch Schlauchin
Ing. Romuald Kreusel B.A.
Ing. Gordana Bruder MBA.
Konstanze Zänker MBA.
Gert Hölzenbecher B.Sc.
Olga Albers B.Sc.
Saban Hendriks
Anette Bien
Sibilla Eimer
Harold Bähr B.A.
Frau Heidelore Gehringer
Univ.Prof. Rosl Pölitz
Dipl.-Ing. Rouven Kallert MBA.
Tülay Fiebig
Dipl.-Ing. Serge Nerger
Bruno Siering MBA.
Antonie Fischer-Margraf
Dipl.-Ing. Gudula Margraf B.Sc.
Kuno Mälzer B.Eng.
Franco Loos B.Eng.
Anna-Lena Wohlgemut
Lambert Röhricht-Johann
Steffi Schmiedt B.Sc.
Mahmut Rose B.A.
Ing. Anna-Maria Stey
Prof. Sylvio Gumprich
Hannelore Heser-Boucsein
Univ.Prof. Marcella Trüb
Sibel Weller
Wolf Häring-Kallert
Dipl.-Ing. Randolf Martin B.A.
Prof. Britt Drub B.Eng.
Univ.Prof. Undine Jungfer
Mehdi Bähr B.A.
Irene Rogner
Branka Hering
Edgar Bauer
Edda Gertz B.Eng.
Tamara Bender MBA.
Gerd Wiek MBA.
Horst-Peter Riehl
Eckehard Mude
Dr. Helge Täsche MBA.
Fanny Bolnbach B.Sc.
Dipl.-Ing. Harm Ruppert MBA.
Robin Flantz
Herr Jan Kobelt
Marlen Jacobi Jäckel B.Eng.
Bernd Blümel
Nadeschda Barkholz
Viktor Bauer
Ing. Stanislaw Weihmann B.A.
Silke Scheuermann B.Sc.
Nicolas Möchlichen MBA.
Ing. Czeslaw Geisel
Ludwina Beer
Frau Nuray Mangold MBA.
Wencke Salz
Luciano Wirth
Dina Schmidtke
Dipl.-Ing. Ilse Heß B.Sc.
Katerina Drubin
Hansgeorg Beier-Freudenberger
Dipl.-Ing. Ladislaus Weinhold
Edith Kostolzin
Balthasar Klemm
Theo Henschel
Klemens Thies
Ing. Swen Sorgatz B.Eng.
Univ.Prof. Claudia Freudenberger B.Sc.
Irmi Koch
Dr. Alois Kraushaar B.Sc.
Frank-Peter Ullmann
Dipl.-Ing. Laurenz Gerlach MBA.
Karl-Ludwig Bolnbach
Sergei Ritter
Slawomir Drub-Gute
Univ.Prof. Suse Lachmann B.Sc.
Dana Jäntsch
Michel Heß
Elzbieta Putz B.Eng.
Karolina Hartmann
Folkert Barth B.Sc.
Fabienne Dobes-Heuser
Frau Sibel Trommler
Alfred Weinhage-Stiffel
Marlen Hesse
Wieslaw Lachmann
Ing. Ivo Weinhold
Margit Müller
Frau Dana Röhrdanz
Viviane Fritsch-Martin
Sinaida Ruppersberger
Brit Heidrich B.A.
Heinz-Gerd Söding
Univ.Prof. Änne Finke B.Sc.
Herr Marian Schlosser B.A.
Michaele Klotz B.Eng.
Adrian Fiebig-Dörschner
Karsten Schwital
Hans Dieter Stahr
Herr Lukas Eimer
Dr. Eberhardt Adolph B.Eng.
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Dipl.-Ing. Violetta Briemer B.A.
Elfi Fröhlich-Löchel
Mira Hoffmann
Ljudmila Nerger
Alexander Hörle
Hansjürgen Eberth
Niklas Trubin
Brian Preiß
Rudolph Etzold
Eckhart Gutknecht
Karlfried Müller
Manuel Stolze MBA.
Annika Pieper B.A.
Miroslaw Gieß
Prof. Folkert Ernst MBA.
Paolo Klotz-Hein
Siegmund Schleich MBA.
Rosemarie Hethur
Stephan Haase MBA.
Gerd Becker
Ibrahim Lehmann B.Eng.
Angelina Dörschner-Reichmann
Jonathan Gertz-Hertrampf
Anni Hänel B.Eng.
Prof. Woldemar Beier B.A.
Malte Davids
Dipl.-Ing. Canan Pölitz B.Eng.
Rosa-Maria Reising
Rose Beer
Elke Huhn
Ing. Kornelius Geisel B.Sc.
Univ.Prof. Elfriede Rohleder
Katarina Knappe
Bertram Eigenwillig
Hans-Hermann Haering
Prof. Reza Ebert B.Eng.
Camilla Kühnert MBA.
Silke Heydrich-Albers
Hans Josef Thanel
Falk Sorgatz-Ortmann
Gülay Haase
Herr Jonathan Hänel MBA.
Tony Hecker
Nora Klapp-Finke
Univ.Prof. Niklas Mohaupt MBA.
Horst Hauffer B.Eng.
Heinz-Josef Jähn MBA.
Dörte Dobes-Bonbach
Brita Klemm
Dipl.-Ing. Rolf Tröst B.Sc.
Irene Ditschlerin
Pedro Bärer
Adalbert Boucsein
Notburga Pölitz
Gebhard Eberth B.Eng.
Ing. Zoran Tintzmann
Jozef Kostolzin
Univ.Prof. Evelyn Seifert B.A.
Tobias Wirth
Hans-Michael Rudolph
Univ.Prof. Michail Tintzmann B.Eng.
Romy Etzold
Kai-Uwe Stiebitz-Hentschel
Elfie Preiß
Cäcilie Patberg
Wolf-Dieter Rudolph-Bruder
Herr Janus Matthäi B.Sc.
Anneliese Gnatz
Robin Weinhage B.A.
Mechtild Niemeier
Univ.Prof. Ayten Lorch
Mechthild Finke
Joanna Weinhold-Förster
Senta Hiller
Ing. Valentina Börner
Dipl.-Ing. Friedrich Hiller B.Eng.
Astrid Schweitzer
Jan Freudenberger
Univ.Prof. Catharina Neureuther B.Sc.
Juan Schweitzer
Dipl.-Ing. Annelise Naser
Dr. Ralf Hölzenbecher
Univ.Prof. Reginald Lorch
Ramon Salz
Anatolij Keudel
Andre Schlosser
Erwin Weimer-Bohlander
Dr. Sigrun Schönland B.A.
Univ.Prof. Gundi Koch B.A.
Karl-Wilhelm Meyer
Augusta Rosemann
Friederike Geisler
Frederik Bohlander
Gloria Bruder B.A.
Lucia Kohl
Hans-Hinrich Trub
Georgine Schäfer
Ing. Gundolf Steinberg B.Sc.
Brigitta Eimer
Fernando Dobes
Heidemarie Köhler
Lorenzo Adler-Trommler
Liesel Ziegert
Eckehard Nette
Aline Steinberg-Klingelhöfer
Ekaterina Liebelt
Lorenz Hande-Hamann
Sibille Liebelt
Suse Pergande-Gröttner
Bertha Köhler
Micha Röhricht B.A.
Albina Heinz
Dr. Caroline Ortmann
Dipl.-Ing. Emmy Börner
Magarete Beyer B.Eng.
Roselinde Metz MBA.
Hans-Jörg Lachmann
Franca Buchholz
Klaus-Michael Hahn
Univ.Prof. Romuald Hermighausen
Friedrich-Wilhelm Metz
Ilias Weiß MBA.
Hagen Weimer
Hanspeter Juncken
Paul-Gerhard Jungfer B.Eng.
Prof. Sandy Butte
Insa Peukert
Philomena Bloch
Olaf Hethur
Bianka Schuster-Ziegert
Else Gröttner
Gundula Scheel-Döring
Frau Helena Nette
Tobias Mühle
Franz-Peter Preiß B.A.
Eckart Klotz
Gotthard Christoph
Dr. Gunther Jähn B.A.
Beate Nette
Manja Koch II-Heuser
Eugenie Benthin-Ziegert
Freia Buchholz
Henriette Sager
Silvio Scholl B.Eng.
Olav Margraf
Danilo Hande MBA.
Carl Schmiedt
Vlado Lindner
Prof. Kunigunda Pergande MBA.
Eugenia Riehl
Greta Baum
Hasso Mans-Buchholz
Emma Hornich-Kraushaar
Herr Emin Trubin
Univ.Prof. Antoinette Wende B.A.
Herr Benedikt Säuberlich
Berend Gertz B.Eng.
Frau Valentine Benthin
Herr Rüdiger Ruppersberger
Gerda Mans
Immo Koch II
Ansgar Hande
Annemarie Wieloch
Eberhard Junitz
Zenon Hahn MBA.
Cathleen Mies MBA.
Undine Scheibe-Stey
Piotr Schaaf
Irene Gotthard-Hoffmann
Irina Mielcarek
Constanze Fechner-Dörr
Volkmar Trub
Dr. Jeanette Schuchhardt B.Eng.
Aribert Kusch
Prof. Ruthild Nette B.A.
Käthe Langern-Jacob
Kuno Kreusel
Roy Schmidt B.Eng.
Lutz Pärtzelt
Frau Raissa Radisch B.Eng.
Eberhardt Schäfer
Ing. Gerlinde Junken
Prof. Gaby Ernst MBA.
Dr. Luciano Ortmann
Paolo Weller-Heinrich
Dr. Frederike Hering B.Eng.
Leokadia Karge
Annette Schwital
Dr. Gaby Sontag MBA.
Dipl.-Ing. Detlef Trommler
Aloys Fechner
Univ.Prof. Otto Kruschwitz MBA.
Elfi Roht
Valentin Döring
Leon Aumann
Adem Hörle
Margit Walter
Josef Langern
Antonios Zimmer
Mia Roskoth
Angelica Klemt
Aenne Kraus
Telse Steuer B.Eng.
Sarah Beckmann
Klemens Winkler
Ludwina Mohaupt
Canan Heinrich
Patric Heinrich
Ing. Stella Wagner
Ing. Josip Ruppert
Henni Keudel B.Sc.
Karl-Heinrich Jacob
Hans-Herbert Flantz
Hans-Rudolf Huhn
Irmgard Täsche B.A.
Prof. Kata Häring
Kay-Uwe Trommler
Herr André Scholl B.Sc.
Ing. Alf Lachmann
Burckhard Heuser
Stephan Warmer B.Eng.
Egon Haase
Gerd Süßebier
Wulf Fiebig B.A.
Jan-Peter Scheuermann-Jungfer
Mariechen Nohlmans
Gordana Bolnbach
Brian Dussen van
Felicia Ritter
Virginia Textor
Donald Schönland
Wieland Linke
Eveline Putz
Rahel Kreusel
Edward Hering MBA.
Dipl.-Ing. Annemarie Trommler B.Sc.
Hanna Jäntsch MBA.
Ing. Alla Schottin B.A.
Carsten Wieloch-Kranz
Gereon Textor
Friedl Briemer-Austermühle
Ing. Imke Eigenwillig B.A.
Frau Evamaria Geißler
Andrei Wulff
Gitte Buchholz
Luigi Junitz
Svetlana Bohlander B.Sc.
Wibke Tschentscher-Wulf
Elenore Hofmann-Aumann
Marian Vollbrecht MBA.
Gudula Niemeier
Dr. Amir Jäkel
Timm Freudenberger-Henschel
Timm Schönland
Recep Weihmann
Dietlinde Schönland
Gerta Hartmann
Hans-Herbert Walter
Sonia Säuberlich-Langern
Prof. Gertraude Mangold B.Eng.
Emin van der Dussen
Dr. Ottfried Lachmann B.Sc.
Jana Wulf MBA.
Frau Annette Fiebig B.Eng.
Deborah Beier
Dipl.-Ing. Kevin Stadelmann
Dörte Warmer
Emanuel Kitzmann
Annett Mies-Hellwig
Rüdiger Heinrich
Sina Barkholz
Kai-Uwe Oderwald
Dipl.-Ing. Angelina Mälzer B.Eng.
Heidelinde Pruschke
Jutta Franke-Rosenow
Marleen Austermühle-Tintzmann
Dr. Philip Siering B.A.
Joanna Christoph
Hilmar Hörle
Annika Wirth
Kristian Meyer
Attila Atzler
Adalbert Hande B.Eng.
Nermin Jopich
Hagen Girschner
Liliana Davids
Inna Weinhage
Paolo Hentschel-Zobel
Dipl.-Ing. Till Säuberlich
Jolanda Rose
Jens-Uwe Neureuther
Semra Gorlitz
Sibylla Klingelhöfer B.Sc.
Calogero Seip
Wilhelm Metz
Herr Jacek Budig B.Eng.
Norbert Eimer
Univ.Prof. Dolores Rust
Univ.Prof. Ewald Rogner B.Sc.
Dipl.-Ing. Theobald Knappe B.Eng.
Prof. Annita Wulff
Dr. Jochem Trapp MBA.
Univ.Prof. Siegrun Klingelhöfer MBA.
Annelise Schwital
Ing. Jaqueline Wende B.A.
Anni Seidel B.Eng.
Cecilia Killer
Yasemin Hande
Wulf Steckel-Lachmann
Dierk Gunpf B.A.
Frau Mia Kaul MBA.
Herr Alois Thanel B.Sc.
Hatice Jessel
Senta Schmiedecke
Georgia Bärer
Prof. Ingmar Bonbach
Univ.Prof. Traudl Mentzel B.Eng.
Univ.Prof. Waldtraut Riehl
Auguste Gunpf
Tino Kensy
Leokadia Herrmann
Hanspeter Davids
Magdalene Hering MBA.
Univ.Prof. Hans-Theo Kroker
Jessica Gotthard
Hanne-Lore Berger
Theodor Striebitz
Beatrice Bender
Ing. Eva Kitzmann B.A.
Univ.Prof. Beate Eberth
Prof. John Jessel
Univ.Prof. Steffen Tröst
Ing. Istvan Finke
Dipl.-Ing. Willibert Süßebier
Antonino Klingelhöfer
Alena Steuer
Emilia Seifert
Zehra Conradi-Heinrich
Waltrud Scholl
Hans-Gerhard Staude
Rebecca Börner
Dr. Anatoli Bonbach
Monja Heidrich
Ing. Konstantin Gerlach B.A.
Ing. Kay-Uwe Flantz
Roger Gunpf-Paffrath
Leonhard Patberg
Larissa Löffler
Herma Geisler-Beckmann
Heribert Ring B.A.
Claus Juncken
Frau Margrit Beckmann
Rolf-Peter Rosenow MBA.
Helen Hein B.A.
Reni auch Schlauchin
Walter Pruschke
Hans Misicher
Jurij Bärer
Univ.Prof. Zofia Rust
Kordula Dobes-Buchholz
Ilka Zimmer-Wesack
Dino Martin
Korbinian Werner
Mike Sölzer
Melitta Drewes
Dr. Auguste Sager
Hatice Killer-Löwer
Wieslaw Freudenberger
Lisette Mühle
Reinhold Hellwig-Mülichen
Valeska Zimmer-Schleich
Natali Patberg B.A.
Melanie Scheel B.A.
Sükrü Fiebig
Dr. Markus Roskoth B.Sc.
Dipl.-Ing. Jerzy Stolze B.Sc.
Yusuf Nette B.Sc.
Frau Herlinde Kade B.A.
Ludmila Dobes B.A.
Carina Hövel
Gislinde Wagenknecht
Dr. Burkard Bolzmann B.A.
Katherina Bien
Hans D. Kusch B.Sc.
Wolfhard Jäkel MBA.
Prof. Sonia Blümel
Erdmute Mosemann
Hanno Salz
Gotthilf Gehringer B.A.
Hedwig Matthäi
Reinhart Winkler B.Eng.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Dr. Zeki Eberth
Siegried Caspar B.A.
Zlatko Briemer-Karge
Univ.Prof. Francisco Tröst B.Eng.
Grzegorz Bohlander
Mark Lindau
Karola Zorbach B.Eng.
Pirmin Wulf B.Sc.
Johann Baum
Luzia Eckbauer
Karl-Georg Zahn
Tatiana Kade-Rust
Gabi Gertz
Leonardo Klingelhöfer B.Sc.
Rudolph Metz-Mitschke
Univ.Prof. Hinrich Eberth
Jolanta Kühnert
Wolfhard Rosemann B.Eng.
Abdul Ullmann
Karl-Hans Hande-Schuster
Univ.Prof. Friedlinde Bien MBA.
Konstantin Rogner
Julie Mentzel
Clara Stroh
Adelinde Kensy B.Eng.
Frau Caren Schmidt MBA.
Dr. Samuel Dobes B.Sc.
Marlen Flantz
Suzanne Holzapfel
Gundi Sager
Anthony Bonbach
Georgine Segebahn
Prof. Jonas Scholtz
Hildegard Schlosser-Jacobi Jäckel
Dietrich Bien
Karlfried Rörricht
Adina Söding
Emmerich Wilmsen
Dariusz Reising-Ernst
Miroslav Paffrath
Waldtraut Hoffmann
Dipl.-Ing. Josip Mies
Faruk Köhler
Burkhardt Jäntsch B.A.
Meryem Sager
Konstantin Ladeck
Melanie Jungfer-Preiß
Raymond Speer
Nadin Stiebitz B.Eng.
Meral Eberhardt B.A.
Leni Heß
Steve Scholl-Ladeck
Univ.Prof. Anna-Luise Faust
Jan-Peter Grein Groth
Ann Stumpf
Berndt Grein Groth B.Sc.
Univ.Prof. Roger Stadelmann B.Sc.
Ing. Gregor Lindau
Siglinde Zahn
Sami Mans-Ullrich
Herr Gundolf Barth
Univ.Prof. Sebastian Sontag
Kevin Tlustek-Heinz
Romuald Kambs MBA.
Gunnar Weimer
Pavel Pärtzelt B.Sc.
Jennifer Berger
Ing. Hedi Wulf
Hans Jürgen Grein Groth-Rudolph
Nadeschda Rädel
Adem Mühle-Ruppert
Brit Lindner
Diana Weitzel
Ing. Lisbeth Fritsch
Amanda Eimer B.Sc.
Almut Trupp
Frau Antonina Kitzmann
Dr. Isabell Trupp
Siegrun Christoph
Doreen Striebitz
Camilla Wiek
Augustin Carsten
Prof. Marie-Theres Löffler B.Sc.
Ehrenfried Drubin-Paffrath
Cord Mende B.Eng.
Thea Bauer
Hanife Ackermann
Ing. Nelli Hornig
Georgia Liebelt
Maren Bruder
Dipl.-Ing. Janus Roht B.Sc.
Ljiljana Roht
Univ.Prof. Greta Trapp
Dr. Steven Wohlgemut
Univ.Prof. Nadine Gnatz
Cynthia Langern
Lena Holzapfel
Sergio Kraushaar-Anders
Danilo Ladeck-Köhler
Francisco Budig-Geisler
Miguel Briemer
Thies Rose
Anett Bien-Schuster
Stefanie Pruschke
Tülay Scholtz
Alessandro Krause
Univ.Prof. Nikolaus Sölzer B.A.
Patrizia Schüler
Edeltraut Anders-Rohleder
Telse Rudolph
Clarissa Buchholz
Kai-Uwe Hartung
Abraham Adler
Rosina Klotz B.A.
Johann Rust
Michaele Ruppert
Ing. Eugenie Birnbaum
Bert Ortmann
Siegried Otto
Christiane Mentzel
Ellinor Schmidtke B.Sc.
Hans-H. Naser
Hansgeorg Heuser
Janine Dehmel B.Eng.
Burghard Albers-Berger
Arnold Oderwald
Edit Rädel
Heide Schottin
Niklas Schleich
Eva Wende-Peukert
Dorle Dörschner
Judith Boucsein-Aumann
Bernhard Rogner B.Eng.
Denny Kusch
Kazim Tschentscher
Dipl.-Ing. Herta Fliegner MBA.
Verena Hornich
