Student
Ing. Jürgen Jopich B.A.
Rico Putz-Killer
Carmine Hauffer
Polina Hettner
Prof. Goran Sölzer MBA.
Ekkehart Niemeier
Tomislav Mende
Ada Heser B.Sc.
Yusuf Seifert
Dr. Aribert Sontag
Klaus Peter Weller
Benita Ullmann
Lidwina Sorgatz-Weihmann
Helmtrud Neureuther
Dr. Auguste Sager
Frau Herlinde Schleich B.Sc.
Adelheid Hecker
Timm Wende
Mira Bender
Rosl Trupp
Ing. Heide Winkler
Hanspeter Davids
Yusuf Steinberg B.A.
Philip Weller B.A.
Bernt Huhn
Irmtraut Ortmann MBA.
Salvatore Eberhardt-Ring
Aleksander Dowerg
Monja Riehl
Stephen Heidrich
Hans-Martin Junk-Kuhl
Univ.Prof. Gretchen Sontag B.A.
Bernward Losekann MBA.
Adriane Gröttner
Gert Kensy B.A.
Patric Geisler-Becker
Dr. Myriam Häring
Albin Budig
Wolf-Dieter Rudolph-Bruder
Desiree Ruppert
Ing. Karl-Georg Dobes
Dipl.-Ing. Undine Warmer
Gunther Tschentscher
Univ.Prof. Undine Jungfer
Gerhart Schenk MBA.
Ferenc Trüb B.A.
Raissa Gehringer-Putz
Margitta Wulf-Nerger
Dr. Reinhart Hecker B.A.
Heinz-Wilhelm Werner
Engelbert Margraf-Trommler
Lia Heydrich
Eva Wende B.Eng.
Philipp Reising-Harloff
Hans-Eberhard Lübs
Louis Geisel
Ron Sorgatz-Eimer
Gudrun Reichmann MBA.
Marcella Karz B.A.
Elias Gierschner
Dr. Emin Dietz B.Sc.
Univ.Prof. Sebastian Sontag
Kati Radisch
Niklas Schleich
Willy Trub-Freudenberger
Änne Ring MBA.
Margita Schleich-Becker
Univ.Prof. Sonja Hande MBA.
Gloria Mosemann
Eva Wende-Peukert
Anka Rohleder
Inge Dietz B.A.
Vladimir Wulf B.A.
Helena Franke
Romuald Hartmann
Ioannis Junck
Metin Peukert-Lindner
Radmila Linke MBA.
Gotthard Löwer
Heide-Marie Beckmann B.Sc.
Carola Franke
Anna-Marie Steckel
Dr. Torben Stey
Nadia Thanel
Dipl.-Ing. Margarita Stey
Leonardo Klingelhöfer B.Sc.
Cilli Siering
Fritz Schenk B.A.
Wolfgang Beier-Mohaupt
Stephan Haase MBA.
Patrick Haering
Frederike Stoll
Käthe Briemer MBA.
Francesco Wieloch-Herrmann
Anna-Lena Wohlgemut
Zenon Pärtzelt
Nicole Scheibe
Tabea Birnbaum
Sophie Rädel
Prof. Gaby Ernst MBA.
Eveline Putz
Frau Rosemarie Stiffel
Evangelos Staude
Leif Christoph
Anny Wähner
Dipl.-Ing. Janet Ruppersberger
Univ.Prof. Baptist Mende MBA.
Kazim Junken
Dr. Annette Linke MBA.
Maximilian Pohl B.A.
Ing. Carolin Hoffmann
Hans-Jörg Lachmann
Daniele Pieper-Käster
Franka Peukert
Milos Pärtzelt B.Sc.
Leon Rust
Abdul Ullmann
Till Karz
Heino Römer
Zeki Henk B.A.
Dr. Frank Oderwald MBA.
Simon Meyer
Fanny Bolnbach B.Sc.
Univ.Prof. Alexandre Schottin
Berndt Riehl-Bohlander
Miroslav Paffrath
Marianna Rosenow-Weiß
Ingried Bähr
Judith Meyer
Prof. Wilma Mangold
Verena Gute-Trüb
Univ.Prof. Emine Vogt B.Sc.
Burkhardt Jäntsch B.A.
Univ.Prof. Fredy Barth MBA.
Wiltrud Gröttner-Klapp
Prof. Irmhild Fritsch
Ilonka Lange
Deborah Scholtz B.A.
Madeleine Thanel MBA.
Guiseppe Kranz
Ulrike Klemt B.Sc.
Miroslav Krein
Univ.Prof. Kläre Oderwald B.Sc.
Anne-Kathrin Geisler
Dietrich Adolph MBA.
Siegrun Christoph
Martina Hartung
Prof. Johan van der Dussen
Tadeusz Hentschel
Florian Finke
Karl-Peter Heser
Univ.Prof. Ron Rörricht
Gabi Heinz
Roselinde Metz MBA.
Karoline Hübel
Prof. Siegrun Langern
Ing. Gislinde Ernst B.A.
Univ.Prof. Sibylle Zirme B.Sc.
Hülya Conradi
Prof. Klaus Peter Hellwig B.Sc.
Hans-Karl Rust MBA.
Michel Kuhl
Horst-Dieter Bähr
Friedl Briemer-Austermühle
Prof. Guenther Margraf B.Eng.
Hendrik Bolzmann-Henschel
Bertram Eigenwillig
Kristina Scheibe
Wenke Stolze
Veronica Benthin
Mandy Rädel
Dipl.-Ing. Liliana Hartmann
Frau Else Röhrdanz B.Sc.
Prof. Hans-Gerhard Reinhardt B.Eng.
Jan Gumprich
Janko Schulz-Becker
Polina Kostolzin
Timo Spieß
Lilli Meyer-Reuter
Dierk Buchholz MBA.
Janine Müller-Steckel
Herr Rudi Neuschäfer
Antonius Bonbach-Juncken
Waltrud Stroh
Amanda Heinz
Jeannine Gieß
Mahmut Rose B.A.
Herr Gisbert Langern
Undine Lindner
Wulf Steckel-Lachmann
Ronald Hofmann
Univ.Prof. Harro Weller
Siegmar Dowerg
Rosina Ditschlerin-Ortmann
Artur Schaaf
Imelda Schäfer
Paola Margraf
Walter Pruschke
Klaudia Vollbrecht B.A.
Ilonka Döring-Schulz
Prof. Ursula Eigenwillig
Karl-Wilhelm Rogner
Dr. Heiderose Kallert B.Eng.
Sami Linke B.A.
Lars Weller
Traute Fröhlich
Univ.Prof. Harro Fröhlich
Brit Heidrich B.A.
Marianna Hofmann
Herwig Krebs
Hans-H. Schönland
Dipl.-Ing. Gunnar Rohleder B.Sc.
Dr. Alwina Lorch MBA.
Ditmar Briemer
Dr. Vitus Franke
Prof. Manuela Schleich B.Sc.
Annie Langern
Hanny Martin
Alwine Riehl
Fadime Heidrich B.A.
Laura Mühle
Heide-Marie Heß B.A.
Dipl.-Ing. Dunja Hoffmann
Dino Kusch-Hiller
Abbas Täsche
Kai-Uwe Oderwald
Ing. Valentine Scheibe
Erdal Bähr
Univ.Prof. Marc Schmiedt
Inga Eberhardt
Ramona Henk B.Sc.
Prof. Irmela Klemt B.Eng.
Marion Drewes
Marie-Luise Zorbach MBA.
Hiltrud Pergande
Dr. Rotraud Gorlitz
Emma Sorgatz-Radisch
Prof. Lydia Siering
Angelika Rosemann
Ljiljana Löwer B.A.
Reinhold Bloch
Lili Döhn-Margraf
Arzu Ullrich
Nada Hänel
Janusz Eberhardt MBA.
Gerolf auch Schlauchin
Elias Hethur
Magdalena Löwer B.Eng.
Pius Jopich B.Eng.
Mohammed Ritter
Artur Kreusel
Dipl.-Ing. Cora Baum
Dr. Abdullah Becker
Dipl.-Ing. Friedrich Hiller B.Eng.
Prof. Freya Biggen B.Eng.
Arif Killer
Anni Hänel B.Eng.
Waltrud Jockel B.Eng.
Senta Hiller
Ing. Wulf Atzler
Marianne Ernst-Zirme
Louis Loos B.Eng.
Abbas Segebahn
Prof. Anna Kühnert B.Sc.
Dr. Isabell Trupp
Henri Finke-Lehmann
Marion Weihmann
Hilma Kuhl
Janine Hendriks B.A.
Sarina Dobes
Adrian Killer
Ingried Hänel
Lukas Ditschlerin
Aldo Förster
Nikolai Rädel-Klemt
Frau Julia Fliegner
Hannchen Löwer B.Eng.
Univ.Prof. Philomena Kensy
Univ.Prof. Giovanna Siering MBA.
Siegrun Ring
Kerstin Heidrich B.A.
Margot Ullmann
Leo Roskoth B.Sc.
Heinz-Otto Geisler B.Sc.
Andrea Wulf
Evangelos Hartmann B.A.
Irmela Krein-Bolzmann
Prof. Jürgen Blümel B.A.
Leonore Hettner-Staude
Patricia Trubin
Univ.Prof. Rosi Gorlitz B.A.
Käthi Löffler
Bruni Meister B.Sc.
Dominic Martin
Anne-Katrin Butte MBA.
Gundula Adler-Bien
Willfried Mende
Univ.Prof. Albertine Köhler MBA.
Steven Seifert
Dipl.-Ing. Jiri Walter
Gülten Henschel
Maurice Steckel
Kristian Rosemann B.Sc.
Prof. Gunther Klingelhöfer
Mirja Dehmel B.A.
Sigmund Heydrich
Ekaterina Schmiedecke
Annelene Möchlichen-Weiß
Dipl.-Ing. Klaus-D. Kostolzin
Sylvester Hamann
Ottilie auch Schlauchin B.Eng.
Paulo Trommler
Rotraud Fiebig
Ing. Corinne Winkler
Reni Römer
Krista Junken-Hövel
Prof. Marija Seidel
Herr Valerij Heydrich
Pawel Schlosser
Hans-Hinrich Trub
Baldur Käster B.A.
Prof. Marika Junken B.Eng.
Franz Josef Hoffmann B.Sc.
Eva-Marie Berger MBA.
Henryk Bauer
Ernst Henschel
Arnulf Heidrich
Kamil Hecker-Hahn
Dipl.-Ing. Bodo Junk B.Eng.
Dr. Lidija Metz
Ellen Junken
Ing. Monika Ullrich
Gilda Faust
Lutz Mies-Hesse
Dipl.-Ing. Rolf Tröst B.Sc.
Nadja Häring B.Eng.
Reinhold Schönland
Dipl.-Ing. Wilfriede Bruder
Ilhan Hoffmann-Karz
Univ.Prof. Isabel Ladeck
Hartmuth Gude B.Eng.
Joana Mielcarek B.A.
Waldemar Ladeck
Univ.Prof. Hedwig Krein
Hans-Willi Benthin
Cynthia Langern
Tamara Nette-Ladeck
Wojciech Girschner B.A.
Ruthild Juncken B.Sc.
Ryszard Junitz
Hans-Rudolf Fröhlich
Univ.Prof. Almuth Cichorius B.Eng.
Dipl.-Ing. Nikolaus Conradi MBA.
Ing. Siegmund Hertrampf MBA.
Dipl.-Ing. Gabriel Roskoth
Pirmin Boucsein MBA.
Elmar Patberg
Timo Huhn
Dr. Ibrahim Dobes B.Eng.
Julia Heinrich
Prof. Folker Budig
Frau Suse Zorbach
Wulf Caspar
Karsten Wohlgemut
Ingbert Birnbaum-Ring
Constanze Lange
Vesna Bähr
Wilhelm Metz
Irma Atzler-Herrmann
Christiane Roht
Ilonka Kohl
Kata Gierschner
Zita Wieloch-Scholtz
Henni Mälzer-Tlustek
Gebhard Sorgatz
Gertrude Gumprich
Dr. Jan-Peter Döhn B.A.
Enrico Hellwig
Imke Gieß B.Sc.
Michel Heß
Tomislav Schüler
Konstanze Zänker MBA.
Patricia Wiek
Elizabeth Budig
Thea Dippel
Univ.Prof. Gönül Meister B.Sc.
Mirco Girschner
Inna Hande
Ing. Hanne-Lore Ackermann
Herr Christopher Speer
Rüdiger Buchholz-Kuhl
Patric Stahr-Ebert
Hanspeter Stiffel
Brian Lehmann B.Eng.
Theresia Paffrath
Anett Wieloch
Danilo Losekann
Janna Kambs
Lieschen Rörricht
Dipl.-Ing. Lilly Trüb
Frithjof Gertz
Hedwig Matthäi
Marietta Geißler
Gunnar Hornig
Univ.Prof. Christa-Maria Lehmann B.A.
Augusta Rosemann
Clara Stroh
Orhan Dörr-Salz
Jana Langern
Antonios Klemm B.Sc.
Katherina Hesse
Hans-Jochen Mude
Annemie Herrmann
Dr. Natascha Trüb
Franziska Hörle B.Sc.
Frank-Michael Klemt
Kathi Seip
Gabi Meister
Prof. Irma Bien B.Eng.
Wulf Fiebig B.A.
Marlies Seifert-Roht
Hellmut Siering
Edmund Caspar B.Sc.
Wibke Pärtzelt-Wieloch
Mariola Heinrich
Abraham Carsten
Univ.Prof. Ioannis Lübs B.Eng.
Janina Seifert
Orhan Wieloch
Nico Möchlichen
Ing. Gregor Lindau
Milena Weitzel-Steinberg
Alwine Bien
Matteo Dehmel-Weimer
Kordula Lange
Karl-Friedrich Nerger
Nadin Hertrampf-Killer
Urszula Rudolph
Zoran Oestrovsky
Dipl.-Ing. Janus Roht B.Sc.
Lotti Rosemann
Dominic Möchlichen
Prof. Monica Beer MBA.
Prof. Tilmann Franke B.Sc.
Herr Bertold Löffler
Mareike Reichmann
Dipl.-Ing. Amanda Striebitz
Prof. Kordula Vollbrecht B.A.
Univ.Prof. Giovanna Bachmann B.Eng.
Undine Scheibe-Stey
Pascal Freudenberger
Alicia van der Dussen-Patberg
Reinhilde Hesse B.Sc.
Univ.Prof. Steffen Tröst
Dipl.-Ing. Till Säuberlich
Maya Haering-Becker
Johann Seidel
Carina Kusch
Herr Sigismund Gieß MBA.
Dr. Marie-Theres Möchlichen B.A.
Slawomir Drub-Gute
Gülay Werner
Valerie Losekann
Elli Kuhl B.Eng.
Hilda Stey B.Eng.
Dipl.-Ing. Gunar Kuhl
Wiltrud Wilmsen-Graf
Emma Briemer B.Eng.
Ing. Karl-Dieter Stroh
Nadja Schleich MBA.
Ing. Konstanze Geisel
Bernadette Sorgatz
Melanie Hauffer
Francisco Wirth
Karolina Hartmann
Marika Zimmer
Irmtraut Mülichen B.A.
Ottilie Trüb
Kathleen Hahn B.A.
Diether Dussen van-Rohleder
Ing. Eckehard Bloch MBA.
Kunibert Trommler-Renner
Ing. Bianka Bärer MBA.
Leonore Jäkel
Irina Mielcarek
Zbigniew Boucsein
Carla Hecker
Annerose Eckbauer
Univ.Prof. Reinhilde Cichorius B.A.
Frau Bianka Henk B.Sc.
Hannchen Drewes B.Sc.
Gert Seifert
Peggy Holt
Canan auch Schlauchin-Dussen van
Georgine Schinke
Thies Birnbaum B.A.
Andy Jockel B.Eng.
Aleksandr Schuster B.A.
Univ.Prof. Halina Hamann MBA.
Tassilo Beckmann
Herr Erich Rosenow
Claudio Freudenberger
Ing. Paul-Heinz Geißler
Dr. Fredy Niemeier
Florian Wulff
Ing. Georgia Rogner
Prof. Liliana Klemm MBA.
Edeltraud Kaul
Danny Mälzer
Nadine Schleich
Univ.Prof. Oscar Lindau MBA.
Ing. Nicolai Textor B.A.
Ing. Gabriela Dippel MBA.
Ing. Emanuel Tintzmann
Hans-Theo Vogt-Beckmann
Herta Hendriks
Ralph Schottin-Graf
Marcella Ehlert
Sofia Roht MBA.
Fatih Zirme
Prof. Theda Hölzenbecher
Hatice Jessel
Olga Stahr
Karl-Josef Barth
Gina Stolze
Rüdiger Heinrich
Univ.Prof. Francisco Tröst B.Eng.
Victor Häring
Linus Mans-Röhrdanz
Kirsten Heydrich
Sebastian Aumann
Dr. Reza Hering B.Sc.
Yusuf Schacht
Nikolaos Ebert-Grein Groth
Maria-Theresia Tschentscher
Rudolph Metz-Mitschke
Edda Jungfer
Herr Jonathan Hänel MBA.
Cristina Salz B.Sc.
Herr Hartmuth Pruschke
Ben Täsche
Frau Mirja Jüttner B.Eng.
Angelique Adler
Marzena Neuschäfer
Frau Wenke Riehl
Prof. Tadeusz Mosemann B.Sc.
Cord Mende B.Eng.
Dr. Hans-Albert Stroh
Karla Etzler-Metz
Franca Börner
Julia Hecker-Krebs
Mira Rohleder
Dr. Maren Steckel B.Sc.
Burkhard Holt-Schleich
Univ.Prof. Axel Dörschner B.Sc.
Dr. Melitta Mans B.Eng.
Irmgard Täsche B.A.
Gesche Trub
Hans-Josef Butte-Dussen van
Sara Heuser
Hansjörg Holsten
Christina Geisel-Hesse
Dipl.-Ing. Elisabeth Wiek
Emma Hornich-Kraushaar
Prof. Helmut Hellwig MBA.
Othmar Täsche-Loos
Christl Eigenwillig
Stella Barth
Theresa Hethur-Kabus
Abram Vogt MBA.
Hildegunde Staude
Aenne Hübel-Mühle
Gerard Scholl
Andrei Bolander-Jäkel
Edda Salz
Käthi Naser-Tlustek
Cäcilie Schmidt
Albin Fischer B.Eng.
Elisabet Schuster B.A.
Herr Leonid Fröhlich B.Eng.
Ilja Freudenberger B.A.
Marieluise Schulz
Herr Dietrich Gotthard B.A.
Nancy Hartmann-Schottin
Bayram Meister
Gerwin Bonbach-Fliegner
Fatima Röhrdanz
Ottilie Gute
Hanns Bender
Prof. Jelena Krebs B.Sc.
Martha Wilmsen
Victoria Hornig
Hans-Hinrich Stiffel
Ramon Jäntsch-Gertz
Ing. Marie-Therese Schleich
Theda Stumpf B.Eng.
Ekrem Hornich
Hanna Speer
Ann Stumpf
Dittmar Graf
Justine Patberg-Metz
Conrad Paffrath
Prof. Katarzyna Gehringer B.Eng.
Ferenc Pergande B.Eng.
Dipl.-Ing. Iris Stumpf MBA.
Dipl.-Ing. Slawomir Ebert MBA.
Reinhold Hellwig-Mülichen
Fredy Hiller
Concetta Seifert
Prof. Woldemar Beier B.A.
Konstanze Mühle
Justus Schleich-Drewes
Miguel Dussen van B.Eng.
Sonja Paffrath-Reichmann
Prof. Mahmut Barth B.A.
Inge Kabus
Marta Herrmann
Filiz Bähr
Dr. Sara Niemeier
Univ.Prof. Mira Heser B.Sc.
Siegrid Hande
Miroslaw auch Schlauchin
Univ.Prof. Margrit Davids B.Eng.
Karl-Heinrich Sölzer
Jolanta Kühnert
Michelle Pohl
Ing. Stella Wagner
Hanspeter Koch II-Wohlgemut
Agata Hertrampf
Dietlinde Schönland
Iris Ullrich
Elizabeth Jacob
Moritz Schönland
Dipl.-Ing. Mara Otto B.Sc.
Ing. Carolin Anders
Dipl.-Ing. Robert Köhler
Erol Eimer
Frau Monique Löchel
Herr Vladimir Zimmer MBA.
Henriette Bruder
Christian Jacobi Jäckel
Heinz-Joachim Stiebitz
Pawel Peukert-Rörricht
Elsa Beer
Ellen Hahn-Spieß
Ing. Corinne Steckel B.A.
Prof. Alma Gumprich
Saban Hendriks
Karl-Heinrich Karz
Pavel Pärtzelt B.Sc.
Greta Hermighausen
Ing. Margarethe Martin
Zeynep Keudel
Camilla Kühnert MBA.
Marc Henck B.Eng.
Ing. Agnes Zobel
Martin Dörr
Dr. Editha Rohleder
Lissi Thanel MBA.
Stilla Heuser
Ilias Weiß MBA.
Prof. Janus Walter B.A.
Margareta Dörschner B.Sc.
Moritz Holzapfel
Jan Freudenberger
Univ.Prof. Athanasios Drub B.Sc.
Liesel Klapp
Maximilian Hellwig
Vesna Döhn
Univ.Prof. Gusti Schlosser
Falk Höfig
Selim Pieper
Jessica Schottin
Olga Krein
Hans Misicher
Julia Conradi-Mentzel
Danny auch Schlauchin
Bernt Conradi
Frau Mira Klemm
Herr Lukas Eimer
Dipl.-Ing. Birgitta Boucsein
Evangelia Misicher
Alla Rohleder
Frau Waltraud Weitzel B.A.
Cläre Bruder-Hentschel
Ottokar Döhn
Univ.Prof. Margareta Naser
Univ.Prof. Kirstin Killer B.Eng.
Ekkehard Holzapfel
Irmgard Pieper B.Eng.
Evangelia Gierschner
Hans-Gerd Holt
Gernot Kobelt
Ewald Kreusel
Ing. Tillmann Geisel
Wibke Cichorius
Herr Muzaffer Schäfer
Reni Cichorius
Herr Simon Fliegner MBA.
Hannes Patberg
Dr. Reimar Fiebig B.A.
Dorothea Kroker-Misicher
Herr Gerold Kreusel
Enver Dehmel
Agnes Ullmann
Prof. Marijan Hoffmann
Univ.Prof. Gisa Meister
Hans Jürgen Lange
Hans-Georg Schmidt
Vitali Walter-Krein
Jurij Zimmer
Patrizia Schleich
Nina Müller B.Eng.
Maurizio Hermann
Sevim Junitz
Karlfried Zahn B.A.
Janko Margraf MBA.
Heinz-Günter Weimer B.Sc.
Univ.Prof. Hans-Peter Schmidt MBA.
Bernhardine Wilmsen
Dipl.-Ing. Johanna Henck
Marion Weinhold-Pechel
Klaus-Ulrich Tlustek-Förster
Hans-Herbert Walter
Prof. Frithjof Binner
Jiri Bärer
Marc Heintze B.A.
Raimund Gieß
Kai-Uwe Köhler
Prof. Catherine Knappe MBA.
Helge Ladeck MBA.
Franz-Josef Etzold
Kreszenz Drubin
Liesbeth Huhn
Kay-Uwe Trommler
Daniela Löwer
Gerhild Beyer
Ing. Pauline Linke
Univ.Prof. Regina Salz B.Eng.
Isabell Briemer
Edmund Junck
Prof. Sandra Klapp
Ing. Guenther Scholtz B.A.
Hellmuth Hörle
Univ.Prof. Jann Schleich
Dörte Dobes-Bonbach
Leokadia Oestrovsky
Henning Fechner
Gerhart Hentschel
Dipl.-Ing. Tim Jäntsch B.Eng.
Marliese Roht
Jakob Pohl
Ignatz Wähner-Hänel
Nurettin Dippel
Michail Schmidt
Lieselotte Dussen van MBA.
Irmhild Lorch
Arndt Weinhold MBA.
Dr. Semra Wagenknecht
Saskia Roskoth B.Eng.
Theo Henschel
Horst-Peter Ritter
Prof. Magdalena Bohlander B.Sc.
Dorle Zirme
Reimar Klemm MBA.
Karl-Dieter Seifert
Zeljko Hiller-Misicher
Catrin Caspar
Eitel Ernst
Marko Kensy-Atzler
Notburga Weller MBA.
Marlen Weihmann-Trub
Inge Paffrath
Dr. Frederike Hering B.Eng.
Desiree Köster
Bertram Segebahn
Dipl.-Ing. Henriette Lindau
Irmgard Weinhage-Wieloch
Dr. Carsten Steinberg
Stilla Dobes
Mike Krein
Achim Mülichen-Schleich
Emmerich Wilmsen
Hanife Ullrich
Gusti Henschel
Anastasia Mans
Edward Hering MBA.
Aleksander Klapp-Sauer
Tomas Gröttner
Dr. Eleni Heser
Luzia Eckbauer
Bernhardine Bender MBA.
Simona Lorch
Elvira Mälzer
Fatima Heser B.Eng.
Prof. Meinrad Wiek
Esther Hoffmann-Hermighausen
Severin Mende B.A.
Edwin Wilms MBA.
Siegbert Kranz
Anna-Luise Segebahn
Lioba Söding
Henry Austermühle
Sibel Hörle
Enver Börner MBA.
Slawomir Ortmann
Ricarda Steuer
Aloys Barkholz
Jaroslaw Eckbauer
Centa Krebs-Stadelmann
Herr Karl Dippel B.A.
Tony Wende
Ali Briemer-Klemm
Ing. Hans-Heinrich Reichmann B.Sc.
Luciano Aumann
Dr. Gerda Butte MBA.
Mohamed Heydrich
Linda Kruschwitz
Irmgard Hövel
Frau Tatiana Hande B.Sc.
Björn Steckel B.Eng.
Tatjana Käster-Schüler
David Warmer
Valerij Barth
Antonius Pärtzelt-Jüttner
Prof. Georgia Zirme MBA.
Hansjürgen Schlosser
Frau Britt Heß
Janin Haase
Mohammed Geißler
Univ.Prof. Canan Zorbach B.Sc.
Irene Rogner
Dr. Gerhart Käster
Halina Austermühle-Bender
Horst-Peter Faust
Nathalie Krause
Brigitte Zirme B.Sc.
Stefano Koch B.Eng.
Elisa Steinberg
Hansjoachim Kraus-Beer
Gisa Budig-Löwer
Sieghard Hahn
Lorenz Schwital-Stadelmann
Alida Tröst
Oskar Beyer
Alfred Tröst-Stahr
Ria Koch II
Anette Bien
Alfred Rose
Dorle Rädel
Annegret Holt-Heuser
Dr. Caroline Ortmann
Karl-Dieter Süßebier
Gregor Buchholz
Luciano Klotz
Joachim Süßebier
Hilmar Faust
Dunja Trub
Dr. Alois Kraushaar B.Sc.
Rocco Trub
Elizabeth Vollbrecht
Ramona Römer
Dr. Alberto Kabus B.Sc.
Erwin Weimer-Bohlander
René Ehlert
Abdul Trüb MBA.
Svetlana Bonbach B.A.
Ing. Hanns Haase B.Eng.
Evelin Gerlach
Josef Langern
Urszula Fliegner
Ing. Cläre Dowerg
Kunibert Heß MBA.
Univ.Prof. Ortwin Geisler MBA.
Dipl.-Ing. Henriette Schmidtke MBA.
Ing. Helen Gumprich B.Sc.
Leokadia Finke-Dippel
Jadwiga Karge
Raphael Bonbach MBA.
Galina Kraus-Hermighausen
Prof. Clemens Söding
Univ.Prof. Anna-Luise Faust
Laszlo Nerger MBA.
Ing. Carla Ziegert B.Eng.
Dr. Annelene Hamann
Heide-Marie Koch II
Burkhardt Holt
Almuth Pieper
Karl-Otto Putz
Loni van der Dussen B.Sc.
Annemie Kade-Kuhl
Monique Schleich-Kroker
Vesna Wähner
Martina Keudel
Janet Ullrich
Stephanie Kranz B.A.
Evelin Wagenknecht-Döhn
Felicia Binner
Gerwin Rust MBA.
Danilo Ladeck-Köhler
Gundi Hiller
Iris Kraushaar B.Sc.
Univ.Prof. Marcella Trüb
Zenta Gertz B.A.
Leander Dobes-Schlosser
Silvio Scholl B.Eng.
Gerdi Neureuther-Mälzer
Ing. Ralf Sölzer B.A.
Nick Jockel B.A.
Domenico Reichmann
Hans-Herbert Flantz
Betty Steinberg
Björn Rädel-Rohleder
Janusz Beckmann
Ariane Tintzmann
Dr. Valentin Eigenwillig
Aleksander Wagner-Barth
Gabor Pechel-Junken
Benita Geißler
Magdalena Gude
