Student
Prof. Emine Wulf B.Eng.
Ing. Alexandros Vogt MBA.
Annie Schlosser
Conny Metz
Univ.Prof. Herlinde Klotz
Andrea Ziegert
Pedro Beer
Friedrich Austermühle-Döring
René Hölzenbecher-Berger
Marit Weller
Victor Häring
Mattias Henk
Myriam Hänel
Anselm Mühle
Anna-Luise Eckbauer
Centa Kaul
Marit Thanel B.Sc.
Frau Julia Fliegner
Timo Siering-Hübel
Dipl.-Ing. Slobodan Sölzer
Dr. Hans-Detlef Lindau B.Eng.
Kathleen Hahn B.A.
Alicja Pergande
Univ.Prof. Nadeshda Oestrovsky
Malte Bohlander
Gerd Süßebier
Prof. Walter Pechel
Nadeschda Hande
Bruno Hethur
Kristian Albers
Patricia Trubin
Stavros Hövel B.Eng.
Wera Klemt
Käthe Hande
Nadja Häring B.Eng.
Caterina Weinhage
Ing. Jens-Peter Tschentscher
Günter Löwer
Ing. Konstanze Schmidtke MBA.
Rouven Eberhardt
Judith Gerlach
Thies Pergande
Gudrun Rörricht
Tomasz Bolnbach
Francoise Dippel B.Eng.
Remo Reinhardt
Alessandro Werner
Brunhilde Tröst
Ing. Jessica Mende
Bogdan Löffler
Gertraude Hahn
Auguste Buchholz B.Sc.
Ing. Krzysztof Kambs B.Eng.
Dipl.-Ing. Rudi Wiek B.Eng.
Hildburg Dowerg-Pergande
Karl-Georg Dörschner
Selma Girschner B.Sc.
Gunter Grein Groth B.Eng.
Regine Häring
Sibilla Eimer
Dipl.-Ing. Burckhard Jäntsch
Elise Hentschel
Hedda Haase
Prof. Janin Dietz
Heribert Kensy
Reinhard Zänker
Milos Pärtzelt B.Sc.
Gunhild Nohlmans
Artur Budig
Leon Aumann
Wencke Bohlander
Frau Ayten Pärtzelt MBA.
Krista Scholtz
Uli Stolze MBA.
Karl-Wilhelm Rogner
Frau Inken Zimmer B.Eng.
Ilonka Zimmer
Ottilie Hartung
Dagmar Franke-Schleich
Ortrun Pohl B.Eng.
Dr. Czeslaw Neureuther
Janusz Kruschwitz B.Eng.
Dr. Annita Kallert
Zdravko Kroker
Patrick Wohlgemut
Udo Grein Groth
Raymond Löchel-Ziegert
Verena Gute-Trüb
Helen Hahn
Catherine Huhn
Katherina Klapp
Ing. Josip Ruppert
Dr. Irmtraut Gnatz B.Eng.
Rahel Dörschner
German Speer
Arnfried Scheuermann
Burckhard Mende
Klaus-Ulrich Tlustek-Förster
Marieluise Kruschwitz
Ernest Stahr
Waltrud Gumprich
Willfried Werner
Mariusz Baum
Silva Plath
Lili Kaul
Dr. Sandra Mangold B.Sc.
Hans-Bernd Trubin-Klemt
Aribert Schulz B.Eng.
Rosalia Johann
Dr. Wilfriede Reuter
Hansjürgen Eberth
Dorle Zirme
Siegbert Henschel
Roderich Scholtz
Dipl.-Ing. Annelise Naser
Betti Zirme B.A.
Ing. Lucie Karz
Rosalinde Trupp
Christa Kabus
Eberhard Dobes
Kristin Niemeier
Dr. Ellen Schlosser B.A.
Ismail Geisler
Dipl.-Ing. Harm van der Dussen
Frau Hildegund Vogt B.A.
Dr. Klothilde Lachmann B.A.
Ing. Karl-Peter Weinhold B.Sc.
Olivia Jäkel
Ing. Imke Eigenwillig B.A.
Sebastian Aumann
Dr. Pius Säuberlich B.Sc.
Igor Dörschner
Dr. Tony Ditschlerin
Hans Kraus
Hellmut Bruder
Josephine Rogge
Nicolaus Seifert B.A.
Dipl.-Ing. Ehrenfried Kranz MBA.
Bayram Hering
Philipp Reising-Harloff
Prof. Norbert Wilms B.A.
Jessika Thies
Prof. Annita Putz
Delia Hande-Koch
Siegmar Kramer
Dr. Carmela Rudolph
Univ.Prof. Nikolaus Sölzer B.A.
Krista Bohnbach
Kreszenz Drubin
Prof. Sarina Hartmann
Dipl.-Ing. Eckhard Kallert B.Sc.
Dr. Editha Rohleder
Ekkehart Kreusel
Claus Jähn B.Eng.
Prof. Kata Häring
Steffen Rust B.Eng.
Dr. Timo Ernst
Auguste Pruschke
Michael Mies B.Sc.
Gretchen Pohl
Rupert Kallert
Klaus Peter Adler
Herr Andrej Rose
Univ.Prof. Harro Fröhlich
Frieda Tintzmann-Löchel
Beatrice Käster
Gloria Mosemann
Ing. Adam Klemt MBA.
Dipl.-Ing. Dörte Häring MBA.
Solveig Scheibe
Maurizio Eckbauer
Giorgio Trüb
Univ.Prof. Heinz-Werner Renner B.A.
Silvia Eberth
Siegrun Christoph
Kathrin Johann-Schulz
Frau Ina Schwital B.Sc.
Kristian Ritter
Prof. Urs Täsche
Wolf-Dietrich Berger
Prof. Klaus-Ulrich Boucsein MBA.
Niklas Trubin
Luis Ackermann
Univ.Prof. Kläre Oderwald B.Sc.
Kaspar Aumann
Prof. Manuela Schleich B.Sc.
Univ.Prof. Natalie Flantz
Dipl.-Ing. Undine Warmer
Ing. Marlene Wirth B.Sc.
Nathalie Krause
Wibke Reuter
Ewa Bolnbach-Textor
Kira Eckbauer
Thomas Hänel
Monica Drub-Davids
Ing. Friedhelm Löchel B.Eng.
Dipl.-Ing. Mara Otto B.Sc.
Lieselotte Nohlmans
Geraldine Wagner
Dr. Arzu Martin B.Eng.
Frau Silvana Bolzmann B.Eng.
Annegrete Pergande
Lothar Beckmann
Sigmund Hentschel MBA.
Tabea Birnbaum
Dr. Ljiljana Henck MBA.
Frau Xenia Blümel
Giuseppina Linke
Klaus-Michael Mälzer
Elias Langern
Sevim Ackermann
Kornelius Sontag
Darius Gieß
Michaele Ruppert
Oxana Ortmann MBA.
Karl-Dieter Seifert
Herr Hans-Ludwig Steinberg
Hellmuth Heidrich
Prof. Linda Beier
Univ.Prof. Aysel Lindau
Mina Segebahn B.A.
Wilma Röhrdanz
Univ.Prof. Alexandros Junk
Otmar Wende
Irene Gotthard-Hoffmann
Meta Harloff
Prof. Maya Peukert
Romuald Kambs MBA.
Karl-Heinrich Kraus B.A.
Francoise Freudenberger-Stey
Herr Yusuf Kabus B.A.
Dagobert Bohnbach
Dr. Adriane Bärer B.Eng.
Betti Adolph
Frau Änne Gunpf B.Sc.
Univ.Prof. Damian Sorgatz B.Eng.
Heinz-Günther Bohnbach
Univ.Prof. Nadja Jacob B.Eng.
Wally Kreusel
Ing. Aldo Radisch
Alwine Linke
Cläre Bruder-Hentschel
Dorit Ebert
Anette Anders
Klaus-Jürgen Jockel
Ing. Hans Jürgen Häring
Gretchen Eimer-Wilmsen
Heimo Förster
Harri Mans
Anneli Butte
Univ.Prof. Monja Staude MBA.
Halil Löwer
Elisa Noack-Seifert
Gabi Gertz
Dr. Lea Kraushaar B.Eng.
Kathi Seip
Marga Vogt
Gertrude Lehmann-Kostolzin
Sibille Liebelt
Benita Ullmann
Univ.Prof. Niklas Mohaupt MBA.
Marian Vollbrecht MBA.
Mariechen Scholl
Christos Sölzer
Helmuth Wagner
Dipl.-Ing. Ira Röhricht B.Sc.
Dipl.-Ing. Giorgio Drubin B.Eng.
Luciano Aumann
Frau Brit Stoll
Joerg Fritsch-Pieper
Carola Kusch
Univ.Prof. Pamela Kambs MBA.
Selim Pieper
Oxana Schmidtke
Univ.Prof. Vesna Hering
Eva-Maria Mies MBA.
Ernestine Stumpf
Ing. Serpil Rudolph MBA.
Prof. Heinz-Joachim Losekann
Frau Kirsten Geißler
Patrizia Schleich
Ing. Käthe Plath B.Eng.
Frida Stolze
Herr Rüdiger Ruppersberger
Fatih Zirme
Osman Schäfer
Engin Trub
Pius Gierschner-Weitzel
Dipl.-Ing. Jaroslav Henk
Ing. Eckehard Bloch MBA.
Hermine Franke B.Eng.
Leonore Schacht
Franca Harloff-Döring
Dr. Alwina Lorch MBA.
Jacek Klemt
Ing. Justina Fiebig
Ellen Haase
Gertraud Mentzel
Johannes Freudenberger
Alois Werner
Hanna Speer
Prof. Karen Benthin B.Eng.
Therese Neureuther
Arnfried Lorch B.A.
Ing. Paul-Heinz Geißler
Kristiane Hermann
Viktoria Trub-Budig
Theda van der Dussen
Hans-Martin Drewes
Dr. Patrizia Dörschner B.A.
Andreas Birnbaum-Kallert
Paolo Weller-Heinrich
Josefine Rosemann
Zlatko Briemer-Karge
Klaus-D. Zirme-Bachmann
Erica Holsten
Frau Clarissa Rosenow B.A.
Eberhardt Gute
Anto Tröst-Schäfer
Gino Häring
Elisabeth Wieloch-Boucsein
Frau Hedwig Wirth
Madlen Lübs
Attila Losekann B.Sc.
Natalia Hauffer
Gerhild Gude
Drago Täsche
Leonardo Birnbaum
Ing. Gundi Boucsein B.Sc.
Else Heß MBA.
Anton Gute
Univ.Prof. Gunter Kaul
Dipl.-Ing. Serge Nerger
Luciano Biggen
Frau Anne-Kathrin Wagner
Nikolas Siering
Gordon Lehmann
Julian Dussen van B.Eng.
Dipl.-Ing. Virginia Käster
Carsten Jüttner B.Eng.
Klaus-Dieter Knappe
Urte Bolzmann
Hanife Ackermann
Marijan Huhn
Dr. Elly Junk
Josephine Nerger-Mende
Jerzy Wagenknecht B.A.
Univ.Prof. Nicole Höfig B.Sc.
Univ.Prof. Undine Junken MBA.
Wojciech Losekann-Seidel
Hellmuth Hörle
Dr. Luisa Anders B.A.
Univ.Prof. Roger Stadelmann B.Sc.
Ing. Birgid Möchlichen B.A.
Stanislav Reuter
Franz Ortmann B.Eng.
Marjan Segebahn B.Eng.
Ing. Hartmuth Gute B.A.
Madlen Trupp B.Eng.
Mike Hofmann
Hannelore Weinhold B.Sc.
Hellmuth Drubin-Tschentscher
Frau Hella Stumpf
Hannchen Drewes B.Sc.
Agathe Gertz-Butte
Hans-Joachim Pohl
Mareile Meister
Henry Schüler B.Eng.
Friedlinde Sauer
Ing. Klaus-Michael Bolzmann
Anto Niemeier
Donald Schönland
Franka Mitschke B.Sc.
Hilda Metz-Dehmel
Rolf-Dieter Flantz B.Eng.
Wiltrud Geißler
Dierk Beier
Sofie Schmiedecke
Ewa Kade
Janusz Killer
Yasmin Reising
Klaus Lorch-Graf
Jadwiga Koch
Arnulf Heidrich
Edgar Karge
Herma Bender-Scholtz
Georgine Schinke
Hans-Bernd Zorbach
Ilse Krebs
Ute Stroh
Dipl.-Ing. Cynthia Hauffer B.A.
Hans-Adolf Mosemann B.A.
Univ.Prof. Clara Heidrich B.Sc.
Diethard Gude
Sebastian Karge
Ing. Pamela Gerlach
Ernestine Karz
Helmtrud Neureuther
Ursula Löffler
Dana Köster
Michaele Schwital
Hildegart Scheel B.A.
Dursun Atzler B.A.
Univ.Prof. Heidrun Hiller
Ursel Juncken-Buchholz
Ludmila Patberg
Dr. Annekatrin Striebitz
Herr Salih Blümel
Kerstin Niemeier
Danilo Hartmann
Meryem Sager
Maria Döring B.Sc.
Heimo Karge-Freudenberger
Margita Schleich-Becker
Leonie Möchlichen MBA.
Belinda Reinhardt B.A.
Waltraud Trapp-Pechel
Arnulf Ullmann
Ingelore Heinz
Senta Schmiedecke
Käthi Lübs
Helmuth Zirme
Josef Berger
Univ.Prof. Vinko Tschentscher
Henri Wirth
Mandy Huhn B.A.
Mijo Karge-Löchel
Ulla Süßebier
Annelise Jungfer
Univ.Prof. Marita Pohl
Joseph Reuter
Anastasios Kuhl
Cora Stumpf-Gunpf
Alena Steuer
Thekla Schäfer
Waltrud Stroh
Milos Seifert
Ing. Gerlinde Junken
Sigmund Mosemann
Herr Wieland Hartmann MBA.
Herr Hinrich Mühle
Teresa Ladeck-Rädel
Prof. Riza Niemeier
Geza Weller
Meinrad Barkholz B.Eng.
Kristian Meyer
Prof. Anica Haering B.A.
Dipl.-Ing. Elly Davids B.Sc.
Dajana Ring
Carolin Siering
Wera Schmidt
Tibor Bolzmann MBA.
Eugenia Riehl
Herr Klaus Peter Krause B.A.
Janin Höfig B.A.
Zeki Henk B.A.
Paula Stroh
Antonia Köster B.A.
Camilla Jäntsch
Alban Dippel
Irina Täsche
Luitgard Weiß-Rörricht
Prof. Tobias Börner
Aribert Kusch
Harro Söding
Gitte Briemer
Bertha Rose
Sofia Hethur
Gerwin Salz
Univ.Prof. Giovanna Siering MBA.
Ing. Ben Lindau MBA.
Herr Kurt Weitzel B.Sc.
Helga Gerlach-Seifert
Elsa Preiß
Karl-Ernst Reuter
Kenneth Kramer
Ing. Konstantin Gerlach B.A.
Hüseyin Wulf-Schmidt
Aneta Schlosser-Köster
Dorina Weinhold
Enver Dehmel
Dr. Stephanie Ladeck
Mahmoud Ditschlerin-Trüb
Kirstin Kusch-Meister
Friedericke Lehmann B.Sc.
Philippe Wähner
Toni Schottin B.A.
Urszula Rudolph
Annerose Kaul
Marek Hesse B.Eng.
Sara Johann
Prof. Hansjürgen Langern
Deborah Finke
Gülten Henschel
Dipl.-Ing. Patric Fröhlich
Piotr auch Schlauchin-Reuter
Annie Noack
Univ.Prof. Blanka Linke B.Eng.
Kuno Dussen van
Prof. Frithjof Binner
Ruthild Schüler B.Eng.
Heribert Austermühle-Trupp
Berthold Austermühle MBA.
Susann Henk
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Caroline Haering MBA.
Lilly Girschner-Ritter
Ilija Eckbauer-Steinberg
Gregor Loos-Gehringer
Jörn Barth-Möchlichen
Maurice Beckmann
Hanspeter Benthin
Hans-Albert Preiß-Scheel
Janet Kade
Ralph Hellwig-Lachmann
Prof. Alois Jacob
Mina Beyer
Reimer Hethur-Gutknecht
Univ.Prof. Meta Rädel
Ignatz Franke
Herr Dimitri Mohaupt B.A.
Aynur Bohlander
Eberhard Junitz
Leopold Rörricht
Elli Junck
Nico Hartung-Linke
Magarete Beyer B.Eng.
Dipl.-Ing. Gertraut Stolze
Annie Harloff B.A.
Prof. Emil Kruschwitz
Raphael Bonbach MBA.
Viviane Jopich
Ignaz Löwer
Fatima Eckbauer-Rosemann
Ulla Fliegner-Sölzer
Prof. Gülay Birnbaum
Bruno Siering MBA.
Diana Haering
Dr. Jane Kostolzin
Miroslav Kohl
Roselinde Zobel
Marianna Geisler
Ing. Dagmar Bohnbach B.Eng.
Prof. John Jessel
Elenore Renner
Aleksandra Benthin
Rainer Gude-Kaul
Desiree Wulf-Jüttner
Nikolai Haase B.Sc.
Klaus-D. Segebahn
Gundi Schwital
Heide-Marie Beckmann B.Sc.
Yusuf Steinberg B.A.
Saban Eimer
Cecilia Gertz
Wally Anders B.Eng.
Ing. Wolf-Rüdiger Weihmann B.Eng.
Dipl.-Ing. Patricia Werner B.Sc.
Emilia Scheel
Fatima Röhrdanz
Ellen Liebelt
Hanife Ullrich
Dr. Iris auch Schlauchin
Kunigunda Hamann-Hermighausen
Lene Hermann-Kaul
Elsa Beer
Dr. Achim Barth
Willibald Boucsein B.Sc.
Annegret Holt-Heuser
Gisela Paffrath
Prof. Gaby Ernst MBA.
Univ.Prof. Walter Barkholz
Carina Hövel
Karlfried Sorgatz
Janin Hermann
Nancy Hartmann-Schottin
Artur Berger
Klaudia Reuter B.A.
Wilfriede Blümel
Mehdi Niemeier-Noack
Prof. Folker Budig
Miroslaw auch Schlauchin
Heribert Ring B.A.
Juan Klapp B.Eng.
Ing. Tina Schmiedt B.A.
Hüseyin Hethur
Prof. Goran Sölzer MBA.
Eckehard Wernecke
Birgitta Loos
Arnim Bärer
Emilie Schmiedecke
Dipl.-Ing. Bernward Putz B.Eng.
Univ.Prof. Natalie Noack MBA.
Marlis Rogge B.Sc.
Hans-Eberhard Blümel
Prof. Friedbert Tschentscher B.Eng.
Reinhardt Pärtzelt
Frau Ingried Rogner B.Sc.
Marco Conradi
Ivanka Gierschner-Pergande
Sigmund Kensy
Ing. Georg Lübs
Jörgen Putz B.A.
Bertram Höfig B.Sc.
Herr Thorsten Hartmann B.Eng.
Hardy Wende B.Sc.
Herr Emin Trubin
Dr. Meral Thies B.Sc.
Ing. Pius Börner
Paulina Bender-Liebelt
Matthäus Eckbauer
Silke Heydrich-Albers
Gottfried Hettner-Reising
Sylwia Bolander
Alma Flantz MBA.
Frau Zdenka Boucsein B.Eng.
Rose-Marie Jäkel
Erhardt Loos
Univ.Prof. Othmar Geisel
Dr. Auguste Sager
Sigurd Holsten B.Sc.
Inna Weinhage
Ing. Henning Drub
Gunnar Hentschel
Agnes Vollbrecht
Karolina Hartmann
Oliver Biggen
Ing. Iwan Wagner
Dr. Annett Siering
Jann Schleich
Paolo Hentschel-Zobel
Dorota Wilms
Gusti Wagenknecht
Hertha Gutknecht
Carola Köhler MBA.
Tassilo Gehringer
Ing. Elsa Liebelt
Korinna Söding
Ing. Swen Sorgatz B.Eng.
Dr. Almut Nohlmans B.A.
Ulrike Schleich-Süßebier
Zbigniew Weinhage
Juliana Schönland
Wilfried Radisch
Riza Heydrich
Stanislaw Misicher
Univ.Prof. Ludwig Jähn B.A.
Dorina Dippel
Halina Hethur
Sigmar Zobel
Gerta Klemt
Cindy Stahr
Prof. Hans-H. Zimmer
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Justus Schleich-Drewes
Ilka Heß
Jann Geisler
Knut Jacob
Linus Drub
Martin Dörr
Urszula Fliegner
Dolores Atzler B.A.
Dipl.-Ing. Gilbert Plath B.Sc.
Klaus-Werner Koch II B.Sc.
Dr. Ruth Dobes
Dipl.-Ing. Enver Drubin
Reni Rosemann MBA.
Univ.Prof. Dolores Rust
Herma Möchlichen
Janko Rose
Prof. Maria-Luise Drub B.Sc.
Ioannis Klemt
Prof. Tina Ullrich
Augusta Beer
Cosimo Girschner
Friedlinde Warmer
Edeltraut Anders-Rohleder
Siegmar Keudel-Gude
Rene Henck
Berthold Haase-Trub
Alma Kaul
Annelie Kitzmann
Dipl.-Ing. Henriette Schmidtke MBA.
Annemarie Häring
Herr Benedikt Säuberlich
Adem Hörle
Augustin Carsten
Mirko Eckbauer
Ing. Helene Jähn B.Eng.
Fatih Ladeck-Weihmann
Erol Röhrdanz
Sonia Säuberlich-Langern
Stjepan Schmidtke
Pavel Pärtzelt B.Sc.
Dr. Valentina Knappe
Gundula Klotz
Univ.Prof. German Rörricht
Susan Riehl B.Sc.
Univ.Prof. Kreszenz Wulf B.A.
Marcel Hermighausen
Egbert Gertz
Helene Gröttner-Hornich
Ing. Marie-Therese Schleich
Zlatko Kraus
Reimar Müller
Simone Jacobi Jäckel B.A.
Sören Pechel
Dr. Peggy Beyer B.Sc.
Ilias Weiß MBA.
Mariele Bolander
Dipl.-Ing. Margarete Schmidt
Annelore Juncken
Abdul Ullmann
Resi Margraf
Emanuel Scholz B.Eng.
Regina Becker
Johannes Schuchhardt-Junitz
Dipl.-Ing. Bekir Boucsein
Minna Wernecke-Gumprich
Ing. Janin Winkler MBA.
Ansgar Seidel
Frithjof Gertz
Univ.Prof. Dolores Jäkel
Elli Meister
Martha Wilmsen
Andre Schinke
Aleksander Dowerg
Victor Seifert
Theo Döring
Mattias Kruschwitz
Ing. Celal Textor
Prof. Mechtild Steuer
Rosita Wesack B.Sc.
Vladimir Wulf B.A.
Piotr Speer-Seifert
Dipl.-Ing. Mariechen Bonbach
Simon Mude
Elfie Preiß
Tatiana Pechel
Prof. Fredy Hahn
Hugo Ruppert-Kade
Hans Kostolzin-Ditschlerin
Irmi Schacht
Dr. Rita Kallert
Gitte Rohleder-Bruder
Prof. Marion Martin
Karin Beckmann
Frau Friederike Albers
Leonhard Patberg
Timo Huhn
Ing. Therese Rust
Fatma Seidel B.A.
Dr. Heinz Dieter Dörschner
Juan Schweitzer
Angelica Lindau-Heß
Jonathan Mohaupt
Dr. Aysel Kohl
Jana Wulf MBA.
Notburga Heuser
Maren Heser-Kreusel
Alexandros Ernst
Valeri Mielcarek
Stephanie Beer
Tadeusz Weller
Silvester Scheibe
Antonius Kraus
Mariele Stiffel B.Sc.
Daria Jopich
Francisco Wirth
Heinz-Werner Schleich-Mies
Judith Koch-Mude
Ahmet Stumpf
Kay-Uwe Bruder MBA.
Mara Roht
Danica Atzler
Jozef Kostolzin
Armin Hellwig-Finke
Bayram Cichorius-Zobel
Ing. Ignaz Rose
Christl Pölitz
Falko Kusch B.A.
Lidwina Jockel
Hannchen Zahn
Heino Schönland-Hermann
Hans Dieter Stahr
Elke Huhn
Univ.Prof. Ivo Mies
Ing. Zoltan Dobes B.A.
Auguste Lorch
Trudi Kranz B.Eng.
Amalie Gotthard-Beckmann
Kristian Anders B.Sc.
Emmi Adolph
Hans-Willi Baum-Staude
Tilman Killer B.A.
Janus Oderwald-auch Schlauchin
Nils Hermighausen
Vassilios Birnbaum
James Kostolzin-Haase
Marlen Weihmann-Trub
Clara Stroh
Irmgard Weinhage-Wieloch
Richard Drub
Wolfhard Vogt
Steven Weinhold B.A.
Gert Nette
Beata Lübs
Rosi Renner-Graf
Madeleine Thanel MBA.
Paolo Klotz-Hein
Tina Henschel
Ernst-August Gunpf
Ing. Vitali Hentschel MBA.
Heinz-Willi Holt
Bogdan Zirme
Charles Heinz
Marie Hoffmann B.Sc.
Hans-Gerd Jockel
Ernst-August Beyer
Abram Eckbauer B.A.
Alice Lachmann-Finke
Gerwin Schuster
Ing. Zofia Ernst
Henny Vogt
Guntram Warmer
Reimund Bohlander
Lieschen Röhricht MBA.
Prof. Oswald Ehlert MBA.
Univ.Prof. Teresa Weinhage B.A.
Ing. Helen Gumprich B.Sc.
Eleni Mühle MBA.
Liesbeth Huhn
Mariola Tlustek MBA.
Dipl.-Ing. Edgar Gehringer B.Eng.
Egbert Heintze
Marica Seidel B.Eng.
Chantal Fröhlich
Klaus-D. Zänker-Hein
Michail Schmidt
Henriette Pohl
Friedrich-Karl Weimer
Klaus-Dieter van der Dussen
Nada Butte
Univ.Prof. Lydia Langern
Anna-Lena Bloch
Hermine Eberhardt
Ing. Andrew Nerger
Gundel Dietz
Iris Kraushaar B.Sc.
Herr Wieslaw Trupp
Gundula Adler-Bien
Kordula Drub B.Sc.
Zeljko Baum
Magdalena Warmer MBA.
Wladimir Möchlichen MBA.
Ilija Rosenow
Cynthia Langern
Theresa Schüler
Horst-Dieter Gude
Prof. Marika Davids B.A.
Aribert Putz
Gerald Hendriks
Carl Schomber-Mälzer
Alessandro Henk-Käster
Stephen Tintzmann
Dr. Elfie Tintzmann
Heinrich Ackermann
Dino Martin
Irmgard Hövel
Faruk Döhn
Ekkehart Niemeier
Frau Kordula Geisler MBA.
Dipl.-Ing. Ismet Käster B.Eng.
Dipl.-Ing. Lucia Renner B.A.
Hartwig Zirme
Prof. Karl-Ernst Möchlichen
Dipl.-Ing. Dajana Beer
Heinrich Dippel
Margot Schäfer B.Eng.
Ute Conradi-Trüb
Dr. Lidija Weihmann
Gertraude Pärtzelt MBA.
Norbert Niemeier
Rafael Blümel
Berend Gertz B.Eng.
Vadim Bender B.A.
Marc Heintze B.A.
Sofie Fiebig-Hermighausen
Victoria Werner MBA.
Stjepan Langern
Dipl.-Ing. Dragica Neureuther
Adelgunde Wagenknecht
Univ.Prof. Hedwig Krein
Univ.Prof. Klaus-Günter Renner B.A.
Wolfhard Jäkel MBA.
Alwine Bien
Gitta Hübel
Ing. Cilli Gertz B.A.
Prof. Lydia Siering
Gino Hövel B.Sc.
Attila Atzler
Nurettin Bärer B.Eng.
Dipl.-Ing. Amanda Striebitz
Brita Schwital
Liane Kambs
Daniel Zänker
Gülsen Benthin
Virginia Gieß
Sabine Gude
Milka Wohlgemut-Meyer
Edith Binner
Alexander Hörle
Aline Steinberg-Klingelhöfer
Frau Julie Wieloch
Hans-Gerd Holt
Florence Schulz
Henriette Bruder
Prof. Mathias Schmiedt
Editha Jacob
Ing. Luisa Oestrovsky
Miroslav Paffrath
Hannelore Heser-Boucsein
Dipl.-Ing. Gerold Kusch B.Eng.
Univ.Prof. Virginia Pechel
Ivana Wilmsen-Gumprich
Hilde Lübs
Christos Bolander
Ing. Thekla Beyer B.Sc.
Birte Gröttner MBA.
Fatma Sager
Univ.Prof. Traudel Wernecke B.A.
Cora Scholtz
Micha Eckbauer B.Sc.
Denis Weimer
Univ.Prof. Frederike Heintze
Anni Seidel B.Eng.
Helma Häring
Herta Weitzel
Geert Zänker
Prof. Sibel Wohlgemut B.Sc.
Dorit Köster
Lore Margraf
Nick Hermighausen-Krein
Hasso Zahn
