Student
Monika Haering
Dipl.-Ing. Ladislaus Weinhold
Friedrich-Karl Weimer
Hellmuth Drubin-Tschentscher
Hansgeorg Kruschwitz
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Kristin Kaul B.Sc.
Attila Losekann B.Sc.
Käthi Naser-Tlustek
Anne-Kathrin Bachmann
Hermann Josef Junck
Herr Oliver Pechel
Juliana Weinhage
Xenia Christoph
Waltrud Gumprich
Dr. Erkan Stroh
Istvan Patberg-Anders
Franz-Xaver Scholtz
Recep Hecker
Univ.Prof. Anna-Luise Faust
Wolfgang Beier-Mohaupt
Woldemar Jacob B.A.
Babett Süßebier B.A.
Dr. Hans-Peter Adolph MBA.
Hans-Bernd Knappe-Gröttner
Reni Henk
Rüdiger Bien-Hübel
Ljiljana Rädel
Herr Siegmar Geisler
Reza Misicher
Constance Drubin
Stanislaw Misicher
Karl-Otto Winkler B.Eng.
Gertrude Ullmann
Jost Briemer
Hasso Mans-Buchholz
Hans-Helmut Binner B.Sc.
Univ.Prof. Paul-Heinz Heinz
Nadia Thanel
Erol Lindner
Univ.Prof. Undine Junken MBA.
Jonas Hendriks
Peer Jähn
Raissa Mitschke MBA.
Dr. Jann Wesack B.A.
Friedrich-Wilhelm Stahr-Henck
Albrecht Seifert B.Sc.
Serge Kade
Desiree Ruppert
Paulo Trommler
Oliver Bien
Michael Scholz
Rose-Marie Jäkel
Cord Haase
Dipl.-Ing. Johanna Henck
Vassilios Davids
Rene Berger-Jäkel
Katalin Thanel-Kitzmann
Thorben Rosenow
Nikolai Mohaupt
Ricarda Warmer B.A.
Stanislav Löffler MBA.
Herr Leonid Röhricht MBA.
Henriette Bruder
Erwin Jopich
Augusta Beer
Prof. Jörgen Gieß B.Eng.
Dr. Gero Röhricht B.Eng.
Irmtraud Freudenberger
Raymond Löchel-Ziegert
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Juan Briemer-Textor
Gudrun Reichmann MBA.
Dipl.-Ing. Helmut Hauffer
Lieselotte Nohlmans
Marta Eigenwillig-Hörle
Wolf Schottin-Gunpf
Pia Steuer
Edit Dowerg
Tilman Killer B.A.
Maja Jungfer
Heino Römer
Ing. Tilman Kitzmann
Hasso Renner
Florentine Eimer
Ing. Lucie Karz
Marina Wilmsen
Hans-Jörg Trupp-Säuberlich
Herr Dimitri Mohaupt B.A.
Rosa Pieper B.Eng.
Heide-Marie Adler B.Eng.
Irmtrud Klingelhöfer
Traugott Ruppert
Editha Jacob
Evangelia Misicher
Roswita Hofmann MBA.
Yusuf Nette B.Sc.
Stephanie Heintze
Marcella Sölzer
Jasmina Heuser
Dagobert Hornig
Zlatko Ritter B.Eng.
Univ.Prof. Czeslaw Heuser
Gülay Haase
Berndt Mohaupt MBA.
Ernest auch Schlauchin
Dörthe Roht
Karla Gunpf
Jens-Uwe Geisler
Reni Cichorius
Piotr Speer-Seifert
Walentina Eckbauer
Marieluise Schulz
Frauke Staude
Mareile Meister
Prof. Jolanthe Gude
Isa Knappe-Biggen
Bettina Schlosser
Dipl.-Ing. Lara Tlustek
Josefa Hauffer
Erhardt Steinberg
Marianna Rosenow-Weiß
Helga Salz
Bernd Blümel
Ditmar Bien
Ante Gunpf
Curt Schönland
Hanspeter Benthin
Ingmar Beckmann
Ralph Schottin-Graf
Slavko Fliegner B.Sc.
Cornelia Schinke
Erik Trupp MBA.
Gunhild Meister
Dipl.-Ing. Edda Barth MBA.
Alwina Koch
Dipl.-Ing. Friedhilde Hauffer B.A.
Hermine Franke B.Eng.
Hans-J. Wohlgemut
Ekkehart Binner
Eveline Kruschwitz B.Sc.
Tina van der Dussen
Ing. Iwan Wagner
Ing. Konstantin Gerlach B.A.
Calogero Staude B.A.
Gilda Rohleder
Dr. Trude Ziegert B.A.
Apostolos Kreusel-Noack
Jens Trub
Carola Köhler MBA.
Mirko Bolander
Attila Atzler
Julie Mosemann
Ing. Maria Lübs
Silvia Weiß
Prof. Gülay Birnbaum
Regine Häring
Myriam Aumann
Hanne-Lore Losekann B.Sc.
Univ.Prof. Dana Seifert
Univ.Prof. Tomasz Atzler B.Sc.
Univ.Prof. Sahin Freudenberger B.A.
Kläre Mohaupt-Salz
Ing. Rosalinde Käster MBA.
Elmar Förster
Martina Keudel
Ing. Hans Peter Schenk B.A.
Grit Karz
Attila Rogner
Dr. Lisa Kusch
Heinz-Josef Conradi-Klapp
Hartwig Zirme
Prof. Annita Putz
Rosemarie Schmiedecke
Ing. Rolf Gertz
Linus Lübs
Burckhard Heuser
Hansjörg Roht
Siegried Caspar B.A.
Regina Hamann B.Sc.
Ehrentraud Biggen-Kreusel
Dunja Trub
Jörgen Lorch
Johanne Kusch
Kornelius Sontag
Leo Roskoth B.Sc.
Janine Hendriks B.A.
Prof. Horst Mälzer B.Sc.
Marika Zänker B.A.
Hans-Henning Scheel
Dr. Muzaffer Sauer B.Eng.
Ing. Loni Gnatz MBA.
Ole Süßebier MBA.
Ing. Siegrid Birnbaum
Siegmar Kramer
Anna-Lena Bloch
Ljubica Wohlgemut-Schmidt
Else Gröttner
Frau Stella Plath B.A.
Ludmilla Pieper
Lioba Söding
Felicitas Biggen
Mirja Dehmel B.A.
Leokadia Oestrovsky
Hans-Wilhelm Weller
Joachim Fischer
Heimo Kuhl
Nurettin Mans-Klemt
Lili Kaul
Herlinde Schenk B.A.
Dörte Warmer
Reimer Kitzmann
Elizabeth Stahr
Urs Bähr
Murat Förster
Dipl.-Ing. Hanns Nette
Maren Heser-Kreusel
Günter Wiek B.A.
Jakob Pohl
Ljudmila Nerger
Prof. Sofie Gröttner
Klaus-Günter Kreusel
Kunigunda Reising
Willibald Boucsein B.Sc.
David Faust-Holsten
Baptist Gröttner B.Sc.
Hans-J. Neureuther
Univ.Prof. Hiltrud Löwer
Prof. Juan Hamann
Engin Schenk
Abram Briemer
Erica Renner-Trapp
Ing. Louis Eckbauer B.Eng.
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Fedor Röhrdanz
Gottlob Seip
Dr. Rotraud Gorlitz
Hiltraud Klemm-Pärtzelt
Benno Hofmann
Ulla Hamann
Ingrid Rudolph
Margareta Klingelhöfer
Herr Rüdiger Ruppersberger
Herr Roderich Hauffer
Ferdi Hoffmann
Elfi Roht
Horst-Günter Renner
Volkmar Trub
Eggert Börner-Geisler
Nikolaus Rosenow
Univ.Prof. Pamela Kambs MBA.
Ing. Erwin Kobelt B.A.
Celal Scheel B.A.
Irene Rogner
Julia Graf
Harriet Rohleder
Anette Bien
Marleen Langern-Oderwald
Wulf Caspar
Franz-Xaver Bachmann
Gereon Weitzel
Falko Kusch B.A.
Friedrich-Wilhelm Höfig-Johann
Herr Simon Fliegner MBA.
Josef Butte-Lindau
Dipl.-Ing. Manuel Kade
Emanuel Holsten
Reingard Geisel
Ing. Rose-Marie Hölzenbecher
Gerwin Textor
Ing. Anna-Maria Stey
Antje Kambs
Gretchen Eimer-Wilmsen
Andrej van der Dussen B.A.
Reimar Jacob-Loos
Dr. Gerda Butte MBA.
Berit Pärtzelt
Cord Tröst
Univ.Prof. Heinz-Dieter Schuster
Hans-Eberhard Blümel
Anja Wagner-Hermann
Friedhilde Wernecke
Hilda Stey B.Eng.
Gülay Werner
Herr Gerolf Hermann B.Eng.
Selma Girschner B.Sc.
Herr Jörgen Kruschwitz
Julia Ruppersberger
Adalbert Hande B.Eng.
Ada Kreusel
Helmtrud Neureuther
Oscar Fritsch
Irmi Schacht
Hajo Ziegert-Noack
Folkert Barth B.Sc.
Kamil Hendriks
Peer Hölzenbecher
Lorenzo Zänker
Branka Speer B.A.
Nora Dehmel B.Eng.
Egbert Bender
Univ.Prof. Suzanne Paffrath
Margitta Hethur MBA.
Ing. Diedrich Gotthard MBA.
Rolf-Peter Rosenow MBA.
Dominik Spieß
Alfred Tröst-Stahr
Manja Koch II-Heuser
Prof. Lilly Schmidtke
Fernando Reising
Slawomir Bohnbach
Sibel Hörle
Herr Benedikt Säuberlich
Dipl.-Ing. Betti Löffler MBA.
Gernot Dörr
Lotti Rosemann
Peggy Sauer
Inka Meyer
Ingeburg Radisch-Steckel
Adele Boucsein B.Sc.
Dr. Hildegund Söding B.A.
Grit Röhricht-Rosemann
Dipl.-Ing. Baldur Oderwald B.Sc.
Gregor Loos-Gehringer
Herr Wladimir Bolnbach
Karl-Dieter Speer
Vitali Faust B.Eng.
Katerina Bolzmann B.Eng.
Luitgard Weiß-Rörricht
Jaroslaw Pieper MBA.
Fanny Bolnbach B.Sc.
Univ.Prof. Henryk Kostolzin
Dr. Aldo Fritsch
Bernt Huhn
Gülsen Gutknecht
Dr. Jonas Anders B.Sc.
Univ.Prof. Maxim Matthäi
Marc Heintze B.A.
Tomas Tlustek
Jasmina Zorbach
Edit Martin B.Sc.
Dipl.-Ing. Anneliese Kühnert
Dipl.-Ing. Sieglinde Fischer B.Eng.
Ing. Dagmar Bohnbach B.Eng.
Dipl.-Ing. Adriana Geißler
Roman Bloch
Lena Wende
Dierk Buchholz MBA.
Lothar Fischer
Silvia Henschel
Svetlana Bohlander B.Sc.
Wladimir Rogge
Jeanette Mälzer
Concetta Neureuther
Univ.Prof. Karl-Otto Dowerg MBA.
Dipl.-Ing. Ingolf Krein
Dogan Sauer
Susi Schuchhardt
Bruni Freudenberger
Dipl.-Ing. Till Säuberlich
Danuta Kensy
Dr. Miguel Jungfer
Jens-Peter Heinrich
Sebastian Aumann
Sina Patberg
Prof. Meinrad Wiek
Hans Georg Gorlitz-Schäfer
Sigurd Süßebier
Lieschen Rörricht
Tülay Henschel
Imre Mülichen
Annekatrin Trupp
Hildegard Roht B.Sc.
Ing. Giuseppe van der Dussen B.A.
Gisbert Christoph
Ben Ullmann MBA.
Valerij Weller-Barkholz
Melitta Steinberg
Annelene Reuter B.A.
Marit Thanel B.Sc.
Gloria Bruder B.A.
Univ.Prof. Ladislaus Hande
Prof. Tillmann Holt B.A.
Simone Jacobi Jäckel B.A.
Kasimir Albers-Stiebitz
Eleni Franke
Gülsen Benthin
Wulf Kusch
Dr. Selma Geisel B.Sc.
Nada Girschner
Sigurd Lange-Seifert
Cetin Heidrich
Dr. Ehrhard Gieß B.Sc.
Falk Höfig
Dr. Walburga Kobelt B.Eng.
Tobias Mühle
Martha Wilmsen
Hubert Hertrampf
Bert Junck
Raymund Thanel
Peggy Holt
Dagmar Schinke B.Sc.
Dr. Lidija Metz
Trudel Bloch
Franz-Josef Schmidtke
Meral Bolnbach
Bertold Stadelmann
Otmar Wende
Prof. Marko Rohleder B.A.
Marianna Geisler
Dr. Marliese Junck B.Sc.
Ladislaus Killer
Utz Christoph-Henck
Rolf Wirth
Bernhardine Mangold
Antonia Mohaupt
Gundel Dietz
Univ.Prof. Natalie Noack MBA.
Gina Killer
Ruth Mangold B.Sc.
Gülsen Davids-Heinz
Ing. Ortrun Weimer
Sara Heuser
Dr. Frederik Dobes MBA.
Frau Zdenka Zimmer
Karla Conradi
Danilo Hein-Scheibe
Dr. Rosmarie Seip
Harriet Ullmann
Ing. Eugenie Kreusel MBA.
Enno Jockel MBA.
Dr. Hans-Herbert Losekann B.A.
Dipl.-Ing. Klaus Geisler
Gertraude Hahn
Eileen Geißler
Igor Zobel B.A.
Woldemar Heydrich B.Eng.
Lotti Mosemann
Prof. Ahmad Rörricht
Ronald Börner-Hentschel
Ilias Wagner
Inga Eberhardt
Gislinde Schlosser
Dr. Mato Geisel
Jozef Kostolzin
Annelore auch Schlauchin-Lorch
Krista Gertz B.Eng.
Prof. Edgar Roht
Univ.Prof. Ferenc Knappe B.Sc.
Aleksander Scheuermann
Thorben Stiebitz
Luigi Gude
Marina Radisch
Carl Scheibe
Folker Fischer
Joseph Reuter
Paulina Oderwald
Heinz-Joachim Stiebitz
Helmuth Langern-Steinberg
Mehdi Bähr B.A.
Zofia Schönland B.Sc.
Ottilie Blümel
Heiner Pieper
Hans-Theo Thies
Christiana Bauer
Univ.Prof. Frederike Heintze
Frieder Austermühle
Dr. Katalin Knappe B.Eng.
Hedda Mielcarek
Ahmet Thies
Dipl.-Ing. Patricia Werner B.Sc.
Fredi Lindner
Milos Pärtzelt B.Sc.
Frau Anna Mangold B.A.
Prof. Georgia Zirme MBA.
Eckehard Nette
Herr Ronny Tröst B.Sc.
Reimund Bohlander
Eckehard Wernecke
Jenny Scholtz
Klaudia Vollbrecht B.A.
Univ.Prof. Marjan Graf B.Sc.
Pauline Mosemann
Prof. Kathy Warmer MBA.
Natascha Eigenwillig
Dipl.-Ing. Ehrenfried Kranz MBA.
Heinz-Otto Geisler B.Sc.
Mike Hofmann
Paolo Meister
Janko Stey MBA.
Melanie Hauffer
Anne-Rose Krause
Ing. Gerold Mende
Aurelia Dussen van MBA.
Dr. Wilfriede Reuter
Frau Siegried Margraf B.Sc.
Frau Gitte Hänel
Daniel Zänker
Dogan Rogge
Mattias Sorgatz-Haase
Rico Cichorius
Käthe Hande
Ing. Giorgio Warmer B.Eng.
Dipl.-Ing. Melanie Kreusel B.A.
Patrick Döring
Josefa Stolze
Hertha Stoll
Frau Dora Rosemann B.A.
Ing. Karl-Dieter Stroh
Änne Boucsein B.Sc.
Veli Rädel
Lotte Kusch
Aenne Mende B.Eng.
Gino Ernst
Dr. Matthias Niemeier
Ingo Heinz
Nadia Steckel
Herlinde Birnbaum
Lilo Scholz
Jan Gumprich
Emilia Seifert
Lilly Seifert
Dina Schmidtke
Dagmar Dussen van
Prof. Liane Jungfer
Regina Becker
Gudula Holzapfel
Ann Stumpf
Kay-Uwe Trommler
Ing. Monika Ullrich
Mechtild Patberg
Bernward Losekann MBA.
Univ.Prof. Heidrun Hiller
Stephanie Krause
Eckehard Steckel
Ing. Natalie Oderwald B.Sc.
Herr Yilmaz Vollbrecht B.Eng.
Krystyna Rust-Baum
Gislinde Junken
Dipl.-Ing. Claas Ladeck
Karsten Schwital
Gundi Hiller
Marko Trupp
Undine Scheibe-Stey
Hans-Karl Bauer B.Eng.
Sören Trommler
Jo Dussen van
Ben Eimer-Loos
Theodora Wilmsen
Hanife Täsche-Stiffel
Herr Alexandre Eimer B.A.
Jerzy Wagenknecht B.A.
Ing. Amalia Walter
Czeslaw Bohnbach B.Eng.
Suse Pergande-Gröttner
Herr André Scholl B.Sc.
Niels Faust
Johann Beer
Theodor Bolnbach-Kroker
Nancy Eckbauer
David Warmer
Frau Alexandra Beckmann B.A.
Ronald Werner
Hendrik Herrmann
Univ.Prof. Nadja Jacob B.Eng.
Ing. Anastasios Berger
Catharina auch Schlauchin
Cathleen Gude
Ernst Koch II-Graf
Frau Trudel Hövel
Heimo Förster
Agnes Vollbrecht
Leokadia Bloch
Dajana Ring
Prof. Oswald Ehlert MBA.
Ralf-Peter Gute
Inken Hellwig-Hermann
Cathleen Mies MBA.
Magarete Krause
Elisabet Preiß-Thanel
Hans-Gerd Gnatz
Lara Stroh
Hanns Bender
Klaus-D. Sölzer
Virginia Gieß
Wenke Stolze
Ing. Stanislaw Weihmann B.A.
Manuela Sauer
Moritz Holzapfel
Manuel Krause MBA.
Annegrete Jüttner
Henning Fechner
Ing. Torsten Hartung B.Eng.
Prof. Ines Kuhl
Dr. Franco Wilms
Herr Gotthard Wilms
Jadwiga Gotthard
Prof. Volkmar Heuser
Conny Zirme B.Sc.
Univ.Prof. Meta Rädel
Heinz-Werner Briemer B.A.
Waltraud Hentschel
Canan Heinrich
Dr. Kai-Uwe Schulz B.A.
Adriane Stroh
Herr Hans-Ludwig Steinberg
Regine Meyer
Boris Stumpf
Gernot Kobelt
Univ.Prof. Luka Mende
Egon Haase
Herr Vito Roskoth B.Sc.
Herr Roman Sontag B.Sc.
Sami Junitz
Reinhard Eigenwillig
Dorothee Blümel
Benjamin Stoll
Eva Wende B.Eng.
Gönül Steinberg
Niko Gutknecht B.Sc.
Herr Jost Ruppersberger B.A.
Wladimir Karge
Franz Löwer
Karl Heinz Stiebitz
Peter Mitschke
Ing. Horst-Dieter Seip
Univ.Prof. Roman Misicher
Dipl.-Ing. Woldemar Benthin B.A.
Uli Schönland-Trupp
Frau Katarina Lindner
Nadja Schleich MBA.
Matthias Hendriks-Koch
Inka Trapp
Erkan Trub
Brigitta Walter
Madeleine Thanel MBA.
Johan Buchholz
Gunther Tschentscher
Dominik Jungfer
Nermin Kranz-Austermühle
Diethelm Hofmann
Dr. Elzbieta Mitschke B.Eng.
Klaus-Dieter Meister
Carlo Pohl
Heino Schönland-Hermann
Univ.Prof. Alberto Steuer
Helen Dehmel
Willy Weiß
Bekir Bonbach
Catherine Huhn
Ulrike Misicher MBA.
Herr Hermann-Josef Lehmann B.A.
Olivia Thies B.A.
Univ.Prof. Aleksander Wiek B.A.
Corinne Koch II
Björn Steckel B.Eng.
Karl-Wilhelm Anders-Gude
Felizitas Jungfer
Ing. Karin Werner
Angela Weimer B.A.
Karl-Peter Hering
Jörg Pechel
Dipl.-Ing. Jiri Wesack B.A.
Marlen Flantz
Jorge Killer
Aysel Löchel
Ing. Kornelius Geisel B.Sc.
Gisa Dörr B.Eng.
Herr Yusuf Kabus B.A.
Dr. Diedrich Atzler
Sami Mitschke
Michelle Pohl
Eberhard Junitz
Lorenz Sauer
Luka Stiffel
Hans-Georg Dörschner
Dipl.-Ing. Margarita Stey
Cäcilie Haase
Wladimir Möchlichen MBA.
Brigitte Geisler
Hans Dieter Stahr
Herr Heinz-Josef Wende MBA.
Piotr Ruppersberger
Anica Austermühle
Dina Hartung
Kilian Austermühle B.A.
Lucia Hermighausen
Agathe Weinhage B.A.
Francoise Dippel B.Eng.
Hellmuth Hörle
Ing. Elsa Liebelt
Ing. Jo Caspar
Karl-Friedrich Nerger
Dipl.-Ing. Mareike Noack B.Sc.
Bernhardine Schuchhardt
Karlfried Sorgatz
Oxana Lübs
Notburga Pechel B.Eng.
Stjepan Wesack-Winkler
Guiseppe Tschentscher
Vitali Neureuther
Wally Wähner
Joerg Fritsch-Pieper
Bertha Rose
Nuray Aumann
Ing. Elisabet Jopich B.Sc.
Benjamin Lübs
Athanasios Bloch
Veronique Löwer
Andre Schönland B.Sc.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Univ.Prof. Kata Zahn
Wolfhard Rosemann B.Eng.
Alicia Kroker
Univ.Prof. Trudel Gierschner MBA.
Krzysztof Mülichen
Univ.Prof. Markus Finke B.Sc.
Dr. Carmela Rudolph
Rosina Ortmann
Reinhilde Metz
Thilo Patberg
Vincenzo Haering
Mato Patberg-Heintze
Konstanze Mühle
Herr Goran Paffrath
Helma Hänel B.A.
Nada Dowerg-Jähn
Rosi Spieß
Frank-Michael Löwer-Ring
Sinaida Adolph
Ria Koch II
Hans-Karl Christoph-Schleich
Gülten Ruppersberger-Wende
Prof. Gabriella Holt B.Eng.
Dr. Leopoldine Kostolzin
Monica Drub-Davids
Marek Hesse B.Eng.
Anna-Luise Kraushaar
Gerhild Stiffel
Rosalia Pruschke
Ann Mielcarek
Mareike Lübs
Annaliese Klingelhöfer
Walfried Klotz-Klotz
Nadeshda Schenk
Willibald Gude
Dipl.-Ing. Tim Jäntsch B.Eng.
Immo Koch II
Anna Hartmann
Dana Köster
Hannes Jäntsch
Betti Adolph
Univ.Prof. Halina Hamann MBA.
Dipl.-Ing. Dörte Häring MBA.
Daniela Löwer
Dipl.-Ing. Jerzy Stolze B.Sc.
Antonie Fischer-Margraf
Ing. Magarete Herrmann B.Eng.
Philipp Lorch
Udo Grein Groth
Lothar Beckmann
Wilma Röhrdanz
Philipp Reising-Harloff
Gundi Schwital
Herr Hans Rogge
Vittorio Harloff
Heimo Knappe
Herr Gisbert Langern
Sylvana Hornich MBA.
Fatima Weinhage-Boucsein
Dr. Inna Mude MBA.
Czeslaw Jäkel-Röhrdanz
Kunibert Heß MBA.
Frau Korinna Kranz
Milos Wiek
Frau Gilda Ebert
Bruni Vogt MBA.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Frau Edeltraud Radisch B.A.
Gina Schmidtke
Volker Hettner
Ing. Gregor Lindau
Hanife Ackermann
Joseph Austermühle
Helmuth Wagner
Univ.Prof. Othmar Geisel
Dimitrios Fiebig
Michail Pechel
Freddy Nette-Hendriks
Miriam Ehlert MBA.
Univ.Prof. Metin Martin B.Sc.
Catrin Bachmann
Carmelo Stiebitz
Frau Hedwig Wirth
Jaroslaw Seip
Adelgunde Beer
Krista Putz
Raisa Scholtz
Pavel Ehlert
Pius Gierschner-Weitzel
Ekkehart Kreusel
Ing. Gotthard Reuter B.A.
Ing. Cynthia Weihmann B.Eng.
Viktoria Trub-Budig
Univ.Prof. Arno Kramer B.Eng.
James Kostolzin-Staude
Hansjörg Müller B.Sc.
Ruthild Hoffmann
Svea Hartung B.Eng.
Tomasz Niemeier
Rosmarie Ullmann
Prof. Tilmann Franke B.Sc.
Christa Kabus
Hartmut Zirme
Heide-Marie Heß B.A.
Berthold Naser
Cindy Meyer
Frau Bianka Henk B.Sc.
Kai-Uwe Stiebitz-Hentschel
Gunda Warmer
Mareen Mans
Dr. Olaf Gierschner B.Sc.
Amanda Eimer B.Sc.
Henriette Ladeck
Waldtraut Hoffmann
Annekatrin Schleich
Franz-Josef Kohl
Swantje Binner B.A.
Victoria Klingelhöfer
Dr. Siegfried Heinz B.Eng.
Mohamed Stiebitz-Pärtzelt
Hasso Zahn
Ditmar Adolph
Maria Mans B.Eng.
Katja Heidrich
Catharina Jacob
Claus Jähn B.Eng.
Folkert Schwital
Oscar Reinhardt B.A.
Pirmin Boucsein MBA.
Maritta Boucsein
Ekrem Pruschke-Jäkel
Prof. Petar Köhler
Vito Gorlitz
Elfriede Gnatz
Wibke Tschentscher-Wulf
Ing. Jens-Peter Tschentscher
Prof. Ingbert Nette
Mandy Loos
Ortrun Pohl B.Eng.
Frau Ivanka Killer MBA.
Konstantinos Linke B.Eng.
Herr Evangelos Schacht
Iwan Schleich
Heinrich Ackermann
Klaus-Michael Mälzer
Manfred Juncken
Elwira Pölitz B.Sc.
Hans Kraus
Vera Heydrich
Heidrun Lindner-Bolnbach
Slawomir Ortmann
Valentin Klingelhöfer
Darius Trupp
Lissy Dippel
Dipl.-Ing. Angelina Mälzer B.Eng.
Fabienne Dobes-Heuser
Ing. Toralf Wiek
Niko Bähr B.Sc.
Dr. Elfie Tintzmann
Gaby Noack
Nurten Henschel-Stroh
Ing. Maren Schenk
Hellmut Hein-Gnatz
Kriemhild Junk MBA.
Knud Zimmer
Katharina Käster MBA.
Sofie Reichmann
Stanislav Reuter
Jasmina Rudolph
Anastasia Mans
Mijo Seidel B.Sc.
Ann-Kathrin Davids
Gertraud Mentzel
Elias Langern
Engelbert Sauer MBA.
Birgid Nohlmans
Dipl.-Ing. Lieselotte Trüb B.A.
Larissa Löffler
Volker Adler
Daniela Weimer
Henny Rose
Frau Patricia Schmiedecke B.Eng.
Walentina Hesse
Traudl Christoph
Prof. Henryk Kitzmann
Reimund Kraushaar
Urszula Trapp
Dr. Iris auch Schlauchin
Prof. Ferdinand Gertz B.Sc.
Judith Gerlach
Karsten Wohlgemut
Annelise Schwital
Dipl.-Ing. Cynthia Hauffer B.A.
Abraham Hoffmann
Hans-Michael Rudolph
Edda Henschel
Jens Drubin
Klaus-Peter Kitzmann
Reni Roht-Binner
Dipl.-Ing. Elisabeth Wiek
Gerlind Trüb-Losekann
Kerstin Eigenwillig B.Eng.
Balthasar Kruschwitz B.A.
Prof. Trude Schäfer MBA.
Lutz Mies-Hesse
Silvester Scheibe
Univ.Prof. Milan Hande
Univ.Prof. Franz-Josef Zänker
Bayram Gertz-Hendriks
Ing. Roy Dippel B.A.
Christina Schlosser
