Student
Herr Thomas Baum
Gertraud Mende
Herr Winfried Vollbrecht B.Eng.
Alexander Hörle
Univ.Prof. Petra Scheel
Ingetraut Köster
Francesco Wieloch-Herrmann
Steven Steinberg B.Eng.
Meta Eigenwillig
Eric Briemer
Gerti Döring
Irmtraut Ortmann MBA.
Alice Nette
Frau Gertraude Wesack B.Eng.
Frau Anne-Kathrin Wagner
Sina Mende
Dipl.-Ing. Frederik Rörricht B.Sc.
Marica Martin
Heinz Dieter Trubin
Jaroslaw Eckbauer
Carl Schmiedt
Friedrich-Wilhelm Holsten
André Kraushaar-Henck
Ing. Giorgio Warmer B.Eng.
Ellen Vogt
Ehrenfried Stiffel
Karl-Wilhelm Weiß
Agathe Trommler
Slawomir Ehlert-Reising
Ivanka Berger-Kraus
Bernward Fröhlich
Univ.Prof. Babette Kitzmann
Mara Vollbrecht B.A.
Jeannette Heuser
Dorina Weinhold
Susann Mielcarek
Natalia Hauffer
Frau Beatrix Bonbach B.A.
Damian Jopich B.A.
Ing. Ramazan Kallert MBA.
Dino Kusch-Hiller
Gertraude Salz-Gnatz
Univ.Prof. Anatoli Ritter
Monique Stroh
Guenther Steinberg MBA.
Univ.Prof. Gisa Meister
Dipl.-Ing. Roland Bien B.Sc.
Angelique Adler
Herr Burkhardt Bauer B.Eng.
Univ.Prof. Isabel Ladeck
Bettina Schlosser
Prof. Dorit Käster B.Sc.
Mariusz Stadelmann-Jähn
Ante Hermann-Mans
Univ.Prof. Klaus-Günter Renner B.A.
Gundi Tlustek
Edelbert Stey-Scholz
Univ.Prof. Anny Stolze
Karl-Peter Häring-Kruschwitz
Irmela Höfig B.Sc.
Günter Rudolph B.Eng.
Angelica Lindau-Heß
Hans-J. Atzler
Philip Fritsch
Ludmila Dobes B.A.
Ing. Swen Ehlert
Cindy Stahr
Frederike Stoll
Gottlob Römer
Ryszard Junitz
Dipl.-Ing. Babette Bauer B.Sc.
Herr Frieder Wulff B.Sc.
Helmuth Langern-Steinberg
Doreen Hornig
Ing. Utz Klemt B.A.
Dominik Jungfer
Maurizio Mans-Ullmann
Heinz-Günter Fischer
Univ.Prof. Friedl Peukert B.Eng.
Dr. Paulina Textor B.A.
Matthäus Eckbauer
Gertrud Ditschlerin
Frithjof Gertz
Evelin Stumpf
Dr. Immo Kramer
Gina Stumpf
Univ.Prof. Pia Schlosser MBA.
Alma Flantz MBA.
Univ.Prof. Hedwig Krein
Ehrhard Förster
Dipl.-Ing. Melanie Kreusel B.A.
Prof. Patrik Scheel
Therese Neureuther
Carl Mühle-Wulf
Toni Dehmel-Striebitz
Klaus-Michael Fiebig
Hartmut Zirme
Olga Stahr
Anni Seidel B.Eng.
Corinne Berger
Sandor Riehl
Roberto Ritter-Fritsch
Susi Schuchhardt
Wilfriede Blümel
Lilly Girschner-Ritter
Hans-Herbert Flantz
Mareile Tschentscher B.A.
Frau Jane Caspar
Josef Berger
Ellen auch Schlauchin
Elfi Kranz
Prof. Lieschen Bohlander
Annerose Eckbauer
Jan Döring B.A.
Brunhild Müller
Jasmina Bolzmann
Saskia Roskoth B.Eng.
Herr Konstantin Neureuther B.A.
Ricarda Steuer
Univ.Prof. Sahin Freudenberger B.A.
Solveig Scheibe
Lisbeth Karge
Ing. Cord Hermighausen B.Eng.
Resi Ullmann
Cläre Heser
Stanislav Hoffmann
Dipl.-Ing. Lilly Junken MBA.
Hansjoachim Kraus-Beer
Swen Schweitzer B.Sc.
Viktor Bauer
Larissa Käster
Claire Junk
Ilja Freudenberger B.A.
Wendelin Zorbach MBA.
Josephine Schweitzer
Univ.Prof. Karl-Otto Dowerg MBA.
Ing. Catrin Dippel MBA.
Fatma Hein
Jolanda Henck
Dorothe Adler-Trubin
Sybilla Hornig
Siegrun Reinhardt
Gregor Jungfer
Stanislaus Davids MBA.
Otfried Ortmann
Francisco Budig-Geisler
Annelene Zänker
Univ.Prof. Marita Pohl
Theresia Henck
Mandy Huhn B.A.
Romy Etzold
Carola Franke
Kathleen Hahn B.A.
Antonie Fischer-Margraf
Emmy Bohnbach
Romuald Kambs MBA.
Krista Gertz B.Eng.
Iris Ullrich
Mirella Löchel
Hedi Gumprich
Carola Köhler MBA.
Jiri Kambs
Nuran Schäfer B.A.
Ferdi Hoffmann
Daniela Siering
Bertram Eigenwillig
Auguste Pruschke
Prof. Nikolaos Steinberg B.Sc.
Tülay Henschel
Verena Hornich
Dipl.-Ing. Hanns Killer B.Sc.
Gertraude Tintzmann
Ing. Cynthia Weihmann B.Eng.
Dipl.-Ing. Klaus-D. Kostolzin
Gerda Mans
Juliana Weinhage
Tomislav Steckel
Dr. Mario Lorch
Prof. Volkmar Wirth B.Eng.
Mehmet Beckmann-Geisel
Dipl.-Ing. Hans-Gerhard Schleich
Ekkehart Binner
Francisco Wirth
Liane Reuter
Prof. Alina Ziegert
Fredi Lindner
Rainer Conradi
Dipl.-Ing. Lidija Pölitz
Susi Hendriks
Anita Mohaupt
Ortrun Krebs
Herr Siegmar Geisler
Ing. Zbigniew Warmer MBA.
Irmgard Täsche B.A.
Calogero Wende
Denis Etzold
Ing. Jenny Oestrovsky
Miroslaw Hentschel-Stoll
Erdmute Mosemann
Herr Julian Gotthard B.Eng.
Malgorzata Rohleder
Mariechen Scholl
Prof. Norbert Wilms B.A.
Ing. Ivana Budig B.Eng.
Gudrun Heß B.Sc.
Frau Karolina Hörle
Heinz-Josef Jähn MBA.
Denis Weimer
Doris Kraushaar
Tilman Hövel
Svetlana Bonbach B.A.
Marzena Jüttner-Jockel
Dr. Heinz-Georg Aumann MBA.
Dipl.-Ing. Miguel Bärer
Zenon Pärtzelt
Oxana Lübs
Melitta Fliegner
Alexandre Caspar
Damian Holsten
Luigi Junitz
Eleonora Gehringer
Anne-Katrin Butte MBA.
Herr Augustin Thies B.A.
Reimer Kitzmann
Univ.Prof. Zita Löchel B.Sc.
Dr. Damian Scheel
Wenke Stolze
Univ.Prof. Ignatz Baum
Eckard Dehmel MBA.
Mechtild Winkler
Dr. Sandra Mangold B.Sc.
Prof. Klaus Peter Bruder
Karl Meister B.Eng.
Friedl Hölzenbecher-Eberth
José Gröttner B.Sc.
Heide Knappe
Deborah Becker
Rolf-Peter Reising B.Sc.
Gretchen Jessel B.Sc.
Herwig Krebs
Curt Mühle
Zeljko Baum
Erol Kreusel B.Sc.
Linus Drub
Mira Hoffmann
Prof. Gesine Lange
Dr. Halina Haase
Ivanka Gierschner-Pergande
Hans-J. Tröst MBA.
Sigmund Herrmann MBA.
Gilda Tintzmann
Svea Hartung B.Eng.
Frau Mia Kaul MBA.
Gislinde Müller
Liesbeth Koch II
Ing. Monika Ullrich
Zita Wieloch-Scholtz
Herr Ruben Schüler B.Eng.
Torben Wiek-Ring
Volker Süßebier-Staude
Benita Schleich
Univ.Prof. Rosl Pölitz
Ing. Leonid Budig B.A.
Wolf-Rüdiger Börner
Hannes Jäntsch
Karl-Hans Hande-Schuster
Hans-Albert Preiß-Scheel
Herta Hendriks
Ilse Henschel
Univ.Prof. Fatima Hölzenbecher
Rolf-Dieter Kensy
Pauline Bolzmann
Immo Ring
Gunter Beyer
Frau Anne-Katrin Rädel
Univ.Prof. Gundel Atzler B.Eng.
Joachim Kramer
Reiner Conradi
Dipl.-Ing. Iris Stumpf MBA.
Rahel Heidrich-Jüttner
Dr. Franco Stumpf B.Eng.
Prof. Heinz-Willi Hertrampf
Birgitta Hettner
Wolfhard Rosemann B.Eng.
Dipl.-Ing. Sigrun Bärer
Hedda Schönland
Dipl.-Ing. Harm Ruppert MBA.
Metin Hande
Artur Budig
Johan Baum
Ramona Henk B.Sc.
Benita Holzapfel-Hecker
Dipl.-Ing. Erwin Hamann
Anton Drubin
Gerold Loos-Rogge
Frau Helena Nette
Hellmut Siering
Kristiane Zahn
Prof. Julia Möchlichen B.A.
Marica Hamann-Koch
Camilla Gunpf
Gretel Stroh
Inge Dehmel
Hans Jürgen Winkler
Richard Kostolzin
Marlis Rogge B.Sc.
Gina Stolze
Dipl.-Ing. Woldemar Benthin B.A.
Wilfriede Misicher
Stephanie Dörr-Bärer
Ibrahim Eberth
Annegrete Jäkel
Alan Eigenwillig
Vesna Döhn
Hans-Karl Rust MBA.
Giesela Dowerg
Carin Rohleder
Marjan Segebahn B.Eng.
Benno Kraushaar
Jana Drubin-Heß
Bertha Reuter
Imre Mülichen
Heidelore Heinrich
Diedrich Jäntsch B.A.
Hellmuth Söding-Bonbach
Doris Karz
Dragica Kreusel
Myriam Hänel
Alfredo Bolzmann B.A.
Karl-Heinrich Karz
Dipl.-Ing. Emmy Börner
Ella Keudel
Marijan Huhn
Dipl.-Ing. Lieselotte Trüb B.A.
Eva-Marie Berger MBA.
Dipl.-Ing. Cläre Geißler
Justina Zirme
Eckehard Nette
Univ.Prof. Paul-Heinz Heinz
Holger Gröttner B.Eng.
Prof. Guiseppe Gröttner B.Sc.
Dipl.-Ing. Beatrix Henk B.Eng.
Niko Gutknecht B.Sc.
Ilonka Kohl
Kristin Kabus
Annamaria Hänel-Zimmer
Niko Butte-Rosenow
Dipl.-Ing. Christoph Schulz B.Sc.
Hans-Georg Schmidt
Hasso Renner
Murat Förster
Danuta Löwer
Janko Margraf MBA.
Dan Scheuermann
Wojciech Losekann-Seidel
Sybilla Herrmann-Pärtzelt
Heiner Pieper
Dr. Jonas Fechner
Antonius Käster
Michail Schmidt
Slawomir Ortmann
Caterina Weinhage
Ing. Knud Vogt
Josephine Nerger-Mende
Zlatko Briemer-Karge
Reinhart Winkler B.Eng.
Ilka Lachmann
Dipl.-Ing. Leo Sager
Bernadette Sorgatz
Dr. Elzbieta Mitschke B.Eng.
Ing. Alberto Schlosser
Silva Plath
Dipl.-Ing. Stefano Ditschlerin
Herr Hans Peter Jacob
Karoline Römer
Ing. Helene Jähn B.Eng.
Geza Weller
Univ.Prof. Gusti Schlosser
Sibylla Koch MBA.
Ernest Schönland B.Eng.
Leon Bauer
Maximilian Juncken
Univ.Prof. Gönül Meister B.Sc.
Anne-Rose Sorgatz
Deborah Beier
Matteo Beyer B.A.
Natascha Eigenwillig
Prof. Hans-Gerhard Reinhardt B.Eng.
Isa Tlustek
Tina Radisch
Zeki Otto
Ing. Helmuth Bruder
Univ.Prof. Francesco Schulz B.Eng.
Josip Stey
Herr Vinzenz Jäntsch B.A.
Cindy Tschentscher
Natalie Werner
Irmingard Reising
Imke Gieß B.Sc.
Heinrich Dippel
Annie Gnatz B.A.
Dr. Jens-Uwe Ruppert
Guiseppe Rust
Ehrhard Bohnbach B.Eng.
Ing. Svenja Aumann
Henner Schmidt
Calogero Staude B.A.
Hanspeter Stiffel
Grete Biggen-Kostolzin
Wolf-Dietrich Berger
Cäcilie Haase
Anatolij Kroker B.Eng.
Marianne Ernst-Zirme
Joana Zimmer B.A.
Lina Hörle
Tibor Bolzmann MBA.
Hanne Gierschner
Univ.Prof. Rosi Gorlitz B.A.
Nadeshda Hänel-Kaul
Heinz-Wilhelm Säuberlich MBA.
Prof. Amir Reising MBA.
Augusta Rosemann
Ing. Rocco Reuter
Andre Metz B.A.
Mirco Barth
Uta Karz
Ewa Kade
Berthold Jäntsch-Jessel
Alfons Schleich B.A.
Herr Wladimir Bolnbach
Ada Heser B.Sc.
Alwina Hettner
Evangelos Staude
Franz Josef Herrmann
Klara Schlosser
Antonios Walter
Dipl.-Ing. Cynthia Hauffer B.A.
Antonia Stey
Elmar Fröhlich
Eberhardt Warmer
Stephanie Weller
Waltraud Wernecke
Fredi Wilmsen
Imelda Schäfer
Erica Holsten
Sedat Gude
Henner Schweitzer
Ilonka Buchholz-Köhler
Prof. Ildiko Adler MBA.
Dipl.-Ing. Jiri Walter
Prof. Sandy Butte
Ing. Hanne-Lore Ackermann
Klothilde Blümel B.A.
Dagmar Jungfer
Ing. Swen Sorgatz B.Eng.
Dr. Laila Peukert
Hüseyin Johann
Ria Stroh
Liesa Sauer
Klaus-Ulrich Tlustek-Förster
Tibor Schleich
Friederike Geisler
Domenico Kade B.A.
Jens-Uwe Neureuther
Burkhard Schweitzer
Jadwiga Gotthard
Milos Kuhl B.Sc.
Peter Rohleder
Adalbert Ullmann
Vincenzo Lübs
Branka Hering
Hans Kohl MBA.
Monika Mühle-Hiller
Czeslaw Fiebig
Timo Spieß
Veronika Gröttner
Viviane Kensy
Lene Sauer
Frau Angelina Martin
Prof. Stefania Briemer
Dr. Krista Jäkel B.A.
Janus Weitzel-Koch
Käthe Ernst
Irma Neureuther
Hans-Georg Dörschner
Frau Lilli Möchlichen MBA.
Ludwina Haase
Herr Jonathan Hänel MBA.
James Kostolzin-Haase
Joana Preiß
Univ.Prof. Almut Ehlert B.Sc.
Herr Muzaffer Klotz B.Sc.
Univ.Prof. Amalia Köhler
Gerda Gröttner B.Sc.
Jane Reuter
Emine Haase B.A.
Dr. Maren Steckel B.Sc.
Regina Fliegner
Herr Jonathan Beckmann B.A.
Eva-Maria Mies MBA.
Jasmina Rudolph
Arndt Weinhold MBA.
Hans-Henning Heydrich MBA.
Fanny Bolnbach B.Sc.
Sigmar Zobel
Ing. Imke Eigenwillig B.A.
Dr. Emin Dietz B.Sc.
Oskar Löwer B.Eng.
Daniele Pieper-Käster
Ing. Gotthard Reuter B.A.
Ioannis Klemt
Maren Heser-Kreusel
James Kostolzin-Staude
Elizabeth Vollbrecht
Margareta Klingelhöfer
Prof. Theda Hölzenbecher
Univ.Prof. Dolores Jäkel
Freddy Nette-Hendriks
Ulrike Gierschner-Koch II
Senta Wernecke B.Sc.
Vadim Rose-Wulf
Folker Otto MBA.
Kay-Uwe Dippel
Marlen Weihmann-Trub
Univ.Prof. Etta Bohnbach
Nevenka Hörle MBA.
Dagmar Koch
Dipl.-Ing. Bernhardine Heß
Herr Eberhardt Gierschner
Univ.Prof. Gerhardt Dowerg B.Eng.
Viola Oderwald B.A.
Timo Siering-Hübel
Alex Ziegert
Marianne Heser
Annemarie Schaaf B.Sc.
Karl-Heinz Hahn
Frau Yvonne Trupp B.A.
Ilija Fischer
Inken Hellwig-Hermann
Dolores Stey-Matthäi
Jens Drubin
Klaus-Dieter Wende
Diethard Gude
Prof. John Jessel
Andrej van der Dussen B.A.
Erdal Bähr
Margarete Mohaupt B.Sc.
Univ.Prof. Therese Hänel
Tillmann Stolze
Sigurd Lange-Seifert
Birgitta Beckmann-Thanel
Marlene Steckel B.A.
Frau Linda Weiß B.Eng.
Prof. Maya Peukert
Herr Muzaffer Schäfer
Clara Ruppersberger
Karla Gunpf
Othmar Hölzenbecher
Franz-Josef Schmidtke
Wera Schmidt
Elli Täsche B.Eng.
Frau Dorothe Mielcarek
Katharina Etzler
Rainer Henk-Gotthard
Oskar Beyer
Falko Kusch B.A.
Ole Schmidtke
Prof. Lutz Adolph
Univ.Prof. Giovanna Bachmann B.Eng.
Irmgard Pieper B.Eng.
Robert Etzold
Hedda Baum
Roger Hendriks-Ruppersberger
Sevim Junitz
Ing. Dietlind Gieß
Reinhard Zänker
Anke Bähr
Marijan Killer
Hansjörg Müller B.Sc.
Fridolin Paffrath-Geisler
Univ.Prof. Anika Pärtzelt MBA.
Curt Jopich
Frieda Tintzmann-Löchel
Paolo Hentschel-Zobel
Attila Losekann B.Sc.
Reni Cichorius
Anne-Rose Klapp-Jockel
Dr. Stephanie Ladeck
Damaris Bien
Ruth Mangold B.Sc.
Daria Jopich
Lars Ullrich
Lutz Röhricht B.A.
Stilla Hornig B.A.
Prof. Vesna Scholz
Elvira Cichorius
Mareile Meister
Prof. Gertraud Drewes
Ing. Christina Beckmann B.Eng.
Adam Krein-Karge
Dr. Peggy Beyer B.Sc.
Melitta Steinberg
Helge Ladeck MBA.
Hans-Hinrich Trub
Mona Thies
Dipl.-Ing. Angelina Mälzer B.Eng.
Dipl.-Ing. Mariola Lange B.Sc.
Roderich Scholtz
Ron Beer
Katerina Barkholz
Herr Vladimir Zimmer MBA.
Evangelia Stumpf-Ruppersberger
Anneli Neuschäfer
Herr David Freudenberger B.Eng.
Cosima Johann
Adelbert Austermühle
Frau Ina Dietz MBA.
Jonas Adler
Lydia Losekann MBA.
Marcus Finke
Bernard Karge
Herr Jens Ritter B.Eng.
Dr. Ella Warmer
Hans-Willi Baum-Staude
Univ.Prof. Gunter Kaul
Konrad Schuster
Ariane Löchel
Ingried Ullmann
Liane Fechner
Dipl.-Ing. Patric Johann
Patrick Anders-Stolze
Hermine Schüler
Carmen Weinhold
Klaus-Ulrich Gude
Raisa Scholtz
Annerose Kaul
Engin Schenk
Adalbert Schmidtke
Leokadia Putz
Sylvie Börner
Univ.Prof. Betty Conradi B.A.
Ing. Carolin Hoffmann
Bozena Schuchhardt
Bernhardine Mangold
Peer Grein Groth-Lange
Karen Grein Groth-Dörschner
Ignatz Gutknecht
Andrei Bolander-Jäkel
Steven Eimer
Angelica Lorch B.Eng.
Ing. Birte Heidrich B.Eng.
Leni Heß
Herr Hans Rogge
Aysel Löchel
Univ.Prof. Manuela Heinrich
Ansgar Hande
Lisette Stoll B.Eng.
Urszula Killer B.A.
Regina Ring
Ulrike Klemt B.Sc.
Karl-Wilhelm Rogner
Dr. Semra Wagenknecht
Herr Vincenzo Liebelt
Ronald Stiebitz
Ing. Hans-Wilhelm Holt B.Sc.
Siegmund Heidrich
Nikolaus Rosenow
Marco Kostolzin-Bruder
Antonina Wagner
Dr. Philip Siering B.A.
Ilias Weiß MBA.
Ottfried Scheibe-Sauer
Thorsten Ruppersberger
Emma Hornich-Kraushaar
Henning Scholl
Fabienne Conradi B.Eng.
Clarissa Buchholz
Alois Römer-Becker
Gisa Budig-Löwer
Ing. Jonas Schaaf
Univ.Prof. Janos Rörricht MBA.
Ronald Werner
Mark Gute-Faust
Maren Anders
Diethard Trommler
Ing. Margarethe Martin
Univ.Prof. Albertine Köhler MBA.
Ing. Maike Hölzenbecher B.A.
Karl-Georg Lehmann
Notburga Heuser
Julius Kraushaar
Roselinde Metz MBA.
Janine Söding
Reni Rosemann MBA.
Ulf Dörschner
Janus Jessel-Hermann
Augustin Jopich
Cathrin Weitzel MBA.
Peter-Michael Kostolzin
Gilbert Steuer-Rosemann
Eugenia Sorgatz
Paulina Oderwald
Bayram Meister
Danilo Losekann
Prof. Dolores Butte
Frau Etta Wesack MBA.
Hans-H. Pergande
Björn Rädel-Rohleder
Janusz Kruschwitz B.Eng.
Ing. Emmy Beer
Severin Barkholz B.Eng.
Univ.Prof. Hinrich Eberth
Carmine Schacht
Albin Budig
Miroslav Kohl
Ludwina Hölzenbecher
Zeki Henk B.A.
Sibilla Mälzer
Magret Mans
Marleen Langern-Oderwald
Gudrun Rörricht
Dorota Sorgatz B.A.
Albert Hartmann-Lachmann
Univ.Prof. Margitta Wagenknecht B.Eng.
Dr. Annaliese Lindner
Mercedes Blümel
Erdal Meyer B.A.
Adelbert Rörricht
Alfred Weinhage-Stiffel
Janet Jüttner
Hans-Erich Mende
Lambert Wilmsen
Milos Trüb
Gretel Hande
Frau Cordula Anders B.Eng.
Prof. Urs Täsche
Prof. Sepp Blümel
Elisa Mälzer
Dr. Jost Hiller B.Sc.
Hans-Rainer Rogner
Prof. Ruth Gehringer
Janin Hermann
Arnfried Scheuermann
Frau Josefa Henschel B.A.
Dominic auch Schlauchin
Kristian Rosemann B.Sc.
Birthe Schüler
Ronald Henschel
Cilli Gorlitz
Rene Henck
Nico Möchlichen
Alexandros Heintze
Tomasz Preiß
Swen Wirth
Jörg-Peter Dowerg
Ernest Stahr
Dorothea Etzler
Nicolas Möchlichen MBA.
Hans-Herbert Gutknecht
Egon Ruppersberger B.Sc.
Virginia Eigenwillig
Kay-Uwe Trommler
Ladislaus Stadelmann
Lutz Wagenknecht-Gotthard
Univ.Prof. Leif Süßebier B.A.
Dr. Irmtraut Gnatz B.Eng.
Dipl.-Ing. John Ortmann MBA.
Freia Buchholz
Dr. Alberto Kabus B.Sc.
Danica Atzler
Timm Freudenberger-Henschel
Dr. Cäcilia Henk B.Eng.
Fernando Tschentscher-Schacht
Jessica Stumpf
Frau Nurten Huhn
Herr Rolf-Peter Renner MBA.
Liane Gröttner
Brigitta Walter
Emanuel Scholz B.Eng.
Ignaz Beer-Eckbauer
Magdalena Löwer B.Eng.
Ing. Christel Margraf MBA.
Gina Pieper
Prof. Ahmad Rörricht
Ing. Vitali Hentschel MBA.
Rosa Christoph-Sontag
Eduard Ruppersberger
Karin Beckmann
Klaus-D. Segebahn
Dipl.-Ing. Hans-Peter Hertrampf
Hans-Ulrich Plath B.A.
Brian Dussen van
Frau Valentine Benthin
Oxana Ladeck
Hans Jürgen Lange
Gerti Trupp-Dowerg
Wally Schmidt
Kay-Uwe Ziegert
Eberhardt Gute
Hanni Scholz-Weitzel
Uschi Keudel
Undine Scheibe-Stey
Univ.Prof. Mira Heser B.Sc.
Ismail Geisler
Lotte Kitzmann B.A.
Matteo Dehmel-Weimer
Sylwia Bolander
Marlene Drubin
Dr. Irmgard Plath B.A.
Dorle Zirme
Irmengard Röhrdanz
Ryszard Anders B.Sc.
Mia Roskoth
Ernst-Dieter Rörricht B.Eng.
Hermine Franke B.Eng.
Herr Salih Blümel
Else Gröttner
Leokadia Bloch
Herta Keudel
Melita Hein
Hans-J. Trapp-Koch II
Karsten Schwital
Danielle Ritter B.Eng.
Curt Schönland
Korbinian Werner
Univ.Prof. Gunda Höfig
Niklas Scholtz
Rene Albers
Nuran Schottin B.Eng.
Viktoria Trub-Budig
Lia Heydrich
Friedericke Killer B.Eng.
Resi Margraf
Alina Hoffmann
Karl-Ludwig Hoffmann
Hiltrud Pergande
Hanife Ackermann
Engin Hofmann
Urszula Fliegner
Oda Barkholz
Marlen Jacobi Jäckel B.Eng.
Magrit Lange
Pedro Pölitz
Bernhardine Wilmsen
Dipl.-Ing. Robert Köhler
Celal Hettner MBA.
Danilo Ladeck-Köhler
Gülsen Davids-Heinz
Gina Killer
Irmhild Lorch
Gunhild Stroh-Jacob
Liliane Gröttner-Albers
Irmengard Sauer
Ing. Cilli Gertz B.A.
Saban Etzler B.Eng.
William Zirme
Kai-Uwe Köhler
Renate Bärer
Xaver Schönland
Univ.Prof. Adelbert Zimmer
Volker Hettner
Rudi Schacht
Katharina Käster MBA.
Univ.Prof. Maxim Matthäi
Prof. Rosa Kruschwitz B.Sc.
Frau Marie-Therese Mielcarek
Ingetraud Fiebig
Heinz-Werner Briemer B.A.
Helene Keudel
Sigfried Franke B.Sc.
Wulf Steckel-Lachmann
Herr Tony Lindner
Karl-Ludwig Bolnbach
Frau Evelyn Tlustek B.Sc.
Raymund Koch II-Margraf
Herr Bodo Steckel
Götz Budig
Pius Römer MBA.
Ing. Aldo Radisch
Ernst-Otto Heß-Hartmann
Steffi Schmiedt B.Sc.
Hans-Georg Scholz
Margareta Dörschner B.Sc.
Monika Krein B.Eng.
Florence Schulz
Ing. Mariechen Nerger B.Eng.
Annelise Steckel B.Sc.
Ilja Hölzenbecher-van der Dussen
Brigitte Geisler
Arif Heinrich
Jasmina Rädel
