Student
Edmund Junck
Ing. Bianka Bärer MBA.
Hannes Jäntsch
Irmi Zobel
Karl-Wilhelm Weiß
Wiltrud Jäkel
Gottfried Keudel MBA.
Ing. Nils Pergande B.A.
Thaddäus Geißler
Univ.Prof. Cynthia Löwer
Nikolaos Dehmel B.A.
Univ.Prof. Guido Carsten MBA.
Dr. Alois Kraushaar B.Sc.
Mirco Barth
Serge Trubin
Prof. Augustin Stey B.A.
Univ.Prof. Tabea Dörschner MBA.
Hanne Gierschner
Sylvie Neuschäfer
Uli Schönland-Trupp
Milos Kuhl B.Sc.
Faruk Köhler
Christof Ditschlerin
Adem Schleich
Muharrem Rosemann-Heidrich
Sigmar Zobel
Urte Bolzmann
Kreszentia Pölitz-Karge
Dr. Ursel Gute
Gereon Weitzel
Anne-Rose Krause
Zita Wieloch-Scholtz
Karl-Heinrich Sölzer
Caterina Ullrich
Milka Scholl
Angelina Ruppert-Siering
Prof. Reza Ebert B.Eng.
Dr. Sonia Hornich B.Eng.
Frau Maria Jopich
Carsten Junken
Kornelius Pergande-Weiß
Ottilie Hartung
Fatma Seidel B.A.
Olav Margraf
Caren Neureuther
Marek Walter MBA.
Clemens Barth
Thies Birnbaum B.A.
Leopold Rörricht
Univ.Prof. Hans-Martin Scholz
Gunda Warmer
Eckhard Sölzer
Univ.Prof. Josefine Lindau
Frau Suse Zorbach
James Kostolzin-Haase
Christiane Wirth B.Eng.
Aurelia Sorgatz
Dr. Edelbert Wieloch MBA.
Gerwin Schuster
Josef Butte-Lindau
Eugen Weitzel
Kaspar Hänel
Dr. Luisa Anders B.A.
Ing. Romuald Roht B.Sc.
Dr. Klothilde Lachmann B.A.
Dr. Erdogan Fröhlich
Detlev Wilmsen
Halina Austermühle-Bender
Inken Hellwig-Hermann
Dipl.-Ing. Rouven Kallert MBA.
Julius Liebelt
Prof. Ahmad Rörricht
Mirja Schottin
Ing. Leni Rosenow B.Eng.
Ing. Aldo Radisch
Stanislav Hoffmann
Judith Gerlach
Hans-Gerd Gnatz
Kuno Mälzer B.Eng.
Prof. Amelie Rose MBA.
Dipl.-Ing. Nikolaus Conradi MBA.
Emmy Trub MBA.
Geraldine Eckbauer
Hellmut Siering
Prof. Volkmar Heuser
Marleen Langern-Oderwald
Hansjürgen Faust
Stanislaw Misicher
Hajo Kranz-Heser
Karl-Dieter Segebahn-Köster
Mercedes Sauer
Norman Ditschlerin MBA.
Henny Vogt
Cläre Heser
Jakob Pohl
Heide Hesse-Bärer
Gundi Schwital
Yasmin Wiek
Tanja Rörricht-Haering
Herr Hans-Detlef Grein Groth
Lotti Rosemann
Univ.Prof. Sebastian Sontag
Herr Tony Lindner
Mirja Wähner
Ing. Wilhelmine Adler B.Sc.
Juan Schweitzer
Theresa Hethur-Kabus
Univ.Prof. Maxim Matthäi
Tomasz Niemeier
Pero Scheuermann
Bruno Siering MBA.
Dr. Helge Täsche MBA.
Ulf Dörschner
Dr. Siegfried Heinz B.Eng.
Frau Clarissa Rosenow B.A.
Anne-Rose Klapp-Jockel
Rabea Weiß MBA.
Nico Drewes
Henry Hofmann B.Eng.
Univ.Prof. Walter Barkholz
Univ.Prof. Kevin Juncken B.Eng.
Marianne Heser
Jörgen Paffrath B.Sc.
Frau Ina Dietz MBA.
Prof. Orhan Ladeck MBA.
Kazim Hörle
Rotraut Ullrich
Sophie Pruschke
Emilie Bolander
Patrizia Spieß
Janusz Beckmann
Konstanze Mühle
Luciano Tintzmann
Marietta Geißler
Claus Juncken
Matteo Krein-Müller
Svetlana Bonbach B.A.
Krystyna Holsten B.A.
Baptist Gröttner B.Sc.
Reimund Kraushaar
Klaus Dieter Stoll-Wilms
Hans Josef Thanel
Hans-Gerhard Staude
Guenter Kohl-Nette
Anke Bähr
Albin Budig
Gert Naser
Inge Dehmel
Ing. Eugenie Kreusel MBA.
Larissa Löffler
Rene Wernecke
Darius Kallert
Francoise Vollbrecht B.Sc.
Reiner Ziegert-Walter
Gudrun Rörricht
Jakob Döring
Jutta Aumann
Dr. Jane Kostolzin
Kathi Häring
Dipl.-Ing. Hans-Ludwig Meyer
Dr. Aribert Sontag
Jan Döring B.A.
Malte Schäfer
Frau Aleksandra Dobes B.A.
Frau Melita Scholz B.A.
Elmar Patberg
Alicja Pergande
Julia Ruppersberger
Karl-Hermann Rädel-Müller
Rosmarie Kambs MBA.
Engin Johann-Weihmann
Katerina Drubin
Catherine Huhn
Nurettin Börner
Phillip Salz B.Sc.
Rosa-Maria Losekann-Schulz
Dorothea Etzler
Elwira Pölitz B.Sc.
Prof. Sylvio Gumprich
Senol Hölzenbecher
Charles Anders
Ramon Salz
Prof. Olga Steckel B.A.
Zlatko Briemer-Karge
Ole Süßebier MBA.
Ottokar Berger
Anne-Katrin Butte MBA.
Tülay Hettner-Ebert
Marek Schenk B.A.
Massimo Hecker
Marit Mühle
Alois Römer-Becker
Univ.Prof. Alexandros Junk
Laila Trüb
Hans-Albert Wirth
Anka Förster
Hinrich Römer
Nikolas Hövel
Wulf Caspar
Helga Mosemann-Hecker
Dr. Sedat Schäfer
Magnus Heidrich
Sibylle Löchel
Magarete Krause
Wally Bien-Kraushaar
Ing. Adam Klemt MBA.
Stjepan Langern
Dipl.-Ing. Sebastiano Käster B.Eng.
Giovanni Weller-Söding
Karl-Peter Hering
Rosalia Johann
Margita Hentschel
Bianca Mans
Evelyn Ortmann
Korbinian Werner
Margit Klapp
Jasmina Cichorius-Barth
Franz Schweitzer
Ramon Jäntsch-Gertz
Daniele Pieper-Käster
Radmila Linke MBA.
Tamara Bender MBA.
Elena Wilmsen
Jessica Stumpf
Thomas Kraushaar
Prof. Nikolai Gunpf
Irene Stumpf
Erhard Geisel
Ria Walter
Inge Kabus
Kristin Bohlander B.Eng.
Wolf Schottin-Gunpf
Evangelos Beyer
Undine Lindner
Cornelius Jacobi Jäckel
Dipl.-Ing. John Ortmann MBA.
Univ.Prof. Pamela Kambs MBA.
Cecilia Eigenwillig
Edeltraut Anders-Rohleder
Hans-Ulrich Liebelt-Hauffer
Prof. Monica Beer MBA.
Lothar Fischer
Irmengard Eckbauer
Knud Trommler
Dominik Jungfer
Roland Putz
Micha Albers-Wilms
Ing. Britt Trupp B.Eng.
Ing. Isabell Hartmann MBA.
Irmtrud Bolzmann
Joanna Weinhold-Förster
Constance Rogge
Dr. Valeri Sölzer B.Sc.
Willi Heinz
Anneli Schleich-Ullmann
Bekir Bonbach
Victor Butte
Erica Renner-Trapp
Frau Ingried Rogner B.Sc.
Regina Becker
Birgitta Schleich
Änne Möchlichen
Dr. Egbert Kraus
Kunibert Hahn-Lindau
Annie Noack
Damian auch Schlauchin B.Eng.
Anneliese Wähner
Silke Scheuermann B.Sc.
Kaspar Römer
Kriemhild Gude
Sieglinde Stahr
Klara Schlosser
Dipl.-Ing. Alan Schacht B.Eng.
Gernot Kobelt
Carmen Berger
Prof. Thekla Hahn
Jonas Hendriks
Dr. Leonie Köster
Ruben Trubin
Tadeusz Kruschwitz B.Sc.
Fedor Roskoth B.A.
Lambert Gehringer
Dr. Mato Geisel
Georgine Schäfer
Frida Stolze
Karl-Hans Schuchhardt-Mohaupt
Rosa-Maria Knappe
Ben Ullmann MBA.
Aleksej Lehmann
Diana Drubin-Walter
Ernestine Karz
Ing. Bianca Paffrath
Tino Metz
Herr Anton Mohaupt B.A.
Carl Jockel
Gunhild Jessel
Katarina Knappe
Eggert Börner-Geisler
Nelli Stiebitz
Gunar Dobes B.Sc.
Nick Jockel B.A.
Henner Schmidt
Nina Wagenknecht
Senol Harloff-Lindau
Sylvio Gutknecht
Augusta Flantz
Diether Dussen van-Rohleder
Frauke Wilms
Lambert Wilmsen
Gerhild Stiffel
Prof. Marie-Theres Löffler B.Sc.
Sybilla Eigenwillig
Danuta Kensy
Gunnar Junk
Dr. Mohammed Höfig
Siegrun Reinhardt
Ing. Wulf Atzler
Domenico Nohlmans-Eberhardt
Romy Baum
Mahmoud Ditschlerin-Trüb
Amalia Hermann-Schäfer
Kornelius Winkler
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Ing. Hans-Wilhelm Holt B.Sc.
Camilla Jäntsch
Hubert Hertrampf
Cora Steuer-Junken
Sibylla Pohl
Helfried Seifert-Schönland
Lydia Wirth
Prof. Beatrice Misicher
Dittmar Berger
Manuela Linke B.Eng.
Hiltraud Klemm-Pärtzelt
Augusta Rosemann
Jolanda Rose
Dr. Denise Girschner B.Sc.
Sara Heuser
Johanna Fischer
Ing. Lucie Karz
Dipl.-Ing. Ingbert Krebs B.Eng.
Ing. Hatice Gehringer
Pedro Beer
Dusan Dussen van
Siegmar Pergande
Miroslawa Rose
Vinko Schönland B.Eng.
Univ.Prof. Isabel Ladeck
Richard Kostolzin
Marianna Geisler
Claus Heser B.Sc.
Dr. Trude Ziegert B.A.
Gino Hövel B.Sc.
Rebecca Geißler
Dr. Franco Wilms
Ekkehart Grein Groth
Liliana Gehringer
Bianka Schuster-Ziegert
Greta Hermighausen
Prof. Bianka Schacht
Adam Gertz
Univ.Prof. Ivonne Haase B.Sc.
Lorenzo Hornig
Vadim Bender B.A.
Cordula Schmiedecke-Wilms
Dipl.-Ing. Mirella Franke MBA.
Saban Etzler B.Eng.
Otfried Ortmann
Julian Lehmann-Ortmann
Silvia Lübs
Evangelia Schlosser-Boucsein
Felizitas Werner
Aloys Barkholz
Eleni Krause B.A.
Lydia Losekann MBA.
Abdul Klapp-Hethur
Univ.Prof. Anny Stolze
Margaret Kraus
Univ.Prof. Alexei Mülichen MBA.
Frau Korinna Kranz
Dominik Spieß
Lorenzo Adler-Trommler
Dipl.-Ing. Ismet Käster B.Eng.
Dipl.-Ing. Wolfram Johann B.Eng.
Heinz-Joachim Spieß
Krista Scholtz
Ekrem Pruschke-Jäkel
Dipl.-Ing. Bekir Boucsein
Maurice Beckmann
Herr Hartwig Henk B.A.
Annelie Bloch
Hermann Josef Drubin
Heinz-Peter Butte B.Eng.
Berndt Bähr
Dipl.-Ing. Margarete Schmidt
Ing. Carolin Hoffmann
Gabriel Kreusel
Prof. Vadim Rogner
Klaus-Peter Häring
Wally Wähner
Irmtraut Mülichen B.A.
Lorenz Schüler B.A.
Lieschen Röhricht MBA.
Dr. Ayse Martin MBA.
Antonina Pärtzelt-Gerlach
Egbert Gertz
Thomas Hänel
Irina Birnbaum
Monja Weiß
Ing. Galina Schenk
Marlen Flantz
Dan Schönland MBA.
Sylvio Stiffel
Eduard Ruppersberger
Siglinde Kambs-Geißler
Philipp Lorch
Ellinor Schmidtke B.Sc.
Herr Lukas Eimer
Eva-Marie Hendriks
Fernando Gieß
Dipl.-Ing. Hermann-Josef Jüttner
Frau Belinda Plath B.A.
Ludger Stiffel
Ing. Ivonne Nerger
Ing. Alban Mohaupt
Ing. Friedhelm Löchel B.Eng.
Salih Eckbauer-Renner
Canan Beyer
Herr Ignatz Boucsein MBA.
Gerhart Karz
Heidrun Lindner-Bolnbach
Cäcilie Schmidt
Prof. Liliane Gehringer MBA.
Dariusz Rädel
Frau Constanze Heidrich B.Sc.
Hildegunde Staude
Ing. Eleonora Holzapfel
Arnulf Heidrich
Konstantin Ladeck
Timo Siering-Hübel
Christl Pölitz
Hubertine Jäkel
Annie Schlosser
Oxana Schmidtke
Dipl.-Ing. Christoph Jockel B.Sc.
Jens-Peter Graf-Schmidt
Herr Gustav Noack
Markus Eimer
Claire Faust B.A.
Frau Julie Gunpf
Dipl.-Ing. Betty Niemeier MBA.
Maurice Steckel
Diethard Trommler
Emanuel Holsten
Klaus Peter Weller
Sergej Hauffer MBA.
Univ.Prof. Irene Budig
Trudi Radisch
Tomas Gröttner
Jörn Trupp MBA.
Sandy Fechner
Ing. Jaqueline Wende B.A.
Hans Jürgen Grein Groth-Rudolph
Irmi Koch
Carin Huhn
Friedericke Ruppersberger
Univ.Prof. Hanspeter Gorlitz
Antonio Margraf
Ing. Canan Gutknecht B.A.
Lisette Schönland B.Eng.
Lambert Röhricht-Johann
Damian Söding
Nadja Hethur
Thorsten Adler B.Sc.
Frau Marie-Therese Mielcarek
Liane Reuter
André Kroker
Margot Sontag MBA.
Jana Wulf MBA.
Paul-Gerhard Hein
Fredy Bachmann B.Eng.
Anica Kade-Steuer
Gerlinde Albers-Hörle
Ing. Henning Drub
Konstantin Knappe
Adam Seifert
Univ.Prof. Gusti Schlosser
Prof. Meinrad Wiek
Burkhardt Jäntsch B.A.
Ottilie Blümel
Dipl.-Ing. Henrike Hörle B.A.
Prof. Siegrun Langern
Annelene Möchlichen-Weiß
Clara Rust
Detlev Weihmann-Schäfer
Bayram Hering
Dipl.-Ing. Petar Wohlgemut
Gerhart Stumpf
Vladimir Kruschwitz
Frithjof van der Dussen
Univ.Prof. Marjan Graf B.Sc.
Petar Hamann
Univ.Prof. Manuela Heinrich
Bastian Röhrdanz
Änne Wagner
Dr. Marian Rust
Juliana Schönland
Marcus Finke
Nikola Kitzmann
Maxim Wilms-Meister
Roy Gumprich-Klemm
Frau Gertrud Jüttner
Dajana Trapp-Kreusel
Lorenz Hande-Hamann
Prof. Linda Beier
Elwira Wirth
Peter Mitschke
Wolf-Dietrich Gotthard-Dussen van
Magdalene Fröhlich
Tibor Schleich
Rolf-Dieter Kensy
Adina Mitschke
Knud Zimmer
Manuel Schenk
Ing. Jo Caspar
Gerhart Staude
Roman Hauffer
Dr. Michel Pruschke B.Eng.
Silke Heydrich-Albers
Herr Herbert Dowerg
Lars Walter
Urs Matthäi
Ing. Marie-Therese Seifert
Thea Bauer
Daniele Finke
Emma Briemer B.Eng.
Dr. Carmela Rudolph
Dipl.-Ing. Rudi Wiek B.Eng.
Kristiane Zahn
Frau Herlinde Kade B.A.
Beatrix Rädel MBA.
Dr. Reinhart Hecker B.A.
Ing. Knud Vogt
Prof. Achim Rose
Martin Dörr
Franca Börner
Herr Hans Peter Jacob
Patrizia Bender-Reuter
Albin Fischer B.Eng.
Dr. Jacqueline Trubin B.Sc.
Prof. Lene Oestrovsky B.Sc.
Frau Josefa Henschel B.A.
Thomas Hentschel
Dr. Daniela Linke MBA.
Andre Schinke
Marliese Becker
Claus-Peter Flantz
Antonietta Kostolzin
Elke Huhn
Heinz-Joachim Trüb B.Sc.
Belinda Reinhardt B.A.
René Kruschwitz
Hermine Schüler
Jan-Peter Scheuermann-Jungfer
Ladislaus Killer
Dipl.-Ing. Nathalie Bender
Mareike Scholl
Abraham Adler
Ralf-Peter Ebert
Rosalinde Losekann
Dipl.-Ing. Cynthia Hauffer B.A.
Univ.Prof. Annegrete Henck B.A.
Agatha Sager-Geisler
Ing. Bernard Schleich B.Sc.
Eberhardt Gute
Otmar Ditschlerin
Univ.Prof. Robby Vollbrecht
Carin Binner
Nurettin Bärer B.Eng.
Sabine Gude
Karen Grein Groth-Dörschner
Zofia Gutknecht
Kay-Uwe Mühle
Adele Stroh
Milka Wohlgemut-Meyer
Edith Hettner
Prof. Hans-Hinrich Schmidt
Volker Hettner
Margarete Mohaupt B.Sc.
Rolf-Dieter Preiß
Vittorio Harloff
Stefanie Pruschke
Falko Schüler
Dr. Frederike Hering B.Eng.
Edith Kostolzin
Hanife Thies
Sören Liebelt
Ing. Carmen Birnbaum
Prof. Hans Dieter Kitzmann MBA.
Friedrich-Wilhelm Holsten
Marten Wesack
Artur Berger
Prof. Gertraude Wohlgemut B.Eng.
Ing. Berta Oestrovsky B.Eng.
Eugenia Stey
Liesbeth Huhn
Holger Gröttner B.Eng.
Mathias Matthäi
Dr. Elzbieta Mitschke B.Eng.
Manja Koch II-Heuser
Mia Paffrath-Ortmann
Annamaria Hesse
Ing. Lisette Kaul B.A.
Annelie Kitzmann
Marta Eigenwillig-Hörle
Andy Jockel B.Eng.
Lena Dowerg
Cecilia Scholz-Barth
Traute Fröhlich
Anny Wagenknecht
Carl-Heinz Trapp
Liliane Koch II
Fernando Tschentscher-Schacht
Ing. Christina Beckmann B.Eng.
Dr. Harald Ritter
Inge Paffrath
Sükrü Fiebig
Ljiljana Ruppert
Herta Hendriks
Prof. Erwin Albers B.Sc.
Gisa Budig-Löwer
Univ.Prof. Gundel Atzler B.Eng.
Ing. Antonius Jacobi Jäckel MBA.
Prof. Goran Sölzer MBA.
Maximilian Juncken
Ellen Liebelt
Wolf-Dieter Sölzer-Putz
Fadime Heidrich B.A.
Armin Scholz
Dr. Ian Grein Groth
Heinz-Willi Geisel
Hajo Thies
Catrin Hamann
Egon Paffrath
Michael Scholz
Gerda Sauer
Karola Zorbach B.Eng.
Hans D. Kusch B.Sc.
Adam Krein-Karge
Marlies Seifert-Roht
Filippo Hermann
Jerzy Hermighausen-Lübs
Aldo Förster
Hans D. Schenk
Ursel Eckbauer
Tassilo Beckmann
Madeleine Thanel MBA.
Evangelia Röhricht
Dittmar Graf
Herr Hermann-Josef Lehmann B.A.
Steven Eimer
Kläre Beier B.A.
Bodo Finke
Miriam Ehlert MBA.
Viviane Fritsch-Martin
Dipl.-Ing. Dörte Häring MBA.
Lieselotte Dussen van MBA.
Prof. Cathrin Misicher
Univ.Prof. Hiltrud Löwer
Hildegunde Wende-Spieß
Judith Hering B.A.
Ing. Corinne Winkler
Ing. Zbigniew Warmer MBA.
Ewa Bolnbach-Textor
Milan Weiß-Schuchhardt
Marie-Theres Jäkel
Yasemin Hande
Maritta Boucsein
Tino Paffrath B.Eng.
Gertraude Hahn
Ortrun Pohl B.Eng.
Nikolas Hethur MBA.
Hans-Bernd Trubin-Klemt
Albrecht Rust-Heinrich
Calogero Staude B.A.
Alicja Gieß
Krista Junken-Hövel
Gülsen Benthin
Sigmund Hentschel MBA.
Valentin Döring
Siegried Caspar B.A.
Cindy Schleich
Janine Müller-Steckel
Hans-Willi Kruschwitz B.Sc.
Ahmet Pärtzelt
Alan Stadelmann-Lindner
Fatih Ladeck-Weihmann
Piotr Hande
Elena Ditschlerin
Geraldine Wagner
Dipl.-Ing. Jaroslav Henk
Rainer Conradi
Vladimir Wulf B.A.
Sibilla Bachmann
Wolf Martin
Marita Berger B.A.
Zita Ullmann-Heydrich
Ingelore Heinz
Ben Täsche
Herr Roman Schwital MBA.
Centa Kaul
Thies Blümel
Univ.Prof. Gino Wagner B.Sc.
Eduard Kühnert
Walburga Junk
Dina Hartung
Theres Beer
Ehrentraud Kroker
Ing. Gislinde Ernst B.A.
Prof. Irma Bien B.Eng.
Alwina Koch
Tilman Eberhardt
Verena Gute-Trüb
Kreszentia Jockel
Irmtraut Wende
Niklas Schleich
Reni Putz-Tintzmann
Sybilla Hornig
Linus Mans-Röhrdanz
Ing. Anika Jüttner
Willibald Boucsein B.Sc.
Inka Hornig B.A.
Univ.Prof. Pauline Klemt
Achim Mülichen-Schleich
Aleksander Wagner-Barth
Agnes Tröst
Friedrich Bolnbach-Gnatz
Carina Killer
Dipl.-Ing. Ryszard Buchholz
Willi Birnbaum
Wally Anders B.Eng.
Thorben Henk-Mende
Elfie Jäkel
Dragica Rosenow
Vesna Döhn
Karla Freudenberger MBA.
Lothar Ladeck
Anna Lübs
Prof. Anna Kühnert B.Sc.
Thea Dippel
Herr Hendrik Fritsch B.Eng.
Kaspar Junken
Guiseppe Rust
Maria Mans B.Eng.
Aenne Mende B.Eng.
Gunhild Ullmann
Gebhard Sauer
Hermann Josef Junck
Sibylla Koch MBA.
Janet Ullrich
Mareen Mans
Diether Vogt B.A.
Paulina Oderwald
Zeljko Jessel
Frau Therese Henk B.A.
Prof. Ulla Dussen van B.Sc.
Bianka Dobes-Seifert
Anica Tintzmann B.Eng.
Ing. Wenke Karge B.Sc.
Prof. Gertrude Renner B.A.
Burkhardt Holt
Cynthia Linke
Raymond Speer
Ilonka Buchholz-Köhler
Frau Alexandra Beckmann B.A.
Dipl.-Ing. Zeljko Stumpf B.A.
Damaris Bien
Sami Junitz
Jo Reising
Nadin Stiebitz B.Eng.
Zofia Schönland B.Sc.
Dr. Samuel Dobes B.Sc.
Anika Biggen MBA.
Ing. Agnes Zobel
Wendelin Pärtzelt
Prof. Diether Neureuther
Konrad Schuster
Wenzel Ebert
Xenia Hermann
Dipl.-Ing. Gerdi Wende
Prof. Vesna Scholz
Anna-Luise Seip-Hofmann
Franz-Xaver Bachmann
Prof. Gundula Dörr B.Sc.
Prof. Marija Seidel
Jeannine Gieß
Ing. Ignaz Rose
Dipl.-Ing. Mara Otto B.Sc.
Gisa Mohaupt
Ing. Anna-Maria Stey
Richard Mende-Hendriks
Johannes Bärer
René Säuberlich B.Eng.
Pius Jopich B.Eng.
Frau Herlinde Schleich B.Sc.
Annemarie Wieloch
Marlis Wiek
Krista Gertz B.Eng.
Univ.Prof. Marita Pohl
Ida Weihmann
Dorothe Adler-Trubin
Gereon Trapp
Klaus Lorch-Graf
Klemens Förster
Heide-Marie Zirme
Antonie Ladeck
Lea Heuser
Angelika Roskoth
Franka Weinhold
Beate Nette
Frau Florence Ditschlerin B.Eng.
Jasmina Rädel
Gundel Dietz
Dr. Meral Thies B.Sc.
Ingbert Binner-Heidrich
Gertrud Ditschlerin
Fedor Röhrdanz
Frau Herlinde Segebahn
Ann Werner-Wilms
Lidwina Jockel
Maja Jungfer
Abram Scholz B.Sc.
Michail Pechel
Prof. Cäcilie Staude B.A.
Waltraut Gehringer
Evamaria Berger
Niklas Trubin
Dirk Graf-Stiffel
Karl-Ernst Reuter
Kristin Kaul B.Sc.
Ann Mielcarek
Elfi Wesack
Kornelius Fröhlich B.Sc.
Fritz Nerger
Flora Mühle B.Sc.
Ulrike Rädel B.Eng.
Senta Warmer
Margaretha Heintze-Henk
Sophie Rädel
Ing. Jenny Oestrovsky
Hilde Walter
Prof. Knud Atzler B.Sc.
Hannah Stiffel-Börner
Univ.Prof. Marc Schmiedt
Horst-Peter Thies
Hans-Henning Heydrich MBA.
Herr Thomas Baum
Benjamin Jäntsch B.Sc.
Ioannis Junck
Lidija Löchel B.A.
Bertha Barkholz
Gerd Beckmann-Gnatz
Lene Sauer
Manuel Stolze MBA.
Bernadette Sorgatz
Univ.Prof. Margitta Wagenknecht B.Eng.
Dipl.-Ing. Gülten Hoffmann B.Eng.
Auguste Lorch
Hermann-Josef Loos
Harro Gunpf
Helmar Klapp
Günther Bähr
Sieghard Sorgatz
Dipl.-Ing. Svea Neureuther
Isidor Niemeier
Dipl.-Ing. Gloria Heidrich
Bela Köster
Adriane Heinz-Metz
Siegrun Reichmann
Prof. Balthasar Hecker B.Eng.
Amanda Fechner-Weinhage
Prof. Kathy Warmer MBA.
Drago Täsche
Hans Josef Lachmann
Dipl.-Ing. Stefano Ditschlerin
Brit Anders
Adelinde Gumprich MBA.
Dr. Aysel Kohl
Univ.Prof. Lucia Zobel
Herr Claus Killer
Ing. Ben Lindau MBA.
Georg Misicher
Brian Lehmann B.Eng.
Egbert Bender
Hellmuth Söding-Bonbach
Ilija Lindner
Gundolf Walter
Hubertus Dörschner
Armin Hellwig-Finke
Irmi Gute
Henryk Textor-Gröttner
Mato Patberg-Heintze
Zdravko Niemeier
Anthony Patberg
Desiree Klotz
Ing. Valentine Scheibe
Heinz-Josef Jähn MBA.
Oda Henschel
Johanna Bohlander
Univ.Prof. Lissi Schomber
Jörgen Putz B.A.
Peggy Rogge-Lachmann
Oskar Beyer
Kristian Meyer
Dipl.-Ing. Reimer Werner MBA.
Johann Oestrovsky
Kai-Uwe Schäfer
Henny Wulff
Hans-Jochen Gorlitz B.Sc.
Marianna Etzler
Slavko Fliegner B.Sc.
Gretchen Eimer-Wilmsen
Sigurd Holsten B.Sc.
Ing. Birte Heidrich B.Eng.
Gabor Pechel-Junken
Ilija Hofmann
Bertha Ritter-Drubin
Apostolos Kreusel-Noack
Hans Georg Niemeier
Joachim Kramer
