Student
Ing. Rose-Marie Hölzenbecher
Ing. Berta Oestrovsky B.Eng.
Hans-Günther Etzold
Univ.Prof. Ayten Lorch
Ilija Eckbauer-Steinberg
Ing. Petar Hänel MBA.
Dipl.-Ing. Utz Adler B.A.
Svetlana Schenk-Barth
Prof. Dolores Butte
Adelinde Gutknecht-Beier
Frau Silvana Bolzmann B.Eng.
Frau Belinda Plath B.A.
Ignatz Gutknecht
Selma Girschner B.Sc.
Blanka Birnbaum
René Gude B.A.
Prof. Lilly Schmidtke
Dipl.-Ing. Ana Rosemann
Dipl.-Ing. Mara Otto B.Sc.
Francesco Wieloch-Herrmann
Harro Söding
Sylvana Hornich MBA.
Tina Henschel
Dr. Sara Niemeier
Ivanka Rogge
Dr. Alberto Kabus B.Sc.
Sieghard Hahn
Vassilios Trommler-Gieß
Dr. Annett Siering
Univ.Prof. Florentine Schomber B.Eng.
Arndt Weinhold MBA.
Claus Heser B.Sc.
Arnulf Süßebier
Tina van der Dussen
Kreszentia Bohlander
Maurizio Mans-Ullmann
Ludwina Mohaupt
Aynur Bohlander
Hans-Günther Eimer
Anke Hettner
Frau Trude Walter B.A.
Ing. Leo Schulz
Dr. Anto Wende
Günter Rudolph B.Eng.
Ron Sorgatz-Eimer
Pedro Hande B.Sc.
Edeltraud Bärer
Zbigniew Hahn MBA.
Lorenz Sauer
Steven Käster B.Sc.
Gilda Scholz
Univ.Prof. Mira Riehl
Ljudmila Trapp
Torsten Trapp B.A.
Elisabet Preiß-Thanel
Dipl.-Ing. Laila Scheuermann B.Sc.
Kerstin Niemeier
Mesut Gute
Univ.Prof. Christa-Maria Lehmann B.A.
Roland Putz
Prof. Gülay Birnbaum
Dajana Ring
Caroline Haering MBA.
Lissy Dippel
Carla Gnatz
Reimund Eimer
Senta Wernecke B.Sc.
Ira Scholz-Pohl
Marta Herrmann
Claus Juncken
Mareile Birnbaum
Maya Conradi
Inge Dehmel
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Bernt Conradi
Dipl.-Ing. Janet Ruppersberger
Ljiljana Henk
Frau Käte Zahn
Lidija Pärtzelt
Prof. Karen Henk MBA.
Laurenz Rosemann
Cord Tröst
Manuel Stolze MBA.
Magret Bähr
Edmund Junck
Eleni Franke
Jörg-Peter Speer
Malgorzata Pieper
Frau Brigitta Bohlander MBA.
Erica Schlosser
Carmelo Weinhold
Raymond Römer
Apollonia Trüb B.A.
Thorben Rosenow
Johann Liebelt MBA.
Jaroslav Benthin
Siegbert Hartmann B.A.
Edeltrud Kambs
Antje Etzold
Frau Suse Zorbach
Heinz-Willi Jockel
Wolfhard Rosemann B.Eng.
Hellmut Bruder
Heiner Ruppersberger-Hentschel
Louis Loos B.Eng.
Toralf Jessel
Hans Georg Gorlitz-Schäfer
Ottomar Hermann
Annie Langern
Hans-Willi Ladeck
Hilde Walter
Günter Fischer
Nathalie Langern
Bozena Carsten B.Sc.
Univ.Prof. Natalie Noack MBA.
Ludmila Stadelmann
Enrico Reising MBA.
Clemens Kabus
Fredi Jäntsch
Hans-Heinrich Schüler-Seip
Vlado Lindner
Dr. Zehra Etzler
Prof. Gertraude Mangold B.Eng.
Jorge Killer
Filippo Hermann
Dr. Karla Christoph
Dipl.-Ing. Gabriel Roskoth
Steffen Schlosser
Janos Ehlert
Karl-Wilhelm Rogner
Alf Jacobi Jäckel-Fritsch
Prof. Claudia Mude
Adalbert Reising
Dr. Semra Schulz
Bogdan Römer B.Eng.
Antje Drub
Marica Martin
Frauke Söding
Tülay Gnatz-Sorgatz
Charles Heinz
Klaus-Ulrich Tlustek-Förster
Margita Schleich-Becker
Georgia Liebelt
Jan Linke MBA.
Piotr Hande
Franco Radisch
Adem Hörle
Gerwin Bonbach-Fliegner
Ing. Carmen Birnbaum
Wilma Drub B.Eng.
Jasmina Zorbach
Dipl.-Ing. Josip Mies
Dr. Zenta Holsten
Henri Finke-Lehmann
Univ.Prof. Romuald Hermighausen
Ing. Aldo Pechel B.Eng.
Prof. Vesna Scholz
Gerda Gröttner B.Sc.
Jo Dussen van
Maximilian Hellwig
Mehdi Bähr B.A.
Reimer Kitzmann
Ella Keudel
Roman Jäntsch
Alicia van der Dussen-Patberg
Istvan Scheuermann
Geraldine Wagner
Johann Rust
Klaus-Dieter Koch II B.A.
Lilija Ruppert
Dietrich Adolph MBA.
Emanuel Schinke B.Sc.
Inken Juncken
Jörg-Peter Christoph
Nick Hermighausen-Krein
Maurizio Eckbauer
Diana Jessel-Geißler
Brunhilde Nohlmans
Marie-Luise Staude-Käster
Xenia Christoph
René Kruschwitz
Univ.Prof. Ricardo Sorgatz B.A.
Mehdi Neureuther
Norbert Eimer
Julia Heinrich
Lidija Trapp
Bayram Gertz-Hendriks
Janko Rose
Woldemar Heydrich B.Eng.
Annelies Beer
Luigi Wähner
Univ.Prof. Alexa Junitz B.Eng.
Petar Bauer
Heinz-Willi Holt
Sofia Roht MBA.
Tibor Briemer
Dr. Abdullah Becker
Olaf Hethur
Aurelia Dussen van MBA.
Frau Etta Wesack MBA.
Herr Anton Mohaupt B.A.
Univ.Prof. Mirella Peukert
Balthasar Müller-Drub
Heribert Römer-Lindau
Regine Häring
Dragica Rosenow
Dipl.-Ing. Jens-Uwe Dobes
Victoria Binner
Prof. Branko Weller MBA.
Dr. Caroline Ortmann
Rüdiger Buchholz-Kuhl
Alfred Tröst-Stahr
Ing. Marie-Therese Schleich
Dorle Knappe
Arndt Wernecke-Gertz
Prof. Norbert Wilms B.A.
Zoran Oestrovsky
Lieschen Steckel
Hildegunde Staude
Kornelia Kade
Prof. Pascale Kruschwitz
Madlen Geißler
Metin Peukert-Lindner
Josefine Rosemann
Alena Hänel
Prof. Walter Pechel
Frau Melita Scholz B.A.
Prof. Katarzyna Gehringer B.Eng.
Univ.Prof. Friedl Tlustek
Wally Bien-Kraushaar
Viviane Kensy
Univ.Prof. Franz-Josef Zänker
Ing. Edward Salz
Dr. Marianne Reising
Univ.Prof. Gusti Schlosser
Eveline Putz
René Rose-Krebs
Ernst Henschel
Hans Josef Reinhardt B.A.
Prof. Knud Atzler B.Sc.
Rosl Trupp
Dr. Valentina Knappe
Antonietta Lindner MBA.
Alena Neureuther
Frau Mareile Birnbaum
Elisabeth Roskoth
Anna-Marie Heidrich
Mark Gute-Faust
Michel Kuhl
Dagobert Bohnbach
Stanislav Löffler MBA.
Elise Trupp
Siegfried Kreusel
Fredy Birnbaum-Kensy
Dagobert Hornig
Friedhilde Hornig B.A.
Margret Dehmel
Prof. Heinz-Josef Radisch B.A.
Celal Pohl
Gitte Römer-Kroker
Prof. Sandra Klapp
Jessica Gotthard
Univ.Prof. Milka Bähr
Karl-August Döhn B.A.
Conrad Killer
Herr Rigo Krebs B.Eng.
Dipl.-Ing. Jose Löchel
Andre Schönland B.Sc.
Peggy Sauer
Steven Trub
Luisa Seip B.Sc.
Ing. Daria Lorch B.A.
Zeki Henk B.A.
Frau Ilka Pärtzelt B.Eng.
Evi Heuser
Eva-Maria Eberth B.A.
Frau Eugenia Matthäi
Nikolaos Dehmel B.A.
Hans-Herbert Flantz
Joana Wähner
Doris Kraushaar
Dr. Siegfried Heinz B.Eng.
Wally Fliegner
Prof. Gabriella Holt B.Eng.
Ottmar Beier
Adam Hölzenbecher-Hettner
Ing. Justus Binner
Gerd Beckmann-Gnatz
Marie-Therese Birnbaum
Lidia Franke
Raisa Stey-Sauer
Isa Rose
Ellen auch Schlauchin
Karl-Dieter Süßebier
Angelina Noack-Wagenknecht
Irmi Schacht
Filippo Kostolzin
Gerta Stey-Klemm
Cemil Schweitzer
Rose Beer
Frau Ingried Rogner B.Sc.
Anne-Rose Sorgatz
Univ.Prof. Janos Rörricht MBA.
Reza Misicher
Nadja Geisler
Prof. Dirk Biggen B.Eng.
Marie-Theres Pechel
Henry Austermühle
Insa Jacobi Jäckel
Ruthild Schüler B.Eng.
Margaret Kraus
Guiseppe Bien
Prof. Jolanthe Gude
Anne-Marie Stumpf
Otto Lindner
Margitta Wulf-Nerger
Filippo Juncken
Gertraude Ruppersberger
Katalin Thanel-Kitzmann
Enrico Hellwig
Florian Wulff
Ing. Gotthard Reuter B.A.
Vadim Jacobi Jäckel
Friedrich-Karl Sorgatz-Schmiedt
Prof. Heinz-Joachim Seidel
Adelbert Rörricht
Siegfried Schuster
Joana Preiß
Daniela Weimer
Vincenzo Haering
Thilo Patberg
Gunhild Zimmer
Dr. Janos Reising
Univ.Prof. Theresia Lange MBA.
Univ.Prof. Antonina Becker
Dipl.-Ing. Mathias Metz B.A.
Univ.Prof. Lisbeth Köhler
Karlfried Müller
Verena Hornich
Annaliese Gute
Klaus-Michael Mälzer
Dipl.-Ing. Reinhart Gotthard B.Eng.
Siegrun Schomber
Univ.Prof. Kata Zahn
Konstantin Rogner
Annamaria Scholtz
Dipl.-Ing. Nikolaus Conradi MBA.
Monica Blümel
Oskar Weitzel
Marie-Luise Rogner
Fritz Schenk B.A.
Thorben Ruppert
Ing. Carmine Kroker
Ingetraud Caspar
Bertram Höfig B.Sc.
Dipl.-Ing. Jiri Wesack B.A.
Robby Kramer
Melita Schacht
Ellinor Schmidtke B.Sc.
Jann Schleich
Univ.Prof. Jörg-Peter Riehl
Dolores Stey-Matthäi
Knud Trommler
Alessandro Caspar
Prof. Sahin Kreusel
Richard Mende-Hendriks
Almuth Haase
Cläre Mohaupt
Swetlana Binner
Rolf-Peter Staude
Peggy Haering B.Sc.
Ivana Mans-Bruder
Andrey Lorch
Katharina Speer
Edda Jungfer
Matthäus Hübel
Roswita Hofmann MBA.
Dusan Conradi-Rogner
Dursun Atzler B.A.
Nathalie Krause
Sergej Hauffer MBA.
Frau Anne-Kathrin Wagner
Marlene Drubin
Kasimir Lindau
Roderich Weitzel
Univ.Prof. Philip Kranz B.Sc.
Prof. Kordula Vollbrecht B.A.
Aleksandr Schuster B.A.
Karla Wirth
Dipl.-Ing. Claudia Häring
Ing. Walli Bolander MBA.
Adriane Heinz-Metz
Justine Kade
Ulrike Klemt B.Sc.
Leo Roskoth B.Sc.
Miroslaw Holt
Dr. Emin Dietz B.Sc.
Gunda Knappe
Walfried Siering
Czeslaw Fiebig
Gerhart Karz
Prof. Sandy Butte
Luigi Hartung
Prof. Irmela Klemt B.Eng.
Boris Bachmann
Czeslaw Siering
Raymund Thanel
Dr. Marliese Junck B.Sc.
Daniel Zänker
Dörte Nette
Otmar Wende
Korbinian Bolander
Emma Sauer B.Eng.
Siegmund Heidrich
Elvira Mälzer
Dipl.-Ing. Rudi Wiek B.Eng.
Ing. Wolf-Rüdiger Weihmann B.Eng.
Hanne Junk
Dr. Marie-Luise Klingelhöfer B.Eng.
Frau Evelyn Tlustek B.Sc.
Anne Zorbach
Erich Putz
Ralph Fröhlich
Albert Seifert MBA.
Alessandro Henk-Käster
John Bauer
Hans Georg Niemeier
Sandor Ritter
Käthi Lübs
Ing. Georg Lübs
Hanife Ackermann
Ing. Heide Winkler
Siegmar Kramer
Kata Atzler
Reimer Scheel B.Eng.
Käthi Naser-Tlustek
Melanie Segebahn
Ing. Katarzyna Noack
Prof. Marion Martin
Nadin Stiebitz B.Eng.
Marlen Schenk-Schuchhardt
Elisabet Schuster B.A.
Piotr Ruppersberger
Univ.Prof. Cläre Weihmann B.A.
Änne Tlustek-Freudenberger
Bertha Gotthard
Else Heß MBA.
Hildegunde Geißler-Klemm
Dan Scheuermann
Britt Gorlitz
Astrid Schweitzer
Prof. Götz Finke
Anja Meyer B.A.
Univ.Prof. Edit Ehlert B.Eng.
Geert Rudolph
Alena Steuer
Bertram Segebahn
Alwin Schaaf
Ljiljana Ruppert
Nadine Sauer
Gerwin Textor
Frau Minna Steinberg B.Sc.
Herr Heinz-Josef Wende MBA.
Ilse Krebs
Ing. Birgid Möchlichen B.A.
Sören Trommler
Gordon Klemt-Rörricht
Frau Anna-Luise Sontag
Angelica Klemt
Hansgeorg Hettner
Senol Hölzenbecher
Tony Hecker
Frau Danica Davids B.A.
Anatoli Anders
Prof. Lotti Löffler
Cetin Schwital
Univ.Prof. Sebastian Sontag
Dr. Mato Geisel
Dr. Slawomir Hande
Univ.Prof. August Schleich B.A.
Luciano Klotz
Univ.Prof. Alexandros Junk
Franca Buchholz
Ing. Maria Lübs
Marieluise Schulz
Ilja Krause
Prof. Oswald Ehlert MBA.
Canan Heinrich
André Segebahn
Hülya Conradi
Karl Zirme
Marlene Steckel B.A.
Annelie Bloch
Karl-Wilhelm Weiß
Gero Schomber
Elfi Kranz
Lilli Meyer-Reuter
Milos Trüb
Hans-Rudolf Fröhlich
Kunigunda Heser
Waltraud Trapp-Pechel
Ing. Gregor Lindau
Hans-Michael Krein-Wernecke
Stjepan Langern
Mandy Huhn B.A.
Ivanka Gierschner-Pergande
Hannes Meyer
Anton Gute
Dr. Halina Mälzer
Karla Conradi
Sinaida Heinz-Gnatz
Jerzy Hermighausen-Lübs
Prof. Ildiko Adler MBA.
Ewald Hethur
Leonardo Klingelhöfer B.Sc.
Dr. Myriam Häring
Kevin Tlustek-Heinz
Dr. Mirko Langern MBA.
Carin Mohaupt-Heser
Brigitte Geisler
Luzia Eckbauer
Ulrike Hiller
Czeslaw Jacobi Jäckel-Zahn
Adelgunde Beer
Prof. Pedro Schmidt B.Eng.
Friedemann Kostolzin
Folkert Reinhardt B.Sc.
Dipl.-Ing. Dajana Beer
Anna-Luise Seip-Hofmann
Faruk Schomber
Margarethe Wagenknecht
Olav Gumprich-Täsche
Prof. Erwin Albers B.Sc.
Prof. Heinz-Peter Sager
Carina Bruder
Dr. Daniela Linke MBA.
Daniel Stiebitz
Ing. Alexandros Vogt MBA.
Carmelo Klapp-Berger
Beatrix Scheibe B.Sc.
Annekatrin Neureuther
Antonino Klingelhöfer
Dorothe Adler-Trubin
Zdravko Niemeier
Renato Bolnbach
Agata Hertrampf
Cathrin Weitzel MBA.
Nina Putz-Ritter
Univ.Prof. Lucia Zobel
Anthony Patberg
Tabea Schomber
Univ.Prof. Nadine Gnatz
Lili Döhn-Margraf
Witold Wulf
Prof. Theobald Mangold
Ing. Corinne Steckel B.A.
Janin Hamann
Valeri Tschentscher
Herr Frank-Peter Jopich
Orhan Wieloch
Gerda Schleich
Wilhelm Tlustek
Herr Mike Schuchhardt B.A.
Theodor Bolnbach-Kroker
Eckhard Sölzer
Niklas Schleich
Ing. Wendelin Köster B.A.
Dipl.-Ing. Iris Stumpf MBA.
Patrick Döring
Susann Mielcarek
Renata Holt-Heintze
Tomas Tlustek
Marc Henck B.Eng.
Janina Seifert
Hermann Bruder
Nadeshda Schenk
Maximilian Jockel
Frau Annette Fiebig B.Eng.
Falk Höfig
Hans-Eberhard Blümel
Karl-Georg Lehmann
Herr Bastian Ritter B.Sc.
Alois Werner
Univ.Prof. Leszek Gieß B.Eng.
Bastian Röhrdanz
Theda van der Dussen
Dr. Gudula Scheuermann
Anne-Katrin Butte MBA.
Holger Roskoth B.Sc.
Thilo Berger
Grete Biggen-Kostolzin
Manuel Schenk
Ivo Börner
Jens Löchel
Sinaida Roskoth B.A.
Frau Gilda Ebert
Hannchen Zahn
Leonore Hettner-Staude
Irmi Döhn
Cordula Hornig
Elvira Cichorius
Carlo Ackermann-Birnbaum
Gernot Kobelt
Frau Beatrix Bonbach B.A.
Larissa Löffler
Juan Briemer-Textor
Rosa-Maria Seifert
Zita Holt
Wilma Röhrdanz
Isa Weihmann
Sybilla Striebitz
Cora Stumpf-Gunpf
Ing. Bianka Bärer MBA.
Felicia Binner
Univ.Prof. Heidrun Hiller
Jane Reuter
Hulda Seidel-Carsten
James Nohlmans
Hansgeorg Beier-Freudenberger
Ing. Isabell Hartmann MBA.
Univ.Prof. Nikolaus Sölzer B.A.
Heinz-Joachim Trüb B.Sc.
Marcella Karz B.A.
Bärbel auch Schlauchin
Janett Zorbach
Univ.Prof. Josefine Gerlach
Frau Kirsten Geißler
Heidelinde Pruschke
Osman Liebelt
Henner Schmidt
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Evelyn Bien
Leokadia Finke-Dippel
Dr. Elvira Cichorius B.A.
Dipl.-Ing. Sedat Sontag
Ing. Hatice Gehringer
Niko Pergande
Michaele Schacht
Angelica Lorch B.Eng.
Manuel Krause MBA.
Annett Dehmel MBA.
Hans-Theo Kuhl
Univ.Prof. Mahmoud Liebelt
Anna-Marie Ullrich
Frau Corinna Wähner
Eckart Klotz
Jost Briemer
Miroslaw auch Schlauchin
Dorothee Koch II
Margret Hentschel-Davids
Dr. Edelgard Sauer B.Sc.
Lili Kaul
Dierk Buchholz MBA.
Sofia Mielcarek B.A.
Milos Kuhl B.Sc.
Reinhilde Metz
Beata Stahr
Dr. Rosalinde Stolze B.Eng.
Gisela Weinhold B.Sc.
Lorenz Schwital-Stadelmann
Ortwin Scholl
Gitte Buchholz
Dr. Senol Beier MBA.
Asta Hesse
Dina Schmidtke
Mariusz Stadelmann B.Sc.
Othmar Täsche-Loos
Miguel Lehmann
Monika Haering
Herr Hans-Ludwig Steinberg
Ing. Nikolai Niemeier B.A.
Sibilla Mitschke-Losekann
Andrei Säuberlich
Constanze Fechner-Dörr
Annie Hänel
Marvin Gröttner MBA.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Dipl.-Ing. Korinna Pärtzelt
Harm Hein
Herr Jost Ruppersberger B.A.
Ali Briemer-Klemm
Prof. Gaetano Weiß
Heinz-Werner Schleich-Mies
Franz-Xaver Carsten
Prof. Sylvester Bender
Eckard Textor
Univ.Prof. Roman Misicher
Dipl.-Ing. Bernhardine Heß
Frau Constanze Heidrich B.Sc.
Babett Pruschke-Schäfer
Mary Staude
Susanna Beyer B.Eng.
Anne-Rose Krause
Eugen Schottin
Dr. Athanasios Noack MBA.
Magdalena Warmer MBA.
Boris Stumpf
Franz Löwer
Claus Jähn B.Eng.
Dr. Lilly Conradi B.Sc.
Karl-Wilhelm Geisel
Univ.Prof. Woldemar Walter
Dr. Leo Schlosser MBA.
Benjamin Stoll
Maximilian Steinberg
Hertha Gutknecht
Dr. Ljiljana Henck MBA.
Klaus-Jürgen Jockel
Hartmut Zirme
Dipl.-Ing. Albrecht Metz
Dr. Jeanette Schuchhardt B.Eng.
Georgios Knappe-Mälzer
Nicolaus Seifert B.A.
Francisco Trupp
Marcus Finke
Siegrid Segebahn
Kreszentia Jockel
Herr Gustav Noack
Gerd Süßebier
Dr. Jane Kostolzin
Emine Lübs
Eva Mosemann
Ronald Rädel
Rosalia Pruschke
Anatoli Caspar
Alicja Faust B.Eng.
Ing. Jeanette Rosemann B.Eng.
Prof. Rabea Hettner B.Eng.
Herr Emin Trubin
Prof. Alois Jacob
Dipl.-Ing. Tina Kranz MBA.
Bela Naser-Löwer
Marjan Pölitz B.Eng.
Woldemar Heinz
Dipl.-Ing. Eberhardt Fechner
Marliese Becker
Gesa Keudel-Bauer
Prof. Anica Haering B.A.
Dr. Carmela Rudolph
Dipl.-Ing. Ismet Käster B.Eng.
Anni Hänel B.Eng.
Prof. Meral Jüttner MBA.
Rosa Tintzmann
Nancy Eckbauer
Egon Ruppersberger B.Sc.
Marica Walter
Univ.Prof. Ivo Mies
Jens-Peter Bolzmann
Katerina Bolzmann B.Eng.
Heimo Hübel MBA.
Kaspar Junken
Irina Birnbaum
Sigmund Herrmann MBA.
Ricarda Warmer B.A.
Dr. Meral Thies B.Sc.
Prof. Henryk Kitzmann
Grete Rudolph
Maya Haering-Becker
Florian Weimer
Dipl.-Ing. Danuta Stumpf B.Eng.
Vesna Bähr
Johannes Bärer
Prof. Mathilde Segebahn MBA.
Wulf Caspar
Alida Trupp
Luka Zorbach
Wiltrud Bolander
Gottfried Hettner-Reising
Francisco Schmidtke-Albers
Carl-Heinz Steinberg
Jonas Christoph B.Eng.
Wiltrud Jäkel
Dr. Lidwina Oestrovsky
Lukas Gierschner
Verena Höfig
Frau Änne Gunpf B.Sc.
Malte Kallert-Möchlichen
Juan Noack
Klaus-Peter Häring
Rudi Schacht
Erna Schmiedt
Dr. Cäcilia Henk B.Eng.
Dipl.-Ing. Mariola Lange B.Sc.
Konrad Henschel
Dr. Wolf-Rüdiger Trüb
Ing. Konstanze Schmidtke MBA.
Walburga Junk
Univ.Prof. Almut Ehlert B.Sc.
Bruni Vogt MBA.
Mirja Wähner
Bernard Karge
Branka Hering
Dr. Peer Schwital MBA.
Vinzenz Bruder
Annie Schlosser
Zita Klemt
Herr Jens Ritter B.Eng.
Andrea Wulf
Kreszentia Bloch-Steckel
Matthäus Eckbauer
Gisa Gerlach
Johann Beer
Herr Valentin Warmer
Univ.Prof. Anneke Gunpf
Roswita Döhn
Valentin Gute
Britt Bolander B.A.
Josefa Lange
Senta Hiller
Catrin Caspar
Prof. Stefania Briemer
Paolo Meister
Gabriela Gierschner
Robert Weimer
Kunigunda Hänel-Briemer
Univ.Prof. Hans D. Ullrich
Evangelos Hartmann B.A.
Burghard Hamann-Dippel
Lukas Ditschlerin
Joerg Fritsch-Pieper
Hüseyin Wulf-Schmidt
Willibald Gude
Birte Gröttner MBA.
Marit Eberth
Ludmila Patberg
Gerti Trupp-Dowerg
Svenja Hartmann
Jörg Haase-Röhricht
Prof. Kaspar Mosemann
Prof. Petar Köhler
Dipl.-Ing. Hanns Killer B.Sc.
Dipl.-Ing. Rolf Tröst B.Sc.
Dittmar Hövel
Dipl.-Ing. Nuray Mude B.Sc.
Ing. Dagmar Bohnbach B.Eng.
Jonas Löchel
Gertraude Pärtzelt MBA.
Ing. Dorothe Junken
Claire Faust B.A.
Torsten Schwital-Gude
Frau Mia Kaul MBA.
Heinz-Günther Mosemann
Ruthild Hoffmann
Theresa Hethur-Kabus
Prof. Emil Kruschwitz
Dagmar Franke-Schleich
Sandy Dietz
Dr. Frieda Metz
Ben Ullmann MBA.
Notburga Pechel B.Eng.
Friedericke Roht
Meike Trupp
Greta Hermighausen
Elke Haase
Gaetano Paffrath
Friedrich-Karl Eberth
Univ.Prof. Wibke Reinhardt B.Eng.
Annelene Steinberg
Meinrad Barkholz B.Eng.
Mehdi Niemeier-Noack
Klaus-Dieter van der Dussen
Claire Römer-Hornich
Madlen Lübs
Dr. Jan-Peter Martin B.Eng.
Alexej Wagner
Friedbert Sorgatz
Hannah Stiffel-Börner
Milos Wiek
Frau Wenke Klemt
Ernest Tlustek
Alice Lachmann-Finke
Anika Sager
Michaele Neureuther
Eberhard Pechel
Aneta Kambs
Elisabeth Wieloch-Boucsein
Gislinde Klapp B.Sc.
Mirko Ehlert
Dipl.-Ing. Till Säuberlich
Ing. Zoltan Dobes B.A.
Rico Cichorius
Univ.Prof. Lissi Schomber
Marga Scholz
Dipl.-Ing. Sergio Hövel B.Eng.
Arzu Kuhl
Ing. Jens-Peter Tschentscher
Liesel Ziegert
Lena Holzapfel
Käthe Langern-Jacob
Birgitta Beckmann-Thanel
Heinz-Willi Geisel
Brian van der Dussen
Volkhard Köster-Jüttner
Ulf Kensy MBA.
Frau Monique Löchel
Prof. Ingetraud Seidel B.Sc.
Ingolf Ruppersberger-Berger
Susann Haering
Annelise Schwital
Apollonia Heß B.A.
Dipl.-Ing. Tina Wagenknecht MBA.
Danielle Drubin
Gerhart Stumpf
Karl-Ludwig Hoffmann
Hans-Herbert Gutknecht
Sophie Pruschke
Ing. Peter Trubin B.Sc.
Reinhard Rogge
Dorota Mude
Prof. Bianka Schacht
Mandy Rädel
Dr. Marian Rust
Dr. Heinz-Georg Aumann MBA.
Hilmar Ziegert
Ing. Wladimir Karz MBA.
Elif Wohlgemut
Reinhart Jopich
Marius Klotz
Univ.Prof. Luka Mende
