Student
Ulla Hamann
Mariola Heinrich
Franca Buchholz
Valerie Kallert B.A.
Dipl.-Ing. Stefano Ditschlerin
Wilma Drub B.Eng.
Heinz-Otto Geisler B.Sc.
Herr Recep Junk B.A.
Pavel Pärtzelt B.Sc.
Madlen Geißler
Nikolai Mohaupt
Mike Krein
Dipl.-Ing. Gisela Schuster B.A.
Univ.Prof. Johan Lange
Ing. Anna-Maria Stey
Alma Flantz MBA.
Birte Jüttner
Frau Valentine Benthin
Edeltraut Anders-Rohleder
Ing. Anika Jüttner
Herr Augustin Karge B.Eng.
Ana Heinz B.A.
Frau Ivanka Killer MBA.
Heinz-Günter Fischer
Carina Schaaf
Frau Gudrun Huhn B.Sc.
Freddy Nette-Hendriks
Klaus-Werner Koch II B.Sc.
Sofia Hethur
Univ.Prof. Waltrud Rogner
Cilli Gorlitz
Angelo Schmidtke
Amanda Stadelmann-Mende
Dr. Paulina Textor B.A.
Sergio Kraushaar-Anders
Milena Weitzel-Steinberg
Eberhard Pechel
Dipl.-Ing. Tina Wagenknecht MBA.
Sergej Hauffer MBA.
Univ.Prof. Anika Pärtzelt MBA.
Heinz-Werner Briemer B.A.
Dr. Laila Peukert
Univ.Prof. Conny Wagner MBA.
Univ.Prof. Ismet Bloch B.Eng.
Prof. Beatrice Misicher
Ing. Anatolij Heintze
Anatolij Trub
Laura Mühle
Natalie Bender MBA.
Bernhardine Pechel
Tassilo Gehringer
Dr. Fatma Jacob MBA.
Dr. Leonhard Otto
Domenico Kade B.A.
Dipl.-Ing. Gloria Heidrich
Heinrich Putz B.Sc.
Prof. Bernward Wulf B.Eng.
Mike Röhricht-Hauffer
Dipl.-Ing. Georgine Adolph B.Eng.
Nermin Martin
Liane Reuter
Kirsten Stey B.A.
Stilla Heuser
Justine Lindner
Harold Bohlander B.Sc.
Hans-Bernd Trubin-Klemt
Laura Beier
Frau Svenja Hövel B.Sc.
Robert Budig-Ullmann
Annett Mies-Hellwig
Frau Ingried Rogner B.Sc.
Sofia Roht MBA.
Hardy Hänel B.Eng.
Alina Finke
Iwan Käster
Anna-Lena Röhrdanz B.Sc.
Heinz Dieter Zirme
Kaspar Römer
Heinz-Wilhelm Steuer-Mende
Herr Dietrich Gotthard B.A.
Rita Käster B.A.
Kay-Uwe Pölitz
Kriemhild Jähn
Emilie Kallert-Zorbach
Ing. Valeria Kruschwitz
Anneke Jähn
Ehrhard Bohnbach B.Eng.
Waldemar Ladeck
Stilla Dobes
Juan Fechner
Kilian Austermühle B.A.
Ing. Felicia Dörschner B.Sc.
Juliana Schönland
Herr Süleyman Karge MBA.
Waltrud Stroh
Gert Hölzenbecher B.Sc.
Änne Tlustek-Freudenberger
Pascale Bruder
Sigmund Hentschel MBA.
Ing. Sebastian Killer B.A.
Mareile Birnbaum
Ing. Bianca Paffrath
Frau Emilia Pruschke B.A.
Dennis Beer-Striebitz
Mahmut Hänel
Prof. Siegbert Scheuermann B.A.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Desiree Köster
Dr. Bernfried Bärer
Henri Finke-Lehmann
Konstanze Zänker MBA.
Daniele Heintze B.Eng.
Bertha Heser MBA.
Vinko Reuter
Ismet Kroker
Dr. Marliese Junck B.Sc.
Luka Weimer-Beyer
Univ.Prof. Marita Pohl
Dipl.-Ing. Bertram Gieß MBA.
Zbigniew Boucsein
Annie Langern
Herr Sigismund Gieß MBA.
Karsten Schwital
Hans-Theo Bärer B.Eng.
Prof. Niko Hethur B.Eng.
Anna-Marie Steckel
Yusuf Schacht
Orhan Dörr-Salz
Alwine Bien
Univ.Prof. Regina Salz B.Eng.
Oskar Weitzel
Udo Grein Groth
Mareike Lübs
Martina Salz-Sorgatz
Czeslaw Jacobi Jäckel-Zahn
Margrit Schenk B.A.
Margarete Kabus
Frau Gülay Rogner B.A.
Ilija Höfig
Roderich Scholtz
Valentina Weihmann-Zahn
Günter Fischer
Pietro Klingelhöfer
Mirja Schottin
Josef Rädel
Vesna Wähner
Heinz-Walter Juncken
Dittmar Berger
Prof. Hansjürgen Langern
Hubertine Jäkel
Philip Weller B.A.
Zlatko Ritter B.Eng.
Mariusz Adler
Toralf Pieper
Achim Budig
Arnfried Scheuermann
Rolf-Dieter Kensy
Eleonora Gehringer
Milan Weiß-Schuchhardt
Radmila Schomber B.Eng.
Gislinde Lehmann
Univ.Prof. Roger Stadelmann B.Sc.
Daniela Wernecke-Hölzenbecher
Aysel van der Dussen-Jäntsch
Tillmann Dobes-Trupp
Ing. Leonore Haering MBA.
Ernst-Dieter Rörricht B.Eng.
Laszlo Nerger MBA.
Ing. Kornelius Geisel B.Sc.
Ing. Isabell Hartmann MBA.
Oliver Schwital
Herr Konstantin Neureuther B.A.
Cecilia Killer
Marit Thanel B.Sc.
Ing. Serpil Rudolph MBA.
Guenter Wende
Dr. Alma Warmer MBA.
Dipl.-Ing. Patric Fröhlich
Pero Gnatz
Frau Caren Schmidt MBA.
Natalie Werner
Miguel Dussen van B.Eng.
Univ.Prof. Damian Sorgatz B.Eng.
Melita Schleich
Univ.Prof. Fredy Barth MBA.
Dr. Tim Hornig B.Sc.
Ing. Leszek Gutknecht B.Sc.
Herr Gisbert Langern
Theresia Henck
Meta Harloff
Viviane Fritsch-Martin
Magret Mans
Kay-Uwe Barkholz
Rosmarie Ullmann
Ralph Hellwig-Lachmann
Frau Juliane Schulz B.Sc.
Ludwig Zimmer MBA.
Recep Hecker
Fernando Gieß
Lieschen Walter
Muharrem Benthin
Uschi Keudel
Carmelo Weinhold
Josephine Rogge
Hiltrud Bolander-Ziegert
Stefano Atzler
Valeska Blümel B.A.
Siegmund Schleich MBA.
Gert Naser
Gülten Röhrdanz
Ivonne Lachmann
Hatice Jessel
Prof. Lieschen Bohlander
Denny Salz
Siegmar Keudel-Gude
Helga Franke
Domenico Nohlmans-Eberhardt
Ilonka Kohl
Dr. Auguste Sager
Catharina Jacob
Denis Etzold
Dr. Lieselotte Blümel B.A.
Orhan Mude
Philipp Ernst
Nikolas Hövel
Elenore Renner
Dipl.-Ing. Jens-Uwe Dobes
Prof. Theobald Mangold
Irmtraud Freudenberger
Prof. Miguel Dowerg B.A.
Karl-Heinrich Sölzer
Jadwiga Koch
Dr. Isabell Trupp
Dana Köster
Dr. Friedhilde Adler MBA.
Ria Koch II
Univ.Prof. Karin Beier
Eckehard Steckel
Prof. Mechtild Steuer
Heinrich Kramer
Ing. Margarete auch Schlauchin MBA.
Adelinde Ackermann-Knappe
Siegmund Heidrich
Herr Mike Schuchhardt B.A.
Janusz Trub-Mühle
Prof. Marian Gerlach
Hans-H. Schönland
Inge Paffrath
Ing. Cord Hermighausen B.Eng.
Arnulf Säuberlich
Lutz Kobelt
Prof. Ingbert Nette
Antonios Schönland
Ute Conradi-Trüb
Univ.Prof. Jaqueline Dehmel
Svea Hartung B.Eng.
Josefa Lange
Univ.Prof. Resi Kobelt
Johann Beer
Rosalinde Trommler
Thomas Drub
Herr Otto Vollbrecht
Danuta Löwer
Dagmar Dussen van
Hans-Dieter Scholl
Gilbert Bolnbach
Karen Hendriks
Dipl.-Ing. Canan Pölitz B.Eng.
Univ.Prof. Philomena Kensy
Henny Stey
Othmar Täsche-Loos
Ahmet Eckbauer-Sölzer
Heinz-Willi Jockel
Annekatrin Wende
Dipl.-Ing. Sandro Bärer B.A.
Peter-Michael Spieß
Almut Trupp
Elisabeth Käster
Henner Schweitzer
Ing. Dirk Paffrath
Univ.Prof. Maxim Matthäi
Hans-Detlef Schäfer
Prof. Berend Käster B.A.
Prof. Freya Biggen B.Eng.
Emma Hornich-Kraushaar
Marita Henk
Hans-Ulrich Plath B.A.
Hajo Ziegert-Noack
Anne-Marie Drewes
Ing. Alma Rudolph B.Sc.
Delia Rust
Jonas Budig
Elfie Preiß
Univ.Prof. Heinz-Werner Renner B.A.
Ellen Vogt
Frau Rosa-Maria Sauer B.Sc.
Hans-Gerd Jockel
Volkhard Köster-Jüttner
Erol Röhrdanz
Freia Hamann
Antonios Walter
Urszula Trapp
Ariane Tintzmann
Sören Spieß
Frau Gitte Hänel
Gerold Schuchhardt B.Sc.
Heiderose Lange-Schüler
Dipl.-Ing. Mirella Franke MBA.
Ing. Carmen Birnbaum
Judith Sorgatz
Claudius Mude
Blanka Ladeck
Karl-Josef Barth
Dr. Frieda Metz
Hans Misicher
Luzie Schäfer
Salih Köster
Osman Schäfer
Mariana Jüttner
Aleksander Dowerg
Ewa Bolnbach-Textor
Svea Krebs-Scheibe
Fatih Bohlander
Hans-Martin Bärer
Gudula Stroh-Bien
Anne-Kathrin Ortmann
Francesco Wieloch-Herrmann
Prof. Mohammad Reinhardt
Constantin Kraus
Dr. Theresia Mende
Sofia Mielcarek B.A.
Catherine Cichorius
Anneli Wernecke
Franz-Peter Benthin-Reichmann
Toni Schottin B.A.
Baptist Radisch MBA.
Detlev Heintze
Kristin Kabus
Dr. Gabriel Freudenberger MBA.
Dr. Heide Jockel B.Sc.
Herr Gordon Weihmann B.Eng.
Knud Zimmer
Charlotte Hecker B.Eng.
Philip Heß MBA.
Lars Weller
Univ.Prof. Sigurd Fischer B.Eng.
Univ.Prof. Änne Finke B.Sc.
Marika Zänker B.A.
Deborah Becker
Univ.Prof. Alberto Steuer
Marc Henck B.Eng.
Kira Tschentscher MBA.
Mareen Mies B.Eng.
Hiltrud Pergande
Kevin Tlustek-Heinz
Thies Pergande
Ing. Christa-Maria Liebelt
Walter Pruschke
Prof. Gerd Schenk
Mathias Matthäi
Frau Kirsten Geißler
Marie Henk B.Sc.
Marzena Hein
Hansjoachim Kraus-Beer
Dr. Jasmina Ruppert
Siegried Otto
Emilie Bolander
Dr. Lisa Stroh B.Sc.
Falk Ritter
Aziz Bähr B.A.
Gislinde Wagenknecht
Anika Biggen MBA.
Heinrich Dippel
Gereon Weitzel
Constantin Jacob B.Sc.
Evangelia Misicher
Hansjürgen Eberth
Dipl.-Ing. Eveline Jäkel MBA.
Ing. Nikolai Niemeier B.A.
Hans-Bernd Zorbach
Prof. Guenther Margraf B.Eng.
Agathe Trommler
Minna Wernecke-Gumprich
Florentine Eimer
Sigrun Mälzer
Prof. Irmela Hellwig B.Sc.
Ljudmila Krebs
Senta Schmiedecke
Uli Schönland-Trupp
Mattias Sorgatz-Haase
Dr. Reza Hering B.Sc.
Frank-Michael Löwer-Ring
Hanno Trub
Friedrich-Wilhelm Höfig-Johann
Christin Hein B.Sc.
Kenneth Kramer
Nikola Kitzmann
Dr. Friedbert Bauer B.Eng.
Rudolf Weihmann
Bernd Blümel
Frau Trude Walter B.A.
Willfried Mende
Hans-Günther Scheuermann B.Eng.
Georgia Trub
Joana Preiß
Univ.Prof. Pia Schlosser MBA.
Engin Johann-Weihmann
Aziz Bauer MBA.
Esther Hoffmann-Hermighausen
Francoise Rust
Leni Heß
Zeljko Hiller-Misicher
Dipl.-Ing. Denise Beier
Willibald Seidel
Wally Kreusel
Edeltrud Margraf
Frau Ilka Pärtzelt B.Eng.
Astrid Dowerg-Stroh
Ing. Meinhard Schweitzer
Lidija Trapp
German Speer
Univ.Prof. Lissi Schomber
René Ehlert
Aribert Mitschke
Hans-Uwe Sager
Ortrun Eckbauer-Kohl
Stephanie Heintze
Sigurd Höfig B.Sc.
James Kostolzin-Staude
Marie-Louise Hendriks-Dörschner
Siegward Hertrampf
Hans Georg Niemeier
Horst Hauffer B.Eng.
Loni Trubin
Viktor Kusch
Dipl.-Ing. Laila Scheuermann B.Sc.
Loni van der Dussen B.Sc.
Celal Pohl
Rüdiger Buchholz-Kuhl
Annaliese Gerlach
Myriam Aumann
Ing. Mike Stolze
Corinne Koch II
José Tschentscher-Textor
Prof. Eckhart Jockel B.Eng.
Karl-Hans Weinhold-Noack
Günter Rudolph B.Eng.
Ing. Natalie Oderwald B.Sc.
Walfried Wohlgemut B.Eng.
Filiz Bähr
Celal Mühle
Rosita Budig
Iris Mans
Arnulf Heidrich
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Dr. Jost Hiller B.Sc.
Ole Süßebier MBA.
Nikola Riehl
Klaas Vogt
Claire Römer-Hornich
Carmen Textor-Krebs
Manuel Pärtzelt
Herr Aleksandr Wiek B.Sc.
Prof. Sonia Blümel
Rigo Conradi
Dina Johann
Ellinor Schmidtke B.Sc.
Karl-Dieter Seifert
Willfried Kostolzin
Katharina Etzler
Tino Niemeier
Herr Winfried Vollbrecht B.Eng.
Leopold Weller-Zobel
Recep Weihmann
Frau Hildegund Vogt B.A.
Berthold Austermühle MBA.
Heimo Knappe
Alex Ziegert
Steven Weinhold B.A.
Alwine Wirth-Klemm
Adelinde Zimmer
Dr. Constance Römer
Hans-Christian Roht
Lucie Gutknecht
Univ.Prof. Lisbeth Köhler
Dagmar Koch
Dipl.-Ing. Werner Scholl B.Eng.
Vassilios Birnbaum
Ing. Henrike Kramer
Marie Sorgatz MBA.
Michaele Neureuther
Prof. Trude Schäfer MBA.
Irina Birnbaum
Leokadia Karge
Rose Beer
Hans-Georg Schmidt
Gotthilf Bohnbach-Seip
Gusti Henschel
Bertha Barkholz
Georgia Ruppersberger
Alois Jungfer B.Eng.
Pierre Köster
Rahel Stey
Alice Lachmann-Finke
Semra Fiebig
Reingard Cichorius
Marlies Beckmann
Ismail Koch
Dusan Zahn B.A.
Dipl.-Ing. Annelise Naser
Grit Röhricht-Rosemann
Dana Ebert B.A.
Julia Hecker-Krebs
Univ.Prof. Vadim Vollbrecht B.A.
Ullrich Preiß
Wolfhard Vogt
Franco Loos B.Eng.
Univ.Prof. Reinhilde Cichorius B.A.
Beata Stahr
Liesa Neureuther
Herr Darius Heuser
Marlen Gute-Hauffer
Liesa Sauer
Wolfgang Beier-Mohaupt
Helmuth Zirme
Victor Seifert
Dr. Otmar Linke MBA.
Diane Butte-Schleich
Gunter Beyer
Edda Junck-Eimer
Univ.Prof. Gislinde Rohleder
Frau Katarina Bolander B.Sc.
Undine Scheibe-Stey
Frau Reinhilde Wirth MBA.
Reiner Conradi
Ludwina Mohaupt
Univ.Prof. Kevin Juncken B.Eng.
Augustin Renner
Frau Ariane Weinhage MBA.
Prof. Hermann Josef Söding
Kristiane Steckel
Ing. Hans-Wilhelm Holt B.Sc.
Renate Austermühle B.Eng.
Gerwin Textor
Univ.Prof. Roman Misicher
Deborah Scholtz B.A.
Laura Wilms
Ryszard Junitz
Dipl.-Ing. Wanda Dussen van
Katerina Hauffer
Zenta Mende
Cemal Budig-Holt
Rosi Renner-Graf
Thorben Rosenow
Prof. Karl-Heinz Ruppersberger
Giovanna Zobel-Liebelt
Benjamin Jäntsch B.Sc.
Karla Gunpf
Angela Hamann
Univ.Prof. Alexandros Junk
Ing. Erica Schottin
Florence Davids
Antonie Ladeck
Sina Barkholz
Ing. Zoran Tintzmann
Claudio Freudenberger
Heribert Römer-Lindau
Daniela van der Dussen B.Eng.
Heinz-Peter Butte B.Eng.
Mara Vollbrecht B.A.
Karlfried Ruppersberger
Wulf Fiebig B.A.
Georg Misicher
Hans-J. Trapp-Koch II
Dipl.-Ing. Mara Otto B.Sc.
Prof. Alois Jacob
Dipl.-Ing. Petar Wohlgemut
Dörthe Mitschke-Holt
Natascha Gotthard
Dagmar Schäfer
Univ.Prof. Gretchen Sontag B.A.
Dipl.-Ing. Fred Meister
Inka Trapp
Gisela Weinhold B.Sc.
Univ.Prof. Suse Lachmann B.Sc.
Annerose Eckbauer
Viktor Bauer
Dr. Gerold Dörschner
Univ.Prof. Athanasios Drub B.Sc.
Joana Mielcarek B.A.
Dr. Mohamed Kroker B.Eng.
Eckard Dehmel MBA.
Lieselotte Nohlmans
Theodor Striebitz
Silvio Scholl B.Eng.
Prof. Denis Segebahn MBA.
Erdmute Mosemann
Hans-Detlef Schleich
Mark Röhricht
Konstantinos Lindner
Elmar Förster
Carin Huhn
Attila Atzler
Gaetano Paffrath
Klaus Peter Adler
Nina Ladeck
Hans Josef Striebitz
Ing. Torsten Hartung B.Eng.
Jonathan Mohaupt
Philipp Reising-Harloff
Edith Hettner
Heinrich Ackermann
Zeljko Baum
Henni Ullmann MBA.
Maja Fischer B.A.
Bernward Losekann MBA.
Yvonne Kroker
Lilija Kensy
Dipl.-Ing. Jens-Peter Dippel MBA.
Sylvio Karge
Dr. Marija Stiebitz
Günther Mude B.A.
Zehra Conradi-Heinrich
Jost Roskoth
Bayram Gertz-Hendriks
Luis Oderwald
Jiri Hoffmann B.Sc.
Friedrich-Wilhelm Holsten
Ralf-Dieter Riehl B.Eng.
Eckehard Mude
Frau Elsa Mälzer
Prof. Auguste Scholz
Krystyna Holsten B.A.
Hüseyin Johann
Andre Stroh
Gerd Wiek MBA.
Gerwin Ortmann
James Nohlmans
Roy Gumprich-Klemm
Katrin Ortmann
Dr. Lidia Flantz B.Sc.
Marlene Drubin
Regina Wende
Melanie Hauffer
Stefanie Benthin
Lukas Zirme
Prof. Konrad Neuschäfer
Reimar Müller
Witold Wulf
Vera Heydrich
Gertrud Ditschlerin
Elli Meister
Dr. Stefania Gnatz
Univ.Prof. Ilja Hentschel MBA.
Richard Mende-Hendriks
Albert Butte
Elli Junck
Prof. Emil Kruschwitz
Harm Sontag-Wilms
Dipl.-Ing. Birgitta Boucsein
Antonius Kraus
William Zirme
Arne Dobes
Elena Fiebig
Maria-Theresia Heinz B.A.
Sevim Vollbrecht B.A.
Reinhold Schönland
Willi Heinz
Francisco Trupp
Melita Schacht
Dr. Vitus Franke
Univ.Prof. Romana Hiller
Zeki Hartung
Margitta Hethur MBA.
Ira Scholz-Pohl
Kathi Christoph
Prof. Aribert Eberhardt B.Sc.
Hans-Christian Eimer
Reimar Trüb
Marie-Louise Hauffer
Frau Trudel Hövel
Ing. Hanna Killer
Klaus-Ulrich Tlustek-Förster
Univ.Prof. Marjan Graf B.Sc.
Ing. Ramazan Kabus B.Eng.
Ing. Brunhilde Albers
Univ.Prof. Ludwig Jähn B.A.
Univ.Prof. Fatima Faust B.A.
Herr Maik Klemt MBA.
Lydia Jopich
Harold Scheibe
Ing. Marie-Therese Seifert
Kriemhild Warmer
Rafael Blümel
Matteo Dehmel-Weimer
Slavica Koch
Andre Schlosser
Herr Götz Süßebier
Heinz Krebs B.Eng.
Miguel Gehringer-Reising
Dipl.-Ing. Hans-Günther Bien
Raymond Römer
Gülsen Junck
Prof. Erwin Albers B.Sc.
Kai-Uwe Hartung
Harro Vogt-Gieß
Dipl.-Ing. Liliana Hartmann
Korbinian Bolander
Dr. Wanda Dippel
Prof. Ruth Gehringer
Ingetraut Köster
Rudolf Mentzel
Hermann Josef Börner
Magarete Krause
Marie-Therese Birnbaum
Michaela Sontag-Dörr
Eleni Krause B.A.
Sandor Riehl
Remo Reinhardt
George Weimer
Hajo Thies
Heide-Marie Heß B.A.
Katharina Krause-Hornig
Sylwia Wilmsen-Ullmann
Rolf-Peter Reising B.Sc.
Univ.Prof. Helge Pieper
Univ.Prof. Claudio Schmiedt
Anto Tröst-Schäfer
Gertrude Pieper
Frau Minna Steinberg B.Sc.
Dr. Jan-Peter Martin B.Eng.
Univ.Prof. Giovanna Siering MBA.
Ing. Diedrich Gotthard MBA.
Gisbert Christoph
Frau Heidelore Gehringer
Antonia Mohaupt
Birgitta Beckmann-Thanel
Susi Schuchhardt
Jann Geisler
Celal Ortmann-Otto
Dr. Ian Grein Groth
Horst-Peter Faust
Adriane Stroh
Ernst-Dieter Geisler B.Eng.
Erdal Bruder
Edgar Rohleder-Fröhlich
Bodo Kranz-Striebitz
Vitali Junken
Bertram Höfig B.Sc.
Luigi Junitz
Alena Holzapfel
Dr. Sedat Schäfer
Aloys Trupp
Eduard Ruppersberger
Kristin Kaul B.Sc.
Univ.Prof. Harro Weller
Edda Salz
Ilhan Budig
Tino Gnatz
Karl-Ludwig Hoffmann
Anastasios Karge
Michaele Schwital
Klara Löchel-Bien
Ing. Hanny Noack MBA.
Kunigunda Reising
Helmuth Jäntsch
Edda Gertz B.Eng.
Ehrhard Pruschke
Ralph Rogge
Radmila Linke MBA.
Constance Drubin
Dr. Emin Dietz B.Sc.
Thomas Kraushaar
Annie Harloff B.A.
Dr. Edelgard Sauer B.Sc.
Prof. Patrik Scheel
Heike Karge
Janine Dehmel B.Eng.
Frau Anne-Kathrin Wagner
Helga Salz
Massimo Dörschner
Heinz Dieter Trubin
Ing. Rose-Marie Hölzenbecher
Ing. Cilli Gertz B.A.
Inken Gute B.Eng.
Jasmina Rudolph
Vinko Schönland B.Eng.
Willfried Werner
Liliana Zorbach MBA.
Oxana Lübs
Milos Kuhl B.Sc.
Auguste Buchholz B.Sc.
Dr. Filippo Eberhardt B.Eng.
Luise Gertz-Fliegner
Emmy Bohnbach
Constantin Ziegert
Amanda Weller
Prof. Orhan Ladeck MBA.
Monika Hornich MBA.
Pero Gutknecht
Sami Junitz
Jörn Hörle B.Sc.
Herr Alois Thanel B.Sc.
David Losekann
Dr. Alois Kraushaar B.Sc.
Michelle Pohl
Jerzy Wagenknecht B.A.
Ing. Klaus-Dieter Karge MBA.
Conrad Paffrath
Vitali Ortmann
Aldo Förster
Dipl.-Ing. Lieselotte Trüb B.A.
Ellinor Kraus
Univ.Prof. Mirella Peukert
Ing. Toralf Wiek
Dr. Rotraud Gorlitz
Franca Mentzel
Korbinian Werner
Herr Sylvester Jopich B.Eng.
Hanne Gierschner
Maya Lindner-Zimmer
Zdravko Niemeier
Heinz-Günter Schuster
Kreszentia Bloch-Kohl
Asta Knappe
Marliese Drubin
Karl-Peter Hering
Dimitrios Kraushaar-Adolph
Lina Hein-Gotthard
Valerij Barth
Urs Matthäi
Engin Schenk
Dorota Sorgatz B.A.
Silva Hiller MBA.
Katja Heidrich
Verena Gute-Trüb
Carmine Schacht
Jessica Kohl
Marjan Segebahn B.Eng.
Hans-J. Hahn-Süßebier
Dipl.-Ing. Slavica Mälzer
Inga Ruppersberger
Christopher Sager
Univ.Prof. Beatrix Roskoth
Jens-Uwe Käster
Frank-Michael Sontag
Lidija Löchel B.A.
Kristina Scheibe
Annett Dehmel MBA.
Oda Henschel
Clara Mans
Patric Heinrich
Erica Lachmann
Dr. Zeki Eberth
Enver Conradi-Hecker
Univ.Prof. Aloisia Fröhlich B.A.
Dipl.-Ing. Rigo van der Dussen B.Eng.
Stavros Hentschel B.Eng.
Abraham Hoffmann
Ing. Dietlind Gieß
Lidwina Jockel
Univ.Prof. Charlotte Lindner MBA.
Ing. Ivonne Nerger
Kordula Drub B.Sc.
Dietlinde Söding
Dipl.-Ing. Lilly Trüb
Dipl.-Ing. Gülten Hoffmann B.Eng.
Ing. Therese Rust
Svetlana Bohlander B.Sc.
Isa Knappe-Biggen
Niko Gutknecht B.Sc.
Christos Sölzer
Rouven Ziegert
Karl-Otto Kostolzin
Gabriella Rädel
Gloria Lachmann MBA.
Justus Aumann
Jo Gnatz
Friedericke Ruppersberger
Yvette Margraf-Wernecke
Univ.Prof. Guido Carsten MBA.
Jenny Scholtz
Univ.Prof. Ignatz Baum
Melanie Scheel B.A.
Adelinde Geisler
Siegfried Kreusel
Cynthia Langern
Dina Schmiedt MBA.
Robert Herrmann
Dr. Silvio Täsche
Aziz Anders
Folker Otto
Heide Hesse-Bärer
Wera Schmidt
Telse Steuer B.Eng.
Pero Scheuermann
Helmut Renner
Frau Melita Scholz B.A.
Janko Margraf MBA.
Jonas Löchel
Norman Wulf
Frau Evelin Löffler
Helga Gerlach-Seifert
Dipl.-Ing. Edmund Franke
Herr Tino van der Dussen MBA.
Alexander Beckmann MBA.
Gretel Stroh
