Student
Robin Schuchhardt-Reichmann
Senta Ruppersberger
Dino Kusch-Hiller
Hansgeorg Klotz
Jacek Bärer
Sigmar Briemer
Amalia Schmidtke-Radisch
Frau Edeltraud Radisch B.A.
Rudolf Mentzel
Univ.Prof. Nevenka Döhn B.Eng.
Jacob Bähr
Olav Margraf
Ljiljana Roht
Rabea Weiß MBA.
Ing. Valentine Scheibe
Hilmar Ziegert
Dr. Alma Warmer MBA.
Stephanie Weller
Angelika Rosemann
Heiderose Lange-Schüler
Marie-Louise Hendriks-Dörschner
Lilo Scholz
Julia Mosemann
Antonia Mohaupt
Lotte Kitzmann B.A.
Gotthilf Bohnbach-Seip
Ing. Ernst-August Häring
Eitel Hethur
Siegmar Pergande
Christl Eigenwillig
Prof. Marie-Theres Löffler B.Sc.
Gina Schmidtke
Nico Ehlert-Ackermann
Dipl.-Ing. Gunnar Rohleder B.Sc.
Herr Wladimir Bolnbach
Alexa Dietz
Dietlinde Schönland
Dipl.-Ing. Margarita Stey
Sonia Gorlitz-Mude
Svenja Hartmann
Svetlana Schenk-Barth
Steffen Rust B.Eng.
Dr. Danica Scheuermann B.Sc.
Brigitte Zirme B.Sc.
Andrew Schlosser
Loni van der Dussen B.Sc.
Freia Hamann
Herr Alexandre Eimer B.A.
Dr. Fedor Plath B.Sc.
Prof. Irmela Klemt B.Eng.
Ljiljana Rädel
Mariele Peukert
Wolf Martin
Elfi Bolander
Irmtrud Schaaf-Jacobi Jäckel
Ing. Meik Eberhardt B.A.
Philomena Salz
Annelene Zänker
Willi Heinz
Margarete Linke
Steven Seifert
Valentin Rädel
Univ.Prof. Sönke Schomber
Hildegunde Stiebitz-Mude
Marek Hesse B.Eng.
Zlatko Lehmann
Karl Heinz Stiebitz
Dr. Valentin Eigenwillig
Oscar Fritsch
Karl-Dieter Süßebier
Osman Salz MBA.
Ing. Heinz Ehlert
Liesa Wilms B.A.
Katherina Hesse
Niko Butte-Rosenow
Cornelia Radisch
Ottilie Blümel
Miguel Briemer
Patrik Ditschlerin
Benita Neuschäfer
Ilja Freudenberger B.A.
Jaroslaw Pieper MBA.
Astrid Dowerg-Stroh
Ronald Werner
Univ.Prof. Pius Kühnert
Dr. Melitta Mans B.Eng.
Annegrete Pohl-Sölzer
Dorina Rust
Valentine Tschentscher
Mareile Oderwald-Hiller
Ing. Swen Ehlert
Dipl.-Ing. Patricia Werner B.Sc.
Prof. Cäcilia Gertz B.Eng.
Elli Meister
Zeljko Kobelt B.Eng.
Herr Vladimir Zimmer MBA.
Marga Scholz
Univ.Prof. Milka Bähr
Herr Bruno Kreusel
Natali Löffler
Ing. Elsa Liebelt
Kreszentia Bloch-Kohl
Herr Wieland Hartmann MBA.
Slobodan Seip
Marie-Therese Wagner
Anett Bien-Schuster
Adriana Vogt
Teresa Jessel
Univ.Prof. Gerhardt Dowerg B.Eng.
Valerij Schulz B.A.
Semra Fiebig
Sylvie Börner
Maik Oestrovsky B.Sc.
Anka Jäkel-Ackermann
Susana Schaaf
Adolfine Wilms
Dr. Valentina Knappe
Sina Patberg
Elli Kuhl B.Eng.
Ulrike Klemt B.Sc.
Marleen Heser
Amanda Heinz
Reinhold Hellwig-Mülichen
Dr. Diedrich Gerlach B.A.
Heinz-Günter Weimer B.Sc.
Marie Henk B.Sc.
Alla Rohleder
Herr Oliver Stahr
Sinaida Adolph
Hansgeorg Hettner
Milos Biggen
Antonino Klingelhöfer
Lydia Schenk
Calogero Seip
Klaus Dieter Weimer-Hein
Rosa Hübel
Magdalena Tintzmann B.Sc.
Univ.Prof. Ditmar Mitschke B.A.
Karlfried Rörricht
Ing. Justina Beckmann
Hilmar Spieß
Gert Hölzenbecher B.Sc.
Czeslaw Jacobi Jäckel-Zahn
Michaela Hecker B.Eng.
Katja Heidrich
Fernando Neuschäfer
Adem Schleich
Larissa Löffler
Willy Reichmann
Wieslaw Löchel
Hildegund Gunpf
Herr Gerhardt Benthin
Josef Langern
Engin Johann-Weihmann
Reni auch Schlauchin
Ing. Wolf-Rüdiger Dietz B.Sc.
Kreszenz Drubin
Ayse Thies B.Eng.
Kai-Uwe Hartung
Heinz Dieter Zirme
Prof. Gaetano Weiß
Karl-Georg Lehmann
Prof. Reza Ebert B.Eng.
Dietlind Anders B.A.
Dr. Gerti Scheel
Anne Zorbach
Gereon Wende MBA.
Dr. Edit Scheibe B.A.
Ing. Pauline Linke
Dr. Mariusz Beckmann
Larissa Mangold
Kathrin Johann-Schulz
Heinz-Walter Juncken
Univ.Prof. Paul-Gerhard Lübs MBA.
Univ.Prof. Maria-Luise Trüb B.Sc.
Adelinde Gutknecht-Beier
Heinz-Joachim Stiebitz
Elfi Wesack
Peter Sontag
Hajo Thies
Dr. Sigrun Schönland B.A.
Irmtraut Noack
Ing. Anton Gotthard MBA.
Jaroslaw Eckbauer
Univ.Prof. Eugen Karz
Dipl.-Ing. Mareike Noack B.Sc.
Herr Hans-Martin Heuser
Piotr Schaaf
Murat Linke
Luigi Junitz
Joana Wähner
Jens-Uwe Neureuther
Patrizia Biggen
Friedrich-Karl Sorgatz-Schmiedt
Kornelius Hornig MBA.
Natalia Stroh
Univ.Prof. Lydia Langern
Eileen Geißler
Ralph Schottin-Graf
Nicolaus Jessel
Frau Kordula Geisler MBA.
Hans-Albert Lindau
Priska Rädel
Anneli Neuschäfer
Herr Tomislav Ladeck
Dagobert Hornig
Univ.Prof. Filiz Rudolph MBA.
Bianka Scheuermann
Univ.Prof. Hiltrud Löwer
Czeslaw Siering
Justine Patberg-Metz
Univ.Prof. Heidelinde Jopich B.Sc.
Hans-Theo Bärer B.Eng.
Mareen Krebs-Hofmann
Augustin Ernst
Volker Hettner
Mehdi Kohl B.A.
Peer Bärer
Mirja Wähner
Rüdiger Buchholz-Kuhl
Gregor Loos-Gehringer
Herr Darius Heuser
Fatih Ladeck-Weihmann
Dipl.-Ing. Götz Bloch
Frau Käte Zahn
Slawomir Bohnbach
Edith Binner
Leander Dobes-Schlosser
Bodo Martin
Klaus-Dieter van der Dussen
Rosl Trupp
Kristin Kaul B.Sc.
Univ.Prof. Michaele Heser MBA.
Univ.Prof. Dorle Fröhlich
Rosalinde Trupp
Darius Trupp
Ingried Bähr
Laurenz Scholl
Irmtrud Pohl
Aneta Schlosser-Köster
Clara Mans
Walentina auch Schlauchin-Albers
Herr Laurenz Häring
Edelgard Gnatz-Dobes
Univ.Prof. Friedl Tlustek
Jens Trub
Oxana Ortmann MBA.
Univ.Prof. Marleen Kabus
Jerzy Hermighausen-Lübs
Hansjörg Roht
Steffi Schmiedt B.Sc.
Herr Bastian Ritter B.Sc.
Daniela Wernecke-Hölzenbecher
Cäcilie Roht-Misicher
Dr. Lina Hiller
Raymund Mosemann-Eckbauer
Anne-Rose Hettner B.A.
Isa Rose
Miroslawa Rose
Nadin Hertrampf-Killer
Walter Schleich-Segebahn
Christiana Pohl
Salvatore Eberhardt-Ring
Goran Benthin
Helmtrud Atzler
Evelyn Stolze
Kirsten Stey B.A.
Gundula Klotz
Angelique Speer B.A.
Senta Schmiedecke
Dr. Irmgard Plath B.A.
Dr. Hans-Herbert Losekann B.A.
Vitus Schmidt
Maik Tintzmann B.Sc.
Walfried Klotz-Klotz
Mandy Trüb
Prof. Woldemar Beier B.A.
Danilo Hein-Scheibe
Lena Ernst-Schenk
Dörte Schlosser
Ludwina Mohaupt
Dipl.-Ing. Traudel Eigenwillig
Nermin Jopich
Ing. Rico Hoffmann
Theres Heser
Konstanze Zänker MBA.
Holger Röhricht
Frau Anka Hering
Albin Fischer B.Eng.
Univ.Prof. Ayten Lorch
Univ.Prof. Metin Martin B.Sc.
Herr Hartwig Henk B.A.
Annelies Heidrich
Alina Spieß
Irmingard Meyer MBA.
Johann Seidel
Ottilie Hartung
Michaela Kade
Dipl.-Ing. Annelise Naser
Herr Francis Scholtz
Celal Seifert
Hans-Gerd Holt
Hans D. Schenk
Annelene Möchlichen-Weiß
Anika Holsten
Cathleen Mies MBA.
Wulf Thanel-Scheibe
Reni Rosemann MBA.
Anto Tröst-Schäfer
Vesna Bähr
Filiz Bähr
Ing. Hans Peter Schenk B.A.
Günter Löwer
Krista Putz
Prof. Luzie Killer B.Sc.
Dipl.-Ing. Mariola Lange B.Sc.
Univ.Prof. Traude Gertz
Frau Linda Weiß B.Eng.
Dipl.-Ing. Sandro Bärer B.A.
Angelo Schmidtke
Marleen Austermühle-Tintzmann
Friedrich-Wilhelm Metz
Irina Hahn
Lilly Seifert
Moritz Spieß
Dr. Heinz Dieter Dörschner
Liane Kambs
Dipl.-Ing. Beatrix Henk B.Eng.
Elisa Karz-Rohleder
Univ.Prof. Claudia Freudenberger B.Sc.
Uschi Trüb
Jan Döring B.A.
Falko Kusch B.A.
Caroline Harloff
Thea Nette
Gerti Trupp-Dowerg
Milka Hahn
Emil Preiß-Hecker
Prof. Jelena Krebs B.Sc.
Herma Bender-Scholtz
Annie Langern
Dr. Luciano Ortmann
Henryk Bauer
Dr. Hildegund Gnatz B.Eng.
Ing. Henrike Kramer
Hans-Martin Junk-Kuhl
Mirjam Stumpf
Dr. Isabell Trupp
Prof. Kathy Warmer MBA.
Laila Kranz
Karl-Ernst Reuter
Ilja Hartung
Gesa Jäntsch
Prof. Janos Werner B.Eng.
Hedy Rudolph MBA.
Silvia Eberth
Ing. Berta Oestrovsky B.Eng.
Rosita Peukert-Scheibe
Teresa Ladeck-Rädel
Frau Gertraude Wesack B.Eng.
Karl-Dieter Thies
Imelda Söding
Univ.Prof. Elfriede Rohleder
Ing. Thomas Drewes B.A.
Eggert Börner-Geisler
Benita Geißler
Filippo Jungfer-Kabus
Pavel Jessel
Wieland Hethur
Bruno Wagenknecht
Dr. Annaliese Lindner
Ilija Hofmann
Univ.Prof. Linus Seifert
Canan Heinrich
Univ.Prof. Gottfried Süßebier
Univ.Prof. Helmut Junitz B.Eng.
Heinz-Günter Mülichen
Friedhelm Schleich
Bernard Losekann
Ing. Margarete auch Schlauchin MBA.
Achim Mülichen-Schleich
Frau Tatiana Hande B.Sc.
Cordula Wohlgemut
Heide-Marie Beckmann B.Sc.
Janet Johann B.A.
Hans-Karl Bauer B.Eng.
Ing. Nils Pergande B.A.
Prof. Sofie Gröttner
Ryszard Lorch
Christina Geisel-Hesse
Kirstin Boucsein B.Eng.
Nathalie Krause
Herr Maik Klemt MBA.
Ing. Henning Drub
Valentine Bähr B.A.
Ilka Heß
Ing. Thekla Beyer B.Sc.
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Erhard Geisel
Anthony Heintze
Wally Kreusel
Lorenz Kohl
Baldur Metz
Herr Guido Knappe B.Eng.
Leopoldine Butte
Karsten Schwital
Virginia Textor
Adeline Holsten
Reni Römer
Margareta Losekann
Stavros Schinke
Klaudia Löffler-Zorbach
Frau Mia Kaul MBA.
Heinz-Otto Wende
Geert Zänker
Peer Jähn
Prof. Miguel Dowerg B.A.
Pia Steuer
Marie-Louise Hauffer
Irmi Jüttner
Thorsten Gude
Maximilian Hellwig
Linus Drub
Tim Sorgatz
Nikolaus Rosenow
Mark Schottin B.Eng.
Herr Louis Hövel
Käthe Briemer MBA.
Ing. Christel Margraf MBA.
Ingmar Hauffer
Katharina Krause-Hornig
Hendrik Herrmann
Anastasia Gunpf
Ing. Siegrid Birnbaum
Belinda Reinhardt B.A.
Dipl.-Ing. Denise Beier
Stilla Hornig B.A.
Christian Jacobi Jäckel
Dr. Sonia Hornich B.Eng.
Adalbert Schmidtke
Ilja Krause
Herr Sigismund Gieß MBA.
Bertha Rose
Alexandra Henk MBA.
Marta Eigenwillig-Hörle
Eugenia Stey
Ing. Wencke Speer
Carl Schmiedt
Prof. Hubert Heß
Frau Alexandra Beckmann B.A.
Uli Renner
Ekkehard Holzapfel
Kriemhild Warmer
Dorota Mude
Sylvester Bender-Boucsein
Daniele Pieper-Käster
Kathi Häring
Ing. Loni Gnatz MBA.
Sybilla Striebitz
Roger Wagenknecht
Dr. Zenta Holsten
Sigurd Höfig B.Sc.
Adam Gertz
Ing. Lisette Kaul B.A.
Dipl.-Ing. Danuta Stumpf B.Eng.
Janus Walter
Prof. Karl-Ernst Möchlichen
Hildegunde Aumann
Margot Sontag MBA.
Klemens Thies
Frauke Stadelmann
Dipl.-Ing. Margarete Schmidt
Dr. Anny Kallert
Prof. Vadim Stroh
Dr. Egbert Kraus
Darko Wilms
Karl Heinz Kruschwitz-Reising
Martin Rose B.A.
Karoline Römer
Ferdinand Junck-Hölzenbecher
Marie-Luise Zorbach MBA.
Ing. Monika Ullrich
Charles Heinz
Horst-Dieter Gude
Magdalena Löwer B.Eng.
Enrico Hornig
Horst Hauffer B.Eng.
Telse Rudolph
Ilonka Buchholz-Köhler
Ronald Rädel
Wiebke Hölzenbecher
Veronika Kruschwitz B.A.
Kristiane Zahn
Antje Drub
Wilfriede Ziegert
Dr. Kristine Tschentscher
Tadeusz Kruschwitz B.Sc.
Stefanie Hertrampf MBA.
Gülay Haase
Herr Ruben Schüler B.Eng.
Ing. Jenny Oestrovsky
Jörg Haase-Röhricht
Miguel Lehmann
Ibrahim Eberth
Ellen Junken
Reni Putz-Tintzmann
Univ.Prof. Amalia Köhler
Friedo Lorch
Dipl.-Ing. Tim Jäntsch B.Eng.
Univ.Prof. Edmund Mentzel B.Eng.
Ing. Abraham Thanel B.Eng.
Dipl.-Ing. Berend Niemeier
Univ.Prof. Sergio Kreusel MBA.
Oxana Lübs
Frau Patricia Schmiedecke B.Eng.
Dr. Immo Kramer
Hermann Bruder
Guenther Metz
Herma Geisler-Beckmann
Svenja Salz
Herr Erich Rosenow
Gisbert Christoph
Lisette Stoll B.Eng.
Eric Briemer
Nikolas Heß
Lili Döhn-Margraf
Harri Heuser
Ismail Steinberg
Lilija Döring
Senol Heintze-Gerlach
Enver Conradi-Hecker
Eugenie Pieper
Ottokar Berger
Frau Therese Henk B.A.
Flora Etzold
Peter-Michael Spieß
Editha Jacob
Dipl.-Ing. Ehrenfried Kranz MBA.
Dr. Markus Roskoth B.Sc.
Johan Heydrich
Ing. Emanuel Tintzmann
Roland Putz
Evangelia Schlosser-Boucsein
Frau Käthi Hamann B.Eng.
Ing. Nadeschda Tschentscher B.A.
Adalbert Reising
Dr. Aldo Fritsch
Sofia Hethur
Dagmar Dussen van
Frau Edda Hornig B.Eng.
Ludmila Löffler
Canan Beyer
Dagmar Schäfer
Ivan Plath
Dr. Annekatrin Striebitz
Markus Albers
Vadim Bender B.A.
Mareen Mies B.Eng.
Remo Köhler
Ansgar Möchlichen-Höfig
Ing. Valentina Börner
Dr. Lilly Conradi B.Sc.
Klaus-Dieter Koch II B.A.
Gabriele Schmidt
Sara Rogge
Wiltrud Wilmsen-Graf
Astrid Schweitzer
Dipl.-Ing. Augusta Lachmann B.A.
Prof. Konrad Neuschäfer
Karl-Josef Barth
Angelique Kruschwitz
Rocco Trub
Geert Etzold
Prof. Marika Davids B.A.
Franz Lange
Lutz Pärtzelt
Prof. Sepp Blümel
Leni Wohlgemut-Ruppersberger
Aline Steinberg-Klingelhöfer
Univ.Prof. Markus Schottin
Alicia van der Dussen-Patberg
Niko Geißler-Wirth
Ing. Magda Jäntsch
Christiane Mentzel
Desiree Ruppert
Orhan Dörr-Salz
Brunhild Müller
Herr Jan Kobelt
Hildegunde Staude
Zdenka Weiß
Yasemin Hande
Silvia Weiß
Ivanka Rogge
Karl-Heinz Buchholz
Julia Graf
Gino Ernst
Maurizio Tschentscher
Dr. Natascha Trüb
Janusz Beckmann
Herr Dimitri Mohaupt B.A.
Sara Johann
Elisabeth Käster
Annie Harloff B.A.
Robert Weimer
Katharine Mühle
Dipl.-Ing. Patric Johann
Friedrich-Wilhelm Stahr-Henck
Univ.Prof. Erhard Heuser MBA.
Abraham Hoffmann
Dipl.-Ing. Milos Klemt
Klaus-Werner Koch II B.Sc.
Dipl.-Ing. Albrecht Metz
Niklas Trubin
Fabienne Matthäi-Heß
Dipl.-Ing. Canan Pölitz B.Eng.
Gerda Schleich
Semra Gorlitz
Franca Harloff-Döring
Alessandro Werner
Ignatz Börner
Prof. Karen Henk MBA.
Karl-August Liebelt-Köhler
Beate Johann
Karlfried Karge-Wieloch
Valeska Zimmer-Schleich
Moritz Holzapfel
Dr. Denise Girschner B.Sc.
Dr. Erkan Stroh
Hans-Gerhard Staude
Uli Wohlgemut-Stadelmann
Dr. Dagmar Hörle B.Sc.
Kay-Uwe Mühle
Anna-Marie Zorbach
Mariusz Baum
Herr Ansgar Gnatz
Jonas Adler
Bruno Hethur
Edit Siering
Ernst-Otto Heß-Hartmann
Ing. Hanns Haase B.Eng.
Albrecht Metz B.A.
Kordula Drub B.Sc.
Frank-Peter Kambs
Jennifer Trapp
Jiri Bärer
Alida Tröst
Dipl.-Ing. Dunja Hoffmann
Karen Grein Groth-Dörschner
Insa Jacobi Jäckel
Gabor Pechel-Junken
Carmen Textor-Krebs
Univ.Prof. Vesna Hering
Enver Dehmel
Abraham Adler
Dipl.-Ing. Arthur Ziegert
Aleksej Kühnert B.A.
Julia Conradi-Mentzel
Ing. Katarzyna Noack
Rebekka Lindau MBA.
Karl Ruppersberger
Univ.Prof. Ilja Hentschel MBA.
Prof. Knud Salz
Henning Fechner
Dana Ebert B.A.
Margaretha Kohl B.Sc.
Jane Reuter
Dr. Krista Jäkel B.A.
Inna Ditschlerin
Wally Fliegner
Paul-Gerhard Hein
Denis Etzold
Brita Kaul
Helen Dehmel
Ahmet Thies
Cemal Trapp
Herr Thorben Jacob
Anneliese Trub
Gerda Gröttner B.Sc.
Zdravko Müller-Fritsch
Linus Mans-Röhrdanz
Dr. Theodor Sager
Trudi Radisch
Klaus-Michael Hahn
Frau Marie-Therese Mielcarek
Malgorzata Rohleder
Univ.Prof. Halil Staude
Gerta Beer
Cilli Siering
Käthi Faust-Gorlitz
Ing. Berthold Rosenow
Miriam Haering
Frau Conny Klemt
Ulrich Schlosser
Melitta Drewes
Dr. Marie-Louise Wohlgemut B.Sc.
Karl-Georg Zahn
Hubertus Dörschner
Prof. Wolfgang Mohaupt
Alfred Rose
Elif Röhricht
Dr. Evangelia Killer B.Sc.
Dr. Annita Kallert
Serge Kade
Falk Ritter
Kristian Anders B.Sc.
Artur Schaaf
Ekaterina Liebelt
Maritta Bien
Sylvester Hamann
Dipl.-Ing. Aloys Hentschel
Georgia Bärer
Dr. Jan-Peter Martin B.Eng.
Hans-Detlef Schäfer
Annemarie Seidel
Detlef Köster
Diethelm Hofmann
Darius Gieß
Prof. Conny Klingelhöfer B.Eng.
Hasso Mans-Buchholz
Herr Imre Kohl
Dr. Franz-Peter Löffler
Stephanie Krause
Auguste Gunpf
Marieluise Kruschwitz
Mark Röhricht
Ahmad Jacobi Jäckel
Ing. Dorothe Junken
Mirja Bähr
Lidwina Sorgatz-Weihmann
Kriemhild Gude
Rosa-Maria Losekann-Schulz
Carin Mohaupt-Heser
Dipl.-Ing. Bodo Junk B.Eng.
Concetta Seifert
Liane Fechner
Ing. Melanie Hamann
Inken Gute B.Eng.
James Kostolzin-Staude
Gertrude Ullmann
Arndt Weinhold MBA.
Eleonore Kuhl-Koch
Anneliese Gnatz
Vassilios Davids
Tülay Trapp
Bernhardine Schuchhardt
Evelin Stumpf
Franz-Josef Schmidtke
James Nohlmans
Nadia Steckel
Stjepan Schmidtke
Heinz-Gerd Söding
Heinz-Günther Bohnbach
Frau Dana Röhrdanz
Meike Trupp
Emmerich Killer
Edelgard Finke B.Eng.
Reinhard Zänker
Pamela Mies B.Eng.
Dora Jockel
Ali Briemer-Klemm
Frau Lilli Möchlichen MBA.
Tobias Liebelt
Helga Hövel MBA.
Anja Meyer B.A.
Thorben Henk-Mende
Gerti Ullrich
Ismail Geisler
Susi Grein Groth-Steuer
Dajana Gehringer
Univ.Prof. Alexei Mülichen MBA.
Tibor Köhler-Schönland
Prof. Marian Gerlach
Martina Hartung
Gerwin Ortmann
Karl-Hermann Rädel-Müller
Magdalena Sauer
Luis Jacob
Marion Weihmann
Antonino Rogge-Meyer
Dr. Gaby Sontag MBA.
Ehrhard Bohnbach B.Eng.
Giuseppe Trupp
Hans-Jörg Lachmann
Peter-Michael Kostolzin
Prof. Liliana Klemm MBA.
Diane Butte-Schleich
Isolde Seifert
Louis Loos B.Eng.
Dr. Uta Gumprich
Swantje Heinz
Desiree Klotz
Fredo Kühnert-Köhler
Svea Krebs-Scheibe
Gotthard Scheuermann
Univ.Prof. Undine Jungfer
Herr Gundolf Barth
Gert Juncken
Frau Inken Zimmer B.Eng.
Zbigniew Schleich-Huhn
Riza Römer
Diedrich Lachmann-Oestrovsky
Ernst-Dieter Rörricht B.Eng.
Emilie Schmidt-Gröttner
Frau Margit Gehringer MBA.
Katalin Butte
Evi Grein Groth
Nada Dowerg-Jähn
Natalie Neureuther
Hellmut Hein-Gnatz
Gerwin Salz
Maria-Theresia Heinz B.A.
Selma Girschner B.Sc.
Annita Jähn
Murat Meister
Carina Hövel
Lorenz Schwital-Stadelmann
Frau Raissa Ruppersberger B.Eng.
Annett Anders MBA.
Univ.Prof. Siegrun Klingelhöfer MBA.
Fatma Hesse
Egbert Bender
Ing. Eugenie Birnbaum
Tülay Fiebig
Ariane Roskoth
Dr. Jonas Anders B.Sc.
Zdenka Heser
Hans-Georg Schmidt
Geraldine Gutknecht
Auguste Buchholz B.Sc.
Ilija Fischer
Ursel Eckbauer
Florence Davids
Dipl.-Ing. Lara Tlustek
Ing. Marlene Wirth B.Sc.
Willfried Werner
Dipl.-Ing. Friedrich Hiller B.Eng.
Olaf Wesack
Meinhard Schuster
Ing. Marleen Hölzenbecher MBA.
Osman Schmidtke
Inga Ruppersberger
Dipl.-Ing. Zeljko Stumpf B.A.
Anka Förster
Lilija Ruppert
Frau Chantal Ebert B.Eng.
Maurice Pieper-Loos
Herr Jörgen Kruschwitz
Dipl.-Ing. Jaroslav Henk
Marlen Wende
Paul-Gerhard Gunpf
Joanna Weinhold-Förster
Karsten Kraushaar B.A.
Dipl.-Ing. Janus Roht B.Sc.
Annegret Holt-Heuser
Mirco Girschner
Dipl.-Ing. Gerold Kusch B.Eng.
Bernhardine Pechel
Frithjof Mielcarek MBA.
Jörgen Paffrath B.Sc.
Georg Nerger
Maximilian Pohl B.A.
Freia Hofmann
Miroslawa Jessel B.Sc.
Abraham Carsten
Hans-J. Tröst MBA.
Alma Rörricht
Hans Georg Niemeier
Aribert Schulz B.Eng.
Annelise Steckel B.Sc.
Raphael Bonbach MBA.
Nuri Jopich
Frau Kirsten Geißler
Hans-Hermann Haering
Madeleine Henk
Heinz-Josef Jähn MBA.
Filippo Jäntsch
Veli Rädel
Harro Keudel
Roderich Ehlert-Henk
Herr Muzaffer Klotz B.Sc.
Thomas Weinhold B.Eng.
Kristiane Steckel
Prof. Gertraude Wohlgemut B.Eng.
Univ.Prof. Sigurd Fischer B.Eng.
Klaus Lorch-Graf
Ehrentraud Trubin
Aleksander Wagner-Barth
Brit Lindner
Gloria Schulz-Huhn
Mina auch Schlauchin
Iwan Käster
Hertha Caspar MBA.
Rose-Marie Schüler
Hermine Eberhardt
Liliane Gröttner-Albers
Gudula Niemeier
René Rose-Krebs
Ulrike Hiller
Mara Roht
Kathi Seip
Dipl.-Ing. Liliana Hartmann
Maya Lindner-Zimmer
Prof. Anna Kühnert B.Sc.
Franz Josef Flantz
Johannes Freudenberger
Hans-Bernd Zobel
Dipl.-Ing. Kristine Klapp MBA.
Univ.Prof. Reinhilde Cichorius B.A.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Dragan Trub
Katalin Thanel-Kitzmann
Melanie Scheel B.A.
Maurice Hübel
Malte Schäfer
Herr Swen Kraushaar B.A.
Juan Noack
