Student
Dr. Fedor Plath B.Sc.
Herr Mario Pergande
Heribert Kensy
Frau Änne Gunpf B.Sc.
Tim Sorgatz
Deborah Scholtz B.A.
Luzie Sager-Gierschner
Bianka Schmidt
Gino Ernst
Heinz-Otto Wende
Fredi Wilmsen
Halina Hethur
Univ.Prof. Albertine Köhler MBA.
Klaus-Dieter Meister
Adam Gertz
Daniele Heintze B.Eng.
Wenzel Drubin
Prof. Karl-Heinz Ruppersberger
Stanislav Reuter
Univ.Prof. Ladislaus Hande
Miroslawa Jäkel-Bohnbach
Bruni Meister B.Sc.
Canan Beyer
Frank-Peter Weimer
Anica Sorgatz B.Sc.
Andrei Bolander-Jäkel
Krista Bohnbach
Prof. Kata Häring
Gotthard Schuster
Angelika Roskoth
Dr. Sigfried Seip B.Eng.
Dajana Trapp-Kreusel
Bogdan Pohl
Kira Hartmann B.Sc.
Betti Zirme B.A.
Anica Tintzmann B.Eng.
Annie Harloff B.A.
Danuta Kreusel
Iwan Schleich
Hans-Jürgen Klemm
Frau Kordula Geisler MBA.
Prof. Hans-Peter Noack B.A.
Gerold Schuchhardt B.Sc.
Veronica Benthin
Amir Reuter
Carla Hecker
Fatima Eckbauer-Rosemann
Dipl.-Ing. Christel Beer B.Eng.
Roger Wagenknecht
Herr Hansjoachim Geisler
Eitel Hethur
Prof. Ludger Kohl MBA.
Jessica Kohl
Frau Aleksandra Bähr B.Eng.
Amalie Gotthard-Beckmann
Prof. Susanne Rose
Rene Rohleder
Süleyman Wende
Senol Hölzenbecher
Siegmar Keudel-Gude
Herr Muzaffer Klotz B.Sc.
Ing. Hellmuth Scholl
Univ.Prof. Karl-Otto Dowerg MBA.
Univ.Prof. Waltrud Rogner
Dr. Erdogan Eigenwillig MBA.
Prof. Urs Flantz
Dorit Zimmer-Krein
Ute Conradi-Trüb
Gunnar Hornig
Engelbert Margraf-Trommler
Ramon Salz
Concetta Wohlgemut
Dr. Ralf Hölzenbecher
Frieder Austermühle
Dipl.-Ing. Slawomir Ebert MBA.
Marianna Hofmann
Dr. Mohammed Höfig
Athanasios Jacobi Jäckel
Tony Hecker
Prof. Ullrich Rosenow B.A.
Klaus-D. Zänker-Hein
Birte Jüttner
Ing. Katarzyna Noack
Joachim Süßebier
Dipl.-Ing. Burckhard Jäntsch
Benno Gehringer-Wohlgemut
Ing. Georgia Rogner
Ing. Klaus-Dieter Karge MBA.
Slawomir Tlustek B.A.
Rosa-Maria Steckel
Karoline Römer
Dr. Ljiljana Henck MBA.
Verena Hornich
Prof. Mathilde Segebahn MBA.
Margarete Mohaupt B.Sc.
Elmar Förster
Theodoros Grein Groth
Heinz-Günter Boucsein
Raisa Stey-Sauer
Herr Thomas Baum
Andre Metz B.A.
Prof. Swen Benthin MBA.
Univ.Prof. Claus-Dieter Meister B.Eng.
Ekrem Zänker
Lilija Kensy
Dr. Michel Pruschke B.Eng.
Ekkehart Kreusel
Janusz Rädel B.Sc.
Fritz Nerger
Jann Fröhlich
Rotraut Bachmann
Lidija Trapp
Frau Krista Rädel B.Sc.
Irene Gotthard-Hoffmann
Jerzy Hermighausen-Lübs
Univ.Prof. Rotraut Juncken B.A.
Gina Stumpf
Toni Dehmel-Striebitz
Romy Zahn-Bien
Korbinian Bolander
Prof. Urs Täsche
Hans-Dieter Scholl
Franz Lange
Alfredo Oestrovsky
Tilo Hande
Jörgen Putz B.A.
Ing. Bernard Schleich B.Sc.
Lydia Losekann MBA.
Bayram Lübs B.Eng.
Gilda Scholz
Osman Salz MBA.
Alfons Klingelhöfer
Jonathan Birnbaum-Stiebitz
Iwan Wilmsen-Weihmann
Anton Gute
Herr Ignatz Boucsein MBA.
Herr Yilmaz Vollbrecht B.Eng.
Hildegart Weitzel
Gesine Graf
Gerhart Staude
Dr. Erdogan Fröhlich
Univ.Prof. Giovanna Siering MBA.
Bertha Reuter
Anselm Mühle
Ali Briemer-Klemm
Marek Adler
Ljiljana Stoll
Univ.Prof. Jaqueline Dehmel
Wolf-Dieter Rudolph-Bruder
Gernot Hornich B.A.
Mariusz Stadelmann-Jähn
Constantin Beckmann
Ing. Gregor Lindau
Marica Walter
Matteo Dehmel-Weimer
Wulf Thanel-Scheibe
Mia Ullmann
Francis Rohleder
Burkhard Fröhlich-Dussen van
Egbert Bender
Bärbel auch Schlauchin
Mariusz Adler
Dr. Krista Wirth
Frau Swantje Heinrich B.A.
Univ.Prof. Samira Drewes
Ing. Henrike Kramer
Stavros Hövel B.Eng.
Wilma Paffrath
Ahmet Stumpf
Marija Stahr
Ellen Trub
Prof. Romy Bohnbach
Muharrem Rosemann-Heidrich
Maria Hellwig
Fredy Ring
Michael Mies B.Sc.
Helmut Renner
Prof. Necati Stey B.A.
Gert Kensy B.A.
Dr. Edith Ring B.Sc.
Patricia Trubin
Frau Myriam Walter B.Sc.
Prof. Klaus Peter Bruder
Eva Wende B.Eng.
Dipl.-Ing. Salvatore Zänker MBA.
Hermann Josef Junck
Sigrun Mälzer
Resi Margraf
Isidor Niemeier
Linus Lübs
Wilhelm Klemm B.A.
Lotte Kusch
Birgitta Hettner
Ida Buchholz B.Eng.
Kay-Uwe Trapp
Dr. Lisa Stroh B.Sc.
Rolf Wirth
Dipl.-Ing. Erwin Hamann
Mercedes Rädel-Drub
Geza Weller
Korinna Spieß MBA.
Sandra Scholtz
Siegmar Dowerg
Ing. Ivo Weinhold
Martin Pechel-Freudenberger
Kunigunda Heser
Tadeusz Kruschwitz B.Sc.
Nadine Sauer
Ingbert Binner-Heidrich
Gero Gumprich B.Sc.
Jost Briemer
Kunibert Hahn-Lindau
Frau Julie Gunpf
Thomas Hänel
Anneke Nohlmans
Vera Heydrich
Cemal Trapp
Lothar Ladeck
Nadeshda Mentzel
Dr. Editha Rohleder
Danny Gumprich
Univ.Prof. Aloisia Fröhlich B.A.
Ljiljana Henk
Centa Krebs-Stadelmann
Brunhild Karge B.A.
Abram Scholz B.Sc.
Dr. Elvira Cichorius B.A.
Hans-J. Bolander
Emilie Bolander
Karlfried Franke
Edmund Junck
Lucie Gutknecht
Ronald Werner
Ing. Klaus-Michael Bolzmann
Lilli Harloff
Abbas Segebahn
Miguel Briemer
Juliana Schönland
Jochen Säuberlich
Ernst Gunpf-Naser
Dagmar Dussen van
Camilla Jäntsch
Irma Neureuther
Leonore Hettner-Staude
Herr Johann Kostolzin
Maria-Theresia Tschentscher
Frau Brit Stoll
Dr. Gerd Fechner
Milka Scholl
Julius Kraushaar
Claire Rogner-Scheel
Mattias Kensy
Ing. Marleen Hölzenbecher MBA.
Dr. Samuel Dobes B.Sc.
Milena Weitzel-Steinberg
Dr. Lea Kraushaar B.Eng.
Univ.Prof. Reginald Lorch
Univ.Prof. Ilja Hentschel MBA.
Stephanie Krause
Saban Eimer
Alena Steuer
Siegrid Paffrath
Gabor Dobes
Frau Monique Wesack B.Eng.
Stephanie Heintze
Dipl.-Ing. Robert Köhler
Willibald Holsten
Annemarie Wieloch
Margaret Kramer B.A.
Wanda Stoll B.A.
Prof. Linus Kambs B.A.
Univ.Prof. Beate Eberth
Anna-Marie Heidrich
Agnieszka Steckel
Prof. Cathrin Misicher
Annerose Eckbauer
Univ.Prof. Alexei Mülichen MBA.
Baptist Radisch MBA.
Anni Dietz-Blümel
Abraham Junken-Beckmann
Marlen Wende
Dipl.-Ing. Agatha Pruschke
Hans Kohl MBA.
Dr. Elwira Hiller
Valentin Döring
Ing. Wiltrud Sauer B.Sc.
Brita Roht MBA.
Ing. Alexander Mude
Hans-Henning Scheel
Prof. Gülay Birnbaum
Swetlana Jessel
Gottfried Hettner-Reising
Prof. Marie Plath
Nico Möchlichen
Bernfried Roht
Oxana Lübs
Jaroslaw Seip
Carin Pruschke
Bert Junck
Gino Heß
Univ.Prof. Dolores Rust
Dipl.-Ing. Geert Holsten B.Sc.
Mia Roskoth
Yasmin Reising
Guiseppe Bien
Judith Koch-Mude
Mechtild Winkler
Emanuel Scholz B.Eng.
Ing. Leni Rosenow B.Eng.
Vito Gorlitz
Maria-Theresia Scholl
Dipl.-Ing. Wilfried Ortmann
Sami Mans-Ullrich
Prof. Petar Köhler
Marlene Drubin
Marianna Geisler
Magda Berger B.A.
Walentina auch Schlauchin-Albers
Kay-Uwe Finke
Hans-J. Wohlgemut
Carola Franke
Eugenie Benthin-Ziegert
Carola Kusch
Lissy Dippel
Frau Ivanka Killer MBA.
Anja Meyer B.A.
Slobodan Seip
Univ.Prof. Tomasz Atzler B.Sc.
Belinda Reinhardt B.A.
Heide-Marie Zirme
Friedhilde Dobes
Jost Roskoth
Henriette Pohl
Isa Kramer-Matthäi
Ing. Anneli Nerger
Ramona Römer
Dr. Inna Mude MBA.
Valerie Kallert B.A.
Marten Wesack
Sylvester Zirme
Helmuth Wagner
Ing. Tilman Kitzmann
Mareike Reichmann
Lotte Kitzmann B.A.
Mikhail Bauer
Lisette Stoll B.Eng.
Jörg-Peter Klemt MBA.
Prof. Gunter Mentzel
Hellmut Nerger
Patrick Anders-Stolze
Thorben Kitzmann
Victoria Klingelhöfer
Claudius Rust-Mans
Dipl.-Ing. Alan Schacht B.Eng.
Dursun Mies
Stanislav Stey
Senta Wernecke B.Sc.
John Roskoth-Rädel
Viviane Fritsch-Martin
Eckart Cichorius
Univ.Prof. Traudel Wernecke B.A.
Ilija Hofmann
Frau Herlinde Kade B.A.
Urszula Trapp
Alida Trupp
Liesa Gröttner
Filippo Juncken
Sigmar Zobel
Nevenka Hörle MBA.
Ing. Therese Rust
Johanna Bohlander
Eugen Weitzel
Vassilios Trommler-Gieß
Ing. Käthe Plath B.Eng.
Karla Gunpf
Simon Meyer
Herr Roman Schwital MBA.
Gerolf auch Schlauchin
Brigitte Geisler
Prof. Mandy Heuser MBA.
Hermann Josef Schmiedecke
Silvio Weimer
Ehrhard Pruschke
Toni Scholl-Scholl
Erica Renner-Trapp
Trude Ruppersberger
Emilie Schmidt-Gröttner
Prof. Folker Budig
Gisela Weinhold B.Sc.
Ing. Alberto Schlosser
Waldemar Ladeck
Hubertine Krein
Jolanta Kühnert
Ing. Augustin Budig B.Eng.
Margareta Zirme
Bernhardine Schuchhardt
Friedrich Bolnbach-Gnatz
Miroslav Paffrath
Roy Schmidt B.Eng.
Ing. Konstantin Gerlach B.A.
Theodora Aumann
Rolf-Peter Reising B.Sc.
Hans-Uwe Sager
Ekkehart Niemeier
Eugenia Stey
Frau Natalija Stey
Univ.Prof. Sigurd Fischer B.Eng.
Karl-August Döhn B.A.
Jörg Speer
Egbert Jüttner
Herma Möchlichen
Jonas Beyer
Korbinian Werner
Eberhardt Mielcarek
Bernd-Dieter Kostolzin B.A.
Gerda Mans
Dipl.-Ing. Hans-Erich Klemm
Heidemarie Junitz
Ing. Alban Mohaupt
Thorsten Herrmann
Ehrhard Bohnbach B.Eng.
Viviane Jopich
Mike Sölzer
Dipl.-Ing. Giorgio Drubin B.Eng.
Dipl.-Ing. Lilly Junken MBA.
Asta Knappe
Georgine Schäfer
Ing. Ahmet Häring
Dr. Hans-Hermann Rosemann B.A.
Bruno Martin-Kaul
Ibrahim Eberth
Prof. Guenther Margraf B.Eng.
Janusz Kruschwitz B.Eng.
Riza Heydrich
Jonas Albers
Herr Burkhardt Bauer B.Eng.
Elsa Beer
Katherina Ruppert
Ulrike Ackermann B.Sc.
Univ.Prof. Walfried Hövel
Gregor Dippel
Wolfhard Ziegert
Dr. Ian Grein Groth
Annemie Herrmann
Jose Tlustek B.Sc.
Ignatz Gutknecht
Johannes Freudenberger
Ing. Marlene Wirth B.Sc.
Michaela Hecker B.Eng.
Geraldine Wagner
Ing. Agnes Zobel
Clarissa Adler
Univ.Prof. August Gunpf B.A.
Klara Blümel
Prof. Klaus-Ulrich Boucsein MBA.
Dana Ebert B.A.
Roswita Gumprich-Butte
Reinhard Rogge
Hans-Herbert Walter
Magarete Krause
Leonore Schacht
Prof. Marian Gerlach
Ulrike Gierschner-Koch II
Thomas Hentschel
Frau Dana Röhrdanz
Oxana Linke B.Eng.
Sinaida Roskoth B.A.
Michaela Sontag-Dörr
Lukas Ditschlerin
Tülay Scholtz
Joachim Rogge
Marta Roht B.Sc.
Univ.Prof. Christoph Beier B.A.
Dipl.-Ing. Margaretha Köhler B.Eng.
Kai-Uwe Oderwald
Vitus Pruschke B.A.
Dr. Karl-Hermann Gude
Janus Ring
Sibel Weller
Irmi Schacht
Prof. Natalja Käster MBA.
Gusti Wagenknecht
Theresa Schüler
Hans-Albert Wirth
Prof. Ingetraud Seidel B.Sc.
Johann Liebelt MBA.
Prof. Karen Benthin B.Eng.
Hans-Martin Kohl
Ralf-Peter Ebert
Nurettin Koch II
Wilma Matthäi
Gunhild Ullmann
Ekrem Hornich
Antonie Fischer-Margraf
Ann Werner-Wilms
Isabelle Förster-Beyer
Maja Fischer B.A.
Ismail Geisler
Lara Oderwald
Steven Weinhold B.A.
Gerd Süßebier
Felix Freudenberger
Melita Schleich
Karl-Hermann Rädel-Müller
Sergei Ritter
Anna-Lena Bloch
Hertha Butte B.Eng.
Ehrenfried Seidel MBA.
Jeannette Heuser
Zita Wieloch-Scholtz
Hilmar Graf
Milica Reichmann
Prof. Gerd Schenk
Erol Kreusel B.Sc.
Anne-Marie Stumpf
Sophie Rädel
Suse Pergande-Gröttner
Prof. Andrzej Gorlitz
Univ.Prof. Hans D. Ullrich
Sarina Dörr
Hakan Kühnert
Helma Zorbach
Julie Mentzel
Traudl Röhrdanz-Spieß
Emanuel Holsten
Klaus-D. Hövel
Ing. Gordana Bruder MBA.
Sevim Vollbrecht B.A.
Kai-Uwe Rogner
Frederike Dippel
Sibilla Mitschke-Losekann
Ing. Hanny Schlosser MBA.
Ing. Gislinde Ernst B.A.
Hans-Adolf Römer-Jäntsch
Reimund Eimer
Judith Gerlach
Oscar Nerger
Univ.Prof. Michaele Heser MBA.
Dipl.-Ing. Valeria Kühnert MBA.
Dr. Immo Kramer
Karl-Josef Barth
Nicole Hoffmann
Dr. Sigrun Schönland B.A.
Karl-Georg Dörschner
Heimo Hübel MBA.
Univ.Prof. Melita Langern
Kornelius Hornig MBA.
Pius Jopich B.Eng.
Paulina Oderwald
Ing. Justina Fiebig
Lilly Seifert
Prof. Jan-Peter Schmidt
Herr Andrej Rose
Alexandros Heintze
Helge Schuchhardt
Chantal Kramer
Elizabeth Jacob
Dipl.-Ing. Hildegunde Bachmann
Berndt Mohaupt MBA.
Gunter Beyer
Dr. Lars Klemt
Ekaterina Liebelt
Dipl.-Ing. Pero Ruppersberger B.Sc.
Beatrice Fechner
Dusan Dussen van
Univ.Prof. Marleen Kabus
Slavko Fliegner B.Sc.
Frau Kirsten Boucsein
Kornelius Winkler
Kläre Mohaupt-Salz
Frau Emilia Pruschke B.A.
Gabi Harloff
Esther Eberth-Kensy
Dr. Anastasia Gude
Adolfine Lange
Philip Fritsch
Dr. Jann Wesack B.A.
Isidor Täsche
Frieda Gröttner
Walli Baum-Kohl
Ing. Anna-Maria Stey
Slavko Schüler B.Eng.
Dr. Sükrü Hettner
Hans Dieter Kallert
Rüdiger Heinrich
Univ.Prof. Francesco Schulz B.Eng.
Stephanie Kranz B.A.
Annaliese Gute
Christian Jacobi Jäckel
Carina Hövel
Kai-Uwe Sorgatz
Mike Krein
Fredo Kühnert-Köhler
Isa Weihmann
Deborah Beier
Gotthilf Gertz
Anika Biggen MBA.
Zeljko Baum
Prof. Susanne Heidrich B.Eng.
Sigmund Hentschel MBA.
Hans Jürgen Winkler
Gunar Dobes B.Sc.
Carolin Stumpf B.Eng.
Nikolai Stiebitz
Univ.Prof. Simona Holzapfel MBA.
Fridolin Paffrath-Geisler
Univ.Prof. Harro Weller
Mina Segebahn B.A.
Heinz-Willi Geisel
Martina Hartung
Recep Röhricht B.Sc.
Frau Kunigunda Schaaf B.A.
Tanja Plath
Anto Niemeier
Dr. Elfie Tintzmann
Annamaria Hänel-Zimmer
Univ.Prof. Fatima Hölzenbecher
Irmgard Weinhage-Wieloch
Alexei Meister
Rahel Heidrich-Jüttner
Dipl.-Ing. Baldur Oderwald B.Sc.
Univ.Prof. Zofia Rust
Leonardo Birnbaum
Senta Ruppersberger
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Dr. Marliese Junck B.Sc.
Lili Kaul
Leopold Jungfer
Ingelore Kobelt MBA.
Dr. Miguel Jungfer
Maximilian Hellwig
Alexander Hörle
Kreszentia Bloch-Steckel
Hagen Girschner
Univ.Prof. Fatima Hiller B.A.
Ingbert Hartung
Hans-Detlef Bender
Ronald Stiebitz
Hilmar Faust
Wolf-Dieter Schmiedt
Olaf Wesack
Maurice Hübel
Dr. Bernfried Schomber
Heino Zahn-Bähr
Anny Wähner
Nicole Scheibe
Friedrich-Wilhelm Roht-Wiek
Margot Ullmann
Bernt Huhn
Betti Adolph
Annita Jähn
Frau Helena Nette
Prof. Knud Atzler B.Sc.
Hedy Kobelt
Ing. Hulda Schaaf
Jakob Seifert
Gitte Briemer
Dipl.-Ing. Jaroslav Henk
Annegrete Jüttner
Ernest Stahr
Joachim Kramer
Miroslaw Holt
Barbara Kambs
Henryk Henk
Reimund Bohlander
Inken Gorlitz
Katalin Thanel-Kitzmann
Emma Briemer B.Eng.
Raymond Löchel-Ziegert
Ilonka Kohl
Martine Conradi
Rolf-Dieter Preiß
Czeslaw Fiebig
Reiner Conradi
Karl-Heinrich Karz
Jens-Peter Bolzmann
Sophie Pruschke
Rudolf Weihmann
Hans-Albert Preiß-Scheel
Gina Stolze
Uschi Keudel
Cäcilie Roht-Misicher
Heinz-Wilhelm Kuhl
Dr. Theodor Sager
Denny Pechel
Univ.Prof. Halil Staude
Prof. Oswald Ehlert MBA.
Eckehard Wernecke
Klothilde Zänker
Juergen Beier B.A.
Herr Leonid Fröhlich B.Eng.
Stefano Koch B.Eng.
Svenja Langern
Albina Heinz
Margita Schleich-Becker
Reni Roht-Binner
Abdul Ullmann
Niko Butte-Rosenow
Freia Hofmann
Univ.Prof. Belinda Henck
Marcel Schlosser
Dr. Harald Ritter
Heiner Pieper
Dipl.-Ing. Sedat Sontag
Kirstin Kusch-Meister
Univ.Prof. Resi Knappe
Giesela Börner B.Eng.
Dr. Meral Thies B.Sc.
Janus Jessel-Hermann
Ing. Peter Trubin B.Sc.
Dipl.-Ing. Leokadia Junk
Dipl.-Ing. Margarita Stey
Ortrun Krebs
Dr. Ruth Dobes
Irmtraud Ladeck
Herr Jonathan Hänel MBA.
Cemil Schweitzer
Siegbert Hartmann B.A.
Anneli Wernecke
Ing. Pavel Weller B.Eng.
Sebastian Karge
Regina Wende
Dipl.-Ing. Hanns Nette
Kirstin Boucsein B.Eng.
Slavko Weitzel B.Sc.
Notburga Pechel B.Eng.
Eckhard Weitzel
Friedhelm Schleich
Dr. Paulina Textor B.A.
Gunter Misicher
Orhan Hecker-Heuser
Herr Karlheinz Mans
Dörte Nette
Gerwin Ortmann
Salvatore Eberhardt-Ring
Reni auch Schlauchin
Albrecht Seifert B.Sc.
Carsten Hartmann
Annett Mies-Hellwig
Serge Kraus B.Eng.
Annett Anders MBA.
Cornelius Scheuermann
Roswita Hofmann MBA.
Helga Salz
Dr. Caroline Ortmann
Ing. Henning Drub
Univ.Prof. Karen Etzold B.A.
Ing. Valentine Scheibe
Ing. Eva Kitzmann B.A.
Tomasz Bolnbach
Ing. Carmen Birnbaum
Univ.Prof. Mira Heser B.Sc.
Ingetraud Caspar
Ing. Iwan Wagner
Herrmann Holt-Lindner
Ing. Gerold Gotthard
Univ.Prof. Heinz-Werner Renner B.A.
Heinz-Günther Mosemann
Ing. August Hellwig B.Eng.
Lieschen Rörricht
Gerwin Textor
Jörg-Peter Jüttner-Winkler
Elizabeth Budig
Gisa Hornig-Geißler
Herr Gerhardt Benthin
Ing. Heinz-Josef Hoffmann
Prof. Johan van der Dussen
Ing. Felicia Dörschner B.Sc.
Dipl.-Ing. Gabi Scholtz
Prof. Heinz-Josef Radisch B.A.
Prof. Nikolai Gunpf
Trudel Wagner
Hans-Bernd Eimer-Pechel
Ing. Rosina Kabus MBA.
Philippe Geisler
Traugott Ruppert
Angelique Adler
Ing. Sibel Mies
Otmar Misicher
Dr. Helma Kohl B.A.
Torben Roskoth-Wilmsen
Dr. Burkard Bolzmann B.A.
Marion Weinhold-Pechel
Sebastian Stiffel B.A.
Siglinde Kambs-Geißler
Isidor Heinrich
Herr Ilja Kroker
Arno Mude
Andre Stroh
Prof. Alexei Krebs
Univ.Prof. Philip Kranz B.Sc.
Mattias Wieloch
Tina van der Dussen
Dr. Friedhilde Adler MBA.
Jonathan Mohaupt
Ryszard Süßebier-Neureuther
Univ.Prof. Liliana Niemeier B.Eng.
Ing. Gertraude Holsten B.Sc.
Stjepan Wesack-Winkler
Adam Hölzenbecher-Hettner
Dr. Natascha Schmidtke B.Eng.
Dr. Otto Schmidtke MBA.
Dipl.-Ing. Jörgen Rose B.Eng.
Sven Walter
Ing. Galina Hahn
Siegbert Kranz
Frau Etta Wesack MBA.
Herr Franz Geisler B.A.
Ing. Leszek Gutknecht B.Sc.
Fabienne Birnbaum
Liesbeth Koch II
Luciano Tintzmann
Rosalia Johann
Erkan Kuhl-Oestrovsky
Sandy Haering
Lore Tröst
Angela Weimer B.A.
Rosina Ortmann
Maike Bolnbach
Carina Kusch
Timo Spieß
Frau Angelina Martin
Friedo Meister-Klemm
Elise Trupp
Gabriele Schmidt
Kay-Uwe Bruder MBA.
Lukas Gierschner
Alina Hoffmann
Magnus Heidrich
Käthe Briemer MBA.
Gerlinde Albers-Hörle
Hilde Lübs
Ing. Eckart Becker B.Sc.
Sina Mende
Univ.Prof. Betty Conradi B.A.
Ludmila Karge B.A.
Janine Söding
Annelise Steckel B.Sc.
Dipl.-Ing. Hardy Kohl
Gerda Gröttner B.Sc.
Frau Therese Henk B.A.
Belinda Huhn
Anna-Marie Ullrich
Lars Walter
Lorenz Hande-Hamann
Nils Hermighausen
Raymond Misicher
Carina Bruder
Dipl.-Ing. Arthur Ziegert
Emmy Trub MBA.
Dipl.-Ing. Kevin Stadelmann
Dr. Steven Wohlgemut
Janina Faust MBA.
Tilman Eberhardt
Univ.Prof. Suse Lachmann B.Sc.
Herr Bruno Kreusel
Jörn Hörle B.Sc.
Gert Seifert
Albert Butte
Joana Wähner
Prof. Edgar Roht
Anneliese Gnatz
Daniel Zänker
Anton Drubin
Henner Schmidt
Sigurd Lange-Seifert
Miroslawa Jessel B.Sc.
Hansgeorg Beier-Freudenberger
Wibke Tschentscher-Wulf
Justus Schüler MBA.
Wilfriede Blümel
Univ.Prof. Sergio Kreusel MBA.
Ing. Nils Pergande B.A.
Berndt Bähr
Gertraude Tintzmann
Elke Scholl MBA.
Marcus Langern
James Kostolzin-Staude
Dr. Wencke Junken B.Eng.
Kriemhild Gude
Irmtrud Bolzmann
Herr Anton Mohaupt B.A.
Dana Schäfer
Romuald Kambs MBA.
Ing. Emanuel Tintzmann
Ahmad Jacobi Jäckel
Ottomar Kraus
Hüseyin Hethur
Almuth Pieper
Uwe Schwital MBA.
Dipl.-Ing. Zeljko Stumpf B.A.
Vadim Bender B.A.
Elma Heser
Prof. Horst Mälzer B.Sc.
Herr Ronald Reising B.Sc.
Ada Heser B.Sc.
Dr. Guntram Kusch
Frau Josefa Henschel B.A.
Gunda Ditschlerin B.A.
Jennifer Trapp
Dipl.-Ing. Lara Tlustek
Yvette Schinke
Hanne-Lore Johann
Gertraud Mende
Irene Stumpf
Ann Stumpf
Herr Hans-Martin Heuser
Raymond Speer
Abraham Carsten
Adrian Trupp
Karl-Ludwig Hoffmann
Krzysztof Mülichen
Prof. Dirk Biggen B.Eng.
Hans-Christian Trüb
Prof. Aribert Eberhardt B.Sc.
Aleksander Drub
Marta Herrmann
Janet Johann B.A.
Irmtraud Hauffer-Matthäi
Magret Oderwald
Hasso Mans-Buchholz
Kira Tschentscher MBA.
Dierk Beier
Birger Becker
Antonina Pärtzelt-Gerlach
Univ.Prof. Oscar Lindau MBA.
Gisa Mohaupt
Marie-Louise Hauffer
Franz Josef Nette-Werner
Dorothee Blümel
Verena Höfig
Guenther Metz
Erwin Weimer-Bohlander
Sieghard Kensy
Gabi Gertz
Ismail Steinberg
Fedor Roskoth B.A.
Charles Heinz
Dr. Silvester Krein B.Sc.
