Student
Aribert Putz
Nico Ehlert-Ackermann
Cilli Siering
Svenja Salz
Dipl.-Ing. Ingbert Krebs B.Eng.
Prof. Alida Mangold MBA.
Gaby Noack
Stjepan Hofmann-Hethur
Frau Waltraud Weitzel B.A.
Gabor Dobes
Dipl.-Ing. Babette Bauer B.Sc.
Cord Haase
Anett Wieloch
Egbert Jüttner
Siegrun Christoph
Christos Gumprich
Arnulf Süßebier
Alena Hänel
Marten Möchlichen
Sina Wulff-Dussen van
Marvin Gröttner MBA.
Ing. Nils Pergande B.A.
Univ.Prof. Giovanna Siering MBA.
Sükrü Fiebig
Leonardo Trub B.A.
Reinhart Winkler B.Eng.
Annie Hänel
Stilla Dobes
Maike Bolnbach
Valeri Tschentscher
Mareike Wilmsen
Dr. Janett Schottin B.Eng.
Wencke Salz
Antonietta Kostolzin
Nancy Eckbauer
Elif Wohlgemut
Jeannine Gieß
Carl-Heinz Kraus
Jens Löchel
Gilda Scholz
Esther Ehlert
Heinz-Günter Weimer B.Sc.
Celal Scheel B.A.
Josefa Hauffer
Jenny Scholtz
Elisabet Preiß-Thanel
Eckhard Sölzer
Geza Weller
Hassan Sager
Hildegard Roht B.Sc.
Jerzy Hermighausen-Lübs
Boris Stumpf
Elizabeth Stahr
Timm Wende
Anneli Heintze
Silvester Etzold
Dipl.-Ing. Helma Heuser B.Sc.
Aleksander Drub
Ljubica Wohlgemut-Schmidt
Otmar Misicher
Mehdi Niemeier-Noack
Mirja Dehmel B.A.
Marion Wohlgemut B.A.
Agnes Tröst
Dr. Irmgard Plath B.A.
Alban Butte
Ernest Tlustek
Lorenz Schwital-Stadelmann
Heimo Knappe
Silvester Fischer
Wolf-Rüdiger Börner
Dr. Gerti Scheel
Lena Ernst-Schenk
Sigmund Kensy
Univ.Prof. Maria-Luise Trüb B.Sc.
Malte Bohlander
Senta Schmiedecke
Fedor Roskoth B.A.
Ayse Thies B.Eng.
Anna-Marie Ullrich
Frau Maria Jopich
Evangelia Röhricht
Alfredo Bolzmann B.A.
Lilija Kensy
Constantin Ziegert
Ing. André Christoph
Mercedes Blümel
Helge Wilmsen-Hein
Cindy Meyer
Kerstin Eigenwillig B.Eng.
Heinz-Günter Schuster
Ing. Hans-Wolfgang Weitzel B.Sc.
Dr. Muzaffer Sauer B.Eng.
Frau Aleksandra Bähr B.Eng.
Dolores auch Schlauchin
Dipl.-Ing. Gabriel Roskoth
Ing. Leander Weimer B.Eng.
Sofie Reichmann
Dipl.-Ing. Mariola Lange B.Sc.
Janusz Beckmann
Univ.Prof. Jaqueline Dehmel
Eleonora Gehringer
Dietrich Kruschwitz
Dipl.-Ing. Hülya Nerger
Dipl.-Ing. Mara Otto B.Sc.
Prof. Vesna Scholz
Burkhardt Holt
Annie Langern
Toni Schottin B.A.
Fernando Dobes
Rose-Marie Schüler
Ing. Augustin Budig B.Eng.
Hans Georg Gorlitz-Schäfer
Mario Bärer
Ing. Gabriella Bähr
Dipl.-Ing. Wilfried Ortmann
Carl Mühle-Wulf
Gotthard Löwer
Anna Hartmann
Kay-Uwe Ziegert
Prof. Catherine Knappe MBA.
Ing. Alexander Mude
Univ.Prof. Alberto Steuer
Gerold Jacob
Madeleine Henk
Hildegard Schlosser-Jacobi Jäckel
Catrin Ziegert-Meyer
Univ.Prof. Anatoli Ritter
Imre Mülichen
Ortrun Pohl B.Eng.
Karl Ruppersberger
Jelena Meyer MBA.
Dipl.-Ing. Igor Henck B.A.
Anton Drubin
Zehra Conradi-Heinrich
Dipl.-Ing. Christoph Jockel B.Sc.
Sergej Dippel
Sibilla Eimer
Michel Hermighausen
Senta Wernecke B.Sc.
Frau Franziska Trupp B.Sc.
Hans D. Haering
Dietrich Adolph MBA.
Herr Roman Schwital MBA.
Sinaida Heinz-Gnatz
Prof. Fredy Hahn
Rupert Kallert
Klaus-D. Sölzer
Marita Henk
Anneli Neuschäfer
Prof. Jörgen Gieß B.Eng.
Ing. Meik Eberhardt B.A.
Ing. Hans Jürgen Häring
Leo Roskoth B.Sc.
Univ.Prof. Erhard Heuser MBA.
Univ.Prof. Amalia Köhler
Frank-Michael Löwer-Ring
Ibrahim Eberth
Dorit Dowerg
Daria Jopich
Wiltrud Jäkel
Ing. Wolf-Rüdiger Herrmann B.Sc.
Clara Rust
Emma Hornich-Kraushaar
Bernd-Dieter Kostolzin B.A.
Frau Mareile Birnbaum
Diedrich Lachmann-Oestrovsky
Ana Heinz B.A.
Kathi Hering
Ing. Lisette Kaul B.A.
Sonia Säuberlich-Langern
Silke Scheuermann B.Sc.
Leonardo Lehmann
Annelene Möchlichen-Weiß
Larissa Ullmann
Ing. Wolf-Rüdiger Weihmann B.Eng.
Univ.Prof. Athanasios Drub B.Sc.
Frau Dora Rosemann B.A.
Univ.Prof. Natalie Noack MBA.
Freia Hofmann
Hanne-Lore Johann
Gudrun Geisler
Klaus-D. Zirme-Bachmann
Dr. Laila Peukert
Ing. Gislinde Ernst B.A.
Jörg-Peter Speer
Helena Franke
Silvia Eberth
Josephine Rogge
Eckehard Wernecke
Orhan Mude
Prof. Walter Pechel
Maik Schottin
Heribert Römer-Lindau
Fredy Ring
Dr. Otto Schmidtke MBA.
Falk Wagenknecht B.Eng.
Veronique Eimer
José Gröttner B.Sc.
Reinhold Schönland
Prof. Helmut Hellwig MBA.
Siegried Otto
Brunhild Karge B.A.
Dagobert Rogge
Karl-Wilhelm Geisel
Samir Wähner-Butte
Constanze Fechner-Dörr
Michaela Loos-Mentzel
Willy Reichmann
Irmgard Pieper B.Eng.
Dr. Hildegund Söding B.A.
Dr. Auguste Sager
Edda Jungfer
Prof. Irmela Hellwig B.Sc.
Dipl.-Ing. Berend Niemeier
Edeltraut Klemt
Marianne Ernst-Zirme
Elwira Wirth
Adem Schleich
Johann Oestrovsky
Gilda Tintzmann
Edmund Scholtz B.Sc.
Ing. Zoltan Dobes B.A.
Ronald Rädel
Zeljko Gieß
Norman Ditschlerin MBA.
Franziska Wernecke
Univ.Prof. Johan Lange
Bogdan Steckel B.Eng.
Frau Annegrete Junk B.A.
Hans Jürgen Grein Groth-Rudolph
Irmengard Eckbauer
Franca Harloff-Döring
Arndt Bachmann B.Eng.
Xenia Christoph
Dr. Wilfriede Reuter
Daniele Pieper-Käster
Alla Rohleder
Lili Heydrich-Beyer
Maxim Wilms-Meister
Toni Scholl-Scholl
Oscar Reinhardt B.A.
Dipl.-Ing. Hardy Kohl
Jurij Zahn B.Sc.
Tanja Renner B.Sc.
Prof. Apollonia Gerlach B.Sc.
Gusti Schleich
Semra Fiebig
Ing. Marga Lehmann MBA.
Dursun Mies
Hüseyin Wulf-Schmidt
Reinhard Christoph
Ilhan Hoffmann-Karz
Robert Herrmann
Till Bolander
Detlef Köster
Siegrid Schmiedt
Gitta Römer
Dipl.-Ing. Danuta Stumpf B.Eng.
Harri Heuser
Univ.Prof. Alexei Mülichen MBA.
Gabor Pechel-Junken
Frau Patricia Gorlitz B.A.
Prof. Volker Hermann
Ing. Gerlinde Junken
Ralph Rogge
Annelene Zänker
Gunda Ditschlerin B.A.
Senol Harloff-Lindau
Rosa Hübel
Simon Meyer
Albrecht Seifert B.Sc.
Prof. Sepp Blümel
Marie Henk B.Sc.
Ulrike Schleich-Süßebier
Hans-Ulrich Liebelt-Hauffer
Univ.Prof. Reginald Lorch
Thorben Kitzmann
Ismail Geisler
Sandy Fechner
Kornelia Bachmann
Enrico Kobelt-Klemt
Heinz-Wilhelm Steuer-Mende
Gerolf Radisch
Dierk Gunpf B.A.
Carmine Hauffer
Hans-Friedrich Ruppert-Ullrich
Ing. Roy Dippel B.A.
Katalin Thanel-Kitzmann
Univ.Prof. Fatima Hölzenbecher
Jochem Röhrdanz
Karl-Ernst Reuter
Ing. Gundolf Steinberg B.Sc.
Maria Hellwig
Enrico Reising MBA.
Dipl.-Ing. Erwin Hamann
Dr. Guntram Kusch
Jochem Hermighausen
Giesela Dowerg
Alessandro Henk-Käster
Calogero Hoffmann B.Eng.
Ing. Vitali Hentschel MBA.
Falko Kusch B.A.
Anika Holsten
Univ.Prof. Hugo Martin
Edit Rädel
Hiltraud Köster MBA.
Hanns Stiffel
Teresa Jessel
Hans-Bernd Zobel
Birger Klapp
Heide Schottin
Waltraut Gehringer
Dipl.-Ing. Eckhard Kallert B.Sc.
Herr Tom Täsche
Univ.Prof. Frederike Heintze
Univ.Prof. Helmut Junitz B.Eng.
Alwin Scholl
Traudel Loos
Evelin Wagenknecht-Döhn
Bekir Cichorius-Döring
Ellen Trub
Gusti Vollbrecht
Carlo Martin B.Eng.
Kai-Uwe Rogner
Ing. Konstanze Schmidtke MBA.
Nadine Schleich
Irmtraut Mülichen B.A.
Rosa-Maria Steckel
Univ.Prof. Franz-Josef Holt
Angela Weimer
Dipl.-Ing. Gottfried Scholtz
Czeslaw Fiebig
Peer Jähn
Niko Butte-Rosenow
Dr. Annekatrin Striebitz
Cläre Mohaupt
Walter Pruschke
Annika Lindner
Dipl.-Ing. Walburga Steckel
Marcel Hermighausen
Prof. Trude Schäfer MBA.
Anton Gute
Ing. Nelli Hornig
Dagmar Schinke B.Sc.
Frauke Staude
Katerina Hauffer
Mona Söding
Philippe Geisler
Mirco Girschner
Gundula Klotz
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Herr Mario Pergande
Lilo Hartung
Amanda Heinz
Arnulf Ullmann
Ekaterina Wieloch
Liesel Klapp
Dr. Friedhilde Adler MBA.
Univ.Prof. Gottlieb Steuer B.A.
Gottfried Martin-Martin
Ing. Josip Ruppert
Univ.Prof. Fredi Hölzenbecher
Univ.Prof. Heidrun Hiller
Mareen Mans
Harold Bohlander B.Sc.
Dipl.-Ing. Korinna Pärtzelt
Dipl.-Ing. Rigo van der Dussen B.Eng.
Sofia Austermühle
Alwine Linke
Dr. Anastasia Gude
Kata Gierschner
Luka Zorbach
Lilli Atzler
Dipl.-Ing. Till Säuberlich
Cornelia Radisch
Ronald Stiebitz
Nikolai Mohaupt
Ekkehart Grein Groth
Monika Haering
Hertha Caspar MBA.
Hanne-Lore Berger
Dr. Gerd Fechner
Ioannis Klemt
Hans-Hinrich Trub
Elena Fiebig
Katerina Drubin
Univ.Prof. Fatima Faust B.A.
Herr Gotthard Wilms
Melanie Segebahn
Prof. Marian Gerlach
Sandor Ritter
Dipl.-Ing. Mariana Mohaupt B.Sc.
Mohamed Schottin
Dr. Rita Kallert
Leokadia Finke-Dippel
Alexej Röhrdanz
Regina Barkholz
Agathe Jäntsch-Käster
Elias Hethur
Mandy Loos
Ing. Marlene Wirth B.Sc.
Ing. Erwin Kobelt B.A.
Herr Karl-Heinrich Eberth B.Sc.
Friedrich-Karl Jopich B.Eng.
Tadeusz Kruschwitz B.Sc.
Dipl.-Ing. Kevin Stadelmann
Bartholomäus Trapp
Univ.Prof. Undine Jungfer
Corinna Täsche B.A.
Adelgunde Wagenknecht
André Kroker
Univ.Prof. Meta Rädel
Christiane Wirth B.Eng.
Dr. Rotraud Gorlitz
Gloria Lachmann MBA.
Agathe Söding
Hedi Bärer
Prof. Ivonne Boucsein B.Eng.
Geraldine Wagner
Rabea Weiß MBA.
Erkan Kuhl-Oestrovsky
Augustin Carsten
Prof. Katalin Heinrich
Tomasz Niemeier
Benita Neuschäfer
Hasso Renner
Dipl.-Ing. Jiri Walter
Frauke Stadelmann
Magnus Heidrich
Hans Jörg Koch
Serge Grein Groth
Wibke Pärtzelt-Wieloch
Ehrentraud Meyer MBA.
Prof. Vadim Rogner
Kay-Uwe Mühle
Ilja Kitzmann B.A.
Jane Patberg
Anett Bien-Schuster
Adrian Killer
Daniele Finke
Alma Eimer-Seip
Dipl.-Ing. Gunar Kuhl
Stilla Köhler
Frau Danica Davids B.A.
Dipl.-Ing. Kristine Klapp MBA.
Zlatko Briemer-Karge
Prof. Johan van der Dussen
Univ.Prof. Canan Zorbach B.Sc.
Heribert Ring B.A.
Ing. Ramazan Kabus B.Eng.
Carsten Wieloch-Kranz
Hagen Weimer
Sigmar Zobel
Agata Hertrampf
Greta Hermighausen
Ludmila Karge B.A.
Ignaz Löwer
Frau Hedwig Wirth
Ing. Torsten Hartung B.Eng.
Frank-Michael Klemt
Irmgard Weinhage-Wieloch
Anton Stey
Zeljko Baum
Irmtraut Wende
Univ.Prof. Traudel Wernecke B.A.
Gunter Schenk B.Sc.
Dipl.-Ing. Sebastiano Käster B.Eng.
Hanife Täsche-Stiffel
Silvia Weiß
Prof. Concetta Mies B.Eng.
Niko Geißler-Wirth
Marvin Kade-Ladeck
Friedrich-Wilhelm Holsten
Patrizia Wirth
Ignatz Wähner-Hänel
Prof. Knud Atzler B.Sc.
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Oxana Ortmann MBA.
Univ.Prof. Undine Junken MBA.
Jann Fröhlich
Waltrud Jacob
Baldur Käster B.A.
Prof. Hannah Hölzenbecher MBA.
Lilli Harloff
Drago Täsche
Anica Sorgatz B.Sc.
Elzbieta Hartung
Aleksej Fröhlich
Beatrice Bender
Ljudmila Nerger
Dr. Lidwina Oestrovsky
Gerwin Rust MBA.
Regina Hamann B.Sc.
Hans-Günther Kohl B.Eng.
Emil Preiß-Hecker
Ewald Kreusel
Irmi Zobel
Wilfried Radisch
Heinz Krebs B.Eng.
Dr. Oswin Junken
Ing. Utz Klemt B.A.
Sergej Hauffer MBA.
Marica Walter
Gudula Holzapfel
Verena Höfig
Francoise Freudenberger-Stey
Josefa Junk
Anni Hänel B.Eng.
Michail Pechel
Elisabeth Roskoth
Danielle Drubin
Tibor Briemer
Dr. Annelies Stumpf
Markus Eimer
Ing. Hanna Killer
Vesna Döhn
Kristin Kaul B.Sc.
Karl-Peter Heser
Prof. Urs Salz
Univ.Prof. Lydia Langern
Stanislav Löffler MBA.
Ada Kreusel
Edmund Caspar B.Sc.
Univ.Prof. Heinrich Reinhardt MBA.
Enrico Hellwig
Janet Ullrich
René Matthäi
Univ.Prof. Horst Scholtz
Ahmet Eckbauer-Sölzer
Miriam Haering
Univ.Prof. Walter Barkholz
Dajana Trapp-Kreusel
Magdalena Tintzmann B.Sc.
Dr. Nadeschda Wulf
Gino Hövel B.Sc.
Frau Mirjana Baum B.Sc.
Valeria Bonbach
Marit Eberth
Andres Sager
Liliana Zorbach MBA.
Amalia Hermann-Schäfer
Ing. Romuald Kreusel B.A.
Melissa Stey
Cecilia Gertz
Miguel Briemer
Sarina Dörr
Ing. Wolf-Rüdiger Dietz B.Sc.
Herr Bruno Kreusel
Viviane Jopich
Mary Hofmann B.A.
Bertram Segebahn
Heiner Ruppersberger-Hentschel
Tabea Rogge
Klaudia Vollbrecht B.A.
Frau Katarina Bolander B.Sc.
Notburga Weller MBA.
Julian Schuchhardt-Dippel
Thomas Weinhold B.Eng.
Faruk Meister
Irina Seip-Bolnbach
Dipl.-Ing. Edda Barth MBA.
Frank-Peter Bien
Volkhard Köster-Jüttner
Ing. Nicolai Textor B.A.
Wolf Stadelmann
Ivanka Rogge
Jonas Hendriks
Frau Linda Weiß B.Eng.
Ing. Swen Ehlert
Prof. Marten Söding B.A.
Michael Mies B.Sc.
Irmela Höfig B.Sc.
Dipl.-Ing. Reimer Werner MBA.
Anne-Rose Klemm
Univ.Prof. Gretchen Sontag B.A.
Dennis Beer-Striebitz
Gunhild Kroker
Tülay Fiebig
Prof. Ildiko Adler MBA.
Ing. Carolin Matthäi
Ing. Rolf Gertz
Kai-Uwe Oderwald
Hansgeorg Beier-Freudenberger
Helge Schuchhardt
Lucia Hermighausen
Rosa-Maria Seifert
Karl-Heinrich Kraus B.A.
Elke Haase
Dipl.-Ing. Arthur Ziegert
Cemal Trapp
Annekatrin Trupp
Isa Weihmann
Nuray Aumann
Cindy Tschentscher
Hans-Jochen Mude
Nora Klapp-Finke
Hermann Josef Schmiedecke
Hansgeorg Hettner
Klaus-Dieter Wende
Friedbert Sorgatz
Tomas Tlustek
Cord Tröst
Hans Josef Lachmann
Jose Tlustek B.Sc.
Frau Marie-Therese Mielcarek
Paolo Hentschel-Zobel
Rosita Budig
Nina Putz-Ritter
Rosa-Maria Losekann-Schulz
Lena Holzapfel
Ben Täsche
Inge Dietz B.A.
Dipl.-Ing. Hannelore Kostolzin
Melitta Salz
Jonas Christoph B.Eng.
Canan Berger-Hellwig
Frank-Peter Haase
Sigmund Hentschel MBA.
Ole Losekann
Leopold Weller-Zobel
Walfried Wohlgemut B.Eng.
Elma Junken
Marian Hande
Baldur Metz
Irmi Gute
Frau Änne Gunpf B.Sc.
Nada Butte
Frau Angelina Martin
Karsten Schwital
Adriane Gröttner
Hans-Joachim Häring
Hedy Kobelt
Dipl.-Ing. Betty Niemeier MBA.
Traudl Christoph
Franca Börner
Marie-Therese Birnbaum
Irmi Döhn
Bruno Martin-Kaul
Siegbert Schweitzer
Slawomir Drub-Gute
Bernhardine Ruppersberger
Ulrike Klemt B.Sc.
Helmar Klapp
Ing. Nuran Schaaf
Blanka Ladeck
Albert Hartmann-Lachmann
Hildegunde Staude
Iwan Butte B.Sc.
Michel Kuhl
Thorben Rosenow
Sevim Junitz
Urs Bähr
Univ.Prof. Herta Zänker
Lars Eckbauer-Möchlichen
Irma Neureuther
Isidor Täsche
Ullrich Preiß
Leander Dobes-Schlosser
Martine Trupp
Jeanette Speer
Elenore Renner
Univ.Prof. Heinz-Werner Renner B.A.
Leif Wulff
Sigrid Jockel
Frau Swantje Heinrich B.A.
Gretel Stroh
Albert Butte
Horst-Peter Löchel
Antonios Schönland
Katy Täsche
Gabriel Süßebier-Eigenwillig
Freia Hamann-Eckbauer
Wilfriede Ziegert
Edit Dowerg
Dipl.-Ing. Annemarie Trommler B.Sc.
Friedericke Ring MBA.
Lieschen Röhrdanz
Hanns Ehlert MBA.
Hartwig Keudel B.Eng.
Frau Nadeshda Ruppert
Mira Sontag
Ingbert Hartung
Ottilie Trüb
Dipl.-Ing. Ante Rust
Dr. Carsten Steinberg
Ryszard Lorch
Dr. Robert Neuschäfer
Otmar Schmidtke
Angelika Roskoth
Sylvie Neuschäfer
Anna-Luise Segebahn
Willfried Kostolzin
Frau Monique Löchel
Patric Stahr-Ebert
Bayram Hering
Guido Wagenknecht-Kallert
Prof. Sylvester Bender
Bruno Hethur
Dimitrios Kraushaar-Adolph
Veronique Löwer
Guiseppe Kranz
Eckehard Mude
Gilbert Steuer-Rosemann
Deborah Etzler
Anna-Marie Heidrich
Tilman Hövel
Prof. Felicitas Dörschner
Senta Renner
Olav Margraf
Univ.Prof. Gesa Loos
Theo Trubin
Univ.Prof. Anna-Luise Faust
Gilbert Schottin
Osman Salz MBA.
Philip Mangold
Alan Stadelmann-Lindner
Univ.Prof. Etta Bohnbach
Frau Belinda Plath B.A.
Paola Kroker-Klotz
Benita Juncken
Cordula Mangold
Julia Ruppersberger
Imke Austermühle-Löwer
Detlev Wilmsen
Dipl.-Ing. Sigrun Bärer
Andreas Gunpf
Univ.Prof. Pauline Klemt
Magdalene Fröhlich
Isabell Briemer
Annita Jähn
Margarete Mohaupt B.Sc.
Maurice Möchlichen
Dr. Uta Gumprich
Marzena Neuschäfer
Michel Heß
Bernd Binner-Hornich
Gilbert Peukert B.Eng.
Mattias Kruschwitz
Frau Alwina Bohnbach B.Eng.
Univ.Prof. Gislinde Rohleder
Prof. Berend Käster B.A.
Sibylle Löchel
Carina Bruder
Ante Gunpf
Ingrid Eigenwillig
Ing. Leszek Gutknecht B.Sc.
Hansjürgen Faust
Brunhild Müller
Irmtraud Freudenberger
Ernst-Otto Heß-Hartmann
Trude Ruppersberger
Elise Trupp
Karsten Kraushaar B.A.
Gilda Rohleder
Lucie Gutknecht
Frau Anja Haering
Arne Ziegert B.Sc.
Ing. Rosina Kabus MBA.
Ingo Heinz
Willy Kallert
Miroslav Paffrath
Eva-Maria Mies MBA.
Hulda Junk
Ing. Dierk Striebitz
Hellmut Siering
Erhardt Heidrich
Karla Gunpf
Dipl.-Ing. Lilly Boucsein B.Sc.
Emanuel Holsten
Herma Bender-Scholtz
Darius Kallert
Oscar Fritsch
Achim Etzold MBA.
Mechthilde Lindau B.A.
Toralf Jessel
Annemie Herrmann
Gino Häring
Inge Paffrath
Kristian Albers
Danny Mälzer
Frau Ingelore Gertz
Dr. Miguel Jungfer
Dipl.-Ing. Claudia Häring
Prof. Gundula Dörr B.Sc.
Ing. Jaqueline Wende B.A.
Alfons Schleich B.A.
Ulrike Hiller
H.-Dieter Gerlach
Lissy Dippel
Claudio Freudenberger
Virginia Textor
Gunda Warmer
Leonore Hettner-Staude
Lars Walter
Hansjörg Müller B.Sc.
Dr. Jochen Schäfer
Frau Almut Kuhl
Ing. Cord Hermighausen B.Eng.
Hans-Herbert Eckbauer
Dr. Heide Jockel B.Sc.
Janusz Rädel B.Sc.
Prof. Beatrice Misicher
Johannes Freudenberger
Friedo Meister-Klemm
Dipl.-Ing. Rouven Kallert MBA.
Deborah Beier
Emine Tlustek B.Sc.
Rolf Wirth
Ing. Pius Börner
Hans-Willi Ladeck
Ilija Kohl
Raissa Gehringer-Putz
Diethard Gude
Janos Winkler B.A.
Roberto Ritter-Fritsch
Elli Junck
Ben Ullmann MBA.
Sigrun Mälzer
Carl-Heinz Trapp
Ehrenfried Seidel MBA.
Prof. Volkmar Heuser
Frau Käthi Hamann B.Eng.
Univ.Prof. Giovanna Bachmann B.Eng.
Annemarie Seidel
Hans-Albert Lindau
Ing. Annekatrin Heß
Univ.Prof. Manuela Heinrich
Jeannine Heinz-Tlustek
Univ.Prof. Beate Gude
Dogan Ruppersberger
Dr. Krista Wirth
Claas Wirth B.Sc.
Ludmila Dobes B.A.
Irmi Biggen
Katharina Speer
Klaus-Peter Zorbach
Ryszard Junitz
Ing. Käthe Plath B.Eng.
Bertold Bloch-Beckmann
Heinz Dieter Zirme
Dr. Torben Stey
Clemens Kabus
Gisa Mohaupt
Wibke Tschentscher-Wulf
Gerta Kallert-auch Schlauchin
Ing. Catrin Dippel MBA.
Bernhard Fischer
Frau Therese Henk B.A.
Hüseyin Hethur
Dipl.-Ing. Leo Sager
Henrik Hein B.A.
Aenne Hübel-Mühle
Yvonne Kroker
Frau Annita Beckmann
Ing. Muharrem Paffrath B.Sc.
Egbert Heintze
Hermann Josef Junck
Hansgeorg Kruschwitz
Gina Killer
Friedlinde Meyer
Eugenia Sorgatz
Konstantin Ladeck
Ute Conradi-Trüb
Hans-Jörg Trupp-Säuberlich
Reinhold Hellwig-Mülichen
Mahmut Hänel
Victoria Hornig
Rainer Henk-Gotthard
Henni Mälzer-Tlustek
Gülten Röhrdanz
Helene Gröttner-Hornich
Margitta Wulf-Nerger
Franz Löwer
Herr Rolf-Peter Renner MBA.
Marina Radisch
Prof. Raymond Söding
Ekkehart Binner
Kristina Wernecke
Meike Trupp
Asta Mielcarek-Blümel
Friedrich-Wilhelm Stahr-Henck
Frau Raissa Radisch B.Eng.
Herr Dietrich Gotthard B.A.
Ahmet Thies
Alicia Ring
Stefania Möchlichen
Ing. Iwan Wagner
Ursula Löffler
Mark Sauer B.A.
Gert Nette
Gerda Stey
Larissa Käster
Meral Bolnbach
Melita Schacht
Dipl.-Ing. Theda Weinhold B.Eng.
Univ.Prof. Liliana Drub
Ahmed Freudenberger B.Sc.
Christiane Roht
Ralf-Dieter Rörricht B.Eng.
Clara Ruppersberger
Elisabeth Wieloch-Boucsein
Milos Pärtzelt B.Sc.
Univ.Prof. Brigitte Rogner
Prof. Monique Budig B.Eng.
Miriam Hentschel
Justine Dippel-Rosemann
Bogdan Rosemann
Heiner Pieper
Frau Conny Klemt
Prof. Theda Hölzenbecher
Margaretha Kohl B.Sc.
Patric Heinrich
Falk Ritter
Frau Reinhilde Wirth MBA.
Micha Eckbauer B.Sc.
Lutz Wagenknecht-Gotthard
