Student
Fatima Eckbauer-Rosemann
Hiltrud Pergande
Frau Beatrix Bonbach B.A.
Miriam Hentschel
Mercedes Blümel
Dr. Leila Gunpf B.Sc.
Univ.Prof. Rosi Gorlitz B.A.
Kunibert Trommler-Renner
Prof. Bärbel Ladeck B.Eng.
Hildegunde Wende-Spieß
Ann-Kathrin Mühle
Emine Tlustek B.Sc.
Elfi Fröhlich-Löchel
Bernhard Becker
Brunhilde Tröst
Ing. Edeltraud Zirme
Ahmed Lange MBA.
Rüdiger Heinrich
Recep Röhricht B.Sc.
Fatma Sager
Siegrid Misicher
Christl Eigenwillig
Reimer Scheel B.Eng.
Jonas Beyer
Priska Rädel
Dr. Edda Hecker B.Eng.
Ellen Vogt
Hartmuth Eberhardt
Gisa Dörr B.Eng.
Dorit Zimmer-Krein
Siegward Hertrampf
Prof. Cäcilia Gertz B.Eng.
Johann Reuter
Jonas Walter
Hedy Kobelt
Benita Neuschäfer
Franz-Josef Etzold
Gundolf Schomber-Hellwig
Hans-Rudolf Fröhlich
Prof. Falko Trapp B.Eng.
Ellen Röhrdanz
Prof. Sergei Heser
Univ.Prof. Wibke Reinhardt B.Eng.
Jelena Löffler
Linda Kruschwitz
Dorit Dowerg
Kai-Uwe Hartung
Josefa Junk
Ing. Paul-Heinz Geißler
Irmtraud Freudenberger
Gülten Henschel
Dipl.-Ing. Nina Boucsein MBA.
Gert Kensy B.A.
Ehrentraud Biggen-Kreusel
Dipl.-Ing. Betti Löffler MBA.
Heinz-Josef Conradi-Klapp
Halil Löwer
Karl-Hans Schuchhardt-Mohaupt
Hannes Jäntsch
Alena Seip
Celal Pohl
Nathalie Krause
Roswita Atzler
Hertha Caspar MBA.
Univ.Prof. Fatima Hölzenbecher
Erdal Bähr
Ilka Zimmer-Wesack
Ing. Alberto Werner
Ivana Mans-Bruder
Mirko Bolander
Elise Ackermann
Sandra Scholtz
Kirstin Kusch-Meister
Eugenie Benthin-Ziegert
Eberhardt Fiebig
Susan Riehl B.Sc.
Hans-Adolf Junken
Erdal Meyer B.A.
Univ.Prof. Herta Zänker
Prof. Ruth Gehringer
Agathe Weinhage B.A.
Justine Kade
Elma Junken
Mijo Seidel B.Sc.
Dipl.-Ing. Hülya Nerger
Friedlinde Sauer
Frau Ayten Pärtzelt MBA.
Dr. Hans-Peter Adolph MBA.
Dr. Timo Ernst
Dr. Achim Barth
Paolo Hentschel-Zobel
Klaus-Dieter Wende
Hubert Hertrampf
Reinhilde Metz
Eberhardt Schäfer
Herr Jens Ritter B.Eng.
Gislinde Klapp B.Sc.
Dipl.-Ing. Richard Gröttner B.A.
Dipl.-Ing. Gabi Scholtz
Sylvester Zirme
Kordula Drub B.Sc.
Ernest Schönland B.Eng.
Brian Preiß
Fredi Lindner
Balthasar Müller-Drub
Domenico Nohlmans-Eberhardt
Raymond Misicher
Dr. Cengiz Säuberlich
Kai-Uwe Stiebitz-Hentschel
Rainer Gunpf B.Eng.
Henriette Ladeck
Dr. Gerhart Käster
Magret Oderwald
Enrico Hornig
Cynthia Linke
Remo Reinhardt
Ing. Nils Pergande B.A.
Oxana Stumpf
Joachim Fischer
Guenter Lachmann
Jutta Franke-Rosenow
Fabienne Birnbaum
Siegrun Ring
Dr. Aziz Adolph MBA.
Dr. Gaby Sontag MBA.
Wencke Bohlander
Rosina Klotz B.A.
Mary Staude
Hubertine Jäkel
Christl Wähner
Dr. Thekla Lindau B.Sc.
Dr. Evangelia Killer B.Sc.
Juan Klapp B.Eng.
Iris Ullrich
Vlado Lindner
Steven Steinberg B.Eng.
Erhard Reinhardt
Jolanta Kühnert
Stefanie Dippel
Edwin Wilms MBA.
Edit Martin B.Sc.
Karl-Peter Heser
Florian Wulff
Ellinor Kraus
Patrick Pärtzelt-Henck
Heinz-Georg Heidrich
Dominik Huhn
Hans-Gerd Jockel
Hajo Ziegert-Noack
Maren Scholz-Bohlander
Gabi Meister
Irma Atzler-Herrmann
Galina Kraus-Hermighausen
Ing. Alberto Schlosser
Natalie Bender MBA.
Detlef Köster
Anja Meyer B.A.
Karl-Dieter Thies
Celal Hettner MBA.
Katrin Oestrovsky-Fechner
Janina Faust MBA.
René Ehlert
Guido Pieper
Alicja Sorgatz
Gunda Ditschlerin B.A.
Dunja Dörr B.Sc.
Georgios Neuschäfer
Univ.Prof. Rotraut Juncken B.A.
Virginia Textor
Dr. Margarethe Ernst
Stavros Hoffmann
Hans-Bernd Eimer-Pechel
Ing. Canan Gutknecht B.A.
Christa Kabus
Margita Meister
Prof. Anka Schulz
Sören Trommler
Leopold Rörricht
Sergej Dippel
Milena Weitzel-Steinberg
Dr. Daniel Trommler
Viviane Girschner
Ing. Zoltan Dobes B.A.
Rafael Blümel
Slobodan Hauffer
Rolf Wirth
Ing. Gerold Mende
Jürgen Herrmann-Koch
Edit Rädel
Hans-Joachim Pohl
Andrei Hertrampf-Trommler
Christos Gumprich
Hedy Loos
Annelore Riehl
Edith Kostolzin
Wieslaw Käster
Ilonka Zimmer
Sedat Matthäi
Antonius Käster
Imelda Geißler
Camilla Jäntsch
Jörg-Peter Klemt MBA.
Danny Gumprich
Marina Wilmsen
Dipl.-Ing. Cynthia Hauffer B.A.
Univ.Prof. Alois Jähn B.Eng.
Cosimo Girschner
Frauke Wilms
Pierre Köster
Univ.Prof. Markus Finke B.Sc.
Mechtild Winkler
Gunnar Weimer
Sina Wulff-Dussen van
Sara Johann
Louis Kostolzin
Nicolai Röhricht-Spieß
Klaus-Dieter Koch II B.A.
Carmine Bruder-Rörricht
Vladimir Kruschwitz
Stanislav Reuter
Czeslaw Jacob B.Eng.
Friedericke Bolzmann
Alla Weihmann
Belinda Reinhardt B.A.
Michaela Hecker B.Eng.
Hermann Bruder
Fatma Hesse
Gilda Faust
Meryem Sager
Diedrich Jäntsch B.A.
Magda Berger B.A.
Dipl.-Ing. Grete Stiebitz
Stephen Bruder
Carmela Lindau
Karl-Georg Dörschner
Albin Fischer B.Eng.
Melanie Segebahn
Lucie Gutknecht
Margrit Schenk B.A.
Edelgard Neureuther-Vollbrecht
Eleni Krause B.A.
Carl Schmiedt
Dr. Denise Girschner B.Sc.
Gert Juncken
Jochen Säuberlich
Prof. Gertrude Renner B.A.
Gino Hövel B.Sc.
Dana Schäfer
Hertha Butte B.Eng.
Stephen Tintzmann
Hans-Günther Kohl B.Eng.
Felix Wilms
Evangelos Hartmann B.A.
Ing. Isolde Rosenow
Hanife Thies
Ing. Hannes Jähn B.Sc.
Verena Gute-Trüb
Franz-Josef Schmidtke
Ing. Hans Peter Schenk B.A.
Matteo Beyer B.A.
Benno Klemt
Bernhard Fischer
Bertha Ritter-Drubin
Caroline Linke
Wiltrud Jäkel
Dorina Weinhage
Jeannine Lehmann
Krista Hofmann
Ilja Freudenberger B.A.
Knud Zimmer
André Röhrdanz B.A.
Hilmar Spieß
Helene Keudel
Herr Frank-Peter Jopich
Jeannette Schleich
Dr. Isabell Trupp
Irina Hahn
Frau Mirja Jüttner B.Eng.
Prof. Wolfgang Mohaupt
Dipl.-Ing. Theda Weinhold B.Eng.
Prof. Sandy Butte
Ingelore Heinz
Elfriede Gnatz
Arne Dobes
Elisabet Schuster B.A.
Abram Scholz B.Sc.
Prof. Lydia Siering
Svetlana Bonbach B.A.
Christel Mangold
Frau Natalija Stey
Vassilios Trommler-Gieß
Mark Schottin B.Eng.
Nancy Hartmann-Schottin
Josip Stey
Prof. Irma Bien B.Eng.
Dipl.-Ing. Slobodan Sölzer
Ing. Jeanette Rosemann B.Eng.
Annett Sorgatz B.Eng.
Cilli Lindau B.A.
Sina Spieß
Anita Mohaupt
Kazim Rohleder
Univ.Prof. Ludwig Jähn B.A.
Frau Lisbeth Girschner MBA.
Ekkehart Kreusel
Abram Peukert MBA.
Dipl.-Ing. Stefano Ditschlerin
Karl-Ludwig Bolnbach
Ing. Nadeschda Bohlander
Erol Kreusel B.Sc.
Ljudmila Nerger
Harro Vogt-Gieß
Dr. Annett Siering
Maik Schottin
Ing. Gundolf Steinberg B.Sc.
Danilo Hartmann
Krystyna Rust-Baum
Natali Patberg B.A.
Leander Dobes-Schlosser
Klaudia Löffler-Zorbach
Dr. Fatma Jacob MBA.
Gabriela Girschner
Dominic auch Schlauchin
Janusz Eberhardt MBA.
Ing. Siglinde Speer MBA.
Philipp Walter-Löffler
Vitus Schmidt
Amalie Gotthard-Beckmann
Abbas Täsche
Univ.Prof. Trudel Gierschner MBA.
Ruth Hartung
Diethard Trommler
Friedrich-Karl Sorgatz-Schmiedt
Dipl.-Ing. Manuel Kade
Ludwig Reinhardt
Dipl.-Ing. Jozef Hartmann
Danilo Losekann
Korbinian Werner
Aribert Herrmann
Herr Jonathan Beckmann B.A.
Ing. Boris Junck MBA.
Zehra Conradi-Heinrich
Dominik Spieß
Anne-Kathrin Ortmann
Dr. Heinz Dieter Dörschner
Valerie Losekann
Bruni Freudenberger
Wulf Thanel-Scheibe
Gusti Vollbrecht
Oxana Schmidtke
Hans-Gerhard Staude
Gerard Förster
Elena Wilmsen
Herr Götz Süßebier
Helga Mosemann-Hecker
Benjamin Lübs
Pero Gnatz
Jens-Uwe Käster
Ing. Magda Jäntsch
Liesa Neureuther
Angela Weimer B.A.
Monica Drub-Davids
Karl-Josef Barth
Prof. Torsten Geisel B.Sc.
Henriette Pohl
Ing. Gordana Bruder MBA.
Uwe Rosenow
Dipl.-Ing. Gudula Margraf B.Sc.
Othmar Weinhage MBA.
Herr Dietrich Gotthard B.A.
Prof. Siegrun Langern
Dipl.-Ing. Gertraut Stolze
Ing. Philipp Textor
Prof. Tina Ullrich
Damaris Bien
Malte Schäfer
Ben Täsche
Andy Jockel B.Eng.
Gerta Stey-Klemm
Gerhart Schenk MBA.
Burckhard Heuser
Juliane Mentzel-Ziegert
Guenther Steinberg MBA.
Lisette Mühle
Ing. Alexandros Vogt MBA.
Kay-Uwe Jähn-Schwital
Antje Drub
Wenzel Drubin
Antonius Pärtzelt-Jüttner
Herr Valentin Warmer
Hans Kraus
Herr Goran Paffrath
Eberhardt Mielcarek
Frau Anna Mangold B.A.
Dorle Schmidtke MBA.
Ismail Junck-Trommler
Bert Junck
Theo Henschel
Prof. Marika Junken B.Eng.
Ing. Zlatko Gerlach
Henner Schweitzer
Tadeusz Hentschel
Herr Yusuf Kabus B.A.
Nikolai Rädel-Klemt
Ira Scholz-Pohl
Mareike Scholl
Ing. Bernfried Pruschke
Olaf Hethur
Änne Möchlichen
Ronny Dippel
Verena Hornich
Ljubica Wohlgemut-Schmidt
Sükrü Schüler MBA.
Univ.Prof. Vesna Hering
Prof. Pascale Kruschwitz
Ing. Mohammed Geißler B.Eng.
Slavica Koch
Lilo Scholz
Univ.Prof. Reinhilde Cichorius B.A.
Hanna Speer
Frau Danica Davids B.A.
Gordon Lehmann
Alfred Holzapfel-Hamann
Ilonka Döring-Schulz
Milan Holzapfel
Liane Hermann MBA.
Gregor Buchholz
Heinz-Walter Roskoth-Hertrampf
Klaus-Dieter Hänel B.Sc.
Dr. Annika Gude MBA.
Elise Hentschel
Alida Tröst
Friedo Meister-Klemm
Dipl.-Ing. Mirella Franke MBA.
Ing. Herwig Drub MBA.
Ing. Margareta Hethur B.A.
Fatima Weinhage-Boucsein
Hansjörg Holsten
Willfried Werner
Adelgunde Beer
Edda Salz
Dr. Jann Wesack B.A.
Jörg Pechel
Stephen Ackermann B.A.
Margaret Kraus
Martina Salz-Sorgatz
Joanna Weinhold-Förster
Hans-Albert Preiß-Scheel
Franz Josef Flantz
Harro Keudel
Jaroslaw Eckbauer
Annelie Heuser
Helga Franke
Dipl.-Ing. Fred Meister
Antonia Mohaupt
Dr. Elif Peukert B.Eng.
Frithjof van der Dussen
Dr. Gabriel Freudenberger MBA.
Dipl.-Ing. Dajana Beer
Emil Preiß-Hecker
Ing. Karl-Dieter Stroh
Magdalena Tintzmann B.Sc.
Jana Drubin-Heß
Nathalie Lehmann
Johanna Stumpf
Daniela Weimer
Thoralf Eimer
Jakob Pohl
Alwine Bien
Zita Butte
Fredy Hiller
Univ.Prof. Friederike Bender B.Eng.
Dipl.-Ing. Sylke Gute B.A.
Prof. Amir Reising MBA.
Ing. Klaus-Michael Bolzmann
Anne-Rose Klemm
Janusz Rädel B.Sc.
Thoralf Geisel
Thomas Hentschel
Dipl.-Ing. Margarita Stey
Ing. Damaris Bonbach
Frau Gertraude Wesack B.Eng.
Siegmar Kramer
Antonius Bonbach-Juncken
Miguel Gehringer-Reising
Drago Täsche
Tony Hecker
Klaus-Ulrich Blümel B.A.
Ing. Denny Mende
Prof. Lutz Adolph
Prof. Kordula Vollbrecht B.A.
Marica Hamann-Koch
Anke Hettner
Klaudia Seidel
Heinz-Willi Holt
Margit Walter
Francis Rohleder
Carl-Heinz Kraus
Prof. Folkert Ernst MBA.
Univ.Prof. Alexei Mülichen MBA.
Gundel Dietz
Prof. Gesine Lange
Dr. Reinhart Hecker B.A.
Nils Stey
Curt Mühle
Tülay Schmidtke B.Sc.
Mijo Jessel B.A.
Pietro Klingelhöfer
Thomas Hänel
Maurizio Hartmann
Volkmar Trub
Prof. Niels Barkholz
Prof. Clarissa Barth
Herr Benedikt Säuberlich
Dr. Jeannine Schleich B.Sc.
Annika Wirth
Heinrich Rogner
Louis Loos B.Eng.
Univ.Prof. Ayten Lorch
Peter Mitschke
Gotthard Scheuermann
Friedericke Käster B.A.
Anatolij Trub
Leonard Kostolzin
Jacqueline Hofmann
Lars Walter
Dipl.-Ing. Geert Holsten B.Sc.
Piotr Speer-Seifert
Constanze Lange
Wojciech Girschner B.A.
Berndt Bähr
Herr Gordon Meister
Luitgard Weiß-Rörricht
Dipl.-Ing. Waltraut Kallert
Dolores Stey-Matthäi
Mariola Gnatz
Folkert Schwital
Bianka Holsten
Frau Patricia Schmiedecke B.Eng.
Berend Rörricht
Marlen Wende
Dipl.-Ing. Klaus Geisler
Univ.Prof. Karin Beier
Herr Ronald Reising B.Sc.
Roswita Döhn
Frau Conny Klemt
Ing. Wilhelmine Adler B.Sc.
Bogdan Rosemann
Dr. Samuel Tröst
Inge Kabus
Prof. Rolf-Dieter Fiebig MBA.
Prof. Martin Ullmann
Ing. Marie-Therese Schleich
Ing. Alwine Scholz
Erkan Beier
Miroslav Krein
Ditmar Niemeier
Karl-Peter Hofmann B.A.
Eberhard Dobes
Robert Etzold
Wojciech Losekann-Seidel
Andre Schinke
Johannes Freudenberger
Hans-Christian Trüb
Reimund Eimer
Frau Wenke Riehl
Brit Heidrich B.A.
Romana Wulff
Elenore Hofmann-Aumann
Johann Liebelt MBA.
Anselm Dowerg
Oscar Nerger
Janos Kobelt-Henck
Andrei Wulff
Herr Sylvester Jopich B.Eng.
Josefine Rosemann
Uli Schönland-Trupp
Kai-Uwe Bohnbach
Silvia Lübs
Robin Sölzer
Emmerich Wilmsen
Jeannine Heinz-Tlustek
Marita Henk
Mariechen Nohlmans
Gina Stumpf
Dr. Slawomir Hande
Ing. Janin Winkler MBA.
Alena Holzapfel
Julie Mosemann
Herr Knud Pölitz B.A.
Cindy Schleich
Brigitte Zirme B.Sc.
Karla Etzler-Metz
Jacob Bähr
Univ.Prof. Edit Ehlert B.Eng.
Daniel Zänker
Frau Trudel Hövel
Reingard Cichorius
Emilia Wagenknecht-Riehl
Martine Zobel
Waltrud Stroh
Catrin Bachmann
Jens-Peter Graf-Schmidt
Univ.Prof. Anna-Luise Faust
Raisa Stey-Sauer
Marlene Steckel B.A.
Dipl.-Ing. Hans-Erich Klemm
Betty Steinberg
Karl-Georg Zahn
Marlene Heuser-Trub
Dogan Bolander
Cäcilie Schmidt
Dörte Warmer
Mike Sölzer
Adina Söding
Ewa Kade
Prof. Hans-Gerhard Reinhardt B.Eng.
Fernando Dobes
Hildegart Weitzel
Svenja Langern
Lieschen Röhrdanz
Gordana Hertrampf-Speer
Prof. Katalin Lindner B.Eng.
Ing. Friedhelm Löchel B.Eng.
Evangelia Schlosser-Boucsein
Ing. Cynthia Weihmann B.Eng.
Margareta Losekann
Phillip Rosemann-Bachmann
Melanie Hauffer
Univ.Prof. Gregor Gieß MBA.
Prof. Marian Gerlach
Dipl.-Ing. Cristina Vogt
Anke Bähr
Dipl.-Ing. Wolfram Johann B.Eng.
Karl-August Reichmann B.Sc.
Walther Hofmann
Slavko Fliegner B.Sc.
Edeltrud Kambs
Dr. Sükrü Hettner
Harry Lange
Joachim Steuer
Pedro Pölitz
Ronald Rädel
Univ.Prof. Claudio Schmiedt
Dr. Michel Pruschke B.Eng.
Ing. Marga Lehmann MBA.
Ahmet Eckbauer-Sölzer
Univ.Prof. Margareta Naser
Prof. Aziz Stumpf
Resi Margraf
Dipl.-Ing. Dörte Häring MBA.
Doris Karz
Mariusz Stadelmann-Jähn
Rosmarie Kambs MBA.
Ekaterina Wieloch
Toralf Jessel
Henny Stey
Cord Benthin
Dan Scheuermann
Ing. Ahmet Häring
Adalbert Reising
Jolanta Nohlmans-Tschentscher
Enrico Drewes
Karl-Heinz Rohleder
Ing. Gregor Lindau
Judith Boucsein-Aumann
Ing. Katarzyna Noack
Mareile Oderwald-Hiller
Hans-Christian Eimer
Natalja Seidel
Edgar Bauer
Baptist Radisch MBA.
Andre Mülichen-Scholz
Utz Christoph-Henck
Aenne Mende B.Eng.
René Gude B.A.
Luzie Renner B.A.
Dipl.-Ing. Henrike Hörle B.A.
Reiner Ziegert-Walter
Prof. Fredy Hahn
Katerina Bolzmann B.Eng.
Henni Keudel B.Sc.
Fedor Roskoth B.A.
Ing. Thekla Beyer B.Sc.
Sylvana Hornich MBA.
Hans Josef Striebitz
Prof. Clemens Söding
Klaus-Dieter Hecker
Imelda Söding
Carmelo Stiebitz
Zbigniew Schleich-Huhn
Mirjana Drub
Ernestine Karz
Prof. Maria-Luise Drub B.Sc.
Annie Hänel
David Losekann
Reinhard Rogge
Dr. Wanda Dippel
Dipl.-Ing. Willibert Süßebier
Ing. Mattias Boucsein
Walfried Siering
Herr Gordon Heintze B.Eng.
Resi Knappe
Luisa Barkholz
Viktoria Trub-Budig
Dipl.-Ing. Sieglinde Fischer B.Eng.
Hermann-Josef Zimmer
Wibke Pärtzelt-Wieloch
Sigurd Holsten B.Sc.
Jochem Röhrdanz
Carla Gnatz
Klaudia Vollbrecht B.A.
Hiltraud Köster MBA.
Vincenzo Steinberg B.Sc.
Rene Rohleder
Constance Drubin
Walli Baum-Kohl
Johan Baum
Paula Heinz
Lothar Ladeck
Kläre Mohaupt-Salz
Patric Stahr-Ebert
Dusan Conradi-Rogner
Katharine Mühle
Karlfried Franke
Klaus-Dieter van der Dussen
Silvia Weiß
Hansgeorg Heuser
Anneke Nohlmans
Dorle Henck-Sorgatz
Czeslaw Jäkel-Röhrdanz
Babett Süßebier B.A.
Eberhard Junitz
Stella Mülichen
Univ.Prof. Anika Pärtzelt MBA.
Peter Sontag
Giuseppe Preiß
Monique Rose-Schuchhardt
Daniele Hering
Prof. Jan-Peter Schmidt
Annelene Steinberg
Gabriela Freudenberger B.A.
Rudolph Etzold
Steffen Rust B.Eng.
Felizitas Becker-Mosemann
Luciano Aumann
Annelies Heidrich
Kreszenz Drubin
Günter Rudolph B.Eng.
Dipl.-Ing. Kriemhild Löchel
Melissa Dietz
Ansgar Möchlichen-Höfig
Jan-Peter Grein Groth
Heribert Römer-Lindau
Dr. Herbert Jockel B.Eng.
Dr. Hans Dieter Mude
Reni auch Schlauchin
Dipl.-Ing. Konrad Schenk
Beatrice Fechner
Ing. Konstanze Geisel
Bruni Vogt MBA.
Dina Johann
Dipl.-Ing. Walfried Rosemann B.Eng.
Uwe Sorgatz
Harold Scheibe
Karl-Dieter Süßebier
Antonius Kraus
Lydia Jopich
Dr. Eleni Heser
Slavica Vollbrecht
Margaretha Kohl B.Sc.
Stanislaw Misicher
Zeynep Lehmann
Nadeschda Hande
Nikolai Haase B.Sc.
Marie-Louise Wulff
Friedl Hartmann
Heimo Hübel MBA.
Dipl.-Ing. Nathalie Bender
Joachim Kramer
Mary Hofmann B.A.
Paul-Gerhard Jungfer B.Eng.
Herr Urban Christoph
Friedhold Löwer-Ebert
Janos Ehlert
Univ.Prof. Margrit Davids B.Eng.
Janko Schulz-Becker
Corinne Berger
Marianne Killer
Songül Tschentscher
Christiane Roht
Engin Schenk
Ing. Emanuel Tintzmann
Prof. Eckhart Jockel B.Eng.
Oscar Junitz
Mario Bärer
Friedlinde Warmer
Adam Hölzenbecher-Hettner
Hans-J. Trapp-Koch II
Dorothe Adler-Trubin
Prof. Gabriella Holt B.Eng.
Univ.Prof. Alexa Junitz B.Eng.
Annelene Zänker
Univ.Prof. Alexandre Schottin
Birgid Freudenberger
Ing. Irmtraud Wiek MBA.
Ada Heser B.Sc.
Urs Bähr
Stilla Köhler
Igor Dörschner
Nada Girschner
Sinaida Heinz-Gnatz
Anastasios Kuhl
Cetin Schwital
Univ.Prof. Heidrun Hiller
Dr. Anika auch Schlauchin B.Sc.
Hans-Theo Vogt-Beckmann
Ing. Romuald Roht B.Sc.
Prof. Oswald Ehlert MBA.
Dr. Elly Junk
Prof. Sahin Kreusel
Prof. Ralph Patberg
Halina Lachmann
Dr. Jacqueline Trubin B.Sc.
Leonardo Birnbaum
Hans-Joachim Häring
Lena Mitschke
Insa Jacobi Jäckel
Sarina Dörr
Jonas Hendriks
Klaus Dieter Weimer-Hein
Hildburg Tlustek
Marion Drewes
Dr. Mechthilde Hellwig
Angelique Speer B.A.
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Magret Bähr
Ismail Steinberg
Juliana Schönland
Evi Grein Groth
Hermann Josef Weihmann
Siegrun Reichmann
Petar Bauer
Adalbert Ullmann
Klaus Dieter Rädel
Ingbert Birnbaum-Ring
Elisabeth Wieloch-Boucsein
Julius Kraushaar
Adelgunde Wagenknecht
Timo Huhn
Ludmilla Pieper
Herr Christopher Speer
Ing. Frederic Christoph B.Eng.
Frau Elsa Mälzer
Prof. Thekla Hahn
Karl Meister B.Eng.
Dipl.-Ing. Marieluise Löchel
Oda Barkholz
Tomislav Girschner
Susana Schaaf
Anne-Katrin Rogge
Ute Hartmann
Prof. Klaus Peter Bruder
Anne-Rose Krause
Franka Peukert
Dr. Antonia Schomber B.Sc.
Otmar Misicher
Heinz-Otto Linke
Thies Rose
Conny Geißler-Karge
Apollonia Heß B.A.
Univ.Prof. Janos Rörricht MBA.
Czeslaw Jacobi Jäckel-Zahn
Dipl.-Ing. Sigrun Bärer
Heide Knappe
Christos Ruppert B.A.
Emilia Seifert
Lissi Thanel MBA.
Ulf Kensy MBA.
Guenther Schmidt
Bettina Schlosser
Annelies Seifert
Heide-Marie Gunpf B.A.
Siegrid Bachmann-Schaaf
Franziska Jüttner
Antonios Schönland
Jacek Bärer
Roswita Sauer
Wera Klemt
Reinhold Hellwig-Mülichen
Dr. Anto Wende
Dipl.-Ing. Sarina Dörr
Oxana Lübs
Christiane Wirth B.Eng.
Nina Müller B.Eng.
Dipl.-Ing. Henriette Schmidtke MBA.
Sigmar Zobel
Frau Kirsten Geißler
Raymund Thanel
Prof. Horst Mälzer B.Sc.
Univ.Prof. Philippe Thies B.Eng.
Henryk Bauer
Univ.Prof. Annegrete Holt
Annaliese Lübs
Dajana Gehringer
Steven Eimer
Heide-Marie Adler B.Eng.
Raisa Scholtz
Gaetano Paffrath
Stjepan Langern
Manuel Schenk
Valentin Klingelhöfer
Thomas Weinhold B.Eng.
Jacek Klemt
Gitta Mohaupt
Süleyman Baum
Cathleen Mies MBA.
Marie-Luise Zorbach MBA.
Dr. Lilija Dowerg MBA.
Joana Wähner
