Student
Halina Segebahn
Dipl.-Ing. Mirella Franke MBA.
Gudula Stroh-Bien
Geza Hertrampf B.A.
Adelheid Salz
Celal Mühle
Blanka Ladeck
Dipl.-Ing. Corina Fischer
Dr. Marco Scheuermann
Gisa Hendriks
Annita Lorch
Carmelo Weinhold
Sybilla Striebitz
Mehdi Niemeier-Noack
Dr. Ehrhard Gieß B.Sc.
Dr. Anika auch Schlauchin B.Sc.
Dr. Sara Niemeier
Ekaterina Wieloch
Gerwin Salz
Henryk Jacobi Jäckel B.Sc.
Kunigunda Hänel-Briemer
Gislinde Junken
Frau Gilda Ebert
Rosita Möchlichen-Stumpf
Carl Scheibe
Dr. Theresia Mende
Ulla Hamann
Univ.Prof. Harro Fröhlich
Dr. Rolf Walter
Catrin Bachmann
Isidor Niemeier
Alida Ehlert
Valeri Mielcarek
Vito Roht
Aysel van der Dussen-Jäntsch
Kathi Wesack
Yvette Schinke
Karsten Schwital
Dipl.-Ing. Traudel Eigenwillig
Univ.Prof. Gusti Schlosser
Gregor Jungfer
Thomas Hentschel
Ludwig Reinhardt
James Ebert
Mariele Peukert
Dipl.-Ing. Cläre Geißler
Dr. Gabriela Geißler
Julia Mosemann
Halina Austermühle-Bender
Dr. Sigfried Seip B.Eng.
Falk Sorgatz-Ortmann
Dr. Silvio Täsche
Wolfhard Vogt
Regina Ring
Ilias Freudenberger
Sofie Staude
Gudula Niemeier
Kathleen Hahn B.A.
Jonathan Birnbaum-Stiebitz
Reinald Gerlach
Sigrid Jockel
Edelgard Finke B.Eng.
Sibylla Koch MBA.
Edda Gertz B.Eng.
Curt Jopich
Gabi Gertz
Dipl.-Ing. Zenta Hornig B.Sc.
Adolfine Dippel
Roswita Gumprich-Butte
Ing. Helen Gumprich B.Sc.
Carina Killer
Kasimir Albers-Stiebitz
Bertram Eigenwillig
Brigitte Geisler
Carla Hecker
Mohammad Finke
Karl-Peter Häring-Kruschwitz
Claus-Dieter Krause
Dr. Elena Kade B.Sc.
Dr. Hans-Willi Hertrampf MBA.
Babett Süßebier B.A.
Carmine Bruder-Rörricht
Tanja Plath
Carl Mühle-Wulf
Albert Hartmann-Lachmann
Gesche Kühnert
Silvia Lübs
Prof. Gunther Klingelhöfer
Gusti Schleich
Wojciech Girschner B.A.
James Kostolzin-Staude
Walter Weller
Dr. Edelbert Wieloch MBA.
Carla Ruppersberger
Christian Jacobi Jäckel
Frau Brit Stoll
Dipl.-Ing. Grete Stiebitz
Thorsten Gude
Jessika Käster
Mina auch Schlauchin
Karlfried Zahn B.A.
Madeleine Henk
Annelie Schomber
Herr Thorsten Hartmann B.Eng.
Univ.Prof. Marko Schmiedecke MBA.
Ingbert Hartung
Insa Peukert
Stilla Dobes
Kenan Wulff-Plath
Dominik Naser B.A.
Danilo Ehlert
Gertraud Mende
Jonas Löchel
Brunhild Müller
Dr. Samuel Dobes B.Sc.
Isabell Eberth-Pechel
Hans-Detlef Kobelt
Dipl.-Ing. Viktor Scheibe MBA.
Robin Schuchhardt-Reichmann
Ekkehart Bruder
Rainer Gude-Kaul
Janus Jessel-Hermann
Volkmar Mosemann
Friedlinde Mühle B.A.
Mareen Mans
Ing. Isolde Rosenow
Jaroslav Benthin
Dipl.-Ing. Utz Adler B.A.
Corina Pergande
Britt Schwital-Seip
Miriam Ehlert MBA.
Hans-Erich Staude
Kilian Patberg
Danuta Kensy
Mechthilde Lindau B.A.
Hannelore Heser-Boucsein
Jorge Killer
Theodoros Grein Groth
Stella Mülichen
Carola Kusch
Wilfried Radisch
Bertha Ritter-Drubin
Herr Hermann-Josef Lehmann B.A.
Aribert Putz
Oliver Biggen
Irmtrud Schaaf-Jacobi Jäckel
Wendelin Zorbach MBA.
Athanasios Jacobi Jäckel
Otmar Gierschner
Murat Meister
Angelique Wesack B.Eng.
Ewald Hethur
Dr. Valentin Eigenwillig
Ing. Adam Klemt MBA.
Marion Kuhl
Josef Butte-Lindau
Thorsten Ruppersberger
Prof. Mathias Schmiedt
Frau Edeltraud Radisch B.A.
Eleonore Kuhl-Koch
Dipl.-Ing. Beatrix Henk B.Eng.
Cosimo Löffler B.Sc.
Frau Zdenka Zimmer
Prof. Klaus Peter Bruder
Timm Wende
Sigurd Holsten B.Sc.
Kreszenz Ruppert-Dobes
Aleksandra Stey MBA.
Hansgeorg Hettner
Georgios Neuschäfer
Ilonka Zimmer
Hildegard Schlosser-Jacobi Jäckel
Adam Seifert
Gabriel Süßebier-Eigenwillig
Prof. Sylvester Bender
Kaspar Hänel
Aleksander Scheuermann
Prof. Sibel Wohlgemut B.Sc.
Maria Döring B.Sc.
Tobias Liebelt
Karl-Heinrich Kraus B.A.
Melitta Steinberg
Mary Reuter B.Sc.
Hans-Adolf Römer-Jäntsch
Dipl.-Ing. Gunar Kuhl
Tibor Briemer
Holger Röhricht
Calogero Mude-Etzold
Pius Römer MBA.
Helmuth Zirme
Liesel Klapp
Saskia Wagenknecht
Heinrich Döring
Friedl Hänel
Annekatrin Wende
Abraham Carsten
Dr. Erdogan Fröhlich
Anto Tröst-Schäfer
Ludmila Stadelmann
Prof. Heinz-Josef Radisch B.A.
Melitta Drewes
Herr Anthony Caspar
Albrecht Rust-Heinrich
Stavros Zirme
Peggy Sauer
Hans-Herbert Eckbauer
Desiree Ruppert
Lilly Beckmann B.Sc.
Claire Holt
Wulf Fiebig B.A.
Eberhard Pechel
Ing. Clemens Wirth
Ing. Istvan Finke
Cemal Budig-Holt
Karen Rädel
Ingried Sauer
Ernst Henschel
Doris Karz
Prof. Marika Junken B.Eng.
Dipl.-Ing. Ehrenfried Kranz MBA.
Johanna Finke-Ehlert
Ing. Britt Trupp B.Eng.
Marisa Wagenknecht
Hermann Josef Junck
Alma Eimer-Seip
Herr Jacek Budig B.Eng.
Inge Paffrath
Rahel Stey
Ilonka Wulf
Rainer Gunpf B.Eng.
Kunibert Trommler-Renner
Saban Eimer
Univ.Prof. Dorle Röhrdanz B.A.
Fabienne Conradi B.Eng.
Konstanze Sontag
Evelin Wagenknecht-Döhn
Lothar Fischer
Cord Haase
Franjo Löffler B.Eng.
Gotthold Krause
Cläre Heser
Isa Weihmann
Ladislaus Hande
Heike Karge
Antonietta Putz B.Eng.
Margarethe Wagenknecht
Angelica Lindau-Heß
Torsten Pergande
Ing. Erwin Kobelt B.A.
Zofia Roht
Karl-August Döhn B.A.
Gertrude Pieper
Senta Hiller
Paola Margraf
Frauke Stadelmann
Univ.Prof. Gretchen Sontag B.A.
Annelene Steinberg
Clemens Thanel
Adina Söding
Karina Tschentscher-Butte
Jann Fröhlich
Gernot Kobelt
Klemens Knappe
Hansjoachim Salz-Junk
Prof. Fredy Hahn
Dr. Maren Steckel B.Sc.
Monique Rose-Schuchhardt
Prof. Marko Rohleder B.A.
Stephanie Beer
Kriemhild Jähn
Blanka Birnbaum
Dipl.-Ing. Till Schenk
Ilias Seip
Anneke Jähn
Dieter Trupp
Kristin Kabus
Herr Mirko Häring B.Sc.
Istvan Scheuermann
Univ.Prof. Dorle Fröhlich
Volkhard Köster-Jüttner
Rosina Ortmann
Baptist Vogt
Susan Seip MBA.
Ing. Ben Lindau MBA.
Dr. Lisa Kusch
Gitte Rohleder-Bruder
Karl-Hans Hande-Schuster
Nicolai Gutknecht
Hans-Georg Schmidt
Gerard Scholl
Alwine Riehl
Dr. Lina Hiller
Dina Schmiedt MBA.
Christiana Pohl
Niko Pergande
Kläre Kohl
Ben Täsche
Deborah Becker
Helma Zorbach
Ramon Jäntsch-Gertz
Thorsten Bolzmann-Hesse
Edmund Siering
Eitel Ernst
Curt Mühle
Siegmund Schleich MBA.
Frau Reinhilde Wirth MBA.
Heide-Marie Heß B.A.
Nikolaus Rosenow
Mariele Bolander
Reinhard Beckmann
Wendelin Schäfer B.Sc.
Alfred Weinhage-Stiffel
Alice Nette
Fredo Paffrath-Kohl
Hassan Kroker-Girschner
Fatma Hein
Dipl.-Ing. Dorina Lindau B.Sc.
Woldemar Heinz
Reingard Klingelhöfer
Dr. Frithjof Weinhage MBA.
Stephanie Heintze
Prof. Lotti Löffler
Undine Eimer
Kläre Beier B.A.
Emma Briemer B.Eng.
Prof. Beatrix Döring MBA.
Eileen Hartung
Hans-Martin Junk-Kuhl
Frau Clarissa Rosenow B.A.
Jolanda Rose
Edelgard Neureuther-Vollbrecht
Ilonka Noack
Eberhardt Mielcarek
Univ.Prof. Nurten Neuschäfer MBA.
Inka Meyer
Reza Mielcarek
Jann Cichorius
Alan Eigenwillig
Liselotte Lindau
Ing. Thekla Beyer B.Sc.
Dipl.-Ing. Patric Johann
Dr. Aribert Sontag
Ing. Hans-Wilhelm Holt B.Sc.
Angelika Rosemann
Herma Möchlichen
Annita Jähn
Univ.Prof. Sahin Freudenberger B.A.
Gabi Meister
Ing. Gislinde Ernst B.A.
Elli Kohl
Jens Drubin
Friedericke Roht
Steffen Rust B.Eng.
Leo Roskoth B.Sc.
Dorina Weinhold
Herr Ilja Kroker
Dr. Sükrü Hettner
Emanuel Schinke B.Sc.
Elmar Förster
Nico Hartung-Linke
Dana Schäfer
Eitel Hethur
Armin Scholz
Gerhild Beyer
Siegmund Hövel
Zeljko Meyer
Vincenzo Jopich
Madlen Steinberg
Marieluise Schulz
Bertram Höfig B.Sc.
Svenja Hartmann
Margot Schäfer B.Eng.
Janko Neureuther
Korbinian Bolander
Alfred Rose
Monica Blümel
Ing. Willi Warmer B.Eng.
Ellen Jessel-Walter
Ing. Nicolai Textor B.A.
Karlfried Sorgatz
Doris Kraushaar
Herr Simon Fliegner MBA.
Nicolas Tschentscher
Grete Peukert
Prof. Dietlind Ullrich B.Sc.
Dipl.-Ing. Ingbert Krebs B.Eng.
Arif Pergande-Wagenknecht
Kornelius Sontag
Ingbert Binner-Heidrich
Klaus-Peter Häring
Gottlieb Kade
Marlen Gute-Hauffer
Ing. Ignaz Rose
Jonas Adler
Konstanze Zänker MBA.
Wencke Bohlander
Ada Heser B.Sc.
Gerd Beckmann-Gnatz
Ing. Georg Lübs
Prof. Riza Niemeier
Stefanie Hertrampf MBA.
Dipl.-Ing. Edda Barth MBA.
Maria-Theresia Heinz B.A.
Dr. Cengiz Säuberlich
Vadim Bender B.A.
Univ.Prof. Alexandre Schottin
Zlatko Ritter B.Eng.
Thomas Drub
Hans Jürgen Grein Groth-Rudolph
Annelies Heidrich
Prof. Meik Blümel B.Sc.
Prof. Joanna Kreusel
Tina van der Dussen
Elfie Kreusel
Malte Schäfer
Prof. Ferdinand Gertz B.Sc.
Herr Falk Holzapfel
Univ.Prof. Mirella Peukert
Gitte Buchholz
Ing. Ralf Sölzer B.A.
Magdalene Mude
Alla Weihmann
Marlis Wiek
Wilhelm Tlustek
Iris Ullrich
Lia Heydrich
Meike Rosenow
Andrea Hamann
Theresia Henck
Arnulf Heidrich
Dörte Nette
Svetlana Boucsein
Gebhard Krein
Prof. Katarzyna Gehringer B.Eng.
Ing. Gertraude Holsten B.Sc.
Dr. Marie-Luise Klingelhöfer B.Eng.
Constantin Jacob B.Sc.
Natali Löffler
Isa Tlustek
Univ.Prof. Paulo Jähn
Ute Stroh
Carsten Wieloch-Kranz
Hanno Hölzenbecher B.Sc.
Kai-Uwe Bohnbach
Dajana Trapp-Kreusel
Julian Dussen van B.Eng.
Univ.Prof. Walter Barkholz
Folkert Schwital
Uta Karz
Herr Dietrich Gotthard B.A.
Dipl.-Ing. Klaus-D. Kostolzin
Univ.Prof. Emine Vogt B.Sc.
Utz Staude
Natalie Carsten B.A.
Dr. Oswin Junken
Albina Heinz
Walli Gnatz
Univ.Prof. Siegfried Karz B.Sc.
Louise Jessel
Marlen Schenk-Schuchhardt
Dana Jäntsch
Frau Melita Huhn
Bianka Holsten
Ulrike Hiller
Freddy Nette-Hendriks
Dipl.-Ing. Mariechen Bonbach
Ingetraud Freudenberger
Dr. Hans Dieter Mude
Ottilie Blümel
Meral Eberhardt B.A.
Janusz Kruschwitz B.Eng.
Prof. Johan van der Dussen
Ing. Willibert Steckel
Univ.Prof. Maxim Matthäi
Liane Gröttner
Valerij Barth
Osman Salz MBA.
Vittorio Harloff
Editha Jacob
Mohamed Stiebitz-Pärtzelt
Leon Rust
Helene Gröttner-Hornich
Ing. Brunhilde Albers
Edeltraud Mülichen
Raimund Hande
Univ.Prof. Marcella Trüb
Gabi Klapp
Kriemhild Warmer
Herr Frieder Wulff B.Sc.
Ing. Tilman Kitzmann
Ben Bonbach B.A.
Hans Josef Striebitz
Serge Trubin
Sören Etzler
Frau Gitte Hänel
Heinz-Gerd Söding
Maximilian Jockel
Tomasz Niemeier
Herr Andy Förster B.A.
Kaspar Junken
Melanie Segebahn
Ignatz Wähner-Hänel
Diether Dussen van-Rohleder
Annelies Seifert
Georg Misicher
Hartmut Zirme
Nadeschda Pölitz
Liliana Zorbach MBA.
Stephen Heidrich
Patric Heinrich
Lydia Losekann MBA.
Klaus-D. Segebahn
Zita Butte
Vitus Pruschke B.A.
Univ.Prof. Siegrun Klingelhöfer MBA.
Camilla Kühnert MBA.
Henryk Textor-Gröttner
Gisa Dörr B.Eng.
Siegbert Bachmann-Hövel
Vera Heydrich
Arno Lindner
Hans Jörg Koch
Univ.Prof. Karl-Otto Dowerg MBA.
Andy Jockel B.Eng.
Prof. Salvatore Römer
Otmar Wende
Jasmina Heuser
Klaus-Dieter van der Dussen
Kurt Thanel
Herr Hans-Ludwig Steinberg
Wolf-Dieter Sölzer-Putz
Ignaz Beer-Eckbauer
Ronny Scholtz
Kunigunda Zimmer
Notburga Pölitz
Sonja Löchel
Univ.Prof. Alexa Junitz B.Eng.
Frithjof Mielcarek MBA.
Ortrun Pohl B.Eng.
Vitali Neureuther
Valentine Tschentscher
Paulina Bender-Liebelt
Heinrich Bohlander-Ullrich
Wally Krein-Bien
Mechtild Niemeier
Evi Heuser
Philip Heß MBA.
Iwan Käster
Reinhart Jopich
Gerhild Stiffel
Rudolph Etzold
Irmengard Eckbauer
Annamaria Scholtz
Wieland Hethur
Geraldine Eckbauer
Dipl.-Ing. Christoph Schulz B.Sc.
Marliese Becker
Dr. Sonia Hornich B.Eng.
Johann Liebelt MBA.
Konstantin Eimer-Lehmann
Ing. Carmen Birnbaum
Ing. Friedhelm Löchel B.Eng.
Helene Ullrich
Ingetraud Fiebig
Univ.Prof. Adelbert Zimmer
Prof. Romy Bohnbach
Prof. Ines Kuhl
Jörg Speer
Ingetraud Austermühle-Dowerg
Aline Atzler-Beckmann
Univ.Prof. Sybilla Gehringer
Univ.Prof. Ron Rörricht
Herr Eberhardt Gierschner
Eberhardt Warmer
Dino Martin
Dan Scheuermann
Oliver Schwital
Anatolij Trub
Dipl.-Ing. Jerzy Stolze B.Sc.
Hüseyin Wulf-Schmidt
Reni Roht-Binner
Hans-Albert Wirth
Prof. Sandy Butte
Karl-Heinrich Jacob
Univ.Prof. Milan Hande
Joseph Austermühle
Caroline Harloff
Prof. Maria-Luise Drub B.Sc.
Klaus-Dieter Wende
Monja Riehl
Kamil Hendriks
Marek Schenk B.A.
Frederik Beyer
Resi Margraf
Prof. Anna Kühnert B.Sc.
Folker Otto
Herlinde Schenk B.A.
Anny Wagenknecht
Gaetano Paffrath
Marion Wohlgemut B.A.
Prof. Catherine Knappe MBA.
Anatolij Steinberg
Prof. Katalin Lindner B.Eng.
Hanns Stiffel
Alexandre Häring
Florence Davids
Patric Stahr-Ebert
Prof. Volker Hermann
Dipl.-Ing. Danuta Stumpf B.Eng.
Herr Dursun Hentschel B.Eng.
Walentina auch Schlauchin-Albers
Gertrude Kostolzin MBA.
Prof. Diether Neureuther
Roberto Jockel
Dr. Semra Wagenknecht
Prof. Tillmann Holt B.A.
Jens-Peter Heinrich
Ing. Nadeschda Tschentscher B.A.
Luka Binner
Herr Rolf-Peter Renner MBA.
Ellen Liebelt
Jacqueline Hofmann
Dr. Dora Fischer
Ing. Madlen Beier B.A.
Freia Hamann
Ing. Magda Jäntsch
Jonas Boucsein
Franz Josef Hoffmann B.Sc.
Ibrahim Lehmann B.Eng.
Ing. Eckehard Bloch MBA.
Frithjof Gertz
Dipl.-Ing. Sigrid Hahn
Imke Gieß B.Sc.
Dr. Katalin Knappe B.Eng.
Antonie Fischer-Margraf
Ing. Giuseppe van der Dussen B.A.
Friedo Ritter
Babett Pruschke-Schäfer
Marleen Heser
Inga Ruppersberger
Anastasios Drub
Gabriela Gierschner
Ana Klapp MBA.
Edda Henschel
Karl-Dieter Speer
Saskia Heidrich
Sergej Pärtzelt
Marco Buchholz
Herta Hoffmann
Brita Kaul
Darius Kallert
Florian Weimer
Frank-Peter Kambs
Boris Kruschwitz
Arnd Jacobi Jäckel
Stavros Hentschel B.Eng.
Robert Weimer
Hans-Martin Bärer
Gordana Budig B.A.
Dittmar Graf
Silvester Sorgatz MBA.
Dipl.-Ing. Lilly Junken MBA.
Gerhart Karz
Jost Lindau
Prof. Marija Seidel
Marco Conradi
Tilman Henschel
Ing. Nikolai Niemeier B.A.
Wladimir Möchlichen MBA.
Gerhild Löffler
Univ.Prof. Rosl Pölitz
Marleen Austermühle-Tintzmann
Prof. Siegbert Scheuermann B.A.
Annelore Täsche
Luciano Klotz
Adem Hörle
Ernest auch Schlauchin
Lieschen Steckel
Madlen Salz
Hellmut Siering
Siegrid Misicher
Gina Schmidtke
Hannelore Noack MBA.
Gilbert Schottin
Hans-Günther Kohl B.Eng.
Meral Reinhardt
Carina Schaaf
Antonius Käster
George Paffrath MBA.
Malgorzata Rohleder
Gülay Werner
Karl-Josef Thanel
Milos Kuhl B.Sc.
Traudel Loos
Dr. Editha Rohleder
Dr. Jochem Trapp MBA.
Viola Sager
Univ.Prof. Arno Kramer B.Eng.
Ing. Rosalinde Rogner MBA.
Bernd-Dieter Kostolzin B.A.
Ralf-Dieter Kroker
Erdal Bähr
Olaf Wesack
Prof. Marion Scholz
Roselinde Metz MBA.
Dajana Ring
Ing. Diedrich Gotthard MBA.
Giesela Dowerg
Egon Paffrath
Dr. Leonhard Otto
Julia Pärtzelt
Alla Rohleder
Arnim Bärer
Hans-Albert Schwital
Irene Ditschlerin
Hans-Gerd Jockel
Ernst-August Oestrovsky-Kreusel
Adalbert Reising
Guido Pieper
Frau Britt Heß
Kai-Uwe Köhler
Univ.Prof. Dorina Lange
Amalia Wulf
Gitta Mohaupt
Dorothea Finke
Olivia Thies B.A.
Ron Sorgatz-Eimer
Richard Drub
Dr. Diedrich Krebs B.A.
Univ.Prof. Othmar Geisel
Mehmet Löwer-Trupp
Krista Bohnbach
Dipl.-Ing. Hanns Nette
Prof. Thekla Hahn
Prof. Ingbert Nette
Kreszentia Scheibe
Norman Ditschlerin MBA.
Frau Stefani Hendriks B.A.
Valentin Rädel
Frau Käte Zahn
Susi Seifert
Dr. Kai-Uwe Schulz B.A.
Bernard Losekann
Elif Wohlgemut
Univ.Prof. Inga Hermighausen B.Eng.
Eckard Dehmel MBA.
Edda Klemt
Edmund Gnatz-Rogner
Marliese Roht
Fabienne Matthäi-Heß
Gülten Peukert
Hans-Bernd Rose
August Weihmann
Ingetraut Köster
Frau Rosalinde Mitschke B.A.
Ing. Gerold Gotthard
Maurice Pieper-Loos
Jaqueline Weitzel-Pölitz
Elfi Bolander
Hedy Rudolph MBA.
Jaroslaw Eckbauer
Cord Zorbach
Herr Jerzy Drub
Mike Matthäi
Philipp Lorch
Liliana Gehringer
Univ.Prof. Ingelore Schulz MBA.
Dipl.-Ing. Adele Huhn MBA.
Univ.Prof. Gustav Sölzer
Ing. Hannes Jähn B.Sc.
Prof. Josefa Beier B.Sc.
Herr Tomislav Ladeck
Jan Döring B.A.
Fatima Rörricht
Antonino Klingelhöfer
Hans Peter Beckmann
Ariane Roskoth
Ronald Henschel
Swantje Heinz
Gabor Pechel-Junken
Alena Seip
Prof. Mohammed Kambs
Semra Gorlitz
Janett Patberg
Univ.Prof. Waldemar Döring
Irmtraut Wende
Anja Wagner-Hermann
Francisco Wirth
Gislinde Müller
Dietlind Anders B.A.
Priska Wende
Wiltrud Bolander
Rotraut Ullrich
Rosl Trupp
Lieschen Kusch-Pechel
Mato Patberg-Heintze
Univ.Prof. Maria-Luise Trüb B.Sc.
Prof. Swen Benthin MBA.
Otmar Ditschlerin
Dr. Eberhardt Adolph B.Eng.
Univ.Prof. Undine Junken MBA.
Liane Reuter
Dipl.-Ing. Gerdi Wende
Dr. Isabell Trupp
Frau Evelyn Tlustek B.Sc.
Prof. Ursula Niemeier B.Eng.
Katerina Drubin
Guido Junck
Hildegund Gunpf
Constance Lange
Pedro Beer
Dorothe Renner
Alfred Holzapfel-Hamann
Univ.Prof. Resi Kobelt
Hans-Georg Dörschner
Wulf Eberhardt
Karl-Dieter Segebahn-Köster
Ahmet Stumpf
Anika Tschentscher
Monja Weiß
Anastasios Karge
Liliane Gröttner-Albers
Dr. Tony Ditschlerin
Halil Löwer
Andrei Hertrampf-Trommler
Roger Wagenknecht
Adriana Vogt
Herr Baptist Klotz
Frau Julia Fliegner
Ottmar Hölzenbecher
Karla Gunpf
Lucia Hermighausen
Prof. Clemens Söding
Slobodan Seip
Univ.Prof. Giovanna Bachmann B.Eng.
Prof. Mirko Adolph B.A.
Herr Franz Geisler B.A.
Mattias Henk
Jessika Thies
Dorit Ebert
Marijan Killer
Marta Sontag
Univ.Prof. Horst Scholtz
Ilse Nette
Anton Müller
Waldtraut Hoffmann
Karl-Wilhelm Geisel
Cecilia Gertz
Roman Bloch
Guiseppe Kranz
Ralph Stahr
Ing. Romy Gieß
Alwin Löffler B.A.
Kristian Anders B.Sc.
Dr. Leonie Köster
Mattias Sorgatz-Haase
Sigurd Süßebier
Irmtraut Ortmann MBA.
Prof. Sibel Mälzer MBA.
Ing. Karin Werner
Christin Hein B.Sc.
Dipl.-Ing. Helma Heuser B.Sc.
Siegried Otto
Ing. Ivonne Nerger
Dietlind Albers
Wilfriede Misicher
Ing. Henrike Kramer
Rocco Rosemann B.A.
Marie-Louise Hauffer
Vitali Junken
Adele Boucsein B.Sc.
Peer Bärer
Benno Gehringer-Wohlgemut
Univ.Prof. Kata Zahn
Marcel Fechner
Anne-Kathrin Ortmann
Tassilo Beckmann
Ilka Zimmer-Wesack
Judith Boucsein-Aumann
Mareile Meister
Dr. Alwina Lorch MBA.
Anselm Dowerg
Eileen Geißler
Univ.Prof. Liliana Drub
Mariusz Adler
Rosalinde Losekann
Polina Ladeck B.A.
Conny Metz
Emma Blümel
Leonhard Adolph
Mesut Gute
Edgar Karge
Denis Etzold
Ernst-Otto Heß-Hartmann
Gertraud Tröst
Freia Buchholz
Ing. Bernard Schleich B.Sc.
Manuel Krause MBA.
Dagobert Bohnbach
Univ.Prof. Fatima Hiller B.A.
Stephanie Weller
Ludger Stiffel
Dipl.-Ing. Svea Neureuther
Jochem Röhrdanz
