Student
Sandy Fechner
Berthold Rohleder
Rosi Renner-Graf
Sigismund Junitz
Gebhard Krein
Jonas Christoph B.Eng.
Uschi Dobes
Christos Sölzer
Prof. Heinz-Joachim Losekann
Dorit Köster
Marika Zimmer
Denny Lachmann
Univ.Prof. Edmund Mentzel B.Eng.
Clara Stroh
Volkhard Köster-Jüttner
Dipl.-Ing. Slawomir Ebert MBA.
Hanns Ehlert MBA.
Theda Stumpf B.Eng.
Ulrike Klemt B.Sc.
Lena Ernst-Schenk
Valerie Mangold
Herr Torsten Hermighausen B.Sc.
Robby Weller
Ing. Cosimo Steinberg
Prof. Amir Reising MBA.
Gesche Trub
Massimo Hecker
Kirsten Stey B.A.
Jo Reising
Esther Ehlert
Jonathan Schottin-Naser
Stephen Bruder
Guiseppe Bien
Ing. Utz Klemt B.A.
Edeltraud Mülichen
Karsten Kraushaar B.A.
Albrecht Seifert B.Sc.
Ansgar Möchlichen-Höfig
Hans-Jürgen Klemm
Univ.Prof. Marko Schmiedecke MBA.
Wolfhard Vogt
Jasmina Cichorius-Barth
Nina Putz-Ritter
Gitte Briemer
Ing. Mike Stolze
Frau Anja Haering
Kay-Uwe Barkholz
Ing. Loni Gnatz MBA.
Herr Mike Schuchhardt B.A.
Magdalena Löwer B.Eng.
Arzu Wieloch-Röhrdanz
Geert Etzold
Krystyna Holsten B.A.
Ursula Löffler
Isabel Rose
Heinz-Otto Hermighausen
Herr Gisbert Langern
Zehra Ernst-Bohnbach
Christl Eigenwillig
Ing. Eckehard Bloch MBA.
Dipl.-Ing. Tamara Seifert B.A.
Niklas Trubin
Dipl.-Ing. Lara Tlustek
Univ.Prof. Resi Kobelt
Constance Lange
Dipl.-Ing. Gerold Kusch B.Eng.
Annelies Heidrich
Adina Mitschke
Heribert Austermühle-Trupp
Dipl.-Ing. Arthur Ziegert
Veit Beckmann
Gundel Dietz
Hilma Berger
Karl-Hans Schuchhardt-Mohaupt
Alexandros Ernst
Hans-Bernd Eimer-Pechel
Dr. Arzu Martin B.Eng.
Rüdiger Buchholz-Kuhl
Dr. Rolf Walter
Yusuf Seifert
Oxana Ladeck
Univ.Prof. Albertine Köhler MBA.
Ewald Hethur
Guido Pieper
Ilija Kohl
Asta Mielcarek-Blümel
Dr. Gunther Jähn B.A.
Ulla Süßebier
Prof. Marion Martin
Klaus-D. Zänker-Hein
Annegrete Jäkel
Bogdan Löffler
Herr Wieland Hartmann MBA.
Marie-Therese Wagner
Ing. Herbert Mühle B.Sc.
Gotthard Löwer
Dipl.-Ing. Valeria Kühnert MBA.
Hannchen Löwer B.Eng.
Ilja Wende
Frau Josefa Henschel B.A.
Kreszenz Drubin
Univ.Prof. Nadja Jacob B.Eng.
Senta Wernecke B.Sc.
Henrik Hein B.A.
Selma Fritsch B.Eng.
Univ.Prof. Hinrich Eberth
Sandy Haering
Gerwin Schuster
Siegrun Schomber
Elli Kohl
Alexei Meister
Zdravko Kroker
Daniela Weimer
Sylvester Neuschäfer-Schacht
Henry Schüler B.Eng.
Gretchen Pohl
Alla Rohleder
Manuel Krause MBA.
Ing. Irmtraud Wiek MBA.
Marie-Luise Ring
Friedlinde Sauer
Maik Tintzmann B.Sc.
Hans-Willi Baum-Staude
Ing. Hans-Joachim Ullrich
Ehrentraud Kroker
Toni Scholl-Scholl
Konstantinos Linke B.Eng.
Lilija Kensy
Dipl.-Ing. Liliana Hartmann
Irmtraut Wende
Dr. Ellen Schlosser B.A.
Hans-Willi Ladeck
Recep Hecker
Gusti Vollbrecht
Gertrude Bärer
Natalja Seidel
Nadja Ladeck B.Sc.
Else Gröttner
Friedl Atzler-Süßebier
Wiltrud Wilmsen-Graf
Ing. Jo Caspar
Heimo Hübel MBA.
Hans-Joachim Häring
Marek Walter MBA.
Prof. Gaby Ernst MBA.
Vittorio Harloff
Pedro Pölitz
Ehrhard Förster
Ivana Eimer
Balthasar Müller-Drub
Isa Koch
Miriam Haering
Georgine Schäfer
Univ.Prof. Blanka Linke B.Eng.
Herr Rupert Jüttner MBA.
Gertrude Gumprich
Rosl Trupp
Elisabeth Käster
Gotthard Schuster
Stavros Ortmann
Herr Gerhardt Benthin
Ing. Knud Vogt
Margrit Förster
Ing. Hans-Wolfgang Weitzel B.Sc.
Heimo Gorlitz B.A.
Ing. Mahmoud Becker
Rose Beer
Katerina Hauffer
Dipl.-Ing. Tomislav Dowerg B.Eng.
Gönül Barth-Zobel
Michaela Kade
Konstantin Rogner
Hanife Thies
Dr. Bernfried Schomber
Aleksander Klapp-Sauer
Walburga Junk
Miriam van der Dussen
Milos Knappe-Scholz
Ottomar Hermann
Ernst-August Oestrovsky-Kreusel
Guenter Wende
Josefine Rosenow-Hertrampf
Steffen Schlosser
Ing. Clemens Wirth
Alina Finke
Alexandre Caspar
Balthasar Holsten
Univ.Prof. Dorle Röhrdanz B.A.
Mirja Bähr
Ing. Hüseyin Gutknecht B.Sc.
Ulrike Ackermann B.Sc.
Heiderose Bärer
Marit Weller
Deborah Finke
Emilia Scheel
Dipl.-Ing. Marek Jockel
Frau Krista Rädel B.Sc.
Birthe Graf
Bernt Jessel
Patricia Wiek
Phillip Hermann
Wolfhard Ziegert
Elisabet Schuster B.A.
Philippe Wähner
Undine Dehmel
Irmtrud Johann
Vitus Pruschke B.A.
Dariusz Reising-Ernst
Karl-Peter Häring-Kruschwitz
Hans-Gerd Holt
Dipl.-Ing. Hans-Erich Klemm
Ing. Dirk Paffrath
Horst-Peter Riehl
Aynur Bohlander
Ing. Anneliese Döring
Dr. Rotraud Gorlitz
Torsten Trapp B.A.
Jana Drubin-Heß
Abbas Täsche
Tatiana Pechel
Ekrem Pruschke-Jäkel
Janusz Kruschwitz B.Eng.
Edit Rädel
Antonius Pärtzelt-Jüttner
Annelise Schwital
Siegmar Pergande B.Eng.
Robert Budig-Ullmann
Sieghard Kensy
Birgitta Schleich
Aleksej Lehmann
Ing. Valentine Scheibe
Dunja Dörr B.Sc.
Frau Caren Schmidt MBA.
Ludmila Stadelmann
Waltrud Scholl
Kasimir Lindau
Mareike Reichmann
Juliane Mentzel-Ziegert
Herr Claus Killer
Karl-Otto Kostolzin
Deborah Scholtz B.A.
Wenke Neureuther-Hermighausen
Dipl.-Ing. Lucia Renner B.A.
Ferenc Pergande B.Eng.
Ing. Jonas Schaaf
Ing. Silke Kambs
Univ.Prof. Beatrix Roskoth
Reza Kusch
Karl-Wilhelm Rogner
Marianna Etzler
Margarete Mohaupt B.Sc.
Elise Ackermann
Prof. Ana Textor
Lilija Döring
Emine Tlustek B.Sc.
Frau Juliane Schulz B.Sc.
Lutz Mies-Hesse
Frau Danica Davids B.A.
Rosalia Pruschke
Heinz-Dieter Caspar-Hande
Univ.Prof. Clara Heidrich B.Sc.
Kurt Thanel
Malgorzata Pieper
Anny Wähner
Raymond Ruppersberger
Pawel Peukert-Rörricht
Dagobert Hornig
Dipl.-Ing. Sedat Sontag
Ekkehart Bruder
Enver Dehmel
Dipl.-Ing. Giuseppina Etzler B.Sc.
Stephanie Weller
Zenon Hahn MBA.
Univ.Prof. Gundel Atzler B.Eng.
Egbert Bender
Nurettin Börner
Ing. Erica Schottin
Trudel Wagner
Nicolai Gutknecht
Dipl.-Ing. Lieselotte Trüb B.A.
Gerti Döring
Ing. Marie-Therese Seifert
Cäcilie Roht-Misicher
Dr. Leonhard Otto
Rolf-Dieter Flantz B.Eng.
Gert Juncken
Albin Fischer B.Eng.
Herr Karl-Heinrich Eberth B.Sc.
Frau Natalija Stey
Lidija Trapp
Mandy Scholl-Bohnbach
Frau Inken Zimmer B.Eng.
Ing. Hannes Jähn B.Sc.
Christiane Wirth B.Eng.
Czeslaw Jacob B.Eng.
Dipl.-Ing. Undine Warmer
Francoise Vollbrecht B.Sc.
Frau Eugenia Matthäi
Hanny Martin
Lukas Juncken MBA.
Heinz-Walter Juncken
Felizitas Jungfer
Hans-Bernd Trupp
Frau Trude Walter B.A.
Birgid Freudenberger
Wilfried Börner
Frau Beatrix Bonbach B.A.
Gundi Sager
Leon Linke
Justine Kade
Renate Franke B.A.
Ing. Willfried Kostolzin
Willy Trub-Freudenberger
John Roskoth-Rädel
Fadime Reinhardt MBA.
Ricarda Fröhlich B.A.
Jasmina Bolzmann-Hövel
Meta Harloff
Hanno Löffler
Dipl.-Ing. Mathias Metz B.A.
Univ.Prof. Beate Eberth
Sybilla Hornig
Roman Jäntsch
Natali Patberg B.A.
Käthi Lübs
Eugenia Anders B.A.
Celal Hettner MBA.
Margit Walter
Dana Löwer MBA.
Krista Scholtz
Ing. Jürgen Jopich B.A.
Serge Kade
Ing. Wiltrud Sauer B.Sc.
Margot Ullmann
Liane Gröttner
Zehra Conradi-Heinrich
Univ.Prof. Marc Schmiedt
Hanno Trub
Stephen Lübs
Nadeschda Hande
Bärbel auch Schlauchin
Prof. Irena Höfig
Univ.Prof. Damian Sorgatz B.Eng.
Ing. Edeltraud Zirme
Klara Löchel-Bien
Dipl.-Ing. Ilse Heß B.Sc.
Emilie Schmiedecke
Herr Karl Dippel B.A.
Dr. Harald Ritter
Magdalene Mude
Jolanda Jopich
Julius Kraushaar
Ing. Hedi Wulf
Hans-Albert Wirth
Hannelore Weinhold B.Sc.
Gaetano Paffrath
Helmtrud Börner B.A.
Rosalia Heydrich
Karl-Georg Dörschner
Gerolf Radisch
Bruni Vogt MBA.
Dusan Zahn B.A.
Prof. Aziz Stumpf
Prof. Rolf-Dieter Fiebig MBA.
Burckhard Heuser
Andre Stroh
Remo Reinhardt
Frau Ayten Pärtzelt MBA.
Constantin Kraus
Ivana Mielcarek
Berend Gertz B.Eng.
Johann Rust
Karolina Reuter-Freudenberger
Iris Mans
Patric Hermighausen MBA.
Adolfine Fischer
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Univ.Prof. Natalie Noack MBA.
Ing. Georg Lübs
Prof. Hansjürgen Langern
Herr Süleyman Karge MBA.
Ing. Ivana Budig B.Eng.
Wulf Kusch
Ehrhard Häring B.A.
Hanne Gierschner
Inka Trapp
Ehrhard Pruschke
Harold Bähr B.A.
Zdenka Weiß
Änne Wagner
Dursun Mies
Nadja Schleich MBA.
Dr. Daniel Trommler
Prof. Anka Schulz
Prof. Hans Dieter Kitzmann MBA.
Margareta Zirme
Guenther Schmidt
Walfried Wohlgemut B.Eng.
Serge Grein Groth
Eckhard Lindau B.A.
Uta Karz
Alwina Koch
Dr. Jacqueline Trubin B.Sc.
Mahmut Rose B.A.
Rosa Christoph-Sontag
Zofia Gutknecht
Edgar Rohleder-Fröhlich
Klaus-Michael Fiebig
Hulda Seidel-Carsten
Nora Dehmel B.Eng.
Baptist Vogt
Andree Wilmsen B.Eng.
Frau Carola Scheibe MBA.
Franz Ortmann B.Eng.
Siglinde Kambs-Geißler
Heinrich Köster
Sebastian Warmer
Stephanie Heintze
Hansjürgen Schlosser
Prof. Marko Rohleder B.A.
Nikolai Stiebitz
Constantin Kostolzin
Klaus-Peter Kitzmann
Andrea Wulf
Herr Konstantin Neureuther B.A.
Dr. Siegfried Heinz B.Eng.
Claire Junk
Bertram Eigenwillig
Francisco Budig-Geisler
Francisco Schmidtke-Albers
Prof. Helga Hesse
Bertha Heser MBA.
Frau Danielle Junk
Leonhard Patberg
Univ.Prof. Hans-Theo Kroker
Susanne Etzold
Ing. Swen Ehlert
Beatrice Bender
Dr. Reza Hering B.Sc.
Emilie Scholz
Marie Sorgatz MBA.
Andrei Säuberlich
Geza Bloch-Mühle
Susann Mielcarek
Hilde Lübs
Torben Hartung
Dipl.-Ing. Karl-Heinz Rörricht
Reinhild Patberg
Alan Stadelmann-Lindner
Victor Seifert
Egbert Heintze
Heidemarie Kreusel
Cordula Wohlgemut
Beatrix Möchlichen
Dorle Schmidtke MBA.
Karlfried Müller
Babett Adler
Detlev Heintze
Ing. Rico Hoffmann
Gülsen Junck
Rosita Köster B.A.
Dittmar Graf
Hanife Ackermann
Angelika Roskoth
Sebastian Karge
Amir Reuter
Dipl.-Ing. Frederik Rörricht B.Sc.
Franziska Beer
Prof. Johan van der Dussen
Karsten Wohlgemut
Yasemin Hande
Hans Kohl MBA.
Traute Fröhlich
Hans Misicher
Dragica Rosenow
Süleyman Wende
Dr. Jens-Uwe Ruppert
Salvatore Tlustek
Dipl.-Ing. Dajana Beer
Hans Peter Beckmann
Ing. Cläre Dowerg
Dr. Gundula Putz
Dipl.-Ing. Gertraut Stolze
Svenja Langern
Prof. Hannah Hölzenbecher MBA.
Ing. Felicia Dörschner B.Sc.
Albin Schuchhardt
Gotthard Christoph
Kasimir Albers-Stiebitz
Reni auch Schlauchin
Antonia Köster B.A.
Cornelia Radisch
Alfons Klingelhöfer
Mandy Loos
Tillmann Mude
Ing. Ramazan Kallert MBA.
Sami Mitschke
Prof. Jan-Peter Schmidt
Michaele Schwital
Eleni Mühle MBA.
Wolf-Dieter Sölzer-Putz
Franco Loos B.Eng.
Marius Klotz
Jost Briemer
Lars Weller
Dr. Gerti Scheel
Paolo Meister
Siegrun Christoph
Dr. Ljiljana Henck MBA.
Cord Tröst
Janus Oderwald-auch Schlauchin
Jadwiga Gotthard
Frau Theodora Hettner B.A.
Margareta Schmidt
Leni Wohlgemut-Ruppersberger
Prof. Salvatore Römer
Elif Röhricht
Hans-Helmut Binner B.Sc.
Univ.Prof. Pascal Schweitzer
Brunhilde Mälzer-Warmer
Edmund Schmidt-Fliegner
Janin Hamann
Dipl.-Ing. Betti Löffler MBA.
Agatha Kostolzin
Dr. Hans Dieter Mude
Carl-Heinz Trapp
Dr. Marie-Luise Klingelhöfer B.Eng.
Yvonne Kroker
Rene Berger-Jäkel
Dipl.-Ing. Nina Boucsein MBA.
Kathleen Hahn B.A.
Rosa Tintzmann
Rotraud Fiebig
Eileen Hartung
Ronald Hofmann
Günter Löwer
Anke Hettner
Hans-Gerd Jockel
Eberhardt Fiebig
Wieslaw Löchel
Adriana Vogt
Ottokar Döhn
Raymond Speer
Ahmed Lange MBA.
Manuel Pärtzelt
Conny Metz
Heinz-Willi Holt
Heide-Marie Zirme
Univ.Prof. Dorit Pechel B.A.
Gloria Lachmann MBA.
Jan-Peter Scheuermann-Jungfer
Walfried Klotz-Klotz
Celal Scheel B.A.
Univ.Prof. Pius Kühnert
Stefania Möchlichen
Prof. Monica Beer MBA.
Eckard Textor
Dr. Carmela Rudolph
Meta Wagenknecht
Silvester Scheibe
Mira Hoffmann
August Weihmann
Herr Steven Eberhardt
Dr. Margarethe Ernst
Karl-Hans Hande-Schuster
Xenia Christoph
Jelena Löffler
Anne-Katrin Höfig
Elisa Karz-Rohleder
Erica Renner-Trapp
Ilonka Döring-Schulz
Herr Janus Matthäi B.Sc.
Ellinor Schmidtke B.Sc.
Siegfried Kreusel
Anatoli Caspar
Mona Söding
Prof. Mathias Schmiedt
Johannes Bärer
Prof. Alois Jacob
Marvin Kabus B.A.
Adolfine Wilms
Adalbert Boucsein
Herr Wilhelm Schuchhardt B.A.
Hans-Helmut Wesack
Desiree Gierschner B.Eng.
Carmela Lindau
Regine Meyer
Ekrem Zänker
Arnulf Ullmann
Ferenc Trüb B.A.
Amanda Weller
Hellmut Nerger
Olaf Hethur
Herr Mahmoud Schleich B.Sc.
Prof. Bianka Schacht
Dr. Dora Fischer
Fatima Eckbauer-Rosemann
Prof. Ralf-Peter Schlosser B.Eng.
Hansgeorg Beier-Freudenberger
Prof. Marika Davids B.A.
Igor Dörschner
Ludwina Haase
Tilman Hövel
Nathalie Krause
Carlos Klotz
Rüdiger Heinrich
Univ.Prof. Etta Bohnbach
Theres Beer
Elmar Fröhlich
Dr. Stephanie Ladeck
Enrico Kobelt-Klemt
Heidemarie Junitz
Dipl.-Ing. Cristina Vogt
Philomena Bloch
Zlatko Ritter B.Eng.
Prof. Horst Mälzer B.Sc.
Mara Vollbrecht B.A.
Elizabeth Wulf
Leonardo Lehmann
Lili Döhn-Margraf
Filippo Juncken
Dino Kusch-Hiller
Maike Bolnbach
Cindy Stahr
Evelin Gerlach
Guenther Steinberg MBA.
Frau Wendelin Heinrich B.Eng.
Karl-Jürgen Ziegert
Susi Grein Groth-Steuer
Klaus Dieter Rädel
Gertraude Salz-Gnatz
Irmi Gute
Dipl.-Ing. Marieluise Löchel
Univ.Prof. Sahin Freudenberger B.A.
Prof. Tilmann Franke B.Sc.
Desiree Köster
Dr. Ruth Dobes
Prof. Constance Austermühle B.Sc.
Zbigniew Weinhage
Irmingard Meyer MBA.
Prof. Klaas Geißler B.A.
Liesel Klapp
Rena Rohleder
Heinz-Werner Schleich-Mies
Dipl.-Ing. Christoph Schulz B.Sc.
Reimar Klemm MBA.
Dipl.-Ing. Ladislaus Weinhold
Dajana Ring
Enrico Hellwig
Dipl.-Ing. Sergio Hövel B.Eng.
Hermann-Josef Zimmer
Thomas Hänel
Friedrich-Wilhelm Höfig-Johann
Helene Ullrich
Ing. Eva Kitzmann B.A.
Dr. Annita Kallert
Bruno Wagenknecht
Urs Matthäi
Prof. Niko Atzler B.Sc.
Prof. Nikolai Gunpf
Georgios Neuschäfer
Heinz Dieter Zirme
Hans-Werner Mohaupt
Dr. Edelgard Sauer B.Sc.
Maximilian Hellwig
Prof. Guenter Mosemann
Karla Wirth
Marcella Ehlert
Katherina Hesse
Ida Buchholz B.Eng.
Konstanze Mohaupt
Wiltrud Geißler
Gunnar Hornig
Ante Hermann-Mans
Theo Henschel
Johann Baum
Robin Weinhage B.A.
Oscar Reinhardt B.A.
Arno Lindner
Dr. Heinz-Georg Aumann MBA.
Monique Liebelt-Ebert
Univ.Prof. Siegfried Karz B.Sc.
Valerij Barth
Samuel Ackermann
Saban Etzler B.Eng.
Vassilios Birnbaum
Prof. Meik Blümel B.Sc.
Irmi Schacht
Wolfgang Beier-Mohaupt
Eugen Weitzel
Thorsten Gude
Oscar Nerger
Viola Ackermann
Nina Müller B.Eng.
Antonius Hermighausen
Prof. Mathias Kambs
Toni Dehmel-Striebitz
Falk Ritter
Hanns Stiffel
Dr. Renate Mende
Moritz Spieß
Wencke Salz
Dipl.-Ing. Kriemhild Löchel
Ute Hartmann
Univ.Prof. Michaele Heser MBA.
Tino Paffrath B.Eng.
Jorge Killer
Arzu Stiffel-Drubin
Aleksandra Stey MBA.
Woldemar Jacob B.A.
Sigmund Mosemann
Herr Vincenzo Liebelt
Mercedes Blümel
Marisa Wagenknecht
Bettina Schlosser
Edeltraut Anders-Rohleder
René Gude B.A.
Herr Roman Schwital MBA.
Helen Dehmel
Herr David Löchel B.A.
Prof. Irma Bien B.Eng.
Prof. Magdalena Bohlander B.Sc.
Cläre Heser
Dipl.-Ing. Götz Bloch
Notburga Heuser
Siegbert Schweitzer
Knut Gorlitz
Hans-Wilhelm Weller
Monika Mühle-Hiller
Erhardt Steinberg
Amalie Gotthard-Beckmann
Agnes Vollbrecht
Ottilie Blümel
Frau Hedwig Wirth
Univ.Prof. Hardy Hartung
Friedemann Kostolzin
Frau Cordula Anders B.Eng.
Cindy Meyer
Irina Mielcarek
Engelbert Margraf-Trommler
Dipl.-Ing. Patric Fröhlich
Wojciech Rogner
Lidwina Sorgatz-Weihmann
Milos Biggen
Constantin Jacob B.Sc.
Ansgar Seidel
Marian Vollbrecht MBA.
Univ.Prof. Olivia Gnatz MBA.
Frithjof Gertz
Marieluise Schulz
Louis Loos B.Eng.
Dr. Fatma Jacob MBA.
Johanna Fischer
Philip Weller B.A.
Mehdi Niemeier-Noack
Marion Wohlgemut B.A.
Grit Röhricht-Rosemann
Engin Johann-Weihmann
Jiri Förster
Dr. Samuel Tröst
Prof. Cilli Wulf
Luisa Seip B.Sc.
Ing. Walli Bolander MBA.
Svetlana Bonbach B.A.
Herr Burkhardt Bauer B.Eng.
Peer Hölzenbecher
Rotraut Bachmann
Ing. Corinne Winkler
Rosa Heuser
Irmi Täsche B.A.
Mikhail Bauer
Rüdiger Hellwig B.A.
Ljiljana Ruppert
Käthi Naser-Tlustek
Zeljko Gieß
Philipp Killer B.A.
Otto Lindner
Univ.Prof. Markus Finke B.Sc.
Alexej Röhrdanz
Ing. Brunhilde Albers
Fabian Lübs
Gisela Weinhold B.Sc.
Carla Schacht
Anika Trüb
Univ.Prof. Gusti Schlosser
Hermine Franke B.Eng.
Gislinde Lehmann
Greta Baum
Jonas Löchel
Marie Hoffmann B.Sc.
Dr. Hans-Willi Hertrampf MBA.
Claire Holt
Kordula Kambs B.Eng.
Christos Bolander
Dr. Muzaffer Sauer B.Eng.
Prof. Patrik Scheel
Erwin Jungfer
Ing. Leo Schulz
Klaus-Werner Jäkel-Holsten
Henry Hofmann B.Eng.
Gesine Graf
Frau Käthi Hamann B.Eng.
Cindy Schleich
Ing. Adam Klemt MBA.
Dipl.-Ing. Maik Mende B.Sc.
Augusta Rosemann
Valeria Conradi
Reni Rosemann MBA.
Ronald Rädel
Mina Beyer
Univ.Prof. Hans-Martin Scholz
David Losekann
Univ.Prof. Ludwig Jähn B.A.
Micha Schottin
Dipl.-Ing. Jerzy Stolze B.Sc.
Melanie Jungfer-Preiß
Gerhild Löffler
Prof. Anica Haering B.A.
Urszula Trapp
Hildegard Roht B.Sc.
Reinhold Hellwig-Mülichen
Ehrhard Klotz
Ramona Sontag
Suzanne Holzapfel
Ing. Hanns Haase B.Eng.
Anton Drubin
Anatolij Jüttner-Bauer
Renato Bolnbach
Manuela Linke B.Eng.
Adam Hölzenbecher-Hettner
Brunhilde Koch II
Dipl.-Ing. Utz Adler B.A.
Aneta Kambs
Justine Lindner
Dorit Ebert
Gertrude Pieper
Univ.Prof. Brigitte Rogner
Nuran Schäfer B.A.
Antoinette Schottin
Nadeschda Barkholz
Prof. Ullrich Rosenow B.A.
Cora Reichmann B.A.
Heide Hesse-Bärer
Muharrem Rosemann-Heidrich
Ingelore Kobelt MBA.
Prof. Dirk Biggen B.Eng.
Heimo Huhn B.A.
Jeanette Mälzer
Mohamed Stiebitz-Pärtzelt
Sükrü Walter B.Eng.
Silke Heydrich-Albers
Cläre Bruder-Hentschel
Univ.Prof. Hans-Eberhard Bauer
Moritz Roht
Herr Gotthard Wilms
Rahel Heidrich-Jüttner
Babett Pruschke-Schäfer
Univ.Prof. Jacqueline Faust
Siegrun Reinhardt
Herr Lukas Eimer
Klaus-D. Segebahn
Georg Nerger
Dr. Leila Gunpf B.Sc.
Prof. Apollonia Gerlach B.Sc.
Gerwin Rust MBA.
Hartmuth Gude B.Eng.
Leon Bauer
Daniele Heintze B.Eng.
Lissy Dippel
Cläre Mohaupt
Caroline Wende
Eva Wende-Peukert
Ing. Luisa Oestrovsky
Ing. Agnes Zobel
Kati Koch II
Julian Schuchhardt-Dippel
Ing. Ernest Rogge B.A.
Gebhard Sorgatz
Mechthilde Lindau B.A.
Dr. Miguel Jungfer
Liesel Ziegert
Isa Knappe-Biggen
Insa Bloch B.A.
Ellen Vogt
Alfredo Möchlichen
Dr. Karl-Ludwig Stoll MBA.
Betty Steinberg
Herr David Freudenberger B.Eng.
Dr. Bastian Christoph MBA.
Ing. Karl-Peter Weinhold B.Sc.
Silja Eberhardt-Boucsein
