Student
Alma Kaul
Gebhard Kitzmann
Dr. Bernfried Bärer
Dipl.-Ing. Rouven Kallert MBA.
Rainer Gunpf B.Eng.
Karen Hendriks
Hans-Erich Mende
Gunhild Kroker
Ingetraud Caspar
Thies Blümel
Anne Zorbach
Univ.Prof. Klaus-Günter Renner B.A.
Heidelinde Pruschke
Elli Meister
Nina Müller B.Eng.
Herr Bastian Ritter B.Sc.
Catrin Bachmann
Walter Weller
Mark Gute-Faust
Hulda Seidel-Carsten
Dr. Marianne Reising
Senol Hande MBA.
Ing. Rico Hoffmann
Halina Römer-Hartung
Gabriel Kreusel
Marten Wesack
Fredy Bachmann B.Eng.
Claudio Bolnbach
Gülsen Gutknecht
Hans-Detlef Schäfer
Elfi Harloff
Aldo Förster
Stephanie Krause
Univ.Prof. Liliana Niemeier B.Eng.
Annelie Schomber
Jonas Christoph B.Eng.
Gerwin Rust MBA.
Dr. Lilija Butte B.A.
Julia Mosemann
Janko Schulz-Becker
Hans-Gerd Gnatz
Piotr Ruppersberger
Bernfried Roht
Marisa Hartmann-Kusch
Dipl.-Ing. Fred Meister
Emanuel Scholz B.Eng.
Jeannette Heuser
Sibilla Bachmann
Prof. Axel Davids MBA.
Eckhart Gutknecht
Martina Salz-Sorgatz
Sven Walter
Lambert Röhricht-Johann
Aleksej Fröhlich
Edda Jungfer
Kriemhild Junk MBA.
Vassilios Birnbaum
Raymond Ruppersberger
Iwan Käster
Magrit Lange
Irmtrud Schmiedt B.Sc.
Jakob Döring
Dipl.-Ing. Slawomir Ebert MBA.
Olav Thies
Paul Hettner
Univ.Prof. Nadine Gnatz
Anika Sager
Stanislaus Geißler
Tabea Rogge
Hans-Rainer Rogner
Janin Hermann
Ullrich Preiß
Nurten Henschel-Stroh
Prof. Urs Flantz
Uli Stolze MBA.
Dipl.-Ing. Henrike Hörle B.A.
Janett Patberg
Gisa Atzler
Dorle Killer
Agathe Trommler
Denis Etzold
Ignaz Stoll
Ing. Rose-Marie Hölzenbecher
Jadwiga Karge
Kai-Uwe Schäfer
Univ.Prof. Irene Budig
Heimo Huhn B.A.
Hans-Friedrich Ruppert-Ullrich
Hubertus Dörschner
Dr. Immo Kramer
Magdalena Löwer B.Eng.
Ing. Justina Beckmann
Madeleine Hermann B.Sc.
Dolores Atzler B.A.
Tobias Wirth
Hans-Gerd Preiß
Dipl.-Ing. Peer Kuhl
Piotr Schaaf
Adam Gertz
Frau Juliane Schulz B.Sc.
Karen Grein Groth-Dörschner
Dr. Daniel Trommler
Univ.Prof. Albin Bärer
Ing. Agnes Zobel
Sigurd Lange-Seifert
Nada Dowerg-Jähn
Ing. Anneliese Döring
Heinrich Rogner
Gundi Sager
Dr. Mechthilde Hellwig
Ing. Tillmann Geisel
Dr. Denise Girschner B.Sc.
Nina Ladeck
Prof. Guenter Mosemann
Ing. Guenther Scholtz B.A.
Zeynep Keudel
Jonathan Mohaupt
Swen Wirth
Mathilde Wähner-Bien
Dipl.-Ing. Lidija Pölitz
Klaus-Dieter Wende
Armin Scholz
Edward Dippel
Yvette Margraf-Wernecke
Dipl.-Ing. Cläre Geißler
Ing. Hüseyin Gutknecht B.Sc.
Frau Britt Heß
Dipl.-Ing. Jens-Peter Dippel MBA.
Deborah Beier
Egbert Heintze
Edda Junck-Eimer
Krystyna Holsten B.A.
Ole Schmidtke
Christa Kabus
Juergen Bähr
Adelheid Schmidtke
Dr. Gabriel Junitz
Georg Nerger
Folkert Schwital
Dr. Natascha Trüb
Manuel Pärtzelt
Alexandros Heintze
Prof. Knud Salz
Adelheid Salz
Andrei Säuberlich
Wulf Thanel-Scheibe
Hans Georg Niemeier
Dominic Möchlichen
Ewald Dussen van
Regina Barkholz
Univ.Prof. Antonina Becker
Ahmed Lange MBA.
Karl-Ernst Reuter
Ing. Magda Jäntsch
Olaf Weinhage
Oliver Schwital
Univ.Prof. Erhard Heuser MBA.
Gabi Gertz
Helmar Barth
Theo Trubin
Hannes Patberg
Klaus-D. Dippel MBA.
Dipl.-Ing. Rigo van der Dussen B.Eng.
Nathalie Lehmann
Ing. Leopold Beier B.Sc.
Natascha Eigenwillig
Tilmann Geisler
Marleen Langern-Oderwald
Univ.Prof. Alexei Mülichen MBA.
Simon Mude
Zbigniew Weinhage
Alena Hänel
Gesche Trub
Ludmila Löffler
Daniela van der Dussen B.Eng.
Karl-Georg Zahn
Laila Trüb
Auguste Pruschke
Ilhan Budig
Prof. Cora Bolander
Siegrun Christoph
Friedhilde Wernecke
Emilia Wagenknecht-Riehl
Dr. Ingelore Winkler
Patrik Ditschlerin
Ladislaus Hande
Dusan Dussen van
Senta Ruppersberger
Sigrun Mälzer
Insa Bloch B.A.
Galina Kraus-Hermighausen
Karolin Mitschke
Stephanie Dörr-Bärer
Alfredo Oestrovsky
Ing. Paolo Meister
Anneli Wernecke
Gottlob Römer
Bertha Reuter
Gerold Jacob
Mohamed Schottin
Wibke Tschentscher-Wulf
Margit Losekann
Magdalene Patberg-Mosemann
Berthold Rudolph
Hiltraud Köster MBA.
Ing. Boris Junck MBA.
Telse Rudolph
Armin Hellwig-Finke
Herr Hilmar Stumpf
Ilonka Kohl
Annemarie Schaaf B.Sc.
Ludmila Patberg
Marek Adler
Ing. Gabriela Dippel MBA.
Janus Weitzel-Koch
Ing. Nils Pergande B.A.
Valeri Mielcarek
Giesela Dowerg
Diethelm Hübel MBA.
Evangelia Gierschner
Edith Kostolzin
Prof. Hans-H. Zimmer
Leokadia Putz
Ella Keudel
Dr. Zeki Eberth
Gunther Tschentscher
Univ.Prof. Tomasz Atzler B.Sc.
Janus Oderwald-auch Schlauchin
Karla Conradi
Reinhold Schäfer-Eimer
Pius Jopich B.Eng.
Gereon Weitzel
Ing. Konstanze Geisel
Dorina Dippel
Marek Hesse B.Eng.
Czeslaw Jacobi Jäckel-Zahn
Pavel Jessel
Witold Heintze
Roswita Atzler
Hans-Christian Finke
Tim Sorgatz
Prof. Tadeusz Mosemann B.Sc.
Wenke Patberg
Jennifer Trapp
Kristian Meyer
Anni Kraus
Lieschen Steckel
René Ullrich
Grete Biggen-Kostolzin
Dr. Mohammed Höfig
Ing. Margarete auch Schlauchin MBA.
Dr. Edit Scheibe B.A.
Dr. Jurij Nohlmans B.A.
Ramona Henk B.Sc.
Stephen Lübs
Siegried Otto
Frau Conny Klemt
Pedro Beer
Mirja Wähner
Franco Radisch
Ing. Iwan Wagner
Prof. Knud Atzler B.Sc.
Dipl.-Ing. Tina Kranz MBA.
Dr. Senol Beier MBA.
Univ.Prof. Roger Stadelmann B.Sc.
Jost Briemer
Sieghard Stoll-Harloff
Aneta Kambs
Ewa Kade
Elmar Förster
Prof. Friedbert Tschentscher B.Eng.
Remo Reinhardt
Faruk Birnbaum
Herr Jonathan Hänel MBA.
Dr. Regine Gotthard
Hanno Löffler
Isa Kramer-Matthäi
Ing. Elisabet Jopich B.Sc.
Hendrik Gehringer
Justine Dippel-Rosemann
Dorina Weinhage
Martha Dowerg
Sofia Mielcarek B.A.
Egbert Bender
Dipl.-Ing. Gabi Scholtz
Traute Fröhlich
Marianne Ernst-Zirme
Frau Anna Mangold B.A.
Monja Siering
Milos Kuhl B.Sc.
Linus Drub
Annerose Eckbauer
Kristin Kabus
Ralf-Peter Ebert
Prof. Vesna Scholz
Dietlinde Söding
Ing. Zofia Ernst
Maurice Steckel
Lydia Wirth
Prof. Lutz Adolph
Olivia Mies
Alex Ziegert
Victor Fritsch B.Eng.
Dr. Annette Linke MBA.
Sören Liebelt
Dipl.-Ing. Aleksandra Wagner MBA.
Alwine Linke
Claas Wirth B.Sc.
Prof. Necati Stey B.A.
Prof. Attila Werner B.A.
Hedda Mielcarek
Jessika Schacht
Fernando Tschentscher-Schacht
Danuta Kreusel
Alexej Röhrdanz
Kristiane Zahn
Ing. Canan Gutknecht B.A.
Univ.Prof. Dana Seifert
Karolina Reuter-Freudenberger
Rotraud Fiebig
Philippe Geisler
Erkan Beier
Rosina Ditschlerin-Ortmann
Frau Annita Beckmann
Rosa Heuser
Gino Hartung
Lene Hermann-Kaul
Benjamin Stoll
Osman Schmidtke
Alina Spieß
Gitta Hübel
Dierk Dörr
Gerhild Gude
Ing. Bernfried Pruschke
Sylvio Karge
Tillmann Mude
Prof. Rabea Hettner B.Eng.
Dietlind Drubin
Bettina Schlosser
Iwan Wilmsen-Weihmann
Ing. Steffen Röhrdanz B.A.
Sofia Heinrich
Karolina Hartmann
Herr Jens Ritter B.Eng.
Prof. Catherine Knappe MBA.
Raphael Bonbach MBA.
Ann Werner-Wilms
Lukas Ditschlerin
Frau Cordula Anders B.Eng.
Helmut Renner
Prof. Sofie Gröttner
Ing. Vesna Kroker B.Eng.
Ignatz Gutknecht
Liesbeth Huhn
Gerda Schleich
Klemens Knappe
Anica Austermühle
Annett Dehmel MBA.
Heide-Marie Adler B.Eng.
Tony Hecker
Gitte Briemer
Antonia Stey
Martine Trupp
Frau Rosemarie Stiffel
Karl-Heinrich Sölzer
Thoralf Geisel
Dagmar Schäfer
Janusz Rädel B.Sc.
Klaus-Michael Mälzer
Mijo Jessel B.A.
Ditmar Dehmel
James Kostolzin-Staude
Dipl.-Ing. Jaroslav Henk
Anatolij Trub
Fred Wende
Emmy Koch
Eva-Maria Eberth B.A.
Gerold Schuchhardt B.Sc.
Gabriella Rädel
Brunhilde Koch II
Dr. Edelgard Sauer B.Sc.
René Rose-Krebs
Herr Urban Christoph
Herr Tony Lindner
Caterina Ullrich
Sonia Gorlitz-Mude
Dipl.-Ing. Edgar Gehringer B.Eng.
Friedericke Käster B.A.
Vittorio Hertrampf
Karl-Friedrich Nerger
Doris Kraushaar
Sami Stolze-Döhn
Janette Kallert
Ferdinand Junck-Hölzenbecher
Univ.Prof. Gretl Langern B.A.
Dr. Emin Dietz B.Sc.
Herr André Scholl B.Sc.
Susi Hendriks
Jörn Trupp MBA.
Cäcilie Schmidt
Ing. Willfried Kostolzin
Miriam Ehlert MBA.
Brunhilde Nohlmans
Frau Änne Gunpf B.Sc.
Ottokar Berger
Irmi Gute
Dusan Conradi-Rogner
Holger Röhricht
Damian Holsten
Annie Hänel
Rolf-Peter Staude
Vinzenz Bruder
Gina Stumpf
Univ.Prof. Betty Conradi B.A.
Prof. Ingetraud Seidel B.Sc.
Augustin Jopich
Dipl.-Ing. Klaus Geisler
Franz Josef Hoffmann B.Sc.
Dr. Gundolf Römer MBA.
Prof. Kordula Vollbrecht B.A.
Thaddäus Kraushaar-Ruppert
Heinz-Willi Geisel
Hans Jörg Köhler
Stephen Reichmann
Remo Köhler
Alwin Schaaf
Prof. Marion Martin
Ismail Steinberg
Gundel Bien MBA.
Brigitta Eimer
Giorgio Trüb
Dipl.-Ing. Mariana Mohaupt B.Sc.
Frau Annette Fiebig B.Eng.
Ralph Jessel B.A.
Reimar Pohl
Irmi Jüttner
Adrian Killer
Heinz-Walter Roskoth-Hertrampf
Ingmar Hauffer
Frau Constanze Heidrich B.Sc.
Irmi Koch
Bogdan Zirme
Johan Heydrich
Johan Buchholz
Antonie Fischer-Margraf
Elke Haase
Pauline Bolzmann
Oscar Junitz
Heinz-Walter Juncken
Marcella Franke B.A.
Miroslaw Holt
Rena Radisch
Ing. Dorothee Harloff B.Sc.
Tibor Schleich
Herr Siegmar Geisler
Swen Schweitzer B.Sc.
Romuald Hartmann
Dogan Bolander
Ingo Heinz
Ivan Plath
Prof. Karl-Hermann Pieper B.Eng.
George Weimer
Amalia Hermann-Schäfer
Dr. Lea Kraushaar B.Eng.
Björn Rädel-Rohleder
Ing. Thomas Drewes B.A.
Dipl.-Ing. Claas Ladeck
Wiltrud Gröttner-Klapp
Gebhard Eberth B.Eng.
Igor Zobel B.A.
Elenore Renner
Ernest Stahr
Antoinette Schottin
Svetlana Boucsein
Jiri Kambs
Karlfried Zahn B.A.
Karl Heinz Eigenwillig
Ortrun Krebs
Marietta Heinrich
Dipl.-Ing. Till Schenk
Ilka Lachmann
Gunter Misicher
Frau Patricia Gorlitz B.A.
Ing. Alban Mohaupt
Prof. Ivonne Boucsein B.Eng.
Carola Köhler MBA.
Univ.Prof. Monja Staude MBA.
Herr Benedikt Säuberlich
Lorenzo Adler-Trommler
Ing. Justina Fiebig
Sofie Fiebig-Hermighausen
Dipl.-Ing. Anneliese Kühnert
Dipl.-Ing. Melanie Kreusel B.A.
Carolin Stumpf B.Eng.
Sabrina Kohl
Eleonore Kuhl-Koch
Ing. Loni Gnatz MBA.
Augusta Beer
Ronald Werner
Birgitta Beckmann-Thanel
Rosita Köster B.A.
Victoria Hiller
Prof. Alois Jacob
Eberhardt Schäfer
Dr. Ute Schuchhardt
Fritz Nerger
Dr. Rita Kallert
Monika Mühle-Hiller
Isa Weihmann
Inken Juncken
Eberhard Pechel
Elfi Fröhlich-Löchel
Sandra Hornig
Constance Drubin
Hans-Werner Mohaupt
Tina Radisch
Univ.Prof. Woldemar Walter
Joachim Steuer
Wojciech Losekann-Seidel
Thorben Stiebitz
Helga Mosemann-Hecker
Ing. Ivana Budig B.Eng.
Wilhelm Walter
Frau Cynthia Bähr B.Sc.
Regina Becker
Patrick Haering
Astrid Schweitzer
Ansgar Möchlichen-Höfig
Karl-Peter Hofmann B.A.
Waltrud Stroh
Dr. Markus Roskoth B.Sc.
Univ.Prof. Tina Rose
Herr Jost Ruppersberger B.A.
Hans-J. Neureuther
Mirjam Stumpf
Tanja Henk
Swetlana Jessel
Adriana Vogt
Hans-Willi Kruschwitz B.Sc.
Kristin Niemeier
Annelene Reuter B.A.
Dr. Siegfried Heinz B.Eng.
Kreszentia Bloch-Steckel
Univ.Prof. Annegrete Henck B.A.
Kornelius Heintze-Baum
Univ.Prof. Romuald Hermighausen
Dierk Beier
Univ.Prof. Robby Vollbrecht
Dorothee Renner
Sibylla Klingelhöfer B.Sc.
Univ.Prof. Czeslaw Tröst
Fernando Neuschäfer
Cornelia Radisch
Celal Seifert
Univ.Prof. Olivia Gnatz MBA.
Carolin Etzler
Dittmar Berger
Ing. Massimo Losekann
Frau Ingried Rogner B.Sc.
Sibilla Mälzer
Prof. Natalja Käster MBA.
Pierre Ortmann
Gundula Otto-Kuhl
Tadeusz Hentschel
Hans-Hinrich Linke
Thea Nette
Bernard Steinberg
Leander Dobes-Schlosser
Kristina Scheibe
Danielle Ritter B.Eng.
Hildegart Scheel B.A.
Meinhard Schuster
Stjepan Langern
Ing. Selim Tintzmann B.A.
David Losekann
Toni Dehmel-Striebitz
Prof. Folker Budig
Jiri Bärer
Siegmar Keudel-Gude
Prof. Grete Müller
Frau Anka Hering
Emil Preiß-Hecker
Pero Gutknecht
Corinna Täsche B.A.
Univ.Prof. Anna-Luise Faust
Hansjürgen Eberth
Sylvester Bender-Boucsein
Ali Briemer-Klemm
Mechthilde Lindau B.A.
Hans-Jörg Trupp-Säuberlich
Cäcilie Haase
Sigismund Junitz
Juliana Möchlichen
Egbert Jüttner
Karl-Georg Lehmann
Ing. Helene Jähn B.Eng.
Damian Hentschel
Reni Henk
Gertraude Tintzmann
Ronald Börner-Hentschel
Dajana Trapp-Kreusel
Herr Bertold Löffler
Ing. Eugenie Kreusel MBA.
Eugen Schottin
Heinrich Ackermann
Dr. Salih Ullmann
Eberhardt Gute
Burckhard Mende
Aline Steinberg-Klingelhöfer
Marlies Seifert-Roht
Klaas Eckbauer
Dr. Jochen Schäfer
Marijan Kruschwitz
Hannchen Zahn
Reinhart Becker
Univ.Prof. Valeria Putz
Harro Trapp B.Eng.
Ladislaus Stadelmann
Enver Börner MBA.
Torsten Trapp B.A.
Franz Lange
Prof. Torsten Geisel B.Sc.
Kathi Wesack
Gilda Faust
Dr. Meinhard Hiller
Martina Hartung
Herr Ilhan Tröst B.A.
Anne-Marie Sontag
Anton Stey
Hilde Walter
Dagobert Sorgatz
Wilma Paffrath
Wigbert Ortmann
Mark Lindau
Zofia Schulz
Reimer Kitzmann
Romy Zahn-Bien
Goran Benthin
Stella Mülichen
Ralph Schottin-Graf
Karl-Peter Grein Groth B.Eng.
Doreen Striebitz
Frau Therese Henk B.A.
Hildburg Dowerg-Pergande
Swantje Binner B.A.
Ing. Zoltan Dobes B.A.
Konrad Schuster
Tino Gnatz
Jasmina Cichorius-Barth
Herr Dimitri Mohaupt B.A.
Mariusz Hartung
Dr. Krista Jäkel B.A.
Benita Hahn-Wieloch
Mareike Lübs
Hans-Rudolf Fröhlich
Ansgar Seidel
Ing. Emmy Beer
Univ.Prof. Friedl Peukert B.Eng.
Antonios Walter
Herr Roman Sontag B.Sc.
Edmund Junck
Aenne Beyer
Dipl.-Ing. Reinhart Gotthard B.Eng.
Anne-Kathrin Ortmann
Sevim Textor-Schinke
Ilka Faust
Prof. Irena Höfig
Silvester Fischer
Marica Walter
Herr Hellmuth Birnbaum B.A.
Frau Emilia Pruschke B.A.
Theda Klotz
Christl Pölitz
Maxim Roht
Dipl.-Ing. Hans-Erich Klemm
Frederik Bohlander
Ida Weihmann
Evangelos Staude
Katerina Bolzmann B.Eng.
Univ.Prof. Tilmann Pieper B.Eng.
Ingelore Kobelt MBA.
Zehra Putz
Kristian Rosemann B.Sc.
Bruno Hethur
Nurettin Mans-Klemt
Carla Gnatz
Artur Briemer
Constantin Kostolzin
Prof. Aziz Stumpf
Geraldine Eckbauer
Enrico Oderwald
Anni Dietz-Blümel
Ante Gunpf
Vitus Schmidt
Marion Wohlgemut B.A.
Dr. Alois Kraushaar B.Sc.
Dr. Lilly Conradi B.Sc.
Dino Kusch-Hiller
Eduard Kühnert
Prof. Manuela Schleich B.Sc.
Joachim Kramer
Herr Julian Gotthard B.Eng.
Hans-Otto Trubin B.Eng.
Mehdi Neureuther
Ilja Kitzmann B.A.
Florian Wulff
Ruth Mangold B.Sc.
Univ.Prof. Hans-Eberhard Bauer
Brigitte Geisler
Rainer Henk-Gotthard
Univ.Prof. Aleksander Wiek B.A.
Rosl Trupp
Mona Söding
Mohammad Finke
Beate Nette
Augustin Carsten
Frau Eugenia Matthäi
Franziska Hörle B.Sc.
Benno Klemt
Irmtraut Fröhlich-Hertrampf
Hans-Detlef Matthäi
Prof. Dorit Käster B.Sc.
Ing. Toralf Wiek
Niko Butte-Rosenow
Ferenc Pergande B.Eng.
Lisbeth Mielcarek
Aloys Fechner
Annekatrin Trupp
Frau Elsa Mälzer
Bernadette Löffler
Dipl.-Ing. Iris Stumpf MBA.
Ilija Hofmann
Bozena Carsten B.Sc.
Michael Mies B.Sc.
Hans-Heinrich Schüler-Seip
Hanno Trub
Angelo Pärtzelt
Burckhard Heuser
Ferenc Bolzmann-Girschner
Dr. Irmtraut Gnatz B.Eng.
Babett Süßebier B.A.
Herr Filippo Rosemann B.A.
Ing. Ben Lindau MBA.
Eugenie Benthin-Ziegert
Pamela Mies B.Eng.
Helma Schaaf B.A.
Gönül Barth-Zobel
Herr Mike Schuchhardt B.A.
Norbert Niemeier
Diethelm Hofmann
Gitte Römer-Kroker
Prof. Gaby Ernst MBA.
Prof. Heinz-Peter Thies
Yusuf Schacht
Heidelore Zirme
Frau Clarissa Rosenow B.A.
Hans-Günther Wilmsen
Prof. Berend Käster B.A.
Harry Lange
Sylwia Wilmsen-Ullmann
Ilse Nette
Nina Putz-Ritter
Ing. Ayse Mangold MBA.
Laura Wilms
Herwig Jäntsch B.Sc.
Victor Butte
Leila Hethur
Univ.Prof. Cecilia Scholl MBA.
Ricarda Steuer
Hedda Baum
Gülay Werner
Robin Schuchhardt-Reichmann
Wiltrud Jäkel
Cecilia Killer
Margareta Losekann
Ing. Birgid Möchlichen B.A.
Prof. Ruthild Nette B.A.
Dursun Mies
Esther Ehlert
Margareta Zirme
Francoise Vollbrecht B.Sc.
Bertha Rose
Brian Blümel B.Eng.
Ulla Fliegner-Sölzer
Frau Helena Nette
Pia Fliegner
Liane Reuter
Ignatz Börner
Prof. Janus Walter B.A.
Dipl.-Ing. Svea Neureuther
Kata Atzler
Abram Gunpf
Ingo Löffler
Wolfgang Beier-Mohaupt
Janet Jüttner
Horst-Dieter Bähr
Ing. Lucie Karz
Dipl.-Ing. Mariola Lange B.Sc.
Josephine Rogge
Gert Seifert
Dr. Elwira Hiller
Ing. Augustin Budig B.Eng.
Thorsten Ruppersberger
Nikola Riehl
Burkard Schlosser
Herr Thomas Baum
Steven Eimer
Karl-Heinz Hahn
Prof. Sibel Wohlgemut B.Sc.
Prof. Patrik Scheel
Dr. Samuel Tröst
Ing. Knud Vogt
Claire Holt
Orhan Hecker-Heuser
Nicolai Gutknecht
Baldur Knappe
Univ.Prof. Aloisia Fröhlich B.A.
Kay-Uwe Trommler
Prof. Almuth Dippel
Dr. Jann Wesack B.A.
Lidia Franke
Manja Stadelmann
Alexej Wagner
Sylvester Neuschäfer-Schacht
Lucia Kohl
Daniele Hering
Dr. Gert Trapp MBA.
Stephen Bruder
Anne-Katrin Rogge
Ing. Friedhold Hartung B.Sc.
Sergej Pärtzelt
Elli Kohl
Andree Budig B.Eng.
Prof. Annita Wulff
Prof. Marika Junken B.Eng.
Viola Ackermann
Kordula Lange
Ulrich Schlosser
Frau Heidelore Gehringer
Halina Hethur
Lara Stroh
Edit Siering
Konstantinos Linke B.Eng.
Geert Rudolph
Dipl.-Ing. Lilly Junken MBA.
Eileen Etzler
Univ.Prof. Liliana Drub
Univ.Prof. Claudio Schmiedt
Ing. Leni Rosenow B.Eng.
Elwira Pölitz B.Sc.
Fatih Zirme
Bernd-Dieter Kostolzin B.A.
Urban Klemt
Fatima Rörricht
Anna-Lena Wohlgemut
Marcel Fechner
Sigmar Zobel
Dr. Frieda Metz
Hermine Schüler
Hilmar Spieß
Woldemar Heydrich B.Eng.
Annelene Adolph B.A.
Ing. Hartmuth Gute B.A.
Sigmund Heydrich
Evangelia Schlosser-Boucsein
Kati Radisch
Erdal Bähr
Inge Paffrath
Dr. Nadeschda Wulf
Maurice Hübel
Gotthilf Gehringer B.A.
Sara Johann
Magdalena Tintzmann B.Sc.
Isa Tlustek
Diethard Trommler
Engin Johann-Weihmann
Cengiz Dehmel
Hans-J. Trapp-Koch II
Gerard Förster
Univ.Prof. Hanspeter Gorlitz
Klaus-Peter Gieß-Winkler
Nikolas Heß
Wenzel Ebert
Karsten Kraushaar B.A.
Ralf-Dieter Kroker
Ing. Hanne-Lore Ackermann
Samuel Ackermann
Egbert Gertz
Niko Gutknecht B.Sc.
Franz Schweitzer
Henning Scholl
Dennis Beer-Striebitz
Heinz-Günther Mosemann
Dipl.-Ing. Patric Fröhlich
Ing. Henrike Kramer
Dipl.-Ing. Harm Ruppert MBA.
Univ.Prof. Rafael Pruschke B.A.
Ing. Gertraude Holsten B.Sc.
Gernot Dörr
Götz Hofmann B.A.
Irmtrud Röhrdanz
Matthäus Striebitz-Zirme
Alwina Neureuther
Konstantinos Stolze-Biggen
Dipl.-Ing. Alf Graf
Ing. Gerlinde Junken
