Student
Alida Tröst
Univ.Prof. Sibylle Zirme B.Sc.
Dr. Achim Barth
Hans Misicher
Svenja Salz
Bernt Conradi
Hans-Detlef Schäfer
Hiltrud Bolander-Ziegert
Univ.Prof. Klaus-Günter Renner B.A.
Matthias Dowerg
Hans Dieter Fiebig B.Eng.
Beate Nette
Aleksander Drub
Dr. Sigfried Seip B.Eng.
Nadeshda Schenk
Dipl.-Ing. Zenta Hornig B.Sc.
Marcel Stumpf
Nora Klapp-Finke
Francoise Freudenberger-Stey
Irmela Höfig B.Sc.
Univ.Prof. Dorit Pechel B.A.
Trudi Keudel B.A.
Ing. Siegmar Meyer B.A.
Ellen Trub
Ernestine Karz
Martha auch Schlauchin
Alena Holzapfel
Wendelin Zorbach MBA.
Prof. Luzie Killer B.Sc.
Artur Berger
Prof. Torsten Geisel B.Sc.
Nurettin Bärer B.Eng.
Sandy Zimmer
Herr Vincenzo Liebelt
Mike Röhricht-Hauffer
Fernando Tschentscher-Schacht
Luitgard Weiß-Rörricht
Dagobert Bohnbach
Constantin Kraus
Raymond Ruppersberger
Emmi Adolph
Meinhard Schuster
Prof. Tina Ullrich
Irene Ditschlerin
Till Tlustek
Ralf-Dieter Rörricht B.Eng.
Ladislaus Hande
Lothar Ladeck
Edmund Scholtz B.Sc.
Dipl.-Ing. Patricia Werner B.Sc.
Marianna Karge
Clara Gehringer
Erol Röhrdanz
Frau Swantje Heinrich B.A.
Adalbert Reising
Heinz-Joachim Stiebitz
Mario Bärer
Horst-Günter Renner
Dr. Hans Dieter Mude
Dipl.-Ing. Nathalie Bender
Marlis Wiek
Agnes Vollbrecht
Hanife Ackermann
Ing. Wolf-Rüdiger Dietz B.Sc.
Ing. Leni Rosenow B.Eng.
Viviane Kensy
Roderich Weitzel
Stavros Hoffmann
Marco Stey
Dipl.-Ing. Dunja Hoffmann
Reinhild Patberg
Mercedes Rädel-Drub
Johann Seidel
Bruno Hesse
Prof. Götz Finke
Marica Seidel B.Eng.
Sevim Ackermann
Laura Mühle
Carolin Etzler
Alban Butte
Zdravko Müller-Fritsch
Robby Weller
Elvira Mälzer
Ing. Nuran Schaaf
Kathrin Johann-Schulz
Fredy Birnbaum-Kensy
Brunhilde Nohlmans
Marie-Therese Steuer
Curt Schönland
André Segebahn
Herr Edmund Hesse
Michaela Döhn
Emma Briemer B.Eng.
Czeslaw Siering
Dr. Jonas Anders B.Sc.
Annett Mies-Hellwig
Arndt Weinhold MBA.
Silvia Lübs
Katharine Mühle
Univ.Prof. Herlinde Klotz
Herr Karl Dippel B.A.
Walburga Junk
Günter Rudolph B.Eng.
Bogdan Rosemann
Dipl.-Ing. Betty Niemeier MBA.
Danilo Ehlert
Gregor Buchholz
Emilie Scholz
Cläre Mohaupt
Annie Schlosser
Frau Margitta Staude
Univ.Prof. Resi Knappe
Dr. Franz-Peter Löffler
Leonardo Klingelhöfer B.Sc.
Fatih Bohlander
Lisette Schönland B.Eng.
Carla Tintzmann
Liliana Zorbach MBA.
Hans-Eberhard Blümel
Helene Keudel
Heinz-Jürgen Hesse
Klemens Thies
Siglinde Zahn
Susi Grein Groth-Steuer
Monique Schleich-Kroker
Kai-Uwe Oderwald
Bettina Schlosser
Prof. Hans-Gerhard Reinhardt B.Eng.
Niko Gutknecht B.Sc.
Dr. Katalin Knappe B.Eng.
Helene Gröttner-Hornich
Linda Kruschwitz
Univ.Prof. Bert Gieß
Helena Franke
Andrey Lorch
Guenther Schmidt
Zdravko Jacob
Herr Hinrich Mühle
Ernestine Stumpf
Regine Häring
Ljubica Wohlgemut-Schmidt
Heinrich Putz B.Sc.
Edwin Wilms MBA.
Folker Otto
Cilli Gorlitz
Marlen Hesse
Marisa Wagenknecht
Herr Swen Kraushaar B.A.
Aleksej Lehmann
Marijan Killer
Annegrete Jüttner
Felicitas Kensy-Stey
Eva Wende B.Eng.
Lina Hörle
Frau Delia Hellwig B.Sc.
Hedy Loos
Paulina Bender-Liebelt
Ing. Gundi Boucsein B.Sc.
Ing. Elenore Kostolzin
Regina Reuter
Maik Tintzmann B.Sc.
Ralf-Dieter Sauer-Hermighausen
Friedericke Bolzmann
Micha Röhricht B.A.
Siegward Hertrampf
Sibilla Eimer
Ibrahim Wirth-Schuster
Andre Stroh
Erwin Jungfer
Anatoli Caspar
Frau Herlinde Schleich B.Sc.
Prof. Amir Reising MBA.
Hatice Jessel
Edward Dippel
Lukas Juncken MBA.
Jaroslaw Eckbauer
Angelique Adler
Univ.Prof. Emine Vogt B.Sc.
Ole Ritter MBA.
Evamaria Berger
Marco Conradi
Siegbert Henschel
Philipp Reising-Harloff
Ing. Frederic Christoph B.Eng.
Ansgar Tlustek MBA.
Dipl.-Ing. Sibylle Kensy
Wiltrud Gröttner-Klapp
Anneli Schleich-Ullmann
Herr Torsten Hermighausen B.Sc.
Pero Scheuermann
Yusuf Nette B.Sc.
Herr Urban Christoph
Reni Henk
Dr. Marian Rust
Catherine Huhn
Leonardo Birnbaum
Volkmar Mosemann
Kathi Seip
Gilda Tintzmann
Urszula Killer B.A.
Ing. Bernard Schleich B.Sc.
Edelgard Neureuther-Vollbrecht
Gordana Budig B.A.
Zlatko Kraus
Niklas Trubin
Gudrun Reichmann MBA.
Mohammad Karz MBA.
Janko Stey MBA.
Tomas Säuberlich B.A.
Dipl.-Ing. Kristine Klapp MBA.
Philomena Salz
Christoph Löchel B.Sc.
Mira Rohleder
Kati Süßebier
Gülten Röhrdanz
Walfried Wohlgemut B.Eng.
Ria Dietz
Abraham Adler
Selma Girschner B.Sc.
Univ.Prof. Hiltrud Löwer
Johanna Finke-Ehlert
Univ.Prof. Alexandros Junk
Ing. Justus Binner
Zofia Roht
Karla Freudenberger MBA.
Thorben Kitzmann
Ludwina Beer
Ing. Edward Salz
Alicja Pergande
Harold Bähr B.A.
Prof. Maria-Theresia Schaaf B.A.
Univ.Prof. Jens Weinhage
Woldemar Bähr
Elwira Wirth
Frank-Peter Ullmann
Reimer Scheel B.Eng.
Herta Keudel
Frau Heidelore Gehringer
Dipl.-Ing. Louis Spieß B.A.
Rupert Kallert
Irina Seip-Bolnbach
Kristin Jacob
Frau Inken Zimmer B.Eng.
Dipl.-Ing. Dorina Lindau B.Sc.
Lorenzo Hornig
Silvia Eberth
Annemie Herrmann
Carmen Berger
Luisa Hecker
Lukas Zirme
Gülsen Benthin
Hans Josef Reinhardt B.A.
Carlos Klotz
Irmtraut Mülichen B.A.
Theodoros Grein Groth
Ronald Werner
Saskia Kallert
Dina Rose
Valentina Weihmann-Zahn
Centa Kaul
Volker Süßebier-Staude
Maria-Theresia Tschentscher
Univ.Prof. Christa-Maria Lehmann B.A.
Mahmut Rose B.A.
Monika Krein B.Eng.
Rotraut Bachmann
Bianka Scheuermann
Wera Klemt
Felix Müller
Anne-Rose Sorgatz
Univ.Prof. Polina Schmidt B.Eng.
Adelinde Kensy B.Eng.
Frank-Peter Weimer
Dragan Trub
Herr Yilmaz Vollbrecht B.Eng.
Sylvana Hornich MBA.
Elisabeth Käster
Univ.Prof. Hedwig Krein
Lutz Mies-Hesse
Enver Conradi-Hecker
Gunnar Ernst
Kornelia Bachmann
Frau Ariane Weinhage MBA.
Bartholomäus Trapp
Ing. Hans-Joachim Ullrich
Gisela Paffrath
Emilie Schmidt-Gröttner
Edelgard Finke B.Eng.
Maritta Boucsein
Prof. Annita Putz
Hilde Lübs
Verena Höfig
Stavros Hövel B.Eng.
Ingried Hauffer-Lübs
Lydia Wirth
Dajana Ring
Friedericke Roht
Dr. Edelgard Sauer B.Sc.
Nikolas Heß
Friedl Hänel
Trudi Radisch
Imelda Geißler
Dipl.-Ing. Engin Jähn B.A.
Ing. Sebastian Killer B.A.
Balthasar Holsten
Kriemhild Junk MBA.
Senta Weihmann
Peggy Haering B.Sc.
Ing. Helmuth Bachmann B.Sc.
Dieter Trupp
Vinko Schmiedecke-Hendriks
Augustin Carsten
Romy Baum
Maurizio Eckbauer
Alicia Kroker
Franca Mentzel
Mariusz Hartung
Lidija Löchel B.A.
Dr. Mohamed Kroker B.Eng.
Bernfried Roht
Ing. Wladimir Karz MBA.
Gereon Wende MBA.
Univ.Prof. Ilka Jäntsch B.A.
Bettina Lachmann
Luciano Klotz
Robin Sölzer
Friedrich-Wilhelm Höfig-Johann
Cemal Klingelhöfer-Otto
Ing. Herwig Drub MBA.
Madeleine Thanel MBA.
Elias Langern
Daniela Siering
Trudel Wagner
Benno Kraushaar
Dörthe Roht
Aneta Kambs
Univ.Prof. Leni Bonbach
Eberhardt Schäfer
Benjamin Jäntsch B.Sc.
Frau Hella Stumpf
Joachim Rogge
Prof. Cathrin Misicher
Dimitrios Kraushaar-Adolph
Kunigunda Hamann-Hermighausen
Ing. Jeanette Rosemann B.Eng.
Dr. Danica Scheuermann B.Sc.
Isa Tlustek
Janos Winkler B.A.
Hans-Günther Scheuermann B.Eng.
Alicja Stiffel
Bernd Binner-Hornich
Semra Fiebig
Thea Nette
Gereon Textor
Reinhard Rogge
Timo Butte
Natascha Gotthard
Kristiane Hermann
Gilbert Schottin
Abram Peukert MBA.
Liesa Wilms B.A.
Ing. Peter Trubin B.Sc.
Mark Lindau
Kenneth Kramer
Konstantin Knappe
Angelique Kruschwitz
Franka Mitschke B.Sc.
Milos Biggen
Hans Dieter Stahr
Univ.Prof. Walfried Hövel
Virginia Gieß
Heino Lindau B.Eng.
Jann Schenk
Lina Hein-Gotthard
Anatolij Junk
Genoveva Hofmann
Ing. Selim Tintzmann B.A.
Karla Gunpf
Gottlob Seip
Veronique Oestrovsky
Nikolas Hövel
Dr. Gert Trapp MBA.
Reingard Cichorius
Edelbert Stey-Scholz
Univ.Prof. Nikolaus Sölzer B.A.
Antonius Kraus
Juan Schweitzer
Heimo Förster
Ilija Lindner
Ing. Luisa Oestrovsky
Prof. Marko Rohleder B.A.
Jozef Kostolzin
Dr. Sonia Hornich B.Eng.
Univ.Prof. Waldemar Döring
Nikolas Ebert
Brita Flantz-Knappe
Imre Mülichen
Elena Pruschke
Ole Losekann
Prof. Georgia Zirme MBA.
Dr. Heide Jockel B.Sc.
Univ.Prof. Cord Becker
Ing. Nicolai Textor B.A.
Adriane Stroh
Engin Hofmann
Francis Rohleder
Ing. Diedrich Gotthard MBA.
Prof. Mathilde Segebahn MBA.
Reinhold Hellwig-Mülichen
Arno Mude
Evelin Gerlach
Cora Scholtz
Ing. Catrin Dippel MBA.
Prof. Achim Rose
Jonas Christoph B.Eng.
Herr Franz Geisler B.A.
Annelore Bolander
Univ.Prof. Gusti Schlosser
Almuth Pieper
Anja Meyer B.A.
Vera Scholl
Dipl.-Ing. Wanda Dussen van
Karl-Hans Schuchhardt-Mohaupt
Alan Eigenwillig
Janett Patberg
Prof. Oswald Ehlert MBA.
Marlen Flantz
Univ.Prof. Rafael Pruschke B.A.
Elisabeth Roskoth
Jiri Hoffmann B.Sc.
Univ.Prof. Johan Lange
Prof. Petar Köhler
Ilse Krebs
Ivanka Gierschner-Pergande
Frau Anja Haering
Rosmarie Ullmann
Hannelore Haase
Inge Dietz B.A.
Dr. Slawomir Hande
Ramona Sontag
Herr Anthony Caspar
Univ.Prof. Nadine Gnatz
Ing. Therese Rust
Aribert Kusch
Notburga Pechel B.Eng.
Guido Junck
Dr. Gerold Dörschner
Dipl.-Ing. Detlef Trommler
Mathilde Kreusel
Ronny Scholtz
Annaliese Lübs
Frau Evelyn Tlustek B.Sc.
Aleksander Dowerg
Witold Wulf
Karin Beckmann
Joana Mielcarek B.A.
Kunibert Trommler-Renner
Milena Weitzel-Steinberg
Irmtraud Freudenberger
Maurizio Hartmann
Jens-Peter Graf-Schmidt
Ing. Cynthia Weihmann B.Eng.
Heinrich Rogner
Univ.Prof. Cynthia Löwer
Ahmad Fechner-Wulff
Dr. Silvio Täsche
Wilfriede Ziegert
Gülten Henschel
Dipl.-Ing. Beatrix Henk B.Eng.
Prof. Pedro Schmidt B.Eng.
Ing. Siglinde Bolzmann
Dipl.-Ing. Baldur Oderwald B.Sc.
Ing. Vitali Hentschel MBA.
Damaris Eigenwillig
Ronny Dippel
Isa Knappe-Biggen
Andrei Wulff
Angelika Roskoth
Dr. Hans Jörg Zobel
Dipl.-Ing. Charles Täsche
Bernward Fröhlich
Hans-Hinrich Trub
Reinhard Beckmann
Aleksej Kühnert B.A.
Univ.Prof. Waltrud Rogner
Dr. Ruben Wernecke
Emma Hornich-Kraushaar
Ing. Muharrem Paffrath B.Sc.
Gerald Albers-Jähn
Götz Hofmann B.A.
Univ.Prof. Etta Bohnbach
Dr. Dagmar Hörle B.Sc.
Bertha Köhler
Pavel Ehlert
Kati Koch II
Sigmund Heydrich
Jolanthe Jessel
Stefanie Benthin
Cathrin Weitzel MBA.
Dr. Myriam Pieper B.Eng.
Irmtrud Schaaf-Jacobi Jäckel
Hans Peter Beckmann
Philippe Wähner
Guido Pieper
Dipl.-Ing. Viktor Scheibe MBA.
Nadin Stiebitz B.Eng.
Artur Kreusel
Dipl.-Ing. Hans-Ludwig Meyer
Jelena Jüttner
Ing. Pamela Gerlach
Gitta Römer
Senta Hiller
Frau Pascale Hettner B.Eng.
Diana Jessel-Geißler
Ing. Torben Hande MBA.
Johan Buchholz
Dr. Torben Stey
Eleni Krause B.A.
Dr. Natascha Schmidtke B.Eng.
Roderich Scholtz
Elli Kohl
Ing. Emanuel Tintzmann
Irmtraut Ortmann MBA.
Hans-Erich Staude
Abram Gunpf
Lothar Birnbaum
Dipl.-Ing. Patric Johann
Prof. Theodoros Paffrath B.A.
Annie Hänel
Mattias Kruschwitz
Dipl.-Ing. Oskar Vogt B.A.
Brita Schwital
Thorben Ruppert
Iwan Butte B.Sc.
Augustin Jopich
Ing. Andrew Nerger
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Emmy Koch
Corinna Täsche B.A.
Ulrich Schlosser
Ernestine Trommler
Carola Kusch
Korinna Koch II
Univ.Prof. Dorle Röhrdanz B.A.
Ing. Melanie Hamann
Geza Weller
Dr. Elvira Cichorius B.A.
Dipl.-Ing. Berit Weinhage
Ing. Madlen Beier B.A.
Melissa Dietz
Dr. Jorge Kambs B.A.
Margareta Zirme
Univ.Prof. Natalie Flantz
Miguel Briemer
Dina Schmiedt MBA.
Sieghard Sorgatz
Dr. Alois Kraushaar B.Sc.
Emanuel Schinke B.Sc.
Ignaz Warmer
Florentine Bärer B.A.
Zbigniew Hahn MBA.
Joachim Kramer
Univ.Prof. Henry Wohlgemut B.Eng.
Herr Thorben Jacob
Tina van der Dussen
Marie-Luise Zorbach MBA.
Ronald Börner-Hentschel
Gert Juncken
Miroslawa Haase
Giuseppe Preiß
Dipl.-Ing. Iris Stumpf MBA.
Alf auch Schlauchin
Elmar Patberg
Josefa Lange
Jennifer Trapp
Tomasz Preiß
Hajo Kranz-Heser
Aziz Anders
Heidelinde Pruschke
Dipl.-Ing. Canan Pölitz B.Eng.
Zehra Ernst-Bohnbach
Dipl.-Ing. Peer Kuhl
Hannes Patberg
Dipl.-Ing. Christoph Schulz B.Sc.
Celal Seifert
Herr Ilja Kroker
Osman Schäfer
Michaela Hecker B.Eng.
Dr. Marie-Luise Klingelhöfer B.Eng.
Paula Heinz
Madlen Geißler
Juan Klapp B.Eng.
Annekatrin Wende
Dipl.-Ing. Christoph Jockel B.Sc.
Rafael Blümel
Dr. Isabell Trupp
Lotte Kusch
Siegrun Schomber
Carin Rohleder
Mariusz Baum
Alexej Hornig-Radisch
Lilli Atzler
Hellmut Lindner
Othmar Täsche-Loos
Liesel Klapp
Rocco Trub
Aneta Heydrich
André Kroker
Christof Ditschlerin
Reingard Jungfer
Kai-Uwe Stiebitz-Hentschel
Sören Etzler
Dipl.-Ing. Virginia Käster
Rosmarie Kambs MBA.
Roman Jäntsch
Anatol Gude MBA.
Aldo Förster
Christiana Bauer
Georgia Liebelt
Hannchen Drewes B.Sc.
Tülay Hettner-Ebert
Hans-Erich Preiß
Claudius Mude
Hans-H. Schönland
Frau Rosemarie Stiffel
Wibke Tschentscher-Wulf
Univ.Prof. Robby Vollbrecht
Alida Trupp
Frau Stella Plath B.A.
Ewald Kreusel
Francoise Zänker-Knappe
Wenzel Drubin
Hansjörg Roht
Hanni Wieloch
Justine Patberg-Metz
Hülya Scheibe
Dr. Paulina Textor B.A.
Frau Hedwig Wirth
Prof. Bianka Reinhardt
Volkhard Köster-Jüttner
Patrizia Biggen
Ing. Meik Eberhardt B.A.
Dipl.-Ing. Betti Löffler MBA.
Prof. Gerd Schenk
Filippo Patberg
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Inga Wieloch
Alois Werner
Alicia Ring
Urszula Fliegner
Frau Alwina Bohnbach B.Eng.
Frau Melita Huhn
Clara Ruppersberger
Dipl.-Ing. Pero Ruppersberger B.Sc.
Zdravko Staude B.Sc.
Paul Hettner
Ing. Chantal Schleich B.Eng.
Herr Evangelos Schacht
Heinz-Joachim Kobelt
Herr Jörgen Kruschwitz
Ralf-Peter Gute
Univ.Prof. Vesna Hering
Univ.Prof. Mirella Peukert
Univ.Prof. Beate Eberth
Juliane Mentzel-Ziegert
Thies Blümel
Luka Weimer-Beyer
Marliese Becker
Jasmina Rädel
Prof. Susanne Heidrich B.Eng.
Helma Hänel B.A.
Gunhild Kroker
Prof. Marika Junken B.Eng.
Herr Dietrich Gotthard B.A.
Heinrich Ackermann
Gerd Süßebier
Prof. Diether Neureuther
Univ.Prof. Hans-Albert Ruppert
Prof. Jelena Krebs B.Sc.
Hans-Gerd Preiß
Wilhelm Tlustek
Univ.Prof. Lara Hoffmann MBA.
Dr. Francisco Hänel
Leander Dobes-Schlosser
Evangelia Schlosser-Boucsein
Frida Süßebier
Ing. Cilli Gertz B.A.
Bodo Finke
Hildegund Gunpf
Isa Koch
Nadja Häring B.Eng.
Jost Gröttner-Mülichen
Aldo Kusch-Klemm
Frederik Rust
Prof. Knud Atzler B.Sc.
Alfredo Bolzmann B.A.
Sylvio Karge
Univ.Prof. Veli Etzler
Iwan Käster
Ramon Salz
Dörthe Rädel
Ing. Zoltan Dobes B.A.
Roswita Sauer
Peer Hölzenbecher
Klaudia Seidel
Lilly Naser
Henrik Hein B.A.
Hans-Jörg Lachmann
Univ.Prof. Monja Staude MBA.
Richard Mende-Hendriks
Othmar Hölzenbecher
Univ.Prof. Reinhilde Cichorius B.A.
Melanie Jungfer-Preiß
Ing. Daria Lorch B.A.
Jörg-Peter Jüttner-Winkler
Liane Hermann MBA.
Veronique Hartung-Haering
Deborah Beier
Sarah Beckmann
Heinz-Wilhelm Steuer-Mende
Gerhart Staude
Herr Jonathan Hänel MBA.
Ing. Lisette Kaul B.A.
Inna Ditschlerin
Nadia Wirth
Erica Schlosser
Ing. Karin Werner
Dipl.-Ing. Stefano Ditschlerin
Ing. Wolf-Rüdiger Herrmann B.Sc.
Vassilios Trommler-Gieß
Hermine Eberhardt
Aloys Fechner
Anatolij Kroker B.Eng.
Dr. Rosmarie Seip
Fredi Huhn
Ehrentraud Meyer MBA.
Prof. Marten Söding B.A.
Univ.Prof. Gisa Meister
Diether Dussen van-Rohleder
Mariusz Stadelmann-Jähn
Reinhold Striebitz
Patricia Trubin
Ing. Herbert Mühle B.Sc.
Reni Cichorius
Dorothe Adler-Trubin
Ing. Käthi Schäfer
Leonardo Trub B.A.
Univ.Prof. Kläre Oderwald B.Sc.
Prof. Wolf-Dieter Killer B.Sc.
Helena Hettner
Maritta Bien
Thoralf Geisel
Prof. Ingmar Bonbach
Dipl.-Ing. Adem Gerlach
Kriemhild Warmer
Osman Liebelt
Karl-Wilhelm Anders-Gude
Laura Beier
Krista Junken-Hövel
Horst-Peter Faust
Prof. Karl-Ernst Möchlichen
Mohamed Stiebitz-Pärtzelt
Prof. Sylvana Trapp
Patrick Anders-Stolze
Dipl.-Ing. Wolfram Johann B.Eng.
Kata Gierschner
Regina Barkholz
Theodor Niemeier
Traudl Christoph
Vassilios Davids
Flora Etzold
Nurettin Dippel
Ing. Wilhelmine Adler B.Sc.
Gerolf auch Schlauchin
Dr. Caroline Ortmann
Hans-Eberhard Lübs
Anny Wagenknecht
Marika Zänker B.A.
Augustin Hoffmann MBA.
Franca Harloff-Döring
Bruno Henschel
Univ.Prof. Jörg-Peter Riehl
Dipl.-Ing. Augusta Lachmann B.A.
Dr. Hans-Albert Stroh
Ignatz Börner
Gert Fischer
Melita Schleich
Hans-Martin Bärer
Sönke Gumprich
Julia Pärtzelt
Irmtrud Bolzmann
Till Karz
Juliana Weinhage
Frau Alexandra Beckmann B.A.
Drago Gierschner B.Eng.
Ignatz Budig
Hanne Gierschner
Reza Kusch
Caroline Linke
Ing. Tillmann Geisel
Univ.Prof. Betty Conradi B.A.
Willi Birnbaum
Ulla Fliegner-Sölzer
Guenther Steinberg MBA.
Annika Pieper B.A.
Univ.Prof. Hans-Martin Scholz
Dajana Gehringer
Hans-Ulrich Liebelt-Hauffer
Julia Conradi-Mentzel
Univ.Prof. Amelie Gröttner B.Eng.
Reinald Zahn
Sylvia Schäfer
Aenne Beyer
Meral Bolnbach
Lucia Kohl
Nicolai Gutknecht
Dr. Uta Gumprich
Hartmut Zirme
Kathleen Hahn B.A.
Beatrice Fechner
Aleksander Scheuermann
Fredi Jäntsch
Timm Schleich
Bekir Gumprich-Kabus
Herr Kurt Weitzel B.Sc.
Anto Kobelt-Kobelt
Frau Mareile Birnbaum
Nermin Martin
Hannchen Zahn
Imelda Söding
Dipl.-Ing. Lara Tlustek
Prof. Jörgen Gieß B.Eng.
Aziz Bauer MBA.
Ing. Jürgen Jopich B.A.
Silvester Etzold
Jacqueline Hofmann
Univ.Prof. Milka Bähr
Frau Raissa Radisch B.Eng.
Carolina Ditschlerin
Ing. Rosina Kabus MBA.
Hilmar Ziegert
Christina Schlosser
Jessica Kohl
Herr Wladimir Bolnbach
Karl-Otto Kostolzin
Herr Jens Becker MBA.
Univ.Prof. Jaroslav Seifert B.Eng.
Ioannis Klemt
William Zirme
Viviane Girschner
Frieder Austermühle
Univ.Prof. Fatima Faust B.A.
Gülten Ruppersberger-Wende
Reingard Geisel
Dr. Irmtraut Gnatz B.Eng.
Dipl.-Ing. Margaretha Köhler B.Eng.
Pius Röhrdanz
Theodor Bolnbach-Kroker
Prof. Ursula Eigenwillig
Giesela Börner B.Eng.
Rosina Otto
Kathi Christoph
Ing. Zbigniew Warmer MBA.
Fatima Weinhage-Boucsein
Wolf-Dieter Sölzer-Putz
Ing. Gordana Bruder MBA.
Susann Henk
Alwine Riehl
Friedlinde Mühle B.A.
Nurten Henschel-Stroh
Samuel Ackermann
Achim Budig
Denny Bohlander B.A.
Nadine Sauer
Ladislaus Stadelmann
Franz-Xaver Carsten
Kaspar Römer
Dr. Gerti Scheel
Igor Dörschner
Inken Hellwig-Hermann
Univ.Prof. Marjan Graf B.Sc.
Philomena Bloch
Folker Otto MBA.
Gernot Hornich B.A.
Irmtrud Textor B.Eng.
Helga Salz
Danny Gumprich
Arzu Wieloch-Röhrdanz
Resi Margraf
Irmtraut Noack
Birgid Freudenberger
Prof. Sandy Butte
Frau Etta Wesack MBA.
Ivo Börner
Vera Heydrich
Ehrhard Häring B.A.
Hardy Wende B.Sc.
Utz Christoph-Henck
Julia Graf
Siegrid Segebahn
Imre Sauer
