Student
Dipl.-Ing. Till Säuberlich
Maurizio Hermann
Dipl.-Ing. Angelina Mälzer B.Eng.
Martha Wilmsen
Anatol Adler
Fredy Ring
Ing. Anastasios Berger
Maria-Theresia Tschentscher
Katharine Renner
Dr. Erdogan Fröhlich
Aleksander Klapp-Sauer
Gertraude Ruppersberger
Gunter Beyer
Cengiz Dehmel
Mijo Karge-Löchel
Sergei Ritter
Helga Hövel MBA.
Univ.Prof. Linus Seifert
Kay-Uwe Ziegert
Erica Lachmann
Jeannine Heinz-Tlustek
Ing. Christel Margraf MBA.
Dipl.-Ing. Slobodan Sölzer
Ing. Bianka Bärer MBA.
Kerstin Heidrich B.A.
Univ.Prof. Athanasios Drub B.Sc.
Janin Haase
Prof. Irmhild Fritsch
Ellen Röhrdanz
Paolo Zänker MBA.
Isabell Briemer
Ing. Giorgio Warmer B.Eng.
Reimar Müller
Herr Anthony Caspar
Herr Heinz-Josef Wende MBA.
Telse Rudolph
Erica Renner-Trapp
Lina Hein-Gotthard
Oscar Junitz
Prof. Mahmut Barth B.A.
Louise Jessel
Ing. Jens Henck B.Eng.
Marco Conradi
Fatma Seidel B.A.
Augusta Beer
Freia Kraushaar B.A.
Drago Gierschner B.Eng.
Gaetano Paffrath
Ing. Bernfried Pruschke
Felicia Binner
Arif Heinrich
Ing. Siegmar Meyer B.A.
Bernd Blümel
Ruthild Hoffmann
Dipl.-Ing. Marek Jockel
Paul-Gerhard Jungfer B.Eng.
Dr. Otmar Linke MBA.
Cynthia Linke
Swantje Binner B.A.
Frau Anka Hering
Ing. Nadeschda Tschentscher B.A.
Univ.Prof. Baptist Mende MBA.
Ing. Hüseyin Gutknecht B.Sc.
Ehrhard Förster
Kai-Uwe Oderwald
Univ.Prof. Francisco Tröst B.Eng.
Mercedes Kobelt MBA.
Nuran Schottin B.Eng.
Hans-Willi Kruschwitz B.Sc.
Denny Salz
Daria Jopich
Monique Liebelt-Ebert
Hannelore Heser-Boucsein
Zeynep Lehmann
Marijan Killer
Mariusz Stadelmann-Jähn
Peggy Haering B.Sc.
Dipl.-Ing. Bernhardine Heß
Birthe Trommler
Christof Ditschlerin
Andre Stroh
Augustin Wende
Phillip Salz B.Sc.
Prof. Wolfgang Mohaupt
Ing. Melanie Hamann
Helge Schuchhardt
Helma Zorbach
Hülya Scheibe
Alfons Schleich B.A.
Michel Hermighausen
Danuta Kensy
Dr. Philip Siering B.A.
Univ.Prof. Czeslaw Heuser
Torben Roskoth-Wilmsen
Univ.Prof. Henry Wohlgemut B.Eng.
Ing. Marten Hering
Rosina Ortmann
Adelheid Schinke
Herr Otto Vollbrecht
Claire Römer-Hornich
Dipl.-Ing. Richard Gröttner B.A.
Toni Dehmel-Striebitz
Univ.Prof. Virginia Pechel
Hans-Jochen Mude
Ernest auch Schlauchin
Tillmann Mude
Dr. Peggy Beyer B.Sc.
Heinrich Dippel
Jessica Stumpf
Xaver Schönland
Hans Jürgen Grein Groth-Rudolph
Ing. Cynthia Weihmann B.Eng.
Anatoli Caspar
Franco Loos B.Eng.
Fatima Rosemann-Schmidtke
Mark Röhricht
Tadeusz Kruschwitz B.Sc.
Sergio Schleich
Melissa Stey
Marie-Luise Rogner
Babett Pruschke-Schäfer
Marko Kensy-Atzler
Dr. Ljiljana Henck MBA.
Lothar Beckmann
Elzbieta Hartung
Wibke Tschentscher-Wulf
Concetta Dehmel
Prof. Liliane Gehringer MBA.
Dipl.-Ing. Milos Klemt
Marie Henk B.Sc.
Marcel Schlosser
Brunhilde Nohlmans
George Hörle
Abram Vogt MBA.
Augustin Hoffmann MBA.
Gunnar Hornig
Henri Wilms
Maya Lindner-Zimmer
Detlev Stadelmann
Elvira Cichorius
Dr. Bernfried Schomber
Fredy Bachmann B.Eng.
Rene Henck
Bruno Henschel
Marliese Drubin
Ing. Carin Zorbach MBA.
Dipl.-Ing. Eberhardt Fechner
Eugen Schottin
Gundolf Schomber-Hellwig
Bertram Höfig B.Sc.
Maurice Möchlichen
Ing. Eugenie Kreusel MBA.
Witold Wulf
Adrian Trupp
Ruthild Schüler B.Eng.
Univ.Prof. Margareta Naser
Eitel Hethur
Prof. Salvatore Römer
Carlo Martin B.Eng.
Dipl.-Ing. Adele Huhn MBA.
Deborah Beier
Univ.Prof. Clara Heidrich B.Sc.
Prof. Magnus Dörr B.Eng.
Irmgard Pieper B.Eng.
Joerg Döhn
Malte Kallert-Möchlichen
Arndt Weinhold MBA.
Peggy Holt
Marek Ackermann
Dipl.-Ing. Gudula Margraf B.Sc.
Karl Meister B.Eng.
Univ.Prof. Resi Kobelt
Zeki Henk B.A.
Prof. Ines Kuhl
Gudula Holzapfel
Univ.Prof. Robby Vollbrecht
Abdul Trüb MBA.
Monja Mülichen
Adeline Hein-Metz
Lydia Jopich
Angelique Adler
Elise Ackermann
Frau Etta Wesack MBA.
Margarethe Wagenknecht
Sylwia Bolander
Margaret Kraus
Sigrun Weinhold
Ing. Ernest Rogge B.A.
Cathrin Weitzel MBA.
Ignaz Stoll
Dr. Marie-Theres Möchlichen B.A.
Annett Anders MBA.
Georgia Bärer
Kai-Uwe Schäfer
Viktor Kusch
Antonina Pärtzelt-Gerlach
Gesa Bender
Johanna Finke-Ehlert
Ilonka Zimmer
Karl-Ernst Reuter
Dr. Hans-Peter Adolph MBA.
Nina Putz-Ritter
Hanne-Lore Kraus
Metin Hande
Britt Bolander B.A.
Joachim Rogge
Kay-Uwe Pölitz
Flora Mühle B.Sc.
Sofia Roht MBA.
Tomasz Preiß
Philomena Salz
Erhard Otto
Eckard Textor
Folker Otto
Edmund Siering
Slawomir Tlustek B.A.
Vincenzo Lübs
Heimo Hübel MBA.
Philip Mangold
Ron Dobes-Weihmann
Dr. Friedhilde Adler MBA.
Sibylla Pohl
Annamaria Hänel-Zimmer
Dr. Myriam Pieper B.Eng.
Artur Budig
Arne Dobes
Herr Gundolf Barth
Hansgeorg Kruschwitz
Gert Nette
Cetin Heidrich
Marina Wilmsen
Milka Scholl
Helene Keudel
Prof. Monique Budig B.Eng.
Dr. Heide Jockel B.Sc.
Anatolij Jüttner-Bauer
Ludwina Hölzenbecher
Klaus-Peter Häring
Dr. Jost Hiller B.Sc.
Regine Sorgatz
Herr Klaus Peter Krause B.A.
Univ.Prof. Claudio Schmiedt
H.-Dieter Mülichen B.A.
Univ.Prof. Czeslaw Tröst
Liesel Klapp
Gerda Mans
Corinne Berger
Piotr Hande
Mechthild Finke
Siegrid Bachmann-Schaaf
Prof. Hermann Josef Söding
Sedat Matthäi
Univ.Prof. Ayten Lorch
Ing. Loni Gnatz MBA.
Frau Ingelore Gertz
Heinz-Jürgen Hesse
Ditmar Adolph
Ing. Mattias Boucsein
Josef Rädel
Ing. Nadeschda Bohlander
Dr. Renate Mende
Helge Finke-Wähner
Emma Trub-Scheuermann
Simona Lorch
Ing. Gislinde Ernst B.A.
Meral Stroh-Henschel
Lieselotte Nohlmans
Harry Lange
Reinhardt Pärtzelt
Pietro Klingelhöfer
Martina Hartung
Emmi Adolph
Karl-Josef Schottin-Hoffmann
Prof. Stefania Briemer
Prof. Ralf-Peter Schlosser B.Eng.
Prof. Marian Gerlach
Prof. Ralph Patberg
Ing. Gertraude Holsten B.Sc.
Leokadia Putz
Bernhard Fischer
Rosa-Maria Steckel
Gottfried Keudel MBA.
Univ.Prof. Nurten Neuschäfer MBA.
Lorenzo Hornig
Mohammad Karz MBA.
René Gude B.A.
Univ.Prof. Fatima Hölzenbecher
Franjo Löffler B.Eng.
Rosita Peukert-Scheibe
Marianna Geisler
Lydia Losekann MBA.
Calogero Wende
Joana Preiß
Dipl.-Ing. Jan-Peter Mende MBA.
Frau Gertrud Jüttner
Univ.Prof. Jann Schleich
Dr. Annedore Wulff B.Sc.
Univ.Prof. Amalie Warmer B.Eng.
Gerold Schuchhardt B.Sc.
Dipl.-Ing. Kriemhild Löchel
Karl-Ludwig Hoffmann
Ing. Igor Barth
Prof. Mirko Adolph B.A.
Dipl.-Ing. Edgar Gehringer B.Eng.
Univ.Prof. Marita Pohl
Carola Kusch
Dipl.-Ing. Patricia Werner B.Sc.
Rene Albers
Wibke Pärtzelt-Wieloch
Dr. Hildegund Söding B.A.
Erkan Beier
Aenne Mende B.Eng.
Annemarie Häring
Tabea Birnbaum
Ing. Gottfried Hoffmann
Margot Schäfer B.Eng.
Anette Anders
Michel Kuhl
Frau Belinda Plath B.A.
Evangelia Misicher
Dietrich Kruschwitz
Gülsen Junck
Mathilde Kreusel
Irmengard Röhrdanz
Rainer Gunpf B.Eng.
Ing. Cord Hermighausen B.Eng.
Janina Seifert
Gertraud Mentzel
Bogdan Pohl
Utz Christoph-Henck
Inge Paffrath
Dipl.-Ing. Christoph Schulz B.Sc.
Dr. Ferdinand Pölitz
Leokadia Karge
Esther Hoffmann-Hermighausen
Erol Lindner
Filippo Juncken
Lars Weller
Enrico Reising MBA.
Univ.Prof. Nikola Graf MBA.
Bertold Stadelmann
Volkmar Trub
Karl-Wilhelm Anders-Gude
Alexandre Häring
Adalbert Vollbrecht
Jessica Kohl
Eleonore Kuhl-Koch
Tatiana Kade-Rust
Knut Jacob
Leokadia Bloch
Ralph Stahr
Uschi Trüb
Liselotte Lindau
Rolf-Dieter Flantz B.Eng.
Irmi Zobel
Agathe Weinhage B.A.
Sandor Ritter
Chantal Fröhlich
Anne-Rose Klapp-Jockel
Irene Rogner
Mechtild Winkler
Iris Kraushaar B.Sc.
Kati Süßebier
Nico Hartung-Linke
Giuseppe Stahr
Aline Steinberg-Klingelhöfer
Willi Heinz
Bettina Klapp
Dörte Warmer
Marieluise Schulz
Janet Jüttner
Freddy Hande
Simon Hahn
Patric Heinrich
Univ.Prof. Nadeschda Staude
Sibilla Mälzer
Dr. Hans-Albert Stroh
Ilka Lachmann
Andrei Bolander-Jäkel
Gabi Heinz
Dr. Gabriel Freudenberger MBA.
Janusz Rädel B.Sc.
Vincenzo Zirme
Dipl.-Ing. Jaroslav Henk
Ilja Krause
Jelena Löffler
Annie Langern
Monika Haering
Anika Binner-Löffler
Prof. Irma Bien B.Eng.
Jasmina Cichorius-Barth
Christian Jacobi Jäckel
Univ.Prof. Mira Heser B.Sc.
Trude Scholtz B.A.
Frau Constanze Heidrich B.Sc.
Thies Rose
Tino Metz
Ing. Nils Pergande B.A.
Kamil Hendriks
Almut Trupp
Univ.Prof. Gerhardt Dowerg B.Eng.
Felix Freudenberger
Justus Aumann
Dittmar Berger
Ortwin Scholl
Ing. Jeanette Rosemann B.Eng.
Ladislaus Killer
Frau Zdenka Zimmer
Ing. Annekatrin Heß
Gina Pieper
Herr Filippo Rosemann B.A.
Anne-Rose Sorgatz
Lisette Stoll B.Eng.
Dr. Jane Kostolzin
Rosa Rosenow B.Eng.
Jörg-Peter Christoph
Julie Radisch MBA.
Luka Binner
Hans-Gerd Dietz B.A.
Cemal Trapp
Univ.Prof. Birger Weihmann MBA.
Katrin Ortmann
Dipl.-Ing. Hans-Günther Bien
Irene Gotthard-Hoffmann
Anka Förster
Prof. Emine Wulf B.Eng.
Jakob Pohl
Nadja Geisler
Ing. Hannes Jähn B.Sc.
Rita Käster B.A.
Annekatrin Schleich
Katerina Drubin
Tino Paffrath B.Eng.
Wencke Salz
Eberhardt Fiebig
Tülay Hettner-Ebert
Slavica Vollbrecht
Eberhard Rust B.A.
Gunnar Ernst
Madeleine Thanel MBA.
Univ.Prof. Rosi Gorlitz B.A.
Käthe Ernst
Aleksandr Schuster B.A.
Balthasar Holsten
Helmar Klapp
Ing. Corinne Winkler
Larissa Ullmann
Katarina Knappe
Kathrin Dussen van
Marion Kuhl
Hans-Theo Bärer B.Eng.
Ercan Oestrovsky B.Eng.
Francesco Nerger
Mareile Meister
Annika Pieper B.A.
Univ.Prof. Mira Riehl
Marian Hande
Vassilios Kramer
Marisa Wagenknecht
Kay-Uwe Mühle
Karl-August Liebelt-Köhler
Frau Nuray Mangold MBA.
Maren Scholz-Bohlander
Sybilla Striebitz
Olaf Juncken
Gesa Keudel-Bauer
Alexandra Henk MBA.
Univ.Prof. Liliana Niemeier B.Eng.
Dr. Valentina Knappe
Carl-Heinz Trapp
Dr. Selma Geisel B.Sc.
Birgitta Schleich
Ing. Nuran Schaaf
Dipl.-Ing. Mathias Metz B.A.
Yvette Süßebier
Prof. Volker Hermann
Hans-Bernd Knappe-Gröttner
Univ.Prof. Halil Staude
Dipl.-Ing. Babette Bauer B.Sc.
Edmund Gnatz-Rogner
Frau Delia Hellwig B.Sc.
Herr Götz Süßebier
Diethelm Hofmann
Prof. Gunther Klingelhöfer
Renato Bolnbach
Gunter Misicher
Theodor Mangold
Hans-Jörg Lachmann
Slavica Koch
Charlotte Hecker B.Eng.
Uwe Dussen van
Jadwiga Gotthard
Patric Hermighausen MBA.
Dagobert Eberhardt B.A.
Henri Finke-Lehmann
Dominic Gunpf MBA.
Stavros Hentschel B.Eng.
Willibald Gude
Xenia Hermann
Univ.Prof. Harriet Heintze
Eveline Birnbaum
Dorothea Weihmann
Franz Josef Hoffmann B.Sc.
Frau Anna-Luise Sontag
Rosa Gnatz
Univ.Prof. Jaroslav Seifert B.Eng.
Karl-Heinz Buchholz
Dipl.-Ing. Detlef Trommler
Lioba Söding
Ing. Peter Trubin B.Sc.
Irmela Höfig B.Sc.
Ing. Josip Ruppert
Univ.Prof. Vesna Hering
Leszek Wagner-Häring
Ehrenfried Seidel MBA.
Benita Juncken
Ing. Rose-Marie Hölzenbecher
Aloys Ruppert
Ferenc Bolzmann-Girschner
Bianca Mans
Heike Karge
Jo Reising
Diethard Gude
Guido Wagenknecht-Kallert
Annegrete Pergande
Christos Gumprich
Sükrü Fiebig
Gerwin Textor
Klaus Peter Weller
Rahel Heidrich-Jüttner
Dr. Lieselotte Blümel B.A.
Univ.Prof. Diedrich Köhler B.A.
Reni Roht-Binner
Pedro Bärer
Bernadette Sorgatz
Ljiljana Ruppert
Ismail Junck-Trommler
Heinz-Otto Hermighausen
Andrea Wulf
Albert Hartmann-Lachmann
Dorothee Koch II
Rocco Rosemann B.A.
Alicia Kroker
Regina Reuter
Dipl.-Ing. Traudel Eigenwillig
Adem Mühle-Ruppert
Marie-Luise Zorbach MBA.
Isa Weihmann
Carolin Etzler
Rene Bruder B.Eng.
Univ.Prof. Betty Conradi B.A.
Univ.Prof. Marc Schmiedt
Domenico Kade B.A.
Prof. Tadeusz Mosemann B.Sc.
Elise Hentschel
Univ.Prof. Karin Beier
Birgid Freudenberger
Maik Oestrovsky B.Sc.
Natalie Carsten B.A.
Adrian Killer
Geza Beckmann
Katharina Süßebier B.A.
Marco Kostolzin-Bruder
Victoria Werner MBA.
Univ.Prof. Diethard Klotz
Herr Bastian Ritter B.Sc.
Herr Peter-Michael Kensy B.Sc.
Dipl.-Ing. Lara Tlustek
Bernd-Dieter Kostolzin B.A.
Marica Walter
Prof. Clarissa Barth
Elfi Herrmann MBA.
André Röhrdanz B.A.
Ottilie Trüb
Ing. Heide Winkler
Angelika Roskoth
Ing. Monika Ullrich
Kristin Kaul B.Sc.
Filippo Kostolzin
Univ.Prof. Jörg Jessel MBA.
Gilbert Steuer-Rosemann
Kunigunda Hamann-Hermighausen
Gitta Berger
Felizitas Werner
Prof. Claudia Mude
Rosalinde Killer
Eugenia Stey
Leonid Mühle
Prof. Juliane Henck MBA.
Ing. Wendelin Köster B.A.
Bernhardine Wilmsen
Justus Schüler MBA.
Gesa Jäntsch
Raisa Scholtz
Gülay Weinhold
Univ.Prof. Therese Hänel
Sinaida Adolph
Gotthard Scheuermann
Sonja Barkholz
Janin Höfig B.A.
Prof. Rabea Hettner B.Eng.
Wolf-Dietrich Gotthard-Dussen van
Anatolij Trub
Univ.Prof. Melita Langern
Friedrich-Wilhelm Metz
Korinna Koch II
Lutz Kobelt
Eileen Hartung
Irmgard Täsche B.A.
Roselinde Metz MBA.
Leonardo Klingelhöfer B.Sc.
Zlatko Kraus
Karla Wirth
Friedlinde Warmer
Karolina Hartmann
Elfie Preiß
Burckhard Heuser
Hanns Bender
Univ.Prof. Undine Becker MBA.
Eva Wende B.Eng.
Bert Junck
Dajana Ruppert
Ing. Horst-Dieter Seip
Karlheinz Stahr
Sandro Täsche
Larissa Mangold
Alida Tröst
Gerolf auch Schlauchin
Patrizia Schleich
Ottokar Döhn
Univ.Prof. Aysel Lindau
Patrizia Biggen
Attila Rogner
Jörg-Peter Speer
Dr. Abdullah Becker
Enver Dehmel
Frau Bianka Henk B.Sc.
Anna Linke
Mirja Dehmel B.A.
Constanze Fechner-Dörr
Hertha Butte B.Eng.
Constanze Lange
Waltrud Gumprich
Waltrud Jacob
Bernhard Becker
Herr Bruno Kreusel
Irmi Biggen
Fanny Zänker-Hein
Ing. Karl-Peter Weinhold B.Sc.
Ricarda Fröhlich B.A.
Aneta Schlosser-Köster
Klaus-D. Zirme-Bachmann
Prof. Dirk Biggen B.Eng.
Ing. Ivana Budig B.Eng.
Dipl.-Ing. Nathalie Radisch
Isidor Heinrich
Frank-Michael Köhler
Univ.Prof. Beatrix Roskoth
Hans-Hermann Hande
Theresia Liebelt
Ernestine Stumpf
Rupert Kallert
Margita Schleich-Becker
Gudrun Rörricht
Miodrag Fliegner B.A.
Frau Kirsten Geißler
Annita Lorch
Univ.Prof. Galina Kobelt B.Eng.
Bianka Dobes-Seifert
Valentine Tschentscher
Stilla Hornig B.A.
Conrad Lindau
Kaspar Aumann
René Hölzenbecher-Berger
Frau Herlinde Kade B.A.
Luigi Hartung
Dr. Amir Jäkel
Jörg-Peter Klemt MBA.
Cord Mende B.Eng.
Antonia Köster B.A.
Natalija Haering
Prof. Gaby Ernst MBA.
Margot Sontag MBA.
Gislinde Klapp B.Sc.
Dipl.-Ing. Karl-Heinz Rörricht
Dipl.-Ing. Werner Scholl B.Eng.
Ing. Knut Christoph
Constance Drubin
Univ.Prof. Kathi Noack B.Eng.
Nadia Rosenow
Prof. Reimar Reinhardt MBA.
Marvin Gröttner MBA.
Lutz Mies-Hesse
Nina Wagenknecht
Hassan Sager
Frau Wenke Riehl
Dr. Dora Fischer
Dr. Rolf Walter
Dipl.-Ing. Dörte Häring MBA.
Magarete Klingelhöfer-Mans
Univ.Prof. Heinrich Knappe B.A.
Horst-Peter Riehl
Athanasios Jacobi Jäckel
Igor Zobel B.A.
Univ.Prof. Christoph Beier B.A.
Univ.Prof. Hedwig Krein
Bernt Conradi
Dino Kusch-Hiller
Ing. Krzysztof Kambs B.Eng.
Klemens Winkler
Ing. Bianca Paffrath
Delia Hande-Koch
Tomislav Girschner
Univ.Prof. Waltrud Rogner
Univ.Prof. Canan Zorbach B.Sc.
Elma Heser
Emma Briemer B.Eng.
Ing. Valeria Kruschwitz
Eleni Matthäi
Dagmar Schäfer
Wenzel Ebert
Joachim Steuer
Dipl.-Ing. Lucia Renner B.A.
Niko Bähr B.Sc.
Hans-Herbert Flantz
Dipl.-Ing. Rouven Kallert MBA.
Denny Pechel
Traudl Gierschner
Ing. Arthur Schwital B.Eng.
Janus Walter
Herr Rolf-Peter Renner MBA.
Wulf Schuster
Dipl.-Ing. Undine Warmer
Prof. Karl-Ernst Möchlichen
Herr Jörgen Kruschwitz
Sibylla Koch MBA.
Karina Tschentscher-Butte
Frau Maria Jopich
Annerose Eckbauer
Ferenc Pergande B.Eng.
Ludwina Haase
Veli Junitz
Deborah Finke
Raissa Mitschke MBA.
Albrecht Seifert B.Sc.
Janette Kraushaar
Giovanni Weller-Söding
Ing. Utz Klemt B.A.
Adolfine Fischer
Gerta Hartmann
Krista Hofmann
Jurij Zimmer
Frau Sibel Trommler
Dipl.-Ing. Lidija Pölitz
Prof. Hermann Bohlander B.Eng.
Ing. Kläre Radisch
Karl Zirme
Sarah Beckmann
Kira Tschentscher MBA.
Aenne Kraus
Thorsten Bolzmann-Hesse
Cilli Röhricht
Prof. Sandra Klapp
Eckehard Wernecke
Marcel Oestrovsky
Kristian Meyer
Jessika Schacht
Rudi Schacht
Horst-Peter Ritter
Horst-Peter Thies
Herma Möchlichen
Ilka Heß
Svea Hartung B.Eng.
Othmar Täsche-Loos
Diethelm Hübel MBA.
Dipl.-Ing. Gertraut Stolze
Ing. Leopold Beier B.Sc.
Univ.Prof. Ron Rörricht
Univ.Prof. Sebastian Sontag
Therese Neureuther
Philomena Bloch
Marvin Kade-Ladeck
Marzena Mentzel
Olaf Weinhage
Conny Geißler-Karge
Dr. Filippo Eberhardt B.Eng.
Eva-Maria Zänker
Ali Schmidt-Knappe
Gero Gumprich B.Sc.
Franco Radisch
Roswita Gumprich-Butte
Walli Baum-Kohl
Kunigunda Fischer
Alfons Klingelhöfer
Angelo Schmidtke
William Zirme
Mariana Jüttner
Ahmet Eckbauer-Sölzer
Ellen Liebelt
Gotthilf Gehringer B.A.
Frau Anna Mangold B.A.
Gotthard Christoph
Ing. Ramazan Kabus B.Eng.
Ilka Faust
Thomas Hänel
Ing. Birte Heidrich B.Eng.
Dr. Franco Wilms
Frau Margit Gehringer MBA.
Prof. Jan-Peter Schmidt
Dipl.-Ing. Detlef Schacht
Marie-Louise Hauffer
Carmen Weinhold
Sonja Löchel
Prof. Ruthild Nette B.A.
Prof. Urs Täsche
Arndt Wernecke-Gertz
Nikolas Hövel
Carsten Jüttner B.Eng.
Univ.Prof. Natalie Flantz
Univ.Prof. Harro Weller
Anett Bien-Schuster
Michelle Pohl
Stanislav Stey
Burckhard Caspar
Silvester Scheibe
Hans-Karl Christoph-Schleich
Sandy Zimmer
Vitus Schmidt
Dipl.-Ing. Tim Fritsch
Ann-Kathrin Mühle
Aribert Mitschke
Carina Kusch
Thorben Henk-Mende
Ronny Dippel
Dipl.-Ing. Emanuel Nette
Dr. Czeslaw Neureuther
Ellen Weinhold
Anke Bähr
Univ.Prof. Etta Bohnbach
Urszula Killer B.A.
Ing. Ernst-August Häring
Klaus-Michael Mälzer
Lydia Schenk
Dipl.-Ing. Nikolaus Conradi MBA.
Björn Steckel B.Eng.
Kirstin Kusch-Meister
Czeslaw Jäkel-Röhrdanz
Hans-Erich Staude
Wilhelmine Knappe
Fatima Rörricht
Desiree Gierschner B.Eng.
Univ.Prof. Ilja Hentschel MBA.
Meryem Sager
Frau Francesca Blümel
Prof. Alexei Krebs
Roselinde Kusch-Röhrdanz
Zofia Gumprich
Meta Wagenknecht
Resi Knappe
Herr Bastian Hübel B.A.
Prof. Frithjof Binner
Univ.Prof. Johan Lange
Nicolai Gutknecht
Belinda Huhn
Kemal Heinz
Gerda Sauer
Riza Römer
Renate Franke B.A.
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Sigmund Heydrich
Aldo Förster
Karl-August Döhn B.A.
Jasmina Heuser
Georg Misicher
Ruth Barkholz-Koch II
Prof. Ana Textor
Ante Gunpf
Leon Aumann
Dirk Graf-Stiffel
Konstantinos Stolze-Biggen
Ingeborg Wesack
Thorben Stiebitz
Dr. Helge Täsche MBA.
Christel Mangold
Michael Mies B.Sc.
Henner Schmidt
Prof. Fredy Hahn
Frau Antonina Kitzmann
Berthold Naser
Ing. Rico Hoffmann
Michaele Ruppert
Carolina Ditschlerin
Elisa Steinberg
Anica Ortmann B.A.
Paul-Gerhard Hein
Kunibert Heß MBA.
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Prof. Kathy Warmer MBA.
Claire Holt
Frau Gilda Ebert
Jeanette Mälzer
Nurettin Börner
Bernward Fröhlich
Maria Mans B.Eng.
Stefano Huhn
Dipl.-Ing. Ildiko Löffler B.A.
Wulf Kusch
Wilma Röhrdanz
Prof. Rosa Kruschwitz B.Sc.
Edward Hering MBA.
Zenta Gertz B.A.
Aysel Löchel
Marie-Louise Girschner
Univ.Prof. Ivo Mies
Dr. Miguel Jungfer
Horst-Dieter Gude
Henny Stey
