Student
Maren Bachmann-Stumpf
Senol Langern
Herr Jens Becker MBA.
Univ.Prof. Pamela Kambs MBA.
Cindy Rogge-Dippel
Götz Budig
Fedor Roskoth B.A.
Herr Muzaffer Schäfer
Almuth Pieper
Gunhild Ullmann
Hans-J. Atzler
Birthe Schüler
Dr. Leopoldine Kostolzin
Antonios Klemm B.Sc.
Ernst Gunpf-Naser
Ilonka Zimmer
Faruk Meister
Hans-Adolf Römer-Jäntsch
Gereon Wende MBA.
Franca Mentzel
Univ.Prof. Metin Martin B.Sc.
Jens Trub
Friedrich-Wilhelm Stahr-Henck
Irina Mielcarek
Kristin Jacob
Nadeschda Rädel
Univ.Prof. Anika Pärtzelt MBA.
Tülay Fiebig
Siegrid Misicher
Reimund Bohlander
Aribert Mitschke
Marie-Luise Rogner
Anto Kobelt-Kobelt
Damian Holsten
Irmi Täsche B.A.
Samir Wähner-Butte
Frau Rosalinde Riehl
Carolina Ditschlerin
Dr. Sigrun Schönland B.A.
Stavros Hövel B.Eng.
Gero Gierschner
Karl-Wilhelm Anders-Gude
Sofia Hethur
Hans Jürgen Grein Groth-Rudolph
Carina Bruder
Ellinor Kraus
Gina Killer
Kriemhild Gude
Univ.Prof. Ivanka Hübel
Woldemar Bolzmann B.A.
Leon Bauer
Lieschen Rörricht
Willfried Kostolzin
Reimar Müller
Friedemann Klingelhöfer
Prof. Monica Beer MBA.
Ing. Ivo Weinhold
Margareta Zirme
Gertrude Kostolzin MBA.
Desiree Köster
Friedl Hänel
Franco Radisch
Frau Josefa Henschel B.A.
Ing. Tilman Kitzmann
Boris Kruschwitz
Inge Kabus
Rolf-Dieter Jacobi Jäckel-Nerger
Dipl.-Ing. Mirella Franke MBA.
Juliana Weinhage
Gerhart Staude
Fredy Ring
Heidemarie Köhler
Dipl.-Ing. Aloys Hentschel
Gerti Trupp-Dowerg
Senta Warmer
Herr Vinzenz Jäntsch B.A.
Dragica Rosenow
Hans-Dietrich Fliegner
Edda Jungfer
Elsa Beer
Karlfried Rörricht
Gesa Bender
Univ.Prof. Traudel Wernecke B.A.
Baldur Käster B.A.
Undine Dehmel
Jelena Jüttner
Annita Jähn
Jonas Walter
Adriana Vogt
Karl-Dieter Seifert
Nurettin Dippel
Edda Klemt
Prof. Tadeusz Mosemann B.Sc.
Tibor Budig
Hanspeter Juncken
Josephine Rogge
Johann Oestrovsky
Dr. Hans-Peter Adolph MBA.
Heidelinde Pruschke
Janet Jüttner
Engelbert Margraf-Trommler
David Losekann
Prof. Ana Textor
Ing. Therese Rust
Nuran Schottin B.Eng.
Prof. Reza Ebert B.Eng.
Mariana Wirth
Jonathan Gertz-Hertrampf
Regina Hamann B.Sc.
Maxim Roht
Klaus-Dieter Meister
Joachim Rogge
Friedbert Sorgatz
Eugenia Stey
Anne-Rose Hettner B.A.
Herr Osman Gerlach B.Sc.
Philomena Bloch
Carmine Hauffer
Tanja Plath
Mahmut Hänel
Bernhardine Schuchhardt
Wencke Salz
Marisa Wagenknecht
Ing. Diedrich Gotthard MBA.
Zeki Hartung
Ing. Irmtraud Wiek MBA.
Sylvana Holzapfel
Siegward Hertrampf
Denny Lachmann
Magarete Beyer B.Eng.
Bärbel auch Schlauchin
Hans-Albert Schwital
Wibke Cichorius
Pero Gnatz
Wulf Thanel-Scheibe
Dipl.-Ing. Giuseppina Etzler B.Sc.
Marion Kuhl
Carla Gnatz
Gundula Ruppersberger
Marit Eberth
Hubertine Krein
Sabrina Kohl
Simon Mude
Dina Koch
Felicia Löffler
Hermine Wohlgemut
Leopold Rörricht
Gerold Thanel
Lotte Kitzmann B.A.
Prof. Hans Dieter Kitzmann MBA.
Ing. Heinz Ehlert
Brian Blümel B.Eng.
Jacob Bähr
Nermin Jopich
Frau Inken Seip B.Eng.
Wencke Riehl-Stoll
Centa Krebs-Stadelmann
Aziz Bauer MBA.
Bozena Schuchhardt
Frank-Peter Bien
Adelheid Schmidtke
Jessika Thies
Natalija Haering
Baptist Vogt
Aleksander Klapp-Sauer
Ing. Andrew Nerger
Henning Fechner
Cemal Hamann
Prof. Johannes Holzapfel MBA.
Elfi Kranz
Carl Schomber-Mälzer
Gönül Steinberg
Michaela Sontag-Dörr
Nicolas Tschentscher
Elisabeth Roskoth
Karl-Heinz Rohleder
Jadwiga Gotthard
Vadim Rose-Wulf
Krista Gertz B.Eng.
Kornelia Kade
Evangelia Harloff B.A.
Ehrhard Förster
Heribert Kensy
Veronique Eimer
Hanne-Lore Johann
Claus Butte
Hedy Rudolph MBA.
Janin Hamann
Luciano Klotz
Hannes Jäntsch
Gerwin Rust MBA.
Inna Weinhage
Heide-Marie Zirme
Cilli Siering
Gretel Hande
Ottilie Gute
Klemens Knappe
Folker Otto
Raissa Mitschke MBA.
Franca Börner
Dr. Jonas Fechner
Rosalia Heydrich
Univ.Prof. Hans-Eberhard Bauer
Gunhild Zimmer
Albert Hartmann-Lachmann
Ing. Nuran Schaaf
Roland Putz
Dipl.-Ing. Sergio Hövel B.Eng.
Frau Camilla Kruschwitz
Reingard Klingelhöfer
Janina Seifert
Willy Reichmann
Klaus-Ulrich Tlustek-Förster
Ron Sorgatz-Eimer
Fabienne Matthäi-Heß
Anne-Katrin Seip
Dr. Evangelia Killer B.Sc.
Univ.Prof. August Gunpf B.A.
Burckhard Heuser
Wencke Heinrich
Univ.Prof. Gregor Gieß MBA.
Heinz-Wilhelm Werner
Friedrich-Karl Zorbach
Senta Renner
Gerda Stey
Tamara Nette-Ladeck
Karl-Josef Barth
Monique Schleich-Kroker
Abraham Carsten
Annelise Schwital
Frau Antonina Kitzmann
Ekaterina Schmiedecke
Ing. Krzysztof Kambs B.Eng.
Alexandre Häring
Artur Budig
Prof. Mandy Heuser MBA.
Vitali Walter-Krein
Herr Ansgar Gnatz
Laurenz Ritter
Hanna Knappe
Univ.Prof. Resi Kobelt
Dipl.-Ing. Dajana Beer
Clemens Kabus
Rosa Hübel
Georgia Bärer
Engin Hofmann
Irmi Koch
Edgar Karge
Univ.Prof. Veli Etzler
Ljiljana Rädel
Prof. Marion Martin
Gunhild Holt-Rust
Bianca Mans
Karl-Ludwig Bolnbach
Herr Erich Rosenow
Mahmut Rose B.A.
Frau Dorothe Mielcarek
Univ.Prof. Therese Hänel
Erkan Kuhl-Oestrovsky
Gerard Förster
Karl Heinz Hörle
Vassilios Kramer
Liane Kambs
Dr. Erkan Stroh
Univ.Prof. Paul-Heinz Heinz
Univ.Prof. Etta Bohnbach
Prof. Klaas Geißler B.A.
Gisa Hornig-Geißler
Aribert Herrmann
Hildegard Schlosser-Jacobi Jäckel
Annemarie Schaaf B.Sc.
Marvin Kabus B.A.
Prof. Gunther Klingelhöfer
Kunigunda Zimmer
Prof. Siegbert Scheuermann B.A.
Cläre Mohaupt
Diedrich Lachmann-Oestrovsky
Rene Lindau-Jäkel
Dipl.-Ing. Gilbert Plath B.Sc.
Dipl.-Ing. Ira Röhricht B.Sc.
Herr Karl-Heinrich Eberth B.Sc.
Ing. Justina Fiebig
Arnfried Scheuermann
Stefano Huhn
Kati Radisch
Janin Höfig B.A.
Charles Heinz
Siegrid Bachmann-Schaaf
Gotthold Krause
Adelheid Hecker
Elsa Sontag
Mohammad Karz MBA.
Prof. Maria-Luise Drub B.Sc.
Burkhardt Jäntsch B.A.
Mark Schottin B.Eng.
Linus Drub
Danuta Kreusel
Herr Ilja Kroker
Dipl.-Ing. Georgine Adolph B.Eng.
Dipl.-Ing. Frederik Rörricht B.Sc.
Dietlind Anders B.A.
Abraham Adler
Kay-Uwe Ziegert
Brit Heidrich B.A.
Gusti Vollbrecht
Fanny Bolnbach B.Sc.
Ing. Pauline Linke
Guntram Warmer
Regine Meyer
Klaus Peter Adler
Prof. Arnold Caspar B.A.
Univ.Prof. Matthäus Gude
Mona Söding
Georg Nerger
Univ.Prof. Heidrun Hiller
Jo Reising
Dr. Philip Siering B.A.
Phillip Salz B.Sc.
Solveig Trapp MBA.
Gabriel Süßebier-Eigenwillig
Ilias Freudenberger
Gerhild Stiffel
Frederike Dippel
Silvia Weiß
Ing. Margareta Hethur B.A.
Anthony Heintze
Erol Röhrdanz
Hubertus Dörschner
Frau Magarete Mans B.Sc.
Roberto Ritter-Fritsch
Frau Renate Geisler
Natalie Carsten B.A.
Annelore Täsche
Isidor Täsche
Marco Buchholz
Univ.Prof. Hans-Peter Schmidt MBA.
Dr. Aldo Fritsch
Frau Clarissa Rosenow B.A.
Herr Karlheinz Mans
Prof. Liliane Gehringer MBA.
Frau Brigitta Bohlander MBA.
Hartmuth Eberhardt
Luka Weimer-Beyer
Fredi Wilmsen
Ing. Giorgio Warmer B.Eng.
Kay-Uwe Trapp
Annelise Jungfer
Dr. Alwina Lorch MBA.
Lene Hermann-Kaul
Yvette Margraf-Wernecke
Univ.Prof. Dolores Jäkel
Carla Tintzmann
Friedericke Lange
Annemarie Wieloch
Jasmina Zorbach
Michaele Schacht
Hans-Albert Wirth
Ing. Cynthia Weihmann B.Eng.
Dr. Samuel Dobes B.Sc.
Raymund Mosemann-Eckbauer
Ria Koch II
Herr Hilmar Stumpf
Angelo Röhrdanz
Camilla Kühnert MBA.
Ronald Werner
Hellmuth Hörle
Catherine Cichorius
Ivo Lorch
Ria Stroh
Magdalene Patberg-Mosemann
Martin Dörr
Heimo Knappe
Univ.Prof. Josip Hartung
Dina Schmiedt MBA.
Caroline Harloff
Frau Rosemarie Stiffel
Reni Cichorius
Josefa Hauffer
Univ.Prof. Dogan Mielcarek
Ing. Zoran Tintzmann
Nadia Steckel
Sophie Rädel
Franz Schweitzer
Irina Hahn
Hans Jürgen Lange
Vincenzo Haering
Ing. Marleen Hölzenbecher MBA.
Cilli Gorlitz
Thorsten Bolzmann-Hesse
Frau Raissa Radisch B.Eng.
Heiko Metz
Frau Danielle Junk
Flora Etzold
Dr. Marliese Junck B.Sc.
Songül Tschentscher
Pedro Beer
Univ.Prof. Markus Finke B.Sc.
Alexandre Geisel
Irmi Gute
Maurice Steckel
Aynur Bohlander
Elisabeth Käster
Prof. Magda Textor
Kunigunda Fischer
Edeltraud Bärer
Prof. Sandy Butte
Frau Corinna Wähner
Melitta Salz
Ekaterina auch Schlauchin
Clemens Thanel
Kenneth Köhler-Kaul
Herr Gustav Noack
Univ.Prof. Paulo Jähn
Yvette Schinke
Evangelos Staude
Frank-Peter Weimer
Dr. Ferdinand Pölitz
Ilja Preiß
Herr Wolfhard Hövel
Ing. Willibert Steckel
Magret Mans
Hans-Martin Kambs
Univ.Prof. Christoph Beier B.A.
Vitus Schmidt
Zlatko Ritter B.Eng.
Erol Eimer
Monja Heidrich
Dr. Franco Wilms
Ingried Hänel
Sigmund Hentschel MBA.
Hans-Ulrich Dussen van
Univ.Prof. Alberto Steuer
Ing. Elisabet Jopich B.Sc.
Heinrich Kramer
Toralf Jessel
Jozef Kostolzin
Leander Dobes-Schlosser
Dr. Annekatrin Striebitz
Irene Stumpf
Frau Anja Haering
Anett Wieloch
Andreas Gunpf
Ing. Romuald Kreusel B.A.
Ing. Gerold Gotthard
Jasmina Rudolph
Hanno Salz
Zbigniew Weinhage
Heinz-Wilhelm Säuberlich MBA.
Antonie Ladeck
Paulina Oderwald
Dipl.-Ing. Ryszard Buchholz
Ing. Zbigniew Warmer MBA.
Frau Linda Weiß B.Eng.
Martin Rose B.A.
Juergen Beier B.A.
Univ.Prof. Lydia Langern
Univ.Prof. Dragan Thies MBA.
Dr. Irmtraut Gnatz B.Eng.
Tillmann Mude
Danilo Hande MBA.
Monique Liebelt-Ebert
Herr Sylvester Jopich B.Eng.
Ilja Kitzmann B.A.
Helmtrud Neureuther
Univ.Prof. Fredy Barth MBA.
Sinaida Ruppersberger
Burghard Albers-Berger
Inka Trapp
Madlen Salz
Evangelos Hartmann B.A.
Dipl.-Ing. Petar Lübs
Dittmar Berger
Francisco Wirth
Univ.Prof. Sahin Freudenberger B.A.
Antonius Kraus
Anastasios Kuhl
Bekir Cichorius-Döring
Silja Eberhardt-Boucsein
Bodo Ullrich
Univ.Prof. Katharina Werner MBA.
Ernst-Dieter Geisler B.Eng.
Margareta Dörschner B.Sc.
Klaus-Dieter van der Dussen
Gerta Stey-Klemm
Dipl.-Ing. Walburga Steckel
Univ.Prof. Ditmar Mitschke B.A.
Prof. Heide Krebs
Virginia Gorlitz
Ehrhard Pruschke
Dr. Janett Schottin B.Eng.
Jiri Hoffmann B.Sc.
Kemal Heinz
Prof. Beatrice Misicher
Margit Losekann
Martina Salz-Sorgatz
Patricia Wiek
Franz-Josef Schmidtke
Ellen Röhrdanz
Roswita Sauer
Meral Stroh-Henschel
Hansjörg Holsten
Niklas Trubin
Egbert Gertz
Hildegunde Wende-Spieß
Ada Ullmann-Hermann
Natali Patberg B.A.
Dr. Theodor Sager
Nicolaus Franke-Paffrath
Torsten Pergande
Frau Beatrix Bonbach B.A.
Pero Gutknecht
Angelica Lindau-Heß
Dominic auch Schlauchin
Irmi Biggen
Alicia van der Dussen-Patberg
Geza Hertrampf B.A.
Chantal Fröhlich
Paula Heinz
Britt Schwital-Seip
Dr. Ian Grein Groth
Anka Gieß
Deborah Becker
Herr Hartmuth Pruschke
Ana Heinz B.A.
Daniela van der Dussen B.Eng.
Prof. Angelique Seidel MBA.
Doreen Striebitz
Rene Bruder B.Eng.
Melanie Hauffer
Vinko Schmiedecke-Hendriks
Freia Kraushaar B.A.
Hansgeorg Hettner
Gertrude Lehmann-Kostolzin
Vincenzo Lübs
Heimo Kuhl
Hans-Theo Bärer B.Eng.
Sigrun Weinhold
Hans-Helmut Eimer MBA.
Prof. Anna Kühnert B.Sc.
Evi Grein Groth
Henryk Jacobi Jäckel B.Sc.
Ing. Wulf Atzler
Ljubica Wohlgemut-Schmidt
Czeslaw Jacob B.Eng.
Arndt Weinhold MBA.
Steffi Schmiedt B.Sc.
Astrid Schweitzer
Renate Bärer
Fatma Löffler B.Sc.
Dipl.-Ing. Kristine Klapp MBA.
Katharina Süßebier B.A.
Swetlana Binner
Sabrina Schomber
Konrad Schuster
Dorle Dörschner
Carsten Junken
Tilly Pergande
Kay-Uwe Trommler
Edmund Scholtz B.Sc.
Heimo Hübel MBA.
Linus Lübs
Prof. Petar Köhler
Olav Thies
Urs Matthäi
Dipl.-Ing. Tamara Seifert B.A.
Pius Römer MBA.
Madlen Geißler
Emine Haase B.A.
Annett Mies-Hellwig
Ignaz Beer-Eckbauer
Miguel Dussen van B.Eng.
Friedlinde Warmer
Felicitas Biggen
Claas Wirth B.Sc.
Heinz Dieter Barkholz
Dr. Gero Röhricht B.Eng.
Jochen Säuberlich
Gretchen Pohl
Sören Pechel
Dr. Lilly Conradi B.Sc.
Uschi Keudel
Aziz Anders
Miodrag Fliegner B.A.
Leopold Weller-Zobel
Dr. Alberto Kabus B.Sc.
Kasimir Albers-Stiebitz
Necati Koch
Josef Berger
Alwina Neureuther
Dr. Helge Täsche MBA.
Hanne-Lore Berger
Gülten Henschel
Cora Steuer-Junken
Christopher Gertz-Kade
Eugenia Anders B.A.
Kornelia Bachmann
Harri Heuser
Kay-Uwe Bruder MBA.
Elizabeth Wulf
Ernestine Trommler
Fernando Dobes
Stilla Klotz
Nurettin Börner
Stavros Zirme
Dr. Annelene Hamann
Ing. Arthur Schwital B.Eng.
Damian Bauer
Hilmar Faust
Giorgio Trüb
Laila Kranz
Annelise Steckel B.Sc.
Vassilios Birnbaum
Harry Lange
Rosa Kobelt
Ariane Tintzmann
Torsten Schwital-Gude
Bertram Segebahn
Dipl.-Ing. Jaroslav Henk
Willi Birnbaum
Amanda Heinz
Herr Darko Gutknecht MBA.
Hannah Jacobi Jäckel
Dipl.-Ing. Salvatore Zänker MBA.
Malte Bohlander
Ing. Danica Gieß MBA.
Minna Wernecke-Gumprich
Birgitta Hettner
Univ.Prof. Tomasz Atzler B.Sc.
Natascha Gotthard
Stavros Hoffmann
Dr. Arzu Martin B.Eng.
Dipl.-Ing. Tina Wagenknecht MBA.
Lutz Mies-Hesse
Hildburg Dowerg-Pergande
Dipl.-Ing. Konrad Schenk
Alina Finke
Ing. Rose-Marie Hölzenbecher
Alfredo Bolzmann B.A.
Gino Hartung
Edeltrud Margraf
Melanie Jungfer-Preiß
Univ.Prof. Siegfried Karz B.Sc.
Heinz-Werner Buchholz
Ernestine Stumpf
Ing. Dörte Freudenberger
Prof. Bela Noack
Univ.Prof. Evelyn Seifert B.A.
Peer Hölzenbecher
Guiseppe Tschentscher
Catrin Hamann
Michaele Schwital
Heinz-Jürgen Adolph
Woldemar Bähr
Robin Sölzer
Niko Gutknecht B.Sc.
Herr Mario Thanel
Ing. Bianca Paffrath
Ing. Dorothee Harloff B.Sc.
Mirja Wähner
Katherina Bien
Sedat Gude
Juliana Schönland
Gertraud Jüttner
Wilfriede Blümel
Dr. Marie-Theres Möchlichen B.A.
Hilde Walter
Till Karz
Marius Klotz
Clara Stroh
Regine Wende B.A.
Prof. Georgia Zirme MBA.
Magdalena Sauer
Herr Mike Schuchhardt B.A.
Univ.Prof. Kata Zahn
Dr. Anatoli Bonbach
Eveline Wagenknecht
Sara Heuser
Antonios Schönland
Anne-Katrin Lorch
Hanife Täsche-Stiffel
Karl-Ludwig Hoffmann
Bogdan Steckel B.Eng.
Annelene Steinberg
Frau Lisbeth Girschner MBA.
Jens-Uwe Neureuther
Frau Katarina Bolander B.Sc.
Hans-Eberhard Lübs
Gina Wulff B.A.
Tülay Schmidtke B.Sc.
Ing. Roy Dippel B.A.
Thorben Kitzmann
Ing. Ahmet Häring
George Paffrath MBA.
Steve Scholl-Ladeck
Hans-H. Pergande
Bodo Kranz-Striebitz
Elmar Förster
Lieschen Kusch-Pechel
Meta Eigenwillig
Herr Thomas Baum
Georgia Liebelt
Philip Renner
Kay-Uwe Finke
Heimo Bauer
Dipl.-Ing. Hannelore Kostolzin
Herr Mario Pergande
Prof. Hubert Heß
Harriet Rohleder
Dipl.-Ing. Edgar Gehringer B.Eng.
Deborah Beier
Herr Gotthard Wilms
Uli Wohlgemut-Stadelmann
Ljudmila Nerger
Karl-August Reichmann B.Sc.
Hans Jürgen Winkler
Dr. Annett Siering
Ing. Valentina Börner
Mark Sauer B.A.
Dipl.-Ing. Alan Schacht B.Eng.
Ingmar Hauffer
Heidemarie Junitz
Jessica Kohl
Ivana Nerger
Balthasar Kruschwitz B.A.
Prof. Emine Wulf B.Eng.
Alma Eimer-Seip
Prof. Heinz-Willi Lindau MBA.
Luisa Seip B.Sc.
Julius Liebelt
Bogdan Zirme
Reimar Trüb
Francoise Zänker-Knappe
Herr Marian Schlosser B.A.
Ingmar Beckmann
Notburga Heuser
Bertha Heser MBA.
Yasmin Wiek
Ing. Jens-Peter Tschentscher
Heinrich Bohlander-Ullrich
Wanda Stoll B.A.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Imelda Schäfer
Milos Trüb
Jens-Uwe Geisler
Tibor Schleich
Jane Reuter
Maurizio Tschentscher
Antonius Pärtzelt-Jüttner
Dr. Elena Kade B.Sc.
Anette Bien
Jörgen Paffrath B.Sc.
Dr. Achim Barth
Dr. Annelene Geisel B.Sc.
Univ.Prof. Gönül Meister B.Sc.
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Herr Frank Bolnbach
Dagobert Rogge
Paolo Zänker MBA.
Gabriele Schmidt
Anett Bien-Schuster
Dr. Senol Beier MBA.
Karolina Hartmann
Frau Mia Kaul MBA.
Nikolai Rädel-Klemt
Andrei Bolander-Jäkel
Baldur Knappe
Univ.Prof. Kreszenz Wulf B.A.
Stavros Hentschel B.Eng.
Dr. Saban Hoffmann B.Eng.
Meike Berger
Bianka Schuster-Ziegert
Patric Hermighausen MBA.
Waldemar Hendriks
Gisela Carsten B.Sc.
Jerzy Hermighausen-Lübs
Sedat Matthäi
Diether Dussen van-Rohleder
Thies Rose
Steven Eimer
Raymond Speer
Gunhild Nohlmans
Maria-Theresia Heinz B.A.
Herr Janus Matthäi B.Sc.
Joseph Reuter
Pasquale Karge
Univ.Prof. Waltrud Rogner
Anto Tröst-Schäfer
Nadine Schleich
Osman Salz MBA.
Freia Lübs
Carsten Wieloch-Kranz
Rita Käster B.A.
Konstantinos Linke B.Eng.
Änne Möchlichen
Ing. Marvin Renner MBA.
Johanna Stumpf
Niko Butte-Rosenow
Ramon Jäntsch-Gertz
Darius Trupp
Gregor Buchholz
Urban Pieper
Käthe Ernst
Dr. Leonie Köster
Dr. Almut Nohlmans B.A.
Janus Jessel-Hermann
Francisco Harloff
Adelinde Putz
Frau Hildegund Vogt B.A.
Monica Drub-Davids
Justine Patberg-Metz
Dr. Diedrich Krebs B.A.
Klaus-D. Hövel
Heinz-Walter Juncken
Dogan Häring MBA.
Edda Henschel
Ing. Svenja Aumann
Roswita Henck
Fredi Huhn
Othmar Hölzenbecher
Univ.Prof. Suse Lachmann B.Sc.
Ralph Schottin-Graf
Kreszentia Bohlander
Zofia Schulz
Serge Trubin
Apollonia Trüb B.A.
Maik Schottin
Ilias Wagner
Gretchen Jessel B.Sc.
Univ.Prof. Luka Mende
Karsten Wohlgemut
Prof. Natalija Weinhold
Evi Wilmsen MBA.
Annelies Beer
Antonius Hermighausen
Arndt Wernecke-Gertz
Horst-Peter Ritter
Abram Scholz B.Sc.
Birgid Drewes-Seifert
Prof. Heinz-Josef Radisch B.A.
Victoria Klingelhöfer
Milka Wohlgemut-Meyer
Luzie Sager-Gierschner
Beatrix Möchlichen
Kevin Tlustek-Heinz
Ralph Binner-Römer
Raimund Gieß
Rahel Dörschner
Grit Karz
Adina Kallert
Ellen Weinhold
Hans-Detlef Kobelt
Anka Jäkel-Ackermann
Melissa Stey
Imke Keudel B.Sc.
Franka Peukert
Oda Berger
Gernot Hornich B.A.
Dr. Hans Dieter Mude
Rouven Ziegert
Reni Rosemann MBA.
Dipl.-Ing. Janus Roht B.Sc.
Herr Jacek Budig B.Eng.
Univ.Prof. Francesco Schulz B.Eng.
Gottlob Römer
Hanspeter Koch II-Wohlgemut
Florian Weimer
Wenke Neureuther-Hermighausen
Hannelore Noack MBA.
Dariusz Rädel
Wladimir Möchlichen MBA.
Frau Friederike Albers
Christiana Pohl
Paulina Bender-Liebelt
Camilla Gunpf
Nikolaj Scholz
Brita Flantz-Knappe
Dipl.-Ing. Hermann-Josef Jüttner
Reza Misicher
Thorsten Ruppersberger
Kazim Tschentscher
Herr Thorben Jacob
Rotraud Fiebig
Dipl.-Ing. Sigrid Hahn
Hans-Jürgen Klemm
Silja Jüttner
Univ.Prof. Arne Hoffmann
Univ.Prof. Robby Vollbrecht
Gundula Weitzel-Liebelt
Olivia Mies
Rudolph Etzold
Jörn Hörle B.Sc.
Antonie Fischer-Margraf
Marta Herrmann
Wiltrud Ladeck MBA.
Frau Wendelin Heinrich B.Eng.
Björn Steckel B.Eng.
Elma Junken
Lara Stroh
Univ.Prof. Lara Hoffmann MBA.
Carl Scheibe
Emilie Bolander
Univ.Prof. Milka Bähr
Adriane Stroh
Claire Rogner-Scheel
Dietlind Albers
Felizitas Jungfer
Carolin Holt
Clemens Barth
Carl Schmiedt
Zofia Gumprich
Lambert Misicher-Dörschner
Margot Sontag MBA.
Wojciech Girschner B.A.
Dipl.-Ing. Richard Gröttner B.A.
Gabriela Freudenberger B.A.
Carsten Hartmann
Magdalena Warmer MBA.
Margita Meister
Malte Herrmann-Zänker
Alex Ziegert
Herr Rüdiger Ruppersberger
