Student
Meral Bolnbach
Gerhart Schenk MBA.
Ljiljana Löwer B.A.
Ing. Wilhelmine Adler B.Sc.
Mariusz Hartung
Lioba Söding
Sergej Hauffer MBA.
Enno Jockel MBA.
Thomas Hänel
Univ.Prof. Betty Conradi B.A.
Tanja Renner B.Sc.
Diether Vogt B.A.
Ortrun Siering
Bogdan Löffler
Univ.Prof. Gislinde Rohleder
Hans-Gerd Gnatz
Prof. Magdalena Bohlander B.Sc.
Katharine Mühle
Sonia Gorlitz-Mude
Mirja Wähner
Margareta Klingelhöfer
Ing. Janin Winkler MBA.
Hans Kohl MBA.
Stefano Wagenknecht
Prof. Sarina Hartmann
Dominic Gunpf MBA.
Gundi Tlustek
Univ.Prof. Frederike Heintze
Gönül Steinberg
Univ.Prof. Hiltrud Löwer
Mechthilde Lindau B.A.
Stephanie Beer
Dr. Gundula Putz
Hannelore Haase
Fernando Gieß
Helma Fliegner
Dr. Gabriela Geißler
Ute Stroh
Frau Ingried Rogner B.Sc.
Madlen Trupp B.Eng.
Raymund Thanel
Phillip Hermann
Dipl.-Ing. Leokadia Junk
Philippe Geisler
Dipl.-Ing. Wilfriede Bruder
Manja Stadelmann
Slavko Schüler B.Eng.
Björn Steckel B.Eng.
Sebastian Karge
Birger Becker
André Kraushaar-Henck
Prof. Uschi Fliegner B.A.
Kevin Trubin
Dipl.-Ing. Ingolf Krein
Massimo Dörschner
Univ.Prof. Christa-Maria Lehmann B.A.
Andrea Ziegert
Anne-Rose Sorgatz
Carolin Stumpf B.Eng.
Martine Conradi
Sylvester Neuschäfer-Schacht
Adina Finke
Prof. Sofie Gröttner
Traudel Wilmsen B.A.
Tino Metz
Univ.Prof. Vinko Tschentscher
Margot Ullmann
Bartholomäus Trapp
Ilja Freudenberger B.A.
Uta Kade
Katharine Renner
Dr. Rita Kallert
Nadin Radisch
Univ.Prof. Jeannette Schleich B.Sc.
Falk Sorgatz-Ortmann
Univ.Prof. Traudel Wernecke B.A.
Senta Weihmann
Ingeburg Radisch-Steckel
Swetlana Jessel
Ing. Lisbeth Fritsch
Joana Mielcarek B.A.
Marko Trupp
Karl-Hans Hande-Schuster
Ing. Helmuth Bachmann B.Sc.
Alexej Röhrdanz
Janko Rose
Univ.Prof. Ferenc Knappe B.Sc.
Anatolij Jüttner-Bauer
Prof. Stefania Briemer
Dr. Patrizia Dörschner B.A.
Magdalene Mude
Joerg Fritsch-Pieper
Ludwig Reinhardt
Wibke Reuter
Marianna Karge
Herr Bastian Ritter B.Sc.
Prof. Marija Seidel
Falko Kusch B.A.
Vesna Döhn
Marika Sager
Dipl.-Ing. Karsten Fechner
Franco Loos B.Eng.
Korinna Spieß MBA.
Hans-Otto Trubin B.Eng.
Mariola Heinrich
Brunhild Müller
Bekir Fechner
Frau Hilda Schweitzer B.Eng.
Kristin Niemeier
Käthe Langern-Jacob
Fritz Nerger
Herr Lukas Eimer
Univ.Prof. Gisa Meister
Helmtrud Börner B.A.
Martin Rose B.A.
Zita Holt
Orhan Wieloch
Yvette Süßebier
Wally Krein-Bien
Berthold Jäntsch-Jessel
Heide Knappe
Karl-Georg Zahn
Aenne Hübel-Mühle
Kai-Uwe Bohnbach
Marzena Jüttner-Jockel
Egbert Tschentscher
Ing. Birgid Möchlichen B.A.
Hannes Patberg
Anto Niemeier
Engin Schenk
Anastasios Heinz
Hans-Jörg Lachmann
Dr. Ingelore Winkler
Michelle Klingelhöfer B.Eng.
Johanna Fischer
Dusan Ruppersberger B.Sc.
Tillmann Stolze
Karla Etzler-Metz
Michaela Sontag-Dörr
Dursun Mies
Milan Weiß-Schuchhardt
Roy Holt
Hanns Stiffel
Herr Ilja Kroker
Bertold Stadelmann
Ljiljana Rädel
Lia Zänker
Niklas Trubin
Bianka Holsten
Herr Steven Eberhardt
Wiltrud Wilmsen-Graf
Apostolos Kreusel-Noack
Hans-Bernd Kabus
Hubertus Dörschner
Gitta Mohaupt
Erich Putz
Horst Hauffer B.Eng.
Irena Wilmsen
Maximilian Jockel
Robert Weimer
Dipl.-Ing. Claudia Häring
Hildegunde Aumann
John Bauer
Maria Hellwig
Hiltrud Klemm
Astrid Nerger-Tröst
Dajana Trapp-Kreusel
Harro Gunpf
Edgar Bauer
Prof. Orhan Ladeck MBA.
Adelgunde Thanel
Aneta Heydrich
Ing. Ralf Sölzer B.A.
Margaretha Heintze-Henk
Reni Cichorius
Dr. Hans-Hermann Rosemann B.A.
Uwe Sorgatz
Rosita Möchlichen-Stumpf
Kay-Uwe Jähn-Schwital
Isa Tlustek
Vlado Lindner
Hans-Gerhard Döhn
Sami Stolze-Döhn
Adriane Stroh
Ing. Birte Heidrich B.Eng.
Marianna Rosenow-Weiß
Eckard Dehmel MBA.
Ing. Wenke Karge B.Sc.
Tadeusz Hentschel
Massimo Hecker
Rosmarie Ullmann
Dr. Damian Scheel
Elli Meister
Univ.Prof. Josefine Lindau
Francisco Schmidtke-Albers
Manuela Sauer
Gülsen Gutknecht
Sylvana Hornich MBA.
Emma Sauer B.Eng.
Nicolai Gutknecht
Ilka Heß
Heinz-Günther Mosemann
Hendrik Bolzmann-Henschel
Magret Bähr
Giesela Dowerg
Damaris Eigenwillig
Prof. Marie-Theres Löffler B.Sc.
Constance Rogge
Heinrich Ackermann
Alena Steuer
Dr. Marie-Luise Klingelhöfer B.Eng.
Teresa Schönland
Dana Löwer MBA.
Beatrix Möchlichen
Reni Rosemann MBA.
Eitel Ernst
Ljubica Wohlgemut-Schmidt
Meta Harloff
Jacob Süßebier
Dr. Sigfried Seip B.Eng.
Gotthard Scheuermann
Notburga Pölitz
Prof. Mandy Heuser MBA.
Victoria Werner MBA.
Edit Martin B.Sc.
Guiseppe Rust
Hermann-Josef Loos
Alexandre Häring
Franka Weinhold
Zdravko Müller-Fritsch
Aleksandra Benthin
Ing. Margarethe Martin
Elwira Pölitz B.Sc.
Prof. Friedo Reuter
Jolanta Döring
Bernard Steinberg
Irene Rogner
Univ.Prof. Sonja Hande MBA.
Dipl.-Ing. Christel Beer B.Eng.
Engelbert Margraf-Trommler
Luka Zorbach
Dorota Sorgatz B.A.
Theodora Aumann
Joseph Austermühle
Otto Butte
Siegward Hertrampf
Rosa Pieper B.Eng.
Hedwig Briemer
Ing. Cosimo Steinberg
Joana Wähner
Ludwina Haase
Eckart Cichorius
Jaqueline Weitzel-Pölitz
Heinz-Joachim Kobelt
Cynthia Linke
Univ.Prof. Hedwig Krein
Oscar Fritsch
Herma Möchlichen
Heinz-Günter Schuster
Madlen Steinberg
Inna Schulz
Anja Meyer B.A.
Christiana Bauer
Augustin Wende
Regina Becker
Univ.Prof. Anneke Gunpf
Ing. Giorgio Warmer B.Eng.
Ing. Alla Schottin B.A.
Mercedes Sauer
Gabriel Kreusel
Erdmute Mosemann
Dipl.-Ing. Robert Köhler
Fedor Roskoth B.A.
Simon Mude
Karl-Otto Winkler B.Eng.
Carin Binner
Elsa Sontag
Serge Kraus B.Eng.
Markus Albers
Frieder Austermühle
Dipl.-Ing. Eckhard Kallert B.Sc.
Christl Eigenwillig
Univ.Prof. Lucia Zobel
Dipl.-Ing. Rigo van der Dussen B.Eng.
Siegrun Ring
Carina Kusch
Theda van der Dussen
Vinko Schönland B.Eng.
Mattias Kruschwitz
Victor Butte
Marlis Rogge B.Sc.
Anatolij Peukert
Ingelore Heinz
Natalia Fröhlich-Kabus
Diana Jessel-Geißler
Anica Sorgatz B.Sc.
Paul-Gerhard Gunpf
Heinrich Köster
Marianna Hofmann
Frau Trudel Hövel
Hanno Salz
Prof. Heinz-Joachim Losekann
Brita Kaul
Lambert Röhricht-Johann
Silke Heydrich-Albers
Louis Geisel
Hans-J. Tröst MBA.
Prof. Nikolai Gunpf
Gabi Neuschäfer-Oestrovsky
Joana Preiß
Ing. Adam Klemt MBA.
Claus-Peter Flantz
Dipl.-Ing. Eveline Jäkel MBA.
Mehdi Neureuther
Magda Geißler
Mike Matthäi
Maurice Hübel
Adam Krein-Karge
Dominic Martin
Ian Briemer B.Eng.
Silja Kraus-Schuster
Nikolaos Ebert-Grein Groth
Prof. Gülay Birnbaum
Heiner Rörricht
Peggy Rogge-Lachmann
Herr Emin Trubin
Ralf-Dieter Kroker
Gotthilf Gertz
Ehrhard Pruschke
Madeleine Hartung
Univ.Prof. Petra Scheel
Gerd Wiek MBA.
Evelin Wagenknecht-Döhn
Hildegart Scheel B.A.
Elise Hentschel
Anette Anders
Prof. Annita Putz
Hülya Conradi
Univ.Prof. Niklas Mohaupt MBA.
Dipl.-Ing. Jan-Peter Mende MBA.
Solveig Scheibe
Dr. Lidija Weihmann
Bayram Lübs B.Eng.
Tanja Rörricht-Haering
Prof. Karen Henk MBA.
Gerald Albers-Jähn
Beatrix Scheibe B.Sc.
Dominik Naser B.A.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Tomislav Girschner
Ismail Koch
Paula Heinz
Zoltan Preiß B.Eng.
Frau Herlinde Segebahn
Dr. Hans-Willi Hertrampf MBA.
Radmila Kraus-Schacht
Sara Johann
Herr Gustav Noack
Prof. Gunter Mentzel
Anne-Kathrin Geisler
Sami Junitz
Georgia Liebelt
Agnes Vollbrecht
Prof. Bertha Jacobi Jäckel MBA.
Dipl.-Ing. Till Schenk
Birgid Freudenberger
Marit Weller
Thies Pergande
Heidelore Heinrich
Dr. Edelgard Sauer B.Sc.
Zeki Otto
Klaus-Werner Jäkel-Holsten
Dr. Mechthilde Hellwig
Auguste Gunpf
Wolf-Dieter Eigenwillig
Balthasar Holsten
Patrizia Schüler
Prof. Vadim Stroh
Antonietta Hübel
Carlo Martin B.Eng.
Frau Notburga Pergande
Ing. Engelbert Bauer
Justine Lindner
Dr. Filippo Eberhardt B.Eng.
Prof. Patrik Scheel
Zehra Ernst-Bohnbach
Ansgar Möchlichen-Höfig
Ole Süßebier MBA.
Imke Austermühle-Löwer
Adalbert Hande B.Eng.
Dipl.-Ing. Grete Stiebitz
Univ.Prof. Tina Rose
Czeslaw Bohnbach B.Eng.
Arif Heinrich
Guntram Warmer
Resi Knappe
Oscar Nerger
Hans Jörg Koch
Birgid Schüler
Konstanze Sontag
Dr. Zenta Holsten
Lothar Birnbaum
Dr. Jeannine Schleich B.Sc.
Herr Hermann-Josef Hauffer
Prof. Mirko Adolph B.A.
Ulla Fliegner-Sölzer
Frau Anne-Kathrin Wagner
Kathi Seip
Lara Oderwald
Salih Eckbauer-Renner
Dietlinde Söding
Evangelos Staude
Alf Jacobi Jäckel-Fritsch
Abram Scholz B.Sc.
Ben Ullmann MBA.
Hans-J. Bolander
Frau Linda Weiß B.Eng.
Emmerich Wilmsen
Henny Vogt
Kira Hartmann B.Sc.
Carmelo Klapp-Berger
Frau Nadeshda Ruppert
Prof. Robert Heintze
Hans Georg Niemeier
Betti Adolph
Prof. Tina Nohlmans MBA.
Herr Ansgar Gnatz
Achim Etzold MBA.
Ludger Stiffel
Dr. Elly Junk
Birgitt Seip-Klemm
Univ.Prof. Ilja Hentschel MBA.
Bertram Höfig B.Sc.
Jurij Zahn B.Sc.
Burckhard Caspar
Rosi Renner-Graf
Ayse Scheuermann-Sölzer
Hilmar Ziegert
Nadeshda Hänel-Kaul
Univ.Prof. Hans-Albert Ruppert
August Weihmann
Marek Adler
Nikola Riehl
Katarina Knappe
Marica Seidel B.Eng.
Helen Dehmel
Henni Mälzer-Tlustek
Anny Wähner
Manuel Pärtzelt
Kai-Uwe Stiebitz-Hentschel
Krystyna Rust-Baum
Wera Hauffer B.A.
Wulf Kusch
Elfie Jäkel
Rainer Gunpf B.Eng.
Erhardt Heidrich
Univ.Prof. Francesco Schulz B.Eng.
Willi Birnbaum
Marco Kostolzin-Bruder
Mesut Trommler
Stephan Hauffer
Erik Trupp MBA.
Inge Dietz B.A.
Ing. Georg Lübs
Wieslaw Freudenberger
Ing. Gislinde Ernst B.A.
Inna Hande
Raymond Misicher
Malgorzata Pieper
Carl Scheibe
George Weimer
Rico Cichorius
Martina Keudel
Marit Söding
Brunhilde Tröst
Antonius Pärtzelt-Jüttner
Hülya Scheibe
Anatoli Anders
Sergei Ritter
Wladimir Rogge
Herr Falk Holzapfel
Lili Heydrich-Beyer
Herr Peter-Michael Kensy B.Sc.
Vitali Neureuther
Cindy Meyer
Ulrike Albers
Dora Jockel
Jennifer Berger
Prof. Oswald Ehlert MBA.
Friedl Hänel
Ing. Tina Schmiedt B.A.
Dirk Graf-Stiffel
Reimar Kabus
Prof. Axel Davids MBA.
Nuri Jopich
Svetlana Schenk-Barth
Filippo Kostolzin
Werner Heydrich-Schmidtke
Maurice Pieper-Loos
Hans-Martin Drewes
Hans-Helmut Wesack
Patrik Ditschlerin
Prof. Thekla Hahn
Folkert Schwital
Daniele Seip
Nadja Geisler
Reimund Bohlander
Timo Spieß
Romana Wulff
Jörgen Paffrath B.Sc.
Hannah Stiffel-Börner
Ada Heser B.Sc.
Veli Rädel
Maria Mans B.Eng.
Univ.Prof. Willfried Werner B.Sc.
Caroline Wende
Frau Aleksandra Bähr B.Eng.
Lisbeth Hentschel
Nancy Karz-Bolzmann
Magdalena Sauer
Frau Gitte Hänel
Liesel Ziegert
Oliver Schwital
Hans-Theo Kuhl
Univ.Prof. Simona Holzapfel MBA.
Frau Julie Gunpf
Cäcilie Patberg
Dipl.-Ing. Friedhilde Hauffer B.A.
Dr. Eleni Heser
Sibylle Stey
Dr. Anna-Maria Zahn B.Sc.
Prof. Diether Neureuther
Reni Roht-Binner
Eckhart Gutknecht
Prof. Johan van der Dussen
Josefa Stolze
Mohamed Stiebitz-Pärtzelt
Stavros Ortmann
Emine Haase B.A.
Inge Kabus
Ing. Eva Kitzmann B.A.
Eckehard Nette
Annemarie Schaaf B.Sc.
Dr. Ibrahim Dobes B.Eng.
Uli Renner
Frank-Peter Haase
Cindy Schleich
Ing. Elisabet Jopich B.Sc.
Frau Alwina Bohnbach B.Eng.
Rene Bruder B.Eng.
Arno Ullmann
Heribert Römer-Lindau
Prof. Ursula Eigenwillig
Herr Evangelos Schacht
Antonina Neureuther
Gerald Hendriks
Heimo Knappe
Erdal Bruder
Isidor Niemeier
Kai-Uwe Oderwald
Concetta Neureuther
Gottlieb Kade
José Gröttner B.Sc.
Prof. Angelique Seidel MBA.
Horst-Dieter Seifert
Gunhild Kroker
Frieda Gröttner
Caren Neureuther
Heinz-Josef Jähn MBA.
Prof. Manuela Schleich B.Sc.
Sybilla Herrmann-Pärtzelt
Adelinde Gumprich MBA.
Dipl.-Ing. Geert Holsten B.Sc.
Univ.Prof. Lisbeth Köhler
Dipl.-Ing. Dorina Lindau B.Sc.
Ing. Krzysztof Kambs B.Eng.
Frau Ariane Weinhage MBA.
Ing. Peter Trubin B.Sc.
Ing. Cilli Gertz B.A.
Prof. Mathias Schmiedt
Ing. Kristina Biggen
Robby Kramer
Evangelia Gierschner
Dolores Conradi
Prof. Cäcilie Staude B.A.
Frau Hella Stumpf
Ryszard Anders B.Sc.
Liesa Wilms B.A.
Augustin Hoffmann MBA.
Frau Waltraud Weitzel B.A.
Matthias Dowerg
Andy Mangold
Herr Otto Vollbrecht
Valentine Tschentscher
Undine Dehmel
Erica Renner-Trapp
Ing. Muharrem Paffrath B.Sc.
Theresa Schüler
Baldur Metz
Herr Rigo Krebs B.Eng.
Ing. Carolin Faust B.A.
Susann Haering
Dr. Reinhilde Thies B.Eng.
Dipl.-Ing. Emmy Börner
Benita Hahn-Wieloch
Conny Zirme B.Sc.
Rosa-Maria Seifert
Doreen Hornig
Rena Rohleder
Ing. Sebastian Killer B.A.
Christina Geisel-Hesse
Moritz Spieß
H.-Dieter Gerlach
Frau Ingelore Gertz
Janine Söding
Mohammad Karz MBA.
Annemie Margraf
Eugenia Sorgatz
Vlado Hübel B.Eng.
Leonardo Birnbaum
Stilla Köhler
Univ.Prof. Änne Finke B.Sc.
Gisa Mohaupt
Edmund Gnatz-Rogner
Friedericke Killer B.Eng.
Joanna Christoph
Telse Steuer B.Eng.
Elizabeth Budig
Hansjürgen Säuberlich
Meinhard Schuster
Herr Thomas Baum
Claus Jähn B.Eng.
Gabi Meister
Mandy Scholl-Bohnbach
Ann Stumpf
Ing. Roy Dippel B.A.
Wally Anders B.Eng.
Univ.Prof. Halina Hamann MBA.
Prof. Reza Ebert B.Eng.
Maximilian Juncken
Heinz-Otto Wende
Prof. Konrad Neuschäfer
Andrej van der Dussen B.A.
Ing. Mohammed Geißler B.Eng.
Prof. Natalja Mies MBA.
Bertold Schenk
Wilfriede Ehlert
Ismail Geisler
Hansjürgen Faust
Fatima Röhrdanz
Roderich Ehlert-Henk
Zofia Schulz
Magarete Krause
Dr. Sara Niemeier
Dipl.-Ing. Mariana Mohaupt B.Sc.
Johanne Kusch
Antonie Heser B.Sc.
Dr. Gero Röhricht B.Eng.
Fernando Tschentscher-Schacht
Virginia Eigenwillig
Luigi Wähner
Hanna Knappe
Robert Budig-Ullmann
Irmi Täsche B.A.
Gesa Keudel-Bauer
Dipl.-Ing. Salvatore Zänker MBA.
Anto Kostolzin
Carl-Heinz Trapp
Karla Conradi
Dipl.-Ing. Aleksandra Wagner MBA.
Dr. Friedbert Bauer B.Eng.
Prof. Ruth Gehringer
Dipl.-Ing. Kevin Henk B.A.
Yusuf Schacht
Berndt Bähr
Marcel Stumpf
Timm Wende
Heinz-Gerd Söding
Herr Mario Thanel
Dipl.-Ing. Gilbert Plath B.Sc.
Hannes Jäntsch
Catharina Jacob
Domenico Gertz
Madlen Salz
Gülay Weinhold
Susi Grein Groth-Steuer
Univ.Prof. Amalia Köhler
Nathalie Krause
Clemens Barth
Birte Gröttner MBA.
Sigurd Lange-Seifert
Dr. Lidwina Oestrovsky
Albin Fischer B.Eng.
Auguste Pruschke
Margitta Wulf-Nerger
Olaf Hethur
Ole Losekann
Theresa Killer
Ing. Henrike Kramer
Frederik Bohlander
Folkert Reinhardt B.Sc.
Leopold Jungfer
Heinz-Josef Conradi-Klapp
Felizitas Becker-Mosemann
Univ.Prof. Hartwig Holsten B.Sc.
Rosa Kobelt
Prof. Cilli Wulf
Myriam Schäfer-Tschentscher
Ida Hendriks B.A.
Hilda Stey B.Eng.
Univ.Prof. Ricardo Sorgatz B.A.
Willfried Mende
Prof. Ingetraud Seidel B.Sc.
Pawel Peukert-Rörricht
Niklas Schleich
Linus Mans-Röhrdanz
Pavel Jessel
Prof. Ferdinand Gertz B.Sc.
Wladimir Möchlichen MBA.
Serge Grein Groth
Gunar Dobes B.Sc.
Antonios Schönland
Lieschen Röhrdanz
Prof. Gabriella Holt B.Eng.
Augustin Renner
Mara Vollbrecht B.A.
Sandy Römer-Bien
Annemarie Wieloch
Dr. Carsten Steinberg
Herr Alexandre Eimer B.A.
Hellmuth Drubin-Tschentscher
Univ.Prof. Dogan Mielcarek
Ing. Ramazan Kabus B.Eng.
Marion Kuhl
Paolo Hentschel-Zobel
Lara Stroh
Prof. Mohammad Reinhardt
Burghard Hamann-Dippel
Liesbeth Huhn
Marie-Louise Girschner
Hildegard Schlosser-Jacobi Jäckel
Edda Salz
Stephanie Krause
Carla Tintzmann
Kirstin Boucsein B.Eng.
Marie-Theres Trupp
Hasan Klemm
Emine Lübs
Hans-Theo Vogt-Beckmann
Kay-Uwe Bruder MBA.
Ing. Torben Hande MBA.
Lea Heuser
Felizitas Jungfer
Francoise Zänker-Knappe
Karl-Dieter Speer
Dursun Gehringer
Natalia Hauffer
Univ.Prof. Maria-Luise Trüb B.Sc.
Frau Lilli Möchlichen MBA.
Siegrid Segebahn
Alida Tröst
Dipl.-Ing. Bekir Boucsein
Luciano Klotz
Dr. Songül Tlustek MBA.
Dr. Dagmar Hörle B.Sc.
Marianne Heser
Maritta Bien
Mesut Gute
Gunter Beyer
Jonas Hendriks
Adelinde Ackermann-Knappe
Lucia Hermighausen
Emmerich Killer
Giovanna Zobel-Liebelt
Ralf-Peter Ebert
Jennifer Hoffmann
Miodrag Dörr-Austermühle
Univ.Prof. Albertine Köhler MBA.
Univ.Prof. Nadeshda Oestrovsky
Louise Jessel
Reinhart Becker
Marga Scholz
Ludwina Fritsch
Theodoros Grein Groth
Veronique Hartung-Haering
Ekkehart Grein Groth
Friedrich-Karl Eberth
Siegbert Seifert
Margit Müller
Prof. Sepp Blümel
Dr. Frederike Hering B.Eng.
Peer Nohlmans B.Sc.
Winfried Hermann
Herr Rupert Jüttner MBA.
Univ.Prof. Hinrich Eberth
Marietta Heinrich
Giesela Börner B.Eng.
Daniel Stiebitz
Anton Stey
Britt Bolander B.A.
Damian Jopich B.A.
Dr. Leo Schlosser MBA.
Geza Weller
Dr. Trude Girschner
Nadja Häring B.Eng.
Gregor Loos-Gehringer
Elmar Förster
Dr. Sedat Schäfer
Dipl.-Ing. Kevin Stadelmann
Urs Bähr
Hendrik Gehringer
Celal Pohl
Fredo Paffrath-Kohl
Ella Keudel
Univ.Prof. Hugo Martin
Nils Hermighausen
Gerda Kitzmann
Frau Therese Henk B.A.
Vadim Rose-Wulf
Gaby Noack
Dogan Häring MBA.
Gerta Stey-Klemm
Herr Wieslaw Trupp
Herr Hans Peter Jacob
Ivonne Hahn
Heide Schottin
Univ.Prof. Margareta Naser
Matteo Krein-Müller
Prof. Edgar Roht
Timm Schleich
Prof. Emine Beer
Hatice Jessel
Univ.Prof. Giovanna Bachmann B.Eng.
Ioannis Junck
Ralf-Dieter Sauer-Hermighausen
Hildegunde Staude
Univ.Prof. Natalie Flantz
Arndt Weinhold MBA.
Stavros Hentschel B.Eng.
Dipl.-Ing. Emanuel Nette
Juliane Mentzel-Ziegert
Giuseppe Preiß
Danuta Kreusel
Petar Hamann
Sibille Liebelt
Frau Anka Hering
Pasquale Karge
Kathrin Beckmann-Heinz
Juergen Bähr
Wilma Pärtzelt-Huhn
Pius Röhrdanz
Ing. Meinhard Schweitzer
Karsten Wohlgemut
Janine Hendriks B.A.
Natalja Löchel-Beckmann
Yvette Schinke
Univ.Prof. Blanka Linke B.Eng.
Inge Dehmel
Britta Nerger B.Eng.
Univ.Prof. Gretchen Sontag B.A.
Prof. Ada Wähner
Prof. Magda Textor
Hans-Eberhard Blümel
Sonia Säuberlich-Langern
Dittmar Graf
Konstantinos Lindner
Mohammed Ritter
Maike Bolnbach
Hermann Josef Schmiedecke
Dana Köster
Romy Zahn-Bien
Christoph Löchel B.Sc.
Tamara Nette-Ladeck
Juliana Weinhage
Univ.Prof. Ilka Jäntsch B.A.
Krystyna Holsten B.A.
Roswita Hofmann MBA.
Meike Berger
Aysel Bruder MBA.
Prof. Antonia Mielcarek B.Eng.
Helfried Seifert-Schönland
Marina Wilmsen
Prof. Ursula Niemeier B.Eng.
Paulo Trommler
Brian Hölzenbecher
Univ.Prof. Nadeschda Staude
Sandy Zimmer
Betti Zirme B.A.
Dagmar Franke-Schleich
Valeria Conradi
Gisela Hornich-Metz
Jonas Beyer
Hildegunde Dörr
Frau Zdenka Zimmer
Stephanie Dörr-Bärer
Frederik Beyer
Angelo Schmidtke
Gertraude Ruppersberger
Aloys Barkholz
Univ.Prof. Agathe Steinberg MBA.
Prof. Vadim Rogner
Dipl.-Ing. Anneliese Kühnert
Knut Jacob
Clarissa Adler
Prof. Susanne Heidrich B.Eng.
Dipl.-Ing. Sandro Bärer B.A.
Herr Recep Junk B.A.
Benjamin Lübs
Hedda Haase
Dr. Marija Stiebitz
Ing. Mahmoud Becker
Jurij Eimer
Cläre Bruder-Hentschel
Julia Heinrich
Hans Josef Lachmann
Friedrich-Karl Zorbach
Pius Gierschner-Weitzel
Stefani Caspar
Kaspar Trub
Univ.Prof. Nadja Jacob B.Eng.
Saban Eimer
Hartwig Keudel B.Eng.
Gottlob Römer
Ignaz Beer-Eckbauer
