Student
Marit Thanel B.Sc.
Corinne Koch II
Danny auch Schlauchin
Woldemar Heydrich B.Eng.
Georg Misicher
Klaus Dieter Stoll-Wilms
Hans-Theo Vogt-Beckmann
Erik Wirth B.Eng.
Univ.Prof. Filiz Rudolph MBA.
Gilbert Bolnbach
Selma Fritsch B.Eng.
Xenia Margraf
Anatol Gude MBA.
Adelinde Gutknecht-Beier
Ing. Ayse Mangold MBA.
Anto Kobelt-Kobelt
Daria Stiffel
Univ.Prof. Sonja Hande MBA.
Diether Vogt B.A.
Guenther Schmidt
Adolfine Fischer
Raisa Stey-Sauer
Tilo Hande
Mato Patberg-Heintze
Eugen Schottin
Dr. Leonhard Otto
Krzysztof Kruschwitz
Emine Lübs
Domenico Kade B.A.
Artur Budig
Oscar Fritsch
Till Bolander
Univ.Prof. Matthäus Gude
Dieter Trupp
Otmar Gierschner
Univ.Prof. Henryk Kostolzin
Dr. Gundula Putz
Jörn Barth-Möchlichen
Eberhard Dobes
Marlene Drubin
Volkmar Hentschel
Kathi Etzler
Lissi Rust-Metz
Prof. Sylvio Gumprich
Sonja Barkholz
Marie Sorgatz MBA.
Dipl.-Ing. Sibylle Kensy
Resi Ullmann
Ing. Hulda Schaaf
Hans-Jürgen Klemm
Bodo Martin
Irma Atzler-Herrmann
Roman Hauffer
Thoralf Geisel
Ing. Isolde Rosenow
Guido Junck
Frau Edda Hornig B.Eng.
Ing. Hüseyin Gutknecht B.Sc.
Sergei Ritter
Elfi Herrmann MBA.
Ivan Plath
Theodor Bolnbach-Kroker
Univ.Prof. Fedor Eimer
Linus Lübs
Nikolas Hethur MBA.
Cindy Meyer
Dajana Gehringer
Hatice Killer-Löwer
Raymund Thanel
Ljiljana Ruppert
Magret Mans
Paul-Gerhard Jungfer B.Eng.
George Käster-Eberth
Lars Walter
Simone Harloff B.Eng.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Dr. Helge Täsche MBA.
Cathleen Gude
Dr. Lilly Conradi B.Sc.
Gertrude Lehmann-Kostolzin
Florian Wulff
Hasso Renner
Maximilian Heß
Dr. Edith Ring B.Sc.
Prof. Hans-Peter Noack B.A.
Ulla Süßebier
Sieglinde Stahr
Carina Bruder
Artur Berger
Univ.Prof. Ignatz Baum
Wilma Paffrath
Heiderose Lange-Schüler
Vadim Rose-Wulf
Dorina Weinhold
Aleksander Scheuermann
Baldur Käster B.A.
Frau Reinhilde Wirth MBA.
Agathe Gertz-Butte
Andre Metz B.A.
Mona Wiek B.Eng.
Florence Davids
Jozef Kostolzin
Thorsten Gude
Herwig Jäntsch B.Sc.
Helga Gerlach-Seifert
Ditmar Bien
Theo Döring
Calogero Hoffmann B.Eng.
Wera Klemt
Prof. Tobias Börner
Frau Clarissa Rosenow B.A.
Burckhard Caspar
Urban Peukert
Saban Eimer
Anatolij Junk
Darius Gieß
Rose-Marie Jäkel
Belinda Huhn
Dipl.-Ing. Alan Schacht B.Eng.
Konstantinos Seifert
Mehmet Löwer-Trupp
Priska Rädel
Frau Magarete Mans B.Sc.
Bozena Carsten B.Sc.
Sebastian Aumann
Emin van der Dussen
Univ.Prof. Cynthia Löwer
Ines Anders
Miroslawa Jessel B.Sc.
Dr. Elena Kade B.Sc.
Stefanie Dippel
Frau Suse Zorbach
Othmar Täsche-Loos
Arno Mude
Jörn Hörle B.Sc.
Carsten Hartmann
Dr. Gabriel Freudenberger MBA.
Igor Zobel B.A.
Annelie Metz
Kristin Bohlander B.Eng.
Dr. Harald Ritter
Dr. Hans-Detlef Lindau B.Eng.
Faruk Hoffmann
Dipl.-Ing. Christel Beer B.Eng.
Alina Schmiedecke
Berend Gertz B.Eng.
Teresa Jessel
Klaas Vogt
Catrin Hamann
Tino Metz
Hans-J. Atzler
Univ.Prof. Heidrun Hiller
Leonore Jäkel
Roswita Henck
Fatih Zirme
Hildegunde Wende-Spieß
Dr. Annelene Hamann
Berthold Rudolph
Karl-Dieter Süßebier
Herrmann Holt-Lindner
Veronika Gröttner
Meike Berger
Gotthilf Gehringer B.A.
Annegrete Pohl-Sölzer
Gudrun Reichmann MBA.
Dipl.-Ing. Stefano Wernecke B.A.
Ole Schmidtke
Univ.Prof. Baptist Mende MBA.
Hans-Gerd Holt
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Herr Urban Christoph
Univ.Prof. Marleen Kabus
Kornelia Kade
Frau Beatrix Bonbach B.A.
Mariusz Adler
Ernestine Trommler
Dipl.-Ing. Jan-Peter Mende MBA.
Univ.Prof. Franz-Josef Holt
Dipl.-Ing. Theobald Knappe B.Eng.
Annie Gnatz B.A.
Stavros Schinke
Janos Winkler B.A.
Stephanie Kranz B.A.
Anatolij Peukert
Jens-Uwe Geisler
Wolf-Dieter Eigenwillig
Eberhardt Warmer
Erkan Kuhl-Oestrovsky
Maurizio Hermann
Celal Scheel B.A.
Emilia Scheel
Carola Kusch
Rosalinde Trupp
Dr. Franco Wilms
Regine Häring
Herr Louis Hövel
Roswita Gumprich-Butte
Marliese Roht
Anatol Adler
Artur Schaaf
Ivanka Gierschner-Pergande
Ing. Wiltrud Sauer B.Sc.
Jana Wulf MBA.
Edith Hettner
Fabienne Dobes-Heuser
Jonas Adler
Ing. Brunhilde Albers
Stephanie Weller
Dipl.-Ing. Mahmoud Mühle B.Eng.
Grit Karz
Ilhan Hoffmann-Karz
Reinhold Hellwig-Mülichen
Adelheid Schinke
Carola Köhler MBA.
Erika Pruschke
Ignatz Wähner-Hänel
Sonja Löchel
Freia Lübs
Carmine Schacht
Kuno Kreusel
Janko Neureuther
Dipl.-Ing. Josip Mies
Ercan Oestrovsky B.Eng.
Siegbert Conradi
Ilja Hartung
Univ.Prof. Traudel Wernecke B.A.
Damian Bauer
Herr Thorben Jacob
Desiree Ruppert
Yasmin Wiek
Claire Rogner-Scheel
Sylvie Neuschäfer
Univ.Prof. Walter Barkholz
Ludmila Stadelmann
Ing. Hanns Haase B.Eng.
Deborah Becker
Lidia Franke
Dr. Katalin Knappe B.Eng.
Paulina Oderwald
Adriane Heinz-Metz
Heinz-Otto Hermighausen
Gottlieb Kade
Ing. Aziz Hein
Annie Langern
Dr. Margita Stiebitz
Antonios Schönland
Zita Winkler
Imre Sauer
Kemal Butte-Tintzmann
George Weimer
Gaetano Fröhlich
Meike Trupp
Elena Gotthard
Juliana Weinhage
Caroline Harloff
Drago Täsche
Elli Meister
Prof. Jan-Peter Schmidt
Giesela Wagner
Univ.Prof. Greta Trapp
Franjo Löffler B.Eng.
Darius Trupp
Heinz Dieter Barkholz
Daniele Pieper-Käster
Prof. Marika Junken B.Eng.
Xenia Christoph
Adem Schleich
Oliver Biggen
Prof. Wolfram Binner B.Eng.
Ing. Ahmet Häring
Baptist Vogt
Nancy Eckbauer
Hugo Junken
Herr Dursun Hentschel B.Eng.
Aleksandra Benthin
Ing. Nicolai Textor B.A.
Katerina Bolzmann B.Eng.
Annelore Riehl
Karl-Otto Winkler B.Eng.
Janina Seifert
Nikolai Haase B.Sc.
Herr Günther Krein MBA.
Egbert Gertz
Erhard Reinhardt
Wilfriede Ziegert
Matteo Beyer B.A.
Luigi Hartung
Dipl.-Ing. Till Schenk
Univ.Prof. Hans-Peter Schmidt MBA.
Ing. Muharrem Paffrath B.Sc.
Ellinor Kraus
Dipl.-Ing. Wanda Dussen van
Herr Tomislav Ladeck
Jennifer Trapp
Mareen Mans
Frau Emma Kaul B.Eng.
Waldemar Hendriks
Felicitas Biggen
Prof. Mathias Kambs
Iris Mans
Mariana Jüttner
Univ.Prof. Birger Weihmann MBA.
Olga Krein
Dietlind Anders B.A.
Ing. Wencke Speer
Gabriele Stahr
Stjepan Langern
Uschi Trüb
Sylvana Hornich MBA.
Undine Dehmel
Diedrich Scheel-Hübel
Frau Änne Gunpf B.Sc.
Hilma Berger
Milos Biggen
Calogero Seip
Franz Josef Flantz
Prof. Attila Werner B.A.
Ria Walter
Dajana Meyer
Elena Wilmsen
Oxana Linke B.Eng.
Mariele Peukert
Eugenia Sorgatz
Hülya Scheibe
Hilmar Ziegert
Cengiz Dehmel
Jörgen Lorch
Prof. Niko Atzler B.Sc.
Torben Schweitzer
Hans-Hermann Hande
Jonathan Schottin-Naser
Helmuth Wagner
Carina Hövel
Karlfried Ruppersberger
Dipl.-Ing. Enver Drubin
Ing. Wolf-Rüdiger Herrmann B.Sc.
Prof. Erwin Albers B.Sc.
Willfried Kostolzin
Katerina Barkholz
Rosi Spieß
Heinz Krebs B.Eng.
Joseph Gorlitz-Bloch
Gisela Weinhold B.Sc.
Toni Schottin B.A.
Frau Herlinde Segebahn
Herr Andy Förster B.A.
Halina Segebahn
Damian Dörr
Tomasz Preiß
Hanns Zänker B.A.
Klaus Lorch-Graf
Willy Hornig
Frau Monique Löchel
Bozena Schuchhardt
Czeslaw Jacob B.Eng.
Ing. Gundolf Steinberg B.Sc.
Leonardo Birnbaum
Britta Nerger B.Eng.
Walter Schleich-Segebahn
Friedrich-Wilhelm Stahr-Henck
Ing. Leo Schulz
Hans Georg Niemeier
Tabea Schomber
Felicia Hamann
Univ.Prof. Romuald Hermighausen
Rüdiger Bien-Hübel
Gerd Wiek MBA.
Chantal Kade
Edward Hering MBA.
Rosa Christoph-Sontag
Frau Katarina Lindner
Franz-Josef Schmidtke
Fritz Schenk B.A.
Ing. Melanie Hamann
Jurij Zimmer
Dipl.-Ing. Burckhard Jäntsch
Univ.Prof. Heinrich Reinhardt MBA.
Franz-Xaver Carsten
Ing. Gabriella Bähr
Traudel Wilmsen B.A.
Ing. Knud Vogt
Ing. Swen Sorgatz B.Eng.
Reinhart Jopich
Frau Patricia Gorlitz B.A.
Josefa Junk
Riza Römer
Theodoros Grein Groth
Jorge Killer
Alina Hoffmann
Nicolai Gutknecht
Prof. Fredy Hahn
Antonino Rogge-Meyer
Anna Lübs
Ernst Koch II-Graf
Zofia Gutknecht
Ekkehart Grein Groth
Franziska Wernecke
Flora Gotthard
Univ.Prof. Claudio Schmiedt
Frau Ingelore Gertz
Linus Schuchhardt
Uschi Keudel
Birgid Drewes-Seifert
Alexandros Ernst
Amalie Gotthard
Ing. Silja Heser
Wiltrud Dietz
Anna-Lena Sontag-Köhler
Emmi Adolph
Hans Kohl MBA.
Karla Gunpf
Mohamed Schottin
Ing. Aldo Pechel B.Eng.
Gertraude Salz-Gnatz
Univ.Prof. Nermin Rosemann B.Sc.
Hermann Josef Börner
Maurizio Hartmann
Dipl.-Ing. Virginia Käster
Joana Preiß
Tilman Hövel
Friedhilde Dobes
Hans-Jochen Gorlitz B.Sc.
Arnulf Kusch
Dipl.-Ing. Baldur Oderwald B.Sc.
Heidrun Lindner-Bolnbach
Klaus-Michael Fiebig
Damian auch Schlauchin B.Eng.
Bernd Blümel
Gert Fischer
Kuno Mälzer B.Eng.
Gerwin Schuster
Dominic auch Schlauchin
Marek Mitschke B.Sc.
Prof. Wolfgang Mohaupt
Univ.Prof. Margrit Davids B.Eng.
Robert Herrmann
Marco Schinke B.Eng.
Mariusz Baum
Nikolas Siering
Vitus Schmidt
Minna Wernecke-Gumprich
Änne Ring MBA.
Marleen Langern-Oderwald
Brian Blümel B.Eng.
Abram Vogt MBA.
Adalbert Boucsein
Univ.Prof. Mira Heser B.Sc.
Hans-Martin Drewes
Marlen Jacobi Jäckel B.Eng.
Dr. Guntram Kusch
Reni Römer
Gretchen Eimer-Wilmsen
Catrin Bachmann
Attila Werner
Herr Recep Junk B.A.
Prof. Theodoros Paffrath B.A.
Univ.Prof. Willfried Werner B.Sc.
Hellmuth Drubin-Tschentscher
Dipl.-Ing. Waltraut Kallert
Max Fiebig
Danilo Hande MBA.
Inga Wieloch
Enver Conradi-Hecker
Lambert Misicher-Dörschner
Dipl.-Ing. Peer Kuhl
Johanna Fischer
Gotthard Löwer
Till Tlustek
Dipl.-Ing. Ladislaus Weinhold
Gina Pieper
Willfried Werner
Mahmut Rose B.A.
Joachim Steuer
Hans-Eberhard Lübs
Ing. Celal Textor
Prof. Martin Ullmann
Maurizio Eckbauer
Romuald Hartmann
Ekaterina Wieloch
Univ.Prof. Canan Zorbach B.Sc.
Heinz-Günter Mülichen
Adrian Killer
Pasquale Karge
Justus Schüler MBA.
Steven Käster B.Sc.
Harm Sontag-Wilms
Univ.Prof. Giovanna Bachmann B.Eng.
Patricia Trubin
Karl Heinz Kruschwitz-Reising
Guido Pieper
Julia Mosemann
Dipl.-Ing. Ryszard Buchholz
Univ.Prof. Christa-Maria Lehmann B.A.
Reimer Scheel B.Eng.
Miroslav Paffrath
Heinz-Günter Schuster
Henny Eberhardt
Klaus-D. Zirme-Bachmann
Herr Sigismund Gieß MBA.
Prof. Guenther Margraf B.Eng.
Gerta Kallert-auch Schlauchin
Heide-Marie Adler B.Eng.
Massimo Ernst
Johann Oestrovsky
Jerzy Mende-Wagenknecht
Nina Putz-Ritter
Susan Riehl B.Sc.
Ottfried Scheibe-Sauer
Gesine Graf
Anka Förster
Diedrich Jäntsch B.A.
Karl-Friedrich Nerger
Niko Butte-Rosenow
Horst-Peter Löchel
Klaus-D. Dippel MBA.
Univ.Prof. Tina Rose
Wulf Caspar
Antonietta Barth
Franz-Peter Preiß B.A.
Matthias Hendriks-Koch
Trudi Keudel B.A.
Jenny Scholtz
Paola Kroker-Klotz
Ing. Giuseppe van der Dussen B.A.
Violetta Beyer
David Losekann
Irmi Zobel
Ing. Heide Winkler
Ing. Anneliese Döring
Robert Etzold
Dipl.-Ing. Henrike Hörle B.A.
Ing. Peter Trubin B.Sc.
Dipl.-Ing. Patric Fröhlich
Maurice Hübel
Dorothee Blümel
Inka Hornig B.A.
Hans-Hinrich Bohlander
Mercedes Christoph
Sarina Dörr
Benita Schleich
Kreszentia Jockel
Prof. Conny Klingelhöfer B.Eng.
Suse Hornich
Orhan Dörr-Salz
Melita Hein
Undine Eimer
Benjamin Lübs
Cemal Klingelhöfer-Otto
Liane Reuter
Raissa Mitschke MBA.
Univ.Prof. Isabel Ladeck
Gretel Stroh
Dina Hartung
Erdal Meyer B.A.
Ralph Jacobi Jäckel
Helma Hänel B.A.
Dierk Buchholz MBA.
Gottfried Hettner-Reising
Univ.Prof. Markus Finke B.Sc.
Anna-Lena Bloch
Hedda Haase
Dipl.-Ing. Ingolf Krein
Rosa Gnatz
Prof. Heinz-Willi Hertrampf
Susann Henk
Ing. Maren Schenk
Frau Antonina Kitzmann
Hans-Willi Baum-Staude
Ilias Weiß MBA.
Dr. Lilija Butte B.A.
Notburga Pechel B.Eng.
Geraldine Eckbauer
Elvira Gute-Käster
Lisbeth Mielcarek
Walfried Siering
Jan-Peter Grein Groth
Siegrid Segebahn
Philomena Bloch
Kathi Christoph
Univ.Prof. Alois Jähn B.Eng.
Ing. Rosalinde Rogner MBA.
Univ.Prof. Nikolaus Sölzer B.A.
Ferenc Bolzmann-Girschner
Aziz Anders
Helen Hein B.A.
Anne-Katrin Lorch
Jolanda Rose
Friedericke Käster B.A.
Univ.Prof. Norbert Röhrdanz B.Sc.
Catharina auch Schlauchin
Burkhard Fröhlich-Dussen van
Anica Ortmann B.A.
Karl-Wilhelm Meyer
Mirella Löchel
Univ.Prof. Ingelore Schulz MBA.
Tanja Henk
Prof. Folker Budig
Dr. Otto Schmidtke MBA.
Lutz Wagenknecht-Gotthard
Prof. Tadeusz Mosemann B.Sc.
Univ.Prof. Horst Scholtz
Frau Elsa Mälzer
Gertrude Gumprich
Frau Nuray Mangold MBA.
Ing. Gottfried Hoffmann
Bernhardine Pechel
Johan Buchholz
Laurenz Ritter
Eugenie Pieper
Ingried Ullmann
Dipl.-Ing. Kevin Stadelmann
Heinz-Willi Geisel
Univ.Prof. Resi Kobelt
Herr Gisbert Langern
Saban Hendriks
Dolores Conradi
Dr. Alena Hövel
Janos Kobelt-Henck
Winfried Hermann
Edmund Scholtz B.Sc.
Prof. Sergei Heser
Frau Annette Fiebig B.Eng.
Nathalie Langern
Lilly Seifert
Adelgunde Wagenknecht
Karl-Georg Sontag B.Sc.
Matteo Krein-Müller
Valentin Gute
Ralf-Dieter Kroker
Serge Trubin
Eberhard Rust B.A.
Ehrhard Pruschke
Bayram Gertz-Hendriks
Nadja Geisler
Sevim Junitz
Dr. Daniel Trommler
Kornelia Dörr
Frithjof van der Dussen
Frau Aleksandra Dobes B.A.
Herr Claus Killer
Regine Sorgatz
Karl-Otto Putz
Hardy Wende B.Sc.
Heinz-Joachim Trüb B.Sc.
Dr. Marija Stiebitz
Elzbieta Beier
Steven Eimer
Leopoldine Butte
Dr. Wencke Junken B.Eng.
Elizabeth Vollbrecht
Yusuf Schacht
Nadin Radisch
Friedbert Sorgatz
Dagobert Bohnbach
Mijo Karge-Löchel
Nikolaos Dehmel B.A.
Marko Kensy-Atzler
Univ.Prof. Ioannis Lübs B.Eng.
Irmgard Weinhage-Wieloch
Frau Myriam Walter B.Sc.
Dr. Achim Barth
Ivana Wilmsen-Gumprich
Viola Ackermann
Dipl.-Ing. Ante Rust
Massimo Hecker
Ivana Nerger
Patric Heinrich
Rahel Dörschner
Gerald Albers-Jähn
Sibilla Mitschke-Losekann
Christina Geisel-Hesse
Evangelia Harloff B.A.
Arnulf Ullmann
Nadin Hertrampf-Killer
Alicia Ring
Alban Dippel
Klaus-D. Sölzer
Gisa Gerlach
Dipl.-Ing. Petar Lübs
Gislinde Wagenknecht
Ing. Adalbert Heser
Liane Hermann MBA.
Telse Rudolph
Hanna Jäntsch MBA.
Sami Mans-Ullrich
Dr. Kai-Uwe Schulz B.A.
Rosmarie Ullmann
Dr. Hedda Radisch
Engelbert Sauer MBA.
Herr Frank-Peter Jopich
Ingrid Rudolph
Slobodan Seip
Felix Müller
Dipl.-Ing. Bernward Putz B.Eng.
Hans Jürgen Winkler
Rocco Rosemann B.A.
Annaliese Klingelhöfer
Janus Weitzel-Koch
Dr. Francisco Hänel
Lothar Birnbaum
Alicia Kroker
Carmen Textor-Krebs
Sofia Mielcarek B.A.
Bertha Barkholz
Chantal Kramer
Fatih Ladeck-Weihmann
Ehrentraud Meyer MBA.
Univ.Prof. Kirstin Killer B.Eng.
Prof. Swen Benthin MBA.
Carl-Heinz Trapp
Ing. Svenja Aumann
Irmtraut Wende
Margarete Mohaupt B.Sc.
Gülten Henschel
Radmila Schomber B.Eng.
Dipl.-Ing. Franz Reising
Hans-Willi Kruschwitz B.Sc.
Mike Matthäi
Miriam Juncken
Nikolaj Scholz
Danny Gumprich
Magret Bähr
Oxana Stumpf
Marlen Weihmann-Trub
Gloria Lachmann MBA.
Prof. Lene Oestrovsky B.Sc.
Emmerich Wilmsen
Frau Stefani Hendriks B.A.
Evangelia Röhricht
Dr. Sara Niemeier
Kristin Kabus
Janusz Eberhardt MBA.
Timm Schönland
Ehrhard Klotz
Hanspeter Stiffel
Wulf Eberhardt
Herr Hans Peter Jacob
Carla Hecker
Constanze Fechner-Dörr
Mariola Heinrich
Ignaz Schottin
Univ.Prof. Marjan Graf B.Sc.
Univ.Prof. Ivonne Haase B.Sc.
Paula Stroh
Dipl.-Ing. Nuray Mude B.Sc.
Irmela Höfig B.Sc.
Dipl.-Ing. Hülya Nerger
Hans-Bernd Trubin-Klemt
Miodrag Dörr-Austermühle
Inken Hellwig-Hermann
Ilija Höfig
Insa Bloch B.A.
Katharine Renner
Uta Karz
Olga Stahr
Prof. Tina Nohlmans MBA.
Ingried Stiffel B.A.
Adelinde Ackermann-Knappe
Veli Rädel
Saskia Kallert
Frau Inken Zimmer B.Eng.
Ruth Barkholz-Koch II
Prof. Vadim Stroh
Marleen Heser
Prof. Meral Jüttner MBA.
Prof. Magdalena Bohlander B.Sc.
Ute Möchlichen
Nada Hänel
Irmtraut Süßebier
Marie-Luise Zorbach MBA.
Kristin Niemeier
Gordana Bolnbach
Madlen Trupp B.Eng.
Olav Margraf
Dan Scheuermann
Dr. Lea Kraushaar B.Eng.
Univ.Prof. Jens Weinhage
Valerie Kallert B.A.
Francoise Vollbrecht B.Sc.
Mariechen Scholl
Fedor Roskoth B.A.
Prof. Felicitas Dörschner
Ing. Galina Hahn
Ludmila Löffler
Ansgar Seidel
Ben Ullmann MBA.
Simon Mude
Andrei Bolander-Jäkel
Tino Wagenknecht B.Eng.
Dr. Wanda Dippel
Emilia Wagenknecht-Riehl
Univ.Prof. Meta Rädel
Elise Ackermann
Herr Götz Süßebier
Miroslawa Jäkel-Bohnbach
Ingelore Heinz
Yusuf Nette B.Sc.
Eckard Textor
Mariana Steckel
Edit Rädel
Notburga Huhn
Hans-Gerd Preiß
Vlado Hübel B.Eng.
Ing. Christina Beckmann B.Eng.
Dr. Wolf-Rüdiger Trüb
Janko Rose
Dierk Gunpf B.A.
Margot Sontag MBA.
Gilda Faust
Prof. Ildiko Adler MBA.
Ing. Sebastian Killer B.A.
Regina Becker
Hans-Joachim Pohl
Emanuel Kitzmann
Freia Hamann-Eckbauer
Chantal Fröhlich
Ing. Sibel Mies
Gunhild Zimmer
René Hölzenbecher-Berger
Univ.Prof. Margareta Naser
Michaela Döhn
Frau Evamaria Geißler
Dr. Erdogan Fröhlich
Frau Juliane Schulz B.Sc.
Dr. Miguel Jungfer
Elma Junken
Sigurd Holsten B.Sc.
Maik Schottin
Ing. Imke Eigenwillig B.A.
Madlen Salz
Magnus Heidrich
Kreszentia Bohlander
Wojciech Girschner B.A.
Dorle Rädel
Guiseppe Bien
Christoph Löchel B.Sc.
Klaus-D. Segebahn
Ing. Thomas Drewes B.A.
Julia Pärtzelt
Sylvester Hamann
Uta Kade
Herr Tony Lindner
Vinzenz Bruder
Hildburg Tlustek
Cetin Schwital
Ing. Alexandros Vogt MBA.
Kay-Uwe Dippel
Urs Ebert
Birthe Trommler
Dr. Klothilde Lachmann B.A.
Milos Kuhl B.Sc.
Nurettin Mans-Klemt
Kata Atzler
Herr Wolfhard Hövel
Dipl.-Ing. Hanns Nette
Dipl.-Ing. Gabriel Roskoth
Gundula Otto-Kuhl
Stefanie Hertrampf MBA.
Marianna Geisler
Burkhard Holt-Schleich
Mareike Reichmann
Sevim Vollbrecht B.A.
Edith Kostolzin
Ibrahim Lehmann B.Eng.
Marko Renner
Herr Bastian Hübel B.A.
Helge Ladeck MBA.
Prof. Maria-Theresia Schaaf B.A.
Dietlinde Käster
Marek Ackermann
Filippo Hermann
Ilonka Kohl
Cora Scholtz
Enver Börner MBA.
Birgit Pergande
Aldo Förster
Herr Jost Ruppersberger B.A.
Valentin Rädel
Annemarie Seidel
Romy Etzold
Zita Wieloch-Scholtz
Zdenka Weiß
Balthasar Holsten
Lilly Naser
Herr Konstantin Neureuther B.A.
Dipl.-Ing. Helma Heuser B.Sc.
Cetin Heidrich
Ing. Canan Gutknecht B.A.
Dr. Anny Kallert
Robin Flantz
Rahel Heidrich-Jüttner
Ludwina Hölzenbecher
Ing. Dorothee Harloff B.Sc.
Uli Stolze MBA.
Abdul Klapp-Hethur
Frau Patricia Schmiedecke B.Eng.
Bernd-Dieter Kostolzin B.A.
Pirmin Reising
Univ.Prof. Resi Knappe
Prof. Linda Beier
Lutz Mies-Hesse
Herr Gustav Noack
Linus Mans-Röhrdanz
Univ.Prof. Philip Kranz B.Sc.
Zoltan Wilms
Gerolf Radisch
Tabea Kaul
Jacqueline Hofmann
Clara Mans
Wencke Salz
Editha Jacob
Alf Jacobi Jäckel-Fritsch
Erdal Tintzmann
Dr. Meinhard Hiller
Jonathan Gertz-Hertrampf
Stanislaw Misicher
Leopold Weller-Zobel
Ewa Bolnbach-Textor
Viviane Girschner
