Student
Milos Trüb
Enno Jockel MBA.
Hans-Willi Kruschwitz B.Sc.
Ilhan Hoffmann-Karz
Frau Ina Schwital B.Sc.
Reimer Hethur-Gutknecht
Ing. Willfried Kostolzin
Agatha Sager-Geisler
Gernot Dörr
Ing. Janin Winkler MBA.
Fanny Bolnbach B.Sc.
Veronique Eimer
Prof. Pedro Schmidt B.Eng.
Ing. Brunhilde Albers
Univ.Prof. Friedl Peukert B.Eng.
Univ.Prof. Annegrete Henck B.A.
Jens-Uwe Schlosser
Valerij Barth
Deborah Scholtz B.A.
Herr Gustav Noack
Jochem Röhrdanz
Eleni Franke
Hans-Bernd Knappe-Gröttner
Chantal Fröhlich
Dagobert Bohnbach
Philipp Ernst
Univ.Prof. Pauline Klemt
Adriane Stroh
Frau Ina Dietz MBA.
Herr Siegmar Geisler
Prof. Gülay Birnbaum
Heinz-Walter Roskoth-Hertrampf
Dipl.-Ing. Waltraut Kallert
Simon Meyer
Hans-Jürgen Barth
Elvira Gute-Käster
Klemens Winkler
Ingetraud Freudenberger
Carina Killer
Marie-Luise Rogner
Stavros Meyer
Brunhild Müller
Dipl.-Ing. Miguel Bärer
Fadime Heidrich B.A.
Hans-Gerd Preiß
Tülay Henschel
Karl-Wilhelm Anders-Gude
Prof. Ingmar Bonbach
Herr Ilhan Tröst B.A.
Marianne Heser
Reimar Jacob-Loos
Arnim Bärer
Anette Bien
Nurettin Bärer B.Eng.
Babett Pruschke-Schäfer
Reimund Bohlander
Dr. Edit Scheibe B.A.
Augusta Flantz
Prof. Ullrich Rosenow B.A.
Univ.Prof. Maxim Matthäi
Elke Huhn
Ella Briemer-Siering
Antoinette Schottin
Birger Klapp
Wladimir Rogge
Manja Stadelmann
Edmund Junck
Karl-Hans Schuchhardt-Mohaupt
Romy Zahn-Bien
Benita Geißler
Henni Mälzer-Tlustek
Bettina Schlosser
Isabell Buchholz
Jörgen Lorch
Ing. Abraham Thanel B.Eng.
Rainer Hänel
Heinz-Georg Rosemann-Bohnbach
Georg Misicher
Jost Gröttner-Mülichen
Dr. Evangelia Killer B.Sc.
Guenther Schmidt
Steffen Cichorius B.Eng.
Ann-Kathrin Davids
Liliane Steuer
Gebhard Eberth B.Eng.
Heinz-Günter Mülichen
Ayse Scheuermann-Sölzer
Michaele Klotz B.Eng.
Viviane Kensy
Hanna Jäntsch MBA.
Dipl.-Ing. Astrid Kade
Myriam Hänel
Virginia Gorlitz
Gotthard Schuster
Ing. Chantal Schleich B.Eng.
Alla Weihmann
Nuray Aumann
Anto Tröst-Schäfer
Anastasios Karge
Polina Hettner
Zofia Roht
Hans-Herbert Harloff
Ron Sorgatz-Eimer
Damaris Eigenwillig
Ing. Georg Lübs
Karsten Wohlgemut
Dipl.-Ing. Marek Jockel
Nevenka Fritsch
Emine Lübs
Marco Stey
Friedl Briemer-Austermühle
Roberto Ritter-Fritsch
Dragica Kreusel
Ing. Annekatrin Heß
Thomas Hänel
Annekatrin Trupp
Edeltrud Margraf
Stavros Hövel B.Eng.
Ansgar Tlustek MBA.
Anja Wagner-Hermann
Ing. Rotraud Schmidt
Karsten Kraushaar B.A.
Jens Trub
Marianne Ziegert-Werner
Rosa Hübel
Jaqueline Weitzel-Pölitz
Emilia Scheel
Sylke Binner B.A.
Sieghard Stoll-Harloff
Sibilla Mitschke-Losekann
Dr. Krista Wirth
Fernando Gieß
Dipl.-Ing. Tamara Seifert B.A.
Jana Wulf MBA.
Joseph Reuter
Slawomir Bohnbach
Henri Finke-Lehmann
Heiner Ruppersberger-Hentschel
Alida Ehlert
Vitali Walter-Krein
Dipl.-Ing. Geert Holsten B.Sc.
Damaris Bien
Lucie Trüb-Schmiedt
Valerie Kallert B.A.
Dipl.-Ing. Korinna Pärtzelt
Isa Tlustek
Frau Inken Zimmer B.Eng.
Mechtild Niemeier
Swetlana Jessel
Dipl.-Ing. Alexandros Weinhold
Dogan Sauer
Anne-Rose Klemm
Prof. Grete Müller
Brita Schwital
Jörg-Peter Christoph
Zeynep Lehmann
Frau Cynthia Bähr B.Sc.
Gino Häring
Leopold Weller-Zobel
Gernot Hornich B.A.
Univ.Prof. Simona Holzapfel MBA.
Monique Schleich-Kroker
Prof. Olga Steckel B.A.
Polina Ladeck B.A.
Nadin Schomber
Marie-Louise Girschner
Calogero Wende
Lissi Kohl
Univ.Prof. Alexei Mülichen MBA.
Prof. Alina Barth
Rocco Trub
Univ.Prof. Erna Köhler B.A.
Margareta Dörschner B.Sc.
Andrey Lorch
Irmtraud Freudenberger
Berndt Barkholz
Dipl.-Ing. Lara Tlustek
Jana Drubin-Heß
Yvonne Kroker
Beatrix Rädel MBA.
Dr. Zehra Etzler
Karla Gunpf
Gert Seifert
Hannes Jäntsch
Lea Heuser
Univ.Prof. Petra Scheel
Helga Salz
Orhan Dörr-Salz
Sybilla Striebitz
Marta Roht B.Sc.
Hildburg Tlustek
Hartwig Sorgatz B.Eng.
Prof. Götz Finke
Eugenia Anders B.A.
Ing. Justina Fiebig
Frau Anne-Katrin Rädel
Ernst-August Beyer
Karl-Heinrich Kraus B.A.
Gislinde Müller
Dipl.-Ing. Christel Beer B.Eng.
Andrei Wulff
Heimo Ziegert
Alan Stadelmann-Lindner
Theodor Mangold
Franz-Xaver Scholtz
Hartwig Zirme
Herr Bastian Hübel B.A.
Heidelore Zirme
Ing. Heinz Ehlert
Tomas Tlustek
Walentina Eckbauer
Dipl.-Ing. Jan-Peter Mende MBA.
Kai-Uwe Stiebitz-Hentschel
Francoise Rust
Herr Mahmoud Schleich B.Sc.
Mirja Dehmel B.A.
Jeanette Mälzer
Herr Jonathan Beckmann B.A.
Curt Mühle
Irmela Höfig B.Sc.
Herr Laurenz Häring
Wiltrud Dietz
Meike Berger
Dajana Gehringer
Marc Henck B.Eng.
Mathilde Kreusel
Hartmut Hiller B.A.
Artur Budig
Josefa Lange
Susanna Weitzel
Regine Häring
Ing. Utz Klemt B.A.
Liesel Klapp
Dipl.-Ing. Hanns Nette
Ing. Paolo Meister
Hansjörg Roht
Univ.Prof. Kirstin Killer B.Eng.
Annekatrin Wende
Irmengard Eckbauer
Rainer Conradi
Nermin Jopich
Genoveva Hofmann
Ing. Clemens Wirth
Thorsten Bolzmann-Hesse
Prof. Ralph Patberg
Lisbeth Mielcarek
Adalbert Hande B.Eng.
Pia Fliegner
Kira Eckbauer
Nurettin Börner
Janus Jessel-Hermann
Carl Mühle-Wulf
Inge Kabus
Hermann Josef Schmiedecke
Amanda Weller
André Kraushaar-Henck
Dipl.-Ing. Jaqueline Striebitz
Anatolij Trub
Franka Mitschke B.Sc.
Gisela Girschner
Prof. Robert Heintze
Ehrenfried Seidel MBA.
Almut Trupp
Ahmed Lange MBA.
Guenter Kohl-Nette
Ernst Henschel
Mariusz Baum
Anja Meyer B.A.
Gertrude Gumprich
Ekrem Pruschke-Jäkel
Balthasar Klemm
Selim Pieper
Dr. Jurij Nohlmans B.A.
Dipl.-Ing. Ismet Käster B.Eng.
Stephanie Heintze
Herr Rupert Jüttner MBA.
Roy Schmidt B.Eng.
Xenia Christoph
Czeslaw Jäkel-Röhrdanz
Irmtrud Pohl
Univ.Prof. Othmar Geisel
Dorothea Kroker-Misicher
Claus-Peter Flantz
Dipl.-Ing. Rudi Wiek B.Eng.
Hans-Michael Rudolph
Maurice Pieper-Loos
Ljiljana Rädel
Detlev Heintze
Beate Johann
Peggy Sauer
Ferenc Trüb B.A.
Arne Ziegert B.Sc.
Elfie Jäkel
Ing. Adalbert Heser
Maurice Beckmann
Raymond Römer
Florence Schulz
Mark Schottin B.Eng.
Ernestine Tröst
Katharina Süßebier B.A.
Ing. Imke Eigenwillig B.A.
Frau Danica Davids B.A.
Ivo Börner
Dr. Hans-Herbert Losekann B.A.
Dörte Schlosser
Anatol Gude MBA.
Silva Hiller MBA.
Constance Drubin
Arif Killer
Bertha Ritter-Drubin
Hannelore Haase
Steven Eimer
Robin Flantz
Prof. Juan Hamann
Hanns Stiffel
James Kostolzin-Staude
Katja Heidrich
Frau Magarete Mans B.Sc.
Edit Siering
Theresia Paffrath
Malte Bohlander
Elisabeth Roskoth
Marit Mühle
Alma Flantz MBA.
Alwine Wulf
Univ.Prof. Hans-Peter Schmidt MBA.
Dina Johann
Theo Henschel
Jonathan Schottin-Naser
Univ.Prof. Tina Rose
Univ.Prof. Hedwig Krein
Bertold Stadelmann
Herr Gordon Weihmann B.Eng.
Norman Fechner
Mira Rohleder
Dipl.-Ing. Dursun Köhler
Ing. Frederic Christoph B.Eng.
Fredy Birnbaum-Kensy
Bernt Conradi
Luciano Aumann
Gitta Berger
Kunigunda Fischer
Reza Mielcarek
Zeljko Jessel
Annette Schwital
Irmgard Pieper B.Eng.
Stefanie Dippel
Riza Heydrich
Bernadette Sorgatz
Gertrude Kostolzin MBA.
Tabea Kaul
Nadeshda Hänel-Kaul
Cengiz Dehmel
Steffen Rust B.Eng.
Nermin Kranz-Austermühle
Dr. Leonhard Otto
Nina Wagenknecht
Alida Tröst
Helma Häring
Kirsten Heydrich
Hans-H. Naser
Dipl.-Ing. Gertraut Stolze
Gundolf Schomber-Hellwig
Wulf Steckel-Lachmann
Karl-Heinrich Sölzer
Frau Mia Kaul MBA.
Ralph Stahr
Henri Wirth
Hansjürgen Lindner
Frau Constanze Heidrich B.Sc.
Ing. Horst-Dieter Seip
Alice Nette
Univ.Prof. Clara Heidrich B.Sc.
Prof. Alexei Krebs
Herr Andrej Rose
Andree Wilmsen B.Eng.
Marcella Holzapfel
Karl-Georg Römer B.A.
Univ.Prof. Rafael Pruschke B.A.
Maja Jungfer
Dr. Heiderose Kallert B.Eng.
Frau Francesca Blümel
Udo Grein Groth
Cosima Johann
Ilja Preiß
Denny Salz
Luciano Biggen
Renata Holt-Heintze
Daniela Weimer
Svenja Hartmann
Rosemarie Hethur
Dorothe Adler-Trubin
German Speer
Geert Rust
Thorben Rosenow
Lilo Hartung
Gundolf Walter
Kevin Etzler
Conrad Lindau
Helfried Seifert-Schönland
Herr Arnulf Kohl
Delia Rust
Thilo Tschentscher
Dipl.-Ing. Mariana Mohaupt B.Sc.
Tilman Hövel
Herr Vincenzo Liebelt
Hüseyin Johann
Dipl.-Ing. Matteo Baum
Miroslaw auch Schlauchin
Conrad Paffrath
Gabi Meister
Ing. Canan Gutknecht B.A.
Dominik Naser B.A.
Diether Vogt B.A.
Sibille Kallert
Nadja Schleich MBA.
Sylvana Holzapfel
Herr Kurt Weitzel B.Sc.
Hans-Bernd Trupp
Kati Koch II
Dorina Weinhold
Olga Albers B.Sc.
Dr. Adriane Bärer B.Eng.
Sofie Fiebig-Hermighausen
Fatima Rosemann-Schmidtke
Benita Heser
Prof. Karl-Heinz Ruppersberger
Herr Gisbert Langern
Thomas Hentschel
Ing. Dietlind Gieß
Mareile Löwer
Kornelius Hornig MBA.
Ibrahim Eberth
Dipl.-Ing. Gisela Schuster B.A.
Univ.Prof. Ewald Rogner B.Sc.
Dr. Tim Hornig B.Sc.
Ottilie Scheel
Murat Linke
Hassan Kroker-Girschner
Monique Stroh
Janette Kallert
Herr Dimitri Mohaupt B.A.
Ralph Fröhlich
Jelena Löffler
Eugenia Riehl
Dr. Semra Wagenknecht
Gunhild Ullmann
Johanne Kusch
Ing. Maike Hölzenbecher B.A.
Rouven Ziegert
Dipl.-Ing. Gudula Margraf B.Sc.
Univ.Prof. Gunda Höfig
Frank-Michael Klemt
Lambert Wilmsen
Clemens Thanel
Dorothee Renner
Frau Ayten Pärtzelt MBA.
Edda Gertz B.Eng.
Virginia Kaul
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Gunhild Jessel
Frau Gertraude Wesack B.Eng.
Kaspar Aumann
Dr. Carsten Steinberg
Jolanda Rose
Susi Schuchhardt
Alfonso Grein Groth-Henck
Maximilian Pohl B.A.
Dr. Ottfried Lachmann B.Sc.
Herr Hansjoachim Geisler
Mike Röhricht-Hauffer
Marina Wilmsen
Isabell Eberth-Pechel
Bogdan Römer B.Eng.
Nicole Hoffmann
Herr Tony Lindner
Mijo Seidel B.Sc.
Univ.Prof. Janos Rörricht MBA.
Eileen Hartung
Anneli Neuschäfer
Helma Zorbach
Ehrhard Förster
Univ.Prof. Florentine Schomber B.Eng.
Ing. Carolin Hoffmann
Ing. Hanne-Lore Ackermann
Imelda Geißler
Herr Ronald Reising B.Sc.
Eckhard Lindau B.A.
Marek Ackermann
Madeleine Henk
Hans-Jürgen Klemm
Stjepan Hofmann-Hethur
Wenzel Wilmsen
Ing. Alban Mohaupt
Lydia Wirth
Reingard Klingelhöfer
Jiri Bärer
Anatol Hübel
Gina Schmidtke
Emma Sauer B.Eng.
Dr. Theresia Mende
Muharrem Benthin
Ingried Hänel
Dr. Lieselotte Blümel B.A.
Lisbeth Karge
Elsbeth Schmiedecke-Wulf
Carola Kusch
Bettina Lachmann
Gebhard Seidel
Jörg Pechel
Dipl.-Ing. Lucia Renner B.A.
Iwan Renner-Dussen van
Rosi Renner-Graf
Sükrü Fiebig
Ludmila Patberg
Igor Zobel B.A.
Karl-Otto Kostolzin
Wolf Stadelmann
Traugott Hövel
Ludwig Reinhardt
Brita Roht MBA.
Ekkehart Grein Groth
Carin Atzler
Herta Keudel
Florian Weimer
Elisa Mälzer
Ing. Klaus-Dieter Karge MBA.
Mario Bärer
Aenne Kraus
Josef Butte-Lindau
Frau Carola Scheibe MBA.
Annita Lorch
Prof. Svea Putz MBA.
Friederike Sölzer-Hentschel
Dipl.-Ing. Nikolaus Conradi MBA.
Toni Dehmel-Striebitz
Adelinde Putz
Zita Klemt
Nadia Thanel
Elena Gotthard
Siegbert Schweitzer
Kai-Uwe Schäfer
Joana Wähner
Mareen Mies B.Eng.
Hartmut Biggen-Trapp
Angelina Noack-Wagenknecht
Horst-Peter Faust
Dariusz Wirth
Jacek Täsche
Herr Darko Gutknecht MBA.
Margareta Zirme
Josef Rädel
Mariusz Wilmsen B.A.
Kunigunde Ziegert
Luzia Eckbauer
Beata Lübs
Karola Zorbach B.Eng.
Walfried Wohlgemut B.Eng.
Sandra Hornig
Bayram Meister
Mirella Löchel
Irmtraud Schönland
Ellinor Kraus
Gundi Schwital
Dipl.-Ing. Helma Heuser B.Sc.
Anthony Oderwald
Karl-Wilhelm Geisel
Siegward Weinhold
Dipl.-Ing. Gloria Heidrich
Carmelo Weinhold
Eugenie Pieper
Ing. Carla Ziegert B.Eng.
Reni Henk
Frau Edeltraud Radisch B.A.
Brian van der Dussen
Dr. Kristine Tschentscher
Irmengard Röhrdanz
Ing. Hermine Warmer B.A.
Olivia Jäkel
Marita Berger B.A.
Ing. Hansgeorg Jockel B.Eng.
Albin Budig
Karl Heinz Kruschwitz-Reising
Hatice Killer-Löwer
Trudel Wagner
Ing. Mattias Boucsein
Dr. Rita Kallert
Marijan Kruschwitz
Ludmila Stadelmann
Birte Jüttner
Melitta Steinberg
Bekir Gumprich-Kabus
Tülay Gnatz-Sorgatz
Annaliese Klingelhöfer
Baldur Metz
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Milos Kuhl B.Sc.
Janus Ring
Frau Gülay Rogner B.A.
Ing. Helen Gumprich B.Sc.
Aneta Kambs
Aenne Mende B.Eng.
Univ.Prof. Pius Kühnert
Dr. Anto Wende
Reingard Geisel
Friedhelm Schleich
Robby Weller
Patric Heinrich
Monica Blümel
Mandy Huhn B.A.
Enrico Kobelt-Klemt
Hans Josef Striebitz
Orhan Mude
Dorothea Finke
Bertold Bloch-Beckmann
Kornelia Bachmann
Uwe Sorgatz
Dr. Catharina Gerlach B.Eng.
Ing. Lisette Kaul B.A.
Mira Hoffmann
Univ.Prof. Lydia Langern
Dr. Senol Beier MBA.
Dipl.-Ing. Lilly Trüb
Herr Steven Eberhardt
Aleksander Dowerg
Kristina Röhricht
Friedrich-Wilhelm Höfig-Johann
Prof. Sonia Blümel
Ruthild Hoffmann
John Bauer
Ahmad Preiß
Maren Scholz-Bohlander
Ignaz Löwer
Rosi Spieß
Volkmar Hentschel
Dipl.-Ing. Gabriel Roskoth
Univ.Prof. Fatima Hiller B.A.
Dr. Ursel Gute
Dorina Fiebig
Dipl.-Ing. Gerdi Wende
Zita Wieloch-Scholtz
Dr. Jasmina Ruppert
Janine Söding
Nada Butte
Uli Renner
Theo Döring
Gertrude Pieper
Herr Julian Gotthard B.Eng.
Sonja Barkholz
Prof. Jörgen Gieß B.Eng.
Swantje Heinz
Mahmut Hänel
Herr Oliver Pechel
Kilian Patberg
Annelore Juncken
Dr. Sükrü Hettner
Tilman Eberhardt
Leonore Schacht
Heide Hesse-Bärer
Christel Mangold
Yasemin Hande
Hanne-Lore Berger
Dominik Huhn
Frau Käthi Hamann B.Eng.
Pedro Beer
Prof. Nikolai Gunpf
Domenico Reichmann
Karl-Peter Grein Groth B.Eng.
Dr. Matthias Niemeier
Robert Budig-Ullmann
Elfie Kreusel
Dr. Ferdinand Pölitz
Agnieszka Steckel
Andreas Gunpf
Hans-Erich Staude
Heimo Karge-Freudenberger
Jörgen Putz B.A.
Herr Augustin Thies B.A.
Franz Josef Hoffmann B.Sc.
Dr. Tony Ditschlerin
Margaretha Kohl B.Sc.
Vassilios Kuhl B.Sc.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Micha Eckbauer B.Sc.
Anto Kostolzin
Jessika Käster
Alexandra Butte
Mariechen Nohlmans
Pedro Pölitz
Dipl.-Ing. Jens-Peter Dippel MBA.
Virginia Textor
Olaf Weinhage
Maxim Wilms-Meister
Dorothee Koch II
Alfredo Oestrovsky
Adelheid Hecker
Pavel Ehlert
Gisa Budig-Löwer
Ing. Valerij Segebahn B.Eng.
Enver Dehmel
Walentina Hesse
Dietlinde Schönland
Ing. Gotthard Reuter B.A.
Antonie Heser B.Sc.
Alfredo Bolzmann B.A.
Wally Kreusel
Andrew Misicher
Edgar Karge
Heinz-Peter Butte B.Eng.
Willibald Gude
Augustin Lachmann
Frau Dora Rosemann B.A.
Frau Renate Geisler
Hans-Herbert Gutknecht
Tadeusz Weller
Lieschen Röhrdanz
George Paffrath MBA.
Hansjürgen Schlosser
Prof. Alina Ziegert
Ann Stumpf
Rene Henck
Toralf Pieper
Miodrag Dörr-Austermühle
Dipl.-Ing. Mathias Metz B.A.
Herr Francis Scholtz
Walter Weller
Diethard Trommler
Hanni Dippel-Heser
Herr Oliver Stahr
Tomislav Mende
Paola Margraf
Helma Hänel B.A.
Freia Buchholz
Prof. Necati Stey B.A.
Wieslaw Freudenberger
Ellen Junken
Frau Anny Niemeier B.A.
Karl-Heinrich Schüler
Diana Drubin-Walter
Dr. Margarethe Ernst
Knut Gorlitz
Conny Zirme B.Sc.
Margret Hentschel-Davids
Frau Käte Zahn
Univ.Prof. Kläre Oderwald B.Sc.
Ilona Roskoth-Bolander
Lorenz Schwital-Stadelmann
Dipl.-Ing. Friedrich Hiller B.Eng.
Notburga Heuser
Kreszenz Beier
Nikolas Heß
Dorle Rädel
Ludmila Karge B.A.
Urban Geißler B.A.
Frau Svenja Hövel B.Sc.
Siegbert Kranz
Herr Muzaffer Klotz B.Sc.
Mariola Heinrich
Dipl.-Ing. Milica Hofmann B.A.
Dr. Wolf-Rüdiger Trüb
Prof. Anica Haering B.A.
Ann Mielcarek
Marijan Killer
Univ.Prof. Friedlinde Bien MBA.
Boris Stumpf
Univ.Prof. Axel Dörschner B.Sc.
Ivana Mans-Bruder
Flora Mühle B.Sc.
Alfred Holzapfel-Hamann
Zeljko Henck
Univ.Prof. Kathi Noack B.Eng.
Marko Trupp
Franz Steuer
Herta Weitzel
Theda Stumpf B.Eng.
Erica Lachmann
Karl-Georg Dörschner
Bernd Binner-Hornich
Frau Almuth Kostolzin B.A.
Sylvester Zirme
Albrecht Metz B.A.
Kay-Uwe Pölitz
Henning Scholl
Clarissa Adler
Kunigunda Heser
Birgitta Beckmann-Thanel
Henriette Sager
Detlev Stadelmann
Angelina Ruppert-Siering
Maria Döring B.Sc.
Dr. Almut Nohlmans B.A.
Dogan Kranz
Prof. Janos Werner B.Eng.
Ada Heser B.Sc.
Nadja Häring B.Eng.
Prof. Vadim Rogner
Eckehard Steckel
Gertrude Bärer
Dipl.-Ing. Jörgen Rose B.Eng.
Insa Karz-Mangold
Ing. Valeria Kruschwitz
Domenico Kade B.A.
Patricia Wiek
Dr. Fredy Niemeier
Ida Hendriks B.A.
Vanessa Hornig
Dr. Mariusz Beckmann
Telse Rudolph
Adrian Fiebig-Dörschner
Gert Naser
Dr. Iris auch Schlauchin
Hans-Henning Scheel
Marion Kuhl
Dr. Athanasios Noack MBA.
Krista Gertz B.Eng.
Ehrentraud Kroker
Wiltrud Wilmsen-Graf
Rosa-Maria Steckel
Traugott Textor-Wagenknecht
Emmerich Wilmsen
Dipl.-Ing. Nathalie Radisch
Maurizio Eckbauer
Madlen Salz
Paul-Gerhard Gunpf
Calogero Staude B.A.
Hendrik Bolzmann-Henschel
Karlfried Müller
Angela Hamann
Marzena Neuschäfer
Anika Trüb
Diana Weitzel
Holger Roskoth B.Sc.
Edith Hettner
Ing. Erica Schottin
Ing. Christina Beckmann B.Eng.
Renate Bärer
Alf Jüttner
Dr. Dora Fischer
Mercedes Blümel
Erna Kensy-Bähr
Ing. Jens-Peter Tschentscher
Karoline Römer
Herr Ruben Schüler B.Eng.
Ing. Hans-Heinrich Reichmann B.Sc.
Ing. Gerlinde Junken
Erol Lindner
Ing. Alla Schottin B.A.
Irmtraut Süßebier
Hans-Gerd Holt
Ing. Cynthia Weihmann B.Eng.
Ing. Meinhard Schweitzer
Raphael Barth
Sami Linke B.A.
Herr Leonid Röhricht MBA.
Elisabet Preiß-Thanel
Stefanie Benthin
Rüdiger Heinrich
Carl Jockel
Gottlob Römer
Hans-Hinrich Linke
Frau Anne-Kathrin Wagner
Meral Liebelt
Gabriella Schuster
Thies Pergande
Eckehard Mude
Torsten Schwital-Gude
Johannes Bärer
Herr David Freudenberger B.Eng.
Hannelore Noack MBA.
Carin Rohleder
Ing. Margot Bonbach B.Eng.
Filippo Jungfer-Kabus
Linda Kruschwitz
Mandy Trüb
Heide Schottin
Marion Drewes
Prof. Lydia Siering
Emanuel Scholz B.Eng.
Hannah Stiffel-Börner
Ortrun Eckbauer-Kohl
Dr. Elena Kade B.Sc.
Ing. Jaqueline Wende B.A.
Prof. Arif Mielcarek B.Eng.
Ing. Philipp Textor
Ing. Pavel Weller B.Eng.
Ing. Peter Trubin B.Sc.
Prof. Henriette Killer
Ariane Roskoth
Antonietta Putz B.Eng.
Agathe Trommler
Rose Henschel
Univ.Prof. Vinko Tschentscher
Alexander Hörle
Ing. Marlene Wirth B.Sc.
Univ.Prof. Siegfried Karz B.Sc.
Irina Hahn
Dipl.-Ing. Elif Hartmann B.A.
Valentin Rädel
Ingo Heinz
Ann-Kathrin Mühle
Hans-Georg Schmidt
Paulo Trommler
Miriam Ehlert MBA.
Prof. Marie Plath
