Student
Herr Gundolf Barth
Pawel Peukert-Rörricht
Dr. Meinhard Hiller
Katalin Thanel-Kitzmann
Jens-Uwe Käster
Hanno Trub
Dr. Jeannine Schleich B.Sc.
Ehrhard Bohnbach B.Eng.
Ing. Eugenie Birnbaum
Katherina Ruppert
Rico Cichorius
Karl-Ernst Drewes-Drubin
Ernst Henschel
Dr. Jan-Peter Döhn B.A.
Hans-Theo Vogt-Beckmann
Ivanka Gierschner-Pergande
Antonietta Barth
Paolo Hentschel-Zobel
Klemens Winkler
Kristiane Zahn
Alla Weihmann
Mark Schottin B.Eng.
Eleni Mühle MBA.
Nadia Herrmann
Ingbert Hartung
Natascha Eigenwillig
Günther Bähr
Prof. Anna Kühnert B.Sc.
Ulrich Segebahn
Gitta Mohaupt
Frau Julie Gunpf
Benita Schleich
Mariusz Adler
Univ.Prof. Mahmoud Liebelt
Herr Herbert Dowerg
Anna-Marie Steckel
Erwin Etzold
Friedrich-Karl Jopich B.Eng.
Josefa Junk
Anica Sorgatz B.Sc.
Dipl.-Ing. Elly Davids B.Sc.
Evangelia Gierschner
Aysel van der Dussen-Jäntsch
Simon Hahn
Marga Vogt
Magdalene Hering MBA.
Dipl.-Ing. Janet Ruppersberger
Gesche Trub
Edmund Caspar B.Sc.
Ferenc Pergande B.Eng.
Francisco Harloff
Dipl.-Ing. Hans-Gerhard Schleich
Mehmet Sauer
Ing. Karl-Georg Dobes
Maria-Theresia Scholl
Ing. Hatice Gehringer
Lieschen Walter
Roselinde Zobel
Emilia Scheel
Dipl.-Ing. Lilly Boucsein B.Sc.
Kristian Anders B.Sc.
Gregor Dippel
Dipl.-Ing. Erwin Hamann
Olaf Juncken
Siegrun Reinhardt
Dr. Reinhart Hecker B.A.
Wojciech Girschner B.A.
Dipl.-Ing. Traudel Eigenwillig
Damaris Bien
Janus Walter
Edit Dowerg
Sibylla Pohl
Miriam Hentschel
Ing. Hansgeorg Jockel B.Eng.
Elvira Cichorius
Mona Söding
Dipl.-Ing. Utz Henschel MBA.
Amalia Schmidtke-Radisch
Frau Anne-Katrin Rädel
Hans Misicher
Maurizio Tschentscher
Hans-Bernd Trupp
Ing. Hedi Wulf
Herr Gunther Flantz
Dorle Zirme
Bartholomäus Trapp
Bert Junck
Lutz Pärtzelt
Clara Rust
Ing. Willfried Kostolzin
Serge Trubin
Joachim Fischer
Brita Schwital
Liliane Gröttner-Albers
Constantin Jacob B.Sc.
Alois Römer-Becker
Jurij Zahn B.Sc.
Gerlinde Albers-Hörle
Dr. Silvio Täsche
Ronald Rädel
Baptist Vogt
Irmi Koch
Metin Hande
Dipl.-Ing. Alf Graf
Prof. Augustin Stey B.A.
Czeslaw Jacob B.Eng.
Dr. Lilly Conradi B.Sc.
Univ.Prof. Nicole Höfig B.Sc.
Clarissa Buchholz
Miroslav Kohl
Univ.Prof. Brigitte Rogner
Madeleine Hartung
Valerie Losekann
Kira Hartmann B.Sc.
Prof. Bianka Reinhardt
Dr. Lea Kraushaar B.Eng.
Kornelius Hornig MBA.
Wieslaw Lachmann
Patrick Pärtzelt-Henck
Hans-Detlef Bender
Herr Yusuf Kabus B.A.
Hiltrud Klemm
Gilbert Peukert B.Eng.
Liane Kambs
Prof. Nikolai Gunpf
Ljudmila Trapp
Gabor Dobes
Marit Mühle
Prof. Wolfram Binner B.Eng.
Agathe Weinhage B.A.
Klemens Thies
Lilli Atzler
Dr. Ibrahim Dobes B.Eng.
Lisbeth Hentschel
Pirmin Wulf B.Sc.
Frau Minna Steinberg B.Sc.
Pierre Ortmann
Abraham Junken-Beckmann
Hedda Schönland
Pero Scheuermann
Gesa Keudel-Bauer
Mike Hofmann
Stephanie Weller
Gunnar Ernst
Hasso Zahn
Bertha Heser MBA.
Mara Roht
Vincenzo Jopich
Giorgio Trüb
Dr. Gundula Putz
Emmy Koch
Dr. Natascha Trüb
Bärbel auch Schlauchin
Frau Caren Schmidt MBA.
Eberhardt Fiebig
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Univ.Prof. Cläre Weihmann B.A.
Willi Heinz
Adolfine Wilms
Dr. Edith Ring B.Sc.
Ing. Elisabet Jopich B.Sc.
Willfried Mende
Frau Linda Weiß B.Eng.
Frau Anna Mangold B.A.
Gunda Ditschlerin B.A.
Karl-Josef Thanel
Frau Kirsten Boucsein
Saskia Kallert
Anka Rohleder
Thoralf Eimer
Eileen Geißler
Dr. Jens-Uwe Ruppert
Friedrich-Wilhelm Höfig-Johann
Dr. Lidia Flantz B.Sc.
Hans-Albert Lindau
Dr. Dora Fischer
Univ.Prof. Gretl Langern B.A.
Raymond Speer
Torsten Schwital-Gude
Hildegunde Staude
Patric Stahr-Ebert
Klaus-D. Zänker-Hein
Miodrag Dörr-Austermühle
Karlfried Müller
Janet Kade
Rene Albers
Janin Höfig B.A.
Frau Ellinor Tintzmann
Ben Schomber
Urs Matthäi
Herlinde Birnbaum
Dipl.-Ing. Janus Roht B.Sc.
Carlo Pohl
Dr. Hans-Peter Adolph MBA.
Kornelia Dörr
Sibel Weller
Birgitta Loos
Prof. Ludger Kohl MBA.
Dr. Bernfried Bärer
Ralf-Dieter Rörricht B.Eng.
Univ.Prof. Sonja Hande MBA.
Ralph Stahr
Dr. Steven Wohlgemut
Moritz Schönland
Andrea Wulf
Anneli Wernecke
Florentine Sölzer-Siering
Annemie Herrmann
Jochen Naser
Danuta Lachmann-Dussen van
Herr Gotthard Wilms
Celal Scheel B.A.
Ramon Jäntsch-Gertz
Univ.Prof. Niklas Mohaupt MBA.
Peter Rohleder
Katerina Hauffer
Vera Heydrich
Dr. Gerard Reichmann MBA.
Hansjürgen Schlosser
Karolina Hartmann
Abdul Trüb MBA.
Annemie Kade-Kuhl
Angelique Wesack B.Eng.
Jeannette Schleich
Zeki Otto
Ruthild Schüler B.Eng.
Heimo Förster
Prof. Wolf-Dietrich Schweitzer MBA.
Suse Pergande-Gröttner
Sibylle Stey
Burkhard Schweitzer
Freia Kraushaar B.A.
Gitte Rohleder-Bruder
Paul-Gerhard Gunpf
Prof. Apollonia Gerlach B.Sc.
Ing. Carolin Hoffmann
Dajana Meyer
Domenico Gertz
Dr. Frederik Dobes MBA.
Ing. Nils Pergande B.A.
Desiree Wulf-Jüttner
Karina Tschentscher-Butte
Antonina Wagner
Wiltrud Geißler
Prof. Hansjürgen Langern
Gerti Ullrich
Evangelia Harloff B.A.
Dr. Achim Barth
Gino Hövel B.Sc.
Natalja Löchel-Beckmann
Dipl.-Ing. Gunar Kuhl
Ronald Henschel
Irma Atzler-Herrmann
Dipl.-Ing. Gabi Scholtz
Angelo Pärtzelt
Ramona Römer
Olga Krein
Herr Francis Scholtz
Ljudmila Krebs
Hans-J. Tröst MBA.
Jerzy Mende-Wagenknecht
Rolf-Dieter Flantz B.Eng.
Jann Geisler
Dipl.-Ing. Angelina Mälzer B.Eng.
Filippo Juncken
Jörn Hörle B.Sc.
Nicolas Tschentscher
Damaris Holsten-Schleich
Ludwina Hölzenbecher
Ingbert Binner-Heidrich
Fatima Weinhage-Boucsein
Theda Klotz
Natalie Carsten B.A.
Adina Kallert
Benita Geißler
Maren Roht
Josefa Stolze
Krystyna Rust-Baum
Brita Roht MBA.
Wieland Linke
Franz Josef Hoffmann B.Sc.
Sami Junitz
Dorina Dippel
Norma Jungfer
Amir Reuter
Andrej Geißler-Beckmann
Ing. Carolin Anders
Renate Austermühle B.Eng.
Kay-Uwe Pölitz
Franka Peukert
Prof. Gertraude Mangold B.Eng.
Univ.Prof. Heinz-Dieter Schuster
Prof. Olga Steckel B.A.
Frau Cynthia Bähr B.Sc.
Dipl.-Ing. Zenta Hornig B.Sc.
Prof. Marie Plath
Marten Möchlichen
Kristin Niemeier
Josef Butte-Lindau
Jessica Schottin
Damian Söding
Univ.Prof. Regina Salz B.Eng.
Juliana Weinhage
Elif Röhricht
Herr Yilmaz Vollbrecht B.Eng.
Univ.Prof. Gisa Meister
Lissy Dippel
Emilia Wagenknecht-Riehl
Frithjof Mielcarek MBA.
Univ.Prof. Isabel Ladeck
Bertram Caspar
Astrid Dowerg-Stroh
Vladimir Kruschwitz
Franka Mitschke B.Sc.
Miguel Lehmann
Ing. Leander Weimer B.Eng.
Woldemar Heydrich B.Eng.
Ann Stumpf
Univ.Prof. Vesna Hering
Benjamin Lübs
Janusz Killer
Micha Albers-Wilms
Cengiz Dehmel
Angela Hamann
Rosalia Pruschke
Nadin Radisch
Kaspar Aumann
Hedda Baum
Prof. Anka Schulz
Dipl.-Ing. Aloys Hentschel
Vesna Wähner
Herbert Budig
Mahmoud Ditschlerin-Trüb
Chantal Kramer
Notburga Pölitz
Dr. Uta Gumprich
Karl-Heinrich Jacob
Albert Butte
Kristian Rosemann B.Sc.
Claire Römer-Hornich
Susan Warmer
Jens-Peter Heinrich
Meike Rosenow
Janet Ullrich
Dipl.-Ing. Cläre Geißler
Heinz-Gerd Beyer
Dierk Buchholz MBA.
Antonius Käster
Univ.Prof. Gislinde Rohleder
Gundel Dietz
Leonardo Klingelhöfer B.Sc.
Dipl.-Ing. Cora Baum
Krista Scholtz
Willy Hornig
Dipl.-Ing. Ladislaus Weinhold
Adalbert Hande B.Eng.
Sina Wulff-Dussen van
Ruth Barkholz-Koch II
Danilo Ladeck-Köhler
Ing. Gundi Boucsein B.Sc.
Constanze Lange
Dr. Frieda Metz
Dipl.-Ing. Heinz-Otto Jähn
Erika Pruschke
Ing. Gundolf Steinberg B.Sc.
Dr. Ute Schuchhardt
Univ.Prof. Claus-Dieter Meister B.Eng.
Prof. Katarzyna Gehringer B.Eng.
Diether Blümel
Annita Lorch
Irmi Täsche B.A.
Jo Gnatz
Maurice Hübel
Margareta Schmidt
Tanja Henk
Wera Hauffer B.A.
Rocco Trub
Univ.Prof. Pauline Klemt
Ing. Heide Winkler
Carin Pruschke
Hedy Kobelt
Malgorzata Pieper
Franz-Josef Kohl
Univ.Prof. Claus-Dieter Dippel B.Eng.
Friedlinde Sauer
Conrad Lindau
Jelena Meyer MBA.
Dipl.-Ing. Hildegunde Bachmann
Selim Pieper
Karoline Hübel
Katharina Süßebier B.A.
Ilija Eckbauer-Steinberg
Margaretha Kohl B.Sc.
Johann Rust
Alfons Klingelhöfer
Prof. Jelena Krebs B.Sc.
Anne-Kathrin Ortmann
Marlies Beckmann
Prof. Liliana Klemm MBA.
Hertha Butte B.Eng.
Sandy Fechner
Tony Henk MBA.
Rosina Ditschlerin-Ortmann
Melissa Stey
Senta Ruppersberger
Elsa Preiß
Univ.Prof. Dolores Jäkel
Marianna Rosenow-Weiß
Ivonne Lachmann
Francisco Schmidtke-Albers
Gönül Barth-Zobel
Vito Roht
Univ.Prof. Hans-Theo Kroker
Ing. Leo Schulz
Joana Wähner
Reinhold Schönland
Hartmuth Eberhardt
Sami Mitschke
Kazim Hörle
Anny Zirme
Cordula Mangold
Prof. Ursula Eigenwillig
Bernd Binner-Hornich
Magda Geißler
Klaus-Werner Koch II B.Sc.
Radmila Linke MBA.
Dr. Edelgard Sauer B.Sc.
Sönke Gumprich
Elisabeth Käster
Bruno Martin-Kaul
Dunja Dörr B.Sc.
Ernest Schönland B.Eng.
Kai-Uwe Oderwald
Alina Hoffmann
Sören Liebelt
Helma Zorbach
Herr Jacek Budig B.Eng.
Canan Heinrich
Hans-Herbert Flantz
Andrei Hertrampf-Trommler
Dipl.-Ing. Lilly Trüb
Mechtild Patberg
Otmar Misicher
Ing. Karin Werner
Folker Otto MBA.
Erhard Geisel
Frau Emilia Pruschke B.A.
Harri Mans
Kaspar Junken
Ulla Süßebier
Stefano Atzler
Prof. Uschi Fliegner B.A.
Zehra Conradi-Heinrich
Alwina Neureuther
Birgid Nohlmans
Herr Bodo Steckel
Kasimir Albers-Stiebitz
Hannelore Weinhold B.Sc.
Gerald Hendriks
Deborah Becker
Marie-Theres Jäkel
Dipl.-Ing. Margaretha Köhler B.Eng.
Eckehard Nette
Klara Schlosser
Frau Melita Scholz B.A.
Baptist Gröttner B.Sc.
Helen Dehmel
Irena Wilmsen
Ing. Petar Wilmsen
Edeltrud Margraf
Janet Jüttner
Felicia Löffler
Liesbeth Huhn
Ing. Knud Vogt
Dörthe Rädel
Karl Zirme
Dipl.-Ing. Rabea Sorgatz MBA.
Burghard Albers-Berger
Sibille Kallert
Enver Dehmel
Maria Döring B.Sc.
Georgia Bärer
Dr. Ruben Wernecke
Dipl.-Ing. Engin Jähn B.A.
Dipl.-Ing. Maik Mende B.Sc.
Siegbert Kranz
Margita Hentschel
Univ.Prof. Albertine Köhler MBA.
Hildburg Tlustek
Bertold Stadelmann
Stavros Meyer
Beatrice Käster
Margit Walter
Aenne Kraus
Gerolf Radisch
Marliese Becker
Vitali Junken
Edgar Bauer
Kay-Uwe Bruder MBA.
Mahmut Hänel
Franz-Peter Benthin-Reichmann
Peer Grein Groth-Lange
Prof. Meral Jüttner MBA.
Hildburg Dowerg-Pergande
José Tschentscher-Textor
Zenta Gertz B.A.
Hatice Jessel
Prof. Tobias Börner
Albrecht Rust-Heinrich
Mechthilde Lindau B.A.
Emilie Kallert-Zorbach
Hartmuth Gude B.Eng.
Dr. Laila Peukert
Angelique Speer B.A.
Dominic auch Schlauchin
Saban Etzler B.Eng.
Ayse Scheuermann-Sölzer
Ramon Salz
Arnulf Heidrich
Aysel Löchel
Sofie Schmiedecke
Frau Wenke Klemt
Dr. Gerda Butte MBA.
Muharrem Rosemann-Heidrich
Sophie Pruschke
Frithjof Gertz
Hans-Rudolf Huhn
Marcel Stumpf
Ing. Melanie Hamann
Zoran Oestrovsky
Lidwina Karz MBA.
Bekir Cichorius-Döring
Stephanie Kranz B.A.
Gertrude Bärer
Cetin Heidrich
Irmi Zobel
Herr Karl-Heinrich Eberth B.Sc.
Adina Finke
Hildegunde Stiebitz-Mude
Pia Fliegner
Marcel Schlosser
Stephen Trommler
Rose Beer
Julie Mosemann
Christl Pölitz
Asta Knappe
Jan-Peter Scheuermann-Jungfer
Univ.Prof. Hiltrud Löwer
Resi Margraf
Univ.Prof. Ilka Jäntsch B.A.
Frau Evelyne Süßebier B.Eng.
Herr Vito Roskoth B.Sc.
Prof. Ralf-Peter Schlosser B.Eng.
Zoltan Preiß B.Eng.
Herr Gerhardt Benthin
Mattias Wieloch
Ing. Nikolai Niemeier B.A.
Dipl.-Ing. Detlef Trommler
Carsten Wieloch-Kranz
Bertold Bloch-Beckmann
Anna-Lena Wohlgemut
Irmtrud Röhrdanz
Anna-Lena Sontag-Köhler
Camilla Kühnert MBA.
Sonia Gorlitz-Mude
Ing. Ramazan Kallert MBA.
Karlfried Rörricht
Rüdiger Bien-Hübel
Pavel Ehlert
Adelinde Kensy B.Eng.
Arzu Stiffel-Drubin
Ivana Nerger
Dr. Gerti Scheel
Heinz-Otto Geisler B.Sc.
Niklas Scholtz
Teresa Jessel
Univ.Prof. Francisco Tröst B.Eng.
Therese Rohleder
Dipl.-Ing. Julian Mühle
Stephan Haase MBA.
Mareike Scholl
Tomas Tlustek
Dipl.-Ing. Peer Kuhl
Beatrix Möchlichen
Reimar Hahn-Neureuther
Hedy Rudolph MBA.
Cäcilie Roht-Misicher
Karen Grein Groth-Dörschner
Alfredo Möchlichen
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Marie-Luise Rogner
Ing. Jessica Mende
Luciano Biggen
Franziska Beer
Margret Hentschel-Davids
Monique Ullmann MBA.
Karl-Peter Heser
Dr. Annelies Stumpf
Dipl.-Ing. Violetta Briemer B.A.
Sieghard Stoll-Harloff
Elfie Preiß
Anton Gute
Stavros Hentschel B.Eng.
Hans Josef Reinhardt B.A.
Herr Osman Gerlach B.Sc.
Silvester Scheibe
Ingelore Kobelt MBA.
Dora Jockel
Slawomir Bohnbach
Ing. Petar Hänel MBA.
Lorenz Kohl
Frau Theodora Hettner B.A.
Alexej Wagner
Dipl.-Ing. Werner Scholl B.Eng.
Remo Reinhardt
Ilhan Hoffmann-Karz
Apollonia Heß B.A.
Ing. Rotraud Schmidt
Univ.Prof. Marjan Graf B.Sc.
Astrid Schweitzer
Aneta Heydrich
Margita Hartung-Zänker
Martha auch Schlauchin
Zeki Henk B.A.
Eberhardt Mielcarek
Siegfried Schuster
Hans-Georg Anders
Friedl Barth
Alwina Hettner
Jochen Säuberlich
Caroline Haering MBA.
Annaliese Lübs
Dr. Krista Jäkel B.A.
Valentina Weihmann-Zahn
Arnfried Scheuermann
Ing. Nelli Hornig
Dipl.-Ing. Henriette Lindau
Ahmad Jacobi Jäckel
Flora Etzold
Ing. Alf Lachmann
Jadwiga Gierschner-Schulz
Dipl.-Ing. Bernhardine Heß
Frau Almut Kuhl
Toni Dehmel-Striebitz
Hans Georg Gorlitz-Schäfer
Univ.Prof. Liliana Niemeier B.Eng.
Dipl.-Ing. Iris Stumpf MBA.
Dr. Gerhart Käster
John Bauer
Brian Blümel B.Eng.
Heinz-Günter Mülichen
Ing. Christel Margraf MBA.
Mina auch Schlauchin
Ulrich Schlosser
Hulda Seidel-Carsten
Herr Hinrich Mühle
Gundula Ruppersberger
Kristian Ritter
Friedericke Killer B.Eng.
Uschi Trüb
Joanna Christoph
Dipl.-Ing. Nina Boucsein MBA.
Barbara Kambs
Wencke Salz
Konstanze Sontag
Lara Oderwald
Klaus-D. Hövel
Toralf Pieper
Heino Römer
Maximilian Jockel
Martin Rose B.A.
Walter Pruschke
Dragica Kreusel
Klaus-Peter Schüler-Schaaf
Resi Ullmann
Ing. Hanny Schlosser MBA.
Univ.Prof. Ottmar Jopich
Herr Rolf-Peter Renner MBA.
Dipl.-Ing. Wilfried Ortmann
Silvio Scholl B.Eng.
Stanislav Reuter
Luigi Wähner
Marcus Langern
Hilmar Faust
Torben Wiek-Ring
Elfi Fröhlich-Löchel
Rudolf Weihmann
Ronny Scholtz
Alfred Holzapfel-Hamann
Univ.Prof. Paul-Heinz Heinz
Serge Grein Groth
Fernando Reising
Dr. Reimar Fiebig B.A.
Frau Trudel Hövel
Cornelius Jacobi Jäckel
Friedericke Lange
Gisela Weinhold B.Sc.
Friedrich-Wilhelm Roht-Wiek
Ing. Gislinde Ernst B.A.
Etta Hellwig
Marianne Killer
Dan Scheuermann
Alwine Wirth-Klemm
Dursun Mies
Julian Schuchhardt-Dippel
Prof. Folkert Ernst MBA.
Telse Steuer B.Eng.
Arne Knappe
Rupert Kallert
Stanislaus Geißler
Ulla Hamann
Dr. Stefania Gnatz
Halil Warmer B.Sc.
Elena Fiebig
Elmar Förster
Bernhardine Wilmsen
Sedat Matthäi
Stefanie Pruschke
Günter Schottin
Joachim Löffler-Riehl
Prof. Necati Stey B.A.
Ing. Meinhard Schweitzer
Lisa Rädel-Bender
Chantal Fröhlich
Aneta Kambs
Steffi Schmiedt B.Sc.
Alexej Kohl
Frau Florence Ditschlerin B.Eng.
Univ.Prof. Ferenc Knappe B.Sc.
Irmgard Weinhage-Wieloch
Hakan Kühnert
Zdenka Heser
Doris Kraushaar
Dr. Annita Kallert
Klaus-D. Zirme-Bachmann
Kuno Dussen van
Berndt Barkholz
Oxana Lübs
Dominic Martin
Alwin Schaaf
Ferenc Trüb B.A.
Cilli Siering
Domenico Kade B.A.
Gabi Heinz
Frauke Stadelmann
Kay-Uwe Trapp
Kai-Uwe Stiebitz-Hentschel
Dr. Klothilde Lachmann B.A.
Ingried Ullmann
Miriam Haering
Frau Katarina Lindner
Marlene Heuser-Trub
Waltrud Scholl
Univ.Prof. Paul-Gerhard Lübs MBA.
Hans Kohl MBA.
Pirmin Boucsein MBA.
Viviane Fritsch-Martin
Karl-Wilhelm Rogner
Dr. Erkan Stroh
Saskia Wagenknecht
Jacek Bärer
James Kostolzin-Staude
Mark Lindau
Albin Budig
Univ.Prof. Anna-Luise Faust
Klaus Peter Adler
Ahmed Freudenberger B.Sc.
Melita Schleich
Dipl.-Ing. Fred Meister
Dipl.-Ing. Konrad Schenk
Ian Briemer B.Eng.
Reza Mielcarek
Reinhold Hellwig-Mülichen
Cetin Schwital
Sofie Fiebig-Hermighausen
Univ.Prof. Czeslaw Heuser
Christian Jacobi Jäckel
Heribert Römer-Lindau
Niko Pergande
Peer Hölzenbecher
Thea Schmiedecke
Univ.Prof. Siegfried Karz B.Sc.
Adelinde Gutknecht-Beier
Prof. Attila Werner B.A.
Sina Spieß
Annett Anders MBA.
Univ.Prof. Nikolaus Sölzer B.A.
Ilias Seip
Fedor Röhrdanz
Sofia Mielcarek B.A.
Ramona Sontag
Frau Käthi Hamann B.Eng.
Eva-Maria Geisler
Martin Dörr
Frau Kordula Geisler MBA.
Prof. Volkmar Heuser
Dipl.-Ing. Jozef Hartmann
Karl-August Reichmann B.Sc.
Prof. Arnold Caspar B.A.
Rolf-Peter Staude
Svenja Langern
Senta Hiller
Heiner Rörricht
Anatolij Peukert
Beatrix Gehringer
Frau Josefa Henschel B.A.
Hans Jürgen Winkler
Ivanka Rogge
Gunhild Jessel
Friedericke Ruppersberger
Jessika Schacht
Deborah Beier
Ulrike Gierschner-Koch II
Iwan Butte B.Sc.
Rotraut Ullrich
Siegried Caspar B.A.
Victoria Hornig
Vassilios Birnbaum
Univ.Prof. Catharina Neureuther B.Sc.
Theodora Wilmsen
Rüdiger Hellwig B.A.
Univ.Prof. Cynthia Löwer
Edgar Karge
Dipl.-Ing. Lara Tlustek
Horst-Peter Thies
Gero Gierschner
Theo Döring
Ulrike Ackermann B.Sc.
Frau Mirjana Baum B.Sc.
Vera Losekann
Dipl.-Ing. Christoph Schulz B.Sc.
Anne-Katrin Lorch
Ing. Jo Caspar
Gretel Stroh
Franz Josef Nette-Werner
Annaliese Hettner B.A.
Heino Lindau B.Eng.
Siegmar Pergande
Guenter Wende
Halil Löwer
Antonios Walter
Evelin Wagenknecht-Döhn
Gunar Börner
Lena Losekann
Univ.Prof. Teresa Weinhage B.A.
Stephan Hauffer
Herr Ronny Tröst B.Sc.
Abram Vogt MBA.
Kriemhild Warmer
Joana Zimmer B.A.
Dr. Jochem Trapp MBA.
Marcel Oestrovsky
Angela Stiffel
Herr Steven Eberhardt
Elizabeth Vollbrecht
Anne-Marie Sontag
Herr Hans-Martin Heuser
Hilde Lübs
Olav Thies
Dipl.-Ing. Petar Wohlgemut
Claire Faust B.A.
Ing. Karl-Peter Weinhold B.Sc.
Anneke Jähn
Gloria Lachmann MBA.
Ing. Justus Binner
Dietmar Lindau
Nurettin Bärer B.Eng.
Katharine Renner
Diana Weitzel
Evangelia Misicher
Bernhardine Bender MBA.
Erol Röhrdanz
Svetlana Bohlander B.Sc.
Dr. Evangelia Killer B.Sc.
Hans Dieter Fiebig B.Eng.
Björn Steckel B.Eng.
Luzie Renner B.A.
Zdravko Jacob
Nadeshda Hänel-Kaul
Lili Döhn-Margraf
Othmar Weinhage MBA.
Alma Eimer-Seip
Ansgar Hande
Dipl.-Ing. Margarete Schmidt
Bertram Rädel
Dr. Emin Dietz B.Sc.
Nikolaos Ebert-Grein Groth
Julia Heinrich
Dogan Häring MBA.
Annemarie Schaaf B.Sc.
Jasmina Bolzmann
Gloria Bruder B.A.
Eberhardt Warmer
Herr Winfried Vollbrecht B.Eng.
Daniele Pieper-Käster
Heinz-Günter Weimer B.Sc.
Jasmina Heuser
Theda van der Dussen
Katharina Speer
Herr Hansjoachim Geisler
Ludwina Beer
Ismet Kroker
Ing. Erwin Kobelt B.A.
Melita Hein
Jacek Täsche
Osman Schäfer
Martin Pechel-Freudenberger
Marko Trupp
Adele Stroh
Herr Bertold Löffler
Gerwin Ortmann
Siegfried Knappe
Carolin Stumpf B.Eng.
Klaudia Vollbrecht B.A.
Ingried Stiffel B.A.
Dr. Gero Röhricht B.Eng.
Dipl.-Ing. Adele Huhn MBA.
André Kraushaar-Henck
Valeska Geisler B.Eng.
Univ.Prof. Matthäus Gude
Dipl.-Ing. Lioba Plath
Dr. Krista Wirth
Ing. Rose-Marie Hölzenbecher
Prof. Karl-Ernst Möchlichen
Milos Pärtzelt B.Sc.
