Student
Insa Peukert
Anne-Rose Sorgatz
Luise Junk
Dipl.-Ing. Henriette Lindau
Paolo Hentschel-Zobel
Liesa Neureuther
Liesa Sauer
Dipl.-Ing. Patric Johann
Univ.Prof. Dana Seifert
Ing. Ortrun Weimer
Alena Hänel
Paula Heinz
Frau Patricia Gorlitz B.A.
Univ.Prof. Gesa Loos
Edeltraud Mülichen
Anny Wagenknecht
Mohamed Stiebitz-Pärtzelt
Renate Austermühle B.Eng.
Dr. Senol Beier MBA.
Sibilla Hofmann
Ronny Scholtz
Aurelia Mude
Frau Yvonne Trupp B.A.
Vesna Bähr
Hans-Willi Kruschwitz B.Sc.
Marie-Luise Staude-Käster
Hans-Theo Kuhl
Univ.Prof. Therese Hänel
Otmar Misicher
Hilmar Hörle
Gaby Noack
Andrei Säuberlich
Berthold Naser
Prof. Ralf-Peter Schlosser B.Eng.
Gernot Kobelt
Ellen Trub
Frau Katarina Lindner
Rainer Henk-Gotthard
Brita Schwital
Klaus Peter Weller
Leonardo Klingelhöfer B.Sc.
Robin Junk-Henk
Ing. Anneliese Döring
Anka Förster
Prof. Tillmann Holt B.A.
Janina Seifert
Dina Schmidtke
Karen Grein Groth-Dörschner
Erhardt Loos
Cindy Schleich
Else Heß MBA.
Janin Hermann
Konstanze Sontag
Frau Aleksandra Dobes B.A.
Gerold Thanel
Kristian Meyer
Anne-Katrin Butte MBA.
Elfi Wesack
Otto Butte
Bernt Conradi
Frank-Michael Löwer-Ring
Univ.Prof. Suse Lachmann B.Sc.
Hartmuth Eberhardt
Lilo Scholz
Peer Nohlmans B.Sc.
Prof. Jelena Krebs B.Sc.
Luzie Schäfer
Martin Dörr
Ingmar Hauffer
Senta Hiller
Dipl.-Ing. Freya Höfig
Hasan Klemm
Anke Bähr
Frau Xenia Blümel
Esther Ehlert
Herta Keudel
Rose-Marie Schüler
Luzie Renner B.A.
Carolin Stumpf B.Eng.
Monique Schleich-Kroker
Ing. Mike Stolze
Anka Rohleder
Dr. Diedrich Atzler
Lambert Gehringer
Herr Yusuf Kabus B.A.
Dipl.-Ing. Robert Köhler
Pavel Ehlert
Karl Heinz Kruschwitz-Reising
Rocco Rosemann B.A.
Alexandra Henk MBA.
Anatolij Keudel
Tomislav Mende
Dipl.-Ing. Edgar Gehringer B.Eng.
Dursun Mies
Patric Hermighausen MBA.
Francis Rohleder
Karla Conradi
Anne-Marie Stumpf
Reimar Trüb
Nikolaus Rosenow
Isabell Buchholz
Curt Schönland
Konrad Henschel
Belinda Huhn
Gundula Klotz
Francoise Rust
Deborah Scholtz B.A.
Michaela Sontag-Dörr
Frau Monique Löchel
Maximilian Hellwig
Betti Zirme B.A.
Dr. Reinhilde Thies B.Eng.
Gülten Ruppersberger-Wende
Diane Butte-Schleich
Hanno Löffler
Prof. Alma Gumprich
Dr. Heinz-Georg Aumann MBA.
Theodora Aumann
Ahmet Thies
Stefano Koch B.Eng.
Gisela Hornich-Metz
Magarete Krause
Insa Bloch B.A.
Carlo Pohl
Dr. Rolf Walter
Slawomir Drub-Gute
Cordula Wohlgemut
Valentin Döring
Nick Hermighausen-Krein
Beatrix Rädel MBA.
Aloys Barkholz
Hans-Willi Baum-Staude
Dr. Tim Hornig B.Sc.
Dr. Walburga Kobelt B.Eng.
Mandy Huhn B.A.
Joerg Zimmer-Kusch
Gaetano Paffrath
Friedlinde Mühle B.A.
Dipl.-Ing. Aleksandra Wagner MBA.
Univ.Prof. Dogan Mielcarek
Ing. Tomas Fischer B.Sc.
Reni Cichorius
Friedhilde Dobes
Gundula Adler-Bien
Univ.Prof. Reginald Lorch
Anneliese Gnatz
Ing. Romuald Roht B.Sc.
Gabi Neuschäfer-Oestrovsky
Friedericke Killer B.Eng.
Sieghard Stoll-Harloff
Ekaterina Conradi
Hans-Herbert Harloff
Siegbert Schweitzer
Jurij Zahn B.Sc.
Matthäus Striebitz-Zirme
Jelena Meyer MBA.
Manuel Schenk
Reza Mielcarek
Teresa Jessel
Karla Freudenberger MBA.
Hans-Hinrich Stiffel
Reza Kusch
Hartwig Zirme
Vitali Neureuther
Dipl.-Ing. Wilfriede Bruder
Kläre Mohaupt-Salz
Sibilla Mitschke-Losekann
Ing. Bernard Schleich B.Sc.
Jaroslaw Pieper MBA.
Jacqueline Hofmann
Wieslaw Freudenberger
Prof. Balthasar Hecker B.Eng.
Meta Eigenwillig
Frau Edda Hornig B.Eng.
Franka Mitschke B.Sc.
Halina Austermühle-Bender
Gabriella Rädel
Juan Briemer-Textor
Waltraut Gehringer
Ing. Maria Lübs
Romy Baum
Inna Hande
Ellen Hahn-Spieß
Hildegunde Stiebitz-Mude
René Hölzenbecher-Berger
Dr. Thekla Lindau B.Sc.
Anne Zorbach
Ehrenfried Drubin-Paffrath
Marek Mitschke B.Sc.
Herr Muzaffer Klotz B.Sc.
Thorben Rosenow
Jakob Seifert
Univ.Prof. Gundel Atzler B.Eng.
Dino Kusch-Hiller
Ing. Hermine Warmer B.A.
Bozena Carsten B.Sc.
Frau Hilda Schweitzer B.Eng.
Frau Theodora Hettner B.A.
Wiltrud Gröttner-Klapp
Edit Kitzmann
Ernestine Tröst
Lilly Beckmann B.Sc.
Tülay Fiebig
Frau Svenja Hövel B.Sc.
Ing. Marlene Wirth B.Sc.
Dr. Wolf-Rüdiger Trüb
Dipl.-Ing. Valeria Kühnert MBA.
Reiner Conradi
Gotthard Schuster
Melita Schleich
Janko Stey MBA.
Rotraut Ullrich
Prof. Almuth Dippel
Steven Trub
Carin Mohaupt-Heser
Herr Karl-Heinrich Eberth B.Sc.
Anneli Neuschäfer
Aenne Hübel-Mühle
Georgios Neuschäfer
Prof. Marika Junken B.Eng.
Dorothee Seidel
Niko Butte-Rosenow
Mariusz Hartung
Recep Weihmann
Alex Ziegert
Dr. Saban Hoffmann B.Eng.
Heinrich Dippel
Leonardo Rogge
Enrico Reising MBA.
Justina Zirme
Matthias Dowerg
Ann Mielcarek
Julia Hecker-Krebs
Othmar Hölzenbecher
Dogan Häring MBA.
Zita Klemt
Henriette Ladeck
Max Fiebig
Zeynep Keudel
Dr. Ingried Sorgatz B.A.
Notburga Pölitz
Lieschen Kusch-Pechel
Ing. Leonore Haering MBA.
Maya Lindner-Zimmer
Theo Neuschäfer
Herr Dimitri Mohaupt B.A.
Stefanie Hertrampf MBA.
Nikola Riehl
Teresa Schomber B.A.
Prof. Nikolai Gunpf
Daniele Heintze B.Eng.
Trudi Keudel B.A.
Dipl.-Ing. Nikolaus Conradi MBA.
Ing. Meik Eberhardt B.A.
Erhardt Heidrich
Irmtraut Noack
Ing. Pamela Gerlach
Frau Danielle Junk
Stephen Bruder
Mathias Matthäi
Dr. Egbert Kraus
Henri Finke-Lehmann
Gülten Röhrdanz
Traudl Christoph
Dipl.-Ing. Ante Rust
Dr. Samuel Dobes B.Sc.
Michaela Hecker B.Eng.
Elisabeth Wieloch-Boucsein
Zdenka Heser
Erol Eimer
Nadeshda Mentzel
Daniele Pieper-Käster
Arno Lindner
Prof. Sandra Klapp
Helma Schaaf B.A.
Babett Adler
Heinz-Joachim Trüb B.Sc.
Univ.Prof. Guido Carsten MBA.
Dominik Spieß
Domenico Reichmann
Ida Weihmann
Prof. Magnus Dörr B.Eng.
Loni Trubin
Marek Adler
Heinz-Wilhelm Steuer-Mende
Gönül Barth-Zobel
Herta Hendriks
Ulrike Misicher MBA.
Paolo Meister
Birte Gröttner MBA.
Reinhard Zänker
Falk Sorgatz-Ortmann
Julia Pärtzelt
Micha Schottin
Juan Klapp B.Eng.
Dipl.-Ing. Corina Fischer
Dr. Denise Girschner B.Sc.
Dina Koch
Ernest Müller
Moritz Holzapfel
Kaspar Hänel
Ilja Wende
Eckart Cichorius
Frau Käthi Hamann B.Eng.
Dipl.-Ing. Slawomir Ebert MBA.
Hansjoachim Salz-Junk
Mariola Heinrich
Peter Sontag
Abram Scholz B.Sc.
Univ.Prof. Anatoli Ritter
Ing. Hansgeorg Jockel B.Eng.
Madeleine Hermann B.Sc.
Univ.Prof. Trudel Gierschner MBA.
Berndt Barkholz
Geraldine Reising MBA.
Eva-Maria Mies MBA.
Hans-Adolf Junken
Ing. Alma Rudolph B.Sc.
Ing. Rolf Gertz
Käthi Lübs
Univ.Prof. Ricardo Sorgatz B.A.
Hülya Conradi
Gina Stolze
Univ.Prof. Pius Kühnert
Wolf-Dieter Eigenwillig
Henry Hofmann B.Eng.
Alina Spieß
Fanny Bolnbach B.Sc.
Prof. Johannes Holzapfel MBA.
Dipl.-Ing. Daniele Geißler
Vitali Walter-Krein
Justina Neureuther
Veronique Eimer
Thomas Hentschel
Maurizio Tschentscher
Nikola Kitzmann
Geert Schuchhardt
Tony Hecker
Kenneth Kramer
Victor Häring
Gusti Vollbrecht
Lukas Gierschner
Hans Josef Lachmann
Liane Fechner
Frau Francesca Blümel
Harri Mans
Kunibert Heß MBA.
Wenzel Wilmsen
Burkhard Fröhlich-Dussen van
Margitta Hethur MBA.
Univ.Prof. Gino Wagner B.Sc.
Janette Kallert
Gerhild Löffler
Dr. Gerard Dörr
Renate Bärer
Cilli Heintze
Lili Kaul
Timo Butte
Elena Linke-Wohlgemut
Joseph Austermühle
Ursel Eckbauer
Gunhild Stroh-Jacob
Regina Wende
Marica Martin
Hedy Loos
Hanne-Lore Losekann B.Sc.
Helge Finke-Wähner
Irmi Döhn
Dr. Aldo Fritsch
Dipl.-Ing. Hanns Nette
Prof. Tina Nohlmans MBA.
Leopoldine Butte
Enrico Kobelt-Klemt
Melissa Dietz
Heinz-Günter Hesse
Wolfhard Vogt
Jacek Klemt
Matteo Krein-Müller
Dragica Rosenow
Carina Hövel
Dr. Edda Hecker B.Eng.
Ing. Marga Lehmann MBA.
Dr. Lieselotte Blümel B.A.
Nadeschda Barkholz
Burghard Hamann-Dippel
Heinz-Willi Geisel
Georgine Segebahn
Anne-Rose Krause
Dipl.-Ing. Walfried Rosemann B.Eng.
Carola Köhler MBA.
Dr. Dora Fischer
Ing. Hans-Wolfgang Weitzel B.Sc.
Magdalena Gude
Emine Lübs
Luciano Aumann
Dipl.-Ing. Jens-Uwe Dobes
Stilla Hornig B.A.
Birgitta Schleich
Filippo Kostolzin
Bastian Röhrdanz
Jonas Boucsein
Prof. Roy Blümel
Dina Johann
Univ.Prof. Ismet Bloch B.Eng.
Arnulf Süßebier
Mira Sontag
Herr Klaus Peter Krause B.A.
Adrian Fiebig-Dörschner
Dipl.-Ing. Engin Jähn B.A.
Mona Wiek B.Eng.
Fredo Kühnert-Köhler
Marica Walter
Lilly Seifert
Vera Heydrich
Friedericke Ruppersberger
Frau Constanze Heidrich B.Sc.
Anna-Marie Ullrich
Dr. Anastasia Gude
Siegrid Misicher
Elisabeth Käster
Frau Ayten Pärtzelt MBA.
Marit Mühle
Horst-Dieter Bähr
Sandy Zimmer
Dipl.-Ing. Klaus-D. Kostolzin
Karla Wirth
Univ.Prof. Charlotte Lindner MBA.
Bruno Hethur
Svenja Langern
Meral Eberhardt B.A.
Waltraud Wernecke
Tina Henschel
Kata Atzler
Valeria Conradi
Ing. Alexandros Vogt MBA.
Claire Faust B.A.
Nadin Hertrampf-Killer
Ing. Friedhelm Löchel B.Eng.
Heinz-Otto Wende
Ulrike Albers
Hendrik Bolzmann-Henschel
Goran Junck-Bauer
Milos Pärtzelt B.Sc.
Annelie Heuser
Hildburg Dowerg-Pergande
Univ.Prof. Petra Scheel
Fatma Seidel B.A.
Kai-Uwe Oderwald
Gerda Mans
Herr Frank Bolnbach
Liesbeth Koch II
Monja Siering
Saban Hendriks
Valentin Gute
Sylke Ehlert
Ljudmila Krebs
Aloys Ruppert
Karl-Hermann Rädel-Müller
Dipl.-Ing. Manuel Kade
Hans-Georg Scholz
Gordana Bolnbach
Cilli Gorlitz
Univ.Prof. Andrea Gieß B.Eng.
Maurizio Eckbauer
Milena Weitzel-Steinberg
Gotthilf Bohnbach-Seip
Univ.Prof. Ingelore Schulz MBA.
Marcel Schlosser
Aynur Bohlander
Herr Jörgen Kruschwitz
Maurice Möchlichen
Philomena Salz
Gerti Ullrich
Nadja Geisler
Univ.Prof. Lucia Zobel
Jörn Trupp MBA.
Felix Wilms
Gunhild Gorlitz-Heinrich
Univ.Prof. Arno Kramer B.Eng.
Prof. Kunigunda Pergande MBA.
Luzia Eckbauer
Christina Geisel-Hesse
Univ.Prof. Agathe Steinberg MBA.
Bela Köster
Hertha Gieß
Bernd Binner-Hornich
Heide-Marie Heß B.A.
Brunhild Müller
Heinz-Günter Schuster
Dipl.-Ing. Ilse Heß B.Sc.
Hildegunde Geißler-Klemm
Janus Oderwald-auch Schlauchin
Hartwig Sorgatz B.Eng.
Ludmila Löffler
Arnulf Zimmer-Seifert
Malte Bohlander
Dipl.-Ing. Rudi Wiek B.Eng.
Paulo Trommler
Prof. Juliane Henck MBA.
Univ.Prof. Claus-Dieter Dippel B.Eng.
Ing. Alla Schottin B.A.
Friedemann Kostolzin
Univ.Prof. Cynthia Löwer
Univ.Prof. Michail Tintzmann B.Eng.
Emmerich Killer
Gereon Trapp
Carl Scheibe
Dr. Evangelia Killer B.Sc.
Ingried Ullrich
Univ.Prof. Katharina Werner MBA.
Aldo Kusch-Klemm
Adrian Trupp
Brita Klemm
Dagobert Bohnbach
Ricarda Steuer
Pius Gierschner-Weitzel
Marcella Sölzer
Univ.Prof. Suzanne Paffrath
Benita Schleich
Frau Hildegund Vogt B.A.
Ing. Helmuth Bachmann B.Sc.
Pamela Mies B.Eng.
Dr. Hans-Peter Adolph MBA.
Brigitte Knappe
Arzu Stiffel-Drubin
Herr Swen Kraushaar B.A.
Alwine Bien
Willibald Holsten
Dipl.-Ing. Helmut Hauffer
Nadia Steckel
Mandy Rädel
Marko Renner
Univ.Prof. Amelie Gröttner B.Eng.
Julia Conradi-Mentzel
Anatol Adler
Burckhard Heuser
Annett Anders MBA.
Ingried Hänel
Magarete Schomber
Herr Tom Täsche
Gunter Schenk B.Sc.
Univ.Prof. Czeslaw Tröst
Wladimir Rogge
Torben Roskoth-Wilmsen
Friedo Lorch
Walther Hofmann
Annaliese Hettner B.A.
Hakan Kitzmann-Scholl
Annie Hänel
Dipl.-Ing. Lilly Junken MBA.
Thoralf Geisel
Vinko Reuter
Univ.Prof. Axel Dörschner B.Sc.
Univ.Prof. Anika Pärtzelt MBA.
Ingelore Kobelt MBA.
Hans-Gerd Holt
Adelinde Gumprich MBA.
Univ.Prof. Aysel Lindau
Dorle Schmidtke MBA.
Ayse Scheuermann-Sölzer
Zoran Oestrovsky
Lena Wende
Auguste Gunpf
Univ.Prof. Jürgen Weiß
Anatolij Trub
Annelies Seifert
Sinaida Heinz-Gnatz
Gisela Schwital-Scheel
Frau Ivanka Killer MBA.
Hans-Jürgen Barth
Slobodan Seip
Attila Atzler
Hans-Hinrich Bohlander
Hertha Stoll
Knud Trommler
Konstanze Mohaupt
Klaus-Dieter Hecker
Ing. Petar Hänel MBA.
Univ.Prof. Nadeschda Staude
Annaliese Heser B.Sc.
Rosina Ortmann
Miroslawa Rose
Univ.Prof. Isabel Ladeck
Linus Schuchhardt
Gudula Holzapfel
Anne-Marie Sontag
Wolf-Dieter Schmiedt
Ing. Klothilde Hörle B.A.
Marie-Luise Zorbach MBA.
Susan Riehl B.Sc.
Sara Rogge
Ing. Leander Weimer B.Eng.
Dipl.-Ing. Roland Bien B.Sc.
Katharina Krause-Hornig
Dr. Hildegund Gnatz B.Eng.
Dittmar Graf
Xenia Christoph
Cecilia Scholz-Barth
Ortrun Pohl B.Eng.
Dr. Michel Pruschke B.Eng.
Leon Linke
Klaus-Ulrich Blümel B.A.
Marlen Jacobi Jäckel B.Eng.
Hugo Keudel B.A.
Rosalinde Losekann
Emilie Schmiedecke
Marika Sager
Prof. Horst Mälzer B.Sc.
Prof. Arif Mielcarek B.Eng.
Prof. Gertraude Mangold B.Eng.
Inka Meyer
Nelli Stiebitz
Dajana Trapp-Kreusel
Ing. Gottfried Hoffmann
Timm Freudenberger-Henschel
Dr. Gero Röhricht B.Eng.
Dr. Zenta Holsten
Hans-Bernd Trupp
Karl-Peter Hofmann B.A.
Valeria Finke
Nico Ehlert-Ackermann
Kreszentia Jockel
Dipl.-Ing. Annelise Naser
Ing. Marko Linke
Olaf Juncken
Reimar Rädel
Eva-Maria Geisler
Henriette Pohl
Ronald Stiebitz
Gaetano Söding
Alice Nette
Univ.Prof. Halil Staude
Univ.Prof. Anika Jockel MBA.
Helmar Klapp
Mirco Girschner
Ruthild Juncken B.Sc.
Süleyman Baum
Jost Briemer
Marika Zänker B.A.
Reinhold Schäfer-Eimer
Dagmar Koch
Heinz-Georg Rosemann-Bohnbach
Dana Schäfer
Univ.Prof. Dorit Pechel B.A.
Janin Höfig B.A.
Cord Mende B.Eng.
Leonore Jäkel
Balthasar Klemm
Julie Mentzel
Gertrude Kostolzin MBA.
Mechtild Niemeier
Stavros Vollbrecht-Geißler
Sigmund Mosemann
Hanno Hölzenbecher B.Sc.
Stavros Zirme
Filippo Patberg
Frau Raissa Radisch B.Eng.
Univ.Prof. Jeanette Girschner B.Sc.
Joana Preiß
Herr Otto Vollbrecht
Heinrich Ackermann
Grete Peukert
Frau Wenke Klemt
Hans-Henning Scheel
Massimo Ernst
Kornelia Kade
Marlen Schenk-Schuchhardt
Tino Niemeier
Gisa Hendriks
Dipl.-Ing. Oskar Vogt B.A.
Erhard Geisel
Carla Ruppersberger
Delia Rust
Univ.Prof. Immo Mangold
Änne Ring MBA.
Emma Trub-Scheuermann
Michaele Schacht
Hanne Gierschner
Karl-Peter Häring-Kruschwitz
Alla Weihmann
Karl-Josef Schottin-Hoffmann
Dr. Auguste Sager
Frida Süßebier
Prof. Ana Textor
Hans-Michael Krein-Wernecke
Prof. Ursula Eigenwillig
Sibylla Pohl
Mariele Peukert
Ellen auch Schlauchin
Emin van der Dussen
Veronique Oestrovsky
Sofie Schmiedecke
Frau Clarissa Rosenow B.A.
Kornelius Sontag
Irmela Höfig B.Sc.
Kay-Uwe Finke
Kristian Anders B.Sc.
Telse Rudolph
Torben Schweitzer
Oxana Ortmann MBA.
Kai-Uwe Hartung
Augustin Lachmann
Anny Dietz
Ryszard Lorch
Harm Nette
Elli Kuhl B.Eng.
Steffen Schlosser
Hedda Schönland
Dr. Baldur Johann B.Eng.
Adalbert Ullmann
Anna-Lena Röhrdanz B.Sc.
Frau Antonina Kitzmann
Dr. Ursel Gute
Ing. Jürgen Jopich B.A.
Dr. Elvira Cichorius B.A.
Ing. Erwin Kobelt B.A.
Alan Stadelmann-Lindner
Jochen Naser
Cosimo Bender
Bertha Rose
Liliana Gehringer
Marleen Austermühle-Tintzmann
Veit Etzler
Hanni Dippel-Heser
Hans Kraus
Alma Flantz MBA.
Univ.Prof. Ayten Lorch
Univ.Prof. Erhard Heuser MBA.
Miroslawa Jäkel-Bohnbach
Dipl.-Ing. Augusta Lachmann B.A.
Ada Ullmann-Hermann
Ing. Hanne-Lore Ackermann
Dipl.-Ing. Serge Nerger
Andrej van der Dussen B.A.
Oliver Bien
Ulla Hamann
Ron Sorgatz-Eimer
Roswita Döhn
Salvatore Ruppersberger
Siegrid Paffrath
Siegmar Kramer
Igor Dörschner
Gabi Gertz
Fatima Röhrdanz
Lieschen Rörricht
Hans-Detlef Kobelt
Dr. Sigfried Seip B.Eng.
Ing. Marten Hering
Catherine Huhn
Wiltrud Ladeck MBA.
Nancy Hartmann-Schottin
Dr. Peer Schwital MBA.
Ignatz Franke
Brian Lehmann B.Eng.
Helen Tschentscher
Nikolai Haase B.Sc.
Karl-Hans Fiebig
Henni Ullmann MBA.
Nora Klapp-Finke
Rosa Kobelt
Elvira Mälzer
Dr. Marija Stiebitz
Prof. Gaetano Weiß
Alena Steuer
Julian Lehmann-Ortmann
Maxim Roht
Kilian Patberg
Rotraud Fiebig
Ditmar Bien
Nicolai Gutknecht
Hellmut Hein-Gnatz
Viviane Girschner
David Losekann
Prof. Jelena Naser
Marlen Hesse
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Herr Osman Gerlach B.Sc.
Univ.Prof. Nadeshda Oestrovsky
Irmtrud Schaaf-Jacobi Jäckel
Fritz Schenk B.A.
Clara Rust
Antonina Neureuther
Corina Pergande
Tilman Hövel
Valerij Weller-Barkholz
Jens Drubin
Hans-Detlef Schleich
Jasmina Rädel
Univ.Prof. Veli Etzler
Ing. Jaqueline Wende B.A.
Gerwin Rust MBA.
Hans Josef Striebitz
Hertha Butte B.Eng.
Karolin Mitschke
Emma Hornich-Kraushaar
Julie Mosemann
Ing. Felicia Dörschner B.Sc.
Frau Britt Heß
Antonius Stoll-Krebs
Frank-Peter Bien
Nadine Sauer
Nermin Kranz-Austermühle
Suse Hornich
Kira Hartmann B.Sc.
James Kostolzin-Staude
Wigbert Ortmann
Stephen Trommler
Gitte Briemer
Tibor Köhler-Schönland
Prof. Cäcilie Staude B.A.
Hans-Ulrich Liebelt-Hauffer
Hans-Willi Ladeck
Stjepan Hofmann-Hethur
Prof. Monique Budig B.Eng.
Vlado Lindner
Frau Alexandra Beckmann B.A.
Stanislav Hoffmann
Roger Wagenknecht
Univ.Prof. Heinz-Dieter Schuster
Mirko Ehlert
Ilija Höfig
Frau Lilli Möchlichen MBA.
Rebekka Lindau MBA.
Wilfried Söding
Zeljko Baum
Irmhild Lorch
Univ.Prof. Fatima Faust B.A.
Hanspeter Juncken
Ing. Pawel Rörricht
Stefania Möchlichen
Franz Ortmann B.Eng.
Otmar Gierschner
Univ.Prof. Woldemar Walter
Irene Gotthard-Hoffmann
Karl Heinz Eigenwillig
Dipl.-Ing. Jose Löchel
Univ.Prof. Francesco Schulz B.Eng.
Ing. Emmy Beer
Dipl.-Ing. Gunnar Rohleder B.Sc.
Ing. Maike Hölzenbecher B.A.
Univ.Prof. Niklas Mohaupt MBA.
Ricarda Fröhlich B.A.
Erica Renner-Trapp
Dipl.-Ing. Alla Karge
Gabi Klapp
Heinz-Georg Hornich
Dorothe Adler-Trubin
Anatolij Kroker B.Eng.
Aleksej Fröhlich
Marietta Heinrich
Dagmar Schäfer
Frau Evamaria Geißler
Tomislav Schüler
Dominik Huhn
Herr Mahmoud Schleich B.Sc.
Imke Gieß B.Sc.
Saskia Roskoth B.Eng.
Wibke Reuter
Ing. Ahmet Häring
Inga Eberhardt
Abram Peukert MBA.
Ing. Maren Schenk
Univ.Prof. Hans-Peter Schmidt MBA.
Silke Scheuermann B.Sc.
Anatolij Steinberg
Univ.Prof. Rosl Pölitz
Julia Mosemann
Saskia Wagenknecht
Nurten Henschel-Stroh
Aleksandra Stey MBA.
Christiana Bauer
Janett Zorbach
Ing. Dagmar Bohnbach B.Eng.
Gereon Textor
Dr. Abdullah Becker
Adele Stroh
Songül Tschentscher
Marcel Hermighausen
Univ.Prof. Dorle Röhrdanz B.A.
Balthasar Müller-Drub
Dipl.-Ing. Apollonia Steuer
Agatha Sager-Geisler
Bertram Caspar
Engin Johann-Weihmann
Käthi Naser-Tlustek
Margarete Mohaupt B.Sc.
Sandy Haering
Monika Haering
Vassilios Davids
Elena Ditschlerin
Zofia Gumprich
Valeska Blümel B.A.
Univ.Prof. Heidelinde Jopich B.Sc.
Alina Finke
Teresa Möchlichen
Hans-Christian Finke
Lilli Atzler
Horst-Peter Löchel
Romuald Hartmann
Nurettin Dippel
Dipl.-Ing. Friedrich Hiller B.Eng.
Walter Weller
Meta Wagenknecht
Janine Hendriks B.A.
Maximilian Juncken
Martha Wilmsen
Jurij Eimer
Zita Ullmann-Heydrich
Jessika Schacht
Prof. Bela Noack
