Student
Frau Xenia Blümel
Wojciech Girschner B.A.
Univ.Prof. Kläre Oderwald B.Sc.
Luciano Biggen
Alfred Weinhage-Stiffel
Caroline Harloff
Stephen Lübs
Dipl.-Ing. Ante Rust
Herr Ronny Tröst B.Sc.
Ottomar Kraus
Janette Kraushaar
Ing. Hermine Warmer B.A.
Univ.Prof. Hiltrud Löwer
Harm Nette
Hedi Bärer
Lotte Kusch
Krista Hofmann
Bärbel auch Schlauchin
Woldemar Jacob B.A.
Hans-Hinrich Linke
Cosimo Girschner
Marcel Hermighausen
Dipl.-Ing. Giorgio Drubin B.Eng.
Hedda Schönland
Marliese Roht
Herr Bastian Hübel B.A.
Sevim Schmiedt-Döhn
Univ.Prof. Fatima Hiller B.A.
Agathe Trommler
Dipl.-Ing. Gerold Kusch B.Eng.
Heiner Ruppersberger-Hentschel
Herr Bartholomäus Adolph MBA.
Univ.Prof. Regina Salz B.Eng.
Alice Hesse
Ahmet Eckbauer-Sölzer
Frithjof van der Dussen
Carl Scheibe
Ole Schmidtke
Augustin Jopich
Dipl.-Ing. Kevin Stadelmann
Marten Möchlichen
Dipl.-Ing. Maik Mende B.Sc.
Univ.Prof. Halil Staude
Antonino Rogge-Meyer
Wiltrud Ladeck MBA.
Eugenia Riehl
Frau Mechtild Fliegner
Ilias Wagner
Ing. Leszek Gutknecht B.Sc.
Ditmar Adolph
Frau Theodora Hettner B.A.
Horst-Dieter Gude
Dr. Reimar Fiebig B.A.
Susanna Söding
Ing. Christiana Seip
Amanda Stadelmann-Mende
Evangelos Ring-Schmiedecke
Nils Stey
Bayram Lübs B.Eng.
Elise Hentschel
Dipl.-Ing. Sylke Gute B.A.
Dipl.-Ing. Richard Gröttner B.A.
Theodor Bolnbach-Kroker
Berthold Austermühle MBA.
Rainer Henk-Gotthard
Wolfhard Rosemann B.Eng.
Beatrix Möchlichen
Nikolas Siering
Edeltrud Koch
Ilja Krause
Dr. Denise Girschner B.Sc.
Ehrhard Förster
Reiner Conradi
Prof. John Jessel
Balthasar Müller-Drub
Monica Blümel
Krista Putz
Kathleen Hahn B.A.
Herr Steven Eberhardt
Dipl.-Ing. Sibylle Kensy
Oxana Ortmann MBA.
Univ.Prof. Tina Rose
Niklas Schleich
Wilhelm Klemm B.A.
Francesco Drub
Anka Gieß
Dr. Edda Hecker B.Eng.
Emma Hornich-Kraushaar
Dan Scheuermann
Prof. Natalja Mies MBA.
Eduard Ruppersberger
Univ.Prof. Henry Wohlgemut B.Eng.
Heinz-Günther Mosemann
Annie Langern
Prof. Ivonne Boucsein B.Eng.
Herma Geisler-Beckmann
Stanislav Hoffmann
Ljudmila Krebs
Gabriel Süßebier-Eigenwillig
Herr Mahmoud Schleich B.Sc.
Prof. Sibel Wohlgemut B.Sc.
Nadin Hertrampf-Killer
Bayram Gertz-Hendriks
Prof. Juan Hamann
Carola Kusch
Anette Bien
Kordula Kambs B.Eng.
Heinz-Walter Juncken
Ing. Vesna Kroker B.Eng.
Univ.Prof. Catharina Neureuther B.Sc.
Dipl.-Ing. Helmut Hauffer
Prof. Almuth Dippel
Calogero Wagner
Wulf Kusch
Inge Dehmel
Gotthilf Gertz
Herr Hanno Hesse
Zbigniew Hahn MBA.
Ludmila Karge B.A.
Luzia Eckbauer
Irmtrud Röhrdanz
Prof. Susanne Rose
Bastian Röhrdanz
Claire Holt
Uwe Dussen van
Helma Schaaf B.A.
Concetta Neureuther
Frau Evelyne Süßebier B.Eng.
Prof. Karl-Hermann Pieper B.Eng.
Kornelius Fröhlich B.Sc.
Wiebke Caspar B.A.
Milan Weiß-Schuchhardt
Maike Bolnbach
Guenter Kohl-Nette
Käthe Langern-Jacob
Theodor Mangold
Hedwig Briemer
Corinne Berger
Anni Kraus
Wencke Heinrich
Wilfriede Ziegert
Meryem Sager
Klothilde Zänker
Gönül Kallert
Albin Budig
Hans-Henning Heydrich MBA.
Dipl.-Ing. Harm Ruppert MBA.
Annelore auch Schlauchin-Lorch
Falko Schüler
Hans Dieter Fiebig B.Eng.
Herr Rigo Krebs B.Eng.
Prof. Bianka Schacht
Prof. Kordula Vollbrecht B.A.
Serge Kraus B.Eng.
Dipl.-Ing. Theda Weinhold B.Eng.
Ing. Nelli Hornig
Sibilla Eimer
Dorit Köster
Salih Köster
Annett Dehmel MBA.
Prof. Jan-Peter Schmidt
Christoph Löchel B.Sc.
Gotthold Krause
Tadeusz Hentschel
Regina Ring
Carmine Hauffer
Ing. Heinz Ehlert
Wulf Fiebig B.A.
Ilja Hartung
Tülay Trapp
Joana Zimmer B.A.
Notburga Huhn
Melita Hein
Reza Kusch
Carl Mühle-Wulf
Bernard Losekann
Ing. Anneli Nerger
Jasmina Rudolph
Prof. Gertrude Renner B.A.
Augusta Flantz
Irmtrud Bolzmann
Thekla Schäfer
Cläre Mohaupt
Ing. Dorothe Junken
Irmtraut Süßebier
Dipl.-Ing. Charles Täsche
Pia Fliegner
Dr. Edelgard Sauer B.Sc.
Ing. Augustin Budig B.Eng.
Manuel Hering-Jäntsch
Univ.Prof. Margrit Davids B.Eng.
Editha Jacob
Burghard Wohlgemut
Hans-Günther Kohl B.Eng.
Hans-H. Pergande
Senta Wernecke B.Sc.
Prof. Jonas Scholtz
Emmi Adolph
Cora Stumpf-Gunpf
Dipl.-Ing. Hans-Karl Dussen van B.A.
Roderich Weitzel
Michaele Neureuther
Univ.Prof. Roman Misicher
Gunhild Ullmann
Prof. Norbert Wilms B.A.
Univ.Prof. Erna Köhler B.A.
Heimo Knappe
Prof. Olga Steckel B.A.
Ladislaus Stadelmann
Univ.Prof. Aloisia Fröhlich B.A.
Urban Pieper
Ingetraud Fiebig
Antonius Stoll-Krebs
Ing. Petar Wilmsen
Univ.Prof. Dana Seifert
Gülten Röhrdanz
Ludwig Reinhardt
Änne Wagner
Marion Weinhold-Pechel
Daniele Finke
Stefano Koch B.Eng.
Univ.Prof. Ortwin Geisler MBA.
Frau Trudi Wähner B.A.
Käte Ditschlerin-Roht
Manuel Stolze MBA.
Lucia Kohl
Lissi Rust-Metz
Bruno Hesse
Timm Freudenberger-Henschel
Theodor Niemeier
Yusuf Steinberg B.A.
Viola Oderwald B.A.
Ing. Alexander Mude
Monika Krein B.Eng.
Ing. Meik Eberhardt B.A.
Birger Becker
Magdalena Tintzmann B.Sc.
Marcella Holzapfel
Wenzel Ebert
Peer Hölzenbecher
Prof. Achim Rose
Tadeusz Weller
Prof. Liane Jungfer
Kazim Hörle
Andrei Hertrampf-Trommler
Inna Weinhage
Harm Hein
Prof. Ferdinand Gertz B.Sc.
Mandy Rädel
Annelie Schomber
Tino Wagenknecht B.Eng.
Rahel Heidrich-Jüttner
Brigitte Knappe
Hanspeter Juncken
Univ.Prof. Dorina Lange
Gabriella Schuster
Elmar Förster
Natali Löffler
Bertold Stadelmann
Ing. Maren Schenk
Lili Heydrich-Beyer
Lutz Röhricht B.A.
Antje Kambs
Elfie Otto
Ana Heinz B.A.
Frau Korinna Kranz
Alessandro Krause
Prof. Jelena Naser
Regina Hamann B.Sc.
Jo Dussen van
Heide-Marie Zirme
Andree Wilmsen B.Eng.
Thea Bauer
George Weimer
Alexei Meister
Prof. Klaus-Ulrich Boucsein MBA.
Claus Heser B.Sc.
Reinhardt Pärtzelt
Darius Kallert
Heimo Hübel MBA.
Dierk Beier
Heidrun Stiebitz
Konstantin Knappe
Heidemarie Junitz
Josef Berger
Arndt Bachmann B.Eng.
Alexej Wagner
Dipl.-Ing. Berend Niemeier
Emilia Wagenknecht-Riehl
Ingrid Rudolph
Peter Rohleder
Annelie Heuser
Hans-Henning Scheel
Prof. Anka Schulz
Annamaria Margraf
Francis Rohleder
Prof. Danny Bähr B.Eng.
Annett Ullrich
Reingard Cichorius
Hans-H. Naser
Ladislaus Killer
Geert Rudolph
Faruk Schomber
Dipl.-Ing. Gerdi Wende
Reimar Jacob-Loos
Elizabeth Schlosser B.A.
Boris Bachmann
Irina Mielcarek
Bernt Huhn
Frau Ariane Weinhage MBA.
Dr. Walburga Kobelt B.Eng.
Prof. Mathias Kambs
Veronika Gröttner
Ing. Gundolf Steinberg B.Sc.
Dipl.-Ing. Nathalie Bender
Dipl.-Ing. Jaqueline Striebitz
Franz-Peter Benthin-Reichmann
Univ.Prof. Natalie Flantz
Karl-Dieter Speer
Hans-Erich Staude
Prof. Woldemar Beier B.A.
Ing. Justus Binner
Univ.Prof. Milka Bähr
Dr. Annita Kallert
Jasmina Heuser
Herr Hans Peter Jacob
Iris Ullrich
Herr Siegmar Geisler
Dipl.-Ing. Sigrid Hahn
Hans-Gerd Preiß
Dr. Damian Scheel
Heinz-Willi Holt
Raymond Römer
Gislinde Junken
Univ.Prof. Heidelinde Jopich B.Sc.
Oxana Stumpf
Danilo Ladeck-Köhler
Dipl.-Ing. Rolf Tröst B.Sc.
Tilman Eberhardt
Ludmila Löffler
Rolf-Dieter Flantz B.Eng.
Prof. Mathilde Segebahn MBA.
Desiree Köster
Dr. Markus Roskoth B.Sc.
Brigitta Eimer
René Hölzenbecher-Berger
Ernst-August Oestrovsky-Kreusel
Ilias Freudenberger
Herr Franz Geisler B.A.
Kunigunda Hänel-Briemer
Danuta Löwer
Klaus-Dieter Wende
Konstantinos Stolze-Biggen
Dr. Rosmarie Seip
Klara Schlosser
Frank-Peter Weimer
Brunhilde Tröst
Herr Vinzenz Jäntsch B.A.
Heinz-Dieter Gute
Hanna Knappe
Philip Heß MBA.
Gülten Henschel
Ing. Romuald Roht B.Sc.
Dipl.-Ing. Walburga Steckel
Wladimir Rogge
Ismail Geisler
Marion Weihmann
Anja Wagner-Hermann
Marco Kostolzin-Bruder
Ernest auch Schlauchin
Prof. Tadeusz Mosemann B.Sc.
Mona Söding
Dragica Rosenow
Justus Lorch
Nadine Schleich
Ingo Löffler
Natalie Neureuther
Ryszard Lorch
Herr Evangelos Schacht
Larissa Ullmann
Dr. Samuel Tröst
Kristiane Hermann
Annaliese Klingelhöfer
Dora Jockel
Dipl.-Ing. Hans-Peter Hertrampf
Ing. Ronny Metz B.A.
Dr. Hedda Radisch
Dr. Muzaffer Sauer B.Eng.
Dipl.-Ing. Marisa Scholl
Traudl Christoph
Danilo Losekann
Marieluise Kruschwitz
Vera Heydrich
Winfried Hermann
Ingried Ullrich
Ing. Gabriella Bähr
Dipl.-Ing. Rouven Kallert MBA.
Kristin Kaul B.Sc.
Prof. Wolfgang Mohaupt
Gülten Ruppersberger-Wende
Yusuf Sontag
Fernando Reising
Willfried Kostolzin
Stefano Huhn
Ingetraud Caspar
Annelene Steinberg
Dr. Zeljko Pruschke
Rosa-Maria Steckel
Artur Schaaf
Reimar Müller
Thorsten Bolzmann-Hesse
Dina Schmiedt MBA.
Tamara Bender MBA.
Delia Hande-Koch
Dr. Hans Dieter Mude
Dipl.-Ing. Alan Schacht B.Eng.
Ing. Wolf-Rüdiger Dietz B.Sc.
Aysel Löchel
Gabriel Werner
Carlo Pohl
Sina Spieß
Erwin Jopich
Marianne Heser
Ernest Tlustek
Inga Ruppersberger
Janine Dehmel B.Eng.
Constantin Kostolzin
Hans-Bernd Knappe-Gröttner
Eva-Marie Berger MBA.
Ing. Antonius Jacobi Jäckel MBA.
Ing. Georg Lübs
Dr. Friedhilde Adler MBA.
Univ.Prof. Gottfried Süßebier
Anastasios Karge
Vassilios Davids
Brunhilde Koch II
Valeska Geisler B.Eng.
Frau Friederike Albers
Herr Janus Matthäi B.Sc.
Hansjürgen Faust
Wolf-Dietrich Gotthard-Dussen van
Margot Ullmann
Frank-Peter Bien
Nadia Thanel
Annekatrin Neureuther
Antje Etzold
Ahmed Freudenberger B.Sc.
Anton Drubin
Frau Bianka Henk B.Sc.
Manuel Wagenknecht
Ing. Torben Hande MBA.
Theodoros Grein Groth
Ing. Siegmund Hertrampf MBA.
Dipl.-Ing. Sandro Bärer B.A.
Monika Haering
Hagen Weimer
Hajo Ziegert-Noack
Susann Henk
Prof. Marie-Theres Löffler B.Sc.
Herta Weitzel
Herr Torsten Hermighausen B.Sc.
Herr Salih Blümel
Dorle Henck-Sorgatz
Prof. Karl-Heinz Ruppersberger
Dipl.-Ing. Emmy Börner
George Käster-Eberth
Prof. Robert Heintze
Tülay Fiebig
Marie-Louise Hendriks-Dörschner
Anthony Oderwald
Kriemhild Gude
Astrid Dehmel
Kira Hartmann B.Sc.
Margareta Klingelhöfer
Gülsen Benthin
Herr Anthony Caspar
Herr Darko Gutknecht MBA.
Gertraud Mentzel
Eleonora Gehringer
Anett Wieloch
Eberhard Rust B.A.
Niko Bähr B.Sc.
James Kostolzin-Haase
Eckehard Nette
Wiltrud Gröttner-Klapp
Kristin Niemeier
Herr Simon Fliegner MBA.
Richard Drub
Univ.Prof. Rafael Pruschke B.A.
Emma Blümel
Kurt Thanel
Bernadette Sorgatz
Cynthia Langern
Jelena Löffler
Wilfried Söding
Alois Jungfer B.Eng.
Marina Radisch
Univ.Prof. Karl-Otto Dowerg MBA.
Herr Ruben Schüler B.Eng.
Olga Krein
Danilo Hande MBA.
Univ.Prof. Philomena Kensy
Notburga Weller MBA.
Henrik Heidrich
Univ.Prof. Ilja Hentschel MBA.
Marie Hoffmann B.Sc.
Dipl.-Ing. Enver Drubin
Babett Pruschke-Schäfer
Ljiljana Roht
Bruno Henschel
Viola Ackermann
Ing. Gislinde Ernst B.A.
Klaus-Michael Fiebig
Ahmed Lange MBA.
Dorota Mude
Herr Burkhardt Bauer B.Eng.
Lilly Naser
Conny Geißler-Karge
Wojciech Losekann-Seidel
James Ebert
Gerhild Stiffel
Pavel Pärtzelt B.Sc.
Hertha Gutknecht
Henni Wagenknecht B.Sc.
Kai-Uwe Köhler
Gerhart Schenk MBA.
Juergen Beier B.A.
Hildburg Tlustek
Ing. Canan Gutknecht B.A.
Dipl.-Ing. Bertram Gieß MBA.
Birgid Drewes-Seifert
Ilja Kitzmann B.A.
Dipl.-Ing. Viktor Scheibe MBA.
Antonina Neureuther
Miriam van der Dussen
Dr. Alma Warmer MBA.
Friederike Geisler
Univ.Prof. Olivia Gnatz MBA.
Prof. Natalja Käster MBA.
Nada Hänel
Zdenka Heser
Sina Mende
Elma Junken
Hermine Eberhardt
Mary Hofmann B.A.
Sören Liebelt
Prof. Annita Putz
Melitta Fliegner
Janin Höfig B.A.
Freddy Hande
Wieslaw Oestrovsky MBA.
Univ.Prof. Leszek Gieß B.Eng.
Dipl.-Ing. Marek Jockel
Dr. Gerda Butte MBA.
Antonina Pärtzelt-Gerlach
Eleni Mühle MBA.
Celal Seifert
Maximilian Heß
Lili Döhn-Margraf
Timm Oderwald
Erol Jäntsch
Freddy Nette-Hendriks
Annelore Bolander
Adele Stroh
Christos Beier
Herr Rolf-Peter Renner MBA.
Elke Haase
Herr Rupert Jüttner MBA.
Zita Holt
Ingeburg Radisch-Steckel
Marita Berger B.A.
Melissa Stey
Dr. Rotraud Gorlitz
Jo Reising
Prof. Guenter Mosemann
Liane Hermann MBA.
Alexandros Ernst
Heinz-Willi Jockel
Karl-Otto Winkler B.Eng.
Juan Schweitzer
Hans-Michael Krein-Wernecke
Leopold Jungfer
Romana Wulff
Milos Wiek
Dr. Slawomir Hande
Gunar Börner
Christopher Gertz-Kade
Holger Gröttner B.Eng.
Ann-Kathrin Davids
Paola Kroker-Klotz
Frau Melita Scholz B.A.
Christl Wähner
Gordana Budig B.A.
Harold Bohlander B.Sc.
Dr. Antonia Schomber B.Sc.
Verena Gute-Trüb
Stilla Hornig B.A.
Wieslaw Freudenberger
Hans-Herbert Flantz
Ilija Eckbauer-Steinberg
Trude Ruppersberger
Ruth Wiek-Bloch
Elfi Kranz
Frau Katarina Lindner
Olav Gumprich-Täsche
Univ.Prof. Vadim Vollbrecht B.A.
Semra Gorlitz
Ibrahim Eberth
Dina Schmidtke
Josefa Lange
Willy Kallert
Ing. Wencke Speer
Miroslawa Haase
Univ.Prof. Franz-Josef Zänker
Dipl.-Ing. Utz Henschel MBA.
Dr. Diedrich Gerlach B.A.
Monja Weiß
Herr David Löchel B.A.
Robin Sölzer
Theresa Schüler
Annekatrin Wende
Univ.Prof. Birger Weihmann MBA.
Brian Hölzenbecher
Karen Hendriks
Mohammad Karz MBA.
Dorle Schmidtke MBA.
Susi Schuchhardt
Hans D. Haering
Dipl.-Ing. Hans-Günther Bien
Inka Trapp
Marten Wesack
Damian Hentschel
Isidor Atzler
Frau Annett Tlustek B.Eng.
Prof. Sahin Kreusel
Alicia Kroker
Liliana Gehringer
Tatiana Kade-Rust
Almut Rogge
Herr Ilhan Tröst B.A.
Klemens Knappe
Kevin Tlustek-Heinz
Lorenz Sauer
Alois Werner
Elisabeth Roskoth
Heiner Rörricht
Elfie Kreusel
Dr. Marie-Luise Klingelhöfer B.Eng.
Telse Steuer B.Eng.
Jennifer Trapp
Ing. Leni Rosenow B.Eng.
Carl Schmiedt
Valeska Blümel B.A.
Thies Pergande
Aziz Hornich
Thomas Weinhold B.Eng.
Oliver Schwital
Andrei Wulff
Carolin Etzler
Celal Hettner MBA.
Siegrun Reinhardt
Marek Walter MBA.
Hanns Ehlert MBA.
Reingard Klingelhöfer
Annie Hänel
Dörte Schlosser
Alena Holzapfel
Adem Mühle-Ruppert
Frau Monique Wesack B.Eng.
Elmar Fröhlich
Julia Ruppersberger
Anke Bähr
Emilia Seifert
Ing. Wladimir Karz MBA.
Anica Ortmann B.A.
Anica Kade-Steuer
Univ.Prof. Virginia Pechel
Irmtraud Ladeck
Dr. Annelies Stumpf
Jörgen Putz B.A.
Friedrich-Karl Zorbach
Gunhild Jessel
Annamaria Baum MBA.
Ing. Jens-Peter Tschentscher
Elisabet Schuster B.A.
Prof. Gaetano Weiß
Martha auch Schlauchin
Mareile Birnbaum
Dipl.-Ing. Mathias Metz B.A.
Univ.Prof. Mira Riehl
Kasimir Lindau
Dr. Patrizia Dörschner B.A.
Stephan Haase MBA.
Oliver Kohl
Dr. Anika auch Schlauchin B.Sc.
Dipl.-Ing. Annelise Naser
Irmtraut Fröhlich-Hertrampf
Ing. Gregor Lindau
Pius Jopich B.Eng.
Andrei Bolander-Jäkel
Aysel Bruder MBA.
Annelise Schwital
Ing. Hans-Joachim Ullrich
Asta Hesse
Ing. Danica Gieß MBA.
Joachim Rogge
Prof. Anica Haering B.A.
Herr Hans-Martin Heuser
Karl-Otto Kostolzin
Dipl.-Ing. Hanns Killer B.Sc.
Sebastian Warmer
Ilija Fischer
Prof. Hans-Peter Noack B.A.
Svetlana Bohlander B.Sc.
Sophie Scheibe
Elise Ackermann
Andy Jockel B.Eng.
Adelheid Schmidtke
Siglinde Zahn
Hedy Loos
Rena Radisch
Dr. Irmtraut Gnatz B.Eng.
Rosalinde Losekann
Ignatz Budig
Uwe Rosenow
Prof. Attila Werner B.A.
Abram Peukert MBA.
Univ.Prof. Jane Mans B.Eng.
Karl Heinz Kruschwitz-Reising
Micha Röhricht B.A.
Prof. Cora Bolander
Dr. Margarethe Ernst
Frank-Michael Köhler
Gotthard Christoph
Dogan Sauer
Ing. Anton Gotthard MBA.
Isidor Niemeier
Marta Eigenwillig-Hörle
Hansjörg Holsten
Hanne-Lore Losekann B.Sc.
Aloisia Faust
Hubert Hertrampf
Dipl.-Ing. Stefano Ditschlerin
Romy Baum
Dr. Jacqueline Trubin B.Sc.
Laura Beier
Dominik Naser B.A.
Dipl.-Ing. Svea Neureuther
Heinz-Joachim Jähn
Univ.Prof. Athanasios Drub B.Sc.
Bodo Kranz-Striebitz
Tadeusz Kruschwitz B.Sc.
Wolfhard Kensy
Jens-Uwe Schlosser
Adrian Trupp
Linda Ziegert-Junken
Gerti Ullrich
Faruk Meister
Herr Rüdiger Ruppersberger
Manuel Pärtzelt
Alexandra Butte
Ing. Petar Hänel MBA.
Theodora Wilmsen
Gerda Stey
Dr. Gunther Jähn B.A.
Dipl.-Ing. Karl-Heinz Rörricht
Julius Kraushaar
Ing. Knud Vogt
Judith Koch-Mude
Romy Zahn-Bien
Josip Hiller-Hauffer
Malte Herrmann-Zänker
Blanka Ladeck
Lambert Wilmsen
Frau Monique Löchel
Virginia Textor
Walter Schleich-Segebahn
Danuta Lachmann-Dussen van
Dana Jäntsch
Remo Reinhardt
Univ.Prof. Gretl Langern B.A.
Karl-Josef Schottin-Hoffmann
Antonia Mohaupt
Dipl.-Ing. Christoph Schulz B.Sc.
Daniele Seip
Prof. Urs Salz
Alexej Hornig-Radisch
Prof. Mathias Schmiedt
Patrick Döring
Ramona Sontag
Irmengard Jüttner B.Eng.
Irina Seip-Bolnbach
Univ.Prof. Gusti Schlosser
Hans Kohl MBA.
Dipl.-Ing. Laurenz Gerlach MBA.
Abdul Klapp-Hethur
Annemie Herrmann
Guido Pieper
Helmuth Wagner
Elzbieta Putz B.Eng.
Süleyman Wende
Univ.Prof. Oscar Lindau MBA.
Linda Kruschwitz
Lorenzo Zänker
Ing. Carolin Matthäi
Adam Krein-Karge
Severin Barkholz B.Eng.
Ing. Eugenie Kreusel MBA.
Katerina Drubin
Kathi Häring
Kira Eckbauer
Ricarda Warmer B.A.
Hans-Erich Mende
James Nohlmans
Univ.Prof. Willfried Werner B.Sc.
Herr Wladimir Bolnbach
Richard Mende-Hendriks
Prof. Roy Blümel
Univ.Prof. Arne Hoffmann
Guntram Scholz MBA.
Benita Holzapfel-Hecker
Herr Gerolf Hermann B.Eng.
Univ.Prof. Edit Ehlert B.Eng.
Ing. Aziz Hein
Engin Schenk
Anne-Kathrin Bachmann
Univ.Prof. Hardy Hartung
Mirko Eckbauer
Ingried Sauer
Muharrem Rosemann-Heidrich
Ronald Hofmann
Dr. Inna Mude MBA.
Herr Gordon Meister
Hans Jürgen Grein Groth-Rudolph
Ing. Kunigunde Wieloch
Pauline Mosemann
Helene Keudel
Rosalinde Killer
Frau Ina Dietz MBA.
Gerolf Radisch
Maren Scholz-Bohlander
Irmgard Pieper B.Eng.
Univ.Prof. Reginald Lorch
Raymond Löchel-Ziegert
Dr. Hans-Detlef Lindau B.Eng.
Alla Weihmann
Anna-Lena Bloch
Univ.Prof. Ludwig Jähn B.A.
Dipl.-Ing. Tim Fritsch
Dr. Pius Säuberlich B.Sc.
Prof. Sylvester Bender
Hiltraud Köster MBA.
Valerij Schulz B.A.
Thea Schmiedecke
Dirk Graf-Stiffel
Dr. Herbert Jockel B.Eng.
Arno Lindner
Siglinde Kambs-Geißler
Hans-J. Trapp-Koch II
Dipl.-Ing. Alf Graf
Ing. Herwig Drub MBA.
Hildegard Roht B.Sc.
Almut Trupp
Herr Johann Kostolzin
Univ.Prof. Leif Süßebier B.A.
Ivo Börner
Marlis Wiek
Wulf Caspar
Prof. Alida Mangold MBA.
Sandy Zimmer
Joachim Löffler-Riehl
Bertha Rose
Univ.Prof. Immo Mangold
Dipl.-Ing. Marieluise Löchel
Norbert Niemeier
Friedl Hartmann
Paolo Hentschel-Zobel
Ing. Mahmoud Becker
Gisela Hornich-Metz
Antonia Stey
Dr. Jochen Schäfer
Swen Schweitzer B.Sc.
Univ.Prof. Guido Carsten MBA.
Steven Eimer
Rolf-Peter Reising B.Sc.
Woldemar Heydrich B.Eng.
Frau Siegried Margraf B.Sc.
Giesela Wagner
Dipl.-Ing. Franz Reising
Carsten Wieloch-Kranz
Metin Peukert-Lindner
Frau Carola Scheibe MBA.
Jasmina Koch MBA.
Hulda Junk
Stavros Hövel B.Eng.
Heribert Kensy
Edelbert Bruder
Rosina Ditschlerin-Ortmann
Ilija Rosenow
Daniela Siering
Gerta Kallert-auch Schlauchin
Frank-Peter Ullmann
Ehrenfried Stiffel
Prof. Lene Oestrovsky B.Sc.
Siegmund Hövel
Prof. Thekla Hahn
Dr. Lidija Metz
Angela Stiffel
Ing. Czeslaw Geisel
Jörg-Peter Klemt MBA.
Senta Schmiedecke
Univ.Prof. Harriet Heintze
Senol Harloff-Lindau
Ljiljana Löwer B.A.
Ilias Weiß MBA.
Bernhard Becker
Dana Köster
Heinz-Georg Hornich
Luigi Hartung
Miroslawa Jessel B.Sc.
Luigi Wähner
