Student
Silja Kraus-Schuster
Univ.Prof. Norbert Röhrdanz B.Sc.
Dipl.-Ing. Sigrid Hahn
Dr. Nadeschda Wulf
Frau Juliane Schulz B.Sc.
Monika Krein B.Eng.
Marleen Heser
Niko Gutknecht B.Sc.
Dipl.-Ing. Harm van der Dussen
Tina Henschel
Dipl.-Ing. Janus Roht B.Sc.
Carolina Ditschlerin
Tibor Bolzmann MBA.
Evangelos Hartmann B.A.
Rosina Ditschlerin-Ortmann
Paolo Klotz-Hein
Thorben Henk-Mende
Hellmut Bruder
Dr. Trude Ziegert B.A.
Emine Vollbrecht B.Eng.
Dietlinde Binner
Kai-Uwe Sorgatz
Dr. Gabriela Geißler
Helmuth Langern-Steinberg
Ilija Lindner
Miodrag Dörr-Austermühle
Slavko Weitzel B.Sc.
Nadja Ladeck B.Sc.
Veronika Kruschwitz B.A.
Herr Ilja Kroker
Alice Hesse
Univ.Prof. Alberto Steuer
Julia Graf
Friedo Meister-Klemm
Univ.Prof. Jens Weinhage
Tilman Eberhardt
Patrizia Bender-Reuter
Inga Eberhardt
Erica Holsten
Hildburg Dowerg-Pergande
Siegbert Henschel
Ing. Louis Eckbauer B.Eng.
Antonina Christoph MBA.
Dr. Carsten Steinberg
Prof. Fredy Hahn
Doris Kraushaar
Ivanka Gierschner-Pergande
Herr Emin Trubin
Prof. Katrin Mülichen B.Eng.
Gerta Beer
Dr. Anny Kallert
Theodora Aumann
Cornelia Schinke
Univ.Prof. Pascal Schweitzer
Karl-Heinrich Schüler
Esther Ehlert
Hajo Ziegert-Noack
Dr. Reza Hering B.Sc.
Mirko Ehlert
Dr. Sara Niemeier
Elfie Kreusel
Hans-Theo Vogt-Beckmann
Frau Kunigunda Schaaf B.A.
Herr Goran Paffrath
Wilfried Radisch
Katerina Barkholz
Frau Myriam Walter B.Sc.
Sara Johann
Ignaz Löwer
Herr Alwin Sager B.A.
Tony Wende
Frau Constanze Heidrich B.Sc.
Janko Schulz-Becker
Diethard Trommler
Eva Wende-Peukert
Prof. Achim Rose
Dagmar Jungfer
Karl-Wilhelm Weiß
Dr. Marliese Junck B.Sc.
Eugenia Anders B.A.
Ing. Elisabet Jopich B.Sc.
Wenke Neureuther-Hermighausen
Ehrhard Pruschke
Almuth Rosenow-Schönland
Freddy Nette-Hendriks
Francoise Zänker-Knappe
Harold Bohlander B.Sc.
Emilia Scheel
Gitta Römer
Sina Wulff-Dussen van
Concetta Karge
Marlen Weihmann-Trub
Robin Sölzer
Erwin Etzold
Gunter Grein Groth B.Eng.
Janine Hendriks B.A.
Brigitte Zirme B.Sc.
Hans-Friedrich Heydrich
Severin Mende B.A.
Katja Kruschwitz-Roskoth
Ana Klapp MBA.
Siegmund Hövel
Corina Pergande
Adolfine Lange
Ulla Fliegner-Sölzer
Slavica Ernst-Schmidtke
Jiri Hoffmann B.Sc.
Theresia Liebelt
Vito Gorlitz
Wenzel Drubin
Dr. Bastian Christoph MBA.
Canan Berger-Hellwig
Herr Götz Süßebier
Enrico Kobelt-Klemt
Antonietta Hübel
Ing. Roy Dippel B.A.
Edit Dowerg
Eva-Maria Mies MBA.
Carl Schomber-Mälzer
Prof. Emil Kruschwitz
Heide Hesse-Bärer
Prof. Amir Reising MBA.
Bernd Binner-Hornich
Jutta Aumann
Univ.Prof. Diethard Klotz
Hans-Michael Krein-Wernecke
Lore Tröst
Ing. Sebastian Killer B.A.
Oliver Biggen
Annekatrin Wilms
Bernard Losekann
Hubert Hertrampf
Fatima Eckbauer-Rosemann
Bruno Wagenknecht
René Ullrich
Serge Grein Groth
Dipl.-Ing. Tim Fritsch
Ivanka Rogge
Maya Conradi
Adalbert Boucsein
Linus Mans-Röhrdanz
Traudel Wilmsen B.A.
Prof. Roy Blümel
Hans Kraus
Änne Wagner
Prof. Falko Trapp B.Eng.
Sibel Hörle
Francisco Budig-Geisler
Irmi Biggen
Inka Trub
Heinz Dieter Zirme
Dipl.-Ing. Alan Schacht B.Eng.
Tomislav Girschner
Hilmar Spieß
Isolde Seifert
Silja Eberhardt-Boucsein
Tülay Scholtz
Univ.Prof. Harro Fröhlich
Ing. Jessica Mende
Prof. Josefa Beier B.Sc.
Margaret Kraus
Univ.Prof. Olivia Gnatz MBA.
Ing. Alban Mohaupt
Univ.Prof. Andrea Gieß B.Eng.
Thorsten Kensy B.Eng.
Natascha Schinke B.Eng.
Ron Sorgatz-Eimer
Herr Karlheinz Mans
Volkmar Mosemann
Giesela Börner B.Eng.
Univ.Prof. Friedl Tlustek
Gisa Budig-Löwer
Ing. Kornelius Geisel B.Sc.
Frau Brigitta Bohlander MBA.
Jennifer Trapp
Herr Heinz-Josef Wende MBA.
Irmgard Liebelt
Tamara Bender MBA.
Swantje Binner B.A.
Anica Sorgatz B.Sc.
Luisa Seip B.Sc.
Ljiljana Rädel
Erol Jäntsch
Isabelle Förster-Beyer
Prof. Alida Mangold MBA.
Ing. Mahmoud Becker
Claus Juncken
Andre Schinke
Maria-Theresia Scholl
Ing. Bernard Schleich B.Sc.
Harri Mans
Francoise Dippel B.Eng.
Adem Hörle
Gaetano Lübs
Gabor Dobes
Heinz-Joachim Stiebitz
Frau Ivanka Killer MBA.
Gitte Rohleder-Bruder
Uwe Sorgatz
René Gude B.A.
Dr. Stephanie Ladeck
Jens-Uwe Geisler
Sergej Dippel
Ella Keudel
Jan Gumprich
Rupert Kallert
Annelene Reuter B.A.
Univ.Prof. Heimo Dobes B.A.
Jonas Löchel
Ing. Hannes Jähn B.Sc.
Gülten Peukert
Ekaterina Schmiedecke
Franka Weinhold
Lucie Trüb-Schmiedt
Ibrahim Wirth-Schuster
Rolf-Dieter Flantz B.Eng.
Herr Otto Vollbrecht
Hilda Metz-Dehmel
Univ.Prof. Fredy Barth MBA.
Conrad Lindau
Wencke Heinrich
Frau Suse Zorbach
Magda Geißler
Lena Holzapfel
Dipl.-Ing. Ehrenfried Kranz MBA.
Anne-Katrin Höfig
Ditmar Trub
Theodoros Grein Groth
Guenther Steinberg MBA.
Ottilie Trüb
Hans-Georg Anders
Celal Seifert
Orhan Mude
Prof. Karen Benthin B.Eng.
Dolores auch Schlauchin
Sandro Täsche
Bernhardine Schuchhardt
Dr. Joseph Bien
Burckhard Margraf
Heide Schottin
Rüdiger Geisler
Theodoros Vollbrecht-Gutknecht
Ing. Tilman Kitzmann
Brit Anders
Prof. Hannah Hölzenbecher MBA.
Kunibert Hahn-Lindau
Hanny Martin
Phillip Rosemann-Bachmann
Prof. Jonas Scholtz
Prof. Katalin Heinrich
Patrizia Schüler
Marzena Hein
Dipl.-Ing. Eveline Jäkel MBA.
Univ.Prof. Helge Pieper
Ing. Heinz-Josef Hoffmann
Prof. Lutz Adolph
Frederik Bohlander
Elwira Pölitz B.Sc.
Anna-Maria Holzapfel
Annie Hänel
Ing. Hanne-Lore Ackermann
Kati Radisch
Marc Heintze B.A.
Univ.Prof. Evelyn Seifert B.A.
Ing. Giuseppe van der Dussen B.A.
Martha Dowerg
Prof. Frithjof Binner
Kenneth Kramer
Prof. Knud Atzler B.Sc.
Walli Gnatz
Domenico Nohlmans-Eberhardt
Dr. Gerd Fechner
Hartwig Keudel B.Eng.
Daria Jopich
Stanislaus Geißler
Ahmet Eckbauer-Sölzer
Angelique Speer B.A.
Dipl.-Ing. Alf Graf
Dorothea Finke
Anni Dietz-Blümel
Elke Huhn
Carla Gnatz
Nikolai Mohaupt
Herr Filippo Rosemann B.A.
Prof. Henriette Killer
Univ.Prof. Nermin Rosemann B.Sc.
Grit Röhricht-Rosemann
Prof. Mathias Kambs
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Urban Pieper
Hermann Josef Börner
Tino Wagenknecht B.Eng.
Emilie Scholz
Irmingard Meyer MBA.
Hubertus Dörschner
Johann Reuter
Murat Förster
Wilma Röhrdanz
Univ.Prof. Brigitte Rogner
Univ.Prof. Franz-Xaver Girschner B.Sc.
Elfie Preiß
Andree Budig B.Eng.
Judith Koch-Mude
Bert Ortmann
Bozena Carsten B.Sc.
Gisela Girschner
Georgios Neuschäfer
Curt Mühle
Leo Roskoth B.Sc.
James Kostolzin-Haase
Silvester Scheibe
Hans-Hermann Haering
Sören Etzler
Wilhelm Walter
Karl-Peter Hering
Gilda Faust
Carmine Schacht
Vincenzo Steinberg B.Sc.
Dipl.-Ing. Astrid Kade
Prof. Tilmann Franke B.Sc.
Elli Kuhl B.Eng.
Anastasia Mans
Nick Jockel B.A.
Heimo Hübel MBA.
Luisa Hecker
Tomas Tlustek
Mohammed Ritter
Mikhail Bauer
Luis Oderwald
Folkert Schwital
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Hellmuth Heidrich
Mareike Lübs
Prof. Hansjürgen Langern
Franz Schweitzer
Gertrude Ullmann
Ing. Marcel Gute
Prof. Sarina Hartmann
Veronica Benthin
Sonja Barkholz
Marlen Flantz
Ismail Geisler
Dr. Sigfried Seip B.Eng.
Leszek Wagner-Häring
Lisa Rädel-Bender
Richard Kostolzin
Herr Tino van der Dussen MBA.
Gregor Loos-Gehringer
Traugott Hövel
Matthäus Hübel
Dr. Luisa Anders B.A.
Irina Birnbaum
Marit Söding
Dr. Slawomir Hande
Herr Tony Lindner
Hansjürgen Säuberlich
Frithjof Mielcarek MBA.
Danilo Hartmann
Cord Tröst
Jörgen Lorch
Susan Warmer
Dipl.-Ing. Marica Sager
Daniela van der Dussen B.Eng.
Imelda Söding
Dr. Elzbieta Mitschke B.Eng.
Janus Walter
Diethelm Hübel MBA.
Otto Lindner
Walfried Wohlgemut B.Eng.
Wolfhard Ziegert
Univ.Prof. Almuth Cichorius B.Eng.
Aleksander Wagner-Barth
Marie Henk B.Sc.
Frau Elsa Mälzer
Werner Heydrich-Schmidtke
Tibor Briemer
Hans-Bernd Knappe-Gröttner
Ing. Helmtrud Dussen van
Martina Hartung
Aziz Anders
Freia Hofmann
Dipl.-Ing. Viktor Scheibe MBA.
Ina Christoph B.Sc.
Liane Reuter
Antonie Ladeck
Frau Pascale Hettner B.Eng.
Hanno Hölzenbecher B.Sc.
Rene Hofmann
Dr. Thekla Lindau B.Sc.
Amalie Gotthard
Univ.Prof. Franz-Josef Holt
Gaby Bähr
Nadeschda Rädel
Katharine Mohaupt-Heuser
Edmund Scholtz B.Sc.
Ing. Zlatko Gerlach
Wilma Paffrath
Janusz Eberhardt MBA.
Magdalena Tintzmann B.Sc.
Antje Drub
Melitta Fliegner
Dipl.-Ing. Meral Beyer
Mirko Bolander
Hans-Hinrich Linke
Hans-Erich Warmer B.A.
Miriam Haering
Alma Kaul
Dr. Karl-Hermann Gude
Ivana Nerger
Marten Möchlichen
Frau Julie Wieloch
Ing. Anika Jüttner
Herr Sigismund Gieß MBA.
Frau Evelin Löffler
Sybilla Hornig
Ing. Käthe Plath B.Eng.
Ute Hartmann
Univ.Prof. Till Vogt MBA.
Dr. Mohamed Kroker B.Eng.
Marisa Hartmann-Kusch
Carina Kusch
Stanislaw Misicher
Angelika Roskoth
Francesca Wieloch
Gretchen Pohl
Amanda Weller
Sybilla Striebitz
Dipl.-Ing. Halina Bender B.A.
Edgar Rohleder-Fröhlich
Ing. Ronny Metz B.A.
Antonios Schönland
Philipp Ernst
Slavko Fliegner B.Sc.
Deborah Scholtz B.A.
Heino Zahn-Bähr
Kay-Uwe Trapp
Arno Mude
Leni Heß
Ottmar Kruschwitz
Danielle Ritter B.Eng.
Dipl.-Ing. Baldur Oderwald B.Sc.
Insa Jacobi Jäckel
Jann Schleich
Albrecht Caspar
Karlfried Zahn B.A.
Babette Rohleder
Eitel Hethur
Osman Liebelt
Evangelia Gierschner
Sigrid Schleich
Annelore auch Schlauchin-Lorch
Viola Sager
Prof. Siegrun Langern
Peer Bärer
Siglinde Zahn
Univ.Prof. Bert Gieß
Marie-Theres Pechel
Carola Kusch
Elias Hethur
Ellen Gutknecht
Raymund Koch II-Margraf
Prof. Hans-Gerhard Reinhardt B.Eng.
Univ.Prof. Dorina Lange
Ditmar Briemer
Urszula Killer B.A.
Peer Nohlmans B.Sc.
Dipl.-Ing. Magrit Junck
Solveig Trapp MBA.
Metin Klemt
Herr Francis Scholtz
Mirjam Stumpf
Dr. Hans-Albert Stroh
Siegrun Ring
Eckhard Lindau B.A.
Kathleen Hahn B.A.
Jochen Säuberlich
Adelgunde Wagenknecht
Nurettin Dippel
Timm Schönland
Samuel Ackermann
Ayse Thies B.Eng.
Prof. Walter Pechel
Ing. Eva Kitzmann B.A.
Univ.Prof. Friedlinde Bien MBA.
Marzena Mentzel
Herr Tomislav Ladeck
Lars Eckbauer-Möchlichen
Univ.Prof. Christoph Beier B.A.
Martin Rose B.A.
Isidor Heinrich
Monika Hornich MBA.
Anastasios Karge
Dorina Weinhold
Francisco Wirth
Gunter Beyer
Felizitas Jungfer
Astrid Dehmel
Ernest Stahr
Dr. Anastasia Gude
Zofia Schulz
Hansjörg Holsten
Karlfried Sorgatz
Leopold Rörricht
Bartholomäus Karge B.Eng.
Hildegund Gunpf
Lilli Atzler
Anneliese Trub
Ing. Karl-Peter Weinhold B.Sc.
Helena Hettner
Giesela Wagner
Helmuth Zirme
Univ.Prof. Traudl Mentzel B.Eng.
Anatoli Anders
Sigmund Kensy
Sören Trommler
Dipl.-Ing. Louis Spieß B.A.
Prof. Rabea Hettner B.Eng.
Karl-Peter Hofmann B.A.
Sandor Riehl
Hans Georg Niemeier
Klaus-D. Zänker-Hein
Aldo Förster
Katharine Renner
Herma Möchlichen
Klaus-D. Segebahn
Polina Kostolzin
Alexei Meister
Ralph Hellwig-Lachmann
Friedericke Lehmann B.Sc.
Frau Bianka Henk B.Sc.
Woldemar Heydrich B.Eng.
Halina Römer-Hartung
Herr Alois Thanel B.Sc.
Giuseppina Linke
Marek Mitschke B.Sc.
Raphaela Eckbauer
Sebastian Aumann
Reimund Bohlander
Attila Werner
Hansgeorg Klotz
Hans-Jochen Mude
Wilma Pärtzelt-Huhn
Edgar Bauer
Gebhard Kitzmann
Loni Trubin
Vladimir Patberg-Weller
Enrico Drewes
Dr. Heinz Dieter Dörschner
Prof. Reza Ebert B.Eng.
Ditmar Bien
Frau Yvonne Trupp B.A.
Hassan Kroker-Girschner
Berend Gertz B.Eng.
Margareta Trub
Eveline Putz
Maria-Theresia Tschentscher
Philomena Bloch
Kläre Beier B.A.
Maja Jungfer
Ing. Berthold Rosenow
Ing. Käthi Schäfer
Hildegunde Geißler-Klemm
Prof. Hermann Bohlander B.Eng.
Thomas Weinhold B.Eng.
Gabriel Süßebier-Eigenwillig
Gislinde Wagenknecht
Elif Röhricht
Jens-Peter Heinrich
Emanuel Kitzmann
Susan Riehl B.Sc.
Lambert Wilmsen
Univ.Prof. Adelbert Zimmer
Anneke Nohlmans
Agatha Kostolzin
Ingried Ullrich
Jo Gnatz
Katja Heidrich
Helene Keudel
Ekkehart Bruder
Michaela Sontag-Dörr
Dr. Mirko Langern MBA.
Adolfine Wilms
Martha auch Schlauchin
Lena Losekann
Kreszentia Pölitz-Karge
Meral Bolnbach
Ellinor Schmidtke B.Sc.
Damian Hentschel
Antonius Pärtzelt-Jüttner
Gebhard Sorgatz
Gerhild Beyer
Ing. Hedi Wulf
Ing. Jo Caspar
Krista Gertz B.Eng.
Edda Salz
Albina Stadelmann
Prof. Aziz Stumpf
Dr. Sükrü Hettner
Jonas Christoph B.Eng.
Natalija Haering
Edwin Wilms MBA.
Lia Heydrich
Ramona Sontag
Frau Karolina Hörle
Univ.Prof. Oscar Lindau MBA.
Alice Lachmann-Finke
Prof. Irmhild Fritsch
Konstanze Zänker MBA.
Mirja Wähner
Olaf Hethur
Prof. Pascale Kruschwitz
Margareta Klingelhöfer
Ing. Pauline Linke
Johanna Stumpf
Gunter Misicher
Cläre Heser
Slawomir Ehlert-Reising
Birgid Schüler
Janusz Trub-Mühle
Magdalene Hering MBA.
Necati Lindner
Marko Kensy-Atzler
Konstantin Ladeck
Stavros Schinke
Ivanka Berger-Kraus
Dino Kusch-Hiller
Edit Martin B.Sc.
Rosa Rosenow B.Eng.
Isidor Zobel-Ritter
Klaus-Peter Gieß-Winkler
Gabriella Schuster
Mechtild Winkler
Univ.Prof. Liliana Drub
Ria Dietz
Anthony Bonbach
Univ.Prof. Jaroslav Seifert B.Eng.
Folkert Reinhardt B.Sc.
Götz Hofmann B.A.
Ferdinand Junitz B.Eng.
André Segebahn
Adelinde Gumprich MBA.
Aloys Ruppert
Nada Hänel
Uli Schönland-Trupp
Utz Christoph-Henck
Jacqueline Hofmann
Matteo Beyer B.A.
André Röhrdanz B.A.
Angelica Lindau-Heß
Georgios Knappe-Mälzer
Fatma Hein
Edeltraud Kaul
Erhardt Heidrich
Klaus-Ulrich Gude
Regina Reuter
Dragica Rosenow
Alwina Koch
Süleyman Wende
Kasimir Lindau
Sylvie Börner
Erkan Trub
Gerd Süßebier
Wolf Martin
Edward Hering MBA.
Ing. Elsa Liebelt
Anica Kade-Steuer
Herr Jonathan Hänel MBA.
Gerold Jacob
Ada Kreusel
Bayram Gertz-Hendriks
Lukas Juncken MBA.
Hartwig Zirme
Herr Rolf-Peter Renner MBA.
Nadin Schomber
Thilo Tschentscher
Hans Peter Beckmann
Hermann Josef Drubin
Pero Gutknecht
Ing. Christel Margraf MBA.
Dr. Heide Jockel B.Sc.
Daniela Siering
Simon Hahn
Gitta Mohaupt
Meike Rosenow
Justine Kade
Dipl.-Ing. Josip Mies
Tanja Rörricht-Haering
Heinrich Rogner
Jadwiga Karge
Gertraut Koch II
Ing. Leo Schulz
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Univ.Prof. Katharina Werner MBA.
Imke Keudel B.Sc.
Wolf-Dieter Rudolph-Bruder
Canan Heinrich
Dipl.-Ing. Berend Niemeier
Karlfried Franke
Bertram Höfig B.Sc.
Lars Kallert
Ingo Heinz
Wilfried Börner
Hertha Caspar MBA.
Pierre Köster
Ing. Michel Harloff
Heinz-Dieter Gute
Dipl.-Ing. Dragica Neureuther
Frau Hedwig Wirth
Kati Koch II
Damaris Eigenwillig
Alexandre Häring
Kordula Lange
Annemarie Schaaf B.Sc.
Gerta Hartmann
Danilo Losekann
Thorsten Bolzmann-Hesse
Brita Klemm
Radmila Linke MBA.
Nadja Geisler
Adriane Gröttner
Wally Fliegner
Prof. Lieschen Bohlander
Aleksander Drub
Wendelin Schäfer B.Sc.
Dr. Janos Reising
Lieselotte Dussen van MBA.
Engelbert Carsten-Hiller
Dimitrios Fiebig
Saban Etzler B.Eng.
Hans-Eberhard Lübs
Dr. Michel Pruschke B.Eng.
Eric Briemer
Angelica Klemt
Samir Krein B.A.
Anna-Luise Seip-Hofmann
Oscar Junitz
Harm Hein
Insa Karz-Mangold
Dipl.-Ing. Berit Weinhage
Maximilian Juncken
Damian Holsten
Rolf Wirth
Heinz-Jürgen Adolph
Karlfried Ruppersberger
Aneta Schlosser-Köster
Maurice Beckmann
Pauline Bolzmann
Dr. Sigrun Schönland B.A.
Prof. Maya Peukert
Imre Mülichen
Dipl.-Ing. Gülten Hoffmann B.Eng.
Ekaterina auch Schlauchin
Frau Notburga Pergande
Wenke Patberg
Alice Nette
Gernot Dörr
Dipl.-Ing. Hans-Peter Hertrampf
Prof. Knud Salz
Prof. Theobald Mangold
Halina Hethur
Annett Sorgatz B.Eng.
Ryszard Lehmann
Ana Heinz B.A.
Siegrun Reinhardt
Malgorzata Pieper
Arnulf Ullmann
Vittorio Hertrampf
Ramona Römer
Gitte Buchholz
Herr Roman Sontag B.Sc.
Jennifer Berger
Rahel Stey
Ing. Cynthia Weihmann B.Eng.
Frau Silvana Bolzmann B.Eng.
Frau Rosalinde Riehl
Dr. Hans-Willi Hertrampf MBA.
Concetta Wohlgemut
Francesco Wieloch-Herrmann
Gundel Dietz
Zehra Putz
Micha Schottin
Francisco Harloff
Univ.Prof. Sibylle Zirme B.Sc.
Magda Berger B.A.
Diether Dussen van-Rohleder
Irmengard Rudolph
Andreas Birnbaum-Kallert
Minna Wernecke-Gumprich
Dr. Wencke Junken B.Eng.
Herr Mario Thanel
Alois Jungfer B.Eng.
Gloria Lachmann MBA.
Lina Hörle
Univ.Prof. Irene Budig
Miriam Ehlert MBA.
Adelbert Austermühle
Lilli Meyer-Reuter
Paolo Weller-Heinrich
Sedat Matthäi
Prof. Ahmad Rörricht
Adrian Killer
Bernhard Becker
Ing. Erwin Kobelt B.A.
Nicolas Möchlichen MBA.
Abram Peukert MBA.
Marie-Louise Wulff
Herr Wilhelm Schuchhardt B.A.
Robin Schuchhardt-Reichmann
Oxana Stumpf
Univ.Prof. Ludwig Jähn B.A.
Bernhardine Pechel
Herr Yilmaz Vollbrecht B.Eng.
Balthasar Holsten
Prof. Ullrich Rosenow B.A.
Ilja Preiß
Elfi Roht
Steven Trub
Larissa Mangold
Ing. Konstantin Gerlach B.A.
Lutz Wagenknecht-Gotthard
Therese Neureuther
Gerolf Radisch
Geert Zänker
Antonie Fischer-Margraf
Cilli Heintze
Ben Täsche
Theda Klotz
Annelene Zänker
Aribert Herrmann
Benno Kraushaar
Clarissa Buchholz
Mandy Rädel
Nathalie Langern
Jörg Pechel
Wilfriede Ehlert
Alexej Röhrdanz
Christina Schlosser
Hans-Henning Heydrich MBA.
Herr Hinrich Mühle
Jonas Walter
Doreen Hornig
Dipl.-Ing. Corina Fischer
Gabi Meister
Anatol Hübel
Theres Beer
Steven Eimer
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Bernt Conradi
Siegmund Heidrich
Cindy Schleich
Ing. Margarethe Martin
Philip Heß MBA.
Vadim Jacobi Jäckel
Prof. Grete Müller
Edit Kitzmann
Rudolph Metz-Mitschke
Joerg Zimmer-Kusch
Meta Eigenwillig
Gisela Weinhold B.Sc.
Kaspar Junken
Hakan Kühnert
Inken Gute B.Eng.
Witold Wulf
Torben Schweitzer
Peter Mitschke
Dipl.-Ing. Till Säuberlich
Henry Hofmann B.Eng.
Kreszenz Drubin
Gabor Steuer
Heinz-Gerd Söding
Aribert Putz
Abbas Segebahn
Ing. Silke Kambs
Astrid Dowerg-Stroh
Univ.Prof. Vinko Tschentscher
Halina Austermühle-Bender
Friedrich-Wilhelm Holsten
Tomasz Bolnbach
Dipl.-Ing. Danuta Stumpf B.Eng.
Kläre Kohl
Thea Schmiedecke
Aneta Heydrich
Karla Gunpf
Aleksej Fröhlich
Maria-Theresia Heinz B.A.
Alan Eigenwillig
Dipl.-Ing. Jiri Wesack B.A.
Reinhilde Hesse B.Sc.
Massimo Dörschner
Anne-Katrin Seip
Birte Gröttner MBA.
Adelinde Kensy B.Eng.
Elisa Steinberg
Univ.Prof. Jörg Jessel MBA.
Irmtraut Noack
Dipl.-Ing. Marek Jockel
Ing. Gordana Bruder MBA.
Antonios Zimmer
Dursun Mies
Leander Dobes-Schlosser
Tilmann Geisler
Hildegunde Wende-Spieß
Prof. Alois Jacob
Jasmina Rädel
Hüseyin Hethur
Ansgar Hande
Laurenz Scholl
