Student
Jasmina Heuser
Geza Hertrampf B.A.
Waltraut Ernst
Frau Cynthia Bähr B.Sc.
Deborah Scholtz B.A.
Gisela Girschner
Heidelore Pärtzelt MBA.
Krzysztof Kruschwitz
Baldur Knappe
Prof. Bernward Wulf B.Eng.
Frank-Peter Kambs
Paul-Gerhard Hein
Hans-Albert Preiß-Scheel
Christos Sölzer
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Alf Jüttner
Aloys Barkholz
Justine Lindner
Ernst-August Oestrovsky-Kreusel
Vadim Bender B.A.
Ing. Nuran Schaaf
Benita Neuschäfer
Dipl.-Ing. Ingolf Krein
Mirella Löchel
Benno Gehringer-Wohlgemut
Daniela van der Dussen B.Eng.
Claudio Bolnbach
Krista Gertz B.Eng.
Mechtild Patberg
Dirk Graf-Stiffel
Ibrahim Eberth
Dipl.-Ing. Harm Ruppert MBA.
Dr. Dora Fischer
Richard Drub
Dr. Rosalinde Stolze B.Eng.
Florian Finke
Dipl.-Ing. Gilbert Plath B.Sc.
Dipl.-Ing. Salvatore Zänker MBA.
Adeline Hein-Metz
Heidrun Stiebitz
Reinhart Winkler B.Eng.
Ing. Monika Ullrich
Siegrid Bachmann-Schaaf
Frau Xenia Blümel
Frau Korinna Kranz
Alina Spieß
Peter Rohleder
Elisabeth Wieloch-Boucsein
Mehmet Löwer-Trupp
Herr Urban Christoph
Dr. Jann Wesack B.A.
Lutz Kobelt
Veronika Kruschwitz B.A.
Maurice Hübel
Emil Grein Groth
Vassilios Trommler-Gieß
Ada Heser B.Sc.
Fatma Hesse
Herr Vladimir Zimmer MBA.
Concetta Seifert
Univ.Prof. Roman Misicher
Janko Schulz-Becker
Wally Bien-Kraushaar
Urszula Fliegner
Nathalie Langern
Theodoros Grein Groth
Herr Jens Ritter B.Eng.
Dieter Trupp
Prof. Berend Käster B.A.
Tanja Renner B.Sc.
Dierk Dörr
Irmi Schacht
Georgia Trub
Hans-Jochen Stolze
Gloria Bruder B.A.
Dajana Meyer
Nikolas Hethur MBA.
Isidor Täsche
Kristian Albers
Evangelos Staude
Dr. Filippo Eberhardt B.Eng.
Corinne Koch II
Reinhart Becker
Univ.Prof. Dorle Röhrdanz B.A.
Ramon Salz
Dipl.-Ing. Serge Nerger
Waltraud Trapp-Pechel
Thomas Hentschel
Gunhild Gorlitz-Heinrich
Marzena Hein
Ewa Eimer-Linke
Cindy Schleich
René Ullrich
Elise Hentschel
Ole Losekann
Frau Lisbeth Girschner MBA.
Lena Dowerg
Silvia Eberth
Ing. Wilhelmine Adler B.Sc.
Julia Heinrich
Ing. Willi Warmer B.Eng.
Maurizio Mans-Ullmann
Micha Albers-Wilms
Niko Pergande
Univ.Prof. Vesna Hering
Ralf-Dieter Riehl B.Eng.
Maria-Theresia Tschentscher
Ing. Christel Margraf MBA.
Rene Lindau-Jäkel
Prof. Janos Werner B.Eng.
Bodo Martin
Patrizia Biggen
Lidwina Karz MBA.
Heidelore Zirme
Dörthe Roht
Dr. Theresia Mende
Stavros Zirme
Sandor Riehl
Hasso Renner
Gerda Eberhardt B.Sc.
Dr. Immo Kramer
Dr. Annett Siering
Necati Koch
Aleksandra Benthin
Filippo Jäntsch
Branka Hering
Lotti Mosemann
Dr. Melitta Mans B.Eng.
Camilla Wiek
Antonietta Hübel
Univ.Prof. Blanka Linke B.Eng.
Prof. Kata Häring
Prof. Cäcilia Gertz B.Eng.
Ing. Canan Gutknecht B.A.
Hildegunde Stiebitz-Mude
Enrico Hornig
Julian Dussen van B.Eng.
Justus Schüler MBA.
Antonia Mohaupt
Hannes Patberg
Yvette Dietz
Dr. Semra Wagenknecht
Miroslawa Gude B.Sc.
Mareike Wilmsen
Nadeschda Hande
Kathy Kitzmann
Univ.Prof. Erna Köhler B.A.
Christl Pölitz
Frau Annegrete Junk B.A.
Dogan Bolander
Ing. Alma Rudolph B.Sc.
Hans-Herbert Eckbauer
Bayram Lübs B.Eng.
Andrej van der Dussen B.A.
Filippo Kostolzin
Dipl.-Ing. Giorgio Drubin B.Eng.
Herr Thomas Baum
Univ.Prof. Annegrete Henck B.A.
Willy Kallert
Dipl.-Ing. Margaretha Köhler B.Eng.
Juan Noack
Pia Fliegner
Univ.Prof. Marita Pohl
Ella Briemer-Siering
Sigrun Weinhold
Dr. Nadja Wulf
Domenico Gerlach-Kramer
Helge Pohl
Hildegund Ruppersberger
Prof. Mathilde Segebahn MBA.
Dipl.-Ing. Katarina Schmidtke
Herr Claus Killer
Frau Belinda Plath B.A.
Danica Atzler
Inge Paffrath
Sophie Scheibe
Edelgard Gnatz-Dobes
Sören Trommler
Anneliese Trub
Kay-Uwe Barkholz
Patric Geisler-Becker
Gülsen Benthin
Luigi Wähner
Mariele Stiffel B.Sc.
Dietlinde Käster
Vinko Schmiedecke-Hendriks
Brita Roht MBA.
René Matthäi
Sandra Scholtz
Cilli Lindau B.A.
Frau Britt Heß
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Prof. Magda Textor
Ryszard Junitz
Hansgeorg Klotz
Hellmut Bruder
Valentin Steuer-Mans
Elise Trupp
Gerti Döring
Dipl.-Ing. Wolfram Johann B.Eng.
Ewa Kade
Eveline Putz
Frau Delia Hellwig B.Sc.
Prof. Edgar Roht
Prof. Tillmann Holt B.A.
Dietrich Kruschwitz
Natascha Eigenwillig
Imre Sauer
Zoltan Wilms
Brita Kaul
Nurettin Börner
Dr. Jan-Peter Martin B.Eng.
Prof. Monica Beer MBA.
Ilonka Kohl
Marie-Theres Pechel
Karl-Heinrich Schüler
Sieglinde Stahr
Irmgard Pieper B.Eng.
Frau Helena Nette
Freddy Nette-Hendriks
Irmengard Röhrdanz
Dipl.-Ing. Mariechen Bonbach
Gundula Weitzel-Liebelt
Friedhilde Hornig B.A.
Lara Stroh
Pauline Bolzmann
Carl Jockel
Anselm Dowerg
Maria Mans B.Eng.
Univ.Prof. Jaqueline Dehmel
Harold Bähr B.A.
Marlis Rogge B.Sc.
Susan Riehl B.Sc.
Sinaida Roskoth B.A.
Prof. Meinrad Wiek
Burckhard Margraf
Herr Gerolf Hermann B.Eng.
Marlen Flantz
Vitali Junken
Sonja Barkholz
Jessica Stumpf
Herr Francis Scholtz
Alicia van der Dussen-Patberg
Prof. Bianka Reinhardt
Jasmina Koch MBA.
Timo Spieß
Hans-Karl Rust MBA.
Ortwin Scholl
Annelene Reuter B.A.
Friedericke Käster B.A.
Helma Schaaf B.A.
Kornelia Bachmann
Ingbert Binner-Heidrich
Sonia Säuberlich-Langern
Irmela Höfig B.Sc.
Ing. Emanuel Tintzmann
Univ.Prof. Luisa Scholz B.Eng.
Wolfhard Rosemann B.Eng.
Sandro Schmiedt
Wieslaw Oestrovsky MBA.
Nina Putz-Ritter
Gerolf Radisch
Carina Schaaf
Halina Austermühle-Bender
Osman Schäfer
Harri Mans
Ria Walter
Dr. Jasmina Ruppert
Frau Renate Geisler
Ingried Ullmann
Jörn Hörle B.Sc.
Jens-Peter Graf-Schmidt
Leonhard Patberg
Julian Schuchhardt-Dippel
Burckhard Caspar
Annette Ullmann
Dipl.-Ing. Edda Barth MBA.
Horst-Günter Renner
Edeltraud Kaul
Jonas Hendriks
Mesut Trommler
Patricia Trubin
Rene Berger-Jäkel
Miodrag Fliegner B.A.
Herr Eberhardt Gierschner
Marlen Wende
Heide-Marie Adler B.Eng.
Calogero Wagner
Anika Binner-Löffler
Mia Roskoth
Birgid Graf
Martha auch Schlauchin
Ilija Rosenow
Maya Conradi
Dr. Rolf Walter
Inge Dietz B.A.
Willibald Seidel
Anne-Rose Klapp-Jockel
Ehrhard Pruschke
Aleksander Scheuermann
Jens-Uwe Käster
Edward Dippel
Heinz-Jürgen Adolph
Liesbeth Schlosser
Dietrich Bien
Ulla Fliegner-Sölzer
Ing. Abraham Thanel B.Eng.
Wally Wähner
Jurij Bärer
Bernt Huhn
Univ.Prof. Conny Wagner MBA.
Nikolas Heß
Ing. Nadeschda Bohlander
Zeljko Jessel
Univ.Prof. Gislinde Rohleder
John Bauer
Adelheid Salz
Susann Haering
Gina Stumpf
Heinz-Walter Juncken
Guenter Lachmann
Agatha Sager-Geisler
Slavko Schüler B.Eng.
Zdravko Müller-Fritsch
Friedlinde Meyer
Josefine Rosemann
Wieland Hethur
Hans-Helmut Eimer MBA.
Prof. Maria-Theresia Schaaf B.A.
Herr Vincenzo Liebelt
Karsten Wohlgemut
Linda Kruschwitz
Annelie Heuser
Danilo Hande MBA.
Martin Dörr
Gert Naser
Dipl.-Ing. Rudi Wiek B.Eng.
Undine Eimer
Darius Gieß
Blanka Ladeck
Nicole Scheibe
Raymund Thanel
Margaret Kraus
Sandra Hornig
Prof. Reimar Reinhardt MBA.
Natascha Gotthard
Dr. Natascha Schmidtke B.Eng.
Enrico Oderwald
Karl-Dieter Thies
Elke Huhn
Kamil Hecker-Hahn
Hilda Stey B.Eng.
Dr. Sybille Bärer B.Sc.
Dipl.-Ing. Dunja Hoffmann
Attila Losekann B.Sc.
Prof. Alida Mangold MBA.
Henriette Bruder
Univ.Prof. Harro Weller
Ferenc Pergande B.Eng.
Maximilian Juncken
Friedl Barth
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Gerard Förster
Hannes Jäntsch
Dr. Frederike Hering B.Eng.
Jonas Albers
Kira Hartmann B.Sc.
Leszek Wagner-Häring
Karl-August Reichmann B.Sc.
Urban Klemt
Univ.Prof. Ivanka Hübel
Univ.Prof. Antoinette Wende B.A.
Roger Gunpf-Paffrath
Jaroslav Benthin
Henni Mälzer-Tlustek
Frau Anne-Kathrin Wagner
Marga Scholz
Aleksandr Schuster B.A.
Prof. Woldemar Beier B.A.
Lorenzo Hornig
Aleksander Dowerg
Susanna Söding
Elisa Steinberg
Slawomir Ehlert-Reising
Univ.Prof. Ivo Mies
Hansjoachim Salz-Junk
Dipl.-Ing. Melanie Kreusel B.A.
Tilman Killer B.A.
Reinhilde Metz
Prof. Nikolaos Steinberg B.Sc.
Ernst Gunpf-Naser
Concetta Wohlgemut
Dr. Myriam Häring
Wolf Schottin-Gunpf
Gülay Haase
Janette Kallert
Cora Reichmann B.A.
Magdalena Gude
Mary Reuter B.Sc.
Inka Hornig B.A.
Frau Therese Henk B.A.
Frederik Rust
Angelo Röhrdanz
Milos Biggen
Gertraud Mentzel
Calogero Heintze
Univ.Prof. Gunter Kaul
Iwan Wilmsen-Weihmann
Greta Baum
Univ.Prof. Zita Löchel B.Sc.
Thilo Tschentscher
Herr Andrej Rose
Woldemar Heydrich B.Eng.
H.-Dieter Gerlach
Helga Gerlach-Seifert
Herr Jan Kobelt
Dr. Salih Ullmann
Dr. Anny Kallert
Irmtrud Textor B.Eng.
Horst-Dieter Bähr
Ilija Lindner
Cindy Tschentscher
Claus-Peter Flantz
Klaus-Peter Zorbach
Herr Wilhelm Schuchhardt B.A.
Edda Junck-Eimer
Kai-Uwe Bohnbach
Clemens Thanel
Angelina Dörschner-Reichmann
Aleksander Drub
Hermann Josef Weihmann
Prof. Jelena Krebs B.Sc.
Selma Fritsch B.Eng.
Mary Staude
Adelinde Gumprich MBA.
Edmund Junck
Hans-Erich Warmer B.A.
Resi Ullmann
Sylvester Zirme
Dipl.-Ing. Cristina Vogt
Torben Säuberlich-Linke
Harro Trapp B.Eng.
Katerina Barkholz
Clara Stroh
Prof. Nikolai Gunpf
Anne-Marie Stumpf
Jacob Bähr
Ing. Erwin Kobelt B.A.
Gertrud Ditschlerin
Lidija Löchel B.A.
Arnulf Ullmann
Malte Herrmann-Zänker
Heinz-Gerd Gorlitz B.Eng.
Theda Stumpf B.Eng.
Alma Rörricht
Urszula Spieß
Jochem Hermighausen
Anne-Katrin Butte MBA.
Hansjürgen Eberth
Giovanni Weller-Söding
Prof. Mohammad Reinhardt
Tatiana Kade-Rust
Käthe Langern-Jacob
Ing. Ramazan Kabus B.Eng.
Tibor Schleich
Reimer Scheel B.Eng.
René Ehlert
Dr. Ingelore Winkler
Karl-Otto Putz
Ing. Thekla Beyer B.Sc.
Fatma Möchlichen
Annie Schlosser
Monique Rose-Schuchhardt
Senta Ruppersberger
Univ.Prof. Maxim Matthäi
Detlev Stadelmann
Alena Steuer
Mandy Rädel
Othmar Weinhage MBA.
Achim Budig
Ottfried Scheibe-Sauer
Hans-Eberhard Blümel
Dipl.-Ing. Annelise Naser
Dr. Karla Christoph
Saskia Wagenknecht
Hendrik Herrmann
Dr. Jochen Schäfer
Ellen Haase
Marco Stey
Ottokar Fliegner
Mohammed Ritter
Ing. Karl-Georg Dobes
Hans Misicher
Edeltrud Koch
Virginia Eigenwillig
Hans-Georg Anders
Lili Heydrich-Beyer
Nuray Aumann
Prof. Goran Sölzer MBA.
Ing. Antonius Jacobi Jäckel MBA.
Christina Geisel-Hesse
Marcus Langern
Prof. Jörgen Gieß B.Eng.
Heinz-Georg Hornich
Klaus Lorch-Graf
Annemarie Wieloch
Univ.Prof. Rotraut Juncken B.A.
Univ.Prof. Marc Schmiedt
Dipl.-Ing. Annemarie Trommler B.Sc.
Doreen Striebitz
Dipl.-Ing. Karina Kambs MBA.
Danny auch Schlauchin
Zdravko Kroker
Ilija Eckbauer-Steinberg
Hannelore Noack MBA.
Marcel Stumpf
Sandro Täsche
Emin van der Dussen
Sigmar Briemer
Univ.Prof. Franca Ritter B.Eng.
Maike Bolnbach
Prof. Urs Salz
Mijo Seidel B.Sc.
Prof. Hannah Hölzenbecher MBA.
Dittmar Berger
Emanuel Scholz B.Eng.
Konstanze Sontag
Nikola Kitzmann
Ing. Adam Klemt MBA.
Harold Scheibe
Ann Mielcarek
Herr Götz Süßebier
Dagobert Sorgatz
Agnes Tröst
Rosa-Maria Knappe
Ing. Wiltrud Sauer B.Sc.
Athanasios Bloch
Frau Carola Scheibe MBA.
Ditmar Adolph
Denny Kusch
Werner Kramer B.A.
Dr. Daniel Trommler
Ing. Gabriella Bähr
Wencke Riehl-Stoll
Enver Dehmel
Roderich Weitzel
Renate Austermühle B.Eng.
Thorsten Gude
Ing. Gundi Boucsein B.Sc.
Ortrun Pohl B.Eng.
Dipl.-Ing. Willibert Süßebier
Paul-Gerhard Gunpf
Dipl.-Ing. Elisabeth Wiek
Dr. Czeslaw Neureuther
Clara Ruppersberger
Ing. Heinz Ehlert
Dragica Kreusel
Michaele Schwital
Prof. Julia Möchlichen B.A.
Wulf Eberhardt
Kristian Anders B.Sc.
Univ.Prof. Ralf-Dieter Kabus MBA.
Cornelia Römer
Ing. Aldo Pechel B.Eng.
Univ.Prof. Nurten Neuschäfer MBA.
Rahel Dörschner
Ahmet Thies
Lilli Meyer-Reuter
Reinald Gerlach
Gabor Pechel-Junken
Univ.Prof. Christoph Beier B.A.
Gönül Kallert
Antonius Stoll-Krebs
Karlfried Zahn B.A.
Editha Jacob
Dr. Silvester Krein B.Sc.
Univ.Prof. Heidrun Hiller
Edgar Rohleder-Fröhlich
Friedbert Sorgatz
Ing. Carla Ziegert B.Eng.
Dipl.-Ing. Wanda Dussen van
Armin Scholz
Paul Carsten
Hans-Hermann Hande
Ing. Cord Hermighausen B.Eng.
Reimund Kraushaar
Dipl.-Ing. Corina Fischer
Gesa Jäntsch
Hans Josef Lachmann
Univ.Prof. Babette Kitzmann
Recep Röhricht B.Sc.
Andrej Geißler-Beckmann
Arno Lindner
Susanna Jäntsch
Oxana Ortmann MBA.
Ing. Katarzyna Noack
Meta Eigenwillig
Inken Gute B.Eng.
Theresia Liebelt
Gerhild Stiffel
Waltrud Jockel B.Eng.
Miguel Dussen van B.Eng.
Edmund Siering
Dr. Leila Gunpf B.Sc.
Folker Fischer
Wieslaw Lachmann
Mina Segebahn B.A.
Jiri Hoffmann B.Sc.
Gundel Dietz
Univ.Prof. Herta Zänker
Matthias Hendriks-Koch
Anatolij Junk
Horst-Peter Thies
Susi Schuchhardt
Dipl.-Ing. Aleksandra Wagner MBA.
Anne-Kathrin Geisler
Maurizio Hartmann
Prof. Janin Dietz
Saskia Heidrich
Ellen Jessel-Walter
Univ.Prof. Jeanette Girschner B.Sc.
Anka Boucsein
Tomislav Schüler
Klaus Dieter Weimer-Hein
Amanda Eimer B.Sc.
Erhard Reinhardt
Dr. Athanasios Noack MBA.
Gebhard Eberth B.Eng.
Dipl.-Ing. Hans-Peter Hertrampf
Ekaterina auch Schlauchin
Dogan Ruppersberger
Hartmuth Koch II
Philippe Wähner
Ekkehart Bruder
Dr. Gert Trapp MBA.
Anica Sorgatz B.Sc.
Arndt Wernecke-Gertz
Juergen Bähr
Vlado Kramer B.Eng.
Frau Else Röhrdanz B.Sc.
Frau Constanze Heidrich B.Sc.
Brunhild Müller
Jiri Bärer
Marie-Louise Hauffer
Prof. Rolf-Dieter Fiebig MBA.
Frau Julia Fliegner
Jasmina Cichorius-Barth
Emma Hornich-Kraushaar
Friedrich-Karl Zorbach
Herr Thorsten Hartmann B.Eng.
Sinaida Heinz-Gnatz
Falko Schüler
Adeline Hahn
Mattias Kensy
Univ.Prof. Gino Wagner B.Sc.
Trudi Radisch
Ing. Josip Ruppert
Erwin Jungfer
Ing. Marga Lehmann MBA.
Silva Plath
Miroslaw auch Schlauchin
Wolf-Rüdiger Börner
Liane Fechner
Prof. Raymond Söding
Dipl.-Ing. Robert Köhler
Univ.Prof. Hedwig Krein
Woldemar Jacob B.A.
Ing. Zdenka Neuschäfer
Alena Holzapfel
Wilhelm Klemm B.A.
Ann Spieß MBA.
Univ.Prof. Pascal Schweitzer
Nikolas Siering
Zeki Henk B.A.
Siegried Caspar B.A.
Herr Hilmar Stumpf
Pirmin Boucsein MBA.
Beatrix Möchlichen
Herr Ignatz Boucsein MBA.
Dr. Karl-Hermann Gude
Herr Kurt Weitzel B.Sc.
Univ.Prof. Nadeshda Oestrovsky
Jost Lindau
Birger Klapp
Univ.Prof. Eugen Karz
Stephen Kensy
Selma Girschner B.Sc.
Marek Ackermann
Danilo Ladeck-Köhler
Dr. Peer Schwital MBA.
Ing. Anna-Maria Stey
Ehrentraud Hänel-Dussen van
Hans-Martin Drewes
Nadeschda Pölitz
Danuta Kreusel
Horst-Peter Faust
Steve Scholl-Ladeck
Prof. Gunther Klingelhöfer
Prof. Diether Neureuther
Dipl.-Ing. Jozef Hartmann
Othmar Täsche-Loos
Siegried Otto
Prof. Magdalena Bohlander B.Sc.
Otmar Schmidtke
Dipl.-Ing. Franz Reising
Bertram Rädel
Prof. Katalin Heinrich
Prof. Katalin Lindner B.Eng.
Mirko Bolander
Irina Täsche
Margot Sontag MBA.
Herr Tom Täsche
Lene Hermann-Kaul
Ignatz Wähner-Hänel
Dr. Katalin Knappe B.Eng.
Dr. Marija Stiebitz
Dipl.-Ing. Woldemar Benthin B.A.
Reinhild Pergande
Leonardo Rogge
Dipl.-Ing. Klaus-D. Kostolzin
Lilli Atzler
Eberhardt Schäfer
Tassilo Gehringer
Hartmuth Eberhardt
Gundula Vollbrecht
Jolanda Rose
Ing. Birte Heidrich B.Eng.
Frau Inken Seip B.Eng.
Anatoli Anders
Prof. Gertraud Drewes
Adalbert Ullmann
Ivana Wilmsen-Gumprich
Eleni Krause B.A.
Eberhard Pechel
Marga Vogt
Kai-Uwe Stiebitz-Hentschel
Prof. Hubert Heß
Ariane Roskoth
Wolf-Dieter Eigenwillig
Christa Kabus
Tamara Bender MBA.
Dr. Zeljko Pruschke
Elfie Otto
Ing. Knud Vogt
Karl Heinz Kruschwitz-Reising
Univ.Prof. Liliana Niemeier B.Eng.
Heiko Metz
Herr Otto Vollbrecht
Anna-Luise Kraushaar
Katharine Mohaupt-Heuser
Univ.Prof. Dragan Thies MBA.
Alwine Wirth-Klemm
Vadim Rose-Wulf
Valeri Tschentscher
Dipl.-Ing. Magrit Junck
Maurice Möchlichen
Gerlinde Albers-Hörle
Karolina Hartmann
Prof. Rabea Hettner B.Eng.
Reingard Geisel
Slawomir Bohnbach
Jasmina Bolzmann
Ing. Meinhard Schweitzer
Mohammad Karz MBA.
Andreas Birnbaum-Kallert
Bernhard Fischer
Dr. Slawomir Hande
Dipl.-Ing. Baldur Oderwald B.Sc.
Jessika Schacht
Cosimo Bender
Jessika Thies
Angela Weimer B.A.
Edeltrud Kambs
Berend Rörricht
Univ.Prof. Rafael Pruschke B.A.
Felizitas Werner
Hartmut Hiller B.A.
Mechthild Finke
Auguste Buchholz B.Sc.
Aribert Herrmann
Univ.Prof. Lydia Langern
Univ.Prof. Nadja Jacob B.Eng.
Carlos Klotz
Freia Hamann
Valeria Finke
Gertrude Bärer
Friedrich-Karl Jopich B.Eng.
Irene Ditschlerin
Jens Drubin
Zdravko Staude B.Sc.
Aline Steinberg-Klingelhöfer
Giesela Börner B.Eng.
Regina Ring
Frau Beatrix Bonbach B.A.
Wulf Fiebig B.A.
Rosa Hübel
Frau Myriam Walter B.Sc.
Valeria Bonbach
Marion Weihmann
Cord Zorbach
Carmine Schacht
Anna-Lena Röhrdanz B.Sc.
Abraham Adler
Friedlinde Mühle B.A.
Dipl.-Ing. Ladislaus Weinhold
Lilly Seifert
Herr Klaus Peter Krause B.A.
Resi Margraf
Gero Schomber
Christof Ditschlerin
Lina Hein-Gotthard
Irmtrud Bolzmann
Wibke Reuter
Gert Fischer
Bruno Henschel
Jonathan Birnbaum-Stiebitz
Waldemar Hendriks
Justina Zirme
Antonina Christoph MBA.
Rosmarie Kambs MBA.
Karl-Hermann Rädel-Müller
Katherina Hesse
Vincenzo Lübs
Edit Siering
Annamaria Baum MBA.
Carina Kusch
Heide Hesse-Bärer
Dipl.-Ing. Slobodan Sölzer
Frieda Tintzmann-Löchel
Rosa Tintzmann
Zehra Putz
Frau Josefa Henschel B.A.
Margaretha Heintze-Henk
Calogero Wende
Milos Wiek
Zehra Ernst-Bohnbach
Ing. Janin Winkler MBA.
Klaas Vogt
Marcella Sölzer
Siegmar Keudel-Gude
Caterina Weinhage
Marleen Heser
Ekkehart Grein Groth
Marina Wilmsen
Dittmar Graf
Prof. Antonia Mielcarek B.Eng.
Hedi Gumprich
Frau Änne Gunpf B.Sc.
Franjo Löffler B.Eng.
Justine Kade
Ing. Rotraud Schmidt
Dusan Conradi-Rogner
Zeki Hartung
Prof. Wilma Mangold
Dipl.-Ing. Oskar Vogt B.A.
Caroline Wende
Brunhilde Tröst
Fatma Löffler B.Sc.
Kati Koch II
Brita Klemm
Ing. Ortrun Weimer
Moritz Holzapfel
Annelene Adolph B.A.
Sigurd Süßebier
Dipl.-Ing. Cläre Geißler
Nadja Schleich MBA.
Carl Schmiedt
Sibille Liebelt
Frau Almuth Kostolzin B.A.
Herr Gundolf Barth
Luzia Kranz
Wilfried Börner
Sylvie Börner
Hans-Günther Etzold
Ruth Barkholz-Koch II
Katja Kruschwitz-Roskoth
Dipl.-Ing. Janus Roht B.Sc.
Emanuel Holsten
Prof. Frithjof Binner
Dipl.-Ing. Detlef Schacht
Dipl.-Ing. Ira Röhricht B.Sc.
Abraham Junken-Beckmann
Tülay Scholtz
Willibald Ziegert-Siering
Ing. Erica Schottin
Ing. Maike Hölzenbecher B.A.
Frau Annette Fiebig B.Eng.
Alicja Gieß
Univ.Prof. Walfried Hövel
Polina Ladeck B.A.
Univ.Prof. Claudia Freudenberger B.Sc.
Mohamed Heydrich
Korbinian Werner
Ellen Vogt
Kordula Lange
Wojciech Girschner B.A.
Esther Eberth-Kensy
Erna Schmiedt
Univ.Prof. Axel Dörschner B.Sc.
Hans-Erich Preiß
Irmtraud Schönland
Liesa Neureuther
Hans-Herbert Harloff
Gunhild Ullmann
