Student
Hans-Ulrich Dussen van
Frau Etta Wesack MBA.
Isabel Rose
Brian van der Dussen
Dorota Wilms
Heinz-Wilhelm Kuhl
Ingried Hänel
Frau Svenja Hövel B.Sc.
Marietta Geißler
Zita Winkler
Ing. Emanuel Tintzmann
Gabi Meister
Liesel Klapp
Romana Wulff
Ehrhard Förster
Univ.Prof. Ottmar Jopich
Frau Myriam Walter B.Sc.
Cläre Mohaupt
Martina Keudel
Ing. Gerti Franke
Siegrun Reichmann
Salvatore Eberhardt-Ring
Lars Eckbauer-Möchlichen
Heinz-Günther Bohnbach
Antonio Margraf
Herr Sylvester Jopich B.Eng.
Irmtrud Textor B.Eng.
Lukas Gierschner
Dipl.-Ing. Rolf Tröst B.Sc.
Matthäus Eckbauer
Frau Annita Beckmann
Univ.Prof. Hans-Peter Schmidt MBA.
Rüdiger Buchholz-Kuhl
Ramon Jäntsch-Gertz
Bernhardine Mangold
Adeline Hahn
Lothar Fischer
Bogdan Römer B.Eng.
Dipl.-Ing. Arthur Ziegert
Edith Binner
Utz Christoph-Henck
Constantin Kraus
Christl Pölitz
Henny Rose
Notburga Weller MBA.
Dr. Dora Fischer
Cornelia Römer
Lilly Naser
Valeska Geisler B.Eng.
Vassilios Kuhl B.Sc.
Gerhart Beier
Otmar Schmidtke
Herr Günther Krein MBA.
Karl-Wilhelm Anders-Gude
Ljudmila Nerger
Wulf Steckel-Lachmann
Dr. Friedbert Bauer B.Eng.
Konstantin Knappe
Mohammad Karz MBA.
Herr Wieland Hartmann MBA.
Dörthe Hiller
Ilias Freudenberger
Prof. Natalia Junck B.Sc.
Edeltraud Mülichen
Heinz-Georg Heidrich
Bruno Hethur
Bertha Reuter
Janus Weitzel-Koch
Bertha Gotthard
Bertha Barkholz
Gotthilf Gertz
Nikolas Siering
Johann Seidel
Franziska Wernecke
Herr Roman Sontag B.Sc.
Gusti Henschel
Rabea Weiß MBA.
Hinrich Römer
Wera Schmidt
Herr Jonathan Beckmann B.A.
Dipl.-Ing. Canan Pölitz B.Eng.
Ing. Jenny Oestrovsky
Oxana Henschel
Juergen Bähr
Marleen Langern-Oderwald
Valeria Bonbach
Annegrete Jäkel
Elif Röhricht
Swen Wirth
Aldo Kusch-Klemm
Dipl.-Ing. Gerold Kusch B.Eng.
Stilla Hornig B.A.
Dr. Constance Römer
Dr. Matthias Niemeier
Alwine Bien
Herr Recep Junk B.A.
Hans-J. Trapp-Koch II
Ali Schmidt-Knappe
Erhardt Steinberg
Artur Kreusel
Janette Kallert
Nevenka Fritsch
Adina Finke
Laura Wilms
Karlheinz Martin
Ing. Isolde Rosenow
Irina Seip-Bolnbach
Fatima Weinhage-Boucsein
Tanja Plath
Rico Cichorius
Ing. Paolo Meister
Claudius Mude
Ing. Ronny Metz B.A.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Hilmar Hörle
Oskar Löwer B.Eng.
Irmtraud Hauffer-Matthäi
Ing. Margot Bonbach B.Eng.
Univ.Prof. Klaus-Günter Renner B.A.
Ahmet Stumpf
Univ.Prof. Jörg Jessel MBA.
Ing. Justina Fiebig
Hans-J. Wohlgemut
Elif Wohlgemut
Ann Mielcarek
Danilo Losekann
Univ.Prof. Änne Finke B.Sc.
Dorit Zimmer-Krein
Ing. Knud Vogt
Gabriela Freudenberger B.A.
Gerolf Döring-Buchholz
Engelbert Sauer MBA.
Senta Renner
Pedro Pölitz
Loni van der Dussen B.Sc.
Stephan Haase MBA.
Milos Pärtzelt B.Sc.
Michaele Schacht
Katharina Süßebier B.A.
Ing. Margarethe Martin
Gert Naser
Aloys Ruppert
Nicolaus Franke-Paffrath
Ellen Weinhold
Prof. Liane Jungfer
Concetta Wohlgemut
Horst Reising
Anatolij Kroker B.Eng.
Heinz-Günter Mülichen
Tino Gnatz
Univ.Prof. Nikolaus Sölzer B.A.
Annie Noack
Nuray Aumann
Frauke Stadelmann
Ing. Leonid Budig B.A.
Denis Weimer
Wilfriede Blümel
Bodo Martin
Artur Schaaf
Dr. Gundula Putz
Karl-Peter Grein Groth B.Eng.
Irmtrud Klingelhöfer
Sybilla Eigenwillig
Victor Butte
Heinz-Wilhelm Steuer-Mende
Heinz-Georg Hornich
Robby Weller
Willy Trub-Freudenberger
Elena Fiebig
Mandy Huhn B.A.
Ing. Brunhilde Albers
Paulina Oderwald
Ing. Rosalinde Rogner MBA.
Flora Mühle B.Sc.
Geraldine Wagner
Dogan Rogge
Julian Dussen van B.Eng.
Maren Roht
Dan Schönland MBA.
Anke Hettner
Univ.Prof. Resi Kobelt
Dr. Halina Mälzer
Dr. Jochem Trapp MBA.
Saskia Kallert
Valerie Kallert B.A.
Halil Warmer B.Sc.
Reinhold Bloch
Christoph Löchel B.Sc.
Jessica Kohl
Irene Stumpf
Svetlana Bonbach B.A.
Dr. Hans-Heinrich Kaul B.Eng.
Blanka Ladeck
Hans-Georg Scholz
Prof. Reimar Reinhardt MBA.
Dr. Erdogan Eigenwillig MBA.
Susann Hartung-Schmiedecke
Anton Gute
Klaus-D. Segebahn
Josef Rädel
Hanne-Lore Kraus
Heinz-Werner Schleich-Mies
Wolfhard Kensy
Bruno Martin-Kaul
Univ.Prof. Siegfried Karz B.Sc.
Ing. Cosimo Steinberg
Gusti Schleich
Damaris Bien
Roderich Ehlert-Henk
Anke Bähr
Hiltrud Adolph
Ivana Eimer
Hans-Wilhelm Weller
Joachim Rogge
Ing. Magarete Herrmann B.Eng.
Leon Aumann
Klaus-Günter Kreusel
Susan Warmer
Henriette Bruder
Matteo Dehmel-Weimer
Timo Huhn
Verena Gute-Trüb
Prof. Ingbert Nette
Benita Schleich
Dipl.-Ing. Gerdi Wende
Conny Geißler-Karge
Luis Jacob
Danuta Kreusel
Nick Hermighausen-Krein
Frieda Gröttner
Rosita Budig
Cilli Gorlitz
Dipl.-Ing. Ingbert Krebs B.Eng.
Burckhard Mende
Selma Fritsch B.Eng.
Gunnar Hornig
Prof. Grete Müller
Herr Knud Pölitz B.A.
Univ.Prof. German Rörricht
Irmtraut Hahn-Walter
Prof. Sandra Klapp
Eva-Maria Eberth B.A.
Wilfriede Ehlert
Aleksander Dowerg
Frau Nuray Mangold MBA.
Igor Dörschner
Yusuf Steinberg B.A.
Ryszard Lehmann
Zenta Mende
Kilian Austermühle B.A.
Philipp Killer B.A.
Ekkehart Grein Groth
Hans-Bernd Trupp
Klaus-Werner Bohlander
Frau Caren Schmidt MBA.
Armin Scholz
Gerd Süßebier
Herr Tomislav Ladeck
Gülsen Junck
Annika Wirth
René Ullrich
Klaus-Peter Gieß-Winkler
Marie-Luise Staude-Käster
Herr Siegmar Geisler
Ansgar Seidel
Fernando Dobes
Carina Killer
Anna-Marie Steckel
Ingrid Eigenwillig
Siegrun Christoph
Franz-Josef Kohl
Therese Neureuther
Kreszentia Bloch-Steckel
Herr Hermann-Josef Lehmann B.A.
Gebhard Eberth B.Eng.
Marie-Louise Girschner
Irmi Zobel
Inna Winkler
Heribert Römer-Lindau
Madeleine Hartung
Dr. Trude Ziegert B.A.
Prof. Torsten Geisel B.Sc.
Prof. Wolf-Dietrich Schweitzer MBA.
Kornelia Kade
Edda Junck-Eimer
Ada Heser B.Sc.
Zenon Pärtzelt
Jörg-Peter Jüttner-Winkler
Myriam Schäfer-Tschentscher
Ralph Rogge
Rena Rohleder
Frau Francesca Blümel
Luisa Seip B.Sc.
Univ.Prof. Harriet Heintze
Uli Renner
Prof. Johannes Holzapfel MBA.
Paula Heinz
Marika Sager
Hans-Günther Wilmsen
Pascale Bruder
Rosita Wesack B.Sc.
Ralf-Peter Gute
Fatma Löffler B.Sc.
Janusz Kruschwitz B.Eng.
Univ.Prof. Othmar Geisel
Ann-Kathrin Davids
Thea Schmiedecke
Gero Gumprich B.Sc.
Zehra Putz
Frau Ariane Weinhage MBA.
Herr Hermann-Josef Hauffer
Kornelius Fröhlich B.Sc.
Ing. Hartmuth Gute B.A.
Edeltrud Kambs
Ludwig Reinhardt
Janett Patberg
Univ.Prof. Evelyn Seifert B.A.
Gilda Faust
Theda Klotz
Nada Hänel
Aribert Mitschke
Gerolf auch Schlauchin
Univ.Prof. Czeslaw Tröst
Agatha Kostolzin
Annett Mies-Hellwig
Heike Karge
Ing. Edward Salz
Mehdi Niemeier-Noack
Ing. Claire Hübel
Dorle Killer
Dr. Silvester Krein B.Sc.
Daria Liebelt
Ing. Birgid Möchlichen B.A.
Svenja Langern
Magarete Beyer B.Eng.
Dr. Sükrü Hettner
Ing. Ivonne Nerger
Sofia Etzler B.Eng.
Aurelia Dussen van MBA.
Benjamin Jäntsch B.Sc.
Harm Hein
Günter Schottin
Karl-Heinrich Schüler
Prof. Heinz-Willi Lindau MBA.
Recep Hecker
Branka Speer B.A.
Univ.Prof. Jörg-Peter Riehl
Aysel Löchel
Dörte Warmer
H.-Dieter Mülichen B.A.
Karl Meister B.Eng.
Zlatko Kraus
Prof. Jörgen Gieß B.Eng.
Univ.Prof. Ilja Hentschel MBA.
Heinrich Köster
Moritz Roht
Frau Valentine Benthin
Thilo Tschentscher
Dominic Gunpf MBA.
Metin Klemt
Semra Fiebig
Univ.Prof. Tomasz Atzler B.Sc.
Elena Linke-Wohlgemut
Univ.Prof. Sahin Freudenberger B.A.
Helmtrud Gerlach
Irmengard Röhrdanz
Frau Anka Hering
Mercedes Sauer
Celal Hettner MBA.
Sergio Schleich
Elke Haase
Karl Heinz Eigenwillig
Hansjürgen Schlosser
Josefine Rosemann
Lili Heydrich-Beyer
Natalia Hauffer
Raymond Römer
Dipl.-Ing. Heinz-Otto Jähn
Wolf-Rüdiger Börner
Berndt Riehl-Bohlander
Saban Hendriks
Eveline Putz
Nico Möchlichen
Univ.Prof. Trudel Gierschner MBA.
Dorina Dippel
Annegrete Pergande
Rüdiger Geisler
Susana Schaaf
Willibald Gude
Dr. Hildegund Söding B.A.
Hüseyin Hethur
Celal Pohl
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Prof. Theobald Mangold
Hansjörg Müller B.Sc.
Sonja Barkholz
Rosa Kobelt
Alois Knappe
Univ.Prof. August Schleich B.A.
Ing. Marko Linke
Ing. Hanna Killer
Hans-H. Pergande
Ing. Cläre Dowerg
Imke Gieß B.Sc.
Frau Ina Dietz MBA.
Caroline Harloff
Stjepan Langern
Miroslawa Jessel B.Sc.
Helga Gerlach-Seifert
Univ.Prof. Amalia Köhler
Dr. Lina Hiller
Bernard Bien-Lübs
Harm Sontag-Wilms
Gundolf Schomber-Hellwig
Ria Koch II
Ada Kreusel
Evangelos Staude
Lena Ernst-Schenk
Prof. Hermann Josef Söding
Herr Hartwig Henk B.A.
Wolfhard Jäkel MBA.
Siegbert Hartmann B.A.
Roselinde Metz MBA.
Karin Beckmann
Wieland Linke
Jutta Franke-Rosenow
Horst-Günter Zirme
Anne-Kathrin Bachmann
Dipl.-Ing. Slawomir Ebert MBA.
Guntram Warmer
Hassan Sager
Dr. Uli Segebahn
Aline Steinberg-Klingelhöfer
Angelique Wesack B.Eng.
Daria Stiffel
Marcel Oestrovsky
Claire Junk
Auguste Gunpf
Herr Jan Kobelt
Klaus-D. Zänker-Hein
Philip Weller B.A.
Sebastian Stiffel B.A.
Czeslaw Fiebig
Karl-Otto Winkler B.Eng.
Vito Roht
Rosa-Maria Losekann-Schulz
Kunibert Heß MBA.
Silva Plath
Prof. Knud Atzler B.Sc.
Marga Vogt
Manuel Krause MBA.
Irmtraut Haase-Hendriks
Mercedes Kobelt MBA.
Dr. Guntram Kusch
Henner Schmidt
Peter-Michael Spieß
Luciano Biggen
Knut Jacob
Marlies Seifert-Roht
Alexandra Henk MBA.
Ing. Marleen Hölzenbecher MBA.
Milica Huhn
Prof. Nikolai Gunpf
Reni Rosemann MBA.
Hans-Karl Bauer B.Eng.
Prof. Gülay Birnbaum
Frau Carola Scheibe MBA.
Katy Täsche
Diether Vogt B.A.
Liliane Steuer
Siegrid Paffrath
Ingetraud Caspar
Oda Henschel
Elizabeth Vollbrecht
Carla Hecker
Gerwin Textor
Niklas Scholtz
Maria-Theresia Tschentscher
Calogero Mude-Etzold
Anika Trüb
Sigrid Schleich
Felicia Hamann
Janet Johann B.A.
Giuseppe Preiß
Traugott Ruppert
Robert Weimer
Hans-Günther Kohl B.Eng.
Fredy Hiller
Enver Dehmel
Ilja Hölzenbecher-van der Dussen
Angelo Schmidtke
Jolanthe Jessel
Pia Steuer
Univ.Prof. Pia Schlosser MBA.
Prof. Cathrin Misicher
Prof. Woldemar Beier B.A.
Univ.Prof. Leszek Gieß B.Eng.
Martine Trupp
Karl-Friedrich Nerger
Erica Lachmann
Hassan Kroker-Girschner
Dr. Danica Scheuermann B.Sc.
Ing. Valeria Kruschwitz
Stephen Heidrich
Janine Müller-Steckel
Anne-Rose Krause
Prof. Almuth Dippel
Ute Stroh
Aynur Bohlander
Ing. Annekatrin Heß
Dr. Vitus Franke
Adalbert Hande B.Eng.
Klaus-Peter Häring
Heiner Pieper
Univ.Prof. Conny Wagner MBA.
Gerhart Schenk MBA.
Raphael Höfig
Hans-Henning Scheel
Frau Mia Kaul MBA.
Rainer Hänel
Jerzy Wagenknecht B.A.
Antje Kambs
Friedrich-Wilhelm Metz
Daniele Finke
Dipl.-Ing. Aloys Hentschel
Lidija Pärtzelt
Hans-Martin Junk-Kuhl
Gisbert Christoph
Hans-Georg Anders
Kilian Patberg
Ing. Elisabet Jopich B.Sc.
Evangelos Ring-Schmiedecke
Luigi Junitz
Heimo Bauer
Stephen Bruder
Siegrid Schmiedt
Eberhard Rust B.A.
Antonia Mohaupt
Horst-Günter Renner
Isabelle Förster-Beyer
Jens-Uwe Neureuther
Prof. Horst Mälzer B.Sc.
Ehrenfried Stiffel
Dr. Annelies Stumpf
Arnulf Ullmann
Klemens Thies
Jonas Budig
Ilhan Hoffmann-Karz
Sigmund Hentschel MBA.
Heide-Marie Zirme
Freia Hamann
Götz Budig
Philipp Lorch
Carl-Heinz Steinberg
Zeljko Jessel
Vladimir Wulf B.A.
Kunigunda Heser
Gertrude Kostolzin MBA.
Gabor Steuer
Willfried Werner
Raphael Barth
Ira Scholz-Pohl
Reni Roht-Binner
Dipl.-Ing. Iris Stumpf MBA.
Viviane Kensy
Vincent Kranz B.A.
Carl-Heinz Kraus
Severin Mende B.A.
Frau Katarina Bolander B.Sc.
Elli Kohl
Slawomir Ehlert-Reising
Herr Gustav Noack
Herma Geisler-Beckmann
Canan Beyer
Heinz Dieter Trubin
Frau Siegried Margraf B.Sc.
Irmtraut Mülichen B.A.
Thomas Drub
Käthe Ernst
Christos Bolander
Faruk Hoffmann
Patric Heinrich
Margret Dehmel
Anna-Luise Eckbauer
Prof. Necati Stey B.A.
Saskia Wagenknecht
Siegbert Conradi
Herr Konstantin Neureuther B.A.
Cindy Schleich
Giesela Wagner
Richard Mende-Hendriks
Cord Benthin
Fredy Ring
Mina Segebahn B.A.
Jolanta Döring
Ing. Wilhelmine Adler B.Sc.
Abbas Segebahn
Gunda Knappe
Maximilian Juncken
Insa Karz-Mangold
Dr. Franz-Peter Löffler
Frau Renate Geisler
Kazim Junken
Denny Bohlander B.A.
Ing. Gundolf Steinberg B.Sc.
Peer Grein Groth-Lange
Jost Briemer
Anatol Hübel
Julius Liebelt
Prof. Sibel Mälzer MBA.
Mehmet Sauer
Benno Klemt
Adelgunde Wagenknecht
Volker Hettner
Kai-Uwe Oderwald
Jonathan Birnbaum-Stiebitz
Dr. Aribert Sontag
Detlev Wilmsen
Ernst Gunpf-Naser
Milena Weitzel-Steinberg
Dr. Lisa Stroh B.Sc.
Prof. Wilma Mangold
Ivonne Hahn
Fredo Bärer
Prof. Ulla Dussen van B.Sc.
Torben Säuberlich-Linke
Peter Rohleder
Bertram Segebahn
Vitali Ortmann
Angelica Lindau-Heß
Mirjana Drub
Irmtraud Ladeck
Zdenka Weiß
Marek Ackermann
Cord Tröst
Dr. Cengiz Säuberlich
Jelena Meyer MBA.
Dr. Stefania Gnatz
Frau Margit Gehringer MBA.
Herr Hinrich Mühle
Bertha Rose
Kay-Uwe Trommler
Herr Klaus Peter Krause B.A.
Adalbert Boucsein
Ingeburg Radisch-Steckel
Jörgen Paffrath B.Sc.
Martina Salz-Sorgatz
Dr. Mechthilde Hellwig
Katherina Bien
Viktoria Trub-Budig
Dietlinde Binner
Boris Kruschwitz
Dr. Gabriel Freudenberger MBA.
Herr Sigismund Gieß MBA.
Rolf-Dieter Kensy
Johanna Bohlander
Herr Herbert Dowerg
Roswita Döhn
Alena Neureuther
Silvester Etzold
Vinko Reuter
Danilo Hein-Scheibe
Ewald Dussen van
Michel Heß
Emilie Schmiedecke
Dipl.-Ing. Edda Barth MBA.
René Kruschwitz
Jörg-Peter Klemt MBA.
Günther Bähr
Anni Hänel B.Eng.
Kenan Wulff-Plath
Anne-Katrin Höfig
Charles Heinz
Angelika Roskoth
Annaliese Klingelhöfer
Dr. Robert Neuschäfer
Peer Nohlmans B.Sc.
Johannes Freudenberger
Marten Wesack
Jana Wulf MBA.
Kati Radisch
Frau Chantal Ebert B.Eng.
Gaetano Fröhlich
Herr Ruben Schüler B.Eng.
Ing. Michel Harloff
Anneliese Gnatz
Hansjörg Holsten
Silvia Weiß
Prof. Antonia Mielcarek B.Eng.
Hans-Erich Staude
Philipp Reising-Harloff
Jasmina Koch MBA.
Dr. Ottfried Lachmann B.Sc.
Dipl.-Ing. Ehrenfried Kranz MBA.
Angelica Klemt
Johann Liebelt MBA.
Muharrem Rosemann-Heidrich
Prof. Lilly Schmidtke
Alwin Löffler B.A.
Gloria Schulz-Huhn
Cornelia Schinke
Edgar Jüttner
Wigbert Ortmann
Ingried Bähr
Anatolij Trub
Gerlinde Albers-Hörle
Dr. Fedor Plath B.Sc.
Sylvana Holzapfel
Marie-Therese Birnbaum
Theres Heser
Cemal Trapp
Gerda Sauer
Heimo Ziegert
Francoise Vollbrecht B.Sc.
Elisa Steinberg
Univ.Prof. Henry Wohlgemut B.Eng.
Hertha Gutknecht
Wanda Vollbrecht-Reinhardt
Reni auch Schlauchin
Kunibert Trommler-Renner
Herr Jerzy Drub
Hildburg Dowerg-Pergande
Annelore Täsche
Univ.Prof. Lisbeth Köhler
Heiner Ruppersberger-Hentschel
Tomislav Mende
Prof. Claudia Mude
Eleni Franke
Dr. Valentina Knappe
Adriane Wende
Marija Stahr
Christin Hein B.Sc.
Ing. Knut Christoph
Edgar Karge
Ekaterina Wieloch
Anselm Dowerg
Irmengard Sauer
Ing. Gabriella Bähr
Hans-Theo Bärer B.Eng.
Czeslaw Jacob B.Eng.
Mariola Tlustek MBA.
Rahel Stey
Irma Neureuther
Adriana Vogt
Hans-Gerd Jockel
Janine Dehmel B.Eng.
Prof. Volkmar Heuser
Wiltrud Gröttner-Klapp
Edmund Junck
Pius Gierschner-Weitzel
Antonius Kraus
Max Fiebig
Hellmut Nerger
Cordula Mangold
Herr Gotthard Wilms
Prof. Jelena Krebs B.Sc.
Hanns Stiffel
Univ.Prof. Francisco Tröst B.Eng.
Dipl.-Ing. Wilfried Ortmann
Dr. Irmgard Plath B.A.
Carmine Hauffer
Dr. Reimar Fiebig B.A.
Meike Rosenow
Marika Zänker B.A.
Dipl.-Ing. Dorina Lindau B.Sc.
Sergej Pärtzelt
Reinhild Pergande
Katharine Mohaupt-Heuser
Lilli Harloff
Gundula Adler-Bien
Evangelos Hartmann B.A.
Univ.Prof. Ottfried Scholl
Siegmar Pergande B.Eng.
Dr. Ljiljana Henck MBA.
Hartwig Zirme
Dipl.-Ing. Gabriel Roskoth
Valentine Bähr B.A.
Roselinde Ebert
Constanze Fechner-Dörr
Hilda Metz-Dehmel
Gerhart Davids B.A.
Serge Grein Groth
Ortrun Eckbauer-Kohl
Mariele Peukert
Dominic Martin
Ing. Willibert Steckel
Dipl.-Ing. Svea Neureuther
Stjepan Hofmann-Hethur
Dan Scheuermann
Dipl.-Ing. Richard Gröttner B.A.
Heinrich Kramer
Viviane Jopich
Oskar Weitzel
Heinz-Otto Geisler B.Sc.
Jonas Löchel
Hans-Jörg Lachmann
Prof. Friedo Reuter
Univ.Prof. Heinz-Werner Renner B.A.
Erica Schlosser
Lissi Thanel MBA.
Ahmed Freudenberger B.Sc.
Janusz Killer
Hanno Löffler
Anna Lübs
Nadja Schleich MBA.
Gülay Haase
Meral Reinhardt
Edda Jungfer
Nikolas Hövel
Wenke Patberg
Univ.Prof. Alois Jähn B.Eng.
Saskia Heidrich
Malte Davids
Hanspeter Koch II-Wohlgemut
Nils Hering-Loos
Gülten Röhrdanz
Irmhild Lorch
Sylvio Stiffel
Senta Hiller
Katrin Oestrovsky-Fechner
Nikolaos Dehmel B.A.
Evi Oestrovsky
Dipl.-Ing. Frederik Rörricht B.Sc.
Dipl.-Ing. Angelique Ortmann
Isabell Briemer
Sebastian Warmer
Valerie Mangold
Karl Heß
Melita Schacht
Dipl.-Ing. Undine Warmer
Herr Hans-Ludwig Steinberg
Frau Wenke Riehl
Reinhold Striebitz
Ljubica Wohlgemut-Schmidt
Tamara Nette-Ladeck
Prof. Klaus Peter Hellwig B.Sc.
Ekaterina Liebelt
Monja Heidrich
Conny Zirme B.Sc.
Guenter Lachmann
Stefanie Dippel
Frau Christiane Zänker B.A.
Slavica Koch
Margita Hentschel
Knud Zimmer
Karl-Wilhelm Meyer
Prof. Kaspar Mosemann
Alida Tröst
Stilla Heuser
Mesut Trommler
Änne Tlustek-Freudenberger
Erik Wirth B.Eng.
Bogdan Löffler
Xenia Hermann
Nikolai Mohaupt
Ines Anders
Dogan Häring MBA.
Balthasar Holsten
Dr. Hans-Herbert Losekann B.A.
Dipl.-Ing. Janet Ruppersberger
Steven Eimer
Ante Hermann-Mans
Andrew Misicher
Harriet Rohleder
Heide Knappe
Dr. Steven Wohlgemut
Petra Wagner
Kathi Christoph
Prof. Uschi Fliegner B.A.
Emilia Scheel
Frau Danielle Junk
Burkhardt Jäntsch B.A.
Krista Bohnbach
Nadia Steckel
Niels Faust
Dipl.-Ing. Apollonia Steuer
Frau Rosalinde Mitschke B.A.
Melanie Segebahn
Reinhard Beckmann
Melissa Stey
Univ.Prof. Suzanne Paffrath
Marica Walter
Stella Barth
Leokadia Bloch
Klaudia Löffler-Zorbach
Univ.Prof. Antonina Becker
Catrin Hamann
Roselinde Zobel
Prof. Sylvio Gumprich
Bayram Cichorius-Zobel
Giovanna Zobel-Liebelt
Joana Wähner
Prof. Ludger Kohl MBA.
Ing. Daria Lorch B.A.
Zofia Roht
Frau Karolina Hörle
Ljiljana Roht
Anton Drubin
Univ.Prof. Adelbert Zimmer
Hendrik Herrmann
Reni Cichorius
Univ.Prof. Annekatrin Neureuther B.A.
Gudrun Reichmann MBA.
Raphaela Eckbauer
Horst-Peter Ritter
Liesbeth Schlosser
Univ.Prof. Josip Hartung
Herr Yusuf Kabus B.A.
Augusta Flantz
Karl-Peter Hofmann B.A.
Ing. Romuald Kreusel B.A.
Victoria Klingelhöfer
Bernhardine Schuchhardt
Elise Heinz
Irmi Biggen
Dipl.-Ing. Wilfriede Bruder
Zlatko Ritter B.Eng.
Jolanda Rose
Anneli Heintze
Urban Klemt
Univ.Prof. Waldtraut Riehl
Univ.Prof. Traude Gertz
Osman Schmidtke
Justus Schüler MBA.
Univ.Prof. Franz-Xaver Girschner B.Sc.
Riza Römer
