Student
Dipl.-Ing. Marica Sager
Hildegunde Wende-Spieß
Maria-Luise Schaaf
Ottilie Blümel
Ing. Maren Schenk
Prof. Natalija Weinhold
Benita Neuschäfer
Calogero Staude B.A.
Antonia Mohaupt
Constantin Beckmann
Bogdan Steckel B.Eng.
Hans-Willi Ladeck
Dr. Meinhard Hiller
Zbigniew Hahn MBA.
Janus Weitzel-Koch
Ronny Scholtz
Ing. Marcel Gute
Norman Ditschlerin MBA.
Rosemarie Hethur
Dipl.-Ing. Edgar Gehringer B.Eng.
Hanife Täsche-Stiffel
Dr. Jann Wesack B.A.
Gisela Carsten B.Sc.
Univ.Prof. Helge Pieper
Dr. Diedrich Krebs B.A.
Korbinian Bolander
Wibke Cichorius
Lisa Rädel-Bender
Virginia Gieß
Ing. Antonius Jacobi Jäckel MBA.
Dipl.-Ing. Hans-Günther Bien
Erdmute Mosemann
Heribert Steuer
Judith Koch-Mude
Fatima Eckbauer-Rosemann
Esther Ehlert
Wiltrud Jäkel
Constance Rogge
Univ.Prof. Janos Rörricht MBA.
Hartmuth Gude B.Eng.
Arnulf Säuberlich
Dipl.-Ing. Dursun Köhler
Hugo Ruppert-Kade
Gunar Lindner
Svenja Hartmann
Dr. Leila Gunpf B.Sc.
Marcus Finke
Prof. Cora Bolander
Angelique Wesack B.Eng.
Anne-Kathrin Bachmann
Anja Meyer B.A.
Harro Trapp B.Eng.
Lorenz Schüler B.A.
Dajana Meyer
Antonio Margraf
Prof. Mathilde Segebahn MBA.
Arno Mude
Herr Valentin Warmer
Ulrike Ackermann B.Sc.
Alexej Röhrdanz
Gretchen Jessel B.Sc.
Kamil Hecker-Hahn
Anica Kade-Steuer
Univ.Prof. Gundi Koch B.A.
Renate Mies
Renate Austermühle B.Eng.
Jens-Peter Heinrich
Univ.Prof. Melita Langern
Veronica Benthin
Rupert Kallert
Nurettin Bärer B.Eng.
Miriam Ehlert MBA.
Tobias Wirth
Ria Walter
Traude Kuhl
Francoise Vollbrecht B.Sc.
Jan-Peter Scheuermann-Jungfer
Mariusz Stadelmann-Jähn
Ing. Konstantin Gerlach B.A.
Mariechen Nohlmans
Henni Wagenknecht B.Sc.
Raymund Mosemann-Eckbauer
Henny Stey
Univ.Prof. Zita Löchel B.Sc.
Bertha Köhler
Theresia Henck
Dr. Pius Säuberlich B.Sc.
Gundi Hiller
Elias Hethur
Erik Trupp MBA.
Roderich Weitzel
Hans-Friedrich Heydrich
Hans Georg Gorlitz-Schäfer
Camilla Kühnert MBA.
Ivonne Lachmann
Alida Ehlert
Bert Junck
Prof. Salvatore Römer
Margarete Linke
Gunar Börner
Ditmar Trub
Ottilie Hartung
Dominic Möchlichen
Herr Bertold Löffler
Alfredo Bolzmann B.A.
Timm Wende
Annemarie Wieloch
Heribert Römer-Lindau
Ricarda Warmer B.A.
Adolfine Fischer
Ruthild Hoffmann
Dipl.-Ing. Marc Stroh
Sami Mans-Ullrich
Leif Wulff
Falk Wagenknecht B.Eng.
Ing. Carolin Faust B.A.
Suse Hornich
Attila Werner
Viktoria Trub-Budig
Sofie Reichmann
Prof. Manuela Schleich B.Sc.
Hannes Jäntsch
Cathleen Mies MBA.
Frau Inken Zimmer B.Eng.
Marica Walter
Reinhild Patberg
Herr Hans Rogge
Nikolas Heß
Felix Freudenberger
Adelinde Putz
Ing. Carmen Birnbaum
Karl-Friedrich Nerger
Xenia Margraf
Freia Hofmann
Dierk Beier
Diane Butte-Schleich
Prof. Gundula Dörr B.Sc.
Xenia Christoph
Marlies Mude
Nikolaj Scholz
Herr Augustin Thies B.A.
Oskar Beyer
Univ.Prof. Dogan Mielcarek
Herr Thomas Baum
Ing. Cynthia Weihmann B.Eng.
Stephanie Heintze
Polina Hettner
Univ.Prof. Roger Stadelmann B.Sc.
Prof. Lilly Schmidtke
Dipl.-Ing. John Ortmann MBA.
Halina Hethur
Isa Weihmann
Curt Schönland
Ricarda Steuer
Univ.Prof. Herta Zänker
Anika Holsten
Gerti Trupp-Dowerg
Ing. Kunigunde Wieloch
Andrei Bolander-Jäkel
Betti Zirme B.A.
Dipl.-Ing. Ladislaus Weinhold
Gunda Knappe
Philipp Lorch
Dr. Alena Hövel
Anton Gute
Frau Magarete Mans B.Sc.
Eberhardt Gute
Dr. Edit Scheibe B.A.
Johann Seidel
Lisette Schönland B.Eng.
Dr. Gabriel Junitz
Hanns Ehlert MBA.
Alice Nette
Benita Geißler
Heinz-Gerd Söding
Anastasios Drub
Tim Sorgatz
Kristiane Steckel
Gerhild Stiffel
Dr. Irmgard Plath B.A.
Franz Löwer
Anka Förster
Dr. Ute Schuchhardt
Rosmarie Kambs MBA.
Dina Johann
Nina Müller B.Eng.
Prof. Concetta Mies B.Eng.
Lotte Kusch
Janin Haase
Geert Schuchhardt
Zeljko Jessel
Roderich Ehlert-Henk
Gesche Kühnert
Bärbel auch Schlauchin
Prof. Alida Mangold MBA.
Walter Pruschke
Clara Ruppersberger
Achim Mülichen-Schleich
Gerd Wiek MBA.
Dr. Krista Wirth
Karen Grein Groth-Dörschner
Gislinde Müller
Jozef Kostolzin
Dipl.-Ing. Miguel Bärer
Univ.Prof. Siegfried Karz B.Sc.
Karoline Römer
Irena Wilmsen
Mark Schottin B.Eng.
Univ.Prof. Monja Staude MBA.
Vladimir Patberg-Weller
Dorina Dowerg
Oxana Schmidtke
Folkert Reinhardt B.Sc.
Prof. Lotti Löffler
Edith Hettner
Ernst-August Gunpf
Giesela Wagner
Marta Eigenwillig-Hörle
Ing. Friedhelm Löchel B.Eng.
Dorit Ebert
Reinhold Schäfer-Eimer
Wieslaw Käster
Gerd Becker
Kay-Uwe Pölitz
Dierk Steinberg
Gusti Henschel
Wencke Salz
Dipl.-Ing. Klaus Geisler
Gundi Sager
Renate Bärer
Dr. Mechthilde Hellwig
Calogero Heintze
Fernando Gieß
Reimund Eimer
Frau Wenke Klemt
Franz-Xaver Bachmann
Luis Jacob
Leokadia Bloch
Josefa Hauffer
Ulrich Plath-Weihmann
Artur Budig
Hans-Josef Butte-Dussen van
Gerda Stey
Tilmann Geisler
Gitte Römer-Kroker
Constantin Ziegert
Helen Hein B.A.
Dipl.-Ing. Marieluise Löchel
Frau Myriam Walter B.Sc.
Irmi Schacht
Hilde Lübs
Alicia Ring
Cordula Mangold
Herr Recep Junk B.A.
Stjepan Schmidtke
Nikolaus Fiebig
Prof. Trude Schäfer MBA.
Siegrid Misicher
Prof. Tadeusz Mosemann B.Sc.
Dr. Anny Kallert
Frank-Michael Löwer-Ring
Henny Herrmann
Reimer Scheel B.Eng.
Cosimo Girschner
Zoltan Preiß B.Eng.
Dr. Aysel Kohl
Heinz-Otto Hermighausen
Frau Karolina Hörle
Dietlind Anders B.A.
Lydia Losekann MBA.
Domenico Nohlmans-Eberhardt
Mohammed Geißler
Mirko Eckbauer
Heide-Marie Zirme
Hubert Weitzel
Jessika Thies
Irmgard Liebelt
Herr Eberhardt Gierschner
Cornelia Schinke
Maurizio Hermann
Kreszentia Jockel
Svetlana Schenk-Barth
Norbert Niemeier
Alexandros Heintze
Anton Müller
Clara Stroh
Sami Stolze-Döhn
Karl-Wilhelm Anders-Gude
Irmtrud Bolzmann
Svetlana Boucsein
Raimund Gieß
Ing. Siegmar Meyer B.A.
Gerold Loos-Rogge
Ing. Aziz Hein
Danilo Hein-Scheibe
Katharine Mühle
Ilonka Lange
Marlen Wende
Svenja Langern
Dr. Jurij Nohlmans B.A.
Patrizia Biggen
Ingmar Hauffer
Gundula Weitzel-Liebelt
Univ.Prof. Claus-Dieter Meister B.Eng.
Dipl.-Ing. Svea Neureuther
Andreas Birnbaum-Kallert
Rosa Pieper B.Eng.
Olivia Thies B.A.
Heiderose Lange-Schüler
Univ.Prof. Cecilia Scholl MBA.
Uwe Sorgatz
Antonina Pärtzelt-Gerlach
Guido Wagenknecht-Kallert
Sylvester Neuschäfer-Schacht
Brita Kaul
Franca Harloff-Döring
Prof. Thekla Hahn
Ing. Leander Weimer B.Eng.
Eckehard Mude
Wencke Riehl-Stoll
Ing. Hellmuth Scholl
Canan auch Schlauchin-Dussen van
Wiltrud Geißler
Wiltrud Bolander
Tomislav Steckel
Hildegunde Stiebitz-Mude
Herr Götz Süßebier
Mehmet Beckmann-Geisel
Othmar Täsche-Loos
Klemens Winkler
Friedo Meister-Klemm
Clara Rust
Cemal Klingelhöfer-Otto
Ing. Mohammed Geißler B.Eng.
Gunter Schenk B.Sc.
Frauke Söding
Magdalena Gude
Herr Frank Bolnbach
Dipl.-Ing. Hardy Kohl
Georgia Trub
Traudel Wilmsen B.A.
Abdul Trüb MBA.
Ilhan Hoffmann-Karz
Tibor Budig
Albert Seifert MBA.
Prof. Cilli Wulf
Dr. Wolf-Rüdiger Trüb
Arndt Weinhold MBA.
Julie Schweitzer
Chantal Kade
Süleyman Wende
Enno Jockel MBA.
Cemal Trapp
Concetta Seifert
Ing. Magda Jäntsch
Hans-Günther Wilmsen
Priska Rädel
Danilo Hartmann
Gunda Ditschlerin B.A.
Egon Haase
Joana Mielcarek B.A.
Dr. Emin Dietz B.Sc.
Dr. Athanasios Noack MBA.
Joana Wähner
Irmgard Pieper B.Eng.
Imre Mülichen
Ryszard Süßebier-Neureuther
Janusz Beckmann
Michail Schmidt
Ulrike Albers
Liliana Gehringer
Karl-Otto Kostolzin
Richard Mende-Hendriks
Hanne Gierschner
Univ.Prof. Heinrich Knappe B.A.
Gunhild Zimmer
Marta Roht B.Sc.
Manuel Schenk
Mercedes Kobelt MBA.
Geraldine Wagner
Univ.Prof. Ayten Lorch
Murat Linke
Prof. Pascale Kruschwitz
Benno Klemt
Stephanie Kranz B.A.
Apollonia Heß B.A.
Marion Drewes
Niklas Trubin
Dorothee Seidel
Slawomir Ehlert-Reising
Vitali Neureuther
Franka Mitschke B.Sc.
Aziz Anders
Rainer Scheel B.Eng.
Ing. Marga Lehmann MBA.
Prof. Karl-Ernst Möchlichen
Herr Otto Vollbrecht
André Segebahn
Nicolas Möchlichen MBA.
Iwan Käster
Alida Trupp
Zdravko Jacob
Herlinde Birnbaum
Dipl.-Ing. Lilly Boucsein B.Sc.
Katrin Ortmann
Liesbeth Schlosser
Ilonka Döring-Schulz
Solveig Scheibe
Karl Heinz Hörle
Andy Mangold
Beate Nette
Gerard Scholl
Hulda Junk
Mohammad Finke
Ingetraut Köster
Helmuth Langern-Steinberg
Dipl.-Ing. Lieselotte Trüb B.A.
Aysel Löchel
Hans-Martin Kohl
Elisabet Schuster B.A.
Lisette Stoll B.Eng.
Reinhild Pergande
Dusan Conradi-Rogner
Dipl.-Ing. Theobald Knappe B.Eng.
Catherine Huhn
Reimer Kitzmann
Guntram Scholz MBA.
Annemarie Seidel
Severin Barkholz B.Eng.
Bela Köster
Urs Ebert
Cynthia Langern
Dipl.-Ing. Nina Boucsein MBA.
Herr Anton Mohaupt B.A.
Univ.Prof. Giovanna Siering MBA.
Hanspeter Davids
Marlen Schenk-Schuchhardt
Frau Julie Wieloch
Prof. Hannah Hölzenbecher MBA.
Dr. Jonas Anders B.Sc.
Dipl.-Ing. Canan Pölitz B.Eng.
Silke Scheuermann B.Sc.
Herr Marian Schlosser B.A.
Dunja Dörr B.Sc.
Astrid Dowerg-Stroh
Guenther Metz
Rosl Trupp
Uli Stolze MBA.
Ronny Dippel
Herr Valerij Heydrich
Karl-Wilhelm Geisel
Ludmila Löffler
Damian Dörr
Ing. Hanny Schlosser MBA.
Freia Hamann-Eckbauer
Heike Karge
Babett Adler
Diana Weitzel
Prof. Evelyn Henk
Ferdi Hoffmann
André Röhrdanz B.A.
Dipl.-Ing. Mirella Franke MBA.
Frau Bianka Henk B.Sc.
Rudolf Mentzel
Helmar Barth
Jochen Säuberlich
Natascha Eigenwillig
Mandy Rädel
Benjamin Lübs
Gabor Dobes
Brit Lindner
Oxana Lübs
Dr. Karla Christoph
Ilse Krebs
Ing. Gregor Lindau
Dipl.-Ing. Detlef Schacht
Reinhold Schönland
Senta Warmer
Helen Dehmel
Tilman Eberhardt
Vincenzo Jopich
Dr. Mirko Langern MBA.
Helma Zorbach
Gerti Döring
Irmengard Jüttner B.Eng.
Klaus Peter Weller
Zehra Conradi-Heinrich
Dörthe Mitschke-Holt
Micha Schottin
Frieda Tintzmann-Löchel
Paul-Gerhard Jungfer B.Eng.
Herr Imre Kohl
Käte Ditschlerin-Roht
Willi Birnbaum
Wilma Pärtzelt-Huhn
Augustin Wende
Blanka Ladeck
Liesa Sauer
Aurelia Sorgatz
Othmar Zänker
Anatolij Jüttner-Bauer
Frau Nurten Huhn
Marit Thanel B.Sc.
Editha Jacob
Ignatz Budig
Tilman Henschel
Antonius Kraus
Herr Sigismund Gieß MBA.
Elwira Hellwig
Prof. Georgia Zirme MBA.
Reni Henk
Francisco Budig-Geisler
Univ.Prof. Gerhardt Dowerg B.Eng.
Kathi Wesack
Egon Ruppersberger B.Sc.
Dr. Patrizia Dörschner B.A.
Sigurd Lange-Seifert
Dr. Abdullah Becker
Thoralf Geisel
Jörgen Paffrath B.Sc.
Philippe Geisler
Univ.Prof. Rotraut Juncken B.A.
Juergen Bähr
Herwig Krebs
Dr. Songül Tlustek MBA.
Stilla Klotz
Frau Herlinde Segebahn
Gernot Dörr
Eberhard Dobes
Carla Hecker
Lars Walter
Mareike Reichmann
Henri Finke-Lehmann
Berndt Bähr
Ing. Hannes Jähn B.Sc.
Patrick Döring
Prof. Sahin Kreusel
Dipl.-Ing. Bernhardine Heß
Ingrid Eigenwillig
Sandy Fechner
Eleonora Gehringer
Tomas Säuberlich B.A.
Silja Eberhardt-Boucsein
Sylvester Bender-Boucsein
Natalie Werner
Erol Jäntsch
Andreas Trapp
Hannchen Drewes B.Sc.
Baldur Käster B.A.
Josephine Schweitzer
Xenia Hermann
Univ.Prof. Gottlob Tröst B.Eng.
Celal Ortmann-Otto
Ilonka Buchholz-Köhler
Dipl.-Ing. Mariola Lange B.Sc.
Dursun Mies
Mohamed Schottin
Korbinian Werner
Univ.Prof. Conny Wagner MBA.
Katherina Ruppert
Inna Weinhage
Monique Schleich-Kroker
Freia Kraushaar B.A.
Dipl.-Ing. Waltraut Kallert
Adriane Wende
Dr. Myriam Pieper B.Eng.
Edmund Junck
Heinz-Gerd Gorlitz B.Eng.
Heinz-Peter Biggen
Mary Reuter B.Sc.
Liane Hermann MBA.
Amalia Hermann-Schäfer
Dr. Erdogan Eigenwillig MBA.
Cäcilie Haase
Pius Römer MBA.
Bertram Segebahn
Vincenzo Lübs
Jiri Förster
Sofia Heinrich
Fredy Hiller
Betty Steinberg
Carmelo Stiebitz
Ahmet Pärtzelt
Univ.Prof. Josefine Lindau
Brigitte Zirme B.Sc.
Patricia Trubin
Stephanie Beer
Ing. Therese Rust
Frau Gertraude Wesack B.Eng.
Irmtraut Noack
Leonhard Adolph
Dipl.-Ing. Frederik Rörricht B.Sc.
Tomislav Jopich-van der Dussen
Sandro Schmiedt
Univ.Prof. Friedlinde Bien MBA.
Ernst-August Gutknecht
Ing. Clemens Wirth
Kirstin Kusch-Meister
Lena Dowerg
Frau Margrit Beckmann
Dr. Rotraud Gorlitz
Anika Trüb
Theo Döring
Giuseppe Preiß
Frau Katarina Bolander B.Sc.
Univ.Prof. Claudia Freudenberger B.Sc.
Miroslav Krein
Frau Minna Steinberg B.Sc.
Helmtrud Neureuther
Univ.Prof. Hartwig Holsten B.Sc.
Margareta Zirme
Hedi Butte-Neuschäfer
Angelique Adler
Francesco Wieloch-Herrmann
Elsbeth Schmiedecke-Wulf
Lilli Atzler
Frank-Michael Köhler
Gönül Barth-Zobel
Freia Hamann
Emmy Koch
Marzena Neuschäfer
Claus Jähn B.Eng.
Liliane Gröttner-Albers
Ing. Birgid Möchlichen B.A.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Pavel Ehlert
Ing. Pavel Weller B.Eng.
Olga Krein
Prof. Pedro Schmidt B.Eng.
Herr Andy Förster B.A.
Karl-Dieter Segebahn-Köster
Dipl.-Ing. Katarina Schmidtke
Frau Trude Walter B.A.
Rosita Möchlichen-Stumpf
Bayram Hering
Anatolij Kroker B.Eng.
Damaris Holsten-Schleich
Theresia Paffrath
Lilli Meyer-Reuter
Hans-Bernd Rose
Bertram Höfig B.Sc.
Helena Hettner
Reimar Jacob-Loos
Jochem Hermighausen
Nelly Schlosser
Brita Schwital
Augustin Lachmann
Ing. Sina Johann MBA.
Rena Radisch
Annie Langern
Rosa Christoph-Sontag
Univ.Prof. Paul-Heinz Heinz
Annemie Kade-Kuhl
Ing. Helmtrud Dussen van
Milos Kuhl B.Sc.
Marcella Höfig
Ing. Alfred Söding
Theres Beer
Jens-Uwe Neureuther
Hasso Mans-Buchholz
Waldemar Ladeck
Pierre Ortmann
Ing. Gottfried Hoffmann
Galina Kraus-Hermighausen
Univ.Prof. Isabel Ladeck
Hans-Theo Vogt-Beckmann
Univ.Prof. Valeria Putz
Mathilde Wähner-Bien
Gerolf Radisch
Ing. Carolin Hoffmann
Ing. Claire Hübel
Henryk Bauer
Irmengard Sauer
Elmar Förster
Conrad Killer
Nadin Radisch
Ramona Henk B.Sc.
Heidelore Zirme
Dora Jockel
Franco Loos B.Eng.
Zofia Schönland B.Sc.
Josip Stey
Oliver Schwital
Hans-Rudolf Fröhlich
Sigmund Conradi
Götz Budig
Elena Ditschlerin
Ian Briemer B.Eng.
Luciano Klotz
Univ.Prof. Belinda Henck
Remo Köhler
Prof. Ursula Niemeier B.Eng.
Orhan Mude
Gregor Loos-Gehringer
Valentin Gute
Zita Klemt
Fredy Birnbaum-Kensy
Hasso Zahn
Centa Bohlander-Stiebitz
Annerose Kaul
Friedrich Bolnbach-Gnatz
Gretchen Pohl
Reinhard Rogge
Alwin Schaaf
Melitta Steinberg
Rosa-Maria Knappe
Anja Wagner-Hermann
Hatice Killer-Löwer
Jonas Löchel
Ivo Lorch
Waltrud Gumprich
Alexej Wagner
Ing. Marvin Renner MBA.
Bianka Schuster-Ziegert
Berndt Riehl-Bohlander
Marcella Karz B.A.
Milka Hahn
Christa Säuberlich
Tina van der Dussen
Bertram Caspar
Univ.Prof. Waldtraut Riehl
Stephanie Weller
Karola Zorbach B.Eng.
Monika Mühle-Hiller
Carlo Pohl
Nadeschda Rädel
Patric Hermighausen MBA.
Stephan Warmer B.Eng.
Tülay Hettner-Ebert
Hendrik Bolzmann-Henschel
Ing. Hansgeorg Jockel B.Eng.
Ercan Oestrovsky B.Eng.
Gundula Ruppersberger
Cilli Heintze
Nada Girschner
Ing. Gabriella Bähr
Dr. Arzu Martin B.Eng.
Ehrentraud Biggen-Kreusel
Rosita Wiek
Prof. Sylvana Trapp
Dr. Rosmarie Seip
Ernst Henschel
Guenter Lachmann
Regina Wende
Carl Schmiedt
Adalbert Schmidtke
Wenke Stolze
Laura Beier
Ismail Steinberg
Ariane Löchel
Lutz Kobelt
Dipl.-Ing. Cynthia Hauffer B.A.
Eva Wende B.Eng.
Tülay Scholtz
Halil Löwer
Salvatore Tlustek
Karla Freudenberger MBA.
Kristian Albers
Edward Hering MBA.
Jessica Stumpf
Gitta Berger
Siegmar Mies-Baum
Dorina Dippel
Kornelia Bachmann
Leif Christoph
Bartholomäus Karge B.Eng.
Milos Knappe-Scholz
Caroline Wende
Giuseppina Keudel
Anna-Lena Röhrdanz B.Sc.
Hildegard Roht B.Sc.
Christof Ditschlerin
Herr Ronny Tröst B.Sc.
Alois Jungfer B.Eng.
Ing. Muharrem Paffrath B.Sc.
Valerie Losekann
Jasmina Zorbach
Gabriel Werner
Elzbieta Hartung
Heide-Marie Gunpf B.A.
Dr. Annelene Hamann
Elise Hentschel
Frau Ellinor Tintzmann
Agathe Gertz-Butte
Sina Barkholz
Gaetano Köhler
Friedl Hartmann
Ivana Mans-Bruder
Nina Wagenknecht
Sylvie Börner
Marita Henk
Monja Weiß
Dr. Hans Jörg Zobel
Maya Conradi
Dr. Otto Schmidtke MBA.
Dr. Aldo Fritsch
Univ.Prof. Ismet Bloch B.Eng.
Kordula Kambs B.Eng.
Auguste Buchholz B.Sc.
Ignaz Beer-Eckbauer
Inge Dehmel
Fabian Lübs
Anna-Maria Holzapfel
Gert Juncken
Hanne-Lore Losekann B.Sc.
Jörn Hörle B.Sc.
Agatha Sager-Geisler
Antonie Ladeck
Ernst-Otto Heß-Hartmann
Frau Kunigunda Schaaf B.A.
Christos Ruppert B.A.
Thorben Stiebitz
Patrizia Wirth
Anton Stey
Theodora Aumann
Birgitta Hettner
Olga Stahr
Nadia Steckel
Catharina auch Schlauchin
Harold Bähr B.A.
Denis Ruppersberger
Stefanie Hertrampf MBA.
Dina Schmiedt MBA.
Frau Dorothe Mielcarek
Pia Steuer
Carina Schaaf
Britt Gorlitz
Jiri Kambs
Serge Trubin
Friedl Hölzenbecher-Eberth
Univ.Prof. Karl-Otto Dowerg MBA.
Maurizio Eckbauer
Prof. Annita Putz
Juliana Schönland
Nadia Wirth
Dipl.-Ing. Hermann-Josef Jüttner
Joanna Christoph
Dipl.-Ing. Daniele Geißler
Valerij Weller-Barkholz
Karl-August Liebelt-Köhler
Harro Söding
Frau Elfi Winkler MBA.
Ing. Adalbert Heser
Dana Ebert B.A.
Herr Hilmar Stumpf
Dipl.-Ing. Zenta Hornig B.Sc.
Christopher Fröhlich
Univ.Prof. Annekatrin Neureuther B.A.
Dr. Gundula Putz
Francisco Wirth
Tanja Plath
Kornelius Hornig MBA.
Danilo Ehlert
Dipl.-Ing. Dunja Hoffmann
Kathi Häring
Univ.Prof. Gretchen Sontag B.A.
Mareike Lübs
Mattias Kruschwitz
Hans Jürgen Lange
Ing. Margarete auch Schlauchin MBA.
Univ.Prof. Nermin Rosemann B.Sc.
Eleni Krause B.A.
Silvester Etzold
Clemens Barth
Prof. Bertha Jacobi Jäckel MBA.
Jakob Pohl
Prof. Nikolai Gunpf
Dipl.-Ing. Regine Renner
Prof. Goran Sölzer MBA.
Siegrid Paffrath
Frederik Bohlander
Elizabeth Jacob
Radmila Linke MBA.
Heinz-Wilhelm Säuberlich MBA.
Saban Hendriks
Desiree Wulf-Jüttner
Hans-Bernd Zobel
Sandra Hornig
Tomas Gröttner
Ortrun Siering
Frau Mia Kaul MBA.
Knut Jacob
Univ.Prof. Nadeshda Oestrovsky
Iris Mans
Jasmina Heuser
Ing. Josip Ruppert
Katrin Oestrovsky-Fechner
Konstantinos Stolze-Biggen
Cetin Schwital
Hardy Weller
Kathrin Johann-Schulz
Rosalia Johann
Bernhardine Bender MBA.
Prof. Marten Söding B.A.
Dittmar Hövel
Concetta Karge
Bertold Stadelmann
Dr. Steven Wohlgemut
Maurizio Tschentscher
Valeria Conradi
Herr Knud Pölitz B.A.
Hartmuth Vollbrecht
Hans Kraus
Henny Eberhardt
Mijo Karge-Löchel
Uwe Rosenow
Silva Plath
Johann Reuter
Andrei Säuberlich
Prof. Tillmann Holt B.A.
Univ.Prof. Alexandros Junk
Margareta Schmidt
Gitta Mohaupt
Frau Notburga Pergande
Eckard Textor
Karlfried Sorgatz
Janko Margraf MBA.
Sarah Beckmann
Zehra Ernst-Bohnbach
Gertraude Ruppersberger
Dr. Gerard Reichmann MBA.
Friedhold Löwer-Ebert
Maren Roht
Dipl.-Ing. Meral Beyer
