Student
Elke Haase
Benno Hofmann
Liesa Wilms B.A.
Hardy Hänel B.Eng.
Dr. Filippo Eberhardt B.Eng.
Ercan Kühnert
Brian Blümel B.Eng.
Leokadia Bloch
Maria Bruder
Herr Hermann-Josef Hauffer
Isabell Kroker B.Eng.
Julia Conradi-Mentzel
Ing. Josip Ruppert
Carl-Heinz Kraus
Annaliese Lübs
Clara Rust
Ing. Henning Drub
Kathrin Dussen van
Siegrid Bachmann-Schaaf
Calogero Staude B.A.
Dipl.-Ing. Margarita Stey
Dipl.-Ing. Harm Ruppert MBA.
Hilda Stey B.Eng.
Jolanthe Jessel
Dipl.-Ing. Grete Stiebitz
Dr. Carsten Steinberg
Anne-Kathrin Ortmann
Ing. Nicolai Textor B.A.
Prof. Johan van der Dussen
Janett Patberg
Prof. Alida Mangold MBA.
Heinz Dieter Barkholz
Siegried Caspar B.A.
Konstantin Ladeck
Katharina Käster MBA.
Oxana Henschel
Alexandra Butte
Imelda Söding
Dipl.-Ing. Friedhilde Hauffer B.A.
Annemie Margraf
Hanne-Lore Johann
Sybilla Herrmann-Pärtzelt
Prof. Evelyn Henk
Hannes Jäntsch
Dipl.-Ing. Tim Jäntsch B.Eng.
Herr Vito Roskoth B.Sc.
Kläre Kohl
Clara Stroh
Hans-Jürgen Klemm
Stjepan Langern
Adalbert Boucsein
Dipl.-Ing. Gunnar Rohleder B.Sc.
Cetin Heidrich
Ing. Alexandros Vogt MBA.
Henni Wagenknecht B.Sc.
Beatrice Fechner
Annegret Holt-Heuser
Ing. Engelbert Bauer
Gusti Wagenknecht
Ing. Nadeschda Bohlander
Valeri Mielcarek
Hans-Heinrich Schüler-Seip
Björn Rädel-Rohleder
Anthony Heintze
Univ.Prof. Annegrete Holt
Emma Blümel
Prof. Katalin Lindner B.Eng.
Jan-Peter Grein Groth
Univ.Prof. Veli Etzler
Karlfried Rörricht
Sandy Römer-Bien
Enver Conradi-Hecker
Theo Döring
Bertha Rose
Judith Hering B.A.
Hans-Martin Junk-Kuhl
Prof. Ulla Dussen van B.Sc.
Siegmar Mies-Baum
Sergej Pärtzelt
Dr. Songül Tlustek MBA.
Joachim Süßebier
Siegward Weinhold
Anne-Rose Hettner B.A.
Murat Meister
Amalie Gotthard-Beckmann
Herr Oliver Pechel
Edelbert Stey-Scholz
Hans-Hinrich Trub
Dipl.-Ing. Giuseppina Etzler B.Sc.
Ing. Pius Börner
Bianca Mans
Aleksej Lehmann
Joseph Austermühle
Nicolaus Franke-Paffrath
Tomasz Bolnbach
Ljiljana Roht
Apollonia Trüb B.A.
Sibilla Eimer
Justus Lorch
Meta Eigenwillig
Danilo Losekann
Adelbert Rörricht
Frau Reinhilde Wirth MBA.
Prof. Guenter Mosemann
Gottlob Seip
Alwine Wirth-Klemm
Jonathan Mohaupt
Emilia Scheel
Edda Henschel
Calogero Mude-Etzold
Prof. Karl-Ernst Möchlichen
Dipl.-Ing. Tamara Seifert B.A.
Salih Eckbauer-Renner
Luis Jacob
Elisabet Preiß-Thanel
Univ.Prof. Fatima Faust B.A.
Sara Rogge
Herr Gordon Heintze B.Eng.
Univ.Prof. Anny Stolze
Holger Röhricht
Minna Wernecke-Gumprich
Marzena Neuschäfer
Rolf-Dieter Preiß
Siegmar Dowerg
Dipl.-Ing. Peer Kuhl
Winfried Hermann
Tomasz Preiß
Birgid Graf
Hans-Günther Eimer
Konstantinos Stolze-Biggen
Herr Tomislav Ladeck
Karl-Dieter Speer
Frau Gilda Ebert
Milka Wohlgemut-Meyer
Univ.Prof. Gunda Höfig
Irmtraut Ortmann MBA.
Stilla Dobes
Wilfriede Misicher
Ing. Maria Lübs
Gereon Jacob
Fabian Pechel-Dippel
Lukas Ditschlerin
Horst-Peter Thies
Karl-August Döhn B.A.
Hans-Jürgen Barth
Herr Baptist Klotz
Teresa Jessel
Krzysztof Mülichen
Ann-Kathrin Davids
Gunda Ditschlerin B.A.
Kai-Uwe Mitschke
Arno Mude
Hassan Sager
Univ.Prof. Sergio Kreusel MBA.
Frau Herlinde Schleich B.Sc.
Corinne Berger
Dr. Paulina Textor B.A.
Dr. Harald Ritter
Svetlana Schenk-Barth
Mike Hofmann
Prof. Ralph Patberg
Gina Wulff B.A.
Dipl.-Ing. Rigo van der Dussen B.Eng.
Heinz-Otto Hermighausen
Wencke Bohlander
Janina Faust MBA.
Frau Pascale Hettner B.Eng.
Benjamin Jäntsch B.Sc.
Frau Wenke Klemt
Krista Gertz B.Eng.
Melita Schacht
Heiko Metz
Senta Wernecke B.Sc.
Elise Ackermann
Ing. Willibert Steckel
Korinna Spieß MBA.
Angelo Pärtzelt
Lieschen Rörricht
Frau Camilla Kruschwitz
Gesa Keudel-Bauer
Herr Süleyman Karge MBA.
Constanze Fechner-Dörr
Juan Fechner
Kläre Mohaupt-Salz
Virginia Gieß
Annette Ullmann
Lorenzo Hornig
Dipl.-Ing. Jens-Peter Dippel MBA.
Hans-Theo Bärer B.Eng.
Edeltraud Bärer
Gabor Pechel-Junken
Hanspeter Benthin
Annie Langern
Univ.Prof. Gusti Schlosser
Gottfried Keudel MBA.
Hertha Butte B.Eng.
Margita Schleich-Becker
Elfi Wesack
Prof. Ingetraud Seidel B.Sc.
Drago Gierschner B.Eng.
Vinko Kraus-Schmiedt
Isolde Seifert
Wolfgang Beier-Mohaupt
Hellmuth Hörle
Theodoros Grein Groth
Friedrich-Karl Weimer
Mareike Reichmann
Ing. Vitali Hentschel MBA.
Rolf-Peter Staude
Anastasios Drub
Nevenka Hörle MBA.
Grit Röhricht-Rosemann
Margareta Schmidt
Helen Hein B.A.
Prof. Clemens Söding
Sibylle Stey
Mandy Trüb
Miguel Briemer
Zita Klemt
Steven Seifert
Prof. Gaetano Weiß
Dr. Melitta Mans B.Eng.
Deborah Etzler
Univ.Prof. Romuald Hermighausen
Brigitte Zirme B.Sc.
René Gude B.A.
Irene Gotthard-Hoffmann
Janet Jüttner
Hans-Detlef Bender
Heinz-Joachim Jähn
Ottfried Peukert-Schulz
Paolo Meister
Herr Mario Pergande
Hatice Killer-Löwer
Andrei Bolander-Jäkel
Ing. Marvin Renner MBA.
Univ.Prof. Harro Fröhlich
Patrizia Biggen
Dr. Aribert Sontag
Herr Karlheinz Mans
Gitte Briemer
Prof. Emine Beer
Antonietta Hübel
Robert Weimer
Lena Holzapfel
Gerold Thanel
Edgar Rohleder-Fröhlich
Herr Oliver Stahr
Sieghard Kensy
Prof. Augustin Stey B.A.
Anneli Neuschäfer
Moritz Holzapfel
Birthe Trommler
Dipl.-Ing. Johanna Henck
Prof. Frithjof Adolph MBA.
Wieslaw Lachmann
Univ.Prof. Metin Martin B.Sc.
Aenne Sölzer B.A.
Ilja Krause
Clara Ruppersberger
Henning Fechner
Andres Sager
Janna Kambs
Horst-Peter Riehl
Aleksej Kühnert B.A.
Herr Ilhan Tröst B.A.
Trudi Keudel B.A.
Vesna Bähr
Nadin Radisch
Alfred Holzapfel-Hamann
Gordon Klemt-Rörricht
Gisa Mohaupt
Frau Evelyne Süßebier B.Eng.
Slobodan Hauffer
Jurij Zahn B.Sc.
Heinz-Werner Schleich-Mies
Georgios Knappe-Mälzer
Karl Heinz Eigenwillig
Univ.Prof. Walter Barkholz
Prof. Lydia Siering
Ing. Corinne Winkler
Marco Conradi
Mechtild Niemeier
Sandy Haering
Franz Josef Hoffmann B.Sc.
Krista Hofmann
Mijo Jessel B.A.
Hansjürgen Säuberlich
Wolfhard Kensy
Bertram Caspar
Cathrin Weitzel MBA.
Lilly Seifert
Reinald Zahn
Univ.Prof. Vadim Vollbrecht B.A.
Herrmann Holt-Lindner
Prof. Urs Salz
Heiderose Bärer
Eleni Krause B.A.
Dipl.-Ing. Ryszard Buchholz
Univ.Prof. Alexandre Schottin
Dr. Cengiz Säuberlich
Apollonia Heß B.A.
Friedhilde Wernecke
Univ.Prof. Philomena Kensy
Cord Mende B.Eng.
Ilias Wagner
Gina Killer
Dr. Annedore Wulff B.Sc.
Catharina Jacob
Adalbert Reising
Annemarie Häring
Laurenz Siering-Kallert
Dr. Myriam Häring
Marianna Hofmann
Marie-Louise Hendriks-Dörschner
Silvia Lübs
Ing. Adam Klemt MBA.
Gislinde Schlosser
Univ.Prof. Nadine Gnatz
Rena Rohleder
Margita Hentschel
Dominik Jungfer
Annett Anders MBA.
Willfried Mende
Univ.Prof. Norbert Röhrdanz B.Sc.
Maria-Theresia Scholl
Renate Franke B.A.
Brunhilde Scholz
Falko Schüler
Franjo Junitz-Hahn
Gundula Otto-Kuhl
Ottokar Berger
Stavros Hentschel B.Eng.
Univ.Prof. Herlinde Klotz
Pia Fliegner
Prof. Angelique Seidel MBA.
Mirjana Schlosser B.Eng.
Ing. Gordana Bruder MBA.
Elvira Cichorius
Sören Pechel
Bruno Wagenknecht
Herr Anthony Caspar
Prof. Robert Heintze
Univ.Prof. Monja Staude MBA.
Herr Rudi Neuschäfer
Tatiana Kade-Rust
Kristin Niemeier
Ben Zahn
Univ.Prof. Vinko Tschentscher
Gabriele Schmidt
Ing. Jeanette Rosemann B.Eng.
Irmtraut Fröhlich-Hertrampf
Franz Steuer
Süleyman Wende
Philomena Bloch
Prof. Wolf-Dietrich Schweitzer MBA.
Olivia Nerger B.Eng.
Simone Harloff B.Eng.
Thorsten Kensy B.Eng.
Elmar Fröhlich
Siegmund Hövel
Alena Seip
Frau Herlinde Segebahn
Martin Dörr
Sofia Heinrich
Louis Kostolzin
Dr. Jonas Anders B.Sc.
Juergen Beier B.A.
Lisbeth Mielcarek
Anne-Marie Drewes
Brunhilde Nohlmans
Selim Pieper
Elvira Mälzer
René Rose-Krebs
Isa Weihmann
Antonia Mohaupt
Egbert Tschentscher
Univ.Prof. Paul-Gerhard Lübs MBA.
Dörte Warmer
Hanne-Lore Kraus
Richard Kostolzin
Wulf Kusch
Bozena Meyer
Thoralf Geisel
Aleksej Fröhlich
Lena Wende
Ing. Gregor Lindau
Univ.Prof. Sebastian Sontag
Janett Zorbach
Pedro Bärer
Elenore Renner
Heinz-Günther Mosemann
Univ.Prof. Immo Mangold
Dagmar Dussen van
Hansgeorg Heuser
Melitta Fliegner
Sibylle Jäntsch
Sigfried Franke B.Sc.
Heimo Karge-Freudenberger
Prof. Walter Pechel
Ing. Valerij Segebahn B.Eng.
Hans-J. Wohlgemut
Dipl.-Ing. Sieglinde Fischer B.Eng.
Prof. Falko Trapp B.Eng.
Ralph Binner-Römer
Henryk Bauer
Ing. Carolin Hoffmann
Francesca Wieloch
Univ.Prof. Traudel Wernecke B.A.
Hanno Trub
Zita Ullmann-Heydrich
Ramon Salz
Sarina Dobes
Dr. Ljiljana Henck MBA.
Nathalie Langern
Jose Tlustek B.Sc.
Siegfried Schuster
Hedda Haase
Hajo Kranz-Heser
Univ.Prof. Paul-Heinz Heinz
Patrizia Schüler
Petar Bauer
Ingetraud Austermühle-Dowerg
Miroslawa Haase
Herr Hendrik Fritsch B.Eng.
Jakob Pohl
Knut Jacob
Ludmila Karge B.A.
Horst-Dieter Bähr
Arnulf Ullmann
Geert Schuchhardt
Nina Ladeck
Nora Dehmel B.Eng.
Cemal Klingelhöfer-Otto
Herr Salih Blümel
Dr. Franco Stumpf B.Eng.
Solveig Scheibe
Dajana Gehringer
Wilma Matthäi
Dr. Abdullah Becker
Andre Schlosser
Theres Heser
Ing. Meinhard Schweitzer
Frau Caren Schmidt MBA.
Dr. Reimar Fiebig B.A.
Ing. Siegrid Birnbaum
Orhan Wieloch
Francisco Harloff
Susanna Söding
Fernando Schüler
Prof. Maria-Theresia Schaaf B.A.
Adriane Wende
Andre Mülichen-Scholz
Reinhard Beckmann
Herr Claus Killer
Herr Gustav Noack
Gilda Faust
Daniela van der Dussen B.Eng.
Hans-Jörg Trupp-Säuberlich
Dominik Huhn
Thorsten Ruppersberger
Vinzenz Bruder
Leonardo Rogge
Dr. Hans-Hermann Rosemann B.A.
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Aenne Mende B.Eng.
Cäcilie Roht-Misicher
Athanasios Jacobi Jäckel
Maren Bachmann-Stumpf
Sylvana Holzapfel
Prof. Swen Benthin MBA.
Rita Käster B.A.
Dr. Ursel Gute
Xenia Hermann
Prof. Woldemar Beier B.A.
Milica Huhn
Trudi Radisch
Hanife Täsche-Stiffel
Egbert Bender
Prof. Kaspar Mosemann
Erwin Jopich
Dr. Änne Radisch
Dr. Ferdinand Pölitz
Prof. Bertha Jacobi Jäckel MBA.
Ruthild Hoffmann
Sigmund Heydrich
Wendelin Schäfer B.Sc.
Prof. Mechtild Steuer
Athanasios Bloch
Ahmet Stumpf
Ahmad Jacobi Jäckel
Larissa Löffler
Klaus-Werner Bohlander
Stephanie Beer
Pius Röhrdanz
Aurelia Mude
Janette Kallert
Reingard Klingelhöfer
Paul Carsten
Uli Wohlgemut-Stadelmann
Oxana Schmidtke
Giuseppe Preiß
Univ.Prof. Frederike Heintze
Augustin Renner
Ilja Freudenberger B.A.
Fatima Rörricht
Dipl.-Ing. Lucia Renner B.A.
Augustin Hoffmann MBA.
Raymond Ruppersberger
Lidwina Sorgatz-Weihmann
Dipl.-Ing. Hans-Ludwig Meyer
Prof. Riza Niemeier
John Gunpf B.Sc.
Jolanda Henck
Klara Schlosser
Gotthold Krause
Elizabeth Schlosser B.A.
Gerfried Dippel
Eugenia Stey
Sylvester Neuschäfer-Schacht
Arne Dobes
Sofia Mielcarek B.A.
Janina Seifert
Hans-Rudolf Dehmel
Meral Liebelt
Julie Radisch MBA.
Univ.Prof. Dolores Rust
Brita Kaul
Hans-Gerd Holt
Heimo Bauer
Karoline Hübel
Michaela Loos-Mentzel
Rosemarie Schmiedecke
Claus-Dieter Krause
Univ.Prof. August Schleich B.A.
Kay-Uwe Barkholz
Jörg-Peter Jüttner-Winkler
Dipl.-Ing. Wolfram Johann B.Eng.
Calogero Hoffmann B.Eng.
Univ.Prof. Milan Hande
Hans-Herbert Eckbauer
Herr Aleksandr Wiek B.Sc.
Hubert Hertrampf
Halil Löwer
Ing. Gabriela Dippel MBA.
Lorenz Sauer
Mehdi Kohl B.A.
Univ.Prof. Linus Seifert
Simon Meyer
Marietta Heinrich
Ivan Plath
Radmila Kraus-Schacht
Katherina Bien
Fredi Meyer-Weiß
Prof. Tilmann Franke B.Sc.
Osman Liebelt
Herr Hartwig Henk B.A.
Sibylle Löchel
Alwine Bien
Ing. Steffen Röhrdanz B.A.
Lene Hermann-Kaul
Angelica Lorch B.Eng.
Wulf Steckel-Lachmann
Bertha Köhler
Dr. Auguste Sager
Dipl.-Ing. Hermann-Josef Jüttner
Anatoli Anders
Nadja Geisler
Luis Ackermann
Stefano Atzler
Anastasia Gunpf
Univ.Prof. Giovanna Bachmann B.Eng.
Ria Stroh
Wenzel Wilmsen
Ing. Wolf-Rüdiger Dietz B.Sc.
Pascal Freudenberger
Univ.Prof. Jörg-Peter Riehl
Hansjürgen Lindner
Univ.Prof. Oscar Lindau MBA.
Konstanze Sontag
Evangelia Harloff B.A.
Martin Pechel-Freudenberger
Ewa Eimer-Linke
Baptist Gröttner B.Sc.
Luzie Schäfer
Romana Wulff
Jann Fröhlich
Angelique Speer B.A.
Sigrun Mälzer
Theodor Striebitz
Knud Trommler
Frau Brit Stoll
Univ.Prof. Dogan Mielcarek
Cosimo Löffler B.Sc.
Senol Harloff-Lindau
Dina Schmidtke
Bernard Steinberg
Ing. Zlatko Gerlach
Gerold Loos-Rogge
Karolina Reuter-Freudenberger
Dipl.-Ing. Hildegunde Bachmann
Annaliese Gerlach
Herr Hinrich Mühle
Prof. Guiseppe Gröttner B.Sc.
Gertraud Tröst
Miguel Dussen van B.Eng.
Herr Marian Schlosser B.A.
Irmtrud Pohl
Anastasios Kuhl
Hanni Scholz-Weitzel
Roy Gumprich-Klemm
Herr Erich Rosenow
Ing. Carla Ziegert B.Eng.
Siegfried Knappe
Grzegorz Mende B.A.
Laura Wilms
Gabi Heinz
Hellmuth Heidrich
Witold Wulf
Francis Rohleder
Tino Niemeier
Dipl.-Ing. Bernward Putz B.Eng.
Raisa Stey-Sauer
Babett Süßebier B.A.
Liesa Sauer
Fatima Heser B.Eng.
Lidija Pärtzelt
Wera Schmidt
Eugenie Benthin-Ziegert
Stephen Kensy
Rosa-Maria Knappe
Felix Freudenberger
Annamaria Baum MBA.
Ingeburg Radisch-Steckel
Heinrich Ackermann
Ana Heinz B.A.
Tanja Rörricht-Haering
Robin Schuchhardt-Reichmann
Evi Oestrovsky
Univ.Prof. Frieder Döhn MBA.
Gertraud Mende
Josephine Nerger-Mende
Hilmar Graf
Stephen Trommler
Vera Scholl
Mirella Löchel
Maya Conradi
Ekrem Pruschke-Jäkel
Frau Rosalinde Mitschke B.A.
Prof. Tillmann Holt B.A.
Prof. Jörgen Gieß B.Eng.
Ludger Stiffel
Isa Tlustek
Lilija Ruppert
Univ.Prof. Hartwig Holsten B.Sc.
Fritz Nerger
Paul-Gerhard Gunpf
Hubertine Jäkel
Tanja Renner B.Sc.
Elfriede Gnatz
Ursel Juncken-Buchholz
Dr. Iris auch Schlauchin
Catherine Cichorius
Ditmar Adolph
Giuseppe Trupp
Hans-Eberhard Blümel
Pero Gnatz
Anett Bien-Schuster
Waltraud Wernecke
Wieslaw Löchel
Annie Schlosser
Ernst-Dieter Geisler B.Eng.
Ulf Dörschner
Gundula Weitzel-Liebelt
Ing. Marko Linke
Heinz-Otto Linke
Dipl.-Ing. Frederik Rörricht B.Sc.
Univ.Prof. Cynthia Löwer
Sina Patberg
Gina Pieper
Prof. Nikolaos Steinberg B.Sc.
Traudl Röhrdanz-Spieß
Karl Zirme
Ing. Christa-Maria Liebelt
Ing. Gerti Franke
Milena Weitzel-Steinberg
Univ.Prof. Czeslaw Heuser
Achim Etzold MBA.
Dorle Knappe
Hellmut Nerger
Meinrad Barkholz B.Eng.
Gudrun Rörricht
Gunar Lindner
Univ.Prof. Antoinette Wende B.A.
Janus Jessel-Hermann
Siegfried Kreusel
Ralph Schottin-Graf
Inge Kabus
Torben Wiek-Ring
Gunar Dobes B.Sc.
Rolf-Dieter Flantz B.Eng.
Reinhart Becker
Ilias Freudenberger
Zofia Gumprich
Amanda Fechner-Weinhage
Frau Mira Klemm
Annelene Reuter B.A.
Emilie Schmiedecke
Klaudia Seidel
Dipl.-Ing. Till Schenk
Inga Ruppersberger
Ramona Henk B.Sc.
Henriette Sager
Klemens Knappe
Vitus Pruschke B.A.
Univ.Prof. Ivanka Hübel
Herr Recep Junk B.A.
Louis Loos B.Eng.
Prof. Miguel Dowerg B.A.
Josefa Junk
Hansjürgen Schlosser
Dipl.-Ing. Gilbert Plath B.Sc.
Ehrentraud Trubin
Beatrix Scheibe B.Sc.
Zofia Gutknecht
Univ.Prof. Greta Trapp
Hellmut Siering
Niklas Schleich
Herr Goran Paffrath
Dr. Otmar Linke MBA.
Marius Klotz
Kreszenz Drubin
Fred Wende
Joachim Löffler-Riehl
Bernt Huhn
Dr. Valeri Sölzer B.Sc.
Cemal Hamann
Dipl.-Ing. Petar Wohlgemut
Ellen Haase
Hans-Gerd Dietz B.A.
Johann Reuter
Luigi Gude
Monica Blümel
Aurelia Sorgatz
Anastasia Mans
Swantje Heinz
Paul-Gerhard Hein
Anton Drubin
Käthe Langern-Jacob
Elias Hethur
Nikolaos Dehmel B.A.
Hans-Bernd Trupp
Patrick Haering
Marian Vollbrecht MBA.
Carsten Hartmann
Jasmina Bolzmann
Alida Tröst
Dr. Semra Wagenknecht
Kriemhild Jähn
Paulo Trommler
Isidor Täsche
Slavko Fliegner B.Sc.
Univ.Prof. Heidelinde Jopich B.Sc.
Ing. Edward Salz
Tülay Gnatz-Sorgatz
Irmtrud Bolzmann
Ehrentraud Meyer MBA.
Hartwig Zirme
Valeria Conradi
Eberhardt Fiebig
Karl-Wilhelm Meyer
Kordula Lange
Annamaria Hesse
Balthasar Müller-Drub
Gerta Kallert-auch Schlauchin
Sinaida Ruppersberger
Stefania Möchlichen
Kristiane Hermann
Giuseppe Stahr
Ing. Dörte Freudenberger
Zbigniew Schleich-Huhn
Carolin Holt
Sandro Täsche
Ariane Roskoth
Dipl.-Ing. Till Säuberlich
Dipl.-Ing. Tina Kranz MBA.
Dr. Stephanie Ladeck
Moritz Roht
Beatrice Käster
Rosalia Pruschke
John Roskoth-Rädel
Angelo Schmidtke
Herr Alois Thanel B.Sc.
Maurice Möchlichen
Stephen Heidrich
Jonas Budig
Dipl.-Ing. Babette Bauer B.Sc.
Balthasar Klemm
Frau Eleni Ziegert B.Sc.
Benno Ritter
Stella Mülichen
Dr. Hans-Peter Adolph MBA.
Elif Röhricht
Tibor Köhler-Schönland
Baldur Käster B.A.
Cornelia Radisch
Ing. Boris Junck MBA.
Hiltrud Pergande
Marcella Holzapfel
Antonius Hermighausen
Svea Krebs-Scheibe
Lissi Kohl
Herr Tom Täsche
Herr Dietrich Gotthard B.A.
Almut Trupp
Frida Stolze
Univ.Prof. Alexei Mülichen MBA.
Zofia Roht
Abram Eckbauer B.A.
Hellmuth Söding-Bonbach
Rosina Klotz B.A.
Anette Anders
Hans-Adolf Mosemann B.A.
Lucie Trüb-Schmiedt
Ing. Daria Lorch B.A.
Miroslawa Jäkel-Bohnbach
Senta Schmiedecke
Prof. Volkmar Heuser
Ing. Sina Johann MBA.
Emmerich Killer
Mareile Birnbaum
Heinz Dieter Trubin
Erdal Meyer B.A.
Ing. Nikolai Niemeier B.A.
Oxana Ladeck
Gotthard Löwer
Lorenz Schüler B.A.
Waltraud Hentschel
Istvan Patberg-Anders
Ing. Britt Trupp B.Eng.
Ing. Birgid Möchlichen B.A.
Hans-Bernd Knappe-Gröttner
Univ.Prof. Gesa Loos
Rosalinde Losekann
Gudula Niemeier
Franka Peukert
Univ.Prof. Siegrun Klingelhöfer MBA.
Milos Trüb
Danielle Drubin
Editha Jacob
Marleen Heser
Dipl.-Ing. Patric Johann
Prof. Vadim Stroh
Evelin Gerlach
Ansgar Seidel
Univ.Prof. Pia Schlosser MBA.
Elise Trupp
Klaudia Reuter B.A.
Herr Rupert Jüttner MBA.
Prof. Folker Budig
Siegrun Christoph
Herr Frieder Wulff B.Sc.
Mohamed Schottin
Dr. Sybille Bärer B.Sc.
Moritz Schönland
Hans Josef Striebitz
Nadin Hertrampf-Killer
Faruk Döhn
Dr. Diedrich Atzler
Conrad Lindau
Samuel Ackermann
Gino Häring
Margaret Kramer B.A.
Univ.Prof. Bela Kraus
Karl-Josef Schottin-Hoffmann
Willi Birnbaum
Univ.Prof. Sönke Schomber
Jost Gröttner-Mülichen
Siegrid Hande
Bayram Gertz-Hendriks
Ing. Ivonne Nerger
Bertram Rädel
Dorothe Renner
Alma Kaul
Ing. Erwin Kobelt B.A.
Gotthard Scheuermann
Charles Anders
David Faust-Holsten
Klaus-Michael Mälzer
Benno Kraushaar
Margareta Lübs-Vollbrecht
Theodoros Vollbrecht-Gutknecht
Dipl.-Ing. Theda Weinhold B.Eng.
Susann Henk
Iwan Renner-Dussen van
Dogan Bolander
Karl-Hermann Rädel-Müller
Justina Zirme
Gertraude Ruppersberger
Nikolas Siering
Günter Fischer
Univ.Prof. Ioannis Lübs B.Eng.
Jana Langern
Thea Bauer
Burckhard Heuser
Herr Laurenz Häring
Rose-Marie Schüler
Alexej Kohl
Ing. Hüseyin Gutknecht B.Sc.
Janine Hendriks B.A.
Dipl.-Ing. Götz Bloch
Sylvio Stiffel
Gisela Hornich-Metz
Prof. Kunigunda Pergande MBA.
Manuel Krause MBA.
Dogan Sauer
Karl Heinz Hörle
