Student
Marcella Sölzer
Melanie Jungfer-Preiß
Alwine Wulf
Univ.Prof. Hardy Hartung
Ferdinand Junitz B.Eng.
Ing. Gislinde Ernst B.A.
Kreszentia Bloch-Steckel
Inge Dietz B.A.
Fabian Lübs
Anne-Rose Klapp-Jockel
Frau Nurten Huhn
Dr. Elmar Junk
Edwin Wilms MBA.
Tilman Hövel
Marlene Drubin
Jennifer Hoffmann
Joana Mielcarek B.A.
Siegfried Schuster
Nathalie Lehmann
Miroslaw Hentschel-Stoll
Roswita Gumprich-Butte
Esther Ehlert
Insa Bloch B.A.
Karlfried Ruppersberger
Mira Hoffmann
Karl-Peter Häring-Kruschwitz
Meral Eberhardt B.A.
Arif Pergande-Wagenknecht
Phillip Salz B.Sc.
Eva Wende B.Eng.
Dr. Aziz Adolph MBA.
Josef Rädel
Hanni Scholz-Weitzel
Dipl.-Ing. Heinz-Otto Jähn
Herr Frieder Wulff B.Sc.
Dr. Cäcilia Henk B.Eng.
Tatiana Kade-Rust
Dr. Almut Nohlmans B.A.
Dominik Huhn
Florentine Sölzer-Siering
Dr. Patrizia Dörschner B.A.
Dipl.-Ing. Cynthia Hauffer B.A.
Irma Neureuther
Marijan Kruschwitz
Gordana Budig B.A.
Günter Wiek B.A.
Pero Scheuermann
Frau Tatiana Hande B.Sc.
Aysel Löchel
Eugenia Riehl
Ing. Horst-Dieter Seip
Robin Sölzer
Prof. Kata Häring
Prof. Marie-Theres Löffler B.Sc.
Bernd Binner-Hornich
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Leni Wohlgemut-Ruppersberger
Gislinde Junken
Ulrike Schleich-Süßebier
Siegbert Seifert
Prof. Ahmad Rörricht
Mirco Barth
Siegrid Schmiedt
Herr Erich Rosenow
Maximilian Jockel
Kriemhild Warmer
Prof. Concetta Mies B.Eng.
Univ.Prof. Natalie Flantz
Univ.Prof. Tina Rose
Nadja Ladeck B.Sc.
Arndt Bachmann B.Eng.
Annelies Beer
Univ.Prof. Andrea Gieß B.Eng.
Wilfriede Blümel
Andy Jockel B.Eng.
Univ.Prof. Michaele Heser MBA.
Inna Weinhage
Agathe Gertz-Butte
Bertha Gotthard
Victoria Werner MBA.
Fatma Seidel B.A.
Gabriel Werner
Rosa-Maria Seifert
Daniel Stiebitz
Babette Rohleder
Tibor Bolzmann MBA.
Ing. Jonas Schaaf
Doris Karz
Marcella Franke B.A.
Nadia Wirth
Prof. Jürgen Blümel B.A.
Hildegunde Aumann
Univ.Prof. Charlotte Lindner MBA.
Wilhelm Klemm B.A.
Polina Kostolzin
Regine Sorgatz
Adolfine Wilms
Ilka Faust
Eric Briemer
Hans D. Haering
Lisbeth Mielcarek
Thomas Hänel
Halina Segebahn
Annelene Zänker
Frau Alexandra Beckmann B.A.
Dietlind Anders B.A.
Frau Inken Zimmer B.Eng.
Hans-Georg Scholz
Lorenzo Zänker
Gundula Klotz
Mareike Wilmsen
Micha Schottin
Margarete Mohaupt B.Sc.
Isabelle Förster-Beyer
Frau Britt Heß
Francisco Harloff
Paul-Gerhard Jungfer B.Eng.
Uta Karz
Dipl.-Ing. Rolf Tröst B.Sc.
Dr. Stefania Gnatz
Gottfried Keudel MBA.
Ottmar Kruschwitz
Ernst-Dieter Geisler B.Eng.
Meryem Sager
Melita Schacht
Dipl.-Ing. Jose Löchel
Ing. Nuran Schaaf
Friedemann Stoll
Michel Hermighausen
Dipl.-Ing. Wilfried Ortmann
Ing. Ortrun Weimer
Jürgen Herrmann-Koch
Katherina Klapp
Marie-Luise Zorbach MBA.
Maren Roht
Univ.Prof. Zita Löchel B.Sc.
Irmtraud Schönland
Gebhard Kitzmann
Josephine Schweitzer
Dipl.-Ing. Hanns Killer B.Sc.
Trudel Wagner
Elif Röhricht
Gislinde Lehmann
Juergen Beier B.A.
Harro Keudel
Dipl.-Ing. Mahmoud Mühle B.Eng.
Prof. Arif Mielcarek B.Eng.
Ismet Kroker
Heimo Bauer
Apostolos Kreusel-Noack
Herr Heinz-Josef Wende MBA.
Ing. Gertraude Holsten B.Sc.
Anna-Maria Holzapfel
Janus Oderwald-auch Schlauchin
Angelina Ruppert-Siering
Thomas Hentschel
Univ.Prof. German Rörricht
Ilija Eckbauer-Steinberg
Kristian Albers
Dipl.-Ing. Viktor Scheibe MBA.
Emma Briemer B.Eng.
Dr. Valeri Sölzer B.Sc.
Dipl.-Ing. Kevin Stadelmann
Dr. Songül Tlustek MBA.
Univ.Prof. Claus-Dieter Meister B.Eng.
Wolf-Dieter Schmiedt
Alwin Scholl
Frau Anne-Katrin Rädel
Gretel Hande
Inken Gute B.Eng.
Heinz-Jürgen Hesse
Bertram Caspar
Marion Weihmann
Geza Bloch-Mühle
Jelena Jüttner
Claus Juncken
Mirko Eckbauer
Adriane Stroh
Janusz Kruschwitz B.Eng.
Dr. Natascha Trüb
Klaus-Ulrich Blümel B.A.
Univ.Prof. Claudio Schmiedt
Prof. Hans-Hinrich Schmidt
Celal Mühle
Hans-Gerhard Döhn
Sami Mans-Ullrich
Auguste Gunpf
Dipl.-Ing. Konrad Schenk
Enver Börner MBA.
Janina Faust MBA.
Remo Köhler
Osman Liebelt
Joerg Fritsch-Pieper
Prof. Gülay Birnbaum
Dipl.-Ing. Berend Niemeier
Nuray Aumann
Prof. Ilse Schmiedecke
Evi Heuser
Nicolaus Seifert B.A.
Carlo Pohl
Gülay Weinhold
Rotraud Fiebig
Mehmet Sauer
Michaele Schacht
Rosi Spieß
Ehrenfried Seidel MBA.
Prof. Ruth Gehringer
Justina Neureuther
Frau Natalija Stey
Jonas Löchel
Franziska Wernecke
Jochem Hermighausen
Kornelia Bachmann
Prof. Wolf-Dietrich Schweitzer MBA.
Herta Hendriks
Herr Bastian Hübel B.A.
Kuno Dussen van
Kathi Etzler
Ing. Hermine Warmer B.A.
Adelgunde Beer
Eileen Etzler
Valeska Geisler B.Eng.
Reni Roht-Binner
Dipl.-Ing. Danuta Stumpf B.Eng.
Rosalinde Trommler
Marlene Steckel B.A.
Ria Dietz
Silvio Weimer
Ing. Hatice Gehringer
Attila Atzler
Dipl.-Ing. Oskar Vogt B.A.
Dipl.-Ing. Dunja Hoffmann
Irmtrud Röhrdanz
Herr Hartmuth Pruschke
Univ.Prof. Gesa Loos
Antonia Köster B.A.
Czeslaw Jacob B.Eng.
Nikolaos Ebert-Grein Groth
Uschi Trüb
Ellen Weinhold
Hannelore Rädel-Keudel
Jennifer Trapp
Bernard Losekann
Ludmila Stadelmann
Reinhild Pergande
Paolo Klotz-Hein
Torben Schweitzer
Herr Jost Ruppersberger B.A.
Karl-Ludwig Hoffmann
Dana Schäfer
Univ.Prof. Frederike Heintze
Elfi Roht
Daniela van der Dussen B.Eng.
Yusuf Nette B.Sc.
Ing. Gabriela Dippel MBA.
Dr. Lidia Flantz B.Sc.
Georgios Knappe-Mälzer
Maren Bruder
Anny Wähner
Theda Klotz
Juan Noack
Sophie Scheibe
Ernst-August Gutknecht
Giuseppe Trupp
Bertha Heser MBA.
Micha Albers-Wilms
Ing. Petar Hänel MBA.
Dr. Myriam Häring
Gerold Schuchhardt B.Sc.
Judith Meyer
Fredi Jäntsch
Senol Heintze-Gerlach
Berndt Riehl-Bohlander
Dr. Catharina Gerlach B.Eng.
Norman Wulf
Wulf Thanel-Scheibe
Steven Seifert
Lili Weimer
Joanna Christoph
Friederike Geisler
Prof. Heide Krebs
Rebecca Geißler
Jann Schenk
Cilli Siering
Benita Holzapfel-Hecker
Hans-Theo Kuhl
Nuran Schottin B.Eng.
Michael Scholz
Luka Zorbach
Armin Scholz
Hildegunde Geißler-Klemm
Ing. Carolin Faust B.A.
Ing. Maike Hölzenbecher B.A.
Reimar Rädel
Irmengard Jüttner B.Eng.
Univ.Prof. Hinrich Eberth
Klemens Knappe
Zlatko Kraus
Ludmila Patberg
Herr Roderich Hauffer
Edit Siering
Rouven Bloch B.A.
Gerwin Textor
Herr Sigismund Gieß MBA.
Prof. Ullrich Rosenow B.A.
Gerhild Gude
Ing. Gottfried Hoffmann
Prof. Jolanthe Gude
Josefine Rosenow-Hertrampf
Harm Hein
Lena Mitschke
Annette Ullmann
Natalia Fröhlich-Kabus
Adelheid Hecker
Sigrid Schleich
Lilo Hartung
Mira Bender
Siegmund Hövel
Kasimir Lindau
Vinko Schmiedecke-Hendriks
Juan Schweitzer
Carolin Siering
Heidemarie Kreusel
Herr Imre Kohl
Ines Anders
Hans Kraus
Ing. Dorothee Harloff B.Sc.
Gebhard Seidel
Samir Krein B.A.
Vesna Wähner
Istvan Scheuermann
Anna-Lena Wohlgemut
Ulrich Plath-Weihmann
Dr. Auguste Sager
Waltrud Gumprich
Sevim Schmiedt-Döhn
Carolina Ditschlerin
Dipl.-Ing. Bodo Junk B.Eng.
Ann Mielcarek
Otmar Wende
Helene Gröttner-Hornich
Kuno Mälzer B.Eng.
Theresa Killer
Uwe Schwital MBA.
Alina Spieß
Elisa Noack-Seifert
Dursun Mies
Sarina Dörr
James Kostolzin-Staude
Krista Gertz B.Eng.
Ing. Katarzyna Noack
Angelo Schmidtke
Alexander Beckmann MBA.
Prof. Julia Möchlichen B.A.
Dr. Gerhart Käster
Kunibert Trommler-Renner
Jolanda Jopich
Denny Kusch
Dr. Hans-Hermann Rosemann B.A.
Svea Krebs-Scheibe
Nikolas Siering
Hella Pergande MBA.
Prof. Anna-Lena Wagner MBA.
Manuel Wagenknecht
Sibilla Mitschke-Losekann
Geraldine Gutknecht
Leonore Jäkel
Attila Losekann B.Sc.
Ing. Sebastian Killer B.A.
Francoise Rust
Klaus-Dieter Hänel B.Sc.
Jadwiga Karge
Adalbert Schmidtke
Meike Trupp
Ing. Brunhilde Albers
Tobias Wirth
Oskar Weitzel
Elisabet Preiß-Thanel
Alena Holzapfel
Konstanze Zänker MBA.
Sibilla Bachmann
Aysel van der Dussen-Jäntsch
Czeslaw Jacobi Jäckel-Zahn
Luis Jacob
Xenia Hermann
Karl-Heinrich Sölzer
Hans-J. Bolander
Jan Linke MBA.
Ing. Carolin Hoffmann
Univ.Prof. Gregor Gieß MBA.
Univ.Prof. Marita Pohl
Alwina Hettner
Ing. Melanie Hamann
Univ.Prof. Albertine Köhler MBA.
Hans Josef Lachmann
Ing. Henning Drub
Wieslaw Löchel
George Paffrath MBA.
Herr André Scholl B.Sc.
Constantin Kraus
Dipl.-Ing. Gertraut Stolze
Caroline Linke
Adelinde Gutknecht-Beier
Rüdiger Buchholz-Kuhl
Tassilo Gehringer
Ilonka Rose
Frau Hella Stumpf
Dr. Michel Pruschke B.Eng.
Frau Julia Fliegner
Emine Tlustek B.Sc.
Dipl.-Ing. Bertram Gieß MBA.
Ing. Käthe Plath B.Eng.
Gerhart Schenk MBA.
Gerlinde Albers-Hörle
Ing. Janin Winkler MBA.
Hansjürgen Eberth
Veit Beckmann
Aribert Mitschke
Dipl.-Ing. Mara Otto B.Sc.
Gerhild Löffler
Siegrun Schomber
Tomas Tlustek
Jacek Bärer
Imke Keudel B.Sc.
Univ.Prof. Ayten Lorch
Gerhart Karz
Frau Swantje Heinrich B.A.
Renate Franke B.A.
Frau Hildegart Etzler B.A.
Jelena Meyer MBA.
Meike Berger
Dipl.-Ing. Dragica Neureuther
Erol Eimer
Hans-J. Tröst MBA.
Univ.Prof. Amalie Warmer B.Eng.
Sybilla Herrmann-Pärtzelt
Rose Henschel
Isidor Atzler
Anica Austermühle
Gino Hartung
Malgorzata Rohleder
Linus Lübs
Mahmut Rose B.A.
Patrizia Wirth
Hans-Joachim Pohl
Michaela Döhn
Insa Karz-Mangold
Univ.Prof. Rotraut Juncken B.A.
Uli Schönland-Trupp
Ellen Junken
Herr Oliver Pechel
Univ.Prof. Gunda Höfig
Ingmar Beckmann
Bert Ortmann
Hajo Ziegert-Noack
Cora Stumpf-Gunpf
Theo Trubin
Hans Peter Beckmann
Prof. Linus Kambs B.A.
Martin Dörr
Evangelia Meyer-Mielcarek
Timm Schönland
Prof. Niko Hethur B.Eng.
Christos Sölzer
Prof. Ignaz Cichorius
Asta Knappe
Robby Kramer
Marc Henck B.Eng.
Univ.Prof. Katharina Werner MBA.
Werner Kramer B.A.
Thea Dippel
Dipl.-Ing. Sandro Bärer B.A.
Ing. Rolf Gertz
Anne-Marie Sontag
Univ.Prof. Ingelore Schulz MBA.
Henry Austermühle
Valentin Döring
Ditmar Adolph
Dipl.-Ing. Karl-Heinz Rörricht
Anneliese Trub
Leo Roskoth B.Sc.
James Kostolzin-Haase
Melitta Salz
Hans-Christian Eimer
Gunnar Weimer
Alicia van der Dussen-Patberg
Prof. Romy Bohnbach
Pero Gutknecht
Univ.Prof. Norma Schleich B.Sc.
Stavros Hentschel B.Eng.
Wilfried Radisch
Herr Gundolf Barth
Dariusz Wirth
Prof. Nikolai Gunpf
Mikhail Bauer
Ing. Massimo Losekann
Hannes Jäntsch
Louis Kostolzin
Dr. Hans-Detlef Lindau B.Eng.
Falko Kusch B.A.
Kristian Rosemann B.Sc.
Adelinde Kensy B.Eng.
Amanda Weller
Wally Schmidt
Serge Kade
Ing. Ivana Budig B.Eng.
Bayram Kostolzin-Rosenow
Ricarda Steuer
Steven Eimer
Sinaida Heinz-Gnatz
Dipl.-Ing. Hildegunde Bachmann
Prof. Timo Schleich MBA.
Zeki Otto
Dominic Schönland
Herr Ilja Kroker
Marion Kuhl
Ing. Henrike Kramer
Susanna Beyer B.Eng.
Horst-Peter Thies
Univ.Prof. Mira Mende B.Eng.
Dipl.-Ing. Ira Röhricht B.Sc.
Lucia Kohl
Prof. Susanne Heidrich B.Eng.
Zeljko Baum
Irmtrud Schaaf-Jacobi Jäckel
Heidelinde Pruschke
Domenico Nohlmans-Eberhardt
Ralph Jacobi Jäckel
Prof. Tilmann Franke B.Sc.
Milka Hahn
Margret Hentschel-Davids
Bruni Vogt MBA.
Emilie Scholz
Gert Fischer
Janine Hendriks B.A.
Franz-Xaver Carsten
Falk Sorgatz-Ortmann
Falk Wagenknecht B.Eng.
Jasmina Cichorius-Barth
Birgid Nohlmans
Dr. Annita Kallert
Gisbert Christoph
Klaus-Dieter Koch II B.A.
Frau Jane Caspar
Prof. Pedro Schmidt B.Eng.
Felizitas Becker-Mosemann
Helene Kuhl-Austermühle
Dr. Wilfriede Reuter
Jochem Röhrdanz
Guido Pieper
Uli Wohlgemut-Stadelmann
Prof. Helga Hesse
Ing. Gundolf Steinberg B.Sc.
Dr. Fedor Plath B.Sc.
Benno Kraushaar
Rosa Kobelt
Hans-Gerd Preiß
Prof. Hubert Heß
Dr. Frank Oderwald MBA.
Mariana Kranz
Alla Rohleder
Brian Ditschlerin
Elfie Otto
Toralf Pieper
Miriam Hentschel
Stephen Bruder
Detlev Stadelmann
Herr Hellmuth Birnbaum B.A.
Ing. Herbert Mühle B.Sc.
Swantje Binner B.A.
Benita Schleich
Christoph Löchel B.Sc.
Univ.Prof. Markus Finke B.Sc.
Joseph Austermühle
Brian Preiß
Edgar Jüttner
Ing. Andrew Nerger
Vadim Rose-Wulf
Dr. Herbert Jockel B.Eng.
Hülya Conradi
Irmgard Pieper B.Eng.
Dipl.-Ing. Wolfram Johann B.Eng.
Dipl.-Ing. Birgitta Boucsein
Hans-Detlef Kobelt
Klaas Vogt
Carola Kusch
Hüseyin Wulf-Schmidt
Paulina Oderwald
Univ.Prof. Roman Misicher
Roselinde Kusch-Röhrdanz
Evelin Gerlach
Ellen Jessel-Walter
Dr. Luisa Anders B.A.
Xenia Christoph
Marijan Killer
Jan Döring B.A.
Reimar Jacob-Loos
Karin Beckmann
Ing. Hansgeorg Jockel B.Eng.
Harm Nette
Hans-Helmut Eimer MBA.
Mira Rohleder
Ing. Marga Lehmann MBA.
Edda Gertz B.Eng.
Klara Schlosser
Hans-Detlef Bender
Charlotte Hecker B.Eng.
Ing. Marcel Gute
Ronald Stiebitz
Teresa Jessel
Mattias Henk
Guenther Schmidt
Bernhard Becker
Sofia Heinrich
Ehrhard Bohnbach B.Eng.
Erhard Geisel
Dimitrios Kraushaar-Adolph
Irmi Döhn
Ing. Roman Tröst
Dipl.-Ing. Mareike Noack B.Sc.
Frau Evamaria Geißler
Luisa Seip B.Sc.
Stephen Lübs
Angelique Adler
Anka Jäkel-Ackermann
Leon Linke
Ing. Wenke Karge B.Sc.
Janina Seifert
Iris Mans
Romuald Hartmann
Univ.Prof. Ludwig Jähn B.A.
Heinz-Joachim Trupp
Dipl.-Ing. Marc Stroh
Univ.Prof. Immo Mangold
Raimund Hande
Univ.Prof. Anika Jockel MBA.
Marlene Heuser-Trub
Ing. Carmen Birnbaum
Senta Schmiedecke
Francisco Budig-Geisler
Joerg Zimmer-Kusch
Wilma Drub B.Eng.
Hans Dieter Stahr
Ing. Czeslaw Geisel
Norma Jungfer
Frau Svenja Hövel B.Sc.
Herr Thorsten Hartmann B.Eng.
Ing. Gerti Franke
Dariusz Reising-Ernst
Lambert Misicher-Dörschner
Lorenz Hande-Hamann
Antje Drub
Hans-J. Hahn-Süßebier
Friedlinde Sauer
Gisela Schwital-Scheel
Pius Jopich B.Eng.
Herr Konstantin Neureuther B.A.
Vera Heydrich
Ansgar Möchlichen-Höfig
Univ.Prof. Waltrud Rogner
Enrico Oderwald
Dr. Ella Warmer
Damian Jopich B.A.
Centa Kaul
Eberhard Rust B.A.
Reinhold Striebitz
Prof. Karl-Hermann Pieper B.Eng.
Käte Ditschlerin-Roht
Felicia Hamann
Andy Mangold
Beatrice Käster
Klaus-Peter Kitzmann
Ole Losekann
Hiltrud Bolander-Ziegert
Rosmarie Ullmann
Joachim Rogge
Sabrina Kohl
Czeslaw Bohnbach B.Eng.
Michaela Sontag-Dörr
Sami Linke B.A.
Lidwina Karz MBA.
Krista Bohnbach
Ute Möchlichen
Walter Pruschke
Sigfried Franke B.Sc.
Eugen Schottin
Cord Mende B.Eng.
Ludmila Karge B.A.
Bernhardine Schuchhardt
Philip Fritsch
Clara Rust
Olivia Mies
Gilda Segebahn
Dr. Valentin Eigenwillig
Angelina Dörschner-Reichmann
Miguel Briemer
Oliver Kohl
Gisa Hendriks
Ing. Bernfried Haering
Heimo Gorlitz B.A.
Univ.Prof. Antoinette Wende B.A.
Prof. Auguste Scholz
Dipl.-Ing. Harm van der Dussen
Harry Lange
Nico Hartung-Linke
Ing. Bernard Schleich B.Sc.
Rabea Weiß MBA.
Dipl.-Ing. Richard Gröttner B.A.
Prof. Norbert Wilms B.A.
Ing. Jeanette Rosemann B.Eng.
Dolores Conradi
Ingried Bähr
Gretchen Jessel B.Sc.
Prof. Irmgard Mühle
Engelbert Carsten-Hiller
Sina Spieß
Theodoros Vollbrecht-Gutknecht
Moritz Roht
Ing. Rose-Marie Hölzenbecher
Tillmann Dobes-Trupp
Edith Kostolzin
Univ.Prof. Jann Schleich
Irmtrud Pohl
Margita Hartung-Zänker
Univ.Prof. Almuth Cichorius B.Eng.
Franjo Junitz-Hahn
Jonathan Birnbaum-Stiebitz
Dr. Gert Trapp MBA.
Metin Klemt
Uli Renner
Hans-Hinrich Bohlander
Marcus Finke
Helma Häring
Annaliese Gerlach
Siegmund Schleich MBA.
André Kraushaar-Henck
Ingrid Eigenwillig
Dipl.-Ing. Margaretha Köhler B.Eng.
Severin Mende B.A.
Gerhild Beyer
Cornelia Schinke
Emilia Scheel
Margarethe Wagenknecht
Prof. Liane Jungfer
Kenneth Kramer
Silja Jüttner
Gabor Pechel-Junken
Anthony Patberg
Janko Stey MBA.
Dipl.-Ing. Alla Karge
Ulla Hamann
Augusta Beer
Jörg-Peter Jüttner-Winkler
Patrizia Schüler
Zenon Hahn MBA.
Dominic Gunpf MBA.
Ole Schmidtke
Univ.Prof. Amelie Gröttner B.Eng.
Hilma Kuhl
Woldemar Jacob B.A.
Dr. Elfie Tintzmann
Prof. Friedbert Tschentscher B.Eng.
Marina Radisch
Dipl.-Ing. Anneliese Kühnert
Dr. Markus Roskoth B.Sc.
Gabriela Girschner
Hanspeter Juncken
Adalbert Hande B.Eng.
Horst Reising
Sarina Dobes
Daniela Weimer
Amir Reuter
Margot Schäfer B.Eng.
Darko Wilms
Sonja Barkholz
Jessika Käster
Ekaterina Schmiedecke
Hannchen Zahn
Miguel Gehringer-Reising
Ing. Bernfried Pruschke
Alfred Rose
Hassan Kroker-Girschner
Annelore Täsche
Herr Hendrik Fritsch B.Eng.
Bodo Ullrich
Arnulf Heidrich
Alfredo Oestrovsky
Univ.Prof. Steffen Tröst
Dr. Leila Gunpf B.Sc.
Nada Girschner
Univ.Prof. Maxim Matthäi
James Ebert
Frau Gertraude Wesack B.Eng.
Victoria Binner
Ewa Eimer-Linke
Nadeshda Mentzel
Krzysztof Kruschwitz
Anika Trüb
Ottomar Kraus
Anne-Katrin Rogge
Rainer Hänel
Heinz-Otto Hermighausen
Prof. Mechtild Steuer
Janusz Eberhardt MBA.
Ing. Christiana Seip
Herr Leonid Fröhlich B.Eng.
Madeleine Hermann B.Sc.
Prof. Gertraude Mangold B.Eng.
Alexei Meister
Björn Steckel B.Eng.
Manfred Juncken
Dipl.-Ing. Petar Wohlgemut
Ing. Swen Ehlert
Friedrich-Karl Jopich B.Eng.
Dr. Edith Ring B.Sc.
Zenta Mende
Dipl.-Ing. Halina Bender B.A.
Ing. Anna-Maria Stey
Johannes Freudenberger
Alois Römer-Becker
Ludwina Haase
Prof. Karl-Ernst Möchlichen
Ing. Margarete auch Schlauchin MBA.
Prof. Gunter Mentzel
Nikola Riehl
Aynur Bohlander
Lidija Pärtzelt
Annelie Heuser
Hans-Herbert Harloff
Hanni Dippel-Heser
Viktor Kusch
Justus Schüler MBA.
Pedro Hande B.Sc.
Dr. Hans-Heinrich Kaul B.Eng.
Dipl.-Ing. Leokadia Junk
Ing. Ronny Metz B.A.
Knud Zimmer
Wladimir Rogge
Gisela Hornich-Metz
Dr. Janos Reising
Dr. Elzbieta Mitschke B.Eng.
Dr. Danica Scheuermann B.Sc.
Emanuel Holsten
Wolfhard Vogt
Karl-Hermann Rädel-Müller
Anastasia Gunpf
Ing. Friedhelm Löchel B.Eng.
Concetta Dehmel
Univ.Prof. Nikolaus Sölzer B.A.
Univ.Prof. Giovanna Siering MBA.
Gerold Jacob
Marica Hamann-Koch
Heinz-Dieter Gute
Ariane Roskoth
Karl-August Reichmann B.Sc.
Marcella Höfig
Helga Gerlach-Seifert
Dipl.-Ing. Hülya Nerger
Mona Wiek B.Eng.
Filippo Jäntsch
Ria Koch II
Univ.Prof. Undine Becker MBA.
Franz Schweitzer
Sofie Staude
Siegmar Kramer
Univ.Prof. Lydia Langern
Dietlinde Käster
Lambert Gehringer
Nadeschda Rädel
Wibke Tschentscher-Wulf
Robin Weinhage B.A.
Herr Yilmaz Vollbrecht B.Eng.
Klothilde Zänker
Cecilia Stoll
Prof. Augustin Stey B.A.
Frau Mechtild Fliegner
Yasmin Reising
Frau Nuray Mangold MBA.
Prof. Ada Wähner
Slobodan Hauffer
Prof. Meral Jüttner MBA.
Dipl.-Ing. Albrecht Metz
Dipl.-Ing. Reimer Werner MBA.
Rosalia Pruschke
Frederik Beyer
Eberhard Dobes
Luis Ackermann
Anastasios Drub
Univ.Prof. Jens Weinhage
Univ.Prof. Suse Lachmann B.Sc.
Birger Becker
Univ.Prof. Annegrete Henck B.A.
Vassilios Kuhl B.Sc.
Edelgard Finke B.Eng.
Amalia Schmidtke-Radisch
Ortwin Scholl
Annelie Metz
Dorle Zirme
Elmar Fröhlich
Prof. Fredy Hahn
Michaela Kade
Jonas Adler
Jasmina Bolzmann-Hövel
Karsten Wohlgemut
Michaele Ruppert
Ing. Konstantin Gerlach B.A.
Ing. Wolf-Rüdiger Herrmann B.Sc.
Ing. Diedrich Gotthard MBA.
Gotthard Löwer
Anna-Marie Zorbach
Gabriele Schmidt
Thorben Kitzmann
Maximilian Heß
Gülsen Junck
Reinhart Winkler B.Eng.
Curt Jopich
Bogdan Rosemann
Engin Johann-Weihmann
Kay-Uwe Finke
Dr. Alwina Lorch MBA.
Gundula Otto-Kuhl
Ronald Hofmann
Ellen Haase
Harm Sontag-Wilms
Anatolij Keudel
Danilo Ladeck-Köhler
Prof. Annita Wulff
Franz Josef Herrmann
Ahmet Eckbauer-Sölzer
Laurenz Scholl
