Student
Univ.Prof. Petra Scheel
Prof. Goran Sölzer MBA.
Dr. Heiderose Kallert B.Eng.
Angela Stiffel
Prof. Dorit Käster B.Sc.
Horst-Günter Renner
Dr. Tim Hornig B.Sc.
Pauline Bolzmann
Ing. Alfred Söding
Karlfried Rörricht
Gerd Süßebier
Univ.Prof. Edit Ehlert B.Eng.
Xenia Margraf
Leif Wulff
Gunnar Hornig
Evamaria Berger
Franz Löwer
Carmine Schacht
Faruk Birnbaum
Prof. Natalja Mies MBA.
Kristin Bohlander B.Eng.
Prof. Pascale Kruschwitz
Hans-Herbert Walter
Sarah Beckmann
Guido Pieper
Dipl.-Ing. Rabea Sorgatz MBA.
Denny Kusch
Alina Schmiedecke
Frau Nuray Mangold MBA.
Edeltraut Anders-Rohleder
Prof. Knud Atzler B.Sc.
Anne-Marie Sontag
Dorothee Koch II
Filippo Jungfer-Kabus
Frau Therese Henk B.A.
Concetta Neureuther
Auguste Lorch
Josefa Junk
Ing. Willibert Steckel
Wencke Riehl-Stoll
Gerhild Beyer
Heinz-Willi Holt
Rose Henschel
Hedi Gumprich
Maren Scholz-Bohlander
Belinda Reinhardt B.A.
Dr. Valeri Sölzer B.Sc.
Torben Säuberlich-Linke
Eleni Matthäi
Anastasia Gunpf
Heimo Karge-Freudenberger
Amalie Gotthard
Ralf-Dieter Kroker
Niko Bähr B.Sc.
Darius Gieß
Andrei Bolander-Jäkel
Hans-Hermann Hande
Dr. Aziz Adolph MBA.
Elfriede Gnatz
Ronald Werner
Ilonka Wulf
Dipl.-Ing. Laurenz Gerlach MBA.
Mirko Bolander
Klothilde Zänker
Anna-Lena Sontag-Köhler
Prof. Sofie Gröttner
Gretchen Jessel B.Sc.
Dr. Adriane Bärer B.Eng.
Janko Stey MBA.
Gerald Hendriks
Dogan Sauer
Gilbert Bolnbach
Edith Kostolzin
Natalja Löchel-Beckmann
Ahmet Pärtzelt
Ljiljana Kostolzin
Josip Hiller-Hauffer
Camilla Wiek
Augusta Rosemann
Anatoli Caspar
Gunhild Gorlitz-Heinrich
Valeria Mende
Ing. Zlatko Gerlach
Alexej Hornig-Radisch
Hans-H. Naser
Marie-Theres Trupp
Waltraud Trapp-Pechel
Prof. Augustin Stey B.A.
Dipl.-Ing. Lara Tlustek
David Warmer
Ludmila Dobes B.A.
Mark Gute-Faust
Dr. Athanasios Noack MBA.
Catrin Hamann
Fatima Weinhage-Boucsein
Margita Meister
Reimer Scheel B.Eng.
Pia Steuer
Heinz-Joachim Stiebitz
Hannelore Weinhold B.Sc.
Dominik Huhn
Dr. Daniela Linke MBA.
Marianne Hecker
Ignaz Löwer
Heide-Marie Adler B.Eng.
Bianka Schmidt
Jasmina Rädel
Prof. Trude Schäfer MBA.
Bernard Steinberg
Univ.Prof. Annegrete Henck B.A.
Carina Kusch
Ehrentraud Kroker
Michaela Döhn
Rudolph Etzold
Vittorio Hertrampf
Wieslaw Käster
Britta Nerger B.Eng.
Kilian Austermühle B.A.
Gereon Jacob
Ruben Trubin
Lotte Kitzmann B.A.
Ljudmila Krebs
Dr. Heinz-Georg Aumann MBA.
Mareike Reichmann
Dipl.-Ing. Svea Neureuther
Hakan Kühnert
Marianna Rosenow-Weiß
Lieschen Röhricht MBA.
Jadwiga Gotthard
Herr Dursun Hentschel B.Eng.
Ernst-August Beyer
Dr. Melitta Mans B.Eng.
Anna-Luise Kraushaar
Bernhardine Pechel
Antonius Kraus
Tina Henschel
Jan Linke MBA.
Kaspar Trub
Jadwiga Koch
Elenore Hofmann-Aumann
Valeska Geisler B.Eng.
Eleonore Kuhl-Koch
Hatice Killer-Löwer
Jo Dussen van
Lars Eckbauer-Möchlichen
Alma Flantz MBA.
Fernando Dobes
Annerose Eckbauer
Prof. Marius Herrmann
Dipl.-Ing. Cora Baum
Waldtraut Hoffmann
Reimar Hahn-Neureuther
Hellmut Hein-Gnatz
Heimo Förster
David Faust-Holsten
Gertrude Bärer
Frau Trudel Hövel
Reinhart Becker
Luzie Renner B.A.
Liane Kambs
Wiebke Caspar B.A.
Dipl.-Ing. Freya Höfig
Heidelore Stolze
Irina Birnbaum
Viviane Fritsch-Martin
Vassilios Davids
Dorle Knappe
Recep Weihmann
Herr Anton Mohaupt B.A.
Dipl.-Ing. Janet Ruppersberger
Elise Hentschel
Jolanda Henck
Cäcilie Schmidt
Prof. Gabriella Holt B.Eng.
Ernestine Trommler
Dr. Margarethe Ernst
Christel Bärer-Zirme
Dipl.-Ing. Tim Jäntsch B.Eng.
Margareta Klingelhöfer
Frau Gülay Rogner B.A.
Constantin Kraus
Adelinde Gumprich MBA.
Conny Geißler-Karge
Julia Graf
Prof. Denis Segebahn MBA.
Robin Junk-Henk
Herr Ignatz Boucsein MBA.
Herma Möchlichen
Robby Weller
Tomasz Niemeier
Corinne Koch II
Paola Margraf
Ladislaus Killer
Dr. Semra Schulz
Lucia Hermighausen
Aurelia Mude
Christopher Sager
Timm Freudenberger-Henschel
Hartmut Biggen-Trapp
Otto Butte
Paula Heinz
Univ.Prof. Linus Seifert
Frau Hilda Schweitzer B.Eng.
Franz Josef Girschner
Kathrin Dussen van
Univ.Prof. Mahmoud Liebelt
Walentina Hesse
Joana Zimmer B.A.
Ing. Aziz Hein
Francisco Trupp
Agnieszka Steckel
Evangelos Staude
Prof. Mohammad Reinhardt
Jana Langern
Annemarie Schaaf B.Sc.
Marie Hoffmann B.Sc.
Ing. Iwan Wagner
Laura Beier
Kasimir Lindau
Hans-Gerd Preiß
Heinz-Joachim Spieß
Ilonka Rose
Marita Berger B.A.
Frieder Austermühle
Dipl.-Ing. Sylke Gute B.A.
Egon Haase
Ilka Lachmann
Dipl.-Ing. Mathias Metz B.A.
Gülten Röhrdanz
Prof. Emine Wulf B.Eng.
Mario Bärer
Dipl.-Ing. Mirella Franke MBA.
Irmgard Weinhage-Wieloch
Florentine Sölzer-Siering
Hildegard Roht B.Sc.
Natalie Neureuther
Raissa Mitschke MBA.
Alan Eigenwillig
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Alicia Kroker
Roy Gumprich-Klemm
Jaqueline Weitzel-Pölitz
Hanne Gierschner
Univ.Prof. Inga Hermighausen B.Eng.
Niko Geißler-Wirth
Lissi Rust-Metz
Anneli Schleich-Ullmann
Philipp Killer B.A.
Lissy Dippel
Univ.Prof. Heinz-Dieter Schuster
Dierk Buchholz MBA.
Franz Josef Haase
Prof. Romy Bohnbach
Dipl.-Ing. Hans-Ludwig Meyer
Maja Fischer B.A.
Frau Mechtild Fliegner
Aribert Herrmann
Arno Ullmann
Dr. Zenta Holsten
Dr. Iris auch Schlauchin
Edmund Junck
Philip Fritsch
Sylvester Zirme
Meike Berger
Tabea Birnbaum
Johann Baum
Univ.Prof. Veli Etzler
Ing. Willfried Kostolzin
Milica Reichmann
Frank-Michael Klemt
Ilka Faust
Dipl.-Ing. Zeljko Stumpf B.A.
Hans-Hinrich Stiffel
Sinaida Adolph
Anto Kostolzin
Stefanie Pruschke
Gregor Dippel
Ludmila Karge B.A.
Prof. Sandra Klapp
Sophie Rädel
Reni Rosemann MBA.
Anna-Lena Bloch
Sandra Scholtz
Hildegard Schlosser-Jacobi Jäckel
Ing. Gerold Gotthard
H.-Dieter Mülichen B.A.
Ben Täsche
Prof. John Jessel
Dr. Sonia Hornich B.Eng.
Cosima Johann
Stephanie Weller
Marcus Langern
Imre Sauer
Ing. Wulf Atzler
Tanja Renner B.Sc.
Tillmann Stolze
Luka Zorbach
Constantin Jacob B.Sc.
Hans-Helmut Wesack
Alwine Bien
Ilija Fischer
Luise Junk
Eva Mosemann
Dusan Ruppersberger B.Sc.
Dipl.-Ing. Patricia Werner B.Sc.
Evangelia Röhricht
Claire Faust B.A.
Edeltrud Kambs
Edit Kitzmann
Wilfriede Blümel
Prof. Volker Hermann
Concetta Karge
Witold Heintze
Geert Schuchhardt
Annie Noack
Cord Haase
Stilla Dobes
Gert Nette
Gerhart Schenk MBA.
Valentin Döring
Hanns Bender
Ellinor Schmidtke B.Sc.
Annekatrin Schleich
Mike Röhricht-Hauffer
Fatima Röhrdanz
Ing. Augustin Budig B.Eng.
Hartmut Hiller B.A.
Fabienne Holt MBA.
Prof. Manuela Schleich B.Sc.
Bernadette Löffler
Dipl.-Ing. Ingbert Krebs B.Eng.
Olaf Hethur
Dipl.-Ing. Henrike Hörle B.A.
Maria Hellwig
Caterina Weinhage
Univ.Prof. Sonja Hande MBA.
Gina Pieper
Loni Trubin
Franziska Beer
Vadim Bender B.A.
Gitta Römer
Ing. Knud Vogt
Brunhilde Nohlmans
Ramon Jäntsch-Gertz
Gerolf Radisch
Madlen Geißler
Gina Stumpf
Kazim Hörle
Halina Austermühle-Bender
Univ.Prof. Dorle Röhrdanz B.A.
Kira Hartmann B.Sc.
Dipl.-Ing. Ismet Käster B.Eng.
Rosalinde Losekann
Liane Hermann MBA.
Frau Caren Schmidt MBA.
Sigurd Höfig B.Sc.
Inken Hellwig-Hermann
Arnulf Heidrich
José Tschentscher-Textor
Gottlob Römer
Herr Thomas Baum
Frau Mirja Jüttner B.Eng.
Catrin Ziegert-Meyer
Carl Mühle-Wulf
Friedericke Ring MBA.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Antonia Köster B.A.
Dr. Egbert Kraus
Harri Mans
Henriette Ladeck
Aribert Kusch
Ekkehart Niemeier
Prof. Frithjof Adolph MBA.
Polina Hettner
Bernward Losekann MBA.
Dipl.-Ing. Baldur Oderwald B.Sc.
Isa Weihmann
Frau Patricia Schmiedecke B.Eng.
Arnold Oderwald
Ing. Alf Lachmann
George Käster-Eberth
Marcella Sölzer
Imke Gieß B.Sc.
Raimund Hande
Annelore Täsche
Karl-Georg Zahn
Prof. Ralph Patberg
Iwan Käster
Dipl.-Ing. Mariola Lange B.Sc.
Univ.Prof. Beate Gude
Conrad Killer
Frithjof van der Dussen
Ing. Guenther Scholtz B.A.
Ignaz Stoll
Ing. Hermine Warmer B.A.
Hubert Weitzel
Edward Hering MBA.
Hilmar Graf
Eugenia Riehl
Hilde Lübs
Thies Rose
Fatima Heser B.Eng.
Doreen Striebitz
Alena Neureuther
René Ullrich
Othmar Hölzenbecher
Karl-Josef Thanel
Heimo Bauer
Faruk Schomber
Ricarda Fröhlich B.A.
Dipl.-Ing. Bekir Boucsein
Burghard Davids
Alfred Rose
Conrad Paffrath
Dipl.-Ing. Willibert Süßebier
Alexej Kohl
Edward Dippel
Roswita Döhn
Hans Jürgen Lange
Herr Süleyman Karge MBA.
Mercedes Rädel-Drub
Etta Hellwig
Ing. Thomas Drewes B.A.
Dr. Cäcilia Henk B.Eng.
Frau Ayten Pärtzelt MBA.
Dariusz Reising-Ernst
Prof. Heinz-Joachim Seidel
Gertraud Mentzel
Lambert Röhricht-Johann
Marieluise Kruschwitz
Herr Vinzenz Jäntsch B.A.
Zita Ullmann-Heydrich
Walli Baum-Kohl
Sofia Etzler B.Eng.
Adele Stroh
Micha Röhricht B.A.
Margarethe Steckel
Katerina Barkholz
Dr. Samuel Dobes B.Sc.
Roswita Hofmann MBA.
Olaf Wesack
Anna-Marie Steckel
Roswita Atzler
Prof. Sepp Blümel
Wencke Heinrich
Franz-Josef Schmidtke
Mato Patberg-Heintze
Brita Kaul
Yasmin Wiek
Univ.Prof. Ewald Rogner B.Sc.
Sylvio Stiffel
Ing. Hanne-Lore Ackermann
Jörg-Peter Jüttner-Winkler
Sibel Hörle
Dipl.-Ing. Dursun Köhler
Dagmar Dussen van
Patrizia Spieß
Annaliese Hettner B.A.
Prof. Ralf-Peter Schlosser B.Eng.
Prof. Maya Peukert
Osman Salz MBA.
Klaus-Dieter Koch II B.A.
Vitali Neureuther
Univ.Prof. Theresia Lange MBA.
Dipl.-Ing. Cläre Geißler
Berend Gertz B.Eng.
Klaus-Peter Zorbach
Ingrid Eigenwillig
Univ.Prof. Undine Junken MBA.
Anthony Bonbach
Tino Niemeier
Grete Biggen-Kostolzin
Univ.Prof. Steffen Tröst
Zita Winkler
Ingetraut Jopich
Roselinde Metz MBA.
Rolf-Peter Staude
Ronald Stiebitz
Gunhild Zimmer
Prof. Sandy Butte
Univ.Prof. Gottfried Süßebier
Sofia Austermühle
Sylvester Neuschäfer-Schacht
Centa Bohlander-Stiebitz
Frau Waltraud Weitzel B.A.
Siegbert Seifert
Wulf Steckel-Lachmann
Betti Zirme B.A.
Univ.Prof. Milan Hande
Gisa Hendriks
Birgitta Hettner
Giuseppe Preiß
Kevin Tlustek-Heinz
Laszlo Nerger MBA.
Giuseppina Linke
Ing. Dierk Striebitz
Elisabet Preiß-Thanel
Willibald Ziegert-Siering
Ing. Klaus-Michael Bolzmann
Engin Hofmann
Kenan Pieper
Zofia Gutknecht
Rebekka Lindau MBA.
Ralph Hellwig-Lachmann
Zlatko Ritter B.Eng.
Hardy Hänel B.Eng.
Denis Weimer
Dr. Lidia Flantz B.Sc.
Orhan Mude
Franjo Junitz-Hahn
Constantin Beckmann
Karl-Georg Römer B.A.
Hermann Josef Drubin
Johann Seidel
Dipl.-Ing. Giuseppina Etzler B.Sc.
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Nora Dehmel B.Eng.
Mohammed Geißler
Tilo Hande
Klaus-Michael Hahn
Francoise Rust
Marlen Flantz
Dipl.-Ing. Konrad Schenk
Freia Lübs
Insa Peukert
Oskar Rosemann
Kirstin Kusch-Meister
Herr Hans-Martin Heuser
Larissa Käster
Siegrid Misicher
Herr Siegmar Geisler
Peter-Michael Spieß
Thilo Berger
Sylvie Neuschäfer
Sylvie Börner
Hedi Butte-Neuschäfer
Dr. Anika auch Schlauchin B.Sc.
Kornelia Kade
Friedhold Löwer-Ebert
Hubertine Jäkel
Carola Kusch
Olga Krein
Herr Gustav Noack
Hansjörg Holsten
Ing. Nikolai Niemeier B.A.
Denis Ruppersberger
Jens-Peter Graf-Schmidt
Damaris Bien
Bianka Scheuermann
Gunar Dobes B.Sc.
Josephine Rogge
Kazim Rohleder
Sibylle Stey
Nora Klapp-Finke
Kreszentia Bloch-Steckel
Thoralf Geisel
Emmy Trub MBA.
Elvira Gute-Käster
Reimer Hethur-Gutknecht
Editha Jacob
Lambert Wilmsen
Imelda Söding
Detlev Heintze
Univ.Prof. Fredi Hölzenbecher
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Kristina Wernecke
Sigmar Zobel
Dipl.-Ing. Gloria Heidrich
Ing. Gerti Franke
Gabriele Käster
Ernst-Dieter Geisler B.Eng.
Anatol Adler
Irene Stumpf
Dr. Amir Jäkel
Vera Heydrich
Sigmund Conradi
Ing. Anika Jüttner
Wally Krein-Bien
Annelene Adolph B.A.
Carola Franke
Aleksej Kühnert B.A.
Victoria Werner MBA.
Ralf-Dieter Rörricht B.Eng.
Theda Klotz
Prof. Knud Salz
Claus Heser B.Sc.
Univ.Prof. Amelie Gröttner B.Eng.
Carmen Berger
Klaus-Jürgen Jockel
Dipl.-Ing. Christel Beer B.Eng.
Heinz-Günter Fischer
Jurij Zimmer
Carmelo Stiebitz
Florentine Bärer B.A.
Gabriel Klotz
Univ.Prof. Athanasios Drub B.Sc.
Peter Mitschke
Frau Mia Kaul MBA.
Wenzel Ebert
Ilja Freudenberger B.A.
Jakob Pohl
Eugenie Benthin-Ziegert
Adelinde Kensy B.Eng.
Joachim Kramer
Inna Schulz
Rotraut Ullrich
Friedlinde Schenk-Wulff
Lothar Ladeck
Ing. Torsten Hartung B.Eng.
Ute Möchlichen
Dimitrios Kraushaar-Adolph
Kristin Niemeier
Svetlana Boucsein
Hans D. Kusch B.Sc.
Irmtrud Röhrdanz
Rüdiger Geisler
Hans-Helmut Binner B.Sc.
Arnd Jacobi Jäckel
Denny Bohlander B.A.
Hans-Ulrich Plath B.A.
Mirco Girschner
Hans-Jochen Gorlitz B.Sc.
Herr Vincenzo Liebelt
Madeleine Henk
Monique Rose-Schuchhardt
Francesco Drub
Klara Löchel-Bien
Thorsten Bolzmann-Hesse
Urszula Trapp
Ian Briemer B.Eng.
Prof. Natalija Weinhold
Friedlinde Warmer
Karl-Josef Barth
Justine Patberg-Metz
Dr. Bastian Christoph MBA.
Univ.Prof. Florentine Schomber B.Eng.
Helge Finke-Wähner
Hans-Adolf Mosemann B.A.
Frau Käthi Hamann B.Eng.
Zeynep Keudel
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Andrew Schlosser
Miroslaw Holt
Meryem Hänel-Jungfer
Charles Anders
Virginia Textor
Dr. Ljiljana Henck MBA.
Ing. Galina Hahn
Ben Eimer-Loos
Sami Linke B.A.
Dr. Jan-Peter Martin B.Eng.
Bekir Fechner
Herta Keudel
Gertraut Koch II
Adelinde Gutknecht-Beier
Evi Heuser
Goran Benthin
Sibylla Koch MBA.
Kristian Ritter
Damaris Zirme
Dipl.-Ing. Wanda Dussen van
Constanze Schleich
Prof. Ildiko Adler MBA.
Diana Weitzel
Hans Dieter Fiebig B.Eng.
Prof. Linda Beier
Ing. Carla Ziegert B.Eng.
Blanka Birnbaum
Birte Gröttner MBA.
Eckard Textor
Prof. Bianka Schacht
Ing. Marie-Therese Schleich
Elke Hiller
Tillmann Matthäi B.Eng.
Herr Jens Ritter B.Eng.
Univ.Prof. Nadeschda Staude
Prof. Britt Drub B.Eng.
Silvester Etzold
Torben Roskoth-Wilmsen
Gerti Trupp-Dowerg
Ronald Henschel
Heimo Gorlitz B.A.
Hans-Uwe Sager
Eleni Mühle MBA.
Univ.Prof. Harro Fröhlich
Ronald Hofmann
Irmtraut Wende
Herr Alwin Sager B.A.
Pasquale Karge
Arzu Wieloch-Röhrdanz
Ing. Galina Schenk
Karl-Peter Kramer
Reni auch Schlauchin
Czeslaw Bohnbach B.Eng.
Hulda Seidel-Carsten
Janusz Kruschwitz B.Eng.
Mohammad Karz MBA.
Marvin Gröttner MBA.
Siegward Weinhold
Dr. Alwina Lorch MBA.
Kristin Jacob
Ines Anders
Hans-Karl Christoph-Schleich
Fatma Hesse
Annelene Reuter B.A.
Stjepan Hofmann-Hethur
Siglinde Kambs-Geißler
Rena Radisch
Dipl.-Ing. Tomislav Dowerg B.Eng.
Karl Heinz Eigenwillig
Ansgar Seidel
Heino Schönland-Hermann
Heide-Marie Koch II
Anika Tschentscher
Danielle Drubin
Hermine Schüler
Ing. Hans-Joachim Ullrich
Peer Jähn
Frauke Söding
Prof. Folker Budig
Miodrag Dörr-Austermühle
Isidor Atzler
Friedhilde Dobes
Dipl.-Ing. Jiri Walter
Alice Nette
Hans-Henning Scheel
Frau Margrit Beckmann
Theo Henschel
Ronald Börner-Hentschel
Gereon Trapp
Anne-Kathrin Geisler
Ingolf Ruppersberger-Berger
Benno Kraushaar
Anett Wieloch
Univ.Prof. Ludwig Jähn B.A.
Dipl.-Ing. Babette Bauer B.Sc.
Ivan Plath
Ing. Gotthard Reuter B.A.
Alwine Wirth-Klemm
Dino Kusch-Hiller
Hiltrud Klemm
Joachim Steuer
Helmar Klapp
Gerta Beer
Herr Frieder Wulff B.Sc.
Dr. Philip Siering B.A.
Zita Wieloch-Scholtz
Calogero Heintze
Henrik Heidrich
Eckart Cichorius
Auguste Buchholz B.Sc.
Dr. Matthias Niemeier
Friedemann Klingelhöfer
Benita Neuschäfer
Klaus-Michael Mälzer
Stephen Heidrich
Hans-Albert Preiß-Scheel
Friedrich-Karl Eberth
Anneliese Wähner
Timo Siering-Hübel
Michaela Loos-Mentzel
Cosimo Löffler B.Sc.
Prof. Cäcilia Gertz B.Eng.
Thea Schmiedecke
Traute Fröhlich
Ing. Klaus-Dieter Karge MBA.
Prof. Katarzyna Gehringer B.Eng.
Prof. Achim Rose
Anatol Gude MBA.
Lisbeth Mielcarek
Dr. Hans-Willi Hertrampf MBA.
Fatma Möchlichen
Univ.Prof. Rotraut Juncken B.A.
Ismail Steinberg
Lili Döhn-Margraf
Alma Kaul
Bernt Jessel
Herr Darko Gutknecht MBA.
Gülay Haase
Maximilian Heß
Ing. Eugenie Kreusel MBA.
Karl-Peter Hofmann B.A.
Vincenzo Zirme
Ing. Giuseppe van der Dussen B.A.
Sedat Gude
Bayram Meister
Heinz-Günter Boucsein
Rupert Kallert
Annika Pieper B.A.
Milka Wohlgemut-Meyer
Dipl.-Ing. Claas Ladeck
Univ.Prof. Alexandros Junk
Slavica Ernst-Schmidtke
Imke Austermühle-Löwer
Michael Mies B.Sc.
Prof. Karl-Hermann Pieper B.Eng.
Nelly Schlosser
Wilhelm Metz
Kai-Uwe Schäfer
Hans-Henning Heydrich MBA.
Wera Hauffer B.A.
Dr. Hildegund Gnatz B.Eng.
Manuela Linke B.Eng.
Heinz-Otto Linke
Univ.Prof. Viktoria Seifert
Veronique Oestrovsky
Univ.Prof. Ortwin Geisler MBA.
Cemal Trapp
Knud Trommler
Francoise Freudenberger-Stey
Ing. Claire Hübel
Margaret Kramer B.A.
Micha Schottin
Oxana Ladeck
Univ.Prof. Nadine Gnatz
Mariusz Stadelmann B.Sc.
Hans-H. Pergande
Prof. Dietlind Ullrich B.Sc.
Gundula Ruppersberger
Univ.Prof. Sergio Kreusel MBA.
Claus Juncken
Dr. Renate Mende
Rosalinde Trommler
Carmine Hauffer
Edmund Caspar B.Sc.
Rene Henck
Dipl.-Ing. Giorgio Drubin B.Eng.
Siegbert Conradi
Frank-Michael Sontag
Ben Bonbach B.A.
Dr. Halina Mälzer
Sami Junitz
Anne-Rose Krause
Simona Lorch
Marisa Hartmann-Kusch
Gerlind Trüb-Losekann
Achim Mülichen-Schleich
Ludmila Patberg
Saskia Roskoth B.Eng.
Inka Meyer
Lieschen Steckel
Univ.Prof. Charlotte Lindner MBA.
Minna Wernecke-Gumprich
Harm Hein
Mark Lindau
Gotthold Krause
Frau Natalija Stey
Benita Geißler
Prof. Helmut Hellwig MBA.
Elena Fiebig
Dr. Alberto Kabus B.Sc.
Marten Möchlichen
Dr. Rotraud Gorlitz
Dietlind Anders B.A.
Dipl.-Ing. Sandro Bärer B.A.
Lara Stroh
Marietta Geißler
Dr. Almut Peukert MBA.
Agnes Tröst
Conrad Lindau
Dominic Möchlichen
Milos Pärtzelt B.Sc.
Univ.Prof. Jaroslav Seifert B.Eng.
Falk Wagenknecht B.Eng.
Ing. Alberto Werner
Veronique Löwer
Dr. Karla Christoph
Dipl.-Ing. Helma Heuser B.Sc.
Britt Bolander B.A.
Günter Löwer
Dietlind Drubin
Frau Antonina Kitzmann
Marina Wilmsen
Ruth Hartung
Milos Seifert
Helmuth Wagner
Dr. Jeanette Schuchhardt B.Eng.
Dr. Leonie Köster
Bayram Lübs B.Eng.
Felizitas Jungfer
Ella Briemer-Siering
Nikolai Mohaupt
Frau Danica Davids B.A.
Blanka Ladeck
Ralph Binner-Römer
Brit Anders
Kenneth Kramer
Prof. Meinrad Wiek
Erol Lindner
Robert Etzold
Kristiane Hermann
Trude Ruppersberger
Tabea Kaul
Zenta Mende
Ingeborg Wesack
Ing. Vesna Kroker B.Eng.
Frau Aleksandra Bähr B.Eng.
Kordula Lange
Franka Mitschke B.Sc.
Hans-Friedrich Heydrich
Bernhardine Schuchhardt
Victoria Hiller
Ing. Pawel Rörricht
Stephan Warmer B.Eng.
Slawomir Tlustek B.A.
Jasmina Cichorius-Barth
Teresa Ladeck-Rädel
Dipl.-Ing. Hülya Nerger
Tassilo Gehringer
Burghard Wohlgemut
Annelene Möchlichen-Weiß
Ing. Petar Hänel MBA.
Hilma Kuhl
Dipl.-Ing. Rouven Kallert MBA.
Prof. Lotti Löffler
Kaspar Hänel
Helga Salz
Heinz-Günter Schuster
André Sauer
Ing. Alla Schottin B.A.
Sina Spieß
Josef Rädel
Dorothe Renner
Serge Grein Groth
Ing. Nadeschda Tschentscher B.A.
Janos Winkler B.A.
Sylvia Schenk
Juan Briemer-Textor
Zenon Pärtzelt
Stavros Hoffmann
Joana Wähner
Ing. Helmuth Bachmann B.Sc.
Geraldine Reising MBA.
Hans-Hinrich Bohlander
Erdmute Mosemann
Dr. Hildegund Söding B.A.
Nikolas Ebert
Frau Karolina Hörle
Univ.Prof. Katharina Werner MBA.
Ing. Hedi Wulf
Francisco Schmidtke-Albers
