Student
Prof. Lutz Adolph
Kerstin Heidrich B.A.
Ing. Nadeschda Bohlander
Franco Radisch
Hanne Gierschner
John Bauer
Univ.Prof. Friedlinde Bien MBA.
Elwira Hellwig
Volker Adler
Muzaffer Sorgatz
Hans-Henning Scheel
Hermann-Josef Loos
Nikolaus Rosenow
Rafael Blümel
Hardy Hänel B.Eng.
Evi Wilmsen MBA.
Dipl.-Ing. Gottfried Scholtz
Herr Ekkehart Sorgatz
Karl-Ludwig Hoffmann
Sofia Austermühle
Irmtrud Mohaupt-Etzler
Mira Rohleder
Dipl.-Ing. Sieglinde Fischer B.Eng.
Sandro Täsche
Frau Rosa-Maria Sauer B.Sc.
Annelore Juncken
Herr Valentin Warmer
Dr. Alena Hövel
Toralf Pieper
Anne-Rose Hettner B.A.
Univ.Prof. Kevin Juncken B.Eng.
Univ.Prof. Resi Knappe
Theresa Caspar
Prof. Mathias Kambs
Hannes Patberg
Dariusz Reising-Ernst
Conrad Paffrath
Manfred Juncken
Frau Almuth Kostolzin B.A.
Dr. Meinhard Hiller
Ing. Mike Stolze
Marleen Langern-Oderwald
Friedrich-Wilhelm Stahr-Henck
Krystyna Rust-Baum
Viktoria Trub-Budig
Gundi Tlustek
Attila Atzler
Prof. Vadim Stroh
Liliana Zorbach MBA.
Hilde Lübs
Univ.Prof. Nikolaus Sölzer B.A.
Prof. Friedbert Tschentscher B.Eng.
Univ.Prof. Albin Bärer
Dr. Myriam Pieper B.Eng.
Kay-Uwe Dippel
Hellmut Hein-Gnatz
Hansjürgen Eberth
Hans-Christian Finke
Ilija Lindner
Darius Kallert
Univ.Prof. Till Vogt MBA.
Meta Eigenwillig
Frau Maria Jopich
Dr. Mechthilde Hellwig
Simona Lorch
Nikolaos Dehmel B.A.
Erdal Meyer B.A.
Dr. Jens-Uwe Ruppert
Dr. Athanasios Noack MBA.
Margot Ullmann
Laila Trüb
Sigismund Junitz
Prof. Ruthild Nette B.A.
Siegmar Pergande B.Eng.
Guiseppe Tschentscher
Timm Freudenberger-Henschel
Mina Beyer
Ing. Petar Wilmsen
Christina Geisel-Hesse
Elena Gotthard
Dursun Mies
Kazim Rohleder
Edit Siering
Ing. Gordana Bruder MBA.
Marie-Luise Staude-Käster
Theresa Hethur-Kabus
Friedericke Ruppersberger
Ruthild Hoffmann
Gino Hövel B.Sc.
Frau Ivanka Killer MBA.
Oscar Fritsch
Univ.Prof. Helmut Junitz B.Eng.
Dipl.-Ing. Rabea Sorgatz MBA.
Univ.Prof. Natalie Noack MBA.
Metin Hande
Walfried Siering
Sergej Pärtzelt
Zoltan Preiß B.Eng.
Frau Rosalinde Riehl
Pascal Freudenberger
Roselinde Ebert
Carina Schaaf
Rochus Gude
Frank-Michael Klemt
Sigmund Mosemann
Zbigniew Weinhage
Frau Wenke Klemt
Renate Austermühle B.Eng.
Ing. Siglinde Speer MBA.
Prof. Linus Kambs B.A.
Lidija Löchel B.A.
Gertraud Mende
Kristin Kaul B.Sc.
Johanne Kusch
Prof. Magda Textor
Prof. Manuela Schleich B.Sc.
Sükrü Fiebig
Fatima Rosemann-Schmidtke
Olivia Thies B.A.
Frau Brit Stoll
Imke Gieß B.Sc.
Alban Dippel
Leni Wohlgemut-Ruppersberger
Frau Annett Tlustek B.Eng.
Dr. Diedrich Atzler
Gunhild Meister
Ellinor Schmidtke B.Sc.
Antonius Kraus
Heinrich Ackermann
Jörg-Peter Speer
Ing. Wencke Speer
Andy Jockel B.Eng.
Dietlinde Schönland
Univ.Prof. Jörg-Peter Riehl
Bianka Schmidt
Deborah Beier
Anna-Marie Heidrich
Frau Hilda Schweitzer B.Eng.
Margot Sontag MBA.
André Kraushaar-Henck
Abbas Segebahn
André Segebahn
Baptist Vogt
Linus Drub
Univ.Prof. Dolores Rust
Raymond Römer
Harro Gunpf
Nadeshda Mentzel
Timo Spieß
Hedda Baum
Raymond Drub B.Sc.
Birte Jüttner
Julian Dussen van B.Eng.
Dan Schönland MBA.
Edda Stahr
Herr Wieslaw Trupp
Dipl.-Ing. Janet Ruppersberger
Burckhard Heuser
Herr Rupert Jüttner MBA.
Franz-Xaver Bachmann
Hans-Heinrich Schüler-Seip
Ferdinand Junitz B.Eng.
Rose Beer
Anika Binner-Löffler
Ewald Hethur
Prof. Ilse Schmiedecke
Hakan Kühnert
Alexandra Henk MBA.
Ernst-August Beyer
Arnd Jacobi Jäckel
Heide-Marie Beckmann B.Sc.
Klaus-Werner Bohlander
Concetta Wohlgemut
Horst Reising
Marika Zänker B.A.
Gundi Sager
Emine Vollbrecht B.Eng.
Andrew Misicher
Oliver Bien
Ing. Emanuel Tintzmann
Miroslaw Hentschel-Stoll
Heinz-Dieter Gute
Jana Drubin-Heß
Ilka Lachmann
Stephen Trommler
Gitte Buchholz
Peggy Holt
Meike Rosenow
Siegmar Keudel-Gude
Katja Kruschwitz-Roskoth
Marija Stahr
Birte Gröttner MBA.
Halina Lachmann
Tülay Schmidtke B.Sc.
Karl-Heinz Hahn
Milos Wiek
Ilhan Budig
Klaus Dieter Stoll-Wilms
Irmi Gute
Wolfhard Jäkel MBA.
Ute Stroh
Anatolij Steinberg
Dietlind Drubin
Hans-Georg Dörschner
Dragica Rosenow
Rosina Ortmann
Christos Beier
Herr Jonathan Hänel MBA.
Sieglinde Stahr
Simona Heidrich
Egon Ruppersberger B.Sc.
Friedrich-Karl Zorbach
Regine Meyer
Heide Schottin
Damaris Bien
Stilla Köhler
Gordana Budig B.A.
Prof. Anna Kühnert B.Sc.
Heimo Knappe
Lilly Girschner-Ritter
Dr. Heinz Dieter Dörschner
Victor Butte
Oscar Nerger
Marco Stey
Florentine Bärer B.A.
Slavica Vollbrecht
Lukas Gierschner
Sybilla Herrmann-Pärtzelt
Dr. Francisco Hänel
Evangelos Staude
Walentina Eckbauer
Recep Weihmann
Wieland Hethur
Ljiljana Löwer B.A.
Gaetano Köhler
Norman Ditschlerin MBA.
Esther Ehlert
Prof. Gülay Birnbaum
Gertrude Ullmann
Priska Wende
Cilli Siering
Malte Davids
Hasso Zahn
Siegrid Schmiedt
Miguel Gehringer-Reising
Oliver Kohl
Pero Scheuermann
Jolanda Jopich
Dr. Herbert Jockel B.Eng.
Prof. Cora Bolander
Hedda Schönland
Christiane Roht
Dipl.-Ing. Maik Mende B.Sc.
Helena Hettner
Dipl.-Ing. Zeljko Stumpf B.A.
Dipl.-Ing. Richard Gröttner B.A.
Dogan Kranz
Mina auch Schlauchin
Fatma Hesse
Dörte Dobes-Bonbach
Hulda Seidel-Carsten
Mahmut Hänel
Bogdan Römer B.Eng.
Ottmar Kruschwitz
Rolf-Peter Staude
Gilda Scholz
Andreas Gunpf
Frau Katarina Lindner
Ing. Louis Eckbauer B.Eng.
Auguste Buchholz B.Sc.
Walfried Klotz-Klotz
Magdalena Warmer MBA.
Lorenzo Adler-Trommler
Hans-Bernd Eimer-Pechel
Viviane Fritsch-Martin
Diedrich Jäntsch B.A.
Univ.Prof. Guido Carsten MBA.
Univ.Prof. Jaroslav Seifert B.Eng.
Univ.Prof. Suzanne Paffrath
Philip Mangold
Hanna Knappe
Univ.Prof. Herta Zänker
Pierre Köster
René Hölzenbecher-Berger
Aleksander Drub
Ing. Horst-Dieter Seip
Ing. Siglinde Bolzmann
Dr. Margita Stiebitz
Marcel Hermighausen
Ing. Petar Hänel MBA.
Klaus-Peter Schüler-Schaaf
Alfons Schleich B.A.
Emilie Schmiedecke
Dr. Gerda Butte MBA.
Lena Losekann
Gerfried Dippel
Margot Schäfer B.Eng.
Ursel Eckbauer
Univ.Prof. Gottlieb Steuer B.A.
Dipl.-Ing. Korinna Pärtzelt
Gerda Schleich
Karl-Otto Putz
Rosita Budig
Prof. Niko Hethur B.Eng.
Erhardt Steinberg
Irmgard Täsche B.A.
Lieselotte Nohlmans
Frank-Michael Köhler
Hans Jürgen Winkler
Lili Birnbaum
Dr. Elwira Hiller
Annelise Steckel B.Sc.
Herr Arnulf Kohl
Dominic Schönland
Dariusz Wirth
Nancy Hartmann-Schottin
Helma Fliegner
Kornelius Sontag
Käthe Ernst
Regine Sorgatz
Univ.Prof. Petra Scheel
Reni Rosemann MBA.
Aysel van der Dussen-Jäntsch
Manuel Pärtzelt
Hans-Erich Preiß
Jerzy Wagenknecht B.A.
Christina Schlosser
Ellen Haase
Frau Corinna Wähner
Univ.Prof. Jacqueline Faust
Eckhard Weitzel
William Zirme
Edwin Förster-Albers
Richard Mende-Hendriks
Felicitas Ruppersberger
Dorothea Kroker-Misicher
Friedlinde Warmer
Elisa Noack-Seifert
Herr Süleyman Karge MBA.
Dr. Gundula Putz
Hans-Günther Eimer
Margareta Schmidt
Jonas Christoph B.Eng.
Mariechen Nohlmans
Igor Zobel B.A.
Annika Lindner
Xaver Schönland
Sina Barkholz
Prof. Johannes Holzapfel MBA.
Peggy Haering B.Sc.
Gundula Vollbrecht
Jiri Kambs
Liesa Gröttner
Cathleen Gude
Jens-Uwe Neureuther
Mike Hofmann
Ralph Rogge
Monika Mühle-Hiller
Hellmuth Drubin-Tschentscher
Orhan Mude
Prof. Clarissa Barth
Elvira Mälzer
Grete Rudolph
Ing. Serpil Rudolph MBA.
Herr Darko Gutknecht MBA.
Annaliese Gerlach
Dr. Lidwina Oestrovsky
Michail Schmidt
Amanda Stadelmann-Mende
Horst-Dieter Seifert
Herr Gundolf Barth
Dr. Hans-Peter Adolph MBA.
Univ.Prof. Hans-Theo Kroker
Dipl.-Ing. Lilly Junken MBA.
Larissa Löffler
Dorothee Renner
Ljiljana Roht
Hans D. Kusch B.Sc.
Willfried Werner
Insa Peukert
Burkard Schlosser
Ludwig Zimmer MBA.
Inga Wieloch
Dipl.-Ing. Dunja Hoffmann
Dr. Stefania Gnatz
Frau Svenja Hövel B.Sc.
Dr. Salih Ullmann
Dirk Graf-Stiffel
Arnulf Ullmann
Ilias Seip
Friedrich-Karl Sorgatz-Schmiedt
Valeri Mielcarek
Benita Holzapfel-Hecker
Janus Ring
Milka Wohlgemut-Meyer
Kai-Uwe Oderwald
Kaspar Römer
Phillip Salz B.Sc.
Alice Nette
Linus Mans-Röhrdanz
Prof. Gerd Schenk
Dipl.-Ing. Apollonia Steuer
Orhan Wieloch
Dr. Agathe Jähn B.A.
Bianka Scheuermann
Frau Monique Wesack B.Eng.
Hubertine Krein
Dipl.-Ing. Slawomir Ebert MBA.
Dr. Janett Schottin B.Eng.
Sylvester Bender-Boucsein
Bruno Wagenknecht
Karla Gunpf
Hedy Rudolph MBA.
Arif Killer
Elena Pruschke
Nadeschda Rädel
Ing. Wulf Atzler
Emma Hornich-Kraushaar
Monika Krein B.Eng.
Mehdi Bähr B.A.
Jacek Bärer
Celal Hettner MBA.
Dipl.-Ing. Margarethe Holt MBA.
Prof. Jonas Scholtz
Karen Hendriks
Prof. Alexei Krebs
Dr. Achim Barth
Camilla Gunpf
Nermin Martin
Cäcilie Roht-Misicher
Ing. Ramazan Kabus B.Eng.
Dorothea Finke
Torben Wiek-Ring
Lotti Rosemann
Gundula Klotz
Heiner Rörricht
Dr. Olaf Gierschner B.Sc.
Dipl.-Ing. Alan Schacht B.Eng.
Ing. Gislinde Ernst B.A.
Ing. Helene Jähn B.Eng.
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Sinaida Roskoth B.A.
Tibor Budig
Annaliese Klingelhöfer
Asta Mielcarek-Blümel
Alicja Faust B.Eng.
Ulrich Plath-Weihmann
Catrin Ziegert-Meyer
Lorenz Sauer
Aleksander Scheuermann
Gernot Kobelt
Thoralf Eimer
Leo Roskoth B.Sc.
Christof Ditschlerin
Annamaria Margraf
Univ.Prof. Alexa Junitz B.Eng.
Brit Anders
Univ.Prof. Birger Weihmann MBA.
Vlado Lindner
Volkhard Köster-Jüttner
Hans-Willi Baum-Staude
Univ.Prof. Jeannette Schleich B.Sc.
Claudio Bolnbach
Konstantin Ladeck
Paula Stroh
Franziska Wernecke
Ing. Nadeschda Tschentscher B.A.
Leonore Jäkel
Prof. Juan Hamann
Hedy Kobelt
Sylvie Neuschäfer
Tassilo Gehringer
Victoria Hornig
Gertrude Lehmann-Kostolzin
Brigitta Walter
Prof. Marion Martin
Genoveva Hofmann
Gloria Mosemann
Konstantin Knappe
Constance Lange
Siegfried Kreusel
Univ.Prof. Nadine Gnatz
Isa Weihmann
Ing. Rocco Reuter
Rupert Kallert
Ingbert Birnbaum-Ring
Carina Kusch
Dimitrios Kraushaar-Adolph
Gero Gierschner
Cornelia Schinke
Brunhilde Heinz MBA.
Horst Hauffer B.Eng.
Ing. Wilhelmine Adler B.Sc.
Theresa Schüler
Tobias Wirth
Stilla Klotz
Benno Mohaupt
Diethelm Hübel MBA.
Prof. Karen Benthin B.Eng.
Mehmet Löwer-Trupp
Nurten Henschel-Stroh
Anika Tschentscher
Sükrü Schüler MBA.
Miroslaw Holt
Dr. Elly Junk
Sonja Löchel
Ekrem Spieß
Auguste Lorch
Gottfried Keudel MBA.
Adam Gertz
Margita Hentschel
Ludwina Mohaupt
Brian Preiß
Tony Wende
Frau Annette Fiebig B.Eng.
Univ.Prof. Frederike Heintze
Ignaz Warmer
Thorsten Kensy B.Eng.
Nadeshda Schenk
Ing. Vesna Kroker B.Eng.
Hagen Weimer
Prof. Liliane Gehringer MBA.
Ivana Eimer
Univ.Prof. Kata Zahn
Detlev Heintze
Karl Heinz Stiebitz
Prof. Goran Sölzer MBA.
Marek Adler
Antonia Mohaupt
Maria-Theresia Scholl
Prof. Svea Putz MBA.
Anette Bien
Volker Süßebier-Staude
Freia Buchholz
Judith Gerlach
Louise Jessel
Juan Klapp B.Eng.
Gabor Dobes
Helmtrud Neureuther
Katharine Mühle
Marit Thanel B.Sc.
Hugo Junken
Sarina Dörr
Constantin Ziegert
Imelda Söding
Dr. Fredy Niemeier
Amalie Gotthard-Beckmann
Gereon Jacob
Marcella Karz B.A.
Waltrud Jockel B.Eng.
Frau Kirsten Boucsein
Univ.Prof. Betty Conradi B.A.
Alena Seip
Joana Zimmer B.A.
Ingelore Heinz
Ewald Dussen van
Janusz Kruschwitz B.Eng.
Ibrahim Lehmann B.Eng.
Saskia Kallert
Lena Holzapfel
Ing. Zofia Ernst
Wenke Patberg
Gerold Loos-Rogge
Filiz Bähr
Isabelle Förster-Beyer
Pirmin Reising
Dr. Leopoldine Kostolzin
Andre Metz B.A.
Krzysztof Mülichen
Ivana Mielcarek
Salih Eckbauer-Renner
Prof. Maria-Theresia Schaaf B.A.
Ing. Helmtrud Dussen van
Ulla Fliegner-Sölzer
Antonie Ladeck
Adele Boucsein B.Sc.
Janet Jüttner
Tadeusz Kruschwitz B.Sc.
Willibald Seidel
Uli Wohlgemut-Stadelmann
Ing. Annekatrin Heß
Karl-Heinz Buchholz
Natalia Hauffer
Dipl.-Ing. Cläre Geißler
Ing. Bernfried Haering
Mira Hoffmann
Thies Pergande
Hanspeter Koch II-Wohlgemut
Dr. Mariusz Beckmann
Dipl.-Ing. Heinz-Otto Jähn
Nicole Hoffmann
Senta Hiller
Hans-Gerhard Staude
Prof. Irena Höfig
Tülay Trapp
Nikolaus Fiebig
Dr. Auguste Sager
Dr. Denise Girschner B.Sc.
Hans Kohl MBA.
Margarete Linke
Ing. Jens Henck B.Eng.
Frau Christiane Zänker B.A.
Anneke Jähn
Hans Dieter Stahr
Werner Heydrich-Schmidtke
Hans D. Schenk
Arno Ullmann
Rotraut Ullrich
Frau Gudrun Huhn B.Sc.
Irmela Krein-Bolzmann
Elena Linke-Wohlgemut
Anika Trüb
Dina Schmiedt MBA.
Georgine Schinke
Magret Mans
Herr Hermann-Josef Hauffer
Jens Trub
Dipl.-Ing. Rudi Wiek B.Eng.
Dominik Spieß
Dietlinde Binner
Dipl.-Ing. Undine Warmer
Karl-Georg Zahn
Kristiane Steckel
Jörgen Paffrath B.Sc.
Andrea Hamann
Theres Beer
Konstantinos Stolze-Biggen
Prof. Salvatore Römer
Wera Hauffer B.A.
Ing. Pavel Weller B.Eng.
Mariana Steckel
Univ.Prof. Diethard Klotz
Denny Lachmann
Ing. Hartmuth Gute B.A.
Eckehard Mude
Karl-August Döhn B.A.
Raimund Gieß
Brita Kaul
Prof. Hans-H. Zimmer
Gaby Bähr
Stjepan Hofmann-Hethur
Univ.Prof. Ayten Lorch
Prof. Kathy Warmer MBA.
Inge Paffrath
Frau Yvonne Trupp B.A.
Janusz Killer
Mohammed Geißler
Walentina auch Schlauchin-Albers
Franz Steuer
Anne-Katrin Höfig
Konstantinos Linke B.Eng.
Helmuth Zirme
Gislinde Lehmann
Sigurd Lange-Seifert
Michaela Sontag-Dörr
Hans-Herbert Gutknecht
Marvin Kade-Ladeck
Univ.Prof. Sergio Kreusel MBA.
Tomislav Jopich-van der Dussen
Univ.Prof. Fatima Hiller B.A.
Natalia Stroh
Jadwiga Gotthard
Ing. Margarethe Martin
Marvin Gröttner MBA.
Falk Ritter
Melita Schacht
Wilfried Börner
Carl-Heinz Kraus
Henryk Jacobi Jäckel B.Sc.
Ing. Georg Lübs
Dipl.-Ing. Nuray Mude B.Sc.
Ing. Pauline Linke
Ing. Gundolf Steinberg B.Sc.
Herr Karl Dippel B.A.
Klaus-Peter Gieß-Winkler
Klemens Thies
Erol Lindner
Herr Vinzenz Jäntsch B.A.
Ben Eimer-Loos
Agathe Jäntsch-Käster
Denny Bohlander B.A.
Rolf-Dieter Jacobi Jäckel-Nerger
Univ.Prof. Claus-Dieter Meister B.Eng.
Kilian Austermühle B.A.
Julia Graf
Oxana Ladeck
Dipl.-Ing. Laurenz Gerlach MBA.
Inken Juncken
Daniel Zänker
Univ.Prof. Lydia Langern
Inna Hande
Univ.Prof. Almut Ehlert B.Sc.
Ilonka Rose
Henriette Ladeck
Jens-Uwe Schlosser
Jann Schleich
Emma Sorgatz-Radisch
Frau Alwina Bohnbach B.Eng.
Prof. Rabea Hettner B.Eng.
Marie-Louise Hauffer
Viola Sager
Dr. Hedda Radisch
Francisco Harloff
Kenan Pieper
Miriam Juncken
Gertrude Kostolzin MBA.
Rotraud Fiebig
Univ.Prof. Undine Junken MBA.
Univ.Prof. Mahmoud Liebelt
Hans-Gerd Preiß
Frauke Staude
Konstanze Zänker MBA.
Ida Buchholz B.Eng.
Gert Nette
Robby Kramer
Leon Rust
Gabriel Roskoth
Urszula Killer B.A.
Frau Almut Kuhl
Rolf-Peter Reising B.Sc.
Steffen Schlosser
Ellen Gutknecht
Philipp Reising-Harloff
Egbert Tschentscher
Wilma Matthäi
Ing. Wladimir Karz MBA.
Marion Wohlgemut B.A.
Univ.Prof. Ditmar Mitschke B.A.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Michelle Kitzmann
Dagmar Koch
Dr. Margarethe Ernst
Prof. Britt Drub B.Eng.
Maya Lindner-Zimmer
Juan Schweitzer
Univ.Prof. Vesna Hering
Frau Angelina Martin
Hermine Eberhardt
Prof. Fabian Scholl MBA.
Kathi Etzler
Lieschen Röhricht MBA.
Anatolij Junk
Michel Kuhl
Erol Kreusel B.Sc.
Torsten Pergande
Mandy Trüb
Meral Eberhardt B.A.
Prof. Gaetano Weiß
Gisa Dörr B.Eng.
Leokadia Putz
Dr. Hildegund Söding B.A.
Univ.Prof. Sönke Schomber
Gislinde Junken
Dr. Inna Mude MBA.
Sören Trommler
Karl-Friedrich Kitzmann
Bernhardine Ruppersberger
Stefania Möchlichen
Bertold Schenk
Carina Bruder
Sibylle Löchel
Prof. Karl-Hermann Pieper B.Eng.
Anto Kobelt-Kobelt
Sylvia Schenk
Achim Budig
Eugen Weitzel
Jann Cichorius
Cemil Schweitzer
René Gude B.A.
Dr. Jochem Trapp MBA.
Heimo Ziegert
Mia Roskoth
Melanie Scheel B.A.
Jeannine Lehmann
Istvan Patberg-Anders
Univ.Prof. Dorit Pechel B.A.
Wendelin Pärtzelt
Gero Schomber
Ing. Hellmuth Scholl
Milka Hahn
Michaele Schwital
Valentin Gute
Bernward Losekann MBA.
Andree Wilmsen B.Eng.
Artur Budig
Mariusz Wilmsen B.A.
Juergen Beier B.A.
Heinz-Werner Buchholz
Constantin Kraus
Ivo Lorch
Patrick Wohlgemut
Ing. Wieslaw Kobelt B.Sc.
Susi Seifert
Dr. Jane Kostolzin
Birthe Schüler
Bogdan Rosemann
Hans-Günther Wilmsen
Andrei Wulff
Heinz-Josef Conradi-Klapp
Edda Henschel
Hansgeorg Heuser
Caroline Harloff
Antje Kambs
Egon Paffrath
Piotr Speer-Seifert
Mona Thies
Hedi Gumprich
Thea Dippel
Imre Sauer
Notburga Pölitz
Martine Zobel
Dipl.-Ing. Slobodan Sölzer
Prof. Annita Wulff
Benno Hofmann
Gebhard Kitzmann
Dr. Anny Kallert
Dr. Hans-Albert Stroh
Alla Weihmann
Roland Ring
Herr Roman Schwital MBA.
Herr Urban Christoph
Rebecca Oderwald
Karl-Ludwig Bolnbach
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Frau Mirja Jüttner B.Eng.
Lilly Naser
Friedl Barth
Karlfried Karge-Wieloch
Marjan Segebahn B.Eng.
Gereon Textor
Aleksandr Schuster B.A.
Karlfried Rörricht
Prof. Roy Blümel
Eckard Textor
Gunnar Hornig
Ahmet Eckbauer-Sölzer
Dorina Fiebig
Univ.Prof. Bert Gieß
Willy Hornig
Ing. Hatice Gehringer
Mareile Birnbaum
Roswita Henck
Margit Walter
Peer Bärer
Karl-Hans Hande-Schuster
Marisa Wagenknecht
Philip Heß MBA.
Liesbeth Schlosser
Mark Gute-Faust
Ann Spieß MBA.
Nicolaus Seifert B.A.
Frieder Austermühle
Ing. Lucie Karz
Frau Belinda Plath B.A.
Angelique Kruschwitz
Karl Heß
Prof. Jolanthe Gude
Franz Josef Flantz
Annemarie Wieloch
Sina Wulff-Dussen van
Yusuf Nette B.Sc.
Heimo Huhn B.A.
Rüdiger Geisler
Dominic Martin
Prof. Irmela Klemt B.Eng.
Kaspar Trub
Rainer Henk-Gotthard
Konstantin Eimer-Lehmann
Edelgard Finke B.Eng.
Timo Siering-Hübel
Univ.Prof. Mira Heser B.Sc.
Hanne-Lore Losekann B.Sc.
Andreas Birnbaum-Kallert
Ing. Anna-Maria Stey
Prof. Stefania Briemer
Eugen Schottin
Brian van der Dussen
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Doreen Striebitz
Prof. Maria-Luise Drub B.Sc.
Andrei Bolander-Jäkel
Ansgar Möchlichen-Höfig
Dipl.-Ing. Klaus-D. Kostolzin
Dipl.-Ing. Milos Klemt
Dr. Antonia Schomber B.Sc.
Celal Pohl
Flora Gotthard
Frau Trude Walter B.A.
Dipl.-Ing. Halina Bender B.A.
Kirstin Boucsein B.Eng.
Luka Stiffel
Janine Söding
Laura Beier
Herr Jerzy Drub
Ing. Kunigunde Wieloch
Grete Peukert
Dipl.-Ing. Bertram Gieß MBA.
Tamara Nette-Ladeck
Adrian Fiebig-Dörschner
Franziska Hörle B.Sc.
Dr. Jochen Schäfer
Liane Hermann MBA.
Ingmar Hauffer
Gülten Röhrdanz
Aysel Löchel
Waltrud Scholl
Maria-Theresia Heinz B.A.
Dipl.-Ing. Albrecht Metz
Leonardo Klingelhöfer B.Sc.
Ralf-Peter Ebert
David Losekann
Gertraude Tintzmann
Wojciech Losekann-Seidel
Guido Wagenknecht-Kallert
Anne Zorbach
Rena Radisch
Ottokar Döhn
Dr. Stephanie Ladeck
Elli Meister
Corinne Koch II
Bianka Dobes-Seifert
Dipl.-Ing. Serge Nerger
Marcus Langern
Meta Harloff
Johannes Bärer
Heinrich Döring
Iwan Butte B.Sc.
Dr. Miguel Jungfer
Massimo Dörschner
