Student
Annerose Eckbauer
Fredi Wilmsen
Erhardt Steinberg
Christel Bärer-Zirme
Ing. Horst-Dieter Seip
Dorothee Blümel
Prof. Rolf-Dieter Fiebig MBA.
Veronique Hartung-Haering
Ivan Plath
Univ.Prof. Almuth Cichorius B.Eng.
Hermann Josef Börner
Ursel Juncken-Buchholz
Ing. Leo Schulz
Eveline Putz
Inka Trub
Hans-Gerd Jockel
Univ.Prof. Agathe Steinberg MBA.
Rena Rohleder
Dipl.-Ing. Tim Jäntsch B.Eng.
Ing. Tina Schmiedt B.A.
Ing. Aldo Radisch
Kristian Rosemann B.Sc.
Traugott Hövel
Reimer Kitzmann
Rene Albers
Dr. Michel Pruschke B.Eng.
Ludmila Patberg
Annelene Zänker
Czeslaw Fiebig
Aleksej Kühnert B.A.
Dr. Sandra Mangold B.Sc.
Walter Weller
Julia Heinrich
Ewa Bolnbach-Textor
Ulf Kensy MBA.
Rainer Conradi
Hans-Heinrich Schüler-Seip
Ansgar Hande
Mariele Stiffel B.Sc.
Herr Hans Peter Jacob
Ronald Henschel
Ignaz Beer-Eckbauer
Christos Bolander
Wieland Linke
Jaroslaw Seip
Alexej Kohl
Gertraude Hahn
Daria Stiffel
Dr. Nadeschda Wulf
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Dipl.-Ing. Zenta Hornig B.Sc.
Herr Imre Kohl
Ing. Guenther Scholtz B.A.
Christl Eigenwillig
Dipl.-Ing. Augusta Lachmann B.A.
Mariola Heinrich
Dr. Rita Kallert
Katalin Butte
Prof. Jolanthe Gude
Gabriella Rädel
Jost Roskoth
Janett Patberg
Harro Keudel
Undine Dehmel
Fernando Reising
Kai-Uwe Schäfer
Antonina Christoph MBA.
Univ.Prof. Katharina Werner MBA.
Ing. Michel Harloff
Johann Baum
Timm Wende
Ignatz Börner
Friedericke Ring MBA.
Mesut Gute
Leon Junken
Korbinian Werner
Herr Juri Kitzmann
Dr. Steven Wohlgemut
Univ.Prof. Sergio Kreusel MBA.
Prof. Karen Benthin B.Eng.
Mehmet Sauer
Arif Killer
Miroslaw auch Schlauchin
Prof. Hubert Heß
Lothar Birnbaum
Univ.Prof. Gottlob Tröst B.Eng.
Jonas Boucsein
Meral Eberhardt B.A.
Univ.Prof. Clara Heidrich B.Sc.
Irmtrud Röhrdanz
Lore Margraf
Reinhard Beer-Etzler
Stjepan Langern
Friedrich-Wilhelm Höfig-Johann
Frank-Peter Bien
Clemens Thanel
Anastasios Heinz
Justine Dippel-Rosemann
Hermann Josef Drubin
Ing. Luisa Oestrovsky
Tassilo Beckmann
Dogan Bolander
Mohammed Ritter
Univ.Prof. Sigurd Fischer B.Eng.
Katharine Mühle
Sven Walter
Ignatz Gutknecht
Melissa Gehringer
Frau Jane Sauer
Reingard Geisel
Sara Rogge
Ilja Kitzmann B.A.
Till Bolander
Irma Neureuther
Helga Franke
Anika Biggen MBA.
Magda Geißler
Ing. Wulf Atzler
Dipl.-Ing. Reimer Werner MBA.
Hannah Jacobi Jäckel
Hilde Lübs
Elisa Karz-Rohleder
Annika Pieper B.A.
Imke Keudel B.Sc.
Tabea Birnbaum
Hans-Bernd Kabus
Reinald Zahn
Mohammad Karz MBA.
Irmtraut Hahn-Walter
Willy Trub-Freudenberger
Antonietta Putz B.Eng.
Ludwig Zimmer MBA.
Fatima Rosemann-Schmidtke
Arnulf Heidrich
Mariechen Scholl
Paolo Zänker MBA.
Anne-Marie Stumpf
Adalbert Vollbrecht
Catrin Bachmann
Ing. Siglinde Bolzmann
Nils Stey
Herr Hanno Hesse
Inge Paffrath
Herr Mario Pergande
Dr. Peer Schwital MBA.
Dipl.-Ing. Ehrenfried Kranz MBA.
Dr. Fedor Plath B.Sc.
Janko Schulz-Becker
Univ.Prof. Edelgard Naser B.A.
Tülay Schmidtke B.Sc.
Carmine Bruder-Rörricht
Dipl.-Ing. Hans-Karl Dussen van B.A.
Hubertine Krein
Sandor Ritter
Tamara Nette-Ladeck
Marit Mühle
Mariana Kranz
Franka Weinhold
Herr Ilhan Tröst B.A.
Dr. Maren Steckel B.Sc.
Natalie Bender MBA.
Friedrich-Karl Eberth
Swantje Binner B.A.
Zehra Putz
Burkhardt Holt
Herr Rolf-Peter Renner MBA.
Ing. Bernfried Haering
Miroslav Krein
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Henryk Bauer
Herr Frank Bolnbach
Hans-Martin Bärer
Salvatore Eberhardt-Ring
Evamaria Berger
Karl Heinz Stiebitz
Ing. Vesna Kroker B.Eng.
Carin Huhn
Dr. Herbert Jockel B.Eng.
Maja Fischer B.A.
Jana Wulf MBA.
Univ.Prof. Cecilia Scholl MBA.
Lidija Löchel B.A.
Wiltrud Gröttner-Klapp
Hedy Loos
Robby Kramer
Hildegart Scheel B.A.
Hedwig Briemer
Herr Oliver Stahr
Philip Weller B.A.
Tilman Hövel
Jan-Peter Grein Groth
Dr. Ella Warmer
Anneke Nohlmans
Prof. Helga Hesse
Dr. Peggy Beyer B.Sc.
Danilo Losekann
Brian Dussen van
Irmengard Röhrdanz
Dr. Zenta Holsten
Hans Josef Lachmann
Sigismund Junitz
Angelo Pärtzelt
Arndt Bachmann B.Eng.
Maurizio Eckbauer
Imke Gieß B.Sc.
Matthäus Eckbauer
Francisco Harloff
Lili Birnbaum
Ernest Stahr
Gebhard Eberth B.Eng.
Edgar Karge
Andreas Metz
Hans D. Haering
Achim Etzold MBA.
Milos Kuhl B.Sc.
Roger Wagenknecht
Hans-Hinrich Stiffel
Torsten Pergande
Ing. Petar Wilmsen
Henry Austermühle
Ottilie Hartung
Rene Wernecke
Carmen Weinhold
Hertha Gieß
Dr. Gabriela Geißler
Ivana Mielcarek
Frau Linda Weiß B.Eng.
Hans-Martin Kambs
Horst-Günter Renner
Hugo Junken
Willy Weiß
Pedro Beer
Johann Seidel
Saskia Roskoth B.Eng.
Frau Almut Kuhl
Czeslaw Jacobi Jäckel-Zahn
Klaus-Dieter Wende
Katarina Knappe
Ernst Koch II-Graf
Annelie Metz
Gunda Ditschlerin B.A.
Erwin Jungfer
Oskar Weitzel
Ing. Kristina Biggen
Domenico Nohlmans-Eberhardt
Friedhelm Schleich
Karl-Heinrich Sölzer
Antonia Köster B.A.
Florentine Sölzer-Siering
Valerij Weller-Barkholz
Benno Kraushaar
Univ.Prof. Pamela Kambs MBA.
Prof. Riza Niemeier
Patric Geisler-Becker
Doreen Striebitz
Marit Söding
Ing. Carolin Matthäi
Adrian Killer
Sylwia Bolander
Patrick Pärtzelt-Henck
Alena Steuer
Gotthilf Gertz
Dr. Diedrich Atzler
Gerd Beckmann-Gnatz
Dr. Evangelia Killer B.Sc.
Marlen Jacobi Jäckel B.Eng.
Gerold Schuchhardt B.Sc.
Astrid Dehmel
Univ.Prof. Amelie Gröttner B.Eng.
Gerd Wiek MBA.
Reinhard Christoph
Gabriela Girschner
Erhard Otto
Manuel Krause MBA.
Elfi Harloff
Univ.Prof. Gretl Langern B.A.
Kunigunda Hänel-Briemer
Univ.Prof. Guido Carsten MBA.
Johann Oestrovsky
Josip Kuhl
Gitte Rohleder-Bruder
Ralph Jacobi Jäckel
Ing. Anneliese Döring
Aloys Barkholz
Prof. Ricardo Kensy
Katharina Käster MBA.
Dr. Ferdinand Pölitz
Cathleen Mies MBA.
Radmila Kraus-Schacht
Marianne Ziegert-Werner
Adalbert Schmidtke
Franz Josef Nette-Werner
Martine Conradi
Univ.Prof. Ottmar Jopich
Vassilios Birnbaum
Inna Hande
Thaddäus Geißler
Herr Günther Krein MBA.
Almuth Haase
Alina Finke
Konstanze Sontag
Aysel Löchel
Emilia Scheel
Jochem Hermighausen
Hans-Friedrich Heydrich
Eleni Franke
Sonja Barkholz
Änne Wagner
Lisette Schönland B.Eng.
Anthony Heintze
Ing. Janin Winkler MBA.
Ida Weihmann
Stefani Caspar
Cemal Hamann
Prof. Olga Steckel B.A.
Mareike Scholl
Dipl.-Ing. Kriemhild Löchel
Rosita Köster B.A.
Tillmann Dobes-Trupp
Edwin Förster-Albers
Ing. Chantal Schleich B.Eng.
Blanka Birnbaum
Siglinde Kambs-Geißler
Frau Sibel Trommler
Christian Jacobi Jäckel
Jens-Peter Bolzmann
Stefanie Benthin
Ing. Cosimo Steinberg
Elizabeth Jacob
Heinrich Rogner
Prof. Axel Davids MBA.
Marianna Hofmann
Dr. Ibrahim Dobes B.Eng.
Urszula Killer B.A.
Knut Gorlitz
George Hörle
Univ.Prof. Claus-Dieter Dippel B.Eng.
Ryszard Anders B.Sc.
Rosalia Heydrich
Ing. Cord Hermighausen B.Eng.
Arno Ullmann
Dr. Frederik Dobes MBA.
Ing. Romy Gieß
Harri Heuser
Nurettin Börner
Mark Gute-Faust
Irmtrud Pohl
Katharine Renner
Monika Mühle-Hiller
Inga Wieloch
Dr. Annika Gude MBA.
Cemal Trapp
Dr. Jacqueline Trubin B.Sc.
Prof. Diether Neureuther
Univ.Prof. Leif Süßebier B.A.
Melita Schleich
Univ.Prof. Aleksander Wiek B.A.
Ing. Carin Zorbach MBA.
Gönül Barth-Zobel
Sibilla Bachmann
Patrick Anders-Stolze
Roy Schmidt B.Eng.
Ing. Walli Bolander MBA.
Roland Putz
Ralf-Peter Ebert
Walfried Wohlgemut B.Eng.
Ortrun Eckbauer-Kohl
Bernhard Fischer
Univ.Prof. Lissi Schomber
Sylvester Hamann
Mariusz Wilmsen B.A.
Henriette Sager
Baptist Radisch MBA.
Gotthard Schuster
Wilma Drub B.Eng.
Frau Franziska Trupp B.Sc.
Dipl.-Ing. Reinhart Gotthard B.Eng.
Univ.Prof. Roger Stadelmann B.Sc.
Dr. Sükrü Hettner
Ilhan Hoffmann-Karz
Irmela Krein-Bolzmann
Inna Ditschlerin
Univ.Prof. Ron Rörricht
Elvira Mälzer
Ralph Fröhlich
Ahmad Preiß
Thomas Hentschel
Dr. Jonas Fechner
Univ.Prof. Reginald Lorch
Gaby Noack
Dipl.-Ing. Viktor Scheibe MBA.
Nermin Jopich
Herr Falk Holzapfel
Dr. Elena Kade B.Sc.
Saskia Wagenknecht
Dr. Anna-Maria Zahn B.Sc.
Gülsen Junck
Bruni Meister B.Sc.
Univ.Prof. Melita Langern
Anatol Adler
Dipl.-Ing. Birgitta Boucsein
Vera Losekann
Cord Benthin
Rudolf Mentzel
Georgios Neuschäfer
Univ.Prof. Traude Gertz
Ing. Denny Mende
Sylvester Bender-Boucsein
Halina Römer-Hartung
Ulla Fliegner-Sölzer
Käthe Ernst
Univ.Prof. Jann Schleich
Milos Wiek
Wulf Thanel-Scheibe
Conrad Killer
Dr. Danica Scheuermann B.Sc.
Herr Aleksandr Wiek B.Sc.
Pavel Jessel
Univ.Prof. Hans-Eberhard Bauer
Mechtild Hering
Hasso Mans-Buchholz
Krzysztof Niemeier-Kostolzin
Jolanda Rose
Gisa Dörr B.Eng.
Abram Peukert MBA.
Ria Dietz
Alois Knappe
Prof. Patrik Scheel
Milos Seifert
Herr Vladimir Zimmer MBA.
Heinz Dieter Trubin
Kathi Wesack
Univ.Prof. Änne Finke B.Sc.
Irmingard Meyer MBA.
Ing. Hanns Haase B.Eng.
Kira Hartmann B.Sc.
Käthi Faust-Gorlitz
Ing. Gottfried Hoffmann
Ing. Steffen Röhrdanz B.A.
Faruk Meister
Anne-Marie Drewes
Pierre Ortmann
Deborah Scholtz B.A.
Leonardo Trub B.A.
Regine Häring
Gabriele Käster
Friedericke Ruppersberger
Alwine Linke
Dajana Ruppert
Adalbert Ullmann
Angelina Dörschner-Reichmann
Dipl.-Ing. Zeljko Stumpf B.A.
Adina Söding
Anka Boucsein
Dr. Ruth Dobes
Stavros Hentschel B.Eng.
Jurij Eimer
Dr. Lidija Weihmann
Dipl.-Ing. Bernhardine Heß
Gundula Klotz
Olav Thies
Dipl.-Ing. Dunja Hoffmann
Herr Roderich Hauffer
Kirstin Boucsein B.Eng.
Irmgard Weinhage-Wieloch
Damian Jopich B.A.
Dora Jockel
Ditmar Briemer
Ing. Christel Margraf MBA.
Gottfried Hettner-Reising
Hans Peter Beckmann
Nicolaus Franke-Paffrath
Gesa Jäntsch
Sevim Textor-Schinke
Jens-Uwe Käster
Knut Jacob
Dipl.-Ing. Jaroslav Henk
Olga Stahr
Dipl.-Ing. Richard Gröttner B.A.
Dörthe Mitschke-Holt
Zlatko Kraus
Änne Möchlichen
Elfie Otto
Thaddäus Kraushaar-Ruppert
Klothilde Zänker
Rainer Gude-Kaul
Magdalena Sauer
Juergen Bähr
Andre Metz B.A.
Elsa Sontag
Dr. Dagmar Hörle B.Sc.
Ing. Willibert Steckel
Dr. Lidija Metz
Klaus-Dieter Koch II B.A.
Mirjana Schlosser B.Eng.
Herr Alwin Sager B.A.
Hans Jürgen Grein Groth-Rudolph
Oscar Fritsch
Ibrahim Ditschlerin
Slawomir Ehlert-Reising
Ellen Weinhold
Hertha Stoll
Hanne Ackermann
Univ.Prof. Heinrich Knappe B.A.
Herr Urban Christoph
Bianka Scheuermann
Burckhard Margraf
Dipl.-Ing. Nathalie Radisch
Univ.Prof. Horst Scholtz
Aleksander Klapp-Sauer
Berndt Bähr
Ilja Hölzenbecher-van der Dussen
Siegrid Bachmann-Schaaf
Dipl.-Ing. Mariola Lange B.Sc.
Sina Mende
Daniele Hering
Pero Gutknecht
Saban Hendriks
Gunda Warmer
Lucia Hermighausen
Klaus-D. Zirme-Bachmann
Ing. Isabell Hartmann MBA.
Anatoli Caspar
Dipl.-Ing. Christoph Jockel B.Sc.
Herr Wladimir Bolnbach
Piotr Schaaf
Heiderose Lange-Schüler
Hans D. Kusch B.Sc.
Prof. Uschi Fliegner B.A.
Dolores Conradi
Herr Mirko Häring B.Sc.
Erdal Bähr
Rupert Kallert
Eugenia Riehl
Dominik Huhn
Jadwiga Karge
Sigrid Schleich
Enno Jockel MBA.
Ing. Christina Beckmann B.Eng.
Edgar Bauer
Michaela Kade
Univ.Prof. Oscar Lindau MBA.
Frau Myriam Walter B.Sc.
Ing. Ben Lindau MBA.
Gerlind Trüb-Losekann
Fernando Neuschäfer
Centa Kaul
Swen Schweitzer B.Sc.
Frau Marie-Therese Mielcarek
Franz Schweitzer
Frau Eleni Ziegert B.Sc.
Klaus-Dieter Meister
Brunhilde Koch II
Frau Anna Mangold B.A.
Univ.Prof. Walter Barkholz
Ing. Ivana Budig B.Eng.
Ing. Karin Werner
Dipl.-Ing. Mariana Mohaupt B.Sc.
Bertold Stadelmann
Nuri Jopich
Liane Reuter
Rolf-Dieter Kensy
Sami Mitschke
Heide Hesse-Bärer
Wera Klemt
Fedor Roskoth B.A.
Tilly Pergande
Catherine Huhn
Anette Bien
Ing. Cynthia Weihmann B.Eng.
Frauke Söding
Prof. Apollonia Gerlach B.Sc.
Diether Dussen van-Rohleder
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Jeanette Mälzer
Heinz-Georg Rosemann-Bohnbach
Rouven Bloch B.A.
Dagmar Jungfer
Ludger Stiffel
Juan Noack
Sebastian Aumann
Dr. Lina Hiller
Univ.Prof. Othmar Geisel
Sibilla Eimer
Augustin Lachmann
Kati Koch II
Sigrid Jockel
Prof. Dolores Butte
Gregor Loos-Gehringer
Henryk Textor-Gröttner
Hanife Thies
Ron Beer
Univ.Prof. Siegrun Klingelhöfer MBA.
Canan auch Schlauchin-Dussen van
Dr. Edith Ring B.Sc.
Ramon Jäntsch-Gertz
Nadeschda Pölitz
Enrico Hellwig
Prof. Arif Mielcarek B.Eng.
Rüdiger Bien-Hübel
Aleksander Scheuermann
Hans-Adolf Römer-Jäntsch
Otmar Wende
Prof. Ruthild Nette B.A.
Clarissa Wieloch
Ing. Alla Schottin B.A.
Eggert Börner-Geisler
Konstantinos Stolze-Biggen
Prof. Kaspar Mosemann
Malgorzata Pieper
Wolfhard Ziegert
Horst-Dieter Bähr
Dr. Hans-Peter Adolph MBA.
Edwin Wilms MBA.
Edeltraut Anders-Rohleder
Herr Frieder Wulff B.Sc.
Frau Trudi Wähner B.A.
Sami Stolze-Döhn
Gina Stolze
Francis Rohleder
Gisbert Christoph
Hans-J. Wohlgemut
Emma Trub-Scheuermann
Liesbeth Huhn
Eva-Marie Berger MBA.
Heinz-Günther Bohnbach
Gabriel Süßebier-Eigenwillig
Anne-Marie Sontag
Zita Wieloch-Scholtz
Eberhardt Fiebig
Univ.Prof. Adelbert Zimmer
Ing. Leonore Haering MBA.
Annie Harloff B.A.
Johannes Schuchhardt-Junitz
Kay-Uwe Barkholz
Cemil Schweitzer
Adrian Fiebig-Dörschner
Monique Schleich-Kroker
Magdalena Gude
Heinz-Wilhelm Steuer-Mende
Sigmund Conradi
Cornelia Schinke
Univ.Prof. Hiltrud Löwer
Mirko Ehlert
Mahmut Rose B.A.
Frau Mechtild Fliegner
Univ.Prof. Franz-Josef Holt
Magdalena Tintzmann B.Sc.
Notburga Heuser
Dr. Kai-Uwe Schulz B.A.
Marleen Langern-Oderwald
Edda Klemt
Gerd Süßebier
Liliana Gehringer
Ing. Daria Lorch B.A.
Klaus-D. Dippel MBA.
Ilja Preiß
Dipl.-Ing. Ildiko Löffler B.A.
Gundula Otto-Kuhl
Ing. Ernest Rogge B.A.
Ing. Catrin Dippel MBA.
Karl-Peter Grein Groth B.Eng.
Klaus-Werner Jäkel-Holsten
Krzysztof Mülichen
Anneliese Wähner
Annelore auch Schlauchin-Lorch
Ehrhard Häring B.A.
Rosa Kobelt
Hulda Seidel-Carsten
Marko Renner
Geert Zänker
Frau Wenke Riehl
Raymond Löchel-Ziegert
Herr Gundolf Barth
Prof. Branko Weller MBA.
Kristian Anders B.Sc.
Melanie Segebahn
Ehrentraud Trubin
Hendrik Gehringer
Andre Schlosser
Ing. Natalie Oderwald B.Sc.
Heimo Knappe
Zdravko Kroker
Arno Mude
Natali Patberg B.A.
Ingbert Hartung
Univ.Prof. Paul-Gerhard Lübs MBA.
Sören Trommler
Ing. Konstantin Gerlach B.A.
James Kostolzin-Haase
Augusta Rosemann
Viola Oderwald B.A.
Hannelore Noack MBA.
Bodo Martin
Gerald Hendriks
Anne Zorbach
Gebhard Seidel
Elizabeth Stahr
Prof. Beatrix Döring MBA.
Dusan Eigenwillig
Herr Götz Süßebier
Ing. Swen Ehlert
Wanda Stoll B.A.
Dr. Theresia Mende
Friedhilde Hornig B.A.
Dr. Marian Rust
Bertram Eigenwillig
Ing. Paolo Meister
Ernest Tlustek
Felicia Löffler
Hedda Haase
Katharina Etzler
Carina Bruder
Heino Schönland-Hermann
Ing. Siegrid Birnbaum
Matthias Hendriks-Koch
Ing. Canan Gutknecht B.A.
Emma Blümel
Marzena Hein
Horst-Dieter Seifert
Vinko Schönland B.Eng.
Ingo Löffler
Yusuf Schacht
Marlen Hesse
Heinz-Otto Linke
Ron Sorgatz-Eimer
Bernt Jessel
Dagobert Rogge
Esther Eberth-Kensy
Dipl.-Ing. Robert Köhler
Ing. Liesa Zirme
Antonietta Lindner MBA.
Dipl.-Ing. Agatha Pruschke
Dr. Harald Ritter
Marlis Wiek
Holger Röhricht
Oxana Linke B.Eng.
Karlfried Rörricht
Svetlana Boucsein
Silvia Eberth
Lukas Ditschlerin
Evangelia Röhricht
Ing. Siglinde Speer MBA.
Dr. Marie-Louise Wohlgemut B.Sc.
Ramona Sontag
Urte Caspar
Prof. Heinz-Peter Sager
Georgine Segebahn
Zofia Gutknecht
Tülay Henschel
Cläre Mohaupt
Miriam van der Dussen
Univ.Prof. Margareta Naser
Francesco Wieloch-Herrmann
Friedemann Stoll
Juan Schweitzer
Prof. Rosa Kruschwitz B.Sc.
Klaus-Dieter Hänel B.Sc.
Jost Briemer
Silja Eberhardt-Boucsein
Chantal Fröhlich
Anka Jäkel-Ackermann
Helmuth Wagner
Dr. Fatma Jacob MBA.
Mesut Trommler
Prof. Marie-Theres Löffler B.Sc.
Univ.Prof. Vesna Hering
Frau Gertraude Wesack B.Eng.
Dipl.-Ing. Denise Beier
Univ.Prof. Claus-Dieter Meister B.Eng.
Albrecht Caspar
Dipl.-Ing. Lotte Austermühle B.A.
Bodo Finke
Wilhelm Klemm B.A.
Niels Faust
Ing. Helmuth Bachmann B.Sc.
Frieda Tintzmann-Löchel
Aziz Anders
Hilmar Graf
Gerda Gröttner B.Sc.
Ing. Ralf Sölzer B.A.
Thea Nette
Stephanie Beer
Frau Bianka Henk B.Sc.
Stephanie Dörr-Bärer
Massimo Hecker
Franjo Löffler B.Eng.
Elena Ditschlerin
Nadin Stiebitz B.Eng.
Ilija Rosenow
Hans Kohl MBA.
Sylvester Bachmann
Uwe Rosenow
Simon Meyer
Kasimir Lindau
Ekaterina Schmiedecke
Dr. Frank Oderwald MBA.
Babette Rohleder
Pero Römer
Elizabeth Wulf
Frau Corinna Wähner
Hans-Helmut Wesack
Sandra Hornig
Arne Dobes
Heidelore Heinrich
Dr. Ruben Wernecke
Marta Herrmann
Univ.Prof. Arno Kramer B.Eng.
Winfried Hermann
Dr. Heide Jockel B.Sc.
Margita Hentschel
Frank-Michael Sontag
Bogdan Pohl
Frau Yvonne Trupp B.A.
Jörg Speer
Univ.Prof. Therese Hänel
Hulda Neuschäfer B.A.
Ing. Gerlinde Junken
Kuno Kreusel
Monique Rose-Schuchhardt
Univ.Prof. Heidrun Hiller
Antonina Pärtzelt-Gerlach
Ing. Jenny Oestrovsky
Katharina Speer
Janette Kallert
Mattias Sorgatz-Haase
Liliane Steuer
Leszek Hentschel
Senta Schmiedecke
Nada Girschner
Gabi Gertz
Dorina Rust
Dorit Zimmer-Krein
Bernt Conradi
Czeslaw Jacob B.Eng.
Ada Ullmann-Hermann
Univ.Prof. Hartwig Holsten B.Sc.
Viviane Girschner
Dr. Sybille Bärer B.Sc.
Frau Pascale Hettner B.Eng.
Robert Budig-Ullmann
Reinhilde Hesse B.Sc.
Marina Wilmsen
Ing. Henning Drub
Vincenzo Steinberg B.Sc.
Univ.Prof. Nadine Gnatz
Ing. Dierk Striebitz
Lidija Pärtzelt
Prof. Karl-Heinz Ruppersberger
Univ.Prof. Manuela Heinrich
Piotr Ruppersberger
Paul-Gerhard Jungfer B.Eng.
Lili Kaul
Ehrenfried Stiffel
Mariusz Hartung
Uwe Schwital MBA.
Otmar Ditschlerin
Mehmet Löwer-Trupp
Urs Matthäi
Ing. Romuald Roht B.Sc.
Prof. Sylvio Gumprich
Nadja Häring B.Eng.
Torben Wiek-Ring
Carmelo Stiebitz
Timm Schleich
Zlatko Lehmann
Prof. Hans-Gerhard Reinhardt B.Eng.
Klaus-Ulrich Blümel B.A.
Franz Lange
Svenja Hartmann
Regina Ring
Elly Hande
Luzia Eckbauer
Emine Lübs
Vassilios Kuhl B.Sc.
Damian auch Schlauchin B.Eng.
Flora Mühle B.Sc.
Wally Krein-Bien
Steve Scholl-Ladeck
Univ.Prof. Aloisia Fröhlich B.A.
Jolanta Kühnert
Malte Kallert-Möchlichen
Willy Reichmann
Ivana Mans-Bruder
Marit Eberth
Claire Römer-Hornich
Marijan Huhn
Erwin Weimer-Bohlander
Tilman Eberhardt
Ulrike Albers
Antonia Stey
Diana Weitzel
Niko Pergande
Jerzy Wagenknecht B.A.
Prof. Sahin Kreusel
Dina Hartung
Eugenie Pieper
Marie-Theres Jäkel
Herr Hartwig Henk B.A.
Ann Werner-Wilms
Amalie Gotthard-Beckmann
Kreszentia Jockel
Gerhardt Barkholz B.Eng.
Prof. Ildiko Adler MBA.
Zeki Hartung
Uli Schönland-Trupp
Bernt Huhn
Grzegorz Mende B.A.
Almut Trupp
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Elsbeth Schmiedecke-Wulf
Klara Löchel-Bien
Kristin Niemeier
Jann Schenk
Alwina Hettner
Ing. Roy Dippel B.A.
Melita Hein
Alla Weihmann
Danilo Ehlert
Franziska Jüttner
Fredy Ring
Ronald Stiebitz
