Student
Univ.Prof. Dragan Thies MBA.
Dominik Huhn
Ing. Georgia Rogner
Marit Thanel B.Sc.
Prof. Lotti Löffler
Ing. Christa-Maria Liebelt
Gunar Börner
Roger Wagenknecht
Henrik Heidrich
Carina Bruder
Theo Trubin
Ing. Tina Schmiedt B.A.
Linus Drub
Josefa Junk
Luciano Klotz
Frau Margit Gehringer MBA.
Dipl.-Ing. Alla Karge
Sabine Gude
Ing. Hans-Joachim Ullrich
Hellmut Siering
Frau Katarina Lindner
Evi Wilmsen MBA.
Dr. Meinhard Hiller
Marcel Schlosser
Leon Linke
Karl-Heinrich Jacob
Univ.Prof. Dorle Röhrdanz B.A.
Evangelia Gierschner
Waltraud Wernecke
Karl-Heinrich Kraus B.A.
Änne Möchlichen
Angelina Noack-Wagenknecht
Regine Häring
Ing. Gundi Boucsein B.Sc.
Iwan Schleich
Sophie Scheibe
Peter Sontag
Herlinde Schenk B.A.
René Matthäi
Simona Heidrich
Adelinde Ackermann-Knappe
Uta Karz
Joachim Rogge
Viola Ackermann
Herr Ignatz Boucsein MBA.
Rigo Conradi
Florian Wulff
Kristin Kabus
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Danuta Lachmann-Dussen van
Antonia Mohaupt
Krista Gertz B.Eng.
Prof. Hans-Peter Noack B.A.
Gertraude Pärtzelt MBA.
Dr. Samuel Dobes B.Sc.
Dogan Rogge
Gülsen Davids-Heinz
Hagen Girschner
Nadia Steckel
Ing. Hatice Gehringer
Grit Karz
Herr Gundolf Barth
Leonid Mühle
Univ.Prof. Ortwin Geisler MBA.
Frau Dana Röhrdanz
Dr. Otmar Linke MBA.
Dorle Schmidtke MBA.
Prof. Irena Höfig
Janet Johann B.A.
Felicia Löffler
Ronald Werner
Katharina Käster MBA.
Annie Harloff B.A.
Engelbert Margraf-Trommler
Alena Neureuther
Anatolij Junk
Gregor Dippel
Erkan Beier
Annelise Steckel B.Sc.
Univ.Prof. Petra Scheel
Univ.Prof. Woldemar Walter
Anneli Heintze
Inka Trub
Ansgar Möchlichen-Höfig
Alfred Holzapfel-Hamann
Julie Radisch MBA.
Alida Trupp
Rene Hofmann
Alessandro Werner
Ing. Czeslaw Geisel
Ekrem Spieß
Patrick Pärtzelt-Henck
Eva-Maria Eberth B.A.
Ingbert Binner-Heidrich
Sybilla Herrmann-Pärtzelt
Vitus Schmidt
Elma Junken
Jacek Bärer
Univ.Prof. Heidelinde Jopich B.Sc.
Frau Korinna Kranz
Lidwina Sorgatz-Weihmann
Hans-Gerd Preiß
Erdal Bähr
Dipl.-Ing. Stefano Wernecke B.A.
Dipl.-Ing. Jörgen Rose B.Eng.
Marica Walter
Hartmuth Koch II
Elise Ackermann
Heidelore Heinrich
Dipl.-Ing. Waltraut Kallert
Virginia Gorlitz
Wilfriede Ehlert
Gerda Sauer
Hansgeorg Heuser
Otmar Schmidtke
Klaus-Peter Gieß-Winkler
Melita Schleich
Olivia Jäkel
Ing. Helen Gumprich B.Sc.
Anna-Luise Segebahn
Tamara Bender MBA.
Damian Söding
Liesbeth Junck-Benthin
Uwe Rosenow
Lissi Kohl
Sandra Hornig
Jutta Aumann
Frau Kordula Geisler MBA.
Veronique Hartung-Haering
Gotthilf Gertz
Dr. Gabriel Freudenberger MBA.
Katrin Oestrovsky-Fechner
Hedda Schönland
Dipl.-Ing. Mariana Mohaupt B.Sc.
Roselinde Metz MBA.
Dipl.-Ing. Annemarie Trommler B.Sc.
Ursel Conradi
Univ.Prof. Beatrix Roskoth
Heinrich Rogner
Annelie Heuser
Carla Schacht
Jacob Süßebier
Eveline Putz
Constantin Jacob B.Sc.
Herr Oliver Stahr
Thorsten Bolzmann-Hesse
Dragica Kreusel
Daniel Zänker
Wieslaw Oestrovsky MBA.
Christiana Pohl
Jaroslaw Eckbauer
Slobodan Hauffer
Manuela Sauer
Reinhild Pergande
Dr. Annekatrin Striebitz
Dr. Guntram Kusch
Oliver Schwital
Lothar Fischer
Eva-Maria Geisler
Günther Mude B.A.
Herr Karl-Heinrich Eberth B.Sc.
Brunhilde Tröst
Ewald Dussen van
Jiri Förster
Hartmut Hiller B.A.
Ronald Börner-Hentschel
Eugen Schottin
José Tschentscher-Textor
Prof. Tillmann Holt B.A.
Gerolf Döring-Buchholz
Meral Stroh-Henschel
Dr. Damian Scheel
Prof. Freya Biggen B.Eng.
Univ.Prof. Ditmar Mitschke B.A.
Berthold Haase-Trub
Univ.Prof. Janos Rörricht MBA.
Stephanie Krause
John Roskoth-Rädel
Grzegorz Bohlander
Univ.Prof. Gesa Loos
Ing. Agnes Zobel
Susi Grein Groth-Steuer
Dipl.-Ing. Elif Hartmann B.A.
Justus Aumann
Eugenia Riehl
Maurice Beckmann
Fatma Hesse
Ben Eimer-Loos
Dr. Ursel Gute
Cora Scholtz
Yasmin Reising
Friederike Sölzer-Hentschel
Timm Schönland
Leonard Kostolzin
Kunibert Hahn-Lindau
Herr Hermann-Josef Lehmann B.A.
Maria-Theresia Tschentscher
Regina Hamann B.Sc.
Curt Mühle
Valeria Conradi
Herr Steven Eberhardt
Zdravko Müller-Fritsch
Frank-Michael Löwer-Ring
Ricarda Warmer B.A.
Dipl.-Ing. Josip Mies
Univ.Prof. Etta Bohnbach
Kordula Drub B.Sc.
Dipl.-Ing. Frederik Rörricht B.Sc.
Fernando Tschentscher-Schacht
Brunhilde Heinz MBA.
Friedrich-Karl Weimer
Helge Finke-Wähner
Annegret Atzler
Siegbert Henschel
Wilfried Radisch
Madlen Salz
Brita Roht MBA.
Anton Müller
Cläre Mohaupt
Susanna Weitzel
Babette Rohleder
Veit Beckmann
Sergio Schleich
Gabi Heinz
Anica Sorgatz B.Sc.
Bekir Cichorius-Döring
Janin Hermann
Michel Kuhl
Peter Rohleder
Wiltrud Christoph
Dr. Angelica Trüb
Antje Etzold
Dipl.-Ing. Georgine Adolph B.Eng.
Friedericke Ring MBA.
Aloisia Faust
Cemal Hamann
Prof. Heinz-Peter Thies
Johanna Stumpf
Egon Ruppersberger B.Sc.
Christina Geisel-Hesse
Günter Löwer
Sinaida Roskoth B.A.
Kazim Junken
Desiree Wulf-Jüttner
Rita Käster B.A.
Almuth Rosenow-Schönland
Damaris Zirme
Anneli Wernecke
Carina Schaaf
Ing. Catrin Dippel MBA.
Dipl.-Ing. Hermann-Josef Jüttner
Claus Jähn B.Eng.
Francisco Harloff
Dr. Matthias Niemeier
Hildburg Dowerg-Pergande
Dipl.-Ing. Gisela Schuster B.A.
Wiebke Hölzenbecher
Dajana Meyer
Danica Atzler
Adalbert Ullmann
Lili Döhn-Margraf
Markus Albers
Gerold Schuchhardt B.Sc.
Dipl.-Ing. Nuray Mude B.Sc.
Albin Fischer B.Eng.
Cecilia Eigenwillig
Hilma Berger
Gerd Wiek MBA.
Dr. Frederike Hering B.Eng.
Annelise Jungfer
Anton Gute
Natascha Eigenwillig
Natalie Carsten B.A.
Prof. Hermann Bohlander B.Eng.
Frau Rosalinde Mitschke B.A.
Elzbieta Beier
Gusti Wagenknecht
Ina Christoph B.Sc.
Abraham Adler
Annekatrin Schleich
Dr. Siegfried Heinz B.Eng.
Dipl.-Ing. Jaroslav Henk
Edward Dippel
Aziz Anders
Hans-Ulrich Liebelt-Hauffer
Dipl.-Ing. Serge Nerger
Prof. Volkmar Wirth B.Eng.
Hanns Bender
Nikolas Siering
Univ.Prof. Brigitte Rogner
Korbinian Werner
Hanne-Lore Berger
Univ.Prof. Nadine Gnatz
Dipl.-Ing. Helma Heuser B.Sc.
Dina Schmiedt MBA.
Janus Walter
Ing. Gregor Lindau
Patrizia Spieß
Tibor Schleich
Robin Flantz
Stavros Hentschel B.Eng.
Magdalena Gude
Friedlinde Sauer
Prof. Hans-Hinrich Schmidt
Juan Schweitzer
Egon Paffrath
Zdravko Staude B.Sc.
Prof. Hans-Gerhard Reinhardt B.Eng.
Volker Hettner
Jonas Hendriks
Hajo Ziegert-Noack
Luise Junk
Prof. Klaus Peter Hellwig B.Sc.
Marie-Therese Steuer
Marie-Therese Birnbaum
Karl-Dieter Seifert
Liesa Wilms B.A.
Univ.Prof. Marc Schmiedt
Madeleine Hartung
Franz Josef Herrmann
Frau Herlinde Schleich B.Sc.
Friedemann Klingelhöfer
Hans-Ulrich Dussen van
Prof. Vadim Stroh
Georgia Trub
Dr. Gabriel Junitz
Dr. Abdullah Becker
Gisa Dörr B.Eng.
Steffen Rust B.Eng.
Dr. Frieda Metz
Rahel Stey
Luzie Renner B.A.
Annelies Seifert
Hildegund Ruppersberger
Lars Ullrich
Univ.Prof. Metin Martin B.Sc.
Ing. Adam Klemt MBA.
Hanne Gierschner
Dominik Spieß
Ben Zahn
Priska Rädel
Rene Henck
Kriemhild Warmer
Agathe Söding
Marlies Beckmann
Monica Blümel
Ernestine Trommler
Herr Baptist Klotz
Univ.Prof. Traudl Mentzel B.Eng.
Ing. Elisabet Jopich B.Sc.
Dr. Gerard Dörr
Univ.Prof. Robby Vollbrecht
Ignaz Stoll
Marta Herrmann
Heinz-Günter Boucsein
Linda Ziegert-Junken
Mike Krein
Erol Röhrdanz
Thies Pergande
Dorit Ebert
Karola Zorbach B.Eng.
Svetlana Bohlander B.Sc.
Ing. Elenore Kostolzin
Frau Anne-Kathrin Wagner
Rahel Heidrich-Jüttner
Marko Renner
Dipl.-Ing. Ingbert Krebs B.Eng.
Ismail Geisler
Burghard Davids
Univ.Prof. Dorina Lange
Ing. Klaus-Michael Bolzmann
Dipl.-Ing. Utz Henschel MBA.
Zbigniew Hahn MBA.
Jens-Uwe Neureuther
Orhan Dörr-Salz
Sönke Gumprich
Dr. Constance Römer
Fredy Hiller
Janett Zorbach
Benno Ritter
Frauke Söding
Patric Stahr-Ebert
Augustin Wende
Ing. Dietlind Gieß
Slavica Vollbrecht
Attila Rogner
Prof. Mathias Schmiedt
Univ.Prof. Dolores Jäkel
Ingried Hauffer-Lübs
Ingetraud Austermühle-Dowerg
Ing. Margarete auch Schlauchin MBA.
Sören Liebelt
Prof. Svea Putz MBA.
Konstantinos Seifert
Sibilla Mälzer
Herr David Löchel B.A.
Orhan Wieloch
Gerwin Textor
Guido Wagenknecht-Kallert
Fedor Roskoth B.A.
Michaele Ruppert
Alois Werner
Susana Schaaf
Celal Mühle
Prof. Jan-Peter Schmidt
Manuel Wagenknecht
Lukas Zirme
Dipl.-Ing. Mahmoud Mühle B.Eng.
Henning Scholl
Erol Eimer
Ing. Valentina Börner
Anna-Lena Röhrdanz B.Sc.
Hans-Theo Vogt-Beckmann
Berthold Austermühle MBA.
Univ.Prof. Emine Vogt B.Sc.
Stefanie Dippel
Ekrem Hornich
Anna Hartmann
Jonas Walter
Gert Juncken
Emilia Römer
Carsten Wieloch-Kranz
Fatima Röhrdanz
Anny Wähner
Amanda Heinz
Ing. Annekatrin Heß
Karl Heinz Hörle
Sarina Dobes
Ing. Siglinde Bolzmann
Univ.Prof. Fatima Hiller B.A.
Herr Hellmuth Birnbaum B.A.
Anatolij Kroker B.Eng.
Slawomir Bohnbach
Ing. Ortrun Weimer
Leopoldine Butte
Brunhild Karge B.A.
Thorsten Gude
Hans-Otto Trubin B.Eng.
Irmgard Täsche B.A.
Herwig Krebs
Zofia Gumprich
Timo Butte
Siegmar Mies-Baum
Ottfried Scheibe-Sauer
Annelene Möchlichen-Weiß
Gönül Steinberg
Gertraut Koch II
Dr. Tony Ditschlerin
Agathe Jäntsch-Käster
Edelgard Neureuther-Vollbrecht
Lissi Thanel MBA.
Helma Häring
Hilda Metz-Dehmel
Natalja Seidel
Kornelius Hornig MBA.
Annemarie Seidel
Univ.Prof. Tabea Dörschner MBA.
Heinz-Günter Mülichen
Ing. Heinz Ehlert
Faruk Birnbaum
Linda Kruschwitz
Astrid Dehmel
Arne Dobes
Sigmund Conradi
Manuel Pärtzelt
Dagmar Koch
Rosa Pieper B.Eng.
Gottlob Seip
Henriette Pohl
Svea Hartung B.Eng.
Angelina Dörschner-Reichmann
Ing. Vesna Kroker B.Eng.
Vincenzo Jopich
Isidor Atzler
Elizabeth Schlosser B.A.
Marcella Ehlert
Frank-Peter Bien
Frieder Austermühle
Jasmina Heuser
Boris Kruschwitz
Tilman Hövel
Univ.Prof. Eugen Karz
Mohamed Stiebitz-Pärtzelt
Dipl.-Ing. Agatha Pruschke
Deborah Etzler
Jochen Säuberlich
Helga Hövel MBA.
Tabea Schomber
Magrit Lange
Waltrud Jockel B.Eng.
Herr Bastian Hübel B.A.
Gertraude Ruppersberger
Dipl.-Ing. Albrecht Metz
Siegbert Hartmann B.A.
Jann Schenk
Frau Gitte Hänel
Prof. Karen Benthin B.Eng.
Dr. Ruth Dobes
Doreen Hornig
Ing. Klaus-Dieter Karge MBA.
Prof. Katalin Lindner B.Eng.
Süleyman Wende
Robert Weimer
Eberhardt Fiebig
Prof. Riza Niemeier
Prof. Gertrude Renner B.A.
Matteo Dehmel-Weimer
Prof. Dolores Butte
Annelene Steinberg
Sigmund Heydrich
Heinz-Wilhelm Werner
Annamaria Hesse
Gabriela Girschner
Rosita Budig
Karl-Heinrich Karz
Sarah Beckmann
Oda Barkholz
Rosemarie Hethur
Nadeschda Barkholz
Alwine Wulf
Kai-Uwe Bohnbach
Bernt Jessel
Hildegunde Geißler-Klemm
Dipl.-Ing. Meral Beyer
Egbert Heintze
Frau Sibel Trommler
Ing. Eugenie Birnbaum
Prof. Britt Drub B.Eng.
Dr. Elly Junk
Burckhard Mende
Anneli Butte
Svenja Salz
Süleyman Baum
Ing. Jo Caspar
Ing. Wendelin Köster B.A.
Rosa-Maria Knappe
Andrea Wulf
Ria Stroh
Baptist Radisch MBA.
Ernestine Tröst
Anne-Rose Krause
Elisabeth Roskoth
Sigrid Jockel
Marika Zimmer
Dipl.-Ing. Leo Sager
Danuta Kreusel
Thaddäus Kraushaar-Ruppert
Tillmann Matthäi B.Eng.
Meryem Hänel-Jungfer
Prof. Lilly Schmidtke
Ing. Ernest Rogge B.A.
Marianne Heser
Frau Xenia Blümel
Andrew Schlosser
Heinz-Günter Weimer B.Sc.
Nancy Eckbauer
Dipl.-Ing. Friedrich Hiller B.Eng.
Monica Drub-Davids
Adrian Fiebig-Dörschner
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Univ.Prof. Fredy Barth MBA.
Vito Roht
Hans-Martin Bärer
Edeltrud Koch
Ing. Katarzyna Noack
Ing. Andrew Nerger
Gerwin Rust MBA.
Anastasios Kuhl
Holger Röhricht
Tibor Budig
Thea Schmiedecke
Stephen Bruder
Hans D. Schenk
Klaus-Michael Fiebig
Antonius Kraus
Ellen Gutknecht
Kay-Uwe Barkholz
Ing. Hannes Jähn B.Sc.
Univ.Prof. Natalie Noack MBA.
Friedl Hänel
Immo Ring
Dipl.-Ing. Dajana Beer
Univ.Prof. Hans-Peter Schmidt MBA.
Oliver Kohl
Christof Ditschlerin
Dr. Frithjof Weinhage MBA.
Kira Hartmann B.Sc.
Magdalene Fröhlich
Niels Faust
Univ.Prof. Maxim Matthäi
Ing. Romuald Roht B.Sc.
Mahmoud Ditschlerin-Trüb
Frau Wenke Riehl
Hartmut Zirme
Ana Heinz B.A.
Mariana Jüttner
Univ.Prof. Agathe Steinberg MBA.
Gilda Faust
Anatolij Keudel
Carmen Berger
Ulrike Schleich-Süßebier
Tilly Pergande
Mareile Tschentscher B.A.
Leonardo Birnbaum
Rosalinde Trommler
Friedl Hölzenbecher-Eberth
Karen Hendriks
Margit Klapp
Heidelore Stolze
Karl-Ludwig Bolnbach
Siegbert Seifert
Faruk Köhler
Tobias Wirth
Herr Evangelos Schacht
Valerij Weller-Barkholz
Dr. Annelene Geisel B.Sc.
Stanislav Hoffmann
Dr. Lidija Metz
Hans Josef Lachmann
Hubertine Krein
Rosemarie Schmiedecke
Margita Hartung-Zänker
Hildburg Tlustek
Elwira Hellwig
Dorle Knappe
Hermann Josef Drubin
Ing. Henrike Kramer
Ansgar Seidel
Hans-Willi Kruschwitz B.Sc.
Anneke Jähn
Sonja Barkholz
Hans-Herbert Flantz
Sevim Vollbrecht B.A.
Univ.Prof. Hans-Rudolf Wohlgemut
Dipl.-Ing. Sebastiano Käster B.Eng.
Frau Emilia Pruschke B.A.
Daniela Weimer
Iris Kraushaar B.Sc.
Folkert Barth B.Sc.
Klaus-D. Sölzer
Heinz-Joachim Trüb B.Sc.
Evangelia Harloff B.A.
Cynthia Linke
Jenny Scholtz
Prof. Orhan Ladeck MBA.
Thorben Kitzmann
Joanna Christoph
Gebhard Krein
Julius Liebelt
Inge Paffrath
Alicja Pergande
Patricia Schäfer
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Conny Metz
Zbigniew Boucsein
Frau Patricia Schmiedecke B.Eng.
Friedemann Kostolzin
Univ.Prof. Ignatz Baum
Ing. August Hellwig B.Eng.
Wolf-Dieter Schmiedt
Herr Jens Ritter B.Eng.
Rouven Eberhardt
Ilija Hofmann
Mato Trubin
Helmuth Jäntsch
Delia Rust
Telse Rudolph
Eva-Marie Berger MBA.
Joachim Löffler-Riehl
Paulo Trommler
Camilla Kühnert MBA.
Prof. Reza Ebert B.Eng.
Zeki Henk B.A.
Brigitte Zirme B.Sc.
Univ.Prof. Johan Lange
Philip Heß MBA.
Ing. Ernst-August Häring
Dorothee Seidel
Selma Fritsch B.Eng.
Vadim Jacobi Jäckel
Utz Staude
Swantje Binner B.A.
Slavica Koch
Univ.Prof. Linus Seifert
Susann Henk
Frau Ina Dietz MBA.
Dr. Frederik Dobes MBA.
Insa Peukert
Evamaria Berger
Karla Conradi
Elisabet Preiß-Thanel
Wiltrud Geißler
Gerta Kallert-auch Schlauchin
Gotthard Schuster
Dipl.-Ing. Svea Neureuther
Dipl.-Ing. Enver Drubin
Baptist Vogt
Korbinian Bolander
Insa Bloch B.A.
Univ.Prof. Almuth Cichorius B.Eng.
Mirco Barth
Reimer Hethur-Gutknecht
Leonhard Patberg
Alessandro Caspar
Marie-Theres Trupp
Radmila Linke MBA.
Robert Budig-Ullmann
Elfie Preiß
Anika Binner-Löffler
Marcel Oestrovsky
Rahel Kreusel
Dr. Mechthilde Hellwig
Frau Belinda Plath B.A.
André Sauer
Benno Mohaupt
Margareta Schmidt
Siglinde Zahn
Dr. Silvester Krein B.Sc.
Cord Haase
Helen Tschentscher
Siegmar Pergande B.Eng.
Magarete Krause
Desiree Gierschner B.Eng.
Arne Ziegert B.Sc.
Ing. Emmy Beer
Gerda Eberhardt B.Sc.
Alexander Hörle
Sandro Täsche
Marta Sontag
Ramona Sontag
Hedwig Briemer
Roderich Weitzel
Mareike Wilmsen
Senol Hölzenbecher
Frederike Stoll
Hanspeter Davids
Vincenzo Steinberg B.Sc.
Monja Heidrich
Ingried Hänel
Klara Blümel
Edith Kostolzin
Augustin Renner
Dr. Kristine Tschentscher
Alois Römer-Becker
Nicolas Tschentscher
Felicia Binner
Waltraut Gehringer
Annita Lorch
Prof. Ullrich Rosenow B.A.
Marijan Kruschwitz
Elise Trupp
Dr. Zeljko Pruschke
Dr. Valentin Eigenwillig
Ing. Christiana Seip
Erol Jäntsch
Brit Anders
Antonius Hermighausen
Jo Gnatz
Karl Zirme
Uli Oderwald-Freudenberger
Ronald Rädel
Univ.Prof. Albertine Köhler MBA.
Karl-Otto Winkler B.Eng.
Univ.Prof. Claudio Schmiedt
Edeltrud Kambs
Dr. Athanasios Noack MBA.
Dipl.-Ing. Randolf Martin B.A.
Kunibert Trommler-Renner
Katerina Hauffer
Geert Zänker
Christina Schlosser
Caterina Weinhage
Ruthild Schüler B.Eng.
Josefine Rosemann
Mara Vollbrecht B.A.
Irena Wilmsen
Prof. Marie Plath
Korinna Spieß MBA.
Ing. Antonius Jacobi Jäckel MBA.
Calogero Hoffmann B.Eng.
Gisela Schwital-Scheel
Canan Heinrich
Ing. Hans-Wolfgang Weitzel B.Sc.
Marica Hamann-Koch
Dipl.-Ing. Karl-Heinz Rörricht
Dipl.-Ing. Slobodan Sölzer
Brian Preiß
Evelin Stumpf
Prof. Marie-Theres Löffler B.Sc.
Abram Briemer
Ella Keudel
Gloria Mosemann
Astrid Schweitzer
Hanno Trub
Herr Alexandre Eimer B.A.
Ingbert Hartung
Niko Gutknecht B.Sc.
Heinz-Joachim Spieß
Frau Melita Scholz B.A.
Ing. Wilhelmine Adler B.Sc.
Dipl.-Ing. Cora Baum
Johanna Fischer
Edgar Karge
Knut Jacob
Irene Stumpf
Prof. Conny Klingelhöfer B.Eng.
Prof. Arnold Caspar B.A.
Univ.Prof. Sibylle Zirme B.Sc.
Laura Mühle
Lieschen Röhrdanz
Jasmina Zorbach
Hildegund Gunpf
Ing. Torsten Hartung B.Eng.
Nermin Kranz-Austermühle
Bertold Bloch-Beckmann
Dorit Köster
Jerzy Wagenknecht B.A.
Dr. Saban Hoffmann B.Eng.
Dietrich Kruschwitz
Romuald Kambs MBA.
Dr. Mario Lorch
Hans-Hinrich Stiffel
Dan Schönland MBA.
Anne-Katrin Seip
Dr. Erkan Stroh
Senta Wernecke B.Sc.
Alexej Röhrdanz
Tülay Trapp
Hanns Ehlert MBA.
Jan Freudenberger
Konrad Henschel
Kuno Kreusel
Prof. Irma Bien B.Eng.
Adriane Stroh
Univ.Prof. Diethard Klotz
Augusta Beer
Silke Heydrich-Albers
Käthe Briemer MBA.
Kläre Mohaupt-Salz
Fatih Zirme
Univ.Prof. Pius Kühnert
Catharina Jacob
Berend Gertz B.Eng.
Thomas Weinhold B.Eng.
Igor Zobel B.A.
Univ.Prof. Dolores Rust
Guntram Warmer
Univ.Prof. Edmund Mentzel B.Eng.
Univ.Prof. Kläre Oderwald B.Sc.
Justina Zirme
Agnes Ullmann
Univ.Prof. Francesco Schulz B.Eng.
Ing. Ayse Schacht
Urszula Trapp
Canan Beyer
Lambert Misicher-Dörschner
Krzysztof Niemeier-Kostolzin
Carmine Bruder-Rörricht
Dipl.-Ing. Rabea Sorgatz MBA.
Harro Söding
Elli Kuhl B.Eng.
Dr. Patrizia Dörschner B.A.
Bekir Gumprich-Kabus
Vassilios Kramer
Gülten Ruppersberger-Wende
Isabelle Förster-Beyer
Ibrahim Eberth
Univ.Prof. Beate Eberth
Evelin Wagenknecht-Döhn
Kornelia Dörr
Sigfried Franke B.Sc.
Gunhild Gorlitz-Heinrich
Stanislaus Geißler
Prof. Wilma Mangold
Vitali Faust B.Eng.
Ana Klapp MBA.
Herr Ilja Kroker
Eileen Etzler
Attila Losekann B.Sc.
Prof. Sofie Gröttner
Isa Rose
Prof. Woldemar Beier B.A.
Marlen Hesse
Dr. Bastian Christoph MBA.
Ditmar Bien
Univ.Prof. Annegrete Holt
Karolin Mitschke
Univ.Prof. Waldemar Döring
Timm Schleich
Ursel Juncken-Buchholz
Uli Wohlgemut-Stadelmann
Gabi Neuschäfer-Oestrovsky
Ante Gunpf
Theodor Niemeier
Prof. Karl-Friedrich Geisler B.A.
Cemal Budig-Holt
Johann Baum
Julie Mosemann
Annett Ullrich
Nelly Buchholz
Oskar Rosemann
Emilia Seifert
Freddy Hande
Dr. Ella Warmer
Prof. Johannes Holzapfel MBA.
Franco Loos B.Eng.
