Student
Anastasia Gunpf
Ing. Anna-Maria Stey
Michaela Sontag-Dörr
Ing. Wendelin Köster B.A.
Prof. Gülay Birnbaum
Oxana Henschel
Frau Kordula Geisler MBA.
Remo Köhler
Filippo Jäntsch
Univ.Prof. Rosl Pölitz
Burghard Davids
Elias Hethur
Wieland Hethur
Jann Geisler
Frau Brigitta Bohlander MBA.
Zofia Schönland B.Sc.
Frau Almut Kuhl
Univ.Prof. Alexandros Junk
Hüseyin Johann
Constantin Jacob B.Sc.
Astrid Nerger-Tröst
Heidelore Stolze
Gunhild Stroh-Jacob
Herr Augustin Thies B.A.
Univ.Prof. Maria-Luise Trüb B.Sc.
Hans-Bernd Zorbach
Berthold Jäntsch-Jessel
Maurizio Tschentscher
Herr Bartholomäus Adolph MBA.
Wolf Schottin-Gunpf
Eberhardt Mielcarek
Meike Rosenow
Gilbert Steuer-Rosemann
Hedda Haase
Gaetano Söding
Dipl.-Ing. Cristina Vogt
Lene Hermann-Kaul
Brunhilde Mälzer-Warmer
Anna-Marie Heidrich
Univ.Prof. Wibke Reinhardt B.Eng.
Gülay Weinhold
Mercedes Blümel
Laurenz Siering-Kallert
Lieschen Kusch-Pechel
Prof. Marian Gerlach
Ella Keudel
Univ.Prof. Claudia Freudenberger B.Sc.
Frau Annegrete Junk B.A.
Ing. Corinne Winkler
Urte Bolzmann
Thorsten Ruppersberger
Svenja Salz
Herr Vito Roskoth B.Sc.
Antonietta Barth
Margitta Hethur MBA.
Mechtild Hering
Hans-J. Hahn-Süßebier
Dr. Leonhard Otto
Prof. Heinz-Josef Radisch B.A.
Maria Mans B.Eng.
Herr Hartmuth Pruschke
Liliana Gehringer
Herta Hendriks
Maja Fischer B.A.
Dr. Jonas Anders B.Sc.
Dipl.-Ing. Ladislaus Weinhold
Prof. Johannes Holzapfel MBA.
Dietlind Drubin
Grete Peukert
Emma Briemer B.Eng.
Arnim Bärer
Ing. Tomas Fischer B.Sc.
Gitta Römer
Frau Therese Henk B.A.
Dipl.-Ing. Heinz-Otto Jähn
Lieselotte Nohlmans
Oda Henschel
Frau Annette Fiebig B.Eng.
Ing. Margot Bonbach B.Eng.
Univ.Prof. August Schleich B.A.
Hedy Rudolph MBA.
Albrecht Metz B.A.
Folker Fischer
Wolfhard Jäkel MBA.
Gert Nette
Donald Schönland
Verena Davids
Irmingard Meyer MBA.
Paulina Bender-Liebelt
Dipl.-Ing. Betty Niemeier MBA.
Prof. Angelique Seidel MBA.
Hermann Bruder
Helmtrud Börner B.A.
Helmar Barth
Ing. Nadeschda Bohlander
Konstanze Sontag
Hans-Rudolf Dehmel
Constantin Kostolzin
Mark Gute-Faust
Martine Conradi
Anto Tröst-Schäfer
Ing. Anastasios Berger
Wolf-Dieter Eigenwillig
Baldur Knappe
Sönke Gumprich
Milka Wohlgemut-Meyer
Ing. Sina Johann MBA.
Univ.Prof. Sahin Freudenberger B.A.
Ignaz Schottin
Frau Rosemarie Stiffel
Mirella Löchel
Olav Thies
Siegbert Seifert
Heinz-Peter Butte B.Eng.
Wera Klemt
Prof. Dolores Butte
Alwin Schaaf
Susan Riehl B.Sc.
Elli Junck
Franz Schweitzer
Marietta Geißler
Lieschen Röhrdanz
Peter Rohleder
Pero Scheuermann
Dipl.-Ing. Werner Scholl B.Eng.
Willy Hornig
Marie Henk B.Sc.
Lieschen Röhricht MBA.
Prof. Emil Kruschwitz
Antonius Hermighausen
Rene Bruder B.Eng.
Dr. Olaf Gierschner B.Sc.
Aline Steinberg-Klingelhöfer
Tamara Nette-Ladeck
Gertrude Lehmann-Kostolzin
Kristin Kaul B.Sc.
Julia Hecker-Krebs
Abraham Carsten
Damian Bauer
Adrian Killer
Alina Hoffmann
Ing. Rocco Reuter
Albin Budig
Elfie Preiß
Dr. Jonas Fechner
Marvin Gröttner MBA.
Michael Mies B.Sc.
Stephanie Beer
Nikola Riehl
Rose-Marie Schüler
Frau Pascale Hettner B.Eng.
Sabrina Kohl
Bernadette Sorgatz
Arnfried Scheuermann
Folkert Barth B.Sc.
Prof. Frithjof Adolph MBA.
Zita Winkler
Änne Ring MBA.
Dr. Uta Gumprich
Susanna Weitzel
Benno Gehringer-Wohlgemut
Nina Putz-Ritter
Cornelia Gehringer
Gunda Warmer
Tobias Liebelt
Theresa Hethur-Kabus
Ruth Hartung
Helfried Langern
Marlen Wende
Wolfhard Kensy
Torsten Trapp B.A.
Ellen Röhrdanz
Dr. Gundolf Römer MBA.
Franjo Junitz-Hahn
Ben Täsche
Janna Kambs
Agata Hertrampf
Calogero Hoffmann B.Eng.
Marie-Therese Schleich
Herr Claus Killer
Cengiz Dehmel
Gero Gierschner
Univ.Prof. Marleen Kabus
Daniele Hering
Zlatko Briemer-Karge
Univ.Prof. Ivanka Hübel
Miriam Juncken
Jeannine Gieß
Cora Scholtz
Jonathan Schottin-Naser
Ditmar Adolph
Mariele Peukert
Prof. Jürgen Blümel B.A.
Gilda Tintzmann
Annekatrin Wilms
Franz-Peter Preiß B.A.
Univ.Prof. Josip Hartung
Kay-Uwe Jähn-Schwital
Vera Losekann
Prof. Tina Nohlmans MBA.
Heimo Karge-Freudenberger
Wilhelm Klemm B.A.
Agnieszka Steckel
Heimo Hübel MBA.
Otmar Schmidtke
Diethard Gude
Lorenz Schwital-Stadelmann
Marie-Therese Birnbaum
Anna-Lena Sontag-Köhler
Ing. Vesna Kroker B.Eng.
Marianne Hecker
Carmela Lindau
Florentine Bärer B.A.
Istvan Patberg-Anders
Lukas Ditschlerin
Wilhelm Walter
Monja Weiß
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Gotthard Christoph
Evangelia Röhricht
Pavel Ehlert
Daniele Heintze B.Eng.
Marijan Kruschwitz
Nada Dowerg-Jähn
Dr. Myriam Pieper B.Eng.
Oskar Beyer
Cecilia Gertz
Dörte Schlosser
Dorothea Kroker-Misicher
Ing. Gerti Franke
Lieselotte Dussen van MBA.
Augustin Jopich
Dipl.-Ing. Nuray Mude B.Sc.
Artur Schaaf
Alfredo Möchlichen
Prof. Lotti Löffler
Vinko Schönland B.Eng.
Dolores auch Schlauchin
Anna-Luise Segebahn
Cora Reichmann B.A.
Klaus-Werner Jäkel-Holsten
Gerhild Beyer
Herr Muzaffer Schäfer
Heinz-Peter Biggen
Antje Etzold
Ilja Kitzmann B.A.
Michelle Klingelhöfer B.Eng.
Gunter Beyer
Frau Gertrud Jüttner
Pauline Mosemann
Erhard Otto
Berend Rörricht
Dipl.-Ing. Sebastiano Käster B.Eng.
Cläre Mohaupt
Sina Patberg
Bernard Losekann
Ehrhard Häring B.A.
Vincenzo Haering
Sebastian Aumann
Renate Bärer
Gundula Vollbrecht
Deborah Finke
Frau Ivanka Killer MBA.
Steven Seifert
Constance Drubin
Sibylla Pohl
Univ.Prof. Pauline Klemt
Dr. Otto Schmidtke MBA.
Ing. Gabriela Dippel MBA.
Ing. Marga Lehmann MBA.
Prof. Lieschen Bohlander
Dennis Beer-Striebitz
Abram Briemer
Gitte Römer-Kroker
Univ.Prof. Sibylle Zirme B.Sc.
Valerie Mangold
Ing. Abraham Thanel B.Eng.
Kai-Uwe Köhler
Evelin Stumpf
Lambert Misicher-Dörschner
Dana Jäntsch
Ing. Josip Ruppert
Dr. Cengiz Säuberlich
Krzysztof Kruschwitz
Prof. Hans-H. Zimmer
Giovanna Zobel-Liebelt
Univ.Prof. Edmund Mentzel B.Eng.
Ing. Siegmar Meyer B.A.
Tatiana Kade-Rust
Univ.Prof. Liliana Drub
Frau Brit Stoll
Toni Dehmel-Striebitz
Sigrun Mälzer
Gisela Paffrath
Margareta Trub
Stjepan Langern
Victor Fritsch B.Eng.
Timm Oderwald
Jan Linke MBA.
Dusan Dussen van
Ing. Vitali Hentschel MBA.
Dolores Conradi
Dr. Elwira Hiller
Gunhild Kroker
Prof. Karen Benthin B.Eng.
Prof. Tillmann Holt B.A.
Filippo Hermann
Leszek Wagner-Häring
Frithjof Gertz
Fabian Lübs
Kay-Uwe Pölitz
Ing. Ernest Rogge B.A.
Prof. Sarina Hartmann
Moritz Holzapfel
Marion Wohlgemut B.A.
Claus Juncken
Nick Jockel B.A.
Zeljko Jessel
Marjan Pölitz B.Eng.
Herr Andrej Rose
Tilly Pergande
Fedor Röhrdanz
Rolf-Peter Rosenow MBA.
Aurelia Dussen van MBA.
Gisela Schwital-Scheel
Christopher Gertz-Kade
Alena Hänel
Annegrete Pohl-Sölzer
Thies Birnbaum B.A.
Hanne-Lore Kraus
Dagobert Hornig
Domenico Kade B.A.
Janko Rose
Clemens Barth
Prof. Juliane Henck MBA.
Simone Jacobi Jäckel B.A.
Joerg Döhn
Dipl.-Ing. Till Schenk
Wieland Linke
Othmar Täsche-Loos
Dr. Valentin Eigenwillig
Hans-Detlef Kobelt
Sevim Ackermann
Maurice Steckel
Silva Hiller MBA.
Aziz Hornich
Markus Eimer
Ahmed Freudenberger B.Sc.
Nikolaos Reichmann
Babett Süßebier B.A.
Irmtraut Hahn-Walter
Joseph Austermühle
Zdravko Jacob
Ing. Zbigniew Warmer MBA.
Bela Köster
Kriemhild Warmer
Maren Scholz-Bohlander
Reni auch Schlauchin
Dr. Stefania Gnatz
Jiri Kambs
Fatima Rosemann-Schmidtke
Mariusz Stadelmann-Jähn
Carina Hövel
Peer Jähn
Herr Otto Vollbrecht
Univ.Prof. Zita Löchel B.Sc.
Dora Jockel
Nikolaus Rosenow
Philipp Killer B.A.
Ing. Edward Salz
Hans-Ulrich Plath B.A.
Univ.Prof. Vadim Vollbrecht B.A.
Univ.Prof. Luka Mende
Frau Corinna Wähner
Alexandros Heintze
Univ.Prof. Steffen Tröst
Carla Gnatz
Prof. Ralf-Peter Schlosser B.Eng.
Irmingard Reising
Rosita Möchlichen-Stumpf
Ekkehart Niemeier
Raphael Bonbach MBA.
Carola Köhler MBA.
Willibald Holsten
Dietlind Anders B.A.
Ayse Scheuermann-Sölzer
Adeline Hein-Metz
Doris Kraushaar
Arnulf Zimmer-Seifert
Paul-Gerhard Gunpf
Cornelia Radisch
Anke Hettner
Harold Scheibe
Diether Vogt B.A.
Jolanda Rose
Angelika Rosemann
Athanasios Bloch
Ing. Gerlinde Junken
Herr Ronald Reising B.Sc.
Bianka Holsten
Leonore Schacht
Alexandra Butte
Gerti Trupp-Dowerg
Carola Kusch
Evelyn Ortmann
Adelinde Putz
Univ.Prof. Fatima Hiller B.A.
Volkmar Trub
Lilly Girschner-Ritter
Ahmet Stumpf
Roland Ring
Stephanie Krause
Prof. Ivonne Boucsein B.Eng.
Mariele Bolander
Hajo Jäntsch
Arno Ullmann
Prof. Katalin Lindner B.Eng.
Rebecca Oderwald
Friedl Hölzenbecher-Eberth
Dipl.-Ing. Gülten Hoffmann B.Eng.
Celal Scheel B.A.
Herr Mario Thanel
Lukas Juncken MBA.
Ing. Justus Binner
Dipl.-Ing. Janet Ruppersberger
Prof. Vadim Rogner
Fatih Bohlander
Gerold Schuchhardt B.Sc.
Larissa Löffler
Uwe Rosenow
Harm Hein
Univ.Prof. Ludwig Jähn B.A.
Marie-Theres Pechel
Vlado Hübel B.Eng.
Univ.Prof. Dana Seifert
Univ.Prof. Halil Staude
Heinz Krebs B.Eng.
Dominic Schönland
Ben Bonbach B.A.
Heiner Ruppersberger-Hentschel
Krista Gertz B.Eng.
Evangelia Misicher
Regina Ring
Katharina Käster MBA.
Zeki Henk B.A.
Roselinde Ebert
Hakan Kühnert
Luis Ackermann
Philipp Ernst
Irina Hahn
Betti Zirme B.A.
Dr. Annita Kallert
Jo Dussen van
Burckhard Margraf
Hanni Scholz-Weitzel
Wibke Pärtzelt-Wieloch
Dr. Sükrü Hettner
Liliane Koch II
Tanja Rörricht-Haering
Herr Hans-Detlef Grein Groth
Henni Ullmann MBA.
Julia Ruppersberger
Emilie Schmidt-Gröttner
Claire Rogner-Scheel
Ellen Junken
Jeanette Mälzer
Bertold Bloch-Beckmann
Ursel Juncken-Buchholz
Ing. Arndt Schäfer
Karlfried Ruppersberger
Salih Eckbauer-Renner
Prof. Pascale Kruschwitz
Lilly Naser
Elif Röhricht
Diana Drubin-Walter
Karl-Dieter Süßebier
Claire Holt
Angelique Kruschwitz
Hans-Christian Finke
Prof. Manuela Schleich B.Sc.
Ing. Hans Peter Schenk B.A.
Margit Müller
Mirja Bähr
Herr Jonathan Beckmann B.A.
Janus Oderwald-auch Schlauchin
Horst-Dieter Bähr
Kay-Uwe Dippel
Univ.Prof. Rene Jacobi Jäckel B.Eng.
James Kostolzin-Staude
Berndt Mohaupt MBA.
Erna Kensy-Bähr
Nathalie Langern
Sylvester Zirme
Univ.Prof. Francisco Tröst B.Eng.
Dr. Ursel Gute
Gabor Steuer
Roswita Atzler
Univ.Prof. Arne Hoffmann
Wilfriede Blümel
Dipl.-Ing. Bertram Gieß MBA.
Herr Karl Dippel B.A.
Prof. Janus Walter B.A.
Valeria Finke
Inge Kabus
Henryk Plath-Jopich
Tino Paffrath B.Eng.
Hajo Ziegert-Noack
Prof. Jonas Scholtz
Hans-Gerd Preiß
Edith Kostolzin
Zeynep Keudel
Mechthild Finke
Dr. Jasmina Ruppert
Louise Jessel
Univ.Prof. Adelbert Zimmer
Prof. Beatrice Misicher
Prof. Marija Seidel
Laura Beier
Diethelm Hübel MBA.
Inken Ziegert
Dipl.-Ing. Gertraut Stolze
Manuel Stolze MBA.
Elizabeth Wulf
Friedrich-Wilhelm Roht-Wiek
Pawel Peukert-Rörricht
Mijo Jessel B.A.
Ing. Annelise Nette B.Eng.
Hildburg Tlustek
Friedlinde Schenk-Wulff
Prof. Ildiko Adler MBA.
Theodoros Vollbrecht-Gutknecht
Ing. Romuald Kreusel B.A.
Ing. Toralf Wiek
Gerlind Trüb-Losekann
Yusuf Schacht
Gesa Bender
Marcus Langern
Bruni Freudenberger
Hans-Günther Wilmsen
Beatrix Scheibe B.Sc.
Aribert Herrmann
Annie Noack
Zenon Pärtzelt
Prof. Fabian Scholl MBA.
Prof. Dietlind Ullrich B.Sc.
Heinz-Otto Linke
Irena Wilmsen
Michaele Neureuther
Burkard Schlosser
Jochen Naser
Cäcilie Schmidt
Ing. Natalie Oderwald B.Sc.
Dipl.-Ing. Christoph Jockel B.Sc.
Isidor Niemeier
Birgid Nohlmans
Mark Sauer B.A.
Karl Meister B.Eng.
Valeska Geisler B.Eng.
Anastasios Heinz
Ronald Rädel
Gabriel Werner
Pierre Köster
Univ.Prof. Beate Gude
Sina Barkholz
Janett Patberg
Dominic Möchlichen
Dorle Schmidtke MBA.
Thomas Hänel
Jeannette Schleich
Hans Josef Reinhardt B.A.
Margrit Schenk B.A.
Viola Ackermann
Herlinde Schenk B.A.
Ing. Krzysztof Kambs B.Eng.
Ing. Alwine Scholz
Rebecca Geißler
Insa Karz-Mangold
Ehrenfried Drubin-Paffrath
Solveig Scheibe
Univ.Prof. Claus-Dieter Meister B.Eng.
Erhardt Loos
Rose Henschel
Gülay Haase
Theres Beer
Marian Vollbrecht MBA.
Adriane Gröttner
Karl-Peter Häring-Kruschwitz
Aenne Hübel-Mühle
Elwira Pölitz B.Sc.
Kai-Uwe Sorgatz
Antonia Mohaupt
Antonina Neureuther
Marco Conradi
Gerhart Staude
Univ.Prof. Fatima Hölzenbecher
Ottilie Trüb
Roswita Hofmann MBA.
Dipl.-Ing. Mariechen Bonbach
Univ.Prof. Undine Junken MBA.
Dipl.-Ing. Oskar Vogt B.A.
Severin Barkholz B.Eng.
Karin Beckmann
Maurizio Hartmann
Tino Wagenknecht B.Eng.
Univ.Prof. Tina Rose
Prof. Ursula Eigenwillig
Niels Faust
Klaas Vogt
Canan auch Schlauchin-Dussen van
Thaddäus Geißler
Insa Bloch B.A.
Reinhold Hellwig-Mülichen
Nevenka Fritsch
Annelie Schomber
Univ.Prof. Helge Pieper
Univ.Prof. Ron Rörricht
Dimitrios Kraushaar-Adolph
Herr Frieder Wulff B.Sc.
Georgia Bärer
Dipl.-Ing. Arthur Ziegert
Ing. Engelbert Bauer
Carolin Etzler
Helga Mosemann-Hecker
Dr. Sigfried Seip B.Eng.
Herr Evangelos Schacht
Radmila Linke MBA.
Frauke Söding
Ronald Henschel
Nadja Geisler
Helge Finke-Wähner
Matthäus Eckbauer
Ehrenfried Stiffel
Univ.Prof. Gislinde Rohleder
Edit Kitzmann
Claudius Rust-Mans
Dipl.-Ing. Karl-Heinz Rörricht
Hans-Albert Lindau
Dipl.-Ing. Sarina Dörr
Ferdi Hoffmann
Kläre Mohaupt-Salz
Univ.Prof. Cord Becker
Siegried Caspar B.A.
Hans-Albert Wirth
Evangelia Harloff B.A.
Ljiljana Roht
Mandy Trüb
Herrmann Holt-Lindner
Dr. Mato Geisel
Mariusz Adler
Arnulf Ullmann
Bernard Bien-Lübs
Dipl.-Ing. Lidija Pölitz
Dr. Michel Pruschke B.Eng.
Frau Mareile Birnbaum
Harry Lange
Univ.Prof. Änne Finke B.Sc.
Reinhart Winkler B.Eng.
Kristin Niemeier
Anneliese Gnatz
Kay-Uwe Bruder MBA.
Alicja Gieß
Dipl.-Ing. Gudula Margraf B.Sc.
Elizabeth Vollbrecht
Katerina Hauffer
Irmtrud Schaaf-Jacobi Jäckel
Fanny Zänker-Hein
Ana Klapp MBA.
Sabrina Schomber
Magarete Schomber
Dipl.-Ing. Leo Sager
Slawomir Drub-Gute
Lili Heydrich-Beyer
Massimo Hecker
Klaus Peter Weller
Ing. Igor Barth
Karolina Hartmann
Salvatore Ruppersberger
Reimar Hahn-Neureuther
Judith Sorgatz
Andrej van der Dussen B.A.
Amalie Gotthard
Vassilios Davids
Alida Tröst
Prof. Meinrad Wiek
Mattias Kensy
Gerta Hartmann
Augustin Hoffmann MBA.
Woldemar Heinz
Elif Wohlgemut
Ottilie Hartung
Frank-Peter Bien
Univ.Prof. Michail Tintzmann B.Eng.
Johanna Bohlander
Hanno Salz
Gesine Graf
Patrizia Bender-Reuter
Frauke Staude
Mara Roht
Univ.Prof. Fredi Hölzenbecher
Gernot Kobelt
Prof. Mirko Adolph B.A.
Anneliese Trub
Bertram Höfig B.Sc.
Patrizia Biggen
Cristina Salz B.Sc.
Sylwia Bolander
Ing. Magarete Herrmann B.Eng.
Astrid Dowerg-Stroh
Univ.Prof. Edelgard Naser B.A.
Hans Dieter Fiebig B.Eng.
Dipl.-Ing. Hermann-Josef Jüttner
Ing. Cläre Dowerg
Univ.Prof. Axel Dörschner B.Sc.
Ing. Melanie Hamann
Dipl.-Ing. Mirella Franke MBA.
Centa Kaul
Univ.Prof. Hans-Albert Ruppert
Ulla Süßebier
Tassilo Gehringer
Prof. Torsten Geisel B.Sc.
Ellen Hahn-Spieß
Jan Döring B.A.
Hans Misicher
Ing. Dorothe Junken
Jonas Albers
Frau Gudrun Huhn B.Sc.
Henny Rose
Prof. Auguste Scholz
Annette Ullmann
Ing. Czeslaw Geisel
Jens Drubin
Miriam van der Dussen
Heinrich Döring
Magarete Krause
Thea Dippel
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Christopher Fröhlich
Milos Seifert
Siegrun Christoph
Brigitte Zirme B.Sc.
Marcella Ehlert
Ben Zahn
Oxana Ladeck
Prof. Vadim Stroh
Dipl.-Ing. Jan-Peter Mende MBA.
Ing. Ronny Metz B.A.
Ulf Kensy MBA.
Jacek Täsche
Annelene Möchlichen-Weiß
Tibor Bolzmann MBA.
Leszek Hentschel
Kaspar Hänel
Johann Beer
Prof. Timo Schleich MBA.
Dipl.-Ing. Traudel Eigenwillig
Lilli Harloff
Janine Hendriks B.A.
Wenke Patberg
Maurice Möchlichen
Dr. Isabell Trupp
Dipl.-Ing. Eckhard Kallert B.Sc.
Hans-Jürgen Barth
Sofia Etzler B.Eng.
Gebhard Krein
Franca Harloff-Döring
Reinhilde Metz
Olaf Hethur
André Kraushaar-Henck
Karl-Ernst Reuter
Fatma Möchlichen
Christos Sölzer
Univ.Prof. Josefine Lindau
Edeltraud Mülichen
Konstantin Knappe
Aleksander Drub
Frau Magarete Mans B.Sc.
Erdmute Mosemann
Jochem Hermighausen
Jana Langern
Irina Seip-Bolnbach
Svetlana Bohlander B.Sc.
Frau Wenke Riehl
Dr. Elvira Cichorius B.A.
Slavko Schüler B.Eng.
Rüdiger Buchholz-Kuhl
Hellmuth Söding-Bonbach
Marica Hamann-Koch
Waldemar Hendriks
Ing. Gislinde Ernst B.A.
Ehrhard Förster
Dipl.-Ing. Adriana Geißler
Dipl.-Ing. Mara Otto B.Sc.
Veronica Benthin
Pascale Bruder
Ursel Eckbauer
Amalia Schmidtke-Radisch
Prof. Pedro Schmidt B.Eng.
Stephen Heidrich
Till Bolander
Frau Delia Hellwig B.Sc.
Josefa Hauffer
Imke Keudel B.Sc.
Niklas Trubin
Klemens Förster
Patrizia Spieß
Raphael Barth
Dr. Lilija Dowerg MBA.
Milos Kuhl B.Sc.
Sofia Austermühle
Annaliese Klingelhöfer
Gerwin Schuster
Ria Dietz
Bartholomäus Trapp
Nurettin Koch II
Monika Mühle-Hiller
Univ.Prof. Gundel Atzler B.Eng.
Annelore Riehl
Hulda Seidel-Carsten
Janusz Trub-Mühle
Prof. Wolfgang Mohaupt
Kemal Heinz
Ludwina Haase
Prof. Gunther Klingelhöfer
Petar Hamann
Urte Caspar
Univ.Prof. Hans D. Ullrich
Detlev Stadelmann
Anett Bien-Schuster
Willfried Werner
Reni Rosemann MBA.
Doreen Striebitz
Gebhard Sauer
Dorit Zimmer-Krein
Reni Roht-Binner
Claire Faust B.A.
Prof. Norbert Wilms B.A.
Ing. Wiltrud Sauer B.Sc.
Mary Reuter B.Sc.
Friedrich-Wilhelm Stahr-Henck
Frieda Gröttner
Thies Pergande
Francisco Wirth
Univ.Prof. Christa-Maria Lehmann B.A.
Adrian Trupp
Wiltrud Jäkel
Cathleen Mies MBA.
Dr. Mariusz Beckmann
Eleni Mühle MBA.
Renato Bolnbach
Marleen Etzler
Walther Hofmann
Auguste Buchholz B.Sc.
Heidrun Stiebitz
Dipl.-Ing. Jost Bruder B.Eng.
Victoria Binner
Willi Heinz
Necati Lindner
Univ.Prof. Immo Mangold
Korinna Spieß MBA.
Marlen Gute-Hauffer
Univ.Prof. Vinko Tschentscher
Dipl.-Ing. Peer Kuhl
René Matthäi
Jessica Gotthard
Paul-Gerhard Hein
Gerd Beckmann-Gnatz
Alf auch Schlauchin
Leila Hethur
Dipl.-Ing. Alan Schacht B.Eng.
Prof. Monica Beer MBA.
Jochen Säuberlich
Lars Weller
Sybilla Hornig
Univ.Prof. Vesna Hering
Eggert Börner-Geisler
Prof. Magnus Dörr B.Eng.
Aleksander Dowerg
Univ.Prof. Nadeshda Oestrovsky
Kathi Etzler
Reimer Hethur-Gutknecht
Apollonia Trüb B.A.
Herr Steven Eberhardt
Suse Pergande-Gröttner
Mariana Steckel
Valentin Döring
Brit Lindner
Dina Schmiedt MBA.
Alla Weihmann
Prof. Meik Blümel B.Sc.
Alida Trupp
Timm Schönland
Dagmar Dussen van
Dr. Rosalinde Stolze B.Eng.
Hans Kohl MBA.
Veronique Hartung-Haering
Songül Tschentscher
Marika Zimmer
Luisa Barkholz
Konstanze Mühle
Christopher Sager
Cord Mende B.Eng.
Ernst-August Gutknecht
Helmuth Zirme
Carin Binner
Prof. Ricardo Kensy
Prof. Irma Bien B.Eng.
