Student
Dana Löwer MBA.
Dipl.-Ing. Jan-Peter Mende MBA.
Carmelo Klapp-Berger
Ian Briemer B.Eng.
Dagmar Jungfer
Frederik Beyer
Mareike Reichmann
Ing. Edward Salz
Ingrid Rudolph
Agathe Weinhage B.A.
Ditmar Dehmel
Philip Renner
Univ.Prof. Hedwig Krein
Angelique Speer B.A.
Manuel Wagenknecht
Reimar Klemm MBA.
Gebhard Seidel
Ahmad Fechner-Wulff
Konstanze Sontag
Vlado Hübel B.Eng.
Jan Gumprich
Cengiz Dehmel
Diana Weitzel
Marie-Louise Killer-Etzler
Ing. Denny Mende
Rouven Eberhardt
Peer Bärer
Univ.Prof. Virginia Pechel
Nuri Jopich
Gülsen Benthin
Dragica Rosenow
Frau Xenia Blümel
Bernhardine Ruppersberger
Ernst-August Gutknecht
Heinz-Wilhelm Kuhl
Marcella Franke B.A.
Prof. Marika Davids B.A.
Oscar Junitz
Ing. Georgia Rogner
Christopher Sager
Denny Lachmann
Dr. Zenta Holsten
Dipl.-Ing. Ilse Heß B.Sc.
Richard Mende-Hendriks
Eugenia Riehl
Paula Stroh
Henriette Bruder
Ing. Ortrun Weimer
Dr. Bernfried Schomber
Luciano Biggen
Prof. Siegrun Langern
Frau Annett Tlustek B.Eng.
Calogero Hoffmann B.Eng.
Prof. Janin Dietz
Caroline Haering MBA.
Fredi Meyer-Weiß
Kasimir Lindau
Leo Gunpf-Bolzmann
Irmengard Jüttner B.Eng.
Herta Hendriks
Sergei Ritter
Henni Wagenknecht B.Sc.
Hüseyin Johann
Herr Augustin Thies B.A.
Univ.Prof. Lara Hoffmann MBA.
Ljiljana Kostolzin
Ing. Maren Schenk
Gottlob Römer
Ulf Kensy MBA.
Ing. Ivana Budig B.Eng.
Pierre Köster
Ruben Trubin
Justina Neureuther
Constantin Jacob B.Sc.
Ahmet Eckbauer-Sölzer
Grit Röhricht-Rosemann
Matteo Beyer B.A.
Janet Ullrich
Fernando Gieß
Jost Gröttner-Mülichen
Frank-Peter Bien
Karl-Friedrich Nerger
Theodora Aumann
Amalie Gotthard-Beckmann
Anton Drubin
Jörg-Peter Christoph
Cordula Hornig
Univ.Prof. Alexa Junitz B.Eng.
Ute Conradi-Trüb
Prof. Beatrix Döring MBA.
Frank-Peter Kambs
Hans Jörg Koch
Prof. Alexei Krebs
Luciano Wirth
Ing. Amalia Walter
Simone Jacobi Jäckel B.A.
Camilla Wiek
Frau Herlinde Segebahn
Christin Hein B.Sc.
Kata Atzler
Albert Seifert MBA.
Prof. Torsten Geisel B.Sc.
Artur Schaaf
Gerwin Rust MBA.
Kathrin Dussen van
Herr Urban Christoph
Prof. Katalin Heinrich
Babett Pruschke-Schäfer
Henny Herrmann
Wilfriede Ehlert
Univ.Prof. Ricardo Sorgatz B.A.
Ljiljana Löwer B.A.
Tomas Gröttner
Ing. Heinz-Josef Hoffmann
Valentina Weihmann-Zahn
Univ.Prof. Diedrich Köhler B.A.
Dr. Fredy Niemeier
Frau Evelyn Tlustek B.Sc.
Ilonka Noack
Edmund Junck
Heino Schönland-Hermann
Sibilla Bachmann
Leonie Möchlichen MBA.
Othmar Täsche-Loos
Anneke Jähn
Jörg Haase-Röhricht
Kaspar Aumann
Niko Bähr B.Sc.
Viola Ackermann
Miriam Juncken
Rainer Scheel B.Eng.
Irmtraud Schönland
Franco Loos B.Eng.
Valeri Tschentscher
Rolf-Dieter Preiß
Gesche Kühnert
Günter Schottin
Josefa Stolze
Karl-Otto Kostolzin
Kevin Etzler
Kornelius Fröhlich B.Sc.
Vesna Döhn
Minna Wernecke-Gumprich
Isabell Kroker B.Eng.
Edwin Wilms MBA.
Prof. Friedbert Tschentscher B.Eng.
Rosa Pieper B.Eng.
Willfried Mende
Susanna Weitzel
Dr. Jan-Peter Döhn B.A.
Gitte Römer-Kroker
Torben Wiek-Ring
Telse Rudolph
Dipl.-Ing. Kriemhild Löchel
Nikola Riehl
Meike Rosenow
Alessandro Werner
Wilfriede Blümel
Klaus-D. Segebahn
Heidrun Lindner-Bolnbach
Dipl.-Ing. Gottfried Scholtz
Frau Kirsten Boucsein
Louis Geisel
Prof. Gaby Ernst MBA.
Hellmuth Hörle
Anne-Katrin Lorch
Mechtild Patberg
Gilbert Peukert B.Eng.
Patric Stahr-Ebert
Hans-H. Naser
Käthe Langern-Jacob
Mareen Mies B.Eng.
Marco Kostolzin-Bruder
Mareile Löwer
Bodo Kranz-Striebitz
Prof. Katarzyna Gehringer B.Eng.
Univ.Prof. Meta Rädel
Benno Hofmann
Piotr Hande
Beatrix Rädel MBA.
Dipl.-Ing. Janet Ruppersberger
Annelene Zänker
Wolfhard Fiebig
Rose Beer
Ing. Siglinde Speer MBA.
Antonius Pärtzelt-Jüttner
Kilian Patberg
Vincenzo Haering
Maurizio Eckbauer
Prof. Hansjürgen Langern
Jaqueline Weitzel-Pölitz
Mareike Scholl
Carl Schmiedt
Bernt Huhn
Albrecht Caspar
Gerald Hendriks
Univ.Prof. Dorina Lange
Jaroslaw Eckbauer
Jonas Adler
Mehmet Löwer-Trupp
Judith Meyer
Mareile Meister
Vitali Walter-Krein
Karl Ruppersberger
Rosalia Heydrich
Zita Ullmann-Heydrich
Edeltraut Klemt
Prof. Marion Scholz
Univ.Prof. Fatima Faust B.A.
Irmtrud Mohaupt-Etzler
Hans-Martin Kambs
Ottilie auch Schlauchin B.Eng.
Annamaria Hesse
Nina Putz-Ritter
Milan Weiß-Schuchhardt
Hans-Karl Bauer B.Eng.
Carla Ruppersberger
Berndt Grein Groth B.Sc.
Traudl Gierschner
Carina Schaaf
Cathrin Weitzel MBA.
Hans-Jürgen Klemm
Vladimir Kruschwitz
Lutz Pärtzelt
Ronald Werner
Wera Schmidt
Gabi Meister
Herr Ronald Reising B.Sc.
Gunter Beyer
Anastasios Kuhl
Tina van der Dussen
Anne-Katrin Butte MBA.
Prof. Theda Hölzenbecher
Peer Jähn
Valentin Klingelhöfer
Ulrich Plath-Weihmann
Frau Eugenia Matthäi
Anatolij Kroker B.Eng.
Detlev Weihmann-Schäfer
Florentine Sölzer-Siering
Univ.Prof. Tilmann Pieper B.Eng.
Dr. Leopoldine Kostolzin
Karl-Wilhelm Geisel
Friedrich-Wilhelm Stahr-Henck
Zenon Hahn MBA.
Univ.Prof. Fredy Barth MBA.
Wulf Eberhardt
Ing. August Hellwig B.Eng.
Tülay Schmidtke B.Sc.
Geraldine Wagner
Heinz-Jürgen Adolph
Natascha Gotthard
Annekatrin Wilms
Ilija Eckbauer-Steinberg
Christiane Roht
Ioannis Klemt
Evangelos Staude
Agathe Jäntsch-Käster
Emma Blümel
Prof. Thekla Hahn
Ingried Hänel
Dipl.-Ing. Birgitta Boucsein
Prof. Josefa Beier B.Sc.
Carolina Ditschlerin
Dr. Jorge Kambs B.A.
Lotte Kusch
Hans-Bernd Zorbach
Elfie Jäkel
Dipl.-Ing. Rigo van der Dussen B.Eng.
Hannchen Löwer B.Eng.
Univ.Prof. Sebastian Sontag
Ing. Gerlinde Junken
Ing. Gabriela Dippel MBA.
Ekkehard Holzapfel
Xenia Christoph
Hedi Gumprich
Dipl.-Ing. Margaretha Köhler B.Eng.
Clarissa Wieloch
Dr. Reza Hering B.Sc.
Jadwiga Koch
Sonia Gorlitz-Mude
Univ.Prof. Alexandros Junk
Ole Losekann
Ole Ritter MBA.
Ing. Knut Christoph
Dipl.-Ing. Tim Fritsch
Imke Gieß B.Sc.
Sylvia Schäfer
Gisela Weinhold B.Sc.
Karl-Peter Häring-Kruschwitz
Eitel Ernst
Milica Huhn
Ludwig Zimmer MBA.
Woldemar Jacob B.A.
Dipl.-Ing. Albrecht Metz
Victoria Klingelhöfer
Linus Lübs
Ing. Hanns Haase B.Eng.
Dipl.-Ing. Alexandros Weinhold
Hülya Conradi
Sylvia Schenk
Ellen Junken
Prof. Sofie Gröttner
Bela Köster
Prof. Magdalena Bohlander B.Sc.
Gislinde Schlosser
Mehmet Sauer
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Kreszentia Pölitz-Karge
Lena Ernst-Schenk
Sibel Weller
Margot Sontag MBA.
Margita Meister
Dr. Almut Nohlmans B.A.
Dr. Gerti Scheel
Univ.Prof. Gregor Gieß MBA.
Ahmed Freudenberger B.Sc.
Otto Butte
Sigurd Holsten B.Sc.
Franz Lange
Johannes Schuchhardt-Junitz
Reimar Kabus
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Liesa Neureuther
Dr. Lidwina Oestrovsky
Kenan Wulff-Plath
Prof. Oswald Ehlert MBA.
Ditmar Adolph
Fabienne Holt MBA.
Sarina Dobes
Giuseppe Trupp
Malte Bohlander
Ing. Emmy Beer
Sami Linke B.A.
Nick Jockel B.A.
Paola Kroker-Klotz
Mariechen Nohlmans
Franka Peukert
Hans-J. Hahn-Süßebier
Maurice Möchlichen
Siegrun Christoph
Stephen Tintzmann
Sylvana Hornich MBA.
Wolf-Dieter Schmiedt
Prof. Sepp Blümel
Herta Hoffmann
Inge Dietz B.A.
Marion Drewes
Dipl.-Ing. Amanda Striebitz
Hans-Uwe Noack-Fröhlich
Siegmund Hövel
Aldo Förster
Cilli Röhricht
Frau Caren Schmidt MBA.
Irmi Döhn
Dipl.-Ing. Claudia Häring
Sieglinde Stahr
Gebhard Eberth B.Eng.
Bianka Dobes-Seifert
Miroslav Kohl
Christiane Mentzel
Siegfried Kreusel
Paul-Gerhard Gunpf
Nuran Schäfer B.A.
Peter Sontag
Auguste Buchholz B.Sc.
Nadine Schleich
Gönül Barth-Zobel
Aribert Putz
Univ.Prof. Henry Wohlgemut B.Eng.
Frau Almut Kuhl
Adalbert Boucsein
Liane Kambs
Wiebke Gehringer
Benita Holzapfel-Hecker
Reinald Zahn
Claus Juncken
Carmelo Stiebitz
Harry Lange
Fadime Reinhardt MBA.
Ludwig Reinhardt
Herr Dietrich Gotthard B.A.
Meral Eberhardt B.A.
Gerwin Salz
Herr Valerij Heydrich
Tomasz Niemeier
Dr. Diedrich Gerlach B.A.
Univ.Prof. Josip Hartung
Felicia Hamann
Dipl.-Ing. Miguel Bärer
Loni van der Dussen B.Sc.
Ernestine Stumpf
Emine Vollbrecht B.Eng.
Jurij Zimmer
Geza Bloch-Mühle
Ansgar Seidel
Camilla Gunpf
Luciano Tintzmann
Gregor Dippel
Doreen Hornig
Dipl.-Ing. Rolf Tröst B.Sc.
Herr Thorben Jacob
Univ.Prof. Dorit Pechel B.A.
Heide-Marie Zirme
Burckhard Margraf
Dipl.-Ing. Margarita Stey
Jo Reising
Janusz Kruschwitz B.Eng.
Heinrich Kramer
Alexander Hörle
Fanny Bolnbach B.Sc.
Henny Rose
Univ.Prof. Veli Etzler
Laila Kranz
Ing. Anatolij Heintze
Heimo Bauer
Heinz-Otto Wende
Thea Nette
Annekatrin Trupp
Franz Josef Flantz
Hans-Uwe Sager
Friedrich-Wilhelm Metz
Cordula Mangold
Hans-Martin Drewes
Hans D. Schenk
Ing. Margarete auch Schlauchin MBA.
Herr Hans Rogge
Gundolf Walter
Heidelore Pärtzelt MBA.
Georgia Trub
Fernando Reising
Wolf-Dieter Sölzer-Putz
Ing. Carolin Anders
Dr. Sigrun Schönland B.A.
Eileen Hartung
Björn Steckel B.Eng.
Adalbert Hande B.Eng.
Milica Reichmann
Dr. Marie-Luise Klingelhöfer B.Eng.
Ing. Vesna Kroker B.Eng.
Annamaria Margraf
Prof. Irmela Hellwig B.Sc.
Karoline Hübel
Kornelius Hornig MBA.
Maurice Pieper-Loos
Otto Lindner
Dusan Ruppersberger B.Sc.
Edda Junck-Eimer
Univ.Prof. Gottfried Süßebier
Marie-Theres Jäkel
Kreszenz Drubin
Herr Jerzy Drub
Süleyman Wende
Pauline Mosemann
Laura Wilms
Dipl.-Ing. Tomislav Dowerg B.Eng.
Dörte Dobes-Bonbach
Irmi Schacht
Toni Scholl-Scholl
Gunhild Stroh-Jacob
Vincenzo Lübs
Dr. Abdullah Becker
Vincenzo Jopich
Anastasia Mans
Frau Lisbeth Girschner MBA.
Leonid Hein B.Sc.
Wolf-Rüdiger Börner
Ivan Plath
Stavros Hentschel B.Eng.
Meinrad Barkholz B.Eng.
Dr. Caroline Ortmann
Hermann Josef Junck
Rosita Köster B.A.
Vitus Pruschke B.A.
Hans-Hinrich Stiffel
Astrid Dehmel
Heinz-Walter Roskoth-Hertrampf
Rosa Gnatz
Hans Jörg Köhler
Jonas Christoph B.Eng.
Hans-Günther Etzold
Ing. Karl-Peter Weinhold B.Sc.
Mathias Matthäi
Dr. Friedhilde Adler MBA.
Klara Blümel
Swen Wirth
Prof. Hans-Peter Noack B.A.
Nikolaus Rosenow
Ing. Swen Ehlert
Engelbert Sauer MBA.
Guiseppe Rust
Senol Hande MBA.
Herr Alwin Sager B.A.
Prof. Irmgard Mühle
Ing. Ayse Schacht
Wilma Drub B.Eng.
Ing. Jo Caspar
Stefanie Pruschke
Leonore Schacht
Hedda Schönland
Herr Hartwig Henk B.A.
Frau Bruni Krein B.A.
Ansgar Tlustek MBA.
Roman Hauffer
Reinhart Winkler B.Eng.
Reimer Kitzmann
Kamil Hecker-Hahn
Hans-Bernd Zobel
Patrick Haering
Erol Röhrdanz
Cecilia Scholz-Barth
Semra Fiebig
Wenke Stolze
Gerd Becker
Hans-Günther Eimer
Walentina Eckbauer
Sigmund Mosemann
Thomas Hänel
Hannelore Weinhold B.Sc.
Prof. Karen Benthin B.Eng.
Univ.Prof. Pia Schlosser MBA.
Univ.Prof. Hans-Peter Schmidt MBA.
Brunhilde Tröst
Tomasz Bolnbach
Gordana Hertrampf-Speer
Anica Austermühle
Helene Gröttner-Hornich
Gisa Dörr B.Eng.
Jens-Peter Graf-Schmidt
Denny Pechel
Albrecht Metz B.A.
Georgine Segebahn
Hannes Jäntsch
Rouven Ziegert
Roderich Ehlert-Henk
Elisabet Preiß-Thanel
Dr. Hildegund Gnatz B.Eng.
Theda Klotz
Stephan Warmer B.Eng.
Dr. Peer Schwital MBA.
Eugenia Anders B.A.
Frau Kirsten Geißler
Klaus-D. Hövel
Dorle Rädel
Senta Schmiedecke
Judith Boucsein-Aumann
Kerstin Heidrich B.A.
Giesela Börner B.Eng.
Johanna Fischer
Esther Eberth-Kensy
Isa Rose
Pawel Peukert-Rörricht
Canan Berger-Hellwig
Dipl.-Ing. Gunar Kuhl
Margit Losekann
Elias Langern
Dipl.-Ing. Nuray Mude B.Sc.
Gaetano Paffrath
Gerwin Bonbach-Fliegner
Edeltrud Koch
Yvette Margraf-Wernecke
Prof. Ullrich Rosenow B.A.
Hildegunde Stiebitz-Mude
Susan Seip MBA.
Anto Kobelt-Kobelt
Klaudia Löffler-Zorbach
Ryszard Lehmann
Herma Bender-Scholtz
Hannchen Zahn
Dipl.-Ing. Helma Heuser B.Sc.
Univ.Prof. Suzanne Paffrath
Mary Hofmann B.A.
Bayram Meister
Till Bolander
Mercedes Sauer
Univ.Prof. Sibylle Zirme B.Sc.
Knut Gorlitz
Kunigunda Heser
Jeannine Heinz-Tlustek
Gerda Mans
Lieselotte Nohlmans
Dr. Mariusz Beckmann
Herr Frank Bolnbach
Berndt Riehl-Bohlander
Gert Fischer
Maik Oestrovsky B.Sc.
Antonios Klemm B.Sc.
Frau Raissa Ruppersberger B.Eng.
Herr Ilja Kroker
Dr. Walburga Kobelt B.Eng.
Hanna Jäntsch MBA.
Frau Renate Geisler
Dorota Sorgatz B.A.
Isabell Briemer
Ing. Zdenka Neuschäfer
Dipl.-Ing. Angelique Ortmann
Lena Holzapfel
Siegrid Bachmann-Schaaf
Ronald Börner-Hentschel
Patrick Pärtzelt-Henck
Janine Hendriks B.A.
Ladislaus Killer
Heimo Kuhl
Ing. Sina Johann MBA.
Sofia Etzler B.Eng.
Stefanie Benthin
Emilia Scheel
Lene Hermann-Kaul
Dipl.-Ing. Meral Beyer
Lorenz Schüler B.A.
Arnulf Süßebier
Jörgen Paffrath B.Sc.
Reinhard Eigenwillig
Rosa Rosenow B.Eng.
Stella Barth
Sylvester Bachmann
Kenan Pieper
Gottfried Keudel MBA.
Eckard Textor
Gudrun Heß B.Sc.
Hermann Josef Schmiedecke
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Nevenka Fritsch
Peggy Rogge-Lachmann
Wolf Stadelmann
Adriane Gröttner
Prof. Tadeusz Mosemann B.Sc.
Hildegart Weitzel
Irmtraut Süßebier
Dipl.-Ing. Gudula Margraf B.Sc.
Evangelos Ring-Schmiedecke
Mohammad Karz MBA.
Georgios Neuschäfer
Arnulf Heidrich
Ing. Karin Werner
Andrej van der Dussen B.A.
Hanspeter Koch II-Wohlgemut
Bernard Losekann
Wilhelmine Knappe
Wendelin Pärtzelt
Gislinde Lehmann
Wibke Cichorius
Mariusz Stadelmann-Jähn
Marika Zimmer
Gesa Bender
Dorothea Etzler
Knut Jacob
David Warmer
Rainer Hänel
Eberhardt Fiebig
Gotthilf Gehringer B.A.
Doris Karz
Wolfhard Rosemann B.Eng.
Philip Fritsch
Hans-Detlef Kobelt
Dorothee Blümel
Sinaida Ruppersberger
Janus Weitzel-Koch
Dr. Carmela Rudolph
Marika Sager
Elenore Renner
Senol Heintze-Gerlach
Silvio Scholl B.Eng.
Zofia Schönland B.Sc.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Hannchen Drewes B.Sc.
Elfie Otto
Prof. Gundula Dörr B.Sc.
Brita Kaul
Apollonia Trüb B.A.
Theo Henschel
Frau Trudel Hövel
Ing. Ramazan Kallert MBA.
Reinald Gerlach
Prof. Salvatore Römer
Georgia Ruppersberger
Anna-Marie Ullrich
Univ.Prof. Evelyn Seifert B.A.
Lilly Naser
Ria Stroh
René Ullrich
Frau Jane Caspar
Isabelle Förster-Beyer
Carla Schacht
Edelbert Bruder
Wolf-Dieter Eigenwillig
Augusta Rosemann
Ing. André Christoph
Herr Hans-Ludwig Steinberg
Univ.Prof. Regina Salz B.Eng.
Irina Birnbaum
Willy Trub-Freudenberger
Dipl.-Ing. Aleksandra Wagner MBA.
Susanne Etzold
Frau Julia Fliegner
Dina Koch
Prof. Patrik Scheel
Frau Mirja Jüttner B.Eng.
Prof. Arnold Caspar B.A.
Matthäus Hübel
Alena Seip
Fatima Heser B.Eng.
Theda Stumpf B.Eng.
Ursel Conradi
Egbert Tschentscher
Herr Konstantin Neureuther B.A.
Marta Eigenwillig-Hörle
Prof. Sarina Hartmann
Edit Siering
Kathrin Johann-Schulz
Alicia Ring
Stavros Hövel B.Eng.
Dipl.-Ing. Lilly Boucsein B.Sc.
Hiltraud Köster MBA.
Abdul Trüb MBA.
Marta Herrmann
Gabriella Schuster
Fredi Wilmsen
Maik Tintzmann B.Sc.
Lars Eckbauer-Möchlichen
Dr. Anastasia Gude
René Rose-Krebs
Prof. Götz Finke
Amalia Hermann-Schäfer
Baptist Vogt
Ehrhard Bohnbach B.Eng.
Miodrag Dörr-Austermühle
Anka Förster
Marcella Holzapfel
Toni Dehmel-Striebitz
Raissa Mitschke MBA.
Zdenka Heser
Ernest Schönland B.Eng.
Mercedes Rädel-Drub
Ing. Siegmund Hertrampf MBA.
Gunnar Hornig
Ing. Horst-Dieter Seip
Franca Börner
Kuno Mälzer B.Eng.
Czeslaw Jacobi Jäckel-Zahn
Karsten Schwital
Gülay Haase
Ing. Helmuth Bruder
Herr Vito Roskoth B.Sc.
Anatolij Junk
Ing. Zoran Tintzmann
Henni Mälzer-Tlustek
Johanne Kusch
Jane Patberg
Dipl.-Ing. Alan Schacht B.Eng.
Frau Monique Löchel
Falk Ritter
H.-Dieter Gerlach
Frauke Söding
Raymund Mosemann-Eckbauer
Inna Winkler
Andreas Birnbaum-Kallert
Irmgard Täsche B.A.
Dipl.-Ing. Hardy Kohl
Kazim Junken
Herr Bastian Ritter B.Sc.
Helge Ladeck MBA.
Dipl.-Ing. Augusta Lachmann B.A.
Dr. Wolf-Rüdiger Trüb
Univ.Prof. Franz-Josef Zänker
Louise Jessel
Frau Annegrete Junk B.A.
Oliver Bien
Arne Ziegert B.Sc.
Dipl.-Ing. Giorgio Drubin B.Eng.
Hermann Josef Drubin
Brigitta Walter
Sigmar Zobel
Horst Reising
Blanka Ladeck
Jeannine Gieß
Leopold Rörricht
Agnes Vollbrecht
Felicia Ritter
Jörgen Putz B.A.
Univ.Prof. Blanka Linke B.Eng.
Hilde Walter
Prof. Knud Atzler B.Sc.
Edward Dippel
Stavros Vollbrecht-Geißler
Nicolai Gutknecht
Ing. Nicolai Textor B.A.
Roderich Scholtz
Wulf Kusch
Milos Pärtzelt B.Sc.
Benno Klemt
Univ.Prof. Christa-Maria Lehmann B.A.
Susanna Schaaf
Prof. Niels Barkholz
Tamara Bender MBA.
Ulrike Klemt B.Sc.
Boris Kruschwitz
Judith Hering B.A.
Karl-August Reichmann B.Sc.
Dipl.-Ing. Herta Fliegner MBA.
Herr Filippo Rosemann B.A.
Philip Mangold
Jessica Kohl
Maximilian Pohl B.A.
Kristiane Hermann
Ing. Hannes Jähn B.Sc.
Univ.Prof. Marcella Trüb
Heidrun Stiebitz
Dorina Weinhage
Prof. Susanne Heidrich B.Eng.
Gertraut Koch II
Krystyna Rust-Baum
Reni Cichorius
Harold Bohlander B.Sc.
Univ.Prof. Manuela Heinrich
Prof. Rabea Hettner B.Eng.
Herr Louis Hövel
Franz Löwer
Götz Budig
Bernhardine Mangold
Regina Ring
Hans-Ulrich Plath B.A.
Calogero Seip
Ing. Gertraude Holsten B.Sc.
Gerlind Trüb-Losekann
Henny Eberhardt
Herr Oliver Stahr
Justine Dippel-Rosemann
Raymund Thanel
Herr Knud Pölitz B.A.
Walburga Junk
Wiltrud Bolander
Ing. Corinne Winkler
Prof. Annita Wulff
Günter Rudolph B.Eng.
Günter Löwer
Änne Tlustek-Freudenberger
Dr. Jane Kostolzin
Goran Junck-Bauer
Wilfried Steinberg
Götz Hofmann B.A.
Ing. Nikolai Niemeier B.A.
Heinz-Georg Hornich
Prof. Anka Schulz
Tobias Mühle
Ljiljana Stoll
Ann-Kathrin Mühle
Meryem Sager
Magarete Schomber
Hans-Rudolf Dehmel
Dipl.-Ing. Denise Beier
Hans-J. Tröst MBA.
Univ.Prof. Friedl Tlustek
Bianka Schuster-Ziegert
Käthi Faust-Gorlitz
Hans-Herbert Harloff
Verena Höfig
Marian Hande
Karl-Heinz Rohleder
Dorothe Adler-Trubin
Hilma Berger
Klaudia Seidel
Diether Dussen van-Rohleder
Juan Noack
Prof. Meik Blümel B.Sc.
Jann Cichorius
Dr. Stephanie Ladeck
Stephen Kensy
Gitte Rohleder-Bruder
Fabian Lübs
Frau Jane Sauer
Annelene Reuter B.A.
Dipl.-Ing. Lara Tlustek
Herr Andrej Rose
Ing. Annelise Nette B.Eng.
Clara Gehringer
Janusz Rädel B.Sc.
Frau Evamaria Geißler
Dr. Lilija Butte B.A.
Magda Berger B.A.
Angelica Lorch B.Eng.
Aleksandra Benthin
Antonie Fischer-Margraf
Slavko Schüler B.Eng.
Danuta Lachmann-Dussen van
Immo Ring
Robin Flantz
Paolo Hentschel-Zobel
Horst Hauffer B.Eng.
Dorina Rust
Eleonora Gehringer
Siegrid Paffrath
Mirella Löchel
Univ.Prof. Nikola Graf MBA.
Anastasios Heinz
Czeslaw Bohnbach B.Eng.
Corinne Berger
Frau Kunigunda Schaaf B.A.
Vito Davids-Schwital
Univ.Prof. Josefine Gerlach
Berthold Austermühle MBA.
Siegrid Misicher
Andre Schinke
Klothilde Blümel B.A.
Hüseyin Wulf-Schmidt
Calogero Heintze
Tobias Liebelt
Czeslaw Fiebig
Jasmina Cichorius-Barth
Dr. Sara Niemeier
Frau Zdenka Zimmer
Univ.Prof. Andrea Gieß B.Eng.
Jost Roskoth
Irmengard Eckbauer
Kordula Kambs B.Eng.
Metin Klemt
Pedro Beer
Alina Hoffmann
Herr David Freudenberger B.Eng.
Stavros Hoffmann
Wenke Patberg
Dipl.-Ing. Lieselotte Trüb B.A.
Jonathan Mohaupt
Prof. Diether Neureuther
Univ.Prof. Horst Scholtz
Heinz-Werner Buchholz
Frau Anny Niemeier B.A.
Dipl.-Ing. Henriette Lindau
Univ.Prof. Liliana Drub
Inga Wieloch
Karla Wirth
Vera Scholl
Univ.Prof. Inga Hermighausen B.Eng.
Mara Vollbrecht B.A.
Damaris Zirme
Elfi Wesack
Bernhardine Schuchhardt
Wibke Reuter
