Student
Vito Davids-Schwital
Roderich Ehlert-Henk
Karoline Hübel
Dina Schmidtke
Ralph Hellwig-Lachmann
Silvester Sorgatz MBA.
Hans-Albert Wirth
Reni auch Schlauchin
Hanni Scholz-Weitzel
Dipl.-Ing. Ingolf Krein
Bianca Mans
Johanne Kusch
Anatoli Caspar
Franz Steuer
Marzena Mentzel
Frau Patricia Schmiedecke B.Eng.
Gaby Bähr
Tomislav Schüler
Ing. Rico Hoffmann
Petar Hamann
Nikolaj Scholz
Dierk Beier
Dorothee Renner
Dr. Edelgard Sauer B.Sc.
Ekkehard Holzapfel
Juan Fechner
Hans-Helmut Wesack
Gertrude Gumprich
Peggy Haering B.Sc.
Hans D. Schenk
Gabriela Freudenberger B.A.
Klaus-Dieter Knappe
Anto Kobelt-Kobelt
Heide-Marie Gunpf B.A.
Dipl.-Ing. Hans-Günther Bien
Doris Karz
Ing. Justina Beckmann
Beata Lübs
Dr. Heide Jockel B.Sc.
Prof. Lieschen Bohlander
Babette Rohleder
Prof. Gertraude Wohlgemut B.Eng.
Prof. Salvatore Römer
Dominik Jungfer
Francesco Nerger
Univ.Prof. Karin Beier
Nadia Herrmann
Ivana Nerger
Cäcilie Schmidt
Nicolaus Franke-Paffrath
Elenore Renner
Flora Etzold
Heinz-Wilhelm Werner
Rosa Heuser
Mehdi Kohl B.A.
Abbas Täsche
Rosina Ditschlerin-Ortmann
Rosa-Maria Seifert
Jonas Albers
Dietlinde Schönland
Christos Gumprich
Giuseppina Keudel
Danuta Löwer
Caroline Harloff
Aurelia Sorgatz
Brigitte Zirme B.Sc.
Jeanette Mälzer
Wenzel Wilmsen
Silke Heydrich-Albers
Prof. Amir Reising MBA.
Johan Buchholz
Helena Hettner
Fatma Löffler B.Sc.
Herma Bender-Scholtz
Luis Ackermann
Wiltrud Bolander
Dipl.-Ing. Theda Weinhold B.Eng.
Heinrich Rogner
Liesa Gröttner
Ing. Zlatko Gerlach
Ingbert Hartung
Klaus-Ulrich Tlustek-Förster
Lina Hein-Gotthard
Ulrich Segebahn
Ing. Bernard Schleich B.Sc.
Herr Frank-Peter Jopich
Dagmar Schinke B.Sc.
Adrian Killer
Ernestine Trommler
Rosita Möchlichen-Stumpf
Irina Seip-Bolnbach
Irina Mielcarek
Notburga Huhn
Ben Eimer-Loos
Horst-Peter Thies
Guntram Scholz MBA.
Dipl.-Ing. Jens-Peter Dippel MBA.
Ingmar Beckmann
Johann Reuter
Roger Gunpf-Paffrath
Lutz Pärtzelt
Frau Almut Kuhl
Rolf-Dieter Jacobi Jäckel-Nerger
Calogero Heintze
Arzu Kuhl
Univ.Prof. Sibylle Zirme B.Sc.
Joerg Döhn
Univ.Prof. Herta Zänker
Gülsen Davids-Heinz
Hans-Jörg Trupp-Säuberlich
Pirmin Wulf B.Sc.
Ursula Jacobi Jäckel
Dierk Gunpf B.A.
Dr. Heiderose Kallert B.Eng.
Slavko Fliegner B.Sc.
Ingbert Birnbaum-Ring
Emine Haase B.A.
Dr. Burkard Bolzmann B.A.
Dr. Peer Schwital MBA.
Sebastian Vogt
Konstantin Eimer-Lehmann
Arnulf Heidrich
Prof. Grete Müller
Patrizia Schüler
Jessika Thies
Irmengard Sauer
Univ.Prof. Valeria Putz
Ditmar Dehmel
Ljudmila Trapp
Rosa Tintzmann
Ing. Monika Ullrich
Ing. Hans-Walter Ackermann
Herr Jan Kobelt
Nadeshda Mentzel
Dipl.-Ing. Giuseppina Etzler B.Sc.
Gabriele Stahr
Hans-Theo Kuhl
Univ.Prof. Luka Mende
Ing. Adam Klemt MBA.
Klaus-Dieter van der Dussen
Gina Pieper
Hans-Dietrich Fliegner
Annett Dehmel MBA.
Manuel Wagenknecht
Torben Wiek-Ring
Sonia Säuberlich-Langern
Witold Heintze
Peggy Holt
Ingetraud Fiebig
Nermin Kranz-Austermühle
Elmar Patberg
Diana Jessel-Geißler
Markus Albers
Gabriel Klotz
Hanife Täsche-Stiffel
Josephine Schweitzer
Gunhild Holt-Rust
Ing. Carolin Matthäi
Janin Haase
Clara Ruppersberger
Czeslaw Jacobi Jäckel-Zahn
Folkert Reinhardt B.Sc.
Ing. Nelli Hornig
Frieda Tintzmann-Löchel
Annemarie Häring
Herr Wilhelm Schuchhardt B.A.
Sigurd Holsten B.Sc.
Luise Gertz-Fliegner
Gottlieb Kade
Heinz-Wilhelm Steuer-Mende
Prof. Cäcilie Staude B.A.
Mechtild Patberg
Irmtraud Schönland
Brita Roht MBA.
Dr. Klothilde Lachmann B.A.
Vinzenz Bruder
Frau Danielle Junk
Herr Sylvester Jopich B.Eng.
Steffen Schlosser
Semra Gorlitz
Andrei Bolander-Jäkel
Ing. Thomas Drewes B.A.
Johann Beer
Anika Holsten
Trudi Keudel B.A.
Ing. Hanny Noack MBA.
Gesa Keudel-Bauer
Olga Stahr
Bruno Martin-Kaul
Rico Cichorius
Mariechen Scholl
Kreszentia Pölitz-Karge
Natalia Stroh
Prof. Swen Benthin MBA.
Ursel Eckbauer
Kristiane Steckel
Toralf Jessel
Ernst-August Gutknecht
Edmund Junck
Dr. Steven Wohlgemut
Dipl.-Ing. Jiri Wesack B.A.
Frau Herlinde Segebahn
Edith Binner
Oxana Henschel
Emma Sauer B.Eng.
Karl-Ernst Reuter
Ing. Siegrid Birnbaum
Prof. Bianka Reinhardt
José Tschentscher-Textor
Sinaida Adolph
Bodo Kranz-Striebitz
Ilja Krause
Dipl.-Ing. Enver Drubin
Renate Franke B.A.
Friedrich-Wilhelm Holsten
Univ.Prof. Bert Gieß
Mark Röhricht
Marga Scholz
Prof. Friedo Reuter
Malte Schäfer
Hatice Killer-Löwer
Irmtrud Röhrdanz
Ronny Dippel
Bayram Kostolzin-Rosenow
Dariusz Wirth
Franz-Xaver Carsten
Dolores Conradi
Janet Ullrich
Natalia Fröhlich-Kabus
Ivo Börner
Ing. Heinz-Josef Hoffmann
Timm Freudenberger-Henschel
Kathy Kitzmann
Mahmut Rose B.A.
Anne-Marie Sontag
Sergej Hauffer MBA.
Hüseyin Johann
Rosa-Maria Losekann-Schulz
Arndt Wernecke-Gertz
Franziska Jüttner
Sigrun Weinhold
Gunter Grein Groth B.Eng.
Cathleen Gude
Rosita Köster B.A.
Leif Wulff
Dipl.-Ing. Mareike Noack B.Sc.
Ing. Hanny Schlosser MBA.
Niko Butte-Rosenow
Rico Putz-Killer
Prof. Sylvio Gumprich
Ing. Knud Vogt
Univ.Prof. Heidelinde Jopich B.Sc.
Daniele Pieper-Käster
Minna Lindner
Eugenia Riehl
Katerina Hauffer
Cilli Heintze
Dr. Tim Hornig B.Sc.
Gudrun Rörricht
Ing. Gislinde Ernst B.A.
Anne-Rose Klapp-Jockel
Prof. Janin Dietz
Wilhelm Klemm B.A.
Elisabet Preiß-Thanel
Senol Heintze-Gerlach
Ilhan Hoffmann-Karz
Ralf-Dieter Riehl B.Eng.
Suzanne Holzapfel
Kenan Wulff-Plath
Dipl.-Ing. Apollonia Steuer
Dipl.-Ing. Meral Beyer
Miodrag Dörr-Austermühle
Dipl.-Ing. Claudia Häring
Dr. Daniel Trommler
Siegrun Reinhardt
Henny Wulff
Hans-Albert Preiß-Scheel
Nadine Schleich
Hans-J. Wohlgemut
Wibke Tschentscher-Wulf
Uta Karz
Heino Schönland-Hermann
Marica Hamann-Koch
Franz-Xaver Bachmann
Dipl.-Ing. Ira Röhricht B.Sc.
Liliana Davids
Caroline Haering MBA.
Dogan Bolander
Bernadette Sorgatz
Marina Hofmann
Miguel Briemer
Lucie Trüb-Schmiedt
Liane Reuter
Gereon Wende MBA.
Damaris Zirme
Steven Steinberg B.Eng.
Betti Zirme B.A.
Dipl.-Ing. Virginia Käster
Käthe Briemer MBA.
Birgid Freudenberger
Birgitta Beckmann-Thanel
Tilmann Geisler
Erna Kensy-Bähr
Athanasios Bloch
Dipl.-Ing. Lucia Renner B.A.
Mariusz Hartung
Denis Etzold
Hans-Rudolf Dehmel
Cosimo Zimmer
Ahmed Lange MBA.
Patric Heinrich
Frau Siegried Margraf B.Sc.
Herr Tom Täsche
Jost Lindau
Meike Berger
Martine Trupp
Viviane Girschner
Elli Täsche B.Eng.
Lili Döhn-Margraf
Roselinde Metz MBA.
Dr. Edelbert Wieloch MBA.
Lorenz Hande-Hamann
Ing. Nadeschda Bohlander
Henryk Jacobi Jäckel B.Sc.
Remo Reinhardt
Pero Gnatz
Anne Zorbach
Lothar Ladeck
Hassan Kroker-Girschner
Reingard Geisel
Hartmuth Eberhardt
Francoise Zänker-Knappe
Matteo Krein-Müller
Herr Ronny Tröst B.Sc.
Edda Stahr
Marlies Seifert-Roht
Frithjof Gertz
Carla Gnatz
Univ.Prof. Undine Junken MBA.
Denny Kusch
Piotr Schaaf
Ing. Engelbert Bauer
Zita Butte
Univ.Prof. Josefine Gerlach
Irmtrud Schmiedt B.Sc.
Herta Hoffmann
Dr. Mechthilde Hellwig
Franz Lange
Tülay Gnatz-Sorgatz
Tibor Bolzmann MBA.
Hasan Klemm
Bayram Meister
Stavros Schinke
Kenan Pieper
Magarete Beyer B.Eng.
Antonius Pärtzelt-Jüttner
Annika Wirth
Dipl.-Ing. Berend Niemeier
Knud Zimmer
Augusta Beer
Thea Dippel
Erol Eimer
Ing. Brunhilde Albers
Ing. Abraham Thanel B.Eng.
Franz Josef Girschner
Katharina Speer
Dipl.-Ing. Amanda Striebitz
Dipl.-Ing. Leokadia Junk
Heribert Römer-Lindau
Univ.Prof. Jörg-Peter Riehl
Frau Anja Haering
Dr. Diedrich Atzler
Janko Neureuther
Tülay Henschel
Ing. Philipp Textor
Hildburg Tlustek
Annelene Zänker
Heribert Steuer
Alwine Linke
Johanna Fischer
Dorit Dowerg
Edelbert Bruder
Prof. Alma Gumprich
Sigrun Mälzer
Carin Binner
Ronny Scholtz
Herr Jens Becker MBA.
Ben Zahn
Simon Hahn
Univ.Prof. Ladislaus Hande
Laurenz Ritter
Deborah Etzler
Gisa Hornig-Geißler
H.-Dieter Mülichen B.A.
Kreszentia Bloch-Kohl
Bernard Karge
Dr. Alwina Lorch MBA.
Berta Hörle-Börner
Dr. Jeanette Schuchhardt B.Eng.
Angelique Kruschwitz
Ferdi Hoffmann
Rosina Ortmann
Ernst Henschel
Heinz-Günter Schuster
Frau Linda Weiß B.Eng.
Emin van der Dussen
Paolo Hentschel-Zobel
Metin Hande
Juliana Möchlichen
Ing. Utz Klemt B.A.
Wilma Pärtzelt-Huhn
Alexander Beckmann MBA.
Frau Lilli Möchlichen MBA.
Ing. Boris Junck MBA.
Jozef Kostolzin
Francisco Wirth
Dipl.-Ing. Astrid Kade
Hiltrud Adolph
Krzysztof Mülichen
Dr. Lisa Stroh B.Sc.
Athanasios Jacobi Jäckel
Edit Martin B.Sc.
Jutta Franke-Rosenow
Hasso Zahn
Hans Kraus
Sylvie Börner
Gerti Döring
Pavel Ehlert
Univ.Prof. Hans-Theo Kroker
Ruben Trubin
Hans-Günther Kohl B.Eng.
Dr. Senol Beier MBA.
Ing. Zoran Tintzmann
Klaus Dieter Weimer-Hein
Klaus-D. Dippel MBA.
Lara Oderwald
Simona Heidrich
Emmy Bohnbach
Manja Koch II-Heuser
Kathi Hering
Ing. Vesna Kroker B.Eng.
Horst-Dieter Seifert
Klaas Vogt
Florentine Sölzer-Siering
Ottilie auch Schlauchin B.Eng.
Erna Schmiedt
Bekir Cichorius-Döring
Dorothee Koch II
Dr. Renate Mende
Ernst-August Gunpf
Balthasar Müller-Drub
Henry Hofmann B.Eng.
Dipl.-Ing. Halina Bender B.A.
Paula Stroh
Kunigunda Zimmer
Ute Möchlichen
Margret Dehmel
Jessika Käster
Franjo Junitz-Hahn
Birthe Trommler
Helga Franke
Lisbeth Mielcarek
Asta Mielcarek-Blümel
Daniela van der Dussen B.Eng.
Benno Ritter
Ing. Edeltraud Zirme
Annemarie Wieloch
Janos Ehlert
Hermine Schüler
Anica Kade-Steuer
Felicia Binner
Reimund Kraushaar
Sandy Fechner
Theresia Liebelt
Annemie Herrmann
Prof. Trude Schäfer MBA.
Carmen Berger
Wilfriede Ziegert
Univ.Prof. Sigurd Fischer B.Eng.
Dr. Elmar Junk
Gunda Ditschlerin B.A.
Hilmar Hörle
Bayram Gertz-Hendriks
Darko Wilms
Dipl.-Ing. Fred Meister
Tobias Mühle
Hans-Heinrich Schüler-Seip
Vitali Neureuther
Hansjürgen Weitzel
Dr. Melitta Mans B.Eng.
Konstanze Sontag
Margareta Dörschner B.Sc.
Burkhard Holt-Schleich
Calogero Hoffmann B.Eng.
Stephanie Kranz B.A.
Margot Schäfer B.Eng.
Henni Keudel B.Sc.
Adolfine Dippel
Sükrü Walter B.Eng.
Tibor Briemer
Wladimir Rogge
Berthold Rudolph
Herr Lukas Eimer
Marek Mitschke B.Sc.
Herr Jonathan Hänel MBA.
Herr Rolf-Peter Renner MBA.
Lars Kallert
Dr. Uli Segebahn
Ole Losekann
Stanislaw Misicher
Prof. Concetta Mies B.Eng.
Denis Ruppersberger
Rüdiger Geisler
Heinz-Gerd Gorlitz B.Eng.
Enrico Hellwig
Univ.Prof. Amalie Warmer B.Eng.
Alicia Ring
Monique Schleich-Kroker
Paul Hettner
Anneli Wernecke
Gerda Eberhardt B.Sc.
Fatima Röhrdanz
Danuta Lachmann-Dussen van
Gerda Kitzmann
Theodora Aumann
Fredo Kühnert-Köhler
Dr. Frithjof Weinhage MBA.
Jaroslaw Seip
Ing. Corinne Winkler
Massimo Hecker
Burghard Davids
Dusan Dussen van
Pavel Jessel
Dipl.-Ing. Hannelore Kostolzin
Marianna Etzler
Janusz Eberhardt MBA.
Ulrich Plath-Weihmann
Arndt Weinhold MBA.
Hans-Bernd Eimer-Pechel
Ekkehart Binner
Urban Geißler B.A.
Ing. Ramazan Kallert MBA.
Detlev Stadelmann
Sara Rogge
Ismail Koch
Jens Löchel
Danica Atzler
Ing. Elenore Kostolzin
Ole Süßebier MBA.
Sergej Pärtzelt
Ing. Erwin Kobelt B.A.
Dr. Jann Wesack B.A.
Hans Misicher
Ing. Swen Ehlert
Katerina Barkholz
Herr Gisbert Langern
Univ.Prof. Annegrete Henck B.A.
Amanda Heinz
Laura Mühle
Herr Roman Sontag B.Sc.
Mijo Seidel B.Sc.
Univ.Prof. Nikolaus Sölzer B.A.
Herr Vladimir Zimmer MBA.
Ann Mielcarek
Margarete Mohaupt B.Sc.
Louis Loos B.Eng.
Else Gröttner
Margareta Trub
Alwine Riehl
Mina Beyer
Änne Schweitzer-Putz
Jasmina Heuser
Dorit Köster
Dipl.-Ing. Patric Fröhlich
Prof. Karl-Heinz Ruppersberger
Anka Gieß
Maximilian Jockel
Alexandre Geisel
Elisabet Schuster B.A.
Hans-Detlef Bender
Michelle Klingelhöfer B.Eng.
Frau Sibel Trommler
Maja Jungfer
Senol Hölzenbecher
Marcel Hermighausen
Hannelore Heser-Boucsein
Lisette Schönland B.Eng.
Ehrenfried Stiffel
Harold Bohlander B.Sc.
Hans-Hermann Haering
Mira Sontag
Halina Segebahn
Gülay Weinhold
Alfredo Oestrovsky
Vinko Schmiedecke-Hendriks
Dipl.-Ing. Burckhard Jäntsch
Hans-Joachim Häring
Wenzel Ebert
Philipp Reising-Harloff
Thea Nette
Mehmet Beckmann-Geisel
Dr. Leopoldine Kostolzin
Rainer Henk-Gotthard
Alfred Holzapfel-Hamann
Dipl.-Ing. Friedhilde Hauffer B.A.
Edeltrud Margraf
Alexej Röhrdanz
Sibilla Eimer
Filippo Kostolzin
Liane Fechner
Magret Oderwald
Dr. Jorge Kambs B.A.
Prof. Lotti Löffler
Reinald Zahn
Victoria Werner MBA.
Monika Haering
Artur Kreusel
Sevim Ackermann
Prof. Bernward Wulf B.Eng.
Kay-Uwe Trommler
Sylke Ehlert
Ljiljana Henk
Waltrud Jacob
Hans-Christian Roht
Johan Heydrich
Oliver Kohl
Caroline Linke
Irmingard Meyer MBA.
Kunigunde Ziegert
Silvio Weimer
Ron Beer
Elisa Mälzer
Karolin Mitschke
Lotti Rosemann
Ing. Margareta Hethur B.A.
Ing. Hans Jürgen Häring
Prof. Robert Heintze
Salih Köster
Univ.Prof. Sybilla Gehringer
Mirko Eckbauer
Prof. Theda Hölzenbecher
Liliane Gröttner-Albers
Frau Helena Nette
Dipl.-Ing. Kristine Klapp MBA.
Karen Rädel
Ilka Heß
Univ.Prof. Walfried Hövel
Gerhart Hentschel
Olav Margraf
Jessica Gotthard
Dipl.-Ing. Elif Hartmann B.A.
Herr Jost Ruppersberger B.A.
Janus Jessel-Hermann
Grete Biggen-Kostolzin
Henny Rose
Prof. Anka Schulz
Dr. Myriam Häring
Faruk Schomber
Herr Erich Rosenow
Luisa Barkholz
Helmtrud Gerlach
Wera Schmidt
Prof. Erwin Albers B.Sc.
Diedrich Scheel-Hübel
Karl-Ernst Drewes-Drubin
Evelin Wagenknecht-Döhn
Jens-Uwe Neureuther
Dr. Leila Gunpf B.Sc.
Elsa Sontag
Marie-Therese Schleich
Sylvester Hamann
Franca Börner
Prof. Riza Niemeier
Reni Putz-Tintzmann
Gretel Stroh
Frau Danica Davids B.A.
Sigmund Hentschel MBA.
Frau Kirsten Boucsein
Augustin Jopich
Elzbieta Putz B.Eng.
Herr Herbert Dowerg
Ellen Liebelt
Gerhart Davids B.A.
Halina Austermühle-Bender
Hans-Günther Eimer
Juliana Schönland
Fernando Gieß
Felizitas Jungfer
Univ.Prof. Traudl Mentzel B.Eng.
Univ.Prof. Alberto Steuer
Waltrud Scholl
Ing. Horst-Dieter Seip
Siegrun Christoph
Dr. Annekatrin Striebitz
Margot Sontag MBA.
Gabi Meister
Mirja Schottin
Anne-Kathrin Bachmann
Dr. Alois Kraushaar B.Sc.
Anselm Dowerg
Wolf-Dieter Sölzer-Putz
Urte Caspar
Dr. Mirko Langern MBA.
Ing. Irmtraud Wiek MBA.
Vitus Pruschke B.A.
Steve Scholl-Ladeck
Wencke Heinrich
Ursel Conradi
Alois Jungfer B.Eng.
Theodor Bolnbach-Kroker
Dr. Inna Mude MBA.
Herr Simon Fliegner MBA.
Heimo Förster
Zdravko Niemeier
Eva-Maria Zänker
Dipl.-Ing. Rüdiger Otto B.A.
Anica Austermühle
Hansjürgen Schlosser
Ekaterina Schmiedecke
Tanja Rörricht-Haering
Wojciech Rogner
Aleksander Wagner-Barth
Dr. Leo Schlosser MBA.
Ing. Hartmuth Gute B.A.
Ursel Juncken-Buchholz
Irmtrud Schaaf-Jacobi Jäckel
Dipl.-Ing. Kevin Henk B.A.
Herr Kurt Weitzel B.Sc.
Artur Budig
Tilman Killer B.A.
Sarah Beckmann
Lena Ernst-Schenk
Dr. Olaf Gierschner B.Sc.
Siegrid Paffrath
Fatima Rörricht
Paul-Gerhard Jungfer B.Eng.
Dr. Peggy Beyer B.Sc.
Kornelia Kade
Gabriele Schmidt
Fredo Bärer
Nada Hänel
Marlis Wiek
Stavros Hentschel B.Eng.
Birger Becker
Eleni Franke
Joachim Fischer
Eckart Cichorius
Arnulf Ullmann
Frau Friederike Albers
Frau Käthi Hamann B.Eng.
Ing. Eckehard Bloch MBA.
Gisa Budig-Löwer
Nina Wagenknecht
Marleen Heser
Dipl.-Ing. Maik Mende B.Sc.
Denny Pechel
Sami Stolze-Döhn
Jo Dussen van
Evi Heuser
Irmi Koch
Hedwig Briemer
Falko Klemm B.Sc.
Mohammad Finke
Gisa Atzler
Beatrix Möchlichen
Herr Hans-Detlef Grein Groth
Ljiljana Löwer B.A.
Dr. Lea Kraushaar B.Eng.
Ines Anders
Rahel Hartmann
Karen Grein Groth-Dörschner
Prof. Ullrich Rosenow B.A.
Alina Schmiedecke
Prof. Lene Oestrovsky B.Sc.
Corinne Berger
Branka Mentzel
Dr. Frank Oderwald MBA.
Adelheid Hecker
Aleksander Scheuermann
Marika Zimmer
Herr Anton Mohaupt B.A.
Annekatrin Wilms
Dipl.-Ing. Korinna Pärtzelt
Olga Krein
Arno Lindner
Univ.Prof. Viktoria Seifert
Cornelius Scheuermann
Hanny Martin
Carola Franke
Alban Butte
Hans-Gerhard Staude
Ruthild Juncken B.Sc.
Pascale Bruder
Gisela Hornich-Metz
Univ.Prof. Sergio Kreusel MBA.
Willibald Seidel
Anatolij Kroker B.Eng.
Hans-Gerd Jockel
Dr. Natascha Trüb
Lore Margraf
Gero Schomber
Sandra Hornig
Gabriel Kreusel
Gebhard Sorgatz
Dipl.-Ing. Heinz-Otto Jähn
Roselinde Zobel
Heinz-Willi Geisel
Lieselotte Nohlmans
Frithjof van der Dussen
Jonas Budig
Prof. Gaby Ernst MBA.
Marleen Langern-Oderwald
Anthony Bonbach
Ottilie Blümel
Univ.Prof. Halil Staude
Fredy Hiller
Reimund Bohlander
Wigbert Ortmann
Ignaz Beer-Eckbauer
Felicia Flantz-Lehmann
Emanuel Scholz B.Eng.
Dr. Karla Christoph
Urszula Trapp
Hiltrud Klemm
Prof. Sandra Klapp
Wieslaw Oestrovsky MBA.
Prof. Janos Werner B.Eng.
Hertha Butte B.Eng.
Univ.Prof. Nikola Graf MBA.
Hans-Herbert Harloff
Romy Etzold
Mijo Karge-Löchel
Maria-Theresia Heinz B.A.
Torben Roskoth-Wilmsen
Univ.Prof. Heinrich Knappe B.A.
Stanislaus Geißler
Ing. Carolin Faust B.A.
Hiltrud Pergande
Änne Boucsein B.Sc.
Marian Vollbrecht MBA.
Annika Pieper B.A.
Dr. Fedor Plath B.Sc.
Jana Wulf MBA.
Liesa Sauer
Marga Vogt
Dipl.-Ing. Katarina Schmidtke
Dorothea Etzler
Univ.Prof. Marko Schmiedecke MBA.
Erol Jäntsch
Gertraut Koch II
Marijan Kruschwitz
Ignatz Budig
Edeltrud Koch
Kevin Tlustek-Heinz
Luciano Aumann
Sükrü Fiebig
Rosita Budig
Univ.Prof. Fatima Faust B.A.
Dr. Lidija Metz
Betty Steinberg
Marie-Luise Zorbach MBA.
Ingo Heinz
Erhardt Heidrich
Volker Hettner
Prof. Hans-Hinrich Schmidt
Brunhilde Heinz MBA.
Prof. Timo Schleich MBA.
Maren Bachmann-Stumpf
Dr. Luisa Anders B.A.
Marzena Jüttner-Jockel
Anna Lübs
Dipl.-Ing. Erwin Hamann
Frau Maria Jopich
Madlen Lübs
Helge Ladeck MBA.
Anneli Neuschäfer
Vesna Döhn
Ing. Gundolf Steinberg B.Sc.
Hedda Baum
Mesut Gute
Herr Tomislav Ladeck
Susanna Jäntsch
George Weimer
Fatima Heser B.Eng.
Univ.Prof. Christa-Maria Lehmann B.A.
Dr. Lilija Dowerg MBA.
Dipl.-Ing. Lilly Junken MBA.
Eugenia Sorgatz
Univ.Prof. Dorit Pechel B.A.
Hans-Hinrich Bohlander
Ing. Selim Tintzmann B.A.
Conny Fliegner
Luise Junk
Ing. Carmine Kroker
Wladimir Karge
Magdalene Hering MBA.
Mareike Reichmann
Erica Schlosser
Anica Ortmann B.A.
Maximilian Pohl B.A.
Lorenz Kohl
Univ.Prof. Beate Gude
Manuel Krause MBA.
Dr. Rotraud Gorlitz
Achim Mülichen-Schleich
Nadeschda Rädel
Univ.Prof. Pauline Klemt
Harro Trapp B.Eng.
Rosemarie Hethur
Annaliese Heser B.Sc.
Nora Klapp-Finke
Bernt Conradi
Melanie Segebahn
Prof. Annita Putz
Dipl.-Ing. Viktor Scheibe MBA.
Karl Heinz Hörle
Rochus Gude
Annelie Schomber
Nadin Hertrampf-Killer
Monja Weiß
Brunhild Briemer B.Sc.
Hildegunde Aumann
