Student
Univ.Prof. Änne Finke B.Sc.
Traugott Textor-Wagenknecht
Dipl.-Ing. Nuray Mude B.Sc.
Nicole Scheibe
Anneliese Wähner
Prof. Denis Segebahn MBA.
Lisbeth Hentschel
Dr. Joseph Bien
Massimo Ernst
Univ.Prof. Friedl Tlustek
Ing. Stanislaw Weihmann B.A.
Krista Putz
Hellmuth Heidrich
Dipl.-Ing. Dragica Neureuther
Anne-Rose Klapp-Jockel
Andre Schinke
Gudrun Rörricht
Milos Biggen
Toralf Jessel
Siegried Otto
Dr. Egbert Kraus
Herr Valerij Heydrich
Ingetraud Freudenberger
Carina Schaaf
Emmy Bohnbach
Asta Mielcarek-Blümel
Wenzel Drubin
Krzysztof Niemeier-Kostolzin
Karl-Dieter Speer
Franz Steuer
Hilma Berger
Joana Wähner
Jolanta Döring
Janus Jessel-Hermann
Herma Bender-Scholtz
Mike Hofmann
Eileen Geißler
Willy Hornig
Pedro Beer
Adelinde Putz
Jolanda Henck
Hans-Bernd Rose
Inna Weinhage
Marcella Sölzer
Ing. Canan Gutknecht B.A.
Prof. Maria-Luise Drub B.Sc.
Leszek Hentschel
Frau Lisbeth Girschner MBA.
Enrico Kobelt-Klemt
Torben Roskoth-Wilmsen
Polina Ladeck B.A.
Kai-Uwe Sorgatz
Gino Hövel B.Sc.
Prof. Balthasar Hecker B.Eng.
Eugen Weitzel
Arnfried Lorch B.A.
Hans-Christian Roht
Herr Klaus Peter Krause B.A.
Kai-Uwe Oderwald
Oxana Henschel
Univ.Prof. Agathe Steinberg MBA.
Dr. Otmar Linke MBA.
Herwig Jäntsch B.Sc.
Ing. Leander Weimer B.Eng.
Angelina Noack-Wagenknecht
Volker Süßebier-Staude
Univ.Prof. Simona Holzapfel MBA.
Herr Vito Roskoth B.Sc.
Frau Jane Caspar
Rocco Trub
Slobodan Seip
Olaf Juncken
Gunhild Ullmann
Wally Krein-Bien
Nikolas Hethur MBA.
Eva-Maria Mies MBA.
Elena Ditschlerin
Ivanka Berger-Kraus
Irmtraut Hahn-Walter
Lutz Pärtzelt
Frau Etta Wesack MBA.
Erika Pruschke
Anica Austermühle
Prof. Niko Atzler B.Sc.
Willfried Werner
Markus Eimer
Kay-Uwe Trommler
Aribert Kusch
Nicolaus Jessel
Ricarda Steuer
Stephen Trommler
Hulda Junk
Jessica Gotthard
Ing. Magarete Herrmann B.Eng.
Ante Hermann-Mans
Constanze Lange
Irmtraut Süßebier
Kaspar Hänel
Irmingard Reising
Heinz-Dieter Caspar-Hande
Dr. Walburga Kobelt B.Eng.
Dipl.-Ing. Salvatore Zänker MBA.
Eberhard Junitz
Gabi Meister
Dr. Timo Ernst
Dipl.-Ing. Ildiko Löffler B.A.
Lia Heydrich
Enver Börner MBA.
Marcus Langern
Gundula Scheel-Döring
Kirstin Boucsein B.Eng.
Prof. Gertraude Mangold B.Eng.
Dr. Slawomir Hande
Julian Schuchhardt-Dippel
Murat Meister
Judith Gerlach
Rosa Christoph-Sontag
Dr. Annaliese Lindner
Helma Hänel B.A.
Maximilian Juncken
Univ.Prof. Therese Hänel
Stavros Hoffmann
Ing. Leopold Hoffmann
Gina Pieper
Ellinor Kraus
Josefine Rosemann
Susanna Jäntsch
Prof. Emil Kruschwitz
Gerhart Hentschel
Jose Tlustek B.Sc.
Dr. Hans-Willi Hertrampf MBA.
Arnulf Zimmer-Seifert
Ilja Kitzmann B.A.
Prof. Sibel Wohlgemut B.Sc.
Prof. Amir Reising MBA.
Angelo Röhrdanz
Gertraud Mentzel
Dr. Rotraud Gorlitz
Viviane Fritsch-Martin
Univ.Prof. Zita Löchel B.Sc.
Vincenzo Haering
Tanja Rörricht-Haering
Natascha Eigenwillig
Dipl.-Ing. Elisabeth Wiek
Hedda Haase
Univ.Prof. Ludwig Jähn B.A.
Annelie Schomber
Ulrike Klemt B.Sc.
Monica Blümel
Hans-Christian Eimer
Telse Steuer B.Eng.
Mareike Reichmann
Heiner Pieper
Ing. Herbert Mühle B.Sc.
Oscar Fritsch
Hülya Scheibe
Univ.Prof. Romuald Hermighausen
Irmtrud Pohl
Zeynep Lehmann
Hermann-Josef Zimmer
Luigi Gude
Dr. Friedhilde Adler MBA.
Vinko Schönland B.Eng.
Siglinde Kambs-Geißler
Hans-Martin Kambs
Piotr Hande
Herr Claus Killer
Sibilla Mälzer
Anne-Katrin Seip
Fatima Röhrdanz
Prof. Jan-Peter Schmidt
Stefanie Dippel
Wieland Linke
Dr. Frithjof Weinhage MBA.
Prof. Kaspar Mosemann
Univ.Prof. Walter Barkholz
Catrin Förster B.A.
Karl-Hans Hande-Schuster
Jessica Schottin
Prof. Bela Noack
Dr. Sara Niemeier
Marion Weihmann
Kristin Kabus
Valentin Döring
Theresa Caspar
Michaele Schwital
Timm Oderwald
Ivonne Hahn
Univ.Prof. Willfried Werner B.Sc.
Cemal Klingelhöfer-Otto
Hans Dieter Junk
Hansgeorg Beier-Freudenberger
Ing. Henrike Kramer
Prof. Torsten Geisel B.Sc.
Evangelos Hartmann B.A.
Thorsten Adler B.Sc.
Univ.Prof. Liliana Drub
Magret Oderwald
Rahel Kreusel
Walther Hofmann
Adrian Fiebig-Dörschner
Dunja Trub
Frauke Staude
Ilja Hölzenbecher-van der Dussen
Ing. Leni Rosenow B.Eng.
Heimo Gorlitz B.A.
Heidelore Heinrich
Herr Dietrich Gotthard B.A.
Univ.Prof. Samira Drewes
Katharine Mohaupt-Heuser
Ulrich Schlosser
Prof. Tadeusz Mosemann B.Sc.
Ulrike Misicher MBA.
Mike Sölzer
Nadeshda Schenk
Artur Berger
Ing. Torsten Hartung B.Eng.
Alice Lachmann-Finke
Maurice Beckmann
Herr Hans-Detlef Grein Groth
Jens-Uwe Neureuther
Susan Warmer
Victoria Werner MBA.
Herrmann Holt-Lindner
Ing. Mahmoud Becker
Elisabeth Wieloch-Boucsein
Jerzy Hermighausen-Lübs
Irmi Zobel
Lothar Beckmann
Ditmar Dehmel
Georgia Trub
Ing. Alwine Scholz
Ing. Anneliese Döring
Heinz-Gerd Gorlitz B.Eng.
Antonius Käster
Dipl.-Ing. Slawomir Ebert MBA.
Margot Schäfer B.Eng.
Judith Koch-Mude
Gudula Holzapfel
Vinko Reuter
Claus Heser B.Sc.
Kirsten Heydrich
Dipl.-Ing. Bertram Gieß MBA.
Frau Danica Davids B.A.
Helmuth Wagner
Betty Steinberg
Dipl.-Ing. Ingbert Krebs B.Eng.
Evangelia Gierschner
Univ.Prof. Andrea Gieß B.Eng.
Eugenie Benthin-Ziegert
Theresia Liebelt
Kristin Jacob
Ekkehart Binner
Jakob Pohl
Antje Kambs
Brian van der Dussen
Ing. Wolf-Rüdiger Herrmann B.Sc.
Heidrun Lindner-Bolnbach
Geraldine Gutknecht
Anatoli Caspar
Josip Stey
Britta Nerger B.Eng.
Gusti Henschel
Hans-Günther Kohl B.Eng.
Guiseppe Kranz
Anatol Gude MBA.
Theresia Paffrath
Irmtrud Textor B.Eng.
Univ.Prof. Beate Eberth
Prof. Horst Mälzer B.Sc.
Ing. Anastasios Berger
Frau Mia Kaul MBA.
Alois Jungfer B.Eng.
Dipl.-Ing. Enver Drubin
Univ.Prof. Margareta Naser
Thaddäus Kraushaar-Ruppert
Dipl.-Ing. Ana Rosemann
Univ.Prof. Gislinde Rohleder
Sami Stolze-Döhn
Nadia Rosenow
Alwine Linke
Egbert Heintze
Miroslaw Holt
Kati Süßebier
Krista Scholtz
Genoveva Gieß
Kläre Kohl
Peggy Sauer
Annemarie Seidel
Hanni Wieloch
Frau Alexandra Beckmann B.A.
Gerald Hendriks
Annemie Herrmann
Dipl.-Ing. Jaroslav Henk
Silvia Lübs
Prof. Goran Sölzer MBA.
Ing. Cynthia Weihmann B.Eng.
Mirjana Drub
Ing. Lucie Karz
Kathrin Johann-Schulz
Antonios Walter
Hellmut Siering
Ing. Ortrun Weimer
Rosina Otto
Ramona Henk B.Sc.
Hannah Stiffel-Börner
Dipl.-Ing. Sergio Hövel B.Eng.
Gerta Beer
Mariele Stiffel B.Sc.
Dr. Jasmina Ruppert
Gülsen Davids-Heinz
Tilman Killer B.A.
Nikolai Mohaupt
Hans-Erich Warmer B.A.
Pius Jopich B.Eng.
Herr Jacek Budig B.Eng.
Univ.Prof. Fatima Faust B.A.
Henri Wirth
Geert Etzold
Dr. Leonhard Otto
Johan Heydrich
Dr. Hans-Peter Adolph MBA.
Dr. Leo Schlosser MBA.
Marlen Gute-Hauffer
Frau Maria Jopich
Urszula Rudolph
Ingetraut Köster
Herr Hanno Hesse
Herr David Löchel B.A.
Agnieszka Steckel
Hans-Detlef Schäfer
Galina Kraus-Hermighausen
Jorge Weitzel
Adolfine Fischer
Mesut Trommler
Franjo Junitz-Hahn
Heide-Marie Zirme
Dr. Krista Wirth
Univ.Prof. Lissi Schomber
Claus-Dieter Krause
Walburga Junk
Dipl.-Ing. Emanuel Nette
Niklas Trubin
Luitgard Weiß-Rörricht
Prof. Bianka Schacht
Bruno Henschel
Abbas Segebahn
Sibilla Mitschke-Losekann
Cemal Trapp
Kay-Uwe Trapp
Ali Schmidt-Knappe
Ing. Maria Lübs
Univ.Prof. Cynthia Löwer
Antonie Heser B.Sc.
Helmtrud Neureuther
Univ.Prof. Tilmann Pieper B.Eng.
Gunhild Gorlitz-Heinrich
Juan Briemer-Textor
Damian Jopich B.A.
Ilja Preiß
Dipl.-Ing. Freya Höfig
Dipl.-Ing. Gilbert Plath B.Sc.
Heidrun Stiebitz
Dr. Annelies Stumpf
Salih Eckbauer-Renner
Ing. Hanna Killer
Herr Ignatz Boucsein MBA.
Univ.Prof. Hedwig Krein
Univ.Prof. Cecilia Scholl MBA.
Prof. Romy Bohnbach
Frau Inken Zimmer B.Eng.
Prof. Luzie Killer B.Sc.
Petar Hamann
Daria Liebelt
Elizabeth Stahr
Linda Kruschwitz
Alwine Sager
Ole Süßebier MBA.
Univ.Prof. Norma Schleich B.Sc.
Philip Weller B.A.
Inken Hellwig-Hermann
Reza Mielcarek
Siegrid Paffrath
Michel Kuhl
Herr Benedikt Säuberlich
Wanda Vollbrecht-Reinhardt
Edeltraud Mülichen
Veronica Benthin
Josephine Nerger-Mende
Senol Heintze-Gerlach
Gundi Schwital
Erica Lachmann
Luciano Biggen
Claus Juncken
Roswita Gumprich-Butte
Joana Zimmer B.A.
Karl-Heinrich Schüler
Inna Schulz
Heiderose Bärer
Domenico Gerlach-Kramer
Edeltrud Koch
Fabienne Conradi B.Eng.
Prof. Cäcilie Staude B.A.
Karl-Friedrich Kitzmann
Gert Kensy B.A.
Ludmila Patberg
Wencke Bohlander
Rüdiger Buchholz-Kuhl
Ing. Silja Heser
Elise Trupp
Camilla Jäntsch
Dr. Guntram Kusch
Daria Stiffel
Nikolaos Ebert-Grein Groth
Traute Fröhlich
Klaus Dieter Rädel
Ramona Römer
Eleni Krause B.A.
Jolanta Kühnert
Mirko Eckbauer
Michaele Ruppert
Janette Wiek
Univ.Prof. Inga Hermighausen B.Eng.
Franca Börner
Lieselotte Nohlmans
Till Tlustek
Klaus-Günter Kreusel
Univ.Prof. Jürgen Weiß
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Sabrina Kohl
Fatma Sager
Alla Weihmann
Francesco Nerger
Danuta Kensy
Sigismund Junitz
Karlfried Karge-Wieloch
Ricardo Hesse
Miroslawa Jessel B.Sc.
Gloria Lachmann MBA.
Victoria Binner
Priska Rädel
Yvette Margraf-Wernecke
Isa Weihmann
Diana Weitzel
Eckhard Weitzel
Dr. Cengiz Säuberlich
Bernfried Roht
Maik Schottin
Emilia Römer
Frank-Michael Köhler
Dipl.-Ing. Hans-Günther Schuster
Gerolf Döring-Buchholz
Dipl.-Ing. Gerdi Wende
Hans Peter Beckmann
Tabea Rogge
Herr Sylvester Jopich B.Eng.
Mohammad Finke
Petra Wagner
Marius Klotz
Nadja Häring B.Eng.
Margareta Trub
Marina Radisch
Peer Jähn
Hannah Jacobi Jäckel
Berend Rörricht
Pirmin Reising
Martina Hartung
Toni Dehmel-Striebitz
Gitte Buchholz
Univ.Prof. Norbert Röhrdanz B.Sc.
Dr. Annekatrin Striebitz
Frau Heidelore Gehringer
Ing. Berta Oestrovsky B.Eng.
Gisa Mohaupt
Univ.Prof. Ladislaus Hande
Sandy Zimmer
Magarete Beyer B.Eng.
Inga Ruppersberger
Katerina Drubin
Pauline Bolzmann
Susanna Beyer B.Eng.
Riza Heydrich
Remo Reinhardt
Mehmet Sauer
Frau Wenke Klemt
Ottokar Fliegner
Frau Hilda Schweitzer B.Eng.
Freia Hofmann
Nurettin Börner
Steffi Schmiedt B.Sc.
Annamaria Hesse
Siegbert Seifert
Gabriel Kreusel
Dr. Jonas Anders B.Sc.
Mirjam Stumpf
Arnulf Säuberlich
Gabi Heinz
Susi Seifert
Rolf-Peter Reising B.Sc.
Reimar Müller
Ing. Cord Hermighausen B.Eng.
Nora Dehmel B.Eng.
Arnulf Ullmann
Tillmann Matthäi B.Eng.
Zita Ullmann-Heydrich
Univ.Prof. Anna-Luise Faust
Martine Conradi
Karla Conradi
Kenan Pieper
Nermin Kranz-Austermühle
Hans-Georg Scholz
Knut Gorlitz
Elzbieta Beier
Marlen Wende
Dr. Siegfried Heinz B.Eng.
Wolf-Dietrich Gotthard-Dussen van
Mira Bender
Peer Nohlmans B.Sc.
Jadwiga Gotthard
Karen Grein Groth-Dörschner
Helma Zorbach
Auguste Pruschke
Norman Fechner
Urban Geißler B.A.
Elisa Steinberg
Alicja Pergande
Jens-Uwe Schlosser
Ronny Scholtz
Ilija Lindner
Danilo Losekann
Eggert Rörricht-Schwital
Univ.Prof. Gundi Koch B.A.
Filippo Jungfer-Kabus
Rainer Scheel B.Eng.
Hanna Speer
Jochen Naser
Therese Neureuther
Dipl.-Ing. Ehrenfried Kranz MBA.
Monja Riehl
Charles Heinz
Kristian Anders B.Sc.
Anni Kraus
Prof. Gülay Birnbaum
Brian Hölzenbecher
Leonid Mühle
Natalie Bender MBA.
Severin Barkholz B.Eng.
Hülya Conradi
Magda Berger B.A.
Wolfram Klingelhöfer B.Eng.
Univ.Prof. Henryk Kostolzin
Vlado Kramer B.Eng.
Emmy Trub MBA.
Frau Camilla Kruschwitz
Hans-Jürgen Klemm
Marica Seidel B.Eng.
Josefa Stolze
Burkhardt Jäntsch B.A.
Rene Albers
Jörn Barth-Möchlichen
Ing. Valentine Scheibe
Dipl.-Ing. Christoph Schulz B.Sc.
Univ.Prof. Gretchen Sontag B.A.
Knud Trommler
Loni van der Dussen B.Sc.
Sevim Textor-Schinke
Dorothee Blümel
Irmtrud Johann
Luzie Renner B.A.
Marianna Hofmann
Prof. Marian Gerlach
Geert Rust
Marie-Theres Trupp
Ing. Rosalinde Käster MBA.
Ing. Siegmar Meyer B.A.
Serge Kraus B.Eng.
Dr. Editha Rohleder
Univ.Prof. Anatoli Ritter
Carla Ruppersberger
Ludwina Haase
Heribert Austermühle-Trupp
Waldemar Ladeck
Kornelia Dörr
Ariane Tintzmann
Jochem Röhrdanz
Rouven Bloch B.A.
Karl-August Liebelt-Köhler
Theo Trubin
Dagmar Schinke B.Sc.
Sofia Mielcarek B.A.
Rochus Gude
Karl-Friedrich Nerger
Thies Pergande
Maurizio Hartmann
Necati Koch
Univ.Prof. Markus Schottin
Dipl.-Ing. Fred Meister
Mariola Tlustek MBA.
Nancy Eckbauer
Cosimo Girschner
Ben Ullmann MBA.
Franziska Wernecke
Lisa Rädel-Bender
Cilli Lindau B.A.
Dipl.-Ing. Ismet Käster B.Eng.
Sibylla Pohl
Wilfriede Misicher
Madeleine Hermann B.Sc.
Vladimir Kruschwitz
Stephan Warmer B.Eng.
Anatolij Kroker B.Eng.
Dipl.-Ing. Baldur Oderwald B.Sc.
Dr. Wanda Dippel
Univ.Prof. Gottlieb Steuer B.A.
Dr. Muzaffer Sauer B.Eng.
Jozef Bohlander
Simon Hahn
Jonathan Schottin-Naser
Dariusz Wirth
Ing. Isabell Hartmann MBA.
Ida Buchholz B.Eng.
Aynur Bohlander
Prof. Siegbert Scheuermann B.A.
Woldemar Jacob B.A.
Wilfried Söding
Ing. Heide Winkler
Bayram Lübs B.Eng.
Univ.Prof. Hanspeter Gorlitz
Univ.Prof. Janos Rörricht MBA.
Univ.Prof. Dorit Pechel B.A.
Ryszard Lorch
Uli Oderwald-Freudenberger
Mirko Ehlert
Philipp Reising-Harloff
Rüdiger Heinrich
Prof. Juan Hamann
Marta Sontag
Anne-Rose Hettner B.A.
Jan Gumprich
Waltraut Ernst
Edit Siering
Manuel Schenk
Iris Kraushaar B.Sc.
Magdalena Löwer B.Eng.
Kathrin Beckmann-Heinz
Ing. Carolin Matthäi
Prof. Evelyn Henk
Damian auch Schlauchin B.Eng.
Ehrentraud Hänel-Dussen van
Vassilios Davids
Manuel Hering-Jäntsch
Reinhard Beckmann
Betti Adolph
Robby Weller
Prof. Liliana Klemm MBA.
Dipl.-Ing. Harm Ruppert MBA.
Natalie Werner
Siegrun Schomber
Conny Geißler-Karge
Friedrich Austermühle-Döring
Gerhart Stumpf
Ralph Schottin-Graf
Viola Ackermann
Prof. Knud Atzler B.Sc.
Luis Oderwald
Fernando Reising
Peer Grein Groth-Lange
Hans-J. Hahn-Süßebier
Nelly Buchholz
Univ.Prof. Immo Mangold
Ilias Wagner
Rudolf Weihmann
Ignaz Stoll
Judith Boucsein-Aumann
Eva Wende-Peukert
Cosimo Bender
Tomasz Niemeier
Irina Seip-Bolnbach
Mehdi Neureuther
Mirjana Schlosser B.Eng.
Dana Köster
Matteo Dehmel-Weimer
Brunhilde Heinz MBA.
Francoise Rust
Ing. Knut Christoph
Antonie Fischer-Margraf
Zbigniew Höfig B.Eng.
Dajana Trapp-Kreusel
Ingried Bähr
Univ.Prof. Reinhilde Cichorius B.A.
Hans-Gerd Preiß
Eberhardt Schäfer
Mikhail Bauer
Univ.Prof. Resi Kobelt
Frau Linda Weiß B.Eng.
Univ.Prof. Zofia Rust
Pascale Bruder
Gesine Graf
Lidwina Jockel
Gunhild Nohlmans
Miroslav Krein
Heidelinde Pruschke
Dipl.-Ing. Angelina Mälzer B.Eng.
Lieschen Röhricht MBA.
Hubertine Krein
Raissa Gehringer-Putz
Bela Naser-Löwer
Kevin Etzler
Frau Notburga Pergande
Klaus-Dieter Wende
Cosima Johann
Marika Zänker B.A.
Vesna Bähr
Rolf-Dieter Flantz B.Eng.
Karsten Wohlgemut
Philip Mangold
Dipl.-Ing. Reinhart Gotthard B.Eng.
Teresa Ladeck-Rädel
Univ.Prof. Belinda Henck
Heimo Huhn B.A.
Gregor Knappe B.Eng.
Egon Paffrath
Ignaz Schottin
Ing. Valerij Segebahn B.Eng.
Univ.Prof. Hans-Peter Schmidt MBA.
Bertold Bloch-Beckmann
Herr Johann Kostolzin
Georgia Ruppersberger
Univ.Prof. Leszek Gieß B.Eng.
Meta Eigenwillig
Friedhilde Dobes
Joanna Christoph
Ing. Jens-Peter Tschentscher
Benita Heser
Gundolf Walter
Hans-J. Tröst MBA.
Karl-Dieter Thies
Thomas Weinhold B.Eng.
Edelgard Neureuther-Vollbrecht
Helmuth Langern-Steinberg
Brunhild Karge B.A.
Eveline Birnbaum
Polina Hettner
Univ.Prof. Dorina Lange
Herr Rüdiger Ruppersberger
Agatha Sager-Geisler
Univ.Prof. Josip Hartung
Katalin Butte
David Warmer
Wally Fliegner
Ing. Konstantin Gerlach B.A.
Gundula Weitzel-Liebelt
Heike Karge
Dipl.-Ing. Daniele Geißler
Prof. Lydia Siering
Anneke Nohlmans
Karl Heinz Stiebitz
Univ.Prof. Cläre Weihmann B.A.
Brit Anders
Igor Zobel B.A.
Christos Beier
Franziska Jüttner
Dr. Marija Stiebitz
Dipl.-Ing. Margaretha Köhler B.Eng.
Dipl.-Ing. Giorgio Drubin B.Eng.
Attila Atzler
Prof. Norbert Wilms B.A.
Günter Schottin
Helmtrud Gerlach
Henning Scholl
James Kostolzin-Staude
Ignatz Gutknecht
Wulf Kusch
Margrit Förster
Eugenie Pieper
Sarina Dobes
Bernard Karge
Ing. Hansgeorg Jockel B.Eng.
Marianna Etzler
Rouven Ziegert
Karl-Jürgen Ziegert
Monja Weiß
Prof. Monica Beer MBA.
Vassilios Kramer
Friedhold Löwer-Ebert
Univ.Prof. Katharina Werner MBA.
Ing. Marten Hering
Mariana Wirth
Herr Sigismund Gieß MBA.
Jessika Thies
Robert Herrmann
Karl-August Reichmann B.Sc.
Klara Schlosser
Prof. Henriette Killer
Ira Scholz-Pohl
Sara Rogge
Daniela Siering
Dipl.-Ing. Valeria Kühnert MBA.
Flora Gotthard
Friedl Hänel
Heinz-Wilhelm Säuberlich MBA.
Dolores Conradi
Egon Ruppersberger B.Sc.
Mohamed Schottin
Slavica Vollbrecht
Cordula Wohlgemut
Prof. Friedbert Tschentscher B.Eng.
Frau Josefa Henschel B.A.
Univ.Prof. Natalie Noack MBA.
Reimund Eimer
Ilija Fischer
Frau Aleksandra Dobes B.A.
Univ.Prof. Dorle Fröhlich
Ludwina Beer
Ing. Eugenie Kreusel MBA.
Irmtraud Schönland
Catrin Ziegert-Meyer
Pero Gnatz
Evi Wilmsen MBA.
Univ.Prof. Christa-Maria Lehmann B.A.
Jasmina Heuser
Herr Andy Förster B.A.
Heinz-Josef Conradi-Klapp
Carina Killer
Hermann-Josef Loos
Sükrü Fiebig
Wulf Eberhardt
Cemal Hamann
Traudel Loos
Prof. Gunter Mentzel
Laszlo Nerger MBA.
Lorenz Kohl
Kamil Hecker-Hahn
Isidor Täsche
Ottmar Beier
Elena Wilmsen
Annemarie Häring
Prof. Heinz-Willi Lindau MBA.
Elke Haase
Dagobert Eberhardt B.A.
Herr Konstantin Neureuther B.A.
Isolde Seifert
Gert Nette
Herr Laurenz Häring
Fernando Tschentscher-Schacht
Lidwina Karz MBA.
Herr Süleyman Karge MBA.
Ralf-Peter Ebert
Ing. Annelise Nette B.Eng.
Edelbert Stey-Scholz
Ryszard Süßebier-Neureuther
Herr Falk Holzapfel
Univ.Prof. Czeslaw Tröst
Dipl.-Ing. Werner Scholl B.Eng.
Justine Lindner
Gertraude Salz-Gnatz
Corina Pergande
Benjamin Lübs
Serge Grein Groth
Kriemhild Warmer
Agathe Söding
Meral Reinhardt
Rico Cichorius
Birte Jüttner
Maja Jungfer
Univ.Prof. Harriet Heintze
Käthe Hande
Sergej Dippel
Prof. Tillmann Holt B.A.
Hanno Löffler
Mahmut Rose B.A.
Hannelore Heser-Boucsein
Prof. Frithjof Binner
Michaele Klotz B.Eng.
Dusan Dussen van
Dr. Silvio Täsche
Cordula Schmiedecke-Wilms
Willfried Kostolzin
Bertha Barkholz
Ewa Eimer-Linke
Herr Bodo Steckel
Danny auch Schlauchin
Mattias Kruschwitz
Klara Löchel-Bien
Gerold Schuchhardt B.Sc.
Ing. Christina Beckmann B.Eng.
Tino Gnatz
Univ.Prof. Philippe Thies B.Eng.
Dipl.-Ing. Tim Fritsch
Sükrü Walter B.Eng.
Stephen Bruder
Enrico Hellwig
Konstanze Mühle
Mario Bärer
Magdalena Tintzmann B.Sc.
Sinaida Adolph
Orhan Mude
Antonios Schönland
Dipl.-Ing. Jerzy Stolze B.Sc.
Nadja Geisler
Minna Wernecke-Gumprich
Hulda Neuschäfer B.A.
Adalbert Hande B.Eng.
Liliane Koch II
Dr. Hildegund Söding B.A.
Dr. Zehra Etzler
Betti Zirme B.A.
Theresa Killer
