Student
Jörn Trupp MBA.
Irma Neureuther
Dipl.-Ing. Gülten Hoffmann B.Eng.
Karla Conradi
Kreszenz Drubin
Claire Faust B.A.
Julie Mentzel
Kristian Rosemann B.Sc.
Valentin Klingelhöfer
Prof. Karl-Friedrich Geisler B.A.
Dr. Sigrun Schönland B.A.
Olav Thies
Herr Ilhan Tröst B.A.
Mijo Karge-Löchel
Julia Hecker-Krebs
Dipl.-Ing. Gerold Kusch B.Eng.
Hulda Neuschäfer B.A.
Herr Tomislav Ladeck
Minna Lindner
Diana Jessel-Geißler
Gerd Becker
Ing. Henning Drub
Hanspeter Benthin
Utz Christoph-Henck
Almuth Rosenow-Schönland
Heinz-Dieter Caspar-Hande
Prof. Natalia Junck B.Sc.
Prof. Sarina Hartmann
Kriemhild Warmer
Ulrike Hiller
Vito Roht
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Sigurd Lange-Seifert
Gerd Beckmann-Gnatz
Gerwin Rust MBA.
Reza Misicher
Matthäus Hübel
Thea Bauer
Margareta Klingelhöfer
Woldemar Heinz
Annelie Heuser
Ing. Jessica Mende
Uli Oderwald-Freudenberger
Hans-Adolf Junken
Brunhilde Mälzer-Warmer
Lutz Wagenknecht-Gotthard
Undine Scheibe-Stey
Univ.Prof. Ismet Bloch B.Eng.
Herr Hinrich Mühle
Herr Heinz-Josef Wende MBA.
Theres Beer
Muharrem Rosemann-Heidrich
Susanna Beyer B.Eng.
Ingeborg Wesack
Irmtrud Bolzmann
Mark Schottin B.Eng.
Leopold Jungfer
Ing. Nicolai Textor B.A.
Eckard Dehmel MBA.
Rose Beer
Sofia Etzler B.Eng.
Kata Atzler
Dr. Alwina Lorch MBA.
Claire Holt
Anne-Marie Drewes
Isidor Zobel-Ritter
Univ.Prof. Ingelore Schulz MBA.
Linda Kruschwitz
Ing. Christiana Seip
Francis Rohleder
Prof. Mechtild Steuer
Univ.Prof. Athanasios Drub B.Sc.
André Röhrdanz B.A.
Univ.Prof. Hans-Theo Kroker
Faruk Döhn
Ellen Weinhold
Sofie Schmiedecke
Dipl.-Ing. Tina Wagenknecht MBA.
Pius Röhrdanz
Dr. Hans Dieter Mude
Hans-Dieter Scholl
Romana Wulff
Mira Sontag
Thorben Ruppert
Frau Etta Wesack MBA.
Herr Dietrich Gotthard B.A.
Anne Zorbach
Erol Lindner
Heide-Marie Adler B.Eng.
Univ.Prof. Sahin Freudenberger B.A.
Gislinde Junken
Ing. Pavel Weller B.Eng.
Anneke Nohlmans
Claus-Dieter Krause
Elizabeth Jacob
Dr. Gerard Dörr
Sibel Hörle
Dr. Jochen Schäfer
Dipl.-Ing. Mareike Noack B.Sc.
Aloys Barkholz
Eleonore Kuhl-Koch
Stefanie Hertrampf MBA.
Ivo Börner
Herr Gunther Flantz
Ahmet Pärtzelt
Ing. Berthold Rosenow
Anna Lübs
Jozef Bohlander
Christa Säuberlich
Reni Putz-Tintzmann
Kristina Röhricht
Fatma Hesse
Miriam Juncken
Inna Weinhage
Isabell Eberth-Pechel
Wolfhard Ziegert
Angelo Schmidtke
Hans-Uwe Sager
Hanne-Lore Johann
Erol Jäntsch
Christiane Roht
Herr Filippo Rosemann B.A.
Sinaida Heinz-Gnatz
Ehrhard Pruschke
Anton Gute
Bertha Gotthard
Josef Berger
Sigmund Conradi
Ansgar Tlustek MBA.
Dorina Rust
Prof. Marko Rohleder B.A.
Irmtrud Röhrdanz
Prof. Siegbert Scheuermann B.A.
Pierre Ortmann
Dipl.-Ing. Lidija Pölitz
Luigi Hartung
Olivia Nerger B.Eng.
Herr Kurt Weitzel B.Sc.
Andres Sager
Waltraud Trapp-Pechel
Reinhard Eigenwillig
Ehrenfried Drubin-Paffrath
Dipl.-Ing. Erwin Hamann
Magdalene Fröhlich
Wiltrud Bolander
Dr. Hans-Albert Stroh
Ulrike Ackermann B.Sc.
Dr. Leo Schlosser MBA.
Liane Hermann MBA.
Dr. Lars Klemt
Dipl.-Ing. Ekrem Thanel
Univ.Prof. Guido Carsten MBA.
Fedor Roskoth B.A.
Regina Becker
Ing. Carla Ziegert B.Eng.
Dr. Semra Wagenknecht
Ing. Marlene Wirth B.Sc.
Sigrun Weinhold
Mirko Eckbauer
Ann Werner-Wilms
Adelgunde Thanel
Nathalie Lehmann
Sarah Beckmann
Mia Roskoth
Giuseppina Linke
Polina Kostolzin
Hans-Gerd Jockel
Prof. Natalija Weinhold
Frithjof Mielcarek MBA.
Andrey Lorch
Hans Jürgen Lange
Dr. Marliese Junck B.Sc.
Ing. Helmuth Bruder
Tina Radisch
Prof. Lotti Löffler
Eckart Klotz
Dörthe Mitschke-Holt
Frau Beatrix Bonbach B.A.
Elif Röhricht
Arndt Bachmann B.Eng.
Freia Hofmann
Antonius Käster
Sigurd Höfig B.Sc.
Prof. Tillmann Holt B.A.
Holger Gröttner B.Eng.
Nermin Jopich
Monica Drub-Davids
Ing. Willfried Kostolzin
Luisa Seip B.Sc.
Mirja Schottin
Clara Gehringer
Elzbieta Beier
Univ.Prof. Roger Stadelmann B.Sc.
Annamaria Scholtz
Dr. Natascha Trüb
Dr. Almut Nohlmans B.A.
Vadim Rose-Wulf
Daniel Stiebitz
Peer Grein Groth-Lange
Annika Pieper B.A.
Hans-Martin Kohl
Sükrü Walter B.Eng.
Violetta Beyer
Univ.Prof. Ilka Jäntsch B.A.
Dipl.-Ing. Jost Bruder B.Eng.
Rene Bruder B.Eng.
Lore Margraf
Univ.Prof. Klaus-Günter Renner B.A.
Annelene Reuter B.A.
Asta Hesse
Dipl.-Ing. Hans-Karl Dussen van B.A.
Sophie Pruschke
Dipl.-Ing. Reimer Werner MBA.
Ewa Eimer-Linke
Gitta Römer
Univ.Prof. Gerhardt Dowerg B.Eng.
Prof. Sylvio Gumprich
Albert Hartmann-Lachmann
Lambert Gehringer
Moritz Schönland
Ignaz Stoll
Melissa Stey
Gitte Briemer
Dipl.-Ing. Aloys Hentschel
Univ.Prof. Siegfried Karz B.Sc.
Karl-Peter Hofmann B.A.
Adina Mitschke
Cilli Siering
Mandy Loos
Hans-Jörg Trupp-Säuberlich
Dr. Filippo Eberhardt B.Eng.
Jost Briemer
Geza Bloch-Mühle
Dr. Zeki Eberth
Gertrude Ullmann
Krista Putz
Dipl.-Ing. Georgine Adolph B.Eng.
Karl-Dieter Segebahn-Köster
Matteo Dehmel-Weimer
Siegfried Kreusel
Bozena Carsten B.Sc.
Prof. Marijan Hoffmann
Carla Hecker
Sigismund Junitz
Dipl.-Ing. Jozef Hartmann
Frau Nurten Huhn
Dipl.-Ing. Hildegunde Bachmann
Ana Klapp MBA.
Univ.Prof. Gislinde Rohleder
Prof. Urs Salz
Jan Gumprich
Heinz-Otto Geisler B.Sc.
Annett Dehmel MBA.
Gerda Schleich
Frau Patricia Gorlitz B.A.
Gitta Hübel
Prof. Cathrin Misicher
Marko Trupp
Lothar Ladeck
Univ.Prof. Sebastian Sontag
Alf auch Schlauchin
Niko Butte-Rosenow
Heino Römer
Vera Scholl
Gerta Hartmann
Jana Wulf MBA.
Tabea Rogge
Hildegart Scheel B.A.
Ing. Jens-Peter Tschentscher
Hans-Willi Baum-Staude
Wolf-Dieter Eigenwillig
Frau Maria Jopich
Johann Beer
Dr. Rotraud Gorlitz
Zoltan Wilms
Romuald Hartmann
Ralf-Dieter Sauer-Hermighausen
Arif Pergande-Wagenknecht
Kristin Kaul B.Sc.
Magdalene Hering MBA.
Harriet Rohleder
Frau Monique Wesack B.Eng.
Gebhard Sorgatz
Juergen Bähr
Nelly Schlosser
Gunhild Kroker
Dr. Aysel Kohl
Herr Jerzy Drub
Dr. Leila Gunpf B.Sc.
Prof. Karen Benthin B.Eng.
Frau Dorothe Mielcarek
Anatol Hübel
Marko Renner
Antje Kambs
Aneta Kambs
Babett Süßebier B.A.
Dr. Elmar Junk
Dominik Naser B.A.
Marek Schenk B.A.
Gereon Trapp
Jörg-Peter Klemt MBA.
Catharina Jacob
Gaetano Lübs
Clemens Thanel
Hanspeter Juncken
Henriette Ladeck
Eberhardt Warmer
Marten Möchlichen
Marietta Geißler
Piotr Schaaf
Necati Lindner
Dipl.-Ing. Magrit Junck
Abbas Täsche
Kornelia Dörr
Mathilde Wähner-Bien
Irmingard Meyer MBA.
Korinna Söding
Geza Beckmann
Siegmund Hövel
Norbert Niemeier
Ricarda Steuer
Dipl.-Ing. Jose Löchel
Dipl.-Ing. Milos Klemt
Liesa Gröttner
Anna-Luise Eckbauer
Sabrina Kohl
Isa Koch
Nadeshda Hänel-Kaul
Gundula Klotz
Frau Ina Schwital B.Sc.
Reingard Jungfer
Bernhardine Bender MBA.
Claus-Peter Flantz
Herr Erich Rosenow
Gottfried Martin-Martin
Dipl.-Ing. Korinna Pärtzelt
Maxim Wilms-Meister
Dr. Salih Ullmann
Paolo Zänker MBA.
Arzu Wieloch-Röhrdanz
Ing. Pius Börner
Dipl.-Ing. Mahmoud Mühle B.Eng.
Herr Roderich Hauffer
Herr Frank Bolnbach
Grete Rudolph
Wilfriede Blümel
Prof. Concetta Mies B.Eng.
Veli Rädel
Witold Wulf
Margarethe Wagenknecht
Frau Mirjana Baum B.Sc.
Nicolas Tschentscher
Hubert Hertrampf
Ing. Ralf Sölzer B.A.
Univ.Prof. Ottfried Scholl
Ehrentraud Biggen-Kreusel
Hartmuth Vollbrecht
Univ.Prof. Francesco Schulz B.Eng.
Kathrin Johann-Schulz
Magarete Klingelhöfer-Mans
Metin Klemt
Ing. Justina Fiebig
Vladimir Patberg-Weller
Rena Rohleder
Rosa-Maria Knappe
Ernst-August Gutknecht
Pierre Köster
Ruth Wiek-Bloch
Aleksandra Stey MBA.
Charles Heinz
Ignatz Wähner-Hänel
Univ.Prof. Marjan Graf B.Sc.
Dipl.-Ing. Julian Mühle
Dipl.-Ing. Pero Ruppersberger B.Sc.
Karlfried Franke
Ing. Cilli Gertz B.A.
Ing. Aziz Hein
Gerlinde Albers-Hörle
Eberhardt Schäfer
Ole Ritter MBA.
Dina Koch
Nancy Hartmann-Schottin
Maike Bolnbach
Univ.Prof. Anatoli Ritter
Ing. Ben Lindau MBA.
Bayram Gertz-Hendriks
Gabriel Kreusel
Jochem Röhrdanz
Rainer Gunpf B.Eng.
Wiebke Gehringer
Benita Juncken
André Sauer
Heinz Krebs B.Eng.
Jaqueline Weitzel-Pölitz
Evelin Gerlach
Bastian Röhrdanz
Klara Blümel
Kay-Uwe Barkholz
Marie-Louise Wulff
Prof. Folkert Ernst MBA.
Benno Klemt
Helen Tschentscher
Viviane Fritsch-Martin
Klaus-Dieter Hecker
Kazim Junken
Dr. Margita Stiebitz
Leif Wulff
Antonios Klemm B.Sc.
Roger Gunpf-Paffrath
Prof. Felicitas Dörschner
Augustin Carsten
Natali Patberg B.A.
Egbert Jüttner
Dr. Siegfried Heinz B.Eng.
Christiane Wirth B.Eng.
Katerina Bolzmann B.Eng.
Ing. Alf Lachmann
Dariusz Wirth
Dipl.-Ing. Gerdi Wende
Angelika Rosemann
Anna Linke
Adina Kallert
Alois Römer-Becker
Univ.Prof. Heidelinde Jopich B.Sc.
Herr Mirko Häring B.Sc.
Marcella Franke B.A.
Angelica Klemt
Philipp Walter-Löffler
Zoltan Preiß B.Eng.
Ing. Giuseppe van der Dussen B.A.
Prof. Alina Ziegert
Ingolf Ruppersberger-Berger
Mareile Meister
Gabriel Werner
Felicitas Biggen
Raymond Speer
Manuel Hering-Jäntsch
Klaus-Peter Häring
Eva-Maria Zänker
Tino Gnatz
Sylvester Zirme
Silke Biggen MBA.
Elisabeth Käster
Dina Schmidtke
Horst Reising
Oxana Ortmann MBA.
Ing. Gabriela Dippel MBA.
Oda Berger
Klaus-Werner Bohlander
Univ.Prof. Friedl Peukert B.Eng.
Semra Fiebig
Andre Stroh
Mariusz Adler
Halina Segebahn
Kornelius Heintze-Baum
Annamaria Kade-Fischer
Eckehard Steckel
Stanislaw Misicher
Babette Rohleder
Othmar Weinhage MBA.
Hans-Herbert Harloff
Esther Eberth-Kensy
Enrico Reising MBA.
Hans-Hinrich Trub
Stavros Meyer
Ing. Emmy Beer
Ing. Alberto Werner
Dr. Maren Steckel B.Sc.
Ilonka Kohl
Balthasar Klemm
Dr. Halina Mälzer
Ewa Bolnbach-Textor
Annamaria Baum MBA.
Ing. Dörte Freudenberger
Reza Kusch
Mirella Löchel
Marit Mühle
Gundolf Schomber-Hellwig
Änne Möchlichen
Gundel Bien MBA.
Ing. Siglinde Speer MBA.
Roland Putz
Katharina Käster MBA.
Viviane Jopich
Fabienne Holt MBA.
Univ.Prof. Claus-Dieter Dippel B.Eng.
Andrej van der Dussen B.A.
Hans-Willi Benthin
Käthi Lübs
Joanna Weinhold-Förster
Wolfram Klingelhöfer B.Eng.
Erhard Reinhardt
Micha Röhricht B.A.
André Kroker
Dipl.-Ing. Freya Höfig
Joachim Rogge
Mariele Stiffel B.Sc.
Prof. Axel Davids MBA.
Sabine Gude
Margitta Hethur MBA.
Prof. Marika Davids B.A.
Magnus Heidrich
Oliver Biggen
Justine Kade
Piotr auch Schlauchin-Reuter
Klaus-D. Sölzer
Prof. Alois Jacob
Hans-Joachim Pohl
Ing. Irmtraud Wiek MBA.
Daria Jopich
Kuno Mälzer B.Eng.
Annelie Bloch
Brit Heidrich B.A.
Hanns Zänker B.A.
Natalja Seidel
Romy Etzold
Hanne-Lore Kraus
Alice Hesse
Dipl.-Ing. Elisabeth Wiek
Philippe Wähner
Stefani Caspar
Moritz Holzapfel
Dr. Bernfried Schomber
Vito Davids-Schwital
Tassilo Beckmann
Frau Silvana Bolzmann B.Eng.
Dipl.-Ing. Rüdiger Otto B.A.
Anneli Heintze
Hugo Keudel B.A.
Ursula Jacobi Jäckel
Hermine Wohlgemut
Ismet Kroker
Maximilian Hellwig
Margareta Lübs-Vollbrecht
Georg Misicher
Margareta Trub
Janine Söding
Ing. Heinz-Josef Hoffmann
Dorina Weinhage
Sigmund Kensy
Univ.Prof. Filiz Rudolph MBA.
Elenore Renner
Inka Meyer
Gottfried Keudel MBA.
Inna Hande
Doris Karz
Rosita Wesack B.Sc.
Mary Staude
Ryszard Süßebier-Neureuther
Thea Dippel
Jasmina Heuser
Nikolas Hövel
Maya Lindner-Zimmer
Irmi Döhn
Juergen Beier B.A.
Willy Hornig
Hans Jörg Koch
Klaas Eckbauer
Catrin Bachmann
Alexei Meister
Alexej Wagner
Helmar Klapp
Willi Birnbaum
Stilla Dobes
Yasmin Wiek
Karl-Heinz Rohleder
Ernestine Stumpf
Anatol Gude MBA.
Micha Albers-Wilms
Anne-Kathrin Geisler
Herr Dimitri Mohaupt B.A.
Heinz-Werner Buchholz
Annelie Kitzmann
Wolf-Dietrich Berger
Maxim Roht
Karl-Friedrich Kitzmann
Ernst-Otto Heß-Hartmann
Helen Hein B.A.
Marie Henk B.Sc.
Ing. Rolf Gertz
Alois Werner
Herr Süleyman Karge MBA.
Roy Holt
Domenico Gertz
Dorothea Etzler
Walburga Junk
Dipl.-Ing. Wolfram Johann B.Eng.
Alessandro Henk-Käster
Priska Wende
Else Heß MBA.
Erik Trupp MBA.
Jeannine Heinz-Tlustek
Prof. Volkmar Wirth B.Eng.
Gisela Carsten B.Sc.
Dipl.-Ing. Christoph Schulz B.Sc.
Ute Conradi-Trüb
Ing. Galina Schenk
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Stephen Bruder
Viktoria Trub-Budig
Marijan Kruschwitz
Henriette Pohl
Linda Ziegert-Junken
Dr. Hans-Detlef Lindau B.Eng.
Univ.Prof. Polina Schmidt B.Eng.
Cord Mende B.Eng.
Slavica Vollbrecht
Cornelia Radisch
Waltrud Stroh
Zdravko Kroker
Dipl.-Ing. Giorgio Drubin B.Eng.
Fadime Heidrich B.A.
Bekir Gumprich-Kabus
Yvette Dietz
Friederike Geisler
Ing. Kläre Radisch
Hans-Adolf Römer-Jäntsch
Prof. Maya Peukert
Marija Stahr
Constanze Lange
Nils Stey
Svenja Langern
Univ.Prof. Nikola Graf MBA.
Irmi Zobel
Peggy Haering B.Sc.
Gereon Weitzel
Jörgen Paffrath B.Sc.
Prof. Frithjof Binner
Gusti Wagenknecht
Melissa Dietz
Metin Peukert-Lindner
Steve Scholl-Ladeck
Bernfried Roht
Dr. Stefania Gnatz
Gunnar Hentschel
Dajana Ruppert
Cynthia Linke
Friedrich-Wilhelm Höfig-Johann
Carin Pruschke
Herr Klaus Peter Krause B.A.
Jaroslaw Pieper MBA.
Dipl.-Ing. Robert Köhler
Ing. Cosimo Steinberg
Gülten Peukert
Ing. Tina Schmiedt B.A.
Nada Hänel
Dipl.-Ing. Bodo Junk B.Eng.
Baldur Käster B.A.
Adeline Hahn
Ilias Seip
Univ.Prof. Metin Martin B.Sc.
Konstantin Knappe
Dogan Sauer
Heimo Ziegert
Orhan Mude
Hans-Herbert Eckbauer
Prof. Erwin Albers B.Sc.
Toni Scholl-Scholl
Kerstin Heidrich B.A.
Viviane Kensy
Gundolf Walter
Fernando Tschentscher-Schacht
Swen Schweitzer B.Sc.
Theda van der Dussen
Nadeschda Hande
Herr Vincenzo Liebelt
Irene Ditschlerin
Drago Täsche
Herr Gerhardt Benthin
Elzbieta Hartung
Konstantinos Lindner
Daria Stiffel
Frauke Staude
Pero Gnatz
Gunhild Ullmann
Karen Hendriks
Dr. Jost Hiller B.Sc.
Amelie Pruschke MBA.
Eileen Geißler
Univ.Prof. Gunda Höfig
Walentina Eckbauer
Dipl.-Ing. Danuta Stumpf B.Eng.
Prof. Tina Nohlmans MBA.
Jaroslaw Eckbauer
Franka Mitschke B.Sc.
Ing. Claire Hübel
Natalija Haering
Hedwig Briemer
Ana Heinz B.A.
Ing. Kunigunde Wieloch
Mariola Gnatz
Deborah Becker
Theodora Aumann
Franziska Jüttner
Tina Henschel
Michail Pechel
Prof. Heinz-Willi Hertrampf
Herr Karl-Heinrich Eberth B.Sc.
Mercedes Christoph
Dunja Dörr B.Sc.
Hartmut Hiller B.A.
Prof. John Jessel
Melanie Segebahn
Hans Georg Niemeier
Pavel Ehlert
Daniele Pieper-Käster
Cemal Trapp
Cordula Wohlgemut
Stephan Stolze-Holt
Ing. Siegrid Birnbaum
Dr. Mirko Langern MBA.
Helma Fliegner
Prof. Hans-H. Zimmer
Matthäus Eckbauer
Dr. Alois Kraushaar B.Sc.
Bayram Kostolzin-Rosenow
Dr. Rudolf Killer B.Sc.
Hartmut Zirme
Hanno Hölzenbecher B.Sc.
Elwira Pölitz B.Sc.
Heribert Steuer
Herr Jörgen Kruschwitz
Kornelius Winkler
Henrik Hein B.A.
Birgid Drewes-Seifert
Dipl.-Ing. Rouven Kallert MBA.
Dipl.-Ing. Grete Stiebitz
Almut Rogge
Abram Eckbauer B.A.
Ron Dobes-Weihmann
Ing. Louis Eckbauer B.Eng.
Gerhart Stumpf
Ralph Rogge
Zeljko Kobelt B.Eng.
Steffi Schmiedt B.Sc.
Tatjana Käster-Schüler
Lilli Atzler
Ing. Karl-Dieter Stroh
Mohammed Ritter
Kazim Hörle
Leopoldine Butte
Hans-Ulrich Dussen van
Ilija Kohl
Karl-Peter Heser
Bertold Stadelmann
Gerold Jacob
Melanie Jungfer-Preiß
Ing. Krzysztof Kambs B.Eng.
Prof. Cäcilia Gertz B.Eng.
Samir Wähner-Butte
Jessica Kohl
Alfred Tröst-Stahr
Hans-Gerd Gnatz
Ing. Eugenie Birnbaum
Pawel auch Schlauchin
Adalbert Reising
Ing. Gabriella Bähr
Nadja Schleich MBA.
Simon Hahn
Meta Eigenwillig
Sofia Hethur
Heinz-Josef Conradi-Klapp
Prof. Maria-Theresia Schaaf B.A.
Sükrü Schüler MBA.
Dr. Anika auch Schlauchin B.Sc.
Frau Zdenka Zimmer
Marica Seidel B.Eng.
Gilda Segebahn
Sevim Junitz
Edmund Siering
Sigmund Herrmann MBA.
Krystyna Holsten B.A.
Prof. Hans-Gerhard Reinhardt B.Eng.
Anastasios Kuhl
Jörg Pechel
Constanze Fechner-Dörr
Tillmann Mude
Bruno Hethur
Nicolai Gutknecht
Thies Blümel
Urban Peukert
Prof. Alida Mangold MBA.
Svenja Hartmann
Ursel Eckbauer
Prof. Cilli Wulf
Karl-Heinrich Sölzer
Gabi Gertz
Herr Alwin Sager B.A.
Traugott Hövel
Hannelore Heser-Boucsein
Babett Pruschke-Schäfer
Dr. Friedhilde Adler MBA.
Cecilia Gertz
Alwina Koch
Folkert Reinhardt B.Sc.
Prof. Stefania Briemer
Ing. Guenther Scholtz B.A.
Deborah Finke
Univ.Prof. Lara Hoffmann MBA.
Carl-Heinz Kraus
Eveline Kruschwitz B.Sc.
Jann Fröhlich
Janus Weitzel-Koch
Prof. Linda Beier
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Trudi Keudel B.A.
Evangelos Beyer
Theresa Caspar
Hardy Wende B.Sc.
Hans-Georg Scholz
Dipl.-Ing. Zenta Hornig B.Sc.
Ing. Ivonne Nerger
Kathrin Beckmann-Heinz
Herr Gordon Meister
Joerg Fritsch-Pieper
Prof. Wolf-Dieter Killer B.Sc.
Reni Römer
Herr Salih Blümel
Berit Pärtzelt
Prof. Walter Pechel
Frau Waltraud Weitzel B.A.
Janine Müller-Steckel
George Paffrath MBA.
Martha Dowerg
Bogdan Zirme
Emma Blümel
Gregor Knappe B.Eng.
Kirsten Stey B.A.
Hans D. Schenk
Dr. Gabriel Junitz
Dajana Meyer
Suse Hornich
Rotraut Bachmann
Karl-Jürgen Ziegert
Gudula Stroh-Bien
Christin Hein B.Sc.
Michail Schmidt
Frau Friederike Albers
Dr. Deborah Kade
Henry Hofmann B.Eng.
Herr Rüdiger Ruppersberger
Dusan Conradi-Rogner
Univ.Prof. Undine Junken MBA.
Herr Hans Rogge
Erhard Otto
Dr. Sonia Hornich B.Eng.
George Käster-Eberth
Gabriele Schmidt
Gisa Budig-Löwer
Egon Ruppersberger B.Sc.
Melitta Drewes
Birthe Graf
Sandro Täsche
Alfons Klingelhöfer
Erhardt Steinberg
Damian Söding
Univ.Prof. Cord Becker
Bernhardine Pechel
Ilka Lachmann
Justus Aumann
Marie-Louise Girschner
Erwin Weimer-Bohlander
Annie Schlosser
Stephen Lübs
Wiebke Caspar B.A.
Maria-Theresia Tschentscher
Bruno Siering MBA.
Edda Salz
Niko Pergande
Gitte Rohleder-Bruder
Jochem Hermighausen
Karlfried Rörricht
Mehmet Beckmann-Geisel
Denny Pechel
Gunhild Meister
Prof. Ralph Patberg
Prof. Magdalena Bohlander B.Sc.
Dina Rose
Reinhart Jopich
Vinko Schönland B.Eng.
Elise Ackermann
Stefanie Dippel
Susann Haering
Albin Schuchhardt
Theresa Killer
Hertha Gutknecht
Manuela Linke B.Eng.
Prof. Mathilde Segebahn MBA.
Edeltraut Anders-Rohleder
Lotte Kusch
Silvester Fischer
Ing. Marcel Gute
Heinz-Günter Schuster
Univ.Prof. Sybilla Gehringer
Kai-Uwe Sorgatz
Elke Haase
Dipl.-Ing. Traudel Eigenwillig
Alexej Hornig-Radisch
Tülay Henschel
Flora Etzold
Joachim Steuer
Herr Augustin Karge B.Eng.
Dr. Jurij Nohlmans B.A.
Prof. Auguste Scholz
Annelore Täsche
Dipl.-Ing. Utz Henschel MBA.
Dr. Franco Stumpf B.Eng.
Dr. Pius Säuberlich B.Sc.
Dipl.-Ing. Mariechen Bonbach
Klaus Dieter Rädel
Ekkehart Bruder
Sibylle Löchel
Ing. Fredi Löffler
Christos Ruppert B.A.
Reimar Müller
Gerdi Neureuther-Mälzer
Univ.Prof. Hugo Martin
