Student
Ing. Margarethe Martin
Hildegard Schlosser-Jacobi Jäckel
Jessica Schottin
Herr Gunther Flantz
Ismail Steinberg
Prof. Ingbert Nette
Evi Oestrovsky
Giuseppe Preiß
Evangelia Meyer-Mielcarek
Univ.Prof. Marko Schmiedecke MBA.
Irene Ditschlerin
Valentin Gute
Herr Yilmaz Vollbrecht B.Eng.
Mercedes Kobelt MBA.
Nurettin Mans-Klemt
Annelise Jungfer
Hans-Dieter Scholl
Jann Cichorius
Sergej Dippel
Siegmar Dowerg
Fernando Gieß
Dipl.-Ing. Rolf Tröst B.Sc.
Dr. Eberhardt Adolph B.Eng.
Franz Josef Herrmann
Jakob Döring
Frau Cynthia Bähr B.Sc.
Univ.Prof. Cord Becker
Marlen Wende
Univ.Prof. Linus Seifert
Philipp Killer B.A.
Ing. Christa-Maria Liebelt
Hans-Adolf Mosemann B.A.
Mariele Bolander
Pietro Klingelhöfer
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Hans-Jörg Lachmann
Frederik Bohlander
Hartmuth Koch II
Celal Seifert
Ing. Helmuth Bachmann B.Sc.
Dr. Iris auch Schlauchin
Fatima Eckbauer-Rosemann
Carl Scheibe
Prof. Axel Davids MBA.
Juan Briemer-Textor
Frau Trudel Hövel
Ing. Roy Dippel B.A.
Hildegunde Aumann
Hans Josef Lachmann
Prof. Ignaz Cichorius
Univ.Prof. Gottlieb Steuer B.A.
Emmi Adolph
Faruk Meister
Calogero Wagner
Ing. Klothilde Hörle B.A.
Abbas Täsche
Albin Schuchhardt
Klaus-Dieter van der Dussen
Hanife Thies
Milos Wiek
Dipl.-Ing. Karsten Fechner
Veronique Löwer
Woldemar Heydrich B.Eng.
Gina Schmidtke
Karin Beckmann
Christiane Wirth B.Eng.
Thomas Hentschel
Prof. Irmhild Fritsch
Ing. Wolf-Rüdiger Weihmann B.Eng.
Hedda Haase
Emanuel Kitzmann
Victoria Hiller
Carola Köhler MBA.
Fernando Schüler
Ernst-Otto Heß-Hartmann
Änne Ring MBA.
Dipl.-Ing. Miguel Bärer
Sigmar Briemer
Wieland Linke
Iwan Renner-Dussen van
Dörthe Hiller
Dipl.-Ing. Dragica Neureuther
Bernhard Rogner B.Eng.
Klaus Dieter Stoll-Wilms
Andrey Lorch
Viviane Girschner
Emilie Scholz
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Ekrem Zänker
Daniela Weimer
Dr. Wolf-Rüdiger Trüb
Univ.Prof. Paul-Heinz Heinz
Ing. Kornelius Geisel B.Sc.
Gerwin Textor
Ruth Wiek-Bloch
Ercan Oestrovsky B.Eng.
Isidor Heinrich
Stavros Schinke
Bertha Ritter-Drubin
Liesel Klapp
Ute Stroh
Aribert Schulz B.Eng.
Ortwin Scholl
Sylvio Karge
Fritz Schenk B.A.
Dogan Kranz
Annie Harloff B.A.
Hans-Georg Anders
Adelinde Zimmer
Aenne Hübel-Mühle
Ing. Heide Winkler
Veronique Oestrovsky
Horst-Peter Riehl
Herr Oliver Stahr
Hans Josef Reinhardt B.A.
Senta Warmer
Michelle Klingelhöfer B.Eng.
Prof. Götz Finke
Frau Katarina Lindner
Almut Rogge
Univ.Prof. Johan Lange
Dr. Lilija Dowerg MBA.
Dipl.-Ing. Harm Ruppert MBA.
Univ.Prof. Hiltrud Löwer
Margareta Losekann
Wladimir Rogge
Ulla Süßebier
Herr Tom Täsche
Celal Pohl
Slavko Fliegner B.Sc.
Prof. Liane Jungfer
Guiseppe Bien
Detlev Wilmsen
Diether Dussen van-Rohleder
Anne-Katrin Butte MBA.
Harm Hein
Dr. Lars Klemt
Prof. Sylvio Gumprich
Marco Buchholz
Sinaida Roskoth B.A.
Wencke Salz
Dipl.-Ing. Jerzy Stolze B.Sc.
Hermann Josef Schmiedecke
Prof. Marion Scholz
Anika Binner-Löffler
Nermin Martin
Toni Scholl-Scholl
Friedrich-Wilhelm Höfig-Johann
Prof. Magda Textor
Eva-Maria Eberth B.A.
Bruno Wagenknecht
Elli Meister
Hans-J. Tröst MBA.
Johann Liebelt MBA.
Gertrud Ditschlerin
Dipl.-Ing. Edmund Franke
Dr. Fredy Niemeier
Ekkehard Holzapfel
Dominic Schönland
Herma Bender-Scholtz
Agathe Söding
Czeslaw Jäkel-Röhrdanz
Harold Bähr B.A.
Gino Ernst
Eveline Kruschwitz B.Sc.
Burckhard Heuser
Brita Flantz-Knappe
Anatolij Kroker B.Eng.
Dipl.-Ing. Theda Weinhold B.Eng.
Herr Christopher Speer
Walfried Wohlgemut B.Eng.
Paolo Schmidt B.A.
Felicia Flantz-Lehmann
Henny Herrmann
Ditmar Briemer
Heinz-Willi Holt
Carmine Hauffer
Elli Junck
Ruth Barkholz-Koch II
Univ.Prof. Herlinde Klotz
Zdravko Niemeier
Magda Geißler
Dipl.-Ing. Corina Fischer
Burghard Davids
Dipl.-Ing. Bekir Boucsein
Gudrun Rörricht
Jonathan Gertz-Hertrampf
Prof. Tobias Börner
Laura Beier
Guenther Schmidt
Klaus-D. Sölzer
Betti Adolph
Frau Kunigunda Schaaf B.A.
Traudl Gierschner
Felicia Binner
Emma Briemer B.Eng.
Gerhart Schenk MBA.
Bruno Hethur
Nermin Kranz-Austermühle
Cynthia Langern
Polina Hettner
Dr. Trude Girschner
Dunja Trub
Ing. Rolf Gertz
Dr. Joseph Bien
Univ.Prof. Pius Kühnert
Tillmann Matthäi B.Eng.
Dierk Dörr
Niko Geißler-Wirth
Adolfine Wilms
Univ.Prof. Mahmoud Liebelt
Heiderose Bärer
Hans-Gerhard Döhn
Marliese Drubin
Prof. Frithjof Binner
Helge Schuchhardt
Dorothee Renner
Dipl.-Ing. Katarina Schmidtke
Univ.Prof. Markus Schottin
Fatma Seidel B.A.
Gundolf Walter
Ing. Helmtrud Dussen van
Konstantin Ladeck
Lukas Gierschner
Herr Baptist Klotz
Bastian Röhrdanz
Hans-Michael Rudolph
Ottmar Kruschwitz
Dr. Harald Ritter
Francesco Drub
Käthe Ernst
Dr. Semra Wagenknecht
Norman Fechner
Dipl.-Ing. Randolf Martin B.A.
Dipl.-Ing. Mathias Metz B.A.
Ing. Wenke Karge B.Sc.
Freia Hamann
Ivonne Hahn
Serge Grein Groth
Johann Rust
Herr Recep Junk B.A.
Prof. Marika Davids B.A.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Monika Mühle-Hiller
Univ.Prof. Dorit Pechel B.A.
Nermin Jopich
Klaus-Michael Mälzer
Herr David Freudenberger B.Eng.
Elzbieta Hartung
Luis Ackermann
Diethelm Hofmann
Prof. Roy Blümel
Ilija Hofmann
Tilman Hövel
Frau Ayten Pärtzelt MBA.
Dr. Trude Ziegert B.A.
Adriane Heinz-Metz
Gero Gumprich B.Sc.
Juan Noack
Linus Drub
Ing. Friedhold Hartung B.Sc.
Univ.Prof. Almut Ehlert B.Sc.
Karlfried Franke
Prof. Rudolph Linke
Janos Ehlert
Dipl.-Ing. Detlef Trommler
Ronald Börner-Hentschel
Wiebke Caspar B.A.
Alexandre Geisel
Prof. Niko Atzler B.Sc.
Vincenzo Lübs
Dora Jockel
Fanny Zänker-Hein
Harro Keudel
Anika Trüb
Univ.Prof. Anatoli Ritter
Ing. Gerold Mende
Univ.Prof. Ricardo Sorgatz B.A.
Sabrina Kohl
Alicia van der Dussen-Patberg
Peggy Rogge-Lachmann
Patric Geisler-Becker
Ing. Britt Trupp B.Eng.
Dr. Klothilde Lachmann B.A.
Hans Kraus
Univ.Prof. Jürgen Weiß
Zehra Conradi-Heinrich
Anto Kobelt-Kobelt
Engin Schenk
Wally Wähner
Mareile Tschentscher B.A.
Gabor Pechel-Junken
Marie-Louise Girschner
Stavros Hentschel B.Eng.
Dipl.-Ing. Eveline Jäkel MBA.
Dipl.-Ing. Sarina Dörr
Krzysztof Niemeier-Kostolzin
Heribert Römer-Lindau
Leokadia Karge
Nadja Schleich MBA.
Ing. Nicolai Textor B.A.
Herr André Scholl B.Sc.
Wibke Reuter
Ing. Romy Gieß
Franz-Josef Etzold
Marisa Hartmann-Kusch
Sükrü Schüler MBA.
Hasso Zahn
Alwine Wulf
Isa Weihmann
Prof. Ulla Dussen van B.Sc.
Zeki Otto
Anatolij Steinberg
Dipl.-Ing. Woldemar Benthin B.A.
Elena Pruschke
Dipl.-Ing. Waltraut Kallert
Konstanze Zänker MBA.
Antonietta Barth
Marita Henk
Ursel Eckbauer
Jörn Barth-Möchlichen
Prof. Rabea Hettner B.Eng.
Dr. Songül Tlustek MBA.
Karen Hendriks
James Nohlmans
Alma Eimer-Seip
Ole Losekann
Robert Etzold
Ing. Eugenie Birnbaum
Monika Haering
Rolf-Peter Reising B.Sc.
Ilja Kitzmann B.A.
Ing. Eleonora Holzapfel
Eugenia Sorgatz
Univ.Prof. Aysel Lindau
Kamil Hecker-Hahn
Lieschen Walter
Slobodan Seip
Ignaz Stoll
Danuta Kreusel
Ehrhard Klotz
Falk Ritter
Detlev Stadelmann
Ewald Hethur
Marta Eigenwillig-Hörle
Janin Hamann
Sieghard Stoll-Harloff
Dr. Anastasia Gude
Anneli Wernecke
Rose-Marie Schüler
Christian Jacobi Jäckel
Tino Paffrath B.Eng.
Herr Otto Vollbrecht
Ditmar Trub
Univ.Prof. Reginald Lorch
Ingbert Binner-Heidrich
Rolf Wirth
Hüseyin Stahr
Filippo Kostolzin
Marianne Killer
Heinz-Otto Wende
Carsten Jüttner B.Eng.
Dr. Denise Girschner B.Sc.
Oskar Löwer B.Eng.
Hermann-Josef Zimmer
Bettina Lachmann
Univ.Prof. Lara Hoffmann MBA.
Dr. Baldur Johann B.Eng.
Prof. Magdalena Bohlander B.Sc.
Elly Hande
Myriam Hänel
Uli Stolze MBA.
Antonius Hermighausen
Marcus Finke
Erwin Weimer-Bohlander
Pawel auch Schlauchin
Ivana Eimer
Dipl.-Ing. Henriette Schmidtke MBA.
René Säuberlich B.Eng.
Stephen Bruder
Nils Hering-Loos
Sonja Paffrath-Reichmann
Svetlana Bohlander B.Sc.
Silvia Lübs
Sandro Schmiedt
Lili Heydrich-Beyer
Dipl.-Ing. Eckhard Kallert B.Sc.
Ing. Cilli Gertz B.A.
Henri Finke-Lehmann
Hans Dieter Junk
Erol Lindner
Dipl.-Ing. Alexandros Weinhold
Ingo Heinz
Timo Huhn
Dipl.-Ing. Kriemhild Löchel
Felix Freudenberger
Lilli Atzler
Kai-Uwe Sorgatz
Claas Wirth B.Sc.
Ing. Imke Eigenwillig B.A.
Prof. Guenther Margraf B.Eng.
Adeline Hein-Metz
Kristiane Hermann
Juliane Mentzel-Ziegert
Gertrude Pieper
Leonardo Rogge
Herr Alois Thanel B.Sc.
Ann Spieß MBA.
Kathleen Hahn B.A.
Hatice Jessel
Valeri Tschentscher
Jaroslaw Seip
Susann Hartung-Schmiedecke
Theo Henschel
Greta Hermighausen
Walli Jopich
Univ.Prof. Nurten Neuschäfer MBA.
Prof. Vadim Rogner
Goran Benthin
Gotthard Christoph
Annegret Holt-Heuser
Zeki Henk B.A.
Karl-Dieter Süßebier
Jens Drubin
Luisa Seip B.Sc.
Blanka Birnbaum
Cläre Heser
Margit Klapp
Melitta Drewes
Ing. Antonius Jacobi Jäckel MBA.
Gülsen Benthin
Teresa Schönland
Eitel Ernst
Birgid Graf
Hardy Hänel B.Eng.
Ilse Nette
Wieland Hethur
Elisa Mälzer
Ing. Thomas Drewes B.A.
Wilfriede Ehlert
Clara Rust
Ing. Gottfried Hoffmann
Dr. Reimar Fiebig B.A.
Resi Margraf
Ignatz Wähner-Hänel
Prof. Cilli Wulf
Xenia Margraf
Univ.Prof. Kirstin Killer B.Eng.
Mato Patberg-Heintze
Larissa Ullmann
Dipl.-Ing. Dorina Lindau B.Sc.
Imre Sauer
Gertraud Tröst
Ing. Igor Barth
Dipl.-Ing. Marc Stroh
Ing. Cläre Dowerg
Magdalena Gude
Henriette Ladeck
Klaudia Reuter B.A.
Joerg Zimmer-Kusch
Wolf-Dieter Schmiedt
Gitta Berger
Univ.Prof. Mira Riehl
Oxana Stumpf
Prof. Sahin Kreusel
Dipl.-Ing. Stefano Wernecke B.A.
Herr Hans Peter Jacob
Dr. Eleni Heser
Pia Steuer
Helmtrud Börner B.A.
Dr. Jonas Anders B.Sc.
Sandy Fechner
Burkhardt Holt
Frau Mia Kaul MBA.
Viktor Kusch
Bruno Henschel
Caren Neureuther
René Kruschwitz
Dr. Annedore Wulff B.Sc.
Frau Myriam Walter B.Sc.
Andre Mülichen-Scholz
Ferenc Bolzmann-Girschner
Nancy Hartmann-Schottin
Jane Reuter
Damian Hentschel
Leo Roskoth B.Sc.
Eugenia Anders B.A.
Bernd-Dieter Kostolzin B.A.
Ralf-Dieter Rörricht B.Eng.
Luise Junk
Ing. Bernfried Pruschke
Ekaterina Wieloch
Herr Gordon Meister
Teresa Jessel
André Segebahn
Caroline Wende
Mareile Oderwald-Hiller
Ing. Wolf-Rüdiger Dietz B.Sc.
Univ.Prof. Nicole Höfig B.Sc.
Toralf Jessel
Nikolaos Ebert-Grein Groth
Mirko Ehlert
Frau Monique Löchel
Charlotte Hecker B.Eng.
Calogero Staude B.A.
Univ.Prof. Nadja Jacob B.Eng.
Ing. Erwin Kobelt B.A.
Alban Butte
Urban Pieper
Agathe Trommler
Georgios Knappe-Mälzer
Dr. Amir Jäkel
Ullrich Preiß
Lisbeth Mielcarek
Ing. Maike Hölzenbecher B.A.
Univ.Prof. Romana Hiller
Frau Monique Wesack B.Eng.
Hans-Detlef Matthäi
Elke Scholl MBA.
Cynthia Linke
Univ.Prof. Nikola Graf MBA.
Moritz Schönland
Valeska Geisler B.Eng.
Dieter Trupp
Dorothee Koch II
Prof. Petar Köhler
Florian Weimer
Ilija Fischer
Lisette Schönland B.Eng.
Arndt Weinhold MBA.
Annelies Heidrich
Klaudia Löffler-Zorbach
Krista Scholtz
Dipl.-Ing. Iris Stumpf MBA.
Annaliese Lübs
Dipl.-Ing. Friedrich Hiller B.Eng.
Inna Schulz
Pauline Mosemann
Ing. Hermine Warmer B.A.
Tino Gnatz
Agatha Sager-Geisler
Annemie Kade-Kuhl
Ing. Justus Binner
Prof. Alexei Krebs
Dipl.-Ing. Nuray Mude B.Sc.
Dipl.-Ing. Meral Beyer
Dipl.-Ing. Lilly Trüb
Heiko Metz
Milka Hahn
Dr. Gerd Fechner
Inge Dietz B.A.
Emilie Kallert-Zorbach
Hans Georg Gorlitz-Schäfer
Prof. Lotti Löffler
Miodrag Dörr-Austermühle
Janos Winkler B.A.
Frau Hedwig Wirth
Steven Weinhold B.A.
Dipl.-Ing. Marica Sager
Paul-Gerhard Jungfer B.Eng.
Damian Jopich B.A.
Piotr auch Schlauchin-Reuter
Frank-Peter Ullmann
Gerhild Löffler
Judith Meyer
Gerhart Beier
Reinald Zahn
Lissi Thanel MBA.
Stanislaus Davids MBA.
Univ.Prof. Melita Langern
Yasemin Hande
Anatol Adler
Rosmarie Ullmann
Aldo Förster
Inga Eberhardt
Frau Theodora Hettner B.A.
Sieglinde Stahr
Prof. Lilly Schmidtke
Aurelia Dussen van MBA.
Guiseppe Kranz
Andy Mangold
Carla Schacht
Univ.Prof. Hans D. Ullrich
Dipl.-Ing. Salvatore Zänker MBA.
Dipl.-Ing. Sieglinde Fischer B.Eng.
Marina Hofmann
Hans-Bernd Eimer-Pechel
Janine Müller-Steckel
Karl-Hans Schuchhardt-Mohaupt
Ing. Eckart Becker B.Sc.
Franziska Hörle B.Sc.
Rosalinde Trommler
Ilhan Hoffmann-Karz
Bertram Eigenwillig
Evangelia Gierschner
Mary Hofmann B.A.
Milos Pärtzelt B.Sc.
Gunter Grein Groth B.Eng.
Swen Wirth
Ilija Rosenow
Frau Christiane Zänker B.A.
Irmela Höfig B.Sc.
Anna-Lena Wohlgemut
Dipl.-Ing. Janus Roht B.Sc.
Ing. Siegmund Hertrampf MBA.
Elmar Fröhlich
Gundula Weitzel-Liebelt
Amanda Heinz
Univ.Prof. Siegrun Klingelhöfer MBA.
Hubert Weitzel
Meral Reinhardt
Tomas Tlustek
Rita Käster B.A.
Kreszentia Scheibe
Annamaria Hänel-Zimmer
Dipl.-Ing. Ryszard Buchholz
Dr. Gerard Dörr
Katrin Oestrovsky-Fechner
Raymond Römer
Klaus-Ulrich Tlustek-Förster
Dipl.-Ing. Serge Nerger
Univ.Prof. Mira Mende B.Eng.
Joanna Christoph
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Wulf Steckel-Lachmann
Jolanda Rose
Leopold Jungfer
Herr Claus Killer
Ibrahim Wirth-Schuster
Henner Schmidt
Hannelore Heser-Boucsein
Uli Wohlgemut-Stadelmann
Dolores Atzler B.A.
Herr Andy Förster B.A.
Hans-Henning Heydrich MBA.
Zbigniew Höfig B.Eng.
Ulrike Albers
Gilbert Schottin
Maja Fischer B.A.
Univ.Prof. Greta Trapp
Marco Schinke B.Eng.
Sören Trommler
Alida Tröst
Karoline Römer
Reiner Ziegert-Walter
Friedlinde Mühle B.A.
Carina Bruder
Francisco Wirth
Willi Heinz
Dr. Leopoldine Kostolzin
Benno Mohaupt
Univ.Prof. Baptist Mende MBA.
Herr Leonid Fröhlich B.Eng.
Prof. Sandy Butte
Prof. Lutz Adolph
Gerhardt Barkholz B.Eng.
Sybilla Hornig
Jiri Kambs
Horst-Günter Renner
Alice Nette
Marie-Louise Hauffer
Stilla Dobes
Ingetraut Jopich
Adelgunde Thanel
Dorina Weinhold
Dr. Hans-Heinrich Kaul B.Eng.
Kati Radisch
Sylwia Bolander
Prof. Meik Blümel B.Sc.
Zoran Oestrovsky
Ing. Marleen Hölzenbecher MBA.
Darius Trupp
Univ.Prof. Nadine Gnatz
Jolanthe Jessel
Dr. Erkan Stroh
Prof. Vesna Scholz
Theda van der Dussen
Eckhard Lindau B.A.
Susann Henk
Philip Fritsch
Ralf-Dieter Kroker
Univ.Prof. Kreszenz Wulf B.A.
Günther Mude B.A.
Tilmann Geisler
Ingmar Beckmann
Frau Jane Sauer
Matteo Krein-Müller
Inna Winkler
Josip Stey
Camilla Kühnert MBA.
Gloria Bruder B.A.
Marvin Gröttner MBA.
Dorina Dowerg
Alois Werner
Univ.Prof. Dorle Röhrdanz B.A.
Erdal Bähr
Matthäus Hübel
Anne-Marie Sontag
Jonas Löchel
Conrad Killer
Dr. Gabriel Freudenberger MBA.
Ing. Torsten Hartung B.Eng.
Dr. Natascha Trüb
Vassilios Davids
Aleksandra Stey MBA.
Hans-Bernd Trubin-Klemt
Prof. Gundula Dörr B.Sc.
Univ.Prof. Gerhardt Dowerg B.Eng.
Luis Oderwald
Sofie Fiebig-Hermighausen
Frau Danielle Junk
Prof. Joanna Kreusel
Bruni Freudenberger
Rosita Wesack B.Sc.
Zeljko Jessel
Gisela Carsten B.Sc.
Hanife Ackermann
Prof. Bela Noack
Prof. Luzie Killer B.Sc.
Dipl.-Ing. Zeljko Stumpf B.A.
Adelinde Putz
Zita Butte
Marika Zimmer
Jaroslav Benthin
Dr. Anto Wende
Cathleen Gude
Sami Mitschke
Fredo Bärer
Klaus Dieter Rädel
Josef Berger
Marion Weinhold-Pechel
Hans-Wolfgang Harloff
Patrik Ditschlerin
James Kostolzin-Staude
Alexandra Henk MBA.
Irmengard Sauer
Univ.Prof. Blanka Linke B.Eng.
Hans-Adolf Junken
Wolfhard Jäkel MBA.
Enrico Hellwig
Katherina Ruppert
Heinz-Wilhelm Werner
Berthold Haase-Trub
Bärbel auch Schlauchin
Ing. Amalia Walter
Prof. Danny Bähr B.Eng.
Brunhilde Nohlmans
Wolfhard Fiebig
Kai-Uwe Schäfer
Dipl.-Ing. Apollonia Steuer
Luisa Barkholz
Ljiljana Roht
Babett Pruschke-Schäfer
Pero Gnatz
Hansjörg Müller B.Sc.
Anika Tschentscher
Ilonka Rose
Mohammed Geißler
Andre Stroh
Margarethe Steckel
Urban Geißler B.A.
Jens-Uwe Käster
Marcel Oestrovsky
Saban Etzler B.Eng.
Alfons Klingelhöfer
Dorit Dowerg
Folker Fischer
Luka Weimer-Beyer
Jörg Haase-Röhricht
Dr. Gert Trapp MBA.
Viviane Fritsch-Martin
Sebastian Karge
Jens-Peter Bolzmann
Dierk Gunpf B.A.
Dr. Gabriela Geißler
Prof. Sibel Wohlgemut B.Sc.
Dan Scheuermann
Alf auch Schlauchin
Peggy Sauer
Dipl.-Ing. Kevin Stadelmann
Stavros Hoffmann
Elfi Herrmann MBA.
Annekatrin Trupp
Erwin Jopich
Anni Kraus
Prof. Cathrin Misicher
Gerda Kitzmann
Achim Etzold MBA.
Marija Stahr
Frau Gitte Hänel
Ing. Carolin Hoffmann
Julia Hecker-Krebs
Ing. Zofia Ernst
Elias Gierschner
Hans-Martin Drewes
Prof. Ivonne Boucsein B.Eng.
Eleni Franke
Marcel Hermighausen
Univ.Prof. Robby Vollbrecht
Stephen Tintzmann
Herr Hendrik Fritsch B.Eng.
Hans D. Schenk
Fatima Rörricht
Helena Franke
Jana Langern
Hans Kohl MBA.
Cläre Mohaupt
Miroslaw Gieß
Elfie Otto
Fatima Heser B.Eng.
Prof. Katrin Mülichen B.Eng.
Meta Harloff
Univ.Prof. Aloisia Fröhlich B.A.
Frau Hildegunde Koch II
Egbert Tschentscher
Concetta Karge
Ladislaus Killer
Benita Holzapfel-Hecker
Andre Schinke
Nada Dowerg-Jähn
Alex Ziegert
Mercedes Rädel-Drub
Ing. Alwine Scholz
Ekaterina Liebelt
Monica Blümel
Henriette Sager
Desiree Ruppert
Prof. Volkmar Heuser
Dr. Gerhart Käster
Brian Lehmann B.Eng.
Tatjana Käster-Schüler
Hardy Wende B.Sc.
Univ.Prof. Simona Holzapfel MBA.
Gerard Förster
Prof. Attila Werner B.A.
Dr. Annita Kallert
Miriam Haering
Anna-Luise Kraushaar
Prof. Sarina Hartmann
Ing. Willibert Steckel
Birgitta Schleich
Dipl.-Ing. Tina Kranz MBA.
Renata Holt-Heintze
Rosi Spieß
Herta Weitzel
Hatice Killer-Löwer
Johanne Kusch
Concetta Dehmel
Univ.Prof. Katharina Werner MBA.
Prof. Hans-H. Zimmer
Univ.Prof. Frederike Heintze
Kay-Uwe Pölitz
Natalie Neureuther
Ing. Eva Kitzmann B.A.
Karola Zorbach B.Eng.
Aribert Mitschke
Senta Wernecke B.Sc.
Tilly Pergande
Andrew Schlosser
Hans-Ulrich Plath B.A.
Reni auch Schlauchin
Anne-Kathrin Ortmann
Kunigunda Reising
Dipl.-Ing. Mirella Franke MBA.
Dipl.-Ing. Halina Bender B.A.
Univ.Prof. Luisa Scholz B.Eng.
Ilias Weiß MBA.
Univ.Prof. Nevenka Döhn B.Eng.
Judith Hering B.A.
Desiree Köster
Torben Roskoth-Wilmsen
Arnd Jacobi Jäckel
Daniela van der Dussen B.Eng.
Janine Hendriks B.A.
Dr. Mato Geisel
Christa Kabus
Arif Heinrich
Mikhail Bauer
Marie Henk B.Sc.
Ibrahim Eberth
Frau Dana Röhrdanz
Ljiljana Löwer B.A.
Frau Gertrud Jüttner
Bogdan Rosemann
Ing. Gregor Lindau
Herr Gisbert Langern
Norbert Niemeier
Hans-H. Pergande
Ing. Siegmar Meyer B.A.
Henriette Bruder
Melissa Gehringer
Prof. Karl-Heinz Ruppersberger
Stavros Vollbrecht-Geißler
Reinhold Schönland
Annegrete Pohl-Sölzer
Anett Bien-Schuster
Univ.Prof. Hardy Hartung
Jana Wulf MBA.
Daria Liebelt
Ing. Corinne Winkler
Charles Anders
Rosalinde Losekann
Natascha Eigenwillig
Ibrahim Ditschlerin
Notburga Pechel B.Eng.
Dipl.-Ing. Cristina Vogt
Dipl.-Ing. Sibylle Kensy
Rainer Hänel
Silja Eberhardt-Boucsein
Teresa Ladeck-Rädel
Rosmarie Kambs MBA.
Nikolas Heß
Marlen Gute-Hauffer
Claudius Rust-Mans
Kay-Uwe Mühle
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Hiltrud Bolander-Ziegert
Monique Ullmann MBA.
Univ.Prof. Hartwig Holsten B.Sc.
Ing. Konstanze Schmidtke MBA.
Diethelm Hübel MBA.
Fredy Bachmann B.Eng.
Alexandros Heintze
Dipl.-Ing. Bernhardine Heß
Heinz-Günter Mülichen
Heinz-Georg Hornich
Ansgar Hande
Aribert Putz
Detlev Heintze
