Student
Karl-Heinrich Karz
Annamaria Hänel-Zimmer
Herr Arnulf Kohl
Marit Söding
Roswita Sauer
Maria Hellwig
Adam Hölzenbecher-Hettner
Bogdan Löffler
Juan Klapp B.Eng.
Frieder Austermühle
Ramona Römer
Herr Ilhan Tröst B.A.
Ulrich Segebahn
Frau Mirja Jüttner B.Eng.
Dörthe Rädel
Herta Keudel
Halil Warmer B.Sc.
Erica Lachmann
Karl-Hans Weinhold-Noack
Heinz-Werner Buchholz
Gabriela Gierschner
Malte Davids
Carmelo Weinhold
Abram Vogt MBA.
Dörte Schlosser
Anni Seidel B.Eng.
Herr Hans-Detlef Grein Groth
Emilie Schmiedecke
Dr. Zenta Holsten
Rudolph Etzold
Miroslaw auch Schlauchin
Aloys Barkholz
Gregor Jungfer
Hugo Junken
Milan Weiß-Schuchhardt
Volkmar Trub
Maximilian Hellwig
Sibylle Jäntsch
Justine Lindner
Lieschen Steckel
Adina Finke
Stella Mülichen
Anett Bien-Schuster
Dr. Sonia Hornich B.Eng.
Mechtild Hering
Enrico Hornig
Dipl.-Ing. Giorgio Drubin B.Eng.
Univ.Prof. Lara Hoffmann MBA.
Lotte Kusch
Univ.Prof. Ortwin Geisler MBA.
Frieda Tintzmann-Löchel
Anneke Jähn
Heinz-Otto Linke
Inge Kabus
Andres Sager
Ing. Carmine Kroker
Elena Fiebig
Dipl.-Ing. Friedrich Hiller B.Eng.
Ulrike Schleich-Süßebier
Marleen Langern-Oderwald
Lucia Hermighausen
Georgia Bärer
Benjamin Jäntsch B.Sc.
Urszula Spieß
Univ.Prof. Sönke Schomber
Dariusz Reising-Ernst
Gina Killer
Dipl.-Ing. Mahmoud Mühle B.Eng.
Gerhart Stumpf
Univ.Prof. Eugen Karz
Olaf Weinhage
Frau Natalija Stey
Roland Putz
Dipl.-Ing. Gertraut Stolze
Univ.Prof. Alberto Steuer
Jolanta Kühnert
Herr Darko Gutknecht MBA.
Jo Reising
Kläre Beier B.A.
Hans-Adolf Mosemann B.A.
Siegrun Reinhardt
Engelbert Margraf-Trommler
Hendrik Gehringer
Cilli Heintze
Martina Keudel
Hertha Butte B.Eng.
Alessandro Henk-Käster
Veit Beckmann
Gertraude Pärtzelt MBA.
Lorenz Hande-Hamann
Steffen Cichorius B.Eng.
Elma Junken
Alicja Stiffel
Balthasar Kruschwitz B.A.
Friedlinde Schenk-Wulff
Halina Hethur
Lene Sauer
Wolf-Dieter Sölzer-Putz
Eveline Wagenknecht
Patricia Schäfer
Editha Jacob
Hans-Günther Scheuermann B.Eng.
Erhard Otto
Siegrun Christoph
Ing. Walli Bolander MBA.
Nico Hartung-Linke
Ing. Wencke Speer
Ing. Hartmuth Gute B.A.
Dr. Margita Stiebitz
Enrico Drewes
Andrei Wulff
Nuri Jopich
Agatha Sager-Geisler
Thomas Kraushaar
Ing. Jonas Schaaf
Alf auch Schlauchin
Ing. Wulf Atzler
Dr. Gudula Scheuermann
Nelly Schlosser
Tillmann Mude
Anette Anders
Romana Wulff
Ida Hendriks B.A.
Herr Imre Kohl
Sigmund Kensy
Raymond Löchel-Ziegert
Dipl.-Ing. Igor Henck B.A.
Wally Schmidt
Kenneth Kramer
Dipl.-Ing. Randolf Martin B.A.
Dipl.-Ing. Emanuel Nette
Horst-Peter Faust
Anika Sager
Michel Heß
Isa Knappe-Biggen
Alwina Koch
Hannelore Noack MBA.
Dr. Kristine Tschentscher
Karina Tschentscher-Butte
Dipl.-Ing. Hans-Günther Schuster
Ljiljana Stoll
Dietrich Adolph MBA.
Dipl.-Ing. Gabi Scholtz
Chantal Fröhlich
Sibille Kallert
Camilla Kühnert MBA.
Ing. Siegrid Birnbaum
Gundula Weitzel-Liebelt
Burkhard Fröhlich-Dussen van
Thorben Stiebitz
Horst-Peter Ritter
Anny Wähner
Marcella Franke B.A.
Mechtild Winkler
Raymond Misicher
Undine Scheibe-Stey
Dr. Rotraud Gorlitz
Francoise Zänker-Knappe
Karl-Heinrich Schüler
Prof. Karl-Friedrich Geisler B.A.
Anatolij Junk
Teresa Jessel
Stephen Reichmann
Ariane Tintzmann
Dipl.-Ing. Gilbert Plath B.Sc.
Aysel Bruder MBA.
Valerij Weller-Barkholz
Elly Hande
Ing. Steffen Röhrdanz B.A.
Pirmin Reising
Dipl.-Ing. Cristina Vogt
Svetlana Schenk-Barth
Dipl.-Ing. Jose Löchel
Tomasz Preiß
Prof. Sibel Mälzer MBA.
Nadia Thanel
Herr Salih Blümel
Prof. Liliana Klemm MBA.
Dietlinde Käster
Heide-Marie Beckmann B.Sc.
Hanspeter Juncken
Heidelore Heinrich
Edeltrud Margraf
Tino Gnatz
Hilmar Spieß
Tülay Scholtz
Ing. Natalie Oderwald B.Sc.
Annegret Atzler
Zeljko Henck
Ing. Gerold Mende
Ing. Wladimir Karz MBA.
Florian Wulff
Kristian Rosemann B.Sc.
Prof. Fabian Scholl MBA.
Tamara Bender MBA.
Janus Walter
Liesa Sauer
Kai-Uwe Oderwald
Ottilie Hartung
Siegrid Bachmann-Schaaf
Elvira Mälzer
Univ.Prof. August Gunpf B.A.
Dipl.-Ing. Elly Davids B.Sc.
Ing. Wilhelmine Adler B.Sc.
Brunhild Müller
Mathias Matthäi
Mercedes Rädel-Drub
Prof. Volkmar Wirth B.Eng.
Mahmut Rose B.A.
Rosa Heuser
Klaus-Dieter Meister
Ernst-August Gunpf
Luciano Tintzmann
Toralf Pieper
Carin Rohleder
Ryszard Süßebier-Neureuther
Frau Nuray Mangold MBA.
Ing. Christel Margraf MBA.
Nancy Eckbauer
Sebastian Karge
Magdalene Mude
Erhardt Loos
Konrad Henschel
Sylvana Hornich MBA.
Süleyman Baum
Ing. Ben Lindau MBA.
Isa Weihmann
Christin Hein B.Sc.
Ing. Rose-Marie Hölzenbecher
Prof. Janin Dietz
Prof. Ricardo Kensy
Hellmut Siering
Uli Zimmer
Annelore Riehl
Heidelore Stolze
Prof. Josefa Beier B.Sc.
Juliana Möchlichen
Marc Heintze B.A.
Stavros Hövel B.Eng.
Arnim Bärer
Frau Antonina Kitzmann
Prof. Woldemar Beier B.A.
Maria-Theresia Scholl
Evangelos Staude
Nadja Geisler
Dipl.-Ing. Wenzel Hellwig B.Sc.
Monja Mülichen
Dr. Wencke Junken B.Eng.
Ellen Haase
Prof. Raymond Söding
Heinz-Willi Jockel
Auguste Buchholz B.Sc.
Luciano Aumann
Karl-Wilhelm Meyer
Dr. Leo Schlosser MBA.
Ekkehart Bruder
Christel Mangold
Sylvie Börner
Emanuel Schinke B.Sc.
Wally Kreusel
Hans-Gerhard Staude
Dr. Aziz Adolph MBA.
Brunhild Karge B.A.
Cäcilie Schmidt
Berthold Haase-Trub
Benita Holzapfel-Hecker
Marlis Wiek
Dr. Isabell Trupp
Woldemar Jacob B.A.
Lissi Rust-Metz
Ing. Thekla Beyer B.Sc.
Walentina auch Schlauchin-Albers
Univ.Prof. Othmar Geisel
Annaliese Heser B.Sc.
Elif Wohlgemut
Dipl.-Ing. Nathalie Radisch
Rose-Marie Jäkel
Krista Gertz B.Eng.
Siegmar Mies-Baum
Herr Rüdiger Ruppersberger
Rose-Marie Schüler
Henri Wilms
Helmuth Langern-Steinberg
Elenore Hofmann-Aumann
Sophie Pruschke
Ing. Mike Stolze
Darius Klotz
Leszek Hentschel
Prof. Gerd Schenk
Univ.Prof. Traudl Mentzel B.Eng.
Prof. Tadeusz Mosemann B.Sc.
Univ.Prof. Jane Mans B.Eng.
Viviane Girschner
Prof. Petar Köhler
Pirmin Wulf B.Sc.
Alma Flantz MBA.
Reinhold Schönland
Hansjürgen Lindner
Janusz Beckmann
Margot Ullmann
Erik Wirth B.Eng.
Wally Fliegner
Albrecht Seifert B.Sc.
Georgine Schäfer
Lieschen Rörricht
Mirko Bolander
Dipl.-Ing. Charles Täsche
Hans Misicher
Teresa Schomber B.A.
Maurizio Eckbauer
Ing. Hans Peter Schenk B.A.
Dipl.-Ing. Hans-Günther Bien
Kristian Anders B.Sc.
Grit Röhricht-Rosemann
Arnulf Süßebier
Evi Heuser
Thorsten Bolzmann-Hesse
Frau Camilla Kruschwitz
Walli Jopich
Kati Süßebier
Edda Henschel
Ulrich Plath-Weihmann
Univ.Prof. Manuela Heinrich
Prof. Magdalena Bohlander B.Sc.
Dipl.-Ing. Friedhilde Hauffer B.A.
Fatma Möchlichen
Hannelore Heser-Boucsein
Kristina Scheibe
Antonino Rogge-Meyer
Adolfine Dippel
Ing. Mariechen Nerger B.Eng.
Bernhardine Pechel
Ing. Rocco Reuter
Kilian Austermühle B.A.
Peter-Michael Kostolzin
Dr. Halina Haase
Elif Röhricht
Anne-Kathrin Geisler
Fatih Ladeck-Weihmann
Edith Binner
Herma Geisler-Beckmann
Anne Zorbach
Melissa Dietz
Matteo Krein-Müller
Uta Karz
Waltrud Gumprich
Gloria Mosemann
Concetta Seifert
Ing. Magda Jäntsch
Frau Svenja Hövel B.Sc.
Reinhold Bloch
Zbigniew Schleich-Huhn
Prof. Bianka Reinhardt
Marcel Stumpf
Friedo Lorch
Ing. Carmen Birnbaum
Dipl.-Ing. Hans-Karl Dussen van B.A.
Bernd Binner-Hornich
Dr. Gerard Reichmann MBA.
René Gude B.A.
Sandy Zimmer
Dipl.-Ing. Woldemar Benthin B.A.
Ing. Hans-Joachim Ullrich
Gottlob Seip
Prof. Hans-Gerhard Reinhardt B.Eng.
Nikolas Hethur MBA.
Bekir Gumprich-Kabus
Orhan Hecker-Heuser
Grete Rudolph
Ing. Willi Warmer B.Eng.
Hans-Herbert Walter
Nevenka Hörle MBA.
Reni Cichorius
Selma Girschner B.Sc.
Dipl.-Ing. Salvatore Zänker MBA.
Prof. Tobias Börner
Michaela Kade
Karl-Dieter Seifert
Annemie Margraf
Aleksej Fröhlich
Mijo Karge-Löchel
Ernst-August Gutknecht
Aloys Ruppert
Hans D. Kusch B.Sc.
Phillip Hermann
Prof. Klaus-Ulrich Boucsein MBA.
Univ.Prof. Lydia Langern
Fredi Jäntsch
Univ.Prof. August Schleich B.A.
Susanne Etzold
Ing. Rosina Kabus MBA.
Niels Faust
Abraham Junken-Beckmann
Mandy Rädel
Maya Conradi
Dursun Atzler B.A.
Ilonka Buchholz-Köhler
Evangelia Schlosser-Boucsein
Brian Lehmann B.Eng.
Karin Beckmann
Prof. Gerda Barkholz MBA.
Nicolaus Franke-Paffrath
Sara Johann
Sinaida Heinz-Gnatz
Melitta Drewes
Abram Gunpf
Inga Eberhardt
Rolf-Dieter Kensy
Mahmut Hänel
Thaddäus Geißler
Alena Seip
Prof. Sergei Heser
Fatma Hesse
Ing. Heinz-Josef Hoffmann
Ing. Silke Kambs
Sara Heuser
Anke Hettner
Britt Bolander B.A.
Ing. Jürgen Jopich B.A.
Geert Rust
Undine Dehmel
Gülten Röhrdanz
Ercan Oestrovsky B.Eng.
Antonios Walter
Herr Osman Gerlach B.Sc.
Zita Holt
Immo Koch II
Amalie Gotthard
Dana Schäfer
Dipl.-Ing. Daniele Geißler
Dagobert Rogge
José Gröttner B.Sc.
Augusta Beer
Gertraud Jüttner
Dipl.-Ing. Danuta Stumpf B.Eng.
Helmar Klapp
Radmila Kraus-Schacht
Slawomir Ortmann
Markus Albers
Angelique Speer B.A.
Bernward Fröhlich
Lieschen Kusch-Pechel
Benita Heser
Margrit Förster
Constance Lange
Frau Helena Nette
Leonore Hettner-Staude
Univ.Prof. Amalia Köhler
Ing. Alfred Söding
Harri Heuser
Juan Schweitzer
Geert Etzold
Wanda Becker
Dipl.-Ing. Ryszard Buchholz
Anne-Katrin Höfig
Dipl.-Ing. Walburga Steckel
Gitte Römer-Kroker
Gotthard Scheuermann
Univ.Prof. Walfried Hövel
Reinhold Schäfer-Eimer
Prof. Concetta Mies B.Eng.
Marlene Heuser-Trub
Dariusz Wirth
Torben Hartung
Bernadette Löffler
Nevenka Fritsch
Ing. Lisette Kaul B.A.
Jens-Peter Graf-Schmidt
Janos Kobelt-Henck
Reni Römer
Willfried Werner
Cengiz Dehmel
Aneta Kambs
Janette Kraushaar
Tülay Gnatz-Sorgatz
Annika Wirth
Svea Hartung B.Eng.
Uta Kade
Karl-Hans Schuchhardt-Mohaupt
Susann Henk
Dr. Hildegund Söding B.A.
Friedhilde Dobes
Walter Schleich-Segebahn
Jonas Albers
Torsten Trapp B.A.
Univ.Prof. Kevin Juncken B.Eng.
Herr Dietrich Gotthard B.A.
Univ.Prof. Metin Martin B.Sc.
Vinko Schmiedecke-Hendriks
Philip Weller B.A.
Theodora Wilmsen
Anastasios Kuhl
Prof. Heinz-Willi Lindau MBA.
Timo Siering-Hübel
Dipl.-Ing. Marieluise Löchel
Franz-Xaver Carsten
Wendelin Schäfer B.Sc.
Univ.Prof. Hartwig Holsten B.Sc.
Gerolf Radisch
Dr. Philip Siering B.A.
Genoveva Gieß
Lidwina Jockel
Wilfried Söding
Marion Weinhold-Pechel
Rahel Kreusel
Ronald Henschel
Conny Zirme B.Sc.
Dörthe Roht
Ilonka Döring-Schulz
Franz-Josef Schmidtke
Ing. Erica Schottin
Fatima Röhrdanz
Giovanni Weller-Söding
Ing. Clemens Wirth
Frau Raissa Ruppersberger B.Eng.
Valentin Rädel
Jozef Bohlander
Clara Mans
Dr. Catharina Gerlach B.Eng.
Arzu Ullrich
Yasmin Reising
Nicole Scheibe
Hans-Michael Krein-Wernecke
Friedemann Klingelhöfer
Emilia Römer
Prof. Cathrin Misicher
Gino Hövel B.Sc.
Franjo Löffler B.Eng.
Prof. Marie Plath
Ing. Anneliese Döring
Mareile Meister
Urte Caspar
Dipl.-Ing. Angelina Mälzer B.Eng.
Mattias Wieloch
Adelbert Rörricht
Hildegund Ruppersberger
Univ.Prof. Michail Tintzmann B.Eng.
Irmingard Reising
Theresa Schüler
Marianna Etzler
Dorothea Finke
Birte Gröttner MBA.
Gregor Knappe B.Eng.
Univ.Prof. Dogan Mielcarek
Anneli Wernecke
Dr. Elzbieta Mitschke B.Eng.
Siegbert Henschel
Eugenia Sorgatz
Francisco Budig-Geisler
Bogdan Zirme
Swen Wirth
Univ.Prof. Frieder Döhn MBA.
Adina Mitschke
Hans-Martin Kohl
Gundel Bien MBA.
Frau Hedwig Wirth
Prof. Sofie Gröttner
Herr Baptist Klotz
Prof. Monica Beer MBA.
Dipl.-Ing. Sandro Bärer B.A.
Henryk Henk
Brita Jäkel
Mareike Lübs
Gerti Döring
Cora Reichmann B.A.
Massimo Hecker
Konstantin Rogner
Annekatrin Wilms
Danilo Hartmann
Anika Binner-Löffler
Alwin Scholl
Hellmut Nerger
Annett Dehmel MBA.
Herr Ignatz Boucsein MBA.
Dr. Stefania Gnatz
Giuseppina Linke
Hanns Stiffel
Marlen Schenk-Schuchhardt
Gisa Atzler
Maritta Boucsein
Alfredo Oestrovsky
Falk Höfig
Anatoli Caspar
Claire Holt
Dorina Rust
Andy Mangold
Evangelia Röhricht
Friedrich-Wilhelm Höfig-Johann
Adolfine Lange
Philomena Bloch
Ingeburg Radisch-Steckel
Wencke Riehl-Stoll
Nicolas Tschentscher
Hans-Gerd Jockel
Anne-Katrin Seip
Prof. Mechtild Steuer
Mina auch Schlauchin
Dipl.-Ing. Grete Stiebitz
Prof. Orhan Ladeck MBA.
Hans-Gerhard Döhn
Dana Löwer MBA.
Hartmuth Vollbrecht
Heinz-Georg Heidrich
Karlfried Sorgatz
Hans-Theo Thies
Knud Zimmer
Annaliese Gute
Gero Schomber
Dipl.-Ing. Mara Otto B.Sc.
Sabine Gude
Dr. Frieda Metz
Tobias Liebelt
Hans-Albert Preiß-Scheel
Ludwina Beer
Ria Stroh
Betty Steinberg
Magret Mans
Gisa Hendriks
Dr. Lieselotte Blümel B.A.
Matteo Dehmel-Weimer
Hans-Hinrich Trub
Dr. Marliese Junck B.Sc.
Annamaria Scholtz
Lutz Pärtzelt
Abbas Täsche
Rosmarie Ullmann
Birger Klapp
Ing. Valentina Börner
Mariele Stiffel B.Sc.
Dr. Ibrahim Dobes B.Eng.
Silja Kraus-Schuster
Traudl Röhrdanz-Spieß
Ulrike Klemt B.Sc.
Marie-Theres Jäkel
Silke Heydrich-Albers
Ing. Helen Gumprich B.Sc.
Sylke Binner B.A.
Urszula Killer B.A.
Adeline Hahn
Raimund Gieß
Reinhard Beckmann
Dogan Bolander
Catherine Cichorius
Woldemar Heinz
Almut Trupp
Radmila Linke MBA.
Dr. Stephanie Ladeck
Valeska Geisler B.Eng.
Balthasar Holsten
Univ.Prof. Linus Seifert
Flora Etzold
Dr. Ante Jüttner B.A.
Tony Henk MBA.
Hans Kostolzin-Ditschlerin
Lutz Kobelt
Ing. Iwan Wagner
Philipp Lorch
Sonia Säuberlich-Langern
Arne Ziegert B.Sc.
Ralph Schottin-Graf
Valentine Bähr B.A.
Ing. Selim Tintzmann B.A.
Univ.Prof. Polina Schmidt B.Eng.
Regina Hamann B.Sc.
Christos Ruppert B.A.
Dipl.-Ing. Rouven Kallert MBA.
Raymund Thanel
Lothar Birnbaum
Gunda Ditschlerin B.A.
Nora Dehmel B.Eng.
Katherina Bien
Gebhard Eberth B.Eng.
Ottokar Döhn
Abdul Trüb MBA.
Frau Annette Fiebig B.Eng.
Prof. Annita Wulff
Slavica Vollbrecht
Antonina Neureuther
Univ.Prof. Anna-Luise Faust
Emma Sorgatz-Radisch
Carmine Bruder-Rörricht
Hans-Hermann Haering
Eckart Cichorius
Theresia Henck
Gabriella Schuster
Thorben Ruppert
Siegbert Schweitzer
Ben Zahn
Giovanna Zobel-Liebelt
Paolo Weller-Heinrich
Dr. Deborah Kade
Frau Mirjana Baum B.Sc.
Dr. Aysel Kohl
Baptist Gröttner B.Sc.
Dorothee Blümel
Marcella Sölzer
Rosita Möchlichen-Stumpf
Dagmar Schäfer
Mirja Wähner
Reimer Scheel B.Eng.
Hans-J. Wohlgemut
Miriam Hentschel
Annie Noack
Cecilia Killer
Univ.Prof. Hinrich Eberth
Wolf Schottin-Gunpf
Bernfried Roht
Xenia Margraf
Antonius Stoll-Krebs
Mariusz Adler
Wolfhard Vogt
Ernest auch Schlauchin
Renate Mies
Berthold Rohleder
Univ.Prof. Albertine Köhler MBA.
Angelica Lorch B.Eng.
Dr. Maren Steckel B.Sc.
Mark Sauer B.A.
Karl-Heinrich Jacob
Dr. Slawomir Hande
Rosalinde Killer
Gert Naser
Annette Schwital
Hildegund Gunpf
Nikolai Rädel-Klemt
Sönke Gumprich
Traudel Wilmsen B.A.
Anika Holsten
Univ.Prof. Antoinette Wende B.A.
Marliese Drubin
Marie-Luise Rogner
Prof. Wolf-Dietrich Schweitzer MBA.
Gislinde Junken
Gordon Klemt-Rörricht
Slobodan Hauffer
Florence Schulz
Hans-Theo Kuhl
Bodo Finke
Gülten Ruppersberger-Wende
Chantal Kade
Mary Staude
Daniele Pieper-Käster
Luigi Gude
Torben Wiek-Ring
Jens-Peter Bolzmann
Dipl.-Ing. Valeria Kühnert MBA.
Cynthia Linke
Francisco Harloff
Dipl.-Ing. Liliana Hartmann
Hermine Franke B.Eng.
Joachim Höfig
Herr Konstantin Neureuther B.A.
Nadeschda Barkholz
Ada Ullmann-Hermann
Hildegunde Dörr
Dipl.-Ing. Jens-Uwe Dobes
Dipl.-Ing. Hans-Ludwig Meyer
Lotti Mosemann
Dr. Meral Thies B.Sc.
Dominik Huhn
Margita Schleich-Becker
Raissa Mitschke MBA.
Hans-Erich Staude
Dr. Dora Fischer
Annelene Steinberg
Piotr Speer-Seifert
Dr. Annita Kallert
Kathrin Beckmann-Heinz
Johann Reuter
Frau Evamaria Geißler
Irmtraud Schönland
Tanja Renner B.Sc.
Judith Boucsein-Aumann
Rosa-Maria Seifert
Margareta Klingelhöfer
Dajana Gehringer
Ole Süßebier MBA.
Ing. Chantal Schleich B.Eng.
Romy Zahn-Bien
Anto Niemeier
Prof. Augustin Stey B.A.
Florence Davids
Annegrete Pohl-Sölzer
Cemal Klingelhöfer-Otto
Waldtraut Hoffmann
Annemie Herrmann
Diedrich Scheel-Hübel
Undine Eimer
Georgios Knappe-Mälzer
Giuseppe Preiß
Attila Atzler
Dr. Natascha Trüb
Bruno Siering MBA.
Astrid Dehmel
Marica Walter
Saskia Heidrich
Gereon Jacob
Simone Harloff B.Eng.
Prof. Marko Rohleder B.A.
Vassilios Birnbaum
Berthold Jäntsch-Jessel
Irmi Täsche B.A.
Ilija Höfig
Hans-Jochen Mude
Harro Trapp B.Eng.
Dr. Ingried Sorgatz B.A.
Irmi Schacht
Claire Faust B.A.
Waltraut Gehringer
Bertha Köhler
Herr Wieslaw Trupp
Cord Haase
Anne-Kathrin Bachmann
Ingo Heinz
Margareta Losekann
Silvio Weimer
Kriemhild Warmer
Prof. Thekla Hahn
Lars Ullrich
Dipl.-Ing. Margarita Stey
Andre Metz B.A.
Priska Rädel
Dr. Rosmarie Seip
Marten Wesack
Hansjörg Roht
Fatima Weinhage-Boucsein
Günter Schottin
Gerda Mans
Kurt Thanel
Dipl.-Ing. Ingolf Krein
Tassilo Beckmann
Raymond Speer
Herr Darius Heuser
Krystyna Holsten B.A.
Leonhard Adolph
Anthony Oderwald
Univ.Prof. Antonina Becker
Irmtrud Röhrdanz
Ralf-Dieter Sauer-Hermighausen
Ayse Scheuermann-Sölzer
Cemil Schweitzer
Gilbert Schottin
Prof. Wilma Mangold
Frau Xenia Blümel
Fatma Seidel B.A.
Ing. Hatice Gehringer
Otmar Wende
Isa Rose
Zdravko Jacob
Amalia Hermann-Schäfer
Dipl.-Ing. Marisa Scholl
Katharina Speer
Monique Liebelt-Ebert
Ing. Meinhard Schweitzer
Ing. Bianka Bärer MBA.
Ing. Bernfried Pruschke
Dipl.-Ing. Geert Holsten B.Sc.
Artur Briemer
Cemal Hamann
Univ.Prof. Giovanna Siering MBA.
Dagobert Sorgatz
Theresia Liebelt
Dipl.-Ing. Detlef Schacht
Frau Edda Hornig B.Eng.
Marie-Theres Pechel
Melanie Jungfer-Preiß
Miguel Dussen van B.Eng.
Brunhilde Koch II
Prof. Tilmann Franke B.Sc.
Prof. Natalia Junck B.Sc.
Olaf Hethur
Gesine Graf
Univ.Prof. Josefine Gerlach
Frau Chantal Ebert B.Eng.
Benno Gehringer-Wohlgemut
Edelbert Stey-Scholz
Tanja Henk
Emmy Koch
Elsa Beer
Kriemhild Jähn
Theresa Caspar
Prof. Gundula Dörr B.Sc.
Ulrike Albers
Wojciech Girschner B.A.
Reingard Jungfer
Ing. Canan Gutknecht B.A.
Ing. Carolin Anders
Gisa Gerlach
Heinz-Günther Bohnbach
Dipl.-Ing. Ilse Heß B.Sc.
Kristian Meyer
Henry Austermühle
Kamil Hendriks
Arnold Oderwald
Konstanze Mohaupt
Heimo Förster
Aenne Kraus
Karlfried Zahn B.A.
Annemarie Wieloch
Gilda Tintzmann
Univ.Prof. Milka Bähr
Josef Butte-Lindau
Prof. Nikolai Gunpf
Ole Schmidtke
Wieslaw Freudenberger
Dr. Rudolf Killer B.Sc.
Elke Huhn
Adelgunde Thanel
Dr. Edit Scheibe B.A.
Maja Jungfer
Willi Birnbaum
Ing. Magarete Herrmann B.Eng.
Hartmut Hiller B.A.
Malgorzata Rohleder
Heinz-Dieter Gute
