Student
Zeljko Gieß
Slavica Vollbrecht
Maren Bachmann-Stumpf
Marianne Hecker
Ing. Carolin Faust B.A.
Ilonka Noack
Camilla Gunpf
Uwe Rosenow
Dr. Elena Kade B.Sc.
Josefa Junk
Belinda Huhn
Birger Becker
Gretchen Eimer-Wilmsen
Gloria Mosemann
Frau Gudrun Huhn B.Sc.
Univ.Prof. Francesco Schulz B.Eng.
Cemal Budig-Holt
Prof. Susanne Rose
Karlfried Müller
Cynthia Langern
Fatma Seidel B.A.
Irmtraut Mülichen B.A.
Bernfried Roht
Hans Kohl MBA.
Dragica Kreusel
Verena Gute-Trüb
Matteo Krein-Müller
Gertraude Tintzmann
Giuseppe Stahr
Dr. Janos Reising
Magret Oderwald
Elisabet Preiß-Thanel
Cordula Mangold
Erhardt Steinberg
Ladislaus Killer
Danielle Ritter B.Eng.
Mechthilde Lindau B.A.
Univ.Prof. Luisa Scholz B.Eng.
Wendelin Pärtzelt
Jörgen Lorch
Pascal Freudenberger
Hans-Dieter Scholl
Zeki Henk B.A.
Elsa Sontag
Harri Heuser
Hans-Willi Kruschwitz B.Sc.
Werner Kramer B.A.
Wilhelm Tlustek
Ruben Trubin
Alexandre Geisel
Univ.Prof. Virginia Pechel
Wilma Drub B.Eng.
Dr. Cengiz Säuberlich
Gabor Dobes
Wally Krein-Bien
Heiner Ruppersberger-Hentschel
Frau Danielle Junk
Mehmet Beckmann-Geisel
Dr. Lieselotte Blümel B.A.
Edith Binner
Trudi Radisch
Hans-Erich Preiß
Frithjof van der Dussen
Inna Ditschlerin
Herr Peter-Michael Kensy B.Sc.
Ilija Fischer
Elmar Patberg
Univ.Prof. Änne Finke B.Sc.
Frau Trudel Hövel
Swantje Heinz
Sedat Gude
Paulina Bender-Liebelt
Prof. Konrad Neuschäfer
Carina Hövel
Nicolas Tschentscher
Eugenia Anders B.A.
Ahmad Jacobi Jäckel
Nadia Wirth
Sylvester Zirme
Mark Sauer B.A.
Yusuf Schacht
Heinz-Joachim Jähn
Ing. Anika Jüttner
Hans-Martin Bärer
Ana Heinz B.A.
Ilhan Budig
Raphaela Eckbauer
Mariana Steckel
Anneliese Gnatz
Amanda Eimer B.Sc.
Denny Pechel
Harriet Rohleder
Janette Wiek
Irene Gotthard-Hoffmann
Herr Darko Gutknecht MBA.
Helge Ladeck MBA.
Elisabeth Wieloch-Boucsein
Ricarda Steuer
Rosalinde Losekann
Regine Wende B.A.
Horst-Peter Ritter
Joachim Süßebier
Dipl.-Ing. Jozef Hartmann
Milica Reichmann
Emilia Scheel
Frank-Peter Bien
Ing. Vesna Kroker B.Eng.
Hans Jörg Koch
Gunther Tschentscher
Beata Lübs
Hans-Albert Wirth
Dipl.-Ing. Kevin Stadelmann
Lia Zänker
Univ.Prof. Dolores Jäkel
Gülten Henschel
Christa Kabus
Gottlieb Kade
Reinhard Zänker
Babett Pruschke-Schäfer
Prof. Sandra Klapp
Univ.Prof. Pia Schlosser MBA.
Gertrude Bärer
Domenico Kade B.A.
Gertraude Salz-Gnatz
Dipl.-Ing. Giuseppina Etzler B.Sc.
Karl Zirme
Justina Zirme
Babett Adler
Michelle Pohl
Malte Schäfer
Herr Wilhelm Schuchhardt B.A.
Ing. Dagmar Bohnbach B.Eng.
Prof. Georgia Zirme MBA.
Herr Steven Eberhardt
Daniel Zänker
Rosa-Maria Steckel
Dr. Jurij Nohlmans B.A.
Marie Hoffmann B.Sc.
Irmgard Liebelt
Michaela Sontag-Dörr
Dorina Weinhage
Joseph Austermühle
Anni Dietz-Blümel
Istvan Scheuermann
Dipl.-Ing. Traudel Eigenwillig
Univ.Prof. Axel Dörschner B.Sc.
Ing. Meik Eberhardt B.A.
Minna Lindner
Ruth Barkholz-Koch II
Ing. Gabriela Dippel MBA.
Vitali Neureuther
Rosa-Maria Seifert
Prof. Mario Butte
Prof. Folker Trupp B.Sc.
Prof. Karen Benthin B.Eng.
Friedbert Sorgatz
Herr Julian Gotthard B.Eng.
Stjepan Schmidtke
Herr Dietrich Gotthard B.A.
Michaele Schwital
Kriemhild Jähn
Dörthe Mitschke-Holt
Hertha Caspar MBA.
Madeleine Thanel MBA.
Burkhardt Jäntsch B.A.
Änne Boucsein B.Sc.
Notburga Pechel B.Eng.
Aysel van der Dussen-Jäntsch
Stephen Bruder
Univ.Prof. Ilka Jäntsch B.A.
Hansjoachim Salz-Junk
Folker Otto
Sevim Vollbrecht B.A.
Dipl.-Ing. Cläre Geißler
Wera Schmidt
Dipl.-Ing. Denise Beier
Freia Hamann-Eckbauer
Diethelm Hofmann
Gilbert Peukert B.Eng.
Conny Metz
Franz-Peter Benthin-Reichmann
Katherina Bien
Hartmuth Eberhardt
Annika Wirth
Prof. Bertha Jacobi Jäckel MBA.
Dr. Ottfried Lachmann B.Sc.
Margarete Kabus
Prof. Mahmut Barth B.A.
Oliver Bien
Prof. Swen Benthin MBA.
Annamaria Hesse
Dipl.-Ing. Bodo Junk B.Eng.
Kordula Kambs B.Eng.
Guenther Metz
Friedlinde Schenk-Wulff
Dittmar Berger
Margita Hartung-Zänker
Imke Keudel B.Sc.
Leopold Weller-Zobel
Dominik Huhn
Frau Annita Beckmann
Dr. Gerard Reichmann MBA.
Isabel Rose
Helmut Renner
Prof. Claudia Mude
Ing. Nikolai Niemeier B.A.
Marlen Schenk-Schuchhardt
Kerstin Eigenwillig B.Eng.
Dipl.-Ing. Virginia Käster
Anica Sorgatz B.Sc.
Benita Geißler
Ing. André Christoph
Gisa Budig-Löwer
Marlis Rogge B.Sc.
Prof. Mechtild Steuer
Magdalene Mude
Brian van der Dussen
Ing. Heide Winkler
Sophie Rädel
Herr Jörgen Kruschwitz
Gislinde Müller
Gerwin Salz
Melanie Segebahn
Nadia Rosenow
Ottilie Gute
Jürgen Herrmann-Koch
Silvio Weimer
Manuel Hering-Jäntsch
Hans-Günther Kohl B.Eng.
René Rose-Krebs
Heidrun Lindner-Bolnbach
Hans-Günther Wilmsen
Guenter Kohl-Nette
Univ.Prof. Niklas Mohaupt MBA.
Rosa Tintzmann
Hans-Uwe Noack-Fröhlich
Hans-Herbert Harloff
Mareen Krebs-Hofmann
Hans-Willi Ladeck
Clemens Kabus
Angelica Klemt
Dipl.-Ing. Aloys Hentschel
Dipl.-Ing. Ingbert Krebs B.Eng.
Dr. Jeannine Schleich B.Sc.
Lina Hein-Gotthard
Guenter Lachmann
Bertold Stadelmann
Detlev Heintze
Thaddäus Geißler
Justus Lorch
Univ.Prof. Josefine Lindau
Ottilie Hartung
Dr. Annekatrin Striebitz
Klothilde Zänker
Stefanie Dippel
Hanne Junk
Calogero Seip
Frau Franziska Trupp B.Sc.
Jasmina Bolzmann
Brian Preiß
Ilija Hofmann
Henni Keudel B.Sc.
Prof. Loretta Speer MBA.
Miodrag Fliegner B.A.
Frau Swantje Heinrich B.A.
Franca Buchholz
Burckhard Caspar
Alla Rohleder
Klaus-D. Zirme-Bachmann
Mareile Oderwald-Hiller
Dipl.-Ing. Waltraut Kallert
Diethard Gude
Cengiz Dehmel
Gabriel Roskoth
Dorit Zimmer-Krein
Ing. Hanns Haase B.Eng.
Herr Sylvester Jopich B.Eng.
Roswita Atzler
Lothar Ladeck
Larissa Ullmann
Mia Paffrath-Ortmann
Alexander Hörle
Elfi Harloff
Dr. Gundolf Römer MBA.
Inga Wieloch
Hans-Martin Junk-Kuhl
Friederike Sölzer-Hentschel
Univ.Prof. Margitta Wagenknecht B.Eng.
Dr. Leo Schlosser MBA.
Jana Langern
Gislinde Wagenknecht
Dipl.-Ing. Jörgen Rose B.Eng.
Maritta Boucsein
Christel Mangold
Alwina Neureuther
Herr Götz Süßebier
Gislinde Klapp B.Sc.
Frauke Söding
Jorge Weitzel
Hedy Kobelt
Marina Wilmsen
Dipl.-Ing. Sylke Gute B.A.
Burkard Schlosser
Herr Bertold Löffler
Frau Britt Heß
Angelo Röhrdanz
Barbara Kambs
Herma Möchlichen
Margitta Hethur MBA.
Enrico Oderwald
Annett Anders MBA.
Dipl.-Ing. Emmy Börner
Univ.Prof. Hans-Theo Kroker
Univ.Prof. Kreszenz Wulf B.A.
Prof. Marius Herrmann
Yasemin Hande
Krista Junken-Hövel
Hannes Meyer
Felicia Ritter
Evelin Wagenknecht-Döhn
Agnieszka Steckel
Emil Preiß-Hecker
Hannelore Rädel-Keudel
Verena Hornich
Irmtrud Schmiedt B.Sc.
Hans-Martin Kohl
Carmelo Stiebitz
Liesa Gröttner
Evangelos Staude
Uschi Trüb
Dr. Editha Rohleder
Artur Budig
Elke Scholl MBA.
Herta Weitzel
Magarete Schomber
Uli Stolze MBA.
Univ.Prof. Annegrete Henck B.A.
Dr. Marianne Reising
Dolores auch Schlauchin
Ivanka Berger-Kraus
Janina Faust MBA.
Miroslaw Hentschel-Stoll
Fatima Weinhage-Boucsein
Kristin Kabus
Katharina Speer
Sören Liebelt
Univ.Prof. Anny Stolze
Prof. Liane Jungfer
Anny Zirme
Jan Freudenberger
Linus Mans-Röhrdanz
Timm Schönland
Gerald Albers-Jähn
Elias Langern
Klaudia Reuter B.A.
Martha Dowerg
Adalbert Ullmann
Waltrud Gumprich
Herr Alexandre Eimer B.A.
Dr. Hans-Albert Stroh
Rosi Renner-Graf
Marica Hamann-Koch
Olivia Thies B.A.
Felix Wilms
Myriam Hänel
Frau Stella Plath B.A.
Bernard Losekann
Klaudia Seidel
Univ.Prof. Beate Eberth
Olga Krein
Univ.Prof. Jeanette Girschner B.Sc.
Jakob Seifert
Herr Mario Pergande
Reinhold Schäfer-Eimer
Ing. Hans-Walter Ackermann
Felizitas Becker-Mosemann
Cornelia Römer
Attila Werner
Piotr Schaaf
Kristian Meyer
Marlen Weihmann-Trub
Dusan Conradi-Rogner
Claire Römer-Hornich
Yusuf Steinberg B.A.
Siegrid Bachmann-Schaaf
Carlo Martin B.Eng.
Svea Krebs-Scheibe
Frau Gilda Ebert
Irmi Koch
Gina Wulff B.A.
Hans-Hinrich Trub
Sergei Ritter
Ing. Alwine Scholz
Luise Gertz-Fliegner
Pirmin Boucsein MBA.
Ludwina Hölzenbecher
Hans Josef Thanel
Louise Jessel
Ing. Hans-Wolfgang Weitzel B.Sc.
Gottfried Keudel MBA.
Ekrem Hornich
Stavros Vollbrecht-Geißler
Tibor Briemer
Univ.Prof. Halina Hamann MBA.
Walther Hofmann
Angelo Schmidtke
Prof. Friedo Reuter
Hans-Jörg Lachmann
Mariele Peukert
Frau Anny Niemeier B.A.
Eckehard Wernecke
Robert Weimer
Philipp Ernst
Reimar Klemm MBA.
Bogdan Löffler
Amanda Fechner-Weinhage
Dipl.-Ing. Katarina Schmidtke
Serge Kraus B.Eng.
Frau Caren Schmidt MBA.
Burkhard Holt-Schleich
Geza Hertrampf B.A.
Dipl.-Ing. Claas Ladeck
Roswita Döhn
Zenta Mende
Prof. Stefania Briemer
Antonietta Lindner MBA.
Dipl.-Ing. Sarina Dörr
Wally Kreusel
Dipl.-Ing. Jiri Wesack B.A.
Gunter Beyer
Karl-Otto Putz
Prof. Sepp Blümel
Zeljko Baum
Leonardo Trub B.A.
Linus Drub
Diether Vogt B.A.
Amelie Pruschke MBA.
Jörg-Peter Christoph
Dieter Trupp
Ing. Anton Gotthard MBA.
Klaus-D. Dippel MBA.
Ewald Dussen van
Stilla Klotz
Dagmar Schinke B.Sc.
Lucia Hermighausen
Herr Osman Gerlach B.Sc.
Bodo Finke
Annemarie Seidel
Celal Seifert
Peer Jähn
Baldur Knappe
Dr. Jane Kostolzin
Klaus-Günter Kreusel
Abbas Täsche
Ing. Antonius Jacobi Jäckel MBA.
Horst-Günter Zirme
Elise Ackermann
Gisa Hendriks
Carl Schmiedt
Felix Müller
Karoline Römer
Hertha Butte B.Eng.
Hartmut Biggen-Trapp
Tino Metz
Micha Schottin
Herr Valerij Heydrich
Janet Kade
Adina Mitschke
Dr. Mato Geisel
Ing. Käthe Plath B.Eng.
Ing. Ernest Rogge B.A.
Astrid Dehmel
Bozena Schuchhardt
Rüdiger Buchholz-Kuhl
Tanja Rörricht-Haering
Carin Rohleder
Ismail Koch
Emilie Schmiedecke
Friedo Lorch
Benno Hofmann
Malgorzata Tlustek
Henrik Hein B.A.
Wiebke Gehringer
Marianna Etzler
Ivan Plath
Riza Heydrich
Frau Jane Caspar
Tim Sorgatz
Reimar Kabus
Jörn Barth-Möchlichen
Iwan Schleich
Kay-Uwe Jähn-Schwital
Sebastian Aumann
Ing. Karl-Dieter Stroh
Ekaterina Schmiedecke
Dipl.-Ing. Hanns Killer B.Sc.
Anatoli Anders
Prof. Luzie Killer B.Sc.
Ansgar Möchlichen-Höfig
Reinhard Beer-Etzler
Dipl.-Ing. Gabriel Roskoth
Gundula Vollbrecht
Urszula Fliegner
Dan Scheuermann
Hilde Walter
Bayram Meister
Maya Haering-Becker
Ann Werner-Wilms
Hans Dieter Junk
Prof. Gertraude Wohlgemut B.Eng.
Ingried Ullrich
Geert Etzold
Kenneth Kramer
Univ.Prof. Diedrich Köhler B.A.
Louis Kostolzin
Eberhard Pechel
Dr. Alois Kraushaar B.Sc.
Dipl.-Ing. Meral Beyer
Helmtrud Gerlach
Danny auch Schlauchin
Prof. Niels Barkholz
Herr Roderich Hauffer
Gusti Schleich
Ing. Magda Jäntsch
Janette Kraushaar
Ferenc Pergande B.Eng.
Paolo Klotz-Hein
Herr Arnulf Kohl
Leokadia Oestrovsky
Luisa Barkholz
Dr. Aysel Kohl
Svetlana Bohlander B.Sc.
Karl-Heinrich Jacob
Heinz-Günter Mülichen
Heinz-Gerd Söding
Inka Trub
Enrico Hornig
Dr. Elwira Hiller
Irmgard Pieper B.Eng.
Alwine Wulf
Niklas Trubin
Renato Bolnbach
Ali Briemer-Klemm
Celal Hettner MBA.
Dr. Hans-Herbert Losekann B.A.
Miroslawa Rose
Helge Pohl
Hansgeorg Beier-Freudenberger
Elwira Wirth
Dr. Daniel Trommler
Hulda Seidel-Carsten
Herma Geisler-Beckmann
Mareile Meister
Elena Fiebig
Claus Juncken
Univ.Prof. Sybilla Gehringer
Kunigunda Reising
Univ.Prof. Florentine Schomber B.Eng.
Yusuf Seifert
Hans-Christian Eimer
Horst-Peter Thies
Ing. Arthur Schwital B.Eng.
Krista Scholtz
Frau Lisbeth Girschner MBA.
Univ.Prof. Ioannis Lübs B.Eng.
Fernando Reising
Angelica Lindau-Heß
Gudrun Reichmann MBA.
Stanislav Reuter
Ing. Henning Drub
Hans-J. Wohlgemut
Traute Fröhlich
Ludwig Zimmer MBA.
Roman Bloch
Vlado Lindner
Francis Rohleder
Petar Bauer
Carolina Ditschlerin
Sybilla Eigenwillig
Ing. Roman Tröst
Niko Geißler-Wirth
Univ.Prof. Frederike Heintze
Domenico Gerlach-Kramer
Lars Walter
Ing. Edeltraud Zirme
Hellmut Siering
Imre Mülichen
Arnim Bärer
Centa Bohlander-Stiebitz
Kristiane Steckel
Elizabeth Budig
Cordula Schmiedecke-Wilms
Herr Mario Thanel
Prof. Jan-Peter Schmidt
Erich Klotz B.Sc.
Univ.Prof. Galina Kobelt B.Eng.
Martha auch Schlauchin
Gordon Lehmann
Friedrich-Wilhelm Stahr-Henck
Aziz Hornich
Frau Bruni Krein B.A.
Herr Karl-Heinrich Eberth B.Sc.
Univ.Prof. Polina Schmidt B.Eng.
Gotthard Christoph
Günther Bähr
Heinrich Kramer
Murat Linke
Alexej Wagner
Reni Rosemann MBA.
Hans-Herbert Flantz
Ottokar Berger
Herr Karl Dippel B.A.
Sofie Reichmann
Ljiljana Roht
Margareta Klingelhöfer
Valeri Tschentscher
Marian Vollbrecht MBA.
Phillip Salz B.Sc.
Karl-Wilhelm Weiß
Ing. Isolde Rosenow
Dipl.-Ing. Woldemar Benthin B.A.
Sonja Löchel
Andree Budig B.Eng.
Sylke Binner B.A.
Ljiljana Ruppert
Univ.Prof. Sahin Freudenberger B.A.
Slavica Ernst-Schmidtke
Eleni Franke
Univ.Prof. Karin Beier
Annaliese Heser B.Sc.
Lisbeth Karge
Frau Angelina Martin
Univ.Prof. Tomasz Atzler B.Sc.
Fernando Schüler
Univ.Prof. Karen Etzold B.A.
Prof. Ingeborg Noack
Sevim Junitz
Prof. Cäcilia Gertz B.Eng.
Irmela Höfig B.Sc.
Cordula Hornig
Melitta Fliegner
Friedhilde Wernecke
Ing. Nelli Hornig
Dr. Helma Kohl B.A.
Arndt Wernecke-Gertz
Annelise Schwital
Thekla Schäfer
Hans Misicher
Heinz-Walter Roskoth-Hertrampf
Marika Zänker B.A.
Univ.Prof. Eugen Karz
Andre Schinke
Hildegunde Dörr
Sina Spieß
Heinz-Otto Geisler B.Sc.
Zita Wieloch-Scholtz
Karl-Friedrich Nerger
Christopher Gertz-Kade
Miroslav Paffrath
Nadeshda Hänel-Kaul
Dr. Miguel Jungfer
Fritz Nerger
Dr. Senol Beier MBA.
Franziska Beer
Zlatko Lehmann
Maria Mans B.Eng.
Fabian Lübs
Univ.Prof. Charlotte Lindner MBA.
Evangelia Stumpf-Ruppersberger
Hans-Dietrich Fliegner
Arif Heinrich
Nora Dehmel B.Eng.
Robert Herrmann
Frau Wenke Klemt
Ullrich Preiß
Helen Tschentscher
Otmar Wende
Dorina Weinhold
Luka Zorbach
Tamara Bender MBA.
Brit Anders
Dr. Isabell Trupp
Arzu Stiffel-Drubin
Johannes Schuchhardt-Junitz
Monika Haering
Josef Butte-Lindau
Manuela Sauer
Dominic Martin
Arnold Oderwald
Marco Kostolzin-Bruder
Ilka Zimmer-Wesack
Erhard Otto
Antonie Fischer-Margraf
Lilli Meyer-Reuter
Univ.Prof. Gottlieb Steuer B.A.
Prof. Linus Kambs B.A.
Gottfried Martin-Martin
Prof. Branko Weller MBA.
Siegbert Bachmann-Hövel
Univ.Prof. Heinrich Reinhardt MBA.
Marc Henck B.Eng.
Prof. Lutz Adolph
Prof. Alexei Krebs
Frau Ina Dietz MBA.
Aziz Bähr B.A.
Niklas Schleich
Prof. Clarissa Barth
Georgia Liebelt
Cordula Wohlgemut
Prof. Augustin Stey B.A.
Marianna Geisler
Irmtraud Freudenberger
Konstanze Mohaupt
Prof. Rosa Kruschwitz B.Sc.
Hajo Jäntsch
Reinhold Bloch
Hagen Weimer
Prof. Hans-Gerhard Reinhardt B.Eng.
Patric Heinrich
Hans-Gerhard Döhn
Natalja Seidel
Krista Putz
Dipl.-Ing. Fred Meister
Ellen Vogt
Dipl.-Ing. Gertraut Stolze
Veit Beckmann
Sieghard Stoll-Harloff
Benjamin Stoll
Marianna Karge
Heide Schottin
Elenore Renner
Faruk Döhn
Karl-Dieter Speer
Madlen Geißler
Ing. Karl-Georg Dobes
Hüseyin Johann
Wolf-Dieter Schmiedt
Pawel Schlosser
Osman Salz MBA.
Ida Weihmann
Univ.Prof. Athanasios Drub B.Sc.
Dr. Gabriela Geißler
Victoria Binner
Arzu Kuhl
Alfredo Bolzmann B.A.
Erika Pruschke
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Tillmann Matthäi B.Eng.
Lars Kallert
Frau Aleksandra Dobes B.A.
Wilhelm Metz
Dr. Peer Schwital MBA.
Gerd Wiek MBA.
Ing. Karl-Peter Weinhold B.Sc.
Edelgard Gnatz-Dobes
Constantin Ziegert
Olaf Weinhage
Wilfriede Misicher
Julie Schweitzer
Catrin Weller
Univ.Prof. Anika Pärtzelt MBA.
Prof. Catherine Knappe MBA.
Julia Graf
Frau Zdenka Zimmer
Univ.Prof. Michaele Heser MBA.
Marina Hofmann
Matthias Hendriks-Koch
Kasimir Lindau
Herrmann Holt-Lindner
Dr. Reza Hering B.Sc.
Kaspar Aumann
Karl Meister B.Eng.
Mirko Bolander
Hilda Metz-Dehmel
Dörte Warmer
Ekkehart Niemeier
Mia Roskoth
Faruk Birnbaum
Kristin Niemeier
Arne Dobes
Henriette Pohl
Folkert Schwital
Mohamed Schottin
Walfried Klotz-Klotz
Niko Butte-Rosenow
Reingard Klingelhöfer
Arnulf Zimmer-Seifert
Wilfriede Ehlert
Catrin Caspar
Jessica Schottin
Hubert Weitzel
Carin Huhn
Dörte Schlosser
Dr. Philip Siering B.A.
Janus Oderwald-auch Schlauchin
Prof. Volkmar Wirth B.Eng.
Sigmund Mosemann
Mechthild Finke
Gertrude Kostolzin MBA.
Thies Pergande
Dipl.-Ing. Albrecht Metz
Tadeusz Weller
Dogan Kranz
Frank-Peter Weimer
Hildegunde Aumann
Abdul Klapp-Hethur
Prof. Alina Ziegert
Marko Trupp
Nadin Radisch
Klaus-Dieter Wende
Klaus-D. Segebahn
Tibor Bolzmann MBA.
Slawomir Drub-Gute
Micha Albers-Wilms
Süleyman Wende
Prof. Hans-Hinrich Schmidt
Käthe Ernst
Emma Sauer B.Eng.
Samir Wähner-Butte
Reingard Jungfer
Edda Junck-Eimer
Gebhard Sauer
Ellen Hahn-Spieß
Elvira Cichorius
Leokadia Putz
Gunhild Holt-Rust
Hajo Ziegert-Noack
Slavko Weitzel B.Sc.
Siegrid Hande
Adelheid Schinke
Herr Jens Becker MBA.
Dipl.-Ing. Till Schenk
Marie-Therese Birnbaum
Siegrun Christoph
Malte Davids
Prof. Lieschen Mälzer B.Sc.
Susan Riehl B.Sc.
Prof. Alida Mangold MBA.
Dr. Jeanette Schuchhardt B.Eng.
Swetlana Binner
Jolanda Henck
Stavros Hoffmann
Reimund Kraushaar
René Matthäi
Tilman Killer B.A.
Dipl.-Ing. Franz Reising
Gudrun Geisler
Elma Junken
Ing. Augustin Budig B.Eng.
Prof. Aziz Stumpf
Pawel Peukert-Rörricht
Bernt Huhn
Ludmila Karge B.A.
Sigmund Conradi
Athanasios Jacobi Jäckel
Hedy Rudolph MBA.
Dr. Irmtraut Gnatz B.Eng.
Wiltrud Wilmsen-Graf
Henryk Henk
Ivana Wilmsen-Gumprich
Kriemhild Gude
Sofia Roht MBA.
Henni Ullmann MBA.
Burckhard Mende
Alexej Röhrdanz
Jolanta Döring
Dr. Carsten Steinberg
Elizabeth Vollbrecht
Gernot Hornich B.A.
Miriam Haering
Univ.Prof. Amalie Warmer B.Eng.
Eduard Ruppersberger
Klothilde Blümel B.A.
Harold Scheibe
Daniela Wernecke-Hölzenbecher
Dr. Jochen Schäfer
Mechtild Hering
Ricarda Fröhlich B.A.
Pawel auch Schlauchin
Patrik Ditschlerin
Antje Drub
Rosa Rosenow B.Eng.
Gottlob Römer
Arnd Jacobi Jäckel
Robin Sölzer
Anny Wähner
Virginia Textor
Frau Elfi Winkler MBA.
Rainer Scheel B.Eng.
Univ.Prof. Henryk Kostolzin
Herr Hermann-Josef Hauffer
Andre Stroh
Agatha Sager-Geisler
Abram Gunpf
Astrid Nerger-Tröst
Dr. Tony Ditschlerin
Senta Schmiedecke
Adalbert Reising
Severin Barkholz B.Eng.
Prof. Katrin Mülichen B.Eng.
Dr. Danica Scheuermann B.Sc.
Lutz Röhricht B.A.
Susanna Schaaf
Adam Seifert
Cord Tröst
Ryszard Lehmann
Ewa Kade
Hansjürgen Schlosser
Anne-Kathrin Ortmann
Roderich Ehlert-Henk
Karl-Ludwig Bolnbach
Rosi Spieß
Hans-Herbert Walter
Dipl.-Ing. Henriette Lindau
Kai-Uwe Sorgatz
Marleen Etzler
Andreas Metz
Grete Rudolph
Clara Rust
Camilla Kühnert MBA.
Franz Ortmann B.Eng.
