Student
Traudl Christoph
Benno Kraushaar
Peter Sontag
Domenico Gertz
Ing. Pauline Linke
Daria Stiffel
Ing. Galina Hahn
Leonardo Lehmann
Antje Drub
Silvia Henschel
Karlfried Rörricht
Cilli Siering
Ilja Freudenberger B.A.
Edith Hettner
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Aldo Kusch-Klemm
Magarete Klingelhöfer-Mans
Erol Röhrdanz
Jens Trub
Ing. Jonas Schaaf
Marie-Luise Staude-Käster
Univ.Prof. Mahmoud Liebelt
Adem Hörle
Alice Lachmann-Finke
Herr Bodo Steckel
Slawomir Ehlert-Reising
Helga Gerlach-Seifert
Theo Henschel
Damian Holsten
Nikolas Hethur MBA.
Dipl.-Ing. Christel Beer B.Eng.
Steffen Schlosser
Kevin Etzler
Sarina Dobes
Hans-Gerd Preiß
Ulf Dörschner
Marie-Luise Zorbach MBA.
Ibrahim Lehmann B.Eng.
Ing. Claire Hübel
Brigitta Walter
Donald Schönland
Horst-Dieter Seifert
Jens-Peter Graf-Schmidt
Thoralf Geisel
Harold Bähr B.A.
Krista Hofmann
Univ.Prof. Fatima Hölzenbecher
Renato Bolnbach
Dr. Jan-Peter Martin B.Eng.
Niko Pergande
Dipl.-Ing. Aloys Hentschel
Dipl.-Ing. Traudel Eigenwillig
Dipl.-Ing. Lilly Boucsein B.Sc.
Roy Gumprich-Klemm
Evangelos Staude
Dogan Häring MBA.
Gaetano Fröhlich
Frau Friederike Albers
Evangelia Meyer-Mielcarek
Siegmar Ullmann-Fritsch
Frau Dana Röhrdanz
Olga Albers B.Sc.
Annelie Bloch
Ing. Corinne Steckel B.A.
Carla Hecker
Gabriele Käster
Luise Gertz-Fliegner
Dr. Annaliese Lindner
Gisela Weinhold B.Sc.
Detlev Heintze
Dipl.-Ing. Reinhart Gotthard B.Eng.
Erica Renner-Trapp
Inken Juncken
Gülay Werner
Vinko Schönland B.Eng.
Kerstin Heidrich B.A.
Dipl.-Ing. Gerold Kusch B.Eng.
Luigi Hartung
Ulrike Gierschner-Koch II
Dr. Lidija Metz
Prof. Henryk Kitzmann
Ing. Czeslaw Geisel
Gabi Harloff
Walter Weller
Prof. Alina Ziegert
Diane Butte-Schleich
Eckhard Sölzer
Marek Mitschke B.Sc.
Editha Jacob
Jens-Uwe Käster
Margita Schleich-Becker
Prof. Alina Barth
Heinrich Dippel
Irmtrud Röhrdanz
Rolf-Dieter Jacobi Jäckel-Nerger
Annemarie Häring
Wanda Vollbrecht-Reinhardt
Erna Kensy-Bähr
Frau Xenia Blümel
Dipl.-Ing. Franz Reising
Univ.Prof. Dorina Lange
Simon Mude
Frau Danielle Junk
Ernestine Tröst
Mona Wiek B.Eng.
Friedl Atzler-Süßebier
Grete Biggen-Kostolzin
Marianne Heser
Tim Sorgatz
Freia Lübs
Dipl.-Ing. Werner Scholl B.Eng.
Nicolai Röhricht-Spieß
Gerd Beckmann-Gnatz
Bruno Hesse
Sigurd Süßebier
Helma Schaaf B.A.
Centa Kaul
Univ.Prof. Ron Rörricht
Helen Dehmel
Regina Reuter
Sigrun Weinhold
Janus Walter
Vassilios Davids
Andreas Metz
Ilija Lindner
Hans-Detlef Kobelt
Dipl.-Ing. Ingbert Krebs B.Eng.
Carsten Wieloch-Kranz
Marta Sontag
Helene Kuhl-Austermühle
Ing. Paul-Heinz Geißler
Lambert Misicher-Dörschner
Reni Rosemann MBA.
Stavros Hoffmann
German Speer
Till Tlustek
Mariana Jüttner
Armin Scholz
Herr Leonid Röhricht MBA.
Peggy Rogge-Lachmann
Vittorio Hertrampf
Reni auch Schlauchin
Friedrich-Karl Jopich B.Eng.
Dipl.-Ing. Dajana Beer
Rena Rohleder
Karl-Ernst Reuter
Lorenz Schüler B.A.
Annie Langern
Ing. Anneliese Döring
Dolores Conradi
Antonietta Hübel
Käthi Faust-Gorlitz
Ronald Rädel
Dina Rose
Ilonka Lange
Dittmar Graf
Maik Tintzmann B.Sc.
Univ.Prof. Gönül Meister B.Sc.
Carlo Pohl
Dorit Zimmer-Krein
Gerd Süßebier
Ing. Herwig Drub MBA.
Prof. Gabriella Holt B.Eng.
Univ.Prof. Christa-Maria Lehmann B.A.
Ing. Emanuel Tintzmann
Elfi Roht
Milos Biggen
Univ.Prof. Sebastian Sontag
Frau Annita Beckmann
Univ.Prof. Helge Pieper
Giesela Wagner
Univ.Prof. Ottmar Jopich
Traude Kuhl
Dr. Sandra Mangold B.Sc.
Toni Dehmel-Striebitz
Zeki Otto
Carl-Heinz Steinberg
Tino Metz
Sergej Hauffer MBA.
Felicitas Ruppersberger
Dipl.-Ing. Leokadia Junk
Hüseyin Stahr
Celal Pohl
Gloria Lachmann MBA.
Dipl.-Ing. Nikolaus Conradi MBA.
Dietrich Bien
Wilma Paffrath
Kai-Uwe Mitschke
Osman Salz MBA.
Erol Kreusel B.Sc.
Timo Spieß
Jörn Barth-Möchlichen
Dr. Reinhilde Thies B.Eng.
Judith Sorgatz
Heidelore Stolze
Prof. Tilmann Franke B.Sc.
Enrico Hellwig
Ilonka Döring-Schulz
Ing. Rotraud Schmidt
Klaudia Reuter B.A.
Victor Butte
Albina Heinz
Gabor Dobes
Theresia Liebelt
Käthe Briemer MBA.
Frau Lilli Möchlichen MBA.
Valeri Mielcarek
Hajo Kranz-Heser
Matthäus Hübel
Alois Knappe
Viviane Kensy
Ing. Helmuth Bruder
Jana Wulf MBA.
Petra Wagner
Dipl.-Ing. Gülten Hoffmann B.Eng.
Lars Weller
Dr. Gerard Dörr
Gebhard Seidel
Corinna Täsche B.A.
Prof. Ullrich Rosenow B.A.
Univ.Prof. Teresa Weinhage B.A.
Gertrude Kostolzin MBA.
Adelbert Austermühle
Robert Budig-Ullmann
Reimar Rädel
Jonathan Mohaupt
Paola Margraf
Amelie Pruschke MBA.
Ing. Jeanette Rosemann B.Eng.
Ingried Ullmann
Siegmar Dowerg
Reinhart Winkler B.Eng.
Edmund Siering
Edgar Karge
Herr Tomislav Ladeck
Lutz Wagenknecht-Gotthard
Prof. Emine Wulf B.Eng.
Hartmuth Koch II
Dipl.-Ing. Nathalie Radisch
Berthold Austermühle MBA.
Karl-Josef Barth
Urban Pieper
Abdul Klapp-Hethur
Gundula Adler-Bien
Marita Henk
Dina Hartung
Romy Zahn-Bien
Silvio Weimer
Erwin Etzold
Dr. Jacqueline Trubin B.Sc.
Sina Patberg
Falk Sorgatz-Ortmann
Regine Meyer
Kornelia Bachmann
Victoria Hornig
Marlies Seifert-Roht
Urte Caspar
Ekkehart Niemeier
Vincenzo Steinberg B.Sc.
Julian Schuchhardt-Dippel
Alwine Bien
Dr. Jorge Kambs B.A.
Gülten Peukert
Nermin Jopich
Ing. Hans-Heinrich Reichmann B.Sc.
Margit Müller
Heinz-Günter Weimer B.Sc.
Annelore Riehl
Wilfried Steinberg
Siegmund Heidrich
Agathe Trommler
Univ.Prof. Gunda Höfig
Franca Harloff-Döring
Jana Drubin-Heß
Gunda Knappe
Pasquale Karge
Miroslav Krein
Bogdan Rosemann
Freia Hamann-Eckbauer
Helfried Langern
Dorina Dippel
Ing. Helen Gumprich B.Sc.
Prof. Ralph Patberg
Rochus Gude
Stefano Wagenknecht
Heinz-Josef Conradi-Klapp
Carina Schaaf
Dolores Stey-Matthäi
Larissa Ullmann
Yasmin Wiek
Ing. Carolin Hoffmann
Univ.Prof. Filiz Rudolph MBA.
Miroslawa Jessel B.Sc.
Birte Jüttner
Sinaida Adolph
Jasmina Cichorius-Barth
Gitta Mohaupt
Wladimir Rogge
Arno Lindner
Inga Eberhardt
Attila Losekann B.Sc.
Henny Herrmann
Frau Gudrun Huhn B.Sc.
Irmela Krein-Bolzmann
Jost Roskoth
Nathalie Lehmann
Traudel Wilmsen B.A.
Otmar Wende
Wilma Matthäi
Ing. Carla Ziegert B.Eng.
René Rose-Krebs
Bertram Segebahn
Hans-Herbert Flantz
Karsten Schwital
Annemie Margraf
Judith Hering B.A.
Michail Pechel
Elfi Harloff
Anne-Katrin Seip
Friedl Hartmann
Luka Binner
Prof. Reimar Reinhardt MBA.
Harm Sontag-Wilms
Violetta Beyer
Heide-Marie Zirme
Elfie Kreusel
Simone Harloff B.Eng.
Kunigunda Reising
Univ.Prof. Claudia Freudenberger B.Sc.
Ing. Celal Textor
Adelinde Geisler
Hans-Georg Dörschner
Ludwina Hölzenbecher
Stefanie Pruschke
Prof. Gerda Barkholz MBA.
Vassilios Trommler-Gieß
Albin Budig
Ana Klapp MBA.
Gundi Tlustek
Ing. Jo Caspar
Prof. Svea Putz MBA.
Ben Zahn
Hilda Stey B.Eng.
Herr Rudi Neuschäfer
Babett Pruschke-Schäfer
Christian Jacobi Jäckel
Kriemhild Jähn
Dipl.-Ing. Dorina Lindau B.Sc.
Antonie Heser B.Sc.
Thies Rose
Franziska Hörle B.Sc.
Magnus Heidrich
Dipl.-Ing. Till Säuberlich
Fridolin Paffrath-Geisler
Dr. Regine Gotthard
Roselinde Ebert
Ilona Roskoth-Bolander
Marie Sorgatz MBA.
Lothar Birnbaum
Univ.Prof. Axel Dörschner B.Sc.
Francoise Rust
Herr Darko Gutknecht MBA.
Jenny Scholtz
Niklas Schleich
Univ.Prof. Czeslaw Tröst
Heino Zahn-Bähr
Sylvio Gutknecht
Urszula Trapp
Ferenc Trüb B.A.
Anastasios Kuhl
Ing. Brunhilde Albers
Dagobert Rogge
Ernestine Karz
Julia Heinrich
Maren Bruder
Mirja Schottin
Helma Häring
Dipl.-Ing. Gudula Margraf B.Sc.
Alfred Holzapfel-Hamann
Pius Röhrdanz
Mariele Peukert
Felicia Löffler
Ing. Roy Dippel B.A.
Ingried Hänel
Bernhardine Bender MBA.
Ursel Conradi
Heidelore Pärtzelt MBA.
Franz-Xaver Scholtz
Natali Löffler
José Tschentscher-Textor
Concetta Seifert
Clara Stroh
Valentine Bähr B.A.
Dr. Mechthilde Hellwig
Kata Atzler
Malte Bohlander
Marika Sager
Ing. Valerij Segebahn B.Eng.
Jaroslaw Seip
Heide-Marie Adler B.Eng.
Ingetraut Jopich
Eckhard Lindau B.A.
Fredo Bärer
Niklas Scholtz
Pauline Bolzmann
Herr Gerold Kreusel
Burckhard Margraf
Amalia Schmidtke-Radisch
Herr Karl Dippel B.A.
Jörg-Peter Jüttner-Winkler
Falk Wagenknecht B.Eng.
Wilhelm Metz
Frau Florence Ditschlerin B.Eng.
Augustin Carsten
Marlies Mude
Luigi Wähner
Univ.Prof. Anna-Luise Faust
Mariana Steckel
Zeljko Baum
Irmtraut Haase-Hendriks
Dr. Emin Dietz B.Sc.
Elizabeth Jacob
Dr. Jens-Uwe Ruppert
Ing. Galina Schenk
Dina Schmidtke
Hans-Bernd Trubin-Klemt
Gloria Bruder B.A.
Norman Ditschlerin MBA.
Marie-Therese Steuer
Magrit Lange
Dipl.-Ing. Tamara Seifert B.A.
Nelly Buchholz
Margareta Zirme
Ismail Koch
Prof. Heinz-Joachim Losekann
Prof. Branko Weller MBA.
Burghard Davids
Willibald Ziegert-Siering
Anton Drubin
Angelo Schmidtke
Edmund Gnatz-Rogner
Dr. Hans-Heinrich Kaul B.Eng.
Herr Dietrich Gotthard B.A.
Dr. Gerhart Käster
Dr. Wencke Junken B.Eng.
Gitte Buchholz
Metin Peukert-Lindner
Gunda Warmer
Katerina Hauffer
Leif Christoph
Herr Aleksandr Wiek B.Sc.
Inken Hellwig-Hermann
Prof. Urs Täsche
Philip Fritsch
Bozena Carsten B.Sc.
Univ.Prof. Jens Weinhage
Konstantin Rogner
Emilie Schmidt-Gröttner
Susan Seip MBA.
Raphaela Eckbauer
Nuran Schäfer B.A.
Andreas Trapp
Apollonia Heß B.A.
Thorsten Adler B.Sc.
Univ.Prof. Norbert Röhrdanz B.Sc.
Stavros Schinke
Annamaria Hänel-Zimmer
Johann Seidel
Ing. Dagmar Bohnbach B.Eng.
Reimar Pohl
Prof. Mathias Kambs
Carmen Berger
Univ.Prof. Simona Holzapfel MBA.
Frithjof Mielcarek MBA.
Ing. Silja Heser
Dogan Ruppersberger
Hans-Eberhard Blümel
Herr Alexandre Eimer B.A.
Monika Mühle-Hiller
Charles Heinz
Natalia Stroh
Friedhilde Hornig B.A.
Lena Holzapfel
Thea Bauer
Trudi Kranz B.Eng.
Paul Carsten
Almuth Haase
Krzysztof Kruschwitz
Rosa Gnatz
Benno Ritter
Gotthard Christoph
Lilli Meyer-Reuter
Ing. Romy Gieß
Mercedes Blümel
Caroline Wende
Ing. Serpil Rudolph MBA.
Angelica Klemt
Eberhard Junitz
Dipl.-Ing. Bertram Gieß MBA.
Mattias Wieloch
Elise Ackermann
Nadin Hertrampf-Killer
Ingried Hauffer-Lübs
Frau Ingelore Gertz
Lotti Mosemann
Dipl.-Ing. Jiri Wesack B.A.
Dr. Alois Kraushaar B.Sc.
Herr Hanno Hesse
Liesel Ziegert
Jessika Schacht
Jörgen Lorch
Thorben Stiebitz
Ing. Chantal Schleich B.Eng.
Irmengard Jüttner B.Eng.
Paula Stroh
Dr. Antonia Schomber B.Sc.
Bernward Fröhlich
Marc Henck B.Eng.
Prof. Riza Niemeier
Anica Kade-Steuer
Dr. Franco Wilms
Univ.Prof. Nermin Rosemann B.Sc.
Gert Hölzenbecher B.Sc.
Zeljko Hiller-Misicher
Gunar Lindner
Zoran Oestrovsky
Marianna Karge
Faruk Döhn
Berthold Haase-Trub
Sandy Dietz
Mara Roht
Amanda Stadelmann-Mende
Prof. Sofie Gröttner
Tanja Plath
Jorge Weitzel
Katalin Thanel-Kitzmann
Dipl.-Ing. Woldemar Benthin B.A.
Martha Wilmsen
Insa Jacobi Jäckel
Ekaterina Wieloch
Raimund Gieß
Univ.Prof. Petra Scheel
Antonius Stoll-Krebs
Ing. Nuran Schaaf
Univ.Prof. Bert Gieß
Anka Boucsein
Remo Reinhardt
Carolin Siering
Eitel Hethur
Zeljko Henck
Hans-Erich Preiß
Undine Eimer
Heinz-Peter Biggen
Miroslaw Gieß
Prof. Wolf-Dietrich Schweitzer MBA.
Ildiko Mitschke B.Sc.
Helen Tschentscher
Ehrhard Klotz
Martha Dowerg
Univ.Prof. Nadeshda Oestrovsky
Mehdi Niemeier-Noack
Oskar Löwer B.Eng.
Beatrix Rädel MBA.
Wieslaw Freudenberger
Gerda Schleich
Frau Krista Rädel B.Sc.
Emmi Adolph
Ing. Helmtrud Dussen van
Jessika Käster
Otmar Gierschner
Univ.Prof. Herlinde Klotz
Gloria Mosemann
Dagobert Sorgatz
Bogdan Zirme
Dipl.-Ing. Slobodan Sölzer
Prof. Thekla Hahn
Heidemarie Junitz
Änne Boucsein B.Sc.
Marie-Theres Pechel
Tilmann Geisler
Gerhart Karz
Gerhart Schenk MBA.
Dolores auch Schlauchin
Hans-Adolf Römer-Jäntsch
Wera Schmidt
Univ.Prof. Amalie Warmer B.Eng.
Prof. Achim Rose
Francesco Wieloch-Herrmann
Günther Bähr
Hannelore Rädel-Keudel
Ryszard Lorch
Dipl.-Ing. Enver Drubin
Greta Baum
Mareile Löwer
Nadeshda Hänel-Kaul
Silja Kraus-Schuster
Cord Haase
Dariusz Reising-Ernst
Pero Römer
Carla Gnatz
Alexandros Heintze
Anne-Rose Krause
Klaus-Dieter Wende
Lieschen Walter
Dr. Ottfried Lachmann B.Sc.
Univ.Prof. Sergio Kreusel MBA.
Prof. Guenther Margraf B.Eng.
Hans Georg Niemeier
Mareile Oderwald-Hiller
Herr Süleyman Karge MBA.
Ingmar Beckmann
Herr Thorben Jacob
Magdalena Löwer B.Eng.
Helmut Renner
Hulda Junk
Prof. Gertraude Wohlgemut B.Eng.
Johan Heydrich
Constanze Schleich
Xenia Hermann
Franz Josef Herrmann
Alfredo Möchlichen
Kevin Tlustek-Heinz
Nada Hänel
Stefano Koch B.Eng.
Amalie Gotthard-Beckmann
Ing. Gertraude Holsten B.Sc.
Guido Wagenknecht-Kallert
Kathrin Dussen van
Roman Hauffer
Norbert Niemeier
Rudolf Weihmann
Reimar Kabus
Bekir Cichorius-Döring
Luisa Seip B.Sc.
Ernestine Trommler
Univ.Prof. Ioannis Lübs B.Eng.
Marion Drewes
Siglinde Zahn
Dr. Almut Nohlmans B.A.
Sinaida Roskoth B.A.
Adam Hölzenbecher-Hettner
Anny Dietz
Rolf-Peter Rosenow MBA.
Bruno Hethur
Brunhilde Mälzer-Warmer
Canan Berger-Hellwig
Kilian Austermühle B.A.
Dorle Rädel
Ivanka Gierschner-Pergande
Horst-Peter Ritter
Kerstin Eigenwillig B.Eng.
Auguste Gunpf
Heinz-Werner Schleich-Mies
Marcus Finke
Branka Mentzel
Eleni Matthäi
Käte Ditschlerin-Roht
Gerwin Bonbach-Fliegner
Hans-Bernd Eimer-Pechel
Leni Wohlgemut-Ruppersberger
Gabriella Rädel
Karl-Wilhelm Geisel
Isabell Eberth-Pechel
Henri Wilms
Prof. Hansjürgen Langern
Evangelia Röhricht
Dipl.-Ing. Lidija Pölitz
Rene Rohleder
Dipl.-Ing. Alexandros Weinhold
Lisbeth Karge
Ing. Hanny Noack MBA.
Ing. Jürgen Jopich B.A.
Andre Schönland B.Sc.
Bodo Martin
Charlotte Hecker B.Eng.
Ing. Siglinde Bolzmann
Christopher Sager
Dr. Anatoli Bonbach
Irmtraut Noack
Bernd Blümel
Hans Dieter Junk
Jolanta Döring
Birgid Nohlmans
Hans D. Haering
Rosalinde Losekann
Ing. Bernard Schleich B.Sc.
Luciano Klotz
Dipl.-Ing. Hans-Günther Bien
Mirja Bähr
Frau Mira Klemm
Dr. Samuel Dobes B.Sc.
Antonios Walter
Felix Müller
Evangelia Schlosser-Boucsein
Prof. Olga Steckel B.A.
Freddy Nette-Hendriks
Univ.Prof. Robby Vollbrecht
Antonina Wagner
Ing. Iwan Wagner
Sigmar Briemer
Frau Margitta Staude
Dipl.-Ing. Marisa Scholl
Prof. Wolfram Binner B.Eng.
Anton Müller
Prof. Denis Segebahn MBA.
Dipl.-Ing. Agatha Pruschke
Herr Ruben Schüler B.Eng.
Bogdan Römer B.Eng.
Sigmund Hentschel MBA.
Miodrag Dörr-Austermühle
Björn Steckel B.Eng.
Hans-J. Bolander
Centa Bohlander-Stiebitz
Madlen Trupp B.Eng.
Carmine Schacht
Prof. Magda Textor
Ellen Jessel-Walter
Ing. Hans-Wolfgang Weitzel B.Sc.
Prof. Petar Köhler
Bernhard Fischer
Sibel Hörle
Dipl.-Ing. Tomislav Dowerg B.Eng.
Genoveva Gieß
Alan Stadelmann-Lindner
Marian Vollbrecht MBA.
Franco Loos B.Eng.
Danilo Ladeck-Köhler
Reinhilde Hesse B.Sc.
Adelbert Rörricht
Karl-Georg Dörschner
Engin Schenk
Nico Drewes
Robin Schuchhardt-Reichmann
Raymond Drub B.Sc.
Aenne Kraus
Dr. Gabriel Freudenberger MBA.
Mariele Bolander
Dipl.-Ing. Babette Bauer B.Sc.
Rene Lindau-Jäkel
Univ.Prof. Willfried Werner B.Sc.
Ing. Eckehard Bloch MBA.
Ralf-Dieter Riehl B.Eng.
Karl-Ludwig Hoffmann
Ing. Konstanze Geisel
Ing. Vitali Hentschel MBA.
Valerij Schulz B.A.
Swen Wirth
Ing. Käthe Plath B.Eng.
Dipl.-Ing. Jost Bruder B.Eng.
Hanni Dippel-Heser
Kirstin Kusch-Meister
Adriane Heinz-Metz
Tamara Nette-Ladeck
Erwin Weimer-Bohlander
Heinz-Joachim Trüb B.Sc.
Renate Bärer
Margarethe Wagenknecht
Mariusz Adler
Desiree Ruppert
Konstanze Mühle
Wenke Patberg
Anika Holsten
Hans-Jürgen Barth
Kreszenz Ruppert-Dobes
Herr Roman Sontag B.Sc.
Klaus-Michael Fiebig
Emma Sorgatz-Radisch
Anatolij Peukert
Frida Stolze
Aloys Barkholz
Angela Weimer B.A.
Gundula Scheel-Döring
Miguel Dussen van B.Eng.
Hans-Michael Krein-Wernecke
Univ.Prof. Linus Seifert
Filippo Kostolzin
Muzaffer Sorgatz
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Robert Etzold
Dipl.-Ing. Claudia Häring
Manja Stadelmann
Dr. Hans-Detlef Lindau B.Eng.
Dr. Leonie Köster
Belinda Reinhardt B.A.
Emma Sauer B.Eng.
Imke Austermühle-Löwer
Sibylle Löchel
Hagen Weimer
Dorina Weinhold
Ellen Hahn-Spieß
Ellen Weinhold
Kaspar Trub
Ottfried Scheibe-Sauer
Dagmar Schinke B.Sc.
Prof. Lieschen Bohlander
Dierk Gunpf B.A.
Sami Mans-Ullrich
Frau Brit Stoll
Univ.Prof. Undine Becker MBA.
Prof. Diether Neureuther
Janos Winkler B.A.
Zofia Gumprich
Heinz-Gerd Söding
Alma Kaul
Prof. Constance Girschner MBA.
Johanna Bohlander
Antonietta Putz B.Eng.
Burckhard Caspar
Wolf Schottin-Gunpf
Karl-Hermann Rädel-Müller
Karl-Josef Thanel
Herta Hendriks
Luka Stiffel
Ottmar Kruschwitz
Andres Sager
Ivanka Rogge
Albrecht Rust-Heinrich
Irmtrud Johann
Anatolij Steinberg
Marta Eigenwillig-Hörle
Ruthild Schüler B.Eng.
Univ.Prof. Herta Zänker
Hannes Jäntsch
Marie-Therese Schleich
Friedrich-Wilhelm Höfig-Johann
Ing. Krzysztof Kambs B.Eng.
Frau Magarete Mans B.Sc.
Arnulf Süßebier
Janus Oderwald-auch Schlauchin
Dipl.-Ing. Gunnar Rohleder B.Sc.
Ing. Hanna Killer
Ingetraud Fiebig
Dipl.-Ing. Jaroslav Henk
Klaus-Dieter Hecker
Birgitta Beckmann-Thanel
Lisette Mühle
Thilo Patberg
Rupert Kallert
Anne-Rose Hettner B.A.
Riza Heydrich
Günter Schottin
Benita Geißler
Ing. Christina Beckmann B.Eng.
Heimo Knappe
Tony Hecker
Ing. Justina Fiebig
Oxana Schmidtke
Univ.Prof. Milka Bähr
Waltrud Gumprich
Yasmin Reising
Univ.Prof. Gottlob Tröst B.Eng.
Olga Krein
Suse Pergande-Gröttner
Hartmut Hiller B.A.
Romuald Hartmann
Ralf-Dieter Rörricht B.Eng.
Ing. Marie-Therese Seifert
Mariusz Wilmsen B.A.
Ing. Hannes Jähn B.Sc.
Leonardo Rogge
Diedrich Lachmann-Oestrovsky
Lilija Döring
Ernst-Otto Heß-Hartmann
Jozef Bohlander
Amanda Weller
Anni Hänel B.Eng.
Undine Lindner
Rosa Pieper B.Eng.
Frau Anna Mangold B.A.
Gerhild Löffler
Irma Atzler-Herrmann
Dipl.-Ing. Adriana Geißler
Grete Peukert
Florentine Bärer B.A.
Edeltraut Anders-Rohleder
Gerhart Staude
Karl-Heinrich Sölzer
Katharina Etzler
Gotthilf Bohnbach-Seip
Dipl.-Ing. Ana Rosemann
Hans-Gerd Dietz B.A.
Ewald Hethur
Magret Bähr
Artur Kreusel
Herr Vladimir Zimmer MBA.
Ing. Nils Pergande B.A.
Frau Annette Fiebig B.Eng.
Silvia Lübs
Jonas Adler
Ursel Eckbauer
Simona Lorch
Klara Schlosser
Karl-Heinrich Karz
Murat Linke
Ehrentraud Hänel-Dussen van
Harri Heuser
Hanife Ullrich
Enno Jockel MBA.
Hiltrud Klemm
Adrian Fiebig-Dörschner
Guenther Steinberg MBA.
Emanuel Kitzmann
Dipl.-Ing. Erwin Hamann
Teresa Schönland
Heiderose Lange-Schüler
Ing. Zdenka Neuschäfer
Till Bolander
Cecilia Stoll
Herr Wieland Hartmann MBA.
Senta Warmer
Irmtraud Freudenberger
Dietrich Adolph MBA.
Herta Keudel
Herma Bender-Scholtz
Wulf Caspar
Lars Ullrich
