Student
Herr Eberhardt Gierschner
Ing. Vesna Kroker B.Eng.
Francesco Nerger
Andreas Gunpf
Krzysztof Kruschwitz
Hartmuth Gude B.Eng.
Timo Siering-Hübel
Prof. Aribert Eberhardt B.Sc.
Stefano Wagenknecht
Henning Scholl
Dr. Ella Warmer
Heinz-Willi Holt
Dr. Olaf Gierschner B.Sc.
Dr. Sybille Bärer B.Sc.
Oxana Schmidtke
Carl Mühle-Wulf
Helma Zorbach
Ilka Faust
Slavko Weitzel B.Sc.
Ing. Wiltrud Sauer B.Sc.
Susanne Etzold
Univ.Prof. Sonja Hande MBA.
Willy Hornig
Gertrude Bärer
Dipl.-Ing. Augusta Lachmann B.A.
Traudl Röhrdanz-Spieß
Dipl.-Ing. Salvatore Zänker MBA.
Niko Pergande
Ing. Hulda Schaaf
Univ.Prof. Kata Zahn
Britt Schwital-Seip
Christina Schlosser
Martina Keudel
Geert Schuchhardt
Domenico Gertz
Herr Salih Blümel
Zdravko Müller-Fritsch
Julie Mosemann
Eduard Kühnert
Gabor Dobes
Josef Berger
Marek Mitschke B.Sc.
Frau Suse Zorbach
Ing. Friedhelm Löchel B.Eng.
Frau Minna Steinberg B.Sc.
Ayse Scheuermann-Sölzer
Gerlind Trüb-Losekann
Univ.Prof. Cläre Weihmann B.A.
Heidelinde Pruschke
Univ.Prof. Ismet Bloch B.Eng.
Senta Weihmann
Vitali Junken
Gert Naser
Korbinian Bolander
Univ.Prof. Harro Weller
Gotthard Scheuermann
Prof. Karl-Heinz Ruppersberger
Miroslaw Holt
Magdalena Tintzmann B.Sc.
Frieda Gröttner
Prof. Clarissa Barth
Margot Sontag MBA.
Hilma Berger
Christopher Fröhlich
Ingried Ullmann
Ing. Luisa Oestrovsky
Alwine Wulf
Dr. Gero Röhricht B.Eng.
Tobias Mühle
Univ.Prof. Lissi Schomber
Kay-Uwe Pölitz
Hella Pergande MBA.
Dr. Annaliese Lindner
Ing. Cosimo Steinberg
Susann Haering
Ing. Siglinde Bolzmann
Ing. Zbigniew Warmer MBA.
Birgit Pergande
Inken Gorlitz
Jadwiga Gierschner-Schulz
Goran Benthin
Ing. Zoltan Dobes B.A.
Yvette Dietz
Hermann Josef Drubin
Marian Hande
Mina Segebahn B.A.
Prof. Jörgen Gieß B.Eng.
Ing. Nikolai Niemeier B.A.
Cordula Schmiedecke-Wilms
Torben Schweitzer
Josephine Rogge
Pawel Peukert-Rörricht
Herr Ilja Kroker
Siegmar Dowerg
Ingetraud Freudenberger
Herr Goran Paffrath
Ing. Diedrich Gotthard MBA.
Ing. Eckehard Bloch MBA.
Prof. Gertraude Wohlgemut B.Eng.
Wencke Bohlander
Tina Radisch
Pius Röhrdanz
Evangelos Staude
Folkert Schwital
Florian Finke
Dorota Mude
Herr Rigo Krebs B.Eng.
Bertold Schenk
Käthe Langern-Jacob
Larissa Ullmann
Patricia Trubin
Adam Gertz
Pierre Ortmann
Gertraud Mentzel
Juergen Bähr
Univ.Prof. German Rörricht
Vincenzo Haering
Frank-Michael Klemt
Ing. Heide Winkler
Reimar Rädel
Henryk Bauer
Gaetano Paffrath
Thorben Rosenow
Elise Ackermann
Constantin Kraus
Heinz-Otto Geisler B.Sc.
Hanife Ackermann
Marie Hoffmann B.Sc.
Inken Juncken
Dominic Gunpf MBA.
Ing. Herwig Drub MBA.
Dipl.-Ing. Patricia Werner B.Sc.
Giuseppina Linke
Christl Pölitz
Sevim Textor-Schinke
Julia Hecker-Krebs
Ria Stroh
Dajana Ring
Marko Trupp
Univ.Prof. Alberto Steuer
Gundolf Walter
Daria Liebelt
Sylvia Schäfer
Dolores Stey-Matthäi
Diether Dussen van-Rohleder
Aldo Förster
Gülay Haase
Abdul Ullmann
Antonietta Barth
Ute Möchlichen
Univ.Prof. Reginald Lorch
Hatice Killer-Löwer
Frau Wenke Riehl
Dr. Jasmina Ruppert
Anatoli Caspar
Elfie Otto
Frau Aleksandra Dobes B.A.
Prof. Natalja Käster MBA.
Karlfried Ruppersberger
Prof. Falko Trapp B.Eng.
Herr Andrej Rose
Ismail Junck-Trommler
Univ.Prof. Beate Eberth
Prof. Marika Junken B.Eng.
Nada Dowerg-Jähn
Dr. Zeki Eberth
Gabriele Stahr
Siegbert Kranz
Czeslaw Bohnbach B.Eng.
Frau Herlinde Schleich B.Sc.
Hansjoachim Kraus-Beer
Dr. Bastian Christoph MBA.
Bastian Röhrdanz
Justus Schüler MBA.
Kazim Tschentscher
Herr Oliver Stahr
Geza Beckmann
Kristin Kaul B.Sc.
Veronika Gröttner
Univ.Prof. Hartwig Holsten B.Sc.
Camilla Kühnert MBA.
Dörte Schlosser
Marga Scholz
Fredy Birnbaum-Kensy
Sandy Fechner
Miroslawa Gude B.Sc.
Hans-Jochen Mude
Zehra Conradi-Heinrich
Heinz-Günter Schuster
Karolina Reuter-Freudenberger
Dipl.-Ing. Cristina Vogt
Konstantinos Stolze-Biggen
Hedi Gumprich
Fredi Huhn
Änne Wagner
Sandy Haering
Hanna Speer
Kunigunda Reising
Lioba Söding
Gisbert Christoph
Univ.Prof. Hugo Martin
Frau Mechtild Fliegner
Erkan Trub
Frau Pascale Hettner B.Eng.
Gilbert Steuer-Rosemann
Bernard Losekann
Frau Camilla Kruschwitz
Gretchen Pohl
Friedhelm Schleich
Marcella Ehlert
Dipl.-Ing. Katarina Schmidtke
Dr. Marco Scheuermann
Frau Danica Davids B.A.
Giuseppe Trupp
Claire Faust B.A.
Michaela Loos-Mentzel
Karl-Otto Winkler B.Eng.
Dr. Aldo Fritsch
Wolf-Dietrich Gotthard-Dussen van
Gunter Schenk B.Sc.
Halina Hethur
Ing. Antonius Jacobi Jäckel MBA.
Thomas Weinhold B.Eng.
Herr Gordon Meister
Frau Patricia Schmiedecke B.Eng.
Jörg Haase-Röhricht
Marieluise Kruschwitz
Toralf Pieper
Hansjürgen Eberth
Milos Pärtzelt B.Sc.
Nelly Schlosser
Monja Siering
Immo Koch II
Rolf-Peter Rosenow MBA.
Dr. Alberto Kabus B.Sc.
Enrico Reising MBA.
Stella Mülichen
Rene Berger-Jäkel
Wieland Hethur
Ottmar Beier
Ing. Siegrid Birnbaum
Ilonka Noack
Andre Metz B.A.
Ing. Justus Binner
Kathi Seip
Pero Gnatz
Univ.Prof. Alois Jähn B.Eng.
Ann Spieß MBA.
Nikolas Hövel
Emmi Adolph
Ilja Freudenberger B.A.
Heinz-Dieter Gute
Hans-Ulrich Dussen van
Diethard Trommler
Jaqueline Weitzel-Pölitz
Rosi Spieß
Elisabeth Wieloch-Boucsein
Anni Hänel B.Eng.
Birthe Trommler
Agathe Gertz-Butte
Fernando Reising
Gitte Römer-Kroker
Artur Schaaf
Univ.Prof. Blanka Linke B.Eng.
Dipl.-Ing. Walfried Rosemann B.Eng.
Albin Budig
Natalia Hauffer
Tilman Hövel
Dr. Reimar Fiebig B.A.
Annekatrin Wilms
Univ.Prof. Clara Heidrich B.Sc.
Miguel Briemer
Virginia Eigenwillig
Dipl.-Ing. Jose Löchel
Ing. Iwan Wagner
Robert Budig-Ullmann
Univ.Prof. Inga Hermighausen B.Eng.
Martin Dörr
Christopher Sager
Gerda Mans
Hans-Georg Scholz
Simon Hahn
Maurizio Eckbauer
Eva Wende-Peukert
Heino Lindau B.Eng.
Mahmut Hänel
Ehrentraud Kroker
Bekir Fechner
Curt Jopich
Theresia Paffrath
Darius Klotz
Malgorzata Rohleder
Imke Keudel B.Sc.
Bruno Henschel
Ing. Sebastian Killer B.A.
Gerhart Davids B.A.
Elvira Cichorius
Hans Dieter Stahr
Arndt Bachmann B.Eng.
Torben Säuberlich-Linke
Dipl.-Ing. Adriana Geißler
Knut Jacob
Tatjana Käster-Schüler
Sinaida Ruppersberger
Annika Lindner
Angela Weimer B.A.
Michaele Schwital
Heiner Pieper
Michail Pechel
Dr. Mechthilde Hellwig
Dunja Dörr B.Sc.
Ing. Bernard Schleich B.Sc.
Nina Wagenknecht
Hedda Haase
Augustin Wende
Emmerich Killer
Claudius Rust-Mans
Ing. Silke Kambs
Sigmund Kensy
Blanka Ladeck
Nathalie Lehmann
Mirko Ehlert
Detlev Wilmsen
Raymond Misicher
Rosalinde Trommler
Hellmuth Söding-Bonbach
Till Karz
Ing. Britt Trupp B.Eng.
Ing. Daria Lorch B.A.
Arnfried Scheuermann
Dr. Anto Wende
Sylvia Schenk
Margita Hentschel
Prof. Heide Krebs
Milka Wohlgemut-Meyer
Wolf Schottin-Gunpf
Dr. Jacqueline Trubin B.Sc.
Cora Stumpf-Gunpf
Dipl.-Ing. Klaus Geisler
Bernt Jessel
Frida Stolze
Edith Binner
Univ.Prof. Edmund Mentzel B.Eng.
Hans Georg Niemeier
Annemarie Wieloch
Patrick Döring
Otmar Ditschlerin
Dr. Aysel Kohl
Dr. Tony Ditschlerin
Heinz-Otto Hermighausen
Friedlinde Schenk-Wulff
Ing. Hans-Joachim Ullrich
Dipl.-Ing. Heinz-Otto Jähn
Cosimo Zimmer
Justine Lindner
Annette Schwital
Dipl.-Ing. Tomislav Dowerg B.Eng.
Anna-Luise Seip-Hofmann
Gülsen Junck
Prof. Kaspar Mosemann
Elwira Hellwig
Nikolas Siering
Horst Hauffer B.Eng.
Katerina Barkholz
Ing. André Christoph
Brita Roht MBA.
Sibilla Mälzer
Ralf-Peter Schacht
Dr. Hans-Hermann Rosemann B.A.
Heide Knappe
Dr. Stephanie Ladeck
Josefa Lange
Pius Römer MBA.
Dr. Erdogan Fröhlich
Saban Etzler B.Eng.
Nadeshda Mentzel
Ahmet Eckbauer-Sölzer
Dr. Irmtraut Gnatz B.Eng.
Ruthild Juncken B.Sc.
Gernot Kobelt
Kriemhild Junk MBA.
Madlen Lübs
Oliver Schwital
Anthony Patberg
Karl-Wilhelm Meyer
Dipl.-Ing. Elif Hartmann B.A.
Anny Wähner
Ing. Paul-Heinz Geißler
Gaetano Fröhlich
Ahmad Preiß
Univ.Prof. Diedrich Köhler B.A.
Augusta Flantz
Ing. Ivana Budig B.Eng.
Melitta Steinberg
George Weimer
Astrid Dehmel
Hans-Otto Trubin B.Eng.
Charles Heinz
Thomas Hentschel
Ludwina Hölzenbecher
Madeleine Hartung
Deborah Beier
Oskar Löwer B.Eng.
Fadime Heidrich B.A.
Danilo Hartmann
Ljudmila Nerger
Claus Heser B.Sc.
Wilhelm Klemm B.A.
Carsten Junken
Univ.Prof. Albin Bärer
Vesna Wähner
Ulla Süßebier
Ina Christoph B.Sc.
Francisco Trupp
Zeljko Kobelt B.Eng.
Dipl.-Ing. Robert Köhler
Aleksandra Stey MBA.
Frau Rosemarie Stiffel
Frederik Beyer
Dipl.-Ing. Mathias Metz B.A.
Angelica Lindau-Heß
Kaspar Aumann
Ella Briemer-Siering
Viola Sager
Dusan Conradi-Rogner
Dipl.-Ing. Zenta Hornig B.Sc.
Dipl.-Ing. Ryszard Buchholz
Prof. Mahmut Barth B.A.
Alessandro Henk-Käster
Tatiana Pechel
Teresa Möchlichen
Brunhild Karge B.A.
Frau Mareile Birnbaum
Joerg Fritsch-Pieper
Hans Jürgen Winkler
Armin Hellwig-Finke
Fredy Ring
Univ.Prof. Dorle Röhrdanz B.A.
Monica Drub-Davids
Rosina Klotz B.A.
Prof. Riza Niemeier
Frau Lilli Möchlichen MBA.
Ignaz Stoll
Jaroslaw Eckbauer
Marko Kensy-Atzler
Gernot Hornich B.A.
Hans-Eberhard Lübs
Lidia Butte
Dipl.-Ing. Rudi Wiek B.Eng.
Ing. Catrin Dippel MBA.
Andrej Geißler-Beckmann
Konstantin Rogner
Dipl.-Ing. Charles Täsche
Oskar Rosemann
Justine Patberg-Metz
Dr. Myriam Häring
Uwe Schwital MBA.
Marlene Heuser-Trub
Prof. Ludger Kohl MBA.
Valerie Kallert B.A.
Reimund Eimer
Mira Sontag
Univ.Prof. Anika Jockel MBA.
Diethelm Hübel MBA.
Liliane Steuer
Gertraud Mende
Valerij Barth
Mariusz Hartung
Ahmet Pärtzelt
Anna Hartmann
Hilmar Spieß
Francesco Wieloch-Herrmann
Elke Scholl MBA.
Judith Gerlach
Ing. Alfred Söding
Dipl.-Ing. Ana Rosemann
Herr Tomislav Ladeck
Anto Kobelt-Kobelt
Konstantinos Lindner
Ing. Gregor Lindau
Ricardo Hesse
Inna Schulz
Hans Josef Striebitz
Ralph Rogge
Matteo Dehmel-Weimer
Sami Stolze-Döhn
Sina Wulff-Dussen van
Dogan Ruppersberger
Ljudmila Trapp
Prof. Klaus Peter Bruder
Evelin Wagenknecht-Döhn
Clara Mans
Univ.Prof. Jörg Jessel MBA.
Amelie Pruschke MBA.
Pedro Hande B.Sc.
Tony Wende
Ing. Rosalinde Rogner MBA.
Emine Vollbrecht B.Eng.
Irmtrud Schaaf-Jacobi Jäckel
Ing. Mattias Boucsein
Irene Ditschlerin
Dörthe Roht
Balthasar Klemm
Erdal Tintzmann
Dipl.-Ing. Manuel Kade
Undine Dehmel
Julian Schuchhardt-Dippel
Georgine Schinke
Bertram Höfig B.Sc.
Mariana Kranz
Dr. Constance Römer
Claus Jähn B.Eng.
Benno Ritter
Anthony Bonbach
Inka Trub
Ing. Eugenie Birnbaum
Nikola Kitzmann
Conny Metz
Magdalena Löwer B.Eng.
Ingo Löffler
Reimer Scheel B.Eng.
Constance Drubin
Nadeschda Pölitz
Thomas Hänel
Domenico Kade B.A.
Marten Röhricht B.Sc.
Nina Ladeck
Dorota Sorgatz B.A.
Gertrude Lehmann-Kostolzin
Prof. Volkmar Wirth B.Eng.
Carina Hövel
Miroslaw auch Schlauchin
Adele Boucsein B.Sc.
Eva-Maria Zänker
Prof. Walter Pechel
Wibke Reuter
Walter Schleich-Segebahn
Josip Stey
Jost Gröttner-Mülichen
Dolores Atzler B.A.
Ehrhard Bohnbach B.Eng.
Prof. Bianka Reinhardt
Jaroslaw Pieper MBA.
Trudel Bloch
Zita Holt
Annelies Beer
Ing. Jeanette Rosemann B.Eng.
Alida Trupp
Mona Söding
Henny Rose
Norman Ditschlerin MBA.
Wilhelmine Knappe
Friedrich-Karl Zorbach
Edeltrud Kambs
Patrick Haering
Gotthilf Gehringer B.A.
Betti Adolph
Anneliese Trub
Marga Vogt
Ercan Kühnert
Friedl Hänel
Lissy Dippel
Sabrina Schomber
Dittmar Hövel
Victoria Werner MBA.
Dr. Jann Wesack B.A.
Univ.Prof. Anneke Gunpf
Dipl.-Ing. Karsten Fechner
Elias Langern
Martha Wilmsen
Artur Briemer
Ing. Josip Ruppert
Herr Otto Vollbrecht
Klemens Winkler
Dipl.-Ing. Arthur Ziegert
Dipl.-Ing. Tamara Seifert B.A.
Herr Frank Bolnbach
Dipl.-Ing. Oskar Vogt B.A.
Slavko Schüler B.Eng.
Hans-Friedrich Ruppert-Ullrich
Jozef Kostolzin
Ian Briemer B.Eng.
Horst-Peter Löchel
Carla Schacht
Heinz-Jürgen Hesse
Prof. Guiseppe Gröttner B.Sc.
Aline Atzler-Beckmann
Dorle Rädel
Dr. Hans-Heinrich Kaul B.Eng.
Herr Vito Roskoth B.Sc.
Ing. Hellmuth Scholl
Gudula Stroh-Bien
Marie-Louise Hendriks-Dörschner
Frau Trudel Hövel
Gisela Paffrath
Jeannine Gieß
Gislinde Lehmann
Mira Bender
Katja Kruschwitz-Roskoth
Dr. Friedbert Bauer B.Eng.
Herr Erich Rosenow
Franz Ortmann B.Eng.
Dr. Edelgard Sauer B.Sc.
Alfredo Bolzmann B.A.
Prof. Annita Putz
Dr. Ralf Hölzenbecher
Ing. Birte Heidrich B.Eng.
Meral Eberhardt B.A.
Nicolaus Seifert B.A.
Karlheinz Martin
Dipl.-Ing. Valeria Kühnert MBA.
Sergej Pärtzelt
Anna-Lena Sontag-Köhler
Univ.Prof. Jaroslav Seifert B.Eng.
Dr. Kai-Uwe Schulz B.A.
Maximilian Pohl B.A.
Dipl.-Ing. Stefano Wernecke B.A.
Benno Klemt
Aysel Bruder MBA.
Fatih Bohlander
Arno Mude
Ilka Lachmann
Senol Harloff-Lindau
Liesa Wilms B.A.
Romana Wulff
Univ.Prof. Josip Hartung
Dr. Heiderose Kallert B.Eng.
Fatma Hein
Hilde Walter
Waltraud Trapp-Pechel
Erwin Weimer-Bohlander
Dorina Weinhold
Ahmet Thies
Herr Marian Schlosser B.A.
Irene Stumpf
Elif Röhricht
Suse Hornich
Dr. Lina Hiller
Cilli Lindau B.A.
Hubert Weitzel
Volkmar Mosemann
Sebastian Warmer
Univ.Prof. Otto Kruschwitz MBA.
Sören Etzler
Michelle Pohl
Hans-Detlef auch Schlauchin-Fischer
Bernhardine Mangold
Engelbert Margraf-Trommler
Patrick Pärtzelt-Henck
Dino Martin
Dominic Martin
Dorothe Adler-Trubin
Hanno Hölzenbecher B.Sc.
Anna-Marie Zorbach
Susanna Weitzel
Kornelius Hornig MBA.
Prof. Cilli Wulf
Baptist Radisch MBA.
Prof. Constance Austermühle B.Sc.
Hans-Hinrich Stiffel
Univ.Prof. Heidrun Hiller
Irene Gotthard-Hoffmann
Marion Drewes
Wolfhard Rosemann B.Eng.
Engelbert Carsten-Hiller
Theo Döring
Jasmina Rudolph
Dipl.-Ing. Hildegunde Bachmann
Roswita Atzler
Dr. Jane Kostolzin
Prof. Joanna Kreusel
Sonja Barkholz
Dipl.-Ing. Burckhard Jäntsch
Bogdan Rosemann
Jaroslaw Seip
Gesche Kühnert
Maurice Pieper-Loos
Ing. Elsa Liebelt
Univ.Prof. Roman Misicher
Univ.Prof. Ottfried Scholl
Adrian Killer
Herr Thomas Baum
Rico Putz-Killer
Sofia Heinrich
Univ.Prof. Philomena Kensy
Elsa Preiß
Kreszentia Jockel
Nikolas Heß
Jakob Pohl
Kathrin Johann-Schulz
Janko Margraf MBA.
Caterina Weinhage
Angela Weimer
Ernst-August Beyer
Prof. Heinz-Willi Lindau MBA.
Reinhild Patberg
Prof. Linda Beier
Erhardt Steinberg
Dajana Trapp-Kreusel
Roderich Ehlert-Henk
Ing. Anneliese Döring
Frau Etta Wesack MBA.
Luigi Gude
Diether Blümel
Prof. Guenter Mosemann
Frau Silvana Bolzmann B.Eng.
Ilse Krebs
Georgios Knappe-Mälzer
Ansgar Möchlichen-Höfig
Emilia Römer
Lilly Seifert
Doreen Hornig
Elma Junken
Gabriela Freudenberger B.A.
Anni Dietz-Blümel
Madeleine Henk
Irmela Krein-Bolzmann
Dr. Laila Peukert
Meta Harloff
Karl-Peter Hofmann B.A.
Dr. Ibrahim Dobes B.Eng.
Ilja Hölzenbecher-van der Dussen
Herr Thorben Jacob
Herr Wladimir Bolnbach
Gertrude Gumprich
Felizitas Werner
Bertram Eigenwillig
Kunigunda Hänel-Briemer
Ali Briemer-Klemm
Kuno Kreusel
Anica Sorgatz B.Sc.
Dipl.-Ing. Betty Niemeier MBA.
Enrico Oderwald
Ole Ritter MBA.
Lia Zänker
Jozef Bohlander
Dr. Valentin Eigenwillig
Marianna Rosenow-Weiß
Caroline Wende
Annemie Herrmann
Univ.Prof. Gunter Kaul
Süleyman Wende
Ekrem Spieß
Ing. Carolin Matthäi
Marianna Geisler
Harold Bohlander B.Sc.
Elisabeth Käster
Dipl.-Ing. Sedat Sontag
Univ.Prof. Paul-Heinz Heinz
Carin Atzler
Prof. Jelena Naser
Leon Bauer
Dr. Gundolf Römer MBA.
Dr. Elwira Hiller
Ing. Valentina Börner
Herr Wieslaw Trupp
Dr. Arzu Martin B.Eng.
Hans-Henning Heydrich MBA.
Prof. Eckhart Jockel B.Eng.
Ante Gunpf
Alma Flantz MBA.
Dr. Lidwina Oestrovsky
Karl Ruppersberger
Brian Ditschlerin
Helge Pohl
Herta Weitzel
Hanni Wieloch
Ing. Ivonne Nerger
Univ.Prof. Ivonne Haase B.Sc.
Stefani Caspar
Leszek Hentschel
Vito Davids-Schwital
Emma Briemer B.Eng.
Bertha Reuter
Rosita Köster B.A.
Mechtild Niemeier
Julian Dussen van B.Eng.
Justine Kade
Lutz Wagenknecht-Gotthard
Christiane Wirth B.Eng.
Ing. Hüseyin Gutknecht B.Sc.
Geert Rust
Aline Steinberg-Klingelhöfer
Klothilde Blümel B.A.
Elmar Patberg
Hans-Willi Ladeck
Prof. Sandra Klapp
Univ.Prof. Alexandros Junk
Mechtild Winkler
Evangelia Stumpf-Ruppersberger
Herr Konstantin Neureuther B.A.
Frau Else Röhrdanz B.Sc.
Jadwiga Koch
Friedrich Bolnbach-Gnatz
Nancy Karz-Bolzmann
Dipl.-Ing. Marek Jockel
Bernd Blümel
Dipl.-Ing. Hannelore Kostolzin
Margot Ullmann
Kathi Christoph
Univ.Prof. Undine Becker MBA.
Ludwig Reinhardt
Heinz-Günter Hesse
Univ.Prof. Gretchen Sontag B.A.
Univ.Prof. Jann Schleich
Rosita Möchlichen-Stumpf
Leszek Wagner-Häring
Heidemarie Kreusel
Ing. Hanne-Lore Ackermann
Ing. Gerold Mende
Eleonora Gehringer
Dr. Samuel Dobes B.Sc.
Othmar Hölzenbecher
Ing. Leszek Gutknecht B.Sc.
Nils Stey
Klaus-Dieter Meister
Dörthe Mitschke-Holt
Björn Steckel B.Eng.
Fredi Jäntsch
Stavros Zirme
Gina Schmidtke
Henry Schüler B.Eng.
Marta Roht B.Sc.
Toni Scholl-Scholl
Lili Weimer
Hans-Wilhelm Weller
Philipp Lorch
Frauke Wilms
Gina Wulff B.A.
Bekir Cichorius-Döring
Prof. Guenther Margraf B.Eng.
Irmtraut Süßebier
Wiltrud Wilmsen-Graf
Mareile Meister
Liliana Zorbach MBA.
Walburga Junk
Marica Walter
Erna Kensy-Bähr
Kuno Dussen van
Katalin Butte
Chantal Fröhlich
Dipl.-Ing. Utz Adler B.A.
Ing. Willfried Kostolzin
Ignaz Beer-Eckbauer
Conny Fliegner
Univ.Prof. Sergio Kreusel MBA.
Sylvester Neuschäfer-Schacht
Dr. Gundula Putz
Bianka Dobes-Seifert
Sieglinde Stahr
Wencke Heinrich
Rolf-Peter Staude
Meta Wagenknecht
Herr Burkhardt Bauer B.Eng.
Herr Ruben Schüler B.Eng.
Athanasios Bloch
Guiseppe Rust
Kristian Rosemann B.Sc.
Götz Hofmann B.A.
Dr. Dagmar Hörle B.Sc.
Dipl.-Ing. Eckhard Kallert B.Sc.
Ing. Isabell Hartmann MBA.
Uli Wohlgemut-Stadelmann
H.-Dieter Mülichen B.A.
Henny Stey
Emmy Trub MBA.
Karl-Heinrich Sölzer
Susi Seifert
Sylvio Gutknecht
Waltraud Wernecke
Herr Darius Heuser
Raymund Koch II-Margraf
Lisette Mühle
Dr. Karl-Hermann Gude
Melita Schleich
Valentin Klingelhöfer
Vadim Bender B.A.
Hansgeorg Beier-Freudenberger
Anni Kraus
Brigitte Geisler
Henriette Pohl
Olivia Nerger B.Eng.
Gina Pieper
Prof. Ullrich Rosenow B.A.
Jeannine Lehmann
Elena Pruschke
Ing. Kristina Biggen
Greta Hermighausen
Luka Weimer-Beyer
Iwan Käster
Frau Antonina Kitzmann
Siegfried Knappe
Helmtrud Atzler
Jost Roskoth
Prof. Branko Weller MBA.
Univ.Prof. Romana Hiller
Erdal Bruder
Artur Berger
Ilias Wagner
Ernst Gunpf-Naser
Prof. Alma Gumprich
Prof. Raymond Söding
Ing. Annelise Nette B.Eng.
Kathrin Dussen van
Liane Fechner
Felicia Hamann
Vera Scholl
Frau Annette Fiebig B.Eng.
Tibor Bolzmann MBA.
Mariana Steckel
Frauke Söding
Francoise Vollbrecht B.Sc.
Dorina Dowerg
Gitta Berger
Arnulf Kusch
Ralph Jessel B.A.
Klaus-Peter Gieß-Winkler
Reni Putz-Tintzmann
Dr. Jeanette Schuchhardt B.Eng.
