Student
Ing. Ben Lindau MBA.
Univ.Prof. Luisa Scholz B.Eng.
Theodoros Vollbrecht-Gutknecht
Frau Britt Heß
Ljudmila Nerger
Babette Rohleder
Friedlinde Schenk-Wulff
Frau Wenke Klemt
Edelgard Neureuther-Vollbrecht
Univ.Prof. Michail Tintzmann B.Eng.
Univ.Prof. Helmut Junitz B.Eng.
Ariane Tintzmann
Thaddäus Kraushaar-Ruppert
Sina Wulff-Dussen van
Joanna Christoph
Dr. Jens-Uwe Ruppert
Vinko Schmiedecke-Hendriks
Marian Vollbrecht MBA.
Ingetraud Fiebig
Prof. Vesna Scholz
Caren Neureuther
Dr. Jane Kostolzin
Frau Dora Rosemann B.A.
Senol Hande MBA.
Univ.Prof. Waldemar Döring
Kay-Uwe Bruder MBA.
Michaela Hecker B.Eng.
Prof. Lotti Löffler
Frau Delia Hellwig B.Sc.
Ryszard Lorch
Elena Ditschlerin
Zenta Gertz B.A.
Frau Patricia Schmiedecke B.Eng.
Domenico Kade B.A.
Hans-Bernd Trupp
Univ.Prof. Philip Kranz B.Sc.
Irmi Gute
Aloys Ruppert
Madlen Salz
Adele Boucsein B.Sc.
Birgid Drewes-Seifert
Burckhard Caspar
Ing. Mariechen Nerger B.Eng.
Robin Flantz
Jörn Hörle B.Sc.
Prof. Marko Rohleder B.A.
Irmtraut Noack
Agathe Söding
Univ.Prof. Liliana Drub
Arnd Jacobi Jäckel
Herr Imre Kohl
Slavko Weitzel B.Sc.
Prof. Aribert Eberhardt B.Sc.
Ralph Jacobi Jäckel
Annamaria Scholtz
Gretchen Eimer-Wilmsen
Viviane Fritsch-Martin
Leonard Kostolzin
Arndt Wernecke-Gertz
Slavko Schüler B.Eng.
Gitta Mohaupt
Fabienne Conradi B.Eng.
Irmtrud Bolzmann
Gerta Beer
Jörg Speer
Herr Steven Eberhardt
Thies Birnbaum B.A.
Janine Dehmel B.Eng.
Jurij Bärer
Benjamin Stoll
Hans-Gerd Preiß
Aldo Kusch-Klemm
Sükrü Walter B.Eng.
Tanja Henk
Prof. Heinz-Peter Sager
Herr Emin Trubin
Bertha Rose
Damian auch Schlauchin B.Eng.
Dr. Ljiljana Henck MBA.
Elizabeth Budig
Marvin Kabus B.A.
Katherina Bien
Dipl.-Ing. Tina Kranz MBA.
Lieselotte Dussen van MBA.
Univ.Prof. Fedor Eimer
Kreszentia Pölitz-Karge
Andrew Misicher
Dipl.-Ing. Marek Jockel
Anica Austermühle
Ing. Denny Mende
Cindy Tschentscher
Tino Kensy
Mirko Ehlert
Herr Wieland Hartmann MBA.
Dipl.-Ing. Enver Drubin
Dipl.-Ing. Heinz-Otto Jähn
Wenzel Wilmsen
Meral Stroh-Henschel
Brita Klemm
Ralph Hellwig-Lachmann
Heinz-Otto Wende
Luka Binner
Gundolf Walter
Charlotte Hecker B.Eng.
Dipl.-Ing. Lieselotte Trüb B.A.
Caroline Haering MBA.
Reinhold Striebitz
Annett Ullrich
Dipl.-Ing. Detlef Schacht
Christiana Pohl
Hedy Kobelt
Dorle Schmidtke MBA.
Johann Baum
Immo Ring
Antonina Wagner
Pierre Ortmann
Rosalinde Killer
Ilse Henschel
Hans-Detlef auch Schlauchin-Fischer
Elias Langern
Prof. Concetta Mies B.Eng.
Frau Danica Davids B.A.
Bertram Segebahn
Gordana Hertrampf-Speer
Annemie Herrmann
Univ.Prof. Willfried Werner B.Sc.
Olivia Schleich
Cecilia Stoll
Thekla Schäfer
Zeljko Henck
Rahel Kreusel
Hans Josef Reinhardt B.A.
Prof. Swen Benthin MBA.
Annekatrin Wilms
Regina Reuter
Benno Gehringer-Wohlgemut
Änne Wagner
Wera Hauffer B.A.
Mariola Gnatz
Hanne-Lore Johann
Milica Reichmann
Dr. Sonia Hornich B.Eng.
Alfredo Oestrovsky
Kati Radisch
Peer Jähn
Felizitas Becker-Mosemann
Milos Biggen
Valerij Schulz B.A.
Dipl.-Ing. Denise Beier
Hanno Trub
Clarissa Buchholz
Undine Scheibe-Stey
Miodrag Dörr-Austermühle
Friedericke Lehmann B.Sc.
Simone Harloff B.Eng.
Dr. Marco Scheuermann
Isa Kramer-Matthäi
Sabrina Kohl
Karl-Josef Thanel
Prof. Ingmar Bonbach
Karlfried Karge-Wieloch
Tomas Tlustek
Giuseppe Trupp
Walfried Klotz-Klotz
Resi Ullmann
Berndt Riehl-Bohlander
Johann Liebelt MBA.
Ditmar Niemeier
Univ.Prof. Hans-Albert Ruppert
Eitel Hethur
Felizitas Jungfer
Linus Drub
Agatha Kostolzin
Lili Kaul
Damaris Bien
Prof. Dietlind Ullrich B.Sc.
Jo Reising
Kristin Bohlander B.Eng.
Krzysztof Kruschwitz
Irmengard Jüttner B.Eng.
Ria Koch II
Hella Pergande MBA.
Rene Hofmann
Fabienne Dobes-Heuser
Dr. Editha Rohleder
Herr Sylvester Jopich B.Eng.
Reimar Hahn-Neureuther
Roland Ring
Univ.Prof. Natalie Noack MBA.
Univ.Prof. Karen Etzold B.A.
Prof. Sylvester Bender
Karl-Ludwig Hoffmann
Rainer Gude-Kaul
Elise Ackermann
Jelena Meyer MBA.
Bernt Huhn
Kira Tschentscher MBA.
Walfried Siering
Ing. Hans-Heinrich Reichmann B.Sc.
Valeri Mielcarek
Prof. Jürgen Blümel B.A.
Adelbert Austermühle
Daniela Siering
Lutz Wagenknecht-Gotthard
Marietta Heinrich
Elfi Wesack
Evi Oestrovsky
Susan Warmer
Maurice Beckmann
Siglinde Kambs-Geißler
Prof. Knud Salz
Kathrin Dussen van
Aurelia Mude
Urs Ebert
Dipl.-Ing. Wilfried Ortmann
Lili Döhn-Margraf
Attila Werner
Ing. Britt Trupp B.Eng.
Ing. Gabriella Bähr
Sylvio Gutknecht
Romy Etzold
Julius Kraushaar
Prof. Mechtild Steuer
Dietlind Anders B.A.
Herr Ignatz Boucsein MBA.
Maya Lindner-Zimmer
Heinz-Walter Juncken
Stanislav Reuter
Theda Klotz
Elli Junck
Irmgard Liebelt
Wera Schmidt
Ing. Siegmar Meyer B.A.
Ing. Canan Gutknecht B.A.
Rosita Möchlichen-Stumpf
Benita Neuschäfer
Alexej Röhrdanz
Kathrin Beckmann-Heinz
Magnus Heidrich
Katharine Renner
Hans-Georg Schmidt
Frau Cordula Anders B.Eng.
Cora Scholtz
Lidija Löchel B.A.
Gotthard Christoph
Abraham Adler
Gisela Hornich-Metz
Ekaterina Wieloch
Jeanette Mälzer
Ing. Hedi Wulf
Nadja Ladeck B.Sc.
Anton Drubin
Ignatz Franke
Ulrike Gierschner-Koch II
George Hörle
Anne-Kathrin Geisler
Frau Ina Dietz MBA.
Rosalinde Trupp
Daniela van der Dussen B.Eng.
Prof. Klaus Peter Bruder
Ivo Börner
Dr. Kai-Uwe Schulz B.A.
Bela Naser-Löwer
Karl-Hans Schuchhardt-Mohaupt
Marek Ackermann
Ing. Karl-Georg Dobes
Helma Hänel B.A.
Britt Gorlitz
Univ.Prof. Lisbeth Köhler
Irmtrud Pohl
Univ.Prof. Mirella Peukert
Nicolaus Seifert
Natascha Gotthard
Domenico Nohlmans-Eberhardt
Alfred Holzapfel-Hamann
Karl-August Döhn B.A.
Vincenzo Haering
Elma Heser
Desiree Köster
Heinz-Georg Hornich
Albin Budig
Hildegunde Aumann
Bernward Fröhlich
Caroline Wende
Prof. Folkert Ernst MBA.
Prof. Magnus Dörr B.Eng.
Herr Hansjoachim Geisler
Dr. Reza Hering B.Sc.
Rosl Trupp
Prof. Pedro Schmidt B.Eng.
Burckhard Heuser
Gabi Löwer MBA.
Gunhild Meister
Anne-Katrin Seip
Herr Karl-Heinrich Eberth B.Sc.
Ing. Wulf Atzler
Denny Lachmann
Ingried Ullrich
Jörg-Peter Christoph
Ing. Nadeschda Tschentscher B.A.
Hans-Hinrich Stiffel
Eckehard Steckel
Ingried Sauer
Miriam Haering
Natascha Schinke B.Eng.
Ryszard Junitz
Lothar Birnbaum
Chantal Kramer
Prof. Nuran Sauer B.Sc.
Elisabeth Käster
Ing. Adalbert Heser
Kathi Häring
Ludmila Löffler
Dr. Muzaffer Sauer B.Eng.
Sevim Junitz
Yvette Margraf-Wernecke
Micha Schottin
Hassan Sager
Felix Wilms
Norbert Eimer
Dipl.-Ing. Margarete Schmidt
Sergej Dippel
Zeki Otto
Ante Gunpf
Irina Birnbaum
Univ.Prof. Heinz-Dieter Schuster
Franz-Josef Etzold
Gisbert Christoph
Henny Stey
Regina Becker
Urs Bähr
Prof. Falko Trapp B.Eng.
Wieslaw Lachmann
Mattias Kruschwitz
Hans-Bernd Eimer-Pechel
Pius Gierschner-Weitzel
Tülay Schmidtke B.Sc.
Elzbieta Beier
Telse Steuer B.Eng.
Zofia Schönland B.Sc.
Amanda Stadelmann-Mende
Hülya Stadelmann
Walfried Wohlgemut B.Eng.
Dagmar Jungfer
Univ.Prof. Zita Löchel B.Sc.
Lucia Hermighausen
Henryk Textor-Gröttner
Rosa Heuser
Lieschen Steckel
Edward Hering MBA.
Ernestine Stumpf
Alois Jungfer B.Eng.
Falk Ritter
Herr Rudi Neuschäfer
Kilian Patberg
Univ.Prof. Resi Knappe
Manuela Linke B.Eng.
Klaus Dieter Stoll-Wilms
Natalia Hauffer
Christel Mangold
Dr. Reinhart Hecker B.A.
Ing. Anatolij Heintze
Anna-Luise Kraushaar
Karoline Römer
Univ.Prof. Hardy Hartung
Herr Torsten Hermighausen B.Sc.
Marika Sager
Dr. Timo Ernst
Nada Girschner
Reimund Kraushaar
Prof. Sibel Mälzer MBA.
Alexandros Ernst
Dipl.-Ing. Louis Spieß B.A.
Ignatz Budig
Josephine Nerger-Mende
Friedlinde Mühle B.A.
Lore Tröst
Niko Pergande
Pascal Freudenberger
Elenore Renner
Univ.Prof. Ivo Mies
Ottilie Blümel
Faruk Hoffmann
Hans-Henning Heydrich MBA.
Gundi Hiller
Stella Mülichen
Elsa Beer
Pauline Mosemann
Frederik Beyer
Ing. Justina Beckmann
Karl-Dieter Seifert
Ing. Anneliese Döring
Dina Schmiedt MBA.
Adriane Stroh
Kornelius Fröhlich B.Sc.
Darius Klotz
Reiner Ziegert-Walter
Selim Pieper
Vinko Reuter
Urszula Trapp
Kristian Rosemann B.Sc.
Hans-Dieter Scholl
Isa Knappe-Biggen
Gotthilf Bohnbach-Seip
Dr. Immo Kramer
Liane Reuter
Lambert Gehringer
Alex Ziegert
Markus Eimer
Dipl.-Ing. Edda Barth MBA.
Dr. Dagmar Hörle B.Sc.
Pedro Bärer
Myriam Aumann
Rosa Gnatz
Tadeusz Weller
Vinko Kraus-Schmiedt
Gaetano Söding
Klaus-Ulrich Gude
Ismail Junck-Trommler
Prof. Wolf-Dieter Killer B.Sc.
Daniele Finke
Prof. Mahmut Barth B.A.
Dipl.-Ing. Sedat Sontag
Gotthard Schuster
Zbigniew Hahn MBA.
Dipl.-Ing. Eckhard Kallert B.Sc.
Tillmann Dobes-Trupp
Ing. Hermine Warmer B.A.
Cornelius Jacobi Jäckel
Dipl.-Ing. Margaretha Köhler B.Eng.
Elfi Herrmann MBA.
Sylvia Schenk
Ing. Catrin Dippel MBA.
Adam Krein-Karge
Herr Peter-Michael Kensy B.Sc.
Kay-Uwe Trommler
Hans-Gerd Gnatz
Ljudmila Krebs
Kazim Tschentscher
Frau Evelyne Süßebier B.Eng.
Friedhilde Dobes
Friederike Sölzer-Hentschel
Prof. Fredy Hahn
Wilma Röhrdanz
Arne Knappe
Horst-Dieter Bähr
Joerg Döhn
Irmingard Meyer MBA.
Hans-Helmut Binner B.Sc.
Bernt Jessel
Alma Eimer-Seip
Detlev Heintze
Johan Buchholz
Wolfram Klingelhöfer B.Eng.
Hans-Helmut Wesack
Siegrun Ring
Janette Kraushaar
Constantin Ziegert
Ing. Giorgio Warmer B.Eng.
Univ.Prof. Sigurd Fischer B.Eng.
Michaela Kade
Siegmar Ullmann-Fritsch
Friedl Hänel
Willfried Werner
Dr. Gudula Scheuermann
Milka Hahn
Wally Schmidt
Dipl.-Ing. Robert Köhler
Inge Dietz B.A.
Adolfine Wilms
Ing. Paul-Heinz Geißler
Ottilie Gute
Hedda Haase
Canan Beyer
Klaus-Jürgen Jockel
Gina Killer
Prof. Robert Heintze
Annerose Eckbauer
Friedbert Sorgatz
Helma Zorbach
Dipl.-Ing. Jan-Peter Mende MBA.
Prof. Branko Weller MBA.
Ing. Swen Sorgatz B.Eng.
Deborah Beier
Ing. Zlatko Gerlach
Gaetano Lübs
Alfons Schleich B.A.
Carola Franke
Curt Schönland
Wibke Tschentscher-Wulf
Anett Wieloch
Saskia Wagenknecht
Wojciech Girschner B.A.
Leonie Möchlichen MBA.
Anka Rohleder
Augustin Wende
Sophie Pruschke
John Gunpf B.Sc.
Wulf Kusch
Herr Bastian Hübel B.A.
Tilman Hövel
Nermin Kranz-Austermühle
Klara Schlosser
Ulrich Schlosser
Jiri Hoffmann B.Sc.
Maren Scholz-Bohlander
Prof. Gertraud Drewes
Philipp Lorch
Dr. Halina Haase
Margita Schleich-Becker
Prof. Danny Bähr B.Eng.
Hans-Günther Kohl B.Eng.
Eduard Ruppersberger
Hubertine Jäkel
Brigitta Walter
Prof. Nikolai Gunpf
Dorit Dowerg
Kornelius Winkler
Esther Hoffmann-Hermighausen
Ljiljana Ruppert
Prof. Josefa Beier B.Sc.
Ing. Alwine Scholz
Andrei Säuberlich
Kirsten Heydrich
Benno Kraushaar
Prof. Arnold Caspar B.A.
Adrian Killer
Dörte Warmer
Mirja Schottin
Jan-Peter Grein Groth
Ing. August Hellwig B.Eng.
Adalbert Schmidtke
Joachim Süßebier
Albrecht Rust-Heinrich
Sandor Ritter
Resi Knappe
Stephanie Heintze
Franz Josef Nette-Werner
Hedwig Matthäi
Christof Ditschlerin
Prof. Grete Müller
Emilie Bolander
Karlfried Rörricht
Kay-Uwe Jähn-Schwital
Cosima Johann
Mareen Krebs-Hofmann
Hertha Gieß
Elke Haase
Ortrun Siering
Anatolij Keudel
Hubertus Dörschner
Ing. Hans Jürgen Häring
Hiltrud Adolph
Magdalena Löwer B.Eng.
Magdalene Mude
George Paffrath MBA.
Janusz Killer
Univ.Prof. Karin Beier
Siegrid Segebahn
Harri Mans
Lutz Pärtzelt
Prof. Torsten Geisel B.Sc.
Prof. Heide Krebs
David Faust-Holsten
Edeltrud Margraf
Univ.Prof. Veli Etzler
Dr. Baldur Johann B.Eng.
Anto Niemeier
Gerta Kallert-auch Schlauchin
Polina Kostolzin
Hilmar Hörle
Tamara Nette-Ladeck
Arno Lindner
Prof. Cäcilia Gertz B.Eng.
Ralph Fröhlich
René Hölzenbecher-Berger
Prof. Ricardo Kensy
Univ.Prof. Heinz-Werner Renner B.A.
Gunter Grein Groth B.Eng.
Karl Heinz Stiebitz
Ing. Hanna Killer
Kläre Beier B.A.
Dolores Atzler B.A.
Herr Gundolf Barth
Adelinde Putz
Aribert Herrmann
Andrei Hertrampf-Trommler
Annelie Bloch
Stanislaw Misicher
Elvira Gute-Käster
Heike Karge
Bogdan Römer B.Eng.
Karsten Wohlgemut
Sibylle Stey
Lisette Stoll B.Eng.
Carlo Pohl
Mercedes Christoph
Dr. Alwina Lorch MBA.
Harro Vogt-Gieß
Ottomar Kraus
Valentin Döring
Baptist Vogt
Klaus-D. Segebahn
Brian Ditschlerin
Camilla Kühnert MBA.
Amanda Weller
Susann Haering
Metin Klemt
Univ.Prof. Antonina Becker
Herr Hans-Martin Heuser
Imelda Schäfer
Nadeschda Hande
Alexej Wagner
Frau Danielle Junk
Freia Kraushaar B.A.
Henni Keudel B.Sc.
Nadia Wirth
Wanda Vollbrecht-Reinhardt
Prof. Maria-Theresia Schaaf B.A.
Dipl.-Ing. Gisela Schuster B.A.
Ioannis Klemt
Dipl.-Ing. Gilbert Plath B.Sc.
Irene Rogner
Willibald Holsten
Darius Kallert
Susanna Söding
Prof. Carina Eimer
Sandy Fechner
Dipl.-Ing. Reimer Werner MBA.
Lars Ullrich
Alena Steuer
Marek Schenk B.A.
Anne Zorbach
Frau Nadeshda Ruppert
Dajana Meyer
Dr. Jeanette Schuchhardt B.Eng.
Herr Filippo Rosemann B.A.
Erol Jäntsch
Dipl.-Ing. Josip Mies
Ing. Ernest Rogge B.A.
Mehdi Neureuther
Michelle Pohl
Heinz-Walter Roskoth-Hertrampf
Patric Geisler-Becker
Helmuth Langern-Steinberg
Univ.Prof. Conny Wagner MBA.
Kornelia Bachmann
Frau Inken Zimmer B.Eng.
Univ.Prof. Edelgard Naser B.A.
Marlis Rogge B.Sc.
Gislinde Schlosser
Frau Anja Haering
Stjepan Wesack-Winkler
Sergej Hauffer MBA.
Cathleen Gude
Prof. Götz Finke
Ing. Diedrich Gotthard MBA.
René Säuberlich B.Eng.
Paulina Bender-Liebelt
Ing. Ivana Budig B.Eng.
Concetta Dehmel
Prof. Henryk Kitzmann
Univ.Prof. Agathe Steinberg MBA.
Mia Paffrath-Ortmann
Urte Bolzmann
Brita Roht MBA.
Gundula Adler-Bien
Nora Klapp-Finke
Detlev Stadelmann
Univ.Prof. August Gunpf B.A.
Anastasios Kuhl
Hans-Georg Scholz
Anatolij Junk
Adam Gertz
Univ.Prof. Ingelore Schulz MBA.
Carina Kusch
Univ.Prof. Cynthia Löwer
Ing. Dirk Paffrath
Margaret Kraus
Herr Vincenzo Liebelt
Frau Zdenka Zimmer
Heinz-Joachim Trupp
Rolf-Dieter Jacobi Jäckel-Nerger
Frau Ivanka Killer MBA.
Thomas Hentschel
Dina Schmidtke
Kazim Junken
Thilo Tschentscher
Dr. Tim Hornig B.Sc.
Tabea Rogge
Dr. Zehra Etzler
Herwig Krebs
Hartmut Biggen-Trapp
Melitta Drewes
Justus Schleich-Drewes
Evelyn Bien
Ing. Frederic Christoph B.Eng.
Ing. Valentina Börner
Gisela Girschner
Wiebke Hölzenbecher
Dipl.-Ing. Mirella Franke MBA.
Herr Julian Gotthard B.Eng.
Jacob Süßebier
Marlen Gute-Hauffer
Dipl.-Ing. Randolf Martin B.A.
Paul Hettner
Hülya Scheibe
Mary Staude
Janko Stey MBA.
Lars Weller
Univ.Prof. Gretl Langern B.A.
Univ.Prof. Alexandros Junk
Ann-Kathrin Mühle
Jasmina Rudolph
Gertrude Pieper
Irmgard Pieper B.Eng.
Friedericke Ruppersberger
Katrin Ortmann
Lena Dowerg
Ute Stroh
Marie-Theres Trupp
Cornelia Gehringer
Henrik Hein B.A.
Janko Rose
Natalie Neureuther
Dipl.-Ing. Aleksandra Wagner MBA.
Erhard Geisel
Marie-Luise Zorbach MBA.
Anneli Butte
Natalija Haering
Holger Roskoth B.Sc.
Frau Etta Wesack MBA.
Sonja Paffrath-Reichmann
Ing. Torsten Hartung B.Eng.
Martina Hartung
Isabell Eberth-Pechel
Songül Tschentscher
Ing. Heinz Ehlert
Gitte Briemer
Moritz Spieß
Konstanze Mühle
Gunhild Gorlitz-Heinrich
Jost Roskoth
Dr. Marie-Louise Wohlgemut B.Sc.
Univ.Prof. Albin Bärer
Raymond Ruppersberger
Ing. Siegmund Hertrampf MBA.
Evelyn Ortmann
Dipl.-Ing. Emanuel Nette
Ruthild Juncken B.Sc.
Olav Margraf
Veli Rädel
Anne-Rose Klapp-Jockel
Micha Eckbauer B.Sc.
Heribert Ring B.A.
Ina Christoph B.Sc.
Franz Josef Haase
Dr. Sigrun Schönland B.A.
Univ.Prof. Babette Kitzmann
Michaele Klotz B.Eng.
Clemens Barth
Kathleen Hahn B.A.
Sigmund Hentschel MBA.
Gülay Haase
Frederike Dippel
Veit Etzler
Jolanta Döring
Marie-Luise Rogner
Dr. Gerold Dörschner
Mike Sölzer
Hanne-Lore Berger
Prof. Petar Köhler
Ing. Alma Rudolph B.Sc.
Sofia Austermühle
Kay-Uwe Barkholz
Prof. Eckhart Jockel B.Eng.
Sinaida Adolph
Egbert Heintze
Verena Hornich
Dr. Luisa Anders B.A.
Siegmund Heidrich
Rico Cichorius
Gernot Dörr
Marcella Höfig
Ing. Klaus-Dieter Karge MBA.
Valentin Rädel
Prof. Theda Hölzenbecher
Dipl.-Ing. Laurenz Gerlach MBA.
Czeslaw Jacob B.Eng.
Marianna Segebahn-Wernecke
Wiebke Caspar B.A.
Guenther Schmidt
Bianca Mans
Rosmarie Kambs MBA.
Damian Dörr
Dr. Leo Schlosser MBA.
Hans-Georg Dörschner
Ing. Annelise Nette B.Eng.
Erhardt Loos
Irina Gröttner
Dipl.-Ing. Till Schenk
Frau Trude Walter B.A.
Inna Weinhage
Annaliese Gerlach
Beata Stahr
Wilhelm Tlustek
Ing. Käthe Plath B.Eng.
Mary Reuter B.Sc.
Erhardt Steinberg
Oxana Stumpf
Sara Rogge
Stephan Stolze-Holt
Carin Rohleder
Mohammad Karz MBA.
Tobias Mühle
Theresia Henck
Dr. Fedor Plath B.Sc.
Guiseppe Bien
Ioannis Junck
Hans-Wilhelm Weller
Alessandro Henk-Käster
Heinz-Wilhelm Werner
Leonhard Adolph
Evangelia Misicher
Elizabeth Jacob
Herr Janus Matthäi B.Sc.
Frau Reinhilde Wirth MBA.
Reinhild Patberg
Brian Blümel B.Eng.
Detlef Köster
Thorsten Bolzmann-Hesse
Ing. Clemens Wirth
Dr. Salih Ullmann
Dipl.-Ing. Adriana Geißler
Frau Ellinor Tintzmann
Marcella Franke B.A.
Jonathan Mohaupt
Kornelius Hornig MBA.
Apollonia Trüb B.A.
Gerold Jacob
Ole Süßebier MBA.
Thies Pergande
Werner Heydrich-Schmidtke
Hilmar Graf
Heinz-Joachim Kobelt
Ing. Irmtraud Wiek MBA.
Roderich Weitzel
Eleni Krause B.A.
Dr. Anna-Maria Zahn B.Sc.
Carin Huhn
Halil Warmer B.Sc.
Edda Henschel
Siegbert Hartmann B.A.
Hasso Mans-Buchholz
Frau Beatrix Bonbach B.A.
Gert Nette
Johan Heydrich
Hans Josef Lachmann
Gunhild Nohlmans
Hildegunde Staude
Hannes Jäntsch
Lia Heydrich
Prof. Kata Häring
Uschi Trüb
Niko Geißler-Wirth
Dorothea Etzler
Claire Junk
Gerta Stey-Klemm
Franziska Hörle B.Sc.
Eric Briemer
Virginia Eigenwillig
Anna Lübs
Dr. Krista Jäkel B.A.
Ing. Georg Lübs
Herr Konstantin Neureuther B.A.
Berthold Haase-Trub
Univ.Prof. Alberto Steuer
Dipl.-Ing. Willibert Süßebier
Dr. Elif Peukert B.Eng.
Univ.Prof. Fredy Barth MBA.
Cilli Lindau B.A.
Mark Lindau
Ing. Willi Warmer B.Eng.
Leonid Hein B.Sc.
Zita Holt
Hartwig Sorgatz B.Eng.
Marika Zänker B.A.
Dr. Alma Warmer MBA.
Anika Sager
Sibel Weller
Prof. Kordula Vollbrecht B.A.
Herr Jan Kobelt
Aleksander Scheuermann
Alicja Faust B.Eng.
Margareta Losekann
Michel Kuhl
Irmela Höfig B.Sc.
Frau Ayten Pärtzelt MBA.
Frau Corinna Wähner
Verena Gute-Trüb
Marliese Becker
Traudl Röhrdanz-Spieß
Ing. Carmine Kroker
Evi Wilmsen MBA.
Gregor Knappe B.Eng.
Maik Oestrovsky B.Sc.
Georgia Trub
Univ.Prof. Franca Ritter B.Eng.
Ulrike Ackermann B.Sc.
Leokadia Finke-Dippel
Dipl.-Ing. Julian Mühle
Theodor Mangold
Hans-Michael Rudolph
Traudel Loos
Karla Freudenberger MBA.
Heinz-Günter Schuster
Nico Möchlichen
Erwin Jopich
Dr. Margarethe Ernst
Folker Otto
Herr Klaus Peter Krause B.A.
