Student
Amalia Wulf
Dr. Melitta Mans B.Eng.
René Matthäi
Univ.Prof. Anika Jockel MBA.
Kirsten Stey B.A.
Gislinde Junken
Traugott Hövel
Dr. Aysel Kohl
Oda Barkholz
Justine Patberg-Metz
Dipl.-Ing. Gunar Kuhl
Herr Vinzenz Jäntsch B.A.
Piotr Ruppersberger
Prof. Mathias Schmiedt
Peer Nohlmans B.Sc.
Peggy Holt
Joachim Steuer
Friedericke Ring MBA.
Dr. Stefania Gnatz
Dipl.-Ing. Jose Löchel
Klaudia Vollbrecht B.A.
Agnes Vollbrecht
Micha Eckbauer B.Sc.
Prof. Alina Barth
Hertha Stoll
Dr. Semra Schulz
Dipl.-Ing. Karsten Fechner
Anselm Mühle
Evangelia Meyer-Mielcarek
Herwig Krebs
Nina Putz-Ritter
Dr. Vitus Franke
Vassilios Kuhl B.Sc.
Angelica Klemt
Ursula Jacobi Jäckel
Thorben Ruppert
Karlheinz Stahr
Ing. Kay-Uwe Flantz
Gundula Otto-Kuhl
Enrico Hornig
Dipl.-Ing. Tina Wagenknecht MBA.
Margrit Schenk B.A.
Ronald Börner-Hentschel
Traugott Textor-Wagenknecht
Dorota Wilms
Murat Meister
Dipl.-Ing. Marieluise Löchel
Dr. Annelene Hamann
Sibylla Pohl
Dipl.-Ing. Peer Kuhl
Astrid Dowerg-Stroh
Rosina Otto
Prof. Gerd Schenk
Liane Hermann MBA.
Henni Ullmann MBA.
Herlinde Schenk B.A.
Dittmar Hövel
Joana Zimmer B.A.
Univ.Prof. Emine Vogt B.Sc.
Zofia Gumprich
Ing. Sina Johann MBA.
Gerd Becker
Dipl.-Ing. Dragica Neureuther
Prof. Evelyn Henk
Gesine Graf
Valeri Tschentscher
Dr. Harald Ritter
Ekaterina Schmiedecke
Robert Budig-Ullmann
Friedericke Lehmann B.Sc.
Dr. Franco Stumpf B.Eng.
Delia Rust
Ing. Lucie Karz
Prof. Magdalena Bohlander B.Sc.
Thorsten Ruppersberger
Edeltrud Kambs
Univ.Prof. Johan Lange
Hanni Wieloch
Rene Rohleder
Dana Köster
Univ.Prof. Tabea Dörschner MBA.
Ralph Stahr
Ludwina Hölzenbecher
Frank-Peter Kambs
Oxana Ladeck
Eduard Ruppersberger
Hans-Ulrich Liebelt-Hauffer
Fredi Wilmsen
Frau Ina Dietz MBA.
Univ.Prof. Dorle Röhrdanz B.A.
Achim Etzold MBA.
Univ.Prof. Bela Kraus
Nadin Hertrampf-Killer
Prof. Marija Seidel
Gert Hölzenbecher B.Sc.
Hubertine Jäkel
Lambert Gehringer
Rafael Blümel
Fabian Pechel-Dippel
Agnieszka Steckel
Sibylle Stey
Erkan Trub
Hanno Salz
Gundolf Walter
Prof. Helmut Hellwig MBA.
Veronique Löwer
Svetlana Schenk-Barth
Carlo Bohlander
Dr. Valentin Eigenwillig
Friedrich Austermühle-Döring
Diether Dussen van-Rohleder
Milos Wiek
Frau Belinda Plath B.A.
Hans-Rainer Rogner
Ditmar Trub
Gusti Schleich
Frau Ariane Weinhage MBA.
Arne Dobes
Marek Schenk B.A.
Traudel Loos
Ortrun Krebs
Ing. Silja Heser
Lilly Naser
Ljiljana Roht
Fatma Hein
Sonia Säuberlich-Langern
Herr Winfried Vollbrecht B.Eng.
Raissa Gehringer-Putz
Patrick Döring
Dr. Jochen Schäfer
Ewald Kreusel
Henri Wilms
Tabea Kaul
Valeria Finke
Harro Trapp B.Eng.
Karl-Jürgen Ziegert
Domenico Gertz
Herr Thorsten Hartmann B.Eng.
Prof. Bianka Reinhardt
Eva-Maria Mies MBA.
Marlies Mude
Dipl.-Ing. Anneliese Kühnert
Inga Eberhardt
Gabor Steuer
Prof. Hermann Josef Söding
Dr. Hildegund Gnatz B.Eng.
Fredo Bärer
Senol Harloff-Lindau
Liane Gröttner
Prof. Klaus Peter Hellwig B.Sc.
Helge Finke-Wähner
Frau Anna-Luise Sontag
Klaus-Michael Mälzer
Mandy Scholl-Bohnbach
Harold Bohlander B.Sc.
Irmi Gute
Rico Putz-Killer
Lucie Trüb-Schmiedt
André Röhrdanz B.A.
Salih Eckbauer-Renner
Klaus-D. Zirme-Bachmann
Elisabet Schuster B.A.
Marie-Louise Hauffer
Catherine Huhn
Prof. Raymond Söding
Univ.Prof. Frederike Heintze
Jörn Barth-Möchlichen
Amir Reuter
Lars Ullrich
Myriam Schäfer-Tschentscher
Hedy Loos
Dr. Halina Haase
Polina Hettner
Ing. Henning Drub
Doreen Striebitz
Viola Oderwald B.A.
Wieslaw Lachmann
Walli Jopich
Imke Keudel B.Sc.
Univ.Prof. Greta Trapp
Ing. Rosalinde Rogner MBA.
Frau Patricia Gorlitz B.A.
Arnulf Kusch
Raphael Barth
Bayram Hering
Stavros Vollbrecht-Geißler
Max Fiebig
Dipl.-Ing. Hanns Killer B.Sc.
Silke Scheuermann B.Sc.
Ing. Utz Klemt B.A.
Prof. Rolf-Dieter Fiebig MBA.
Tülay Hettner-Ebert
Karl-Josef Thanel
Milos Biggen
Andrea Hamann
Dr. Trude Girschner
Danielle Ritter B.Eng.
Aribert Schulz B.Eng.
Annie Schlosser
Resi Knappe
Ing. Margarethe Martin
Boris Stumpf
Andree Budig B.Eng.
Ingmar Beckmann
Prof. Josefa Beier B.Sc.
Elsa Beer
Stilla Köhler
Christopher Gertz-Kade
Josef Berger
Univ.Prof. Petra Scheel
Dr. Inna Mude MBA.
Augustin Wende
Veronica Benthin
Univ.Prof. Galina Kobelt B.Eng.
Hans-Ulrich Plath B.A.
Gero Gumprich B.Sc.
Karl Ruppersberger
Kordula Dobes-Buchholz
Jurij Eimer
Anatolij Keudel
Anette Bien
Liselotte Lindau
Lucia Kohl
Klaus-D. Segebahn
Ekrem Zänker
Annelie Heuser
Prof. Amelie Rose MBA.
Frau Evamaria Geißler
Sören Liebelt
Jessica Stumpf
Hans-Theo Vogt-Beckmann
Prof. Wolfram Binner B.Eng.
Ing. Nelli Hornig
Denis Ruppersberger
Birgitt Seip-Klemm
Adriane Gröttner
Ing. Mattias Boucsein
Eleni Matthäi
Heinz-Jürgen Adolph
Dr. Wanda Dippel
Eberhardt Warmer
Mariusz Baum
Anna-Luise Kraushaar
Tilman Killer B.A.
Hermann Josef Drubin
Ing. Toralf Wiek
Niels Faust
Ing. Corinne Winkler
Irmengard Röhrdanz
Oskar Beyer
Valerie Kallert B.A.
Ilja Wende
Nikolai Rädel-Klemt
Friedericke Bolzmann
Sebastian Aumann
Elena Gotthard
Asta Mielcarek-Blümel
Heinz-Willi Jockel
Florian Finke
Herr David Freudenberger B.Eng.
Dittmar Graf
Johanna Fischer
Hansjürgen Schlosser
Ing. Ernest Rogge B.A.
Nicolas Möchlichen MBA.
Eckehard Steckel
Prof. Klaas Geißler B.A.
Marie-Luise Staude-Käster
Daniele Hering
Ing. Hellmuth Scholl
Gitta Berger
Dipl.-Ing. Alan Schacht B.Eng.
Mina auch Schlauchin
Prof. Horst Mälzer B.Sc.
Marten Wesack
Klaus-Werner Koch II B.Sc.
Kay-Uwe Bruder MBA.
Daniela Schweitzer
Claire Junk
Reinhard Christoph
Leonid Hein B.Sc.
Ferdinand Junitz B.Eng.
Zehra Ernst-Bohnbach
Kristina Scheibe
Kevin Tlustek-Heinz
Frau Herlinde Kade B.A.
Mahmoud Ditschlerin-Trüb
Adelheid Salz
Salvatore Ruppersberger
Jochem Hermighausen
Prof. Manuela Schleich B.Sc.
Senta Ruppersberger
Horst-Peter Faust
Christoph Löchel B.Sc.
Darius Trupp
Emilia Seifert
Ann-Kathrin Mühle
Daniela van der Dussen B.Eng.
Necati Lindner
Vera Losekann
Christos Gumprich
Gotthard Schuster
Ing. Tillmann Geisel
Birte Jüttner
Frank-Michael Sontag
Marcel Hermighausen
Zeki Hartung
Dipl.-Ing. Ingolf Krein
Dipl.-Ing. Theobald Knappe B.Eng.
Dipl.-Ing. Janet Ruppersberger
Adina Mitschke
Elfi Bolander
Liesbeth Koch II
Siegmund Heidrich
Karl-Heinz Rohleder
Dr. Zenta Holsten
Lothar Ladeck
Hans-Albert Schwital
Eugenia Sorgatz
Hildegund Ruppersberger
Helmuth Wagner
Elsa Preiß
Dr. Diedrich Krebs B.A.
Silvia Eberth
Lutz Pärtzelt
Ria Dietz
Corina Pergande
Ralph Hellwig-Lachmann
Dipl.-Ing. Cora Baum
Dipl.-Ing. Gerold Kusch B.Eng.
Zofia Gutknecht
Dr. Gaby Sontag MBA.
Hans Josef Thanel
Ing. Anatolij Heintze
Swantje Binner B.A.
Dipl.-Ing. Arthur Ziegert
Prof. Concetta Mies B.Eng.
Josephine Nerger-Mende
Nicolai Röhricht-Spieß
Herr Gordon Meister
Jolanthe Jessel
Dr. Ellen Schlosser B.A.
Univ.Prof. Wibke Reinhardt B.Eng.
Peggy Rogge-Lachmann
Claire Rogner-Scheel
Pirmin Wulf B.Sc.
Univ.Prof. Conny Wagner MBA.
Gerolf auch Schlauchin
Ing. Zlatko Gerlach
Karl Zirme
Leopold Jungfer
Ing. Louis Eckbauer B.Eng.
Ismail Geisler
Adolfine Dippel
Antonino Klingelhöfer
Wally Schmidt
Hertha Caspar MBA.
Konstantinos Stolze-Biggen
Miroslaw Hentschel-Stoll
Engin Hofmann
Lisbeth Karge
Geza Beckmann
Sandro Täsche
Hellmut Bruder
Frau Alwina Bohnbach B.Eng.
Fanny Bolnbach B.Sc.
Milos Trüb
Sandy Dietz
Monique Schleich-Kroker
Jeannette Heuser
Anne Zorbach
Janos Ehlert
Frau Stefani Hendriks B.A.
Francoise Dippel B.Eng.
Richard Kostolzin
Tina Henschel
Maximilian Steinberg
Ljiljana Stoll
Ferenc Trüb B.A.
Irmgard Täsche B.A.
Ludwina Mohaupt
Celal Seifert
Univ.Prof. Siegfried Karz B.Sc.
Stanislav Reuter
Prof. Monique Budig B.Eng.
Heinz-Peter Butte B.Eng.
Wiebke Caspar B.A.
Prof. Ines Kuhl
Annie Noack
Carsten Wieloch-Kranz
Sylvana Hornich MBA.
Maja Fischer B.A.
Stephen Bruder
Gereon Jacob
Prof. Axel Davids MBA.
Wally Fliegner
Ernest auch Schlauchin
Bernward Losekann MBA.
Aloisia Faust
Anatolij Peukert
Witold Wulf
Helmtrud Gerlach
Kläre Kohl
Hans-J. Tröst MBA.
Ing. Dierk Striebitz
Hans-Heinrich Schüler-Seip
Norbert Niemeier
Liliane Koch II
Friederike Geisler
Nurettin Bärer B.Eng.
Aziz Bähr B.A.
Christiane Mentzel
Dr. Ferdinand Pölitz
Prof. Ada Wähner
Ing. Pamela Gerlach
Karlheinz Martin
Dr. Hans-Detlef Lindau B.Eng.
Adelheid Hecker
Margot Schäfer B.Eng.
Ing. Helmuth Bruder
Christin Hein B.Sc.
Ing. Baldur Blümel MBA.
Uwe Rosenow
Hanife Thies
Tomislav Girschner
Denis Etzold
Stanislaw Misicher
Univ.Prof. Jörg Jessel MBA.
Jelena Jüttner
Baptist Vogt
Ing. Ralf Sölzer B.A.
Suse Pergande-Gröttner
Prof. Walter Pechel
Andrea Wulf
Vito Roht
Augustin Ernst
Victor Seifert
Dr. Friedhilde Adler MBA.
Florian Weimer
Herr Hansjoachim Geisler
Prof. Magnus Dörr B.Eng.
Gereon Wende MBA.
Natalja Löchel-Beckmann
Prof. Magda Textor
Torsten Trapp B.A.
Paolo Hentschel-Zobel
Danielle Drubin
Micha Albers-Wilms
Prof. Martin Ullmann
Dipl.-Ing. Edda Barth MBA.
Univ.Prof. Theresia Lange MBA.
Kristian Albers
Benno Klemt
Angela Stiffel
Aziz Anders
Concetta Seifert
Erol Lindner
Hans Kraus
Jo Dussen van
Hildegunde Geißler-Klemm
Herr Benedikt Säuberlich
Herr Karl Dippel B.A.
Tabea Schomber
Univ.Prof. Margareta Naser
Univ.Prof. Anatoli Ritter
Igor Zobel B.A.
Univ.Prof. Almut Ehlert B.Sc.
Niko Bähr B.Sc.
Burghard Hamann-Dippel
Janett Zorbach
Aline Atzler-Beckmann
Alicja Gieß
Ljiljana Rädel
Zenon Pärtzelt
Frau Caren Schmidt MBA.
Brita Kaul
Eckhard Lindau B.A.
Univ.Prof. Nermin Rosemann B.Sc.
Gunter Beyer
Luise Gertz-Fliegner
Jonathan Schottin-Naser
Linda Kruschwitz
Ramon Jäntsch-Gertz
Erhardt Loos
Marga Scholz
Karl-Hans Weinhold-Noack
Thorben Stiebitz
Herr Hanno Hesse
Jaroslaw Eckbauer
Luka Binner
Charlotte Hecker B.Eng.
Myriam Aumann
Justine Lindner
Anto Kostolzin
Christa Kabus
Lilli Harloff
Camilla Gunpf
Dipl.-Ing. Jozef Hartmann
Herr Jan Kobelt
Eitel Hethur
Etta Hellwig
Janin Höfig B.A.
Hermann-Josef Zimmer
Stephen Trommler
Dipl.-Ing. Birgitta Boucsein
Gabi Heinz
Frau Margit Gehringer MBA.
Alfredo Möchlichen
Dipl.-Ing. Mariana Mohaupt B.Sc.
Klaus-Peter Gieß-Winkler
Hans-Gerhard Döhn
Lydia Wirth
Joseph Austermühle
Dr. Cengiz Säuberlich
Annelie Metz
Irma Atzler-Herrmann
Heinrich Ackermann
Ing. Stella Wagner
Arno Lindner
Reimund Kraushaar
Sigrun Weinhold
Britt Bolander B.A.
Ulrike Schleich-Süßebier
Grete Biggen-Kostolzin
Ali Briemer-Klemm
Wojciech Losekann-Seidel
Kreszentia Pölitz-Karge
Tomislav Mende
Ing. Guenther Scholtz B.A.
Damian Hentschel
Prof. Clarissa Barth
Dorothee Renner
Nikola Kitzmann
Fatima Eckbauer-Rosemann
Univ.Prof. Cord Becker
Ing. Romuald Kreusel B.A.
Stefani Caspar
Bernhardine Ruppersberger
Karolina Reuter-Freudenberger
Prof. Heinz-Willi Hertrampf
Karl-Hans Hande-Schuster
Damian Holsten
Sigrid Jockel
Mark Röhricht
Gloria Schulz-Huhn
Reni Rosemann MBA.
Ing. Helen Gumprich B.Sc.
Stephen Reichmann
Margret Dehmel
Mariechen Nohlmans
Hans Kohl MBA.
Gottfried Hettner-Reising
Ole Losekann
Frau Katarina Bolander B.Sc.
James Ebert
Mirko Ehlert
Rose-Marie Jäkel
Franz Löwer
Frau Wendelin Heinrich B.Eng.
Xenia Hermann
Prof. Emil Kruschwitz
Wally Bien-Kraushaar
Recep Weihmann
Prof. Uschi Fliegner B.A.
Jana Wulf MBA.
Toralf Pieper
Herr Ansgar Gnatz
Caterina Weinhage
Nada Girschner
Detlev Weihmann-Schäfer
Aenne Kraus
Käthe Langern-Jacob
Dipl.-Ing. Korinna Pärtzelt
Mona Söding
Carlo Pohl
Ludmila Patberg
Univ.Prof. Jürgen Weiß
Prof. Liliana Klemm MBA.
Constanze Lange
Theres Heser
Prof. Maya Peukert
Greta Hermighausen
Irmgard Liebelt
Luisa Hecker
Norma Jungfer
Dr. Gerda Butte MBA.
Joana Mielcarek B.A.
Ing. Justina Beckmann
Ursel Eckbauer
Frau Reinhilde Wirth MBA.
Anton Müller
Horst-Dieter Seifert
Ruben Trubin
Ronald Hofmann
Wera Klemt
Jessika Käster
Herr Hilmar Stumpf
Ingetraud Austermühle-Dowerg
Annemarie Seidel
Engelbert Sauer MBA.
Herr Valentin Warmer
Gaetano Paffrath
Roswita Henck
Senta Wernecke B.Sc.
Norman Ditschlerin MBA.
Ronald Henschel
Tino Wagenknecht B.Eng.
Mareike Wilmsen
Rabea Weiß MBA.
Prof. Pascale Kruschwitz
Zofia Schulz
Frau Evelin Löffler
Sami Junitz
Prof. Folkert Ernst MBA.
Malte Bohlander
Anja Wagner-Hermann
Janko Neureuther
Klaus Dieter Stoll-Wilms
Detlef Köster
Benjamin Lübs
Marie-Theres Trupp
Patric Geisler-Becker
Roselinde Metz MBA.
Konstanze Zänker MBA.
Frau Melita Huhn
Fredi Jäntsch
Gerda Schleich
Frau Ellinor Tintzmann
Karsten Kraushaar B.A.
Dr. Uli Segebahn
Siegrid Schmiedt
Univ.Prof. Kata Zahn
Ing. Ortrun Weimer
Prof. Ricardo Kensy
Wiebke Gehringer
Necati Koch
Dr. Ante Jüttner B.A.
Dipl.-Ing. Rudi Wiek B.Eng.
Dr. Sükrü Hettner
Prof. Arif Mielcarek B.Eng.
Franca Buchholz
Ina Christoph B.Sc.
Ing. Amalia Walter
Miroslaw Holt
Dr. Gudula Scheuermann
Anne-Kathrin Geisler
Herr Gotthard Wilms
Ing. Gerold Gotthard
Ing. Siglinde Bolzmann
Magdalene Fröhlich
Kornelia Bachmann
Zbigniew Hahn MBA.
Gino Häring
Franz Josef Flantz
Ing. Torsten Hartung B.Eng.
Metin Klemt
Antonia Köster B.A.
Katharina Speer
Frau Annett Tlustek B.Eng.
Auguste Lorch
Prof. Urs Flantz
Hassan Kroker-Girschner
Berthold Austermühle MBA.
Maik Tintzmann B.Sc.
Karl-Dieter Seifert
Heide-Marie Gunpf B.A.
Annelise Jungfer
Univ.Prof. Ferenc Knappe B.Sc.
Hans-Jochen Gorlitz B.Sc.
Alida Trupp
Ralph Binner-Römer
Univ.Prof. Herlinde Klotz
Leon Aumann
Paul-Gerhard Jungfer B.Eng.
Wiltrud Geißler
Ing. Ramazan Kabus B.Eng.
Esther Hoffmann-Hermighausen
Univ.Prof. Elfriede Rohleder
Sigrid Schleich
Marita Berger B.A.
Diana Drubin-Walter
Hilda Metz-Dehmel
Ulrike Klemt B.Sc.
Urszula Spieß
Thilo Tschentscher
Univ.Prof. Resi Kobelt
Brigitta Walter
Univ.Prof. Leszek Gieß B.Eng.
Hans-Theo Bärer B.Eng.
Monja Siering
Alexandra Butte
Ehrenfried Drubin-Paffrath
Dipl.-Ing. Viktor Scheibe MBA.
Leonore Schacht
Anton Stey
Roswita Atzler
Alexander Hörle
Annerose Eckbauer
Inge Paffrath
Kaspar Römer
Piotr auch Schlauchin-Reuter
Univ.Prof. Klaus-Günter Renner B.A.
Frau Juliane Schulz B.Sc.
Celal Pohl
Joanna Weinhold-Förster
Dipl.-Ing. Katarina Schmidtke
Prof. Riza Niemeier
Sylke Binner B.A.
Prof. Karen Henk MBA.
Aenne Mende B.Eng.
Alexa Dietz
Ryszard Lehmann
Univ.Prof. Gottfried Süßebier
Vincenzo Zirme
Luzie Sager-Gierschner
Paola Margraf
Domenico Kade B.A.
Marten Röhricht B.Sc.
Catrin Hamann
Cäcilie Schmidt
Isa Tlustek
Eveline Kruschwitz B.Sc.
Nevenka Fritsch
Kaspar Hänel
Ditmar Niemeier
Mira Sontag
Dr. Gabriel Junitz
Joachim Fischer
Ralph Rogge
Attila Rogner
Romy Zahn-Bien
Simone Jacobi Jäckel B.A.
Frau Mirjana Baum B.Sc.
Ivan Plath
Frau Constanze Heidrich B.Sc.
Drago Gierschner B.Eng.
Dipl.-Ing. Janus Roht B.Sc.
Lidija Trapp
Gilbert Schottin
Herr Roderich Hauffer
Marleen Heser
Prof. Oswald Ehlert MBA.
Dr. Ibrahim Dobes B.Eng.
Corinna Täsche B.A.
Peter Sontag
Carsten Jüttner B.Eng.
Berit Pärtzelt
Stjepan Wesack-Winkler
Fedor Roskoth B.A.
Univ.Prof. Paul-Gerhard Lübs MBA.
Kunibert Hahn-Lindau
Uwe Sorgatz
Gunter Schenk B.Sc.
Leni Heß
Urszula Fliegner
Ing. Henrike Kramer
Ernst Henschel
Gabriela Gierschner
Pamela Mies B.Eng.
Gerd Wiek MBA.
Annamaria Hänel-Zimmer
Hans-Henning Scheel
Margit Müller
Waltraut Ernst
Norman Fechner
Ing. Emmy Beer
Frank-Peter Bien
Olav Margraf
Dr. Bastian Christoph MBA.
Paul-Gerhard Gunpf
Margita Schleich-Becker
Eckard Textor
Raisa Stey-Sauer
Rosa-Maria Steckel
Wolf-Dietrich Berger
Dipl.-Ing. Henriette Schmidtke MBA.
Marlen Hesse
Carla Ruppersberger
Dina Johann
Marga Vogt
Edward Dippel
Sigmund Conradi
Wilma Röhrdanz
Friedhilde Dobes
Arif Pergande-Wagenknecht
Herr Jacek Budig B.Eng.
Dipl.-Ing. Charles Täsche
Nadeschda Hande
Wilma Paffrath
Nicolai Gutknecht
Prof. Bela Noack
Joana Wähner
Fredy Bachmann B.Eng.
Ing. Isolde Rosenow
Mark Sauer B.A.
Dr. Ralf Hölzenbecher
Eckhart Gutknecht
Dr. Aziz Adolph MBA.
Leszek Hentschel
Kornelius Winkler
Valerie Losekann
Danny Gumprich
Edeltraud Bärer
Doris Kraushaar
Marit Mühle
Ing. Klothilde Hörle B.A.
Sibylle Löchel
Michail Pechel
Laurenz Ritter
Gereon Textor
Dipl.-Ing. Erwin Hamann
Falko Klemm B.Sc.
Dipl.-Ing. Margarethe Holt MBA.
Leonhard Patberg
Univ.Prof. Pauline Klemt
Klaus Peter Adler
Nikolaos Reichmann
Anna-Marie Steckel
Saskia Heidrich
Malte Schäfer
Ing. Carolin Hoffmann
Prof. Heinz-Peter Thies
Dana Löwer MBA.
Wibke Reuter
Elizabeth Jacob
Herr Bastian Ritter B.Sc.
Univ.Prof. Marcella Trüb
Prof. Karl-Hermann Pieper B.Eng.
Vladimir Wulf B.A.
Frau Aleksandra Bähr B.Eng.
Herta Keudel
Tillmann Dobes-Trupp
Antonino Rogge-Meyer
Univ.Prof. Aleksander Wiek B.A.
Harro Keudel
Sylvester Neuschäfer-Schacht
Dr. Mohammed Höfig
Hansgeorg Hettner
Emil Preiß-Hecker
Guiseppe Bien
Ilka Heß
Reinhild Patberg
Siegbert Kranz
Prof. Vesna Scholz
Helene Gröttner-Hornich
Univ.Prof. Halina Hamann MBA.
Stavros Zirme
Heidelore Heinrich
Stefanie Hertrampf MBA.
Prof. Diether Neureuther
Clemens Barth
Hans Georg Gorlitz-Schäfer
Laurenz Siering-Kallert
Gebhard Sauer
Univ.Prof. Alexei Mülichen MBA.
Senol Hande MBA.
Notburga Pechel B.Eng.
Andrej van der Dussen B.A.
Insa Bloch B.A.
Alwina Koch
Isabell Eberth-Pechel
Kathrin Dussen van
Gaetano Fröhlich
Prof. Robert Heintze
Niklas Trubin
Wilma Pärtzelt-Huhn
Antonietta Lindner MBA.
Ing. Clemens Wirth
Julie Radisch MBA.
Thies Rose
Lidija Löchel B.A.
Anika Sager
Hartwig Zirme
Danica Atzler
Elfie Otto
Ditmar Dehmel
Zita Winkler
Gunda Warmer
Slavko Fliegner B.Sc.
Marieluise Kruschwitz
Burkhard Fröhlich-Dussen van
Frau Silvana Bolzmann B.Eng.
Gisa Gerlach
Erdal Meyer B.A.
Daniel Zänker
Ottmar Kruschwitz
Abram Briemer
Celal Hettner MBA.
Dr. Bernfried Bärer
Herr Burkhardt Bauer B.Eng.
Wencke Riehl-Stoll
Kreszentia Bloch-Steckel
Silvia Weiß
Geza Weller
Kay-Uwe Finke
Univ.Prof. Alexandros Junk
Ing. Gerold Mende
Ing. Wencke Speer
Antonina Neureuther
Phillip Salz B.Sc.
Emilie Schmiedecke
Univ.Prof. Cläre Weihmann B.A.
Susanne Etzold
Willibald Gude
Dagmar Schinke B.Sc.
Laura Beier
Gabi Meister
Dorina Dowerg
Käte Ditschlerin-Roht
Univ.Prof. Zita Löchel B.Sc.
Kunigunda Hänel-Briemer
Dipl.-Ing. Kristine Klapp MBA.
Dipl.-Ing. Valeria Kühnert MBA.
