Student
Dr. Silvester Krein B.Sc.
Prof. Walter Pechel
Dipl.-Ing. Friedhilde Hauffer B.A.
Univ.Prof. Marcella Trüb
Kriemhild Junk MBA.
Arnd Jacobi Jäckel
Cäcilie Roht-Misicher
Ingried Bähr
Annie Noack
Hartmut Hiller B.A.
Wolf-Dieter Eigenwillig
Valeska Blümel B.A.
Christiane Wirth B.Eng.
Prof. Alois Jacob
Univ.Prof. Cläre Weihmann B.A.
Sibilla Hofmann
Univ.Prof. Eugen Karz
Gertraud Tröst
Elfi Kranz
Prof. Heinz-Willi Lindau MBA.
Björn Steckel B.Eng.
Samuel Ackermann
Herr Salih Blümel
Frau Delia Hellwig B.Sc.
Wenzel Ebert
Claus Jähn B.Eng.
Gotthilf Gehringer B.A.
Jutta Aumann
Asta Hesse
Kreszentia Scheibe
Hanns Stiffel
Pierre Ortmann
Henni Keudel B.Sc.
Frau Pascale Hettner B.Eng.
Siegrid Segebahn
Sergej Hauffer MBA.
Insa Peukert
Ing. Christa-Maria Liebelt
Dipl.-Ing. Walburga Steckel
Nadine Schleich
Raymond Römer
Univ.Prof. Nermin Rosemann B.Sc.
Michaele Neureuther
Theodor Mangold
Ben Schomber
Nicole Scheibe
William Zirme
Krzysztof Kruschwitz
Diethard Trommler
Bertha Barkholz
Gereon Trapp
Ing. Mattias Boucsein
Hanife Täsche-Stiffel
Samir Krein B.A.
Marleen Austermühle-Tintzmann
Jonas Christoph B.Eng.
Brian Dussen van
Dr. Marie-Theres Möchlichen B.A.
Gislinde Wagenknecht
Änne Möchlichen
Kristian Albers
Sami Mans-Ullrich
Mike Sölzer
Caroline Harloff
Dipl.-Ing. Nina Boucsein MBA.
Karsten Kraushaar B.A.
Halina Segebahn
Leokadia Oestrovsky
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Liesa Neureuther
Dipl.-Ing. Katarina Schmidtke
Hildburg Dowerg-Pergande
Hellmuth Söding-Bonbach
Kornelius Hornig MBA.
Athanasios Jacobi Jäckel
Univ.Prof. Gisa Meister
Beatrix Gehringer
Ralf-Peter Gute
Klaudia Löffler-Zorbach
Emanuel Scholz B.Eng.
Cornelia Römer
Prof. Marijan Hoffmann
Rudi Schacht
Rotraut Ullrich
Frau Margit Gehringer MBA.
Herr Muzaffer Klotz B.Sc.
Vadim Rose-Wulf
Dipl.-Ing. Alexandros Weinhold
Larissa Löffler
Götz Hofmann B.A.
Gabi Harloff
Hardy Wende B.Sc.
Hildegund Ruppersberger
Prof. Constance Girschner MBA.
Alice Lachmann-Finke
Ing. Romuald Roht B.Sc.
Dr. Dagmar Hörle B.Sc.
Andreas Gunpf
Prof. Denis Segebahn MBA.
Paolo Zänker MBA.
Anne-Marie Stumpf
Irmtraut Ortmann MBA.
Wojciech Girschner B.A.
Dipl.-Ing. Henriette Schmidtke MBA.
Freia Hamann-Eckbauer
Dr. Steven Wohlgemut
Erdal Bähr
Prof. Ulla Dussen van B.Sc.
Angelika Roskoth
Trudel Wagner
Friedericke Ring MBA.
Kata Atzler
Sibel Weller
Curt Schönland
Edeltraut Anders-Rohleder
Stjepan Hofmann-Hethur
Leon Rust
Herr Darius Heuser
Wilma Pärtzelt-Huhn
Gerold Schuchhardt B.Sc.
Jadwiga Gierschner-Schulz
Univ.Prof. Linus Seifert
Herr Oliver Pechel
Dipl.-Ing. Theobald Knappe B.Eng.
Marion Weihmann
Ekrem Pruschke-Jäkel
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Univ.Prof. Norma Schleich B.Sc.
Magda Geißler
Prof. Amir Reising MBA.
Irmtraud Freudenberger
Ing. Madlen Beier B.A.
Eberhard Rust B.A.
Goran Junck-Bauer
Univ.Prof. Sebastian Sontag
Pius Jopich B.Eng.
Hilmar Ziegert
Jolanda Rose
Ing. Philipp Textor
Margita Schleich-Becker
Univ.Prof. Franz-Josef Zänker
Ingeborg Wesack
Dipl.-Ing. Giorgio Drubin B.Eng.
Ernest Schönland B.Eng.
Gunhild Stroh-Jacob
Annemarie Seidel
Mareike Reichmann
Herr Gerold Kreusel
Gertrude Pieper
Yasmin Wiek
Christos Bolander
Heinz-Otto Hermighausen
Hans-J. Wohlgemut
Danilo Losekann
Bernadette Löffler
Lucia Kohl
Hans-Erich Staude
Sigfried Franke B.Sc.
Dr. Selma Geisel B.Sc.
Annie Schlosser
Phillip Salz B.Sc.
Dina Hartung
Brit Anders
Univ.Prof. Claus-Dieter Meister B.Eng.
Silvester Sorgatz MBA.
Heinz-Georg Hornich
Ing. Eckehard Bloch MBA.
Ahmet Thies
Hanne-Lore Kraus
Aziz Anders
Hilmar Hörle
Eckard Textor
Franka Peukert
Sandro Schmiedt
Nikola Kitzmann
Lilli Harloff
Janusz Killer
Domenico Nohlmans-Eberhardt
Marianna Segebahn-Wernecke
Frau Jane Caspar
Antje Etzold
Sevim Schmiedt-Döhn
Dr. Alma Warmer MBA.
Prof. Alma Gumprich
Lilija Ruppert
Univ.Prof. Ferenc Knappe B.Sc.
Artur Schaaf
Dr. Isabell Trupp
Zofia Schönland B.Sc.
Genoveva Löffler
Leni Heß
Herr Vito Roskoth B.Sc.
Resi Margraf
Dierk Steinberg
Melissa Dietz
Melanie Segebahn
Dipl.-Ing. Zenta Hornig B.Sc.
Falko Kusch B.A.
Lili Birnbaum
Prof. Frithjof Adolph MBA.
Reza Misicher
Annie Harloff B.A.
Ing. Jens Henck B.Eng.
Univ.Prof. Anna-Luise Faust
Simone Harloff B.Eng.
Eleni Krause B.A.
Francis Rohleder
Prof. Gaetano Weiß
Michel Hermighausen
Herbert Budig
Sedat Gude
Ing. Danica Gieß MBA.
Steven Steinberg B.Eng.
Minna Wernecke-Gumprich
Prof. Constance Austermühle B.Sc.
Ing. Brunhilde Albers
Nico Hartung-Linke
Theo Henschel
Margarethe Wagenknecht
Lara Oderwald
Eckehard Mude
Angelo Pärtzelt
Univ.Prof. Amelie Gröttner B.Eng.
Univ.Prof. Niklas Mohaupt MBA.
Ehrhard Klotz
Dipl.-Ing. Mariechen Bonbach
Denis Weimer
Ing. Eckart Becker B.Sc.
Urszula Spieß
Claudius Mude
Monika Haering
Maren Bruder
Karl-Peter Häring-Kruschwitz
Katrin Ortmann
Hans Georg Gorlitz-Schäfer
Hans-Adolf Mosemann B.A.
Prof. Henryk Kitzmann
Emanuel Holsten
Olivia Schleich
Martina Hartung
Ing. Christiana Seip
German Speer
Olga Stahr
Leokadia Putz
Hajo Ziegert-Noack
Bertram Caspar
Heinz Dieter Barkholz
Janin Hamann
Marlen Gute-Hauffer
Klara Schlosser
Stefanie Hertrampf MBA.
Dr. Luisa Anders B.A.
Ing. Carmine Kroker
Ing. Rocco Reuter
Emil Preiß-Hecker
Simon Meyer
Ulrike Gierschner-Koch II
Filippo Jäntsch
Dominic Gunpf MBA.
Isa Tlustek
Bekir Cichorius-Döring
Juergen Bähr
Dr. Elvira Cichorius B.A.
Klaus-Werner Jäkel-Holsten
Carina Schaaf
Ursel Eckbauer
Ali Schmidt-Knappe
Prof. Jürgen Blümel B.A.
Hans-Joachim Häring
Barbara Kambs
Bruno Henschel
Dorothea Finke
Annemarie Schaaf B.Sc.
Trude Ruppersberger
Inka Trapp
Frau Nuray Mangold MBA.
Jörn Barth-Möchlichen
Mariusz Hartung
Tino Gnatz
Marija Stahr
Anica Ortmann B.A.
Engelbert Sauer MBA.
Inga Ruppersberger
Herr Bastian Ritter B.Sc.
Dr. Karl-Ludwig Stoll MBA.
Ing. Rosalinde Rogner MBA.
Dipl.-Ing. Burckhard Jäntsch
Silke Scheuermann B.Sc.
Anica Tintzmann B.Eng.
Zeljko Baum
Bayram Hering
Frau Gilda Ebert
Ulrich Schlosser
Adele Stroh
Dr. Ljiljana Henck MBA.
Annelore Bolander
Ing. Hansgeorg Jockel B.Eng.
Jacob Bähr
Dr. Gerold Dörschner
Gino Heß
Kathi Etzler
Karla Conradi
Gordon Klemt-Rörricht
Ayse Thies B.Eng.
Monika Krein B.Eng.
Prof. Sepp Blümel
Laila Kranz
Prof. Rosa Kruschwitz B.Sc.
Annelene Zänker
Antonius Bonbach-Juncken
Univ.Prof. Tina Rose
Walter Weller
Irmtraut Süßebier
Irmgard Hövel
Herr Jens Becker MBA.
Karl-Heinrich Kraus B.A.
Marlene Steckel B.A.
Marta Eigenwillig-Hörle
Monique Ullmann MBA.
Inna Ditschlerin
Prof. Liliana Klemm MBA.
Karl Heinz Hörle
Niklas Trubin
Judith Boucsein-Aumann
Friedlinde Mühle B.A.
Horst-Peter Löchel
Linus Lübs
Slavko Weitzel B.Sc.
Ing. Knud Vogt
Camilla Jäntsch
Elise Ackermann
Amalie Gotthard-Beckmann
Prof. Reimar Reinhardt MBA.
Henner Schweitzer
Dr. Jonas Fechner
Prof. Heinz-Joachim Losekann
Marisa Wagenknecht
Kristin Niemeier
Kriemhild Warmer
Dr. Gunther Jähn B.A.
Erich Klotz B.Sc.
Frau Annette Fiebig B.Eng.
Antonietta Putz B.Eng.
Sabrina Schomber
Herr Valentin Warmer
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Branka Hering
Dr. Inna Mude MBA.
Janette Wiek
Elena Wilmsen
Marko Kensy-Atzler
Johan Baum
Janos Winkler B.A.
Dipl.-Ing. Reimer Werner MBA.
Inken Juncken
Elfi Bolander
Liesa Gröttner
Lotte Kusch
Elfie Otto
Imke Keudel B.Sc.
Ing. Tillmann Geisel
Lieschen Röhricht MBA.
Herr Gordon Weihmann B.Eng.
Klaus-Peter Kitzmann
Hüseyin Hethur
Gebhard Eberth B.Eng.
Johan Heydrich
Larissa Mangold
Henny Vogt
Rose Beer
Trudi Keudel B.A.
Annemarie Wieloch
Edeltrud Koch
Walther Hofmann
Kirsten Heydrich
Ernestine Stumpf
Dipl.-Ing. Matteo Baum
Gundi Tlustek
Prof. Mandy Heuser MBA.
Kunibert Hahn-Lindau
Ivanka Berger-Kraus
Melitta Fliegner
Ing. Isolde Rosenow
Romy Baum
Sibilla Bachmann
Jurij Zimmer
Ing. Valentina Börner
Herr Alexandre Eimer B.A.
Annett Mies-Hellwig
Herr Benedikt Säuberlich
Lore Tröst
Theodor Striebitz
Dipl.-Ing. Bodo Junk B.Eng.
Irmtraud Schönland
Steven Weinhold B.A.
Sylvie Börner
Univ.Prof. Horst Scholtz
Heinz Krebs B.Eng.
Andreas Trapp
Ida Hendriks B.A.
Albert Seifert MBA.
Dursun Gehringer
Adolfine Wilms
Mercedes Rädel-Drub
Benita Neuschäfer
Emilia Wagenknecht-Riehl
Kira Tschentscher MBA.
Ing. Wolf-Rüdiger Weihmann B.Eng.
Bernt Huhn
Catrin Caspar
Ingelore Heinz
Wera Schmidt
Prof. Johan van der Dussen
Ana Heinz B.A.
Damaris Holsten-Schleich
Guiseppe Rust
Luise Junk
Gabriel Süßebier-Eigenwillig
Andrea Ziegert
Magda Berger B.A.
Prof. Theobald Mangold
Ortwin Scholl
Inka Hornig B.A.
Ellen Jessel-Walter
Univ.Prof. Christa-Maria Lehmann B.A.
Korbinian Bolander
Gotthilf Bohnbach-Seip
Esther Ehlert
Frida Stolze
Julie Schweitzer
Julius Kraushaar
Uta Karz
Prof. Svea Putz MBA.
Ing. Denny Mende
Frank-Peter Ullmann
Dorothea Etzler
Dorle Zirme
Prof. Emine Wulf B.Eng.
Aloys Ruppert
Lydia Losekann MBA.
André Röhrdanz B.A.
Danuta Kreusel
Gunhild Zimmer
Hans-Dieter Scholl
Erol Kreusel B.Sc.
Kordula Kambs B.Eng.
Rosemarie Schmiedecke
Ing. Valentine Scheibe
Prof. Augustin Stey B.A.
Liliane Gröttner-Albers
Walentina Eckbauer
Berndt Grein Groth B.Sc.
Xenia Christoph
Hartmut Biggen-Trapp
Dipl.-Ing. Ante Rust
Brunhilde Mälzer-Warmer
Dr. Thekla Lindau B.Sc.
Prof. Frithjof Binner
Dipl.-Ing. Valeria Kühnert MBA.
Alexandre Geisel
Nils Stey
Juliana Schönland
Ing. Alma Rudolph B.Sc.
Dr. Sigrun Schönland B.A.
Gloria Lachmann MBA.
Prof. Jan-Peter Schmidt
Magret Bähr
Zeljko Gieß
Theresia Liebelt
Johann Oestrovsky
Aleksander Drub
Timm Schönland
Dr. Lilly Conradi B.Sc.
Luisa Hecker
Edgar Rohleder-Fröhlich
Silke Heydrich-Albers
Heino Lindau B.Eng.
Univ.Prof. Beate Gude
Gunhild Ullmann
Dr. Elfie Tintzmann
Anthony Heintze
Ing. Klaus-Michael Bolzmann
Dipl.-Ing. Sylke Gute B.A.
Dr. Anatoli Bonbach
Wilfried Börner
Prof. Gunter Mentzel
Dipl.-Ing. Edda Barth MBA.
Ottilie Trüb
Editha Jacob
Geert Etzold
Helfried Seifert-Schönland
Hildegunde Geißler-Klemm
Ing. Nicolai Textor B.A.
Ing. Michel Harloff
Tim Sorgatz
Dipl.-Ing. Ira Röhricht B.Sc.
Ing. Romy Gieß
Dr. Zeki Eberth
Dusan Zahn B.A.
Abram Eckbauer B.A.
Necati Lindner
Jaroslaw Seip
Eva Mosemann
Hülya Conradi
Stanislav Stey
Prof. Goran Sölzer MBA.
Sofie Schmiedecke
Univ.Prof. Jürgen Weiß
Prof. Nikolaos Steinberg B.Sc.
Dipl.-Ing. Hermann-Josef Jüttner
Nurten Henschel-Stroh
Clarissa Wieloch
Birgitta Schleich
Cora Steuer-Junken
Univ.Prof. Dogan Mielcarek
Emanuel Schinke B.Sc.
Henriette Bruder
Magdalene Patberg-Mosemann
Alexandra Butte
Magdalene Hering MBA.
Anneli Schleich-Ullmann
Hilde Lübs
Ing. Dorothe Junken
Annelore Riehl
Hertha Gieß
Univ.Prof. Luisa Scholz B.Eng.
Ing. Hartmuth Gute B.A.
Irma Neureuther
Nina Putz-Ritter
Natalie Carsten B.A.
Dr. Mohammed Höfig
Tomasz Niemeier
Utz Christoph-Henck
Jessika Thies
Ing. Jenny Oestrovsky
Antonie Ladeck
Isabell Kroker B.Eng.
Hanife Ackermann
Harm Hein
Salih Eckbauer-Renner
Gundolf Schomber-Hellwig
Sebastian Aumann
Aneta Heydrich
Dipl.-Ing. Herta Fliegner MBA.
Sofia Austermühle
Leo Gunpf-Bolzmann
Dipl.-Ing. Till Schenk
Magarete Krause
Maurice Pieper-Loos
Annie Langern
Herr Leonid Röhricht MBA.
Raissa Gehringer-Putz
Camilla Kühnert MBA.
Gerard Förster
Ing. Henning Drub
Gesa Bender
Prof. Dolores Butte
Isidor Heinrich
Klaus-Peter Schüler-Schaaf
Klaus Dieter Rädel
Ing. Jürgen Jopich B.A.
Mirco Barth
Lambert Röhricht-Johann
Gaby Bähr
Ulla Fliegner-Sölzer
Gislinde Lehmann
Kathi Christoph
Dipl.-Ing. Jiri Wesack B.A.
Piotr Ruppersberger
Dr. Edit Scheibe B.A.
Wally Fliegner
Dipl.-Ing. Janus Roht B.Sc.
Jennifer Berger
Liane Gröttner
Stephanie Dörr-Bärer
Univ.Prof. Hartwig Holsten B.Sc.
Dipl.-Ing. Rigo van der Dussen B.Eng.
Babette Rohleder
Wilhelmine Knappe
Bruno Wagenknecht
Dr. Anika auch Schlauchin B.Sc.
Edith Hettner
Nadia Thanel
Angelika Rosemann
Ortrun Siering
Calogero Staude B.A.
Janusz Beckmann
Dr. Karla Christoph
Janin Höfig B.A.
Jaroslaw Pieper MBA.
Dipl.-Ing. Charles Täsche
Dagobert Eberhardt B.A.
Heiner Pieper
Beatrix Scheibe B.Sc.
Ursula Jacobi Jäckel
Nadia Steckel
Niels Faust
Ljudmila Krebs
Friedemann Klingelhöfer
Serge Trubin
Britt Schwital-Seip
Univ.Prof. Matthäus Gude
Herr Gisbert Langern
Justina Zirme
Dr. Hildegund Gnatz B.Eng.
Berndt Bähr
Wiebke Hölzenbecher
Dipl.-Ing. Ilse Heß B.Sc.
Prof. Klaus Peter Hellwig B.Sc.
Halina Austermühle-Bender
Holger Röhricht
Univ.Prof. Alois Jähn B.Eng.
Angelique Kruschwitz
Margot Ullmann
Willi Birnbaum
Dipl.-Ing. Wilfried Ortmann
Bernward Losekann MBA.
Univ.Prof. Ottmar Jopich
Canan Berger-Hellwig
Helma Häring
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Klaus-Werner Bohlander
Torben Schweitzer
Aurelia Mude
Adrian Trupp
Liesel Klapp
Rolf-Dieter Preiß
Woldemar Heydrich B.Eng.
Hansgeorg Heuser
Gino Ernst
Milica Huhn
Janko Stey MBA.
Lena Mitschke
Ing. Zoltan Dobes B.A.
Zbigniew Boucsein
Ing. Heide Winkler
Univ.Prof. Marita Pohl
Tanja Rörricht-Haering
Sylvie Neuschäfer
Herr Dietrich Gotthard B.A.
Sigrid Schleich
Katalin Butte
Elif Wohlgemut
Anastasios Karge
Ing. Marcel Gute
Rose Henschel
Herr Vinzenz Jäntsch B.A.
Stjepan Langern
Lukas Ditschlerin
Friedrich-Wilhelm Metz
Volkmar Hentschel
Heino Zahn-Bähr
Heimo Bauer
Univ.Prof. Hans-Theo Kroker
Wolfhard Ziegert
Hertha Butte B.Eng.
Svenja Langern
Alf Jacobi Jäckel-Fritsch
Rocco Rosemann B.A.
Univ.Prof. Josefine Gerlach
Dr. Catharina Gerlach B.Eng.
Darko Wilms
Adina Söding
Francoise Zänker-Knappe
Edward Dippel
Justine Kade
Ing. Rico Hoffmann
Franz Ortmann B.Eng.
Univ.Prof. Maria-Luise Trüb B.Sc.
Gaetano Söding
Patric Hermighausen MBA.
Meta Eigenwillig
Joana Zimmer B.A.
Prof. Grete Müller
Ing. Jonas Schaaf
Brunhilde Scholz
Cynthia Linke
Gert Juncken
Kristin Jacob
Monja Heidrich
Zeljko Jessel
Patricia Wiek
Wilfriede Blümel
Lucie Trüb-Schmiedt
Patrizia Spieß
Mesut Gute
Theresa Schüler
Hildegunde Aumann
Ing. Eva Kitzmann B.A.
Univ.Prof. Rosl Pölitz
Dan Scheuermann
Sylvester Hamann
Serge Kade
Mareen Krebs-Hofmann
Anika Holsten
Alexandre Häring
Kunigunda Reising
Bianca Mans
Ing. Käthe Plath B.Eng.
Robin Weinhage B.A.
Karl-Otto Winkler B.Eng.
Gerd Wiek MBA.
Univ.Prof. Inga Hermighausen B.Eng.
Jonathan Gertz-Hertrampf
Janus Walter
Dogan Häring MBA.
Prof. Natalia Junck B.Sc.
Edit Rädel
Anto Kobelt-Kobelt
Henry Austermühle
Herr Urban Christoph
Hannelore Noack MBA.
Bruni Meister B.Sc.
Ilonka Zimmer
Herr Gerolf Hermann B.Eng.
Evangelia Harloff B.A.
Bernfried Roht
Zita Wieloch-Scholtz
Janus Oderwald-auch Schlauchin
Celal Seifert
Gabor Steuer
Aziz Bauer MBA.
Frau Natalija Stey
Dina Johann
Attila Losekann B.Sc.
Wanda Stoll B.A.
Adam Krein-Karge
Valentina Weihmann-Zahn
Nils Hermighausen
Tomislav Schüler
Heinz-Willi Jockel
Sina Wulff-Dussen van
Dietrich Adolph MBA.
Rosl Trupp
Dr. Krista Jäkel B.A.
Anke Hettner
Felicia Ritter
Dr. Antonia Schomber B.Sc.
Justus Aumann
Anne-Katrin Butte MBA.
Veit Etzler
Peggy Haering B.Sc.
Julia Graf
Timo Butte
Univ.Prof. Otto Kruschwitz MBA.
Edeltrud Margraf
Univ.Prof. Harro Weller
Herr Swen Kraushaar B.A.
Zoltan Wilms
Alice Hesse
Prof. Mathias Kambs
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Zeljko Hiller-Misicher
Jiri Kambs
Laurenz Siering-Kallert
Gitta Hübel
Horst-Dieter Bähr
Melissa Stey
Denny Bohlander B.A.
Dr. Vitus Franke
Anni Kraus
Herr Gordon Heintze B.Eng.
Antonietta Lindner MBA.
Gabriele Käster
Burckhard Heuser
Calogero Wende
René Säuberlich B.Eng.
Slobodan Hauffer
Ariane Roskoth
Camilla Gunpf
Alina Schmiedecke
Ing. Helmuth Bruder
Sybilla Hornig
Bertram Rädel
Herr Rigo Krebs B.Eng.
Aloys Barkholz
Prof. Evelyn Henk
Univ.Prof. Janos Rörricht MBA.
Janine Müller-Steckel
Albin Fischer B.Eng.
Attila Werner
Univ.Prof. Undine Junken MBA.
Dr. Elwira Hiller
Wolf-Rüdiger Börner
Dr. Almut Nohlmans B.A.
Karl-Dieter Speer
Wilfriede Ehlert
Fernando Gieß
Karl-Hans Weinhold-Noack
Cläre Mohaupt
Timm Freudenberger-Henschel
Osman Liebelt
Hans-Hermann Haering
Univ.Prof. Vadim Vollbrecht B.A.
Hans-Günther Scheuermann B.Eng.
Marijan Huhn
Zofia Schulz
Jennifer Trapp
Reni Putz-Tintzmann
Elizabeth Budig
Gislinde Müller
Leokadia Finke-Dippel
Kuno Mälzer B.Eng.
Pavel Ehlert
Prof. Katalin Lindner B.Eng.
Czeslaw Siering
Bernd Binner-Hornich
Gaby Noack
Leopoldine Butte
Maurice Steckel
Helma Zorbach
Tilo Hande
Ing. Agnes Zobel
Frau Krista Rädel B.Sc.
Frau Caren Schmidt MBA.
Anny Dietz
Elvira Mälzer
Amir Reuter
Diana Haering
Prof. Anna Kühnert B.Sc.
Dr. Lea Kraushaar B.Eng.
Siegbert Bachmann-Hövel
Branka Speer B.A.
Dipl.-Ing. Gerdi Wende
Herma Geisler-Beckmann
Andrea Hamann
Gregor Knappe B.Eng.
Käte Ditschlerin-Roht
Josip Stey
Sören Spieß
Prof. Niko Hethur B.Eng.
Janusz Eberhardt MBA.
Gerta Klemt
Janos Kobelt-Henck
Robby Kramer
Univ.Prof. Jörg-Peter Riehl
Ing. Anatolij Heintze
Karla Freudenberger MBA.
Gottlieb Kade
Frauke Wilms
Ruthild Hoffmann
Delia Rust
Natalie Bender MBA.
Marie-Therese Birnbaum
Nathalie Langern
Hülya Stadelmann
Denis Ruppersberger
Svetlana Bohlander B.Sc.
Prof. Knud Salz
Dr. Dora Fischer
Dr. Mohamed Kroker B.Eng.
Ing. Elenore Kostolzin
Univ.Prof. Gottfried Süßebier
Ing. Wenke Karge B.Sc.
Antonina Pärtzelt-Gerlach
Elisabet Preiß-Thanel
Siegrun Ring
Apostolos Kreusel-Noack
Herr Hartmuth Pruschke
Timo Spieß
Bernhardine Bender MBA.
Amalia Hermann-Schäfer
Albrecht Seifert B.Sc.
Kathi Wesack
Oxana Ladeck
Denny Kusch
Adalbert Boucsein
Yvette Dietz
Univ.Prof. Nadeschda Staude
Leonie Möchlichen MBA.
Angelina Noack-Wagenknecht
Giesela Dowerg
Frank-Peter Haase
Florian Wulff
Nadja Geisler
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Prof. Bianka Reinhardt
Guiseppe Tschentscher
Aynur Bohlander
Gönül Barth-Zobel
Heinz-Wilhelm Säuberlich MBA.
Frau Mira Klemm
Heino Schönland-Hermann
Hedda Schönland
Univ.Prof. Helge Pieper
Celal Mühle
Siegrid Paffrath
Clemens Kabus
Balthasar Holsten
Timm Wende
Insa Karz-Mangold
Kai-Uwe Stiebitz-Hentschel
Lisette Schönland B.Eng.
Ing. Konstanze Geisel
Patric Stahr-Ebert
Hans-Hinrich Stiffel
Konstantinos Linke B.Eng.
Mandy Trüb
Hanns Ehlert MBA.
Sibylla Klingelhöfer B.Sc.
Peggy Holt
Eileen Etzler
Elisabet Schuster B.A.
Dr. Paulina Textor B.A.
Hermine Schüler
Univ.Prof. Anika Pärtzelt MBA.
Dr. Emin Dietz B.Sc.
Mahmut Hänel
Aribert Schulz B.Eng.
Ing. Valeria Kruschwitz
Irina Mielcarek
Herr Vladimir Zimmer MBA.
Guntram Warmer
Katharina Etzler
Stavros Schinke
Meike Trupp
Wieslaw Lachmann
Ljiljana Rädel
Univ.Prof. Michail Tintzmann B.Eng.
Diether Vogt B.A.
Andrej Geißler-Beckmann
Marina Radisch
Henning Scholl
Ing. Toralf Wiek
Aziz Hornich
Amanda Eimer B.Sc.
Sylvester Bachmann
Prof. Ingeborg Noack
Alwina Hettner
Alicja Faust B.Eng.
Else Heß MBA.
Reinhardt Pärtzelt
Osman Schmidtke
Maria-Theresia Scholl
Alina Hoffmann
Danny Mälzer
Amelie Pruschke MBA.
Karl-Dieter Segebahn-Köster
Tobias Mühle
Univ.Prof. Philomena Kensy
Gilbert Steuer-Rosemann
Renate Franke B.A.
Maria Hellwig
Vadim Bender B.A.
Heinz-Gerd Söding
Dorota Sorgatz B.A.
Johannes Schuchhardt-Junitz
Univ.Prof. Sönke Schomber
Cosimo Zimmer
