Student
André Segebahn
Uwe Schwital MBA.
Dipl.-Ing. Bertram Gieß MBA.
Helge Schuchhardt
Claudio Bolnbach
Ekaterina Liebelt
Ing. Christel Margraf MBA.
Käthi Faust-Gorlitz
Ottmar Beier
Kathrin Beckmann-Heinz
Magarete Klingelhöfer-Mans
Maike Bolnbach
Oxana Ortmann MBA.
Dr. Zeki Eberth
Gerdi Neureuther-Mälzer
Iwan Käster
Annika Lindner
Urban Pieper
Prof. Bianka Schacht
Hans-Bernd Rose
Frank-Michael Klemt
Piotr Schaaf
Dusan Ruppersberger B.Sc.
Nuran Schottin B.Eng.
Gilda Faust
Augustin Ernst
Brigitte Zirme B.Sc.
Freia Hamann-Eckbauer
Gernot Hornich B.A.
Reinhold Schäfer-Eimer
Philip Heß MBA.
Annegret Holt-Heuser
Stavros Hentschel B.Eng.
Gisela Schwital-Scheel
Gesche Kühnert
Nina Wagenknecht
Univ.Prof. Josefine Gerlach
Margarete Kabus
Mehdi Niemeier-Noack
Josephine Schweitzer
Dr. Rosmarie Seip
Nadin Hertrampf-Killer
Ronny Dippel
Korinna Koch II
Camilla Wiek
Frauke Wilms
Gerlinde Albers-Hörle
Wojciech Girschner B.A.
Herr Tomislav Ladeck
Hans-Hinrich Trub
Halil Warmer B.Sc.
Gisela Hornich-Metz
Klaus-Dieter Meister
Dipl.-Ing. Hildegunde Bachmann
Recep Hecker
Monique Stroh
Herr Sylvester Jopich B.Eng.
Karl-Heinrich Jacob
Ignaz Schottin
Dörte Nette
Ing. Krzysztof Kambs B.Eng.
Univ.Prof. Hanspeter Gorlitz
Prof. Hans-Gerhard Reinhardt B.Eng.
Reinhild Pergande
Hans-Gerd Preiß
Univ.Prof. Valeria Putz
Prof. Diether Neureuther
Herr Osman Gerlach B.Sc.
Dr. Otmar Linke MBA.
Cecilia Killer
Gotthard Löwer
Gina Wulff B.A.
Alena Seip
Slavica Vollbrecht
Ben Schomber
Univ.Prof. Paul-Gerhard Lübs MBA.
Ehrentraud Kroker
Rosita Peukert-Scheibe
Karl-Ludwig Hoffmann
Ivanka Rogge
Joanna Christoph
Ing. Therese Rust
Gerhild Löffler
Dr. Ferdinand Pölitz
Anna-Marie Heidrich
Prof. Lene Oestrovsky B.Sc.
Ron Dobes-Weihmann
Dipl.-Ing. Geert Holsten B.Sc.
Ing. Bernfried Haering
Gregor Buchholz
Mirja Schottin
Ing. Eugenie Birnbaum
Elzbieta Putz B.Eng.
Gundi Schwital
Dr. Helge Täsche MBA.
Urban Klemt
Angela Weimer B.A.
Hanno Hölzenbecher B.Sc.
Sedat Matthäi
Sonia Gorlitz-Mude
Annelise Schwital
Univ.Prof. Damian Sorgatz B.Eng.
Prof. Freya Biggen B.Eng.
Hansjürgen Faust
Univ.Prof. Waldemar Döring
Prof. Klaus Peter Bruder
Gertraude Hahn
Dipl.-Ing. Marica Sager
Yusuf Schacht
Gero Gierschner
Dr. Änne Radisch
Ing. Emanuel Tintzmann
Hans-Bernd Trubin-Klemt
Alexej Röhrdanz
Benjamin Stoll
Michaele Klotz B.Eng.
Wilfried Radisch
Regine Häring
Univ.Prof. Änne Finke B.Sc.
Stanislaus Davids MBA.
Dogan Häring MBA.
Judith Gerlach
Hans-Gerhard Döhn
Herr Goran Paffrath
Anastasios Karge
Gilda Scholz
Felizitas Becker-Mosemann
Carin Rohleder
Eckart Klotz
Gunar Börner
Dr. Franco Wilms
Frau Lilli Möchlichen MBA.
Bozena Meyer
Hartmuth Vollbrecht
Miroslav Kohl
Alicja Pergande
Dipl.-Ing. Liliana Hartmann
Mohammad Finke
Slawomir Drub-Gute
Univ.Prof. Pamela Kambs MBA.
Emma Trub-Scheuermann
Friedericke Käster B.A.
Ing. Konstanze Schmidtke MBA.
Dr. Silvio Täsche
Eggert Börner-Geisler
Univ.Prof. Matthäus Gude
Dierk Gunpf B.A.
Ildiko Mitschke B.Sc.
Dorle Killer
Gloria Mosemann
Frau Mirja Jüttner B.Eng.
Auguste Pruschke
Kay-Uwe Jähn-Schwital
Dr. Zeljko Pruschke
Aysel van der Dussen-Jäntsch
Mara Vollbrecht B.A.
Karl Heinz Eigenwillig
Herr Tom Täsche
Kristina Scheibe
Gordana Hertrampf-Speer
Geraldine Reising MBA.
Eugenie Benthin-Ziegert
Dipl.-Ing. Emanuel Nette
Rudi Schacht
Torsten Schwital-Gude
Urban Peukert
Univ.Prof. Sybilla Gehringer
Anny Wagenknecht
Dipl.-Ing. Patric Fröhlich
Dipl.-Ing. Frederik Rörricht B.Sc.
Edelgard Neureuther-Vollbrecht
Brit Anders
Prof. Frithjof Adolph MBA.
Frau Clarissa Rosenow B.A.
Prof. Auguste Scholz
Balthasar Müller-Drub
Steven Eimer
Frank-Peter Ullmann
Ing. Thekla Beyer B.Sc.
Canan Heinrich
Dr. Vitus Franke
Gisa Hornig-Geißler
Guido Pieper
Prof. Manuela Schleich B.Sc.
Herr Gotthard Wilms
Magnus Heidrich
Dipl.-Ing. Cläre Geißler
Gebhard Kitzmann
Dina Rose
Hermine Wohlgemut
Dr. Gerhart Käster
Hans Jürgen Winkler
Jessica Schottin
Bernard Karge
Jeannine Lehmann
Ing. Mariechen Nerger B.Eng.
Wolfhard Vogt
Cilli Lindau B.A.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Hülya Scheibe
Claus Heser B.Sc.
Bernard Steinberg
Margareta Zirme
Joseph Austermühle
Dr. Marie-Louise Wohlgemut B.Sc.
Univ.Prof. Marita Pohl
Kazim Hörle
Dipl.-Ing. Ekrem Thanel
Peer Grein Groth-Lange
Ibrahim Lehmann B.Eng.
Dipl.-Ing. Kristine Klapp MBA.
Anett Wieloch
Christiana Pohl
Ing. Käthe Plath B.Eng.
Rene Henck
Arif Pergande-Wagenknecht
Folkert Schwital
Necati Lindner
Zbigniew Weinhage
Slobodan Seip
Heinz Krebs B.Eng.
Univ.Prof. Nikolaus Sölzer B.A.
Miriam Hentschel
Dietrich Adolph MBA.
Dipl.-Ing. Sigrid Hahn
Klaus-D. Segebahn
Univ.Prof. Norbert Röhrdanz B.Sc.
Prof. Hubert Heß
Aziz Bähr B.A.
Ilja Preiß
Bartholomäus Karge B.Eng.
Dipl.-Ing. Margarethe Holt MBA.
Rosa Hübel
Willibald Ziegert-Siering
Conny Zirme B.Sc.
Dr. Mariusz Beckmann
Ing. Lisbeth Fritsch
Manuela Sauer
Senta Wernecke B.Sc.
Siglinde Kambs-Geißler
Ottokar Berger
Hansgeorg Kruschwitz
Fabienne Birnbaum
Doreen Striebitz
Dr. Frieda Metz
Tino Wagenknecht B.Eng.
Univ.Prof. Kreszenz Wulf B.A.
Ekkehart Bruder
Dipl.-Ing. Wilfriede Bruder
Fabienne Matthäi-Heß
Dr. Peer Schwital MBA.
Torben Wiek-Ring
Massimo Hecker
Dipl.-Ing. Cristina Vogt
Marina Radisch
Waldemar Hendriks
Univ.Prof. Luka Mende
Celal Pohl
Harriet Rohleder
Gunnar Junk
Eberhardt Fiebig
Sükrü Schüler MBA.
Sebastian Aumann
Eileen Geißler
Ingetraut Jopich
Astrid Schweitzer
Uta Kade
Änne Schweitzer-Putz
Mandy Trüb
Janus Ring
Herr Eberhardt Gierschner
Bianka Scheuermann
Prof. Irmela Klemt B.Eng.
Dipl.-Ing. Daniele Geißler
Franz Löwer
Ing. Ivana Budig B.Eng.
Johann Liebelt MBA.
Calogero Mude-Etzold
Stavros Hoffmann
Matteo Dehmel-Weimer
Kristian Ritter
Dina Schmidtke
Ing. Hanne-Lore Ackermann
Marta Eigenwillig-Hörle
Hellmut Siering
Annelore auch Schlauchin-Lorch
Dr. Anna-Maria Zahn B.Sc.
Dipl.-Ing. Jerzy Stolze B.Sc.
Abram Peukert MBA.
Sevim Vollbrecht B.A.
Dorina Rust
Toralf Jessel
Marcel Fechner
Antonietta Kostolzin
Elizabeth Budig
Lars Kallert
Wilhelm Tlustek
Univ.Prof. Willfried Werner B.Sc.
Antonino Rogge-Meyer
Wolfhard Ziegert
Ernestine Trommler
Herr Oliver Pechel
Madlen Steinberg
Bernward Fröhlich
Meral Stroh-Henschel
Adriane Wende
Pavel Ehlert
Dipl.-Ing. Magrit Junck
Georgios Knappe-Mälzer
Dörthe Mitschke-Holt
Univ.Prof. Franz-Josef Zänker
Prof. Vadim Stroh
Toralf Pieper
Gitta Mohaupt
Ellen Gutknecht
Evangelos Hartmann B.A.
Dipl.-Ing. Gudula Margraf B.Sc.
Dr. Hans-Heinrich Kaul B.Eng.
Beate Nette
Alex Ziegert
Carlo Ackermann-Birnbaum
Erhard Otto
Antonietta Hübel
Rosalinde Trommler
Gaetano Fröhlich
Peer Nohlmans B.Sc.
Lothar Beckmann
Margita Meister
Anneke Jähn
Univ.Prof. Zofia Rust
Anita Mohaupt
Adelinde Ackermann-Knappe
Dipl.-Ing. Slawomir Ebert MBA.
Alwine Wulf
Ryszard Junitz
Guenther Steinberg MBA.
Carmine Hauffer
Abram Eckbauer B.A.
Camilla Kühnert MBA.
Nermin Martin
Dipl.-Ing. John Ortmann MBA.
Jürgen Herrmann-Koch
Cindy Rogge-Dippel
Univ.Prof. Anneke Gunpf
Elisa Steinberg
Jaqueline Weitzel-Pölitz
Oskar Beyer
Patricia Wiek
Wieslaw Oestrovsky MBA.
Birgid Drewes-Seifert
Clarissa Buchholz
Herr Baptist Klotz
Björn Steckel B.Eng.
Marvin Gröttner MBA.
Nadeshda Mentzel
Theodoros Grein Groth
Hans-Otto Trubin B.Eng.
Antonietta Putz B.Eng.
Dipl.-Ing. Lieselotte Trüb B.A.
Heino Schönland-Hermann
Massimo Dörschner
Caterina Weinhage
Dr. Muzaffer Sauer B.Eng.
Wilhelm Metz
Natali Patberg B.A.
Univ.Prof. Belinda Henck
Alessandro Caspar
Dipl.-Ing. Slobodan Sölzer
Herr Bertold Löffler
Ing. Pius Börner
Pascale Bruder
Damian Dörr
Hagen Weimer
Dr. Janett Schottin B.Eng.
Krista Bohnbach
Dorle Rädel
Karl-Ernst Reuter
Mehdi Kohl B.A.
Valeska Blümel B.A.
Emma Hornich-Kraushaar
Heinz-Joachim Trupp
Bertha Köhler
Carola Franke
Prof. Apollonia Gerlach B.Sc.
Eberhard Junitz
Balthasar Klemm
Gottfried Hettner-Reising
Univ.Prof. Traudel Wernecke B.A.
Annett Ullrich
Dr. Samuel Dobes B.Sc.
Lotti Rosemann
Alexandros Heintze
Ralf-Peter Schacht
Antje Drub
Angelika Rosemann
Kornelius Fröhlich B.Sc.
Zdravko Niemeier
Dr. Robert Neuschäfer
Dipl.-Ing. Rigo van der Dussen B.Eng.
Jozef Kostolzin
Babett Adler
Cecilia Gertz
Patrick Haering
Karlfried Franke
Dipl.-Ing. Cynthia Hauffer B.A.
Siegward Hertrampf
Geza Beckmann
Helga Franke
Univ.Prof. Henryk Kostolzin
Reinhold Bloch
Dr. Uli Segebahn
Ing. Leopold Beier B.Sc.
Franziska Jüttner
Herr Karlheinz Mans
Prof. Sepp Blümel
Augusta Beer
Univ.Prof. Cynthia Löwer
Ryszard Süßebier-Neureuther
Herr André Scholl B.Sc.
Mohammad Karz MBA.
Gunhild Gorlitz-Heinrich
Achim Mülichen-Schleich
Bertold Schenk
Gregor Dippel
Ing. Helmuth Bachmann B.Sc.
Ing. Rolf Gertz
Dipl.-Ing. Elisabeth Wiek
Ehrhard Klotz
Henny Herrmann
Wojciech Losekann-Seidel
Univ.Prof. Guido Carsten MBA.
Frau Herlinde Schleich B.Sc.
Janusz Kruschwitz B.Eng.
Gerhart Karz
Pawel Schlosser
Geraldine Eckbauer
Ing. Hans-Heinrich Reichmann B.Sc.
Luisa Hecker
Senta Weihmann
Werner Heydrich-Schmidtke
Heiner Pieper
Robert Budig-Ullmann
Roman Hauffer
Michail Schmidt
Achim Etzold MBA.
Helmar Barth
Ing. Monika Ullrich
Univ.Prof. Ilka Jäntsch B.A.
Martha Dowerg
Detlev Heintze
Berthold Austermühle MBA.
Sevim Schmiedt-Döhn
Francoise Rust
Dr. Cäcilia Henk B.Eng.
Willi Birnbaum
Svenja Salz
Dipl.-Ing. Theda Weinhold B.Eng.
Franziska Hörle B.Sc.
Nicolas Tschentscher
Dr. Hans-Albert Stroh
Dipl.-Ing. Margaretha Köhler B.Eng.
Dipl.-Ing. Gülten Hoffmann B.Eng.
Anna-Maria Holzapfel
Paola Kroker-Klotz
Eggert Rörricht-Schwital
Auguste Buchholz B.Sc.
Jochen Säuberlich
Sami Junitz
Siegrid Misicher
Sigrid Jockel
Dr. Walburga Kobelt B.Eng.
Friedrich-Karl Sorgatz-Schmiedt
Damian Söding
Pedro Beer
Eva-Marie Hendriks
Halina Lachmann
Marisa Hartmann-Kusch
Hildegart Weitzel
Nadia Thanel
Selma Girschner B.Sc.
Kamil Hecker-Hahn
Univ.Prof. Sergio Kreusel MBA.
Prof. Dorit Käster B.Sc.
Meryem Graf-Lange
David Warmer
Klemens Knappe
Dr. Agathe Jähn B.A.
Karlfried Müller
Dipl.-Ing. Oskar Vogt B.A.
Dipl.-Ing. Sedat Sontag
Harold Scheibe
Ing. Hanny Schlosser MBA.
Dipl.-Ing. Gertraut Stolze
Ing. Meinhard Schweitzer
Julie Mentzel
Herr Augustin Karge B.Eng.
Ing. Alma Rudolph B.Sc.
Friedericke Ring MBA.
Dariusz Wirth
Dipl.-Ing. Kriemhild Löchel
Ramon Jäntsch-Gertz
Edwin Förster-Albers
Dr. Songül Tlustek MBA.
Mira Rohleder
Dr. Gerti Scheel
Arno Lindner
Gerard Scholl
Mehmet Sauer
Karl-Peter Häring-Kruschwitz
Romy Etzold
Lieschen Steckel
Annelie Kitzmann
Dr. Rosalinde Stolze B.Eng.
Juan Noack
Alfons Klingelhöfer
Univ.Prof. Amelie Gröttner B.Eng.
Elsa Preiß
Luzie Sager-Gierschner
Prof. Cora Bolander
Maximilian Juncken
Veronique Löwer
Nermin Jopich
Dorle Knappe
Willy Kallert
Myriam Aumann
Friedlinde Sauer
Dietrich Bien
Katerina Barkholz
Volker Adler
Ing. Swen Sorgatz B.Eng.
Hans-Helmut Eimer MBA.
Hermann-Josef Loos
Henryk Plath-Jopich
Anica Ortmann B.A.
Magdalena Sauer
Victoria Hiller
Univ.Prof. Kata Zahn
René Kruschwitz
Geraldine Gutknecht
Andrej van der Dussen B.A.
Grit Karz
Edit Rädel
Dipl.-Ing. Johanna Henck
Ilija Kohl
Univ.Prof. Friedlinde Bien MBA.
Dipl.-Ing. Canan Pölitz B.Eng.
Dipl.-Ing. Dörte Häring MBA.
Cathrin Weitzel MBA.
Kristian Meyer
Orhan Mude
Annelies Seifert
Tilly Pergande
Frau Rosalinde Riehl
Birger Becker
Wiebke Caspar B.A.
Alena Hänel
Otmar Ditschlerin
Prof. Karen Henk MBA.
Alexej Hornig-Radisch
Anneliese Trub
Liliana Gehringer
Monika Mühle-Hiller
Marjan Segebahn B.Eng.
Univ.Prof. Ottmar Jopich
Isabelle Förster-Beyer
Univ.Prof. Kathi Noack B.Eng.
Lambert Gehringer
Wolfhard Fiebig
Cosimo Zimmer
Emilia Wagenknecht-Riehl
Urszula Killer B.A.
Henny Rose
Univ.Prof. Regina Salz B.Eng.
H.-Dieter Mülichen B.A.
Frau Gitte Hänel
Cilli Siering
Univ.Prof. Etta Bohnbach
Brunhild Müller
Dipl.-Ing. Cora Baum
Roselinde Kusch-Röhrdanz
Arne Ziegert B.Sc.
Zdravko Staude B.Sc.
Luzia Eckbauer
Othmar Täsche-Loos
Klaus-Dieter Wende
Prof. Raymond Söding
Prof. Robert Heintze
Carmela Lindau
Mike Röhricht-Hauffer
Lena Mitschke
Vesna Döhn
Ludwig Reinhardt
Meinhard Schuster
Dr. Friedbert Bauer B.Eng.
Karlfried Rörricht
Frau Jane Caspar
Hans-Günther Kohl B.Eng.
Muharrem Benthin
Mattias Sorgatz-Haase
Andrei Säuberlich
Dajana Gehringer
Valeri Tschentscher
Ing. Nuran Schaaf
Toni Scholl-Scholl
Hans-Bernd Zobel
Damian Bauer
Anne-Katrin Lorch
Dr. Marco Scheuermann
Ing. Isabell Hartmann MBA.
Gunnar Hornig
Miguel Gehringer-Reising
Hanne-Lore Losekann B.Sc.
Regina Reuter
Ehrentraud Hänel-Dussen van
Frau Alexandra Beckmann B.A.
Tillmann Mude
Herr Mirko Häring B.Sc.
Aloys Fechner
Ahmet Thies
Univ.Prof. Frederike Heintze
Manuel Krause MBA.
Bozena Schuchhardt
Hannes Jäntsch
Bertram Höfig B.Sc.
Monique Schleich-Kroker
Herr Edmund Hesse
Vincenzo Lübs
Ingetraud Freudenberger
Dipl.-Ing. Traudel Eigenwillig
Nico Ehlert-Ackermann
Tülay Henschel
Alwina Koch
Ing. Eugenie Kreusel MBA.
Dipl.-Ing. Melanie Kreusel B.A.
Prof. Kordula Vollbrecht B.A.
Ing. Selim Tintzmann B.A.
Univ.Prof. Wibke Reinhardt B.Eng.
Gertrude Pieper
Fatima Heser B.Eng.
Zeki Otto
André Kraushaar-Henck
Frau Käte Zahn
Nevenka Fritsch
George Käster-Eberth
Isidor Täsche
Gerwin Schuster
Reinhild Patberg
Prof. Oswald Ehlert MBA.
Sylvie Neuschäfer
Gusti Schleich
Ludmila Patberg
Benita Heser
Robin Weinhage B.A.
Nikolai Rädel-Klemt
Dr. Jan-Peter Döhn B.A.
Gabi Meister
Gunhild Holt-Rust
Prof. Ullrich Rosenow B.A.
Berthold Rudolph
Univ.Prof. Woldemar Walter
Rose-Marie Jäkel
Anatolij Trub
Heinz-Günter Weimer B.Sc.
Justus Aumann
Robby Weller
Notburga Huhn
Herr Götz Süßebier
Brita Roht MBA.
Leonid Mühle
Theo Henschel
Christiane Roht
Ewald Kreusel
Ing. Silke Kambs
Gerti Döring
Katerina Bolzmann B.Eng.
Marco Schinke B.Eng.
Katja Kruschwitz-Roskoth
Günter Rudolph B.Eng.
Roswita Atzler
Siegrun Reichmann
Evi Oestrovsky
Eveline Birnbaum
Willibald Seidel
Prof. Irmhild Fritsch
Gertraud Jüttner
Georgia Liebelt
Hans-Jochen Gorlitz B.Sc.
Dr. Ella Warmer
Lissy Dippel
Elvira Scholtz
Dr. Almut Nohlmans B.A.
Frau Conny Klemt
Heinz-Werner Buchholz
Wilfriede Ehlert
Univ.Prof. Cläre Weihmann B.A.
Dipl.-Ing. Nathalie Radisch
Bogdan Römer B.Eng.
Sylvester Bachmann
Bozena Carsten B.Sc.
Ulrike Hiller
Janin Höfig B.A.
Hans-Ulrich Dussen van
Frau Ina Schwital B.Sc.
Gerold Loos-Rogge
Hans-H. Pergande
Hülya Stadelmann
Martin Rose B.A.
Dr. Franco Stumpf B.Eng.
Univ.Prof. Nadja Jacob B.Eng.
Alfredo Bolzmann B.A.
Stanislaus Geißler
Hans Dieter Fiebig B.Eng.
Oxana Henschel
Rosa Pieper B.Eng.
Kilian Patberg
Herr Hinrich Mühle
Eileen Etzler
Dr. Saban Hoffmann B.Eng.
Anna-Luise Kraushaar
Mira Hoffmann
Sinaida Ruppersberger
Hiltrud Bolander-Ziegert
Adeline Hein-Metz
Friedrich Austermühle-Döring
Emilie Bolander
Univ.Prof. Olivia Gnatz MBA.
Univ.Prof. Sebastian Sontag
Bert Ortmann
Prof. Mirko Adolph B.A.
Daniele Finke
Aleksander Dowerg
Ruth Wiek-Bloch
Ewald Hethur
Liane Gröttner
Silke Biggen MBA.
Nadeshda Schenk
Heinrich Kramer
Hansjoachim Kraus-Beer
Irmi Biggen
Dr. Steven Wohlgemut
Dipl.-Ing. Marisa Scholl
Helen Tschentscher
Irmi Schacht
Bernfried Roht
Ing. Natalie Oderwald B.Sc.
Dr. Fredy Niemeier
Prof. Helga Hesse
Boris Bachmann
Adelinde Kensy B.Eng.
Sigrun Mälzer
Nadeschda Rädel
Fatih Zirme
Gerolf auch Schlauchin
Prof. Natalja Käster MBA.
Johan Baum
Urszula Fliegner
Dr. Jorge Kambs B.A.
Waltraut Gehringer
Malgorzata Tlustek
Lieselotte Nohlmans
Hanspeter Juncken
Friedo Lorch
Jaroslaw Pieper MBA.
Sonia Säuberlich-Langern
Oliver Biggen
Dr. Theresia Mende
Univ.Prof. Paulo Jähn
Semra Fiebig
Telse Rudolph
Elfie Kreusel
Univ.Prof. Hiltrud Löwer
Alessandro Henk-Käster
Dipl.-Ing. Leokadia Junk
Karl-Peter Grein Groth B.Eng.
Denny Salz
Dipl.-Ing. Nathalie Bender
Jacqueline Hofmann
Margret Dehmel
Dietlind Drubin
Konstantinos Lindner
Prof. Marika Davids B.A.
Kay-Uwe Barkholz
Sibille Kallert
Dipl.-Ing. Sarina Dörr
Joseph Reuter
Felicitas Biggen
Kasimir Albers-Stiebitz
Ingmar Beckmann
Univ.Prof. Gunda Höfig
Alice Nette
Roger Gunpf-Paffrath
Dr. Herbert Jockel B.Eng.
Michaela Döhn
Mehdi Neureuther
Univ.Prof. Anna-Luise Faust
Dipl.-Ing. Tim Fritsch
Steven Steinberg B.Eng.
Bettina Klapp
Cosimo Löffler B.Sc.
Rainer Conradi
Herr Bastian Hübel B.A.
Magarete Schomber
Frau Nuray Mangold MBA.
Jadwiga Gierschner-Schulz
Hansjürgen Schlosser
Milos Kuhl B.Sc.
Janin Haase
Frau Anny Niemeier B.A.
Ing. Marleen Hölzenbecher MBA.
Darius Kallert
Kira Eckbauer
Almuth Rosenow-Schönland
Wieslaw Lachmann
Nurettin Börner
Danny auch Schlauchin
Univ.Prof. Jann Schleich
Carla Tintzmann
Lina Hörle
Brigitta Walter
Tony Wende
Hiltrud Pergande
Anka Boucsein
Vito Roht
Sami Stolze-Döhn
Horst-Peter Ritter
Gisa Hendriks
Univ.Prof. Ivonne Haase B.Sc.
Hans D. Kusch B.Sc.
Susi Seifert
Dipl.-Ing. Klaus-D. Kostolzin
Catharina auch Schlauchin
Herma Bender-Scholtz
Volkmar Mosemann
Ivonne Lachmann
Univ.Prof. Alois Jähn B.Eng.
Univ.Prof. Alexei Mülichen MBA.
Dr. Heinz-Georg Aumann MBA.
Horst-Peter Thies
Ing. Birte Heidrich B.Eng.
Stephen Lübs
Gislinde Wagenknecht
Dariusz Reising-Ernst
Anne-Rose Sorgatz
Bianka Holsten
Dipl.-Ing. Jaroslav Henk
Natalia Stroh
Alfred Rose
Heiderose Lange-Schüler
Ilija Hofmann
Jan Linke MBA.
Hans-Herbert Flantz
Herta Keudel
Slavko Fliegner B.Sc.
Hans-Jürgen Barth
Dr. Lidwina Oestrovsky
Irmengard Sauer
Senol Hölzenbecher
Gertraut Koch II
Klaus-Dieter Koch II B.A.
Gino Ernst
Laurenz Ritter
Alexander Hörle
Gerhild Gude
Herr Wolfhard Hövel
Emine Lübs
Kathrin Johann-Schulz
Viviane Fritsch-Martin
Antonie Fischer-Margraf
Oxana Stumpf
Darius Gieß
Deborah Scholtz B.A.
Dr. Hans-Detlef Lindau B.Eng.
Slavko Schüler B.Eng.
Marvin Kabus B.A.
Reinhard Christoph
Jolanta Nohlmans-Tschentscher
Dr. Otto Schmidtke MBA.
Siegmund Heidrich
Prof. Irmgard Mühle
Genoveva Hofmann
Adolfine Lange
Dr. Ian Grein Groth
Eva Wende B.Eng.
Ignatz Börner
Stjepan Wesack-Winkler
Michaela Sontag-Dörr
Dr. Leonie Köster
Gunnar Ernst
Lydia Jopich
Dipl.-Ing. Hans-Günther Bien
Dipl.-Ing. Karina Kambs MBA.
Elfi Kranz
Franz Ortmann B.Eng.
Prof. Mohammed Kambs
Margaretha Kohl B.Sc.
Utz Christoph-Henck
Prof. Loretta Speer MBA.
Mirella Löchel
Prof. Karl-Friedrich Geisler B.A.
Prof. Hermann Bohlander B.Eng.
Univ.Prof. Ingelore Schulz MBA.
Gülten Röhrdanz
Raisa Stey-Sauer
Ing. Ernest Rogge B.A.
Maria Mans B.Eng.
Ilonka Döring-Schulz
Isa Weihmann
Johann Oestrovsky
Susanna Söding
Dipl.-Ing. Wilfried Ortmann
Johannes Bärer
Karoline Hübel
Viola Oderwald B.A.
Inken Gute B.Eng.
Dr. Olaf Gierschner B.Sc.
Marie Henk B.Sc.
Dr. Ellen Schlosser B.A.
Henni Ullmann MBA.
Mercedes Blümel
