Student
Andrea Hamann
Hülya Stadelmann
Florence Schulz
Cilli Lindau B.A.
Alicia van der Dussen-Patberg
Herr Thomas Baum
Nuran Schottin B.Eng.
Luka Binner
Brian van der Dussen
Univ.Prof. Hugo Martin
Emma Trub-Scheuermann
Wenzel Wilmsen
Johanna Finke-Ehlert
Heinrich Bohlander-Ullrich
Ing. Mahmoud Becker
Anto Tröst-Schäfer
Herr Rolf-Peter Renner MBA.
Erica Schlosser
Ing. Wladimir Karz MBA.
Hans-Günther Kohl B.Eng.
Philipp Killer B.A.
Ekrem Hornich
Kordula Drub B.Sc.
Alexandros Ernst
Univ.Prof. Gregor Gieß MBA.
Ing. Willfried Kostolzin
Siegried Otto
Gerwin Salz
Vera Scholl
Frau Gilda Ebert
Benno Gehringer-Wohlgemut
Cäcilie Schmidt
Hans-Martin Bärer
Univ.Prof. Kirstin Killer B.Eng.
Thomas Drub
Alwina Koch
Gabriele Käster
Guiseppe Rust
Ibrahim Ditschlerin
Herr Dimitri Mohaupt B.A.
Harro Söding
Ellen Liebelt
Matthäus Eckbauer
Dora Jockel
Tino Kensy
Hans-Gerd Holt
Karl-Peter Heser
Reza Misicher
Michaele Schacht
Marie-Therese Wagner
Torben Schweitzer
Gislinde Lehmann
Karl-Dieter Segebahn-Köster
Rüdiger Heinrich
Frau Eugenia Matthäi
Gislinde Wagenknecht
Gunnar Hornig
Anatolij Trub
Albin Fischer B.Eng.
Monja Siering
Andre Stroh
Univ.Prof. Kata Zahn
Klaus-Werner Koch II B.Sc.
Felicia Flantz-Lehmann
Dino Kusch-Hiller
Univ.Prof. Metin Martin B.Sc.
Ing. Eleonora Holzapfel
Siegrun Reinhardt
Angelo Pärtzelt
Stephanie Dörr-Bärer
Isolde Seifert
Georg Nerger
Annegrete Pergande
Constance Drubin
Zita Butte
Arndt Bachmann B.Eng.
Karla Freudenberger MBA.
Dipl.-Ing. Regine Renner
Ralph Rogge
Alessandro Caspar
Enno Jockel MBA.
Dipl.-Ing. Henrike Hörle B.A.
Ole Schmidtke
Fritz Schenk B.A.
Miroslaw Hentschel-Stoll
Gerda Gröttner B.Sc.
Nathalie Lehmann
Dipl.-Ing. Lotte Austermühle B.A.
Manuel Hering-Jäntsch
Arif Heinrich
Elena Fiebig
Woldemar Bolzmann B.A.
Roswita Atzler
Ing. Valentina Börner
Rainer Gude-Kaul
Sibel Hörle
Franca Harloff-Döring
Dr. Gabriel Junitz
Liesa Wilms B.A.
Karl-Josef Barth
Nikolas Heß
Nikolaos Dehmel B.A.
Krista Bohnbach
Dipl.-Ing. Slavica Mälzer
Univ.Prof. Bert Gieß
Prof. Cäcilia Gertz B.Eng.
Angelo Röhrdanz
Ekaterina Schmiedecke
Leokadia Putz
Univ.Prof. Nikolaus Sölzer B.A.
Urte Caspar
Frau Herlinde Segebahn
Elise Ackermann
Dr. Rotraud Gorlitz
Dr. Uta Gumprich
Selma Girschner B.Sc.
Ehrhard Klotz
Univ.Prof. Canan Zorbach B.Sc.
Kay-Uwe Pölitz
Ing. Paolo Meister
Gislinde Klapp B.Sc.
Christiane Wirth B.Eng.
Dipl.-Ing. Hanns Nette
Carmine Hauffer
Monika Hornich MBA.
Nikolaus Rosenow
Minna Lindner
Kreszenz Ruppert-Dobes
Daniela Wernecke-Hölzenbecher
Siegfried Schuster
Catherine Cichorius
Eberhardt Gute
Angelique Speer B.A.
Gülten Henschel
Dittmar Berger
Prof. Ilse Schmiedecke
Eberhard Junitz
Cemal Budig-Holt
Kay-Uwe Mühle
Dipl.-Ing. Margaretha Köhler B.Eng.
Ing. Walli Bolander MBA.
Clara Ruppersberger
Ilja Preiß
Julian Lehmann-Ortmann
Maren Bachmann-Stumpf
Fredi Meyer-Weiß
Ilhan Budig
Karl-Josef Schottin-Hoffmann
Tülay Fiebig
Inka Trapp
Cord Haase
Elisa Noack-Seifert
Heinz-Dieter Caspar-Hande
Dana Jäntsch
Reinhild Patberg
Ing. Margareta Hethur B.A.
Konstantin Eimer-Lehmann
Uli Renner
Ernst-Dieter Rörricht B.Eng.
Jadwiga Karge
Wieslaw Käster
Jeannine Lehmann
Gundula Ruppersberger
Damaris Bien
Dr. Ian Grein Groth
Elwira Hellwig
Abraham Hoffmann
Prof. Amir Reising MBA.
Bayram Kostolzin-Rosenow
Dr. Caroline Ortmann
Tomas Säuberlich B.A.
Ernst-August Oestrovsky-Kreusel
Tibor Schleich
Ditmar Adolph
Dajana Trapp-Kreusel
Prof. Knud Atzler B.Sc.
Hildegunde Stiebitz-Mude
Lea Heuser
Univ.Prof. Emine Vogt B.Sc.
Bettina Schlosser
Drago Gierschner B.Eng.
Silvia Weiß
Prof. Alois Jacob
Isabell Briemer
Maurizio Tschentscher
Benjamin Stoll
Univ.Prof. Karin Beier
Claus Butte
Nikolaj Scholz
Alina Spieß
Gregor Buchholz
Ing. Frederic Christoph B.Eng.
Gertraud Tröst
Mahmut Rose B.A.
Dipl.-Ing. Konrad Schenk
Ilja Hölzenbecher-van der Dussen
Susanna Schaaf
Dr. Änne Radisch
Prof. Nuran Sauer B.Sc.
Ing. Eckart Becker B.Sc.
Hella Pergande MBA.
Dr. Markus Roskoth B.Sc.
Kathi Hering
Henny Herrmann
Ing. Eva Kitzmann B.A.
Karl-Georg Zahn
Rainer Conradi
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Patricia Trubin
Ing. Helmuth Bruder
Carsten Jüttner B.Eng.
Prof. Linus Kambs B.A.
Herma Möchlichen
Matthias Hendriks-Koch
Cordula Mangold
Frau Anne-Katrin Rädel
Arzu Wieloch-Röhrdanz
Dipl.-Ing. Rüdiger Otto B.A.
Miriam Ehlert MBA.
Herr Mirko Häring B.Sc.
Svea Krebs-Scheibe
Gerwin Schuster
Guenther Schmidt
Dipl.-Ing. Janet Ruppersberger
Ekkehart Bruder
Dipl.-Ing. Giorgio Drubin B.Eng.
Univ.Prof. Arno Kramer B.Eng.
Herr Rupert Jüttner MBA.
Annelies Beer
Klaus-D. Sölzer
Irene Ditschlerin
Nelly Schlosser
Christiane Mentzel
Ing. Alfred Söding
Gundi Tlustek
Florian Wulff
Prof. Niko Atzler B.Sc.
Dipl.-Ing. Charles Täsche
Sandy Römer-Bien
Dr. Sonia Hornich B.Eng.
Marit Thanel B.Sc.
Radmila Kraus-Schacht
Jonas Adler
Kriemhild Gude
Thies Rose
Meinrad Barkholz B.Eng.
Klaus-D. Segebahn
Annett Dehmel MBA.
Prof. Lieschen Mälzer B.Sc.
Dipl.-Ing. Detlef Trommler
Dipl.-Ing. Mahmoud Mühle B.Eng.
Frauke Stadelmann
Oxana Stumpf
Margita Schleich-Becker
Berit Pärtzelt
Frau Krista Rädel B.Sc.
Marie-Therese Schleich
Frau Friederike Albers
Pedro Pölitz
Wolf Häring-Kallert
Frederik Rust
Regina Wende
Prof. Beatrix Döring MBA.
Ing. Massimo Losekann
Wanda Stoll B.A.
Bogdan Rosemann
Maren Bruder
Dr. Halina Mälzer
Anneliese Gnatz
Baptist Radisch MBA.
Prof. Rolf-Dieter Fiebig MBA.
Ali Briemer-Klemm
Ing. Leopold Hoffmann
Ahmed Freudenberger B.Sc.
Natalia Hauffer
Jasmina Zorbach
Belinda Huhn
Adelheid Salz
Kilian Austermühle B.A.
Udo Grein Groth
Univ.Prof. Johan Lange
Dipl.-Ing. Anneliese Kühnert
Alicia Ring
Curt Schönland
Rouven Bloch B.A.
Daria Jopich
Dipl.-Ing. Jan-Peter Mende MBA.
Viola Sager
Ing. Petar Hänel MBA.
Paolo Schmidt B.A.
Dipl.-Ing. Amanda Striebitz
Gudula Stroh-Bien
Agathe Söding
Gerold Jacob
Traudl Christoph
Senol Hande MBA.
Prof. Thekla Hahn
Magdalene Hering MBA.
Teresa Möchlichen
Marten Möchlichen
Ronald Hofmann
Dorothee Renner
Susann Haering
Marko Renner
Wenke Stolze
Franziska Hörle B.Sc.
Herr Alwin Sager B.A.
Dr. Fredy Niemeier
Isidor Heinrich
Alma Rörricht
Emin van der Dussen
Ellen Gutknecht
Kathrin Dussen van
Cilli Röhricht
Thorsten Bolzmann-Hesse
Benita Holzapfel-Hecker
Mike Hofmann
Frieda Tintzmann-Löchel
Hellmut Bruder
Rosa-Maria Seifert
Ing. Rose-Marie Hölzenbecher
Prof. Cathrin Misicher
Henrik Hein B.A.
Frau Bruni Krein B.A.
Thaddäus Geißler
Ernestine Trommler
Katalin Butte
Monja Mülichen
Klaus-Werner Bohlander
Frauke Söding
Jost Lindau
Friedo Ritter
Gerold Schuchhardt B.Sc.
Hans-J. Tröst MBA.
Dorota Mude
Ing. Adalbert Heser
Tomislav Girschner
Franz Löwer
Emmerich Killer
Ing. Abraham Thanel B.Eng.
Vito Roht
Ing. Paul-Heinz Geißler
Philipp Lorch
Ruth Wiek-Bloch
Ing. Hans-Heinrich Reichmann B.Sc.
Ing. Anneliese Döring
Marzena Hein
Dorle Rädel
Giesela Wagner
Herr Jacek Budig B.Eng.
Karl-Georg Lehmann
Hermine Wohlgemut
Bayram Gertz-Hendriks
Prof. Helmut Hellwig MBA.
Dipl.-Ing. Matteo Baum
Dr. Karla Christoph
Gordana Bolnbach
Benita Schleich
Herr André Scholl B.Sc.
Wendelin Pärtzelt
Urszula Rudolph
Anny Wähner
Kristin Kabus
Dipl.-Ing. Hardy Kohl
Jolanthe Jessel
Ludmila Dobes B.A.
Liesbeth Junck-Benthin
Nicolai Röhricht-Spieß
Siegrun Reichmann
Hans-Detlef Matthäi
Eckard Textor
Dipl.-Ing. Undine Warmer
Ing. Jaqueline Wende B.A.
Janet Kade
Andre Schönland B.Sc.
Gisa Dörr B.Eng.
Amalia Schmidtke-Radisch
Valerie Losekann
Jörg-Peter Speer
Teresa Ladeck-Rädel
Cläre Bruder-Hentschel
Guido Pieper
Uta Kade
Walli Gnatz
Univ.Prof. Conny Wagner MBA.
Oxana Henschel
Dr. Kai-Uwe Schulz B.A.
Birte Jüttner
Zeljko Gieß
Gunnar Junk
Univ.Prof. Mahmoud Liebelt
Hellmuth Söding-Bonbach
Felicia Ritter
Dipl.-Ing. Jörgen Rose B.Eng.
Birgid Freudenberger
Univ.Prof. Melita Langern
Gerd Beckmann-Gnatz
Ing. Lucie Karz
H.-Dieter Mülichen B.A.
Walter Schleich-Segebahn
Christin Hein B.Sc.
Marianne Heser
Ing. Käthe Plath B.Eng.
Prof. Kata Häring
Hildegund Ruppersberger
Sieghard Hahn
Änne Boucsein B.Sc.
Hasan Klemm
Dolores Stey-Matthäi
Karen Rädel
Erol Eimer
Dipl.-Ing. Mathias Metz B.A.
Ilias Wagner
Süleyman Baum
Frau Julie Gunpf
Alexej Hornig-Radisch
Bayram Meister
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Thorsten Adler B.Sc.
Nico Drewes
Robby Kramer
Anton Müller
Herr Hanno Hesse
Wanda Vollbrecht-Reinhardt
Ing. Irmtraud Wiek MBA.
Adelinde Ackermann-Knappe
Nuran Schäfer B.A.
Gundel Dietz
Anna-Marie Ullrich
Joseph Reuter
Wencke Bohlander
Univ.Prof. Ricardo Sorgatz B.A.
Jens Löchel
Dipl.-Ing. Kristine Klapp MBA.
Evi Grein Groth
Margareta Schmidt
Dipl.-Ing. Adriana Geißler
Pero Römer
Frau Almuth Kostolzin B.A.
Dr. Erdogan Fröhlich
Heinz-Georg Döhn
Margit Klapp
Ekkehart Kreusel
Artur Budig
Annamaria Hesse
Dr. Theresia Mende
Elvira Mälzer
Inka Trub
Justine Dippel-Rosemann
Zbigniew Höfig B.Eng.
Herr Kurt Weitzel B.Sc.
Ing. Alla Schottin B.A.
Dipl.-Ing. Margarete Schmidt
Insa Peukert
Attila Losekann B.Sc.
Carina Killer
Friedericke Lehmann B.Sc.
Alice Lachmann-Finke
Vitali Faust B.Eng.
Brunhild Karge B.A.
Ewald Rädel-Rörricht
Dagmar Franke-Schleich
Radmila Linke MBA.
Gudula Niemeier
Dipl.-Ing. Zenta Hornig B.Sc.
Bekir Bonbach
Ing. Leonid Budig B.A.
Ljiljana Rädel
Luisa Hecker
Ljiljana Henk
Josef Langern
Ing. Rosalinde Käster MBA.
Ing. Engelbert Bauer
Annett Mies-Hellwig
Univ.Prof. Lucia Zobel
Univ.Prof. Undine Becker MBA.
Elizabeth Jacob
Brian Lehmann B.Eng.
Beatrix Gehringer
Canan Beyer
Lorenzo Adler-Trommler
Hüseyin Johann
Uwe Sorgatz
Aneta Heydrich
Philippe Wähner
Irmengard Jüttner B.Eng.
Anatol Gude MBA.
Dr. Ellen Schlosser B.A.
Caterina Weinhage
Prof. Hans-Gerhard Reinhardt B.Eng.
Sigfried Franke B.Sc.
Ing. Siglinde Bolzmann
Amir Reuter
Univ.Prof. Maria-Luise Trüb B.Sc.
Frau Pascale Hettner B.Eng.
Univ.Prof. Ladislaus Hande
Lina Hein-Gotthard
Hans-Gerhard Staude
Dr. Samuel Tröst
Guido Wagenknecht-Kallert
Dipl.-Ing. Ryszard Buchholz
Frank-Peter Haase
Univ.Prof. Liliana Niemeier B.Eng.
Antonina Wagner
Marga Vogt
Constanze Schleich
Cindy Tschentscher
Lotte Kitzmann B.A.
Ortrun Krebs
Rosina Otto
Adelinde Gumprich MBA.
Ing. Tilman Kitzmann
Dina Schmidtke
Stephanie Beer
Ing. Nikolai Niemeier B.A.
Ellen Hahn-Spieß
Kornelius Hornig MBA.
Prof. Johannes Holzapfel MBA.
Herr Valentin Warmer
Kathleen Hahn B.A.
Else Heß MBA.
Clemens Thanel
Sevim Ackermann
Annegrete Pohl-Sölzer
Riza Heydrich
Ing. Meinhard Schweitzer
Mesut Trommler
Erwin Jungfer
Irmgard Pieper B.Eng.
Brigitta Walter
Hiltrud Bolander-Ziegert
Ramona Henk B.Sc.
Prof. Heinz-Josef Radisch B.A.
Ilija Kohl
Mira Hoffmann
José Gröttner B.Sc.
Rosa-Maria Steckel
Thoralf Geisel
Friedhelm Schleich
Annekatrin Schleich
Alma Flantz MBA.
Irmtraud Hauffer-Matthäi
Leszek Hentschel
René Matthäi
Herr Osman Gerlach B.Sc.
Irmi Döhn
Friedrich-Karl Weimer
Anka Rohleder
Michel Heß
Univ.Prof. Veli Etzler
Irmgard Täsche B.A.
Ing. Birte Heidrich B.Eng.
Marieluise Schulz
Reinhardt Pärtzelt
Micha Albers-Wilms
Heribert Austermühle-Trupp
Heiderose Bärer
Henrik Heidrich
Ernest Schönland B.Eng.
Chantal Kade
Woldemar Heinz
Thekla Schäfer
Miguel Lehmann
Calogero Staude B.A.
Ivanka Gierschner-Pergande
Dipl.-Ing. Walburga Steckel
Ing. Carolin Faust B.A.
Dipl.-Ing. Christoph Jockel B.Sc.
Franz Josef Hoffmann B.Sc.
Bernard Losekann
Geert Rudolph
Paolo Meister
Antonius Stoll-Krebs
Ing. Elisabet Jopich B.Sc.
Friederike Sölzer-Hentschel
Nelli Stiebitz
Lissi Kohl
Renata Holt-Heintze
Dr. Cengiz Säuberlich
Prof. Ingeborg Noack
Silke Scheuermann B.Sc.
Alban Dippel
Prof. Sergei Heser
Ditmar Pölitz B.A.
Frau Anny Niemeier B.A.
Bodo Martin
Giuseppe Trupp
Apostolos Kreusel-Noack
Burkhard Fröhlich-Dussen van
Mareile Meister
Dörte Nette
Fanny Bolnbach B.Sc.
Prof. Marijan Hoffmann
Andy Mangold
Univ.Prof. Vesna Hering
Marten Röhricht B.Sc.
Cemil Schweitzer
Kreszenz Drubin
Ing. Nadeschda Tschentscher B.A.
Lydia Losekann MBA.
Eva-Maria Mies MBA.
Dr. Gabriel Freudenberger MBA.
Irena Wilmsen
Hans-Bernd Trupp
Olav Margraf
Dr. Antonia Schomber B.Sc.
Julius Kraushaar
Lydia Schenk
Luise Junk
Maik Tintzmann B.Sc.
Delia Rust
Marc Heintze B.A.
Maurizio Eckbauer
Ernestine Karz
Mareen Krebs-Hofmann
Dr. Editha Rohleder
Adeline Hein-Metz
Eileen Etzler
Aenne Mende B.Eng.
Fredy Ring
Karlfried Ruppersberger
Gilbert Steuer-Rosemann
Vincenzo Lübs
Siegfried Kreusel
Rosi Renner-Graf
Frau Nurten Huhn
Danuta Kreusel
Hartmuth Eberhardt
Dipl.-Ing. Henriette Lindau
Jerzy Hermighausen-Lübs
André Sauer
Hans-Herbert Walter
Armin Scholz
Herr Christopher Speer
Peer Hölzenbecher
Phillip Hermann
Regina Fliegner
Ilse Henschel
Anatolij Jüttner-Bauer
Kristin Niemeier
Ing. Edward Salz
Monja Riehl
Stilla Heuser
Geraldine Gutknecht
Carmela Lindau
Karl-Hans Fiebig
Rosina Klotz B.A.
Dr. Lilija Butte B.A.
Chantal Kramer
Hanns Ehlert MBA.
Pamela Mies B.Eng.
Virginia Gorlitz
Prof. Ildiko Adler MBA.
Wolfhard Rosemann B.Eng.
Jakob Seifert
Swen Schweitzer B.Sc.
Reiner Ziegert-Walter
Gunter Schenk B.Sc.
Lili Weimer
Univ.Prof. Ingelore Schulz MBA.
Rebekka Lindau MBA.
Friedrich-Wilhelm Roht-Wiek
Agathe Trommler
Lotti Mosemann
Abdul Ullmann
Heinz-Günter Boucsein
Felicia Löffler
Helma Häring
Otmar Gierschner
Eckehard Nette
Dina Schmiedt MBA.
Prof. Natalija Weinhold
Dr. Stephanie Ladeck
Gordon Lehmann
Heinz-Willi Jockel
Dr. Halina Haase
Ditmar Trub
Irina Birnbaum
Eugen Schottin
Ing. Madlen Beier B.A.
Dipl.-Ing. Mariola Lange B.Sc.
Erol Lindner
Conny Fliegner
Herr Heinz-Josef Wende MBA.
Maurice Beckmann
Stanislav Hoffmann
Univ.Prof. Frederike Heintze
Dipl.-Ing. Iris Stumpf MBA.
Elenore Renner
Othmar Täsche-Loos
Steven Seifert
Gerald Albers-Jähn
Conny Geißler-Karge
Stilla Köhler
Rahel Stey
Anica Tintzmann B.Eng.
Geert Etzold
Prof. Klaus Peter Hellwig B.Sc.
Elfi Kranz
Annerose Kaul
Ing. Kläre Radisch
Ahmad Fechner-Wulff
Dr. Franco Wilms
Diedrich Scheel-Hübel
Egon Paffrath
Univ.Prof. Sahin Freudenberger B.A.
Univ.Prof. Heinrich Knappe B.A.
Prof. Apollonia Gerlach B.Sc.
Sören Pechel
Jana Langern
Olivia Mies
Sigrid Jockel
Guido Junck
Brunhilde Mälzer-Warmer
Emilia Römer
Desiree Köster
Anneli Schleich-Ullmann
Herr Hilmar Stumpf
Bekir Cichorius-Döring
Bernhardine Bender MBA.
Dan Scheuermann
Gerhart Schenk MBA.
Telse Steuer B.Eng.
Engin Trub
Dipl.-Ing. Till Schenk
Sigurd Süßebier
Ing. Leszek Gutknecht B.Sc.
Jurij Zahn B.Sc.
Tobias Liebelt
Dipl.-Ing. Rabea Sorgatz MBA.
Dr. Reza Hering B.Sc.
Nathalie Krause
Günter Wiek B.A.
Univ.Prof. Kläre Oderwald B.Sc.
Mandy Scholl-Bohnbach
Silvio Weimer
Heinz-Werner Buchholz
Abraham Adler
Ing. Rosalinde Rogner MBA.
Ing. Petar Wilmsen
Wilfriede Blümel
Daniele Pieper-Käster
Ing. Ayse Schacht
Juliane Mentzel-Ziegert
Dörte Warmer
Slawomir Tlustek B.A.
Juergen Beier B.A.
Pavel Jessel
Juergen Bähr
Univ.Prof. Jürgen Weiß
Wilfried Radisch
Dominic auch Schlauchin
Friedrich Bolnbach-Gnatz
Constantin Beckmann
Gaetano Fröhlich
Ben Eimer-Loos
Heidelore Heinrich
Erkan Beier
Ing. Ayse Mangold MBA.
Reimer Kitzmann
Liane Kambs
Prof. Wolfgang Mohaupt
Madeleine Hartung
Moritz Roht
Gisela Hornich-Metz
Silvester Etzold
Dr. Muzaffer Sauer B.Eng.
Bianka Scheuermann
Irmi Gute
Dursun Gehringer
Gitte Briemer
Mirjana Drub
Andre Metz B.A.
Paulina Bender-Liebelt
Gino Hartung
Dipl.-Ing. Eckhard Kallert B.Sc.
Univ.Prof. Gretl Langern B.A.
Dr. Lea Kraushaar B.Eng.
Desiree Gierschner B.Eng.
Dr. Klothilde Lachmann B.A.
Diedrich Lachmann-Oestrovsky
Hildburg Dowerg-Pergande
Bruno Siering MBA.
Sergio Schleich
Timm Schönland
Heinz-Wilhelm Kuhl
Wiltrud Dietz
Steven Eimer
Marijan Huhn
Cora Reichmann B.A.
Ing. Jens Henck B.Eng.
Univ.Prof. Antoinette Wende B.A.
Marius Klotz
Ing. Igor Barth
Prof. Frithjof Binner
Ramon Jäntsch-Gertz
Aloys Fechner
Cilli Heintze
Ludmilla Pieper
Marvin Kade-Ladeck
Dr. Jacqueline Trubin B.Sc.
Ludmila Löffler
Univ.Prof. Amalie Warmer B.Eng.
Gaetano Paffrath
Fatima Weinhage-Boucsein
Anne-Rose Krause
Jolanta Nohlmans-Tschentscher
Jacek Täsche
Dr. Reinhilde Thies B.Eng.
Tilman Hövel
Felix Wilms
Matteo Dehmel-Weimer
Lili Heydrich-Beyer
Reingard Cichorius
Prof. Lilly Schmidtke
Mechtild Hering
Wolf Stadelmann
Kai-Uwe Oderwald
Isabell Buchholz
Rudolph Etzold
Gerwin Textor
Magdalena Löwer B.Eng.
Mareike Wilmsen
Prof. Miguel Dowerg B.A.
Rosa-Maria Reising
Horst-Peter Thies
Helge Wilmsen-Hein
Ernst Henschel
Louis Geisel
Univ.Prof. Ilka Jäntsch B.A.
Wilma Drub B.Eng.
Sina Wulff-Dussen van
Frau Änne Gunpf B.Sc.
Friedo Lorch
Univ.Prof. Etta Bohnbach
Ing. Alf Lachmann
Gabriela Gierschner
Resi Margraf
Dipl.-Ing. Wenzel Hellwig B.Sc.
Herr Guido Knappe B.Eng.
Michelle Kitzmann
Hansjörg Holsten
Edelgard Neureuther-Vollbrecht
Franca Buchholz
Janett Patberg
Philip Renner
Sinaida Roskoth B.A.
Fernando Tschentscher-Schacht
Nada Hänel
Heinz-Günter Weimer B.Sc.
Anne-Rose Klemm
Herr Edmund Hesse
Univ.Prof. Zofia Rust
Kathi Seip
Ing. Brunhilde Albers
Prof. Alina Barth
Wojciech Losekann-Seidel
Kenan Pieper
Joanna Weinhold-Förster
Nadia Rosenow
Siegbert Seifert
Univ.Prof. Lydia Langern
Sofia Heinrich
Bayram Cichorius-Zobel
Theres Heser
Clarissa Wieloch
Alexa Dietz
Waltraut Gehringer
Helen Hahn
Bernd Blümel
Univ.Prof. Ivanka Hübel
Herr David Löchel B.A.
Univ.Prof. Antonina Becker
Prof. Maya Peukert
Annie Harloff B.A.
Herr Arnulf Kohl
Sigmund Herrmann MBA.
Elisa Mälzer
Niklas Schleich
Reza Mielcarek
Frank-Peter Bien
Zenon Pärtzelt
Dipl.-Ing. Babette Bauer B.Sc.
Ingbert Hartung
Birgid Drewes-Seifert
Wilhelm Klemm B.A.
Hannelore Haase
Univ.Prof. Hardy Hartung
Aziz Bauer MBA.
Univ.Prof. Suzanne Paffrath
Univ.Prof. Othmar Geisel
Jost Roskoth
Marina Radisch
Zehra Ernst-Bohnbach
Gabi Meister
Dr. Alberto Kabus B.Sc.
Dr. Annelene Hamann
Ewald Dussen van
Trudel Wagner
Dörte Dobes-Bonbach
Ria Stroh
Astrid Schweitzer
Ria Walter
Diethelm Hübel MBA.
Laurenz Rosemann
Karoline Römer
Fatima Röhrdanz
Harro Vogt-Gieß
Ing. Adam Klemt MBA.
Dipl.-Ing. Rolf Tröst B.Sc.
Ing. Ivana Budig B.Eng.
Laura Mühle
Marcella Höfig
Georgine Segebahn
Markus Albers
Maren Heser-Kreusel
Dr. Melitta Mans B.Eng.
Martine Trupp
Edmund Caspar B.Sc.
Rudolph Metz-Mitschke
