Student
Klothilde Blümel B.A.
Manuel Hering-Jäntsch
Dipl.-Ing. Ante Rust
Rainer Hänel
Herr Ronald Reising B.Sc.
Kreszentia Bloch-Steckel
Carola Franke
Jessika Thies
Ing. Friedhelm Löchel B.Eng.
Fatima Heser B.Eng.
Ekaterina Schmiedecke
Vadim Rose-Wulf
Aenne Beyer
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Joerg Döhn
Herr Karl Dippel B.A.
Cilli Gorlitz
Prof. Linda Beier
Ing. Justina Beckmann
Maurice Möchlichen
Cecilia Stoll
Prof. Hans-Gerhard Reinhardt B.Eng.
Antonios Klemm B.Sc.
Flora Gotthard
Sandy Haering
Hannah Stiffel-Börner
Virginia Textor
Franz-Peter Preiß B.A.
Natalie Carsten B.A.
Rouven Eberhardt
Branka Mentzel
Dr. Markus Roskoth B.Sc.
Nadja Hethur
Prof. Frithjof Binner
Asta Knappe
Magdalena Gude
Ing. Tina Schmiedt B.A.
Dipl.-Ing. Christoph Jockel B.Sc.
Alois Werner
Loni van der Dussen B.Sc.
Dipl.-Ing. Janus Roht B.Sc.
Wolf Stadelmann
Prof. Marion Scholz
Heribert Ring B.A.
Ralph Jacobi Jäckel
Dajana Meyer
Rolf Wirth
Karsten Wohlgemut
Gesa Jäntsch
Valentin Döring
Romy Baum
Josefa Junk
Agatha Kostolzin
Prof. Bela Noack
Inken Ziegert
Hartmut Biggen-Trapp
Annekatrin Wende
Björn Rädel-Rohleder
Irmtrud Pohl
Hansjürgen Lindner
Kai-Uwe Sorgatz
Clara Mans
Zbigniew Boucsein
Brian Preiß
Mijo Karge-Löchel
Hans-Adolf Römer-Jäntsch
Roman Hauffer
Eveline Wagenknecht
Herr Oliver Stahr
Frau Camilla Kruschwitz
Antonia Mohaupt
Ing. Zoran Tintzmann
Loni Trubin
Leszek Wagner-Häring
Cathleen Gude
Arnulf Zimmer-Seifert
Fritz Nerger
Sylvana Holzapfel
Abdul Klapp-Hethur
Annekatrin Trupp
Prof. Monique Budig B.Eng.
Elfi Bolander
Sina Wulff-Dussen van
Nikolas Hövel
Heidrun Stiebitz
Ditmar Trub
Sigrid Schleich
Hilde Walter
Frau Käte Zahn
Univ.Prof. Birger Weihmann MBA.
Annika Wirth
Wiltrud Gröttner-Klapp
Dominic auch Schlauchin
Prof. Maria-Luise Drub B.Sc.
Reni Henk
Kreszenz Drubin
Univ.Prof. Tomasz Atzler B.Sc.
Dipl.-Ing. Gloria Heidrich
Jane Patberg
Dr. Angelica Trüb
Hans-Günther Scheuermann B.Eng.
Univ.Prof. Fatima Hölzenbecher
Alicja Faust B.Eng.
Siegbert Kranz
Susanne Etzold
Necati Lindner
Dr. Mohamed Kroker B.Eng.
Lieselotte Dussen van MBA.
Frederike Dippel
Univ.Prof. Ottmar Jopich
Univ.Prof. Friederike Bender B.Eng.
Frau Margitta Staude
Diedrich Scheel-Hübel
Falk Wagenknecht B.Eng.
Eugen Weitzel
Herr Edmund Hesse
Attila Rogner
Jörg Pechel
Desiree Ruppert
Herr Wieland Hartmann MBA.
Adem Mühle-Ruppert
Rolf-Peter Staude
Edit Kitzmann
Walentina auch Schlauchin-Albers
Luciano Biggen
Jennifer Hoffmann
Thies Rose
Univ.Prof. Henry Wohlgemut B.Eng.
Gerold Loos-Rogge
Lieschen Röhricht MBA.
Arne Ziegert B.Sc.
Joerg Fritsch-Pieper
Diana Jessel-Geißler
Prof. Katalin Lindner B.Eng.
Ing. Siglinde Speer MBA.
Valeri Mielcarek
Alla Weihmann
Anatolij Kroker B.Eng.
Josef Langern
Ivo Lorch
Dipl.-Ing. Katarina Schmidtke
Dipl.-Ing. Gunnar Rohleder B.Sc.
Prof. Irena Höfig
Prof. Uschi Fliegner B.A.
Prof. Irma Bien B.Eng.
Sieglinde Stahr
Albin Fischer B.Eng.
Univ.Prof. Robby Vollbrecht
Michaele Neureuther
Ferenc Bolzmann-Girschner
Ivonne Lachmann
Herr Recep Junk B.A.
Emma Briemer B.Eng.
Benno Kraushaar
Gotthard Scheuermann
Kreszenz Ruppert-Dobes
Birgid Graf
Luitgard Weiß-Rörricht
Janus Oderwald-auch Schlauchin
André Segebahn
Janet Johann B.A.
Mike Sölzer
Tilman Eberhardt
Cosimo Zimmer
Anne Schmidtke
Aleksander Drub
Delia Rust
Viviane Kensy
Lucie Trüb-Schmiedt
Herr Bastian Ritter B.Sc.
Hanny Martin
Sylwia Wilmsen-Ullmann
Ing. Cynthia Weihmann B.Eng.
Veronique Eimer
Univ.Prof. Romuald Hermighausen
Kazim Tschentscher
Bayram Lübs B.Eng.
Hanne Gierschner
Ralf-Dieter Riehl B.Eng.
Ing. Hansgeorg Jockel B.Eng.
Änne Boucsein B.Sc.
Guiseppe Tschentscher
Betti Zirme B.A.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Lilija Döring
Eberhardt Schäfer
Emanuel Scholz B.Eng.
Sabrina Schomber
Emmy Bohnbach
Heidemarie Kreusel
Antonius Käster
Astrid Dehmel
Hildegard Roht B.Sc.
Milka Wohlgemut-Meyer
Susann Henk
Wenzel Drubin
Dipl.-Ing. Karsten Fechner
Olav Thies
Liane Fechner
Istvan Scheuermann
Anneli Schleich-Ullmann
Dr. Catharina Gerlach B.Eng.
Susan Riehl B.Sc.
Hans-Bernd Knappe-Gröttner
Klaudia Reuter B.A.
Leopoldine Butte
Ricarda Warmer B.A.
Hans-Georg Anders
Jasmina Koch MBA.
Hans Kraus
Dr. Frieda Metz
Ing. Meinhard Schweitzer
Sibylle Stey
Ernest Stahr
Roger Hendriks-Ruppersberger
Dipl.-Ing. Edmund Franke
Lucia Hermighausen
Annaliese Gute
Ljudmila Nerger
Marie-Luise Rogner
Marion Wohlgemut B.A.
Igor Dörschner
Salih Köster
Dr. Lidwina Oestrovsky
Natalie Bender MBA.
Rotraut Bachmann
Olga Albers B.Sc.
Alwina Neureuther
Sibilla Hofmann
Miroslav Kohl
Ignatz Franke
Andrew Schlosser
Pavel Jessel
Kristina Scheibe
Robin Weinhage B.A.
Milka Hahn
Frau Herlinde Segebahn
Prof. Vadim Rogner
Gerhild Beyer
Gunda Ditschlerin B.A.
Hannchen Zahn
Stephan Warmer B.Eng.
Ilonka Kohl
Gerfried Dippel
Tülay Hettner-Ebert
Mareile Meister
Friedrich Austermühle-Döring
Carin Mohaupt-Heser
Sibilla Mälzer
Renate Franke B.A.
Insa Bloch B.A.
Emine Vollbrecht B.Eng.
Virginia Gorlitz
Herr Bertold Löffler
Prof. Mohammed Kambs
Dipl.-Ing. Hülya Nerger
Gertraude Ruppersberger
Tanja Plath
Jo Reising
Bodo Kranz-Striebitz
Univ.Prof. Therese Hänel
Anselm Mühle
Raimund Gieß
Ing. Pamela Gerlach
Dipl.-Ing. Jaroslav Henk
Frau Alexandra Beckmann B.A.
Julia Mosemann
Univ.Prof. Katharina Werner MBA.
Timm Oderwald
Jonas Adler
Cord Zorbach
Zeljko Hiller-Misicher
Ilonka Noack
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Sebastian Stiffel B.A.
Univ.Prof. Leszek Gieß B.Eng.
Manuela Linke B.Eng.
Ing. Hermine Warmer B.A.
Dr. Rotraud Gorlitz
Silvester Sorgatz MBA.
Anne-Katrin Butte MBA.
Dipl.-Ing. Halina Bender B.A.
Genoveva Hofmann
Marko Trupp
Prof. Irmgard Mühle
Vera Heydrich
Ing. Ramazan Kabus B.Eng.
Annie Harloff B.A.
Lidia Butte
Herr Marian Schlosser B.A.
Univ.Prof. Florentine Schomber B.Eng.
Verena Davids
Lena Dowerg
Prof. Edgar Roht
Arnim Bärer
Frau Hildegund Vogt B.A.
Ariane Löchel
Friedericke Roht
Berndt Riehl-Bohlander
Dogan Bolander
Marlen Gute-Hauffer
Antonia Köster B.A.
Univ.Prof. Sigurd Fischer B.Eng.
Isidor Täsche
Gabriel Werner
Henry Austermühle
Karl-Peter Hering
Jasmina Heuser
Hans-Friedrich Heydrich
Reinald Zahn
Sylvana Hornich MBA.
Milos Seifert
Nicolai Röhricht-Spieß
Hanne-Lore Johann
Prof. Fabian Scholl MBA.
Sonja Paffrath-Reichmann
Prof. Sofie Gröttner
Frank-Peter Haase
Tillmann Mude
Wendelin Pärtzelt
Gundi Sager
Margret Dehmel
Irmtrud Textor B.Eng.
Irmi Gute
Nadeschda Rädel
Dr. Gerard Reichmann MBA.
Gretel Hande
Enver Börner MBA.
Herr Hans-Ludwig Steinberg
Erica Holsten
Liesbeth Junck-Benthin
Anne-Katrin Rogge
Melitta Salz
Liesbeth Koch II
Aziz Anders
Ewald Hethur
Detlev Heintze
Osman Salz MBA.
Anneliese Gnatz
Lili Kaul
Frau Delia Hellwig B.Sc.
Halina Austermühle-Bender
Herr Hermann-Josef Lehmann B.A.
Vladimir Patberg-Weller
Cornelia Radisch
Ing. Celal Textor
Dr. Diedrich Atzler
Univ.Prof. Karl-Otto Dowerg MBA.
Ing. Jenny Oestrovsky
Ing. Dorothe Junken
Damaris Holsten-Schleich
Franz-Xaver Bachmann
Bekir Fechner
Gloria Bruder B.A.
Sigrun Weinhold
Concetta Dehmel
Miguel Dussen van B.Eng.
Monja Mülichen
Marie-Louise Hauffer
Deborah Etzler
Teresa Ladeck-Rädel
Siegried Caspar B.A.
René Gude B.A.
Jenny Scholtz
Ing. Engelbert Bauer
Lidwina Jockel
Filippo Jäntsch
Rene Hofmann
Marliese Roht
Gert Seifert
Vassilios Kramer
Hiltrud Adolph
Janine Dehmel B.Eng.
Leonore Jäkel
Burckhard Caspar
Klaus-Werner Jäkel-Holsten
Prof. Swen Benthin MBA.
Prof. Ursula Niemeier B.Eng.
Prof. Marko Rohleder B.A.
Damian Holsten
Chantal Kade
Ursel Eckbauer
Dr. Rosalinde Stolze B.Eng.
Folkert Reinhardt B.Sc.
Folker Fischer
Frau Trudel Hövel
Ing. Georg Lübs
Marit Weller
Karl Zirme
Mia Ullmann
Miguel Gehringer-Reising
Waltraud Wernecke
Camilla Jäntsch
Univ.Prof. Gottfried Süßebier
Anto Kostolzin
Hans-H. Pergande
Nicolas Möchlichen MBA.
Burkhard Holt-Schleich
Nuran Schottin B.Eng.
Katerina Drubin
Herr Maik Klemt MBA.
Ing. Walli Bolander MBA.
Lisette Schönland B.Eng.
Gesche Trub
Marcel Schlosser
Milan Weiß-Schuchhardt
Ing. Anastasios Berger
Imelda Söding
Cordula Mangold
Marcel Oestrovsky
Uli Oderwald-Freudenberger
Hanni Dippel-Heser
Irmtrud Röhrdanz
Dr. Mirko Langern MBA.
Janette Kallert
Eckehard Mude
Thomas Weinhold B.Eng.
Matthäus Striebitz-Zirme
Hermann-Josef Zimmer
Ing. Anika Jüttner
Elfie Preiß
Dörte Nette
Dipl.-Ing. Kevin Henk B.A.
Margarete Mohaupt B.Sc.
Jörn Barth-Möchlichen
Cilli Lindau B.A.
Univ.Prof. Gretl Langern B.A.
Orhan Dörr-Salz
Dr. Bastian Christoph MBA.
Hans-Christian Finke
Carla Schacht
Korbinian Werner
Charles Heinz
Guido Junck
Dr. Vitus Franke
Hartmuth Gude B.Eng.
Ingetraut Jopich
Ing. Rotraud Schmidt
Sigurd Süßebier
Xaver Schönland
Rouven Ziegert
Zeki Otto
Leokadia Oestrovsky
Janet Jüttner
Urs Matthäi
Univ.Prof. Jann Schleich
Lilija Kensy
Dr. Myriam Häring
Univ.Prof. Fredi Hölzenbecher
Anneli Wernecke
Dipl.-Ing. Utz Adler B.A.
Univ.Prof. Friedl Peukert B.Eng.
Liesbeth Huhn
Ditmar Niemeier
Simone Harloff B.Eng.
Gert Fischer
Karl-Georg Lehmann
Ernest Tlustek
Prof. Magdalena Bohlander B.Sc.
Birgit Pergande
Marco Conradi
Ralph Jessel B.A.
Dominic Gunpf MBA.
Michaele Schwital
Attila Atzler
Michaele Klotz B.Eng.
Karl-Ludwig Hoffmann
Hans-Bernd Trupp
Annelore auch Schlauchin-Lorch
Brit Anders
Univ.Prof. Anika Jockel MBA.
Marika Zänker B.A.
Dorota Wilms
Dr. Heide Jockel B.Sc.
Mohamed Schottin
Leonore Schacht
André Kraushaar-Henck
Olivia Thies B.A.
Tillmann Dobes-Trupp
Univ.Prof. Ditmar Mitschke B.A.
Hans-Friedrich Ruppert-Ullrich
Ing. Nicolai Textor B.A.
Rosi Spieß
Prof. Sepp Blümel
Marianne Heser
Friedrich-Karl Weimer
Alf auch Schlauchin
Prof. Almuth Dippel
Rosalinde Trommler
Paul Carsten
Franz-Josef Kohl
Hans-Gerd Gnatz
Antonius Bonbach-Juncken
Siegmar Dowerg
Ing. Cosimo Steinberg
Andreas Metz
Univ.Prof. Gustav Sölzer
Dr. Denise Girschner B.Sc.
Dipl.-Ing. Lidija Pölitz
Franz-Xaver Carsten
Fanny Zänker-Hein
Dipl.-Ing. Hans-Günther Bien
Rahel Hartmann
Andreas Birnbaum-Kallert
Georgine Segebahn
Prof. Josefa Beier B.Sc.
Galina Kraus-Hermighausen
Songül Tschentscher
Univ.Prof. Maxim Matthäi
Jonas Löchel
Nermin Martin
Helen Dehmel
Nadja Schleich MBA.
Hulda Neuschäfer B.A.
Lieschen Rörricht
Dr. Tim Hornig B.Sc.
Siegmund Schleich MBA.
Hans Jörg Koch
Elias Langern
Eric Briemer
Helene Kuhl-Austermühle
Annelene Steinberg
Hilmar Faust
Ing. Birgid Möchlichen B.A.
Gertrude Lehmann-Kostolzin
Ehrhard Pruschke
Ottilie auch Schlauchin B.Eng.
Hans-Josef Butte-Dussen van
Emilia Römer
Univ.Prof. Greta Trapp
Dr. Deborah Kade
Univ.Prof. Margareta Naser
Hans-Bernd Zorbach
Violetta Beyer
Hannchen Löwer B.Eng.
Burckhard Margraf
Salvatore Eberhardt-Ring
Ercan Kühnert
Domenico Gertz
Hans-Jürgen Klemm
Vincenzo Zirme
Klaus Dieter Stoll-Wilms
Wulf Steckel-Lachmann
Rüdiger Geisler
Melanie Segebahn
Krzysztof Mülichen
Univ.Prof. German Rörricht
Magdalene Fröhlich
Kornelius Heintze-Baum
Giesela Börner B.Eng.
Alina Spieß
Ing. Pauline Linke
Klaus-Dieter Knappe
Evelin Stumpf
Dipl.-Ing. Jens-Uwe Dobes
Ing. Helmuth Bruder
Ing. Kornelius Geisel B.Sc.
Rene Henck
Ing. Chantal Schleich B.Eng.
Dr. Selma Geisel B.Sc.
Antonius Pärtzelt-Jüttner
Uli Wohlgemut-Stadelmann
Nina Müller B.Eng.
Dr. Luciano Ortmann
Margaretha Kohl B.Sc.
Adolfine Lange
Frida Süßebier
Krista Bohnbach
Willy Trub-Freudenberger
Dipl.-Ing. Oskar Vogt B.A.
Roland Putz
Dipl.-Ing. Woldemar Benthin B.A.
Univ.Prof. Monja Staude MBA.
Dipl.-Ing. Gerdi Wende
Wibke Tschentscher-Wulf
Grete Peukert
Silvester Scheibe
Hans-Gerd Preiß
Herta Keudel
Carl Schomber-Mälzer
Prof. Niko Hethur B.Eng.
Aldo Kusch-Klemm
Cengiz Dehmel
Burkhardt Jäntsch B.A.
Dipl.-Ing. Gisa Jüttner B.Sc.
Kunibert Heß MBA.
Thies Birnbaum B.A.
Maximilian Heß
Leopold Rörricht
Olivia Jäkel
Friedrich-Wilhelm Holsten
Ernst-August Oestrovsky-Kreusel
Britt Gorlitz
Josephine Nerger-Mende
Univ.Prof. Metin Martin B.Sc.
Frau Jane Sauer
Jonas Mühle
Artur Schaaf
Aziz Bauer MBA.
Klaus Dieter Weimer-Hein
Marta Roht B.Sc.
Imre Sauer
Jonathan Birnbaum-Stiebitz
Univ.Prof. Halil Staude
Zofia Roht
Hilmar Spieß
Bertold Stadelmann
Eberhard Rust B.A.
Herr Yilmaz Vollbrecht B.Eng.
Gunhild Zimmer
Dr. Athanasios Noack MBA.
Alwin Löffler B.A.
Marit Thanel B.Sc.
Univ.Prof. Ivanka Hübel
Theo Döring
Maja Fischer B.A.
Anne-Katrin Höfig
Alexandre Geisel
Heiner Pieper
Siegward Weinhold
Frau Rosa-Maria Sauer B.Sc.
Lia Zänker
Melitta Steinberg
Wally Wähner
Dipl.-Ing. Betti Löffler MBA.
Hans-Bernd Kabus
Herr Rolf-Peter Renner MBA.
Kay-Uwe Trommler
Engelbert Sauer MBA.
Prof. Pedro Schmidt B.Eng.
Ingetraud Caspar
Herr Dietrich Gotthard B.A.
Arno Mude
Gerdi Neureuther-Mälzer
Nico Möchlichen
Christiane Blümel
Wilhelm Walter
Ing. Heinz Ehlert
Prof. Fredy Hahn
Adem Hörle
Eckart Cichorius
Rosalinde Trupp
Theres Heser
Melanie Scheel B.A.
Martin Dörr
Dr. Regine Gotthard
Henni Wagenknecht B.Sc.
Reinhard Rogge
Klaudia Löffler-Zorbach
Bertha Rose
Klaus-Dieter Koch II B.A.
Georgios Neuschäfer
Reiner Conradi
Ronald Rädel
Hans-Detlef Matthäi
Leonie Möchlichen MBA.
Frau Elsa Mälzer
Irmela Krein-Bolzmann
Ing. Nuran Schaaf
Dipl.-Ing. Janet Ruppersberger
Myriam Hänel
Margita Meister
Ruthild Hoffmann
Rena Rohleder
Marlies Mude
Jeanette Speer
Enrico Oderwald
Marietta Geißler
Univ.Prof. Suse Lachmann B.Sc.
Dr. Antonia Schomber B.Sc.
Heidemarie Junitz
Katja Kruschwitz-Roskoth
Annemie Margraf
Ewald Kreusel
Constantin Kostolzin
Sigrid Jockel
Danny auch Schlauchin
Prof. Denis Segebahn MBA.
Luigi Wähner
Meike Trupp
Gerlind Trüb-Losekann
Univ.Prof. Beate Eberth
Gina Killer
Fredy Bachmann B.Eng.
Janus Weitzel-Koch
Nils Stey
Kazim Rohleder
Herr Winfried Vollbrecht B.Eng.
Rosita Peukert-Scheibe
John Bauer
Toni Schottin B.A.
Gerwin Salz
Herr Darius Heuser
Magdalena Warmer MBA.
Jo Gnatz
Gerolf Döring-Buchholz
Dr. Gero Röhricht B.Eng.
Robin Schuchhardt-Reichmann
Jozef Kostolzin
Angelica Lindau-Heß
Hiltraud Köster MBA.
Herr Götz Süßebier
Prof. Dorit Käster B.Sc.
Tamara Nette-Ladeck
Univ.Prof. Marleen Kabus
Anica Ortmann B.A.
Prof. Anna-Lena Wagner MBA.
Helene Keudel
Gitte Römer-Kroker
Alma Rörricht
Andre Schinke
Dr. Annedore Wulff B.Sc.
Dorothea Kroker-Misicher
Gülten Henschel
Marcella Sölzer
Dr. Margita Stiebitz
Constance Drubin
Ing. Hans-Heinrich Reichmann B.Sc.
Marian Hande
Jeanette Mälzer
Adrian Killer
Cord Tröst
Heinz-Günter Weimer B.Sc.
Sergio Kraushaar-Anders
Lisa Rädel-Bender
Theodoros Vollbrecht-Gutknecht
Thea Dippel
Eugenia Riehl
Domenico Reichmann
Martine Trupp
Herr Wieslaw Trupp
Wiltrud Bolander
Stilla Klotz
Geert Etzold
Vito Davids-Schwital
Frau Dorothe Mielcarek
Ernst-Otto Heß-Hartmann
Ing. Czeslaw Geisel
Bertha Ritter-Drubin
Gunar Börner
Alois Römer-Becker
Bogdan Pohl
Prof. Bianka Reinhardt
Natalie Neureuther
Kriemhild Warmer
Maritta Boucsein
Alida Ehlert
Dr. Fatma Jacob MBA.
Bekir Bonbach
Univ.Prof. Evelyn Seifert B.A.
Larissa Löffler
Falko Kusch B.A.
Univ.Prof. Hans-Theo Kroker
Fatma Hesse
Herr Dimitri Mohaupt B.A.
Prof. Aziz Stumpf
Ottfried Peukert-Schulz
Augustin Ernst
Jutta Aumann
Frau Mirjana Baum B.Sc.
Domenico Kade B.A.
Dragica Rosenow
Ursel Conradi
Dipl.-Ing. Helmut Hauffer
Hans-Erich Mende
Luise Junk
Carolin Siering
Frithjof Mielcarek MBA.
Univ.Prof. Melita Langern
Aleksandra Stey MBA.
Frau Beatrix Bonbach B.A.
Albrecht Seifert B.Sc.
Thomas Hentschel
Denis Weimer
Cornelia Gehringer
Adelgunde Wagenknecht
Ing. Selim Tintzmann B.A.
Hans-Eberhard Blümel
Katherina Klapp
Hartmut Hiller B.A.
Dipl.-Ing. Canan Pölitz B.Eng.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Siegrun Ring
Gunhild Meister
Prof. Falko Trapp B.Eng.
Univ.Prof. Resi Kobelt
Peggy Rogge-Lachmann
Dusan Conradi-Rogner
Sofia Mielcarek B.A.
Monique Liebelt-Ebert
Prof. Sergei Heser
Beatrix Scheibe B.Sc.
Alwine Linke
Ingbert Hartung
Regina Wende
Curt Schönland
Dipl.-Ing. Louis Spieß B.A.
Francis Rohleder
Marlen Weihmann-Trub
Prof. Patrik Scheel
Univ.Prof. Nikola Graf MBA.
Peer Grein Groth-Lange
Daniela van der Dussen B.Eng.
Dr. Theodor Sager
Yasemin Hande
Lina Hörle
Eleni Krause B.A.
Josip Hiller-Hauffer
Juergen Bähr
Attila Losekann B.Sc.
Dr. Marie-Theres Möchlichen B.A.
Ilonka Döring-Schulz
Michaele Schacht
Gloria Schulz-Huhn
Elma Heser
Alfons Schleich B.A.
Fredo Kühnert-Köhler
Roselinde Metz MBA.
Lilli Harloff
Ing. Nadeschda Bohlander
Antonina Christoph MBA.
Hans-Herbert Walter
Prof. Lotti Löffler
Herr Christopher Speer
Univ.Prof. Leif Süßebier B.A.
Dipl.-Ing. Marieluise Löchel
Markus Eimer
Betti Adolph
Gaby Bähr
Jelena Jüttner
Tibor Bolzmann MBA.
Celal Scheel B.A.
Karl-Jürgen Ziegert
Kaspar Junken
Alfons Klingelhöfer
Arif Killer
Lars Walter
Trudi Kranz B.Eng.
Miroslav Paffrath
Raisa Stey-Sauer
Prof. Diether Neureuther
Eleni Mühle MBA.
Severin Barkholz B.Eng.
Toni Dehmel-Striebitz
Ing. Gislinde Ernst B.A.
Ing. Anton Gotthard MBA.
Simone Jacobi Jäckel B.A.
Carola Kusch
Hilda Stey B.Eng.
Helmtrud Gerlach
Jadwiga Gierschner-Schulz
Agnes Vollbrecht
Esther Eberth-Kensy
Fatma Sager
Univ.Prof. Franz-Josef Holt
Frau Zdenka Zimmer
Annelise Steckel B.Sc.
Irmtraud Freudenberger
Dipl.-Ing. Kriemhild Löchel
Prof. Danny Bähr B.Eng.
Pero Gutknecht
Dipl.-Ing. Laila Scheuermann B.Sc.
Klaus-Dieter Wende
Erwin Jopich
Enver Conradi-Hecker
Ellen Gutknecht
Conny Zirme B.Sc.
Lorenzo Hornig
Cosimo Bender
Annelie Heuser
Etta Hellwig
Prof. Gülay Birnbaum
Dr. Krista Jäkel B.A.
Angelique Speer B.A.
Georgia Liebelt
Dr. Ruben Wernecke
Sören Liebelt
Frau Nadeshda Ruppert
Univ.Prof. Gesa Loos
René Säuberlich B.Eng.
Dr. Ellen Schlosser B.A.
Franz Josef Nette-Werner
Charles Anders
Dipl.-Ing. Johanna Henck
Jan-Peter Scheuermann-Jungfer
Univ.Prof. Fredy Barth MBA.
Herr Imre Kohl
Dipl.-Ing. Theobald Knappe B.Eng.
Liliana Davids
Ing. Hanns Haase B.Eng.
Holger Roskoth B.Sc.
Dagmar Franke-Schleich
Sylvio Gutknecht
Conny Metz
Hanns Stiffel
Friedericke Lange
Prof. Ilse Schmiedecke
Friedlinde Mühle B.A.
Univ.Prof. Waldemar Döring
Jessica Stumpf
Elias Gierschner
Dr. Walburga Kobelt B.Eng.
Burghard Albers-Berger
Sigrun Mälzer
Ing. Amalia Walter
Alexandre Häring
Prof. Mario Butte
Elzbieta Beier
Annelene Möchlichen-Weiß
Ing. Elsa Liebelt
Dr. Jost Hiller B.Sc.
Jennifer Trapp
