Student
Ottokar Fliegner
Geraldine Reising MBA.
Giuseppina Linke
Ing. Alberto Schlosser
Tülay Hettner-Ebert
Dietlinde Binner
Irmengard Jüttner B.Eng.
Gertrud Ditschlerin
Walter Schleich-Segebahn
Tomas Gröttner
Martina Keudel
Prof. Annita Putz
Andreas Trapp
Univ.Prof. Till Vogt MBA.
Krystyna Rust-Baum
Songül Tschentscher
Hans-Helmut Binner B.Sc.
Detlef Köster
Arzu Stiffel-Drubin
Monica Blümel
Erkan Trub
Andre Mülichen-Scholz
Marlen Flantz
Annegrete Pohl-Sölzer
Heinz-Werner Briemer B.A.
Herr Tom Täsche
Marianna Geisler
Dieter Trupp
Alena Holzapfel
Leonhard Patberg
Gitta Hübel
Ing. Imke Eigenwillig B.A.
Carina Hövel
Ing. Nikolai Niemeier B.A.
Univ.Prof. Romuald Hermighausen
Oxana Ladeck
Univ.Prof. Valeria Putz
Zbigniew Boucsein
Bozena Meyer
Frau Elfi Winkler MBA.
Ing. Heide Winkler
Linus Schuchhardt
Silva Plath
Univ.Prof. Karl-Otto Dowerg MBA.
Egbert Gertz
Ing. Margareta Hethur B.A.
Wiltrud Ladeck MBA.
Ilka Zimmer-Wesack
Prof. Karl-Ernst Möchlichen
Hans Georg Niemeier
Emma Briemer
Herr Jonathan Hänel MBA.
Annekatrin Schleich
Aziz Hornich
Dr. Irmgard Plath B.A.
Martine Trupp
Zdenka Weiß
Ilja Wende
Kathi Wesack
Gertrude Kostolzin MBA.
Wendelin Zorbach MBA.
Dipl.-Ing. Maik Mende B.Sc.
Regine Wende B.A.
Franka Mitschke B.Sc.
Norbert Niemeier
Dierk Gunpf B.A.
Heinz-Otto Linke
Dipl.-Ing. Christel Beer B.Eng.
Abraham Carsten
Leonardo Lehmann
Univ.Prof. Gerhardt Dowerg B.Eng.
Dursun Atzler B.A.
Ing. Pavel Weller B.Eng.
Hans-Willi Benthin
Willy Trub-Freudenberger
Chantal Kramer
Prof. Nikolaos Steinberg B.Sc.
Dipl.-Ing. Lilly Boucsein B.Sc.
Erol Lindner
Mehdi Kohl B.A.
Igor Zobel B.A.
Herr Julian Gotthard B.Eng.
Desiree Köster
Annaliese Klingelhöfer
Engelbert Margraf-Trommler
Norman Ditschlerin MBA.
Frau Kirsten Boucsein
Susanna Beyer B.Eng.
Birgitta Beckmann-Thanel
Ing. Isolde Rosenow
Alois Römer-Becker
Frau Zdenka Zimmer
Victoria Werner MBA.
Dipl.-Ing. Jens-Uwe Dobes
Aenne Mende B.Eng.
Edda Gertz B.Eng.
Karl Heinz Kruschwitz-Reising
Eric Briemer
Lisette Schönland B.Eng.
Willibald Ziegert-Siering
Heinz-Wilhelm Säuberlich MBA.
Ole Ritter MBA.
Prof. Loretta Speer MBA.
Aleksander Wagner-Barth
Zlatko Briemer-Karge
Hellmut Bruder
Meral Bolnbach
Wulf Kusch
Louise Jessel
Dogan Häring MBA.
Domenico Reichmann
Edmund Gnatz-Rogner
Baptist Radisch MBA.
Rosa Hübel
Univ.Prof. Michail Tintzmann B.Eng.
Erol Jäntsch
Kristian Rosemann B.Sc.
Ing. Heinz-Josef Hoffmann
Dina Johann
Kriemhild Warmer
Dipl.-Ing. Ildiko Löffler B.A.
Jörgen Lorch
Jo Gnatz
Victor Butte
Janin Hermann
Doreen Striebitz
Udo Grein Groth
Edelgard Finke B.Eng.
Ing. Ramazan Kallert MBA.
Damian Hentschel
Frau Lilli Möchlichen MBA.
Anatoli Anders
Hagen Weimer
Francoise Rust
Irmtraud Freudenberger
Horst-Peter Löchel
Miroslaw auch Schlauchin
Marlen Weihmann-Trub
Peer Grein Groth-Lange
Daniela Siering
Virginia Eigenwillig
Tatjana Käster-Schüler
Enrico Hellwig
Dörte Warmer
Waltraud Hentschel
Diedrich Lachmann-Oestrovsky
Burkhard Schweitzer
Univ.Prof. Ingelore Schulz MBA.
Dr. Hans-Willi Hertrampf MBA.
Dina Koch
Gotthard Löwer
Wolf-Dietrich Gotthard-Dussen van
Kazim Junken
Rudolf Weihmann
Patrick Döring
Stjepan Wesack-Winkler
Uli Renner
Joachim Höfig
Milos Seifert
Ljiljana Löwer B.A.
Hans-Henning Heydrich MBA.
Prof. Helga Hesse
Dipl.-Ing. Franz Reising
Baptist Vogt
Günter Fischer
Janet Kade
Gundula Otto-Kuhl
Bernadette Sorgatz
Alwine Wulf
Matthäus Hübel
Marie-Louise Hauffer
Frau Almuth Kostolzin B.A.
Heidelore Stolze
Gerhart Karz
Bozena Schuchhardt
Rahel Stey
Heiderose Lange-Schüler
Univ.Prof. Karen Etzold B.A.
Rosalia Pruschke
Roswita Gumprich-Butte
Kornelius Pergande-Weiß
Gertrude Ullmann
Mechtild Patberg
Univ.Prof. Manuela Heinrich
Willfried Werner
Matthias Dowerg
Ines Anders
Dr. Songül Tlustek MBA.
Carl-Heinz Trapp
Brunhilde Mälzer-Warmer
Josefine Rosenow-Hertrampf
Heinz-Willi Geisel
Melita Schacht
Ronald Werner
Giesela Wagner
Cord Mende B.Eng.
Klaus-Michael Hahn
Alwin Löffler B.A.
Dr. Michel Pruschke B.Eng.
Fernando Tschentscher-Schacht
Hanns Bender
Dr. Czeslaw Neureuther
Dipl.-Ing. Marieluise Löchel
Ilija Eckbauer-Steinberg
Ortrun Siering
Andree Budig B.Eng.
Lena Holzapfel
Pero Gnatz
Silvester Etzold
Herr Aleksandr Wiek B.Sc.
Guido Pieper
Marianne Heser
Hans-Detlef Bender
Dipl.-Ing. Melanie Kreusel B.A.
Karl-Otto Winkler B.Eng.
Dorina Weinhold
Nevenka Fritsch
Ing. Damaris Bonbach
Mirjam Stumpf
Dr. Agathe Jähn B.A.
Herr Andrej Rose
Frau Alwina Bohnbach B.Eng.
Adolfine Dippel
Ottfried Scheibe-Sauer
Rupert Kallert
Leokadia Putz
Dr. Diedrich Atzler
Univ.Prof. Sahin Freudenberger B.A.
Ditmar Bien
Olga Albers B.Sc.
Roselinde Ebert
Romuald Kambs MBA.
Ditmar Adolph
Wilfried Steinberg
Mattias Sorgatz-Haase
Toni Scholl-Scholl
Dr. Diedrich Gerlach B.A.
Dr. Annett Siering
Dr. Edelbert Wieloch MBA.
Maja Jungfer
Sina Patberg
Kay-Uwe Trapp
Univ.Prof. Oscar Lindau MBA.
Angelina Noack-Wagenknecht
Zeljko Meyer
Theres Beer
Ing. Karl-Georg Dobes
Andrew Schlosser
Lutz Pärtzelt
Tomislav Steckel
Emmerich Wilmsen
Dipl.-Ing. Cläre Geißler
Hans-Willi Baum-Staude
Dittmar Berger
Frau Trudel Hövel
Ing. Hanny Noack MBA.
Herr Gustav Noack
Siegrid Hande
Gerhild Beyer
Heiderose Bärer
Frithjof Gertz
Senta Warmer
Prof. Marija Seidel
Ralf-Dieter Kroker
Univ.Prof. Therese Hänel
Prof. Niko Atzler B.Sc.
Achim Etzold MBA.
Lukas Juncken MBA.
Wolf-Rüdiger Börner
Elfi Bolander
Guenter Lachmann
Vincenzo Jopich
Stjepan Langern
Prof. Arif Mielcarek B.Eng.
Prof. Gunter Mentzel
Dr. Lilly Conradi B.Sc.
Juliana Weinhage
Zenon Pärtzelt
Tülay Trapp
Anatol Gude MBA.
Nancy Karz-Bolzmann
Andrei Bolander-Jäkel
Brita Klemm
Burkhardt Jäntsch B.A.
Ron Sorgatz-Eimer
Dipl.-Ing. Harm van der Dussen
Prof. John Jessel
Eckhard Sölzer
Hildegunde Stiebitz-Mude
Ann-Kathrin Mühle
Ing. Boris Junck MBA.
Stanislaus Davids MBA.
Frau Eleni Ziegert B.Sc.
Marek Mitschke B.Sc.
Olav Margraf
Valerie Mangold
Berthold Haase-Trub
Hans-Erich Warmer B.A.
Gusti Schleich
Dimitrios Fiebig
Anthony Heintze
Tülay Henschel
Dr. Leonie Köster
Univ.Prof. Irene Budig
Inken Gute B.Eng.
Liesel Ziegert
Kirsten Heydrich
Emma Hornich-Kraushaar
Karl-Ludwig Hoffmann
Dusan Ruppersberger B.Sc.
Gerhart Staude
Elena Fiebig
Ing. Wencke Speer
Dr. Carsten Steinberg
Sergei Ritter
Burkhardt Holt
Prof. Wolfram Binner B.Eng.
Gülten Ruppersberger-Wende
Helga Mosemann-Hecker
Dipl.-Ing. Angelina Mälzer B.Eng.
Jörg Pechel
Marian Vollbrecht MBA.
Univ.Prof. Dorina Lange
Susann Henk
Imke Austermühle-Löwer
Annelies Heidrich
Karlfried Sorgatz
Klaus-Peter Häring
Oxana Linke B.Eng.
Rosa-Maria Seifert
Univ.Prof. Ilka Jäntsch B.A.
Karl-Hans Weinhold-Noack
Gert Juncken
Marie-Louise Killer-Etzler
Anto Niemeier
Vitali Walter-Krein
Vassilios Kramer
Mareike Scholl
Frau Ingried Rogner B.Sc.
Pierre Ortmann
Mercedes Kobelt MBA.
Dr. Jurij Nohlmans B.A.
Dipl.-Ing. Gertraut Stolze
Theo Döring
Prof. Cora Bolander
Univ.Prof. Kata Zahn
Harry Lange
Friedl Briemer-Austermühle
Prof. Natalja Käster MBA.
Frau Mira Klemm
Anton Stey
Ramona Römer
Jurij Eimer
Annika Lindner
Diethard Gude
Augustin Ernst
Prof. Marika Junken B.Eng.
Elena Linke-Wohlgemut
Ing. Romuald Kreusel B.A.
Evi Heuser
Martin Rose B.A.
Ing. Dagmar Bohnbach B.Eng.
Ilonka Buchholz-Köhler
Frau Emilia Pruschke B.A.
Ing. Meik Eberhardt B.A.
Prof. Janin Dietz
Ing. Anneli Nerger
Friedrich-Karl Weimer
Regina Wende
Univ.Prof. Gisa Meister
Ing. Thekla Beyer B.Sc.
Volker Adler
Fernando Dobes
Margarete Kabus
Jann Fröhlich
Caterina Weinhage
Sylke Ehlert
Univ.Prof. Beate Gude
Hanne-Lore Berger
Ing. Lucie Karz
Dr. Peggy Beyer B.Sc.
Hildegunde Dörr
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Prof. Karen Henk MBA.
Edwin Wilms MBA.
Ing. Willi Warmer B.Eng.
Michail Schmidt
Gotthilf Bohnbach-Seip
Frau Kordula Geisler MBA.
Hans-Albert Wirth
Ira Scholz-Pohl
Herr Yusuf Kabus B.A.
Ing. Jürgen Jopich B.A.
Olga Stahr
Ingried Hauffer-Lübs
Yvonne Kroker
Kerstin Niemeier
Berthold Jäntsch-Jessel
Prof. Salvatore Römer
Prof. Hans-Gerhard Reinhardt B.Eng.
Mariele Bolander
Miroslawa Jäkel-Bohnbach
Silvester Scheibe
Gabi Löwer MBA.
Dietrich Kruschwitz
Cosimo Bender
Karl-Heinrich Kraus B.A.
Hannes Jäntsch
Rouven Bloch B.A.
Olga Krein
Prof. Vadim Rogner
Kemal Butte-Tintzmann
Dörthe Hiller
Damaris Bien
Cordula Schmiedecke-Wilms
Hiltrud Klemm
Alexa Dietz
Klaus-D. Segebahn
Ing. Zofia Ernst
Silke Biggen MBA.
Laurenz Siering-Kallert
Norma Jungfer
Nick Jockel B.A.
Irmtraud Schönland
Frida Süßebier
Irmi Gute
Peer Bärer
Ing. Alla Schottin B.A.
Prof. Uschi Fliegner B.A.
Hanno Trub
Kunigunda Reising
Anastasia Gunpf
Lene Sauer
Ing. Alf Lachmann
Herr Jörgen Kruschwitz
Prof. Emine Wulf B.Eng.
Prof. Maria-Luise Drub B.Sc.
Hassan Sager
Orhan Hecker-Heuser
Liliane Steuer
Hans-Erich Preiß
Adelheid Schinke
Hildegard Roht B.Sc.
Prof. Romy Bohnbach
Theda Stumpf B.Eng.
Univ.Prof. Traudl Mentzel B.Eng.
Kriemhild Junk MBA.
Gislinde Klapp B.Sc.
Jorge Weitzel
Valentin Döring
Emilia Scheel
Marie Sorgatz MBA.
Melanie Scheel B.A.
Monica Drub-Davids
Waltraut Gehringer
Heinz-Günter Schuster
Riza Römer
Dr. Theresia Mende
Fritz Nerger
Ing. Ortrun Weimer
Univ.Prof. Dragan Thies MBA.
Gino Hartung
Friedrich Bolnbach-Gnatz
Mike Hofmann
Heinz-Peter Butte B.Eng.
Ilhan Hoffmann-Karz
Prof. Maria-Theresia Schaaf B.A.
Prof. Robert Heintze
Lilija Ruppert
Korinna Spieß MBA.
Nicole Hoffmann
Frau Mareile Birnbaum
Hans-Martin Drewes
Dr. Elif Peukert B.Eng.
Swetlana Binner
Prof. Niko Hethur B.Eng.
Dr. Hildegund Söding B.A.
Kathrin Beckmann-Heinz
Hanns Ehlert MBA.
Svetlana Boucsein
Oda Barkholz
Bernt Huhn
Josip Hiller-Hauffer
Univ.Prof. Aloisia Fröhlich B.A.
Hans-Joachim Häring
Andreas Metz
Prof. Sylvio Gumprich
Gabi Harloff
Anatoli Caspar
Arno Lindner
Wencke Bohlander
Dipl.-Ing. Sebastiano Käster B.Eng.
Horst-Günter Renner
Dipl.-Ing. Petar Lübs
Ludmila Löffler
Anny Wähner
Aldo Förster
Edda Stahr
Danny Mälzer
Evi Oestrovsky
Steven Eimer
Heidrun Lindner-Bolnbach
Nancy Hartmann-Schottin
Ute Conradi-Trüb
Dr. Anatoli Bonbach
Hansgeorg Hettner
Ing. Leonore Haering MBA.
Hans-Willi Kruschwitz B.Sc.
Cindy Tschentscher
Karlfried Ruppersberger
Sören Trommler
Hella Pergande MBA.
Wolfhard Vogt
Emma Trub-Scheuermann
Nikola Kitzmann
Katalin Thanel-Kitzmann
Bekir Cichorius-Döring
Dr. Trude Girschner
Ramona Sontag
Renato Bolnbach
Evangelia Meyer-Mielcarek
Dorle Rädel
Margaret Kramer B.A.
Felix Freudenberger
Reni auch Schlauchin
Heino Schönland-Hermann
Cornelius Jacobi Jäckel
Dipl.-Ing. Gunar Kuhl
Frau Jane Sauer
Bettina Lachmann
Victor Häring
Frau Mirjana Baum B.Sc.
Antonius Stoll-Krebs
Patrick Pärtzelt-Henck
Ralph Rogge
Vinko Kraus-Schmiedt
Patrik Ditschlerin
Uli Wohlgemut-Stadelmann
Miguel Lehmann
Ludmila Patberg
Lucia Hermighausen
Sükrü Walter B.Eng.
Martin Pechel-Freudenberger
Timo Huhn
Prof. Rabea Hettner B.Eng.
Adalbert Boucsein
Anka Jäkel-Ackermann
Mirko Eckbauer
Sibilla Eimer
Desiree Klotz
David Warmer
Ronny Scholtz
Falko Kusch B.A.
Burghard Albers-Berger
Celal Mühle
Nico Hartung-Linke
Gerhild Löffler
Dr. Diedrich Krebs B.A.
Dipl.-Ing. Kevin Stadelmann
Gretel Stroh
Ing. Henning Drub
Folkert Schwital
Harriet Ullmann
Dipl.-Ing. Nathalie Bender
Magdalene Mude
Frau Beatrix Bonbach B.A.
Stephanie Krause
Abram Vogt MBA.
Elisabeth Roskoth
Vinko Schönland B.Eng.
Viviane Fritsch-Martin
Cornelia Schinke
Anneke Nohlmans
Elise Heinz
Samir Wähner-Butte
Armin Hellwig-Finke
Konrad Henschel
Adrian Fiebig-Dörschner
Klaus-Dieter Hecker
Aysel van der Dussen-Jäntsch
Bernadette Löffler
Fatima Rosemann-Schmidtke
Urszula Spieß
Dipl.-Ing. Johanna Henck
Lutz Wagenknecht-Gotthard
Edmund Junck
Dipl.-Ing. Laurenz Gerlach MBA.
Rosl Trupp
Lilija Döring
Dipl.-Ing. Hans-Peter Hertrampf
Yasemin Hande
Prof. Marian Gerlach
Gert Hölzenbecher B.Sc.
Dr. Lilija Butte B.A.
Frau Stefani Hendriks B.A.
Frau Carola Scheibe MBA.
Sibilla Bachmann
Elwira Wirth
Jaroslaw Pieper MBA.
Clarissa Adler
Engin Hofmann
Timm Schleich
Danuta Lachmann-Dussen van
Sina Wulff-Dussen van
Abdul Klapp-Hethur
Edmund Scholtz B.Sc.
Margit Müller
Birgitta Schleich
Hartmuth Eberhardt
Gesine Graf
Dipl.-Ing. Jörgen Rose B.Eng.
Marzena Hein
Herlinde Birnbaum
Berthold Austermühle MBA.
Marica Hamann-Koch
Gunda Warmer
Tina Radisch
Marga Vogt
Mathias Matthäi
Reni Rosemann MBA.
Frau Valentine Benthin
Dipl.-Ing. Eckhard Kallert B.Sc.
Hans-Jochen Mude
Heinrich Bohlander-Ullrich
Zeljko Kobelt B.Eng.
Daniele Hering
Kasimir Albers-Stiebitz
Stephanie Kranz B.A.
Jens Drubin
Francesco Drub
Pius Gierschner-Weitzel
Univ.Prof. Nicole Höfig B.Sc.
Hellmut Hein-Gnatz
Ing. Ronny Metz B.A.
Heimo Ziegert
Dana Jäntsch
Dajana Ruppert
Johannes Freudenberger
Cora Scholtz
Arndt Bachmann B.Eng.
Hans-Martin Kohl
Francisco Wirth
Senta Hiller
Univ.Prof. Zofia Rust
Aribert Schulz B.Eng.
Tina Henschel
Rotraud Fiebig
Brian van der Dussen
Prof. Anica Haering B.A.
André Sauer
Dipl.-Ing. Gisela Schuster B.A.
Dr. Gert Trapp MBA.
Regina Hamann B.Sc.
Piotr auch Schlauchin-Reuter
Jacob Bähr
Prof. Gertraude Wohlgemut B.Eng.
Herr Laurenz Häring
Meike Trupp
Paulina Oderwald
Henry Schüler B.Eng.
Lukas Zirme
Adeline Hein-Metz
Ing. Roy Dippel B.A.
Ewa Kade
Sofia Heinrich
Dr. Krista Jäkel B.A.
Dajana Ring
Gusti Vollbrecht
Alwin Scholl
Ariane Roskoth
Annaliese Heser B.Sc.
Herr Hartwig Henk B.A.
Sofie Schmiedecke
Edeltrud Koch
Hans-Detlef Schäfer
Dipl.-Ing. Gloria Heidrich
Felix Wilms
Univ.Prof. Jürgen Weiß
Univ.Prof. Ignatz Baum
Hugo Ruppert-Kade
Wieslaw Lachmann
Mark Lindau
Dipl.-Ing. Alan Schacht B.Eng.
Regina Barkholz
Heike Karge
Marie-Theres Jäkel
Jurij Zahn B.Sc.
Anna-Lena Bloch
Jaroslaw Seip
Wilhelm Walter
Univ.Prof. Gustav Sölzer
Franz-Xaver Carsten
Prof. Knud Salz
Senta Ruppersberger
Prof. Juan Hamann
Clemens Thanel
Helge Schuchhardt
Jann Schenk
Ing. Hannes Jähn B.Sc.
Arnim Bärer
Herr Louis Hövel
Sigurd Höfig B.Sc.
Prof. Falko Trapp B.Eng.
Friedrich Austermühle-Döring
Carin Atzler
Rosa-Maria Losekann-Schulz
Prof. Alina Ziegert
Ernst-Dieter Rörricht B.Eng.
Mattias Wieloch
Karl-August Liebelt-Köhler
Fernando Neuschäfer
Frau Hilda Schweitzer B.Eng.
Heinz-Wilhelm Kuhl
Babett Adler
Kordula Dobes-Buchholz
Torsten Pergande
Jens-Peter Graf-Schmidt
Elzbieta Putz B.Eng.
Herr Gotthard Wilms
Diana Jessel-Geißler
Siegbert Hartmann B.A.
Christopher Sager
Prof. Gertrude Renner B.A.
Dipl.-Ing. Cora Baum
Irina Gröttner
Sigurd Süßebier
Magdalene Hering MBA.
Dipl.-Ing. Burckhard Jäntsch
Dr. Jasmina Ruppert
Anselm Dowerg
Felicia Hamann
Heinz-Willi Jockel
Margit Klapp
Toralf Pieper
Ben Ullmann MBA.
Univ.Prof. Edmund Mentzel B.Eng.
Dipl.-Ing. Tamara Seifert B.A.
Frau Mia Kaul MBA.
Gudrun Heß B.Sc.
Ehrhard Bohnbach B.Eng.
Frieda Gröttner
Brian Ditschlerin
Notburga Pechel B.Eng.
Univ.Prof. Anika Pärtzelt MBA.
Ulrike Gierschner-Koch II
Frau Patricia Gorlitz B.A.
Prof. Luzie Killer B.Sc.
Herr Augustin Karge B.Eng.
Ilonka Noack
Blanka Ladeck
Camilla Jäntsch
Jerzy Wagenknecht B.A.
Prof. Martin Ullmann
Ilias Seip
Dipl.-Ing. Jost Bruder B.Eng.
Arif Heinrich
Anne-Rose Klemm
Julie Mosemann
Massimo Dörschner
Paolo Weller-Heinrich
Philip Renner
Herr Sylvester Jopich B.Eng.
Richard Drub
Kristina Röhricht
Benita Juncken
Selma Fritsch B.Eng.
Woldemar Heinz
Nicolas Tschentscher
Hans Josef Thanel
Melita Hein
Felix Hölzenbecher B.A.
Aloys Trupp
Aline Steinberg-Klingelhöfer
Prof. Ruth Gehringer
Viola Oderwald B.A.
Hans-Gerhard Döhn
Alena Hänel
Alwine Bien
Mona Thies
Yusuf Seifert
Leopoldine Butte
Univ.Prof. Otto Kruschwitz MBA.
Philip Heß MBA.
Maritta Bien
Frau Wendelin Heinrich B.Eng.
Univ.Prof. Leif Süßebier B.A.
Jens-Peter Bolzmann
Tilman Eberhardt
Cord Benthin
Philippe Wähner
Frau Raissa Radisch B.Eng.
Julia Ruppersberger
Rose Henschel
Rebecca Börner
Amalia Schmidtke-Radisch
Ing. Friedhold Hartung B.Sc.
Ing. Tanja Scheibe B.Eng.
Annamaria Baum MBA.
Hans-Adolf Mosemann B.A.
Ekrem Hornich
Henner Schweitzer
Miroslawa Gude B.Sc.
Dr. Annelene Geisel B.Sc.
Carl Schomber-Mälzer
Cäcilie Haase
Augustin Jopich
Justine Dippel-Rosemann
Dipl.-Ing. Mariola Lange B.Sc.
Eleonora Gehringer
Lukas Ditschlerin
Rosa-Maria Steckel
Ahmad Jacobi Jäckel
Helma Häring
Osman Salz MBA.
Ing. Siglinde Bolzmann
Andrea Ziegert
Herr Bastian Ritter B.Sc.
Ekrem Spieß
Bertram Eigenwillig
Kristian Meyer
Gunhild Nohlmans
Othmar Weinhage MBA.
Wolfhard Fiebig
Ing. Gotthard Reuter B.A.
Anka Boucsein
Horst Hauffer B.Eng.
James Kostolzin-Haase
Univ.Prof. Ayten Lorch
Ignatz Wähner-Hänel
Ing. Rocco Reuter
Birgid Freudenberger
Karoline Carsten
Margareta Lübs-Vollbrecht
Raymond Löchel-Ziegert
Hellmut Lindner
Chantal Kade
Swantje Heinz
Krista Scholtz
Anastasios Heinz
Prof. Karen Benthin B.Eng.
Björn Rädel-Rohleder
Bernard Karge
Lena Mitschke
Carmine Schacht
Hans-Gerd Gnatz
Jerzy Mende-Wagenknecht
Stanislav Reuter
Antonios Klemm B.Sc.
Mehdi Neureuther
Vladimir Kruschwitz
Dipl.-Ing. Erwin Hamann
Apollonia Heß B.A.
Kay-Uwe Pölitz
Prof. Gaby Ernst MBA.
Lucia Kohl
Hermann Josef Börner
Enver Dehmel
Roderich Weitzel
Ing. Jeanette Rosemann B.Eng.
Deborah Becker
Dr. Amir Jäkel
Frau Julia Fliegner
Ioannis Junck
Marjan Segebahn B.Eng.
Uwe Dussen van
Herr Gerhardt Benthin
Ing. Zbigniew Warmer MBA.
Gundi Tlustek
Stephanie Beer
Natalie Carsten B.A.
Niko Pergande
Elfie Kreusel
Danilo Losekann
Gerda Kitzmann
Abram Eckbauer B.A.
Damian auch Schlauchin B.Eng.
Steven Seifert
Frau Evelyne Süßebier B.Eng.
Kenneth Kramer
Domenico Gertz
Vadim Rose-Wulf
Kai-Uwe Sorgatz
Maurice Möchlichen
Sylvie Börner
Rene Wernecke
Dipl.-Ing. Ilse Heß B.Sc.
Prof. Helmut Hellwig MBA.
Margaret Kraus
Irmela Krein-Bolzmann
Stjepan Schmidtke
Nikolas Siering
Silva Hiller MBA.
Birger Klapp
Prof. Götz Finke
Annelore Bolander
Ing. Peter Trubin B.Sc.
Harro Gunpf
Ing. Gislinde Ernst B.A.
Prof. Almuth Dippel
Magdalena Gude
Hans-Jörg Trupp-Säuberlich
Traudel Wilmsen B.A.
Rosalinde Trommler
Luzia Kranz
Babett Süßebier B.A.
Theodor Striebitz
Zofia Gumprich
