Student
Jan-Peter Grein Groth
Janko Neureuther
Univ.Prof. Anika Jockel MBA.
Univ.Prof. Milan Hande
Univ.Prof. Katharina Werner MBA.
Univ.Prof. Gottlob Tröst B.Eng.
Adrian Killer
Steffen Schlosser
Lisbeth Hentschel
Marten Möchlichen
Irmtraut Ortmann MBA.
Herr Andy Förster B.A.
Wolf-Rüdiger Börner
Cetin Schwital
Prof. Dietlind Ullrich B.Sc.
Philomena Bloch
Prof. Arnold Caspar B.A.
Claire Holt
Emin van der Dussen
Sibel Hörle
Prof. Luzie Killer B.Sc.
Frau Käthi Hamann B.Eng.
Berndt Barkholz
Rouven Bloch B.A.
Kristin Bohlander B.Eng.
Cord Tröst
Univ.Prof. Aloisia Fröhlich B.A.
Prof. Marion Martin
Ruthild Schüler B.Eng.
Fernando Reising
Mike Hofmann
Edith Hettner
Annelore Täsche
Kathi Häring
Hans-Helmut Eimer MBA.
Willibald Ziegert-Siering
Bayram Kostolzin-Rosenow
Friedrich-Karl Weimer
Heinz-Otto Wende
Diedrich Jäntsch B.A.
Trude Ruppersberger
Ruth Barkholz-Koch II
Siegbert Hartmann B.A.
Agatha Kostolzin
Sigurd Lange-Seifert
Prof. Emine Wulf B.Eng.
Dr. Jonas Fechner
Frau Evelin Löffler
Bertold Stadelmann
Silvia Eberth
Silva Plath
Dr. Gero Röhricht B.Eng.
Veit Beckmann
Konstantin Rogner
Dipl.-Ing. Milos Klemt
Heinz-Günter Boucsein
Elli Kohl
Anna-Lena Sontag-Köhler
Gina Killer
Heimo Bauer
Abram Scholz B.Sc.
Ing. Helmuth Bruder
Mercedes Rädel-Drub
Anneke Jähn
Dr. Samuel Tröst
Dr. Sonia Hornich B.Eng.
Prof. Clarissa Barth
Gisa Hendriks
Olaf Juncken
Susanna Jäntsch
Ing. Rosina Kabus MBA.
Frau Jane Caspar
Herr Torsten Hermighausen B.Sc.
Univ.Prof. Siegrun Klingelhöfer MBA.
Malgorzata Pieper
Elisabet Preiß-Thanel
Gertrude Bärer
Eva Mosemann
Max Fiebig
Anneli Wernecke
Univ.Prof. Metin Martin B.Sc.
Karen Hendriks
Wolf Stadelmann
Annemie Kade-Kuhl
Dr. Melitta Mans B.Eng.
Dipl.-Ing. Roland Bien B.Sc.
Eugenia Sorgatz
Reinhild Patberg
René Säuberlich B.Eng.
Alfred Tröst-Stahr
Ing. Rose-Marie Hölzenbecher
Joseph Gorlitz-Bloch
Prof. Liliane Gehringer MBA.
Lena Ernst-Schenk
Herr Mike Schuchhardt B.A.
Elena Linke-Wohlgemut
Elmar Fröhlich
Alessandro Krause
Anne-Rose Klapp-Jockel
Maurice Beckmann
Katalin Thanel-Kitzmann
Jann Cichorius
Kaspar Aumann
Myriam Aumann
Magnus Heidrich
Kai-Uwe Mitschke
Recep Weihmann
Prof. Georgia Zirme MBA.
Prof. Natalia Junck B.Sc.
Roman Jäntsch
Anne-Katrin Butte MBA.
Vassilios Trommler-Gieß
Herr Anton Mohaupt B.A.
Theda Stumpf B.Eng.
Univ.Prof. Evelyn Seifert B.A.
Mirjana Schlosser B.Eng.
Prof. Danny Bähr B.Eng.
Frau Elsa Mälzer
Sofia Hethur
Lidija Trapp
Roswita Henck
Elisa Steinberg
Pamela Mies B.Eng.
Pero Scheuermann
Zdravko Müller-Fritsch
Hulda Neuschäfer B.A.
Magarete Klingelhöfer-Mans
Jadwiga Karge
Zita Klemt
Herr Thomas Baum
Silvia Weiß
Hans-Dietrich Fliegner
Kerstin Niemeier
Theodoros Grein Groth
Walfried Wohlgemut B.Eng.
Walli Jopich
Gero Gumprich B.Sc.
Regine Meyer
Adam Hölzenbecher-Hettner
Dr. Philip Siering B.A.
Elvira Scholtz
Daniela Weimer
Brit Anders
Marta Herrmann
Aleksandra Stey MBA.
Abdul Klapp-Hethur
Fatima Heser B.Eng.
Georgia Bärer
Birgitta Beckmann-Thanel
Prof. Lutz Adolph
Ilonka Noack
Rosemarie Schmiedecke
Marvin Kade-Ladeck
Ing. Gabriella Bähr
Benno Hofmann
Virginia Kaul
Frau Bruni Krein B.A.
Univ.Prof. Erna Köhler B.A.
Dipl.-Ing. Babette Bauer B.Sc.
Univ.Prof. Hedwig Krein
Klaus-D. Zirme-Bachmann
Mariusz Stadelmann-Jähn
Henri Finke-Lehmann
Konrad Schuster
Heinrich Ackermann
Univ.Prof. Marjan Graf B.Sc.
Siegfried Knappe
Sevim Schmiedt-Döhn
Cilli Lindau B.A.
Ing. Rocco Reuter
Joachim Löffler-Riehl
Klaus-Dieter Wende
Kristin Niemeier
Univ.Prof. Nurten Neuschäfer MBA.
Piotr Speer-Seifert
Valentin Döring
Cora Stumpf-Gunpf
Necati Lindner
Marie-Theres Trupp
Leopoldine Butte
Marek Hesse B.Eng.
Ulla Süßebier
Dorle Dörschner
Hans-Detlef Schäfer
Prof. Tina Nohlmans MBA.
Sieghard Stoll-Harloff
Dipl.-Ing. Gunnar Rohleder B.Sc.
Frau Linda Weiß B.Eng.
Ing. Carin Zorbach MBA.
Alma Flantz MBA.
Dipl.-Ing. Laila Scheuermann B.Sc.
Prof. Gaetano Weiß
Janos Ehlert
Hans-Adolf Junken
Cosimo Zimmer
Frau Helena Nette
Genoveva Hofmann
Dr. Baldur Johann B.Eng.
Kemal Butte-Tintzmann
Univ.Prof. Meta Rädel
Aldo Kusch-Klemm
Waltrud Stroh
Georgia Trub
Ing. Annelise Nette B.Eng.
Stephen Tintzmann
Frau Bianka Henk B.Sc.
Kathy Kitzmann
Mariola Heinrich
Univ.Prof. Blanka Linke B.Eng.
Ron Beer
Leonore Jäkel
Hans-Rainer Rogner
Dipl.-Ing. Rabea Sorgatz MBA.
Bianca Mans
Zita Wieloch-Scholtz
Jeannette Schleich
Irmtrud Johann
Mira Rohleder
Univ.Prof. Gesa Loos
Annett Ullrich
Alfredo Möchlichen
Karl-Wilhelm Weiß
Berthold Naser
Margita Schleich-Becker
Freia Lübs
Dr. Gerda Butte MBA.
Alwine Linke
Roselinde Kusch-Röhrdanz
Elfie Jäkel
Dipl.-Ing. Detlef Trommler
Claus Jähn B.Eng.
Dipl.-Ing. Liliana Hartmann
Franziska Wernecke
Urban Klemt
Dr. Kristine Tschentscher
Hanno Löffler
Hildegart Scheel B.A.
Adolfine Dippel
Ladislaus Stadelmann
Urszula Killer B.A.
Dipl.-Ing. Sergio Hövel B.Eng.
Apollonia Heß B.A.
Samir Krein B.A.
Hansjürgen Eberth
Ing. Nicolai Textor B.A.
Frau Hildegart Etzler B.A.
Heide-Marie Beckmann B.Sc.
Ilka Lachmann
Sinaida Ruppersberger
Luzia Eckbauer
Gero Gierschner
Herr Hans-Ludwig Steinberg
Kata Atzler
Egbert Jüttner
Kriemhild Warmer
Hilma Berger
Ellen Vogt
Frau Jane Sauer
Jörn Trupp MBA.
Silva Hiller MBA.
Willfried Werner
Urszula Spieß
Veronique Löwer
Darius Trupp
Hans-J. Wohlgemut
Wulf Caspar
Wolfhard Fiebig
Gislinde Klapp B.Sc.
Piotr auch Schlauchin-Reuter
Vinko Schmiedecke-Hendriks
Moritz Schönland
Burghard Hamann-Dippel
Dr. Heinz-Georg Aumann MBA.
Sami Mans-Ullrich
Marian Vollbrecht MBA.
Univ.Prof. Therese Hänel
Elvira Mälzer
Paolo Wernecke
Wibke Cichorius
Gretchen Pohl
Albina Stadelmann
Marcel Hermighausen
Kläre Beier B.A.
Dorina Rust
Marcella Höfig
Tillmann Matthäi B.Eng.
Melitta Steinberg
Hansjörg Roht
Ing. Pawel Rörricht
Heinz-Walter Roskoth-Hertrampf
Eckard Textor
Ingelore Heinz
Nikolas Hethur MBA.
Dr. Jochen Schäfer
Rena Rohleder
Erica Holsten
Dipl.-Ing. Berit Weinhage
Julia Hecker-Krebs
Prof. Irma Bien B.Eng.
Frau Minna Steinberg B.Sc.
Guido Pieper
Nermin Jopich
Melita Hein
Tadeusz Hentschel
Dr. Evangelia Killer B.Sc.
Christiane Blümel
Helfried Seifert-Schönland
Calogero Heintze
Ing. Augustin Budig B.Eng.
Franz Josef Herrmann
Gottfried Martin-Martin
Helen Dehmel
Hartmut Biggen-Trapp
Dr. Gabriela Geißler
Rolf-Peter Staude
Herta Keudel
Stefano Wagenknecht
Univ.Prof. Valeria Putz
Luis Ackermann
Albin Budig
Alexej Röhrdanz
Ulla Hamann
Justina Zirme
Hedda Mielcarek
Prof. Constance Austermühle B.Sc.
Dorothea Finke
Hans Peter Beckmann
Notburga Pölitz
Univ.Prof. Charlotte Lindner MBA.
Nadeschda Barkholz
Emma Trub-Scheuermann
Rosina Otto
Karl-Ludwig Hoffmann
Vito Gorlitz
Malte Schäfer
Trude Scholtz B.A.
Janette Kraushaar
Dr. Alois Kraushaar B.Sc.
Friedlinde Mühle B.A.
Erol Lindner
Prof. Hans-Peter Noack B.A.
Prof. Johan van der Dussen
Anne-Kathrin Ortmann
Danny Mälzer
Jozef Kostolzin
Eckehard Wernecke
Nurettin Börner
Karl Meister B.Eng.
Prof. Norbert Wilms B.A.
Raissa Mitschke MBA.
Muzaffer Sorgatz
Dragica Kreusel
Univ.Prof. Fedor Eimer
Theodora Wilmsen
Gisela Paffrath
Frau Alexandra Beckmann B.A.
Hans Kohl MBA.
Senta Renner
Theda Klotz
Jochem Hermighausen
Ottokar Döhn
Ralf-Dieter Sauer-Hermighausen
Hülya Stadelmann
Ing. Lisette Kaul B.A.
Inga Eberhardt
Dipl.-Ing. Frederik Rörricht B.Sc.
Prof. Anna-Lena Wagner MBA.
Hanne Gierschner
Ing. Dorothee Harloff B.Sc.
Univ.Prof. Norbert Röhrdanz B.Sc.
Stanislav Löffler MBA.
Ian Briemer B.Eng.
Dr. Bernfried Bärer
Andrei Hertrampf-Trommler
Maya Haering-Becker
Caroline Harloff
Dr. Hans-Detlef Lindau B.Eng.
Nadia Steckel
Dipl.-Ing. Nathalie Radisch
Olivia Mies
Ing. Marie-Therese Schleich
Brigitte Geisler
Hanni Dippel-Heser
Gabriel Werner
Frau Friederike Albers
Benno Gehringer-Wohlgemut
Erwin Jopich
Carl Jockel
Stefano Atzler
Anja Meyer B.A.
Mariele Stiffel B.Sc.
Annelore Juncken
Centa Bohlander-Stiebitz
Dittmar Graf
Ditmar Dehmel
Anatoli Caspar
Heinz Krebs B.Eng.
Ing. Gertraude Holsten B.Sc.
Evi Wilmsen MBA.
Svea Krebs-Scheibe
Ing. Gerti Franke
Prof. Pascale Kruschwitz
Kira Hartmann B.Sc.
Miguel Dussen van B.Eng.
Dana Schäfer
Margita Meister
Fedor Röhrdanz
Birte Jüttner
Monja Riehl
Egbert Gertz
Theodoros Vollbrecht-Gutknecht
Tülay Gnatz-Sorgatz
Drago Täsche
Klaus Dieter Stoll-Wilms
Reinhard Zänker
Bertha Barkholz
Ewald Kreusel
Kathleen Hahn B.A.
Ing. Karl-Peter Weinhold B.Sc.
Herr Jerzy Drub
Ellen Hahn-Spieß
Robert Etzold
Lilly Seifert
Wera Schmidt
Dipl.-Ing. Nina Boucsein MBA.
Dr. Friedhilde Adler MBA.
Catherine Huhn
Hanne-Lore Johann
Anica Tintzmann B.Eng.
Carin Binner
Zehra Conradi-Heinrich
Prof. Marija Seidel
Roswita Döhn
Frau Hildegunde Koch II
Herr Gundolf Barth
Hugo Keudel B.A.
Univ.Prof. Herta Zänker
Anatol Gude MBA.
Jaqueline Weitzel-Pölitz
Prof. Meinrad Wiek
Adeline Holsten
Alice Hesse
Micha Albers-Wilms
Wieslaw Freudenberger
Egbert Tschentscher
Herr Ekkehart Sorgatz
Annita Jähn
Frau Josefa Henschel B.A.
Ilse Nette
Nada Girschner
Marie-Therese Steuer
James Ebert
Irma Neureuther
Dr. Tony Ditschlerin
Manuel Stolze MBA.
Theresia Henck
Frau Mechtild Fliegner
Paul-Gerhard Jungfer B.Eng.
Elisa Karz-Rohleder
Conny Metz
Tino Kensy
Anne-Kathrin Geisler
Anne-Rose Krause
Uli Stolze MBA.
Adele Stroh
Sigmar Zobel
Joachim Fischer
Jörg-Peter Dowerg
Theo Neuschäfer
Dipl.-Ing. Sedat Sontag
Kunigunda Fischer
Janos Winkler B.A.
Ing. Herbert Mühle B.Sc.
Dipl.-Ing. Halina Bender B.A.
Hedy Kobelt
Gislinde Müller
Ehrentraud Trubin
Prof. Mathias Schmiedt
Birthe Graf
Nina Müller B.Eng.
Prof. Ludger Kohl MBA.
Gordana Hertrampf-Speer
Dörte Warmer
Valeria Conradi
Fatma Löffler B.Sc.
Ing. Roy Dippel B.A.
Senol Harloff-Lindau
Lena Wende
Ing. Zbigniew Warmer MBA.
Reimar Kabus
Ing. Henning Drub
Reimund Bohlander
Natalie Bender MBA.
Dr. Jeannine Schleich B.Sc.
Prof. Konrad Neuschäfer
Olivia Nerger B.Eng.
Philipp Lorch
Dipl.-Ing. Katarina Schmidtke
Lukas Ditschlerin
Nelli Stiebitz
Malte Kallert-Möchlichen
Karl-Peter Häring-Kruschwitz
Frau Nadeshda Ruppert
Piotr Hande
Wilhelmine Knappe
Helmut Renner
Ing. Frederic Christoph B.Eng.
Dipl.-Ing. Maik Mende B.Sc.
Heino Lindau B.Eng.
Slavko Weitzel B.Sc.
Lia Heydrich
Reinhard Eigenwillig
Hans-Josef Butte-Dussen van
Prof. Tina Ullrich
Constanze Lange
Brita Roht MBA.
Franca Mentzel
Marvin Kabus B.A.
Klothilde Zänker
Sofie Staude
Emma Briemer
Prof. Urs Flantz
Univ.Prof. Ivo Mies
Univ.Prof. Marko Schmiedecke MBA.
Univ.Prof. Hans-Peter Schmidt MBA.
Arnulf Zimmer-Seifert
Bernard Karge
Dr. Erkan Stroh
Zlatko Ritter B.Eng.
Dina Koch
Tassilo Gehringer
Univ.Prof. Claus-Dieter Meister B.Eng.
Ingrid Rudolph
Anto Kobelt-Kobelt
Ludwig Zimmer MBA.
Dorit Zimmer-Krein
Patrick Wohlgemut
Prof. Hans-H. Zimmer
Konrad Henschel
Gottfried Hettner-Reising
Louis Kostolzin
Concetta Karge
Jakob Seifert
Prof. Tania Grein Groth
Teresa Möchlichen
Urszula Rudolph
Stephanie Heintze
Gottfried Keudel MBA.
Prof. Monique Budig B.Eng.
Hanne Ackermann
Ing. Fredi Löffler
Robert Weimer
Ing. Emanuel Tintzmann
Theodor Mangold
Dipl.-Ing. Dursun Köhler
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Ing. Edeltraud Zirme
Univ.Prof. Romuald Hermighausen
Necati Koch
Veronique Hartung-Haering
Emil Preiß-Hecker
Juliana Schönland
Götz Budig
Fredi Wilmsen
Doreen Hornig
Friedo Ritter
Dursun Atzler B.A.
Ruben Trubin
Dr. Eleni Heser
Carlo Ackermann-Birnbaum
Ing. Kristina Biggen
Herr Muzaffer Klotz B.Sc.
Prof. Theodoros Paffrath B.A.
Cathleen Gude
Ferdi Hoffmann
Dr. Ruben Wernecke
Stilla Hornig B.A.
Catrin Ziegert-Meyer
Heiner Ruppersberger-Hentschel
Augustin Wende
Jurij Eimer
Margarete Mohaupt B.Sc.
Lukas Zirme
Senta Warmer
Mariusz Hartung
Pietro Klingelhöfer
Ilona Roskoth-Bolander
Prof. Ingbert Nette
Dipl.-Ing. Mariana Mohaupt B.Sc.
Ing. Gotthard Reuter B.A.
Conny Fliegner
Jasmina Koch MBA.
Hannah Stiffel-Börner
Herr Mahmoud Schleich B.Sc.
Nurettin Mans-Klemt
Prof. Ignaz Cichorius
Dipl.-Ing. Ekrem Thanel
Raymond Löchel-Ziegert
Prof. Folkert Ernst MBA.
Zbigniew Hahn MBA.
Inka Trub
Ing. Ramazan Kabus B.Eng.
Juliana Weinhage
Irmtrud Röhrdanz
Heide Knappe
Pius Jopich B.Eng.
Kornelia Dörr
Dipl.-Ing. Anneliese Kühnert
Gina Stumpf
Ing. Dierk Striebitz
Nadja Hethur
Mariana Steckel
Dr. Annelene Geisel B.Sc.
Gerolf Döring-Buchholz
Gundi Schwital
Univ.Prof. Kläre Oderwald B.Sc.
Sebastian Karge
Elfie Kreusel
Univ.Prof. Helmut Junitz B.Eng.
Berend Rörricht
Susan Riehl B.Sc.
Ellen Weinhold
Erwin Etzold
Walentina auch Schlauchin-Albers
Remo Reinhardt
Frau Wenke Klemt
Kilian Patberg
Walburga Junk
Marlen Flantz
Univ.Prof. Alexandros Junk
Gerald Albers-Jähn
Univ.Prof. Josefine Gerlach
Hansjürgen Faust
Christian Jacobi Jäckel
Malte Herrmann-Zänker
Irmela Krein-Bolzmann
Valerij Barth
Uschi Trüb
Dr. Änne Radisch
Univ.Prof. Roger Stadelmann B.Sc.
Raymond Misicher
Celal Pohl
Orhan Mude
Harold Bähr B.A.
Hulda Junk
Prof. Jelena Naser
Roderich Weitzel
Prof. Kaspar Mosemann
Friedericke Ruppersberger
Dipl.-Ing. Regine Renner
Catrin Weller
Andrea Hamann
Dipl.-Ing. Engin Jähn B.A.
Lieselotte Dussen van MBA.
Enver Dehmel
Marion Drewes
Dipl.-Ing. Angelique Ortmann
Ljiljana Ruppert
Ing. Henrike Kramer
Torben Hartung
Zofia Schulz
Marco Conradi
Edelgard Finke B.Eng.
Martina Keudel
Grete Rudolph
Willy Kallert
Janus Ring
Dipl.-Ing. Tamara Seifert B.A.
Dipl.-Ing. Margarete Schmidt
Mohammad Finke
Tobias Wirth
Prof. Volkmar Wirth B.Eng.
Konstantinos Stolze-Biggen
Marijan Kruschwitz
Franz Josef Haase
Carmelo Stiebitz
Sibilla Bachmann
Hans-Bernd Trupp
Dipl.-Ing. Giuseppina Etzler B.Sc.
Gülay Weinhold
Liesbeth Koch II
Sönke Gumprich
Thies Rose
Faruk Schomber
Jane Patberg
Liliana Zorbach MBA.
Gülten Peukert
Ing. Erwin Kobelt B.A.
Armin Hellwig-Finke
Marietta Geißler
Liliane Koch II
Susann Hartung-Schmiedecke
Bruno Siering MBA.
Hans-Wilhelm Weller
Veronica Benthin
Dr. Jan-Peter Döhn B.A.
Dusan Dussen van
Mandy Loos
Krzysztof Kruschwitz
Angelo Schmidtke
Dipl.-Ing. Baldur Oderwald B.Sc.
Adriane Stroh
Margot Ullmann
Univ.Prof. Giovanna Siering MBA.
Wally Wähner
Edwin Förster-Albers
Ing. Arthur Schwital B.Eng.
Frau Emilia Pruschke B.A.
Sören Liebelt
Ing. Melanie Hamann
Paul Hettner
Ekaterina auch Schlauchin
Janusz Rädel B.Sc.
Brita Kaul
Hellmuth Söding-Bonbach
Friedl Hölzenbecher-Eberth
Frau Juliane Schulz B.Sc.
Paul-Gerhard Gunpf
Christopher Sager
Jan-Peter Scheuermann-Jungfer
Beata Lübs
Marie-Luise Ring
Erica Renner-Trapp
Mariele Bolander
Hilmar Faust
Anka Jäkel-Ackermann
Giorgio Trüb
Matteo Dehmel-Weimer
Gino Hartung
Hans-J. Neureuther
Eckhard Sölzer
Toni Scholl-Scholl
Gudrun Reichmann MBA.
Amanda Weller
Reimar Klemm MBA.
Waldtraut Hoffmann
Johannes Freudenberger
Klaus-Werner Bohlander
Christl Wähner
Prof. Theobald Mangold
Friedrich Austermühle-Döring
Marion Kuhl
Dietlinde Söding
Ivo Wesack B.Sc.
Univ.Prof. Ferenc Knappe B.Sc.
Dipl.-Ing. Harm van der Dussen
Günter Wiek B.A.
Saban Eimer
Univ.Prof. Ilka Jäntsch B.A.
Timo Spieß
Prof. Vadim Rogner
Ing. Mike Stolze
Hülya Scheibe
Prof. Henryk Kitzmann
Tim Sorgatz
Dr. Reinhart Hecker B.A.
Bertram Eigenwillig
Regina Reuter
Mattias Kensy
Cordula Hornig
Anthony Oderwald
Natascha Gotthard
Prof. Josefa Beier B.Sc.
Ing. Zoran Tintzmann
Prof. Lieschen Bohlander
Hubert Hertrampf
Prof. Maria-Theresia Schaaf B.A.
Klaus-Michael Mälzer
Siegbert Schweitzer
Daniela Schweitzer
Univ.Prof. Eugen Karz
Michaele Neureuther
Jonathan Gertz-Hertrampf
Caterina Ullrich
Francoise Zänker-Knappe
Ann Stumpf
Leszek Hentschel
Klaus-Ulrich Gude
Bogdan Pohl
Ljudmila Trapp
Hannah Jacobi Jäckel
Fabian Lübs
Gotthold Krause
Sabrina Kohl
Karl-Dieter Seifert
Prof. Hansjürgen Langern
Ilija Höfig
Thaddäus Geißler
Univ.Prof. Rafael Pruschke B.A.
Woldemar Bolzmann B.A.
Paolo Klotz-Hein
Rainer Conradi
Rita Käster B.A.
Wilhelm Tlustek
Univ.Prof. Regina Salz B.Eng.
Johanne Kusch
Herr Swen Kraushaar B.A.
Rosa Christoph-Sontag
Brian Lehmann B.Eng.
Sophie Scheibe
Fernando Gieß
Heinz-Josef Conradi-Klapp
Magarete Schomber
Edmund Caspar B.Sc.
Jadwiga Gotthard
Prof. Mohammad Reinhardt
Ingried Ullrich
Sina Wulff-Dussen van
Vadim Jacobi Jäckel
Univ.Prof. Rosl Pölitz
Frau Brigitta Bohlander MBA.
Gina Stolze
Ing. Zofia Ernst
Mia Paffrath-Ortmann
Martina Hartung
Frau Belinda Plath B.A.
Friedrich-Wilhelm Holsten
Muharrem Rosemann-Heidrich
Johan Heydrich
Joachim Kramer
Annaliese Hettner B.A.
Silja Eberhardt-Boucsein
Mark Schottin B.Eng.
Doreen Striebitz
Manuela Sauer
Ehrentraud Meyer MBA.
Gerwin Schuster
Ludmilla Pieper
Herr Hendrik Fritsch B.Eng.
Ellen Trub
Ing. Willi Warmer B.Eng.
Karl-Heinrich Jacob
Brigitte Zirme B.Sc.
Frau Maria Jopich
Isabell Buchholz
Wolfhard Jäkel MBA.
Sigurd Süßebier
Justina Neureuther
Herr Imre Kohl
Univ.Prof. Ahmet Birnbaum MBA.
Sükrü Schüler MBA.
Univ.Prof. Dolores Jäkel
Ilonka Rose
Katrin Ortmann
Ing. Wieslaw Kobelt B.Sc.
Dunja Trub
Friedrich-Karl Sorgatz-Schmiedt
Prof. Heinz-Willi Hertrampf
Walther Hofmann
Klaus-Jürgen Jockel
Krista Hofmann
Alwin Schaaf
Herr Jens Becker MBA.
Samir Wähner-Butte
Dana Ebert B.A.
Ing. August Hellwig B.Eng.
Diana Weitzel
Burkhard Holt-Schleich
Agathe Trommler
Meral Bolnbach
Laszlo Nerger MBA.
Ludwig Reinhardt
Agathe Söding
Karl-Georg Lehmann
Gerhart Karz
Concetta Seifert
Tomas Gröttner
Dr. Dagmar Hörle B.Sc.
Gerald Hendriks
Steffen Cichorius B.Eng.
Lidwina Jockel
Annemie Herrmann
Eva-Marie Hendriks
Guiseppe Bien
Prof. Marko Rohleder B.A.
Dipl.-Ing. Petar Wohlgemut
Amalia Wulf
Antonios Zimmer
Arnulf Ullmann
Dagobert Bohnbach
Marie Hoffmann B.Sc.
Toni Dehmel-Striebitz
Ignaz Löwer
Univ.Prof. Undine Junken MBA.
Gundi Sager
Leokadia Putz
Ingried Stiffel B.A.
Ing. Birte Heidrich B.Eng.
Annette Schwital
Marek Mitschke B.Sc.
Maren Heser-Kreusel
Elfi Kranz
Helen Hahn
Isa Kramer-Matthäi
Pavel Jessel
Meike Berger
Dipl.-Ing. Hans-Günther Bien
Angelica Lindau-Heß
Olaf Weinhage
Pedro Hande B.Sc.
Wulf Eberhardt
Ingbert Hartung
Rosa Gnatz
Erika Pruschke
Marianne Ziegert-Werner
Univ.Prof. Natalie Noack MBA.
Romy Baum
Jurij Zahn B.Sc.
Isidor Täsche
Dörthe Roht
Jörg-Peter Klemt MBA.
Prof. Cäcilie Staude B.A.
Dr. Michel Pruschke B.Eng.
Fredi Jäntsch
Ing. Margot Bonbach B.Eng.
Ditmar Niemeier
Isabell Eberth-Pechel
Herr Hans Peter Jacob
Sibille Liebelt
Dipl.-Ing. Gunar Kuhl
Prof. Oswald Ehlert MBA.
