Student
Eckehard Wernecke
Prof. Cäcilia Gertz B.Eng.
Michelle Pohl
Meta Harloff
Calogero Heintze
Sina Wulff-Dussen van
Leopold Rörricht
Annaliese Heser B.Sc.
Alessandro Caspar
Victor Fritsch B.Eng.
Centa Krebs-Stadelmann
Herr Louis Hövel
Janna Kambs
Judith Meyer
Hermann Bruder
Ing. Nadeschda Bohlander
Prof. Marko Rohleder B.A.
Frau Brigitta Bohlander MBA.
Peter-Michael Spieß
Jan-Peter Scheuermann-Jungfer
Heinz-Willi Geisel
Dipl.-Ing. Beatrix Henk B.Eng.
Marcel Oestrovsky
Herr Mario Thanel
Tamara Bender MBA.
Prof. Heide Krebs
Nadin Schomber
Rena Rohleder
Prof. Anna-Lena Wagner MBA.
Apostolos Kreusel-Noack
Dr. Gudula Scheuermann
Prof. Reza Ebert B.Eng.
Julian Schuchhardt-Dippel
Walli Gnatz
Sylke Ehlert
Enrico Kobelt-Klemt
Dipl.-Ing. Ehrenfried Kranz MBA.
Natalia Fröhlich-Kabus
Arndt Wernecke-Gertz
Friederike Sölzer-Hentschel
Kay-Uwe Bruder MBA.
Ilona Roskoth-Bolander
Ing. Klothilde Hörle B.A.
Lena Losekann
Bruno Hethur
Cindy Rogge-Dippel
Jonas Boucsein
Heiderose Lange-Schüler
Karin Beckmann
Fernando Tschentscher-Schacht
Gunhild Gorlitz-Heinrich
Amanda Weller
Dr. Frieda Metz
George Käster-Eberth
Gilbert Steuer-Rosemann
Lydia Losekann MBA.
Herr Rudi Neuschäfer
Dipl.-Ing. Claas Ladeck
Prof. Sarina Hartmann
Mina auch Schlauchin
Henrik Heidrich
Konstantin Eimer-Lehmann
Herr Frank Bolnbach
Denny Lachmann
Ing. Hannes Jähn B.Sc.
Cecilia Gertz
Meral Bolnbach
Greta Baum
Dr. Almut Nohlmans B.A.
Luigi Junitz
Frau Melita Scholz B.A.
Prof. Conny Klingelhöfer B.Eng.
Dipl.-Ing. Rudi Wiek B.Eng.
Dipl.-Ing. Angelina Mälzer B.Eng.
Stephanie Weller
Ryszard Lorch
Ottokar Berger
Alina Finke
Liliana Davids
Regine Häring
Gertrude Kostolzin MBA.
Dagmar Dussen van
Filippo Kostolzin
Univ.Prof. Beate Eberth
Gert Naser
Ellen Weinhold
Friedhilde Wernecke
Frau Emma Kaul B.Eng.
Trude Scholtz B.A.
Peggy Holt
Waldemar Hendriks
Marijan Killer
Judith Koch-Mude
Hans-Uwe Noack-Fröhlich
Frau Yvonne Trupp B.A.
Georg Misicher
Gunda Knappe
Ing. Siegrid Birnbaum
Fatma Löffler B.Sc.
Franziska Jüttner
Univ.Prof. Gönül Meister B.Sc.
Tobias Wirth
Aneta Kambs
Antonius Pärtzelt-Jüttner
Ortrun Krebs
Univ.Prof. Filiz Rudolph MBA.
Halina Hethur
Adelbert Austermühle
Stephen Ackermann B.A.
Erol Lindner
Ing. Eckehard Bloch MBA.
Rosita Budig
Rouven Eberhardt
Univ.Prof. Cläre Weihmann B.A.
Astrid Nerger-Tröst
Hugo Junken
Denny Bohlander B.A.
Constanze Fechner-Dörr
Reimund Bohlander
Veronique Hartung-Haering
Prof. Berend Käster B.A.
Ulf Dörschner
Sonja Barkholz
Univ.Prof. Hans-Eberhard Bauer
Ing. Siglinde Speer MBA.
Victoria Klingelhöfer
Renato Bolnbach
Yusuf Schacht
Josef Berger
Dipl.-Ing. Salvatore Zänker MBA.
Hans-Ulrich Liebelt-Hauffer
Anatoli Caspar
Friedrich Austermühle-Döring
Univ.Prof. Mahmoud Liebelt
Kunigunda Hänel-Briemer
Dr. Trude Ziegert B.A.
Gisa Gerlach
Joachim Kramer
Luisa Barkholz
Dr. Halina Haase
Hildburg Tlustek
Gretchen Jessel B.Sc.
Karla Etzler-Metz
Svea Hartung B.Eng.
Miriam van der Dussen
Gino Ernst
Urban Peukert
Tillmann Matthäi B.Eng.
Julius Kraushaar
Annelise Jungfer
Liesa Gröttner
Paul Hettner
Elli Meister
Karolin Mitschke
Dipl.-Ing. Astrid Kade
Andrei Wulff
Harriet Rohleder
Ingbert Binner-Heidrich
Anne-Katrin Butte MBA.
Marek Schenk B.A.
Univ.Prof. Franz-Xaver Girschner B.Sc.
Yusuf Sontag
Dipl.-Ing. Slobodan Sölzer
Prof. Ilse Schmiedecke
Karina Tschentscher-Butte
Hans-Detlef Bender
Bogdan Rosemann
Guido Junck
Diethelm Hübel MBA.
Hans-Martin Bärer
Pauline Mosemann
Filiz Bähr
Ing. Arthur Schwital B.Eng.
Ludwina Hölzenbecher
Prof. Beatrice Misicher
Willy Weiß
Univ.Prof. Franz-Josef Zänker
Univ.Prof. Karl-Otto Dowerg MBA.
Isabell Briemer
Amalia Hermann-Schäfer
Eileen Geißler
Friederike Geisler
Christl Eigenwillig
Attila Werner
Erdal Bähr
Kathi Häring
Lambert Röhricht-Johann
Adelheid Schinke
Margot Schäfer B.Eng.
Matthäus Eckbauer
Dipl.-Ing. Richard Gröttner B.A.
Brian Preiß
Rose Beer
Dipl.-Ing. Hans-Ludwig Meyer
Leo Roskoth B.Sc.
Ben Zahn
Dipl.-Ing. Patric Johann
Dipl.-Ing. Elif Hartmann B.A.
Brian Lehmann B.Eng.
Danilo Losekann
Herr Hans-Detlef Grein Groth
Heinz-Günther Mosemann
Eva-Marie Hendriks
Phillip Salz B.Sc.
Univ.Prof. Anika Pärtzelt MBA.
Marlies Beckmann
Margareta Klingelhöfer
Helmuth Zirme
Univ.Prof. Kevin Juncken B.Eng.
Sandy Haering
Kai-Uwe Stiebitz-Hentschel
Hermine Schüler
Abram Eckbauer B.A.
Roswita Atzler
Mohammad Finke
Prof. Clarissa Barth
Dogan Häring MBA.
Anne-Kathrin Geisler
Herr Vladimir Zimmer MBA.
Carmelo Klapp-Berger
Frau Monique Wesack B.Eng.
Damaris Bien
Raymond Ruppersberger
Emine Lübs
Ottfried Peukert-Schulz
Helmtrud Börner B.A.
Karl Meister B.Eng.
Gisa Mohaupt
Gert Hölzenbecher B.Sc.
Brunhilde Scholz
Bogdan Steckel B.Eng.
Hellmut Nerger
Heiner Ruppersberger-Hentschel
Dipl.-Ing. Hildegunde Bachmann
Emil Preiß-Hecker
Irmengard Rudolph
Josefine Rosenow-Hertrampf
Muzaffer Sorgatz
Lieschen Steckel
Sigmund Herrmann MBA.
Karl-Ernst Reuter
Wolfhard Rosemann B.Eng.
Calogero Staude B.A.
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Miguel Dussen van B.Eng.
Sonja Löchel
Slavica Koch
Anna Lübs
Theodora Aumann
Siegrid Misicher
Frank-Peter Bien
Tomasz Niemeier
Irmgard Pieper B.Eng.
Prof. Helmut Hellwig MBA.
Prof. Sahin Kreusel
Dr. Edelgard Sauer B.Sc.
Zenon Hahn MBA.
Aziz Hornich
Ing. Wulf Atzler
Dorothee Koch II
Bernadette Sorgatz
Hellmuth Hörle
Ing. Roy Dippel B.A.
Prof. Irmhild Fritsch
Pia Fliegner
Ansgar Seidel
Janin Hamann
Luise Gertz-Fliegner
Jonas Adler
Aynur Bohlander
Abram Scholz B.Sc.
Wolf Schottin-Gunpf
Vitali Faust B.Eng.
Anna Hartmann
Cora Reichmann B.A.
Emilia Seifert
Edwin Wilms MBA.
Othmar Zänker
Rainer Gude-Kaul
Salih Köster
Marlis Rogge B.Sc.
Prof. Marika Davids B.A.
Hedda Schönland
Mark Röhricht
Univ.Prof. Luka Mende
Michael Scholz
Sigrid Schleich
Anna-Marie Ullrich
Dr. Jeanette Schuchhardt B.Eng.
Heinz-Günter Fischer
Frauke Dörschner
Horst-Peter Riehl
Egon Paffrath
Florian Finke
Jonas Walter
Ing. Romuald Roht B.Sc.
Dr. Annelene Geisel B.Sc.
Dietrich Adolph MBA.
Dipl.-Ing. Eckhard Kallert B.Sc.
Ibrahim Eberth
Dorle Killer
Urte Caspar
Maurice Pieper-Loos
Franz-Peter Benthin-Reichmann
Luis Oderwald
Ditmar Briemer
Marie-Louise Wulff
Konstantinos Seifert
Veronika Gröttner
Siegrun Schomber
Enno Jockel MBA.
Reinhold Bloch
Edmund Caspar B.Sc.
Emma Briemer
Catharina Jacob
Herr Gustav Noack
Gretchen Eimer-Wilmsen
Frau Nurten Huhn
Katherina Bien
Leonore Schacht
Aleksej Kühnert B.A.
Gilbert Schottin
Anton Müller
Dipl.-Ing. Manuel Kade
Anatolij Steinberg
Antonietta Lindner MBA.
Miguel Briemer
Attila Rogner
Gisa Dörr B.Eng.
John Roskoth-Rädel
Dr. Annett Siering
Solveig Scheibe
Mandy Huhn B.A.
Karl-Hans Weinhold-Noack
Bruni Vogt MBA.
Steffi Schmiedt B.Sc.
Paul-Gerhard Hein
Augusta Beer
Max Fiebig
Katharina Etzler
Frau Herlinde Kade B.A.
Univ.Prof. Kirstin Killer B.Eng.
Henryk Textor-Gröttner
Utz Staude
Dr. Hans-Heinrich Kaul B.Eng.
Antonios Walter
Heinz-Josef Conradi-Klapp
Aleksej Fröhlich
Ing. Hellmuth Scholl
Prof. Antonia Mielcarek B.Eng.
Carin Rohleder
Dipl.-Ing. Hans-Gerhard Schleich
Ing. Dietlind Gieß
Dr. Valeri Sölzer B.Sc.
Ivana Eimer
Gisela Hornich-Metz
Philippe Wähner
Liliana Gehringer
Heinz-Jürgen Adolph
Miodrag Dörr-Austermühle
Tino Niemeier
Engin Hofmann
Priska Rädel
Marica Seidel B.Eng.
Pius Römer MBA.
Univ.Prof. Gretchen Sontag B.A.
Stanislaus Geißler
Edeltrud Margraf
Imelda Söding
Swen Schweitzer B.Sc.
Niko Butte-Rosenow
Sylvana Holzapfel
Diana Drubin-Walter
Univ.Prof. Lucia Zobel
Urs Ebert
Silja Eberhardt-Boucsein
Hans Peter Beckmann
Anna-Luise Eckbauer
Dipl.-Ing. Jost Bruder B.Eng.
Gerd Becker
Silvia Henschel
Carl-Heinz Trapp
Roderich Scholtz
Paola Kroker-Klotz
Veronika Kruschwitz B.A.
Annaliese Lübs
Gundula Adler-Bien
Dr. Hans-Detlef Lindau B.Eng.
Milos Seifert
Balthasar Klemm
Maximilian Juncken
Prof. Irena Höfig
Ing. Clemens Wirth
Frau Stefani Hendriks B.A.
Sandro Schmiedt
Zlatko Briemer-Karge
Patrick Anders-Stolze
Sigrun Mälzer
Dorina Fiebig
Stilla Hornig B.A.
Renata Holt-Heintze
Dana Schäfer
Ing. Helmuth Bruder
Ing. Klaus-Dieter Karge MBA.
Andre Schlosser
Serge Kade
Maria Hellwig
Lilli Harloff
Heidemarie Junitz
Prof. Folkert Ernst MBA.
Susann Henk
Beatrice Fechner
Univ.Prof. Fredy Barth MBA.
Elfi Harloff
Dorle Dörschner
Korinna Spieß MBA.
Gotthilf Gehringer B.A.
Frank-Peter Ullmann
Karl-Friedrich Kitzmann
Beata Lübs
Ryszard Süßebier-Neureuther
Dipl.-Ing. Giorgio Drubin B.Eng.
Prof. Romy Bohnbach
Irmtraud Schönland
Faruk Birnbaum
Ioannis Junck
Dr. Ottfried Lachmann B.Sc.
Univ.Prof. Linus Seifert
Ruthild Juncken B.Sc.
Dr. Mariusz Beckmann
Björn Steckel B.Eng.
Antonia Mohaupt
Knud Zimmer
Bernt Jessel
Prof. Folker Trupp B.Sc.
Dr. Frederik Dobes MBA.
Prof. Norbert Wilms B.A.
Fatima Rörricht
Gabi Löwer MBA.
Marten Röhricht B.Sc.
Romy Zahn-Bien
Gisa Atzler
Ottilie Hartung
Apollonia Heß B.A.
Juan Klapp B.Eng.
Univ.Prof. Robby Vollbrecht
Dr. Luciano Ortmann
Theda Klotz
Brian Hölzenbecher
Till Karz
Margitta Hethur MBA.
Valeri Tschentscher
Sigmund Hentschel MBA.
Ing. Leander Weimer B.Eng.
Agnes Vollbrecht
Fadime Heidrich B.A.
Annegret Holt-Heuser
Karsten Schwital
Arnulf Säuberlich
Zeynep Lehmann
Magret Bähr
Till Bolander
Jörn Trupp MBA.
Konstantin Rogner
Concetta Wohlgemut
Ing. Dierk Striebitz
Eva-Maria Eberth B.A.
Frau Wenke Riehl
Ing. Konstanze Schmidtke MBA.
Benno Klemt
Herta Hendriks
Bertram Segebahn
Paolo Wernecke
Annie Schlosser
Elena Ditschlerin
Univ.Prof. Gustav Sölzer
Katalin Thanel-Kitzmann
Miguel Lehmann
Henni Keudel B.Sc.
Univ.Prof. Cecilia Scholl MBA.
Prof. Klaus Peter Hellwig B.Sc.
Andrea Ziegert
Ing. Anatolij Heintze
Dipl.-Ing. Marc Stroh
Univ.Prof. Hans-Peter Schmidt MBA.
Evelyn Bien
Ekkehart Grein Groth
Stefani Caspar
Madeleine Hermann B.Sc.
Hanno Löffler
Kuno Kreusel
Krzysztof Niemeier-Kostolzin
Jost Lindau
Beate Nette
Univ.Prof. Gregor Gieß MBA.
Ottokar Fliegner
Dipl.-Ing. Dorina Lindau B.Sc.
Traugott Hövel
Teresa Ladeck-Rädel
Irmi Biggen
Dr. Mohamed Kroker B.Eng.
Berend Rörricht
Marga Scholz
Hermine Wohlgemut
Jessica Stumpf
Mona Söding
Prof. Aziz Stumpf
Necati Lindner
Lisa Rädel-Bender
Ing. Cläre Dowerg
Herr Karl Dippel B.A.
Dr. Markus Roskoth B.Sc.
Ortrun Eckbauer-Kohl
Kreszentia Jockel
Hildegunde Dörr
Inge Dietz B.A.
Damian Jopich B.A.
Dr. Lieselotte Blümel B.A.
Zdravko Staude B.Sc.
Marie-Theres Pechel
Dr. Silvester Krein B.Sc.
H.-Dieter Gerlach
Siegmund Heidrich
Rahel Stey
Dipl.-Ing. Gottfried Scholtz
Ronald Rädel
Dr. Gerard Reichmann MBA.
Harro Keudel
Margareta Schmidt
Hans Dieter Junk
Pierre Köster
Ulrike Ackermann B.Sc.
Dr. Karla Christoph
Enver Dehmel
Hansjürgen Säuberlich
Ing. Britt Trupp B.Eng.
Vladimir Patberg-Weller
Korinna Koch II
Univ.Prof. Jann Schleich
Gerda Eberhardt B.Sc.
Martha Dowerg
Vincenzo Jopich
Nils Hermighausen
Univ.Prof. Bert Gieß
Irma Neureuther
Erna Schmiedt
Edward Dippel
Rebekka Lindau MBA.
Katarina Knappe
Dipl.-Ing. Ingbert Krebs B.Eng.
Elsa Sontag
Lorenzo Adler-Trommler
Patrizia Spieß
Roger Gunpf-Paffrath
Oxana Schmidtke
Annett Sorgatz B.Eng.
Dr. Constance Römer
Hatice Killer-Löwer
Mirjana Drub
Prof. Balthasar Hecker B.Eng.
Ing. Gundi Boucsein B.Sc.
Gudula Niemeier
Ing. Andrew Nerger
Fritz Nerger
Brian Blümel B.Eng.
Dipl.-Ing. John Ortmann MBA.
Kazim Rohleder
Peer Grein Groth-Lange
Waldtraut Hoffmann
Jörgen Paffrath B.Sc.
Univ.Prof. Vadim Vollbrecht B.A.
Eckhard Sölzer
Yasmin Wiek
Herr Filippo Rosemann B.A.
Univ.Prof. Manuela Heinrich
Irmtraut Süßebier
Dr. Jochem Trapp MBA.
Sigmund Kensy
Ing. Gordana Bruder MBA.
Herr Wolfhard Hövel
Dr. Baldur Johann B.Eng.
Katherina Klapp
Yvette Süßebier
Rolf-Dieter Preiß
Frau Myriam Walter B.Sc.
Magdalena Löwer B.Eng.
Paolo Zänker MBA.
Suzanne Holzapfel
Prof. Lieschen Bohlander
Frau Jane Caspar
Milica Huhn
Dittmar Berger
Marit Thanel B.Sc.
Janine Söding
Janette Kraushaar
Jadwiga Karge
Hans-Josef Butte-Dussen van
Reinhart Becker
Herr Eberhardt Gierschner
Ute Möchlichen
Dr. Peer Schwital MBA.
Ing. Stanislaw Weihmann B.A.
Michel Hermighausen
Oscar Nerger
Walter Pruschke
Hendrik Bolzmann-Henschel
Lene Hermann-Kaul
Klaus-Dieter Meister
Bernhard Becker
Bekir Gumprich-Kabus
Urszula Killer B.A.
Rosa Kobelt
Dipl.-Ing. Julian Mühle
Henny Stey
Inga Eberhardt
Dr. Annette Linke MBA.
Irmtrud Röhrdanz
Helena Franke
Ing. Hatice Gehringer
Rainer Hänel
Dipl.-Ing. Mariola Lange B.Sc.
Univ.Prof. Almut Ehlert B.Sc.
Herr Bodo Steckel
Bernhardine Ruppersberger
Univ.Prof. Gretl Langern B.A.
Herr Dimitri Mohaupt B.A.
Ing. Adam Klemt MBA.
Kunibert Heß MBA.
Bertram Caspar
Siegried Caspar B.A.
Rebecca Oderwald
Ruthild Hoffmann
Herr Tomislav Ladeck
Mehmet Sauer
Viktoria Trub-Budig
Jaroslav Benthin
Jolanda Rose
Magrit Lange
Insa Peukert
Willibald Ziegert-Siering
Silke Biggen MBA.
Eleni Matthäi
Hinrich Römer
Ing. Carin Zorbach MBA.
Ellen auch Schlauchin
Dr. Iris auch Schlauchin
Herr Julian Gotthard B.Eng.
Herr Laurenz Häring
Gabriela Freudenberger B.A.
Ernst-August Oestrovsky-Kreusel
Evelyn Stolze
Isolde Seifert
Thies Birnbaum B.A.
Fedor Roskoth B.A.
Brita Schwital
Irma Atzler-Herrmann
Gloria Bruder B.A.
Jerzy Mende-Wagenknecht
Mohamed Schottin
Nico Möchlichen
Univ.Prof. Beate Gude
Gero Schomber
Univ.Prof. Regina Salz B.Eng.
Dipl.-Ing. Gilbert Plath B.Sc.
Nadia Steckel
Lothar Birnbaum
Massimo Ernst
Univ.Prof. Jacqueline Faust
Marian Hande
Philippe Geisler
Hans-Dieter Scholl
Prof. Sergei Heser
Dipl.-Ing. Traudel Eigenwillig
Lorenzo Zänker
Dr. Denise Girschner B.Sc.
Rolf-Dieter Kensy
Harry Lange
Stephen Bruder
Edda Henschel
Pedro Pölitz
Franca Harloff-Döring
Hanspeter Benthin
Marie-Luise Zorbach MBA.
Univ.Prof. Norbert Röhrdanz B.Sc.
Ing. Berta Oestrovsky B.Eng.
Daniele Heintze B.Eng.
Kristin Kabus
Dr. Rosalinde Stolze B.Eng.
Cordula Hornig
Univ.Prof. Helge Pieper
Ing. Frederic Christoph B.Eng.
Annelene Zänker
Univ.Prof. Karin Beier
Eberhardt Fiebig
Herr Oliver Stahr
Annegrete Pohl-Sölzer
Elfi Herrmann MBA.
Dr. Ayse Martin MBA.
Ada Kreusel
Gertraud Mentzel
Folker Otto
Nikola Kitzmann
Slawomir Drub-Gute
Olga Stahr
Dipl.-Ing. Cynthia Hauffer B.A.
Dina Rose
Herr Muzaffer Schäfer
Nikolaj Scholz
Hans-Michael Krein-Wernecke
Ulrike Albers
Artur Berger
Prof. Rabea Hettner B.Eng.
Ing. Meinhard Schweitzer
Frau Julia Fliegner
Nicolas Möchlichen MBA.
Fredo Bärer
Patrick Wohlgemut
Nermin Martin
Hansgeorg Klotz
Frau Belinda Plath B.A.
Dr. Dora Fischer
Isa Koch
Dr. Gerhart Käster
Elisa Mälzer
Eveline Birnbaum
Margrit Förster
Hans-Bernd Trupp
Reinhold Schäfer-Eimer
Gisela Weinhold B.Sc.
Elif Röhricht
Elmar Fröhlich
Antonina Christoph MBA.
Anton Stey
Kasimir Lindau
Ing. August Hellwig B.Eng.
Univ.Prof. Ilja Hentschel MBA.
Pavel Jessel
Prof. Meral Jüttner MBA.
Marlen Hesse
Amir Reuter
Balthasar Müller-Drub
Berndt Mohaupt MBA.
Dr. Philip Siering B.A.
Cetin Heidrich
Hans-Herbert Flantz
Liane Reuter
Conrad Lindau
Wolf Häring-Kallert
Hans-Helmut Binner B.Sc.
Branka Speer B.A.
Nikolai Mohaupt
Gudrun Heß B.Sc.
Hans-Christian Finke
Ralf-Peter Gute
Frau Margit Gehringer MBA.
Blanka Ladeck
Dipl.-Ing. Georgine Adolph B.Eng.
Prof. Guenther Margraf B.Eng.
Eitel Hethur
Süleyman Baum
Univ.Prof. Rotraut Juncken B.A.
Vassilios Birnbaum
Hanna Speer
Frau Katarina Lindner
Uschi Dobes
Dariusz Rädel
Swantje Heinz
Ernst-Otto Heß-Hartmann
Jaqueline Weitzel-Pölitz
Antonios Zimmer
Dipl.-Ing. Gunnar Rohleder B.Sc.
Knut Jacob
Ina Christoph B.Sc.
Herr Vincenzo Liebelt
Dipl.-Ing. Gerold Kusch B.Eng.
Heinz-Günter Schuster
Sibilla Eimer
Hans-Helmut Wesack
Hans-J. Trapp-Koch II
Klaus-Michael Fiebig
Niels Faust
Siegward Hertrampf
Ing. Wladimir Karz MBA.
Pedro Hande B.Sc.
Annekatrin Trupp
Lilli Meyer-Reuter
Renate Bärer
Nikolas Hethur MBA.
Jennifer Hoffmann
Natalie Neureuther
Henry Hofmann B.Eng.
Beatrice Bender
Elena Fiebig
Horst-Peter Thies
Zita Ullmann-Heydrich
Magdalena Sauer
Frau Valentine Benthin
Brigitte Knappe
Hanno Salz
Meral Eberhardt B.A.
Dipl.-Ing. Frederik Rörricht B.Sc.
Dorothea Weihmann
Univ.Prof. Claus-Dieter Dippel B.Eng.
Nils Hering-Loos
Traute Fröhlich
Natalja Löchel-Beckmann
Ulrich Segebahn
Ing. Hanny Noack MBA.
Maurizio Hartmann
Urszula Fliegner
Abbas Segebahn
Alexej Hornig-Radisch
Damian Söding
Frauke Söding
Ing. Stella Wagner
Hannchen Drewes B.Sc.
Balthasar Kruschwitz B.A.
Tatiana Pechel
Ing. Kunigunde Wieloch
Ing. Leopold Hoffmann
Leni Heß
Emilie Schmiedecke
Edda Jungfer
Klaus-Peter Zorbach
Kay-Uwe Jähn-Schwital
Burghard Wohlgemut
Bernard Bien-Lübs
Enrico Drewes
Ing. Rosalinde Rogner MBA.
Magarete Schomber
Univ.Prof. Steffen Tröst
Ramon Salz
Ilija Eckbauer-Steinberg
Univ.Prof. Hugo Martin
Ing. Kristina Biggen
Therese Neureuther
Antonie Heser B.Sc.
Vadim Rose-Wulf
Dr. Jochen Schäfer
Hans-Willi Ladeck
Ismet Kroker
Dipl.-Ing. Matteo Baum
Herlinde Schenk B.A.
Marie Henk B.Sc.
Nuran Schäfer B.A.
Dr. Hans-Albert Stroh
Krista Hofmann
Henriette Ladeck
Gusti Henschel
Dr. Gerti Scheel
Ing. Vesna Kroker B.Eng.
Lilo Hartung
Prof. Lene Oestrovsky B.Sc.
Univ.Prof. Meta Rädel
Prof. Gerda Barkholz MBA.
Herr Dietrich Gotthard B.A.
Ing. Iwan Wagner
Lili Heydrich-Beyer
Babette Rohleder
Gertraude Hahn
Ingried Bähr
Herr Ronny Tröst B.Sc.
Sieghard Stoll-Harloff
Ron Beer
Ing. Carla Ziegert B.Eng.
Jiri Förster
Frau Katarina Bolander B.Sc.
Tatjana Käster-Schüler
Prof. Gertraude Mangold B.Eng.
Aribert Putz
Mariana Jüttner
Trudi Kranz B.Eng.
Univ.Prof. Waldtraut Riehl
Ing. Henning Drub
Univ.Prof. Mira Mende B.Eng.
Jenny Scholtz
Dipl.-Ing. Ante Rust
George Weimer
Prof. Arnold Caspar B.A.
Margita Meister
Anne-Kathrin Ortmann
Jonas Christoph B.Eng.
Delia Rust
Walter Weller
Univ.Prof. Sönke Schomber
Rainer Conradi
Vera Losekann
Else Gröttner
Manja Koch II-Heuser
Klaas Eckbauer
Enrico Reising MBA.
Dr. Sigrun Schönland B.A.
Dr. Natascha Trüb
Fabienne Dobes-Heuser
Dipl.-Ing. Halina Bender B.A.
Stephan Warmer B.Eng.
Elias Langern
Stilla Köhler
Ralph Schottin-Graf
Katja Kruschwitz-Roskoth
Muharrem Rosemann-Heidrich
Justina Zirme
Freddy Nette-Hendriks
Dr. Salih Ullmann
Carolin Etzler
Hüseyin Johann
Genoveva Löffler
Gertrude Lehmann-Kostolzin
Fatima Röhrdanz
Nelly Schlosser
Georgine Schinke
