Student
Helge Schuchhardt
Tilman Henschel
Elisa Mälzer
Waltrud Jockel B.Eng.
Heiner Ruppersberger-Hentschel
Gisela Hornich-Metz
Frau Danica Davids B.A.
Hansjoachim Kraus-Beer
Antonia Köster B.A.
Univ.Prof. Hinrich Eberth
Annelene Möchlichen-Weiß
Monica Drub-Davids
Ingried Hänel
Sigurd Höfig B.Sc.
Attila Losekann B.Sc.
Stavros Hoffmann
Dan Scheuermann
Isa Weihmann
Dipl.-Ing. Sylke Gute B.A.
Reimar Trüb
Deborah Becker
Bernhardine Wilmsen
Dr. Slawomir Hande
Sarina Dobes
Univ.Prof. Viktoria Seifert
Damian Dörr
Dr. Franco Wilms
Dr. Semra Schulz
Diana Jessel-Geißler
Dr. Vitus Franke
Marianna Karge
Hans-Christian Trüb
Cläre Heser
Lydia Schenk
Michaela Sontag-Dörr
Prof. Reimar Reinhardt MBA.
Hanife Täsche-Stiffel
Kunigunda Reising
Frau Rosalinde Riehl
Ludger Stiffel
Claire Rogner-Scheel
Alina Schmiedecke
Nikolai Mohaupt
Herr Hendrik Fritsch B.Eng.
Ann Stumpf
Ladislaus Stadelmann
Dipl.-Ing. Halina Bender B.A.
Dragan Trub
Moritz Roht
Burkhardt Jäntsch B.A.
Siegried Caspar B.A.
Undine Scheibe-Stey
Mariechen Scholl
Univ.Prof. Ferenc Knappe B.Sc.
Berthold Jäntsch-Jessel
Adem Mühle-Ruppert
Kathi Häring
Univ.Prof. Immo Mangold
Liliane Gröttner-Albers
Ing. Cläre Dowerg
Timo Spieß
Helma Hänel B.A.
Hiltrud Bolander-Ziegert
Irmtrud Schaaf-Jacobi Jäckel
Frau Friederike Albers
Klaudia Seidel
Ing. Elsa Liebelt
Gerhart Davids B.A.
Judith Gerlach
Herr Gunther Flantz
Prof. Juliane Henck MBA.
Judith Hering B.A.
Univ.Prof. Annegrete Holt
Harro Vogt-Gieß
Dipl.-Ing. Mariana Mohaupt B.Sc.
Jutta Franke-Rosenow
Cemal Budig-Holt
Prof. Natalja Käster MBA.
Frau Zdenka Zimmer
Kristian Ritter
Ing. Pawel Rörricht
Almut Rogge
Apollonia Heß B.A.
Marek Schenk B.A.
Frau Clarissa Rosenow B.A.
Antje Kambs
René Rose-Krebs
Raissa Gehringer-Putz
Hans-Bernd Kabus
Egbert Tschentscher
Gereon Wende MBA.
Ing. Catrin Dippel MBA.
Ing. Eleonora Holzapfel
Brian van der Dussen
Heinz-Günter Weimer B.Sc.
Agathe Söding
Dipl.-Ing. Hildegunde Bachmann
Birthe Trommler
Priska Rädel
Tillmann Mude
Hans-Herbert Eckbauer
Ing. Jeanette Rosemann B.Eng.
Herr Karl Dippel B.A.
Natascha Gotthard
Carina Kusch
Janus Oderwald-auch Schlauchin
Dipl.-Ing. Nikolaus Conradi MBA.
Conny Metz
Oliver Biggen
Univ.Prof. Reinhilde Cichorius B.A.
Cindy Meyer
Ekaterina Wieloch
Univ.Prof. Luisa Scholz B.Eng.
Gundula Adler-Bien
Meike Berger
Elke Hiller
Desiree Wulf-Jüttner
Valentin Steuer-Mans
Birte Gröttner MBA.
Adina Söding
Aleksander Klapp-Sauer
Prof. Gerda Barkholz MBA.
Heinz Dieter Barkholz
Univ.Prof. Cynthia Löwer
Luigi Hartung
Frau Hildegunde Koch II
Univ.Prof. Undine Jungfer
Peter Sontag
Frau Ingried Rogner B.Sc.
Alla Weihmann
Reinhart Jopich
Justus Schüler MBA.
Prof. Emine Wulf B.Eng.
Victor Fritsch B.Eng.
Birgid Freudenberger
Inge Dietz B.A.
Ing. Mahmoud Becker
Cäcilie Schmidt
Dr. Elif Peukert B.Eng.
Kathrin Beckmann-Heinz
Horst-Peter Riehl
Günter Rudolph B.Eng.
Eveline Wagenknecht
Stefani Caspar
Simone Jacobi Jäckel B.A.
Siegmar Mies-Baum
Mirco Girschner
Florence Davids
Ing. Agnes Zobel
Prof. Clarissa Barth
Senta Renner
Hans-Willi Ladeck
Karla Wirth
Prof. Gerd Schenk
Janus Weitzel-Koch
Aneta Schlosser-Köster
Frau Suse Zorbach
Dipl.-Ing. Adriana Geißler
Ulf Dörschner
Ing. Walli Bolander MBA.
Dimitrios Kraushaar-Adolph
Univ.Prof. Fatima Hiller B.A.
Elli Meister
Gerlind Trüb-Losekann
Luigi Junitz
Univ.Prof. Tabea Dörschner MBA.
Erna Kensy-Bähr
Dr. Antonia Schomber B.Sc.
James Nohlmans
Hans-Detlef Kobelt
Frau Camilla Kruschwitz
Cindy Schleich
Rolf-Peter Reising B.Sc.
Marie-Therese Schleich
Raisa Stey-Sauer
Ing. Siegmund Hertrampf MBA.
Dipl.-Ing. Hanns Nette
Marek Walter MBA.
Elli Kohl
Fredo Bärer
Henni Wagenknecht B.Sc.
Maren Bachmann-Stumpf
Frank-Peter Weimer
Univ.Prof. Anny Stolze
Irmengard Sauer
Wiltrud Christoph
Ing. Alexandros Vogt MBA.
Johann Baum
Frau Mareile Birnbaum
Dr. Ruth Dobes
Irmela Höfig B.Sc.
Torben Roskoth-Wilmsen
Osman Schäfer
Friedericke Killer B.Eng.
Karl-Dieter Segebahn-Köster
Gerard Förster
Nils Hermighausen
Herr Oliver Pechel
Univ.Prof. Till Vogt MBA.
Mirja Bähr
Dr. Editha Rohleder
Dipl.-Ing. Birgitta Boucsein
Anett Bien-Schuster
Inka Meyer
Univ.Prof. Elfriede Rohleder
Ing. Elenore Kostolzin
Agathe Jäntsch-Käster
Prof. Heinz-Joachim Seidel
Sabrina Kohl
Francisco Harloff
Bianka Scheuermann
Prof. Denis Segebahn MBA.
Carolin Stumpf B.Eng.
Univ.Prof. Hugo Martin
Annaliese Gerlach
Ing. Birte Heidrich B.Eng.
Univ.Prof. Reginald Lorch
Wolf-Rüdiger Börner
Univ.Prof. Norma Schleich B.Sc.
Ing. Anneli Nerger
Priska Wende
Sükrü Walter B.Eng.
Sofia Etzler B.Eng.
Urs Matthäi
Celal Seifert
Klara Schlosser
Sonja Löchel
Kunigunda Hamann-Hermighausen
Kathi Hering
Jeannine Heinz-Tlustek
Siegrun Reinhardt
Lilly Beckmann B.Sc.
Ilija Hofmann
Jiri Förster
Luciano Tintzmann
Regina Becker
Marit Eberth
Univ.Prof. Hans-Rudolf Wohlgemut
Wolf Stadelmann
Univ.Prof. Hans-Albert Ruppert
Dipl.-Ing. Patricia Werner B.Sc.
Zbigniew Boucsein
Svetlana Schenk-Barth
Dr. Aribert Sontag
Heinz-Willi Geisel
Anne-Katrin Rogge
Bertold Bloch-Beckmann
Karlheinz Stahr
Paula Stroh
Frau Margitta Staude
Kunigunda Zimmer
Gisela Girschner
Frau Ayten Pärtzelt MBA.
Dominik Naser B.A.
Denny Kusch
Ing. Leni Rosenow B.Eng.
Heide-Marie Koch II
Erdal Meyer B.A.
Gloria Bruder B.A.
Magnus Heidrich
Frau Dorothe Mielcarek
Prof. Woldemar Beier B.A.
Alois Römer-Becker
Alwine Sager
Augustin Carsten
Dipl.-Ing. Augusta Lachmann B.A.
Hansjürgen Säuberlich
Univ.Prof. Friedlinde Bien MBA.
Svetlana Bonbach B.A.
Babett Pruschke-Schäfer
Harriet Rohleder
Prof. Miguel Dowerg B.A.
Kunigunda Fischer
Herr Bruno Kreusel
Francesca Wieloch
Dipl.-Ing. Annelise Naser
Tino Wagenknecht B.Eng.
Frau Helena Nette
Herr Günther Krein MBA.
Hans-Willi Baum-Staude
Dipl.-Ing. Willibert Süßebier
Anny Dietz
Erhard Otto
Edmund Gnatz-Rogner
Sandy Haering
Lydia Wirth
Prof. Irmgard Mühle
Karl Zirme
Geza Hertrampf B.A.
Erik Trupp MBA.
Jo Gnatz
Renato Bolnbach
Prof. Folker Budig
Annemarie Wieloch
Dominik Jungfer
Laurenz Scholl
Dragica Kreusel
Engin Trub
Thorsten Adler B.Sc.
Bertha Barkholz
Mohammed Geißler
Oxana Ortmann MBA.
Ing. Helmuth Bruder
Georgios Neuschäfer
Inna Weinhage
Pirmin Reising
Stanislav Reuter
Helga Hövel MBA.
Stephen Heidrich
Herr Andrej Rose
Gertraut Koch II
Burkhardt Holt
Uta Karz
Dr. Hans-Hermann Rosemann B.A.
Ilja Krause
Herr Lukas Eimer
Emmerich Killer
Roland Putz
Sieglinde Stahr
Cäcilie Patberg
Annett Dehmel MBA.
Dipl.-Ing. Hülya Nerger
Marie Hoffmann B.Sc.
Dipl.-Ing. Petar Lübs
Margaretha Kohl B.Sc.
Polina Kostolzin
Tanja Renner B.Sc.
Gunnar Junk
Birgitta Schleich
Univ.Prof. Katharina Werner MBA.
Elmar Förster
Jose Tlustek B.Sc.
Luise Junk
Sylvester Hamann
Gereon Trapp
Ing. Giuseppe van der Dussen B.A.
Gertraud Tröst
Annelene Adolph B.A.
Anna-Luise Kraushaar
Rupert Kallert
Salvatore Tlustek
Dr. Marie-Theres Möchlichen B.A.
Marcus Finke
Ing. Irmtraud Wiek MBA.
Norbert Eimer
Ekkehard Holzapfel
Joachim Steuer
Kemal Heinz
Marion Wohlgemut B.A.
Elisa Noack-Seifert
Dr. Fatma Jacob MBA.
Anny Zirme
Hanna Speer
Ana Klapp MBA.
Dr. Uli Segebahn
Karl-Ernst Reuter
Florentine Bärer B.A.
Elfi Fröhlich-Löchel
Geza Beckmann
Kira Hartmann B.Sc.
Marten Wesack
Niko Geißler-Wirth
Dipl.-Ing. Heinz-Otto Jähn
Antje Drub
Frau Hildegart Etzler B.A.
Kornelius Heintze-Baum
Justus Aumann
Emine Tlustek B.Sc.
Friedericke Ring MBA.
Univ.Prof. Niklas Mohaupt MBA.
Arnim Bärer
Agathe Gertz-Butte
Gülsen Gutknecht
Camilla Kühnert MBA.
Yusuf Sontag
Dipl.-Ing. Bertram Gieß MBA.
Jasmina Heuser
Univ.Prof. Guido Carsten MBA.
Constantin Ziegert
Orhan Hecker-Heuser
Hanna Knappe
Geert Zänker
Univ.Prof. Meta Rädel
Gina Schmidtke
Sigrid Jockel
Marleen Austermühle-Tintzmann
Jolanta Nohlmans-Tschentscher
Roy Holt
Ronald Stiebitz
Herr Götz Süßebier
Gerd Wiek MBA.
Dipl.-Ing. Ekrem Thanel
Egbert Heintze
Ing. Berthold Rosenow
Hulda Neuschäfer B.A.
Christina Geisel-Hesse
Abraham Adler
Antonios Walter
Henny Vogt
Hugo Junken
Heimo Kuhl
Denny Salz
Aenne Mende B.Eng.
Dana Köster
Hellmuth Söding-Bonbach
Antonius Käster
Ing. Siglinde Bolzmann
Theresa Killer
Sylvia Schäfer
Ingelore Kobelt MBA.
Aloys Ruppert
Frithjof Gertz
Bernhardine Bender MBA.
Dr. Reimar Fiebig B.A.
Frank-Peter Ullmann
Prof. Meik Blümel B.Sc.
Heinz-Otto Geisler B.Sc.
Univ.Prof. Alexandros Junk
Tomislav Steckel
Prof. Heinz-Willi Lindau MBA.
Mandy Huhn B.A.
Fedor Roskoth B.A.
Harri Heuser
Juan Fechner
Florentine Eimer
Johanna Finke-Ehlert
Dr. Jurij Nohlmans B.A.
Luis Ackermann
Maurice Hübel
Edward Hering MBA.
Thies Rose
Prof. Hans-H. Zimmer
Friedemann Stoll
Sami Linke B.A.
Melita Schleich
Gitte Buchholz
Brita Kaul
Silvia Lübs
Philipp Ernst
Prof. Petar Köhler
Anneli Wernecke
Dipl.-Ing. Tina Wagenknecht MBA.
Balthasar Müller-Drub
Gerhart Stumpf
Luciano Klotz
Erika Pruschke
Prof. Freya Biggen B.Eng.
Katherina Hesse
Rene Rohleder
Margit Losekann
Frau Annegrete Junk B.A.
Rainer Gude-Kaul
Teresa Jessel
Carolina Ditschlerin
Dr. Burkard Bolzmann B.A.
Fadime Heidrich B.A.
Dagobert Sorgatz
Ing. Konstanze Schmidtke MBA.
Corina Pergande
Gordana Budig B.A.
Jennifer Berger
Mary Reuter B.Sc.
Abram Eckbauer B.A.
Matthäus Striebitz-Zirme
Hans-Ulrich Liebelt-Hauffer
Dipl.-Ing. Utz Adler B.A.
Prof. Danny Bähr B.Eng.
Gino Hövel B.Sc.
Univ.Prof. Alexa Junitz B.Eng.
Konstantinos Linke B.Eng.
Abram Briemer
Grzegorz Mende B.A.
Mechtild Patberg
Slawomir Tlustek B.A.
Dr. Elfie Tintzmann
Raphaela Eckbauer
Brian Hölzenbecher
Ing. Alexander Mude
Rosina Ditschlerin-Ortmann
Almuth Rosenow-Schönland
Regina Fliegner
Justus Schleich-Drewes
Danilo Ladeck-Köhler
Univ.Prof. Gottlieb Steuer B.A.
Dr. Saban Hoffmann B.Eng.
Prof. Sylvester Bender
Iwan Renner-Dussen van
Isa Kramer-Matthäi
Arnulf Heidrich
Gisa Mohaupt
Kreszentia Pölitz-Karge
Michael Mies B.Sc.
Univ.Prof. Romuald Hermighausen
Herr Edmund Hesse
Peter-Michael Spieß
Raimund Gieß
Waltrud Gumprich
Leonardo Klingelhöfer B.Sc.
Prof. Roy Blümel
Frau Eleni Ziegert B.Sc.
Univ.Prof. Manuela Heinrich
Reimar Pohl
Herr Augustin Karge B.Eng.
Fabienne Matthäi-Heß
Alexandre Caspar
Univ.Prof. Bela Kraus
Burckhard Heuser
Univ.Prof. Antoinette Wende B.A.
Jan Döring B.A.
Ing. Heide Winkler
Dipl.-Ing. Babette Bauer B.Sc.
Marcel Schlosser
Vera Scholl
Rosi Renner-Graf
Dipl.-Ing. Enver Drubin
Fredo Paffrath-Kohl
Klemens Knappe
Univ.Prof. Polina Schmidt B.Eng.
Hildegunde Geißler-Klemm
Heinz-Otto Hermighausen
Hermann Josef Junck
Wladimir Rogge
Dorle Zirme
Frau Mia Kaul MBA.
Prof. Sandy Butte
Anne-Katrin Butte MBA.
Univ.Prof. Diethard Klotz
Dierk Steinberg
Univ.Prof. Antonina Becker
Walfried Klotz-Klotz
Univ.Prof. Nurten Neuschäfer MBA.
Miriam Haering
Ivonne Lachmann
Ing. Felicia Dörschner B.Sc.
Genoveva Hofmann
Walli Gnatz
Aenne Hübel-Mühle
Judith Meyer
Vinko Kraus-Schmiedt
Sibille Liebelt
Marek Adler
Bernhardine Mangold
Hildburg Dowerg-Pergande
Marzena Mentzel
Raymond Löchel-Ziegert
Valerie Mangold
Nikolai Stiebitz
Birthe Graf
Herr Osman Gerlach B.Sc.
Univ.Prof. Kreszenz Wulf B.A.
Irmi Gute
Jessica Kohl
Pirmin Wulf B.Sc.
Ignaz Warmer
Luzie Sager-Gierschner
Harold Scheibe
Desiree Ruppert
Herr Benedikt Säuberlich
Dr. Irmgard Plath B.A.
Dr. Jochen Schäfer
Frau Jane Sauer
Aloys Barkholz
Arne Knappe
Simone Harloff B.Eng.
Dr. Robert Neuschäfer
Prof. Angelique Seidel MBA.
Robert Etzold
Ing. Justus Binner
Magdalene Hering MBA.
Hajo Ziegert-Noack
Prof. Hans-Gerhard Reinhardt B.Eng.
Univ.Prof. Diedrich Köhler B.A.
Tibor Köhler-Schönland
Ottilie Gute
Carin Atzler
Inken Gorlitz
Ing. Pius Börner
Damian Jopich B.A.
Joachim Höfig
Eckard Dehmel MBA.
Heidelore Heinrich
Bruno Hesse
Hanna Jäntsch MBA.
Janin Hamann
Ulrike Rädel B.Eng.
Karlfried Franke
Angelika Rosemann
Stjepan Wesack-Winkler
Jacqueline Hofmann
Juergen Beier B.A.
Victoria Hiller
André Kroker
Annelore Juncken
Miroslawa Jäkel-Bohnbach
Gusti Schleich
Philipp Walter-Löffler
Diether Blümel
Ignaz Löwer
Sedat Matthäi
Emanuel Schinke B.Sc.
Murat Linke
Herr Jonathan Beckmann B.A.
Herta Weitzel
Stephen Reichmann
Slavko Schüler B.Eng.
Herr Janus Matthäi B.Sc.
Dorina Weinhage
Dr. Myriam Häring
Johann Beer
Sebastian Vogt
Juan Noack
Natalie Neureuther
Horst-Peter Faust
Dogan Bolander
Magarete Beyer B.Eng.
Dipl.-Ing. Hans-Gerhard Schleich
Ing. Edeltraud Zirme
Antonino Klingelhöfer
Wilfried Radisch
Herr Leonid Fröhlich B.Eng.
Margarete Kabus
Lene Hermann-Kaul
Resi Ullmann
Lidija Pärtzelt
Enver Börner MBA.
Rico Putz-Killer
Jacek Klemt
Mirco Barth
Ing. Knut Christoph
Karlheinz Martin
Stavros Vollbrecht-Geißler
Jonas Albers
Mechthild Finke
Alfredo Bolzmann B.A.
Elfi Bolander
Dr. Denise Girschner B.Sc.
Dipl.-Ing. Jaroslav Henk
Miroslawa Rose
Bayram Cichorius-Zobel
Adelinde Geisler
Hilmar Graf
Willy Trub-Freudenberger
Univ.Prof. Hans-Peter Schmidt MBA.
Egbert Bender
Lina Hörle
Prof. Reza Ebert B.Eng.
Lissi Rust-Metz
Gabi Heinz
Henner Schweitzer
Celal Hettner MBA.
Dr. Stefania Gnatz
Dr. Sybille Bärer B.Sc.
Kreszenz Ruppert-Dobes
Karl-Ludwig Bolnbach
Adriana Vogt
Lidwina Sorgatz-Weihmann
Kevin Tlustek-Heinz
Giuseppe Trupp
Prof. Volkmar Heuser
Prof. Pedro Schmidt B.Eng.
Almuth Haase
André Kraushaar-Henck
Urban Klemt
Sören Spieß
Natalia Hauffer
Isidor Atzler
Janusz Eberhardt MBA.
Univ.Prof. Gunda Höfig
Claire Faust B.A.
Wally Wähner
Ulrike Ackermann B.Sc.
Prof. Ullrich Rosenow B.A.
Jochen Säuberlich
Käthe Langern-Jacob
Annerose Eckbauer
Ellen Hahn-Spieß
Marie-Theres Trupp
Freia Kraushaar B.A.
Ehrenfried Drubin-Paffrath
Holger Gröttner B.Eng.
Sofie Reichmann
Ottilie auch Schlauchin B.Eng.
Jens Löchel
Herr Hartwig Henk B.A.
Herr Gordon Heintze B.Eng.
Maja Fischer B.A.
Folker Fischer
Ulrike Misicher MBA.
H.-Dieter Gerlach
Cindy Stahr
Frau Evelyne Süßebier B.Eng.
Sina Barkholz
Frau Gertrud Jüttner
Galina Kraus-Hermighausen
Carmelo Weinhold
Radmila Kraus-Schacht
Klaus-Dieter Hecker
Domenico Nohlmans-Eberhardt
Annelise Schwital
Univ.Prof. Edelgard Naser B.A.
Univ.Prof. Josip Hartung
Marianne Ziegert-Werner
Reza Kusch
Frau Valentine Benthin
Susanne Etzold
Heidelore Pärtzelt MBA.
Antoinette Schottin
Hannchen Löwer B.Eng.
Sibel Hörle
Almut Trupp
Dagmar Dussen van
Gisa Gerlach
Stanislaw Misicher
Univ.Prof. Natalie Flantz
Kaspar Hänel
Gerda Stey
Ferdinand Junck-Hölzenbecher
Hans Josef Thanel
Janko Schulz-Becker
Irmi Zobel
Sybilla Eigenwillig
Gunnar Ernst
Ernst-August Gunpf
Friedhold Löwer-Ebert
Frau Ilka Pärtzelt B.Eng.
Ljiljana Stoll
Dr. Mario Lorch
Kata Atzler
Univ.Prof. Regina Salz B.Eng.
Gisa Dörr B.Eng.
Nurettin Dippel
Daniel Stiebitz
Rocco Trub
Jörgen Paffrath B.Sc.
Prof. Ulla Dussen van B.Sc.
Frau Katarina Lindner
Prof. Linda Beier
Hellmut Lindner
Ing. Margarethe Martin
Dr. Sandra Mangold B.Sc.
Hannelore Weinhold B.Sc.
Dipl.-Ing. Jiri Walter
Dr. Ottfried Lachmann B.Sc.
Bettina Schlosser
Dan Schönland MBA.
Marc Henck B.Eng.
Marijan Huhn
Elfi Wesack
Filippo Kostolzin
Elwira Wirth
Carsten Jüttner B.Eng.
Univ.Prof. Philip Kranz B.Sc.
Univ.Prof. Hans-Theo Kroker
Anthony Patberg
Dipl.-Ing. Margarete Schmidt
Irmtraut Noack
Gottfried Keudel MBA.
Ignaz Beer-Eckbauer
Prof. Marko Rohleder B.A.
Univ.Prof. Paul-Heinz Heinz
Ing. Hatice Gehringer
Ida Hendriks B.A.
Prof. Arif Mielcarek B.Eng.
Geza Weller
Sabine Gude
Veronique Hartung-Haering
Mareile Meister
Univ.Prof. Eugen Karz
Pauline Bolzmann
Prof. Karl-Heinz Ruppersberger
Hellmut Bruder
Univ.Prof. Heinrich Knappe B.A.
Goran Junck-Bauer
Gunhild Ullmann
Edgar Jüttner
Univ.Prof. Undine Becker MBA.
Tino Niemeier
Prof. Nuran Sauer B.Sc.
Univ.Prof. Gustav Sölzer
Univ.Prof. Nadja Jacob B.Eng.
Lydia Losekann MBA.
Marcella Ehlert
Ilka Heß
Kathi Wesack
Vassilios Kramer
Anastasia Mans
Isa Tlustek
Katerina Barkholz
Klaus-Peter Zorbach
Samuel Ackermann
Dr. Reinhart Hecker B.A.
Dipl.-Ing. Utz Henschel MBA.
Marie-Luise Rogner
Stavros Hentschel B.Eng.
Malte Schäfer
Reni Henk
Imre Sauer
Dr. Helma Kohl B.A.
Gitta Mohaupt
Prof. Liliana Klemm MBA.
Ruthild Schüler B.Eng.
Gudula Holzapfel
Ulrike Gierschner-Koch II
Ernst-Dieter Geisler B.Eng.
Inna Hande
Theresa Caspar
Klaus-D. Zänker-Hein
Benita Heser
Concetta Seifert
Wally Bien-Kraushaar
Dipl.-Ing. Magrit Junck
Prof. Mirko Adolph B.A.
Prof. Emine Beer
Karl-Ludwig Hoffmann
Georgia Bärer
Edeltraud Mülichen
Ing. Torsten Hartung B.Eng.
Eugenia Sorgatz
Univ.Prof. Aleksander Wiek B.A.
Swantje Binner B.A.
Ing. Kornelius Geisel B.Sc.
Dr. Semra Wagenknecht
Ing. Zlatko Gerlach
Reimer Scheel B.Eng.
Dr. Edelbert Wieloch MBA.
Dr. Nadeschda Wulf
Univ.Prof. Metin Martin B.Sc.
Catrin Hamann
Marliese Roht
Volkmar Hentschel
Janin Haase
Angelique Adler
Ing. Anton Gotthard MBA.
Frau Edeltraud Radisch B.A.
Ing. Nadeschda Tschentscher B.A.
Giorgio Trüb
Ole Ritter MBA.
Dina Koch
Guenter Wende
Univ.Prof. Franca Ritter B.Eng.
Albina Heinz
Philip Weller B.A.
Helmuth Wagner
Senta Hiller
Ing. Friedhold Hartung B.Sc.
Adelheid Salz
Hannelore Haase
Simona Lorch
Jessica Stumpf
Dr. Aziz Adolph MBA.
Ing. Konstantin Gerlach B.A.
Dariusz Rädel
Anatolij Jüttner-Bauer
Mariusz Stadelmann B.Sc.
Monja Mülichen
Wladimir Karge
Stephanie Heintze
Gislinde Wagenknecht
Frau Evelin Löffler
Dana Ebert B.A.
Prof. Oswald Ehlert MBA.
Edith Kostolzin
Gisa Hornig-Geißler
Henriette Ladeck
Joachim Löffler-Riehl
Ing. Hermine Warmer B.A.
Frau Patricia Gorlitz B.A.
Konstantin Eimer-Lehmann
Dr. Meinhard Hiller
Dipl.-Ing. Emmy Börner
Eckehard Wernecke
Hans Dieter Kallert
Herwig Jäntsch B.Sc.
Mariusz Stadelmann-Jähn
Irmtrud Schmiedt B.Sc.
Günter Wiek B.A.
George Käster-Eberth
Ramona Henk B.Sc.
Prof. Katarzyna Gehringer B.Eng.
Prof. Mathias Kambs
Luka Zorbach
Prof. Pascale Kruschwitz
Luzia Eckbauer
Heinrich Bohlander-Ullrich
Univ.Prof. Christoph Beier B.A.
Prof. Bela Noack
Prof. Gertraude Wohlgemut B.Eng.
Miroslav Paffrath
Mirja Wähner
Klaus-D. Sölzer
Univ.Prof. Margrit Davids B.Eng.
Julian Lehmann-Ortmann
Mahmut Hänel
Wieland Hethur
Lilly Naser
Univ.Prof. Henryk Kostolzin
Anke Bähr
Dr. Mariusz Beckmann
Gretchen Eimer-Wilmsen
Kunigunda Hänel-Briemer
Marie-Therese Birnbaum
Heribert Römer-Lindau
Dipl.-Ing. Janet Ruppersberger
Traudl Gierschner
Ilonka Zimmer
Dr. Caroline Ortmann
Jörg Haase-Röhricht
Christian Jacobi Jäckel
Anto Niemeier
Irmtraut Ortmann MBA.
Prof. Felicitas Dörschner
Wenke Stolze
Margot Ullmann
Herr Falk Holzapfel
Witold Heintze
Vitali Neureuther
Sven Walter
Czeslaw Jäkel-Röhrdanz
Siegmar Pergande
Dr. Frank Oderwald MBA.
Heimo Knappe
Prof. Lutz Adolph
Arno Mude
Irene Stumpf
Karin Beckmann
Andree Budig B.Eng.
