Student
Susanna Schaaf
Birgid Drewes-Seifert
Alwine Wulf
Andrei Säuberlich
Falko Schüler
Mia Paffrath-Ortmann
Hans-Karl Bauer B.Eng.
Herr Dimitri Mohaupt B.A.
Herwig Krebs
Dorle Zirme
Elvira Cichorius
Regine Häring
Dr. Jacqueline Trubin B.Sc.
Ing. Tilman Kitzmann
Ing. Alberto Werner
Benita Holzapfel-Hecker
Frau Monique Löchel
Käthi Naser-Tlustek
Siegrid Bachmann-Schaaf
Korbinian Werner
Prof. Theda Hölzenbecher
Prof. Karl-Friedrich Geisler B.A.
Rene Bruder B.Eng.
Berndt Bähr
Anett Bien-Schuster
Gundula Vollbrecht
Evangelos Ring-Schmiedecke
Rouven Bloch B.A.
Henny Wulff
Dr. Edelgard Sauer B.Sc.
Brian Ditschlerin
Dr. Jorge Kambs B.A.
Anika Sager
Hubertus Dörschner
Dr. Edith Ring B.Sc.
Theodoros Vollbrecht-Gutknecht
Mirella Löchel
Annett Dehmel MBA.
Natalie Carsten B.A.
Siegfried Knappe
Prof. Joanna Kreusel
Evangelia Gierschner
Christos Gumprich
Harm Hein
Karen Rädel
Thorben Henk-Mende
Prof. Emil Kruschwitz
Tomasz Preiß
Robert Budig-Ullmann
Caroline Haering MBA.
Cecilia Eigenwillig
Janko Rose
Univ.Prof. Sybilla Gehringer
Jan Freudenberger
Marian Vollbrecht MBA.
Nermin Martin
Oliver Schwital
Marjan Segebahn B.Eng.
Marcella Höfig
Ing. Meinhard Schweitzer
Hans-Bernd Eimer-Pechel
Willy Kallert
Josef Berger
Zoran Oestrovsky
Kornelius Fröhlich B.Sc.
Ing. Kornelius Geisel B.Sc.
Prof. Conny Klingelhöfer B.Eng.
Carl Scheibe
Isa Weihmann
Dr. Wanda Dippel
Wieslaw Lachmann
Isa Koch
Anica Ortmann B.A.
Hans-Michael Krein-Wernecke
Dipl.-Ing. Mara Otto B.Sc.
Prof. Hans Dieter Kitzmann MBA.
Tadeusz Weller
Herr Ronald Reising B.Sc.
Frau Alwina Bohnbach B.Eng.
Christiane Mentzel
Nicolaus Seifert B.A.
Univ.Prof. Anna-Luise Faust
Stavros Hoffmann
Niels Faust
Swetlana Jessel
Frau Eleni Ziegert B.Sc.
Steven Weinhold B.A.
Monique Ullmann MBA.
Telse Rudolph
Prof. Vadim Stroh
Sebastian Warmer
Prof. Patrik Scheel
Adina Söding
Herr Wladimir Bolnbach
Rainer Gunpf B.Eng.
Wally Krein-Bien
Ing. Adalbert Heser
Elsbeth Schmiedecke-Wulf
Folker Otto MBA.
Ing. Dorothee Harloff B.Sc.
Dr. Jochem Trapp MBA.
Concetta Karge
Dr. Annett Siering
Univ.Prof. Alexandros Junk
Dipl.-Ing. Julian Mühle
Dipl.-Ing. Friedrich Hiller B.Eng.
Guntram Scholz MBA.
Kristian Rosemann B.Sc.
Ute Conradi-Trüb
Hans-J. Hahn-Süßebier
Daria Liebelt
Diethelm Hofmann
Birger Klapp
Maren Roht
Maurice Steckel
Centa Kaul
Raisa Stey-Sauer
Prof. Kordula Vollbrecht B.A.
Lilo Hartung
Dimitrios Kraushaar-Adolph
Hildegunde Wende-Spieß
Dipl.-Ing. Liliana Hartmann
Emmy Koch
Gino Hövel B.Sc.
Hannah Stiffel-Börner
Antonius Pärtzelt-Jüttner
Andreas Metz
Edit Dowerg
Dipl.-Ing. Lidija Pölitz
Heinz-Günter Fischer
Regina Fliegner
Prof. Eckhart Jockel B.Eng.
Diedrich Lachmann-Oestrovsky
Benno Kraushaar
Ing. Ahmet Häring
Ing. Helene Jähn B.Eng.
Madeleine Hartung
Dorota Wilms
Dr. Ute Schuchhardt
Czeslaw Jäkel-Röhrdanz
Gordana Budig B.A.
Dusan Conradi-Rogner
Knud Trommler
Dr. Peer Schwital MBA.
Melitta Salz
Carina Schaaf
Carola Franke
Jasmina Bolzmann-Hövel
Prof. Falko Trapp B.Eng.
Bogdan Löffler
Grete Peukert
Prof. Sonia Blümel
Annekatrin Wilms
Stavros Vollbrecht-Geißler
Prof. Nikolaos Steinberg B.Sc.
Dipl.-Ing. Patric Fröhlich
Edit Siering
Arne Knappe
Sergej Pärtzelt
Gertrude Kostolzin MBA.
Ramon Jäntsch-Gertz
Marten Möchlichen
Baldur Käster B.A.
Sergei Ritter
Dr. Mohammed Höfig
Edgar Jüttner
Dr. Dora Fischer
Univ.Prof. Suzanne Paffrath
Wally Anders B.Eng.
Univ.Prof. Mirella Peukert
Rainer Hänel
Hans-J. Wohlgemut
Maya Lindner-Zimmer
Stjepan Wesack-Winkler
Dr. Annaliese Lindner
Herr Tony Lindner
Kunigunda Heser
Gert Juncken
Augustin Ernst
Hagen Girschner
Dariusz Wirth
Felizitas Werner
Hanife Thies
Ria Koch II
Helge Pohl
Marlies Mude
Dr. Lisa Kusch
Norman Ditschlerin MBA.
Tilmann Geisler
Prof. Pascale Kruschwitz
Johann Baum
Pius Gierschner-Weitzel
Prof. Sibel Mälzer MBA.
Gaetano Lübs
Jaqueline Weitzel-Pölitz
Gerda Schleich
Christos Ruppert B.A.
Antonie Heser B.Sc.
Prof. Maria-Theresia Schaaf B.A.
Wolf Martin
Emmy Trub MBA.
Dörte Nette
Heinz-Jürgen Hesse
Evelin Wagenknecht-Döhn
Hildegard Roht B.Sc.
Arnfried Lorch B.A.
Wanda Vollbrecht-Reinhardt
Prof. Knud Salz
Alwine Sager
Gunter Beyer
Lydia Losekann MBA.
Giuseppe Preiß
Hajo Thies
Magdalene Mude
Marlene Heuser-Trub
Dr. Achim Barth
Gabriel Werner
Dipl.-Ing. Bernhardine Heß
Herr Günther Krein MBA.
Claas Wirth B.Sc.
Ryszard Lehmann
Klaudia Löffler-Zorbach
Frau Stefani Hendriks B.A.
Geza Beckmann
Tülay Gnatz-Sorgatz
Rainer Gude-Kaul
Elsa Preiß
Univ.Prof. Alexa Junitz B.Eng.
Urszula Fliegner
Willibald Ziegert-Siering
Rosalia Heydrich
Gerwin Bonbach-Fliegner
Dr. Anto Wende
Theodor Niemeier
Dipl.-Ing. Margarete Schmidt
Meta Eigenwillig
Amanda Weller
Adam Gertz
Gisa Mohaupt
Katja Kruschwitz-Roskoth
Vera Scholl
Natali Patberg B.A.
Katharina Krause-Hornig
Herr Rudi Neuschäfer
Hans-Bernd Zobel
Monika Krein B.Eng.
Klothilde Zänker
Dipl.-Ing. Danuta Stumpf B.Eng.
Dr. Natascha Trüb
Kathi Hering
Heinz-Günter Schuster
Ronny Dippel
Mary Reuter B.Sc.
Alicja Sorgatz
Marga Scholz
Prof. Sepp Blümel
Herr Sigismund Gieß MBA.
Gaetano Köhler
Ingried Hauffer-Lübs
Susi Schuchhardt
Ekkehart Kreusel
Univ.Prof. Gottlieb Steuer B.A.
Gerda Gröttner B.Sc.
Vadim Bender B.A.
Francisco Harloff
Bastian Röhrdanz
Miriam van der Dussen
Dipl.-Ing. Lara Tlustek
Dipl.-Ing. Berend Niemeier
Vitali Neureuther
Magdalene Patberg-Mosemann
Hans-Günther Wilmsen
Irmtraud Ladeck
Arzu Kuhl
Marius Klotz
Frau Helena Nette
Univ.Prof. Hans-Rudolf Wohlgemut
Elias Langern
Wally Schmidt
Univ.Prof. Helmut Junitz B.Eng.
Ing. Marlene Wirth B.Sc.
Siegbert Seifert
Magret Oderwald
Dino Martin
Univ.Prof. Franca Ritter B.Eng.
Univ.Prof. Kata Zahn
Detlef Köster
Franz-Peter Benthin-Reichmann
Janko Stey MBA.
Wiltrud Wilmsen-Graf
Elena Gotthard
Hans-Georg Scholz
Kilian Patberg
Alexej Wagner
Frau Änne Gunpf B.Sc.
Prof. Denis Segebahn MBA.
Dr. Samuel Dobes B.Sc.
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Hellmut Nerger
Ing. Justina Beckmann
Dr. Evangelia Killer B.Sc.
Hansgeorg Beier-Freudenberger
Ing. Alla Schottin B.A.
Erna Kensy-Bähr
Jens-Uwe Käster
Henriette Sager
Inka Meyer
Gisa Atzler
Hermine Franke B.Eng.
Univ.Prof. German Rörricht
Friederike Geisler
Gerd Beckmann-Gnatz
Univ.Prof. Beatrix Roskoth
Hanno Hölzenbecher B.Sc.
Elif Wohlgemut
Reinhart Becker
Larissa Mangold
Dr. Krista Jäkel B.A.
Hanni Wieloch
Dr. Hans-Hermann Rosemann B.A.
Dr. Leonie Köster
Sonia Gorlitz-Mude
Riza Heydrich
Pamela Mies B.Eng.
Adolfine Wilms
Ing. Elenore Kostolzin
Gert Nette
Klaudia Seidel
Natali Löffler
Wenzel Drubin
Pauline Mosemann
Norbert Eimer
Sara Johann
Cosima Johann
Alois Werner
Hannes Meyer
Ing. Brunhilde Albers
Andre Stroh
Ladislaus Killer
Dipl.-Ing. Ingbert Krebs B.Eng.
Karl-Otto Winkler B.Eng.
Dr. Cengiz Säuberlich
Ing. Dietlind Gieß
Ewa Eimer-Linke
Insa Bloch B.A.
Edda Salz
Suse Pergande-Gröttner
Emine Lübs
Aenne Mende B.Eng.
Pirmin Reising
Heide Knappe
Ilja Krause
Ioannis Klemt
Mariusz Baum
Cora Stumpf-Gunpf
Brian Blümel B.Eng.
Dr. Alma Warmer MBA.
Nurettin Dippel
Ing. Augustin Budig B.Eng.
Hilmar Spieß
Celal Mühle
Kordula Dobes-Buchholz
Günter Rudolph B.Eng.
Melita Schleich
Nina Ladeck
Gino Ernst
Oxana Lübs
Ilka Heß
Katharina Etzler
Ehrhard Pruschke
Dr. Gerd Fechner
Leni Wohlgemut-Ruppersberger
Elzbieta Hartung
Luciano Tintzmann
Berthold Naser
Stanislaus Geißler
Kornelia Bachmann
Agnieszka Steckel
Prof. Cilli Wulf
Martin Pechel-Freudenberger
Univ.Prof. Ferenc Knappe B.Sc.
Abbas Täsche
Carlo Bohlander
Patricia Wiek
Jörn Barth-Möchlichen
Ing. Vesna Kroker B.Eng.
Elke Haase
Ulrike Gierschner-Koch II
Prof. Clemens Söding
Woldemar Heinz
Veronique Hartung-Haering
Wilhelm Klemm B.A.
Univ.Prof. Cord Becker
Mirja Wähner
Bartholomäus Trapp
Ludwina Mohaupt
Ing. Therese Rust
Brian Hölzenbecher
Mariusz Wilmsen B.A.
Sergej Hauffer MBA.
Frau Julie Gunpf
Univ.Prof. Dorle Röhrdanz B.A.
Annamaria Scholtz
Kristian Anders B.Sc.
Vassilios Kramer
Maximilian Juncken
Frederike Stoll
Dagobert Sorgatz
Damian Söding
Adem Schleich
Jasmina Rädel
Geraldine Eckbauer
Ralf-Dieter Kroker
Maria Hellwig
Klaus-Ulrich Tlustek-Förster
Birgitta Schleich
Dr. Gerhart Käster
Theo Neuschäfer
Dipl.-Ing. Virginia Käster
Christl Wähner
Frauke Staude
Prof. Marius Herrmann
Erika Pruschke
Marek Schenk B.A.
Murat Förster
Irmengard Röhrdanz
Beatrix Scheibe B.Sc.
Sigrun Weinhold
Stilla Dobes
Lorenz Schwital-Stadelmann
Antonios Schönland
Univ.Prof. Ioannis Lübs B.Eng.
Leopold Rörricht
Horst-Peter Thies
Univ.Prof. Leszek Gieß B.Eng.
Frauke Stadelmann
Daniele Pieper-Käster
Herr Tino van der Dussen MBA.
Lina Hörle
Gertraude Hahn
Sandra Hornig
Dipl.-Ing. Janus Roht B.Sc.
Julia Ruppersberger
Rolf-Dieter Jacobi Jäckel-Nerger
Antje Kambs
Laura Beier
Attila Atzler
Dr. Elif Peukert B.Eng.
Raimund Hande
Svetlana Schenk-Barth
Herrmann Holt-Lindner
Ing. Boris Junck MBA.
Uli Wohlgemut-Stadelmann
Jolanda Henck
Rosalia Johann
Nada Girschner
Dr. Lisa Stroh B.Sc.
Dr. Ferdinand Pölitz
Carolin Stumpf B.Eng.
Dr. Ehrhard Gieß B.Sc.
Roswita Atzler
Roman Hauffer
Angelique Wesack B.Eng.
Gilbert Bolnbach
Susanna Söding
Dr. Lilija Butte B.A.
Mona Söding
Alla Rohleder
Gilbert Steuer-Rosemann
Ing. Annekatrin Heß
Ismet Kroker
Prof. Mathilde Segebahn MBA.
Suzanne Holzapfel
Aneta Kambs
Uschi Keudel
Danielle Drubin
Univ.Prof. Athanasios Drub B.Sc.
Rose Henschel
Ariane Löchel
Konstanze Mühle
Britta Nerger B.Eng.
Karlheinz Martin
Silvia Weiß
Philipp Killer B.A.
Christos Bolander
Cord Mende B.Eng.
Arif Pergande-Wagenknecht
Bernhardine Pechel
Susanna Weitzel
Irmi Jüttner
Nadin Hertrampf-Killer
Angelique Speer B.A.
Vera Losekann
Carin Mohaupt-Heser
Gunnar Junk
Malte Kallert-Möchlichen
Dr. Saban Hoffmann B.Eng.
Cetin Heidrich
Gunhild Stroh-Jacob
Leszek Hentschel
Ing. Andrew Nerger
Uli Stolze MBA.
Leonore Jäkel
Silvester Scheibe
Gisela Schwital-Scheel
Gert Hölzenbecher B.Sc.
Ottilie Scheel
Maren Heser-Kreusel
Ing. Thekla Beyer B.Sc.
Olga Albers B.Sc.
Dr. Gerard Reichmann MBA.
Eckhard Lindau B.A.
Rosita Wiek
Anneliese Wähner
Miguel Gehringer-Reising
Kevin Etzler
Dipl.-Ing. Aleksandra Wagner MBA.
Lars Ullrich
Liliana Zorbach MBA.
Benjamin Lübs
Dominik Jungfer
Luciano Aumann
Univ.Prof. Heidelinde Jopich B.Sc.
Gaby Noack
Herr Louis Hövel
Anastasios Kuhl
Felicia Flantz-Lehmann
Alexandre Caspar
Kay-Uwe Trommler
Ditmar Pölitz B.A.
Senta Ruppersberger
Erica Schlosser
Karl-Heinrich Schüler
Felix Hölzenbecher B.A.
Wibke Tschentscher-Wulf
Sören Spieß
Nurettin Bärer B.Eng.
Constanze Fechner-Dörr
Ingetraud Freudenberger
Mariele Peukert
Lothar Ladeck
Urban Klemt
Mercedes Christoph
Ing. Damaris Bonbach
Maurizio Hartmann
Franka Weinhold
Frau Kunigunda Schaaf B.A.
Luzie Schäfer
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Alessandro Werner
Dipl.-Ing. Waltraut Kallert
Dipl.-Ing. Rudi Wiek B.Eng.
Dipl.-Ing. Lotte Austermühle B.A.
Kristian Meyer
Univ.Prof. Helge Pieper
Antonios Walter
Lea Heuser
John Gunpf B.Sc.
Dipl.-Ing. Lucia Renner B.A.
Herr Muzaffer Schäfer
Cindy Stahr
Dr. Marija Stiebitz
Herr Hans-Ludwig Steinberg
Hansgeorg Klotz
Ludmila Patberg
Viola Oderwald B.A.
Sina Wulff-Dussen van
Arno Mude
Friedlinde Schenk-Wulff
Wencke Heinrich
Malte Davids
Irmi Täsche B.A.
Wencke Salz
Georgine Schinke
Prof. Gertraude Wohlgemut B.Eng.
Gerwin Salz
Antonina Christoph MBA.
Hans-Günther Kohl B.Eng.
Alessandro Krause
Ralph Binner-Römer
Leokadia Herrmann
Joanna Christoph
Ulla Süßebier
Gitte Buchholz
Karl-Dieter Seifert
Nicolai Gutknecht
Anne-Kathrin Bachmann
Jonas Christoph B.Eng.
Drago Täsche
Ing. Gabriela Dippel MBA.
Rudolph Etzold
Ing. Danica Gieß MBA.
Micha Röhricht B.A.
Dipl.-Ing. Margaretha Köhler B.Eng.
Claus Heser B.Sc.
Anneli Neuschäfer
Ing. Isabell Hartmann MBA.
Emma Briemer
Hans-Jochen Stolze
Oscar Reinhardt B.A.
Konstantin Knappe
Zenon Pärtzelt
Dipl.-Ing. Jan-Peter Mende MBA.
Irmtraut Haase-Hendriks
Ing. Helmuth Bruder
Andre Schinke
Prof. Olga Steckel B.A.
Antonie Ladeck
Janko Schulz-Becker
Murat Linke
Ing. Madlen Beier B.A.
Herr Aleksandr Wiek B.Sc.
Univ.Prof. Aysel Lindau
Prof. Oswald Ehlert MBA.
Sofie Schmiedecke
Lothar Beckmann
Nico Hartung-Linke
Herr Mahmoud Schleich B.Sc.
Ingo Löffler
Ing. Baldur Blümel MBA.
Elvira Mälzer
Desiree Wulf-Jüttner
Mohamed Heydrich
Marie-Luise Staude-Käster
Dr. Agathe Jähn B.A.
Natalie Bender MBA.
Mariusz Hartung
Dursun Mies
Friedo Ritter
Aziz Anders
Marek Hesse B.Eng.
Christof Ditschlerin
Judith Meyer
Anneke Nohlmans
Annekatrin Trupp
Gernot Hornich B.A.
Hans-Detlef Matthäi
Hüseyin Wulf-Schmidt
Evangelia Stumpf-Ruppersberger
Ing. Berthold Rosenow
Maike Bolnbach
Luka Binner
Elisabet Preiß-Thanel
Ludwina Fritsch
Mariola Gnatz
Monique Schleich-Kroker
Songül Tschentscher
Ing. Herwig Drub MBA.
Dorota Sorgatz B.A.
Frau Ingried Rogner B.Sc.
Ing. Carolin Faust B.A.
Prof. Tilmann Franke B.Sc.
Ansgar Tlustek MBA.
Luka Weimer-Beyer
Elizabeth Vollbrecht
Janos Kobelt-Henck
Victor Seifert
Univ.Prof. Marita Pohl
Hans-Karl Christoph-Schleich
Gerhild Löffler
Miroslav Krein
Emma Blümel
Dr. Rolf Walter
Prof. Susanne Heidrich B.Eng.
Auguste Buchholz B.Sc.
Alois Römer-Becker
Univ.Prof. Ayten Lorch
Prof. Tina Ullrich
Dipl.-Ing. Regine Renner
Ilse Krebs
Agnes Vollbrecht
Emilia Scheel
Sandy Haering
Gisbert Christoph
Prof. Heinz-Willi Hertrampf
Fabienne Dobes-Heuser
Natalija Haering
Vassilios Davids
Karl-Wilhelm Weiß
Marek Walter MBA.
Giesela Dowerg
Ing. Bernfried Haering
Tassilo Gehringer
Ing. August Hellwig B.Eng.
Amelie Pruschke MBA.
Mattias Kruschwitz
Ing. Christina Beckmann B.Eng.
Semra Fiebig
Dr. Denise Girschner B.Sc.
Olav Thies
Gregor Buchholz
Hakan Kühnert
Prof. Linus Kambs B.A.
Anna-Maria Holzapfel
Pascale Bruder
Mandy Huhn B.A.
Robin Sölzer
Dipl.-Ing. Peer Kuhl
Prof. Juliane Henck MBA.
Kristin Niemeier
Frau Etta Wesack MBA.
Dolores auch Schlauchin
Virginia Kaul
Victoria Hiller
Krista Junken-Hövel
Dr. Rosalinde Stolze B.Eng.
Zita Holt
Jeannine Lehmann
Ljiljana Rädel
Philippe Wähner
Johan Baum
Ljiljana Roht
Frau Patricia Gorlitz B.A.
Wieslaw Oestrovsky MBA.
Dipl.-Ing. Margarita Stey
Ing. Erica Schottin
Dr. Lidia Flantz B.Sc.
Ing. Maria Lübs
Univ.Prof. Jeannette Schleich B.Sc.
Brunhilde Nohlmans
Gert Seifert
Ing. Ivonne Nerger
Frau Notburga Pergande
Prof. Jelena Naser
Marina Wilmsen
Jasmina Rudolph
Dipl.-Ing. Tina Kranz MBA.
Kay-Uwe Ziegert
Jennifer Trapp
Arne Ziegert B.Sc.
Erhard Reinhardt
Theres Beer
Auguste Lorch
Otmar Gierschner
Sergio Schleich
Hans-Friedrich Heydrich
Fatma Hesse
Siegbert Hartmann B.A.
Prof. Ingbert Nette
Mike Hofmann
Herr Augustin Thies B.A.
Ljudmila Krebs
Dursun Gehringer
Eva Mosemann
Roman Jäntsch
Jutta Aumann
Zeki Henk B.A.
Heinz-Otto Hermighausen
Herr Lukas Eimer
Nadja Ladeck B.Sc.
Sofia Hethur
Herr Roderich Hauffer
Svea Krebs-Scheibe
Bert Junck
Hannelore Noack MBA.
Yusuf Steinberg B.A.
Nick Jockel B.A.
Hiltraud Klemm-Pärtzelt
Dr. Frithjof Weinhage MBA.
Guido Pieper
Klaas Vogt
Jann Geisler
Dr. Trude Ziegert B.A.
Siegfried Schuster
Romy Baum
Raymund Thanel
Luigi Hartung
Danny Gumprich
Giesela Wagner
Lili Kaul
Cord Benthin
Carlos Klotz
Milka Wohlgemut-Meyer
Sabrina Kohl
Dominic Martin
Torben Schweitzer
Birgitta Beckmann-Thanel
Birgit Pergande
Gabriele Stahr
Jolanthe Jessel
Univ.Prof. Heinrich Reinhardt MBA.
Irmtraut Hahn-Walter
Frau Anna-Luise Sontag
Lara Oderwald
Frau Beatrix Bonbach B.A.
Cornelia Römer
Peggy Rogge-Lachmann
Heiderose Lange-Schüler
Detlev Stadelmann
Irmi Zobel
Murat Meister
Stefano Huhn
Hans-Otto Trubin B.Eng.
Alwina Koch
Hans-Christian Trüb
Wiltrud Dietz
Ing. Walli Bolander MBA.
Harriet Rohleder
Univ.Prof. Dolores Rust
Ing. Engelbert Bauer
Ing. Klaus-Michael Bolzmann
Patric Hermighausen MBA.
Ing. Dierk Striebitz
Dorothe Adler-Trubin
Leon Aumann
Edeltraud Kaul
Mohammad Karz MBA.
Valeri Tschentscher
Ruth Mangold B.Sc.
Lili Heydrich-Beyer
Catrin Hamann
Gunar Lindner
Karl-Dieter Thies
Astrid Schweitzer
Iwan Butte B.Sc.
Senta Schmiedecke
Tanja Plath
Miguel Briemer
Univ.Prof. August Gunpf B.A.
Dr. Daniela Linke MBA.
Ekrem Spieß
Kai-Uwe Köhler
Prof. Sylvio Gumprich
Anica Sorgatz B.Sc.
Hans-Günther Scheuermann B.Eng.
Univ.Prof. Lisbeth Köhler
Ing. Alban Mohaupt
Maria-Theresia Scholl
Herr Alwin Sager B.A.
Reni Putz-Tintzmann
Francoise Freudenberger-Stey
Hildegunde Dörr
Sigurd Holsten B.Sc.
Daniele Hering
Ing. Ramazan Kabus B.Eng.
Dr. Theresia Mende
Wilfried Börner
Senta Hiller
Margareta Zirme
Ing. Henrike Kramer
Edgar Karge
Dominic Gunpf MBA.
Roy Schmidt B.Eng.
Christoph Löchel B.Sc.
Marianna Rosenow-Weiß
Rosita Wesack B.Sc.
Fabienne Conradi B.Eng.
Siegward Weinhold
Frank-Peter Ullmann
Dipl.-Ing. Beatrix Henk B.Eng.
Senta Wernecke B.Sc.
Ivonne Lachmann
Insa Karz-Mangold
Janko Margraf MBA.
Prof. Irmhild Fritsch
Univ.Prof. Othmar Geisel
Kati Radisch
Luigi Wähner
Regina Ring
Ing. Pawel Rörricht
Natalja Seidel
Waltraud Hentschel
Esther Eberth-Kensy
Frau Katarina Lindner
Dipl.-Ing. Tina Wagenknecht MBA.
Marleen Austermühle-Tintzmann
Dipl.-Ing. Christoph Schulz B.Sc.
Heinrich Kramer
Univ.Prof. Katharina Werner MBA.
Anna-Marie Heidrich
Kati Süßebier
Mariechen Scholl
Elias Gierschner
Wulf Schuster
Werner Heydrich-Schmidtke
Prof. Wolfram Binner B.Eng.
Hildegard Schlosser-Jacobi Jäckel
Hedda Haase
Berend Gertz B.Eng.
Camilla Jäntsch
Hans-Rudolf Dehmel
Inken Ziegert
Eileen Geißler
Dr. Lilija Dowerg MBA.
Sylvia Schenk
Frau Aleksandra Dobes B.A.
Ekaterina Schmiedecke
Felizitas Becker-Mosemann
Lidija Pärtzelt
Frau Edda Hornig B.Eng.
Emanuel Holsten
Fridolin Paffrath-Geisler
Helene Keudel
Bruni Meister B.Sc.
Irmela Krein-Bolzmann
Dr. Jeannine Schleich B.Sc.
Rico Putz-Killer
Ing. Hans-Wilhelm Holt B.Sc.
Lilija Döring
Kristian Ritter
Leonardo Vogt
Stephan Haase MBA.
Stanislav Löffler MBA.
Univ.Prof. Anika Pärtzelt MBA.
Stanislav Stey
Mirco Barth
Friedhilde Hornig B.A.
Reza Kusch
Leopoldine Butte
Dr. Walburga Kobelt B.Eng.
Prof. Danny Bähr B.Eng.
Ilka Faust
Nico Drewes
Lia Heydrich
Gottlob Seip
Mariana Wirth
Giuseppe Trupp
Hans-Martin Junk-Kuhl
Klaus Lorch-Graf
Fabian Lübs
Prof. John Jessel
Frau Rosalinde Riehl
Dietrich Bien
Univ.Prof. Pius Kühnert
Hans-Willi Benthin
