Student
Dr. Edelbert Wieloch MBA.
Dipl.-Ing. Jerzy Stolze B.Sc.
Karl-Ernst Drewes-Drubin
Wulf Caspar
Alina Schmiedecke
Herr Jörgen Kruschwitz
Frau Alwina Bohnbach B.Eng.
Prof. Manuela Schleich B.Sc.
Calogero Hoffmann B.Eng.
Gunnar Weimer
Margareta Zirme
Mareile Meister
Dipl.-Ing. Gloria Heidrich
Herr Alwin Sager B.A.
Karl-Peter Hering
Wulf Steckel-Lachmann
Anka Gieß
Cora Scholtz
Yusuf Steinberg B.A.
Ing. Marcel Gute
Sigrun Mälzer
Ursula Jacobi Jäckel
Ing. Wieslaw Kobelt B.Sc.
Alice Lachmann-Finke
Annelies Seifert
Fernando Tschentscher-Schacht
Lieschen Walter
Henni Ullmann MBA.
Ing. Antonius Jacobi Jäckel MBA.
Emine Tlustek B.Sc.
Madlen Geißler
Rolf Wirth
Jaroslaw Seip
Nelly Schlosser
Bianca Mans
Dajana Ruppert
Gerhart Schenk MBA.
Marvin Kabus B.A.
Jens-Peter Graf-Schmidt
Milos Pärtzelt B.Sc.
Klaus-Werner Koch II B.Sc.
Wilhelm Klemm B.A.
Dipl.-Ing. Lieselotte Trüb B.A.
Ing. Carolin Matthäi
Sylvester Bachmann
Dipl.-Ing. Nathalie Bender
Julia Conradi-Mentzel
Anastasia Gunpf
Hans-Gerhard Staude
Siegrid Schmiedt
Sibylle Stey
Marianne Heser
Ing. Ivana Budig B.Eng.
Lorenzo Zänker
Ing. Berta Oestrovsky B.Eng.
Anny Wähner
Tatiana Pechel
Irmtraut Hahn-Walter
Caterina Weinhage
Gunnar Hentschel
Moritz Roht
Luigi Wähner
Ing. Vitali Hentschel MBA.
Anto Kostolzin
Ing. Rosina Kabus MBA.
Kira Hartmann B.Sc.
Univ.Prof. Gusti Schlosser
Amanda Stadelmann-Mende
Herr Hartwig Henk B.A.
Ingbert Hartung
Attila Werner
Nicole Hoffmann
Stephanie Heintze
Dorothee Seidel
Rainer Hänel
Reimar Trüb
Karlheinz Martin
Leokadia Oestrovsky
Dipl.-Ing. Mareike Noack B.Sc.
Tibor Briemer
Dipl.-Ing. Nuray Mude B.Sc.
Andrey Lorch
Jonas Budig
Herr Urban Christoph
Veronique Eimer
Adrian Killer
Maria-Theresia Scholl
Karl-Hans Hande-Schuster
Imke Keudel B.Sc.
Ing. Justus Binner
Herr Vinzenz Jäntsch B.A.
Prof. Berend Käster B.A.
Anton Müller
Dipl.-Ing. Adele Huhn MBA.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Klaus-D. Zänker-Hein
Erhardt Heidrich
Ria Dietz
Georgia Liebelt
Claas Wirth B.Sc.
Katja Kruschwitz-Roskoth
Gert Fischer
Abram Scholz B.Sc.
Robby Kramer
Artur Kreusel
Liliana Gehringer
Univ.Prof. Tabea Dörschner MBA.
Emilie Schmiedecke
Hansjürgen Säuberlich
Ing. Gerold Gotthard
Jens-Peter Bolzmann
Isidor Atzler
H.-Dieter Mülichen B.A.
Alfredo Bolzmann B.A.
Henri Wilms
Frau Nuray Mangold MBA.
Herr David Freudenberger B.Eng.
Herr Knud Pölitz B.A.
Friedericke Lange
Halil Löwer
Rene Albers
Ilija Fischer
Siegmund Heidrich
Lorenz Sauer
Gitta Römer
Philipp Killer B.A.
Ljudmila Trapp
Ing. Stella Wagner
Karl-Hermann Rädel-Müller
Alwine Wulf
Herr Maik Klemt MBA.
Gülten Ruppersberger-Wende
Margareta Lübs-Vollbrecht
Mariusz Stadelmann-Jähn
Dietlind Anders B.A.
Adelinde Geisler
Grit Röhricht-Rosemann
Nora Dehmel B.Eng.
Dorothee Renner
Dr. Friedbert Bauer B.Eng.
Telse Steuer B.Eng.
Asta Hesse
Cetin Schwital
Mehmet Beckmann-Geisel
Ing. Ayse Mangold MBA.
Ulrike Klemt B.Sc.
Dr. Diedrich Atzler
Irmtrud Schaaf-Jacobi Jäckel
Hildegunde Dörr
Ing. Siglinde Bolzmann
Helene Gröttner-Hornich
Sofia Mielcarek B.A.
Ludwig Zimmer MBA.
Frau Caren Schmidt MBA.
Dr. Hans-Detlef Lindau B.Eng.
Dr. Luciano Ortmann
Anselm Dowerg
Romana Wulff
Elizabeth Vollbrecht
Geert Rudolph
Leif Wulff
Maya Lindner-Zimmer
Nathalie Lehmann
Siegmar Pergande B.Eng.
Faruk Birnbaum
Univ.Prof. Paul-Heinz Heinz
Ellen Vogt
Ing. Eugenie Birnbaum
Gerlinde Albers-Hörle
Emma Briemer B.Eng.
Walther Hofmann
Wilma Paffrath
Dipl.-Ing. Kevin Stadelmann
Paul-Gerhard Jungfer B.Eng.
Hans-Günther Etzold
Felicia Binner
Herr Simon Fliegner MBA.
Aysel Bruder MBA.
José Gröttner B.Sc.
Dipl.-Ing. Oskar Vogt B.A.
Herma Bender-Scholtz
Inka Trapp
Reimer Hethur-Gutknecht
Margareta Klingelhöfer
Nina Ladeck
Herr Recep Junk B.A.
Alice Nette
Frau Rosa-Maria Sauer B.Sc.
Augusta Flantz
Anthony Patberg
Myriam Aumann
George Käster-Eberth
Jana Langern
Ben Bonbach B.A.
Univ.Prof. Halina Hamann MBA.
Angelica Klemt
Immo Ring
Antonie Fischer-Margraf
Magret Oderwald
Andreas Gunpf
Mareike Scholl
Marta Roht B.Sc.
Dr. Emin Dietz B.Sc.
Murat Förster
Ehrentraud Biggen-Kreusel
Linus Drub
Ferdi Hoffmann
Ing. Arndt Schäfer
Ing. Hatice Gehringer
Hans-Helmut Binner B.Sc.
Irma Atzler-Herrmann
Carl Schomber-Mälzer
Carolin Stumpf B.Eng.
Sylvester Neuschäfer-Schacht
Prof. Evelyn Henk
Helen Hein B.A.
Kristin Niemeier
Ing. Gabriela Dippel MBA.
Marius Klotz
Hannelore Noack MBA.
Ilonka Rose
Elvira Mälzer
Tino Metz
Dr. Jorge Kambs B.A.
Lutz Wagenknecht-Gotthard
Univ.Prof. Lucia Zobel
Lena Holzapfel
Rosa-Maria Knappe
Hildburg Dowerg-Pergande
Karlfried Rörricht
Lilo Scholz
Stilla Klotz
Stephanie Kranz B.A.
Erdal Meyer B.A.
Gerta Klemt
Erol Jäntsch
Julie Schweitzer
Hiltraud Köster MBA.
Frau Anny Niemeier B.A.
Paula Stroh
Dr. Franco Stumpf B.Eng.
Hildegund Gunpf
Evangelos Beyer
Irma Neureuther
Franz Josef Herrmann
Lili Kaul
Hanni Wieloch
Alma Flantz MBA.
Käthe Hande
Attila Rogner
Prof. Mohammed Kambs
Ing. Gerold Mende
Tino Niemeier
Polina Hettner
Hanspeter Koch II-Wohlgemut
Melita Schleich
Karl-Friedrich Nerger
Heino Zahn-Bähr
Benno Kraushaar
Dr. Anastasia Gude
Dr. Annett Siering
Univ.Prof. Philippe Thies B.Eng.
Melitta Drewes
Katherina Klapp
Janett Zorbach
Willy Kallert
Petar Bauer
Saskia Kallert
Wendelin Schäfer B.Sc.
Britta Nerger B.Eng.
Prof. Apollonia Gerlach B.Sc.
Univ.Prof. Jörg-Peter Riehl
Dominik Spieß
Filiz Bähr
Alexei Meister
Giesela Dowerg
Sabrina Kohl
Sigmund Hentschel MBA.
Mareen Krebs-Hofmann
Fatma Seidel B.A.
Liane Gröttner
Diethard Gude
Tomasz Niemeier
Vadim Bender B.A.
Theresa Schüler
Julie Mosemann
Prof. Hans-Hinrich Schmidt
Pawel auch Schlauchin
Gerda Gröttner B.Sc.
Dipl.-Ing. Annelise Naser
Dipl.-Ing. Cläre Geißler
Adam Seifert
Tatjana Käster-Schüler
Gislinde Lehmann
Herr Juri Kitzmann
Konstanze Mühle
Herr Hermann-Josef Hauffer
Zdenka Weiß
Frau Linda Weiß B.Eng.
Prof. Lene Oestrovsky B.Sc.
Waldtraut Hoffmann
Massimo Ernst
Willfried Mende
Franz Josef Hoffmann B.Sc.
Miroslawa Rose
Dr. Margita Stiebitz
Univ.Prof. Mahmoud Liebelt
Frau Mirjana Baum B.Sc.
Prof. Marian Gerlach
Johann Liebelt MBA.
Heimo Kuhl
Rudolph Etzold
Gerhardt Barkholz B.Eng.
Klemens Förster
Jakob Pohl
Gerhart Staude
Herr Yusuf Kabus B.A.
Abram Briemer
Dipl.-Ing. Annemarie Trommler B.Sc.
Gebhard Sauer
Augustin Renner
Lukas Ditschlerin
Jörg-Peter Klemt MBA.
Prof. Magnus Dörr B.Eng.
Margareta Losekann
Nancy Hartmann-Schottin
Yvette Margraf-Wernecke
Frau Kirsten Geißler
Franz Josef Haase
Beatrix Gehringer
Brita Klemm
Rosalinde Trupp
Anette Anders
Elfi Kranz
Dorle Dörschner
Adelheid Schmidtke
Hans-Rudolf Fröhlich
Caroline Harloff
Anka Rohleder
Valeska Geisler B.Eng.
Ahmad Preiß
Prof. Amir Reising MBA.
Prof. Grete Müller
Bernt Huhn
Micha Albers-Wilms
Dipl.-Ing. Walburga Steckel
Gretchen Jessel B.Sc.
Ann Werner-Wilms
Hans-Dietrich Fliegner
Frau Hella Stumpf
Wolfram Klingelhöfer B.Eng.
Hildegunde Aumann
Hanni Dippel-Heser
Dipl.-Ing. Gisa Jüttner B.Sc.
Dana Ebert B.A.
Konstantinos Stolze-Biggen
Torsten Schwital-Gude
Hedda Haase
Dusan Conradi-Rogner
Sandro Täsche
Engin Johann-Weihmann
Univ.Prof. Ottfried Scholl
Sigrid Schleich
Sevim Ackermann
Ing. Helmuth Bachmann B.Sc.
Ing. Hellmuth Scholl
Marie-Theres Trupp
Gino Häring
Univ.Prof. Hiltrud Löwer
Adolfine Fischer
Tomislav Girschner
Sofie Schmiedecke
Wiebke Gehringer
Prof. Bärbel Ladeck B.Eng.
Annegret Atzler
Lea Heuser
John Gunpf B.Sc.
Cäcilie Haase
Dipl.-Ing. Sylke Gute B.A.
Urban Pieper
Ilonka Wulf
Christos Sölzer
Philipp Reising-Harloff
Brita Roht MBA.
Dr. Alois Kraushaar B.Sc.
Ilhan Hoffmann-Karz
Univ.Prof. Maria-Luise Trüb B.Sc.
Kenan Pieper
Conny Geißler-Karge
Gerwin Textor
Ing. Amalia Walter
Inna Winkler
Jadwiga Gierschner-Schulz
Annekatrin Wilms
Ria Walter
Frau Francesca Blümel
Richard Drub
Marcus Langern
Ing. Emmy Beer
Torben Säuberlich-Linke
Volkhard Köster-Jüttner
Univ.Prof. Marc Schmiedt
Dipl.-Ing. Jan-Peter Mende MBA.
Hendrik Herrmann
Mariusz Baum
Leonore Jäkel
Ing. Gerlinde Junken
Klaus-Ulrich Gude
Janin Haase
Ada Heser B.Sc.
Kenneth Kramer
Oskar Rosemann
Serge Trubin
Wieslaw Löchel
Walli Gnatz
Othmar Zänker
Brigitte Knappe
Friedhilde Hornig B.A.
Uli Schönland-Trupp
Dr. Sigrun Schönland B.A.
Heidrun Stiebitz
Änne Schweitzer-Putz
Falk Wagenknecht B.Eng.
Ing. Carolin Anders
Kunibert Hahn-Lindau
Francesco Nerger
Ben Zahn
Karlheinz Stahr
Ing. Konstanze Geisel
Larissa Mangold
Heike Karge
Margret Dehmel
Dr. Marija Stiebitz
Peer Nohlmans B.Sc.
Ryszard Junitz
Aloys Fechner
Oliver Biggen
Ing. Knut Christoph
Univ.Prof. Edmund Mentzel B.Eng.
Ing. Horst-Dieter Seip
Rene Lindau-Jäkel
Raymond Misicher
Univ.Prof. Diethard Klotz
Irmtraud Ladeck
Marit Söding
Liselotte Lindau
Dariusz Wirth
Ing. Augustin Budig B.Eng.
Prof. Gunther Klingelhöfer
Julia Graf
Francoise Vollbrecht B.Sc.
Abdul Klapp-Hethur
Alida Ehlert
Fernando Reising
Dipl.-Ing. Ilse Heß B.Sc.
Tülay Gnatz-Sorgatz
Luzie Renner B.A.
Herr Swen Kraushaar B.A.
Geraldine Eckbauer
Joerg Fritsch-Pieper
Daniel Zänker
Henriette Sager
Rico Putz-Killer
Ryszard Lehmann
Korinna Spieß MBA.
Univ.Prof. Halil Staude
Frau Änne Gunpf B.Sc.
Ann-Kathrin Davids
Ludwina Fritsch
Eugen Schottin
Meryem Hänel-Jungfer
Hans Georg Niemeier
Lisette Stoll B.Eng.
Ing. Hüseyin Gutknecht B.Sc.
Christa Säuberlich
Ivo Lorch
Arndt Weinhold MBA.
Stavros Schinke
Anni Hänel B.Eng.
Bernward Losekann MBA.
Werner Kramer B.A.
Karl-Dieter Thies
Benita Juncken
Dr. Philip Siering B.A.
Nina Wagenknecht
Prof. Magda Textor
Univ.Prof. Rafael Pruschke B.A.
Abraham Adler
Anne Zorbach
Univ.Prof. Ioannis Lübs B.Eng.
Univ.Prof. Belinda Henck
Ernst-Dieter Geisler B.Eng.
Regine Häring
Miguel Dussen van B.Eng.
Philip Heß MBA.
Nancy Karz-Bolzmann
Herr Günther Krein MBA.
Univ.Prof. Waldemar Döring
Dipl.-Ing. Richard Gröttner B.A.
Karl Zirme
Aziz Bauer MBA.
Hansjörg Holsten
Roswita Döhn
Jerzy Wagenknecht B.A.
Volkmar Hentschel
Dipl.-Ing. Jose Löchel
Marianne Ziegert-Werner
Aldo Förster
Ing. Arthur Schwital B.Eng.
Kunigunde Ziegert
Beata Lübs
Ernst-August Beyer
Elsbeth Schmiedecke-Wulf
Marina Radisch
Hanne Gierschner
Dorle Schmidtke MBA.
Hugo Keudel B.A.
Roland Ring
Jurij Bärer
Hannes Meyer
Univ.Prof. Hanspeter Gorlitz
Fridolin Paffrath-Geisler
Franca Mentzel
Verena Hornich
Susanna Jäntsch
Richard Mende-Hendriks
Urszula Spieß
Univ.Prof. Gesa Loos
Slawomir Ehlert-Reising
Stanislav Reuter
Hans-Günther Wilmsen
Wolfhard Rosemann B.Eng.
Reinhold Bloch
Bertold Stadelmann
Jeannine Gieß
Leopold Jungfer
Albin Fischer B.Eng.
Ing. Pavel Weller B.Eng.
Alma Eimer-Seip
Andrea Ziegert
Edeltrud Kambs
Malte Herrmann-Zänker
Ing. Käthi Schäfer
Tilman Eberhardt
Milena Weitzel-Steinberg
Hildegund Ruppersberger
Prof. Ahmad Rörricht
Dr. Fedor Plath B.Sc.
Ingo Löffler
Wulf Kusch
Mareike Reichmann
Birthe Trommler
André Kroker
Marliese Becker
Adriane Wende
Herr Oliver Pechel
Florentine Sölzer-Siering
Prof. Aziz Stumpf
Herr Frieder Wulff B.Sc.
Emine Haase B.A.
Toni Scholl-Scholl
Adolfine Lange
Gundolf Schomber-Hellwig
Mirjana Drub
Zdravko Niemeier
Natalie Carsten B.A.
Slavko Schüler B.Eng.
Horst-Günter Zirme
Dr. Jann Wesack B.A.
Stjepan Langern
Heiner Ruppersberger-Hentschel
Engin Hofmann
Rosa Pieper B.Eng.
Nikolas Hövel
Karl-Heinrich Jacob
Patrizia Schleich
Univ.Prof. Claudio Schmiedt
Univ.Prof. Milka Bähr
Paolo Hentschel-Zobel
Dipl.-Ing. Alla Karge
Helmuth Langern-Steinberg
Leopold Rörricht
Adem Mühle-Ruppert
Larissa Käster
Prof. Salvatore Römer
Arno Mude
Klaudia Reuter B.A.
Dr. Jasmina Ruppert
Carolin Siering
Friedlinde Mühle B.A.
Friedl Briemer-Austermühle
Bruni Vogt MBA.
Hartmuth Vollbrecht
Dipl.-Ing. Marc Stroh
Anatolij Jüttner-Bauer
Rosalia Pruschke
Timm Schönland
Frau Trudi Wähner B.A.
Dipl.-Ing. Stefano Ditschlerin
Gebhard Krein
Priska Wende
Ing. Steffen Röhrdanz B.A.
Dipl.-Ing. Rigo van der Dussen B.Eng.
Gunda Warmer
Heinz-Peter Biggen
Therese Neureuther
Halina Lachmann
Dipl.-Ing. Laila Scheuermann B.Sc.
Susi Seifert
Ludger Stiffel
Urban Geißler B.A.
Prof. Susanne Rose
Ing. Helene Jähn B.Eng.
Yvette Schinke
Prof. Guenther Margraf B.Eng.
Gabriela Freudenberger B.A.
Ing. Margarethe Martin
Aziz Anders
Wolf-Dieter Sölzer-Putz
Melanie Jungfer-Preiß
Swen Wirth
Konstantin Rogner
André Segebahn
Mark Lindau
Univ.Prof. Bert Gieß
Pia Fliegner
Hedy Kobelt
Tino Gnatz
Wolf-Dietrich Gotthard-Dussen van
Rolf-Peter Reising B.Sc.
Burghard Albers-Berger
Philipp Lorch
Stephen Ackermann B.A.
Anastasia Mans
Niko Geißler-Wirth
Miroslawa Jäkel-Bohnbach
Kay-Uwe Dippel
Klaus-Peter Gieß-Winkler
Waltraud Hentschel
Recep Hecker
Dipl.-Ing. Wanda Dussen van
Friedrich Bolnbach-Gnatz
Ismet Kroker
Hellmut Lindner
Nicolas Möchlichen MBA.
Annegrete Jüttner
Dipl.-Ing. Giuseppina Etzler B.Sc.
Herr Bruno Kreusel
Dr. Krista Jäkel B.A.
Ernest Schönland B.Eng.
Heinz-Georg Rosemann-Bohnbach
Ing. Mike Stolze
Dr. Helge Täsche MBA.
Klothilde Zänker
Eckhart Gutknecht
Greta Hermighausen
Ignaz Beer-Eckbauer
Edith Hettner
Ing. Sebastian Killer B.A.
Guido Pieper
Annemie Kade-Kuhl
Hanno Salz
Ing. Hartmuth Gute B.A.
Hakan Kühnert
Herma Geisler-Beckmann
Lilly Beckmann B.Sc.
Ing. Romuald Kreusel B.A.
Kristiane Zahn
Gitta Mohaupt
Manuel Schenk
Dipl.-Ing. Lotte Austermühle B.A.
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Arnulf Säuberlich
Mariechen Scholl
Gabi Neuschäfer-Oestrovsky
Elise Trupp
Ingried Stiffel B.A.
Leo Roskoth B.Sc.
Elma Junken
Janet Johann B.A.
Frau Rosalinde Mitschke B.A.
Reni auch Schlauchin
Toralf Pieper
Vincenzo Haering
Clara Stroh
Dipl.-Ing. Sedat Sontag
Ing. Tilman Kitzmann
Gino Hövel B.Sc.
Nora Klapp-Finke
Ing. Valerij Segebahn B.Eng.
Michaela Hecker B.Eng.
Janusz Trub-Mühle
Johannes Freudenberger
Günther Bähr
Hasan Klemm
Sigurd Lange-Seifert
Sylvester Zirme
Sylwia Wilmsen-Ullmann
Annaliese Hettner B.A.
Artur Schaaf
Cord Mende B.Eng.
Siegward Weinhold
Lorenzo Adler-Trommler
Edelbert Stey-Scholz
Ditmar Dehmel
Frau Almuth Kostolzin B.A.
Dr. Laila Peukert
Dan Schönland MBA.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Michaela Loos-Mentzel
Hans-Albert Preiß-Scheel
Dr. Guntram Kusch
Sofie Staude
Ian Briemer B.Eng.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Ing. Käthe Plath B.Eng.
Aurelia Mude
Dr. Tony Ditschlerin
Dipl.-Ing. Betti Löffler MBA.
Dr. Reinhart Hecker B.A.
Frau Margrit Beckmann
Tülay Hettner-Ebert
Rebekka Lindau MBA.
Herta Hendriks
Zeljko Henck
Franjo Löffler B.Eng.
Elizabeth Schlosser B.A.
Hans-Willi Kruschwitz B.Sc.
Prof. Claudia Mude
Prof. Mandy Heuser MBA.
Frank-Peter Bien
Beatrix Scheibe B.Sc.
Elzbieta Beier
Prof. Folkert Ernst MBA.
Guenther Schmidt
Kerstin Heidrich B.A.
Dipl.-Ing. Eckhard Kallert B.Sc.
Dr. Halina Haase
Heinz-Joachim Trupp
Cilli Siering
Tabea Birnbaum
Lissy Dippel
Gotthard Löwer
Dr. Jonas Anders B.Sc.
Edda Stahr
Anett Wieloch
Stanislav Hoffmann
Univ.Prof. Roger Stadelmann B.Sc.
Stephen Reichmann
Susanna Schaaf
Josip Stey
Auguste Buchholz B.Sc.
Zlatko Ritter B.Eng.
Helene Kuhl-Austermühle
Ingmar Hauffer
Sophie Pruschke
Herr Aleksandr Wiek B.Sc.
Meral Eberhardt B.A.
Magdalene Mude
Eva Mosemann
Eberhardt Mielcarek
Georg Misicher
Trude Scholtz B.A.
Annelore Juncken
Ingried Hauffer-Lübs
Ing. Erica Schottin
Frau Emilia Pruschke B.A.
Herr Ronny Tröst B.Sc.
Hulda Seidel-Carsten
Irmtraut Ortmann MBA.
Dr. Daniel Trommler
Annelene Adolph B.A.
Meinrad Barkholz B.Eng.
Mariele Stiffel B.Sc.
Gereon Trapp
Friedhelm Schleich
Evelin Wagenknecht-Döhn
Dorit Ebert
Anika Tschentscher
Adalbert Boucsein
Herr Roderich Hauffer
Gertrude Kostolzin MBA.
Michaele Schacht
Lioba Söding
Janine Hendriks B.A.
Valentin Steuer-Mans
Alexej Kohl
Ing. Herbert Mühle B.Sc.
Viviane Girschner
Amalie Gotthard-Beckmann
Bernhardine Schuchhardt
Sergej Hauffer MBA.
Dr. Jane Kostolzin
Heide-Marie Zirme
Natali Löffler
Celal Seifert
Prof. Ines Kuhl
Prof. Gerd Schenk
Mijo Jessel B.A.
Bärbel auch Schlauchin
Dr. Eleni Heser
Ing. Kristina Biggen
Prof. Siegbert Scheuermann B.A.
Frau Hildegunde Koch II
Prof. Conny Klingelhöfer B.Eng.
Svea Hartung B.Eng.
Hans-Detlef Schleich
Annett Sorgatz B.Eng.
Leszek Hentschel
Herr Claus Killer
Prof. Ferdinand Gertz B.Sc.
Uta Karz
Ing. Wencke Speer
Dr. Sybille Bärer B.Sc.
Alfred Tröst-Stahr
Jacob Bähr
Mohamed Schottin
Wiltrud Dietz
Dipl.-Ing. Enver Drubin
Reinhild Pergande
Ing. Svenja Aumann
Janin Hermann
Uli Oderwald-Freudenberger
Univ.Prof. Antoinette Wende B.A.
Prof. Janos Werner B.Eng.
Alan Stadelmann-Lindner
Elisabet Preiß-Thanel
Lucia Kohl
Frau Julie Gunpf
Carola Franke
Ing. Carolin Hoffmann
Dr. Franco Wilms
Herr Anton Mohaupt B.A.
René Rose-Krebs
Ferdinand Junck-Hölzenbecher
Gernot Dörr
Univ.Prof. Alexa Junitz B.Eng.
Rotraut Bachmann
Uwe Schwital MBA.
Liesa Gröttner
Uli Wohlgemut-Stadelmann
Matthäus Striebitz-Zirme
Univ.Prof. Beate Eberth
Dr. Renate Mende
Dr. Burkard Bolzmann B.A.
Maximilian Heß
Aribert Kusch
Gesa Keudel-Bauer
Moritz Schönland
Jens Löchel
Franz-Xaver Carsten
Dr. Jeannine Schleich B.Sc.
Emma Hornich-Kraushaar
Frau Valentine Benthin
Oskar Weitzel
Janin Hamann
Univ.Prof. Dogan Mielcarek
Julia Mosemann
Adele Stroh
Annemarie Häring
Herr Anthony Caspar
Dr. Jurij Nohlmans B.A.
Dr. Uta Gumprich
Lilly Seifert
Vlado Kramer B.Eng.
Nadja Häring B.Eng.
Christopher Fröhlich
Irmi Jüttner
Salvatore Eberhardt-Ring
Fatih Ladeck-Weihmann
Iwan Wilmsen-Weihmann
Joerg Döhn
Magdalena Tintzmann B.Sc.
Oliver Schwital
Bernhardine Bender MBA.
Edwin Wilms MBA.
Gerwin Bonbach-Fliegner
Virginia Kaul
Herr Sylvester Jopich B.Eng.
Anne-Rose Krause
Prof. Dolores Butte
Gundula Weitzel-Liebelt
Dipl.-Ing. Rabea Sorgatz MBA.
Baptist Vogt
Ing. Eckehard Bloch MBA.
Carolina Ditschlerin
Heinz-Walter Roskoth-Hertrampf
Prof. Gabriella Holt B.Eng.
Prof. Ivonne Boucsein B.Eng.
Jann Schenk
Univ.Prof. Sonja Hande MBA.
Cora Reichmann B.A.
Heide-Marie Heß B.A.
Sebastian Karge
Dr. Harald Ritter
Elfi Harloff
Kriemhild Gude
Liesbeth Schlosser
Ing. Gordana Bruder MBA.
Lorenzo Hornig
Tülay Scholtz
Dr. Gerard Reichmann MBA.
Ehrenfried Drubin-Paffrath
Univ.Prof. Mira Riehl
Sandra Scholtz
Cecilia Scholz-Barth
Univ.Prof. Etta Bohnbach
Kreszentia Scheibe
Elfie Jäkel
Prof. Maya Peukert
Heribert Kensy
Ing. Alma Rudolph B.Sc.
Natalia Stroh
Alwina Hettner
Tino Wagenknecht B.Eng.
Dipl.-Ing. Sandro Bärer B.A.
Diedrich Scheel-Hübel
Emmy Trub MBA.
Herr Augustin Thies B.A.
Kristin Kaul B.Sc.
Ing. Dörte Freudenberger
Kristiane Hermann
Wally Wähner
Dagmar Jungfer
Prof. Irmgard Mühle
Tamara Nette-Ladeck
Dr. Gerard Dörr
Erwin Jungfer
Univ.Prof. Catharina Neureuther B.Sc.
Annelene Möchlichen-Weiß
Frank-Peter Kambs
Sofie Reichmann
Auguste Lorch
