Student
Herr Vincenzo Liebelt
Gislinde Müller
Prof. Gerda Barkholz MBA.
Niko Geißler-Wirth
Gert Fischer
Irmela Höfig B.Sc.
Marie-Luise Staude-Käster
Dörthe Hiller
Ing. Ernest Rogge B.A.
Liane Kambs
Corina Pergande
Frau Reinhilde Wirth MBA.
Prof. Aribert Eberhardt B.Sc.
Undine Jopich
Stephan Stolze-Holt
Aribert Herrmann
Rahel Kreusel
Elisabeth Käster
Ingbert Hartung
Geza Hertrampf B.A.
Dr. Marianne Reising
Thekla Schäfer
Diether Dussen van-Rohleder
Dipl.-Ing. Friedhilde Hauffer B.A.
Victor Butte
Frau Hildegund Vogt B.A.
Dr. Eleni Heser
James Nohlmans
Dr. Jurij Nohlmans B.A.
Reinald Zahn
Wendelin Pärtzelt
Marina Radisch
Franca Börner
Ann Werner-Wilms
Stefano Huhn
Mira Sontag
Dagobert Rogge
Rolf-Peter Reising B.Sc.
Hubertine Krein
Bianka Holsten
Adelinde Zimmer
Lilli Meyer-Reuter
Fredi Wilmsen
Prof. Roy Blümel
Ing. Valentina Börner
Torsten Trapp B.A.
Dittmar Hövel
Walentina Hesse
Oda Henschel
Hakan Kitzmann-Scholl
Tilmann Geisler
Alma Rörricht
Undine Scheibe-Stey
Marlene Heuser-Trub
Agnes Tröst
Romy Baum
Reimund Kraushaar
Wojciech Losekann-Seidel
Ronald Hofmann
Kirstin Kusch-Meister
Univ.Prof. Ivonne Haase B.Sc.
Theresia Liebelt
Denis Etzold
Ljiljana Stoll
Ayse Scheuermann-Sölzer
Marianna Hofmann
Elfi Bolander
Ditmar Briemer
Traute Fröhlich
Carin Huhn
Ing. Svenja Aumann
Dietlind Albers
Karl-Heinrich Sölzer
Ruben Trubin
Dipl.-Ing. Hans-Karl Dussen van B.A.
Prof. Swen Benthin MBA.
Univ.Prof. Claus-Dieter Meister B.Eng.
Joana Zimmer B.A.
Cristina Salz B.Sc.
Herrmann Holt-Lindner
Ing. Wieslaw Kobelt B.Sc.
Fabienne Birnbaum
Ing. Pavel Weller B.Eng.
Herr Jens Ritter B.Eng.
Burghard Wohlgemut
Hanni Dippel-Heser
Patric Heinrich
Arif Heinrich
Sophie Pruschke
Dipl.-Ing. Elisabeth Wiek
Univ.Prof. Melita Langern
Ernestine Tröst
Univ.Prof. Alexei Mülichen MBA.
Steven Weinhold B.A.
Marie-Louise Hendriks-Dörschner
Dipl.-Ing. Hans-Gerhard Schleich
Dr. Lina Hiller
Theresa Caspar
Gretchen Jessel B.Sc.
Damian Dörr
Norbert Niemeier
Liesbeth Junck-Benthin
Slavko Schüler B.Eng.
Herr Eberhardt Gierschner
Ing. Andrew Nerger
Engin Trub
Traudl Christoph
Insa Bloch B.A.
Univ.Prof. Dogan Mielcarek
Annamaria Baum MBA.
Konstantin Ladeck
Annita Jähn
Roberto Jockel
Suzanne Holzapfel
Louis Kostolzin
Mirella Löchel
Hans-Herbert Flantz
Eberhard Junitz
Peer Grein Groth-Lange
Brita Roht MBA.
Univ.Prof. Immo Mangold
Melanie Segebahn
Carla Gnatz
Amanda Stadelmann-Mende
Nikola Kitzmann
Prof. Marion Martin
Ing. Danica Gieß MBA.
Univ.Prof. Brigitte Rogner
Gertraude Ruppersberger
Saskia Wagenknecht
Antonius Pärtzelt-Jüttner
Prof. Annita Wulff
Prof. Elzbieta Fechner B.Sc.
Frau Pascale Hettner B.Eng.
Nadeshda Hänel-Kaul
Annelene Steinberg
Timo Siering-Hübel
Dipl.-Ing. Sylke Gute B.A.
Maja Fischer B.A.
Irina Mielcarek
Benjamin Jäntsch B.Sc.
Reinhold Hellwig-Mülichen
Hasso Zahn
Peggy Haering B.Sc.
Adeline Hein-Metz
Marzena Hein
Magdalene Fröhlich
Anna Lübs
Sergio Schleich
Dorothea Kroker-Misicher
Hilda Metz-Dehmel
Univ.Prof. Marita Pohl
Niklas Scholtz
Agatha Kostolzin
Frederike Stoll
Sibylle Stey
Ing. Marcel Gute
Frau Rosa-Maria Sauer B.Sc.
Darius Kallert
Hüseyin Stahr
Gitta Berger
Riza Römer
Ing. Alban Mohaupt
Gundel Bien MBA.
Jolanda Henck
Kai-Uwe Mitschke
Cynthia Langern
Liesbeth Huhn
Dipl.-Ing. Alexandros Weinhold
Paola Margraf
Theresa Schüler
Louis Geisel
Gerta Kallert-auch Schlauchin
Ada Ullmann-Hermann
Dr. Irmgard Plath B.A.
Micha Röhricht B.A.
Ilka Faust
Hans-Martin Kambs
Kordula Dobes-Buchholz
Wilma Paffrath
Christa Kabus
Ellen Haase
Thorben Kitzmann
Nermin Martin
Viktoria Trub-Budig
Hans Josef Striebitz
Ing. Dagmar Bohnbach B.Eng.
Liliane Gröttner-Albers
Eveline Putz
Gerhardt Barkholz B.Eng.
Gisa Dörr B.Eng.
Ernst-Otto Heß-Hartmann
Univ.Prof. Amalie Warmer B.Eng.
Trudi Radisch
Slobodan Seip
Maurizio Hartmann
Univ.Prof. Ewald Rogner B.Sc.
Rose-Marie Schüler
Natalie Werner
Burkhardt Holt
Ottilie Trüb
Leni Heß
Ramon Jäntsch-Gertz
Alena Seip
Jörg Pechel
Meral Bolnbach
Alwine Wulf
Hansjoachim Kraus-Beer
Marianne Killer
Alwine Riehl
Kristian Meyer
Jessica Kohl
Annelie Heuser
Univ.Prof. Ingelore Schulz MBA.
Dursun Gehringer
Kurt Thanel
Burkhard Fröhlich-Dussen van
Dr. Marian Rust
Theodor Niemeier
Donald Schönland
Dr. Auguste Sager
Oskar Beyer
Univ.Prof. Hedwig Krein
Prof. Folker Trupp B.Sc.
Remo Reinhardt
Dr. Halina Haase
Doris Kraushaar
Piotr Ruppersberger
Sofia Etzler B.Eng.
Hans-Hinrich Bohlander
Irmtrud Mohaupt-Etzler
Dr. Edelbert Wieloch MBA.
Wiltrud Gröttner-Klapp
Dr. Elwira Hiller
Alexandra Butte
Dr. Abdullah Becker
Herta Weitzel
Maria Bruder
Robert Weimer
Helmut Renner
Manuel Wagenknecht
Birgitta Hettner
Lieschen Steckel
Trude Ruppersberger
Lene Sauer
Heinz-Otto Geisler B.Sc.
Damian Söding
Rolf-Dieter Flantz B.Eng.
Sibylle Jäntsch
Ing. Justus Binner
Guiseppe Rust
Dipl.-Ing. Rouven Kallert MBA.
Ing. Gundolf Steinberg B.Sc.
Ing. Helmuth Bruder
Pawel Peukert-Rörricht
Telse Steuer B.Eng.
Harro Vogt-Gieß
Anton Gute
Urszula Rudolph
Dipl.-Ing. Hans-Ludwig Meyer
Gertraud Jüttner
Veronique Oestrovsky
Ryszard Süßebier-Neureuther
Valentin Döring
Tony Henk MBA.
Benita Schleich
Frau Aleksandra Dobes B.A.
Margarethe Steckel
Greta Hermighausen
Sylke Binner B.A.
Ingolf Ruppersberger-Berger
Helge Ladeck MBA.
Univ.Prof. Margrit Davids B.Eng.
Anny Wagenknecht
Gunter Beyer
Dr. Gaby Sontag MBA.
Willy Hornig
Philipp Walter-Löffler
Giorgio Trüb
Prof. Rolf-Dieter Fiebig MBA.
Stjepan Schmidtke
Dipl.-Ing. Helmut Hauffer
Dolores Conradi
Ing. Nelli Hornig
Thorsten Herrmann
Frau Julia Fliegner
Herr Thorsten Hartmann B.Eng.
Prof. Luzie Killer B.Sc.
Frau Wendelin Heinrich B.Eng.
Dipl.-Ing. Lilly Boucsein B.Sc.
Ignatz Budig
Dipl.-Ing. Willibert Süßebier
Evangelia Meyer-Mielcarek
Elizabeth Wulf
Kristina Scheibe
Beate Johann
Ralf-Peter Ebert
Brunhild Karge B.A.
Silke Scheuermann B.Sc.
Georgine Segebahn
Gerold Schuchhardt B.Sc.
Trudel Wagner
Univ.Prof. Claudia Freudenberger B.Sc.
Cathleen Gude
Nurettin Börner
Elfi Wesack
Margrit Schenk B.A.
Ulla Süßebier
Eva Wende-Peukert
Milka Wohlgemut-Meyer
Bernard Losekann
Hanspeter Stiffel
Bernadette Löffler
Elena Linke-Wohlgemut
Dipl.-Ing. Lidija Pölitz
Herr Falk Holzapfel
Betti Adolph
Dr. Dora Fischer
Aloys Ruppert
Ehrentraud Biggen-Kreusel
Hellmut Siering
Werner Kramer B.A.
Hans-Willi Baum-Staude
Evelyne Beyer
Ralf-Dieter Kroker
Henny Stey
Dr. Frieda Metz
Frau Svenja Hövel B.Sc.
Hartmuth Vollbrecht
Paul Hettner
Carl-Heinz Trapp
Iris Kraushaar B.Sc.
Dipl.-Ing. Bertram Gieß MBA.
Dipl.-Ing. Edgar Gehringer B.Eng.
Reinhild Patberg
Norman Fechner
Friedericke Roht
Hedwig Matthäi
Verena Davids
Gabi Meister
Alan Stadelmann-Lindner
Theresa Killer
Arndt Weinhold MBA.
Agatha Sager-Geisler
Prof. Knud Atzler B.Sc.
Hilmar Faust
Prof. Sibel Wohlgemut B.Sc.
Lea Heuser
Univ.Prof. Pauline Klemt
Darius Klotz
Heidrun Lindner-Bolnbach
Edwin Wilms MBA.
Frau Monique Wesack B.Eng.
Adolfine Wilms
Marianne Ernst-Zirme
Christiana Pohl
Anke Hettner
Frau Mirja Jüttner B.Eng.
Zlatko Briemer-Karge
Susann Henk
Enrico Drewes
Ing. Hellmuth Scholl
Abram Scholz B.Sc.
Herr Torsten Hermighausen B.Sc.
Katarina Knappe
Siegmar Mies-Baum
Edelbert Stey-Scholz
Ing. Monika Ullrich
Ellen Junken
André Kraushaar-Henck
Ina Christoph B.Sc.
Thies Blümel
Valentin Steuer-Mans
Wilhelm Walter
Jakob Pohl
Frau Corinna Wähner
Ing. Elenore Kostolzin
Udo Grein Groth
Frau Linda Weiß B.Eng.
Mario Bärer
Theodoros Grein Groth
Roman Bloch
Henny Rose
Elisa Steinberg
Rebekka Lindau MBA.
Abraham Adler
Senta Warmer
Herr Francis Scholtz
Dr. Gert Trapp MBA.
Auguste Buchholz B.Sc.
Wilma Röhrdanz
Mirco Girschner
Anneliese Trub
Jonas Hendriks
Prof. Friedo Reuter
Mara Roht
Francisco Schmidtke-Albers
Sigmar Zobel
Emma Trub-Scheuermann
Univ.Prof. Viktoria Seifert
Hellmut Hein-Gnatz
Univ.Prof. Mahmoud Liebelt
Franca Harloff-Döring
Bertha Gotthard
Karl-Hermann Rädel-Müller
Cordula Hornig
Nadeshda Mentzel
Stephen Kensy
Dagobert Bohnbach
Gabor Steuer
Lorenz Hande-Hamann
Ing. Helene Jähn B.Eng.
Wieland Hethur
Jolanta Döring
Dr. Luisa Anders B.A.
Aziz Bauer MBA.
Frau Dora Rosemann B.A.
Prof. Sandra Klapp
Prof. Volkmar Wirth B.Eng.
Ralph Rogge
Ing. Marga Lehmann MBA.
Canan auch Schlauchin-Dussen van
Tabea Schomber
Cosima Johann
Ercan Oestrovsky B.Eng.
Niko Pergande
Univ.Prof. Lydia Langern
Giuseppe Stahr
Bruni Vogt MBA.
Dipl.-Ing. Sigrid Hahn
Darius Gieß
Prof. Heinz-Joachim Losekann
Artur Briemer
Sandra Hornig
Hartwig Zirme
Vitali Faust B.Eng.
Zoltan Wilms
Anne-Rose Hettner B.A.
Arnfried Lorch B.A.
Adelinde Kensy B.Eng.
Beatrix Gehringer
Dariusz Rädel
Meike Trupp
Tino Metz
Ing. Jens-Peter Tschentscher
Massimo Hecker
Natali Patberg B.A.
Silvia Eberth
Stanislav Löffler MBA.
Gisa Gerlach
Liesbeth Schlosser
Regine Sorgatz
Aleksander Wagner-Barth
Rose-Marie Jäkel
Fredi Meyer-Weiß
Dolores Atzler B.A.
Erwin Weimer-Bohlander
Dipl.-Ing. Stefano Ditschlerin
Dr. Ottfried Lachmann B.Sc.
Ing. Nuran Schaaf
Monja Weiß
Ehrenfried Drubin-Paffrath
Annette Ullmann
Sandy Dietz
Massimo Ernst
Rahel Hartmann
Karl-Peter Hofmann B.A.
Dipl.-Ing. Waltraut Kallert
Gunther Tschentscher
Siegmar Keudel-Gude
Karl Heinz Kruschwitz-Reising
Frederik Beyer
Jenny Scholtz
Grit Karz
Alexander Beckmann MBA.
Dipl.-Ing. Eckhard Kallert B.Sc.
Max Fiebig
Annegret Atzler
Hans-J. Neureuther
Lisa Rädel-Bender
Imelda Geißler
Mark Lindau
Ing. Christina Beckmann B.Eng.
Kathrin Dussen van
Univ.Prof. Friedl Tlustek
Henry Austermühle
Sergej Dippel
Mirko Bolander
Mareike Reichmann
Horst-Peter Riehl
Ulrike Hiller
Ing. Agnes Zobel
Ing. Giorgio Warmer B.Eng.
Urs Bähr
Traugott Ruppert
Prof. Karl-Ernst Möchlichen
Myriam Schäfer-Tschentscher
Calogero Seip
Danuta Lachmann-Dussen van
Dorothee Koch II
Michaela Loos-Mentzel
Prof. Ferdinand Gertz B.Sc.
Hildegunde Geißler-Klemm
Fredo Paffrath-Kohl
Bruno Hesse
Dr. Wolf-Rüdiger Trüb
Janet Jüttner
Bodo Kranz-Striebitz
Gitte Buchholz
Götz Hofmann B.A.
Dominic auch Schlauchin
Dipl.-Ing. Christel Beer B.Eng.
Angelique Adler
Gudrun Rörricht
Dipl.-Ing. Danuta Stumpf B.Eng.
Univ.Prof. Fatima Hiller B.A.
Oxana Henschel
Gerta Klemt
Ing. Wolf-Rüdiger Weihmann B.Eng.
Amalia Wulf
Erik Trupp MBA.
Mary Staude
Frau Hildegunde Koch II
Ing. Katarzyna Noack
Friedrich-Wilhelm Holsten
Amalie Gotthard
Herr Goran Paffrath
Reinhardt Pärtzelt
Lisbeth Karge
Hedda Schönland
Heidemarie Junitz
Filippo Juncken
Dr. Alois Kraushaar B.Sc.
Nicolaus Franke-Paffrath
Michelle Pohl
Fernando Tschentscher-Schacht
Irmgard Täsche B.A.
Mercedes Christoph
Gottlob Römer
Aleksander Dowerg
Danielle Drubin
Bertram Segebahn
Reinald Gerlach
Danuta Löwer
Sibylla Pohl
Frau Gilda Ebert
Jonas Beyer
Dieter Trupp
Lukas Zirme
Oliver Schwital
Britt Gorlitz
Claire Rogner-Scheel
Clemens Thanel
Philip Weller B.A.
Babette Rohleder
Etta Hellwig
Matteo Beyer B.A.
Irmengard Jüttner B.Eng.
Herr Hans Rogge
Tanja Renner B.Sc.
Almuth Pieper
Marlene Drubin
Miguel Dussen van B.Eng.
Woldemar Bolzmann B.A.
Ewald Kreusel
Daniele Hering
Gordana Bolnbach
Iwan Butte B.Sc.
Dipl.-Ing. Tina Kranz MBA.
Anett Wieloch
Frau Mirjana Baum B.Sc.
Herr Wieland Hartmann MBA.
Berndt Grein Groth B.Sc.
Wibke Reuter
Marvin Gröttner MBA.
Cornelia Radisch
Francisco Harloff
Heinz-Joachim Trüb B.Sc.
Diether Vogt B.A.
Julian Lehmann-Ortmann
Frau Therese Henk B.A.
Ronald Rädel
Anne-Katrin Höfig
Sandy Fechner
Lars Weller
Irmengard Sauer
Celal Hettner MBA.
Dr. Edit Scheibe B.A.
Dipl.-Ing. Ekrem Thanel
Kreszenz Ruppert-Dobes
Milan Weiß-Schuchhardt
Nadja Geisler
Gesine Graf
Simone Jacobi Jäckel B.A.
Volker Adler
Ing. Willi Warmer B.Eng.
Alwin Scholl
Margarete Kabus
Ing. Rose-Marie Hölzenbecher
Eitel Hethur
Evelyn Ortmann
Sophie Rädel
Stefanie Hertrampf MBA.
Anton Müller
Roland Putz
Nicole Scheibe
Marcella Franke B.A.
Harro Trapp B.Eng.
Prof. Concetta Mies B.Eng.
Otmar Gierschner
Ing. Fredi Löffler
Ing. Jonas Schaaf
Marcus Finke
Rüdiger Heinrich
Marek Schenk B.A.
Annie Langern
Wolfhard Ziegert
Saskia Kallert
Patrizia Bender-Reuter
Dipl.-Ing. Lilly Trüb
Ing. Tina Schmiedt B.A.
Luciano Aumann
Dipl.-Ing. Emmy Börner
Dipl.-Ing. Dörte Häring MBA.
Dipl.-Ing. Rudi Wiek B.Eng.
Siegrid Segebahn
Sibylle Löchel
Nikolas Siering
Frau Ayten Pärtzelt MBA.
Katharine Mohaupt-Heuser
Rene Lindau-Jäkel
Veit Beckmann
Prof. Ludger Kohl MBA.
Dr. Heinz-Georg Aumann MBA.
Harro Keudel
Prof. Ursula Niemeier B.Eng.
Dipl.-Ing. Emanuel Nette
Kaspar Trub
Wiebke Hölzenbecher
Dipl.-Ing. Theda Weinhold B.Eng.
Dipl.-Ing. Charles Täsche
Emilie Schmiedecke
Miodrag Fliegner B.A.
Dr. Alena Hövel
Fernando Reising
Univ.Prof. Maria-Luise Trüb B.Sc.
Ing. Maria Lübs
Edelgard Finke B.Eng.
Jolanta Kühnert
Alexej Liebelt
Brunhilde Scholz
Ernst-August Gunpf
Frithjof Gertz
Veit Etzler
Anne-Rose Klemm
Aenne Beyer
Dr. Czeslaw Neureuther
Ernst Gunpf-Naser
Lukas Ditschlerin
Ibrahim Lehmann B.Eng.
Prof. Irmgard Mühle
Theodora Aumann
Dr. Zeljko Pruschke
Ahmet Eckbauer-Sölzer
Frau Brit Stoll
Robert Budig-Ullmann
Frau Wenke Riehl
Philip Mangold
Dorit Ebert
Orhan Dörr-Salz
Univ.Prof. Athanasios Drub B.Sc.
Kemal Butte-Tintzmann
Aleksej Lehmann
Dr. Matthias Niemeier
Malte Davids
Bianka Dobes-Seifert
Herr Steven Eberhardt
Elli Täsche B.Eng.
Wally Bien-Kraushaar
Gerald Albers-Jähn
Abram Briemer
Lilija Döring
Sieghard Kensy
Frau Antonina Kitzmann
Dr. Leila Gunpf B.Sc.
Ulrike Ackermann B.Sc.
Berndt Barkholz
Theda van der Dussen
Ing. Rico Hoffmann
Raymond Ruppersberger
Stephen Trommler
Hans D. Schenk
Dr. Edda Hecker B.Eng.
Nico Drewes
Gerhild Beyer
Meryem Hänel-Jungfer
Valentina Weihmann-Zahn
Conrad Paffrath
Hans Josef Reinhardt B.A.
Ing. Iwan Wagner
Zita Wieloch-Scholtz
Dr. Annelene Geisel B.Sc.
Dierk Buchholz MBA.
Baptist Gröttner B.Sc.
Univ.Prof. Aysel Lindau
Valeria Conradi
Ronald Henschel
Herr Marian Schlosser B.A.
Maria Mans B.Eng.
Ernestine Stumpf
Guiseppe Kranz
Prof. Hans Dieter Kitzmann MBA.
Frau Käthi Hamann B.Eng.
Isidor Heinrich
Judith Hering B.A.
Thies Birnbaum B.A.
Magarete Krause
Hardy Wende B.Sc.
Univ.Prof. Undine Junken MBA.
Ing. Gerlinde Junken
Hannah Stiffel-Börner
Prof. Dietlind Ullrich B.Sc.
Tina Henschel
Magdalene Patberg-Mosemann
Ilias Weiß MBA.
Jaroslaw Pieper MBA.
Salih Eckbauer-Renner
Woldemar Heydrich B.Eng.
Juliana Schönland
Ing. Jürgen Jopich B.A.
Dr. Annett Siering
Josefa Stolze
Hilmar Graf
Torben Schweitzer
Nikolaus Fiebig
Ing. Helen Gumprich B.Sc.
Janine Söding
Christoph Löchel B.Sc.
Univ.Prof. Niklas Mohaupt MBA.
Arnd Jacobi Jäckel
Ehrenfried Seidel MBA.
Konstantin Rogner
Carin Pruschke
Tabea Rogge
Dr. Anny Kallert
Mira Rohleder
Leon Junken
Francisco Wirth
Micha Schottin
Eva Mosemann
Dr. Gabriel Freudenberger MBA.
Adam Seifert
Dr. Gerold Dörschner
Isidor Atzler
Ljiljana Ruppert
Bertram Höfig B.Sc.
Gerwin Bonbach-Fliegner
Ida Hendriks B.A.
Francoise Vollbrecht B.Sc.
Gabi Klapp
Dr. Jochem Trapp MBA.
Marianna Karge
Ing. Madlen Beier B.A.
Dr. Reza Hering B.Sc.
Hansjürgen Weitzel
Mirja Schottin
Helene Keudel
Prof. Siegrun Langern
Emilia Scheel
Inka Meyer
Reinhold Schäfer-Eimer
Andre Schinke
Guenther Schmidt
Wibke Tschentscher-Wulf
Elfi Herrmann MBA.
Brunhilde Tröst
Magda Geißler
Gebhard Krein
Alexej Wagner
Ing. Hatice Gehringer
Leonardo Lehmann
Dr. Agathe Jähn B.A.
Arnulf Süßebier
Esther Hoffmann-Hermighausen
Rose Beer
Eggert Rörricht-Schwital
Ulrike Rädel B.Eng.
Herr Vito Roskoth B.Sc.
Dipl.-Ing. Matteo Baum
Carla Tintzmann
Fatima Weinhage-Boucsein
Inga Eberhardt
Univ.Prof. Catharina Neureuther B.Sc.
Kläre Mohaupt-Salz
Angela Weimer B.A.
Dr. Lars Klemt
Rolf-Peter Staude
Ing. Czeslaw Geisel
Ing. Wendelin Köster B.A.
Frithjof van der Dussen
Richard Kostolzin
Prof. Sylvana Trapp
René Ullrich
Elena Pruschke
Erna Kensy-Bähr
Justus Schleich-Drewes
Ing. Marlene Wirth B.Sc.
Eileen Hartung
Univ.Prof. Roger Stadelmann B.Sc.
Wladimir Möchlichen MBA.
Dipl.-Ing. Valeria Kühnert MBA.
Mira Bender
Madlen Lübs
Kevin Trubin
Alessandro Krause
Ing. Diedrich Gotthard MBA.
Cindy Stahr
Johan Buchholz
Nils Stey
Franz Josef Girschner
Pasquale Karge
Ilonka Wulf
Arnulf Heidrich
Erdal Bruder
Lieselotte Nohlmans
Sergio Kraushaar-Anders
Maurizio Tschentscher
Hanspeter Juncken
Mathias Matthäi
Anni Seidel B.Eng.
Frau Hella Stumpf
Melitta Drewes
Marzena Mentzel
Achim Etzold MBA.
Reza Kusch
Univ.Prof. Dragan Thies MBA.
Hans-Theo Kuhl
Lidija Trapp
Ing. Hanne-Lore Ackermann
Dr. Margarethe Ernst
Prof. Reimar Reinhardt MBA.
Zeljko Baum
Evamaria Berger
Theodoros Vollbrecht-Gutknecht
Ewa Kade
Ing. Swen Sorgatz B.Eng.
Anika Sager
Hedwig Briemer
Hanne Ackermann
Frank-Peter Weimer
Ing. Helmtrud Dussen van
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Sofie Fiebig-Hermighausen
Mia Paffrath-Ortmann
Brian Ditschlerin
Mike Röhricht-Hauffer
Eileen Etzler
Dipl.-Ing. Ehrenfried Kranz MBA.
Prof. Marian Gerlach
Thea Nette
Luka Zorbach
Corinne Koch II
Kunigunde Ziegert
Hartwig Keudel B.Eng.
Dr. Hans Dieter Mude
Achim Mülichen-Schleich
Ida Buchholz B.Eng.
Eckehard Steckel
Edda Stahr
Univ.Prof. Andrea Gieß B.Eng.
Dr. Jorge Kambs B.A.
Cora Stumpf-Gunpf
Wilhelm Metz
Karin Beckmann
Othmar Täsche-Loos
Hans Kohl MBA.
Stanislav Stey
Bayram Gertz-Hendriks
Rosa Tintzmann
Wenzel Ebert
Ismail Junck-Trommler
Yasemin Hande
Uli Stolze MBA.
Pedro Hande B.Sc.
Ottomar Kraus
Univ.Prof. Kathi Noack B.Eng.
Prof. Tania Grein Groth
Alla Rohleder
Hans-Helmut Binner B.Sc.
Ehrentraud Trubin
Dipl.-Ing. Tim Jäntsch B.Eng.
Gilda Tintzmann
Prof. Götz Finke
Linus Mans-Röhrdanz
Erkan Kuhl-Oestrovsky
Alois Römer-Becker
Irmtraut Süßebier
Dipl.-Ing. Mariechen Bonbach
Diedrich Scheel-Hübel
Dr. Aldo Fritsch
Brunhilde Mälzer-Warmer
Janusz Eberhardt MBA.
Ekaterina Wieloch
Univ.Prof. Damian Sorgatz B.Eng.
Rudolph Metz-Mitschke
Prof. Guenther Margraf B.Eng.
Dipl.-Ing. Konrad Schenk
Maren Anders
Annegrete Pergande
Heinrich Köster
Klaus Lorch-Graf
Gerd Beckmann-Gnatz
Franz Josef Nette-Werner
Ole Schmidtke
Alessandro Caspar
Minna Lindner
Dipl.-Ing. Lotte Austermühle B.A.
Katharine Mühle
Herr Sigismund Gieß MBA.
Cord Tröst
Prof. Bernward Wulf B.Eng.
Ing. Anatolij Heintze
Ing. Gundi Boucsein B.Sc.
Wulf Schuster
Univ.Prof. Diedrich Köhler B.A.
Vesna Bähr
Petar Hamann
Volkmar Hentschel
Bernhardine Mangold
Ing. Pamela Gerlach
Joseph Austermühle
Jens Drubin
Dipl.-Ing. Jens-Uwe Dobes
Hans-Bernd Kabus
Univ.Prof. Mira Mende B.Eng.
