Student
Marie-Therese Steuer
Ilonka Wulf
Ricardo Hesse
Bernd-Dieter Kostolzin B.A.
Adelinde Kensy B.Eng.
Valeska Zimmer-Schleich
Hiltraud Klemm-Pärtzelt
Dorota Wilms
Diedrich Scheel-Hübel
Jan Linke MBA.
Ehrenfried Drubin-Paffrath
Heinz-Jürgen Adolph
Univ.Prof. Pamela Kambs MBA.
Ing. Eckart Becker B.Sc.
Eckhart Gutknecht
Stephen Heidrich
Ing. Klaus-Michael Bolzmann
Dipl.-Ing. Utz Adler B.A.
Jadwiga Gotthard
Ing. Imke Eigenwillig B.A.
Osman Salz MBA.
Inna Weinhage
Alexander Beckmann MBA.
Prof. Pascale Kruschwitz
Tülay Schmidtke B.Sc.
Gottfried Hettner-Reising
Dipl.-Ing. Cynthia Hauffer B.A.
Carina Hövel
Dr. Elena Kade B.Sc.
Dipl.-Ing. Jozef Hartmann
Julian Lehmann-Ortmann
Elfi Herrmann MBA.
Dipl.-Ing. Mariola Lange B.Sc.
Hans Peter Beckmann
Mohamed Schottin
Inna Schulz
Geert Etzold
Janusz Trub-Mühle
Rebecca Börner
Thorben Stiebitz
Bianka Scheuermann
Thomas Kraushaar
Dr. Trude Girschner
Gunter Schenk B.Sc.
Stephen Tintzmann
Ewa Kade
Gerd Becker
Mia Paffrath-Ortmann
Ing. Krzysztof Kambs B.Eng.
Dipl.-Ing. Iris Stumpf MBA.
Prof. Folker Trupp B.Sc.
Alma Kaul
Sibilla Mitschke-Losekann
Robin Flantz
Anatolij Kroker B.Eng.
Marvin Kabus B.A.
Detlev Heintze
Ada Ullmann-Hermann
Frau Rosalinde Riehl
Konrad Henschel
Prof. Miguel Dowerg B.A.
Klaus Dieter Stoll-Wilms
Gertrud Ditschlerin
Marijan Huhn
Fatma Löffler B.Sc.
Sibilla Mälzer
Eveline Kruschwitz B.Sc.
Ing. Amalia Walter
Traudel Loos
Senta Hiller
Thea Schmiedecke
Dörte Nette
Joanna Weinhold-Förster
Herr Augustin Thies B.A.
Elena Ditschlerin
Hans-Georg Dörschner
Dr. Ayse Martin MBA.
Univ.Prof. Gino Wagner B.Sc.
Rebecca Oderwald
Gerwin Salz
Karl-Georg Lehmann
Dr. Hans-Albert Stroh
Milena Weitzel-Steinberg
Herr Hermann-Josef Lehmann B.A.
Eckhard Sölzer
Alice Lachmann-Finke
Gordana Budig B.A.
Friederike Geisler
Univ.Prof. Kathi Noack B.Eng.
Uli Wohlgemut-Stadelmann
Vassilios Davids
Mathias Matthäi
Gilbert Schottin
Karsten Wohlgemut
Prof. Elzbieta Fechner B.Sc.
Süleyman Wende
Ing. Katarzyna Noack
Lilo Scholz
Juliana Weinhage
Irmtraud Schönland
Elke Scholl MBA.
Albert Butte
Fatih Bohlander
Dr. Hans-Heinrich Kaul B.Eng.
Eva-Maria Zänker
Univ.Prof. Woldemar Walter
Prof. Lieschen Bohlander
Emil Preiß-Hecker
Walter Schleich-Segebahn
Jasmina Koch MBA.
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Auguste Buchholz B.Sc.
Margrit Schenk B.A.
Mike Sölzer
Serge Kade
Genoveva Gieß
Luis Jacob
Herr Knud Pölitz B.A.
Edelgard Gnatz-Dobes
Conny Zirme B.Sc.
Reinhart Jopich
Volkmar Trub
Dipl.-Ing. Hanns Nette
Bernhardine Mangold
Korbinian Bolander
Ing. Mahmoud Becker
Ing. Alwine Scholz
Thies Birnbaum B.A.
Francis Rohleder
Cemal Trapp
Baldur Knappe
Theresia Liebelt
Carola Köhler MBA.
Dr. Lieselotte Blümel B.A.
Prof. Sonia Blümel
Diedrich Lachmann-Oestrovsky
Ioannis Junck
Julius Liebelt
Franz-Josef Schmidtke
Ing. Therese Rust
Prof. Katrin Mülichen B.Eng.
Abram Vogt MBA.
Hanni Scholz-Weitzel
Kai-Uwe Köhler
Gülay Weinhold
Annelene Steinberg
Leonid Mühle
Georgia Ruppersberger
Dipl.-Ing. Halina Bender B.A.
Prof. Clarissa Barth
Elwira Wirth
Frieda Tintzmann-Löchel
Maurice Steckel
Herr Andy Förster B.A.
Melissa Dietz
Dipl.-Ing. Harm van der Dussen
Severin Mende B.A.
Univ.Prof. Clara Heidrich B.Sc.
Edeltraud Mülichen
Silja Jüttner
Jurij Eimer
Dorota Sorgatz B.A.
Miodrag Dörr-Austermühle
Lorenz Schwital-Stadelmann
Christel Bärer-Zirme
Christl Pölitz
Danica Atzler
Friedericke Lehmann B.Sc.
Jochem Hermighausen
Hanno Löffler
Isa Knappe-Biggen
Nils Stey
Urszula Rudolph
Margareta Lübs-Vollbrecht
Ellen Trub
Dr. Gerd Fechner
Ing. Gerti Franke
Univ.Prof. Milka Bähr
Calogero Heintze
Isabell Buchholz
Ruthild Schüler B.Eng.
Frau Margit Gehringer MBA.
Alena Neureuther
Ludwig Reinhardt
Genoveva Hofmann
Ing. Czeslaw Geisel
Christoph Löchel B.Sc.
Tomas Säuberlich B.A.
Ljiljana Ruppert
Pius Röhrdanz
Cordula Schmiedecke-Wilms
Melitta Steinberg
Hansjürgen Eberth
Dipl.-Ing. Arthur Ziegert
Gertraut Koch II
Agathe Trommler
Elisabeth Wieloch-Boucsein
Ottomar Hermann
Erika Pruschke
Herr Konstantin Neureuther B.A.
Hans-Hinrich Trub
Univ.Prof. Josefine Gerlach
Helmtrud Atzler
Liane Hermann MBA.
Gabi Gertz
Herr Bruno Kreusel
Imelda Schäfer
Ivan Plath
Imelda Söding
Univ.Prof. Dogan Mielcarek
Hildegard Schlosser-Jacobi Jäckel
Änne Ring MBA.
Stella Barth
Prof. Niels Barkholz
Gitta Römer
Univ.Prof. Gustav Sölzer
Amanda Eimer B.Sc.
Gerd Süßebier
Vladimir Kruschwitz
Sebastian Warmer
Louis Geisel
Ing. Giorgio Warmer B.Eng.
Friedlinde Mühle B.A.
Reinhard Rogge
Pero Gutknecht
Lilija Döring
Attila Atzler
Heidrun Stiebitz
Wenke Stolze
Matthäus Hübel
Prof. Cäcilie Staude B.A.
Willy Kallert
Ing. Anastasios Berger
Geraldine Eckbauer
Mike Röhricht-Hauffer
Kai-Uwe Bohnbach
Annelene Zänker
Annaliese Heser B.Sc.
Ing. Friedhold Hartung B.Sc.
Sabrina Schomber
Rosita Wesack B.Sc.
Natalie Werner
Jonas Mühle
Sabrina Kohl
Jann Geisler
Ing. Celal Textor
Guiseppe Tschentscher
Thorsten Adler B.Sc.
Nora Klapp-Finke
Harro Gunpf
Lieschen Walter
Irina Birnbaum
Dr. Annika Gude MBA.
Caroline Wende
Nada Hänel
Edda Gertz B.Eng.
Juan Klapp B.Eng.
Stephanie Beer
Carmelo Stiebitz
Dipl.-Ing. Woldemar Benthin B.A.
Nikolai Haase B.Sc.
Theodoros Vollbrecht-Gutknecht
Leopold Jungfer
Ruth Mangold B.Sc.
Philipp Reising-Harloff
Thorben Kitzmann
Ing. Anneliese Döring
Falko Schüler
Jasmina Rädel
Janko Stey MBA.
Uli Oderwald-Freudenberger
Verena Höfig
Sergio Schleich
Bernhardine Pechel
Curt Mühle
Sybilla Striebitz
Engelbert Carsten-Hiller
Nuri Jopich
Theresa Hethur-Kabus
Felicia Flantz-Lehmann
Kenan Wulff-Plath
Abram Eckbauer B.A.
Univ.Prof. Ignatz Baum
Prof. Heinz-Peter Thies
Lotti Rosemann
Beatrice Bender
Cecilia Scholz-Barth
Prof. Georgia Zirme MBA.
Frau Gudrun Huhn B.Sc.
Herr Heinz-Josef Wende MBA.
Hans-Willi Baum-Staude
Herr David Freudenberger B.Eng.
Kordula Lange
Dipl.-Ing. Traudel Eigenwillig
Univ.Prof. Alberto Steuer
Ernst-August Gutknecht
Univ.Prof. Ottfried Scholl
Fredi Wilmsen
Ing. Thekla Beyer B.Sc.
Frau Notburga Pergande
Maurice Möchlichen
Hans Dieter Kallert
Klaus-Dieter Hecker
Halina Lachmann
Cemil Schweitzer
Alicja Pergande
Marlen Hesse
Kunigunda Reising
Univ.Prof. Francesco Schulz B.Eng.
Univ.Prof. Helge Pieper
Karl-Dieter Segebahn-Köster
Gina Wulff B.A.
Dr. Mohammed Höfig
Adelgunde Wagenknecht
Hans-Günther Scheuermann B.Eng.
Muharrem Rosemann-Heidrich
Ilja Krause
Dipl.-Ing. Rabea Sorgatz MBA.
Canan Heinrich
Ivana Eimer
Anneli Schleich-Ullmann
Imke Austermühle-Löwer
Gislinde Lehmann
Ann Stumpf
Danilo Hartmann
Univ.Prof. Andrea Gieß B.Eng.
Hülya Stadelmann
Hatice Jessel
Sonja Löchel
Heidelore Stolze
Univ.Prof. Henry Wohlgemut B.Eng.
Leopoldine Butte
Dörte Warmer
Prof. Tilmann Franke B.Sc.
Carsten Jüttner B.Eng.
Jacob Bähr
Christiane Blümel
Dr. Alois Kraushaar B.Sc.
Undine Scheibe-Stey
Conrad Paffrath
Dr. Joseph Bien
Dr. Selma Geisel B.Sc.
Faruk Döhn
Iris Mans
Anna Lübs
Dr. Anto Wende
Dörte Dobes-Bonbach
Univ.Prof. Jaqueline Dehmel
Wolf Schottin-Gunpf
Prof. Volkmar Heuser
Karin Beckmann
Danilo Ladeck-Köhler
Gerhardt Barkholz B.Eng.
Marko Trupp
Bernard Steinberg
Anto Kobelt-Kobelt
Herr Wladimir Bolnbach
Herr Salih Blümel
Ing. Vitali Hentschel MBA.
Jens-Uwe Käster
Siegmar Keudel-Gude
Stavros Vollbrecht-Geißler
Baptist Radisch MBA.
Friedericke Ring MBA.
Bodo Kranz-Striebitz
Tadeusz Weller
Engelbert Margraf-Trommler
Janine Müller-Steckel
Anny Zirme
Leonhard Adolph
Egbert Tschentscher
Lilly Girschner-Ritter
Herr Wolfhard Hövel
Ing. Rosalinde Rogner MBA.
Bernhardine Wilmsen
Othmar Täsche-Loos
Prof. Helmut Hellwig MBA.
Theodor Bolnbach-Kroker
Gerold Schuchhardt B.Sc.
Dr. Marliese Junck B.Sc.
Univ.Prof. Olivia Gnatz MBA.
Jurij Zimmer
Jolanda Henck
Elma Junken
Ferdi Hoffmann
Kerstin Heidrich B.A.
Frau Sibel Trommler
Brita Roht MBA.
Antonino Klingelhöfer
Bogdan Pohl
Ladislaus Hande
Lars Eckbauer-Möchlichen
Elise Ackermann
Jessika Käster
Giuseppe Trupp
Bela Naser-Löwer
Univ.Prof. Leni Bonbach
Kira Tschentscher MBA.
Ing. Vesna Kroker B.Eng.
Gino Hartung
Johann Baum
Nadja Schleich MBA.
Brunhilde Tröst
Hanife Thies
Hans Dieter Fiebig B.Eng.
Centa Kaul
Sigmund Mosemann
Mia Roskoth
Arnulf Süßebier
Dipl.-Ing. Wolfram Johann B.Eng.
Hans-Adolf Mosemann B.A.
Frau Maria Jopich
Gisa Gerlach
Univ.Prof. Pascal Schweitzer
Polina Kostolzin
Dragica Kreusel
Annamaria Scholtz
Marion Weinhold-Pechel
Univ.Prof. Adelbert Zimmer
Hans-Karl Christoph-Schleich
Natali Patberg B.A.
Wendelin Schäfer B.Sc.
Ing. Jonas Schaaf
Hans-Herbert Harloff
Geza Bloch-Mühle
Jennifer Berger
Kathrin Dussen van
Ignaz Schottin
Ben Zahn
Prof. Kata Häring
Ulrike Schleich-Süßebier
Dipl.-Ing. Betty Niemeier MBA.
Frau Elsa Mälzer
Frau Waltraud Weitzel B.A.
Luisa Seip B.Sc.
Prof. Freya Biggen B.Eng.
Jonathan Schottin-Naser
Paolo Hentschel-Zobel
Reingard Cichorius
Prof. Rosa Kruschwitz B.Sc.
Dr. Markus Roskoth B.Sc.
Hanne-Lore Johann
Tony Hecker
Frank-Michael Löwer-Ring
Frau Herlinde Segebahn
Max Fiebig
Mattias Sorgatz-Haase
Emilie Scholz
Dipl.-Ing. Lilly Boucsein B.Sc.
Björn Steckel B.Eng.
Emmy Koch
Adelheid Schmidtke
Franz Josef Haase
Laszlo Nerger MBA.
Dr. Jorge Kambs B.A.
Hans-Rudolf Dehmel
Prof. Sylvester Bender
Herr Darius Heuser
Dipl.-Ing. Gerdi Wende
Fabienne Birnbaum
Henny Rose
Mario Bärer
Jolanta Döring
Toralf Pieper
Dr. Leonhard Otto
Dursun Atzler B.A.
Milica Reichmann
Frau Alwina Bohnbach B.Eng.
Edda Henschel
Desiree Gierschner B.Eng.
Heinz-Günter Fischer
Valentina Weihmann-Zahn
Irmi Schacht
Wanda Vollbrecht-Reinhardt
Thorsten Kensy B.Eng.
Gabriela Freudenberger B.A.
Dr. Diedrich Gerlach B.A.
Hilmar Graf
Frau Belinda Plath B.A.
Mesut Trommler
Wolf-Rüdiger Börner
Dr. Karla Christoph
Prof. Ahmad Rörricht
Frau Mira Klemm
Pawel Schlosser
Hansjürgen Schlosser
Carmine Hauffer
Iris Ullrich
Gunhild Nohlmans
Katharine Mühle
Kai-Uwe Oderwald
Tillmann Stolze
Charles Heinz
Anatoli Anders
Annett Sorgatz B.Eng.
Jeanette Speer
Dr. Stephanie Ladeck
Claus-Peter Flantz
Herr Wilhelm Schuchhardt B.A.
Denny Bohlander B.A.
Hansjürgen Säuberlich
Simone Harloff B.Eng.
Nurettin Bärer B.Eng.
Dierk Beier
Ildiko Mitschke B.Sc.
Micha Eckbauer B.Sc.
Hans-Hermann Haering
Dr. Zehra Etzler
Dr. Ottfried Lachmann B.Sc.
Tibor Bolzmann MBA.
Henning Fechner
Siegrid Misicher
Frau Gertraude Wesack B.Eng.
Beata Stahr
Stefani Caspar
Leonardo Trub B.A.
Ing. Kunigunde Wieloch
Jaqueline Weitzel-Pölitz
Ing. Jaqueline Wende B.A.
Dipl.-Ing. Till Säuberlich
Moritz Spieß
Irmtraut Noack
Alicja Faust B.Eng.
Reinhold Bloch
Prof. Karl-Friedrich Geisler B.A.
Dr. Cengiz Säuberlich
Vassilios Birnbaum
Adolfine Fischer
Rouven Eberhardt
Prof. Siegbert Scheuermann B.A.
Giesela Börner B.Eng.
Aneta Kambs
Leo Gunpf-Bolzmann
Leon Aumann
Kathrin Johann-Schulz
Cord Zorbach
Annelie Heuser
Herr Louis Hövel
Maria-Theresia Tschentscher
Prof. Heinz-Joachim Losekann
Ivanka Rogge
Mirella Löchel
Belinda Reinhardt B.A.
Ing. Wenke Karge B.Sc.
Svea Krebs-Scheibe
Kasimir Lindau
Dipl.-Ing. Tamara Seifert B.A.
Evelyn Stolze
Alida Tröst
Christos Bolander
Anthony Heintze
Anica Tintzmann B.Eng.
Dr. Patrizia Dörschner B.A.
Ing. Ben Lindau MBA.
Manuel Wagenknecht
Karlfried Karge-Wieloch
Friedrich-Karl Eberth
Leonardo Vogt
Bertha Reuter
Tülay Fiebig
Rainer Gude-Kaul
Hellmuth Drubin-Tschentscher
Cetin Schwital
Dr. Margarethe Ernst
Marianna Geisler
Marga Vogt
Aziz Hornich
Oliver Kohl
Karla Freudenberger MBA.
Ing. Nils Pergande B.A.
Luciano Klotz
Prof. Jonas Scholtz
Svetlana Bonbach B.A.
Patricia Schäfer
Wolf Häring-Kallert
Univ.Prof. Vesna Hering
Silvester Etzold
Geza Hertrampf B.A.
Karla Wirth
Lydia Losekann MBA.
Gina Stumpf
Ulrike Misicher MBA.
William Zirme
Krzysztof Mülichen
Senta Warmer
Harry Lange
Mara Vollbrecht B.A.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Czeslaw Jacobi Jäckel-Zahn
Ilja Preiß
Edda Salz
Dr. Gerold Dörschner
Carolina Ditschlerin
Renate Franke B.A.
Ilka Faust
Edeltraut Anders-Rohleder
Martine Conradi
Dr. Alberto Kabus B.Sc.
Dr. Kristine Tschentscher
Heinz-Gerd Söding
Marco Schinke B.Eng.
Siegrun Reinhardt
Herr Hilmar Stumpf
Irmengard Rudolph
Frau Siegried Margraf B.Sc.
Ruthild Juncken B.Sc.
Selim Pieper
Dipl.-Ing. Alexandros Weinhold
Univ.Prof. Tina Rose
Prof. Meinrad Wiek
Frau Gertrud Jüttner
Dipl.-Ing. Kevin Stadelmann
Magdalena Löwer B.Eng.
Virginia Gieß
Brunhild Karge B.A.
Dr. Elwira Hiller
Wolf-Dietrich Berger
Reinhard Beckmann
Filippo Kostolzin
Clara Ruppersberger
Siegbert Schweitzer
Hanna Speer
Prof. Fredy Hahn
Ruth Wiek-Bloch
Kristin Jacob
Willibald Ziegert-Siering
Kunigunda Hänel-Briemer
Vitali Neureuther
Milos Biggen
Concetta Neureuther
Rosalinde Trupp
Constantin Kostolzin
Karl-Peter Heser
Hans-Adolf Römer-Jäntsch
Zenon Hahn MBA.
Tabea Kaul
Albin Budig
Massimo Hecker
Prof. Jolanthe Gude
Gusti Henschel
Wieslaw Lachmann
Gabriella Schuster
Karoline Carsten
Herr Rüdiger Ruppersberger
Diether Blümel
Erwin Jopich
Vadim Bender B.A.
Heinz-Georg Rosemann-Bohnbach
Ing. Hatice Gehringer
Reingard Jungfer
Elisa Noack-Seifert
Johannes Schuchhardt-Junitz
Ing. Käthi Schäfer
Hans-Erich Warmer B.A.
Liesbeth Huhn
Ralph Rogge
Herwig Krebs
Steven Käster B.Sc.
Hanns Bender
Berndt Grein Groth B.Sc.
Edgar Bauer
Baptist Vogt
Ing. Kläre Radisch
Dr. Fatma Jacob MBA.
Almut Trupp
Christiana Bauer
Ernest Tlustek
Hans-Josef Butte-Dussen van
Nadin Radisch
Sigurd Süßebier
Angelique Speer B.A.
Dipl.-Ing. Marisa Scholl
Slawomir Drub-Gute
Dr. Hildegund Gnatz B.Eng.
Dr. Diedrich Krebs B.A.
Univ.Prof. Janos Rörricht MBA.
Ilona Roskoth-Bolander
Francoise Rust
Arif Pergande-Wagenknecht
Hilde Lübs
Heide-Marie Heß B.A.
Alfons Schleich B.A.
Olivia Jäkel
Maximilian Pohl B.A.
Anatol Hübel
Univ.Prof. Marcella Trüb
Ingried Ullmann
Britt Schwital-Seip
Gülten Henschel
Agnieszka Steckel
Univ.Prof. August Schleich B.A.
Paola Kroker-Klotz
Univ.Prof. Christa-Maria Lehmann B.A.
Frau Theodora Hettner B.A.
Steffi Schmiedt B.Sc.
Robin Weinhage B.A.
Dipl.-Ing. Bernward Putz B.Eng.
Rico Putz-Killer
Siegbert Conradi
Hans-Detlef Schäfer
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Hans-Helmut Eimer MBA.
Nikola Riehl
Ing. Marie-Therese Schleich
Moritz Holzapfel
Achim Mülichen-Schleich
Tino Metz
Dariusz Wirth
Phillip Hermann
Horst-Peter Thies
Calogero Hoffmann B.Eng.
Manuela Linke B.Eng.
Marie-Luise Rogner
Dipl.-Ing. Ekrem Thanel
Marita Henk
Gundi Sager
Elzbieta Putz B.Eng.
Piotr Speer-Seifert
Valeska Geisler B.Eng.
Univ.Prof. Gislinde Rohleder
Karl-Georg Dörschner
Hansjoachim Kraus-Beer
Ulla Fliegner-Sölzer
Dominic Schönland
Frau Änne Gunpf B.Sc.
Josip Hiller-Hauffer
Ing. Leszek Gutknecht B.Sc.
Isidor Täsche
Rosemarie Hethur
Urs Bähr
Wilma Drub B.Eng.
Bayram Kostolzin-Rosenow
Solveig Trapp MBA.
Heinz-Wilhelm Steuer-Mende
Margareta Losekann
Olga Albers B.Sc.
Antonina Pärtzelt-Gerlach
Prof. Attila Werner B.A.
Alwine Wirth-Klemm
Reimer Scheel B.Eng.
Natalja Löchel-Beckmann
Gertraud Mende
Dr. Heinz Dieter Dörschner
Dr. Luciano Ortmann
Cemal Hamann
Marisa Wagenknecht
Dr. Elfie Tintzmann
Daria Liebelt
Helma Schaaf B.A.
Carina Kusch
Ernestine Tröst
Herr Steven Eberhardt
Elizabeth Vollbrecht
Katharina Speer
Dr. Isabell Trupp
Elisabet Schuster B.A.
Dietrich Bien
Prof. Gaby Ernst MBA.
Myriam Schäfer-Tschentscher
Horst-Günter Renner
Sofia Austermühle
Dipl.-Ing. Harm Ruppert MBA.
Ferenc Trüb B.A.
Antonietta Hübel
Bernfried Roht
Anka Boucsein
Uschi Keudel
Univ.Prof. Ferenc Knappe B.Sc.
Fedor Röhrdanz
Nadine Schleich
Nadia Herrmann
Andreas Metz
Falk Wagenknecht B.Eng.
Anna-Marie Ullrich
Heinz-Günter Hesse
Annelene Reuter B.A.
Dr. Frithjof Weinhage MBA.
Prof. Julia Möchlichen B.A.
Wilhelm Metz
Gert Hölzenbecher B.Sc.
Herr Tino van der Dussen MBA.
Sigurd Lange-Seifert
Marit Söding
Dr. Vitus Franke
Ing. Steffen Röhrdanz B.A.
Bruno Hesse
Annegret Holt-Heuser
Josefa Stolze
Prof. Jelena Krebs B.Sc.
Anneli Neuschäfer
Carlo Bohlander
Ing. Jens Henck B.Eng.
Ewa Bolnbach-Textor
Marie-Theres Pechel
Sybilla Eigenwillig
Eveline Birnbaum
Eugenia Anders B.A.
Kai-Uwe Schäfer
Herr Janus Matthäi B.Sc.
Ing. Leo Schulz
Herr Günther Krein MBA.
Stjepan Wesack-Winkler
Annita Jähn
Univ.Prof. Reinhilde Cichorius B.A.
Hannchen Löwer B.Eng.
Cristina Salz B.Sc.
Nicole Scheibe
Prof. Volkmar Wirth B.Eng.
Salvatore Tlustek
Rudolph Metz-Mitschke
Sebastian Stiffel B.A.
Sinaida Adolph
Senol Harloff-Lindau
Leni Heß
Salih Eckbauer-Renner
Lilly Beckmann B.Sc.
Prof. Luzie Killer B.Sc.
Undine Eimer
Gabi Heinz
Saskia Roskoth B.Eng.
Univ.Prof. Maria-Luise Trüb B.Sc.
Valeri Mielcarek
Hartmuth Vollbrecht
Monja Heidrich
Marion Wohlgemut B.A.
Regina Becker
Enrico Oderwald
Helga Hövel MBA.
Herr Emin Trubin
Prof. Evelyn Henk
Prof. Robert Heintze
Mariele Stiffel B.Sc.
Lia Heydrich
Karl-Peter Hofmann B.A.
Erwin Etzold
Ing. Stella Wagner
Hans Jörg Koch
Dipl.-Ing. Agatha Pruschke
Dr. Franco Stumpf B.Eng.
Zdenka Heser
Jerzy Wagenknecht B.A.
Kati Koch II
Hans-Werner Mohaupt
Sebastian Aumann
Reni Römer
Reinhard Christoph
Natali Löffler
Viola Sager
Konstantinos Lindner
Ingelore Heinz
Folkert Reinhardt B.Sc.
Adelheid Hecker
Antonina Neureuther
Gunhild Holt-Rust
André Kraushaar-Henck
Mercedes Kobelt MBA.
Katerina Hauffer
Dina Hartung
Prof. Knud Salz
Kunibert Hahn-Lindau
Vito Gorlitz
Dr. Heinz-Georg Aumann MBA.
Pero Scheuermann
Univ.Prof. Heinrich Reinhardt MBA.
Rosalinde Killer
Herr Gundolf Barth
Ing. Lucie Karz
Julia Graf
Herr Darko Gutknecht MBA.
Brunhilde Mälzer-Warmer
Frau Helena Nette
Erdal Meyer B.A.
Arnulf Ullmann
Justina Zirme
Rosalia Johann
Mareile Meister
Geraldine Gutknecht
Robert Herrmann
Herr Jerzy Drub
Ing. Rico Hoffmann
Olga Stahr
Olaf Hethur
Bertha Ritter-Drubin
Heribert Kensy
Zenon Pärtzelt
Peter Sontag
Frau Svenja Hövel B.Sc.
Slavica Koch
Ing. Wladimir Karz MBA.
Cläre Mohaupt
Univ.Prof. Heidrun Hiller
Artur Budig
Veronique Eimer
Raymund Koch II-Margraf
Klaus-Werner Jäkel-Holsten
Hans-H. Pergande
Adeline Holsten
Sabine Gude
Henner Schweitzer
Fredy Ring
Dipl.-Ing. Elly Davids B.Sc.
Osman Liebelt
Eberhardt Mielcarek
Dr. Herbert Jockel B.Eng.
Kirstin Kusch-Meister
Elena Wilmsen
Susi Hendriks
Heinz-Otto Hermighausen
