Student
Hans Georg Gorlitz-Schäfer
Udo Grein Groth
Ing. Ivo Weinhold
Oscar Junitz
Dr. Jonas Fechner
Annie Hänel
Benita Juncken
Frau Alwina Bohnbach B.Eng.
Jonas Boucsein
Ljudmila Trapp
Univ.Prof. Othmar Geisel
Adam Gertz
Gundula Klotz
Balthasar Holsten
Dipl.-Ing. Ingbert Krebs B.Eng.
Ing. Jaqueline Wende B.A.
Celal Scheel B.A.
Frank-Michael Klemt
Gina Stolze
Herr Tino van der Dussen MBA.
Mike Krein
Henning Scholl
Heinz-Günter Hesse
Madeleine Thanel MBA.
Roy Holt
Victoria Binner
Willy Weiß
Hilde Walter
Eugenia Stey
Nadine Schleich
Tilman Henschel
Rosa-Maria Losekann-Schulz
Adalbert Ullmann
Alois Werner
Ing. Knud Vogt
Irmela Höfig B.Sc.
Maximilian Jockel
Dietlinde Käster
Marion Kuhl
Baptist Gröttner B.Sc.
Ing. Hannes Jähn B.Sc.
Aenne Sölzer B.A.
Hans Kraus
Univ.Prof. August Gunpf B.A.
Celal Hettner MBA.
Annekatrin Trupp
Gordon Klemt-Rörricht
Dipl.-Ing. Adele Huhn MBA.
Magarete Beyer B.Eng.
Zita Wieloch-Scholtz
Sigmar Briemer
Nikola Riehl
Engin Trub
Univ.Prof. Baptist Mende MBA.
Thaddäus Kraushaar-Ruppert
Stella Mülichen
Univ.Prof. Franz-Josef Holt
Marie-Louise Girschner
Elli Täsche B.Eng.
Wolfhard Rosemann B.Eng.
Annie Harloff B.A.
Univ.Prof. Milan Hande
Clarissa Adler
Svetlana Boucsein
Elfie Otto
Univ.Prof. Sonja Hande MBA.
Olav Margraf
Kristina Scheibe
Ing. Käthi Schäfer
Nadja Geisler
Bernadette Sorgatz
Enrico Drewes
Irmtrud Textor B.Eng.
Leopold Rörricht
Sieglinde Stahr
Gisa Budig-Löwer
Ing. Carolin Faust B.A.
Phillip Salz B.Sc.
Ing. Aldo Radisch
Prof. Bianka Reinhardt
Prof. Maya Peukert
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Hansgeorg Hettner
Faruk Köhler
Insa Karz-Mangold
Maximilian Heß
Ing. Philipp Textor
Dipl.-Ing. Nathalie Radisch
Jose Tlustek B.Sc.
Frau Margit Gehringer MBA.
Henner Schmidt
Isabelle Förster-Beyer
Dipl.-Ing. Friedhilde Hauffer B.A.
Janko Schulz-Becker
Thorben Rosenow
Carolin Stumpf B.Eng.
Carmine Hauffer
Leonardo Birnbaum
Kevin Etzler
Valentin Döring
Herr Günther Krein MBA.
Evelyne Beyer
Helga Gerlach-Seifert
Laurenz Siering-Kallert
Hansjoachim Salz-Junk
Bela Naser-Löwer
Alexandre Caspar
Reinhard Zänker
Anselm Dowerg
Ing. Zbigniew Warmer MBA.
Edda Salz
Henrik Hein B.A.
Ewald Hethur
Frau Etta Wesack MBA.
Slavko Weitzel B.Sc.
Reiner Conradi
Dipl.-Ing. Gabriel Roskoth
Ottomar Hermann
Hans-Karl Bauer B.Eng.
Herlinde Schenk B.A.
Sibylla Klingelhöfer B.Sc.
Ing. Anna-Maria Stey
Guenther Metz
Belinda Reinhardt B.A.
Helmtrud Gerlach
Grzegorz Bohlander
Eileen Etzler
Brigitte Geisler
Univ.Prof. Herlinde Klotz
Sabrina Kohl
Univ.Prof. Friedl Tlustek
Catrin Caspar
Maren Drub
Gerti Trupp-Dowerg
Anatol Gude MBA.
Beatrix Gehringer
Thorsten Bolzmann-Hesse
Eckehard Nette
André Röhrdanz B.A.
Prof. Martin Ullmann
Virginia Gorlitz
Ing. Tillmann Geisel
Ulrike Albers
Bekir Bonbach
Falko Kusch B.A.
Justina Zirme
Jaroslaw Seip
Marietta Heinrich
Manuel Schenk
Erika Pruschke
Friedrich-Wilhelm Höfig-Johann
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Fatih Ladeck-Weihmann
Luigi Hartung
Hanni Dippel-Heser
Ekrem Pruschke-Jäkel
Prof. Karl-Ernst Möchlichen
Eva-Marie Berger MBA.
Adelinde Gutknecht-Beier
Florian Wulff
Johanna Stumpf
Frau Juliane Schulz B.Sc.
Ing. Wolf-Rüdiger Dietz B.Sc.
Urszula Rudolph
Cecilia Gertz
Raymond Drub B.Sc.
Veronica Benthin
Aynur Bohlander
Mary Reuter B.Sc.
Magarete Schomber
Prof. Katrin Mülichen B.Eng.
Grzegorz Mende B.A.
Ing. Hüseyin Gutknecht B.Sc.
Iwan Käster
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Achim Etzold MBA.
Traude Kuhl
Hannelore Haase
Prof. Ilse Schmiedecke
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Heidelore Pärtzelt MBA.
Ralph Hellwig-Lachmann
Markus Eimer
Dietlinde Binner
Prof. Klaas Geißler B.A.
Ing. Alla Schottin B.A.
Dr. Rosmarie Seip
Wanda Vollbrecht-Reinhardt
Karla Wirth
Elvira Scholtz
Wilma Paffrath
Univ.Prof. Marleen Kabus
Alfons Klingelhöfer
Ulf Dörschner
Prof. Knud Atzler B.Sc.
Maurizio Mans-Ullmann
Prof. Irmhild Fritsch
Laurenz Rosemann
Ron Dobes-Weihmann
Paolo Meister
Isa Weihmann
Karl-Heinz Hahn
Herr Wladimir Bolnbach
Univ.Prof. Johan Lange
Günter Wiek B.A.
Ron Sorgatz-Eimer
Prof. Heinz-Peter Thies
Virginia Textor
Fatima Eckbauer-Rosemann
Dipl.-Ing. Katarina Schmidtke
Trudi Radisch
Svetlana Bohlander B.Sc.
Felicia Löffler
Marliese Drubin
Margarethe Steckel
Rene Wernecke
Herr Falk Holzapfel
Dr. Hans-Heinrich Kaul B.Eng.
Herr Thorsten Hartmann B.Eng.
Willy Trub-Freudenberger
Wanda Becker
Maren Bachmann-Stumpf
Univ.Prof. Halina Hamann MBA.
Aleksander Dowerg
Alicja Faust B.Eng.
Univ.Prof. Ralf-Dieter Kabus MBA.
Heinz-Otto Geisler B.Sc.
Ing. Galina Hahn
Diether Dussen van-Rohleder
Stavros Hentschel B.Eng.
Ivo Wesack B.Sc.
Ing. Gottfried Hoffmann
Isa Knappe-Biggen
Frau Monique Löchel
Brunhilde Koch II
Emanuel Schinke B.Sc.
Mohammed Ritter
Friedl Barth
Donald Schönland
Univ.Prof. Lucia Zobel
Herr Jens Ritter B.Eng.
Helge Wilmsen-Hein
Magdalena Sauer
Folker Otto MBA.
Sinaida Heinz-Gnatz
Gottlob Seip
Herr Janus Matthäi B.Sc.
Dr. Ian Grein Groth
Birgid Freudenberger
Joachim Löffler-Riehl
Anka Rohleder
Paola Margraf
Carina Bruder
Enver Börner MBA.
Ing. Romuald Kreusel B.A.
Stjepan Hofmann-Hethur
Dr. Hildegund Söding B.A.
Univ.Prof. Cord Becker
Prof. Annita Wulff
Wally Wähner
Vitali Junken
Delia Rust
Dierk Steinberg
Ansgar Seidel
Helma Zorbach
Ruthild Juncken B.Sc.
Herr Swen Kraushaar B.A.
Nuran Schottin B.Eng.
Janin Hamann
Ahmet Eckbauer-Sölzer
Prof. Patrik Scheel
Dr. Gerhart Käster
Dorota Wilms
Dipl.-Ing. Hanns Killer B.Sc.
Mehdi Bähr B.A.
Emilia Wagenknecht-Riehl
Frau Rosalinde Riehl
Gaby Noack
Univ.Prof. Michaele Heser MBA.
Antonios Walter
Dipl.-Ing. Sigrun Bärer
Concetta Neureuther
Thorben Kitzmann
Dipl.-Ing. Till Säuberlich
Julie Schweitzer
Janett Patberg
Heiko Metz
Margita Hentschel
Frau Mirja Jüttner B.Eng.
Stefanie Benthin
Hanna Jäntsch MBA.
Karl-Ludwig Bolnbach
Evelyn Stolze
Stephen Ackermann B.A.
Falko Schüler
Ing. Margarethe Martin
Fadime Heidrich B.A.
Lambert Röhricht-Johann
Sylvester Bender-Boucsein
Cornelia Radisch
Prof. Ingeborg Noack
Egbert Tschentscher
Prof. Karl-Heinz Ruppersberger
Hans-H. Pergande
Claudio Bolnbach
Recep Hecker
Dr. Luciano Ortmann
Gülsen Benthin
Fernando Dobes
Nelly Schlosser
Dana Ebert B.A.
Marijan Huhn
Frau Xenia Blümel
Pius Jopich B.Eng.
Nils Hermighausen
Raimund Gieß
Marcel Hermighausen
Änne Schweitzer-Putz
Bert Junck
Annika Lindner
Sophie Pruschke
Prof. Ignaz Cichorius
Victor Seifert
Ramona Römer
Tülay Henschel
Anna-Lena Sontag-Köhler
Ludmila Stadelmann
Hubertine Krein
Dr. Anika auch Schlauchin B.Sc.
Norman Wulf
Henryk Bauer
Undine Lindner
Ivonne Hahn
Stefano Wagenknecht
Anna-Luise Kraushaar
Franz-Xaver Carsten
Gerlinde Albers-Hörle
Katy Täsche
Canan Beyer
Eleni Matthäi
Dipl.-Ing. Utz Henschel MBA.
Lutz Röhricht B.A.
Lili Weimer
Selma Fritsch B.Eng.
Prof. Fredy Hahn
Thies Pergande
Polina Kostolzin
Marzena Mentzel
Cornelius Jacobi Jäckel
Hanife Ackermann
Herr Dietrich Gotthard B.A.
Prof. Svea Putz MBA.
Cosimo Bender
Sina Patberg
Stefano Atzler
Prof. Juliane Henck MBA.
Ehrentraud Trubin
Anne-Rose Klemm
Dariusz Rädel
Ing. Selim Tintzmann B.A.
Tassilo Gehringer
Gert Kensy B.A.
Marina Hofmann
Guntram Scholz MBA.
Abram Vogt MBA.
Sara Johann
Agatha Sager-Geisler
Patric Geisler-Becker
Sibylla Koch MBA.
Anne-Katrin Seip
Marco Stey
Karolina Hartmann
Carin Mohaupt-Heser
Dagobert Hornig
Reza Kusch
Enver Dehmel
Vladimir Wulf B.A.
Elif Röhricht
Lars Ullrich
Dr. Tony Ditschlerin
Eugenie Benthin-Ziegert
Ing. Mariechen Nerger B.Eng.
Anika Binner-Löffler
Hiltraud Köster MBA.
Herr Frieder Wulff B.Sc.
Vladimir Patberg-Weller
Sükrü Walter B.Eng.
Frau Annegrete Junk B.A.
Liliana Davids
Nurettin Koch II
Gesche Kühnert
Univ.Prof. Kata Zahn
Uwe Schwital MBA.
Hans-J. Atzler
Swetlana Binner
Gretel Hande
Dipl.-Ing. Birgitta Boucsein
Reimar Hahn-Neureuther
Otmar Gierschner
Dr. Valentina Knappe
Margareta Schmidt
Otfried Ortmann
Gaetano Söding
Roman Hauffer
Hilma Kuhl
Jessica Kohl
Willfried Werner
Friedericke Bolzmann
Rene Bruder B.Eng.
Ben Zahn
Karla Gunpf
Bernhardine Wilmsen
Herr Kurt Weitzel B.Sc.
Benita Ullmann
Anika Biggen MBA.
Univ.Prof. Galina Kobelt B.Eng.
Reingard Geisel
Klaus-D. Segebahn
Univ.Prof. Sigurd Fischer B.Eng.
Dominic Schönland
Marianna Rosenow-Weiß
Antonios Zimmer
Damian auch Schlauchin B.Eng.
Gundula Adler-Bien
Wojciech Girschner B.A.
Eckehard Wernecke
Adele Boucsein B.Sc.
Rudolf Weihmann
Ing. Petar Wilmsen
Gunhild Gorlitz-Heinrich
Reinhard Christoph
Urszula Fliegner
Marlies Beckmann
Carla Schacht
Hanne-Lore Kraus
Univ.Prof. Hiltrud Löwer
Marcella Franke B.A.
Georgine Segebahn
Ralf-Dieter Sauer-Hermighausen
Saban Etzler B.Eng.
Geert Rust
Margita Schleich-Becker
Elisa Mälzer
Prof. Rolf-Dieter Fiebig MBA.
Hans-Gerd Gnatz
Anita Mohaupt
Cynthia Linke
Silvester Fischer
Gordana Bolnbach
Rosi Renner-Graf
Emma Trub-Scheuermann
Waldemar Ladeck
Prof. Linda Beier
Prof. Oswald Ehlert MBA.
Wiltrud Gröttner-Klapp
Kathi Hering
Eckhard Sölzer
Dipl.-Ing. Cläre Geißler
Olivia Nerger B.Eng.
Gudula Stroh-Bien
Dr. Daniel Trommler
Gerald Albers-Jähn
Oskar Rosemann
Mariele Peukert
Mariechen Nohlmans
Cora Stumpf-Gunpf
Frau Danielle Junk
Angelina Dörschner-Reichmann
Dittmar Graf
Univ.Prof. Polina Schmidt B.Eng.
Hansgeorg Kruschwitz
Univ.Prof. Waltrud Rogner
Danny auch Schlauchin
Herr Dursun Hentschel B.Eng.
Vincenzo Haering
Herr Roderich Hauffer
Ing. Aziz Hein
Susan Warmer
Stephan Haase MBA.
Prof. Sibel Mälzer MBA.
Univ.Prof. Siegfried Karz B.Sc.
Matthäus Striebitz-Zirme
Matthäus Eckbauer
Dr. Muzaffer Sauer B.Eng.
Ing. Iwan Wagner
Alma Flantz MBA.
Alwina Hettner
Milos Seifert
Reimer Kitzmann
Tülay Schmidtke B.Sc.
Lene Sauer
Hans-Rudolf Dehmel
Robert Weimer
Melanie Hauffer
Dr. Annelene Hamann
Prof. Ahmad Rörricht
Karl-Wilhelm Anders-Gude
Maxim Roht
Willy Hornig
Rosalinde Killer
Guenther Schmidt
Hannes Jäntsch
Prof. Woldemar Beier B.A.
Nuray Aumann
Dipl.-Ing. Jan-Peter Mende MBA.
Olga Stahr
Jonathan Birnbaum-Stiebitz
Jiri Förster
Karl-Hermann Rädel-Müller
Dajana Ring
Gilda Tintzmann
Immo Ring
Hermann Bruder
Trudi Kranz B.Eng.
Josef Langern
René Rose-Krebs
Julia Mosemann
Theda Stumpf B.Eng.
Anton Drubin
Larissa Käster
Janus Weitzel-Koch
James Kostolzin-Haase
Bertha Reuter
Eva Mosemann
Wolfhard Jäkel MBA.
Lisbeth Hentschel
Hansjoachim Kraus-Beer
Dipl.-Ing. Mariechen Bonbach
Hans-Adolf Junken
Inken Gute B.Eng.
Ing. Zoltan Dobes B.A.
Mohammad Karz MBA.
Antonie Fischer-Margraf
Alfredo Oestrovsky
James Ebert
Ilka Lachmann
Christiane Blümel
Alan Eigenwillig
Dr. Ingried Sorgatz B.A.
Evamaria Berger
Heinz Dieter Trubin
Dr. Aribert Sontag
Friedlinde Warmer
René Kruschwitz
Frau Hella Stumpf
Heinz-Josef Jähn MBA.
Sinaida Adolph
Dr. Immo Kramer
Cäcilie Haase
Dr. Reimar Fiebig B.A.
Univ.Prof. Horst Scholtz
Prof. Gunther Klingelhöfer
Univ.Prof. Fredy Barth MBA.
Birgitt Seip-Klemm
Nicolas Möchlichen MBA.
Berit Pärtzelt
Ing. Hans-Joachim Ullrich
Magda Berger B.A.
Lilija Ruppert
Sonia Säuberlich-Langern
Christos Sölzer
Frauke Dörschner
Andrea Hamann
Danilo Hande MBA.
Heinz-Wilhelm Säuberlich MBA.
Margot Schäfer B.Eng.
Univ.Prof. Woldemar Walter
Luzie Schäfer
Hanna Knappe
Tomislav Steckel
Evelyn Ortmann
Dr. Lidija Metz
Ing. Nelli Hornig
Kamil Hecker-Hahn
Doreen Hornig
Marga Vogt
Herr Rolf-Peter Renner MBA.
Ilonka Wulf
Ing. Gundolf Steinberg B.Sc.
Heribert Austermühle-Trupp
Univ.Prof. Teresa Weinhage B.A.
Elias Hethur
Romy Etzold
Mariola Heinrich
Carmine Schacht
Univ.Prof. Änne Finke B.Sc.
Adelheid Schmidtke
Manuel Wagenknecht
Nikola Kitzmann
Ann Stumpf
Herr Herbert Dowerg
Uli Oderwald-Freudenberger
Siegmar Pergande B.Eng.
Tino Paffrath B.Eng.
Dierk Dörr
Mercedes Kobelt MBA.
Sükrü Fiebig
Rosl Trupp
Bogdan Löffler
Roger Hendriks-Ruppersberger
Sieghard Sorgatz
Meral Eberhardt B.A.
Heinrich Kramer
Kuno Kreusel
Björn Rädel-Rohleder
Vesna Döhn
Uli Zimmer
Frank-Michael Köhler
Alicia Ring
Ida Weihmann
Herr Eberhardt Gierschner
Sina Wulff-Dussen van
Univ.Prof. Gönül Meister B.Sc.
Diether Vogt B.A.
Käthe Hande
Jurij Zahn B.Sc.
Belinda Huhn
Karolin Mitschke
Herr Anthony Caspar
William Zirme
Gisa Atzler
Dorle Dörschner
Hans-Helmut Eimer MBA.
Karl Ruppersberger
Silvester Etzold
Aziz Hornich
Jakob Döring
Leonardo Lehmann
Tibor Bolzmann MBA.
Benita Schleich
Dr. Philip Siering B.A.
Engelbert Sauer MBA.
Ursel Juncken-Buchholz
Thekla Schäfer
Hildburg Tlustek
Gabriella Rädel
Ing. Valentine Scheibe
Ing. Carolin Matthäi
Stephan Hauffer
Frau Herlinde Segebahn
Alexander Hörle
Senol Hande MBA.
Cordula Hornig
Alina Spieß
Univ.Prof. Ilja Hentschel MBA.
Reimund Kraushaar
Hans Peter Beckmann
Paul-Gerhard Hein
Reinhold Striebitz
Gislinde Schlosser
Lieschen Walter
Kaspar Aumann
Imke Austermühle-Löwer
Frau Kordula Geisler MBA.
Karl-Georg Römer B.A.
Käthi Naser-Tlustek
Dipl.-Ing. Henrike Hörle B.A.
Jessica Stumpf
Anna-Maria Holzapfel
Lieselotte Dussen van MBA.
Ing. Thomas Drewes B.A.
Torsten Schwital-Gude
Slawomir Ehlert-Reising
Brian Blümel B.Eng.
Zita Klemt
Senta Ruppersberger
Fatma Löffler B.Sc.
Univ.Prof. Francesco Schulz B.Eng.
Thorsten Ruppersberger
Zofia Gumprich
Heide-Marie Zirme
Mehdi Kohl B.A.
Franziska Jüttner
Dipl.-Ing. Hannelore Kostolzin
Wenzel Drubin
Jonas Budig
Gülay Weinhold
Herr Wieslaw Trupp
Hans-Rudolf Fröhlich
Gertraude Hahn
Ronald Henschel
Nicole Scheibe
Adelheid Hecker
Ing. Leonid Budig B.A.
Gilda Scholz
Ing. Arthur Schwital B.Eng.
Natalie Carsten B.A.
Siegrid Misicher
Tomas Tlustek
Ina Christoph B.Sc.
Frau Brigitta Bohlander MBA.
Dr. Gerd Fechner
Tino Metz
Dr. Dora Fischer
Klaus-Werner Bohlander
Prof. Catherine Knappe MBA.
Wibke Reuter
Frau Silvana Bolzmann B.Eng.
Halil Löwer
Roger Gunpf-Paffrath
Jacob Bähr
Janusz Rädel B.Sc.
Fredy Hiller
Dorina Dowerg
Winfried Hermann
Käthi Lübs
Univ.Prof. Athanasios Drub B.Sc.
Hans-Willi Ladeck
Janett Zorbach
Eberhardt Gute
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Cathleen Mies MBA.
Niklas Scholtz
Katharina Etzler
Luigi Junitz
Herr Hans Rogge
Denis Weimer
Hans-Günther Wilmsen
Wilma Matthäi
Frau Ingelore Gertz
Dina Hartung
Milka Wohlgemut-Meyer
Rosa-Maria Knappe
Magnus Heidrich
Gerd Becker
Alina Schmiedecke
Herr Wolfhard Hövel
Carla Ruppersberger
Manuel Pärtzelt
Norman Fechner
Hertha Gieß
Daniele Heintze B.Eng.
Dursun Mies
Gunhild Holt-Rust
Herr David Freudenberger B.Eng.
Nikolai Mohaupt
Folker Otto
Rolf-Peter Reising B.Sc.
Dipl.-Ing. Danuta Stumpf B.Eng.
Siegrun Ring
Gertrude Kostolzin MBA.
Gundula Ruppersberger
Ing. Gerti Franke
Linda Ziegert-Junken
Irmgard Pieper B.Eng.
Julia Hecker-Krebs
Frau Elsa Mälzer
Herr Edmund Hesse
Gisela Carsten B.Sc.
Siegrun Reichmann
Joachim Fischer
Herr Thomas Baum
Angelika Roskoth
Ursel Conradi
Erica Renner-Trapp
Elfi Harloff
Dipl.-Ing. Beatrix Henk B.Eng.
Renate Austermühle B.Eng.
Janusz Eberhardt MBA.
Saskia Kallert
Hannes Patberg
Peter Mitschke
Prof. Hermann Josef Söding
Ing. Ivana Budig B.Eng.
Zeljko Hiller-Misicher
Hans-Bernd Zorbach
Roselinde Zobel
Harm Sontag-Wilms
Judith Meyer
Univ.Prof. Jaroslav Seifert B.Eng.
Nada Butte
Hiltrud Pergande
Cora Steuer-Junken
Bela Köster
Malte Davids
Herr Rupert Jüttner MBA.
Ibrahim Eberth
Cengiz Dehmel
Aleksander Klapp-Sauer
Kazim Hörle
Dipl.-Ing. Miguel Bärer
Erwin Weimer-Bohlander
Ing. Margot Bonbach B.Eng.
Hildegund Gunpf
Murat Förster
Halina Austermühle-Bender
Guiseppe Bien
Elisabeth Roskoth
Mark Sauer B.A.
Fatma Hesse
Evangelia Harloff B.A.
Birgid Nohlmans
Agathe Weinhage B.A.
Bertha Rose
Gislinde Lehmann
Prof. Aribert Eberhardt B.Sc.
Isa Koch
Ulrich Plath-Weihmann
Stephanie Weller
Gislinde Wagenknecht
Erica Lachmann
Insa Peukert
Horst Reising
Prof. Apollonia Gerlach B.Sc.
Dipl.-Ing. Margarete Schmidt
Claire Holt
Claus Juncken
Florian Weimer
Hubertine Jäkel
Tillmann Matthäi B.Eng.
Insa Bloch B.A.
Anthony Heintze
Lisa Rädel-Bender
Fernando Neuschäfer
Dr. Guntram Kusch
Marc Heintze B.A.
Rico Putz-Killer
Achim Mülichen-Schleich
Herr Ilja Kroker
Irmgard Liebelt
Ing. Wendelin Köster B.A.
Karl-Friedrich Nerger
Herr Karl Dippel B.A.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Ada Ullmann-Hermann
Mike Hofmann
Dipl.-Ing. Walburga Steckel
Gusti Vollbrecht
Fatma Möchlichen
Gert Seifert
Mercedes Blümel
Ing. Isabell Hartmann MBA.
Janko Margraf MBA.
Dipl.-Ing. Ismet Käster B.Eng.
Jörg Speer
Frau Rosemarie Stiffel
Claus-Dieter Krause
Irmi Zobel
Gunnar Weimer
Ahmad Fechner-Wulff
Katherina Klapp
Univ.Prof. Jeannette Schleich B.Sc.
Nicolaus Seifert B.A.
Univ.Prof. Linus Seifert
Miriam Ehlert MBA.
Marlen Gute-Hauffer
Monja Weiß
Aneta Schlosser-Köster
Antonius Pärtzelt-Jüttner
Mandy Scholl-Bohnbach
Philip Mangold
Reni auch Schlauchin
Günter Fischer
Univ.Prof. Margareta Naser
Prof. Marijan Hoffmann
Reimar Pohl
Hans-Jörg Trupp-Säuberlich
Emil Preiß-Hecker
Volkmar Trub
Horst-Dieter Seifert
Philipp Killer B.A.
Rainer Gunpf B.Eng.
Ing. Nadeschda Bohlander
Philipp Reising-Harloff
Univ.Prof. Meta Rädel
Konstanze Sontag
Miguel Briemer
Herr Bodo Steckel
Emma Sauer B.Eng.
Anka Boucsein
Gülten Ruppersberger-Wende
Janos Winkler B.A.
Arndt Wernecke-Gertz
Sandra Scholtz
Waldtraut Hoffmann
Annegret Atzler
Dr. Catharina Gerlach B.Eng.
Robert Etzold
Lotte Kitzmann B.A.
Antonietta Kostolzin
Marco Kostolzin-Bruder
Klaus-Dieter Hänel B.Sc.
Antonius Stoll-Krebs
Dagmar Schäfer
Raymund Mosemann-Eckbauer
Prof. Gerda Barkholz MBA.
Hans-Uwe Sager
Burghard Albers-Berger
Johann Liebelt MBA.
Dr. Erdogan Eigenwillig MBA.
Horst-Peter Thies
Veronika Gröttner
August Weihmann
Peter-Michael Kostolzin
Uschi Trüb
Dipl.-Ing. Claudia Häring
Steven Seifert
Prof. Jürgen Blümel B.A.
Anto Kostolzin
Prof. Urs Flantz
Prof. Mathilde Segebahn MBA.
Nikolas Ebert
Zenon Pärtzelt
Klaus Peter Weller
Heinz-Otto Hermighausen
Laura Mühle
Hüseyin Johann
Friedrich Bolnbach-Gnatz
Prof. Felicitas Dörschner
Canan Heinrich
Siegward Weinhold
Hans Dieter Stahr
