Student
Kenan Wulff-Plath
Dr. Pius Säuberlich B.Sc.
Herr Marian Schlosser B.A.
Univ.Prof. Hardy Hartung
Gundel Bien MBA.
Corinna Täsche B.A.
Käte Ditschlerin-Roht
Roger Gunpf-Paffrath
Aziz Bauer MBA.
Brunhild Karge B.A.
Hermine Franke B.Eng.
Süleyman Wende
Sigismund Junitz
Dr. Gabriel Freudenberger MBA.
Ing. Hanna Killer
Siegmund Heidrich
Brigitte Zirme B.Sc.
Patrick Haering
Hedi Butte-Neuschäfer
Gunnar Hentschel
Dr. Klothilde Lachmann B.A.
Anatolij Kroker B.Eng.
Regina Fliegner
Prof. Bernward Wulf B.Eng.
Louise Jessel
Ehrenfried Stiffel
Victoria Hornig
Ron Dobes-Weihmann
Vanessa Hornig
Leonardo Vogt
Dipl.-Ing. Bernhardine Heß
Valeria Mende
Nurettin Koch II
Anka Jäkel-Ackermann
Ivana Mans-Bruder
Karla Freudenberger MBA.
Woldemar Heydrich B.Eng.
Karl-August Liebelt-Köhler
Czeslaw Siering
Oliver Bien
Mato Patberg-Heintze
Gusti Vollbrecht
Ivanka Berger-Kraus
Alicja Sorgatz
Frau Delia Hellwig B.Sc.
Deborah Beier
Erhard Reinhardt
Verena Gute-Trüb
Gerald Hendriks
Monika Krein B.Eng.
Leonardo Trub B.A.
Frau Dorothe Mielcarek
Herr David Löchel B.A.
Benita Ullmann
Jens-Uwe Käster
Mia Paffrath-Ortmann
Ing. Romuald Kreusel B.A.
Fadime Reinhardt MBA.
Herlinde Birnbaum
Hans-Willi Baum-Staude
Johanna Fischer
Bertold Stadelmann
Philipp Reising-Harloff
Theda van der Dussen
Aribert Putz
Dipl.-Ing. Tina Wagenknecht MBA.
Celal Seifert
Gregor Buchholz
Dipl.-Ing. Alla Karge
Ben Ullmann MBA.
Marianne Ziegert-Werner
Gabi Gertz
Eveline Wagenknecht
Ing. Sibel Mies
Stilla Köhler
Filippo Juncken
Ann Mielcarek
Moritz Holzapfel
Thies Blümel
Gino Hövel B.Sc.
Nathalie Langern
Tabea Rogge
Virginia Textor
Hans Josef Reinhardt B.A.
Gerda Schleich
Sigmar Briemer
Antonietta Lindner MBA.
Carin Huhn
Univ.Prof. Almuth Cichorius B.Eng.
Univ.Prof. August Schleich B.A.
Dipl.-Ing. Willibert Süßebier
Eva-Maria Mies MBA.
Dusan Ruppersberger B.Sc.
Marian Vollbrecht MBA.
Frau Josefa Henschel B.A.
Wencke Bohlander
Johannes Freudenberger
Abram Vogt MBA.
Gülten Peukert
Elisa Steinberg
Gerd Becker
Dolores Stey-Matthäi
Michelle Kitzmann
Joerg Zimmer-Kusch
Ing. Lucie Karz
Leonardo Rogge
Anne-Marie Sontag
Janna Kambs
Elfi Roht
Pierre Ortmann
Daniele Pieper-Käster
Babett Süßebier B.A.
Ehrhard Häring B.A.
Dr. Hans-Herbert Losekann B.A.
Herr Steven Eberhardt
Marianne Ernst-Zirme
Univ.Prof. Agathe Steinberg MBA.
Herr Ronald Reising B.Sc.
Rene Rohleder
Adelinde Geisler
Monique Liebelt-Ebert
Ute Stroh
Beate Johann
Günther Bähr
Alf Jüttner
Birgitta Hettner
Irmi Gute
Hans-Herbert Walter
Oxana Lübs
Univ.Prof. Aysel Lindau
Wally Schmidt
Baptist Radisch MBA.
Ivana Wilmsen-Gumprich
Rose-Marie Schüler
Claire Junk
Sybilla Herrmann-Pärtzelt
Herr Gunther Flantz
Artur Budig
Engin Schenk
Enver Börner MBA.
Jiri Bärer
Prof. Uschi Fliegner B.A.
Janusz Beckmann
Erol Lindner
Meta Eigenwillig
Fritz Nerger
Antonios Walter
Gabriel Kreusel
Ivanka Gierschner-Pergande
Agata Hertrampf
Ing. Selim Tintzmann B.A.
Ing. Bianka Bärer MBA.
Frau Aleksandra Bähr B.Eng.
Karl-Hans Fiebig
Konstanze Mohaupt
Hans-Erich Preiß
Dr. Frederik Dobes MBA.
Dr. Alois Kraushaar B.Sc.
Nadja Häring B.Eng.
Elizabeth Budig
Maurizio Tschentscher
Lars Eckbauer-Möchlichen
Irmi Zobel
Jan Freudenberger
Raymund Mosemann-Eckbauer
Vincenzo Zirme
Dr. Rotraud Gorlitz
Gert Seifert
Nurettin Börner
Willi Heinz
Ralph Rogge
Prof. Klaus Peter Hellwig B.Sc.
Herr Anthony Caspar
Angelique Adler
Horst-Dieter Bähr
Dipl.-Ing. Bekir Boucsein
Lara Oderwald
Jadwiga Gierschner-Schulz
Traute Fröhlich
Fredi Huhn
Jens-Uwe Geisler
Stephen Reichmann
Francisco Schmidtke-Albers
Siegried Caspar B.A.
Ing. Nelli Hornig
Donald Schönland
Eugenie Pieper
Carlo Ackermann-Birnbaum
Alicja Gieß
Dr. Leonie Köster
Elfie Kreusel
Univ.Prof. Katharina Werner MBA.
Ing. Jo Caspar
Georgia Ruppersberger
Gotthilf Bohnbach-Seip
Faruk Hoffmann
Rosa-Maria Losekann-Schulz
Annelie Bloch
Prof. Grete Müller
Frau Nurten Huhn
Univ.Prof. Bela Kraus
Carin Pruschke
Inka Meyer
Ottmar Beier
Herr Leonid Fröhlich B.Eng.
Prof. Mohammad Reinhardt
Mehdi Niemeier-Noack
Jadwiga Koch
Dipl.-Ing. Janet Ruppersberger
Univ.Prof. Luka Mende
Ria Koch II
Hedda Haase
Jane Reuter
Frau Valentine Benthin
Ing. Marleen Hölzenbecher MBA.
Dipl.-Ing. Gilbert Plath B.Sc.
Frau Kirsten Geißler
Christina Schlosser
Luis Jacob
Igor Dörschner
Ing. Wulf Atzler
Fatima Rosemann-Schmidtke
Ing. Wencke Speer
Dr. Lina Hiller
Birgid Nohlmans
Herr Hans Rogge
Romuald Hartmann
Univ.Prof. Resi Kobelt
Marco Kostolzin-Bruder
Horst-Peter Faust
Hilmar Ziegert
Leonardo Lehmann
Wally Kreusel
Rosl Trupp
Dr. Thekla Lindau B.Sc.
Jana Wulf MBA.
Silvio Weimer
Arnulf Ullmann
Birgitta Schleich
Sebastian Karge
Ing. Wolf-Rüdiger Weihmann B.Eng.
Ing. Maren Schenk
Dr. Marie-Louise Wohlgemut B.Sc.
Gaetano Paffrath
Sören Etzler
Prof. Pascale Kruschwitz
Cäcilie Roht-Misicher
Gert Hölzenbecher B.Sc.
Ursel Juncken-Buchholz
Hansjürgen Eberth
Hendrik Herrmann
Sibel Weller
Jolanta Nohlmans-Tschentscher
Theresa Schüler
Fernando Dobes
Univ.Prof. Regina Salz B.Eng.
Miriam Ehlert MBA.
Tamara Bender MBA.
Karina Tschentscher-Butte
Ann Spieß MBA.
Götz Budig
Laila Trüb
Herr Louis Hövel
Tomislav Steckel
Hans-Herbert Flantz
Elise Heinz
Isa Kramer-Matthäi
Caroline Wende
Prof. Tilmann Franke B.Sc.
Fatma Seidel B.A.
Achim Mülichen-Schleich
Erdal Bähr
Peer Bärer
Dipl.-Ing. Gisela Schuster B.A.
Zlatko Ritter B.Eng.
Jens-Peter Bolzmann
Mercedes Sauer
Gloria Lachmann MBA.
Siegmund Hövel
Annelies Beer
Wanda Becker
Dierk Dörr
Chantal Kramer
Gregor Dippel
Marie-Luise Staude-Käster
Dr. Ralf Hölzenbecher
Elena Gotthard
Univ.Prof. Jürgen Weiß
Leonardo Birnbaum
Prof. Rosa Kruschwitz B.Sc.
Olga Stahr
Prof. Rudolph Linke
Dipl.-Ing. Heinz-Otto Jähn
Valerij Weller-Barkholz
Herr Bartholomäus Adolph MBA.
Dipl.-Ing. Utz Adler B.A.
Thorben Ruppert
Ing. Lisbeth Fritsch
Univ.Prof. Margitta Wagenknecht B.Eng.
Tomasz Preiß
Isidor Heinrich
Gunnar Weimer
Irmengard Rudolph
Dipl.-Ing. Ildiko Löffler B.A.
Joachim Höfig
Oda Barkholz
Juergen Bähr
Carl Mühle-Wulf
Timm Schleich
Ing. Corinne Winkler
Sönke Gumprich
Ing. Anton Gotthard MBA.
Eveline Putz
Rudolf Weihmann
Uli Oderwald-Freudenberger
Hellmuth Heidrich
Dominik Jungfer
Ing. Käthe Plath B.Eng.
Denny Lachmann
Dorle Knappe
Geza Hertrampf B.A.
Jonas Beyer
Ing. Bernfried Haering
Leopoldine Butte
Felix Wilms
Dorothee Koch II
Lukas Zirme
Ruthild Juncken B.Sc.
Ehrhard Pruschke
Andrey Lorch
Ing. Marten Hering
Dr. Tim Hornig B.Sc.
Stefania Möchlichen
Silvester Sorgatz MBA.
Harro Keudel
Meike Berger
Anatol Hübel
Andrea Wulf
Prof. Irena Höfig
Rebecca Oderwald
Mirco Barth
Jacek Bärer
Cord Zorbach
Mathias Matthäi
Reinhard Beer-Etzler
Sibilla Eimer
Dr. Walburga Kobelt B.Eng.
Sandra Hornig
Luka Weimer-Beyer
Zofia Roht
Ulrike Schleich-Süßebier
Mercedes Christoph
Edmund Gnatz-Rogner
Patric Hermighausen MBA.
Horst-Dieter Seifert
Gertraude Pärtzelt MBA.
Ingrid Rudolph
Ralph Fröhlich
Hans-Theo Thies
Hilda Stey B.Eng.
Ladislaus Hande
Celal Scheel B.A.
Janos Kobelt-Henck
Univ.Prof. Heidelinde Jopich B.Sc.
Regina Reuter
Ing. Gabriella Bähr
Hans Jörg Koch
Elfi Wesack
Klaus-Ulrich Blümel B.A.
Prof. Gunter Mentzel
Rene Bruder B.Eng.
Univ.Prof. Linus Seifert
Prof. Johannes Holzapfel MBA.
Dr. Anna-Maria Zahn B.Sc.
Herbert Budig
Dipl.-Ing. Beatrix Henk B.Eng.
Yusuf Steinberg B.A.
Vinko Schönland B.Eng.
Centa Krebs-Stadelmann
Eberhard Rust B.A.
Asta Knappe
Angelo Pärtzelt
Gereon Weitzel
Univ.Prof. Athanasios Drub B.Sc.
Magda Berger B.A.
Hermann-Josef Zimmer
Reimar Müller
Ernst-Dieter Rörricht B.Eng.
Bianka Dobes-Seifert
Susann Henk
Marcus Finke
Dipl.-Ing. Ehrenfried Kranz MBA.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Blanka Birnbaum
Ing. Jens Henck B.Eng.
Dipl.-Ing. Kriemhild Löchel
Bernhardine Ruppersberger
Else Heß MBA.
Zofia Gutknecht
Recep Weihmann
Annett Ullrich
Theodora Aumann
Univ.Prof. Gretl Langern B.A.
Roy Holt
James Nohlmans
Frau Britt Heß
Freia Hofmann
Adelgunde Beer
Adolfine Fischer
Andres Sager
Eugenia Stey
Franka Mitschke B.Sc.
Hans Dieter Stahr
Dr. Nadeschda Wulf
Zdravko Niemeier
Julia Mosemann
Sedat Matthäi
Ernest Müller
Elias Langern
Almuth Rosenow-Schönland
Adam Krein-Karge
Valeri Tschentscher
Eberhardt Fiebig
Dipl.-Ing. Hans-Günther Bien
Annelies Heidrich
Ing. Alberto Werner
Dipl.-Ing. Lotte Austermühle B.A.
Dr. Mechthilde Hellwig
Olav Thies
Carla Gnatz
Reingard Cichorius
Frau Emma Kaul B.Eng.
Eckard Dehmel MBA.
Frau Maria Jopich
Anni Dietz-Blümel
Josefa Hauffer
Zofia Gumprich
Lieschen Röhrdanz
Annemie Margraf
Pirmin Boucsein MBA.
Dipl.-Ing. Götz Bloch
Dipl.-Ing. Sergio Hövel B.Eng.
Bert Junck
Adriane Gröttner
Caterina Ullrich
Wally Krein-Bien
Reimar Pohl
Ilse Krebs
Dipl.-Ing. Sedat Sontag
Georgia Trub
Prof. Jan-Peter Schmidt
Michel Heß
Hans-J. Bolander
Jens-Uwe Schlosser
Pierre Köster
Astrid Schweitzer
Hilmar Graf
Peggy Rogge-Lachmann
Prof. Antonia Mielcarek B.Eng.
Luisa Barkholz
Alfons Schleich B.A.
Gunar Lindner
Karl-Wilhelm Anders-Gude
Dipl.-Ing. Harm Ruppert MBA.
Friedericke Käster B.A.
Lina Hörle
Nora Dehmel B.Eng.
Gerhardt Barkholz B.Eng.
Prof. Natalia Junck B.Sc.
Univ.Prof. Rosl Pölitz
Branka Mentzel
Stavros Zirme
Mesut Trommler
André Kraushaar-Henck
Marion Weihmann
Aenne Kraus
Arif Heinrich
Emine Lübs
Dipl.-Ing. Klaus-D. Kostolzin
Nikolaus Rosenow
Cora Stumpf-Gunpf
Virginia Gorlitz
Pauline Bolzmann
Birte Gröttner MBA.
Carolin Holt
Nadin Hertrampf-Killer
Käthi Lübs
Nicolaus Seifert B.A.
Korbinian Bolander
Maren Scholz-Bohlander
Jeanette Mälzer
Sylvester Bender-Boucsein
Edelbert Stey-Scholz
Almuth Pieper
Bianka Holsten
Freia Hamann-Eckbauer
Ing. Zoran Tintzmann
Henriette Pohl
Katja Kruschwitz-Roskoth
Enrico Reising MBA.
Dipl.-Ing. Kevin Stadelmann
Johanna Stumpf
Natascha Gotthard
Gesche Trub
Brigitta Walter
Eggert Rörricht-Schwital
Hartwig Sorgatz B.Eng.
Prof. Carina Eimer
Folkert Reinhardt B.Sc.
Rosemarie Hethur
Krystyna Rust-Baum
Dr. Nadja Wulf
Ana Heinz B.A.
Linus Drub
Susann Hartung-Schmiedecke
Gordana Budig B.A.
Univ.Prof. Paul-Gerhard Lübs MBA.
Imre Mülichen
Micha Eckbauer B.Sc.
Alena Holzapfel
Harm Nette
Frauke Staude
Andrea Ziegert
Frau Waltraud Weitzel B.A.
Jurij Zahn B.Sc.
Ing. Rolf Gertz
Kreszenz Drubin
Ilhan Budig
Dr. Hans-Willi Hertrampf MBA.
Alessandro Krause
Antonietta Hübel
Anthony Oderwald
Gina Killer
Prof. Natalija Weinhold
Uschi Dobes
Prof. Kata Häring
Marie-Theres Trupp
Lili Heydrich-Beyer
Nurettin Dippel
Hellmut Bruder
Ing. Willi Warmer B.Eng.
Ron Beer
Ing. Jonas Schaaf
Univ.Prof. Milan Hande
Prof. Walter Pechel
Oliver Biggen
Dr. Marie-Theres Möchlichen B.A.
Klemens Förster
Franz Lange
Anneliese Gnatz
Dominic Martin
Joana Preiß
Prof. Oswald Ehlert MBA.
Daria Stiffel
Univ.Prof. Walter Barkholz
Karl-Otto Putz
Hans-Willi Ladeck
Marcella Sölzer
Univ.Prof. Jeanette Girschner B.Sc.
Marcel Stumpf
Meryem Graf-Lange
Reinhard Rogge
Notburga Huhn
Dusan Eigenwillig
Madeleine Henk
Univ.Prof. Hiltrud Löwer
Hanno Hölzenbecher B.Sc.
Johann Baum
Heinz-Joachim Trupp
Klaus Peter Weller
Traude Kuhl
Aenne Sölzer B.A.
Roswita Hofmann MBA.
Heinz-Georg Hornich
Nikolai Rädel-Klemt
Franziska Beer
Carl-Heinz Kraus
Henny Rose
Heinz-Werner Briemer B.A.
Gesine Graf
Irene Rogner
Annelene Steinberg
Angela Hamann
Ing. Nadeschda Bohlander
Univ.Prof. Hugo Martin
Milica Huhn
Mariola Tlustek MBA.
Frau Eleni Ziegert B.Sc.
Urban Pieper
Bernard Karge
Emilie Scholz
Charles Heinz
Dr. Valeri Sölzer B.Sc.
Curt Schönland
Mareile Meister
Mike Hofmann
Christina Geisel-Hesse
Dr. Carsten Steinberg
Utz Christoph-Henck
Mike Matthäi
Simon Meyer
Univ.Prof. Guido Carsten MBA.
Liesel Ziegert
Klara Schlosser
Herr Dietrich Gotthard B.A.
Prof. Maya Peukert
Kati Süßebier
Gülay Haase
Radmila Schomber B.Eng.
Rüdiger Buchholz-Kuhl
Leonore Jäkel
Gerhild Beyer
Hasso Zahn
Sibylla Koch MBA.
Pirmin Wulf B.Sc.
Siegrid Bachmann-Schaaf
Saskia Heidrich
Leon Bauer
Eva Wende-Peukert
Willy Weiß
Alois Werner
Univ.Prof. Nicole Höfig B.Sc.
Käthe Langern-Jacob
Marlen Wende
Gabriella Rädel
Mariele Peukert
Rosmarie Ullmann
Alwina Hettner
Annelie Kitzmann
Ali Briemer-Klemm
Henni Ullmann MBA.
Dr. Jonas Fechner
Angelina Noack-Wagenknecht
Ing. Dorothee Harloff B.Sc.
Raissa Mitschke MBA.
Prof. Wolf-Dieter Killer B.Sc.
Wieslaw Freudenberger
Elsbeth Schmiedecke-Wulf
Ricarda Fröhlich B.A.
Klaus-Dieter Meister
Ing. Gerti Franke
Dr. Ellen Schlosser B.A.
Willi Birnbaum
Dorle Rädel
Hans-Uwe Noack-Fröhlich
Heinz-Otto Hermighausen
Meral Eberhardt B.A.
Herr Salih Blümel
Ing. Leander Weimer B.Eng.
Univ.Prof. Frieder Döhn MBA.
Paula Stroh
Monika Hornich MBA.
Adelinde Ackermann-Knappe
Rene Berger-Jäkel
Heinz Dieter Zirme
Charles Anders
Univ.Prof. Francesco Schulz B.Eng.
Ing. Heinz-Josef Hoffmann
Frau Xenia Blümel
Zita Butte
Siegfried Kreusel
Ing. Erwin Kobelt B.A.
Andrew Misicher
Wolf Stadelmann
Prof. Fabian Scholl MBA.
Gottfried Martin-Martin
Thaddäus Geißler
Victoria Werner MBA.
Jann Fröhlich
Univ.Prof. Pauline Klemt
Senta Weihmann
Aenne Hübel-Mühle
Hans-Herbert Eckbauer
Herr Andrej Rose
Linus Mans-Röhrdanz
Marie-Therese Schleich
Brunhilde Tröst
Steffi Schmiedt B.Sc.
Mark Gute-Faust
Rosa Tintzmann
Ludmila Löffler
Lutz Mies-Hesse
Bernt Conradi
Dipl.-Ing. Tina Kranz MBA.
Fredy Bachmann B.Eng.
Felicitas Ruppersberger
Hassan Kroker-Girschner
Dipl.-Ing. Ismet Käster B.Eng.
Dr. Athanasios Noack MBA.
Waltrud Jacob
Mehmet Löwer-Trupp
Hans-Theo Vogt-Beckmann
Raymond Misicher
Stilla Dobes
Bodo Ullrich
Irmtrud Mohaupt-Etzler
Dr. Lidija Weihmann
Hans-Hinrich Stiffel
Kristiane Steckel
Prof. Conny Klingelhöfer B.Eng.
Prof. Gesine Lange
Annemie Kade-Kuhl
Dr. Mato Geisel
Dipl.-Ing. Bernward Putz B.Eng.
Moritz Spieß
Ing. Nuran Schaaf
Clara Rust
Rene Albers
Leokadia Bloch
Annegret Holt-Heuser
Peter-Michael Kostolzin
Univ.Prof. Veli Etzler
Margarete Kabus
Andreas Gunpf
Wilfriede Ziegert
Aysel van der Dussen-Jäntsch
Bertram Eigenwillig
Eitel Hethur
Prof. Irmela Hellwig B.Sc.
Gereon Trapp
Anna-Luise Seip-Hofmann
Hülya Conradi
Willy Kallert
Adelheid Hecker
Herr Hans Peter Jacob
Herr Edmund Hesse
Reimar Hahn-Neureuther
Anne-Kathrin Geisler
Ria Walter
Balthasar Holsten
Univ.Prof. Maria-Luise Trüb B.Sc.
Tadeusz Weller
Marko Renner
Detlev Stadelmann
Tanja Rörricht-Haering
Anett Bien-Schuster
Cynthia Linke
Frau Gilda Ebert
Leo Gunpf-Bolzmann
Mattias Henk
Prof. Berend Käster B.A.
Kristina Röhricht
Univ.Prof. Ayten Lorch
Dr. Zeljko Pruschke
Ing. Alban Mohaupt
Bernward Fröhlich
Ing. Andrew Nerger
Univ.Prof. Brigitte Rogner
Clemens Kabus
Ladislaus Stadelmann
Ilonka Lange
Hanno Trub
Dr. Alena Hövel
Timm Schönland
Nicolai Gutknecht
James Kostolzin-Staude
Edeltraut Anders-Rohleder
Josefine Rosenow-Hertrampf
Dr. Hans-Peter Adolph MBA.
Pia Fliegner
Marliese Roht
Alfred Holzapfel-Hamann
Pius Gierschner-Weitzel
Antonina Neureuther
Herr Frieder Wulff B.Sc.
Reni auch Schlauchin
Birgitta Loos
Gerti Ullrich
Miriam van der Dussen
Univ.Prof. Änne Finke B.Sc.
Carina Killer
Vinko Schmiedecke-Hendriks
Volkmar Hentschel
Ing. Konstanze Schmidtke MBA.
Dörte Nette
Monique Rose-Schuchhardt
Leif Wulff
Ing. Thekla Beyer B.Sc.
Ralf-Peter Ebert
Baldur Metz
Prof. Linus Kambs B.A.
Sandy Fechner
Adele Boucsein B.Sc.
Hans-Martin Kohl
Jörg Speer
Leokadia Karge
Danielle Drubin
Natalia Hauffer
Marianna Segebahn-Wernecke
Rolf-Dieter Preiß
Univ.Prof. Ignatz Baum
Dr. Senol Beier MBA.
Rena Rohleder
Zlatko Briemer-Karge
Erica Renner-Trapp
Nikolai Stiebitz
Irina Täsche
Univ.Prof. Fedor Eimer
Elfie Preiß
Hanspeter Koch II-Wohlgemut
Sonja Löchel
Dr. Gert Trapp MBA.
Prof. Hans-H. Zimmer
Hedy Rudolph MBA.
Univ.Prof. Vinko Tschentscher
Univ.Prof. Fredy Barth MBA.
Johanna Finke-Ehlert
Susanne Etzold
Anica Ortmann B.A.
Mattias Kruschwitz
Angela Weimer B.A.
Anne Schmidtke
Leokadia Oestrovsky
Daniel Stiebitz
Univ.Prof. Ilka Jäntsch B.A.
Hildegunde Wende-Spieß
Dipl.-Ing. Anneliese Kühnert
Wolfhard Fiebig
Violetta Beyer
Ingried Ullmann
Heinz-Jürgen Adolph
Yusuf Seifert
Ilias Wagner
Ing. Hans-Joachim Ullrich
Prof. Sibel Wohlgemut B.Sc.
Gunther Tschentscher
Dr. Edith Ring B.Sc.
Anna-Luise Kraushaar
Roderich Scholtz
Angelina Ruppert-Siering
Dipl.-Ing. Dörte Häring MBA.
Heide Schottin
Beatrix Möchlichen
Prof. Friedbert Tschentscher B.Eng.
Ljudmila Nerger
Henry Schüler B.Eng.
Ewa Eimer-Linke
Stephen Lübs
Kuno Mälzer B.Eng.
Univ.Prof. Florentine Schomber B.Eng.
Dipl.-Ing. Franz Reising
Cosima Johann
Prof. Alida Mangold MBA.
Herr Muzaffer Klotz B.Sc.
Stefanie Pruschke
Univ.Prof. Undine Becker MBA.
Silke Heydrich-Albers
Cynthia Langern
Olaf Juncken
Alessandro Caspar
Iris Mans
Dietlinde Binner
Prof. Manuela Schleich B.Sc.
Konstanze Sontag
Karl-Dieter Thies
Frau Suse Zorbach
Katharine Renner
Hannah Stiffel-Börner
Karl-Friedrich Kitzmann
Frau Katarina Lindner
Magdalena Löwer B.Eng.
Dipl.-Ing. Violetta Briemer B.A.
Aysel Löchel
Prof. Andrzej Gorlitz
Dr. Ingried Sorgatz B.A.
Univ.Prof. Kevin Juncken B.Eng.
Reni Putz-Tintzmann
Guenther Metz
Hansjörg Holsten
Kunibert Heß MBA.
Univ.Prof. Philippe Thies B.Eng.
Friedericke Bolzmann
Prof. Hansjürgen Langern
Ulrich Segebahn
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Brigitte Geisler
Frau Cynthia Bähr B.Sc.
Rosita Wesack B.Sc.
Ing. Berta Oestrovsky B.Eng.
Hans Misicher
Heinz-Gerd Söding
Dino Kusch-Hiller
Heinz-Günther Mosemann
Iwan Wilmsen-Weihmann
Ing. Hedi Wulf
Univ.Prof. Polina Schmidt B.Eng.
Univ.Prof. Czeslaw Tröst
Gunhild Holt-Rust
Adem Hörle
Univ.Prof. Nurten Neuschäfer MBA.
Ing. Meik Eberhardt B.A.
Karl-Georg Dörschner
Valeria Finke
Marianna Geisler
Dipl.-Ing. Julian Mühle
Luitgard Weiß-Rörricht
Prof. Martin Ullmann
Wiltrud Wilmsen-Graf
Imelda Söding
Desiree Klotz
Cindy Rogge-Dippel
Ing. Hans-Heinrich Reichmann B.Sc.
Benno Ritter
Friedhilde Dobes
Kristian Ritter
Hans-Bernd Kabus
Bernhard Rogner B.Eng.
Aribert Mitschke
Heimo Karge-Freudenberger
Dr. Ruth Dobes
Lina Hein-Gotthard
Frau Zdenka Zimmer
Franka Peukert
Margit Losekann
Songül Tschentscher
Dipl.-Ing. Daniele Geißler
Dorothe Adler-Trubin
Univ.Prof. Heidrun Hiller
Univ.Prof. Herta Zänker
Annette Ullmann
Prof. Swen Benthin MBA.
Kerstin Niemeier
Janko Rose
