Student
Burkhard Fröhlich-Dussen van
Cathleen Gude
Elise Ackermann
Hansjörg Müller B.Sc.
Werner Heydrich-Schmidtke
Herr Franz Geisler B.A.
Uwe Schwital MBA.
Renate Mies
Ing. Engelbert Bauer
Ing. Carla Ziegert B.Eng.
Gerwin Textor
Krzysztof Niemeier-Kostolzin
Daria Jopich
Dipl.-Ing. Rigo van der Dussen B.Eng.
Eberhardt Mielcarek
Wolf-Dieter Eigenwillig
Heiner Rörricht
Elizabeth Vollbrecht
Marian Vollbrecht MBA.
Elfie Jäkel
Edith Hettner
Ing. Margarethe Martin
Herr Hinrich Mühle
Natalja Löchel-Beckmann
Angela Stiffel
Dipl.-Ing. Richard Gröttner B.A.
Marlen Gute-Hauffer
Inka Meyer
Frank-Peter Haase
Prof. Alois Jacob
Cemal Hamann
Ing. Alwine Scholz
Karsten Kraushaar B.A.
Polina Kostolzin
Dipl.-Ing. Henriette Schmidtke MBA.
Mariusz Adler
Marten Wesack
Univ.Prof. Nadeschda Staude
Ehrentraud Meyer MBA.
Franz-Xaver Scholtz
Therese Rohleder
Elias Langern
Dipl.-Ing. Ilse Heß B.Sc.
Heinz-Günter Schuster
Helga Salz
Tomas Gröttner
Martina Hartung
Josef Butte-Lindau
Marliese Drubin
Univ.Prof. Jeanette Girschner B.Sc.
Dragica Rosenow
Genoveva Hofmann
Univ.Prof. Sönke Schomber
Sylvana Hornich MBA.
Baptist Gröttner B.Sc.
Franz Josef Girschner
Hubertus Dörschner
Paolo Weller-Heinrich
Kemal Heinz
Frieda Gröttner
Milan Weiß-Schuchhardt
Celal Pohl
Maria-Luise Schaaf
Liesbeth Koch II
Ing. Torsten Hartung B.Eng.
Elfi Bolander
Hannes Patberg
Prof. Gertraud Drewes
Dagobert Hornig
Ing. Maike Hölzenbecher B.A.
Dipl.-Ing. Marek Jockel
Pedro Pölitz
Leonore Hettner-Staude
Erna Kensy-Bähr
Beate Johann
Dipl.-Ing. Burckhard Jäntsch
Antonius Kraus
Prof. Ralph Patberg
Herr Anthony Caspar
Mehdi Niemeier-Noack
Rose-Marie Schüler
Carin Rohleder
Lambert Gehringer
Anna-Lena Röhrdanz B.Sc.
Fadime Reinhardt MBA.
Zofia Gutknecht
Gert Fischer
Paulina Bender-Liebelt
Anne-Rose Krause
Theodor Bolnbach-Kroker
Richard Kostolzin
Luciano Tintzmann
Melanie Segebahn
Jonathan Birnbaum-Stiebitz
Prof. Oswald Ehlert MBA.
Valeska Blümel B.A.
Irene Rogner
Eberhard Junitz
Ingeburg Radisch-Steckel
Lambert Röhricht-Johann
Dipl.-Ing. Hans-Peter Hertrampf
Univ.Prof. Catharina Neureuther B.Sc.
Univ.Prof. Heinrich Reinhardt MBA.
Wieland Hethur
Hans-Christian Eimer
Ignaz Stoll
Frau Helena Nette
Manja Koch II-Heuser
Hans-J. Wohlgemut
Janos Ehlert
Univ.Prof. Frederike Heintze
Mahmoud Ditschlerin-Trüb
Dipl.-Ing. Edda Barth MBA.
Prof. Maria-Luise Drub B.Sc.
Andree Budig B.Eng.
Fabienne Birnbaum
Margareta Trub
Karl-Josef Schottin-Hoffmann
Yusuf Schacht
Tilman Killer B.A.
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Sigurd Höfig B.Sc.
Bartholomäus Karge B.Eng.
Dr. Guntram Kusch
Maya Conradi
Ing. Kay-Uwe Flantz
Janus Jessel-Hermann
Brigitte Geisler
Dipl.-Ing. Milos Klemt
Dipl.-Ing. Lilly Junken MBA.
Antje Drub
Ing. Leopold Hoffmann
Annika Pieper B.A.
Arnfried Lorch B.A.
Romuald Hartmann
Marianna Hofmann
Cindy Schleich
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Sylvester Bender-Boucsein
Centa Krebs-Stadelmann
Edeltraud Kaul
Gaetano Köhler
Sinaida Heinz-Gnatz
Miroslawa Jäkel-Bohnbach
Carl Schmiedt
Ing. Ralf Sölzer B.A.
Dr. Elly Junk
Vito Gorlitz
Harold Scheibe
Marianna Rosenow-Weiß
Mehmet Löwer-Trupp
Hans Georg Gorlitz-Schäfer
Stilla Hornig B.A.
Ivo Lorch
Jakob Seifert
Dipl.-Ing. Patric Johann
Aenne Kraus
Eckehard Mude
Dipl.-Ing. Theobald Knappe B.Eng.
Dipl.-Ing. Gunar Kuhl
Aleksander Drub
Dolores Atzler B.A.
Ludwig Reinhardt
Ehrenfried Seidel MBA.
Kristin Niemeier
Viktoria Trub-Budig
Dipl.-Ing. Harm Ruppert MBA.
Sofia Austermühle
Mary Reuter B.Sc.
Bernadette Sorgatz
Sibylle Jäntsch
Ivana Eimer
Johann Liebelt MBA.
Univ.Prof. Gottlieb Steuer B.A.
Nikola Riehl
Urs Ebert
Gertrud Ditschlerin
Willibald Ziegert-Siering
Dipl.-Ing. Zenta Hornig B.Sc.
Ing. Wilhelmine Adler B.Sc.
Ing. Henrike Kramer
Erika Pruschke
Sami Linke B.A.
Niklas Trubin
Sara Johann
Dipl.-Ing. Eveline Jäkel MBA.
Elfi Harloff
Urs Bähr
Dittmar Hövel
Lutz Kobelt
Johanna Bohlander
Benita Holzapfel-Hecker
Edeltraut Anders-Rohleder
Brian Preiß
Johann Seidel
Marie-Luise Zorbach MBA.
Adalbert Boucsein
Jörgen Paffrath B.Sc.
Tülay Trapp
Katherina Klapp
Bert Junck
Tadeusz Hentschel
Dorothee Blümel
Univ.Prof. Petra Scheel
Frau Delia Hellwig B.Sc.
Zoltan Wilms
Univ.Prof. Sybilla Gehringer
Elena Gotthard
Ing. Boris Junck MBA.
Dipl.-Ing. Undine Warmer
Herr Karl Dippel B.A.
Mirja Schottin
Mariana Steckel
Bernhardine Wilmsen
Urszula Spieß
Univ.Prof. Paul-Heinz Heinz
Eva-Maria Eberth B.A.
Dino Kusch-Hiller
Catrin Bachmann
Athanasios Bloch
Gilbert Schottin
Fatih Bohlander
Dr. Slawomir Hande
Curt Schönland
Siegbert Conradi
Herr Lukas Eimer
Moritz Schönland
Alla Rohleder
Eckart Klotz
Dörte Warmer
Imelda Geißler
Hans-Albert Schwital
Frau Nurten Huhn
Reinhild Pergande
Ing. Carolin Anders
Ignatz Börner
Irina Birnbaum
Grete Biggen-Kostolzin
Dr. Aziz Adolph MBA.
Yvette Schinke
Hans-Georg Scholz
Danuta Lachmann-Dussen van
Sibilla Bachmann
Cornelia Gehringer
Almuth Pieper
Mia Paffrath-Ortmann
Anna-Marie Zorbach
Prof. Ingetraud Seidel B.Sc.
Augusta Rosemann
Gregor Dippel
Rosina Otto
Stephen Heidrich
Mehmet Beckmann-Geisel
Ignaz Beer-Eckbauer
Ing. Paolo Meister
Zeljko Gieß
Rolf-Peter Reising B.Sc.
Anneli Wernecke
Dr. Hedda Radisch
Ing. Berta Oestrovsky B.Eng.
Franz Schweitzer
Prof. Ingbert Nette
Cord Haase
Cilli Siering
Univ.Prof. Leszek Gieß B.Eng.
Herr Alwin Sager B.A.
Herr Mike Schuchhardt B.A.
Stjepan Hofmann-Hethur
Rosa-Maria Losekann-Schulz
Ulf Dörschner
Dipl.-Ing. Slobodan Sölzer
Francoise Rust
Ing. Roman Tröst
Ryszard Junitz
Frithjof van der Dussen
Caroline Wende
Antonios Zimmer
Maren Bachmann-Stumpf
Heidelore Zirme
Calogero Wende
Lydia Jopich
Hugo Ruppert-Kade
Greta Hermighausen
Luciano Biggen
John Gunpf B.Sc.
Elena Wilmsen
Olga Albers B.Sc.
Viktor Kusch
Ing. Leszek Gutknecht B.Sc.
Nelli Stiebitz
Hannelore Heser-Boucsein
Hannelore Weinhold B.Sc.
Lars Kallert
Gregor Jungfer
Herr Roman Schwital MBA.
Jost Lindau
Zeljko Jessel
Ing. Ronny Metz B.A.
Dipl.-Ing. Enver Drubin
Univ.Prof. Suzanne Paffrath
Hermann-Josef Loos
Magdalena Sauer
Anatol Gude MBA.
Carla Gnatz
Hellmuth Heidrich
Serge Trubin
Klaus Peter Weller
Patrizia Wirth
Gunnar Ernst
Gereon Trapp
Herr Jonathan Beckmann B.A.
Dominik Naser B.A.
Friedericke Käster B.A.
Herr Jacek Budig B.Eng.
Prof. Eckhart Jockel B.Eng.
Cäcilie Haase
Kathi Hering
Dr. Gerti Scheel
Edeltraut Klemt
Janine Söding
Ellen Hahn-Spieß
Univ.Prof. Gregor Gieß MBA.
Senol Heintze-Gerlach
Frau Francesca Blümel
Prof. Bela Noack
Julie Mosemann
Prof. Dirk Biggen B.Eng.
Rouven Eberhardt
Klaus-D. Hövel
Frau Hildegart Etzler B.A.
Heinrich Köster
Irmi Koch
Prof. Sylvana Trapp
Karlheinz Martin
Inge Dehmel
Evangelos Ring-Schmiedecke
Christos Gumprich
Dipl.-Ing. Jörgen Rose B.Eng.
Frithjof Mielcarek MBA.
Constance Lange
Veronique Löwer
Ernst-Otto Heß-Hartmann
Hans-Helmut Binner B.Sc.
Catrin Förster B.A.
Rosa-Maria Reising
Cora Reichmann B.A.
Univ.Prof. Tina Rose
Paolo Schmidt B.A.
Herr Jonathan Hänel MBA.
Gina Stumpf
Abram Peukert MBA.
Sibilla Hofmann
Czeslaw Siering
Dipl.-Ing. Klaus-D. Kostolzin
Reingard Jungfer
Hülya Scheibe
Freia Buchholz
Lilija Kensy
Dr. Ellen Schlosser B.A.
Cornelia Radisch
Univ.Prof. Gretl Langern B.A.
Prof. Johan van der Dussen
Rosa Tintzmann
Herr Simon Fliegner MBA.
Dipl.-Ing. Adem Gerlach
Tibor Budig
Ing. Jo Caspar
Jörgen Lorch
Ramon Salz
Ing. Meik Eberhardt B.A.
Hannah Stiffel-Börner
Julia Ruppersberger
Dr. Helge Täsche MBA.
Heidemarie Kreusel
Antonios Schönland
Ing. Claire Hübel
Alfred Tröst-Stahr
Karl-Peter Heser
Thomas Hänel
Ilija Kohl
Damian Holsten
Rene Rohleder
Irena Wilmsen
Wilfriede Blümel
Guntram Warmer
Brit Heidrich B.A.
Jens-Uwe Neureuther
Elvira Scholtz
Pirmin Boucsein MBA.
Gino Ernst
Michail Schmidt
Thekla Schäfer
Ing. Celal Textor
Lara Oderwald
Reimar Klemm MBA.
Raimund Hande
Hans-Christian Trüb
Frau Korinna Kranz
Zbigniew Hahn MBA.
Guido Pieper
Dipl.-Ing. Wilfried Ortmann
Dr. Anatoli Bonbach
Herr Bartholomäus Adolph MBA.
Dr. Reimar Fiebig B.A.
Dipl.-Ing. Janus Roht B.Sc.
Henry Schüler B.Eng.
Ing. Carolin Hoffmann
Prof. Diether Neureuther
Univ.Prof. Romuald Hermighausen
Michelle Kitzmann
Frau Sibel Trommler
Ilias Seip
Bogdan Steckel B.Eng.
Matteo Beyer B.A.
Kristian Rosemann B.Sc.
Anatol Adler
Anneli Heintze
Dr. Anastasia Gude
Dietlind Albers
Aloys Ruppert
Bertold Stadelmann
Markus Eimer
Zdravko Jacob
Siegrid Schmiedt
Fredy Ring
Selma Girschner B.Sc.
Kevin Etzler
Sylvester Neuschäfer-Schacht
Falko Kusch B.A.
Mirko Bolander
Univ.Prof. Conny Wagner MBA.
Wladimir Karge
Beata Stahr
Lothar Ladeck
Kunigunde Ziegert
Marianne Hecker
Milos Pärtzelt B.Sc.
Ria Koch II
Dominic Martin
Albrecht Rust-Heinrich
Evamaria Berger
Elfie Kreusel
Berthold Haase-Trub
Ernst-August Gutknecht
Rena Radisch
Ingried Ullmann
Prof. Lydia Siering
Ing. Aldo Pechel B.Eng.
Dr. Hans-Detlef Lindau B.Eng.
Dr. Myriam Häring
Dr. Franz-Peter Löffler
Gisa Atzler
Justus Schüler MBA.
Ekkehart Kreusel
Wolfhard Fiebig
Irmtraud Ladeck
Ing. Konstanze Geisel
Carin Binner
Annelore auch Schlauchin-Lorch
Francoise Zänker-Knappe
Gunhild Gorlitz-Heinrich
Miguel Lehmann
Leopoldine Butte
Ehrentraud Kroker
Anthony Oderwald
Janusz Eberhardt MBA.
Sonja Löchel
Dipl.-Ing. Gottfried Scholtz
Trude Ruppersberger
Friedrich-Wilhelm Metz
Concetta Dehmel
Dr. Semra Wagenknecht
Edmund Gnatz-Rogner
Gotthard Christoph
Meryem Sager
Salvatore Eberhardt-Ring
Helmtrud Neureuther
Dipl.-Ing. Maik Mende B.Sc.
Esther Hoffmann-Hermighausen
Alfons Schleich B.A.
Ralf-Dieter Kroker
Rochus Gude
Evi Grein Groth
Dipl.-Ing. Emanuel Nette
Annegret Atzler
Emma Hornich-Kraushaar
Prof. Erwin Albers B.Sc.
Ing. Hatice Gehringer
Mariechen Nohlmans
Dipl.-Ing. Manuel Kade
Bernhard Becker
Frau Camilla Kruschwitz
Univ.Prof. Alois Jähn B.Eng.
Melitta Drewes
Herr Bertold Löffler
Karl-Wilhelm Anders-Gude
Prof. Heinz-Willi Hertrampf
Eveline Wagenknecht
Cetin Schwital
Siegmund Schleich MBA.
Janus Oderwald-auch Schlauchin
Eckehard Steckel
Dimitrios Fiebig
Amanda Stadelmann-Mende
Jasmina Koch MBA.
Lars Weller
Frau Chantal Ebert B.Eng.
Frau Natalija Stey
Alla Weihmann
Univ.Prof. Dorit Pechel B.A.
Woldemar Heinz
Prof. Svea Putz MBA.
Robin Weinhage B.A.
Andres Sager
Sigismund Junitz
Edelgard Neureuther-Vollbrecht
Almuth Rosenow-Schönland
Dr. Silvio Täsche
Dipl.-Ing. Julian Mühle
Gunhild Jessel
Sigrid Schleich
Herr Ilhan Tröst B.A.
Univ.Prof. Philippe Thies B.Eng.
Antonietta Kostolzin
Heinz-Georg Heidrich
Miguel Briemer
Dipl.-Ing. Utz Adler B.A.
Ahmad Preiß
Eckehard Nette
Milos Seifert
Kläre Beier B.A.
Jeannette Schleich
Burckhard Heuser
Ines Anders
Goran Benthin
Jonas Boucsein
Fadime Heidrich B.A.
Dr. Gaby Sontag MBA.
Walentina auch Schlauchin-Albers
Ing. Daria Lorch B.A.
Valentin Gute
Jurij Eimer
Grit Röhricht-Rosemann
Robin Junk-Henk
Berndt Bähr
Dr. Jeannine Schleich B.Sc.
Herr Hans Rogge
Maria-Theresia Scholl
Malte Davids
Ing. Zlatko Gerlach
Prof. Andrzej Gorlitz
Jörn Barth-Möchlichen
Leopold Weller-Zobel
Frau Therese Henk B.A.
Liesbeth Junck-Benthin
Brita Jäkel
Birgid Drewes-Seifert
Ing. Dörte Freudenberger
Univ.Prof. Etta Bohnbach
Joseph Austermühle
Margrit Förster
Dr. Lea Kraushaar B.Eng.
Ing. Hannes Jähn B.Sc.
Milka Hahn
Wolfgang Beier-Mohaupt
Kriemhild Warmer
Anica Tintzmann B.Eng.
Heribert Kensy
Gerard Förster
Hilmar Ziegert
Dipl.-Ing. Cristina Vogt
Ernestine Tröst
Annaliese Heser B.Sc.
Heimo Ziegert
Rüdiger Heinrich
Univ.Prof. Claudia Freudenberger B.Sc.
Univ.Prof. Franz-Josef Holt
Isabel Rose
Gertraude Pärtzelt MBA.
Nadia Rosenow
Frau Inken Zimmer B.Eng.
Monique Ullmann MBA.
Edeltraud Bärer
Nico Ehlert-Ackermann
Dr. Hans-Peter Adolph MBA.
Madlen Lübs
Prof. Nuran Sauer B.Sc.
Henryk Textor-Gröttner
Gudrun Reichmann MBA.
Dr. Meral Thies B.Sc.
Joachim Löffler-Riehl
Siegmar Mies-Baum
Prof. Vesna Scholz
Dipl.-Ing. Katarina Schmidtke
Arne Ziegert B.Sc.
Gerolf Döring-Buchholz
Leila Hethur
Inga Wieloch
Marliese Roht
Olga Krein
Hanna Jäntsch MBA.
Domenico Gerlach-Kramer
Nadin Radisch
Univ.Prof. Isabel Ladeck
Käthe Langern-Jacob
Irmengard Eckbauer
Peggy Holt
Mike Röhricht-Hauffer
Heide-Marie Gunpf B.A.
Christian Jacobi Jäckel
Univ.Prof. Pius Kühnert
Mehdi Kohl B.A.
Gretchen Pohl
Annerose Eckbauer
Eric Briemer
Melanie Jungfer-Preiß
Hansgeorg Klotz
Ing. Rosalinde Käster MBA.
Hans-Detlef Schleich
Kreszentia Jockel
Nico Hartung-Linke
Ing. Gabriela Dippel MBA.
Pavel Pärtzelt B.Sc.
Danny Gumprich
Franziska Wernecke
Univ.Prof. Ditmar Mitschke B.A.
Josef Rädel
Heiko Metz
Mirco Girschner
Prof. Karl-Hermann Pieper B.Eng.
Evangelia Misicher
Prof. Sarina Hartmann
Herr David Löchel B.A.
Dipl.-Ing. Gunnar Rohleder B.Sc.
Dagobert Bohnbach
Ottilie Gute
Herr Hilmar Stumpf
Berndt Grein Groth B.Sc.
Branka Speer B.A.
Dr. Eberhardt Adolph B.Eng.
Georgine Schäfer
Gunter Misicher
Marcel Stumpf
Valentin Rädel
Istvan Patberg-Anders
Günther Mude B.A.
Marion Wohlgemut B.A.
Giesela Wagner
Miriam Ehlert MBA.
Asta Knappe
Patricia Schäfer
Antonios Klemm B.Sc.
Reimar Müller
Gina Pieper
Reza Mielcarek
Wilhelm Metz
Auguste Lorch
Erol Eimer
Ralph Rogge
Elfi Kranz
Clara Mans
Prof. Ada Wähner
Balthasar Müller-Drub
Igor Zobel B.A.
Heiner Ruppersberger-Hentschel
Cord Mende B.Eng.
Almut Trupp
Dipl.-Ing. Sigrid Hahn
Hildegart Scheel B.A.
Patrick Anders-Stolze
Rahel Stey
Gretchen Eimer-Wilmsen
Hans-Jörg Trupp-Säuberlich
Ewald Kreusel
Christl Eigenwillig
Lisette Stoll B.Eng.
Brunhild Müller
Nils Hering-Loos
Sigmund Mosemann
Dipl.-Ing. Jost Bruder B.Eng.
Erica Lachmann
Greta Baum
Matthias Hendriks-Koch
Ilonka Noack
Wiltrud Ladeck MBA.
Ing. Rico Hoffmann
Stanislav Hoffmann
Gerta Beer
Benno Hofmann
Dr. Jorge Kambs B.A.
Judith Meyer
Augustin Jopich
Dipl.-Ing. Ehrenfried Kranz MBA.
Hasso Renner
Miroslav Paffrath
Dr. Krista Jäkel B.A.
Tanja Rörricht-Haering
Alexej Kohl
Katerina Barkholz
Dietrich Adolph MBA.
Annelene Adolph B.A.
Dimitrios Kraushaar-Adolph
Folkert Reinhardt B.Sc.
Michael Scholz
Lidija Pärtzelt
Friedhilde Dobes
Georg Nerger
Univ.Prof. Dolores Rust
Hasso Zahn
Dipl.-Ing. Valeria Kühnert MBA.
Heidrun Stiebitz
Hüseyin Hethur
Dan Scheuermann
Univ.Prof. Hinrich Eberth
Julia Hecker-Krebs
Leonardo Rogge
Dipl.-Ing. Mareike Noack B.Sc.
Ingbert Birnbaum-Ring
Ljudmila Nerger
Lorenz Sauer
Annette Schwital
Gitta Berger
Marlies Seifert-Roht
Kenan Pieper
Sofia Roht MBA.
Univ.Prof. Veli Etzler
Emilia Römer
Inken Hellwig-Hermann
Prof. Magdalena Bohlander B.Sc.
Kaspar Trub
Ing. Felicia Dörschner B.Sc.
Renato Bolnbach
Saban Hendriks
Rosa-Maria Knappe
Dana Jäntsch
Tilo Hande
Canan Beyer
Frau Ellinor Tintzmann
Cosimo Zimmer
Anka Rohleder
Univ.Prof. Klaus-Günter Renner B.A.
Johanna Finke-Ehlert
Univ.Prof. Harro Weller
Mike Matthäi
Univ.Prof. Albin Bärer
Pero Scheuermann
Heidelinde Pruschke
Univ.Prof. Valeria Putz
Klara Blümel
Jelena Meyer MBA.
Harry Lange
Ing. Maren Schenk
Susi Grein Groth-Steuer
Susi Seifert
Christof Ditschlerin
Aloisia Faust
Marek Walter MBA.
Wally Wähner
Dr. Krista Wirth
Liane Reuter
Katherina Ruppert
Prof. Helmut Hellwig MBA.
Prof. Lilly Schmidtke
Hajo Jäntsch
Mirko Ehlert
Dr. Michel Pruschke B.Eng.
Ernestine Stumpf
Stavros Hoffmann
Annamaria Kade-Fischer
Dorothea Finke
Benita Juncken
Reinhard Rogge
Kornelius Sontag
Ewa Bolnbach-Textor
Hassan Kroker-Girschner
Marzena Hein
Kathy Kitzmann
Carina Hövel
Dipl.-Ing. Lieselotte Trüb B.A.
Frau Jane Sauer
Beatrix Scheibe B.Sc.
Vinko Schmiedecke-Hendriks
Engin Johann-Weihmann
Francis Rohleder
Kazim Rohleder
Chantal Fröhlich
Univ.Prof. Fedor Eimer
Rudolph Etzold
Ing. Lisette Kaul B.A.
Gisela Weinhold B.Sc.
Albrecht Metz B.A.
Silva Hiller MBA.
Till Karz
Gordon Lehmann
Kristina Wernecke
Adam Seifert
Elise Trupp
Eleni Matthäi
Birgitta Beckmann-Thanel
Ehrhard Häring B.A.
Univ.Prof. Jane Mans B.Eng.
Elwira Wirth
Sandor Riehl
Dipl.-Ing. Jiri Wesack B.A.
German Speer
Helmtrud Börner B.A.
Janin Haase
Darius Trupp
Ing. Loni Gnatz MBA.
Hedi Bärer
Sevim Junitz
Dipl.-Ing. Walburga Steckel
Ekkehart Grein Groth
Univ.Prof. Gottfried Süßebier
Dusan Conradi-Rogner
Lore Margraf
Rolf-Dieter Kensy
David Losekann
Chantal Kade
Barbara Kambs
Elsbeth Schmiedecke-Wulf
Ing. Gundi Boucsein B.Sc.
Vesna Wähner
Gotthilf Gehringer B.A.
Ing. Wolf-Rüdiger Herrmann B.Sc.
Nora Klapp-Finke
Prof. Sandra Klapp
Carlo Bohlander
Wolf-Dietrich Gotthard-Dussen van
Hans-Gerd Gnatz
Carl Schomber-Mälzer
Univ.Prof. Sibylle Zirme B.Sc.
Wolf-Rüdiger Börner
Gerwin Bonbach-Fliegner
Ing. Rose-Marie Hölzenbecher
Dogan Bolander
Marco Stey
Attila Rogner
Hermann-Josef Zimmer
Saskia Roskoth B.Eng.
Frank-Michael Löwer-Ring
Juan Briemer-Textor
Frederik Beyer
Univ.Prof. Sigurd Fischer B.Eng.
Theresa Killer
Selim Pieper
Gordana Bolnbach
Ellen Junken
Ansgar Möchlichen-Höfig
Gisa Gerlach
Dietrich Bien
Bianka Dobes-Seifert
Frau Karolina Hörle
Univ.Prof. Jörg Jessel MBA.
Dipl.-Ing. Magrit Junck
Heinz-Willi Geisel
Herr Darius Heuser
Laura Beier
Pavel Jessel
Astrid Dowerg-Stroh
Gülten Peukert
Ursel Conradi
Heinz-Peter Biggen
Ing. Ayse Mangold MBA.
Prof. Alina Barth
Hajo Thies
Prof. Lene Oestrovsky B.Sc.
Daniele Seip
Nadja Schleich MBA.
Herr Tony Lindner
Gert Seifert
Hellmuth Söding-Bonbach
Stanislaus Geißler
Sina Mende
Helene Kuhl-Austermühle
Irina Hahn
Roger Gunpf-Paffrath
Ing. Pius Börner
Prof. Amelie Rose MBA.
Ditmar Dehmel
Alfred Rose
Frank-Michael Köhler
Mariele Stiffel B.Sc.
Ing. Cläre Dowerg
Thomas Hentschel
Thorsten Gude
Ing. Damaris Bonbach
Miroslav Krein
Rosemarie Hethur
Vadim Bender B.A.
Dr. Valeri Sölzer B.Sc.
Prof. Friedo Reuter
Prof. Hans-Peter Noack B.A.
Hartwig Sorgatz B.Eng.
Wladimir Möchlichen MBA.
Gertraude Hahn
Jolanda Henck
Katharina Krause-Hornig
Univ.Prof. Fredy Barth MBA.
Mariola Gnatz
Univ.Prof. Traude Gertz
Simon Mude
Michaele Schwital
Marianne Ernst-Zirme
Hans-Theo Bärer B.Eng.
Wolf Martin
Sofia Heinrich
Prof. Heinz-Peter Thies
Brigitta Eimer
Dipl.-Ing. Betty Niemeier MBA.
Carolin Holt
Jonas Löchel
Gertrude Kostolzin MBA.
Hanne-Lore Kraus
Univ.Prof. Ron Rörricht
Joachim Rogge
Christiana Bauer
Hans-Herbert Harloff
