Student
Tabea Kaul
Helmtrud Börner B.A.
Raymond Drub B.Sc.
Univ.Prof. Fredy Barth MBA.
Margaret Kramer B.A.
Univ.Prof. Virginia Pechel
Erna Schmiedt
Dr. Thekla Lindau B.Sc.
Angelika Rosemann
Karl-Heinz Hahn
Ing. Magarete Herrmann B.Eng.
Jost Gröttner-Mülichen
Frau Trudel Hövel
Dipl.-Ing. Till Säuberlich
Heinz-Jürgen Hesse
Brita Klemm
Elzbieta Beier
Ottfried Scheibe-Sauer
Isa Koch
Herr Edmund Hesse
Stefani Caspar
Dr. Annita Kallert
Nikolai Mohaupt
Annelie Schomber
Erwin Jopich
Romy Zahn-Bien
Maurice Möchlichen
Maya Haering-Becker
Camilla Kühnert MBA.
Leszek Wagner-Häring
Pascal Freudenberger
Michael Mies B.Sc.
Calogero Wende
Dipl.-Ing. Claudia Häring
Hartwig Keudel B.Eng.
Bastian Röhrdanz
Prof. Romy Bohnbach
Ing. Mohammed Geißler B.Eng.
Henryk Bauer
Frau Clarissa Rosenow B.A.
Maren Scholz-Bohlander
Abraham Carsten
Georgine Segebahn
Patrick Pärtzelt-Henck
Helene Keudel
Gino Häring
Wilma Pärtzelt-Huhn
Univ.Prof. Agathe Steinberg MBA.
Hans-Helmut Wesack
Amanda Heinz
Prof. Aziz Stumpf
Marlen Jacobi Jäckel B.Eng.
Hermine Wohlgemut
Antonio Margraf
Adele Stroh
Annerose Kaul
Simona Lorch
Florentine Eimer
Adalbert Schmidtke
Birgid Graf
Ditmar Trub
Tillmann Dobes-Trupp
Clara Gehringer
Mirko Ehlert
Cecilia Eigenwillig
Otto Butte
Sami Mitschke
Theodor Striebitz
Univ.Prof. Undine Becker MBA.
Sylvester Neuschäfer-Schacht
Carmela Lindau
Herr Alexandre Eimer B.A.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Yvette Schinke
Dipl.-Ing. Janus Roht B.Sc.
Doreen Striebitz
Univ.Prof. Cläre Weihmann B.A.
Ing. Margarethe Martin
Siegrid Hande
Eveline Wagenknecht
Josephine Nerger-Mende
Ing. Herbert Mühle B.Sc.
Frau Tatiana Hande B.Sc.
Valeska Zimmer-Schleich
Ben Eimer-Loos
Istvan Patberg-Anders
Dr. Jann Wesack B.A.
Dr. Michel Pruschke B.Eng.
Sergej Pärtzelt
Sven Walter
Cord Tröst
Evelyn Ortmann
Agnieszka Steckel
Joseph Reuter
Lene Hermann-Kaul
Lidwina Jockel
Verena Hornich
Aenne Mende B.Eng.
Jens Drubin
Rosalia Heydrich
Kreszentia Pölitz-Karge
Ehrhard Pruschke
Ursel Juncken-Buchholz
Gaetano Paffrath
Hans Dieter Junk
Alois Werner
Dariusz Wirth
Auguste Pruschke
Franco Loos B.Eng.
Bayram Meister
Dipl.-Ing. Bernward Putz B.Eng.
Prof. Rudolph Linke
Dr. Danica Scheuermann B.Sc.
Anika Trüb
Tillmann Mude
Dunja Dörr B.Sc.
Veronica Benthin
Prof. Emine Beer
Dipl.-Ing. Bertram Gieß MBA.
Ramona Sontag
Emilie Kallert-Zorbach
Sebastian Vogt
Henning Fechner
Lieselotte Nohlmans
Carina Schaaf
Luigi Gude
Marika Zänker B.A.
Stilla Dobes
Kazim Hörle
Dr. Jonas Anders B.Sc.
Frau Katarina Bolander B.Sc.
Adelinde Geisler
Eugenia Sorgatz
Kunigunde Ziegert
Heribert Römer-Lindau
Dr. Laila Peukert
Nikolaos Dehmel B.A.
Liliana Davids
Krista Hofmann
Herr Juri Kitzmann
Claire Faust B.A.
Karl-Georg Sontag B.Sc.
Dr. Zehra Etzler
Dipl.-Ing. Ira Röhricht B.Sc.
Irmtraut Noack
Hiltrud Bolander-Ziegert
Deborah Etzler
Klaus-D. Sölzer
Antoinette Schottin
Univ.Prof. Marc Schmiedt
Celal Mühle
Jörn Trupp MBA.
Univ.Prof. Ludwig Jähn B.A.
Dipl.-Ing. Erwin Hamann
Bruno Siering MBA.
Dolores auch Schlauchin
Edda Gertz B.Eng.
Ricarda Warmer B.A.
Kemal Butte-Tintzmann
Ronny Scholtz
Ing. Wolf-Rüdiger Weihmann B.Eng.
Friedrich Bolnbach-Gnatz
Abbas Täsche
Enver Conradi-Hecker
Ing. Therese Rust
Walfried Klotz-Klotz
Larissa Käster
Henry Hofmann B.Eng.
Hans-J. Tröst MBA.
Fredi Huhn
Achim Etzold MBA.
Philipp Ernst
Andrea Ziegert
Stephanie Heintze
Paul Hettner
Gisa Hendriks
Ing. Ernest Rogge B.A.
Dr. Gerard Dörr
Dipl.-Ing. Hans-Karl Dussen van B.A.
Dipl.-Ing. Wenzel Hellwig B.Sc.
Carolin Holt
Anny Wagenknecht
Antonietta Hübel
Mark Lindau
Fabienne Birnbaum
Judith Meyer
Ing. Marko Linke
Danica Atzler
Prof. Friedbert Tschentscher B.Eng.
Dipl.-Ing. Marieluise Löchel
Annelies Seifert
Lars Walter
Canan auch Schlauchin-Dussen van
Rolf-Dieter Jacobi Jäckel-Nerger
Slavica Koch
Curt Mühle
Dr. Ute Schuchhardt
Ehrentraud Meyer MBA.
Annelene Möchlichen-Weiß
Benjamin Jäntsch B.Sc.
Ibrahim Ditschlerin
Dr. Gerhart Käster
Willy Kallert
Rene Henck
Univ.Prof. Otto Kruschwitz MBA.
Antonios Schönland
Agata Hertrampf
Alexandre Geisel
Friedl Barth
Hans-J. Bolander
Univ.Prof. Dolores Rust
Mareen Krebs-Hofmann
Helga Salz
Dr. Zeljko Pruschke
Hans-Erich Preiß
Dragica Rosenow
Hans-Wilhelm Weller
Herr André Scholl B.Sc.
Wolfhard Rosemann B.Eng.
Aloisia Faust
Paolo Weller-Heinrich
Rosa Heuser
Gudrun Heß B.Sc.
Anatolij Keudel
Gesche Kühnert
Constantin Kostolzin
Valeri Tschentscher
Prof. Sergei Heser
Hans-Christian Trüb
Miroslav Paffrath
Univ.Prof. Franz-Xaver Girschner B.Sc.
Tadeusz Weller
Frau Caren Schmidt MBA.
Dr. Lilija Butte B.A.
Ing. Käthi Schäfer
Annemie Margraf
Dagobert Sorgatz
Kriemhild Warmer
Felicia Hamann
Klaus-D. Segebahn
Diether Vogt B.A.
Ingetraut Jopich
Hansgeorg Kruschwitz
Erika Pruschke
Ing. Bianka Bärer MBA.
Ronny Dippel
Herr Augustin Thies B.A.
Tomas Tlustek
Ryszard Lorch
Luzia Eckbauer
Marit Mühle
Ing. Birgid Möchlichen B.A.
Dipl.-Ing. Charles Täsche
Kunigunda Zimmer
Jozef Bohlander
Prof. Urs Täsche
Mahmut Rose B.A.
Ladislaus Hande
Univ.Prof. Albin Bärer
Egbert Bender
Dietlind Albers
Stefanie Benthin
Hanno Löffler
Irmtraut Haase-Hendriks
Grzegorz Mende B.A.
Raymund Mosemann-Eckbauer
Eva-Marie Berger MBA.
Dipl.-Ing. Sigrid Hahn
Georgine Schinke
Jörgen Putz B.A.
Eckehard Mude
Anneke Nohlmans
Geraldine Wagner
Friedlinde Meyer
Uschi Trüb
Irmtraut Mülichen B.A.
Herr Arnulf Kohl
Prof. Denis Segebahn MBA.
Hildegart Scheel B.A.
Theresia Liebelt
Univ.Prof. Fedor Eimer
Liesa Gröttner
Eduard Ruppersberger
Frau Brigitta Bohlander MBA.
Nathalie Lehmann
Augustin Carsten
Lilly Seifert
Dipl.-Ing. Ilse Heß B.Sc.
Janin Hermann
Prof. Bela Noack
Univ.Prof. Baptist Mende MBA.
Univ.Prof. Traudel Wernecke B.A.
Lutz Mies-Hesse
Berthold Naser
Irmgard Pieper B.Eng.
Frederik Bohlander
Dorothee Koch II
Ellinor Kraus
Dr. Ursel Gute
Karoline Hübel
Dipl.-Ing. Sergio Hövel B.Eng.
Gönül Steinberg
Hansjürgen Eberth
Engelbert Carsten-Hiller
Vitus Pruschke B.A.
Ing. Jeanette Rosemann B.Eng.
Gert Naser
Ing. Sebastian Killer B.A.
Dr. Guntram Kusch
Antonino Rogge-Meyer
Ottilie auch Schlauchin B.Eng.
Mechtild Winkler
Herma Bender-Scholtz
Univ.Prof. Hans-Theo Kroker
Ralf-Peter Ebert
Hans-H. Schönland
Elwira Pölitz B.Sc.
Erik Trupp MBA.
Gregor Buchholz
Kristin Bohlander B.Eng.
Orhan Hecker-Heuser
Peer Jähn
Heide-Marie Heß B.A.
Ing. Torsten Hartung B.Eng.
Jadwiga Koch
Sarina Dobes
Ivana Wilmsen-Gumprich
Univ.Prof. Waldtraut Riehl
Konstanze Sontag
Günter Schottin
Prof. Hans-Hinrich Schmidt
Jacob Bähr
Ruth Hartung
Dietlinde Söding
Ing. Dirk Paffrath
André Kraushaar-Henck
Linus Mans-Röhrdanz
Bertold Bloch-Beckmann
Marie-Luise Ring
Prof. Folker Trupp B.Sc.
Goran Benthin
Brunhilde Scholz
Hajo Thies
Univ.Prof. Cecilia Scholl MBA.
Hedda Schönland
Ansgar Hande
Ana Heinz B.A.
Ing. Hans-Walter Ackermann
Dr. Mechthilde Hellwig
Dina Johann
Ahmet Thies
Dipl.-Ing. Lotte Austermühle B.A.
Albina Heinz
Cemal Budig-Holt
Gunhild Meister
Univ.Prof. Mahmoud Liebelt
Kläre Beier B.A.
Edit Dowerg
Anneliese Gnatz
Lothar Birnbaum
Therese Neureuther
Paul-Gerhard Gunpf
Veit Etzler
Karsten Wohlgemut
Hans-J. Neureuther
Ing. Hanne-Lore Ackermann
Ekaterina Conradi
Dörthe Hiller
Ing. Kläre Radisch
Arndt Bachmann B.Eng.
Univ.Prof. Othmar Geisel
Ing. Corinne Winkler
Univ.Prof. Florentine Schomber B.Eng.
Martin Pechel-Freudenberger
Denny Salz
Prof. Ruthild Nette B.A.
Danilo Hartmann
Zenon Pärtzelt
Ewald Kreusel
Univ.Prof. Nikolaus Sölzer B.A.
Hans-Michael Krein-Wernecke
Mariusz Wilmsen B.A.
Catharina Jacob
Roswita Henck
Roland Ring
Cilli Gorlitz
Domenico Kade B.A.
Dorina Weinhold
Univ.Prof. Sibylle Zirme B.Sc.
Prof. Marie-Theres Löffler B.Sc.
Till Karz
Frau Kordula Geisler MBA.
Dajana Gehringer
Imelda Geißler
Jessica Gotthard
Frau Ingelore Gertz
Alena Neureuther
Rudolf Mentzel
Knut Jacob
Hüseyin Johann
Milos Biggen
Eberhard Rust B.A.
Prof. Thekla Hahn
Kamil Hecker-Hahn
Fanny Zänker-Hein
Prof. Ivonne Boucsein B.Eng.
Marcel Stumpf
Prof. Frithjof Binner
Nina Müller B.Eng.
Heinrich Döring
Hermann Bruder
Gundi Hiller
Werner Heydrich-Schmidtke
Anne-Marie Sontag
Prof. Gundula Dörr B.Sc.
Heribert Kensy
Prof. Sylvester Bender
Ingo Heinz
Mariola Heinrich
Jasmina Bolzmann-Hövel
Annita Lorch
Reimer Kitzmann
José Tschentscher-Textor
Peer Nohlmans B.Sc.
Frau Anna-Luise Sontag
Prof. Guenther Margraf B.Eng.
Paolo Meister
Dariusz Reising-Ernst
Maria Bruder
Wiltrud Christoph
Cosima Johann
Milos Seifert
Branka Speer B.A.
Adem Hörle
Margit Müller
Stavros Hentschel B.Eng.
Brunhilde Mälzer-Warmer
Gebhard Krein
Mira Hoffmann
Univ.Prof. Erhard Heuser MBA.
Prof. Klaus Peter Bruder
Laila Kranz
Ing. Fredi Löffler
Mareile Oderwald-Hiller
Genoveva Hofmann
Nancy Karz-Bolzmann
Luciano Wirth
Edit Rädel
Prof. Guenter Mosemann
Prof. Horst Mälzer B.Sc.
Dipl.-Ing. Birgitta Boucsein
Karen Grein Groth-Dörschner
Mirjam Stumpf
Kreszenz Drubin
Karlfried Karge-Wieloch
Carmine Schacht
Dr. Meral Thies B.Sc.
Francis Rohleder
Marion Drewes
Emma Briemer B.Eng.
Augustin Hoffmann MBA.
Aenne Sölzer B.A.
Francesco Nerger
Francoise Zänker-Knappe
Sigmar Briemer
Wolf Häring-Kallert
Athanasios Jacobi Jäckel
Hans-Bernd Knappe-Gröttner
Olav Thies
Hartmuth Eberhardt
Erna Kensy-Bähr
Ing. Jenny Oestrovsky
Karl-August Reichmann B.Sc.
Harro Keudel
Dipl.-Ing. Jost Bruder B.Eng.
Prof. Janus Walter B.A.
Justus Lorch
Regina Barkholz
Karl-Dieter Seifert
Dr. Lars Klemt
Prof. Meinrad Wiek
Univ.Prof. Claudio Schmiedt
Christel Mangold
Zlatko Ritter B.Eng.
Katherina Ruppert
Rico Cichorius
Maja Jungfer
Lieschen Röhrdanz
Gereon Wende MBA.
Frederike Stoll
Hansjoachim Kraus-Beer
Domenico Gerlach-Kramer
Carlo Bohlander
Dr. Leila Gunpf B.Sc.
Reingard Klingelhöfer
Marco Conradi
Nico Ehlert-Ackermann
Moritz Roht
Mandy Scholl-Bohnbach
Betti Adolph
Andree Wilmsen B.Eng.
Hildburg Dowerg-Pergande
James Ebert
Univ.Prof. Jeannette Schleich B.Sc.
Christl Wähner
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Ing. Gerti Franke
Ernest Müller
Ron Beer
Dr. Hedda Radisch
Jonas Walter
Rosl Trupp
Gereon Jacob
Thorben Stiebitz
Pero Gutknecht
Donald Schönland
Stephen Lübs
Gabriella Rädel
Marina Radisch
Ahmed Lange MBA.
Lotti Rosemann
Prof. Necati Stey B.A.
Angela Weimer B.A.
Agnes Tröst
Sören Spieß
Gislinde Junken
Prof. Linda Beier
Piotr Ruppersberger
Georg Nerger
Ilhan Budig
Ing. Petar Wilmsen
René Ehlert
Wojciech Girschner B.A.
Dipl.-Ing. Canan Pölitz B.Eng.
Thomas Hentschel
Ing. Hans-Joachim Ullrich
Isabel Rose
Lina Hörle
Herr Francis Scholtz
Dipl.-Ing. Bernhardine Heß
Hellmuth Hörle
Herlinde Birnbaum
Swantje Binner B.A.
Arif Killer
Erwin Jungfer
Dierk Dörr
Univ.Prof. Wibke Reinhardt B.Eng.
Liliane Gröttner-Albers
Claudio Bolnbach
Dipl.-Ing. Helma Heuser B.Sc.
Anne-Katrin Butte MBA.
Ing. Hanny Schlosser MBA.
Annett Ullrich
Frau Julie Wieloch
Ulrike Misicher MBA.
Janko Neureuther
Larissa Ullmann
Maxim Roht
Elfi Roht
Ing. Wenke Karge B.Sc.
Ilonka Döring-Schulz
Heimo Kuhl
Prof. Gaetano Weiß
Univ.Prof. Herta Zänker
Ing. Christiana Seip
Mohammed Ritter
Volker Süßebier-Staude
Univ.Prof. Waldemar Döring
Pedro Hande B.Sc.
Halina Lachmann
Necati Lindner
Univ.Prof. Vadim Vollbrecht B.A.
Kristian Anders B.Sc.
Friedericke Killer B.Eng.
Monique Schleich-Kroker
Michaela Sontag-Dörr
Marlies Beckmann
Walentina Hesse
Katalin Thanel-Kitzmann
Ing. Wolf-Rüdiger Herrmann B.Sc.
Juan Fechner
Nadeschda Hande
Hellmuth Drubin-Tschentscher
Sofia Etzler B.Eng.
Rose-Marie Schüler
Dipl.-Ing. Berit Weinhage
Dipl.-Ing. Burckhard Jäntsch
Cindy Schleich
Hedi Gumprich
Hendrik Herrmann
Nikola Riehl
Yvette Dietz
Kläre Mohaupt-Salz
Prof. Arif Mielcarek B.Eng.
Kirsten Heydrich
Gerta Klemt
Cord Zorbach
Liesel Klapp
Ante Hermann-Mans
Hans-Rudolf Huhn
Wilfried Steinberg
Hellmut Lindner
Willfried Kostolzin
Richard Mende-Hendriks
Prof. Ferdinand Gertz B.Sc.
Alma Flantz MBA.
Leif Wulff
Magda Geißler
Carin Binner
Deborah Becker
Dipl.-Ing. Edgar Gehringer B.Eng.
Jonas Boucsein
Carlo Martin B.Eng.
Janine Dehmel B.Eng.
Arne Ziegert B.Sc.
Heidelore Pärtzelt MBA.
Dipl.-Ing. Julian Mühle
Wolfhard Ziegert
Ing. Ramazan Kallert MBA.
Marion Wohlgemut B.A.
Klaus-Ulrich Tlustek-Förster
Dipl.-Ing. Helmut Hauffer
Marlen Flantz
Attila Rogner
Damaris Holsten-Schleich
Dipl.-Ing. Frederik Rörricht B.Sc.
Damian Hentschel
Tim Sorgatz
Emilie Schmiedecke
Mia Ullmann
Dogan Ruppersberger
Malte Schäfer
Kaspar Junken
Niko Geißler-Wirth
Dipl.-Ing. Jiri Wesack B.A.
Pius Römer MBA.
Alf Jüttner
Dr. Eleni Heser
Ing. Ralf Sölzer B.A.
Vincenzo Jopich
Lotte Kitzmann B.A.
Annemarie Seidel
Franca Börner
Hellmuth Heidrich
Meike Trupp
Sebastian Karge
Theo Döring
Hilda Stey B.Eng.
Anthony Heintze
Ann Stumpf
Harold Scheibe
Gertrude Gumprich
Ing. Ernst-August Häring
Hansjürgen Faust
Ehrentraud Kroker
Prof. Henryk Kitzmann
Ruth Wiek-Bloch
Luzie Schäfer
Heinz-Peter Butte B.Eng.
Robert Herrmann
Nancy Hartmann-Schottin
Ella Briemer-Siering
Orhan Wieloch
Johann Reuter
Dr. Franco Stumpf B.Eng.
Reimer Hethur-Gutknecht
Frau Ina Schwital B.Sc.
Knut Gorlitz
Ing. Gabriela Dippel MBA.
Ljiljana Henk
Pirmin Boucsein MBA.
Cecilia Stoll
Margret Hentschel-Davids
Milos Pärtzelt B.Sc.
Jeannine Lehmann
Anastasia Gunpf
Dusan Eigenwillig
Irmtraud Ladeck
Gaetano Söding
Julian Schuchhardt-Dippel
Ing. Elsa Liebelt
Inna Winkler
Univ.Prof. Heinrich Knappe B.A.
Piotr Speer-Seifert
Friedl Hänel
Univ.Prof. Margareta Naser
Frau Ivanka Killer MBA.
Nicolai Röhricht-Spieß
Agatha Kostolzin
Hans-Adolf Römer-Jäntsch
Rosa Pieper B.Eng.
Ramona Henk B.Sc.
Prof. Maya Peukert
Stavros Zirme
Gretchen Pohl
Valeria Conradi
Melissa Gehringer
Miroslav Kohl
Univ.Prof. Ahmet Birnbaum MBA.
Dr. Renate Mende
Univ.Prof. Trudel Gierschner MBA.
Senta Renner
Gertrude Ullmann
Kata Atzler
Gordon Klemt-Rörricht
Ivan Plath
Elmar Fröhlich
Celal Scheel B.A.
Prof. Lieschen Mälzer B.Sc.
Melissa Stey
Friedericke Ring MBA.
Hans-Detlef Matthäi
Maren Bachmann-Stumpf
Kay-Uwe Bruder MBA.
Jonas Löchel
Alfredo Möchlichen
Berend Gertz B.Eng.
Ingetraud Austermühle-Dowerg
Undine Jopich
Katharine Renner
Leszek Hentschel
Ing. Edward Salz
Dipl.-Ing. Enver Drubin
Prof. Ruth Gehringer
Bertha Reuter
Ing. Hüseyin Gutknecht B.Sc.
Deborah Beier
Siglinde Kambs-Geißler
Ruthild Juncken B.Sc.
Dipl.-Ing. Christoph Jockel B.Sc.
Karlheinz Stahr
Iwan Butte B.Sc.
Zofia Schulz
Prof. Knud Atzler B.Sc.
Dipl.-Ing. Klaus Geisler
Sina Patberg
Helge Ladeck MBA.
Prof. Marika Davids B.A.
Wilhelm Walter
Trude Scholtz B.A.
Roman Hauffer
Mattias Sorgatz-Haase
Dr. Hans Dieter Mude
Mattias Henk
Heinz Dieter Zirme
Suse Pergande-Gröttner
Karlfried Zahn B.A.
Friedemann Kostolzin
Balthasar Müller-Drub
Erich Klotz B.Sc.
Winfried Hermann
Alwine Linke
Justine Kade
Zehra Putz
Herr Swen Kraushaar B.A.
Erhardt Heidrich
Marvin Kabus B.A.
Alma Eimer-Seip
Richard Drub
Ilija Kohl
Dipl.-Ing. Zenta Hornig B.Sc.
Marcel Fechner
Fernando Schüler
Carlos Klotz
Irmtraut Wende
Jeannette Heuser
Hannelore Rädel-Keudel
Juan Noack
Herr Darius Heuser
Amelie Pruschke MBA.
Frieda Gröttner
Anna-Marie Heidrich
Kathleen Hahn B.A.
Senta Weihmann
Tadeusz Kruschwitz B.Sc.
Prof. Diether Neureuther
Guntram Scholz MBA.
Vincenzo Lübs
Magdalena Tintzmann B.Sc.
Hans-Dietrich Fliegner
Dipl.-Ing. Margarethe Holt MBA.
Philip Mangold
Irmtraud Freudenberger
Katharine Mohaupt-Heuser
Maximilian Juncken
Friedrich-Karl Zorbach
Larissa Mangold
Wera Hauffer B.A.
Leonardo Klingelhöfer B.Sc.
Mikhail Bauer
Dipl.-Ing. Manuel Kade
Ing. Knut Christoph
Johann Rust
Gitte Briemer
Serge Kraus B.Eng.
Amanda Stadelmann-Mende
Adalbert Hande B.Eng.
Christiane Roht
Ole Süßebier MBA.
Prof. Rolf-Dieter Fiebig MBA.
Conrad Lindau
Frau Jane Sauer
Brigitta Eimer
Cornelius Scheuermann
Zbigniew Höfig B.Eng.
Herr Goran Paffrath
Hans-Detlef Schleich
Roderich Ehlert-Henk
Bogdan Rosemann
Nikolai Stiebitz
Hans-Hinrich Trub
Alois Knappe
Vincenzo Steinberg B.Sc.
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Sara Heuser
Univ.Prof. Aysel Lindau
Univ.Prof. Antonina Becker
Hedy Rudolph MBA.
Dr. Daniela Linke MBA.
Hans-J. Hahn-Süßebier
Frau Annette Fiebig B.Eng.
Knud Zimmer
Dipl.-Ing. Halina Bender B.A.
Mahmut Hänel
Sergio Schleich
Prof. Janos Werner B.Eng.
Patrizia Bender-Reuter
Carl-Heinz Kraus
Birgitta Schleich
Frau Mechtild Fliegner
Ing. Dorothe Junken
Cilli Siering
Ing. Liesa Zirme
Giuseppe Preiß
Nikolas Siering
Käthi Faust-Gorlitz
Hans-Helmut Eimer MBA.
Frau Katarina Lindner
Richard Kostolzin
Prof. Mohammad Reinhardt
Friedrich Austermühle-Döring
Miroslawa Jessel B.Sc.
Jörg-Peter Christoph
Herr Marian Schlosser B.A.
Herr Roman Schwital MBA.
Ing. Josip Ruppert
Arnulf Zimmer-Seifert
Nikolaj Scholz
Prof. Constance Girschner MBA.
Enrico Oderwald
Ingetraut Köster
Dipl.-Ing. Mareike Noack B.Sc.
Vesna Wähner
Nicolaus Seifert
Erwin Etzold
Margareta Klingelhöfer
Gerhardt Barkholz B.Eng.
Ellen Hahn-Spieß
Diethelm Hübel MBA.
Gitta Berger
Wibke Pärtzelt-Wieloch
Brita Kaul
Dipl.-Ing. Elisabeth Wiek
Inken Gute B.Eng.
Dr. Hans-Albert Stroh
Hanne-Lore Berger
Timm Schönland
Iwan Schleich
Reingard Cichorius
Berndt Bähr
Prof. Lene Oestrovsky B.Sc.
Blanka Birnbaum
Adalbert Ullmann
Eckhard Sölzer
Annelie Metz
Sami Mans-Ullrich
Herr Hans-Martin Heuser
Dr. Elly Junk
Ing. Isabell Hartmann MBA.
Anne-Kathrin Bachmann
Prof. Irmgard Mühle
Ansgar Seidel
Hans-Eberhard Lübs
Zita Butte
Ekkehard Holzapfel
Antonius Kraus
Prof. Theodoros Paffrath B.A.
Ludger Stiffel
Kreszentia Bloch-Steckel
Frau Patricia Gorlitz B.A.
Reinhart Winkler B.Eng.
Anna-Marie Zorbach
Gloria Bruder B.A.
Jan Freudenberger
Prof. Pedro Schmidt B.Eng.
Alwina Hettner
Lucia Kohl
Univ.Prof. Lissi Schomber
Dipl.-Ing. Hanns Nette
Claudius Mude
Alexandros Ernst
Univ.Prof. Annegrete Henck B.A.
Raphael Bonbach MBA.
