Student
Hannelore Haase
Ingrid Eigenwillig
Brigitte Knappe
Tatjana Käster-Schüler
Milena Weitzel-Steinberg
Ing. Wulf Atzler
Elmar Fröhlich
Aenne Beyer
Cordula Mangold
Hans-Hinrich Bohlander
Joachim Höfig
Edwin Wilms MBA.
Herwig Krebs
Antonietta Kostolzin
Angela Stiffel
Manuel Pärtzelt
Thilo Tschentscher
Grzegorz Mende B.A.
Univ.Prof. Annegrete Henck B.A.
Frau Gertraude Wesack B.Eng.
Lore Tröst
Bernhardine Mangold
Ing. Hannes Jähn B.Sc.
Brigitta Eimer
Yusuf Steinberg B.A.
Univ.Prof. Walter Barkholz
Eugenie Pieper
Radmila Linke MBA.
Heinz-Otto Hermighausen
Andreas Birnbaum-Kallert
Walfried Wohlgemut B.Eng.
Ing. Anton Gotthard MBA.
Frida Süßebier
Prof. Norbert Wilms B.A.
Cemal Budig-Holt
René Rose-Krebs
Veronique Eimer
Jörg-Peter Jüttner-Winkler
Kriemhild Jähn
Tino Metz
Mariola Heinrich
Brian van der Dussen
Prof. Hermann Bohlander B.Eng.
Jan Döring B.A.
Elisa Mälzer
Alicja Gieß
Hubert Hertrampf
Damian Hentschel
Dogan Ruppersberger
Amanda Stadelmann-Mende
Dr. Daniela Linke MBA.
Berthold Jäntsch-Jessel
Sven Walter
Gerda Mans
Gerard Scholl
Irina Mielcarek
Alida Tröst
Henni Mälzer-Tlustek
Clara Gehringer
Janett Patberg
Frau Gitte Hänel
Reimund Eimer
Carla Schacht
Jessica Gotthard
Zoltan Preiß B.Eng.
Yvette Dietz
Annelie Schomber
Eleni Mühle MBA.
Dr. Stefania Gnatz
Lara Oderwald
Horst-Peter Ritter
Nadeschda Rädel
Hans-Martin Bärer
Gregor Buchholz
Amalia Hermann-Schäfer
Francisco Harloff
Ignaz Stoll
Herr Ilja Kroker
Ing. Bernard Schleich B.Sc.
Karlheinz Stahr
Lidwina Karz MBA.
Marika Zänker B.A.
Ilias Wagner
Frau Inken Zimmer B.Eng.
Hermann Bruder
Ing. Wolf-Rüdiger Dietz B.Sc.
Wibke Reuter
Elsa Preiß
Dipl.-Ing. Petar Wohlgemut
Steven Steinberg B.Eng.
Linus Drub
Antonino Klingelhöfer
Erdal Meyer B.A.
Maurice Möchlichen
Gunnar Junk
Ernst-August Gutknecht
Alexandre Geisel
Kreszentia Bohlander
Benita Neuschäfer
Henni Wagenknecht B.Sc.
Magdalena Löwer B.Eng.
Antje Etzold
Roman Hauffer
Helmuth Wagner
Antonino Rogge-Meyer
Siegward Hertrampf
Inka Hornig B.A.
Prof. Hannah Hölzenbecher MBA.
Mohamed Heydrich
Dipl.-Ing. Hans-Gerhard Schleich
Siegmar Kramer
Dr. Jacqueline Trubin B.Sc.
Helen Dehmel
Wilfried Börner
Olaf Juncken
Ing. Muharrem Paffrath B.Sc.
René Gude B.A.
Ekkehart Niemeier
Adolfine Wilms
Univ.Prof. Othmar Geisel
Kilian Patberg
Klaus-Günter Kreusel
Herr Torsten Hermighausen B.Sc.
Kai-Uwe Bohnbach
Myriam Hänel
Damian Söding
Herr Anthony Caspar
Ing. Liesa Zirme
Carin Rohleder
Auguste Gunpf
Univ.Prof. Klaus-Günter Renner B.A.
Utz Christoph-Henck
Recep Weihmann
Ann Spieß MBA.
Herr Jonathan Hänel MBA.
Frau Eugenia Matthäi
Elvira Cichorius
Karl-Otto Kostolzin
Dipl.-Ing. Korinna Pärtzelt
Dipl.-Ing. Ildiko Löffler B.A.
Juan Noack
Gunhild Ullmann
Diether Vogt B.A.
Rose-Marie Jäkel
Karlheinz Martin
Hans-Uwe Sager
Boris Bachmann
Ernest auch Schlauchin
Marika Sager
Georgios Neuschäfer
Ben Bonbach B.A.
Volkmar Mosemann
Dr. Gerard Dörr
Dipl.-Ing. Betti Löffler MBA.
Univ.Prof. Ralf-Dieter Kabus MBA.
Prof. Antonia Mielcarek B.Eng.
Bertha Ritter-Drubin
Rosa Pieper B.Eng.
Jacek Klemt
Katharina Süßebier B.A.
Ilhan Budig
Georgine Schäfer
Univ.Prof. Gusti Schlosser
Olga Stahr
Ralph Schottin-Graf
Emmerich Killer
Univ.Prof. Gerhardt Dowerg B.Eng.
Eckhard Lindau B.A.
Dipl.-Ing. Manuel Kade
Stephanie Kranz B.A.
Ruth Mangold B.Sc.
Hans-Hermann Hande
Dursun Gehringer
Anita Mohaupt
Franca Buchholz
Tino Niemeier
Bernhard Fischer
Ryszard Anders B.Sc.
Leon Rust
Volkhard Köster-Jüttner
Svenja Hartmann
Ralf-Peter Schacht
Hellmuth Drubin-Tschentscher
Edda Junck-Eimer
Hartmut Biggen-Trapp
Ing. Carla Ziegert B.Eng.
Sophie Rädel
Herr Dietrich Gotthard B.A.
Karl-Dieter Süßebier
Anneli Wernecke
Johan Heydrich
Alwine Bien
Senta Hiller
Dipl.-Ing. Jens-Peter Dippel MBA.
Moritz Holzapfel
Steve Scholl-Ladeck
Univ.Prof. Amalia Köhler
Torben Hartung
Hans-Günther Eimer
Mara Vollbrecht B.A.
Ing. Friedhelm Löchel B.Eng.
Lieschen Steckel
Prof. Danny Bähr B.Eng.
Univ.Prof. Inga Hermighausen B.Eng.
Annelore Täsche
Ilija Hofmann
Carla Gnatz
Hansjürgen Eberth
Danuta Kensy
Valerie Mangold
Hans-Jürgen Barth
Prof. Theobald Mangold
Klaus Dieter Stoll-Wilms
Margot Ullmann
Hartwig Keudel B.Eng.
Kirsten Heydrich
Stanislav Löffler MBA.
Dipl.-Ing. Milos Klemt
Amalia Wulf
Emma Trub-Scheuermann
Vinko Reuter
Lydia Schenk
Reinhild Pergande
Sandy Zimmer
Juan Klapp B.Eng.
Janko Neureuther
Cläre Heser
Gerd Beckmann-Gnatz
Karl-Peter Grein Groth B.Eng.
Heribert Austermühle-Trupp
Vassilios Trommler-Gieß
Marian Vollbrecht MBA.
Hans-Heinrich Schüler-Seip
Irmhild Lorch
Lilly Naser
Cecilia Killer
Antonius Stoll-Krebs
Josephine Rogge
Anthony Oderwald
Otmar Wende
Friedericke Lehmann B.Sc.
Prof. Felicitas Dörschner
Heino Zahn-Bähr
Univ.Prof. Brigitte Rogner
Frau Xenia Blümel
Notburga Heuser
Edith Binner
Herr Vinzenz Jäntsch B.A.
Amanda Weller
Prof. Vadim Rogner
Milan Weiß-Schuchhardt
Hans Kostolzin-Ditschlerin
Joanna Weinhold-Förster
Heinz-Dieter Gute
Karl-Peter Kramer
Prof. Folker Trupp B.Sc.
Ing. Romy Gieß
Luisa Hecker
Jochem Röhrdanz
Henry Austermühle
Univ.Prof. Romuald Hermighausen
Inken Ziegert
Marie-Louise Hendriks-Dörschner
Liesbeth Huhn
Susi Schuchhardt
Silvester Sorgatz MBA.
Abdul Trüb MBA.
Univ.Prof. Jens Weinhage
Ing. Thomas Drewes B.A.
Hans-Bernd Eimer-Pechel
Dipl.-Ing. Mirella Franke MBA.
Ahmad Fechner-Wulff
Sami Linke B.A.
Karl-Heinz Hahn
Dana Köster
Christina Schlosser
Dipl.-Ing. Elisabeth Wiek
Anna-Maria Holzapfel
Tony Hecker
Maurice Beckmann
Ing. Horst-Dieter Seip
Horst-Peter Thies
Suzanne Holzapfel
Saskia Roskoth B.Eng.
Dipl.-Ing. Christoph Jockel B.Sc.
Lilo Hartung
Gregor Knappe B.Eng.
Gabriela Freudenberger B.A.
Lieschen Rörricht
Dina Rose
Dr. Janos Reising
Sylvester Zirme
Dr. Peer Schwital MBA.
Sigmund Kensy
Univ.Prof. Aleksander Wiek B.A.
Rüdiger Heinrich
Friedl Briemer-Austermühle
Ing. Loni Gnatz MBA.
Dipl.-Ing. Kristine Klapp MBA.
Univ.Prof. Conny Wagner MBA.
Sibylle Stey
Robert Herrmann
Dr. Heinz-Georg Aumann MBA.
Gernot Dörr
Elzbieta Beier
Carina Killer
Käthi Naser-Tlustek
Stanislaus Geißler
Prof. Marika Junken B.Eng.
Dr. Fedor Plath B.Sc.
Frau Inken Seip B.Eng.
Luciano Biggen
Ing. Lisette Kaul B.A.
Prof. Mahmut Barth B.A.
Univ.Prof. Claudio Schmiedt
Herr Mario Pergande
Eva Wende-Peukert
Mohamed Stiebitz-Pärtzelt
Frau Gertrud Jüttner
Aribert Herrmann
Univ.Prof. Romana Hiller
Dipl.-Ing. Herta Fliegner MBA.
Jörgen Lorch
Wiltrud Gröttner-Klapp
Dipl.-Ing. Sibylle Kensy
Dittmar Berger
Univ.Prof. Claus-Dieter Meister B.Eng.
Giovanna Zobel-Liebelt
Siegfried Schuster
Elli Kohl
Emanuel Kitzmann
Irmtrud Johann
Maja Fischer B.A.
Käthi Löffler
Zofia Gumprich
Zeki Henk B.A.
Rene Rohleder
Irene Rogner
Traudl Röhrdanz-Spieß
Prof. Magnus Dörr B.Eng.
Reinhild Patberg
Lucia Hermighausen
Birgid Freudenberger
Univ.Prof. Alexandre Schottin
Bernadette Sorgatz
Hans-Jörg Trupp-Säuberlich
Anica Kade-Steuer
Gino Hartung
Falk Ritter
Walli Jopich
Gerdi Neureuther-Mälzer
Deborah Becker
Manuela Sauer
Frau Karolina Hörle
Hannelore Heser-Boucsein
Riza Heydrich
Jana Wulf MBA.
Valeri Mielcarek
Willibald Boucsein B.Sc.
Tobias Liebelt
Prof. Bela Noack
Zbigniew Weinhage
Melanie Segebahn
Ernst Gunpf-Naser
Marianna Karge
Horst-Günter Zirme
Gudula Stroh-Bien
Heimo Knappe
Marie-Louise Wulff
Dominic Gunpf MBA.
Apollonia Heß B.A.
Natascha Eigenwillig
Dr. Elwira Hiller
Ing. Elsa Liebelt
Prof. Amir Reising MBA.
Hans Dieter Junk
Dipl.-Ing. Undine Warmer
Iris Mans
Frau Herlinde Segebahn
Lilli Harloff
Anneli Schleich-Ullmann
Ercan Kühnert
Bernhard Rogner B.Eng.
Ing. Alwine Scholz
Univ.Prof. Samira Drewes
Gerhild Stiffel
Andrej Geißler-Beckmann
Heide Knappe
Dr. Edith Ring B.Sc.
Matteo Beyer B.A.
Dipl.-Ing. Bodo Junk B.Eng.
Nico Ehlert-Ackermann
Univ.Prof. Dorit Pechel B.A.
Dipl.-Ing. Christoph Schulz B.Sc.
Isabell Kroker B.Eng.
Annika Pieper B.A.
Swantje Binner B.A.
Gereon Textor
Prof. Carina Eimer
Univ.Prof. Franca Ritter B.Eng.
Freia Buchholz
Stanislaus Davids MBA.
Wiltrud Wilmsen-Graf
Eleonora Gehringer
Dipl.-Ing. Marc Stroh
Gerolf Döring-Buchholz
Jolanthe Jessel
Urszula Fliegner
Friedericke Killer B.Eng.
Philipp Killer B.A.
Thies Birnbaum B.A.
Irene Gotthard-Hoffmann
Teresa Schönland
David Losekann
Folkert Schwital
Dr. Almut Nohlmans B.A.
Geza Beckmann
Adele Weimer B.Eng.
Max Fiebig
Zenta Gertz B.A.
Gerfried Dippel
Ing. Elisabet Jopich B.Sc.
Slawomir Bohnbach
Fritz Nerger
Marie-Therese Birnbaum
Abraham Adler
Univ.Prof. Vesna Hering
Mike Krein
Ing. Steffen Röhrdanz B.A.
Dipl.-Ing. John Ortmann MBA.
Gertrude Pieper
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Univ.Prof. Zita Löchel B.Sc.
Dr. Francisco Hänel
Stjepan Schmidtke
Hans-Otto Trubin B.Eng.
Dr. Muzaffer Sauer B.Eng.
Herr Burkhardt Bauer B.Eng.
Geraldine Reising MBA.
Concetta Dehmel
Serge Kraus B.Eng.
Alicia Kroker
Karl Meister B.Eng.
Jonathan Gertz-Hertrampf
Hilmar Spieß
Margareta Trub
Darius Trupp
Gitte Rohleder-Bruder
Dipl.-Ing. Emmy Börner
Hanspeter Benthin
Magdalena Sauer
Czeslaw Jäkel-Röhrdanz
Ing. Katarzyna Noack
Irmtraud Schönland
Bernard Losekann
Gunhild Nohlmans
Prof. Hans-H. Zimmer
Lorenzo Hornig
Irmengard Röhrdanz
Emine Haase B.A.
Maja Jungfer
Rose Beer
Eva-Maria Eberth B.A.
Constanze Schleich
Catrin Weller
Herr Goran Paffrath
Herr Christopher Speer
Berthold Haase-Trub
Vitali Ortmann
Marzena Jüttner-Jockel
Justina Neureuther
Dr. Isabell Trupp
Dorothea Etzler
Hannah Stiffel-Börner
Eveline Kruschwitz B.Sc.
Prof. Irmela Klemt B.Eng.
Herr Falk Holzapfel
Josef Langern
Alfredo Möchlichen
Nadja Häring B.Eng.
Karl Heß
Arnd Jacobi Jäckel
Ing. Willi Warmer B.Eng.
Rosa-Maria Reising
Valerij Weller-Barkholz
Erhard Otto
Cora Scholtz
Prof. Hubert Heß
José Tschentscher-Textor
Manuel Schenk
Dipl.-Ing. Astrid Kade
Felicia Binner
Lambert Misicher-Dörschner
Ing. Carolin Anders
Maurice Hübel
Vladimir Patberg-Weller
Hans-Eberhard Lübs
Alessandro Werner
Marga Scholz
Wenke Neureuther-Hermighausen
Nikolai Mohaupt
Prof. Walter Pechel
Ing. Svenja Aumann
Ing. Arndt Schäfer
Univ.Prof. Blanka Linke B.Eng.
Kristina Wernecke
Silvia Henschel
Georgine Schinke
Viola Sager
Slavko Schüler B.Eng.
Marek Ackermann
Hans Josef Lachmann
Kreszentia Jockel
Urs Matthäi
Dagmar Jungfer
Claire Rogner-Scheel
Nina Wagenknecht
Paulina Bender-Liebelt
Prof. Meinrad Wiek
Peer Bärer
Hartwig Zirme
Univ.Prof. Alexei Mülichen MBA.
Herwig Jäntsch B.Sc.
Prof. Wolfgang Mohaupt
Dipl.-Ing. Till Schenk
Frieder Austermühle
Christel Mangold
Dan Scheuermann
Ing. Pius Börner
Maria-Theresia Heinz B.A.
Herr Guido Knappe B.Eng.
Waltrud Jockel B.Eng.
Karl Heinz Kruschwitz-Reising
Hildburg Dowerg-Pergande
Isabell Briemer
Hartmuth Vollbrecht
Herr Ronny Tröst B.Sc.
Univ.Prof. Hans-Theo Kroker
Univ.Prof. Nevenka Döhn B.Eng.
Dagobert Sorgatz
Richard Drub
Karolin Mitschke
Marijan Killer
Prof. Ingeborg Noack
Antonius Pärtzelt-Jüttner
Hildegard Schlosser-Jacobi Jäckel
Rosa Tintzmann
Karl-Heinrich Jacob
Gesa Jäntsch
Egon Haase
Sebastian Vogt
Elli Junck
Heinz-Willi Holt
Prof. Linus Kambs B.A.
Anke Hettner
Valeria Finke
Rahel Dörschner
Dipl.-Ing. Alexandros Weinhold
Ottilie Scheel
Cord Zorbach
Anneli Neuschäfer
Mandy Trüb
Luise Junk
Herr Mirko Häring B.Sc.
Edelbert Bruder
Salvatore Ruppersberger
Leonie Möchlichen MBA.
Zofia Schönland B.Sc.
Valentin Gute
Hans-Jörg Lachmann
Heimo Hübel MBA.
Sigmund Hentschel MBA.
Univ.Prof. Margareta Naser
Ljiljana Löwer B.A.
Herr Louis Hövel
Janna Kambs
Jorge Killer
Annemarie Wieloch
Uschi Keudel
Volkmar Hentschel
Trudi Kranz B.Eng.
Univ.Prof. Dana Seifert
Raisa Stey-Sauer
Brunhilde Scholz
Nikolas Heß
Dr. Ingelore Winkler
Univ.Prof. Oscar Lindau MBA.
Dipl.-Ing. Utz Adler B.A.
Osman Salz MBA.
Thorsten Adler B.Sc.
Laura Wilms
Jessika Käster
Regine Meyer
Freddy Hande
Philip Heß MBA.
Tilman Hövel
Herr Hans-Martin Heuser
Ing. Erwin Kobelt B.A.
Univ.Prof. Ahmet Birnbaum MBA.
Gotthard Schuster
Frau Aleksandra Bähr B.Eng.
Franz Josef Herrmann
Gertraude Salz-Gnatz
Ing. Claire Hübel
Janus Walter
Reinhold Hellwig-Mülichen
Prof. Konrad Neuschäfer
Reinhard Zänker
Maria-Luise Schaaf
Annegret Holt-Heuser
Massimo Hecker
Ann-Kathrin Mühle
Ismail Steinberg
Univ.Prof. Virginia Pechel
Dr. Gundula Putz
Conny Geißler-Karge
Michaela Hecker B.Eng.
Meike Berger
Inka Trub
Benno Hofmann
Hansgeorg Klotz
Univ.Prof. Galina Kobelt B.Eng.
Brunhild Briemer B.Sc.
Gundula Adler-Bien
Frau Danica Davids B.A.
Klaus Lorch-Graf
Milos Pärtzelt B.Sc.
Frau Suse Zorbach
Kornelius Heintze-Baum
Dierk Beier
Urte Bolzmann
Hans-Herbert Flantz
Reinhart Winkler B.Eng.
Gundolf Schomber-Hellwig
Stephen Heidrich
Hans-Bernd Trubin-Klemt
Bruno Wagenknecht
Cornelius Scheuermann
Heide-Marie Zirme
Thoralf Eimer
Lars Eckbauer-Möchlichen
Ignatz Budig
Ferenc Trüb B.A.
Prof. Ingbert Nette
Hans-Friedrich Ruppert-Ullrich
Ehrhard Pruschke
Melitta Steinberg
Ing. Magda Jäntsch
Jo Dussen van
Herr Osman Gerlach B.Sc.
Ria Stroh
Annett Dehmel MBA.
Hüseyin Wulf-Schmidt
Cecilia Eigenwillig
Dr. Damian Scheel
Guenter Kohl-Nette
Carmen Berger
Irmtrud Bolzmann
Kristin Bohlander B.Eng.
Dimitrios Kraushaar-Adolph
Dajana Ring
Dr. Hedda Radisch
Mirko Bolander
Lothar Ladeck
Peggy Sauer
Karl-Dieter Speer
Ivana Nerger
Hildburg Tlustek
Semra Fiebig
Cord Mende B.Eng.
Nikolai Rädel-Klemt
Ekaterina Schmiedecke
Mirjana Drub
Alwine Wirth-Klemm
Kay-Uwe Finke
Gisela Girschner
Prof. Mandy Heuser MBA.
Andrew Schlosser
Univ.Prof. Ottfried Scholl
Bodo Finke
Dr. Frithjof Weinhage MBA.
Marlies Beckmann
Filippo Jungfer-Kabus
Wilfried Radisch
Dr. Mariusz Beckmann
Yusuf Sontag
Tadeusz Kruschwitz B.Sc.
Baldur Käster B.A.
Pero Gnatz
Elfi Harloff
Ingetraud Fiebig
Univ.Prof. Reginald Lorch
Evelyn Bien
Waltrud Scholl
Rüdiger Bien-Hübel
Herr Heinz-Josef Wende MBA.
Gunter Beyer
Dipl.-Ing. Jerzy Stolze B.Sc.
Frithjof Mielcarek MBA.
René Ullrich
Theodor Mangold
Karlfried Ruppersberger
Prof. Riza Niemeier
Augustin Lachmann
Kunibert Hahn-Lindau
Enver Conradi-Hecker
Univ.Prof. Giovanna Bachmann B.Eng.
Dr. Lidija Metz
Hans-Hermann Haering
Kornelia Dörr
Benita Juncken
Antonios Zimmer
Maria Hellwig
Waltrud Gumprich
Anthony Heintze
Angelo Röhrdanz
Prof. Claudia Mude
Alice Hesse
Kathi Hering
Mehmet Löwer-Trupp
Frithjof Gertz
Tobias Mühle
Emine Tlustek B.Sc.
Prof. Olga Steckel B.A.
Pius Röhrdanz
Jenny Scholtz
Roderich Ehlert-Henk
Peter Mitschke
Annie Gnatz B.A.
Ditmar Trub
Beatrix Möchlichen
Hildegunde Stiebitz-Mude
Dierk Steinberg
Etta Hellwig
Dariusz Reising-Ernst
Evelin Wagenknecht-Döhn
Lothar Birnbaum
Hanspeter Koch II-Wohlgemut
Kornelius Hornig MBA.
Timm Freudenberger-Henschel
Oskar Löwer B.Eng.
Lilly Beckmann B.Sc.
Genoveva Löffler
Ing. Cosimo Steinberg
Hans-Albert Lindau
Bernd Binner-Hornich
Alexandre Caspar
Jiri Hoffmann B.Sc.
Jasmina Rudolph
Vlado Lindner
Simone Harloff B.Eng.
Univ.Prof. Mira Heser B.Sc.
Tomas Tlustek
Hansjürgen Säuberlich
Natali Patberg B.A.
Heidelore Heinrich
Univ.Prof. Arno Kramer B.Eng.
Marvin Kade-Ladeck
Ing. Ivana Budig B.Eng.
Katherina Bien
Dipl.-Ing. Rigo van der Dussen B.Eng.
Antonia Köster B.A.
Ing. Nuran Schaaf
Prof. Ralph Patberg
Dr. Herbert Jockel B.Eng.
Sabine Gude
Univ.Prof. Gundel Atzler B.Eng.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Miroslav Kohl
Babett Pruschke-Schäfer
Roswita Gumprich-Butte
Ellen Liebelt
Siegbert Conradi
Stella Barth
Andrew Misicher
Hans-Bernd Zobel
Bernward Losekann MBA.
Markus Albers
Erol Eimer
Dr. Mechthilde Hellwig
Resi Knappe
Hedy Kobelt
Gerald Hendriks
Engin Johann-Weihmann
Maya Conradi
Francesco Wieloch-Herrmann
Margaret Kraus
Reimar Pohl
Dipl.-Ing. Sigrid Hahn
Klaas Eckbauer
Larissa Ullmann
Gottlob Römer
Heinrich Putz B.Sc.
Paolo Wernecke
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Hans D. Schenk
Carola Kusch
Univ.Prof. Paul-Heinz Heinz
Pawel Peukert-Rörricht
Wolf-Dieter Rudolph-Bruder
Raissa Mitschke MBA.
Vinko Schönland B.Eng.
Ing. Knud Vogt
George Hörle
Dr. Valentin Eigenwillig
Dipl.-Ing. Nina Boucsein MBA.
Heimo Ziegert
Harro Keudel
Gereon Trapp
Dr. Luisa Anders B.A.
Mareike Lübs
Klaus-D. Sölzer
Natalja Seidel
Monique Schleich-Kroker
Arnfried Scheuermann
Prof. Janos Werner B.Eng.
Kati Koch II
Wolfgang Beier-Mohaupt
Prof. Guiseppe Gröttner B.Sc.
Dietrich Bien
Waltraut Ernst
Ing. Hans Peter Schenk B.A.
Francisco Trupp
Alwin Scholl
Karl Heinz Eigenwillig
Bianka Scheuermann
Veronique Löwer
Trudel Wagner
Joana Zimmer B.A.
Damian Jopich B.A.
Hanne Ackermann
Herr Hans-Ludwig Steinberg
Ing. Rose-Marie Hölzenbecher
Joerg Döhn
Marko Trupp
Nicolaus Jessel
Heide-Marie Heß B.A.
Marek Walter MBA.
Eggert Börner-Geisler
Prof. Heinz-Joachim Losekann
Marcella Höfig
Dietlinde Schönland
Prof. Gunter Mentzel
Franz Lange
Reinhard Christoph
Tomislav Schüler
Hans-Helmut Binner B.Sc.
Susann Mielcarek
Hans-Erich Preiß
Fritz Schenk B.A.
Univ.Prof. Bert Gieß
Tülay Gnatz-Sorgatz
Sibilla Hofmann
Herr Jan Kobelt
Annemie Herrmann
Dipl.-Ing. Dragica Neureuther
Liliane Gröttner-Albers
Nicole Scheibe
Beata Lübs
Jörg-Peter Speer
Ing. Alberto Schlosser
Prof. Lydia Siering
Enrico Reising MBA.
Univ.Prof. Wibke Reinhardt B.Eng.
Prof. Anna Kühnert B.Sc.
Fabienne Holt MBA.
Univ.Prof. Gisa Meister
Jaroslaw Seip
Rosa Christoph-Sontag
Istvan Scheuermann
Aribert Putz
Ursula Löffler
Tino Kensy
Ewa Kade
Johanna Bohlander
Hiltrud Klemm
Jadwiga Koch
Matthias Hendriks-Koch
Ing. Petar Hänel MBA.
Sylwia Wilmsen-Ullmann
Dr. Reimar Fiebig B.A.
Virginia Eigenwillig
Ernst-Otto Heß-Hartmann
Dr. Abdullah Becker
Univ.Prof. Heidrun Hiller
Jan-Peter Grein Groth
Mercedes Rädel-Drub
Lothar Fischer
Arno Lindner
Univ.Prof. Trudel Gierschner MBA.
Aziz Hornich
Volker Adler
Univ.Prof. Franz-Josef Zänker
Judith Gerlach
Gerhardt Barkholz B.Eng.
Univ.Prof. Sonja Hande MBA.
Franco Radisch
Katharina Etzler
Annerose Kaul
Regina Ring
Emma Briemer B.Eng.
Univ.Prof. Canan Zorbach B.Sc.
Ekrem Pruschke-Jäkel
Patrizia Schüler
Kristiane Steckel
Hatice Jessel
Petra Wagner
Maurizio Hartmann
Hellmut Hein-Gnatz
Univ.Prof. Marko Schmiedecke MBA.
Dipl.-Ing. Betty Niemeier MBA.
Dr. Marianne Reising
Lara Stroh
Torben Schweitzer
Dorothee Koch II
Jo Gnatz
Dipl.-Ing. Edda Barth MBA.
Helmar Klapp
Klaus-Peter Kitzmann
Prof. Folkert Ernst MBA.
Karl-Hans Fiebig
Sylvana Hornich MBA.
Dipl.-Ing. Katarina Schmidtke
